participant_age,education_years,household_income,social_network_size,hours_worked_per_week,gender,rural_residence,social_media_usage,political_participation
30,26,9,12,2,0,0,1,107.92171132334404
15,26,5,9,4,0,0,1,95.13973567392549
13,23,8,14,0,0,1,0,88.54239362298182
35,14,8,14,0,1,1,0,97.84288648599544
49,19,7,17,2,0,1,1,114.70695815234195
4,20,4,19,3,0,1,1,91.07628238656196
29,23,5,9,0,0,1,1,96.23499308667252
11,22,6,24,1,0,0,0,94.63878743670251
9,23,8,13,0,0,0,0,86.9153274821356
17,30,4,17,1,0,0,0,96.262482457596
25,26,5,17,3,0,0,0,103.14441507832136
25,24,9,18,2,1,1,1,108.4920573839229
20,23,4,18,0,1,1,0,95.61312899440888
7,25,5,14,2,0,0,0,86.50891767675476
34,30,8,22,2,1,0,1,119.99942034721188
31,22,4,18,2,1,0,1,103.97735138988176
27,22,6,18,2,0,1,0,100.48138137967923
10,26,4,17,0,1,0,0,88.18019879633405
18,26,0,15,1,0,1,1,95.39053730414952
15,26,6,15,1,0,0,1,97.15195212103204
11,25,5,14,0,0,1,0,88.97738314914443
25,26,9,23,1,0,1,0,107.99354237977968
11,27,4,16,3,0,1,0,92.49895022415808
29,23,5,13,4,1,1,1,106.15850581607975
31,32,5,20,4,0,0,0,111.63538907540912
34,20,5,20,1,0,0,0,104.18447760967732
22,18,7,25,3,1,0,0,103.74861603848316
19,24,5,12,3,0,0,0,94.6287468003532
33,16,5,17,2,0,0,1,101.12409076258848
40,30,4,17,1,0,1,0,112.71521311759592
30,19,6,14,3,1,0,0,98.93771037299852
30,31,9,17,2,0,1,1,113.91867753306506
7,24,4,18,2,0,0,1,92.73571410292804
27,18,10,12,0,1,0,0,94.64930508409608
40,20,10,16,2,0,1,0,109.83859310871848
19,24,6,22,3,0,0,1,103.33961793942578
41,23,4,10,3,1,1,0,102.90257994415929
27,20,2,15,2,0,1,0,95.34259231911192
45,18,5,10,2,0,0,0,99.63416917437372
28,18,4,18,1,1,0,0,96.43072025985684
16,25,4,12,2,0,1,1,95.72510898560608
25,28,5,16,1,1,0,1,105.0571863106442
34,35,6,8,1,0,1,0,104.9227225826687
59,21,7,20,1,0,1,0,120.87991088728512
33,22,9,17,3,0,1,0,107.64100224945456
10,23,7,20,0,1,0,1,93.2350936449711
14,26,3,16,3,1,0,0,93.61936212265532
20,26,6,15,2,0,0,0,98.4873844997073
39,25,8,15,1,0,1,0,108.61077632294024
32,13,8,18,1,0,1,0,100.07355247304218
17,15,3,12,1,0,1,0,83.71729780557641
33,23,7,6,0,0,0,0,94.76002704318688
22,27,7,20,2,0,1,0,103.76448130577856
19,26,5,18,2,1,0,1,102.68493446757134
24,17,6,13,1,0,0,1,93.84575577006888
17,20,4,13,0,0,1,0,87.65525714096216
29,20,4,7,0,1,0,1,92.81800304223574
58,24,3,10,1,1,1,0,110.59165767541172
17,26,6,18,4,0,0,0,99.87778003255887
27,23,5,24,2,1,1,1,109.2867614021886
18,29,6,20,2,1,1,1,106.93025687710148
39,24,5,16,2,1,1,0,107.34078553199116
18,28,5,5,1,0,0,0,89.8375513727308
39,28,8,17,2,0,1,0,113.62365715111204
18,29,6,20,3,0,0,1,105.25804965190518
29,18,5,15,3,1,1,0,97.0112250731598
48,28,8,9,4,0,1,1,118.77936703708332
29,18,4,20,0,0,0,1,99.7680741407043
42,26,9,19,1,1,1,1,120.30448705915506
51,27,10,4,3,1,0,0,112.6872800107818
30,22,5,17,1,0,1,1,102.68150942839462
40,21,10,12,0,1,1,0,105.81573900969327
24,23,5,21,1,0,1,1,104.48735408663993
36,23,4,22,1,1,1,1,111.70404738832134
34,31,6,20,2,0,1,1,117.35473220856991
36,19,7,14,0,1,1,0,101.77063335790784
22,20,4,17,1,0,1,0,93.57214736874862
32,24,5,14,0,0,0,0,98.84413452734512
21,23,6,17,2,0,0,1,102.51060524715597
33,29,5,12,1,1,1,1,108.6621745332382
16,27,10,10,2,1,0,0,96.14283281994362
32,22,10,17,1,1,1,0,104.9414797144975
11,31,9,17,0,0,1,1,101.9979267486863
19,21,2,14,1,0,0,1,93.20409248214844
28,23,4,8,1,0,0,1,95.7602502731492
20,19,7,12,2,0,1,1,95.59875450804886
26,32,4,15,1,0,0,1,107.085745683894
27,23,4,16,1,0,0,0,97.46196837289058
31,16,8,16,2,1,0,1,105.28134288308743
20,25,2,17,1,0,0,1,97.57355548178106
14,20,7,14,0,1,1,0,89.16095607119466
44,17,5,14,1,1,1,1,107.76444761217368
22,31,5,21,3,1,0,1,110.16986100191572
37,23,6,22,2,0,1,1,113.32451437044728
40,19,5,21,0,0,0,1,109.11924868658718
14,26,2,12,3,1,1,0,90.60480258510694
20,16,2,20,2,1,1,0,92.3210183607578
34,22,4,16,2,0,0,0,102.50782988454324
8,22,2,14,0,0,1,0,82.45894115096381
25,26,0,19,1,1,0,0,96.70131382418298
34,16,7,15,0,1,0,0,98.15550445971824
21,24,7,22,0,1,1,1,104.86739385185146
17,24,6,20,2,0,0,1,102.98897423817016
46,25,5,11,1,0,1,1,111.04853442154756
28,23,5,16,1,1,1,1,102.47043595883656
38,14,6,11,2,0,0,0,97.12761165564088
34,24,6,7,3,1,0,1,104.4123275280002
36,33,6,14,3,0,0,1,114.53591110564102
18,22,6,24,2,1,0,0,99.44073320165955
25,32,6,15,1,0,0,0,103.14926186126895
36,22,7,14,0,0,0,1,104.55524804821091
33,21,5,15,2,1,0,0,102.57305895104528
27,25,6,11,2,0,1,0,99.95182415095432
22,21,5,12,2,0,0,1,96.6142885867886
36,31,0,12,0,1,1,0,102.12292473690664
39,24,3,22,0,0,1,1,110.77925011530984
37,30,7,19,1,1,1,1,116.575178303293
11,29,7,12,1,0,1,0,91.47290114801494
25,21,7,19,0,1,1,0,99.95928219177776
23,20,4,23,1,0,0,0,99.23757410932632
19,26,6,19,3,1,1,1,104.58699928983224
32,26,7,12,3,1,1,1,108.3612437521748
42,27,5,18,2,1,0,0,112.9727075710031
15,14,6,17,0,0,0,1,89.08613521265114
19,22,3,21,2,1,1,1,102.38057198732012
24,28,10,26,3,0,1,0,113.0684372778634
17,29,4,8,2,0,1,0,90.60206749999024
26,29,8,9,1,0,0,1,102.6841354376146
49,27,2,15,2,1,0,1,113.834117005765
27,31,4,21,2,0,1,1,112.44084449816806
18,19,4,15,1,1,1,1,92.99757932179622
14,26,8,18,2,1,1,0,96.76011331809144
6,18,8,1,2,0,0,0,76.6086311924223
10,26,7,10,1,1,0,0,89.03416289705744
36,22,10,8,1,0,0,1,102.85671204195104
28,21,6,27,1,0,0,1,109.75556301314695
25,22,6,5,1,0,0,0,88.15774820512617
27,28,5,15,0,1,1,1,103.98958144208322
12,23,7,9,1,0,0,1,88.04805126076812
31,32,5,8,2,0,0,0,101.66703213463914
32,24,6,22,1,1,0,1,110.38615182289684
26,20,6,12,4,1,1,1,102.41498858960314
16,20,4,16,0,1,0,0,89.87732289026123
39,19,2,19,1,0,0,1,109.26896935903702
17,26,3,20,1,0,1,1,102.17547529700944
31,22,8,21,2,1,1,1,110.5518108079258
32,24,6,12,1,0,1,0,99.7289122520932
30,27,2,15,2,1,1,0,102.29253135389696
11,23,5,13,2,0,1,0,87.30300849565482
29,27,4,18,0,0,0,0,101.68314079496255
28,19,8,22,1,1,1,1,105.615962516251
38,23,7,16,0,1,0,0,105.55493148568058
27,24,7,10,0,0,1,0,96.79644491174312
37,22,5,10,1,0,0,0,100.22394860827232
27,28,8,13,1,0,0,0,101.34630326200812
30,21,5,14,2,0,0,1,101.9313027401138
22,25,6,20,0,0,1,0,99.10946283834048
34,27,3,15,2,1,0,0,105.13553292233178
21,34,0,18,0,1,1,1,103.9775684115504
20,22,7,10,1,1,1,0,93.41496979173596
40,25,3,18,0,0,0,0,106.17270732170908
32,19,5,13,1,0,0,1,99.83141215737582
31,27,3,17,4,1,0,1,109.4976221252494
15,29,2,19,2,1,1,1,99.23390438491496
41,28,8,11,1,0,0,0,109.32379859778722
19,18,6,21,2,0,0,0,95.6441886499615
5,22,5,18,2,0,1,0,86.63611485160807
11,24,8,13,3,1,0,1,95.7593986327572
20,16,5,17,0,0,1,1,95.4080693663538
28,32,3,16,0,0,0,1,106.57804556723148
12,25,5,9,3,1,0,1,92.04720288185324
25,23,8,17,2,0,1,1,104.68223033013592
12,24,8,9,2,1,0,0,88.3544229609817
11,29,5,12,2,0,0,1,93.43614284422716
37,22,4,15,2,1,0,0,103.4938252373595
17,21,6,14,0,0,1,0,89.5266391457013
25,24,6,15,3,1,1,0,100.80163208600668
36,23,7,14,3,1,1,1,110.53954984701942
32,20,1,6,1,0,0,1,93.31185210305657
43,21,6,11,1,1,1,0,103.8669665532563
35,24,6,14,2,0,1,0,103.91360805419174
47,27,7,7,0,0,1,0,107.86077964532652
28,22,6,20,3,1,1,1,107.66090114901944
23,22,0,10,2,0,1,1,91.90397740969648
24,21,7,25,2,1,0,0,104.35880147024704
19,21,5,10,3,1,0,1,94.45191207507791
25,23,5,15,2,1,0,0,97.94007495361332
13,24,7,15,1,0,1,0,92.75311658050396
43,18,5,16,3,1,1,0,106.04634496064604
17,22,5,20,0,1,0,1,97.94312337056984
17,22,4,16,0,0,1,1,93.5424445315602
22,26,3,10,2,0,0,0,92.92647090214724
22,26,4,22,2,1,1,1,107.60805114601636
30,26,9,16,2,1,1,1,109.73815866022431
35,24,5,13,2,0,0,1,105.11924316760008
2,21,6,16,1,0,0,0,83.8282608968233
20,25,6,15,1,1,0,1,97.25808550889496
24,28,0,17,2,0,0,1,102.31528934440706
19,25,5,13,2,0,0,1,98.25020932439624
20,22,4,12,0,0,1,0,89.59858869236496
27,25,11,19,1,0,0,0,107.30385136225372
29,25,6,13,2,0,1,0,100.06936274312314
19,25,2,7,2,0,0,0,87.89640404098134
28,29,5,16,1,1,0,0,103.5386089898358
18,21,8,18,3,1,0,1,101.0802547136233
40,24,5,18,2,1,1,0,111.11748889856956
16,20,4,15,2,0,0,0,89.33093059120672
18,18,8,13,1,1,0,1,96.52440746873908
14,22,6,18,0,0,1,0,91.99152032553314
37,23,6,20,2,1,1,1,112.75045901080354
9,21,5,11,2,1,0,1,89.49772221194735
22,29,10,18,1,0,0,0,104.32716581396691
13,28,5,18,3,1,0,0,96.38936644795226
23,30,3,16,1,1,1,1,104.29520776685808
26,24,6,20,3,1,0,0,104.97976342984424
26,22,4,23,0,0,0,0,97.68680473774644
12,26,7,16,2,0,1,0,94.10570822377224
28,26,7,10,1,1,1,0,100.4969119452128
39,22,5,22,2,0,1,0,111.29583025073332
25,19,4,17,1,0,0,1,98.04650624344488
35,30,7,15,0,0,0,1,112.16079749635676
30,26,4,18,2,0,0,1,107.8466640905022
34,12,2,15,3,1,0,0,94.6505145792233
28,31,7,17,2,0,0,1,111.8315856937249
33,26,8,18,1,0,1,0,108.02953734492156
35,20,5,18,1,1,1,1,107.60957130838418
23,14,10,14,3,0,0,0,94.5290494088318
8,25,4,14,0,1,0,0,86.32569247887729
48,20,9,19,1,1,1,1,117.5787463477274
41,22,1,15,2,1,0,1,107.473720935779
30,13,6,19,2,0,0,1,102.39074170946742
25,27,6,19,1,0,0,0,104.11751017597686
16,20,10,14,2,1,0,1,96.5475310391267
15,23,6,22,0,0,0,1,98.48147030035526
27,19,4,15,2,1,0,0,96.4114856482127
11,23,8,17,0,0,0,0,91.62188929714696
33,22,4,18,1,0,0,0,103.95738235585983
20,25,5,17,3,0,1,1,101.77234887711052
12,23,4,16,1,1,0,0,89.39698872697338
9,22,9,11,1,1,1,1,91.0708020385656
31,21,4,21,2,1,1,0,103.4342518988966
22,20,3,16,2,0,0,0,93.69979326474385
19,18,3,17,2,1,1,0,91.94111391424454
12,21,5,13,1,0,0,1,89.026418018776
5,23,7,12,2,0,0,1,89.45088728458552
23,24,7,9,2,0,1,1,97.27111818796988
30,27,6,14,3,1,0,0,105.37944694139968
29,26,2,17,2,1,0,1,102.94457051859226
25,25,5,12,1,0,1,0,96.1788396734188
25,25,5,20,3,1,0,1,107.66171638646615
13,28,6,21,3,1,0,1,103.25461978481502
22,29,8,18,1,0,0,0,103.20684950185915
25,20,0,16,3,1,1,1,98.1972115441136
16,23,6,22,1,0,1,0,97.8926920341036
15,21,6,16,3,0,1,0,93.09366253717911
37,23,7,11,4,1,0,0,105.6096349550489
25,26,7,16,0,0,0,0,100.26773450487536
19,22,5,21,3,0,1,0,96.95228524270595
14,21,6,12,2,1,1,0,88.63209680119445
33,25,5,23,2,0,1,1,114.17686982646138
21,16,8,9,1,0,1,1,92.39371413992262
19,21,4,23,2,1,0,1,102.8653718209844
35,30,5,24,0,1,1,1,115.33804503714757
14,24,6,16,1,0,0,1,96.72864883552514
25,24,7,18,1,0,1,0,99.8771418862862
15,19,6,8,3,0,0,1,87.26310857873355
24,23,3,19,2,1,1,1,102.17503769147264
16,19,6,25,3,1,0,1,102.97478990197702
15,22,4,16,2,0,0,0,88.59260592759765
22,29,7,17,1,0,1,0,102.56571653417566
21,25,4,16,2,1,0,0,97.39788500935612
6,18,2,19,2,1,0,0,85.76216379210594
23,28,8,19,1,0,1,1,108.0700003724045
15,18,9,17,2,0,1,1,98.38633618624
21,24,7,10,2,0,1,1,100.87971403934776
19,18,9,19,0,1,1,1,99.80555770703428
29,25,8,17,2,0,1,1,109.96224044195588
22,21,6,16,4,0,1,1,103.06844634084727
6,30,4,16,3,0,0,0,93.76658455036832
8,13,6,14,1,1,1,0,79.64327604350457
16,23,7,10,2,0,0,0,90.51671500950688
10,23,4,11,2,0,0,1,89.0119257231839
26,23,6,10,1,0,1,1,98.2218180608095
15,25,5,15,1,1,1,1,96.5431355673422
7,24,4,17,1,0,1,0,86.52861006996402
42,21,8,23,0,1,1,0,113.77761712902118
56,26,2,19,1,0,0,0,117.33793713869828
20,21,6,9,2,0,1,1,95.69433832376892
34,25,3,20,2,1,0,0,105.38240466902084
26,21,5,9,1,0,0,1,93.54093987186565
40,24,7,18,2,1,0,0,111.07582278601129
34,23,5,19,3,0,1,0,106.82024449212628
40,20,6,10,3,1,1,0,103.53594877466958
16,24,5,14,2,1,0,0,93.87460623172922
44,20,6,19,2,0,0,0,110.92133871607996
-1,20,7,8,1,0,0,0,76.16601998790706
26,22,0,11,1,0,0,0,88.113860220496
37,34,6,20,3,0,1,0,116.66574485800376
18,25,5,17,2,0,0,1,99.71786606367586
29,20,8,14,2,0,0,1,101.73523177031625
16,29,7,8,3,1,0,0,94.10169056323366
18,28,1,7,2,1,1,0,89.66845085264642
17,18,9,20,0,0,1,1,97.08016021387095
26,15,6,16,2,0,1,1,98.39233193414722
11,25,8,11,2,0,0,0,91.67287724224862
27,22,8,18,3,0,0,0,102.94712872965783
47,16,7,6,2,0,0,0,99.37583752440736
28,27,4,16,0,0,0,0,98.625067544095
15,17,7,8,1,0,0,1,85.16070824428174
22,31,7,17,1,1,1,1,108.8307277877542
20,31,9,19,3,0,0,1,109.37612228708238
29,23,2,15,0,1,0,0,95.00541403260124
25,24,7,15,2,1,0,0,101.07512984460406
40,19,6,11,2,1,1,0,102.0566494552268
29,26,5,11,1,0,0,1,102.56601597037968
16,24,9,15,1,0,1,0,96.81936771150576
25,25,2,19,0,1,1,1,103.6089895470832
18,25,2,12,2,0,1,0,89.9894846808661
27,27,8,14,2,1,0,0,102.26689886535478
0,19,7,20,2,1,1,0,84.95047230388924
26,20,6,16,2,0,0,0,95.78872229766968
13,19,3,16,1,0,1,0,86.26502409947147
38,25,4,10,2,0,1,1,105.82647285388482
26,17,6,7,4,1,1,1,95.41772389696962
27,14,5,24,3,1,0,1,102.30998558599168
21,24,5,19,0,1,1,0,98.21703394669407
24,20,10,20,1,0,1,0,101.992735788286
18,27,3,17,3,1,1,0,99.0717352686668
18,27,9,24,0,1,1,1,107.94853779223251
37,26,3,16,1,1,0,1,108.35280785518496
3,28,6,17,1,1,0,0,90.40097779121952
36,20,5,21,0,0,0,1,106.8765045250704
22,23,10,24,1,0,1,1,109.53217369158052
22,27,5,8,2,0,1,0,94.92190465770702
24,20,5,20,2,0,1,0,98.98121175096988
32,28,5,21,2,1,0,1,113.0136400166618
25,29,6,13,2,0,1,0,100.28543893652436
22,24,2,15,2,1,1,1,100.05651250582088
10,22,5,10,0,0,0,0,82.73069614988759
29,25,5,10,1,1,1,0,96.494569023485
44,19,4,18,2,1,1,0,109.86647827676067
39,22,7,13,2,0,1,0,105.54554738386004
27,22,2,17,1,0,0,1,99.33538238246196
24,27,5,21,2,1,1,0,106.32542621116166
42,28,10,18,1,1,1,1,120.74251970672434
29,21,9,19,0,1,0,1,107.5960792795198
12,22,5,15,3,0,0,1,94.58383816017816
18,27,1,16,2,0,1,1,97.3310930522485
15,22,5,14,2,0,1,0,91.15920976976513
17,25,8,14,0,0,1,0,94.1729390985618
20,18,5,9,1,0,1,0,84.97039404557785
25,17,6,13,1,1,0,1,93.86788905702132
15,24,5,16,1,1,1,0,93.26884478729322
22,17,5,9,2,1,1,1,93.06405977629434
19,17,7,13,2,0,1,1,93.6208033582312
25,20,0,11,2,0,0,0,89.36622198924692
23,20,6,10,2,0,0,1,96.01284587484255
21,23,9,12,1,0,0,1,98.64735535301544
31,26,2,22,0,0,1,0,102.18392516953956
28,20,8,13,1,0,0,0,98.14985228043064
32,19,3,12,1,1,0,1,99.26752552145744
14,21,6,11,1,1,0,1,89.93388255299271
37,17,7,14,3,0,0,0,101.16783908316012
23,14,4,12,0,1,1,0,86.50652657414518
28,30,4,16,2,0,0,0,103.73250115765435
33,18,6,13,2,1,0,0,98.75067768313544
20,25,4,16,0,0,1,0,92.99646467442822
10,20,3,19,2,0,0,0,87.78247980648595
16,27,6,8,2,0,0,1,93.89726945794357
27,21,5,10,2,1,0,1,96.99297947815528
33,27,4,23,4,1,1,0,111.56129805192874
32,19,5,20,3,0,1,0,105.09054536044638
24,22,5,17,0,1,1,0,96.11554577802646
26,14,6,18,1,0,0,0,94.19701739608688
21,19,6,9,1,0,1,1,92.38816478429148
32,21,9,15,1,1,1,1,108.04524026797024
27,19,3,23,2,0,1,0,99.80313182946054
37,28,4,16,0,1,0,0,105.4010176628518
41,29,2,17,1,0,0,0,108.82740073434891
31,25,10,18,3,1,1,0,109.43472635229136
38,21,6,17,1,0,0,1,109.1828742194024
12,30,5,16,2,0,1,1,99.39372727956324
17,25,8,18,3,1,0,1,103.57848208125596
19,24,4,26,2,0,0,1,105.78363398651088
24,21,8,16,1,1,0,1,101.95128269068309
29,22,7,22,2,1,0,0,106.52562726770054
28,26,5,17,1,1,1,1,107.30302466670456
30,17,5,5,1,1,1,0,89.57903981313811
33,21,5,13,0,0,1,1,103.79292348564518
19,25,1,22,1,1,0,0,97.95216020674287
19,29,9,13,0,1,1,0,100.57733312640224
24,21,6,8,1,1,0,1,93.92919694742083
29,18,5,6,0,0,1,1,93.66630371892636
15,25,5,7,3,0,1,1,92.14805220157412
18,26,10,22,1,1,0,0,102.1161293229748
24,28,3,25,0,1,1,1,109.4007823847344
40,31,3,16,1,1,1,0,113.30635692803229
22,28,3,15,2,1,1,1,103.24639363488596
17,24,5,16,2,0,1,1,99.73788749016543
15,22,8,13,2,1,1,1,95.96186707111076
11,19,6,20,2,1,0,0,90.79513265211186
14,26,7,16,2,0,1,1,100.10454964776646
16,25,2,16,2,1,1,0,93.45386322399824
18,22,3,21,2,1,0,1,99.44643464067305
22,25,3,10,3,0,0,0,93.84341126588392
25,26,3,8,2,1,0,1,97.64471727960216
30,20,6,6,0,0,0,0,91.42270755914016
27,26,5,18,1,0,0,0,101.86655704087768
12,17,8,16,2,1,1,1,92.17207110524971
21,23,8,14,1,0,1,1,100.17583125525351
20,10,6,15,1,0,1,1,89.46921467084123
2,18,6,8,0,0,0,0,76.58611724741722
15,22,5,15,3,0,0,0,91.34973096167909
16,18,1,21,2,1,1,0,90.03953453120901
25,20,6,16,2,1,0,0,98.60389176092517
25,29,5,14,1,0,0,0,101.6386710308099
34,25,7,20,0,0,1,1,109.9940235086215
28,21,6,15,1,1,0,0,99.04051413518285
24,26,7,24,2,1,0,0,107.02602220589117
19,31,6,10,3,0,0,0,95.690591214335
17,23,6,8,0,0,1,0,87.55650852483778
21,23,9,22,1,0,1,1,104.75840682016698
18,16,4,8,1,0,0,0,81.01645508835136
26,26,8,10,2,1,1,1,103.25804649135722
33,23,4,27,3,0,0,0,108.6609010649146
21,23,3,18,2,0,1,1,101.37613462590234
11,26,5,14,2,1,0,0,91.36524739750875
20,15,6,10,2,1,1,0,86.44344979066305
36,28,4,19,0,1,0,1,110.77125262069684
12,27,2,16,2,1,1,0,91.8039571860863
14,22,8,18,3,0,0,1,100.33466854057104
28,29,3,13,1,1,0,1,103.5850829688231
23,26,8,16,2,0,1,1,104.06972881090144
25,18,8,13,1,1,0,0,94.8011584642232
24,29,4,15,0,1,1,1,102.48418089579012
25,23,5,15,1,0,1,0,98.82222315113104
34,23,5,25,1,1,1,0,109.8245744761769
35,18,9,12,2,1,1,1,107.5473627494229
24,25,6,14,0,0,1,1,101.5710757238176
12,22,6,20,3,1,1,1,99.84804493424058
26,28,4,14,3,1,0,0,101.50823759668404
8,23,3,9,2,0,0,0,82.46528686787042
40,22,9,13,2,1,0,0,109.09620660235647
10,30,5,12,2,1,0,0,92.67987137069996
34,23,7,13,2,0,0,0,104.0411184960374
30,25,5,20,1,0,0,0,102.86176070957625
7,26,7,9,1,0,0,0,86.4735543998777
6,23,2,18,0,1,0,1,88.66428188266421
18,20,7,14,4,0,0,1,98.28960465322882
27,22,5,7,2,0,0,1,96.2237382235789
29,23,4,18,2,1,0,0,102.1223331783954
10,21,10,18,2,1,0,1,97.6003263247192
8,31,4,13,2,1,0,0,88.81625258338667
29,27,5,13,2,0,1,0,101.44732876277293
31,21,3,10,2,1,0,0,95.47438122201318
39,23,7,16,2,0,0,1,108.585555066037
29,24,4,13,0,0,0,0,96.82337930188656
41,27,5,16,3,0,0,1,114.64203093430862
39,22,6,19,4,1,0,0,110.22964427038552
37,27,3,20,2,1,0,1,111.82900648831269
18,26,1,17,0,1,0,0,92.26017794081676
22,18,8,11,3,0,1,0,94.3747892916127
30,21,6,5,2,1,1,0,91.07925110762648
36,18,7,23,1,1,1,0,109.03560604544296
43,24,4,15,1,0,0,1,109.73258267057794
