age,income,gender,minority_status,political_engagement_score,campaign_exposure,voter_turnout
8,6,1,1,1.97705407488683,0,8.426125634975781
10,4,1,1,0.1311603372439793,0,4.623506687970701
8,6,1,1,2.4851215047484403,0,8.293028894828321
3,5,1,0,3.7851842351780896,0,10.821339845923037
13,5,1,1,3.1019751809125067,0,8.871817666277076
8,6,1,1,2.333826676777787,0,7.465712823997019
6,7,1,0,7.671176459760865,1,19.359229161125736
5,7,1,1,4.920059691646346,1,17.52730498080865
7,4,1,0,4.143665402700745,1,16.203112146136387
7,6,0,1,-0.928624895553388,0,3.365730407725139
8,7,0,1,2.678434867756446,0,8.967793802213277
4,7,0,1,3.701187006889145,0,9.526162201074072
10,7,0,0,5.291328854029304,1,17.446597740814177
5,5,1,1,2.5472907145143813,0,7.670637104940599
8,7,0,0,2.8567683217645548,0,8.276634612465978
7,5,1,0,2.4552538221712865,0,7.766163357629693
8,7,0,1,4.398591753519162,1,17.261909219536275
4,7,0,1,1.5750638916838078,0,6.297404942693228
5,3,0,0,-1.349806214375703,0,3.070053752839609
8,8,0,1,7.415778435787081,1,19.046008066441853
5,8,1,0,5.391447367324249,1,17.497579392927523
10,4,1,1,1.9638301494752763,0,6.970857875204588
2,6,1,1,6.166127920264925,1,17.658316901207694
7,4,0,0,3.860663513731156,0,10.8527568641583
7,4,1,1,4.287497415567335,1,17.011952306882677
15,6,1,0,4.602588323832614,1,16.346686775834698
5,4,1,0,6.4740663115565935,1,17.929369116208225
13,6,0,0,2.7222165999228016,0,8.13841911542938
7,7,1,1,4.093992106526287,1,16.88073608794194
3,5,0,1,5.50821644383984,1,17.957598533047467
5,6,1,1,5.065927603454183,1,16.842894003450994
5,5,1,1,5.3196736973267065,1,17.178575528510816
9,6,0,1,2.350711889055698,0,7.040744635644025
9,5,0,0,6.950197404039916,1,18.33186504275095
7,6,0,1,1.8517154112440588,0,7.335763554123873
6,6,0,0,5.212064682300383,1,17.641521294166083
9,5,0,1,1.9457949187744088,0,7.677028925627652
1,7,1,0,0.7830936121045791,0,5.880375679649089
9,8,1,0,6.337725288938609,1,18.65139147564244
11,4,0,1,3.704252737244704,0,10.172195959095788
7,6,1,1,5.440978740217972,1,17.500461975083738
6,4,1,0,4.984342007112773,1,17.135071963266626
7,5,0,0,10.606162789125516,1,20.85183810565555
7,6,0,0,6.988058838027536,1,19.435703950691323
6,5,0,0,5.585648255138247,1,18.10433788403871
8,6,1,1,5.445439304859898,1,17.74151856959407
1,7,1,1,5.108229959635617,1,16.834390809457947
9,3,1,0,3.622850381974854,0,9.783390627914184
8,7,1,0,1.764143168701621,0,6.201096846502457
4,3,1,1,3.2032752049053697,0,8.946176550551321
10,6,1,1,6.730469527835978,1,18.433060175400364
8,7,1,1,3.762426038678805,0,10.137713573790387
6,4,0,1,8.03259258095853,1,20.49742389616009
11,6,1,0,0.8780264315481765,0,5.5302789506589125
10,6,0,1,4.303878999151755,1,16.606723691211148
11,7,1,1,5.50337278118023,1,17.295271667332425
5,3,0,0,6.207081967566818,1,18.644635214403717
1,6,1,1,2.7928732928768705,0,7.729525057852936
8,4,0,1,4.476725452792876,1,17.019796341423007
10,5,1,0,5.230178107529483,1,17.467386268196794
6,7,1,1,5.7835584602116,1,17.89378010923622
3,4,0,1,3.498815988328266,0,9.284285217573734
9,8,0,1,0.7555999873295676,0,5.84230528188677
10,9,0,1,4.183220858489082,1,16.353457636644126
6,2,1,1,2.7955861044726014,0,8.369085343872344
6,4,1,1,2.830552110624322,0,8.258807792576231
6,6,0,1,2.72070459533189,0,8.411804638079982
8,4,0,1,1.579239772803426,0,6.575098164006415
5,6,0,0,5.643200157829084,1,17.095147090274892
8,8,0,0,3.4250380660222817,0,9.002388331298993
5,6,0,1,1.2478126753370349,0,5.844360261380265
10,6,1,0,4.37561090470972,1,16.853658942626865
3,5,0,1,3.691749649687407,0,9.254289462407328
1,5,1,1,5.805503079849378,1,17.95917475398438
9,6,0,1,5.859532092556261,1,18.369601070864142
10,4,1,1,5.699021616955538,1,18.494629004720323
3,4,0,1,0.074183613995669,0,4.131344622092999
11,2,1,0,4.632055999120802,1,16.853128079126236
5,6,1,0,6.857770088700999,1,18.458846264710072
9,5,1,0,6.539373232463582,1,18.66741876772266
12,7,1,1,5.534755938621944,1,16.9716824535912
7,6,1,1,4.299773736093854,1,16.765789136335382
8,5,1,1,5.643533788403526,1,17.425374999923456
7,4,1,0,1.937743051553076,0,6.721671562471728
17,5,0,0,4.650565311743873,1,16.663777098731263
2,5,1,1,1.477979308017373,0,5.321475575717198
11,4,1,1,4.748156589667747,1,16.65808834987947
11,4,0,0,3.088340882392156,0,8.961637743104482
9,7,1,1,8.040901760004846,1,19.826300934123783
9,5,1,0,4.59353855671479,1,15.880716185381685
2,6,1,0,4.182678260297895,1,16.599967235433994
13,5,1,1,3.0303257916184068,0,9.116851911960742
4,5,1,0,-1.1362175202788078,0,1.9810167793143756
12,8,0,1,7.012521149822815,1,19.24740310569148
10,5,0,0,6.950648057477839,1,19.04274283350764
10,4,0,1,2.866131731719604,0,9.202014132931136
10,5,1,1,7.20022838457924,1,18.62692258214776
8,2,0,0,6.967935833969372,1,18.91833688528995
2,6,0,1,2.7241911438814874,0,8.450975137717908
2,6,1,1,4.183258566645381,1,15.84894278217122
5,8,1,0,1.530921534987165,0,5.887741159017534
8,5,0,0,5.659154618551739,1,17.836251332769365
7,7,1,0,6.147094405827035,1,17.03873717455453
4,3,0,1,2.2224911079208045,0,7.48009263861602
10,7,1,1,5.815336705548919,1,17.869559009445098
3,7,0,1,5.006435998880777,1,16.187843016688255
10,6,1,1,5.553171409860957,1,16.852047763108803
11,5,1,1,2.19970929782414,0,7.286150385065293
8,7,1,1,6.948850741531148,1,18.80606576309887
3,5,1,1,5.158096755579456,1,17.566997546332335
11,8,1,1,1.290905336704084,0,5.110062264841846
8,6,0,1,5.705727974360581,1,18.216581261352445
7,5,0,1,5.732114715207479,1,17.56051079993378
11,8,0,0,3.886152987866526,0,10.314970938670154
8,5,1,1,4.171361758680412,1,16.2567756291418
10,3,1,0,2.1370179596287238,0,7.5723161344934145
5,7,0,0,7.026163028601252,1,18.55874581011305
5,7,1,1,7.480918262285742,1,18.64112321931964
12,5,1,1,0.5905688984672302,0,6.006000976389411
6,7,1,1,3.180406491598161,0,9.157104886551238
12,6,1,0,4.559960814823426,1,16.832200064151024
10,6,1,0,7.738992575766867,1,18.925881915351297
11,5,1,0,6.863970859826374,1,19.45460120485614
10,6,1,0,5.68428787119914,1,16.97328848875657
12,4,1,1,1.011410334341983,0,6.337250517586403
7,5,1,0,-0.3117955163681181,0,3.387173066407202
8,7,0,1,4.699328607482888,1,15.881447534327902
14,6,0,1,5.914447028249738,1,19.39403851312781
11,5,0,0,5.11012958965205,1,17.69212298346729
0,6,1,0,4.289967430620751,1,16.65467769916755
8,6,1,1,3.07619139396988,0,8.877436081898914
1,7,0,1,0.067611186955856,0,3.4302715866854903
8,6,1,1,7.161124184216134,1,19.16380666602456
4,3,1,1,-0.9399009552182952,0,2.5818546208892705
9,8,1,1,4.035449336349149,1,15.58952949738341
11,3,0,1,5.426317735611243,1,17.679754681439622
5,7,1,0,3.963181354861788,0,9.491356459567704
5,4,1,1,2.637565476599411,0,8.400655669723958
7,6,0,0,1.1800583310446906,0,5.431948033183532
4,5,0,0,0.5083868369895956,0,4.716434800830417
8,8,1,0,2.866653334204514,0,7.891177530638418
11,6,1,1,2.2425783509233668,0,7.897419542227116
12,6,1,0,6.5069060695029535,1,17.863394922964023
7,8,1,1,1.011579002745052,0,6.047510122448667
3,7,1,1,4.288403684547191,1,16.871725973084555
10,6,1,1,6.249632785864149,1,18.367549503684533
7,2,1,1,4.474065304740661,1,17.7373067473334
8,5,1,0,3.6472757966923015,0,9.588824584487616
9,5,1,1,6.698741043834872,1,19.574636547764197
7,3,1,1,0.8112330531865752,0,5.310307736881076
4,5,0,1,4.118753722483552,1,16.596226694414554
3,5,1,0,2.595292734546909,0,7.094365374334233
7,4,1,1,1.8681849004660696,0,6.450009384507248
12,3,0,0,6.383193451409671,1,18.5014140819382
4,2,1,1,0.6728909837105137,0,5.736212178948191
6,6,1,0,5.564879494625143,1,17.414803889695342
7,6,1,1,-1.0529607722317404,0,2.3810508697597204
6,7,1,0,6.418271644525213,1,17.373118354002546
4,5,1,1,-1.5484133075760935,0,1.225435824296966
5,3,0,1,6.617394041810318,1,17.903887993143382
6,6,1,0,2.2228486576089885,0,7.458374668965897
8,8,0,0,6.262387336499177,1,17.62494991395468
11,5,0,1,3.649362723280664,0,9.226527511134172
6,5,0,1,0.9966293141425258,0,5.76714505580794
4,4,1,1,5.638780211281994,1,18.0139868772891
11,7,0,1,7.686029429719504,1,20.069440079939188
5,4,1,0,1.7288626280494568,0,6.581061310817391
1,6,1,1,4.205817274304825,1,16.810918456960717
10,6,1,1,3.928418751491339,0,10.619020859367842
8,5,0,0,1.8721360766867785,0,7.585610476791156
10,4,0,1,1.0324290582485238,0,4.997003376540642
2,5,1,1,2.754471102501307,0,8.176847009947464
8,7,1,1,-1.752143967562902,0,1.501526115550783
9,4,0,1,0.1876541765732473,0,4.750882179745922
9,6,1,1,5.616851586620502,1,17.434017989536724
11,6,1,0,4.568639168189802,1,17.517892298127393
7,6,0,1,5.141704014635065,1,17.156539151226486
5,5,1,1,6.39672243812122,1,18.283443525529798
7,5,0,1,7.316218046093998,1,19.24657888309564
3,8,1,0,8.16740507493781,1,19.348690928449813
11,8,0,1,5.096973465192783,1,17.736474806408552
7,4,1,1,-0.7107035762034393,0,3.441061514704169
3,2,0,1,0.2333190603084554,0,4.44708096194926
6,4,0,1,4.015029262923076,1,16.62000071271517
9,4,0,1,4.215186436275888,1,17.047459454082155
6,4,1,1,8.394169819125265,1,20.13235106119388
5,7,1,1,5.626833539797026,1,17.587067185670286
11,4,0,1,2.588385576768241,0,8.710331160620145
8,5,0,1,2.875759231554596,0,8.998662613463123
10,5,1,0,5.763686536628143,1,18.177127689105763
1,5,1,0,1.0907971108387309,0,5.454472432595079
3,5,0,1,1.1637717880072684,0,5.8865037917258665
5,10,0,1,3.62650404407888,0,9.399064798245613
8,5,1,0,0.7167278502967549,0,5.259466779832902
8,2,1,1,6.840241593175145,1,18.81993636646379
5,5,0,1,3.5192226155164352,0,9.550492389704546
8,5,0,1,8.160008966889091,1,20.33977240911468
10,6,1,1,2.426225109590744,0,7.901265320808014
15,5,1,1,1.7305511627422137,0,7.5800718042103155
10,6,1,1,4.877883593679781,1,17.483148415147053
7,5,1,1,3.984587224292133,0,9.29563730638498
4,5,0,1,2.684398687333569,0,8.147396346152943
4,5,1,1,4.621324396266053,1,16.338342405651108
8,8,1,1,4.143661622146029,1,16.980342031214658
9,4,1,1,5.633058991466011,1,17.11257845537966
8,5,1,1,3.574412884325006,0,9.310989014501788
5,5,1,1,5.846217502357188,1,17.96973069934514
8,5,0,0,4.636574900541281,1,17.496553989787195
6,5,1,0,5.05048259345113,1,16.85393144472269
8,8,1,0,4.316900126396808,1,17.000154647434208
8,4,0,1,3.819034106795893,0,9.677146335714363
14,7,0,1,3.929862855362608,0,10.534275087326677
10,5,0,0,2.181203465931066,0,7.561744495162923
7,3,0,0,4.762212521910383,1,17.069236000530484
12,7,0,0,5.75341596673626,1,17.960796575014008
9,6,0,0,5.306351323275346,1,17.040780615771133
4,6,0,0,3.557907878401112,0,8.737163124986994
9,6,1,1,1.7547551213515535,0,6.932463658809343
7,5,1,0,7.228703676126155,1,19.116222196854103
7,7,1,1,5.037017189296754,1,17.16132419379267
7,6,0,0,7.517028652026642,1,19.221971830202083
11,4,1,1,7.510993411556283,1,20.46599274980671
8,4,1,1,4.642565099159983,1,16.856650110426827
7,4,0,0,1.8466858483569852,0,7.307811404478906
10,5,1,1,6.565858506113759,1,19.432355224859453
0,2,1,1,3.110911601145535,0,9.437504001455183
14,7,1,1,5.961272350570254,1,17.567014493468747
4,3,1,1,6.129646176353576,1,17.310005874067976
11,4,0,0,3.346889515925356,0,9.973720217135703
5,5,1,0,3.6255031174380137,0,9.443433795097803
6,7,0,1,1.8741831045648123,0,7.185030089442053
6,5,0,1,4.995070175243952,1,16.289125998727375
6,5,0,1,5.718478951748625,1,17.379590532130166
8,9,0,1,2.6978774225274185,0,8.702960013709609
8,7,1,0,6.171235679475387,1,18.33214905254888
10,7,0,0,3.9314649647140487,0,9.92764938481876
6,5,1,1,2.412948664178006,0,7.828342606746176
3,8,1,1,1.5874475058362427,0,5.981082923777637
9,8,0,0,7.948947906047588,1,19.682935936879296
9,5,0,0,3.4777025300872486,0,10.32373253996438
7,7,1,0,3.3582917743404863,0,9.080724436857023
14,8,1,1,5.212206866766913,1,16.60875521133959
5,5,1,1,1.436348744763622,0,6.094210106104521
3,6,1,1,6.052502962468878,1,19.02616753968458
9,6,0,1,5.002310320146169,1,17.104132622226743
11,5,0,1,5.665053234191486,1,18.06362144780123
7,5,0,1,5.2505367788013935,1,17.14341127057715
6,5,1,1,7.067627915339625,1,18.959335648877456
7,8,0,0,5.20147702241997,1,17.032126900722588
10,4,1,0,5.819316402717302,1,17.44983505859694
8,4,0,1,2.229027284955237,0,8.339430449968821
4,7,1,1,5.721411273455927,1,17.537872863343967
6,5,0,0,1.712701275330177,0,6.746164990914665
7,7,1,0,-0.565766485301932,0,4.065945510674869
4,4,1,0,4.5784954735027785,1,16.88656033759367
9,7,0,1,3.652546356069384,0,10.173058198081533
11,4,0,0,4.9557500684111,1,17.75068194399192
11,5,1,1,0.4707968856129083,0,5.743656270993164
11,5,0,0,3.8680851126787865,0,9.789241728391517
14,5,1,0,3.47835567533503,0,10.017457487457976
5,7,1,0,3.01825035746049,0,8.643312373064187
6,6,1,0,6.947208742649559,1,18.993449771454227
7,3,1,1,5.489472438670149,1,17.653395645023984
8,7,1,0,5.27504761326244,1,17.50216344419249
4,5,0,0,2.2504464951876706,0,7.606561641961137
6,7,0,1,6.292105513065507,1,18.32633042830296
5,4,0,1,1.4275571887742862,0,6.034550910220704
15,5,0,1,2.894169459676858,0,9.409602186187032
4,6,1,1,4.602706471448895,1,17.13007046600045
11,8,1,0,2.774227451326558,0,9.102717387040418
12,4,1,1,4.048184295989281,1,16.819058251960385
9,3,1,0,2.560165500797056,0,8.363950995077346
11,3,1,0,6.398454915354067,1,19.21735058015256
9,7,0,1,4.459623040506399,1,18.02914216722209
12,4,0,1,8.583261020486837,1,21.05795466259726
5,8,1,0,4.598359964081394,1,17.274304195872833
10,4,1,1,6.304089806661767,1,18.49041973573083
8,8,0,0,8.937875605853023,1,20.013481422693328
7,7,1,0,4.035901250227737,1,16.401245616220024
8,6,0,0,5.175433294047046,1,17.84530860288751
7,6,0,1,4.6994948579996745,1,17.791932428131837
14,4,0,1,6.056840571562845,1,18.2133946187526
7,6,0,0,3.565675091659969,0,8.715476788771065
12,7,1,1,4.238641844627094,1,16.89226090726378
8,6,1,0,6.920265667068325,1,17.510882316987413
8,5,0,0,2.4364728004885245,0,7.674633184552369
6,5,0,0,6.245902316734841,1,17.343189643564287
5,5,0,1,7.644850121814869,1,19.429917234710206
5,6,0,1,6.535528769561408,1,18.829144977553288
4,6,1,0,3.9625632526633554,0,9.714499861058538
7,4,1,1,3.1269662995121426,0,8.696277987345104
8,7,0,1,4.501121592866737,1,17.262642254276855
10,6,0,1,5.959127751827955,1,18.38049861830603
8,4,1,0,8.974561759068788,1,19.82268813658558
10,5,0,1,5.866982711203713,1,17.870726325646658
13,8,0,0,8.03026446871285,1,20.113092574691663
10,7,1,0,4.201154166104285,1,16.716687078235985
8,6,1,1,10.935954764443697,1,21.578924409963964
13,5,1,1,2.6367085026382298,0,7.900802002310611
8,6,1,1,5.851702085542884,1,17.867891036700914
9,4,1,1,1.9015910281519788,0,6.868639595894376
7,5,1,0,4.122325009556288,1,16.63774638260581
3,5,1,0,4.363465744608591,1,15.695691343166764
2,6,0,1,3.297977105293487,0,8.810773550824582
8,4,1,0,5.143691541637331,1,18.15050068721921
8,5,1,1,6.688901053375129,1,18.090560999026405
13,8,0,1,1.4316402028693789,0,7.300344714802012
3,5,0,0,4.67196622731485,1,15.721536865359608
8,6,1,0,1.5543390463938218,0,6.672860383123255
8,6,0,1,1.7791378166873644,0,7.524258840479111
7,6,1,0,2.259878242108486,0,7.5822215101215695
15,6,0,1,6.721857765981363,1,18.868809176785643
6,9,1,1,3.907750828098143,0,10.112132294119638
10,5,0,1,5.281526971213006,1,17.792295264874674
2,6,0,0,5.607820465346231,1,17.40743938601873
9,2,0,1,3.5422791117567765,0,10.141370029504069
11,3,0,0,6.799496317733098,1,19.02446012276464
12,5,1,1,5.361110445138672,1,18.546458911068378
5,2,1,1,5.518832986739363,1,17.22597109872176
13,5,1,0,5.476555761580832,1,17.471389143873665
8,6,1,0,6.583610770326878,1,18.726258385137427
8,6,1,1,2.855673277609673,0,8.436525147384215
1,6,1,1,0.2926535471311933,0,3.869303968894407
1,3,0,0,5.056386575863537,1,17.274192516126423
5,7,1,1,2.1242945822901547,0,7.521764596713745
8,10,0,1,3.9119712971870952,0,9.688820807494626
6,4,1,1,7.913450558001616,1,18.756613524006237
6,4,1,1,5.020329086466093,1,16.62541084479036
7,5,0,0,2.7067174620081014,0,7.532636673497872
5,5,1,0,4.640207724212184,1,16.589805067153353
8,7,0,1,6.356848366273827,1,18.508203786467604
16,5,1,1,2.8082575693086937,0,8.612107476094824
10,6,0,0,3.144670066509499,0,9.547189203407118
11,6,1,1,4.867659589551951,1,17.1686717407421
3,4,0,1,4.202087162664399,1,16.613117466490174
6,4,1,1,3.2678623964662155,0,8.475087633226062
6,6,1,1,-0.4218451547292297,0,3.9135483174988233
17,7,1,1,0.5728042840243219,0,5.790866267422157
6,2,0,1,7.26374743074299,1,18.338469567295807
4,4,1,0,4.38791529228735,1,17.027749049327408
6,8,0,1,2.745707407391324,0,8.177359475893368
4,4,1,1,-0.0136962397265154,0,3.5031123345104374
9,7,1,1,-0.705714903548925,0,2.8263617519562065
10,8,1,0,2.560651306401299,0,9.01737289559378
7,6,1,0,4.459614203049583,1,17.01890137943232
4,5,0,0,3.8724435424322814,0,9.710259446474277
11,4,1,0,2.707027588726951,0,8.080881822552644
7,6,1,1,1.3530331131995652,0,5.774490112737994
8,7,1,0,3.998863686264417,0,9.562652202970984
4,6,1,1,6.74605605181641,1,18.6391017583627
13,7,1,1,3.181841105824688,0,9.170773220642388
6,4,1,0,4.032400061285614,1,17.214761446385005
7,8,0,0,2.139939566354095,0,6.814132595255257
7,5,1,1,3.761126423156176,0,8.95614474185512
3,6,1,1,3.3857911128781795,0,8.996132665601055
11,9,0,1,6.388917608541625,1,18.871920448387257
8,5,1,0,-0.2085993634607232,0,3.015248512979468
5,8,1,1,4.321345688328819,1,16.749956334782876
7,5,0,0,2.7780351850532616,0,8.216687544645263
8,7,1,0,3.738728273317137,0,8.821304200493127
10,5,0,1,5.884984270989156,1,18.79018687774517
8,4,0,1,4.666693517742591,1,17.009853631780746
6,4,1,0,4.086137964558152,1,16.11848460211489
5,6,1,0,0.7266220401950672,0,5.2983690297721004
-1,6,1,1,3.1028820310997585,0,7.655753081148292
6,4,1,1,1.00473030140652,0,6.078816551787931
7,4,1,0,3.1611741070896717,0,9.369727740543793
13,6,1,1,3.257047690567532,0,9.93101240631137
9,5,0,1,3.7794782740866992,0,9.896845045962074
10,5,0,1,7.700500094330041,1,19.21006729701369
7,4,1,1,1.9399584902907008,0,7.135942202906374
8,5,1,0,2.887423507853317,0,8.70345981313708
3,6,0,1,4.192463660737903,1,14.94316098880934
9,6,0,0,4.927032318675682,1,16.800477532374735
12,4,1,1,6.414672841151465,1,17.9380367146753
12,4,1,0,3.443957347034684,0,8.908746009241618
8,4,1,1,6.249005314441969,1,18.25531143219718
13,5,0,0,5.866006056659924,1,18.4244483615238
9,3,0,1,5.133545846692334,1,17.15399372130304
12,5,1,0,3.984036982406198,0,10.7066851695762
11,4,0,1,3.959916670933616,0,10.66341754829903
4,6,1,1,-0.4609600642824727,0,3.515968421682894
7,4,1,0,4.87331872931539,1,17.547621576877862
8,4,1,1,4.652407910511291,1,17.905766632796016
7,5,1,0,2.122638711936885,0,7.009452292552755
6,7,1,1,3.118775989201378,0,9.378505147098055
5,8,0,1,6.805732622211954,1,18.51685277517967
14,5,1,1,3.091462346166583,0,9.373076600379845
6,5,1,1,3.5470136754782944,0,9.813418800567684
9,7,1,1,5.659404802504356,1,18.49352573451047
9,7,0,0,6.159341964172706,1,18.11094317533452
8,4,0,0,4.150080780071884,1,16.77974625495971
9,6,1,1,2.705731449167274,0,8.280329519341088
7,6,1,0,3.286722899992654,0,9.431769210805484
10,7,1,0,4.092412798942498,1,17.066524936046957
9,6,0,1,4.440440513108347,1,16.13378309628987
8,3,0,1,5.011403999123078,1,16.665787144406053
3,7,0,1,2.308587494792309,0,7.991739794943307
6,7,1,0,4.8856044725722985,1,16.08586156489171
7,6,0,1,5.671979408132539,1,18.17395013399924
5,7,1,0,5.713197918113638,1,17.267075810449075
0,10,0,1,1.6155587258296316,0,6.262009920834573
7,8,0,1,1.4303739458009297,0,5.931602403791206
7,5,0,1,-0.6692715430486862,0,3.896438398568062
9,4,1,1,2.130692775840192,0,7.81674852816526
12,3,1,1,1.4236630315270644,0,6.252462775113127
7,5,0,1,4.405917647176628,1,16.810909393392766
3,3,1,1,5.779913988333568,1,17.743243065246087
6,7,0,0,5.875285961761698,1,18.787516524594643
7,7,0,1,7.079082732254573,1,18.80537859887012
4,7,0,1,2.183901207110482,0,7.340180032688034
10,5,1,1,3.604478595264904,0,10.652936785434864
8,6,1,1,4.021403163784239,1,15.950529398742855
8,6,0,1,7.953585890978647,1,20.178564567726852
13,9,0,0,7.587485203318195,1,20.17466136755028
7,5,0,0,1.0067729292061949,0,5.671252378264942
6,6,0,0,5.9358765915616525,1,18.22935874501425
4,5,0,1,5.182351991049073,1,17.3294506312589
6,7,0,0,3.338778290416888,0,8.371966897384219
9,4,1,0,5.267251156670609,1,17.501358564658673
10,7,0,1,7.178885975991018,1,19.098633660269783
14,4,0,1,1.3221613868460516,0,6.461628761562899
4,5,1,0,3.634537171068093,0,10.216182494061192
6,5,1,1,3.0141570339812933,0,8.576150628220065
3,5,1,0,1.84163847631588,0,6.870703558427024
6,3,0,0,0.4614069373519234,0,4.7427831243833465
10,7,0,1,2.918641620067039,0,8.721619307808501
3,6,0,1,4.644082414519666,1,16.593339064591213
5,7,0,0,3.516193501567148,0,9.39380238078422
11,4,0,1,3.738891591194458,0,11.024364382749155
9,7,1,1,5.153728646945831,1,17.120959145911637
9,2,0,0,3.961180021998045,0,10.95255630308474
6,6,1,0,2.079151841839978,0,6.971165997238753
10,7,0,0,1.3433028097589266,0,6.76770219827428
7,7,1,1,3.076299280144894,0,8.84247237168626
9,7,0,0,4.878694476439588,1,16.897778540203053
11,6,0,1,2.1816802388511918,0,7.56696689412798
12,3,1,0,3.174095362687813,0,10.44490434171699
7,9,1,1,6.472972260961843,1,18.55968904200138
6,5,1,0,7.748347460510407,1,19.00007294573309
7,4,0,0,5.946911836837431,1,18.176723181712774
9,6,0,0,5.10618381627964,1,17.426398241902163
7,6,0,0,5.861215792099803,1,17.03180961718244
10,8,1,0,2.913182243633292,0,8.646694612853702
7,4,1,0,5.704143870616294,1,17.477553255208207
10,7,1,0,5.863016916652359,1,16.964280385389486
10,8,0,1,4.472629334875586,1,17.688418114371352
5,5,1,1,1.1735359408981534,0,6.408538911505189
7,8,1,0,3.1058337657456447,0,8.868217507588524
3,7,1,1,5.50609555068439,1,17.04122383089966
4,6,1,0,4.44649543930972,1,16.486208208550636
10,6,0,1,3.982718006288952,0,10.564790625217093
8,5,0,1,1.5387711477866546,0,6.202677758149582
8,3,1,1,0.5042612564411049,0,5.692567622258565
10,6,1,0,3.367299137582696,0,8.951324376105243
8,7,1,1,3.694961698640996,0,8.925546787934552
7,4,0,1,4.642929662499595,1,17.126539320892338
6,5,0,1,0.073778995170834,0,3.573875047880992
11,8,1,0,3.8131546205329783,0,9.385420549888869
9,4,1,1,5.752867027712012,1,18.212419881739145
1,4,1,0,4.149446103642549,1,15.550682592221374
8,3,0,1,4.791506873244662,1,17.874709130136722
6,6,1,1,0.8184992154428974,0,5.136732886284758
8,6,1,0,2.411208271277389,0,7.8303745494912995
9,6,1,0,3.4415979821068703,0,9.290362963069713
7,7,0,1,3.1238046320773725,0,9.011773937226383
5,6,1,0,6.016823950381294,1,17.846353896094776
9,6,0,1,4.612618807202082,1,17.173620872626177
10,7,0,1,4.728315911112813,1,16.656512556615425
2,6,0,1,2.298690496898373,0,8.290622810085607
8,2,1,0,3.360758390638024,0,9.13264061071724
7,3,1,1,6.712878181094348,1,19.412028538812187
