age,years_of_experience,previous_month_income,education_years,gender,rural_residence,job_retraining_program,current_month_income
19,26,10,7,1,0,0,51.10488197345926
25,20,9,17,1,1,1,43.18900646352382
36,25,11,11,1,0,0,34.54208073208967
29,13,6,10,0,0,0,34.50249300761062
31,21,6,15,1,1,0,34.527894203396166
23,22,7,14,1,0,1,45.07878077582284
21,17,12,9,1,1,1,45.904555019707686
21,21,5,16,1,1,0,41.802748169932045
41,22,3,12,0,0,1,28.6615858757976
30,17,5,21,0,0,0,33.34528826205627
5,17,16,13,0,1,1,62.937427693054495
20,34,9,20,1,1,0,50.605386327645455
34,20,8,19,1,1,1,34.12460074017076
43,13,14,6,0,0,0,26.2417837131498
25,20,12,16,1,1,1,44.87751384136024
19,21,8,11,1,1,1,48.11617541638299
38,29,12,15,0,0,0,36.3127609308301
52,26,7,18,1,1,0,20.97531721356889
42,17,8,16,1,1,1,26.395247856681387
32,30,4,8,0,0,0,40.90132959317737
22,19,15,17,0,0,0,46.60891348347296
41,29,11,9,0,1,1,35.18505484483366
26,18,8,20,0,1,0,38.44509288189196
25,19,8,12,0,1,1,41.90682005836271
40,26,16,15,1,1,1,35.729726774828734
33,15,13,19,0,1,0,34.60996455521759
15,18,8,4,0,1,1,52.597772854165314
11,18,10,10,0,0,0,54.50550436680066
27,27,11,17,1,1,1,45.0647376484504
31,11,11,15,1,0,1,34.260346699403335
28,22,9,11,0,0,1,42.20911626293727
34,25,8,16,0,0,1,38.992902048445
27,11,8,9,0,1,0,33.02002795765468
28,17,7,17,1,0,0,34.3075924256957
29,11,11,5,0,1,1,37.35069141744427
25,35,14,13,0,1,1,55.01463912294189
33,19,6,15,0,0,0,34.14475675402417
32,10,6,13,1,1,1,29.697179796795787
29,28,9,15,0,1,0,43.68838652808937
28,23,10,13,0,1,1,44.4306633695423
32,18,7,14,0,1,0,33.115713631436044
29,12,11,19,1,1,0,33.46108413991794
32,5,10,27,1,0,0,24.3876492338635
18,30,8,21,0,1,1,53.26217576281617
44,25,9,10,0,1,1,30.364431382758127
21,21,9,10,1,0,1,48.95912896222632
36,24,5,12,1,1,0,32.06154436778079
32,23,12,19,1,1,1,38.90343142025319
31,20,8,12,1,1,0,35.978784553777935
38,11,13,9,1,0,0,28.86278091745268
38,17,10,19,1,0,0,27.43518615569687
27,26,5,10,0,1,0,41.86686360038843
26,14,11,14,1,1,1,39.03690151785607
29,21,10,15,1,1,1,40.14941979814821
41,13,9,16,0,1,1,24.846617821571755
33,13,11,19,0,0,0,31.217936537796056
30,20,6,8,0,0,0,37.54734039027272
40,14,10,18,1,1,1,29.370678193084068
32,20,5,17,1,0,0,34.38349278906157
32,26,12,20,1,1,1,41.28284426648239
28,19,12,2,1,1,1,42.13063013470013
30,23,8,18,0,1,1,40.6654792226942
25,7,18,12,0,0,1,41.16852065352866
33,25,10,11,1,0,0,39.17605286526069
40,16,9,13,1,1,1,29.20985649665525
29,31,8,11,0,0,1,47.65090873882847
32,17,12,21,1,0,1,35.29584773921687
27,26,10,14,0,0,0,43.0729656217985
35,11,10,19,1,0,0,26.14494790336852
39,28,7,11,1,0,0,33.89302817279743
26,20,6,12,0,0,0,40.63511222000196
22,26,11,20,1,0,1,48.40373618743211
18,16,12,13,1,0,1,50.02074892834485
32,20,11,13,1,0,1,37.10891924632466
31,17,12,12,0,0,1,37.95944317717331
45,32,8,11,1,1,0,29.34963193301729
38,21,5,9,0,1,1,31.958991274836663
30,19,10,18,0,0,0,38.01167302040472
36,21,5,16,0,1,0,30.07374290856973
23,16,9,16,0,1,0,41.10339254691405
34,21,15,13,1,1,1,39.53239693057075
25,27,5,18,0,1,0,42.53418291237039
23,18,9,8,1,0,0,42.43355094058954
35,0,15,9,1,0,1,26.29627783447159
26,17,9,24,1,0,0,37.28518797463349
19,24,17,11,1,1,1,53.14140186488088
34,13,13,10,0,0,0,32.89423173231788
30,29,13,12,0,0,0,43.15265339728245
22,21,12,13,0,0,0,45.62174551904111
25,8,12,18,1,0,0,35.17713368370925
23,14,9,14,1,1,1,41.557522088386335
31,18,9,9,0,1,1,37.08377403498096
29,14,9,23,0,1,0,32.883919174597615
29,17,13,16,0,1,1,40.67229660801863
44,22,13,14,0,0,1,30.53284650612628
36,14,10,17,1,1,1,29.310662830944235
45,18,9,12,1,1,0,22.62675230756547
17,15,10,19,0,0,0,45.67270493661136
18,18,15,15,0,1,1,50.42135237604994
42,20,6,17,1,0,1,27.36728582487121
28,23,10,13,1,1,1,44.6031770714217
34,15,13,7,1,1,1,36.10197939214871
24,18,9,11,0,1,1,43.35908844523618
24,22,14,8,0,1,0,46.33618372055359
28,30,10,13,0,0,0,45.512888363255634
39,16,13,14,1,1,1,30.211627341853887
27,13,7,14,1,1,1,36.74335508562426
30,14,8,15,1,1,1,35.04551917207093
19,18,9,14,1,1,1,45.8620866251479
42,24,8,9,1,1,0,28.90371006743951
24,29,7,10,1,1,1,48.21082992419698
14,20,13,13,0,0,0,53.577724193248
28,20,6,9,0,1,0,36.90966558533582
40,22,11,11,1,1,1,32.4759489020335
29,12,3,11,1,1,1,33.605003822785505
20,14,11,10,1,1,0,44.17247159504677
22,19,4,17,1,0,0,41.97683618942953
37,21,5,18,0,0,0,29.239005676643725
27,21,12,16,1,1,1,43.92474002361651
30,20,11,19,1,0,0,35.55056834736098
22,28,13,19,1,0,1,51.89410027319861
39,16,8,19,1,0,0,25.6814237285706
26,11,13,5,0,1,1,42.652076299041966
33,25,11,18,0,0,0,37.641770155963066
35,26,11,11,1,0,1,39.74800634709631
29,12,8,19,0,1,0,34.36888862968687
46,27,9,12,0,1,1,30.91027732753645
22,20,7,14,1,1,1,44.65591534777548
33,22,12,12,1,1,1,36.80058880403929
24,22,8,18,0,1,0,43.77542868780159
29,15,12,11,1,1,0,36.24144441794397
37,13,9,15,0,1,0,27.27883922259588
35,21,14,8,1,1,1,38.55845455647794
32,28,11,11,1,1,1,42.51372434757887
40,16,13,17,0,1,0,25.37181430135377
25,15,10,12,0,1,1,41.972842091564
23,27,14,16,0,1,1,50.62764300425444
31,20,7,11,1,0,0,34.97442131237032
32,12,10,14,1,1,1,34.14658819415831
38,8,8,0,1,1,1,27.067361248389783
25,12,12,12,1,0,1,41.628119279545885
42,12,8,23,1,0,0,19.263652637812623
30,34,10,11,1,1,1,48.1775532018174
26,22,8,8,1,1,1,44.85948722401439
28,29,12,12,1,1,0,43.75804068892487
26,15,10,18,1,1,1,39.8399301764194
34,19,10,12,1,1,1,35.80633309783007
36,26,11,9,0,0,0,36.775310835021614
22,20,9,13,1,1,0,45.94895864221289
43,14,9,13,0,0,0,24.0363088821525
32,18,12,16,1,1,0,35.0608146604041
41,18,6,16,1,0,0,24.463079346281063
19,13,13,11,1,1,1,45.74581214734855
40,24,14,17,1,0,1,33.61348503329052
16,29,11,19,1,1,1,55.87011402686851
17,27,9,23,1,0,0,51.003423621357165
37,4,10,8,0,1,0,22.245549681231587
16,15,8,14,0,1,0,45.71545510145259
25,23,10,13,1,0,1,47.091588102769926
30,20,13,14,0,1,1,41.21492323290263
19,18,10,15,1,1,0,44.74331038373215
38,14,10,14,1,0,0,26.751879280487675
16,15,10,7,1,1,1,49.87000156702467
25,28,9,16,1,1,0,45.1834232909706
19,22,18,22,0,0,1,52.723799855150986
19,15,10,10,0,1,0,45.64325680563324
27,6,12,8,0,1,1,35.57368178681892
26,16,9,11,0,0,0,39.19622675193236
32,5,9,6,1,0,1,29.11613546955236
26,19,6,11,0,1,1,43.58241617290106
28,26,10,16,1,0,1,42.626272516093785
21,26,10,17,1,0,0,48.83070970183316
37,12,0,22,0,0,0,22.87282608648884
33,20,6,11,1,0,0,32.77022598592951
30,16,11,14,0,1,1,38.929339322091565
38,32,7,14,1,0,1,36.90393898303099
32,20,5,18,1,0,0,32.451829741731565
27,10,8,9,1,1,0,35.26991180198558
28,18,12,12,1,0,0,38.066232836603376
39,35,7,10,1,1,1,38.02159480966816
33,22,5,11,1,1,1,34.76905280472086
46,14,7,10,1,1,1,22.32478233205648
28,25,10,3,1,1,1,45.78000999397358
42,17,13,10,1,1,1,30.102354210028945
37,10,8,16,1,1,1,27.20814720157678
26,21,8,6,1,1,1,43.63098836034402
33,16,11,14,0,0,1,35.35406473201046
35,27,5,16,1,1,1,36.20403878509653
36,21,9,17,1,1,1,32.952556212383925
43,21,6,6,1,1,0,25.76039963968708
15,10,13,14,1,1,1,46.70323247391264
19,24,10,8,0,1,0,50.1986316734318
21,19,5,10,1,0,0,42.854122823382426
24,8,4,11,0,0,0,34.27377546474734
7,20,11,13,0,0,1,61.01783015287402
25,20,7,20,0,0,0,39.38755986391861
19,25,10,12,0,1,0,51.89837985150935
36,21,9,15,0,0,1,34.14277662023155
14,22,7,10,1,1,0,52.75978351062015
41,12,9,8,1,0,0,24.274344578156803
26,14,6,21,0,0,0,35.26762797684781
27,8,5,10,1,1,0,31.46959962152517
36,16,13,12,0,0,1,33.27322180364898
20,23,10,14,1,1,1,49.75463654783772
14,14,10,6,1,1,1,49.84690447613216
27,13,11,12,0,1,0,35.57272508822045
29,28,12,14,0,1,1,45.48232296701023
28,17,6,9,0,0,0,36.3324846941212
34,24,11,11,1,1,1,39.602449187372606
27,21,5,13,1,0,0,38.99744697068608
31,22,10,17,1,0,1,37.95792049076702
15,27,10,4,0,1,1,57.245869004320845
31,13,10,14,1,1,0,31.349834484998254
29,14,5,16,0,0,0,33.320457677095305
26,23,5,11,1,1,0,41.672198948942295
31,20,10,11,1,1,0,36.557765725101135
33,16,10,18,1,1,0,30.826405650909763
28,14,12,15,0,1,0,36.28282667223569
32,22,11,19,0,1,0,37.08704493352057
43,22,11,19,0,0,0,27.13243581980648
31,30,13,17,1,0,1,47.001712495267896
25,16,12,9,1,1,1,41.56520467501912
32,22,10,13,1,1,1,38.773232135232526
32,25,12,14,1,0,0,38.92118513639481
34,12,9,13,1,0,1,30.6793980293569
25,18,13,12,0,0,0,43.05487965056618
20,24,10,18,0,1,1,50.152169074514845
33,19,10,14,1,0,1,34.64572379469699
27,21,12,10,1,1,1,43.302185921658925
38,22,14,24,1,1,1,35.93571745591415
24,21,10,8,0,0,0,45.31362376970716
32,17,8,17,1,1,1,35.47733230983795
35,16,2,7,0,0,0,28.753394452989635
26,28,11,18,0,1,1,44.95353887447867
36,22,9,6,1,1,1,34.24309163795803
23,31,10,11,1,1,1,51.95395626427087
43,14,6,24,0,1,1,21.07307137348088
17,22,9,13,1,0,0,49.681864261959866
35,12,13,12,1,0,0,29.977454230780022
31,27,14,18,1,1,0,42.57919680330952
24,12,3,12,1,1,1,37.21956867309813
41,20,9,14,1,1,1,30.3952469741751
28,29,12,12,1,1,1,47.152001263993306
38,29,11,18,1,1,0,34.87531800696808
36,22,17,9,1,1,1,38.581861893383504
24,19,7,13,1,0,0,42.06826949548911
28,26,10,19,1,0,1,44.39632877829766
29,27,8,10,0,1,0,42.67828083000691
4,20,14,16,1,0,0,61.67426513228704
41,22,9,9,1,1,1,31.366148169658263
16,11,9,23,0,1,1,45.77639550646351
25,8,11,16,0,1,0,35.244756891273994
51,23,11,9,1,1,1,21.966518766284874
26,14,10,4,1,0,0,39.70853203879592
23,19,6,26,0,1,0,39.50070325948632
26,28,8,12,1,1,1,46.89358754227592
31,13,16,17,1,1,1,35.91317775210827
29,18,8,11,1,1,1,39.29946899266072
34,25,12,11,1,1,1,40.40482721428058
20,24,5,4,1,0,0,47.53026892065089
31,23,7,14,1,0,0,35.28453492575147
35,26,14,17,1,1,1,40.28243113900605
36,19,7,22,1,1,1,31.385880838284493
46,17,6,11,0,1,0,19.68023430939387
34,17,13,12,1,0,1,36.65330209434165
24,23,7,10,1,1,0,43.69216799896147
23,16,15,12,1,0,0,44.13718102820684
24,27,12,17,0,1,1,49.56924839974948
20,21,12,19,0,1,0,46.8069229971844
19,18,11,18,1,0,1,45.86153561450825
40,16,11,8,1,0,0,26.356576375178808
21,17,15,21,0,1,1,46.18072272672955
32,10,6,18,1,1,1,30.12446381636329
24,28,12,22,0,0,0,47.69004420361672
39,10,7,13,1,0,0,22.73721696991891
39,26,5,17,1,1,0,31.28638209184419
17,14,14,2,1,1,1,49.98801391888659
24,27,5,22,1,1,0,42.41855182839191
35,27,8,9,0,0,0,37.59011209375345
23,18,9,16,0,1,1,44.70875724486803
43,14,14,6,1,1,1,26.411076532717992
27,10,13,12,1,0,1,37.28584366881687
45,17,5,17,1,0,1,20.98194531961036
24,31,2,15,0,1,1,47.93241469395755
36,10,9,10,1,0,1,28.763200284347405
22,26,8,7,1,0,0,49.080133605328
34,23,6,10,1,1,0,35.662338816029106
30,21,15,14,1,0,0,41.96954767367316
36,22,5,12,0,0,0,30.091259096151003
28,21,14,15,1,1,1,44.3402263690232
23,22,8,11,0,1,0,44.632889577968825
31,13,8,20,0,1,1,33.64957880269055
27,24,9,10,1,0,1,44.56213960947893
28,17,13,12,1,0,0,37.8312354789712
29,19,6,12,1,1,1,38.05653456303085
25,23,8,11,1,1,1,44.6718225282746
29,20,6,17,0,0,0,36.54389965576962
25,28,9,20,0,1,0,44.781514377677695
40,31,11,7,0,0,1,39.18107711114196
38,19,10,19,0,1,0,29.815464347706293
41,12,11,16,0,1,1,25.50101425195022
31,24,12,21,1,1,1,40.78057276192203
26,31,8,11,1,1,1,47.2859300072684
32,28,13,20,1,1,1,42.65146244776016
28,21,11,16,1,1,1,42.22599361422201
35,8,9,12,1,1,0,26.64234805192701
21,16,10,5,1,0,0,45.40041185814236
27,24,14,13,1,0,1,46.21136826613487
33,21,11,17,0,1,0,34.693875358846
36,21,14,12,1,1,1,34.792067968628295
25,15,9,22,0,1,1,40.340970658203794
25,13,13,14,1,1,1,41.26909346352004
34,15,14,19,1,0,0,32.02976344674078
31,15,16,15,1,1,1,38.219055497090935
18,15,10,20,1,1,1,46.24767501007136
21,18,14,12,1,0,0,44.36835892263459
22,25,9,16,0,1,1,48.9410043498364
36,16,11,20,1,1,0,30.19818018250076
29,19,6,12,0,1,0,36.77714254273243
18,29,12,11,0,1,0,53.90815644817224
30,23,9,13,0,1,1,41.39846594669067
31,22,12,16,1,1,1,39.54981348906342
20,13,14,12,1,1,1,44.43290147979558
31,29,14,4,1,1,1,47.18971246334448
40,6,16,11,1,0,1,25.437251856701824
32,16,5,14,0,1,1,32.72814115898417
30,28,13,17,0,1,0,43.16584621939846
40,22,11,20,1,0,1,30.494830036481886
40,34,12,13,0,0,0,38.94276341055794
29,13,7,7,0,1,1,37.94227389130804
33,26,11,1,1,0,0,40.510960481517344
31,24,9,12,1,1,1,41.03568597524739
38,21,6,21,1,1,0,28.310437716476297
22,29,11,13,0,0,0,52.62746423173732
37,15,9,17,0,1,0,28.91424506698297
26,10,8,8,0,1,0,35.240054483227226
35,20,10,8,1,1,1,35.03376593386117
30,15,8,15,1,1,1,35.646715932498296
33,25,9,7,0,1,0,38.509077292632334
42,24,13,12,1,1,1,32.97017363119741
31,25,11,21,0,1,0,38.63478691891995
15,26,12,12,1,0,1,57.08139422191897
30,18,9,18,0,1,1,36.73704235417088
12,24,5,11,0,0,0,53.33094655186589
30,21,7,18,1,1,0,34.08779006069113
38,23,10,11,0,1,0,33.22868198668831
41,21,7,15,1,1,1,30.268630374189268
37,28,8,7,1,0,0,35.989597211783874
33,15,10,10,1,0,0,34.34381490430054
28,20,12,14,1,1,1,42.17830004038074
24,17,9,8,0,1,1,41.101202141081664
26,23,4,3,1,0,0,42.47224348996992
20,19,13,20,1,1,0,44.42112207094725
42,29,11,0,1,1,1,36.02547482861842
28,15,6,21,0,0,0,33.37954044332558
31,21,10,9,1,0,0,39.03126517415081
31,12,13,20,1,1,1,33.85495378107589
22,25,6,14,1,1,1,46.34099433879385
32,28,11,15,0,1,1,43.66741688810572
18,28,10,18,1,0,0,53.28004593819344
29,14,15,13,0,0,0,38.42246917204712
41,13,9,11,1,1,1,26.628158663745552
26,17,10,12,0,0,1,40.339120606890646
22,22,12,20,1,1,1,46.83858428072064
17,14,5,11,1,1,1,44.32602906408724
29,19,12,11,1,1,0,38.26928970973195
14,22,8,16,0,1,0,51.28500503387198
37,18,13,14,1,0,0,32.50583238061548
25,15,13,16,1,1,1,41.23985078719668
25,15,11,16,1,1,1,40.68232189382572
18,23,10,11,0,0,0,49.95073476748332
14,13,15,18,1,1,1,49.09321165552759
39,22,11,14,1,1,1,34.420962326729146
37,19,12,16,1,1,1,31.80669250872837
34,14,8,14,0,0,0,31.96229204396777
34,24,6,16,1,0,0,32.698452558591086
31,13,16,13,0,0,1,38.75572369319747
32,25,9,16,1,1,1,41.09643290896991
29,20,8,15,1,1,1,39.33248553709891
25,25,12,13,0,0,0,47.10255212720798
26,25,12,15,0,0,0,44.65868740555
22,21,8,13,1,1,1,47.02730443223317
29,17,13,7,0,0,0,39.675837167707854
27,27,7,24,0,0,0,42.79543946394903
37,20,7,15,1,1,1,31.49447316230255
23,19,11,12,0,0,0,43.18064523920318
36,29,10,11,1,1,0,39.07230592924722
17,15,8,8,0,1,1,48.41935250377518
38,13,9,6,0,1,0,28.31961756460143
30,15,10,10,0,1,0,35.702254267033005
18,22,12,16,0,1,1,52.56808307723555
21,22,9,12,1,0,1,48.263771010155104
24,26,9,13,1,1,0,44.9169119526923
22,13,8,11,1,0,0,40.09821364509552
29,26,13,11,1,1,1,45.12509478084449
29,12,11,17,0,1,0,34.2739456790433
24,11,15,18,1,1,0,37.91092839274906
20,17,5,13,1,1,1,44.697586971547
30,26,9,12,0,0,0,40.83527722835764
30,22,9,19,1,0,0,38.42135076278974
25,18,12,11,1,0,0,41.82926857805089
26,16,13,14,0,0,0,39.22995550330554
33,16,14,12,1,0,1,36.07752759596181
37,16,4,12,1,1,0,27.963956714569186
31,21,6,12,1,0,1,36.4775402960008
25,33,11,10,1,1,1,52.33279834984231
21,29,6,11,1,1,0,50.21025179657262
29,17,16,12,1,1,1,39.58498638516338
35,18,11,14,1,0,0,31.16810402351136
29,20,8,16,1,1,1,35.45608424937369
41,20,7,19,1,0,1,27.26661477030787
44,28,12,25,0,1,1,31.04858340174597
26,23,10,7,0,1,0,44.97557188561771
32,28,15,18,1,0,0,40.66590522802853
38,25,11,15,1,1,1,34.016950250990334
31,21,15,12,1,0,0,41.084042227763454
26,13,5,21,1,0,0,34.93640894045563
43,25,9,14,0,1,0,27.2189510185668
36,21,11,12,1,0,0,32.56033815052076
24,17,9,16,1,1,0,40.772422199350494
29,27,10,23,1,0,1,41.33145548684547
12,22,11,21,1,1,0,53.9474111477079
34,16,12,21,0,0,0,32.66199839080596
27,30,15,14,0,1,1,51.811229685027605
23,13,7,14,1,1,1,39.32663268338257
31,9,12,16,1,0,0,31.741233127312984
26,17,10,6,1,1,1,41.37606623304955
33,28,11,12,0,0,0,41.1014993223313
17,27,12,19,1,1,0,51.98535467387127
32,30,15,16,0,0,0,44.26123896545763
58,34,10,24,0,0,0,19.153332562360347
20,27,14,7,0,0,0,54.37602752196115
42,22,4,9,0,1,0,26.59743439904707
29,17,9,7,1,1,1,38.123417984675065
33,21,16,14,1,0,0,38.495357879878746
30,14,8,16,1,1,0,32.197289373872735
32,29,7,24,0,1,1,40.54970650654264
47,21,7,12,1,0,1,24.70370454694231
23,30,5,16,0,1,0,48.739824118068256
26,24,6,20,1,0,0,41.52586644145575
28,15,11,12,0,1,1,38.6015165795571
41,14,9,12,1,0,0,24.07460012826093
40,17,11,7,1,0,1,33.844677246084615
33,24,7,15,1,1,1,38.256226677173785
35,11,9,18,1,1,1,29.16441142119068
32,17,10,13,0,0,1,35.79940164658502
35,14,7,20,0,1,0,28.61494291460725
27,19,11,4,0,0,0,41.97601266662276
25,19,14,17,1,0,1,44.46402769002382
23,8,7,11,1,1,1,37.06744419464629
33,22,10,22,0,0,0,34.940598049527686
34,13,11,9,0,0,1,35.07279371572978
44,18,12,14,0,1,1,27.685402375579965
23,25,11,11,1,1,0,46.5617294956739
28,14,13,6,1,0,1,38.92916404026344
28,19,10,10,0,0,0,38.98195492453572
25,5,10,10,0,1,0,36.02847470426008
32,24,5,13,1,0,0,35.68585069470725
28,17,16,12,1,1,1,40.05534749577824
42,20,11,19,1,0,0,26.47205189314774
22,17,10,18,1,0,0,41.32404369463879
37,21,11,18,1,1,1,32.89736019530031
31,19,13,19,0,0,0,36.00128626655096
23,16,8,19,1,1,1,42.078885819177486
28,25,9,20,1,0,0,40.33851383437799
26,12,12,13,1,0,1,40.51687456140743
15,14,16,13,1,1,1,51.8523154304618
29,12,6,9,1,1,0,34.10228497280155
21,10,9,17,0,1,0,39.16177825064975
30,21,11,10,0,1,1,41.23183199134961
3,19,10,18,1,0,0,58.98544185624911
20,16,4,20,0,1,0,43.05545265427135
36,23,7,9,0,1,1,36.78325201820202
29,23,9,18,1,0,0,39.55972208518973
34,29,11,16,1,1,0,39.24762889632323
36,21,13,19,0,1,1,35.46285841020933
30,26,8,7,1,0,1,42.69644420161943
24,19,11,7,1,0,1,45.61042678498177
29,15,13,6,0,1,1,39.28155618086837
28,16,8,11,1,1,1,38.78022767075767
35,27,10,10,1,0,1,40.13757250163332
38,31,4,7,1,0,0,37.192005878456406
53,20,7,12,0,1,1,18.68775537823532
20,20,10,14,1,1,0,47.43768891602035
33,19,11,15,1,1,1,36.60125912621942
26,14,8,14,1,1,1,39.05820778317763
19,28,12,20,1,1,0,52.11395867276366
32,19,10,18,1,1,1,37.20149621304302
36,23,6,13,1,0,0,31.068816610612263
27,16,11,18,1,0,1,38.58156187808831
31,20,4,10,1,1,1,38.13803451868944
33,24,15,19,1,0,0,38.663063930010566
42,31,9,10,1,1,1,35.48278257180461
30,25,10,20,0,0,0,39.94221973595802
30,18,16,13,1,1,1,41.57197597330079
28,15,12,6,0,1,1,41.99393574733183
34,18,14,7,1,0,0,35.94704074997359
31,15,9,13,0,1,1,33.27065304547898
25,18,3,13,0,0,0,36.86356893668592
24,23,6,15,0,0,0,43.078351653967005
25,4,12,14,0,1,1,36.557323924186846
36,23,12,9,1,1,1,37.23512454997199
41,14,12,14,1,1,1,25.531460794492038
33,27,11,13,1,1,0,39.722035046107145
37,21,13,8,0,0,0,35.63538113281453
23,14,12,15,1,1,0,40.677001870739296
17,7,6,5,0,1,0,41.58184520514504
28,7,10,11,0,0,0,32.72461681620904
40,12,8,17,1,1,1,25.84874505060848
15,17,10,11,0,0,0,47.81732468918966
41,21,6,11,1,1,1,29.378686090312893
20,16,11,11,1,0,0,44.77284503429894
12,16,7,11,0,1,0,51.04537605467261
28,14,11,3,1,1,0,37.63357270990209
20,21,9,15,0,1,1,46.672769695421664
43,30,11,11,1,1,1,35.82353894145728
30,27,11,14,1,0,0,39.4105624912128
28,22,15,19,0,0,1,44.680542097924125
33,18,11,18,0,0,0,34.765605608937044
28,14,10,22,1,0,1,36.989652775277776
33,18,5,19,1,1,0,30.11380854944534
24,9,13,17,1,0,0,37.301562654843686
24,9,10,18,0,1,1,39.93315560103441
38,34,7,19,1,1,0,34.868424336116924
26,15,10,15,0,0,1,38.53155467379065
32,26,13,5,1,0,1,42.15998959932698
18,12,11,16,0,0,1,47.0609310077339
21,28,8,16,0,1,0,49.03674440062813
26,13,8,4,1,1,1,39.70834575034165
18,11,8,18,0,1,0,39.82880875280495
21,29,8,14,1,1,0,51.14381211850318
14,12,4,10,0,1,0,46.91435328048982
25,12,8,9,1,1,1,38.33455124365346
19,28,13,10,0,0,1,55.92117821816609
27,17,11,13,0,0,1,40.69804508229888
36,19,6,13,1,1,1,31.220654216499664
15,14,8,11,1,1,1,47.59896840147799
25,23,6,14,1,1,0,41.71150731430652
24,16,11,15,1,1,0,38.22750780490347
20,12,8,9,1,1,0,40.22660665021231
23,22,9,14,0,1,1,46.95828303428425
46,29,11,10,1,1,0,30.606945610028937
29,20,7,15,0,1,1,39.068345886660325
29,23,8,3,1,1,1,42.957743646247806
29,22,8,12,1,1,0,39.01153017400461
31,17,10,12,1,0,0,34.94878710284986
37,12,12,20,1,1,1,28.221973657225693
31,20,11,7,0,0,0,38.81178434818039
11,18,8,20,0,0,0,50.86543299946774
37,22,9,11,0,1,1,34.180802293266105
56,13,9,17,1,0,1,12.833683445804414
36,22,7,26,0,1,0,30.11677742328399
37,15,14,11,1,0,1,32.244506325192106
37,19,8,12,1,1,1,32.46211550359343
29,26,10,11,0,0,0,43.97474068177716
16,16,10,19,0,1,0,46.92887786181723
22,7,4,7,1,0,0,35.19739305937087
30,13,6,14,0,1,1,33.13855463865085
18,21,11,12,1,1,0,47.99635166097581
29,13,9,14,1,0,0,33.13696511172983
37,14,15,22,0,1,1,30.312683153630715
42,17,8,12,1,0,0,24.864094866882844
33,21,12,17,1,1,1,35.65808193780419
30,20,9,17,1,1,1,37.82163718092768
29,18,7,6,0,1,0,36.04623455412304
15,17,12,15,0,1,1,51.10430457205881
17,14,11,12,0,0,0,45.351657369384185
27,34,10,14,0,0,0,48.03981837267128
23,10,10,9,1,0,0,38.48140729739481
28,18,10,10,1,1,1,42.9053812427477
31,22,11,13,1,0,0,37.963098841783854
24,19,8,12,1,0,0,41.665947466147045
40,28,6,13,1,0,0,31.62430096005445
16,14,12,15,1,1,1,48.72480584252047
48,15,8,5,0,1,1,20.945212199588237
30,16,10,10,1,1,1,37.97587840472932
35,19,11,18,1,0,0,32.19330438128604
