age,income_level,gender,rural_residence,previous_unemployment,job_training_program,employment_status,annual_income
37,17,1,0,1,1,47.7499342326741,174.3708889681075
31,30,1,1,1,1,52.93490884257952,190.521003487126
49,42,1,0,0,1,72.46854895215061,242.370922362329
40,16,1,1,1,1,50.01493106747068,181.20745807821427
35,21,0,1,0,1,46.12916190001217,169.18566314429563
32,20,1,0,0,1,42.98993615966225,162.5908606888329
28,22,1,0,1,1,45.49619518348605,168.37619331256082
26,25,1,0,0,1,42.268136491442014,162.21761484357236
18,25,0,1,1,1,34.98505618319485,143.01856495086992
32,16,0,1,1,1,42.67270304701969,160.91900738554668
40,17,0,1,0,1,46.43462390651191,172.7657591034361
29,32,1,0,0,1,48.95778821364986,181.01118587461096
38,27,1,0,1,1,56.20239359370534,197.39031247728497
39,34,1,1,0,1,60.36855844937614,209.82337275001612
31,13,1,1,0,1,41.07065811501316,154.18732137799458
31,21,1,0,0,1,44.06195715691812,168.47023235213746
22,21,1,0,0,1,37.494539395504894,149.9217749360958
23,29,1,0,0,1,41.76003942457043,162.44915962953075
41,20,1,1,0,1,53.53031224504273,189.66708976439108
27,26,0,0,1,1,43.62721238979119,164.21430249096403
22,12,1,1,1,1,32.26104455433009,137.2237138173417
34,12,1,0,1,1,41.80996416804027,158.69847015047594
45,22,0,1,0,1,54.360797251612496,191.1617193474312
18,18,0,0,0,1,29.419431517023536,128.29974506142037
35,17,1,1,1,1,44.04069336512643,168.67381406709063
33,25,1,1,0,1,48.81597029929701,179.40259841876843
27,22,0,1,1,1,42.68345823680777,161.75069005928555
18,20,1,1,1,1,34.35707974143764,138.37298599919322
24,20,0,1,0,1,36.7385976781092,147.75249786072183
34,18,0,0,1,1,44.90035358458054,164.6971735099324
29,20,0,1,1,1,41.07985850220321,158.63458549812904
38,26,0,0,1,1,52.71692170668309,188.93597536913765
24,29,1,1,0,1,45.03623201653223,170.06909672304408
32,17,1,0,0,1,41.49582180346051,157.6381561800874
38,22,0,1,0,1,49.67906854286046,178.7426248037273
30,10,1,1,1,1,36.73151674659304,147.1723032855191
22,26,0,0,0,1,36.71916995761776,149.4384305793777
18,21,1,1,0,1,33.35299882985132,137.71542004702283
31,8,0,1,1,1,36.00600445202114,143.7633628280021
26,16,0,0,1,1,35.887181351588175,146.10965196918954
29,25,0,1,0,1,43.35690545790421,163.13696751751056
14,19,0,1,1,1,28.53409828342108,124.8134536950825
19,18,0,0,1,1,32.60800310121361,133.56277383783112
31,17,1,0,1,1,43.84257233151383,160.31812315926638
21,17,1,0,1,1,32.90800028070523,135.34799500894138
35,29,0,0,0,1,50.12751711387284,183.82614359917577
40,10,0,0,1,1,45.38276391053308,166.33705736085955
37,21,0,0,0,1,46.53835294673291,173.55132864941385
34,11,0,0,0,1,38.47983068261589,151.7240446202896
25,23,1,0,0,1,40.331395791098174,156.0298259328753
50,20,0,0,0,1,57.4862491258516,200.49411106796225
33,16,0,0,0,1,39.96626668257405,153.36318238986618
31,24,1,0,1,1,47.23596840791664,172.8368316552388
33,14,0,0,0,1,39.60842211871413,154.4830441886494
21,27,1,0,0,1,39.30658497788709,154.9913402310793
30,18,0,0,1,1,40.759478061461785,155.974135874846
25,21,1,0,1,1,39.56459002289906,154.92877589667827
34,24,0,0,0,1,46.89462732332344,174.48952618755143
27,16,0,0,1,1,37.96255484266989,149.76988031493707
35,17,1,0,0,1,44.2560930867829,166.26148203777186
18,23,0,0,0,1,33.53836093183705,138.0852705582472
27,26,1,0,1,1,45.0538069224548,170.99304933156424
22,26,1,0,1,1,40.94556326691876,157.9857045721995
21,15,1,1,1,1,32.42986934222584,134.3956943166428
19,39,0,0,1,1,45.076836472014975,169.79704045125277
34,26,0,1,1,1,51.59652588881536,184.5080489784823
35,22,1,0,1,1,51.07734767650619,183.760292638469
33,25,1,1,0,1,49.705578074232186,181.25993206784133
38,21,1,0,0,1,49.5360508732773,178.26296564204733
41,28,0,1,0,1,56.18416687620351,197.01067564442064
33,23,0,0,1,1,48.32957959652404,174.89503455615454
38,10,1,1,0,1,42.77197929216699,159.56926784984677
22,14,0,1,0,1,30.91290705054043,130.44958767638406
21,16,0,1,0,1,30.85187168020762,132.17722020307346
20,23,1,1,1,1,36.50735863354844,149.3905997958569
29,32,1,0,0,1,48.22279947082834,178.5208715124845
27,19,1,0,0,1,38.48370491230699,150.4466549960858
12,10,0,0,0,1,18.19058622737124,95.22946189557346
22,12,0,0,1,1,27.68634687010672,121.95198744536992
28,21,1,1,0,1,41.52249217816517,160.29378723203584
27,21,0,1,1,1,40.51354889156615,157.13957213177392
34,24,1,0,0,1,48.71264400610385,177.72576557146414
33,16,0,1,0,1,39.81337459833666,154.9188114303726
34,7,0,1,1,1,36.63295418772309,144.86365577149493
32,24,1,0,1,1,48.98305463861142,176.5111745147904
27,14,1,0,0,1,35.46128178976222,142.68039334769898
49,16,1,0,0,1,54.74641900871964,191.85219448588308
34,16,1,1,0,1,43.16761191963033,164.15023448507625
31,19,1,1,0,1,41.768809243519904,160.322267271785
30,13,0,0,0,1,35.276786153862034,141.6012692017284
29,6,0,0,1,1,31.60032851840171,133.38494256621988
23,16,0,0,1,1,33.27638753992925,136.50828777585383
30,17,0,1,0,1,39.010922686520175,153.70482431500605
32,14,0,0,1,1,40.18320209947109,156.2598805589286
21,8,1,0,1,1,29.25373232450348,126.88632367291451
21,17,1,0,0,1,32.01836811882315,133.5211778083198
16,22,0,0,0,1,30.89155260740574,131.0689637111306
23,15,0,1,0,1,31.8397801015189,134.081952596967
31,18,1,1,0,1,41.73628502317571,161.43920203803438
37,20,1,0,1,1,48.04071684236416,177.43339334497023
15,19,0,1,1,1,29.368989486289216,129.32996729402078
38,15,1,1,1,1,46.76857347515729,171.98128760856014
19,21,0,1,1,1,32.75891734549457,138.79387021246583
37,26,1,1,0,1,52.618193454777845,190.71075010630852
28,25,0,0,0,1,43.72103586270532,165.2741141327827
35,10,1,1,0,1,40.30834235375699,154.13333124086327
31,11,1,1,0,1,37.776318160986186,148.6757003629231
14,12,0,1,1,1,24.48946213067722,113.44306043281637
22,16,0,1,0,1,30.86944300525808,131.11437528811808
33,28,0,0,0,1,49.33978554200752,180.47219044895888
25,8,1,1,0,1,29.638052061521684,128.00350442119293
21,23,1,1,1,1,37.51938017139872,151.92459855883388
22,20,1,0,0,1,35.26432453327016,145.28689122020424
24,19,0,0,0,1,34.88802133175445,141.8373758006621
20,21,0,1,1,1,37.5274461457931,147.34050053047787
33,18,0,1,1,1,44.35726633620098,165.58482223150608
26,19,0,0,1,1,38.28780913968822,149.2285091477392
25,20,1,1,1,1,39.730799889167294,157.14416851811438
20,16,1,1,0,1,31.74925621566389,134.73563161387685
32,27,0,0,0,1,48.38450572176775,176.1793186535135
36,25,0,1,0,1,49.72741908716116,180.97480233525644
26,23,0,0,0,1,40.26758937650927,157.14234660219702
22,19,0,0,0,1,33.209106847358626,139.77108234556638
21,16,1,0,0,1,32.7229795638625,136.6859340938482
18,26,1,1,0,1,35.052096482316394,147.0744258316972
26,16,0,1,1,1,37.14038625875002,149.71896277007409
49,28,0,1,1,1,62.5970373746743,213.03711680015005
28,13,0,1,1,1,35.366549715947365,143.49040294604615
33,18,0,1,0,1,43.21550191682919,160.13600880675153
31,24,1,0,0,1,44.49774796525495,167.37493923873694
37,24,0,0,1,1,50.78308855450656,183.9250479018492
39,13,1,0,0,1,43.85375689960809,166.11841071972344
44,19,1,0,1,1,55.622967561406846,197.47516061055225
31,24,1,1,0,1,45.68584213962461,168.00817185005835
15,15,0,1,1,1,25.89313484061348,117.88426394024071
34,29,1,1,1,1,55.66319646441232,197.09949875840124
38,15,1,0,1,1,44.621381001872415,168.60434772807153
19,25,0,0,0,1,34.52743603515826,142.80461712020076
46,27,1,0,1,1,62.69426376044403,216.0355014044256
32,25,0,0,1,1,47.3817309640135,175.16883373101012
32,31,0,1,0,1,51.17149569573457,184.75847092800444
39,15,0,1,1,1,46.36438620124764,167.02819679244234
24,10,0,1,1,1,31.18009737009406,130.5235017766622
40,27,1,0,1,1,56.28662263392012,196.72364132106213
43,11,0,1,1,1,45.64835740238967,170.04169051145277
25,19,1,1,0,1,39.470789392709,154.32045414469133
34,15,1,1,1,1,44.07781704793507,167.40761557085764
9,30,1,1,1,1,35.028351873979794,143.92111717211998
20,24,1,1,1,1,39.52844754103939,153.28958144850137
40,22,0,0,1,1,51.18247170046971,181.1727981001421
26,27,0,0,0,1,41.9105067557991,161.9119203481707
29,18,0,0,0,1,37.05884850285669,148.36098299392927
17,17,1,0,1,1,29.98035589006909,131.19133035588155
26,32,0,1,0,1,46.105789601474,172.77324888471512
35,17,0,1,1,1,47.22921238498794,172.5310918772835
28,29,1,0,1,1,46.26858217922488,174.51002271352948
40,15,1,1,0,1,49.165696587134775,178.15015173718865
23,15,1,1,1,1,35.277656102023016,140.11143149827635
29,29,0,0,1,1,47.43164259352604,173.50183988950135
31,22,0,0,1,1,43.11239692239288,166.9966869033136
14,29,1,1,0,1,35.700924634863526,145.79860076386143
42,11,1,1,0,1,49.20087149491139,179.24522705720818
30,14,1,0,1,1,38.931744636594615,151.71923257873215
