parent_education_years,student_gpa_prior,free_lunch_eligible,english_language_learner,tutoring_offer,tutoring_attendance,final_exam_score
-1,2,0,0,0,0,56.31334837435367
7,2,1,1,1,1,58.22103800885516
3,1,1,1,1,0,53.97162221070999
7,3,0,1,0,1,61.20570767132856
3,3,0,0,1,1,58.91476756543855
6,3,0,0,0,0,57.98865092948065
5,2,0,1,1,0,56.65914864261231
2,2,1,0,1,1,58.49565591982124
5,3,0,1,1,0,57.515094694841466
0,3,0,0,1,0,57.720961496257786
3,3,1,0,1,0,56.43173141881587
6,2,0,0,1,0,57.423256404300034
1,3,0,1,0,0,56.29435961791129
2,3,0,0,1,1,58.92100064300253
1,2,1,0,0,0,56.82198000203894
5,2,1,0,0,1,57.13636297490808
2,3,1,0,1,1,59.72915249833127
1,3,0,0,1,0,56.632747284445145
1,2,0,1,1,0,55.8701356630312
1,2,0,1,1,0,54.466785964863725
5,2,0,0,1,0,55.4237489109148
6,2,0,1,0,0,56.63480817536143
0,2,0,1,0,0,56.491076344450086
4,3,1,0,1,0,56.17274249824977
1,3,1,0,1,1,59.07203074223056
2,3,0,1,1,1,58.76791741763977
7,3,0,0,1,1,60.096188083529455
2,2,0,0,1,1,58.85100705457318
8,3,1,1,1,1,60.60583203792671
2,3,0,1,1,1,59.27941067263605
6,3,0,1,0,0,57.743663720802
8,3,0,0,1,0,57.95867858406346
1,1,0,0,1,0,53.33897213095442
0,3,0,0,1,0,56.94320127609582
3,2,1,0,0,1,57.78164547786445
1,3,0,1,1,0,56.81654242629245
8,3,1,0,1,0,57.44418550624548
6,2,0,1,1,1,57.812251379648686
5,3,1,0,1,0,57.62673403399993
3,3,1,1,0,1,58.34161211679153
0,4,1,0,0,1,59.61595882443574
6,3,0,0,0,0,59.956197421606696
2,3,0,1,1,1,58.24558921130767
7,3,0,0,1,0,58.30896680408212
4,2,0,0,1,0,55.79170872680517
3,2,1,0,1,0,56.70385819523359
5,2,0,0,1,0,55.3475816452819
5,2,0,0,1,0,55.12288023226961
4,3,0,0,1,0,58.64204365869179
3,2,1,0,0,0,55.06814211711815
4,2,1,0,1,0,54.6877242622129
6,3,1,0,0,0,56.453845333627925
4,2,1,0,0,1,58.3388950894507
7,3,0,0,1,0,59.316005412523296
7,2,1,0,0,0,54.920306230743314
4,2,0,0,0,0,56.25871460657165
1,2,1,1,1,1,55.89887709565451
3,3,1,0,0,0,55.55211103998863
5,3,0,0,1,1,60.82245258699461
2,3,0,0,1,1,60.926083254651424
2,2,0,0,1,1,59.14281515226988
8,2,1,1,1,0,57.490607847673765
6,2,0,1,0,0,55.07804482206591
6,3,0,0,1,1,59.504309764962265
1,2,0,0,1,1,60.58372343140382
4,1,0,1,0,0,54.3444162595294
6,3,0,1,0,0,57.28165152634718
5,2,1,0,1,1,59.11425747725079
7,2,0,0,0,0,55.60590284079937
5,3,1,1,1,1,58.21593209952687
4,3,0,0,0,0,55.898867082266165
2,2,0,0,1,1,57.97790943724911
5,2,1,0,1,0,53.25063649444507
5,2,0,1,0,0,54.67278852725531
0,3,1,0,1,1,60.640442929203786
2,2,0,0,1,1,58.57436456835045
1,3,0,0,1,1,59.23328591384314
3,3,0,1,1,1,59.85712919764862
0,3,0,1,1,1,60.89468804785082
5,3,0,0,1,1,60.73557030160551
7,2,1,0,0,0,57.22150951814008
7,3,0,0,1,0,58.8773439482875
0,3,0,0,1,1,59.57599286650697
6,3,0,1,0,0,57.2061523187616
3,3,1,1,0,1,57.50123912067456
6,2,1,1,1,0,54.61617686510733
3,3,1,0,1,0,56.04479879466547
5,3,1,0,0,1,58.72032115584393
4,3,0,1,0,1,59.76853777450015
3,3,1,1,1,1,59.08316561376429
2,1,0,0,1,1,58.06612744020602
0,3,0,0,0,1,58.98393787802748
3,2,1,0,1,0,55.840713745378935
5,3,0,0,1,0,57.98563317355781
3,3,1,0,1,1,58.02768852864694
7,2,0,0,1,0,56.584440071430514
7,3,0,0,1,0,57.68668806715047
2,2,0,0,1,1,58.62894374267097
4,2,0,0,0,0,58.01405769379433
6,3,0,0,1,1,61.687039857992346
5,3,0,0,1,0,57.95835945350317
2,4,0,0,1,1,62.33511791530403
3,3,0,0,1,1,57.517823625773
4,2,0,1,1,1,56.59956476280882
3,2,0,0,1,0,57.14686267389472
6,2,0,0,1,0,57.2208189132829
4,2,0,1,0,0,55.09912244992112
0,3,0,0,1,0,58.55619636962156
0,3,1,0,1,0,58.72040452398157
0,3,0,0,0,1,59.60245959344049
4,2,1,0,1,1,59.33889263627071
4,3,0,0,0,1,60.05278924993026
7,2,1,0,1,1,56.40338389880688
3,3,0,0,1,1,61.96220078513206
0,3,0,0,0,0,56.8870982688102
3,2,0,0,1,0,56.42373007437816
4,2,0,1,1,0,55.45360079270598
1,3,1,0,1,0,56.480349262391584
4,2,0,0,1,0,56.51998262410124
2,3,0,0,1,1,60.97104968801557
3,2,0,1,1,0,56.9273048629359
3,2,1,0,1,0,56.04961185967982
4,2,0,1,1,0,56.66515352816203
0,3,1,0,0,1,59.7302472306198
3,3,0,0,0,0,57.061364017351394
4,2,0,0,1,1,59.85448336495628
4,3,0,0,1,0,56.846180594091294
1,3,0,0,1,1,59.567894720954776
5,3,1,0,0,1,59.69840853905626
6,1,0,1,0,1,57.56195621798644
3,2,0,1,1,1,56.34384881672285
0,2,0,0,0,1,58.10469443043999
6,2,0,0,0,1,58.94289986909094
2,2,1,0,0,0,55.43034550296652
2,3,1,0,1,1,58.36120743545587
2,3,0,0,0,1,60.82573400821272
0,3,1,0,0,0,57.51205603039914
2,3,1,1,1,1,57.45312568994398
2,2,1,1,1,0,56.76077580815614
2,4,0,0,1,1,63.764595476808566
4,2,1,0,1,1,57.231876701783605
1,3,1,0,1,1,60.198423902730994
2,2,1,1,1,1,56.1896338058229
7,3,0,1,1,0,55.68304560662869
2,2,1,0,0,0,57.16768352705152
6,2,0,1,1,0,56.03363634107762
3,2,0,0,1,1,59.86788042421115
4,3,1,0,0,0,56.45721017027199
4,3,0,0,0,0,58.217423503064055
1,3,0,0,1,1,59.40399969376807
5,3,0,0,0,1,59.95163857573542
4,2,0,1,0,1,56.786093932539
2,3,0,0,1,1,59.83591085181041
5,3,0,0,1,1,60.94604044142108
2,3,1,1,0,1,57.34226804873505
4,2,1,1,0,0,56.73129647351767
3,3,0,1,1,0,56.453014248795206
5,3,0,1,0,0,55.80301786391449
2,3,0,0,1,1,62.4087230803474
7,3,0,0,0,0,57.68740373323197
5,2,0,0,1,1,59.026052536655165
0,3,0,0,0,1,59.81758311298587
3,3,0,0,1,1,61.56259485352532
-4,1,0,1,0,0,54.34970409526287
4,2,1,0,0,1,57.59762168922924
9,3,1,1,1,0,56.5081435907067
6,3,0,0,1,1,60.66919523079393
4,3,0,0,0,0,57.39038451151357
5,3,1,1,1,1,59.7230388197012
1,3,0,0,0,1,59.365053309425136
6,2,0,1,1,0,58.89134303617132
6,2,0,0,0,0,56.9875049684368
0,2,0,0,1,1,58.304760073763966
5,2,0,1,0,1,59.06692051485792
0,2,1,0,1,1,58.32814162809322
6,2,0,0,0,0,55.617067594226285
0,3,1,0,1,1,59.31377180378606
7,2,1,1,1,0,55.18385911885022
-2,3,1,0,1,1,59.28812678316415
4,3,1,0,1,0,56.32526730397871
4,2,1,0,1,1,59.632387597013015
4,3,1,0,1,1,60.7389978741769
5,3,0,0,1,1,60.08009927599527
0,3,0,0,1,1,60.53731430973362
5,2,0,0,1,0,56.78721522966552
1,3,0,0,0,0,56.94625060929904
3,3,0,0,1,0,57.6947892480452
6,2,1,1,1,0,55.46601433915961
-1,3,0,0,0,1,61.2383841856446
7,3,0,0,1,0,58.44262018375985
1,3,0,0,1,1,59.888728891458165
4,2,0,0,1,1,57.62852922522057
4,2,0,0,1,0,57.841015625100844
6,3,1,1,0,0,57.77857140567298
4,2,1,0,0,0,55.178806138065816
2,2,0,0,0,1,57.722663501993466
4,2,0,0,1,1,58.07345028217488
2,2,0,0,0,1,58.17118049138941
8,3,0,0,1,1,60.843828249207824
4,2,0,0,1,1,58.55339126190348
0,2,0,0,1,1,58.93359408827519
2,3,0,1,0,0,56.9064737748526
5,3,1,0,1,0,57.35549108090285
4,2,1,0,1,0,56.23196644391715
6,2,0,0,1,1,59.3647740877042
-1,3,1,0,1,1,59.60864731085316
2,3,0,1,1,0,55.86960294550583
4,3,1,1,1,0,55.097088572173874
6,3,0,0,0,0,58.04742601290555
-2,3,0,0,1,1,57.47606647502298
4,3,1,1,1,0,57.82317153297751
4,3,0,1,1,0,56.23410461439176
4,2,0,0,1,1,59.49514198300541
4,2,0,0,1,1,58.4529680088522
8,2,0,0,0,0,57.78999329264305
4,3,0,0,0,0,54.86738664369026
2,3,0,0,1,1,58.96529818845129
4,2,0,1,1,0,55.103701411036745
5,3,1,1,1,0,54.97536011702728
6,3,0,0,0,0,57.457464616840205
1,2,0,0,0,1,59.01735809159561
1,2,0,0,1,1,59.54007334249598
3,2,0,1,1,0,55.05873245965968
3,3,0,1,1,0,55.43036387212258
2,3,0,0,1,0,58.21886502270219
5,2,0,0,0,0,53.79180252500921
3,2,1,1,1,0,54.71867080424353
2,3,0,0,1,0,57.67055669825551
2,3,1,0,1,0,55.25880114991681
1,2,1,0,1,0,55.40430814183384
3,2,0,0,0,0,57.040799596604046
3,2,1,1,1,0,54.05678674015032
0,3,0,0,1,1,59.958991194375045
5,2,0,0,1,1,59.203572016567
7,3,1,1,1,1,58.68350858440677
6,2,0,0,1,0,57.461016821756736
0,2,0,0,1,1,59.31813834191249
5,3,0,0,0,0,56.07959913421865
4,2,0,1,1,1,57.65882419259828
0,4,1,0,1,1,60.2561037178936
4,2,0,0,1,0,56.27293213312328
5,3,0,0,1,1,60.96374501401988
1,3,1,0,1,1,60.21051141604161
4,2,1,0,1,0,56.05870292400608
-1,2,1,0,1,0,54.916247992020025
5,1,0,1,1,0,56.382772552384864
1,3,0,1,1,1,59.51369757406374
6,2,1,0,1,0,54.37649931495119
3,3,0,0,1,0,56.66029726637934
5,2,0,1,1,0,56.310299322509614
3,2,0,0,1,1,58.3362564513795
7,2,1,1,1,0,56.29098620345293
3,3,0,0,0,1,58.32932890862196
3,3,0,0,1,0,56.99506396606939
4,2,1,0,0,0,55.69314144318234
4,1,0,0,0,0,56.64338672892395
3,3,0,1,1,0,55.92445631332488
5,3,1,0,1,0,57.70209082396681
3,2,1,0,1,1,58.92682659798569
4,2,0,0,0,0,57.83532924090394
3,3,0,1,1,1,59.075385632957
6,2,1,0,1,1,57.34415653515188
6,3,0,1,0,0,56.12674683908591
6,3,0,0,1,1,59.851913705123565
1,2,0,0,1,1,60.326745239883415
5,3,0,1,0,0,56.80318581298321
6,3,0,1,1,0,56.83848567796832
6,3,1,0,0,1,60.69075614942078
5,2,0,1,1,0,55.26579171079358
3,3,1,1,1,0,55.70867695614328
3,3,0,0,0,0,55.842284811730366
4,3,0,0,1,0,58.23114472834827
5,2,0,0,0,0,57.84954228504854
2,3,0,0,0,1,58.818349294816
2,2,1,0,0,0,54.50171569257476
2,2,1,1,1,1,56.98359519121376
5,2,0,0,1,0,57.53276268221271
6,3,0,0,1,1,59.66643060386124
1,2,0,1,0,0,56.79264950237718
0,2,1,0,0,0,56.20709610593413
4,3,0,1,1,1,58.59276252160947
2,3,1,0,1,1,59.172513464063655
0,2,1,1,1,1,55.86399991006094
2,3,0,0,1,0,58.16837269793134
5,3,0,0,1,1,58.95256661164017
3,3,1,0,1,0,59.20532542690516
0,2,0,1,0,1,58.38705900432018
5,2,1,0,1,1,58.67439570760877
3,4,1,0,1,1,60.60755199604766
2,3,0,1,1,1,58.67009354866814
4,3,0,0,1,1,60.71519662107731
5,4,0,1,0,1,61.443563111073225
1,2,1,0,0,1,57.41332441495139
4,3,1,1,0,0,57.01326011581558
5,2,0,0,1,1,59.48148681966938
5,2,1,0,1,0,57.67359524225599
4,2,1,0,0,0,56.50439816864236
3,4,0,0,0,1,62.61014463187711
4,3,0,0,1,1,60.22009756762032
4,2,0,0,1,1,58.01092367929073
2,2,0,1,1,0,54.74713019179314
5,3,1,0,1,1,58.26600354624172
5,3,1,0,1,0,57.31588352925117
5,3,0,0,1,1,61.244412369880976
3,3,0,0,1,1,59.21182570176309
4,2,0,1,0,1,57.8704299555275
5,2,0,0,1,1,59.97017480464533
3,2,1,0,1,1,59.25688063585767
4,2,0,1,1,0,54.45965467156577
6,3,0,0,0,0,57.3509185467853
5,2,0,1,0,0,54.49681360604763
2,3,1,0,1,1,60.1150535154159
4,2,0,0,1,1,60.0921361906765
3,3,1,1,0,1,60.11242249233827
2,3,1,0,1,1,59.0998135004167
6,2,0,0,1,0,56.419479159553696
2,3,0,1,1,1,61.26505258869441
7,3,1,1,1,0,57.84934705198656
7,3,0,0,0,1,59.73154383025408
2,3,0,0,1,0,58.55946051346564
4,2,0,0,1,0,54.3760119005416
6,1,0,0,1,1,57.008015926747134
3,3,0,0,0,0,59.690219039377766
0,2,0,1,1,1,56.64340347495407
3,3,0,0,1,1,60.828405627452895
3,2,1,1,1,0,53.16319338728917
8,1,0,1,1,1,57.06956485255008
6,3,0,1,1,1,59.13801898619653
2,4,1,1,1,0,58.36909996514336
2,3,0,1,1,1,58.89104632026066
5,3,0,1,1,1,59.41731698045977
3,2,1,0,1,1,58.31169806470541
4,3,1,0,1,1,58.23419668283278
5,4,0,0,0,0,59.41759263627741
8,3,0,1,1,0,56.60423804954121
2,3,0,0,0,1,59.91776370676332
5,2,0,1,1,0,55.44593061036551
6,2,1,0,1,0,56.56746198262763
4,3,0,1,1,1,59.20247798984485
5,2,0,1,1,0,56.83889365728954
2,2,0,1,1,1,59.50494620552219
5,2,0,0,0,0,56.85926996965598
3,1,1,1,0,0,52.90111588060295
4,3,0,0,0,1,59.58421942248972
4,3,0,1,0,1,60.17484997736533
6,3,0,0,0,0,57.48028085949356
2,1,0,0,0,0,55.24082787679784
4,3,0,0,1,1,59.96540528365439
4,2,1,0,1,0,54.461819736269184
6,2,0,1,1,1,58.76550906771243
8,3,1,0,1,0,58.33279348547482
6,2,0,1,1,0,57.3038352689875
7,3,0,0,0,0,57.81547371088486
8,3,0,0,1,0,57.94264799894557
5,2,1,0,1,1,59.84579765826801
-1,3,1,0,1,1,59.507652612804335
1,2,1,1,1,0,53.23405222327269
2,3,1,1,0,1,59.4875971135336
2,3,1,0,1,1,59.76816992293588
3,1,0,1,1,0,54.44834070049035
1,2,1,0,0,1,58.47489207092285
2,3,0,0,1,0,57.78007294074648
3,3,1,0,1,0,59.13241656895466
2,3,0,0,0,0,58.72340326528065
1,3,1,0,1,1,59.9618726536848
3,3,0,0,1,0,56.7110319866267
5,2,1,0,1,0,57.477050758134055
4,3,1,0,0,1,58.80027490412338
4,3,1,0,1,0,57.86889870175165
2,3,0,0,1,0,57.10331341552458
3,2,0,0,1,1,58.454317287162745
7,3,1,0,0,1,59.72894788724785
7,3,0,0,1,1,59.66793173807661
6,3,0,1,1,1,60.505673422675606
1,4,0,0,0,1,60.6675947369674
7,2,1,0,1,0,57.353907317092826
5,2,0,0,1,0,54.73378193312051
0,3,0,1,0,1,61.89204736683998
4,2,0,1,0,1,59.2859545992658
2,3,0,0,0,1,58.86294949701668
3,3,0,0,1,1,58.23683770502095
6,2,0,0,1,0,57.405311381175615
6,3,0,1,1,0,56.8198935506312
4,2,0,0,0,0,57.353238167498205
0,2,0,0,0,0,57.48248773511564
6,2,0,1,1,1,58.19959428643868
1,3,1,0,1,1,58.74218714004151
0,3,0,0,0,0,55.48445709266682
2,2,0,1,1,1,60.28449110463974
1,3,0,0,1,1,60.08412612790327
4,3,0,0,1,1,61.0427405297114
4,2,0,1,1,1,59.65190309976078
6,3,1,0,1,1,61.07497991187429
5,3,1,0,0,0,58.4799407604792
4,3,0,0,0,0,59.74601759071767
7,3,1,1,1,1,60.60670416469465
4,3,1,1,1,1,59.15544674233321
7,2,0,0,0,0,56.03728023514746
3,2,0,0,1,0,57.178743126768616
7,2,0,0,0,0,56.82312799231151
2,3,1,0,0,1,57.74871773023042
5,3,0,0,1,1,61.94208612994882
4,3,0,1,1,1,60.27898071369205
3,2,0,0,0,1,58.624270236225016
7,3,1,1,1,0,57.33660280367848
2,1,0,0,1,0,55.44810379540071
5,3,0,1,0,1,58.82216790459868
3,3,1,0,1,1,59.30925324204633
7,2,0,1,1,0,56.61189847903174
5,4,0,0,0,1,61.5324342313011
2,3,1,0,0,0,57.07405360335735
4,2,1,1,1,0,53.89582448977524
2,3,1,1,0,1,59.03141656655994
1,3,1,0,1,1,58.54053088896246
4,3,0,0,1,0,57.87705904785674
3,3,0,0,1,1,60.91273423250215
1,3,0,0,0,0,58.27387474791399
3,2,0,0,1,0,54.438798444828464
6,3,0,0,1,1,60.78580805118166
1,2,1,1,1,1,57.94118181513184
3,3,1,1,0,0,57.09839738966883
3,2,0,1,1,1,57.61252376313192
6,2,0,0,1,0,56.17402760325622
6,2,0,0,1,0,56.815902394473255
8,2,1,0,1,1,59.40336186021772
5,4,0,0,1,0,59.31719774306587
2,3,0,0,1,0,57.5992846211561
1,2,0,0,1,0,55.817953496979776
3,2,0,0,1,1,58.02706819276843
5,1,0,0,0,0,55.13591115986688
3,3,0,0,0,1,60.92060516997518
3,3,0,0,1,1,60.86819921708504
3,3,0,0,0,0,57.61320071251943
1,2,0,0,1,1,56.41008717803161
3,2,0,0,0,0,57.5139066934465
1,3,0,0,1,1,60.26153865484719
5,3,0,0,1,0,57.31062820267937
4,2,1,1,0,1,58.41828572519268
1,2,1,1,1,0,56.09792522019143
5,3,0,1,0,1,59.802435403114295
3,3,0,0,1,1,59.571255276132845
0,2,0,0,1,0,56.82957162428788
6,2,0,0,1,1,56.924626807941166
7,2,0,0,1,1,58.63430595808668
3,2,1,0,1,1,58.20858272441366
2,2,0,0,1,1,59.43796404819494
3,3,1,0,0,0,55.80692571182101
1,3,1,0,0,1,61.03249627354423
4,3,1,0,0,0,55.08544031342944
1,3,1,1,1,0,54.289100291013526
8,3,0,0,1,1,61.005470900808376
7,2,0,1,1,0,55.71547056830702
1,3,0,0,1,1,59.09247108647306
0,2,1,0,1,1,57.66243804712786
5,3,0,0,0,1,60.5475193399609
2,3,0,0,1,0,57.50340646711562
1,3,1,0,1,0,57.04349038275793
4,4,1,1,1,1,61.14942619793684
5,3,0,1,1,1,58.98297973966821
1,2,0,0,1,1,59.15259503515391
4,2,1,0,1,0,57.81768942480636
6,3,1,1,0,0,56.95032487409944
1,3,0,0,1,1,61.11267625103847
0,2,1,0,1,1,57.94948810152137
2,3,0,0,1,1,61.4309436963541
5,3,0,0,1,0,58.365676061181766
4,3,1,0,1,1,60.2393824482626
4,2,0,1,1,1,61.051594840931
4,3,0,1,1,1,59.85661092520072
2,2,0,1,0,0,57.37352047523361
5,3,1,0,1,0,57.18873725864247
0,2,1,0,0,1,59.39210352292483
1,2,0,1,0,0,54.15663796924398
6,3,1,0,1,0,58.232949110838646
0,3,0,1,1,0,57.97319896176992
3,2,1,1,0,1,57.58999460367205
2,2,1,1,1,0,55.77091687951074
4,2,0,0,1,0,56.78682449406916
5,2,0,1,0,0,55.46910610962205
0,3,0,1,1,1,57.34296477547467
5,1,1,1,1,0,54.22696190184407
5,1,1,1,1,0,55.32542051085149
7,3,1,0,1,1,59.46711405732557
2,3,1,0,0,1,59.25877139089951
4,3,1,0,1,1,60.46048940057199
3,1,0,1,0,0,56.29107737726105
3,3,0,0,1,1,59.53627537565426
6,2,0,0,1,1,58.5512245900681
5,3,0,0,1,0,58.581997673603134
6,2,0,0,1,0,55.51181560686802
2,3,1,1,0,0,55.37124804124958
5,2,0,0,0,0,58.623007948493616
4,3,0,0,0,1,61.395309179535104
3,3,1,1,0,1,60.64900267616135
6,2,1,0,1,1,58.94178179703971
0,2,0,0,1,0,57.740012967414096
3,2,0,1,1,0,55.46395565711144
3,2,1,0,0,0,57.43563555121666
4,2,0,0,0,1,58.63258751913976
2,2,0,1,1,1,58.66642267731755
2,3,0,0,1,0,56.37222167332577
0,2,0,0,0,1,56.7607665366194
5,2,1,0,1,0,54.58599457834582
1,3,1,0,1,0,59.70384081169094
4,3,1,1,0,1,59.73530125300159
5,2,0,0,1,0,56.41044821520074
3,2,0,0,1,1,59.31920149634383
5,2,1,1,1,0,54.69343559262278
7,3,1,1,0,0,55.8789118314677
3,3,0,0,1,0,55.78663206490655
7,2,0,0,1,1,59.72083043631115
7,2,0,1,0,0,55.993020365472006
1,2,0,0,1,1,58.81176540969744
3,2,0,1,1,1,57.89833827133774
3,3,0,0,1,1,59.98648343792431
4,2,0,0,1,0,53.36442343595356
1,2,0,0,0,0,55.14947010355926
3,1,1,1,0,0,54.50816454010855
5,2,1,1,1,0,55.35182902834198
7,3,0,1,0,1,58.27411861759841
4,2,0,1,1,0,56.62360979145706
8,2,0,0,1,1,59.66462184280107
6,3,0,0,0,0,56.96061990349168
8,2,0,0,0,1,61.06467498727127
5,3,1,0,1,1,59.64730776980687
5,2,0,1,0,0,55.92425845975267
3,3,0,1,1,0,57.65448887468376
5,3,1,1,1,1,60.40371381325081
4,2,0,1,1,1,59.10051477986359
2,3,0,0,0,0,56.16643770389855
3,2,1,0,1,0,55.792304013301575
1,2,0,1,1,0,56.988741487184186
3,3,0,0,0,1,60.46315492053124
9,3,0,0,1,0,56.253915957011074
1,2,0,1,0,1,58.594707493335015
5,4,0,0,1,1,61.59020112459152
3,3,0,1,1,1,60.43043350448449
4,2,0,0,1,1,58.50422582819466
-1,2,0,0,1,1,59.25286777961416
3,2,1,1,1,0,55.21919915417487
1,2,0,0,1,0,56.53176331355876
2,2,0,0,0,0,57.847455779783616
7,3,1,0,1,1,60.537560305968135
0,2,1,1,1,1,55.618972402210446
3,2,0,1,0,0,56.32710577530563
2,2,0,1,0,0,54.78755747338907
5,2,1,0,1,1,58.23555996913055
6,2,0,0,1,0,54.1841606016607
3,2,0,0,1,0,57.14559054107198
2,3,0,0,1,1,60.4549803166586
0,3,0,0,1,0,57.34530902413872
3,2,0,0,1,0,55.82183348019413
6,3,0,1,1,1,58.72008507849048
1,2,0,0,0,0,54.68245978475662
2,2,0,0,1,0,56.27662736099949
0,2,0,1,0,0,55.47956126673229
7,3,0,1,1,1,60.39398143338124
4,2,0,1,0,1,56.34761664380824
3,3,0,1,1,0,56.82659960808519
0,2,0,0,1,0,56.22864170928941
1,3,1,1,1,1,58.94025650658026
3,2,1,1,1,1,58.32616427912132
2,2,1,0,1,0,54.98505055972614
2,4,0,1,1,0,59.17150813288612
3,3,0,1,0,1,61.886725469217424
3,2,1,0,0,0,55.85385350349783
7,3,1,0,0,0,57.644360465194325
2,2,0,0,1,0,57.74384444081381
4,3,0,1,0,1,60.31015528676134
3,3,1,1,1,1,58.06634126581312
1,3,0,1,1,0,57.0530058192016
0,2,0,0,0,1,60.11986146211213
2,1,0,1,1,0,54.69597580021072
3,3,1,0,0,0,55.16248622569264
4,3,0,1,1,1,60.05139831056219
5,3,0,0,0,1,61.02412273104969
3,2,0,0,1,0,56.89167749348398
2,2,0,1,1,0,56.0846234134606
6,2,0,0,1,1,61.80874080994768
2,4,0,0,0,0,58.353916376145335
3,2,0,0,1,1,57.46400840221663
5,2,0,1,1,1,60.34449947998865
1,3,0,0,1,1,60.72031690402834
1,3,0,1,0,0,54.26352961994742
1,2,0,0,1,1,57.54863277514851
3,2,0,1,1,0,56.27280024256672
1,2,0,0,1,1,58.02490122190516
6,3,0,0,1,0,57.98705135886684
3,2,0,0,1,1,58.42445585516168
0,2,0,0,0,0,56.04626455870766
5,2,0,0,1,0,55.63792042269581
3,2,1,0,1,1,59.186022903750015
0,2,0,0,1,1,59.0126122191311
5,3,0,1,1,0,57.2143238586226
5,2,0,0,0,0,56.60555706996405
5,3,1,1,1,0,57.23788076307471
5,3,0,0,0,0,57.787302354629645
3,2,1,0,1,1,57.8695593670918
6,2,0,0,0,0,55.76214242639934
3,2,0,0,1,0,57.69429082008888
0,2,0,0,1,1,58.43828946053392
-2,2,0,0,1,0,55.976295521112014
