education_years,age,weekly_hours,previous_income,gender,union_membership,local_unemployment_rate,job_training,current_income
11,31,5,13,0,1,11,71,140.2131276880326
8,29,11,12,0,1,13,73,149.9691288184809
8,31,7,12,0,0,8,70,143.4414984678631
9,27,10,13,1,0,11,70,144.80424672298412
12,33,0,12,1,0,13,73,138.55480407354412
9,32,9,8,1,0,15,77,147.84902963484933
13,31,1,14,0,1,15,70,135.31906520767433
10,29,3,9,1,0,14,72,143.58043341551075
6,30,7,10,0,0,12,72,143.9655455283608
10,28,11,13,1,0,11,71,145.57944645843918
8,29,7,16,1,1,12,70,145.1146328425795
10,31,8,17,1,0,10,71,146.0183043141335
14,29,6,16,1,1,10,71,143.00383407058067
15,31,4,16,0,1,10,75,151.13928211983475
7,29,8,13,1,0,12,71,146.30102884685914
7,27,11,12,1,0,13,73,150.6651445762627
9,32,9,17,1,1,9,73,149.28818486885052
10,28,4,16,0,0,12,67,138.71605495500194
11,33,5,10,0,0,13,76,148.72799847444196
10,33,7,12,1,0,14,77,150.18594978253492
12,24,5,16,1,0,15,69,142.20192293882653
8,28,5,20,0,0,12,66,138.42196662908543
6,27,10,14,0,0,11,65,137.55524110858778
6,27,11,17,1,1,14,65,136.39120858236538
9,29,5,13,0,0,12,70,144.89370831954605
8,27,9,9,1,0,12,74,149.319905915629
13,33,5,12,0,0,11,73,141.60480403755108
12,32,11,13,1,1,17,80,158.75879507209712
7,29,12,12,0,1,11,69,142.83577109626222
5,33,13,11,1,0,12,78,154.0501771341124
10,30,11,17,0,0,14,72,148.9200385748347
5,28,5,13,0,0,10,62,129.15458270475122
3,28,10,16,0,0,8,66,139.7578039818592
13,26,10,16,1,1,11,69,145.86213172522105
10,32,6,15,1,0,9,74,150.10220092230568
10,30,14,15,1,0,13,78,159.37591563128117
12,27,8,12,0,0,9,70,141.32114599395797
5,28,6,15,0,0,14,67,136.040093910347
15,29,5,15,0,1,8,73,147.42716548876498
14,28,11,17,1,0,13,75,154.04769462828236
11,30,7,19,0,0,12,71,146.6755029493487
8,30,6,18,0,1,15,68,137.96230501516004
13,29,11,15,0,1,9,72,147.57682183188666
17,28,2,12,1,1,12,74,144.7016617845488
10,30,7,12,0,1,14,74,149.17534435396615
1,30,3,15,0,0,9,59,124.43236660880464
12,30,6,13,0,0,13,73,146.1542317447726
11,30,6,17,0,0,11,71,145.0075450365252
14,32,7,9,0,0,10,77,151.47711946704922
12,31,7,16,1,1,9,72,145.36658288056304
12,28,9,13,0,0,13,73,146.27834269005533
12,27,0,9,1,0,13,68,133.83532543800098
8,29,8,10,1,1,9,68,139.2279655007479
13,29,5,16,1,0,12,70,142.58991059477603
8,29,3,8,0,1,11,69,135.36157216489642
9,32,9,11,0,0,8,75,151.01252392001246
13,21,2,19,0,1,13,59,129.34540975078482
14,27,6,15,1,0,12,70,140.89315004406143
14,32,10,13,0,1,11,76,153.7705953321164
10,29,5,11,1,0,10,71,144.49761085375582
9,32,14,13,1,1,10,79,157.71009821864075
8,28,6,17,1,1,13,66,139.2477898204937
10,28,4,17,1,0,10,65,136.2414240592058
8,33,4,6,0,1,9,77,147.12194220743046
8,28,12,12,0,1,12,70,145.55743620107802
9,30,9,10,0,0,12,76,148.59289120767636
6,28,6,15,0,1,12,66,138.09079185531203
12,28,7,18,0,0,12,71,147.4142882840726
12,24,10,10,0,0,10,71,146.90887092921804
14,27,12,8,0,1,9,75,152.08860501717146
7,30,8,9,0,0,13,73,145.14625042555204
6,32,9,14,0,1,9,71,142.590401306026
13,30,9,13,0,1,16,76,150.65662883744045
10,28,4,14,0,1,9,65,132.85910238227706
13,28,11,11,0,0,7,75,152.79606974600017
10,29,8,14,1,0,11,71,144.25796395032253
11,28,13,9,1,0,13,75,152.78302180272894
9,32,12,12,1,0,13,79,157.44945180307582
3,27,3,12,0,0,12,64,131.42387589802829
11,32,3,13,0,0,12,74,146.08334743730023
5,31,7,16,1,0,10,68,143.02867137056015
2,30,8,11,1,0,11,66,135.43913984949293
7,31,12,14,1,1,9,72,147.37222485543262
11,30,9,16,0,1,12,72,147.73305074463494
8,29,10,16,0,1,11,71,146.4447834282612
8,26,5,12,1,0,11,67,136.99289060822363
5,30,7,17,1,0,12,65,133.62651041639856
8,34,6,10,0,0,11,76,148.17065737605293
5,27,9,13,0,0,12,68,143.04298930500966
7,32,7,15,1,0,13,74,149.4665094110042
8,30,4,9,0,0,13,69,138.3991085598427
15,27,1,9,0,0,10,68,136.94609294216124
7,29,9,12,1,0,13,71,141.46310495699848
11,30,6,16,0,0,13,69,140.96274105396287
11,29,6,17,1,0,16,72,147.53666581897446
10,30,7,14,1,0,14,75,150.44153880991377
9,25,5,18,0,1,9,61,132.65283487758356
10,34,7,7,0,0,11,77,147.63566476682405
6,29,9,15,1,0,12,71,146.14559962484387
11,29,6,14,1,1,11,70,141.80962637831732
10,29,4,15,1,0,10,68,137.30868354885385
9,31,3,15,0,1,14,68,136.52437830111484
8,32,11,11,0,0,12,74,148.02816834409077
8,29,6,11,1,0,13,70,137.55576878183194
9,29,8,13,0,1,15,74,149.0569321436888
7,27,3,14,1,1,13,66,135.43243548178796
9,30,6,11,0,1,9,69,136.22077470447098
9,27,4,13,0,0,11,68,140.14823901709252
7,32,10,18,0,0,11,70,142.696575448115
7,31,11,10,0,1,12,74,149.18341827620543
12,30,6,13,1,0,9,72,144.73539320860803
10,31,8,12,0,1,11,73,146.00927591900106
12,29,7,15,1,0,12,73,149.01228362891135
12,28,0,14,0,1,10,65,131.24660450236507
9,30,0,11,1,1,10,66,131.22788298218128
11,33,7,14,1,0,12,73,141.52196924713868
5,29,11,14,0,1,12,69,142.09585676439656
9,27,9,12,1,0,16,72,143.17415308173747
11,31,9,8,1,0,8,75,148.2959237306857
12,29,5,14,0,0,13,72,144.9284208524475
3,27,10,16,0,0,10,64,136.72039708032025
11,28,6,16,0,0,11,69,143.30518461148785
11,26,8,15,0,0,11,70,142.6269641971023
10,26,6,13,0,0,15,72,145.7825866210169
12,25,10,15,0,1,11,69,143.69845871881688
10,37,6,13,1,0,11,79,152.8923459538692
9,28,7,9,1,1,11,70,139.47144023568833
2,29,2,12,1,1,10,60,122.55487045218264
13,31,1,11,1,0,8,71,140.1817080309698
9,29,12,11,1,0,13,77,155.45593312557938
14,29,5,12,1,0,15,78,155.0728449581403
12,28,5,14,1,0,11,68,138.71634080785225
8,30,2,13,0,1,11,67,136.1979430397018
5,28,11,11,1,1,11,70,143.33528295838695
12,32,3,15,0,0,13,73,143.4688938735563
8,33,5,13,1,1,13,73,143.37626324070075
12,31,9,18,0,0,13,76,153.53458670409705
13,28,16,19,1,1,12,75,157.71446459476192
9,31,9,17,0,0,14,73,147.63525902309104
11,26,4,14,0,1,10,66,135.5437788133198
11,30,6,16,0,0,14,70,145.27882782771565
7,29,5,15,0,1,14,70,139.38217813843437
6,31,10,13,0,1,12,72,142.31724417804188
11,28,9,12,0,1,11,71,146.58474215452983
9,30,7,14,1,0,15,72,145.02335064093816
9,31,10,15,1,1,9,75,155.73104717417775
10,29,7,16,0,0,12,68,138.74078775686837
11,27,8,14,1,1,9,70,146.23128172823746
10,30,4,12,1,0,11,72,145.96544342219102
10,31,2,18,0,0,14,70,137.65196655034634
13,34,8,17,1,1,13,77,150.48482269850228
14,27,4,13,0,0,8,69,142.44333088848225
12,33,5,11,0,1,11,74,143.81250711958697
10,31,10,18,0,0,10,71,147.45898461855302
9,35,12,11,0,0,12,79,154.80036995126693
10,31,13,12,0,1,11,77,156.37704338166887
0,30,8,8,0,0,7,64,131.65998029582664
9,26,6,13,0,1,11,67,138.3080504912525
11,29,10,8,0,0,13,78,155.74841226156155
3,25,4,13,0,0,12,60,127.18834255098048
6,31,13,16,1,0,15,76,155.84985393426925
11,34,6,11,1,0,10,77,148.4088860293566
4,35,16,14,0,1,11,76,153.22254494922373
4,26,13,13,0,1,10,65,137.8025488191319
3,27,10,9,0,0,10,68,141.23648886521164
9,31,11,13,0,1,13,75,154.1855100652422
9,28,10,14,0,1,13,69,141.85586634934637
12,32,12,13,0,1,10,78,160.1700817347961
4,33,14,14,0,0,13,75,151.54939874135562
4,31,13,18,0,1,12,70,145.85157991699464
7,30,4,16,1,0,10,66,137.32194782256516
11,30,5,14,0,0,15,72,143.42465932867586
9,29,5,11,1,0,14,70,138.49273145137423
8,31,9,14,1,0,12,73,146.98496554115687
5,29,9,13,0,1,11,65,136.6987786709748
5,31,11,13,1,1,13,73,147.67044027520012
2,31,5,14,0,1,9,65,134.05205982245528
9,27,7,18,0,1,12,64,136.43869135831625
8,29,5,13,0,0,9,66,137.03798406597247
9,28,11,15,0,0,11,69,142.5229613317687
8,29,7,9,0,0,11,70,139.65643476688527
12,31,3,10,0,0,8,74,145.1691311937146
13,31,7,12,0,0,11,76,149.5894398315634
5,30,5,15,1,0,14,69,140.7260301407913
14,31,4,15,1,1,11,74,146.89931045569182
6,29,7,19,1,0,11,63,132.60874277021
11,26,6,9,1,0,12,71,142.6965797003961
10,33,10,17,0,0,12,75,152.0881388946562
11,29,6,16,0,1,8,69,144.29092446904895
14,30,7,14,0,0,15,76,150.8309985773699
9,28,8,9,0,1,11,73,147.22568014037353
6,30,9,12,1,0,12,71,144.9449250037348
11,31,8,10,1,0,13,77,149.34095514278584
11,34,5,9,1,0,9,77,149.89976589608185
8,29,13,15,1,1,10,73,150.55511231765644
6,26,5,11,0,0,12,64,134.91145586520645
10,27,12,6,1,1,11,76,153.61492504015666
12,25,12,11,1,1,13,72,147.87294024994776
12,27,8,13,1,0,11,70,142.07699488851543
7,31,3,15,0,1,14,68,135.8669314619028
7,27,8,12,1,0,12,69,142.952793910356
4,31,5,16,0,0,11,67,139.82820466159168
4,27,12,14,0,1,12,67,139.6191604223376
17,31,9,16,0,0,7,75,149.69451559200093
14,31,9,13,0,0,14,82,160.4866301276263
12,33,9,13,0,1,12,79,154.0687732900699
14,29,11,12,1,0,12,74,149.43252122144497
9,29,8,14,0,0,9,69,145.32720225209215
9,30,3,18,0,1,14,69,139.4468093260266
11,28,9,12,0,0,9,71,145.88191434462732
8,26,7,16,1,1,9,62,132.30559135959186
8,31,7,15,0,0,10,69,140.67600660134966
5,25,7,12,0,0,13,65,136.90092822226913
8,28,9,9,1,0,9,68,140.9886080747493
10,30,6,14,1,0,12,69,139.87274120326327
10,31,8,15,1,0,8,72,146.8043072252895
9,28,17,11,1,0,9,74,153.67928342990103
6,27,13,14,0,0,10,68,147.05415124916635
8,27,4,13,0,1,9,63,129.51319333616442
13,30,7,16,0,1,13,72,144.25348312438126
9,29,6,14,0,0,12,71,140.92599545155113
3,28,4,15,1,0,9,59,126.0899665412736
10,31,11,15,0,0,10,74,150.355707653737
9,25,8,12,0,0,13,70,144.70147079589455
12,30,2,10,0,0,8,70,139.89402521786647
10,28,6,11,0,1,12,69,138.8913438674536
9,28,9,15,0,1,12,72,151.29246758335455
10,31,9,14,1,0,12,73,146.9500625822148
15,29,6,12,1,0,12,74,148.97984970579938
12,31,7,13,1,0,8,72,146.32844503058325
10,30,9,11,1,0,11,74,150.2576180082452
8,30,7,11,0,1,11,69,140.65605902605972
12,30,10,15,0,0,14,73,149.7608820531622
6,27,12,17,1,0,15,70,149.17469894409805
9,26,15,13,1,0,12,70,144.88161833244376
12,30,9,13,0,1,10,73,147.33226722259622
15,31,11,16,1,0,11,78,158.27451127355525
9,31,3,13,0,0,15,73,145.30036977369468
11,27,3,16,0,1,12,65,135.6502334215094
8,34,10,15,0,1,12,76,153.23201462929694
14,27,8,11,1,1,13,76,147.96233569079865
9,30,11,14,0,1,6,70,142.85819934825483
4,30,10,13,0,1,13,69,142.24437147358108
7,31,10,13,0,1,16,74,148.50448435651316
7,30,6,10,1,1,7,69,139.1500320670593
11,31,9,11,0,0,11,76,151.6851623889804
7,29,11,18,0,1,12,69,145.6596144364866
12,30,6,17,0,0,14,73,147.08793123437843
12,31,4,11,1,0,13,74,144.8293763521481
5,26,9,15,0,0,12,66,139.67424879083774
5,26,8,16,1,0,14,64,136.12275177352137
6,32,8,13,0,1,11,69,140.40890762405192
9,30,9,17,0,0,12,70,145.83501220738086
6,33,10,12,1,1,12,76,152.78846814097218
9,29,10,12,0,0,11,73,150.96010434424213
11,32,8,13,0,0,10,75,149.4008082232552
14,31,11,11,0,0,16,79,157.84037984519344
10,27,9,13,0,0,11,69,143.18970926996693
9,29,9,11,0,0,13,72,147.6801855412304
17,30,9,17,0,0,9,72,146.724351242758
7,28,7,12,0,0,8,66,137.54990605002217
15,28,12,14,0,0,7,72,152.70614870370127
10,28,7,9,0,1,11,70,140.99558537698684
11,27,10,10,1,0,8,71,146.63195125548182
3,29,4,13,1,1,10,62,130.05237934763676
11,27,6,14,0,0,14,70,143.2365119235907
11,28,2,11,1,0,12,70,139.48861346990896
14,31,9,9,0,1,13,82,159.47962503635188
9,29,8,12,0,1,13,71,143.14733527711223
10,31,1,9,1,0,12,75,142.9527710972079
7,31,3,14,1,0,11,69,140.3629155876432
8,26,3,14,1,0,7,62,130.19509788040727
12,31,11,14,1,1,13,78,153.4314879557554
7,30,13,12,0,1,9,72,148.13472671362672
10,31,9,13,1,0,10,74,147.12961396175834
12,25,11,10,0,0,14,75,151.69940395824278
11,29,10,10,0,0,12,78,156.86917221691434
11,34,7,13,0,0,11,75,147.11424546859334
11,29,9,19,1,1,12,69,143.44305923569732
18,27,7,15,0,0,13,75,150.93898647338722
14,26,8,14,0,0,11,71,145.6274106704227
14,31,5,15,1,1,15,75,148.78522038449825
8,31,12,13,0,1,9,74,150.9711205544418
4,29,4,13,0,1,11,64,128.28650764366313
10,35,13,12,0,0,13,80,161.93383002145492
9,30,6,11,0,1,14,71,139.7900546204055
9,30,5,15,1,0,11,69,140.55866650179513
5,27,10,18,0,0,10,63,136.6757292991028
13,26,4,13,0,1,13,68,136.97656525718278
9,30,8,12,1,1,11,73,148.486508441734
9,31,8,9,1,1,15,77,149.61359297480507
10,26,8,9,0,0,8,70,143.95020583581223
8,30,7,13,1,0,12,72,143.64773338163008
8,30,4,15,0,0,14,71,142.67495681600758
7,27,8,14,1,1,13,68,141.8838261030375
11,30,1,8,0,1,12,72,139.37060148007907
13,30,4,11,1,0,10,71,139.23614524590403
12,29,8,11,0,1,8,74,151.3528884940039
8,28,10,18,0,0,11,67,143.2394259200813
9,28,6,16,0,0,15,71,144.64539236416928
10,30,5,17,0,0,11,68,139.6033529705802
7,29,10,14,0,0,10,69,143.97181948299965
4,33,7,10,0,0,10,72,144.3073856540708
11,30,10,14,0,0,12,73,149.1878124607266
9,29,8,11,0,0,11,72,147.2237688755313
5,30,5,12,0,0,11,66,135.19590045119443
14,31,12,14,1,0,13,79,157.88961791655046
9,32,11,11,0,0,13,79,158.55330741710117
7,30,15,11,0,1,11,77,157.8596262694162
12,26,2,10,1,0,13,69,137.14033009394467
5,32,13,10,0,0,9,75,151.45985032296116
12,30,8,12,1,0,12,75,151.0677877927366
8,29,10,14,1,0,10,70,144.97420196471143
10,29,9,20,0,0,14,71,147.0475961803454
6,32,5,13,0,1,11,70,141.5848861175337
7,27,1,15,1,0,10,63,132.10215783899625
12,29,7,12,0,1,13,73,147.72544231684705
10,27,8,13,1,0,10,69,140.14568958816375
11,31,8,12,1,1,11,73,147.5276444326175
9,29,10,19,0,0,13,71,146.8195264070561
8,23,15,15,0,0,11,67,143.79888660458917
13,29,13,16,1,0,12,76,155.2019562026551
6,28,9,18,1,0,14,69,146.36850430223828
7,29,5,15,0,1,11,66,134.83564806209307
10,28,11,14,1,1,10,71,146.52719486186794
9,32,6,14,1,0,13,73,143.57334813175345
10,30,13,21,1,0,10,72,151.94722957089598
11,33,4,11,1,0,10,77,151.84835105829688
5,30,5,15,0,0,10,64,132.67174684763668
10,31,10,14,1,0,13,75,152.7822396375192
8,30,11,9,0,0,12,75,151.0553587039051
12,30,10,17,1,0,13,76,154.70751979777756
11,32,9,13,1,1,11,73,147.12778221616924
9,33,10,18,0,0,12,74,151.80856670553945
9,32,12,13,1,1,11,75,150.14279519702924
11,32,5,15,1,0,13,73,145.7061586253147
13,34,8,16,0,0,14,79,153.81659007074524
10,28,7,13,1,1,10,68,142.66998181232572
12,27,9,9,1,0,9,73,144.21217805787222
9,27,2,14,0,0,11,64,133.49006752076693
8,28,7,13,0,0,10,66,135.47939248678256
7,26,7,15,0,0,11,62,131.6278796356099
12,30,4,16,0,0,13,68,138.22257791790597
9,29,13,8,0,1,10,75,151.74446513544254
8,26,7,19,0,1,10,63,136.86345927684397
10,33,12,15,1,0,12,78,152.0033751857612
9,32,8,18,0,1,10,70,143.35169140905143
12,29,8,18,1,0,8,67,142.5928693685878
10,33,9,12,1,0,10,76,151.7361031909645
11,34,9,13,1,1,13,81,157.63938091423427
10,29,10,13,1,1,12,73,147.37984082997394
6,29,9,16,0,0,12,66,138.047340257647
12,30,7,14,1,0,12,76,151.91683760044012
10,31,12,10,1,0,9,76,152.52461538016811
7,33,4,14,0,0,13,69,135.44897090901367
15,32,7,15,0,1,14,78,155.07754905391613
9,28,4,12,1,1,17,69,137.2575011437415
9,26,8,8,0,1,12,71,141.80653203522917
8,30,3,15,0,1,14,65,130.17175055178512
6,29,3,14,0,0,10,64,128.60624972580837
7,29,3,13,1,0,10,65,132.9575971724602
6,31,12,13,0,0,13,72,148.20720826985408
10,27,3,12,1,1,13,65,132.26879853751393
12,27,1,18,0,0,12,62,130.940057102611
3,27,7,7,0,0,13,67,134.54504226527126
15,26,12,10,0,0,12,76,154.1008292600881
8,28,11,15,1,0,12,73,151.8510382819876
12,29,3,14,0,0,12,71,144.144975870931
10,32,6,13,0,0,12,71,141.45456403144635
13,31,6,12,1,0,11,76,150.0358708173718
8,29,9,17,0,1,11,66,138.92216347002943
13,31,4,16,0,1,11,71,141.89436771708677
12,32,7,13,1,0,11,76,150.37734574322286
9,29,10,10,0,0,10,73,146.7193611363716
8,34,2,15,0,0,12,70,139.41117789664344
13,29,7,10,0,0,8,72,146.42966564354634
11,29,9,13,1,1,11,73,148.27507290832082
14,32,4,14,1,1,9,73,142.1501071846864
3,30,4,16,0,1,11,62,128.9513851994657
13,33,9,11,0,0,12,79,153.88690936830827
7,31,0,10,0,0,14,68,132.78691423340868
14,26,8,19,1,1,8,66,142.69137300253732
7,33,8,11,0,0,14,74,143.2657243013023
7,28,9,9,1,1,11,71,144.2882385311077
5,31,7,12,0,0,14,70,139.4504201817545
8,29,10,18,1,1,14,70,145.3703407729573
6,29,11,9,0,0,10,73,147.86934277332983
8,29,6,15,0,1,8,66,135.0558864786394
10,28,7,9,0,1,10,72,145.84748406989394
7,31,4,18,0,0,8,63,131.5711249690262
7,35,4,12,1,1,12,72,139.05359188832526
7,32,3,11,0,0,12,70,136.4252295523217
9,29,12,15,0,1,11,69,144.71975468327688
7,28,7,13,1,0,12,67,139.53792129740052
8,29,7,14,0,1,15,71,141.05078016702652
11,29,10,12,0,0,8,71,147.6047975397006
8,29,10,16,0,0,13,67,141.29852233901838
9,30,8,13,0,1,12,71,142.70240891861062
9,32,9,19,0,0,13,69,143.08300886454475
10,28,10,13,0,1,11,72,147.44225676370948
12,28,0,13,1,1,10,68,134.5429270718426
13,25,5,16,0,0,14,67,138.991326026071
15,28,4,10,1,1,13,74,143.3502919766537
13,30,10,18,0,0,11,71,146.63402458513335
8,31,8,16,0,0,9,69,143.76638021064855
7,31,8,13,0,1,16,74,146.92356386784556
10,29,6,16,1,0,12,69,142.7487698912391
7,29,7,9,0,0,11,69,137.7258444384699
9,31,7,13,1,0,13,74,149.031199046755
9,27,5,14,0,0,11,64,133.50826895595068
11,29,6,17,0,0,11,68,138.55953573734195
10,30,3,8,0,1,11,73,142.68481847337782
9,25,10,17,1,0,12,66,141.7979437702172
11,28,9,13,1,1,12,73,148.63718831548275
8,31,11,16,0,0,10,75,154.6292615045805
9,28,11,12,1,1,9,72,146.47435329969528
9,30,6,12,0,1,6,68,139.13096869377037
12,30,7,16,0,0,5,68,141.5791459999435
13,31,10,11,1,0,8,77,155.29319268059436
4,30,10,16,0,1,15,70,144.57295298240254
8,31,7,8,0,1,12,73,144.3928500930702
11,34,7,8,0,0,11,78,151.00181579810146
12,29,3,10,1,0,9,70,139.8144329211903
10,31,10,16,1,1,14,75,151.50550682278103
8,30,10,12,1,0,10,71,145.4500738821857
8,27,8,10,1,0,11,72,145.03906464055245
7,31,13,8,1,0,13,81,160.38330480215134
6,34,8,15,0,1,14,74,146.4679449715431
12,28,8,11,1,0,10,71,142.63165367030072
11,27,7,17,0,0,13,67,141.10779699560072
12,29,7,14,1,1,11,71,145.56880399262425
14,30,9,14,1,0,12,78,154.12884650178182
6,26,9,9,0,1,10,68,142.47361484010685
9,28,1,12,0,1,12,66,132.23627280577267
11,27,7,15,0,0,11,66,137.22202846112629
9,31,1,13,1,1,13,70,140.32636882098623
13,31,3,14,0,1,14,75,146.13873008183634
12,31,6,15,0,0,10,72,144.21342995198862
14,31,9,12,0,0,12,81,160.2308954271765
11,28,8,12,1,0,14,72,145.95825814426345
16,28,9,12,0,0,10,76,152.68747442970158
8,28,8,14,0,0,10,69,144.297873550012
4,32,15,13,0,0,12,75,154.1242624755759
8,29,6,6,0,0,9,72,144.0725786200603
6,30,9,18,0,0,13,68,141.63259750539927
14,27,3,15,0,0,10,68,139.4382269060742
10,31,9,11,0,1,10,74,147.4128320311259
13,30,9,16,0,1,11,72,145.50971423750508
8,28,6,13,0,0,10,68,142.5540508417855
11,29,9,16,1,0,11,70,144.79394374395437
9,32,12,16,1,0,14,74,147.395406679337
4,31,7,14,1,0,12,67,136.9842021916959
4,27,6,15,0,1,11,62,132.21186131716763
11,29,7,12,1,0,9,72,141.5106026377271
5,31,12,14,0,1,11,71,144.58954689418226
15,34,7,13,0,0,11,82,158.37821158355027
8,28,0,10,0,1,10,65,126.84957810164542
11,32,6,12,0,0,10,76,150.9428667741397
11,30,8,19,0,1,10,70,149.08319434111445
