participant_age,income_level,crime_rate,home_ownership,education_years,employment_status,funding_policy,public_safety_funding,perceived_safety
31,33,6,11,3,1,1,0,82.45460600776103
31,20,8,19,1,1,0,1,84.19094703059376
36,25,6,23,0,0,0,1,87.99157660761668
8,32,5,12,1,1,0,1,79.86780819650767
23,20,6,10,0,1,1,1,74.45738890684574
16,26,7,17,2,0,0,0,77.07822330846562
30,21,2,17,2,1,0,0,77.71690479556908
25,31,4,18,3,1,1,1,85.7211550403217
19,21,2,16,1,1,0,1,78.16511301204554
26,25,5,16,2,0,0,1,82.80896537932287
7,23,5,7,1,1,1,0,68.9139433689681
21,25,8,23,1,1,1,0,85.4849674240858
28,24,7,14,2,0,1,1,80.2348815750002
41,21,8,21,3,1,0,0,85.53561449228941
7,25,7,19,0,1,1,0,78.69917079793116
24,25,8,11,1,1,1,1,79.82964498331435
30,17,10,13,2,1,0,0,77.71308872801846
19,24,4,19,2,1,1,0,81.1787987834264
33,19,5,10,3,1,1,1,77.3532902035258
29,30,2,21,1,1,0,1,88.04996015941704
42,22,4,18,2,1,0,1,85.59947893651622
13,19,4,6,0,1,0,0,65.35298395438367
32,23,4,19,2,1,1,0,80.23971212137832
44,27,6,18,0,1,0,0,83.15622497926454
37,26,4,15,2,1,1,0,80.36672302293341
43,21,5,18,1,0,0,1,83.36601718545785
21,19,4,16,1,0,1,1,79.39109178651832
25,27,6,14,1,1,1,1,82.11176599437518
13,25,5,20,0,1,1,0,79.35803893087426
19,21,6,21,1,1,1,0,80.44515099791118
28,18,9,14,1,0,1,0,75.73013884131092
16,29,6,17,2,0,1,1,84.45098461922959
30,19,9,12,1,0,0,1,78.87761955713194
30,28,9,17,2,0,1,1,84.90889881343611
22,21,8,18,3,0,0,0,79.15369545094025
36,30,7,13,4,1,0,1,86.4773607602109
32,30,5,7,2,1,1,1,77.62437097798164
30,29,4,19,1,1,1,0,84.01218955696397
26,28,4,22,2,1,0,1,89.66486459251607
38,25,4,16,4,1,1,1,83.46172711798917
6,19,4,3,2,1,0,1,66.24032768263135
23,18,8,23,1,0,0,0,82.32224173247882
26,29,1,8,2,1,1,0,72.60144788316346
21,21,3,12,2,0,0,1,75.60163728105347
32,24,7,15,1,1,0,0,79.50764302720825
27,24,4,21,3,0,1,1,85.09060816664403
30,22,10,16,3,1,0,0,82.04090046604205
9,24,2,19,4,1,1,0,80.15197237447768
26,21,3,10,1,0,0,0,71.98305092290545
34,18,5,19,3,0,1,0,79.9024830723345
33,20,6,18,1,1,1,0,79.89582523013883
24,24,4,11,1,1,0,1,75.32317813818472
44,19,8,19,2,0,1,0,83.4424010253677
14,28,2,18,1,1,1,1,83.0591785139562
21,22,6,22,2,1,1,0,83.98702472726077
31,22,5,11,4,0,0,1,79.55984575189646
24,25,9,17,2,0,1,0,80.05913052368085
31,25,4,24,2,1,1,0,86.64910239756523
22,25,2,17,2,0,0,1,81.95765481882712
18,22,3,26,3,0,1,0,85.74080440696278
20,21,2,10,2,1,0,1,73.5899613311953
40,25,7,6,2,1,0,1,77.49605461691934
23,22,8,12,1,0,1,0,76.80066942530524
47,27,8,11,1,1,0,0,78.92209891913505
25,18,11,10,2,1,1,1,77.93282469110966
28,23,3,21,1,0,1,0,81.21103273979813
21,29,4,13,2,1,1,1,81.26010154509665
12,32,6,9,0,1,1,0,73.60760554016937
27,28,4,13,0,0,1,0,76.6888108599365
10,21,5,22,1,0,1,0,78.56493825516462
19,26,9,18,0,1,0,0,80.5264908747339
29,25,6,22,3,1,1,1,90.24184626157891
39,21,5,14,0,1,1,0,79.12675145433418
27,26,5,12,0,1,1,1,79.47089124943038
42,28,6,12,2,1,0,0,78.47430766861115
41,24,4,13,1,0,1,1,79.13094955954816
16,27,6,10,2,0,1,0,74.80380881404795
34,24,6,14,3,1,0,1,82.48568190355857
12,23,2,26,2,0,1,1,87.3348178904467
23,18,5,24,2,1,1,0,84.27066982833689
22,21,4,15,1,1,1,1,80.04571956409004
19,25,11,16,2,1,1,0,80.28500203645403
29,21,6,12,1,1,1,0,75.18803215133714
17,20,5,10,2,0,0,0,71.86380242453602
14,25,6,14,2,0,1,0,77.56630175740666
29,30,2,15,1,0,1,0,78.89330755053423
39,25,3,15,0,1,1,1,81.0980643908199
5,25,6,11,3,1,1,0,74.625740357031
24,13,7,14,2,1,1,1,77.97580121280518
6,26,5,21,1,0,0,1,84.59251934487226
16,16,9,17,2,0,1,1,80.48132583748657
21,29,5,17,3,1,0,0,82.00288972980347
36,24,7,15,2,0,0,1,84.91008498340702
24,18,3,9,1,0,0,1,72.35705171921528
34,20,8,21,2,1,0,1,86.49222523434995
7,23,7,21,2,1,1,1,83.51761309141133
18,25,4,13,2,0,1,0,75.83325985315489
10,27,9,27,2,1,0,1,92.97348210817093
39,26,8,18,0,1,0,1,84.08876842062318
23,21,6,14,1,1,1,0,77.72293410146509
24,17,6,14,1,0,1,1,77.06251642824844
23,20,7,20,2,0,1,0,80.33033614891447
28,18,5,14,0,0,1,0,75.1540189671562
32,24,5,17,0,1,1,0,81.87287338797181
26,27,3,20,2,0,0,1,82.38037586944384
16,23,4,13,1,1,0,0,73.96364014101202
17,27,7,18,1,1,1,1,84.8849438637246
18,24,9,12,2,1,1,1,80.42838789445034
26,18,5,23,0,1,1,0,80.32232339126372
25,28,7,15,0,0,0,0,76.94925132697969
2,26,7,16,1,0,1,0,76.03866866938613
28,24,4,14,1,1,1,0,76.08157241820483
21,30,8,14,2,0,0,1,82.25076623347789
15,26,4,20,2,1,0,1,85.61388383056526
19,22,6,18,1,0,0,0,77.85976481346901
36,20,6,19,2,1,0,0,79.79740652470089
9,30,4,13,2,1,1,1,78.64473046071438
36,26,5,13,1,1,1,0,79.63357106475141
17,25,7,8,1,0,0,0,71.85066878425806
11,32,10,13,3,0,0,0,80.48496096065224
7,19,2,14,0,0,1,0,71.01109103161784
43,22,6,18,2,1,1,0,82.25509818992423
22,21,3,19,1,1,0,1,81.10536113880414
16,25,5,11,1,1,0,1,75.96118926226495
21,24,7,19,1,1,0,1,83.22626122915158
21,23,5,5,0,1,0,1,70.34879035833332
35,25,2,21,0,1,1,0,82.10720212561445
29,23,5,14,2,1,1,1,80.41965293954718
20,22,5,18,2,1,0,0,77.2127356430508
38,20,4,16,1,0,0,0,78.30907636259276
25,19,7,18,1,1,0,1,81.00447538102021
37,26,6,18,0,1,1,0,82.79064118760012
21,29,6,24,2,0,1,1,90.91352298854106
43,25,5,17,1,1,1,0,83.87416165536942
26,24,0,12,1,1,0,0,71.45655459948853
32,19,4,19,2,1,0,1,82.22729769121618
27,26,3,3,0,1,1,0,67.26422195114904
27,23,5,21,0,1,1,0,82.34865056483928
17,23,8,14,1,0,1,1,79.89566740448532
30,21,8,13,2,1,1,0,76.42453518591896
17,28,6,12,1,1,1,0,76.87331271401719
30,24,9,11,0,1,0,1,79.39633808319239
24,25,6,14,1,0,1,0,78.50440575893062
33,26,5,14,1,0,1,1,81.96272582475663
37,21,4,17,3,0,1,1,84.00127050444624
24,16,7,13,0,0,1,1,76.06701056835881
22,22,6,16,3,1,1,0,79.01594700563807
28,15,4,18,2,1,1,1,81.31502832042126
19,18,7,19,3,1,0,1,82.61285788250552
32,25,4,22,0,1,0,0,85.07272369799604
26,17,4,19,2,1,1,1,83.15385373023373
32,26,8,9,2,0,0,0,75.35527119315982
31,26,4,18,2,1,0,0,82.47156996831292
8,23,9,15,3,1,1,0,76.73257521534063
16,31,6,14,1,1,0,1,78.51225489224515
30,29,5,13,2,0,0,1,81.28179586473073
13,20,2,10,1,0,0,0,69.19563495132729
11,24,5,15,2,0,0,1,78.99248838735471
39,24,4,5,3,1,1,0,73.59280385132159
23,25,4,14,2,0,1,0,77.15677988156895
16,25,6,17,1,0,1,1,82.07485219964025
18,21,9,11,2,0,1,1,76.33432244887808
18,33,3,14,0,1,1,1,81.40641574668625
32,27,7,14,1,0,1,1,83.69142822005807
15,18,6,13,1,1,0,1,76.70058182279155
26,22,2,11,3,0,1,0,71.94435663745617
32,25,2,18,3,1,1,0,82.19538786072859
32,24,4,19,4,0,0,1,86.14729618785827
35,23,5,5,1,0,1,1,74.39736890345725
24,23,7,17,4,0,1,1,85.51434432920615
18,24,5,9,0,1,1,0,73.81037711881683
26,23,9,11,2,0,0,0,76.23838685874155
12,27,7,16,2,1,1,1,83.0037156475652
5,22,8,17,2,0,0,1,81.40791494939525
26,23,5,14,1,1,0,0,76.11836551706746
16,15,3,12,2,0,0,0,69.56464744894052
10,22,4,14,2,0,1,1,76.8106232506573
15,21,5,12,2,0,1,0,73.58763592192551
28,28,4,18,0,0,0,1,83.79018540037922
14,19,2,27,1,0,0,0,83.35113842760293
13,27,4,18,3,0,0,0,79.70675014535499
18,24,4,15,0,1,0,0,73.72435080057915
26,20,4,14,2,1,1,0,76.36255625701524
31,30,2,21,1,0,1,1,86.29679072966782
17,24,5,13,1,1,0,0,74.41211543029009
28,23,7,14,2,0,1,0,78.51587139695965
27,21,4,20,3,1,0,1,85.35770340790124
34,23,2,18,2,0,1,0,80.19126986378127
0,34,6,24,2,1,0,0,86.09266777253872
24,21,7,14,0,1,1,1,76.92424849471982
17,14,4,18,0,1,1,1,78.52431030473088
32,27,5,25,4,1,0,0,88.96448728119884
26,26,7,18,2,1,0,1,85.44548129540918
29,28,6,12,3,0,0,0,77.57747805199145
37,23,4,11,1,1,1,0,76.79411145087339
10,22,4,18,1,1,0,1,80.46987235448337
40,25,6,9,2,0,0,1,79.60320170085383
35,20,5,12,2,1,1,1,78.73622542615814
18,26,5,15,2,0,1,0,77.8841876948306
3,26,2,12,1,1,0,1,74.46513207849428
26,27,9,13,1,1,0,1,81.61413243991883
24,20,5,20,3,0,1,0,80.78741505204619
26,21,11,19,1,1,0,1,84.42400024658559
18,20,2,22,1,1,0,0,79.42883191963303
37,30,8,17,0,0,0,1,86.05970780345208
9,20,6,13,3,0,0,0,72.39827955308088
9,24,8,10,1,1,1,1,76.51722214253849
24,29,4,15,3,0,1,0,79.70881046223495
29,25,6,18,0,0,1,1,83.26358365997694
23,25,10,16,2,1,1,0,81.48544407807513
16,25,8,10,3,0,1,1,77.72664254107818
14,16,3,18,2,1,0,1,76.05272014049848
-3,22,6,23,0,0,0,0,77.45118191760261
18,18,8,16,1,1,1,0,77.87505856777639
20,24,7,20,2,0,1,0,82.78280544000545
21,23,5,16,1,0,1,0,77.39783319111044
6,19,4,8,2,1,0,0,67.44963037341235
20,24,5,23,1,0,1,1,85.27246422316044
30,27,2,16,2,1,1,1,84.84205963776873
34,19,7,16,0,1,0,0,76.40795009261595
33,19,4,13,0,1,1,1,78.63288035582708
14,30,6,16,0,0,1,0,79.09672587502679
22,20,2,13,1,1,0,0,71.48223448090873
19,21,7,13,2,0,0,0,72.7217891872008
14,27,8,16,3,0,1,1,84.17782490284762
28,19,8,18,1,0,1,0,79.09959036006288
35,21,7,18,2,1,1,1,84.18296128391539
34,25,5,8,0,0,1,0,72.72570224899
33,23,9,7,2,1,1,0,73.69798274227836
30,23,4,18,0,1,1,0,80.7780760465588
41,24,9,19,2,1,1,1,87.01621205264972
22,19,9,13,2,0,1,0,74.89919478480047
31,27,2,14,0,0,0,1,81.27379227996052
19,29,8,14,2,0,1,0,78.7997055374987
40,25,9,14,0,0,1,1,82.87748297797584
35,21,8,13,2,1,1,1,79.96865941137405
29,25,4,11,0,0,0,0,74.86339784976543
17,17,1,18,3,1,0,0,75.04352164554591
24,21,5,14,0,0,0,0,76.30528661607805
19,24,4,16,2,1,1,0,80.37053136214746
27,30,5,12,2,1,0,0,78.25430546089133
7,22,5,10,2,1,0,0,70.97869574110581
15,16,4,14,2,0,1,0,72.32293727757414
19,26,8,12,3,0,0,1,82.27826387865662
30,23,4,16,2,1,1,0,79.45100033962576
