student_age,parent_education_years,hours_studied_per_week,avg_class_size,rural_school,free_lunch_eligibility,online_tutoring,final_exam_score
20,21,8,16,1,0,1,62.64639853161553
26,17,13,14,0,1,1,54.26336728190356
29,20,10,19,1,0,1,55.95787187566017
31,33,13,12,1,0,0,65.80059137382813
34,20,6,16,1,1,0,54.761792764702015
41,21,11,19,1,1,1,51.2826883888182
34,21,10,2,1,1,0,56.71609726524742
33,19,12,10,0,0,0,49.56459287346001
32,26,5,12,1,1,0,60.36240365811654
21,12,8,15,1,1,1,51.18091274117334
14,21,12,17,0,1,0,60.09729098708439
30,23,12,10,0,1,1,59.68700028812408
37,28,7,15,1,0,0,60.1019265239952
13,20,11,10,0,0,1,64.01756087481374
28,16,11,21,0,0,0,46.51057715315428
26,22,12,16,1,1,1,58.59169779742805
24,23,13,10,1,0,1,61.27078864930623
36,20,8,11,1,0,0,53.02221503973179
35,24,10,12,0,0,0,55.12686741418293
21,27,7,13,0,1,0,66.08074564577896
27,19,15,14,0,0,1,53.639660253209264
37,24,4,16,1,1,0,59.83582039205128
32,14,12,13,0,0,1,46.647681068774766
19,18,6,10,0,1,0,58.20963364517048
30,17,11,5,0,0,0,49.98047663902515
15,29,9,15,0,0,0,69.96541821493709
33,15,12,8,0,1,0,45.362317823136685
15,21,11,10,0,1,1,66.95947321251606
26,19,10,9,1,1,0,54.42221271883007
36,19,13,10,1,0,1,53.09588938265757
20,31,9,10,1,1,0,71.22038304602388
27,25,8,14,1,1,1,63.76757690596267
41,20,6,8,0,0,0,50.012419778323824
33,18,9,14,0,0,0,50.420143631440325
33,19,10,7,1,0,0,52.37417710843712
30,25,12,10,1,1,1,63.828196371504696
25,21,6,21,0,0,0,57.78176469781685
38,16,5,10,0,0,0,45.99606838760143
1,20,15,5,1,0,1,68.2396237544298
33,17,7,13,1,0,1,52.734711409344975
44,21,11,15,1,0,1,49.79005125355802
36,25,8,13,0,0,0,56.86297846833235
37,30,7,24,0,0,0,61.57031464079556
15,15,12,11,0,1,1,58.437148512174645
32,14,12,4,0,1,0,46.76503434204151
16,26,15,11,1,1,1,67.73421462568811
29,25,2,17,0,0,0,63.34989835798214
18,12,4,19,1,1,0,52.99600645127501
35,27,12,12,0,0,0,54.69093409113391
23,21,13,6,0,1,1,59.3838033112856
22,24,13,8,0,0,0,61.31451575049831
26,25,9,16,0,0,0,59.66587194734368
26,26,15,3,1,0,1,64.17912248900666
35,31,9,21,1,1,0,61.83490605842277
22,24,8,9,1,0,1,64.9781023511559
26,20,9,15,0,0,0,54.351523480843404
38,28,13,8,1,0,1,61.92747231922272
33,16,13,13,0,0,0,44.78039573071464
34,17,8,13,0,1,0,48.675520326504
23,28,9,13,0,1,0,67.31556457192382
30,18,8,11,1,0,1,55.76446637243457
34,30,8,10,0,1,0,64.99468990787388
30,24,9,16,1,0,1,62.61262069041529
20,24,9,16,0,0,0,62.11148126426597
37,23,12,17,0,0,1,54.34676377815375
14,26,9,11,0,0,0,67.28244372645936
18,23,11,10,1,1,1,64.09063545925986
23,16,5,15,1,0,0,56.027712633659085
23,22,13,19,1,0,1,59.96746929277858
30,30,12,24,1,0,0,61.41009918095945
32,8,13,20,1,1,1,38.38259197331046
27,16,8,20,1,0,1,53.18272484379301
39,28,10,7,0,1,0,59.52873566536914
32,23,12,17,1,0,1,57.54803058131604
28,12,12,8,0,0,1,48.81965094165015
29,20,8,13,0,1,1,58.87912758243222
30,22,11,11,0,1,1,58.58479980710671
32,14,14,15,1,1,1,46.4554409761695
25,21,9,15,0,0,1,60.137268828590784
27,14,7,8,0,0,0,50.887018626541526
29,14,10,14,1,0,1,50.19541031537388
12,16,6,7,1,0,0,61.09972577674227
16,22,9,12,0,0,1,65.34344166070443
31,12,10,10,1,1,1,48.77656831234972
25,23,12,18,0,0,1,59.09484793390939
33,19,13,19,0,1,1,52.4238593686476
23,19,8,10,0,0,0,56.48127947118663
33,27,9,12,1,0,1,64.10166853344992
39,26,9,7,0,1,0,58.13985063819908
13,29,14,13,0,0,1,71.93075717994446
10,10,5,5,1,0,0,55.80163503303706
33,33,9,8,0,0,0,67.79506092999458
30,15,19,13,1,0,1,45.041806547698215
38,7,0,7,1,1,0,43.17880668117034
41,26,1,13,0,1,0,62.10011110698767
44,23,9,13,1,0,1,54.18621598734713
44,21,7,21,1,0,1,53.76490569851574
31,21,12,14,0,1,0,53.689405818926325
38,16,5,5,1,1,0,49.39305767059963
40,16,8,18,1,0,0,43.408994397881926
38,32,10,6,0,1,0,63.78563394230465
35,17,14,20,1,0,1,47.810036640282966
38,15,8,12,0,0,1,49.774843294451394
32,11,15,8,0,1,1,42.03444572375904
25,32,9,11,0,0,1,72.16387570377617
24,23,14,26,0,1,1,57.71451849686855
34,9,14,16,0,1,1,37.94025360768611
30,21,15,15,0,1,1,54.9881739292917
28,13,12,21,0,1,1,47.17206428700753
31,21,11,4,0,0,0,54.6086850393631
34,12,14,15,1,1,1,43.91485621713762
20,23,12,10,0,0,1,61.979365690674925
31,29,11,16,0,1,0,62.84378709583342
30,20,5,17,0,1,0,55.3260800498564
40,20,6,13,0,0,0,49.44302326707025
5,21,4,12,0,1,0,69.19227104244871
34,23,10,12,1,1,1,61.42339999733132
46,15,9,12,1,0,1,46.00041441302787
31,12,6,24,1,0,0,43.434970767086426
29,24,14,20,1,0,1,58.804546322284864
33,16,6,12,0,1,0,50.517073766719705
15,22,14,20,0,1,1,61.84029876274392
33,13,7,7,0,0,0,45.551085063000016
30,18,11,22,0,0,1,50.48766524951932
33,8,11,5,0,0,0,38.96570577070448
26,29,9,16,0,1,0,66.13934566672349
33,19,6,11,1,0,0,51.872656072105954
28,17,10,12,0,0,1,55.24829596764559
39,32,9,12,1,1,0,63.08523929430511
28,28,8,9,0,1,1,66.73229112705282
25,17,8,20,0,1,1,55.13288455540665
26,6,9,13,1,0,1,44.37315512798654
38,16,8,20,0,1,1,50.70797723411188
25,22,10,11,0,0,1,62.29573357871996
23,6,7,9,0,0,0,43.02962337871746
25,18,12,9,0,1,0,51.641466819395525
40,14,9,18,0,1,1,43.99700633516351
26,16,13,11,0,0,0,46.83109800295143
32,22,12,10,0,1,1,59.88354171423129
35,7,13,14,1,0,0,34.134787601993786
29,7,13,18,1,1,1,39.84158246954362
34,28,14,15,0,0,1,63.25532089228572
14,12,13,20,1,0,1,50.708369889292406
31,12,10,20,0,1,0,42.3669322879626
40,15,6,9,1,0,1,49.226667833499945
27,16,11,16,0,0,1,50.873157180428535
32,21,7,7,0,1,0,57.27196050384384
38,24,9,5,0,0,0,58.54364091468126
21,24,8,9,1,0,1,67.44150119829985
20,21,6,16,0,0,0,60.74074631856793
33,22,13,6,0,1,0,52.30801762877024
37,27,8,11,0,1,1,63.32997097861659
32,19,3,12,1,0,0,55.92864726111938
38,20,6,23,0,1,0,50.91592003373641
38,23,14,10,0,0,0,52.56390273497335
33,20,8,14,0,1,0,53.02039155448
31,26,3,13,1,0,0,65.25796133001121
18,12,11,22,0,0,1,49.719631014272565
19,15,11,16,0,1,0,52.03217749843813
26,18,8,14,0,1,0,52.48182125356798
29,30,11,15,0,0,1,66.32417426720549
26,22,9,11,0,0,0,57.641754618740514
34,8,8,19,0,1,1,43.94120119002835
29,21,11,18,0,0,1,56.19970713933577
31,22,9,13,1,1,1,59.57914312212437
39,23,12,14,1,0,1,55.19152987257122
40,16,8,13,1,0,1,49.03680187218014
37,19,4,7,1,0,0,53.08362172721615
28,31,10,7,0,0,0,68.8099792306823
19,27,9,8,1,1,1,73.38135034343428
39,25,9,13,1,0,1,58.92680257935956
25,11,12,19,1,1,1,48.364774814816776
40,25,9,4,1,0,0,57.66636215812552
22,18,11,18,1,0,1,57.66719183667461
26,23,3,15,1,0,0,63.7718582491809
46,16,6,21,0,1,0,43.281510806202725
32,11,8,17,1,1,1,44.70242823392575
35,26,4,10,0,1,0,62.53085617776293
18,37,7,19,0,1,0,76.48448846258056
29,16,12,22,1,0,1,48.392298359248784
34,21,5,15,0,1,0,54.80149175597258
39,10,14,13,1,0,1,39.05721571529979
23,25,12,15,1,1,0,61.40810328673634
20,19,9,11,0,0,1,62.10283634632594
25,9,3,10,1,1,0,49.29490879425919
19,12,14,4,1,1,1,52.136868149192665
25,29,9,12,1,0,0,66.08815328734713
29,8,11,12,1,1,1,44.82386750376981
11,25,14,14,0,1,1,69.27304089190757
33,12,11,14,0,1,1,45.22098797412902
19,13,10,7,0,1,1,55.9108302065583
36,9,6,15,1,0,0,41.76351928565105
46,14,9,17,1,0,0,40.24308548422233
42,19,11,20,0,1,0,42.9007548022192
20,15,11,17,0,0,1,54.12003175295379
36,25,7,20,0,1,0,55.04063345471841
41,11,10,12,1,1,1,40.69114999866191
0,15,9,14,1,1,1,65.05309075441312
37,29,13,11,0,0,1,63.250165957600565
11,34,12,18,0,0,1,79.44313475890901
17,25,7,24,1,0,0,64.97777675335357
32,13,7,22,0,0,0,45.38609555773422
29,21,6,11,0,1,0,58.68788762940335
20,20,9,12,0,1,0,59.29779839375444
27,19,6,10,0,1,1,59.657470424930544
33,14,9,18,0,1,1,49.50509801452129
37,21,6,13,0,0,0,52.81396534132567
41,24,8,23,0,0,0,51.91244537801114
22,12,13,16,1,1,1,49.40877287772962
25,19,8,10,1,1,1,60.18512545746176
34,25,4,14,1,0,0,60.22218314230039
30,11,8,12,0,1,0,43.0820477691996
34,24,14,12,0,0,0,52.84131122175486
39,20,5,21,1,0,0,49.72767841641114
38,9,6,20,0,0,1,41.58865019487131
27,24,6,14,1,0,0,61.19258715241675
38,19,7,11,1,0,1,54.1165813877202
36,20,12,18,1,0,0,46.95895012080119
27,15,18,19,1,1,1,45.61976726122587
22,13,13,12,1,1,1,51.76247081352574
29,21,5,15,0,1,0,58.25527947934814
36,11,8,5,0,1,0,43.468183265850655
33,23,9,11,0,1,0,57.92802867171245
25,22,9,16,1,0,1,60.8908231043845
35,29,9,14,1,1,0,62.368582194529104
30,21,14,17,0,1,1,54.72531566941912
47,18,11,9,1,0,1,48.43090678996985
33,10,13,24,1,0,1,38.59203160896996
34,21,4,21,0,0,0,54.33600544566203
40,4,9,15,1,1,0,31.160477489783474
37,19,10,20,1,0,1,51.52273399009305
24,16,13,10,1,1,1,52.69663598124754
19,12,9,23,0,1,0,47.49372801827659
26,24,10,20,1,1,1,60.36683754086032
34,21,6,21,0,0,0,52.991594286591415
29,19,12,12,0,0,0,50.84644944761831
22,24,8,16,1,1,0,62.74346039650174
25,11,11,23,0,1,1,46.53325190160305
39,18,13,14,1,1,1,47.68089608976291
41,21,7,17,1,1,1,54.73130198557055
41,17,11,10,1,1,0,45.1475969688531
42,19,10,13,1,1,0,48.54729096466584
38,15,13,6,1,0,1,46.071163139062136
28,18,12,11,0,1,1,54.070781094361394
27,20,10,16,0,1,1,57.70386746300965
43,15,9,11,1,0,0,41.0734349946069
24,20,9,13,0,1,1,60.32887508778662
37,23,11,15,1,1,0,53.51276256637348
36,20,12,15,0,0,1,52.164636762761305
28,32,12,11,0,1,0,66.49286857355003
15,22,9,22,0,0,1,63.37391156172512
28,15,9,14,0,1,0,49.34008902359066
38,7,11,6,0,0,1,38.97906111559697
31,15,9,15,0,0,1,49.8839195832692
35,20,9,16,0,1,0,52.12226426844151
41,24,8,15,0,1,0,53.9439647253043
31,26,9,13,1,1,0,61.823574599150426
7,18,13,10,1,1,1,63.6166671518406
36,20,12,10,0,0,1,54.58828644587612
26,19,11,17,0,0,1,53.89451558053612
25,16,10,8,1,0,1,53.45668872379781
28,11,6,17,0,0,0,47.139469318352525
26,25,9,13,1,0,1,64.67343964687822
37,20,8,5,1,1,1,57.11304522344294
46,11,10,17,0,0,1,37.84106139337121
19,16,15,12,1,0,1,54.19028941100333
29,16,11,16,0,1,1,51.8898044934688
31,18,6,12,0,0,0,53.14960077913822
40,15,8,13,0,1,0,43.10962304108317
22,12,3,15,0,0,0,51.473659371937366
20,17,14,17,1,1,0,51.396562390323965
34,15,7,16,0,0,0,48.68649052515151
27,13,10,9,0,0,0,45.75311660855981
33,23,11,10,0,0,0,52.98109124100285
20,18,8,20,0,0,1,59.38562583260149
25,13,9,22,1,1,1,50.34175238931925
25,10,8,18,1,0,1,47.39079188500256
16,20,11,16,0,1,0,59.29303119057282
12,33,8,27,1,1,0,75.12841865551451
34,16,10,22,0,0,1,48.53010488953771
29,17,8,18,1,0,1,53.59204306284584
23,24,2,15,1,0,0,66.40472429185621
39,24,7,20,0,0,0,54.51640544468107
45,14,13,15,0,1,1,40.42952642600773
20,24,13,16,0,1,1,63.37230100352093
27,31,6,11,1,1,0,69.90270345974857
18,19,17,15,1,1,1,57.150876089801976
21,12,9,13,0,1,1,51.63540002643664
30,33,14,11,0,1,0,66.50879582384952
25,19,10,7,1,1,1,59.27991367915965
34,29,10,22,0,1,0,58.84482059456349
21,21,11,16,0,1,1,60.05086518124114
25,14,4,13,1,1,0,50.50709974683909
28,26,12,13,0,1,0,59.64838313785116
35,26,12,18,0,0,0,52.66816826309649
34,17,9,11,1,0,1,53.12037811268119
28,29,7,11,1,0,1,68.53360306332571
47,21,15,13,0,0,0,44.75155953434624
26,21,6,12,0,0,0,59.74514627059135
26,33,10,14,0,0,0,68.60404524788014
29,17,7,7,1,0,0,55.90875453488361
22,30,11,10,0,0,1,72.30459059606876
39,14,8,11,0,0,0,43.34987597057509
20,16,17,11,1,1,1,52.53309095972729
25,23,10,22,0,0,0,55.1793959610998
26,25,10,13,1,1,1,66.50395544232443
14,16,10,12,0,0,1,57.07763851953735
28,13,9,8,0,1,0,48.68364397423539
39,25,5,10,1,1,0,57.824740873300605
41,24,9,11,1,0,0,53.81769736537946
30,26,5,2,0,1,0,66.12774223426796
38,25,6,16,0,1,0,57.95145694094749
36,22,7,10,0,0,0,54.68706227844352
13,23,12,11,0,1,1,68.56606418298863
29,29,8,14,0,0,0,63.95440430156798
39,14,12,4,1,1,1,47.94176068913509
44,20,13,12,1,0,1,49.21282719213208
16,21,3,10,0,1,0,65.81142924771115
21,20,12,15,1,1,1,58.06846751928912
34,23,7,9,0,0,1,62.60665648166484
33,32,13,13,1,1,0,63.62838583528828
26,19,10,13,1,0,1,58.07731032673411
18,18,10,16,0,1,1,60.249251482209296
26,29,8,10,1,1,0,67.84977567437927
23,12,9,19,0,0,1,49.77025751649107
38,21,11,17,1,0,1,53.50644420488708
19,28,10,21,0,1,1,70.13062379179489
34,21,3,14,0,0,0,57.80807088753527
33,22,8,12,1,0,0,54.84166411548535
26,26,8,19,1,1,0,62.06993770727742
34,16,9,19,0,0,0,47.15748916869734
19,21,5,13,0,1,0,62.203993557243656
26,28,5,12,1,0,0,68.68599813468961
47,15,12,18,0,0,0,36.24900909534463
37,9,13,22,1,1,1,37.909989593890735
30,34,13,11,1,0,1,71.42516239627122
18,12,13,14,1,1,1,53.18828787921836
26,20,8,9,0,1,0,59.41902849302106
23,25,9,11,1,0,1,68.9138188781288
24,30,3,12,1,0,0,70.31615780235698
17,27,10,18,1,0,1,69.45878513531916
15,21,8,8,1,0,1,66.36423248462883
37,20,9,17,0,1,0,51.51515443484778
28,17,3,9,0,1,0,57.20937301969349
28,33,9,14,1,0,0,70.5271304434082
40,19,9,16,0,1,0,49.29083012780498
23,9,11,7,1,0,1,48.68080622484684
35,31,10,15,1,0,1,65.4463566642729
28,36,9,18,0,0,1,75.95923635772213
34,28,11,8,0,0,1,64.53031559685176
21,13,9,7,0,0,1,55.16453918795336
45,19,10,14,0,0,0,46.25828573378634
25,22,11,5,0,0,1,62.340126116699885
43,18,15,18,0,1,1,45.21020160003889
27,14,12,5,0,1,1,53.083023510239535
31,10,2,17,1,1,0,45.17490341005699
36,20,8,19,0,0,1,54.30343089761501
27,17,9,11,0,0,1,54.48585225377592
27,25,11,8,0,1,0,61.00733733570149
50,27,10,17,0,1,0,51.34102743173047
40,3,10,21,1,1,0,27.751025098654285
30,21,7,22,1,1,1,59.06130894988398
27,19,13,14,1,1,1,55.33578175905762
31,18,8,21,0,0,1,53.7117302066535
20,33,12,7,0,1,1,74.08658611170398
28,26,11,0,0,1,0,61.83806316027954
39,28,13,8,0,0,1,59.93408132119283
33,16,13,15,1,1,0,44.06211824936505
34,2,6,8,0,0,0,34.84392467377722
31,30,13,10,1,1,1,66.1421196553688
21,25,9,6,1,1,1,68.7598942012698
27,28,7,9,0,0,0,65.9080458232684
33,19,10,17,0,1,0,50.18683647222685
5,23,10,13,0,0,1,72.58066917851346
15,15,12,16,1,1,1,54.88460950219823
33,25,12,8,1,1,0,57.90857054751789
33,27,11,11,1,1,0,60.26228109842663
27,22,10,12,1,0,0,57.01655193872365
20,19,10,13,0,1,1,59.534885932833205
26,18,9,8,0,0,0,53.59894565166972
35,16,12,13,1,0,1,48.71513924606921
29,15,8,15,0,0,1,51.64340295786969
21,29,10,22,1,1,1,71.6657381678529
42,16,11,6,0,1,0,45.664420079075015
20,26,10,10,1,0,1,69.44046110866974
24,20,8,11,1,1,1,62.68573771300807
34,21,9,24,1,0,1,52.53624351677484
40,12,6,15,0,0,0,40.72726445787367
32,24,6,13,1,0,0,57.77916554573677
23,23,5,9,0,1,0,63.6222517269006
17,11,5,12,0,0,1,55.85633876102961
38,21,15,4,1,1,0,48.34018488476201
20,22,15,14,1,1,1,59.59761418338888
25,11,8,20,0,0,0,43.625971209307245
35,26,9,6,0,0,0,59.20269438089838
20,15,5,15,0,0,0,55.39631508249607
30,27,10,16,1,1,0,61.358117107834985
28,17,12,8,0,1,1,53.159574534663136
24,20,13,16,1,1,0,53.22974898471796
26,16,7,14,0,1,1,56.386649592034985
28,10,11,15,0,1,0,42.59904994813208
26,15,7,15,1,0,1,53.39822075156723
28,20,10,15,1,1,0,53.19378312348734
37,26,15,20,1,0,1,57.27023570306176
28,9,7,12,0,0,1,49.13350522504977
29,18,8,7,1,0,0,53.4271671707234
26,17,7,16,0,0,0,53.981073072625286
7,10,8,13,0,1,1,57.41741694287645
25,15,11,20,0,0,1,52.61038645854043
26,21,15,17,0,1,1,57.27466831310795
16,16,4,14,1,0,1,62.05242725260805
20,16,12,22,0,0,0,49.50938806585678
24,24,11,13,1,0,1,62.80690594893365
34,29,12,16,0,1,1,63.23539478084311
39,29,8,6,0,0,0,64.07179324055272
39,10,8,13,0,1,0,40.29333193874501
34,15,11,1,0,0,1,52.98249500354201
43,9,12,14,1,1,0,34.111818557139905
20,23,9,16,0,0,1,64.69062005337018
29,13,7,9,0,0,0,48.94349652351935
31,19,12,19,0,1,0,49.25867372917092
32,21,13,9,0,0,1,55.54532935399329
37,25,7,9,0,1,0,60.92990660870311
22,8,9,15,0,0,1,45.42849684400517
38,16,9,14,0,1,1,50.253627029981736
38,10,9,14,1,1,0,41.01856971502798
20,12,9,14,1,1,0,48.95865501364753
27,19,11,9,1,0,1,55.07486430417343
19,28,12,12,0,0,1,70.04114640685744
21,34,12,11,0,1,0,72.51332719115277
34,13,9,12,1,1,0,43.83963319349965
40,21,9,13,1,1,0,51.5371951987001
25,33,5,26,1,1,0,71.98605242652853
30,24,4,18,0,0,0,60.79402609820657
23,17,10,22,0,0,1,55.3632631409908
20,8,11,9,1,0,1,48.03891674069822
25,16,6,10,0,1,0,55.03236279432659
30,24,2,22,1,0,0,59.92958449427359
26,13,11,17,0,0,1,48.03674751860648
33,10,7,16,0,0,1,45.39634603989027
27,17,6,8,0,0,0,55.09823012475421
27,10,7,16,1,0,1,47.759700044208486
32,19,5,19,0,1,0,52.72972820047608
31,16,9,10,0,1,0,49.69924128033362
41,19,11,12,0,1,0,46.573471080774745
29,30,11,19,1,1,0,63.85915270328683
21,23,7,13,1,0,1,67.60964009895947
21,30,11,27,1,0,1,66.4754801015067
39,24,7,15,1,0,0,53.57014515792914
42,11,11,9,1,1,0,37.434867845581024
28,25,11,11,0,1,0,60.41575825929569
33,18,13,21,0,1,1,48.71189238301372
33,25,7,13,0,1,0,59.64993743562383
28,27,8,15,0,0,0,64.66693472714296
21,21,12,15,1,1,0,57.22647218823333
20,12,3,19,1,1,0,50.81991337202011
26,13,8,10,0,0,1,51.9459010590158
34,16,10,12,1,0,0,46.67061144390216
23,19,11,9,1,1,0,56.6734371480544
31,27,14,21,1,1,0,56.3714102287699
45,26,14,13,0,1,0,51.23208125552146
27,22,7,0,1,0,0,61.04130707482445
26,15,4,14,0,0,0,52.93877876033359
22,15,9,10,1,0,0,52.31424903157863
29,25,8,16,1,0,0,60.36372267347135
22,21,13,16,0,1,1,58.36500351445076
35,30,8,16,1,1,0,61.951268929610535
18,25,11,17,1,0,1,65.85028545773584
21,21,13,12,0,0,1,61.7314363994003
31,11,12,11,1,0,1,46.56660952269301
22,17,13,20,1,0,1,53.0018883707273
26,15,8,16,0,0,1,54.25901364755182
35,26,8,16,0,0,0,56.73224542503944
27,18,8,12,0,0,0,54.62053760237958
31,21,12,11,1,0,1,55.28293449893467
24,17,10,20,1,1,0,50.542104831884906
24,19,9,11,1,0,0,55.98038679460435
19,14,13,18,0,1,1,52.544877637422566
35,23,9,8,0,1,0,55.1771439734604
28,23,12,18,0,0,1,58.747628446245976
4,9,11,11,1,1,1,56.8971884523333
28,16,15,15,0,0,1,48.69803416095609
17,26,9,12,1,0,1,69.46226284429291
27,14,11,12,0,0,1,51.51885524599629
36,15,10,17,0,1,1,46.6183581125216
37,15,12,14,1,0,0,42.098797660122834
33,21,13,8,0,0,0,52.14176224015256
23,22,6,18,0,0,1,63.28650677005478
29,29,8,6,0,0,1,72.08719345151117
51,22,9,6,1,1,0,48.929291149584486
24,12,12,5,0,1,0,48.477238087777934
30,26,7,13,0,0,0,61.54392179379352
19,20,11,9,0,0,1,61.58875079162708
21,16,8,10,1,1,1,58.89489459636902
31,23,7,8,1,1,1,62.09647165347427
21,26,11,10,1,1,1,70.17444065544899
39,6,13,7,1,0,1,36.49138777651637
40,10,6,28,1,0,1,39.523483748529415
35,15,12,9,1,1,1,48.64038646809251
32,29,15,12,1,0,1,62.89070291290968
33,26,8,15,0,0,0,58.21329817509748
26,16,8,-4,1,1,1,59.894205425819095
40,20,3,11,1,0,0,51.45473563134868
39,25,9,8,0,0,0,56.24682127406084
26,22,7,17,1,1,0,58.38312735006127
38,24,5,9,1,0,0,57.30832011840577
34,23,9,11,0,1,0,55.31953816755525
20,18,7,17,0,1,0,57.664555958416514
44,28,14,6,1,1,1,59.64970308246144
15,16,9,10,0,0,1,59.42607132278396
24,23,9,13,0,1,0,61.12774034257265
37,20,8,18,0,1,0,51.6737492809136
19,16,15,23,0,0,1,51.86184778214507
32,22,9,11,0,1,0,54.50526540083306
18,23,15,14,0,1,1,63.44269078744613
17,22,11,15,1,0,1,63.70425244374216
30,14,13,21,1,0,1,45.65996591440437
33,31,9,9,0,1,0,65.53283019093092
37,25,13,1,0,0,1,57.90386258969284
28,20,10,10,1,1,0,54.85971868589991
25,14,7,18,1,1,1,54.6571187410873
32,18,7,17,1,1,0,52.40618529551068
26,21,7,6,0,0,0,57.638111290544416
32,18,10,16,1,1,1,52.52052292243051
39,28,5,11,0,0,0,61.85634034871215
31,17,5,19,1,0,0,51.52585587221334
