student_age,parent_education_years,classroom_size,school_funding,private_school,urban_location,tutoring_services,online_education_program,final_grade
21,24,6,19,0,1,1,1,96.49261942560815
19,23,5,13,0,1,1,1,93.66467503841722
16,18,4,15,0,1,1,1,85.1277626062022
13,26,10,22,1,1,0,1,95.51650879074126
17,26,6,17,0,1,1,0,86.9527150023074
8,24,9,10,1,0,0,1,87.11696743267328
19,20,5,17,1,1,1,1,91.90187517278584
31,27,6,16,1,1,0,1,107.17907244109018
26,28,2,15,1,1,1,1,100.61834324927764
25,21,1,13,1,1,1,0,84.0067656323102
47,27,6,17,0,1,1,0,114.23670105600674
31,26,6,18,0,0,1,0,97.74418711790352
25,24,3,16,1,0,1,1,98.77765056249608
33,32,9,17,0,0,0,1,112.69665172760638
14,24,7,27,0,1,0,1,92.85128443383104
18,17,5,4,1,1,0,1,85.15821746892183
22,25,0,17,0,0,1,0,85.25784890096132
35,21,6,13,0,0,1,1,104.45949205400495
33,25,7,21,1,0,1,1,109.09240990382034
15,22,8,21,1,0,1,0,84.74804242597615
15,20,8,14,0,1,1,0,78.57843418085875
29,27,6,20,0,1,1,1,108.6712815990105
21,27,9,9,0,0,1,1,100.63746785858052
28,30,9,18,1,1,0,1,109.14628170261336
45,28,2,15,0,0,1,0,110.48034469658886
10,27,7,24,1,0,1,1,92.7443098270968
38,30,5,20,0,1,1,0,107.74403189847789
25,26,3,16,1,0,1,0,90.47765933379944
16,21,6,15,1,0,1,1,90.05761266559323
27,21,10,13,1,1,1,0,93.75948460413504
31,18,5,21,0,1,1,0,91.75331613996411
22,26,5,14,1,0,1,0,89.51559580488856
28,19,4,16,1,1,1,0,89.66336940966225
18,23,9,12,0,1,1,0,85.86293324936523
21,20,3,13,0,1,0,1,88.96572031055632
20,24,6,14,0,0,1,1,96.43672429174728
30,22,1,14,0,1,1,1,99.19183249216404
21,21,6,19,1,1,1,0,87.47337446806951
15,26,10,16,0,0,1,1,94.16426751684595
30,26,8,11,1,1,1,0,97.10882554803062
22,25,6,19,1,0,1,1,98.72654440048248
29,28,6,20,0,0,0,0,98.80099539082062
9,16,6,18,1,0,1,0,71.95945340192925
27,21,3,9,1,1,1,1,96.43026504574009
25,26,7,19,1,1,1,0,96.10364194043136
22,24,6,13,1,0,1,1,97.32272594677995
11,23,8,13,0,1,0,1,87.75238094961766
29,17,5,20,0,0,1,1,96.77580979039926
35,25,7,13,1,1,0,1,108.47069597805508
29,24,3,15,1,1,1,0,93.29937279277124
7,25,2,19,0,0,1,0,74.91102407553558
27,22,6,16,1,1,1,1,101.12426384067588
36,24,6,14,0,1,0,0,98.94740742798984
49,26,8,18,0,1,1,0,115.43516542734872
25,18,9,13,0,0,0,1,95.02280861470292
23,22,3,12,1,1,0,0,85.27765302348242
30,30,6,15,0,0,1,1,108.82154057655966
32,31,9,21,0,1,1,1,115.56252562880408
45,22,7,13,1,1,1,1,117.65037146858748
24,28,6,12,1,0,0,0,91.07705533470713
9,32,7,15,0,1,1,0,84.03609710255792
60,19,7,18,1,0,0,0,118.60428337470287
26,27,5,15,1,0,1,1,104.27278331101236
17,21,5,14,0,1,1,1,91.02588843833549
35,21,6,16,1,0,1,0,98.23330665652549
14,27,4,14,1,1,0,0,82.34338230970098
12,19,7,16,1,1,0,1,83.95260640930972
29,23,7,19,1,1,1,0,96.94677598221232
10,27,3,17,1,1,0,1,85.9977685023679
41,23,4,17,0,1,1,1,112.18363017694725
48,24,5,18,1,1,1,0,109.8694401000031
41,16,4,16,1,0,0,0,94.4564012616079
27,26,11,14,0,1,0,1,108.89575837976624
35,25,9,12,0,1,0,0,101.22623355913508
28,36,6,12,0,1,1,1,112.11745609727402
22,22,8,16,1,1,1,0,89.61941723974839
26,20,2,18,0,1,1,1,95.16430023848962
43,24,8,13,0,1,0,1,117.01054641514376
28,26,2,18,0,1,1,1,102.15212016914452
38,25,6,21,0,1,0,0,103.8670435126113
42,28,2,16,0,0,1,0,104.76923520634944
11,22,4,15,0,1,0,1,85.72444180109422
23,34,5,18,1,1,1,1,106.3639853884086
21,28,6,16,1,0,0,1,99.0305357732542
32,21,7,15,1,1,0,0,96.46830117940446
19,24,4,20,0,1,1,1,94.3743731784357
38,15,3,12,1,1,1,1,98.88425738602956
19,28,9,12,0,1,1,0,92.6250887128443
21,19,2,24,0,1,1,1,90.92346008624628
15,22,4,8,0,1,1,0,79.50952902784896
35,21,4,18,0,1,0,0,94.21389014254014
35,22,5,17,0,1,0,0,96.07808633176982
14,26,8,17,0,1,0,1,94.33599962195316
29,22,3,18,1,1,1,1,99.86618498061482
17,24,2,12,1,1,0,1,87.79082524876053
18,30,5,17,0,0,0,1,97.53065670863636
17,21,6,13,1,1,1,0,83.49894415386241
26,27,4,13,0,1,1,0,92.52441883267832
28,20,3,16,0,0,1,0,90.41236402604956
27,20,3,21,1,1,0,0,87.54316538940509
39,18,11,20,1,1,0,0,102.47648549975897
30,33,5,12,1,0,1,1,112.04398356055562
27,21,4,19,1,1,0,0,90.59940742626628
16,24,1,18,1,0,1,0,81.85361884324868
30,25,6,18,1,0,0,1,104.51736384432613
31,25,6,11,1,1,1,0,98.07481092270406
26,26,7,16,1,1,1,0,95.22952460014469
37,18,7,9,0,0,0,1,102.71338228002791
31,27,6,16,1,1,0,0,98.27033664355528
16,20,7,6,1,1,0,0,78.54557026596807
30,24,5,14,0,0,0,0,92.59541984593392
37,25,6,21,0,1,0,0,102.09775548604333
33,23,1,12,1,1,0,1,102.23002451200308
14,21,6,12,1,1,1,1,88.25441166212819
40,22,7,16,1,1,1,0,102.69567938394071
41,25,3,17,1,1,1,0,103.14814279402948
38,30,6,12,0,0,0,1,113.91598271416404
18,24,9,19,0,0,1,1,95.80211060239505
30,28,5,5,1,1,1,0,97.8198728709572
29,32,4,21,0,1,1,1,110.7155885457264
28,20,4,7,0,0,1,1,95.72965815304222
26,20,6,11,1,1,0,1,97.41808993479054
21,18,6,16,0,0,1,0,81.41472240981861
22,25,2,19,1,0,0,1,94.5585504758308
28,24,5,20,1,1,0,1,103.33751545078005
27,24,6,16,0,1,1,1,101.6651673982142
37,25,9,12,0,1,1,1,113.4865305384865
24,27,2,10,1,1,0,0,89.84797765559456
28,20,5,16,1,1,1,1,99.1947775320731
30,20,6,12,1,0,1,0,90.40150757636056
25,17,5,22,1,0,0,0,85.12231787326408
22,21,11,25,0,0,1,0,92.06292219889716
22,24,5,24,1,1,1,0,88.96207739485004
25,27,6,9,1,0,1,0,91.39333502968746
20,30,7,18,1,0,0,0,92.42098270725884
22,19,6,11,1,1,1,1,94.5782485384586
33,22,1,18,1,0,1,0,94.23671811114158
17,25,4,9,1,1,1,1,91.04309726168265
36,29,3,22,1,1,0,1,112.09774897634996
34,29,5,13,0,1,0,1,108.79198295550046
16,21,5,16,1,1,0,0,82.46651848055251
28,26,6,22,1,0,1,0,99.92894289214176
39,15,6,16,1,1,1,0,97.60260697143002
11,20,9,18,0,1,1,0,79.81169656245426
60,21,2,2,0,0,1,0,113.26556869702156
29,27,5,13,0,1,1,0,96.12432753802622
54,26,8,13,1,0,0,1,124.6661291772372
30,24,4,20,0,0,0,0,93.5271331799292
31,25,3,11,0,0,0,0,91.82697122579116
35,19,8,14,1,0,0,1,103.85775320157576
16,24,9,10,1,1,0,1,93.69250391799382
19,23,7,13,1,1,1,1,92.85939090763156
23,18,1,11,0,1,0,1,86.90296217452877
13,11,5,11,1,0,0,0,68.04424030040914
10,26,1,19,0,1,0,0,77.37909188497925
10,26,10,11,0,0,0,0,82.62593545988881
25,21,8,12,1,1,0,0,88.28518516993657
27,20,2,23,0,1,0,1,96.55158252389226
16,26,6,17,0,0,0,1,90.96415999195196
23,18,6,9,1,0,1,1,91.7199863883009
26,21,6,16,1,1,0,0,90.660903987916
27,22,2,16,1,0,0,1,96.9567817860137
41,22,8,11,1,0,1,1,112.41771223491352
8,15,6,14,0,1,1,0,68.58106263088722
10,26,6,16,1,1,0,1,89.21112402799169
41,26,9,18,1,1,0,0,109.26610954211964
21,24,3,15,0,0,0,0,83.06193062270545
39,29,5,12,1,0,1,1,113.20343423545503
12,15,1,9,0,0,1,1,76.54162467297454
20,20,8,23,0,1,1,1,95.69884103302216
30,19,3,8,0,0,1,1,95.06092090300052
27,17,3,16,1,0,1,0,83.80341608099286
28,17,3,17,1,0,1,1,95.55168215148706
38,24,6,20,1,1,1,0,104.45951337207634
43,10,5,12,1,1,0,0,92.46618276146276
36,20,5,13,0,1,0,0,95.90392667799532
26,21,6,13,0,0,1,1,97.20923531702032
25,17,5,10,1,0,1,1,93.75119198397672
38,25,1,16,0,0,1,0,97.56541993336783
20,30,6,16,1,1,1,1,101.17868556937051
37,27,6,18,1,1,1,0,103.776091564755
40,24,1,14,1,1,1,1,107.68102633538034
23,19,5,18,1,1,1,1,94.40977706922698
6,19,5,16,1,0,1,0,70.55602871933894
33,36,3,17,0,1,1,1,114.12949494032588
18,27,6,16,1,1,1,1,97.3633629066295
24,25,4,12,1,0,1,0,89.85820823701754
49,25,4,15,1,1,1,0,110.05830609363836
24,30,8,16,1,1,1,1,106.3731258541752
28,26,1,16,0,0,0,0,90.67194821703524
25,19,3,27,0,0,0,1,93.2770360616186
24,28,4,14,1,1,0,1,101.36962693919465
33,21,2,16,1,1,0,0,94.13360806715323
33,23,3,9,0,0,0,0,93.1908569924098
25,21,5,13,0,0,0,0,86.46686167187546
42,25,5,14,1,1,1,0,105.21518489725224
33,25,8,7,1,0,1,1,109.13780218727156
20,27,5,15,1,1,1,0,89.4491810984445
12,24,4,18,0,1,1,1,87.56277093900982
35,20,10,11,1,0,1,0,99.53654580360374
23,27,3,22,0,0,0,1,100.96526645245642
25,19,5,20,0,1,0,1,94.6640543660679
24,22,4,21,0,0,0,1,97.24760879679772
43,22,7,18,1,1,0,0,105.0813017620505
41,31,5,20,1,0,1,1,120.8367150828203
21,24,5,16,1,0,1,0,88.9969852785216
2,27,7,17,0,1,0,1,84.71942525447807
18,26,8,15,1,1,1,0,88.55259110680446
41,20,5,10,0,1,1,1,106.85303361644324
15,25,4,11,1,1,0,1,89.72771264822845
20,27,6,20,1,1,1,0,90.13034802870816
26,26,6,25,1,0,0,0,96.0980131559058
21,23,3,17,1,0,1,0,84.16705855620232
22,23,5,13,1,1,1,0,88.47520861517147
33,17,8,22,1,1,1,0,93.65036402145785
42,23,4,21,0,1,1,0,103.98097665454274
25,25,4,22,1,1,1,1,101.89427737862802
35,24,4,16,0,1,1,0,97.81755825270722
18,22,6,18,1,1,0,0,86.63172658956596
21,26,7,15,0,0,0,1,98.60577331814312
29,24,5,8,1,0,1,1,102.62048429080907
6,28,1,14,1,1,0,0,73.01005797483865
14,16,2,11,0,1,1,1,81.33227147950736
19,29,7,16,1,0,0,0,92.64633206533884
14,30,4,17,1,1,0,0,86.37552518550109
22,22,9,13,1,0,1,1,98.25603700307708
21,29,7,19,1,1,1,1,101.70917198523182
19,21,3,15,1,1,1,1,89.65589204514231
35,30,5,14,0,0,0,1,110.5938092993877
27,16,8,14,0,0,1,1,94.24692253847458
31,22,3,8,0,0,1,1,100.80023281986048
37,18,6,11,1,0,0,1,105.50527433541092
16,31,9,12,1,0,1,0,92.53500440857364
34,24,1,14,1,0,1,0,94.77182420902254
35,24,10,20,0,1,1,1,111.47748506706236
18,23,5,17,1,1,1,0,84.77371882951955
14,17,2,15,0,0,0,1,79.6868738363363
29,25,4,12,1,0,1,0,94.53090063191772
42,23,4,14,1,1,1,1,113.55210567652952
12,30,2,6,0,1,0,1,87.5473068833888
20,22,6,17,1,1,1,1,93.3287775325348
37,19,7,23,0,1,1,0,99.51423650345426
26,23,7,15,1,0,1,1,99.89929447309596
26,23,9,16,1,1,1,0,91.93633530819498
25,19,3,13,1,0,0,1,93.180783083498
36,29,8,14,1,0,1,0,105.80674372265328
31,25,2,20,1,1,1,0,93.68049097562506
19,17,8,16,0,1,0,1,87.95604763853905
23,29,7,9,0,1,1,0,92.30967800462376
9,24,7,19,0,1,0,1,86.32249979600536
27,26,7,9,0,0,0,1,102.33987420669337
27,23,2,10,1,1,0,0,87.38613399367809
33,24,8,24,1,1,1,1,110.46644662145329
0,28,4,19,1,1,1,1,81.17979073320913
31,25,9,24,1,1,0,1,110.83359054906752
20,19,5,16,1,1,1,1,91.40057661517716
22,23,5,15,1,1,0,1,96.6312497229654
27,21,0,13,1,0,0,1,94.57078176043164
32,22,6,20,0,1,0,0,95.73425079864472
21,24,6,6,1,0,1,0,86.80970139680801
19,21,2,15,0,1,0,1,87.42641852352845
18,23,6,13,1,1,1,1,94.5448887976492
1,25,7,18,0,0,0,1,80.77503557998882
12,30,2,11,1,0,0,1,88.55197449018883
22,22,3,16,1,1,1,1,93.85076898724786
13,21,6,14,1,1,1,1,86.24337100091189
32,24,5,13,0,0,1,0,95.4650219790433
40,17,7,28,1,0,1,1,109.8649868468088
15,27,6,15,1,1,1,1,93.29956788588365
30,28,3,3,0,1,1,0,94.11716556812004
51,21,3,15,1,1,1,0,108.60477512937864
18,24,0,15,1,1,0,1,88.95410296905634
24,24,4,12,0,1,0,0,86.86991027898497
30,14,9,17,0,1,1,0,90.15084532123916
28,23,5,19,1,1,1,1,102.52449302312282
19,27,6,14,1,1,1,0,89.60653581359229
13,19,8,17,1,1,1,0,79.34530385944889
10,28,9,15,0,1,1,0,85.25060351552723
29,28,6,12,1,1,1,1,107.85340483176532
27,23,4,18,1,1,0,1,101.4551061626711
11,29,6,14,1,0,1,0,83.09900126527063
24,21,1,22,1,1,1,0,84.50532603335395
42,26,9,19,0,0,1,0,109.01916127190162
14,24,4,10,1,0,1,0,78.80126398785802
22,24,5,16,1,1,0,1,97.62402457918226
11,18,6,20,0,1,1,0,75.33142125101169
37,22,5,14,1,1,1,1,107.09624169922871
19,30,4,17,0,0,1,0,88.63043256531623
28,20,7,9,0,0,0,1,96.07866253248712
13,27,11,17,0,1,1,0,88.97011991381486
16,16,6,13,1,1,1,1,85.22722406869032
14,19,4,22,1,0,0,0,76.41721595248464
26,17,5,12,0,1,1,1,93.18343833641204
45,24,8,14,1,1,0,0,108.98684894843764
44,18,6,12,0,0,1,1,109.71262713836272
20,24,6,14,0,0,0,1,95.1035399093048
14,27,4,15,0,1,1,0,83.42361472259216
26,32,2,11,0,1,1,1,104.44221285770752
20,19,5,14,0,0,1,1,90.85190893544052
35,26,4,16,1,1,0,0,100.68278619685616
0,22,5,14,1,1,0,0,66.98294379282478
30,27,6,15,0,1,1,0,97.73438391873218
39,21,7,18,1,0,1,0,104.17056733139972
25,26,6,20,0,0,1,1,102.25856379848962
13,22,7,22,1,0,1,0,82.12930436328986
21,16,0,15,1,1,1,0,77.03574850401726
36,21,4,20,1,1,1,1,107.07943476666564
20,27,3,18,1,1,0,0,86.27599576006999
24,25,4,15,1,1,1,0,89.04297653815237
24,24,7,19,1,0,1,0,92.36211713491308
22,19,6,20,1,1,1,0,86.29465267907895
48,28,7,14,0,1,0,1,121.7707631566118
33,25,5,16,1,1,0,0,97.28966360100276
21,18,6,7,1,0,1,1,90.63695142686896
30,23,10,19,1,1,0,0,97.68750092160722
21,21,3,15,0,1,1,1,92.4588433792756
25,28,6,16,1,1,1,0,96.24233143953462
29,28,5,15,1,1,1,0,95.49179943677242
30,19,7,19,1,1,1,1,102.373011378978
38,23,5,10,1,1,1,0,100.50610544069484
42,26,5,16,1,1,1,1,115.2648614484224
16,23,6,16,1,1,1,1,90.95480517111858
5,20,8,19,1,0,1,0,73.3863035636634
20,29,8,13,1,0,1,1,101.16589538943067
15,29,3,15,0,1,1,0,84.9186503986423
19,26,6,20,0,1,0,0,88.11904346291539
14,23,6,21,1,0,0,0,83.43538847824404
11,31,6,19,0,0,0,1,93.84145392484976
24,19,5,17,0,1,1,1,94.92471185454416
21,26,4,12,1,0,0,1,95.75927580059462
32,25,8,13,1,1,1,0,100.61214985063316
12,22,8,14,1,0,1,1,88.23955231892252
11,21,9,11,0,0,0,1,86.17421428371229
40,24,6,10,0,1,1,0,102.89381448762902
9,18,5,15,0,0,1,0,71.03783229456319
29,23,6,15,1,1,1,1,102.2775937221108
13,25,3,14,1,0,0,0,78.85825464756022
26,25,5,20,1,1,1,1,103.14051842280205
25,26,6,12,1,1,1,0,93.61210017680412
30,25,4,20,1,1,1,0,94.3608611643913
7,22,5,23,1,0,1,0,75.3658881637416
26,31,9,15,0,0,0,0,100.01103337464278
30,23,8,15,1,1,0,1,104.501880746271
17,30,3,10,1,1,1,1,96.59992923107858
41,23,4,19,1,1,1,0,103.51376448961788
23,33,4,17,1,1,0,0,95.67675067670883
18,27,9,13,0,1,0,1,97.28453608585328
23,19,7,15,1,0,0,0,84.97026226428797
25,27,5,11,1,1,1,0,93.13732772673076
25,29,3,20,1,1,1,1,104.4289991498335
15,21,5,14,0,0,0,1,86.47730853952885
27,24,4,14,1,0,1,1,99.77753405818146
5,25,6,7,0,1,1,0,74.22838981671953
25,25,5,20,0,1,1,0,91.54782031204095
22,23,6,8,0,1,0,0,86.75454062202581
33,29,8,8,1,0,1,1,111.68871657015436
19,24,4,16,0,1,1,0,83.65752693053638
10,27,5,12,0,1,0,0,78.6615118220141
28,26,5,19,1,0,0,1,103.73643808840608
17,22,5,14,0,1,1,1,90.73198643284256
25,27,9,17,1,1,1,1,106.65588731051903
17,27,2,15,0,1,0,0,84.16509061505008
17,19,7,10,1,0,1,1,89.32859473717782
36,22,6,13,1,0,1,1,109.32741226777324
25,22,8,14,1,1,0,1,98.09956869016328
33,14,5,15,1,1,0,1,96.507531790608
28,27,3,8,1,1,1,0,90.76987001733862
32,26,5,22,1,1,1,1,108.22212665440976
31,24,3,22,1,1,1,1,102.4603360238394
31,23,6,11,1,0,1,1,102.55126981346189
