age,education_years,income_level,social_support_score,gender,minority_status,community_resource_availability,community_program_participation,social_mobility_score
11,30,8,10,0,0,7,-5,23.017002598039543
8,33,12,16,0,1,6,-14,-26.785940079354
10,30,6,12,1,0,8,-6,19.55695175028709
8,32,9,19,1,1,11,-11,-10.210881473683472
7,28,11,16,0,1,11,-7,9.377312821412522
9,31,3,13,1,0,10,-4,28.66837306258592
11,27,6,13,1,0,9,-3,35.94200501140295
15,29,11,17,1,1,8,-11,-6.874193763573715
10,30,8,15,0,1,9,-7,11.677404382731211
8,30,6,16,1,0,7,-8,5.624224195120301
8,29,9,12,1,0,7,-7,10.495980218064537
10,26,12,10,1,0,6,-5,23.46642231386003
6,29,4,14,1,1,9,-3,33.95854631436613
12,29,10,10,0,1,13,-2,40.470081404594616
7,32,10,13,1,1,8,-9,0.3066362289605171
7,28,13,15,1,0,8,-8,5.606430010198197
11,32,6,17,1,0,9,-9,2.797687508051183
6,29,12,18,1,0,6,-10,-1.8442631304601436
9,30,7,11,1,1,5,-6,19.03123188220887
7,28,5,14,1,1,5,-5,23.87497935266649
4,27,6,11,1,1,4,-4,26.405400162441477
11,29,11,16,0,0,9,-10,-4.322675726467212
7,25,2,16,0,0,6,0,47.012997424276506
11,27,7,12,1,1,12,-1,46.90909172076495
12,31,9,13,0,1,7,-7,13.400758055979823
6,31,15,13,0,0,11,-7,8.897894842651077
8,32,2,14,1,1,5,-8,9.267902020167815
9,31,11,16,0,1,9,-10,-5.9572595949586535
14,27,6,17,0,0,6,-7,15.487719279759297
11,30,9,17,0,1,12,-9,-1.79146496116178
8,30,10,19,1,1,8,-11,-3.179367657032214
6,33,2,14,1,0,8,-7,8.01995582812473
14,31,3,13,0,0,9,-7,11.625826223431782
2,29,11,16,1,1,12,-4,28.812918889568817
12,32,12,16,0,0,8,-11,-5.436929173748416
6,27,2,14,1,1,10,-3,31.425515647185986
10,30,8,13,0,0,7,-8,5.170610919473268
6,30,9,14,1,1,10,-7,11.430792818128191
8,30,11,14,0,0,9,-10,-10.252900886481664
10,29,9,15,0,0,9,-7,14.020465731694774
9,27,5,19,1,1,12,-5,23.7317919232538
13,26,4,13,1,0,5,-6,18.13826168988182
8,31,6,12,0,0,7,-3,34.12487076347673
13,31,4,13,1,0,9,-5,25.69086766727488
8,20,1,15,1,0,10,5,77.72490702381943
13,27,13,10,1,1,8,-7,9.839183109964017
14,23,11,14,0,1,10,-7,12.020003817775608
3,31,9,8,1,0,12,0,46.86695665684365
13,28,12,17,1,0,7,-11,-7.990787367053917
12,28,3,12,0,0,7,-4,28.469718781145243
3,29,4,15,0,0,10,-3,31.542857103046163
4,28,8,13,0,1,7,-3,29.857855678421068
11,33,10,16,1,0,8,-13,-18.056565574001308
7,31,6,16,0,1,9,-6,18.47463441107676
6,28,12,14,1,0,10,-4,27.143010476746912
7,32,11,14,0,1,8,-6,17.607201958016837
10,31,9,12,0,1,9,-7,11.936627591158755
6,29,12,16,0,1,7,-5,26.62244956330631
5,30,7,15,0,1,11,-4,26.950558548464134
5,34,9,12,1,1,10,-6,18.255237814043
16,27,10,13,1,1,11,-9,0.7639799035098975
11,29,9,18,0,1,8,-10,-3.017595284290002
7,30,10,17,1,0,9,-9,1.1724170564213172
14,29,11,12,1,0,8,-11,-9.952783410449724
6,30,7,13,1,1,11,-4,27.895371691222337
6,30,6,14,0,0,8,-4,27.457231122476195
10,31,12,13,1,0,9,-9,0.0989843693829704
8,26,16,7,1,0,8,-3,32.61096166417763
11,36,11,13,1,1,8,-15,-29.79384660094684
11,32,9,15,0,1,6,-12,-14.317164431867864
16,31,12,13,0,0,8,-11,-8.190968096509112
12,29,12,13,1,0,8,-9,2.657075898202448
4,30,3,13,0,1,11,-3,33.03820679124343
11,31,2,10,0,0,10,-6,13.756979475072876
11,32,11,15,0,1,7,-12,-13.215313208833624
7,29,5,13,1,0,10,-4,26.437323294301297
9,24,6,14,0,1,11,0,49.91747779664588
11,31,10,14,1,1,9,-10,-2.012433757267946
11,30,8,17,1,1,5,-14,-27.07374774817098
8,32,11,17,1,1,10,-10,-1.9569806903272395
9,30,6,12,1,0,13,-3,33.622680122001995
10,28,5,18,0,0,12,-5,22.416006974064977
6,29,13,11,1,0,8,-6,15.749032517168372
5,30,4,15,0,1,10,-3,35.27892093388246
6,26,7,16,1,0,8,-3,34.68444381116787
1,31,2,15,1,0,8,0,51.08751535463899
4,31,8,12,0,0,10,-3,30.82967627873199
7,26,5,11,0,0,9,1,53.22688209001608
7,30,6,19,1,0,8,-8,5.718033018266988
12,29,6,13,0,0,10,-8,3.399236931797458
9,31,7,12,1,0,9,-7,11.288115859149364
9,25,1,14,1,0,10,-1,43.70641335636878
13,29,7,14,1,1,10,-7,11.681208700397898
10,27,16,14,0,0,9,-9,-1.483489861130372
9,28,4,11,0,1,8,0,48.05500699461493
13,30,8,13,1,1,10,-9,2.191232168941263
13,30,10,11,1,0,7,-8,7.953832223876019
6,32,7,13,0,0,6,-4,29.87488493101828
8,27,6,15,0,1,6,-6,17.418753591182675
6,34,5,17,1,1,11,-10,-6.715392252435352
11,29,10,13,1,0,6,-9,3.8372702811984247
11,34,5,15,1,0,9,-10,-4.174379528758767
7,34,4,19,0,1,7,-11,-7.475619171446054
5,31,7,13,0,0,7,-7,12.30860821013803
10,25,10,10,1,0,12,-1,46.19659461263713
11,32,14,12,1,0,7,-10,-2.9185795174727813
12,30,-1,13,0,1,8,-6,15.842687526924577
7,28,8,14,0,0,8,-6,16.945648851757394
8,31,11,13,1,1,11,-7,12.533892890092805
8,32,8,16,1,0,9,-9,3.2717892828660893
10,30,4,11,1,0,9,-4,26.25160299330275
14,30,7,15,1,0,12,-8,9.905538640136612
8,29,5,15,0,1,12,-2,38.58504418084916
7,29,1,13,0,1,11,0,48.39290600888442
7,33,7,17,0,1,9,-9,0.3295997172712628
10,33,8,13,0,0,8,-7,12.187634089459554
5,29,4,13,1,0,7,-3,33.53290525783632
7,33,5,11,1,0,6,-8,7.561961492893332
10,32,8,9,1,0,9,-4,27.60711874921224
9,37,7,14,0,1,9,-11,-11.59224588916716
7,34,9,15,1,1,9,-10,-6.6848651519370215
5,26,5,16,0,0,7,-2,39.75714287877563
10,29,5,10,1,1,7,-3,34.337680655985864
4,28,12,14,1,1,7,-8,5.952528791147698
10,29,5,12,0,1,4,-7,11.017465509573082
13,31,9,16,0,0,7,-12,-12.564118130509172
7,31,7,17,0,0,8,-9,3.056600007144871
11,29,6,10,0,1,6,-5,23.597622064500975
6,30,8,13,1,1,6,-4,29.921157510961272
16,29,13,14,1,0,10,-9,5.349219751932045
6,30,3,14,0,1,5,-8,1.554429593392384
11,30,8,13,1,0,9,-6,17.464042948627725
7,28,7,14,1,1,9,-6,16.46065704932693
12,31,13,11,1,0,10,-9,1.2473141226816755
11,30,3,16,1,1,11,-6,18.33472610609393
9,30,11,11,0,1,13,-5,21.22962391720036
7,29,8,13,0,0,8,-4,30.520534071945264
12,31,10,15,0,0,12,-7,12.22859540820428
12,33,7,12,1,0,6,-10,-1.4392248207647762
16,28,11,15,0,1,6,-9,4.323089721808674
7,32,11,12,0,1,9,-8,5.218096176784052
8,33,0,16,0,0,7,-4,28.964481179273267
9,33,11,16,0,1,13,-8,7.432502682252865
3,28,5,15,0,0,5,-4,26.750614862970675
7,29,7,11,1,0,8,-3,31.76459100210655
8,27,8,14,1,1,9,-3,35.47280449983764
9,31,13,9,0,0,8,-6,15.796108201183284
9,29,5,11,0,1,10,-1,40.622446934038194
10,30,6,14,1,1,7,-8,4.28643534095295
11,28,7,16,1,1,10,-8,6.120211772821893
7,28,11,12,0,0,10,-3,33.32518209285836
10,29,7,13,1,1,7,-6,18.641159083281167
10,33,10,12,1,1,12,-7,11.682288509014112
5,26,9,16,0,1,12,-2,40.03903940452216
7,32,12,9,0,0,6,-9,0.4252868491727536
16,28,16,13,0,0,9,-10,-4.008820146024734
5,30,6,17,1,1,13,-5,20.69993573009208
8,31,9,16,0,1,9,-10,-5.857372275783047
13,31,3,10,0,0,10,-4,28.58487693854642
7,32,9,14,0,0,8,-8,5.510130391001828
13,30,7,11,0,0,9,-4,28.34292088237811
10,32,5,12,0,1,5,-7,8.633047878604234
9,30,2,13,1,0,8,-6,18.717356575178677
9,32,1,12,1,1,6,-9,-2.721907076744428
7,30,0,17,1,0,11,-1,46.08211733420181
14,30,7,12,0,0,7,-8,6.131039378638224
12,29,6,13,1,0,11,-9,-2.1445282223996216
7,29,6,15,0,0,8,-7,10.195459881372608
14,32,7,13,1,0,12,-8,7.01397938538054
6,29,7,16,1,0,9,-6,17.4372376534885
16,29,7,13,0,0,8,-11,-9.016827455216111
10,30,13,13,0,1,10,-6,18.057881244743424
10,34,4,20,1,1,8,-15,-30.051102915134248
12,28,10,13,0,0,7,-7,14.498218985716022
3,34,3,5,1,1,9,0,48.730252954255846
9,27,7,15,1,1,8,-3,36.13396169068382
2,25,7,9,1,1,8,2,58.24049476298521
8,31,10,18,1,1,6,-13,-19.70388660176815
6,30,6,13,1,0,10,-6,16.076886531973134
11,30,15,16,0,1,6,-13,-20.9027361427218
7,31,6,16,1,0,12,-7,8.554013003065977
10,31,8,13,0,0,10,-6,18.03838428466996
8,25,9,16,1,0,7,-4,27.041658873530952
10,31,7,9,1,0,9,-5,23.13815243943565
14,28,3,17,0,1,10,-8,6.647345539651324
9,32,7,8,0,1,10,-2,42.84953167505528
12,30,7,14,1,0,7,-9,0.6030106085906463
12,32,9,13,1,1,12,-10,-3.701859166567352
7,28,6,12,1,1,9,-2,41.42296095518599
13,29,7,18,0,1,8,-13,-18.78555545426653
9,27,10,11,1,1,9,-2,38.93721846288209
10,29,10,17,0,0,9,-8,4.664655985269377
10,28,2,15,1,1,10,-4,28.5511780349137
10,31,9,12,0,1,6,-5,25.886858852097006
7,31,7,9,1,0,8,-3,34.64759332391546
10,25,14,12,1,1,10,-5,25.392517842233907
10,25,9,12,0,1,7,-5,23.39134463411821
15,26,1,14,1,1,7,-6,17.308582932358842
6,28,7,14,0,1,7,-2,39.9540133507096
11,31,5,15,0,0,7,-6,19.942122133221083
6,30,5,12,0,0,7,0,46.97512125862372
11,28,10,15,1,0,11,-7,12.539857390788269
6,31,7,12,0,0,10,-3,29.418269398802423
9,29,8,10,1,1,10,-4,28.85589307139032
11,34,12,20,1,0,6,-18,-45.06924023159438
11,28,13,13,0,0,6,-7,9.657019844576006
14,26,6,16,1,1,11,-6,19.01812790756516
3,32,1,12,1,0,10,0,49.564482252218056
12,26,11,16,1,0,9,-5,24.037344851688424
6,27,6,16,1,1,10,-3,34.10349554404814
14,30,7,16,0,1,5,-12,-12.964340759203404
12,31,6,11,0,1,7,-5,24.14555737766394
9,31,6,13,1,1,9,-7,12.159700592054428
5,32,8,8,1,0,9,-5,22.013594583834312
12,29,7,16,0,1,10,-6,17.666388571237583
15,31,9,15,1,1,9,-11,-7.80396016889885
11,27,11,11,0,1,7,-5,22.053077263718283
6,27,3,13,1,1,8,-2,39.76578402872613
8,23,7,12,1,1,9,2,61.99243152560877
14,28,4,16,0,0,8,-8,10.267129394368474
10,32,8,16,1,1,7,-12,-13.35465686732998
12,29,6,18,1,1,13,-7,11.417737921295396
8,31,5,17,0,0,8,-8,5.374882813841786
10,31,5,11,0,1,7,-6,17.839020786568597
8,31,14,18,1,0,7,-11,-9.581179136823565
13,26,7,14,0,0,9,-5,24.00782944976726
10,31,5,13,1,0,5,-8,4.670621636811244
6,28,5,19,1,1,9,-6,19.357857973593152
12,28,8,12,1,0,10,-4,30.00744720850404
9,29,11,12,1,0,6,-6,17.32124085683433
7,32,6,18,1,0,11,-4,30.46869066215211
10,28,9,13,1,1,7,-9,0.3094529091363083
10,28,2,8,1,1,11,-1,41.91589668799962
11,29,8,12,1,1,7,-7,11.580743908877674
13,33,10,12,0,1,9,-10,-3.836486462387648
12,25,5,13,0,0,9,-2,37.93917480969661
13,34,11,16,0,0,11,-12,-13.983128112624753
7,31,9,11,1,1,8,-7,11.502224795714158
9,32,3,16,1,1,10,-9,0.7599850870571576
14,26,6,11,1,1,8,-5,26.25902850108408
14,33,7,14,0,0,10,-9,1.6808060384845531
7,31,9,13,0,0,8,-7,12.55678485269354
9,32,14,12,1,1,9,-10,-3.5676029284045576
14,31,8,11,1,0,14,-6,16.385613016732016
11,29,11,10,1,1,10,-2,43.420299815646345
12,31,2,13,0,0,11,-4,24.55724849573557
8,27,7,12,1,1,8,-1,44.06516548987402
14,30,12,10,0,1,11,-3,33.630817109254096
13,34,7,12,0,1,6,-15,-32.40592963682804
11,27,2,11,1,0,10,1,54.697325112084144
7,28,10,11,1,1,8,-3,35.441156283493754
9,30,4,16,0,0,10,-4,29.020073431659508
9,29,7,15,0,1,12,-4,28.6442677219114
15,28,14,16,0,0,6,-14,-26.411198019842654
11,28,7,11,0,0,9,-5,20.46469428304652
10,29,5,17,0,1,9,-8,4.4342277914088095
4,26,6,15,1,0,6,-2,36.77510870561562
9,27,8,17,0,0,9,-6,21.422119471465237
10,32,4,14,1,1,12,-7,9.111319036205533
10,25,7,11,0,1,10,-3,33.34758711557675
10,31,9,13,0,1,11,-9,-0.4876153821899089
8,31,9,9,0,1,10,-2,40.79586329166386
6,26,4,12,1,0,5,0,49.0105343270124
6,26,9,12,1,1,9,-5,22.33846252418599
12,31,7,10,1,0,7,-7,13.479867570629784
5,28,11,11,0,1,11,-5,19.05097854550678
7,31,10,15,1,0,10,-7,12.89019944390006
11,28,9,19,1,1,7,-11,-6.2830082825845786
9,32,9,16,1,0,11,-8,6.521256287215694
12,29,6,13,0,0,12,-2,38.43677956250816
7,30,10,11,1,1,12,-6,10.519138283684825
9,29,5,10,0,1,8,-4,24.84373814118712
5,31,6,12,0,0,8,-4,26.81085836331727
4,34,13,14,0,0,7,-12,-13.1049827758693
4,32,8,18,0,1,8,-9,-4.180739691404965
10,30,10,21,0,0,10,-12,-15.14445421273659
8,31,8,12,1,1,9,-8,1.427802209034417
10,32,4,12,1,0,6,-7,9.628645730796354
8,30,7,10,1,1,7,-4,27.589352884961496
12,30,6,15,0,0,10,-5,23.205125781218356
6,32,12,18,1,0,6,-12,-13.09098566401954
15,28,10,15,1,0,7,-12,-16.50426904863178
5,30,10,13,0,0,7,-6,15.993271430244102
12,32,8,16,0,0,13,-9,2.8527453722128917
10,28,9,19,1,1,8,-11,-9.493217488335429
5,30,8,8,1,1,12,-1,45.94392434155391
7,27,5,15,0,0,7,-2,38.82827075978037
10,28,7,12,1,0,8,-2,40.0229004963837
12,28,11,15,0,1,9,-5,27.747674168112557
14,27,9,15,0,1,7,-9,4.335387903620081
12,29,11,11,0,1,6,-10,-1.6750583973755486
9,31,7,17,0,1,8,-7,14.898152932507244
9,35,10,11,1,1,3,-14,-27.22340881312042
11,29,6,12,1,0,9,-3,34.20459844309912
7,27,4,13,1,0,8,-3,33.25149670317072
9,30,10,12,1,1,8,-7,12.392681708289633
7,29,10,13,1,0,12,-3,33.74262629121434
14,30,6,13,0,1,9,-6,17.266558802165164
9,29,9,12,1,0,8,-3,33.919088003178835
8,30,3,13,0,1,9,-3,30.513437467565165
7,32,10,8,1,0,8,-5,21.263711694431997
7,30,9,13,0,1,9,-8,6.119154445958476
8,30,7,9,0,1,8,-2,39.345910371558126
10,33,9,16,1,0,9,-13,-20.153091814228773
7,25,1,12,1,1,6,1,54.50722797433871
10,31,5,14,1,0,7,-10,-5.441306747902962
8,28,17,13,1,1,7,-8,9.433238820086451
