parent_education_years,baseline_math_gpa,absences_last_term,free_lunch_eligible,english_language_learner,summer_program_invited,summer_program_attended,end_of_year_math_score
2,3,0,0,1,0,0,49.969897444332695
0,3,0,1,0,1,0,50.40692649887548
7,3,1,1,1,0,1,53.6065515325257
4,3,0,0,0,1,1,52.425560222890894
6,3,1,0,0,1,1,50.0242891755466
7,3,1,1,0,1,1,52.38394775855776
3,2,0,0,0,1,0,49.95090408506049
2,2,0,1,1,1,0,49.66287748202078
3,2,0,0,1,1,1,52.8190845287948
6,4,0,0,0,1,1,53.906461401504686
2,2,0,0,1,1,1,52.03807336200893
3,3,0,1,1,0,0,49.15019450854169
1,2,0,0,0,1,0,50.95760421844415
4,3,0,0,0,1,1,52.24975161819822
5,2,0,1,1,1,1,52.42322025674361
4,3,0,0,1,0,0,50.85105289837124
4,2,0,0,1,0,1,50.2650299667344
6,3,0,0,0,0,1,50.06231476444747
1,2,0,0,1,1,1,51.712968440455775
3,3,0,0,0,0,1,52.84793181087978
5,2,0,1,1,1,1,53.21652609089959
4,2,0,0,0,1,1,50.26438463097852
3,3,0,0,0,0,0,49.06595285842685
7,3,0,0,1,0,1,51.98341178730061
3,2,0,0,0,1,1,51.56237891255721
1,3,0,0,1,1,0,49.737005831467904
7,3,0,1,0,1,1,53.34568155145662
0,3,0,1,0,1,0,52.25291107471409
4,2,0,0,0,1,0,49.054432250588754
5,3,0,0,1,1,1,53.53840347649789
5,2,0,0,0,1,1,52.5036441095105
2,3,0,0,1,1,1,53.08312698840298
1,3,0,0,0,1,1,51.15475267621567
6,3,1,1,1,0,0,50.89282544117575
2,2,0,0,1,0,1,52.49842149006168
4,2,1,0,1,1,1,53.261476197825615
2,2,0,0,1,1,1,51.45527802933458
7,3,0,1,0,1,1,53.195457295494336
5,3,0,0,0,1,0,48.96015945502708
8,2,0,1,1,0,1,51.6270036055167
1,2,1,1,0,1,0,51.76429379400218
-2,2,0,1,0,0,0,49.42182456109215
3,2,0,0,0,1,1,53.129346278014594
5,2,1,0,1,0,0,49.78159281830891
2,3,0,0,1,0,0,49.88250272521186
5,2,0,1,0,1,0,50.21625830547865
4,2,0,1,1,1,1,52.384085328252624
4,3,0,0,0,0,1,53.26834571366268
8,3,0,1,0,1,1,52.0242847056207
4,2,1,0,1,0,1,51.19207306431828
7,2,0,0,1,1,1,51.63703037033626
-4,2,0,0,0,1,0,49.32925227617098
3,3,0,1,0,0,0,51.24982869563342
2,4,0,0,0,1,1,54.214394962287685
5,3,0,1,1,0,0,47.67190251856411
3,1,0,0,1,0,1,53.22918353424446
8,2,0,0,0,1,1,51.69486972803157
2,3,0,1,0,1,0,48.90656254864243
3,3,0,1,0,0,0,50.06233232778417
2,2,0,0,1,0,0,50.978920697362895
3,3,0,1,1,1,0,53.13144859510353
5,3,0,0,1,0,1,53.09477310868192
8,2,0,1,0,1,1,51.27935601760292
4,3,0,0,0,0,1,50.91234814361967
6,3,0,0,0,0,1,51.65915154955224
6,3,0,1,0,0,0,51.24415792508276
4,2,0,1,0,1,0,49.49131760301131
3,3,0,1,1,0,0,50.19505091285335
2,2,0,1,0,0,0,49.124900428684
8,2,0,0,0,1,1,52.15098650255286
6,2,0,0,1,0,1,53.48740162102704
2,3,0,0,1,1,1,51.65325986034749
2,2,0,0,0,1,0,48.83740130087144
3,3,0,1,1,1,0,50.98750341545346
5,2,1,1,0,0,0,50.18448785491567
4,2,1,0,0,1,1,51.56906118490598
6,3,0,0,1,0,1,51.6734741224672
5,2,0,0,0,1,0,50.59609825360149
3,2,0,1,0,1,0,51.48899836297594
7,2,0,0,1,1,1,53.00316967591999
0,3,0,0,0,1,0,51.43609433158586
3,2,0,1,0,1,0,51.19178460961134
7,2,0,0,1,1,1,52.05098219174529
0,2,0,1,1,0,0,49.42146102148358
6,3,0,0,0,1,1,51.116490155298784
2,3,0,1,0,1,0,51.00879177263075
0,3,0,1,1,1,0,51.81365404504914
6,3,0,0,0,1,0,49.128542905822485
7,3,1,1,0,0,0,50.06290876659614
0,3,0,0,0,0,0,48.77101713384314
3,2,0,0,0,1,1,51.26698698784086
1,2,0,0,0,0,0,47.79626430922349
3,2,0,1,1,1,0,50.549334246417374
2,3,0,1,1,1,0,51.76509509714417
2,2,0,0,0,1,1,52.284729781240806
5,3,0,1,1,1,1,53.91013814758636
2,3,0,0,0,0,0,51.9737016002213
3,3,1,1,1,1,0,52.34608003581813
0,1,0,1,0,1,0,49.36844059896662
6,3,0,0,1,0,1,50.48444024027671
3,2,0,1,0,1,0,48.91482454402354
2,2,0,1,0,0,0,47.94523118340704
1,2,1,1,0,1,0,49.61063817513139
8,2,0,0,1,1,1,51.96233783979427
2,1,0,0,1,1,1,50.40727988695183
5,3,0,1,0,1,1,53.06657649460235
2,3,0,1,1,1,1,52.12307044506309
3,2,0,1,0,0,0,49.08523927861393
4,2,-1,1,0,1,0,51.92118863408073
5,2,0,1,0,1,0,49.5889954699074
5,3,0,0,0,1,1,53.94290148160847
3,2,-1,0,1,0,1,53.78838609040113
6,2,0,1,1,1,0,49.96474847084012
1,2,1,1,0,0,0,48.74636517617287
3,3,0,0,0,1,0,48.191036144374216
4,2,0,0,0,1,1,49.32505339740568
0,3,0,1,1,1,1,52.93608727412142
2,3,0,0,0,1,1,54.61973863445681
5,3,0,0,0,1,1,53.87520998621808
9,3,0,1,1,1,1,51.41254409305828
6,3,0,0,0,1,1,52.903126952968655
0,3,0,0,1,0,0,49.007431615055744
3,3,0,1,0,0,0,51.08673078451218
0,3,0,1,1,1,1,52.34674817232317
2,3,0,0,1,0,0,48.74271818092913
5,2,0,1,1,1,1,53.17740946190199
2,2,0,0,0,1,0,49.18177850726105
0,3,0,1,0,1,0,51.886950492861175
3,2,0,0,0,0,1,51.470257535298266
5,3,0,1,0,1,0,52.76787711012987
1,3,0,0,0,1,0,50.04611128016669
6,2,0,1,0,0,1,53.16264129756957
3,2,0,0,0,0,0,49.98445373448232
1,2,0,0,0,1,1,51.21092454899418
4,3,0,1,0,1,1,53.067728703954366
2,2,0,1,1,1,0,49.21179755182148
5,3,0,0,0,1,1,53.04734604368298
2,3,0,1,0,1,1,52.74808811899964
3,2,0,1,0,1,0,50.30632908327876
6,3,0,1,1,1,0,49.75544545831703
3,2,0,1,0,1,0,50.26379064388764
7,3,1,0,0,1,1,52.819501893476776
6,2,0,1,0,1,0,50.80738381894358
7,3,0,0,1,0,1,53.39657996100676
7,1,0,0,0,1,1,50.29556680073547
9,2,0,1,1,1,1,54.838063316840746
6,2,0,1,1,1,0,50.20533074069343
5,2,0,0,1,1,1,50.36209016231504
5,2,-1,0,0,0,1,52.24698545895905
4,2,0,1,1,1,1,51.58345601223866
2,2,1,1,1,1,0,48.73604552498222
1,2,0,0,0,1,0,48.70577699984717
0,2,0,1,0,1,0,49.49189933230684
0,2,0,1,1,0,0,49.62004155181559
7,2,0,1,0,1,0,49.49501334769871
0,2,0,1,0,1,0,49.18751534070103
4,3,0,1,1,1,1,53.704556421919854
4,3,0,1,0,1,0,51.824317475456354
2,2,0,0,0,1,0,50.11481245567827
4,2,0,0,0,1,1,50.42125140469904
7,3,0,1,0,0,0,50.61182565619158
6,2,0,1,0,0,1,52.88517917846294
4,3,1,0,0,1,0,50.82857809856456
2,2,0,0,0,1,0,50.5548463182583
4,3,0,0,1,1,1,50.96597732634051
3,2,0,1,0,1,1,52.23230389865667
7,2,0,0,0,1,1,49.76393361066293
11,3,-1,1,0,1,1,54.53120277626515
0,2,0,0,1,0,1,52.87223053980148
7,3,1,0,1,1,1,50.99075614422208
2,2,2,1,0,0,0,51.05210900560899
1,2,0,0,1,1,0,49.36286946423197
1,3,0,0,1,0,0,50.229777998156415
4,4,0,0,0,1,0,52.43021859878888
3,3,0,1,1,0,0,51.12663738011663
5,2,0,1,0,1,1,51.846606577801296
4,4,0,1,1,1,0,50.86456620164272
5,2,0,0,0,1,1,52.0109453849945
1,2,0,0,1,1,1,52.012526513339374
3,2,0,0,1,1,1,50.69101427899018
1,3,0,0,0,1,0,49.8911648284342
3,3,0,0,1,1,0,50.0193888301738
1,3,1,0,1,0,0,50.95309525835368
3,2,0,0,0,1,0,50.23931223093028
2,3,1,1,1,1,0,51.23749684368544
4,2,0,1,1,1,1,50.64508129553591
4,3,0,1,1,1,0,49.93810915888027
5,2,0,0,0,0,0,50.10664156304594
3,3,0,0,1,1,1,51.186232804228965
7,2,0,1,1,1,1,52.57195265223578
5,2,0,1,0,1,1,51.76190506144909
7,2,0,1,0,1,0,51.85774000468958
7,2,0,0,1,1,1,52.845938811010114
4,3,0,1,1,1,0,50.62979068750935
6,2,0,1,1,1,1,51.99861885807852
1,3,0,1,1,1,0,50.74218673324391
6,3,1,0,0,0,0,49.58931327182875
1,3,1,0,0,1,1,50.98593329451533
2,3,0,0,0,1,0,48.91912845342547
0,2,0,1,1,0,0,50.33983506678642
2,3,0,0,0,1,0,50.49219549597984
8,3,0,0,0,1,1,51.51337275865311
6,3,0,0,1,0,1,54.191448013607136
2,3,0,1,0,0,0,51.2937644535595
2,2,0,0,0,0,0,49.13236858662896
5,3,0,0,0,1,1,53.2815599676253
2,2,0,0,0,1,0,51.03773274364416
0,2,0,1,0,0,0,48.56208737645704
0,3,0,0,0,1,0,49.0960066802579
4,3,0,0,0,1,1,50.38981891163479
5,3,0,1,1,0,1,54.82490797934667
1,2,0,0,0,0,1,51.641075805492136
5,3,0,0,1,0,1,52.20124354892547
5,1,0,0,1,1,1,51.71962451897208
6,3,0,0,0,0,1,50.81591668357679
3,3,1,0,1,0,1,52.64633902492483
5,4,0,0,1,1,1,52.324420469182975
0,3,1,0,0,0,0,50.86094936100952
7,3,1,1,0,1,0,49.03110657845699
1,3,0,1,1,1,1,52.69409544912549
5,2,0,0,1,0,1,52.06364267550358
6,3,0,0,0,1,1,51.96290704502048
1,3,-1,0,0,0,0,51.662755767397535
3,2,1,0,1,1,1,52.43705311361721
1,2,1,0,0,1,0,49.11236210829072
5,2,1,0,0,1,1,51.11618256003733
3,2,1,0,1,1,1,51.61354060911143
2,3,0,1,1,1,0,51.22916711901979
2,2,0,1,1,1,1,53.519898057257336
5,3,0,1,1,1,1,53.52224201513546
3,4,0,0,0,1,0,51.51994825459796
-1,2,0,0,1,1,1,50.21182465897552
5,2,0,0,0,0,0,48.63741286612503
2,1,0,1,1,1,0,49.50127085049727
5,2,1,0,0,1,1,50.3732838645511
2,3,0,1,0,0,0,51.35928939148918
5,2,0,1,0,1,1,53.913729134357226
2,3,0,0,1,1,0,51.43410314666164
5,2,0,0,0,0,0,49.994768359988456
3,2,0,1,0,1,0,48.802770472940246
2,2,0,0,1,1,1,52.611563097957095
2,2,0,0,0,1,1,50.74689921439602
5,3,1,1,0,1,0,50.5745216358589
2,2,0,0,1,0,1,53.98981801093159
3,3,1,0,1,1,1,53.29040007979684
3,2,0,1,1,1,1,54.14970428880297
0,2,0,1,0,0,0,49.66461274786087
3,3,0,0,0,0,0,51.197159815283264
4,3,0,0,0,0,1,52.24462580615516
8,3,0,1,0,1,0,52.304435876483005
5,3,0,0,1,1,1,50.74680097045299
4,2,0,0,0,1,0,50.11909985339359
1,2,0,0,1,1,1,53.76353878168569
1,2,0,0,1,1,1,51.865861061318576
3,3,0,1,0,0,0,50.0238595174999
2,3,0,0,1,1,0,50.20918655334717
5,3,0,0,1,1,1,52.337873710418
7,3,0,1,1,1,1,52.81073608226247
4,3,0,0,0,1,1,52.2070824494274
3,3,0,1,0,0,0,50.76412260830905
3,3,0,1,0,1,0,50.17809058331273
4,3,0,1,0,1,0,51.42441358822816
7,3,0,1,1,1,1,53.04053399208362
6,2,0,1,0,1,0,49.34396074420973
1,2,0,0,1,1,0,47.91114606787168
4,3,0,0,1,0,0,49.58979334487821
5,2,-1,1,0,1,0,48.92425448789621
5,2,0,0,1,0,0,49.78592303492233
3,3,0,0,0,1,0,50.70886952404426
3,3,0,1,0,1,1,52.94654532040192
5,1,0,1,1,0,1,52.35978346908699
4,3,0,1,0,1,0,51.005090258126486
3,2,0,0,1,1,1,51.15678393589284
3,3,0,1,1,1,0,51.09890548806258
4,2,1,1,1,1,0,50.23066500019943
4,3,0,1,1,1,0,51.74121597161936
5,2,0,1,0,1,0,48.65061217317213
0,2,0,0,1,1,1,55.01550280419353
4,3,0,1,1,1,1,52.89934915919706
2,3,0,0,1,1,1,52.76347488664354
4,4,0,1,0,1,0,51.33083968242435
5,2,0,1,0,1,1,52.61130073546597
0,2,1,0,0,1,0,50.29292964704668
6,2,0,1,0,1,1,53.32418273298139
4,2,0,1,1,1,0,49.42451036852092
3,2,0,1,1,1,1,52.51510040275909
7,1,0,0,0,0,1,51.85978884903249
0,1,0,1,1,1,1,52.25612170653022
2,2,1,0,0,1,1,52.10409151252043
5,2,0,1,0,1,1,49.88342199174428
5,2,0,1,1,1,0,53.03834542550244
4,2,0,1,0,1,0,51.58490505283998
5,4,0,0,1,0,1,52.36591588953697
4,2,0,0,0,1,0,50.58481517963171
5,2,0,1,0,1,1,52.340021924320645
0,4,0,1,1,0,0,51.21792407654475
3,3,0,0,1,1,0,50.81927156540249
1,2,0,0,0,1,0,49.50940371748872
2,2,0,1,1,1,0,50.774283082455725
5,3,0,1,1,1,0,50.78713614936537
6,2,0,1,1,1,1,52.98612256915556
3,3,1,1,1,1,0,50.42530319886025
2,3,0,1,0,1,0,51.00630245391456
3,2,0,0,1,1,1,52.29823176065519
4,3,0,0,0,1,0,52.274938157166105
1,3,0,0,0,0,1,52.02863235737674
7,3,0,1,1,1,1,52.15231540782472
3,2,0,1,1,1,1,51.65891479370618
4,1,0,0,0,1,1,50.69991425023112
0,3,0,0,1,1,0,50.08342426781624
3,3,0,1,0,0,0,50.15152683236306
0,3,0,1,1,1,0,50.37929935753054
6,3,0,0,0,1,0,50.11552636240027
3,2,0,1,1,0,0,50.35007419543786
2,2,0,1,0,1,0,49.05438875308539
3,3,0,0,0,1,0,50.75319938161375
0,2,0,1,0,1,0,50.89575597310312
3,2,0,1,1,1,0,51.8974955930207
4,2,0,1,1,0,0,50.90700736068542
2,2,0,0,1,0,0,50.95222411581671
1,3,0,1,0,1,0,48.31655249412991
2,3,0,1,1,0,0,50.39020401500672
1,2,0,1,1,1,0,49.8310012031269
4,2,0,1,0,1,0,49.65476569393501
4,2,0,1,1,1,1,50.25350567179907
0,3,0,1,1,0,0,51.20777058105315
0,3,0,1,1,0,0,50.22771131322036
1,3,1,0,0,1,0,49.7362453338624
5,3,0,0,0,0,1,53.469683631465486
6,3,1,1,0,1,0,51.931635650394
5,3,0,1,0,1,0,49.33935725437388
0,3,1,1,0,1,0,50.9287970106195
6,2,0,1,1,1,1,52.500401473517975
9,2,0,0,0,1,1,49.89338001473293
6,2,0,0,1,1,1,54.052879828360005
4,2,1,0,0,1,1,50.469073021558906
-1,3,0,1,0,0,0,51.03818466915252
4,3,0,0,0,0,0,48.86760784919678
7,1,-1,1,1,1,1,52.89013288742118
8,1,0,1,1,1,1,51.36640981158065
3,3,0,0,1,0,1,52.20388307143012
2,2,0,0,0,1,0,47.74525644437779
6,3,0,0,0,0,1,53.539477641567125
2,3,0,1,1,1,0,51.25039031736412
5,2,0,0,0,1,0,50.73307435934723
5,2,0,1,1,1,1,54.40089570490012
1,3,0,1,0,1,0,49.828529808931215
2,3,0,0,1,1,1,51.49183905262228
6,2,0,1,1,1,0,51.4477462594112
1,3,0,0,0,1,0,49.72307929450166
4,2,0,0,0,1,1,51.85700623587137
2,3,0,1,0,0,0,50.47586620694154
5,3,0,0,1,1,1,52.64143970478028
5,3,0,0,0,1,1,52.963675227570086
5,2,-1,1,0,1,0,48.87415987003536
8,2,0,1,0,0,1,50.76377191795682
3,3,0,0,0,1,0,49.01389592190248
0,2,0,0,1,0,0,48.90263916951436
0,1,-1,0,0,1,0,47.998589936065024
5,2,1,0,0,1,1,49.5891622815867
3,3,1,1,0,0,0,50.52528296106683
2,3,1,1,0,1,0,49.91005066121734
6,3,0,1,1,1,1,51.7264866672052
7,3,0,0,0,1,0,51.36529908636975
6,4,0,1,0,0,1,53.95761992769436
4,3,0,0,0,1,1,53.63748516221688
4,3,0,1,0,0,1,53.48568937974893
1,2,0,1,0,1,0,51.0433334970248
4,2,0,0,1,0,1,49.62663349867741
3,3,0,0,1,1,0,51.3805446352073
1,2,0,1,0,1,0,49.25361245444346
4,2,0,1,1,0,0,49.76238123114018
6,2,-1,1,1,1,1,52.9317706096283
3,2,0,1,1,1,0,48.67647839912512
1,3,0,0,0,1,1,50.18687192023036
3,2,0,0,0,0,1,52.559083773515965
2,2,0,0,0,1,0,49.36335685869928
5,2,0,0,1,1,1,52.46755240193133
3,3,0,1,1,0,1,51.799033539173536
1,3,0,1,1,1,0,52.13269033406032
2,3,0,0,0,0,0,50.98594342887174
2,2,0,1,1,1,0,50.9173792486056
4,2,0,1,0,0,0,49.23474432235496
6,2,0,0,1,1,1,50.921231500369856
6,2,0,0,0,0,0,50.95128012454485
5,3,0,0,0,1,0,49.490525367776016
1,4,0,0,1,1,0,50.700778031520365
2,3,-1,1,0,1,0,50.77166033094003
4,2,0,1,0,1,1,52.65733557058051
6,3,0,1,0,1,0,51.6301922539264
1,2,0,1,1,1,0,50.47134725135068
4,3,0,1,1,1,0,50.36540374497479
6,3,-1,0,0,1,1,51.038808742272856
6,3,0,0,1,0,0,48.47011283822825
8,2,0,1,1,1,1,53.36740049565816
2,2,1,1,1,1,1,52.36492800152335
5,2,1,0,1,1,1,52.28954492876955
0,2,0,0,0,1,0,47.65500126582196
4,2,1,0,0,1,0,50.20246071658188
2,3,0,0,0,1,0,50.83301923357935
6,3,0,1,0,1,0,51.367017239158166
1,3,0,1,0,1,0,50.63899737824776
2,2,1,0,0,1,1,51.25681800904374
7,2,0,1,1,0,1,52.190941034581016
3,2,1,0,1,1,1,52.74712832489783
3,2,0,0,0,1,1,51.7485267228526
10,2,0,0,0,0,1,52.53148988875688
2,3,0,1,0,1,0,49.70962085664659
3,2,0,1,1,1,0,50.23735512341369
2,2,0,0,1,1,0,49.11254561543711
2,3,0,0,0,0,1,53.3129393554566
2,3,1,0,1,1,1,53.16835969547497
5,3,0,0,0,1,1,52.47883924450765
5,2,0,0,1,1,1,53.263286919365136
4,3,0,1,0,1,0,49.91092888430481
6,3,0,0,0,1,1,51.58817499659196
0,3,-1,0,1,1,1,53.00540868852454
4,2,0,1,0,1,0,51.711835752480894
4,2,0,1,0,1,0,51.19259207554102
3,3,0,0,1,1,1,54.23524574631899
0,3,0,0,0,1,0,51.58824976445773
5,3,1,1,1,0,0,51.29095614229696
5,2,0,0,0,1,1,49.873444628956825
2,2,0,0,1,1,1,50.6511042298893
4,3,0,0,1,0,1,50.78728679758282
4,3,0,0,0,1,0,49.97708926958865
7,3,0,0,0,1,1,53.57989903541428
4,3,0,0,1,1,1,52.57691150033352
6,2,0,0,0,1,0,48.63747976439584
3,2,0,0,0,1,1,51.38443878942219
4,2,0,0,0,1,1,49.87173791155203
2,2,0,1,0,1,0,50.77077161348846
2,3,0,0,1,1,1,51.52936238705608
4,2,0,1,0,1,1,51.33459276951972
1,2,0,1,1,1,0,50.33764860714306
6,3,2,0,0,0,1,51.88717841058398
5,2,0,0,1,1,1,50.94101619781823
6,2,0,1,1,1,1,51.81531506245511
0,2,-1,1,0,1,0,50.24922733294641
4,3,-1,1,0,1,0,50.20167820945954
5,2,0,0,1,0,1,51.88003498223701
4,3,0,0,0,1,1,52.72273697095232
2,2,0,1,1,1,1,51.79421797237993
2,3,0,0,1,0,1,51.89700788252664
0,3,0,1,1,1,0,48.66877507813276
2,1,0,0,1,1,1,50.64398025748006
0,3,0,0,1,1,1,52.12960543050289
3,2,0,1,1,1,0,50.17229227553461
5,2,1,0,0,1,1,51.43134917412341
6,2,0,1,1,1,0,49.79020923677815
5,2,0,1,0,1,1,50.94329423116852
9,3,0,0,0,1,1,51.65740743001311
3,1,0,1,1,1,0,50.82716667603056
4,3,0,0,0,1,1,51.01584824940518
3,3,0,1,1,1,0,50.35182089643719
3,2,1,1,1,1,1,51.124492132133895
7,2,0,1,1,1,1,52.69980598451809
5,2,0,1,0,0,0,49.236425032811255
4,3,0,0,0,1,0,49.60436895555111
