participant_age,education_years,household_income,gender,rural_residency,previous_voting,campaign_exposure,voting_turnout
14,23,8,0,0,0,1,75.04093472810635
21,24,7,1,1,0,1,81.98286252594133
15,21,5,1,1,1,0,73.69154309063265
19,22,5,0,0,1,0,76.30858452936079
22,22,6,0,0,1,0,77.37155134104805
24,21,6,0,1,1,1,83.2839124393408
21,25,7,0,0,0,0,79.66078149714251
27,24,2,0,1,0,1,83.36257758616487
15,19,3,0,0,1,1,72.11396056901071
22,25,3,1,0,0,0,76.27400664285774
27,23,5,0,0,0,1,83.77188311032381
37,23,6,0,0,0,1,94.97470087875855
23,20,4,0,1,1,0,78.35534458531087
24,23,4,0,0,0,0,80.59578943514009
33,20,4,1,0,0,1,88.82996630554486
31,23,4,0,1,1,0,87.30856956712677
6,31,4,1,1,0,1,67.68281420029597
28,26,3,0,0,0,0,81.97072100464307
31,22,4,1,0,0,0,84.16636732694566
25,25,4,1,1,0,0,81.3519324758522
15,24,3,0,1,0,1,73.45612596755814
31,23,5,0,0,1,1,87.83033779751531
38,19,3,0,0,0,1,92.17331058862112
12,21,2,1,1,0,1,68.2636925263327
22,21,6,1,0,1,1,81.82069077613573
23,25,4,0,1,0,0,78.09999834876342
5,23,5,0,0,0,1,65.13633910989384
49,16,4,0,0,1,0,98.7246058179747
33,19,5,0,0,0,1,90.42044527151174
33,22,9,0,0,0,1,92.52638533436664
8,24,7,0,1,0,0,67.4434056291016
18,27,8,0,0,0,0,77.33262146207603
33,23,7,0,0,0,0,87.63380939659392
27,23,6,0,1,0,1,85.66544236321744
7,22,7,1,0,0,0,65.68501382764899
22,23,6,1,0,1,1,80.43790464004223
25,25,6,0,0,1,0,81.78378441053545
35,24,6,0,0,0,1,94.16114377261492
8,28,6,1,1,0,0,67.17149222040234
36,20,9,0,0,0,1,94.20092865727062
29,22,5,0,0,0,1,86.04644293091346
21,17,10,0,0,0,0,80.59108500494341
38,30,5,0,0,0,1,96.87087492296186
26,26,4,0,0,0,1,84.56715340957108
17,27,8,1,0,0,1,79.72710253410291
26,16,6,1,0,0,1,81.8921759506853
22,24,6,0,0,0,0,78.95723238001283
24,17,6,1,1,1,1,82.46629157031673
29,18,5,0,0,1,0,83.85474578334981
11,28,7,1,1,0,1,73.55236836295593
21,23,8,1,0,0,0,79.28853688082891
25,25,7,1,0,0,1,83.71925214115366
15,27,4,1,0,0,0,72.16680226105538
15,24,2,0,1,1,1,73.03635865484235
38,24,2,0,0,0,0,91.32389339324654
23,21,4,1,1,0,0,78.43509150420235
30,20,4,0,0,0,1,86.02657764884461
35,23,6,1,0,0,0,90.4435245950525
37,22,4,0,0,1,1,94.860415916187
11,17,5,0,0,1,0,67.36190911418437
28,18,6,0,1,0,1,86.36491342770921
18,26,6,0,0,1,0,77.65309896354613
38,23,5,1,1,1,0,93.43810233697434
40,29,5,0,0,1,1,98.72191608926236
13,14,9,0,0,0,1,74.3229917871339
25,20,4,1,1,1,0,79.30646710853264
34,30,4,1,0,1,0,91.72405299535863
23,28,7,0,1,1,1,85.11487866563012
18,23,10,0,1,1,0,77.73522149058256
28,26,6,0,1,1,1,87.50897090143837
1,27,4,0,0,0,0,59.06754307598023
36,22,8,1,0,0,0,91.52919866455646
33,25,6,0,1,1,1,91.2555824662244
19,27,4,0,0,0,1,78.37445093493383
36,14,7,0,0,1,1,90.91020858103508
12,24,5,0,0,0,1,71.99604819043113
21,27,6,0,1,1,0,78.61855203259893
34,15,5,0,1,0,1,89.94879826763336
28,22,7,1,0,1,1,86.82643253325939
37,22,6,0,0,0,0,89.76393573219885
28,17,5,0,0,0,0,81.40644844629571
24,20,7,0,0,1,1,81.98271867469892
23,25,5,0,0,0,1,80.41831465041409
28,28,6,0,0,1,0,86.41895715866254
30,33,7,0,0,0,0,89.84761354775337
18,27,6,1,0,1,1,78.88698622315911
34,20,3,0,1,1,1,91.9544457226958
17,27,7,0,0,0,1,77.9955652142516
19,24,5,0,0,0,0,75.76014552173136
16,27,5,1,0,0,1,76.64343335840707
20,28,10,1,0,1,0,82.49756581642988
21,23,6,0,0,0,1,77.94476883774075
17,23,5,1,0,1,0,74.71949573390275
47,24,3,0,0,0,1,100.12611347735276
20,28,5,1,0,0,1,78.63959980320756
30,24,3,1,1,1,1,87.17656645012697
28,19,9,0,0,0,0,84.79373600479106
20,24,1,0,0,1,0,74.58056556901732
22,21,9,1,0,1,0,79.62940545923826
0,22,4,0,1,1,1,59.877850744068105
21,25,6,0,1,0,0,76.94626957243352
32,28,8,1,0,0,0,90.16772207923638
11,13,5,0,1,1,0,65.388237582378
28,27,3,0,0,0,1,85.43618369927732
31,22,8,1,1,0,0,87.27003288208908
17,20,8,0,0,1,0,75.49890979815903
19,30,7,0,0,0,1,82.59966493690237
21,24,8,0,0,1,1,81.78323868439828
33,26,1,0,1,1,0,86.75275681336757
8,21,10,0,0,1,0,69.13518515961488
21,13,1,1,1,0,0,72.84276499696036
33,33,7,0,0,0,1,92.50640476425636
42,22,5,0,1,0,1,98.12217705265716
32,19,7,1,1,0,1,87.70940013900245
32,23,1,1,1,0,0,85.95533028034846
18,16,3,0,0,0,1,72.54692402988131
26,29,9,1,0,0,1,87.32864687971312
6,20,7,1,0,1,1,68.92950360387573
38,21,5,0,0,0,1,93.06658440787824
15,17,5,1,0,0,1,72.7056035240246
44,17,9,0,0,0,1,100.42854694102569
35,19,6,0,0,0,0,89.50920128234799
35,20,8,0,0,0,0,90.44156125310602
22,24,4,1,1,0,0,78.01709340404702
24,22,2,0,0,1,0,77.56835988804893
30,20,1,0,0,0,1,84.38450362013057
16,24,6,0,1,1,0,74.51547480968317
16,21,3,0,0,0,1,73.3365503949106
30,23,2,0,0,1,1,87.56581315820858
10,22,3,0,1,1,1,69.63852021304295
17,28,9,1,0,0,1,80.33056308718893
23,21,5,1,0,0,1,80.39368256866672
21,25,4,1,1,1,1,80.38703812534088
8,27,6,0,0,0,1,70.57070966290908
24,35,4,1,0,0,0,81.86596890283157
31,21,3,0,0,0,0,84.08767966905897
-3,21,6,1,1,0,0,57.66258992219264
14,33,5,0,1,0,0,72.45959094163894
22,25,8,1,1,1,1,82.56136257888946
32,22,6,0,1,1,1,90.07083294063825
39,20,6,0,0,0,1,96.9316245248078
19,28,2,0,1,0,0,73.70162849859179
24,24,8,0,0,0,0,82.38132034993544
19,20,5,1,1,0,1,78.14816928428841
16,22,4,1,1,0,1,76.0910500475695
21,26,6,1,0,0,1,82.75306512636612
25,24,3,1,1,0,1,82.37969559427593
29,22,7,0,1,0,1,88.88495746182939
26,16,5,1,1,1,1,84.03322612880312
33,29,7,0,0,0,0,90.59922788602964
26,16,6,1,0,1,0,81.88642010434359
35,28,5,0,1,0,1,93.08517410791974
18,18,6,0,0,1,0,74.03419634471973
20,25,3,0,1,1,0,75.13022712565294
10,29,9,0,1,0,1,72.69877653919644
42,24,3,0,1,0,1,98.7687077240532
35,31,1,1,1,0,1,93.25398190066063
28,25,1,0,0,0,0,81.57557687527618
44,29,9,0,0,0,0,101.30279101454045
29,25,4,1,1,1,1,88.25154486646402
33,19,10,1,0,1,0,89.83322088588099
45,27,2,1,0,0,0,97.33954141900102
27,27,8,1,0,1,0,85.04541754447229
22,19,6,0,0,0,1,80.24043214666808
15,29,4,1,0,0,1,74.63619665168832
36,20,7,1,0,0,0,91.43201226399026
29,25,6,0,0,0,0,83.97776216190529
25,27,6,1,0,0,1,85.60696647727487
39,28,5,0,0,1,0,94.321326954728
31,26,7,0,1,0,0,89.61113644246495
18,25,4,0,0,0,0,74.05832204272737
26,21,5,1,0,0,0,80.33019132332294
41,17,9,0,0,0,0,96.81466388593093
24,27,5,0,0,1,1,84.62156268086885
30,25,5,1,1,0,0,85.23361120041223
30,23,7,0,1,0,1,88.47026326826438
31,24,3,0,1,0,0,86.0438170481583
29,21,8,0,0,0,1,87.0109444297974
26,28,5,1,0,0,1,84.78967142285533
20,26,7,0,0,1,0,76.92078682514716
12,24,3,0,0,0,1,71.02463628305219
48,23,6,0,0,0,1,101.86381482715686
13,24,4,1,1,1,0,70.1177352127711
36,23,8,0,0,0,0,90.4003432960882
16,23,5,0,0,1,1,74.7893753217224
18,17,6,0,0,0,0,73.64692348388071
26,26,10,0,0,0,0,89.12820997436654
6,21,6,0,0,1,0,64.13457762822355
20,27,5,1,0,0,1,81.27121350789407
29,23,5,0,0,0,1,87.1617365378609
21,26,5,1,0,1,1,80.86144389468633
34,25,10,0,1,1,1,95.22311575039302
27,19,3,0,0,1,1,85.17157940085205
24,20,9,1,1,0,1,83.76829814030462
28,28,2,1,0,1,1,87.59966479259633
38,20,10,0,1,1,0,95.59568514885166
10,17,6,1,0,1,1,70.28776879774871
20,18,3,0,0,1,1,75.20497605696222
9,25,6,0,0,0,0,67.61397689669253
18,30,6,0,0,1,1,79.84064023776828
29,22,11,0,0,1,0,86.52062194864365
22,25,9,1,0,0,0,81.77654302961335
34,22,5,0,0,1,1,92.36004166701647
7,25,8,1,0,0,0,67.64287527030199
33,20,6,1,0,0,0,89.59753434525902
20,26,5,0,0,0,1,80.77240421442579
6,27,7,1,1,0,1,70.98216381663218
29,27,7,1,1,0,0,86.58133542638294
15,25,4,0,1,1,0,71.31837189943855
28,23,6,0,0,0,1,86.29387576395375
29,24,1,0,0,1,0,80.38463325616254
37,30,3,0,0,0,1,94.39539321761004
23,36,9,0,0,0,1,86.72917912893261
23,25,6,1,0,0,0,81.0553463857081
31,20,2,0,1,0,0,82.95466560375647
29,21,6,1,0,1,0,85.520230574171
22,28,1,0,0,1,1,78.89148408691624
19,25,9,0,0,0,0,79.66863835031079
17,23,7,0,0,0,1,79.66207768426088
24,25,4,0,0,0,0,77.89516361017724
31,23,8,0,1,1,1,90.928505882509
42,27,6,0,1,0,0,97.7543668706718
15,21,6,1,0,0,0,69.85048614513784
34,31,6,0,0,0,1,94.87737655884986
20,22,4,0,0,0,0,76.31509751790314
17,23,9,0,0,0,0,75.29954477802075
31,32,5,0,0,0,0,89.61914038269309
19,27,6,0,0,0,1,79.80592125583779
46,19,5,0,1,1,0,98.88862193641091
33,23,4,0,1,0,0,87.48196116771337
46,29,8,1,0,0,0,104.2988527280744
20,26,1,0,1,1,1,77.76573556192491
23,31,5,0,1,0,0,81.72998738652346
23,21,7,1,1,0,0,80.16402772221255
15,25,7,0,0,0,0,72.4872777027884
22,24,5,0,0,0,1,81.48317166100074
39,21,7,0,0,0,0,92.87446942295736
16,26,5,0,1,0,1,76.5048037702372
51,17,2,0,0,0,0,101.3202404961343
19,26,1,0,1,1,1,79.02950995716598
18,19,6,1,0,0,1,75.759823966706
39,24,4,0,1,1,0,94.92994798641443
21,33,4,0,1,1,0,80.1067588731556
15,24,2,0,1,1,0,73.18826996464254
29,25,6,0,0,1,1,89.51718195613084
23,28,1,0,0,1,0,77.73748565042418
16,29,4,0,1,0,1,77.85463576678548
23,19,6,0,0,0,0,78.90318333728987
25,26,6,0,0,0,0,82.9998738576411
24,27,2,0,1,0,0,80.36180737386309
25,28,6,0,0,0,1,84.98035555157841
23,21,4,0,1,0,1,80.91056506543873
2,21,7,1,0,0,0,60.3943095951689
28,19,6,0,1,1,0,83.4035181636764
24,21,2,0,0,0,0,79.2122339145466
23,18,4,1,1,0,0,76.20328214357211
28,16,5,0,0,0,0,81.44714205251906
41,30,4,0,0,1,0,97.08837213731104
43,22,8,0,0,1,1,101.7230232469764
11,31,5,1,1,1,0,71.98716440930838
1,23,2,0,1,0,0,58.26634171093989
10,32,6,0,0,0,1,72.02666257699828
25,19,4,1,1,1,0,79.22675962228783
23,28,8,0,0,0,1,85.01436750322407
21,21,1,1,0,0,0,73.74848884118607
33,25,4,0,0,1,0,87.40654042660614
41,23,6,1,1,1,0,94.84092385382743
24,22,9,0,1,1,0,82.42253369587397
23,26,4,1,0,0,0,78.45765902495884
17,23,4,0,1,0,0,71.45064972158092
32,23,2,0,0,1,1,86.85569814750441
17,23,3,1,0,0,1,75.01338467203558
24,20,2,0,0,1,0,79.09739036814689
35,21,9,0,1,1,0,92.07796528778049
38,30,8,1,1,0,0,95.45714848296444
6,28,4,1,0,0,0,63.765101135830704
25,33,9,0,1,0,0,85.4698241661701
21,29,7,1,1,0,0,79.29813595604732
28,17,8,1,0,1,1,87.19881384580985
25,20,6,0,0,0,1,84.07247551753194
13,19,8,1,0,1,0,71.61817442655462
19,35,4,0,0,0,1,80.41280064361008
34,27,8,0,0,0,1,93.6801860507293
28,19,5,0,0,0,0,80.66066153469117
34,30,3,1,1,1,0,90.39192550934187
25,24,3,0,0,1,1,82.53857362158159
21,24,8,0,0,1,0,79.59937460446397
28,15,6,1,1,0,0,81.94627997595268
26,27,6,0,1,0,0,84.10813704096513
7,25,5,1,1,1,1,68.20081139111795
43,24,2,1,0,0,0,97.09638580116892
29,30,4,0,1,0,1,89.0801688152858
39,22,7,1,1,0,1,96.3994957240785
27,22,5,0,1,0,0,83.65468967607507
20,20,6,1,1,0,0,77.03239861432365
20,18,7,1,0,1,0,77.28592208654794
3,8,9,1,0,1,0,58.36712703604748
47,23,3,0,0,0,1,100.78097735216816
31,24,8,0,0,1,1,89.87202328515696
18,25,5,1,0,0,1,78.20865448203459
35,18,3,1,0,0,1,88.8172968220999
17,18,6,0,0,0,0,72.32859716472257
15,26,3,1,1,1,1,75.20028576032617
26,23,9,0,1,0,0,83.80434832539187
37,23,4,0,0,0,0,89.7568955931222
27,19,4,0,0,0,0,82.71863254428958
30,22,6,1,0,0,0,85.7409364660267
30,27,5,1,0,0,0,87.08605319339549
5,21,1,0,0,0,0,59.02050344443518
12,26,9,1,0,0,1,75.81343092745331
19,22,1,0,1,0,1,74.74691962552615
26,26,4,1,0,1,0,82.48666598949117
27,25,5,1,0,1,1,84.34055596759963
26,20,5,1,0,0,1,83.86909810010869
26,22,3,0,0,0,1,81.70470196744026
25,20,7,0,0,0,1,83.59807159412209
12,24,10,1,1,0,0,71.30879034062656
35,18,6,0,0,1,1,91.24511290649724
30,22,8,0,0,0,1,89.87704910557974
31,25,6,1,0,1,1,88.95504164300776
19,20,5,0,0,1,0,76.48940566236625
15,25,3,0,1,1,1,73.46246471444476
46,26,8,0,0,0,0,102.40112980484857
30,19,5,1,1,1,1,87.71550755283131
28,20,8,1,1,1,1,88.361659900977
44,30,3,0,1,0,0,100.09102474941004
31,25,5,1,0,1,0,86.53021699233864
28,22,5,0,0,0,1,87.19002508845034
27,26,9,0,0,0,0,86.14921189249448
29,17,3,1,1,1,1,84.24288039145668
22,23,5,0,0,1,0,78.34820787969777
51,22,2,1,1,1,1,105.49992251504868
14,23,4,1,1,0,1,76.0683925334917
30,20,6,1,0,0,1,87.1809786759214
19,27,6,1,1,0,1,79.22911630445553
37,23,9,1,1,1,1,95.92706133564948
29,25,6,0,1,1,1,87.32910524855218
19,27,6,0,0,0,0,77.17236530669506
17,23,9,1,0,0,0,74.49382412072154
18,31,7,0,0,0,1,81.31822826188416
24,29,6,1,0,1,0,81.76654389935787
31,24,5,1,0,0,0,85.25888429577545
32,28,6,0,0,1,1,92.44234019510051
11,31,2,0,1,1,0,69.60596893207087
24,29,9,0,0,0,1,87.79820742387137
26,20,6,1,0,0,1,81.90598785101783
19,17,5,1,0,1,1,75.85274792645147
11,19,3,0,0,0,0,66.91006010569052
39,23,7,0,1,0,0,94.43684397670354
27,25,8,0,0,0,1,87.7195369898007
26,23,7,1,0,0,1,84.3638060352274
19,22,4,0,1,0,0,74.08461800932189
13,21,1,0,1,1,1,70.40035759979196
15,17,6,0,1,0,0,71.53615094278196
25,30,2,0,0,1,0,81.59529827573745
38,19,5,0,0,1,1,94.0668786141372
31,21,4,0,1,0,1,89.18784191501719
24,25,5,0,0,1,0,81.36024415645369
19,21,6,1,0,1,0,74.6920940565303
29,20,3,0,0,0,0,82.05537694023494
22,29,8,1,1,0,1,85.45514958512187
22,25,8,0,1,0,1,83.67667377348012
14,28,5,1,0,0,0,73.65928633389346
12,26,2,0,0,1,1,71.65867708069952
33,25,4,1,0,0,1,90.5128752359642
19,22,3,1,1,1,1,76.93134526905868
11,21,5,0,0,0,1,69.83497085575058
46,19,7,1,0,0,0,99.805458476492
21,15,6,0,1,1,1,78.75910255479333
14,20,10,1,0,1,0,73.15295199687858
36,22,5,0,0,0,0,89.77765756009028
4,23,9,0,0,0,0,64.23718624123775
26,25,7,0,1,1,0,83.78606642565047
49,16,4,1,0,1,1,101.75883859139952
16,31,6,1,0,0,1,78.6489729735925
37,20,5,0,0,0,1,93.5020182464763
14,18,5,0,1,1,1,72.86787570600434
30,21,6,1,0,0,1,87.42697835138
25,26,3,0,0,0,0,79.92139150208924
32,30,4,0,0,1,1,91.27607773791458
24,22,1,1,1,0,0,79.26906110528404
23,25,4,0,1,1,0,79.5132201582583
27,25,9,0,1,1,1,89.1262396255653
12,17,8,0,0,0,0,68.10010148168742
26,26,7,1,1,0,0,82.88579604800842
32,23,4,0,0,1,0,86.49433770070954
32,27,5,1,0,1,1,90.9399736159805
40,24,7,1,0,0,0,96.08922062393526
29,22,5,0,0,0,0,82.10854481169301
23,27,4,0,0,1,0,79.40095050277705
14,23,5,0,0,1,0,72.04953391454079
22,18,10,0,0,0,1,83.76390269721745
26,24,7,0,0,0,0,82.48889411868434
24,26,4,0,0,0,0,82.07380194053883
38,26,4,0,0,0,1,93.80446542252425
26,27,5,1,0,0,1,84.38651026026983
14,27,6,0,0,0,1,74.32503028362167
27,23,6,0,1,0,1,85.78165383666202
31,18,5,0,0,0,1,85.61727137457392
23,16,4,0,1,0,1,80.24209780032098
32,26,4,0,0,0,1,91.07486809612904
46,26,3,1,0,0,1,102.2982631962376
27,33,2,0,1,0,1,86.41878900378194
19,16,5,1,0,1,1,76.102579457542
30,28,6,0,1,1,0,87.85844214499323
43,23,3,1,0,0,1,97.45899646224228
18,23,3,0,0,0,0,71.1434819800234
25,19,5,1,0,0,1,80.50261117676898
29,29,1,0,0,0,1,85.15297814920676
36,27,3,1,0,1,1,93.8646625855056
21,29,2,0,1,0,1,80.58538777170207
23,25,8,0,1,1,1,84.32786519517984
15,27,6,0,0,0,1,76.60540116269372
32,24,8,0,0,1,1,91.80287584844598
25,25,4,0,0,1,1,82.43756964979693
23,28,6,1,0,1,1,82.48421750027516
13,25,7,0,0,0,1,74.57885948275229
25,29,7,1,0,0,1,85.13171983331672
19,22,5,1,0,0,1,76.85138735887689
22,21,6,1,0,1,0,79.42094217226719
35,24,7,0,1,0,0,92.22865521896418
14,30,5,0,0,1,1,76.40956060804565
25,24,4,0,1,0,1,83.65979225235802
47,22,5,0,1,1,0,102.00644700266162
22,22,10,0,1,0,1,83.8190946279136
32,21,0,0,0,0,0,81.73545333868176
34,18,6,1,0,1,0,89.13398922709906
26,22,6,1,0,0,0,82.00636803362349
24,26,5,1,0,0,1,83.80829880662408
13,20,3,1,1,1,0,68.74403308465759
30,23,6,0,0,1,0,87.78029475945107
37,19,7,1,0,1,0,93.25236765205494
18,21,4,1,1,0,1,77.0727536023405
28,22,6,0,1,0,0,86.2108971189174
17,28,4,0,0,0,1,76.81877477553401
19,24,6,0,0,0,0,76.42984338183697
20,23,7,1,0,1,0,77.80451051629491
30,20,4,0,0,1,1,89.04364767705222
15,26,2,0,1,0,1,72.33012134331524
36,23,8,0,0,0,0,90.86539051971972
21,21,2,0,0,0,0,73.55149517669726
15,29,3,0,1,0,1,74.51102833095943
29,24,11,1,0,0,1,91.12542522829578
40,25,6,1,0,0,1,98.5846440195152
36,21,7,0,0,0,0,89.94935624653239
14,25,9,0,0,0,1,75.31838350773131
37,27,5,1,0,0,1,94.25425554103651
22,21,4,1,0,0,1,80.27177928950552
21,17,7,0,1,0,0,77.06543010506553
11,20,6,1,1,0,0,68.50062017124101
42,26,3,0,0,0,1,95.74776524478855
30,24,5,0,1,0,0,86.93826759278998
17,27,6,0,0,1,0,76.86989419045193
33,22,4,1,0,0,0,87.02831897180793
24,25,1,1,0,0,1,81.37448482237387
41,13,0,0,0,0,0,89.3677821506357
14,23,9,0,1,1,1,76.26269952961901
46,23,5,0,1,0,1,102.47763508057464
33,24,2,0,0,0,1,90.0043182809032
18,13,3,0,0,1,1,73.1862269877075
29,31,4,0,0,0,0,85.34596816377167
7,21,6,1,0,0,1,67.06715170410087
47,28,6,1,0,1,0,102.5185005981936
32,31,6,0,0,1,1,93.71972851379957
23,29,6,0,1,1,0,83.70448385479897
36,27,8,1,0,1,0,95.2158150850981
9,18,3,1,0,1,1,66.06041041264079
39,32,4,0,0,1,0,96.47653974036432
29,25,6,0,1,0,1,87.35830548806838
26,20,7,0,1,0,1,83.53325106071699
36,26,3,0,0,1,1,94.12068586295996
23,22,5,0,1,0,1,82.67617621856205
34,19,5,1,0,1,1,91.64163720300084
36,31,5,0,0,1,0,93.63632889173802
18,27,6,0,1,0,0,77.1567236778764
26,17,7,1,1,0,0,83.05293643762268
24,20,5,0,1,0,0,80.41959976716032
26,21,2,1,0,0,0,77.19200875670298
25,33,9,0,0,0,1,88.23297109768173
23,18,8,1,0,0,1,80.82194949007093
37,22,5,1,0,0,0,91.3812403206166
21,29,6,1,1,1,1,83.96110099131019
37,21,5,0,0,0,0,90.93082512416888
16,23,5,0,0,0,0,73.24805909181117
7,34,11,1,1,0,1,74.1751258074058
27,24,4,0,1,0,1,87.36467923109791
42,23,6,0,0,0,0,96.36724761162128
33,20,13,0,0,1,0,92.62240358642728
12,23,5,0,1,1,0,68.67452304765828
31,19,4,0,1,0,1,85.85746813097165
31,25,8,0,0,0,0,89.05049895973625
30,22,5,1,0,0,1,88.04082636892696
37,15,5,0,0,1,1,91.82675629534027
12,25,2,1,0,0,1,69.86308007202908
38,21,6,0,0,1,1,95.69230029114004
8,19,3,1,1,0,0,64.35181695561921
36,28,4,0,0,0,0,91.1900905990602
21,24,3,1,0,0,0,78.29026292718268
11,22,9,0,0,1,1,74.99637457377145
12,16,4,0,0,1,1,70.12022242875383
18,23,1,1,0,0,1,73.69845624232173
30,22,7,1,0,1,1,88.5786666090383
23,21,5,0,1,1,1,82.17699403322642
12,20,11,0,0,0,1,73.3747578111626
25,23,8,1,1,0,0,82.59867676416532
25,23,5,1,0,1,1,81.60355521727453
15,14,3,1,0,1,0,68.99018369271145
24,22,10,1,0,1,0,83.46239742848776
20,27,6,0,0,1,1,80.75558471843276
43,20,9,0,0,0,1,101.37790952637572
25,19,8,0,0,0,0,81.89665591367599
7,22,8,0,0,0,0,66.556004030124
33,23,7,0,1,0,0,89.79507182595317
26,19,6,1,0,1,1,84.76763064107749
28,30,5,1,1,0,0,85.36520107576172
35,21,6,1,1,0,1,92.90666760619652
34,23,6,0,0,0,1,91.72865983436124
21,21,4,0,1,1,0,76.3432422842076
31,22,1,0,0,0,1,84.75737852305218
16,23,8,0,0,0,1,76.29328740123096
38,23,1,0,1,0,0,90.4015247888915
33,14,3,0,0,0,1,86.8053907990039
18,23,2,1,1,0,0,73.89103569370229
19,20,4,0,0,1,0,73.48178239576905
22,33,2,1,1,0,0,78.79041104811398
26,26,7,1,1,1,1,87.05501113582922
5,26,7,0,0,0,0,62.763730595181705
18,26,4,0,0,1,1,77.69960961891842
33,25,8,1,0,0,1,92.7731751414393
19,24,8,0,1,0,1,79.09030268347077
23,26,2,0,1,0,0,76.7661392348914
33,25,2,0,1,0,1,89.97183255619213
36,21,3,1,1,0,0,89.73176630392324
26,23,4,0,0,0,1,82.85901805405679
20,26,2,0,1,0,1,78.78693565856067
17,22,5,0,1,0,1,76.34001755940072
21,23,6,0,0,0,1,80.36522295961214
21,22,7,0,0,0,1,80.88870979360182
24,30,4,0,1,1,0,82.34217603280221
28,20,5,1,0,0,1,85.64110705358856
18,21,6,0,0,0,0,74.46000741230823
17,20,5,1,1,1,0,73.04101290716906
21,22,8,0,1,0,0,77.44408509603312
19,19,6,0,1,0,0,74.15108345270838
27,20,5,0,1,1,1,85.43385271281004
25,22,4,0,0,0,1,80.82878497907528
18,15,5,0,1,1,1,74.51146136491607
22,27,10,1,0,0,0,82.11137855474783
20,24,7,1,0,0,0,79.44490708860218
12,21,3,1,0,0,1,69.53130735896704
30,24,10,0,1,0,0,88.57963143342849
31,24,6,1,0,0,0,84.36430445073108
38,23,4,1,1,0,0,92.08946080626257
9,25,4,1,0,1,0,67.75711677852553
34,26,8,0,1,0,0,89.98495259511695
25,17,9,0,0,1,0,81.0946930786644
29,25,5,1,0,0,1,87.34311237973321
20,24,4,0,0,0,1,79.08635607094034
