age,education_years,income_level,political_interest,rural_residency,previous_voter,got_information_brochure,voted_in_election
32,26,4,11,0,0,1,67.6341111648773
26,22,0,14,0,0,0,58.690558125676624
39,31,5,17,1,1,0,65.35644246245883
30,20,5,18,1,0,1,68.16043986209648
29,23,7,5,1,0,1,69.26180677156869
15,23,4,16,0,0,0,62.47015928227104
34,19,3,19,0,0,1,68.12838781623185
18,31,8,10,0,0,0,65.56954676313103
29,23,5,19,0,1,0,64.31736248237107
32,21,8,15,0,0,0,66.273413769528
31,24,8,9,0,1,0,65.94960870799433
35,23,7,16,0,1,0,65.59245163493657
23,25,12,15,1,1,0,68.07326120340304
33,29,5,16,1,0,1,70.55690965495383
25,32,7,19,1,0,1,71.83240494789338
28,23,5,17,0,0,1,68.45786433523233
20,20,4,13,1,1,0,63.38718816655073
26,23,7,15,1,0,1,70.55814051697428
25,29,6,15,1,0,0,64.20823362083414
47,22,7,19,0,1,1,69.4950409180911
30,24,7,15,0,0,1,70.28417047892012
20,25,6,16,1,1,1,71.12867863652312
29,25,9,17,1,0,0,67.6733851871355
41,21,4,22,0,0,1,67.18784024210441
1,19,2,20,0,1,1,67.83495894101446
28,25,5,21,0,1,0,65.46478863766741
23,26,6,9,1,0,1,70.49791731868467
10,28,9,10,0,0,0,65.62533104849288
35,17,7,11,0,0,0,62.57495709921616
33,19,6,15,1,1,1,71.2695862635458
27,19,9,23,0,1,1,72.41196597535509
14,16,10,15,1,1,1,73.84871509306144
35,21,9,21,1,0,1,73.23944125656885
30,26,5,16,0,0,0,64.21109427736343
12,19,8,16,1,1,1,71.12027238887579
16,20,3,14,0,1,1,67.31730215320707
31,24,4,10,1,0,1,68.81003054779502
39,20,6,17,1,0,1,69.97236919981445
49,33,1,8,1,1,1,69.11144625092084
42,21,4,24,1,0,0,64.27777744972069
25,25,4,4,1,1,0,62.49450909182637
23,19,6,18,0,1,1,69.41748558179387
23,19,5,14,0,0,1,68.15314763990118
26,27,6,16,1,0,1,71.48174136769285
24,18,2,12,0,0,0,58.36163468885506
45,22,5,13,1,0,0,63.02500667801977
27,25,6,18,0,1,0,66.27199979001168
16,29,8,9,0,1,1,74.17819120267168
23,25,6,24,0,0,1,71.47643066426768
29,24,4,12,1,0,1,67.9799613885751
21,24,4,16,0,1,0,63.21454037306602
29,21,8,21,1,0,1,71.6096949845374
35,25,11,15,1,1,0,70.27035345175943
23,18,3,22,0,0,0,61.11908274471779
25,19,2,9,0,0,0,57.87940469123003
17,19,8,11,0,0,0,64.43137186433789
33,23,2,10,1,0,1,65.86887785984966
18,30,12,17,0,0,0,70.82701257104904
30,26,8,19,0,0,0,66.59589653711483
9,28,8,18,0,1,0,67.06564727650243
31,22,3,10,0,0,0,59.89632034580049
45,27,7,22,0,1,1,73.54218570252608
43,18,4,17,0,0,1,65.98081446764492
21,29,6,23,0,1,0,65.50692203160509
26,20,7,9,0,0,1,68.12086400001284
34,25,3,8,1,1,1,69.29294763264781
21,17,1,28,0,0,0,60.16111821336384
20,18,5,12,1,1,1,70.18735914109408
26,27,6,9,0,0,0,64.59610502667849
28,23,3,10,1,0,1,68.17489781701227
31,26,7,13,1,0,1,70.88665805014966
7,26,3,8,1,1,0,61.7691133430457
28,19,4,13,1,0,1,69.39128697416115
42,24,8,10,0,0,1,71.27547720190547
21,23,8,6,1,0,1,71.23450056778817
23,19,9,13,0,1,0,66.72151279847097
43,26,2,12,0,0,0,62.25376081249868
26,15,8,23,0,1,1,70.35270010331043
28,18,7,14,0,0,1,69.72897500020339
34,23,5,17,0,0,0,60.562809944410624
17,17,9,5,1,0,0,61.2585700507634
15,22,6,25,0,0,0,63.260329387100654
15,28,6,19,0,0,0,66.00208105480745
31,22,7,12,0,0,0,65.70756722678266
26,10,4,14,1,0,1,64.57103224249522
29,25,7,25,1,1,1,71.90460724144381
25,19,8,9,0,0,0,64.86933803486255
18,29,8,13,1,0,1,74.48050678638273
17,29,6,12,1,0,0,65.56527571091502
22,25,8,17,1,0,1,73.00760785938104
31,26,5,16,0,0,1,70.27746749748789
41,29,6,18,1,0,0,67.33575243957499
10,25,8,13,1,1,1,71.95929870348449
27,25,7,10,1,0,1,70.76630228506016
30,19,10,21,1,0,1,73.16299985771433
14,22,2,19,1,1,1,67.06550325857694
27,33,1,17,0,1,1,67.95794981184056
25,26,6,20,0,0,0,66.04159443783708
20,20,3,20,1,0,0,61.85318784563429
28,25,2,14,0,0,0,60.25173323386134
36,22,0,7,0,0,1,64.03444497308419
36,23,5,19,1,1,1,70.50685472560876
39,25,2,21,0,0,0,59.79335498984556
34,20,8,19,0,0,1,70.36989092245165
19,22,5,20,0,0,0,61.703858812847486
17,28,4,15,0,1,0,62.36397652934715
30,24,4,29,1,1,1,70.97670031487924
30,29,9,17,0,1,0,67.147527314441
36,21,3,14,0,0,0,61.65662994762854
42,18,1,15,1,1,0,59.78001233914627
20,29,5,13,0,0,0,61.58459469186095
17,21,6,16,1,1,1,71.5378736352936
35,18,5,18,0,1,0,62.9305901755765
28,17,6,17,1,1,0,63.82654701805076
24,30,5,22,1,1,1,73.11437662775447
23,25,3,18,1,0,0,62.274774808135774
15,25,5,17,1,1,0,63.24915232779283
25,26,5,17,0,1,0,65.42781029811388
23,23,8,13,0,1,0,66.54944490150528
33,20,5,15,0,0,0,63.48377101517435
26,26,7,16,0,0,0,65.86721583193578
28,22,2,14,1,1,0,62.346319706625344
21,20,3,16,1,1,1,67.040883408872
21,25,5,18,0,0,0,62.70177375531482
19,28,4,14,0,0,0,62.30296482453338
30,19,6,18,0,1,0,63.91918682047248
40,21,6,9,1,1,0,65.08522647841643
52,19,4,11,1,1,1,68.19213384816413
5,27,4,18,0,0,0,60.86704681394475
23,21,10,17,1,1,1,73.92270362546861
16,25,6,22,0,1,0,64.9080002320613
21,26,5,20,0,1,1,71.04904609340913
24,25,4,10,1,0,0,61.89903593869901
23,32,5,17,0,0,1,69.35291537603058
25,18,9,14,0,0,0,63.65644581994231
40,31,2,10,0,1,1,69.6925901377937
17,19,7,10,0,0,1,69.2799210256587
16,25,6,25,0,0,1,71.69250316104308
18,25,7,13,0,1,1,71.00174252560663
23,25,5,15,0,0,1,69.17878478949049
37,21,7,14,0,0,1,72.49833979825975
35,30,5,10,0,1,0,65.06039322778767
29,23,8,19,1,0,1,70.99372977986431
9,19,6,15,1,0,0,61.68974374503743
34,23,5,8,1,0,1,68.34999319340027
32,26,4,9,1,0,1,69.55364723010193
34,32,7,7,1,0,1,71.68816665460385
17,30,7,17,1,0,0,65.88584708371197
30,30,4,16,1,0,1,69.23855807501775
35,23,8,16,0,1,0,65.64769085958298
22,23,8,17,1,1,0,66.42544704355947
15,21,7,12,0,1,0,63.6488234327466
17,25,7,16,0,0,1,70.31463917802638
27,24,7,16,0,1,0,65.87915881381909
19,27,7,12,1,1,1,71.42495906888271
27,21,3,13,0,1,0,60.3807215367545
7,23,4,6,1,0,1,67.04338567019605
43,16,6,24,1,1,1,71.93198520262938
31,20,4,18,0,1,1,68.03699586954633
34,20,5,19,1,1,1,69.28325467173926
4,31,10,19,0,0,1,75.04284070658117
29,25,7,7,1,0,0,65.9409517839621
8,20,6,19,1,1,1,70.63513726089231
30,22,2,19,0,0,1,67.17627765564326
32,27,2,11,0,1,1,66.099295621435
18,32,6,12,0,1,1,72.28662665051742
31,16,7,19,0,0,1,69.44368181276938
26,30,6,16,0,0,1,71.34787365916927
37,14,13,12,1,0,1,75.50954978100641
28,22,9,17,1,0,0,66.2424666354811
12,20,5,6,1,1,1,68.43101558273227
29,21,4,20,1,0,1,68.94457576113868
31,22,8,14,1,1,1,71.77361814200614
1,26,9,17,1,1,1,74.40972676920165
34,16,8,15,0,0,1,69.45089502930045
27,31,8,13,0,0,0,66.34279688186491
27,33,8,15,1,0,0,68.55417568766863
28,21,5,10,0,1,1,69.39697509042124
34,21,2,7,1,0,1,65.20604960571254
20,20,4,12,0,0,0,60.31965485091507
32,18,7,19,1,0,1,68.93993718757767
23,20,6,15,0,0,0,61.78798684737852
29,23,2,19,1,0,1,67.01344422452483
23,16,1,13,1,1,1,63.83851354774559
29,17,1,27,0,1,0,58.79293109291174
23,16,10,16,1,0,0,65.932661178599
29,23,9,15,0,0,1,72.55282573264986
12,21,4,23,0,0,0,63.19872720957297
36,23,3,19,0,0,0,60.21759267590159
15,20,6,14,0,0,1,67.79783116170728
34,31,8,11,0,0,0,67.99161594915321
47,25,10,14,1,0,1,73.37397475031634
22,28,5,13,0,0,1,70.18014870564143
44,23,1,8,0,0,1,64.61225667044843
11,25,6,17,0,0,0,65.06765484974444
30,28,11,12,1,1,1,76.62152425719526
22,27,9,12,1,0,1,72.75308636628772
31,25,9,10,0,0,0,66.0694470970844
29,22,6,12,1,0,1,68.10426899956106
32,28,4,24,0,1,0,63.41328807378119
44,22,4,17,0,1,0,62.2589821329907
27,30,4,19,1,0,1,70.46513862746487
15,23,5,24,1,0,0,63.65023538159137
36,25,4,24,1,1,1,71.99786544075589
24,21,6,16,0,0,1,67.95561924584734
24,22,2,20,0,1,1,68.15732645091781
21,21,9,17,0,1,0,65.98591287995923
46,27,6,16,1,1,0,67.8889651872326
14,25,9,20,1,0,1,72.33211018763836
27,27,4,12,1,1,1,70.26512243531725
12,19,7,21,1,0,1,70.38054429492773
35,20,12,19,0,1,1,73.72588544450923
24,19,4,15,1,0,1,68.11441614405996
11,20,7,16,0,1,0,65.23056207547565
8,20,4,9,0,1,1,66.75641997456852
17,27,2,22,1,0,1,66.89747721029028
18,26,8,14,1,1,0,66.19221012046913
12,29,6,12,0,1,0,64.15121725505834
14,28,4,25,1,1,0,65.1395990723994
26,28,3,18,0,1,1,70.42338243381643
22,24,3,10,1,0,1,67.68705640982768
-5,26,7,27,1,1,0,66.62789183999001
31,26,3,16,0,0,0,62.679391742117296
22,22,3,15,0,0,1,65.4863893366787
33,31,3,19,0,0,0,64.83866603788924
24,22,5,19,0,1,0,63.80486764880533
34,30,0,14,1,0,0,60.84482316341947
13,24,8,17,0,0,0,65.3972245507676
27,25,6,13,1,1,0,64.30244996231153
4,30,4,15,0,0,1,70.62305270098548
22,23,6,16,0,1,1,69.21317491143407
31,23,4,12,0,0,1,67.29279072740897
21,24,5,12,0,0,0,63.58601531384049
36,29,8,21,0,0,1,74.04540796548059
25,25,4,20,1,1,0,64.3978897926558
16,21,5,22,1,0,0,62.94018775105423
35,26,0,11,1,1,0,60.207658014203005
25,17,1,13,1,0,0,56.5909099034066
15,23,10,11,0,0,0,65.85443530333335
16,33,8,14,0,1,1,74.48526154607345
18,20,6,16,0,1,0,63.0266323329648
21,27,9,20,0,1,0,68.67435337902334
29,21,5,16,0,1,1,69.26212500300062
15,22,4,10,1,0,0,61.31603372509938
24,24,7,13,1,1,1,73.18654014659609
10,31,3,17,1,1,1,70.61329650200793
14,16,4,13,0,0,1,66.49464525687569
38,19,5,11,1,0,0,61.95178396258311
39,19,7,12,0,1,0,62.64319183283106
25,24,3,15,0,0,0,60.90760196394574
28,19,3,14,1,1,1,66.59796030140784
9,22,5,17,0,0,0,62.167441426538936
17,14,7,13,1,1,0,62.05871123726735
23,15,5,7,1,0,0,60.63253311839672
25,28,7,12,1,0,0,65.1784463458072
16,20,6,12,1,1,0,62.4088052781313
33,21,2,15,0,1,1,66.79600053399791
12,28,8,14,1,1,0,68.31167420795497
10,17,2,11,1,0,0,58.968498776856016
27,17,7,12,1,0,1,70.00934248463719
4,25,2,10,0,0,1,65.77444410563727
15,19,0,17,0,0,0,55.99728354761993
32,22,6,12,0,1,0,65.2872862150791
21,22,5,14,0,0,0,61.882901624188136
26,18,6,14,0,0,1,67.97422076289159
27,20,7,18,0,0,1,67.58494705033728
31,19,9,13,1,1,1,72.69276691678793
24,26,8,19,1,0,0,67.90032450845035
11,28,5,12,1,1,0,64.14092825982063
32,33,4,10,0,0,0,63.92283448793607
26,26,4,20,0,0,0,62.49499860823586
17,17,2,8,0,1,1,63.50286856949987
23,23,5,17,1,1,0,63.32780461491802
16,26,4,17,0,1,1,70.91846163940569
24,27,8,21,1,0,1,72.90982422452758
40,30,7,13,1,0,0,68.09092900649307
22,17,7,13,0,0,1,68.18018037823376
40,24,6,10,0,1,1,71.43862620088957
25,15,7,8,1,0,0,63.048341787190935
37,24,4,12,0,1,0,62.95615978507657
20,20,7,5,0,0,0,62.01979058971385
22,19,3,22,1,1,1,69.22857222055823
31,22,4,14,0,1,1,71.02323160128151
25,33,4,16,1,1,0,64.38717301084702
29,18,3,9,1,1,0,60.01004515357239
25,31,7,17,0,1,1,73.17576147195018
11,22,8,14,0,0,1,69.60157664613591
37,24,4,8,0,0,1,66.02112230643147
29,28,6,25,0,1,1,71.83703811378763
29,26,8,17,1,0,0,67.46934557100106
37,29,5,13,0,0,0,63.74527768210965
5,29,7,11,0,0,0,62.752148499381086
26,23,4,13,1,1,1,68.95368419496008
27,26,4,14,0,0,0,61.82648831090643
21,22,6,18,1,1,0,65.19123538254692
22,19,4,18,1,0,0,63.54332782841127
27,24,6,11,0,0,1,68.73867733801175
32,26,5,16,1,0,1,68.79995164462015
31,23,6,14,1,1,1,70.71790167154872
35,31,4,11,1,0,1,69.1273505267813
27,19,3,5,0,1,1,64.39182662552682
37,25,3,16,1,0,0,62.84688144094137
0,25,5,10,0,0,1,68.94888390269821
14,27,8,8,1,0,0,64.3256918677306
31,15,4,13,1,1,0,61.25450726114423
34,26,7,17,1,1,1,71.20290735708026
14,29,5,17,0,1,1,70.57216355557034
24,26,4,20,1,0,0,63.97466031063311
19,29,5,19,0,0,0,65.17625770922878
27,26,2,13,0,0,1,67.15766692968823
27,27,6,17,0,1,0,64.50386228017814
50,20,10,13,0,1,0,66.34802044927224
21,31,7,12,1,0,1,70.29747589339443
11,24,6,13,0,0,1,71.06268339370081
27,16,6,15,1,0,1,69.35704196937623
33,25,6,14,1,0,0,64.77050903679945
33,25,6,9,0,1,0,62.9912526539318
35,25,6,20,0,0,1,70.44916937819032
36,22,7,9,0,1,0,64.90200699332438
23,23,5,14,0,0,1,66.95840526470973
10,18,4,21,0,1,0,61.795444927498174
15,23,1,17,1,0,0,59.442771304871584
13,22,4,19,0,1,1,68.34539218954288
21,16,3,20,0,0,0,59.144124648549806
25,20,6,13,0,1,1,70.14360976450224
23,23,8,13,0,0,1,69.14125481912414
35,30,5,10,1,1,0,65.79318958875169
20,22,5,23,0,0,0,61.87824467177046
23,22,4,14,0,0,1,67.59224637254877
26,24,4,20,1,0,0,61.70735920095082
28,22,2,14,0,0,0,61.30738928162121
37,16,5,10,0,0,1,65.10004470825815
32,28,8,14,1,0,1,72.7749233057877
37,15,7,17,0,1,1,70.75215060010402
24,23,8,21,0,1,1,70.68210771498468
28,22,4,22,0,0,1,68.43993694475596
21,33,5,21,0,0,1,72.35395220387821
35,20,8,15,1,1,0,67.26191156731552
27,25,7,14,0,0,1,69.11736123525624
29,16,1,12,0,0,0,56.77764747050392
32,19,3,19,1,0,1,67.14696086310433
12,19,4,16,0,0,1,67.13812722738572
36,23,2,12,0,0,0,60.25273409369459
17,26,9,23,0,0,1,73.84369234257036
25,22,4,12,0,1,1,68.77979483124211
9,21,6,18,0,0,1,67.33906775645319
34,23,5,16,1,0,0,62.57989392966154
19,17,7,17,1,1,1,70.20848705264196
29,29,2,13,1,1,0,61.86346807847247
38,22,4,12,1,1,0,62.03382159060335
8,24,7,22,0,1,0,65.41689339420913
26,27,4,19,1,0,0,64.57125017559362
25,25,8,17,0,0,1,72.04801390112193
24,21,7,17,0,1,0,64.48109240584049
14,23,6,19,1,0,0,65.18990177141067
22,22,3,18,1,1,0,63.56336907837944
25,18,6,19,1,0,0,63.55564047149641
33,23,5,17,0,1,0,63.63324546839408
40,28,7,10,0,1,1,69.67532267198352
28,22,4,13,1,0,1,67.80796973284053
27,27,5,13,0,0,1,69.94771368377033
31,23,6,14,0,0,1,70.51262551830392
13,17,1,15,1,1,0,58.492597010094414
12,24,7,17,0,1,0,64.8512908588592
25,16,8,12,0,1,0,62.463552537629
22,21,3,15,0,1,0,61.05142321748751
22,19,4,12,0,0,0,60.474355751408574
32,26,1,19,1,0,1,68.49643548924148
16,22,5,15,0,0,0,60.87876489173487
24,21,5,9,0,0,0,60.139388306976585
28,16,3,21,1,0,0,59.366810037006665
18,21,7,19,1,1,0,64.22045712297437
27,23,4,15,0,1,0,61.22632374982801
28,27,6,10,0,0,0,63.250446432473225
4,29,3,5,0,1,1,67.33507035731836
29,26,5,24,0,1,0,67.25583722064682
42,20,3,14,0,0,1,66.88682773705862
37,21,3,17,1,0,1,68.48524711257512
26,21,2,16,1,1,1,68.03958101558688
10,23,6,14,1,0,0,63.49675865454431
44,15,3,15,0,0,1,65.57461683229802
35,25,3,17,0,0,1,66.28216832464251
21,23,8,19,0,0,0,64.81661381155944
28,23,3,24,0,0,1,68.31951882849529
30,19,9,18,0,0,0,65.68840099368943
12,24,3,19,0,1,1,66.39644042633974
43,25,5,11,0,1,0,63.2706527415984
8,21,5,18,0,0,0,64.30959178730335
17,16,6,26,1,1,1,70.1774665819794
35,23,4,15,0,0,0,62.284651332777706
41,27,5,16,1,1,1,71.36227383551892
23,21,7,15,0,0,1,68.87172875430075
22,26,5,15,0,0,0,64.12819814316944
38,24,5,16,0,1,1,67.79041289592827
23,21,8,16,1,1,1,70.34894222739845
24,20,2,9,1,0,1,65.89071672308432
22,19,11,18,0,0,0,63.40410421323926
12,19,4,23,0,0,1,67.17579456637152
22,25,5,13,1,0,0,61.57701058539031
36,25,11,13,1,1,0,69.44576065988045
22,23,7,20,0,0,1,70.1816938273854
20,14,1,17,0,1,1,63.46939209507091
25,23,10,23,0,0,0,67.4618033341248
31,24,3,16,0,0,0,59.935413524210695
23,35,7,19,1,1,1,74.07608110973933
30,25,4,17,0,1,0,62.60076039172018
24,24,11,18,1,0,1,74.67517200655968
31,27,9,15,0,1,0,65.53624615524423
-5,25,7,12,0,1,0,66.54520064376221
29,20,4,15,1,0,1,67.90923835722194
30,24,11,8,0,1,1,77.44460730267458
17,26,4,18,1,1,1,69.70889349801318
25,24,3,19,1,0,1,68.00107845784575
10,22,3,13,0,1,1,69.39463053826763
40,25,2,16,0,1,1,67.53576637138781
40,23,6,16,1,1,1,71.22870110176103
26,27,6,21,0,0,1,69.3954025309139
57,28,5,19,1,0,0,65.53823981169704
18,34,4,18,1,0,0,64.49940749232184
40,28,5,18,0,1,1,73.09055514982978
16,26,5,17,0,1,1,70.65586774921908
31,21,3,22,0,1,1,68.45611096282983
38,26,5,16,0,1,0,64.09978723811204
30,17,6,19,1,1,1,71.64526645596494
23,29,6,14,0,0,0,65.06904711239375
15,32,8,12,0,0,0,68.21008117946741
32,22,2,17,1,1,1,68.5580883959506
36,33,7,14,0,1,0,66.37485755047675
6,31,8,8,1,0,1,72.87621443417152
41,24,8,6,0,0,1,70.70977990274538
44,23,7,17,1,0,0,64.57125412954778
34,22,8,21,1,0,0,66.41135404099079
19,23,6,9,0,0,1,67.26742672685039
37,31,3,20,0,0,0,63.96582724325274
30,18,5,9,0,1,1,66.73757916594806
22,24,6,16,0,0,0,64.34399262208784
15,22,3,13,0,1,1,67.56771360875966
25,25,6,15,1,0,1,70.03819686374516
24,25,7,15,0,0,0,64.50331071762565
5,14,5,8,0,1,1,66.46207259451857
45,24,7,14,0,1,1,72.59820569937173
21,21,7,20,1,0,1,70.494270458066
17,18,8,22,0,0,0,64.24860452989465
13,20,4,16,0,0,1,68.43295461178259
23,24,7,15,1,1,0,65.56384506771815
5,23,0,19,0,0,0,57.044937340243166
7,22,2,16,1,0,1,66.91124871885914
10,24,5,14,0,1,1,68.91206914187681
26,26,4,22,1,1,1,71.2658249434308
5,24,8,14,1,1,1,72.38770165469259
24,20,5,20,1,0,1,68.93401122005619
14,26,4,19,0,1,0,63.58690076455055
13,27,5,23,1,0,1,70.5170072125575
34,20,8,17,0,1,1,72.07985913353657
24,21,7,13,0,0,1,69.78694139859677
30,19,5,15,0,0,1,67.27916070988222
18,21,10,18,1,1,0,69.27946716904194
18,22,4,19,0,1,0,63.022080285636015
20,20,7,19,1,0,0,64.56441063322099
17,27,2,14,0,0,0,60.15607189099488
35,19,8,16,1,0,0,65.12349006530862
21,22,5,16,0,1,0,63.65962867736908
44,18,3,11,1,0,0,61.312844549528265
33,18,4,15,1,0,1,67.18658159477893
33,25,5,19,0,1,1,71.28660820772674
36,23,7,17,1,1,1,71.71669002801605
21,19,8,11,1,1,1,71.93716738132211
19,22,6,15,1,1,1,71.42888008114318
14,22,2,17,1,1,1,66.02852790589395
46,28,4,17,1,0,1,70.60354062250964
30,24,8,12,0,1,1,70.5797167335369
28,27,9,19,1,0,1,73.3031231859583
13,23,8,22,0,0,1,72.93237418312495
35,28,4,10,0,0,1,69.96928937550568
35,21,9,14,0,1,0,66.86427064151047
27,20,6,8,0,0,0,62.17248566848014
30,20,4,16,0,0,1,66.79623573256353
19,20,7,23,1,1,1,72.65215678010037
16,24,7,20,1,1,1,72.12539919963989
28,26,5,11,0,1,1,70.49178691671366
39,19,7,19,1,0,0,63.89888363003181
28,23,4,10,0,0,0,62.1062121010532
21,19,3,18,0,0,0,60.54276258293012
-1,30,6,18,1,0,1,72.10500567220946
39,25,6,17,0,1,0,66.12339560455914
36,21,7,16,0,1,1,70.5626064056502
30,24,6,24,0,0,0,64.37802045886157
31,34,7,14,0,1,1,74.06054571986847
18,27,7,19,0,0,1,70.57101727645293
46,25,6,10,1,1,1,72.10759596881276
43,29,1,11,1,1,0,60.49604624063393
19,20,5,6,0,0,1,66.36332882964778
47,19,7,15,1,0,0,65.77255957659571
22,22,4,17,0,0,0,61.33406482751422
29,24,3,14,0,0,1,69.69170254062016
21,24,7,16,0,0,0,65.63399789104228
13,23,4,13,0,1,1,68.6491685648129
21,24,8,16,0,0,0,63.89335576405139
9,31,4,14,1,0,1,70.66362031274424
27,18,5,15,0,0,1,67.28490353827807
40,35,6,15,0,0,0,66.16139384865136
32,25,4,9,0,0,0,62.44473669306786
6,20,2,25,0,1,0,60.669425224153606
18,27,6,15,1,0,0,65.91929839478195
21,22,5,25,0,0,1,70.07505943401716
44,26,6,15,1,1,1,71.80785906922057
18,23,7,7,1,0,0,64.66927590524669
24,26,7,23,1,1,0,66.73226437749666
28,28,6,19,0,1,1,70.62814196979284
19,23,8,14,1,1,1,72.22836361502335
39,26,8,16,1,1,1,74.47766868139234
24,27,12,15,0,0,0,70.08569443001358
31,22,6,7,1,0,1,69.66356461554984
26,27,5,14,1,0,1,69.67999764509993
49,27,6,20,0,1,0,66.66049957502354
21,24,4,12,1,1,1,68.63787353213483
19,21,4,13,1,1,1,69.203228241169
15,21,1,0,0,1,1,65.89755983315754
25,21,9,18,0,0,0,66.68552967732373
35,26,6,14,1,1,1,72.0095637325634
23,26,6,17,0,0,1,71.02968035826109
32,17,8,19,1,0,1,70.33421833020466
22,22,6,14,0,1,0,63.86157751905496
37,30,6,12,0,1,0,65.97473154809026
7,25,8,15,0,1,0,67.99166368598482
