student_age,study_hours_per_week,gender,low_income_status,special_education_status,participation_in_remedial_classes,end_of_year_grades
44,32,1,1,1,1,65.32890270372509
35,13,1,1,1,0,57.21668914960326
32,21,0,1,1,0,58.73238309885578
43,6,1,1,1,0,53.5007212806722
50,24,1,0,0,0,58.34602555553801
38,14,1,0,1,1,57.94661191988826
37,27,1,1,0,0,60.06743120490832
38,19,0,0,1,0,55.42588037339932
33,18,1,0,1,1,59.33267931190756
17,26,1,1,1,0,61.430916056546685
23,24,1,1,1,0,60.83996936157856
35,22,1,0,0,0,58.18691304388481
32,25,0,1,0,0,60.1955034016412
28,24,0,1,0,0,59.72453120840946
31,20,1,0,1,0,57.60066776936313
16,10,0,0,1,1,55.54475812381553
33,27,0,1,1,0,60.01739899476795
36,11,1,0,1,1,56.255008564738695
32,22,0,0,0,0,59.75388930839386
34,11,1,0,1,1,57.16116733337328
29,16,1,1,1,0,56.166294566297
42,14,0,0,0,1,56.97360284577593
35,18,0,1,1,1,61.74920590141501
27,21,0,0,0,1,62.02310658734904
23,17,1,0,0,1,59.5255414928678
31,20,0,1,0,0,58.03875079354672
33,29,1,1,0,0,61.3156644429506
27,18,1,0,0,0,55.67019573221064
30,27,0,1,0,0,62.44760330719944
30,13,1,1,1,0,55.02766177565019
38,29,0,1,1,0,62.21334904164491
34,34,1,1,0,0,63.4733338713271
25,10,1,1,1,0,53.567599313414505
36,15,1,1,1,1,57.63196628694328
20,16,1,1,1,1,58.76032137261737
23,14,0,1,0,0,56.17916177551974
19,19,1,1,0,1,59.94113997784797
29,14,0,1,0,0,54.10869106964839
33,12,0,1,0,0,57.18668551169452
28,19,1,0,1,1,59.71834230367841
20,12,1,0,1,1,57.66494634988802
22,12,0,0,0,1,57.21107108231621
27,21,0,1,1,1,60.79786899878301
36,22,0,1,0,0,61.60562003546298
32,23,1,1,0,1,61.88449239038103
36,3,0,1,0,0,51.84656322020036
21,19,1,1,1,1,59.68440801885715
29,17,1,0,1,0,57.00550894990697
18,14,1,1,1,0,56.50763302832499
30,18,1,0,1,1,58.974718562286384
36,19,1,1,1,1,60.5215522461086
33,14,0,0,0,0,56.521759855264925
33,13,0,0,0,0,55.04087775175532
10,13,0,1,0,0,56.870679704322086
38,19,0,0,0,0,56.70829487126917
36,15,1,0,1,1,58.39787752685339
40,18,1,1,0,1,61.15085902659976
28,25,1,1,0,1,60.90640110963831
25,20,0,0,0,0,58.49642959804176
30,10,0,0,0,1,56.21322686993113
45,25,1,1,0,1,63.94360002675774
37,21,1,1,0,0,56.85758889254822
40,18,0,1,0,0,56.971521877709975
31,22,1,0,0,1,60.92188287005601
36,19,1,1,1,0,56.58764270427793
25,24,1,0,1,1,61.16053527977846
29,19,1,1,1,1,59.83073751583067
28,21,0,1,1,0,58.14517503532639
22,19,0,1,0,0,57.36713574014684
31,18,1,0,0,1,60.58165517975245
30,19,1,1,0,0,58.064423553478
22,16,1,0,1,1,58.66223203475531
18,15,1,0,0,0,54.231511942556544
39,1,1,1,0,0,49.637104909359685
21,16,0,1,0,0,56.2845796895238
37,30,1,1,1,0,62.10914099321125
20,25,1,1,1,0,59.69895310312676
35,21,1,1,1,1,59.9614052766653
39,19,0,1,1,1,60.33797784628696
20,18,1,0,0,1,62.44533624601342
21,24,1,0,1,0,60.884582905889005
30,19,1,0,0,1,59.80893259046551
26,34,1,1,0,0,62.41134843784454
37,12,0,1,1,0,54.95434196936623
21,22,0,0,1,1,63.00367238761768
38,26,1,1,0,1,62.55804819226691
28,19,1,1,0,1,59.70475675805359
31,26,0,1,0,1,63.54207060426841
33,15,1,0,1,1,57.30940283900776
25,39,0,0,1,0,64.57132924382621
20,27,0,0,1,0,61.00078535908845
34,23,1,1,1,1,61.41086271675692
25,17,0,1,1,1,59.80274446891149
19,18,1,1,0,0,58.041547209912
42,18,1,0,0,1,60.1994093986729
38,26,1,1,0,1,63.03077715772062
45,27,1,1,1,0,61.16128759077965
20,24,0,0,1,0,58.10139356695785
27,18,0,0,0,0,59.24473838477671
31,28,1,1,1,0,61.739540210700405
29,25,0,0,1,0,61.54967706461867
7,18,0,0,1,0,56.99780926287482
34,8,1,0,1,1,55.230743567072174
39,27,1,1,1,0,60.45139192073525
23,19,1,1,1,0,56.30766793714147
30,14,0,1,1,0,56.20817903148425
24,44,0,1,0,0,69.08239945384598
17,22,0,0,0,1,61.48419463174598
30,20,1,0,0,1,60.97948693916305
26,9,0,1,1,0,54.01662388613117
28,14,0,1,1,1,58.06821303997298
18,20,0,1,0,0,58.99247518428448
19,11,0,1,1,0,55.46599301879672
28,19,1,1,1,0,58.96766419968844
47,20,1,0,1,1,59.214835508703736
27,26,0,1,1,0,60.45006330755445
21,30,0,1,1,0,63.570868803025895
9,19,0,0,0,0,58.71111972674783
26,10,1,1,1,1,57.56567695196947
40,23,1,0,1,1,60.20804616155224
32,19,1,1,0,0,57.60436544887571
22,18,0,0,1,0,57.33778979803315
39,14,1,0,1,1,58.89533890540729
30,30,0,1,1,0,63.59832650750237
34,22,0,1,0,1,61.81553399291172
25,22,1,1,1,1,62.55345828379572
42,14,1,1,0,1,58.83565408986598
31,21,1,1,1,0,60.62280383636339
20,31,1,1,1,0,60.68570633168788
39,20,1,0,0,1,58.057699205843406
8,11,1,1,1,1,56.43385437984461
28,13,0,1,0,0,56.407235765064165
45,22,1,0,1,1,59.30242434232039
26,20,1,0,1,1,60.5820594992936
21,26,1,0,0,0,59.13792596801349
24,22,1,1,1,0,57.47751992674677
33,16,1,1,1,1,58.80969390918817
34,22,1,0,0,0,58.068991654686265
34,21,1,1,1,1,62.81550492186672
23,19,0,0,1,1,58.19043640939163
27,17,1,1,1,1,59.61154062466825
41,22,0,1,0,1,62.18828211978347
34,17,0,1,0,1,59.308923137401415
20,16,1,0,0,1,57.88883470465633
16,27,1,0,0,0,61.74558316773082
28,12,0,0,1,1,57.54786091565781
29,16,1,1,1,1,58.68031333130547
32,13,0,1,0,1,57.86187717556646
28,6,1,1,1,0,52.7495012057402
31,20,1,1,0,0,58.08819220168958
37,19,1,1,0,1,61.86446164327247
18,22,0,1,0,0,58.140253812566655
22,24,1,0,1,1,62.50043641572549
26,29,0,1,1,0,62.18813390796478
42,18,1,1,1,0,55.23444019433139
34,28,1,1,1,1,64.32961344436964
33,18,0,0,0,1,59.80980025197266
40,19,0,0,1,1,58.74898687320366
22,21,0,0,0,1,62.12200446487876
27,27,1,0,1,1,63.886893741022014
36,16,1,1,0,0,56.19207710545424
18,26,1,1,0,1,61.41992190378234
31,19,1,1,0,0,58.0550150639719
29,12,1,0,1,1,55.20482060459778
22,13,0,0,0,1,58.02440602110405
16,12,1,0,0,0,53.43328716066343
30,20,0,0,0,0,58.50834223395872
24,24,0,1,1,0,58.34729428569637
25,23,1,1,1,0,57.95073551140672
12,25,1,1,0,1,60.410900035560445
37,14,1,0,0,1,57.17873621376967
24,30,1,1,0,1,65.13003289368977
18,11,1,0,0,0,54.72714142538459
32,10,0,1,1,0,54.63407181067054
24,31,1,0,0,0,61.32129860041577
24,16,0,1,1,0,58.767228070077465
28,20,0,1,1,0,58.36345774040267
41,18,0,1,1,1,60.86790934268105
25,20,0,1,0,0,58.86432031230783
33,28,1,1,1,0,62.90039732956464
16,9,1,0,1,1,55.79998145633574
35,15,1,1,0,1,57.854301699587005
33,28,0,0,0,0,61.3379646228455
23,21,1,0,1,1,61.56075693540245
39,15,1,1,1,1,56.905500523151154
26,18,1,1,1,0,57.1951808930278
18,24,1,1,0,1,62.26821600825731
29,13,1,0,1,0,56.22140094609647
33,10,0,0,1,1,55.30055142074078
26,10,0,1,1,1,57.56318740183151
31,17,1,1,1,0,58.26531704523582
22,11,0,1,1,1,57.132968101436994
24,24,0,1,0,1,63.24212981317924
48,21,1,1,1,0,56.97038059560615
52,16,1,1,1,1,58.29440517704612
36,30,1,1,1,1,65.48504100824101
35,17,1,0,1,0,55.70099548767774
32,32,0,1,1,0,63.14712263077511
29,15,1,1,1,1,59.30369159617371
30,23,1,0,1,1,58.4722715478504
39,14,1,0,0,1,58.24536324481704
37,31,1,1,0,1,65.48401670301254
25,19,0,0,0,1,59.86713622158823
36,12,1,0,0,1,56.93456233246365
26,15,0,0,0,1,57.24363366355921
32,22,1,1,0,0,59.92704372699325
20,18,1,1,0,1,61.93244657966397
27,14,0,1,0,1,58.57575140256104
31,24,1,0,0,1,61.80113681796574
23,9,0,0,1,0,53.38541102855909
24,10,0,0,0,0,53.76135577615402
31,35,1,0,0,0,64.75571944778181
24,25,1,1,0,0,60.79243943930152
38,18,0,0,1,1,59.38540315140762
30,18,0,0,1,0,57.74152219583365
12,23,1,0,1,0,59.61175481507006
34,21,0,1,1,0,59.47137382807024
34,27,1,0,1,1,62.72908822056596
28,19,1,0,1,1,59.52344450103075
38,24,1,1,0,0,58.413222424900106
44,13,0,0,1,1,58.08421436742325
31,28,1,0,1,0,60.799280281025545
30,14,1,1,1,0,56.03281462776371
24,33,0,0,0,0,65.42308810744544
24,22,0,0,1,1,60.56666348848543
26,16,1,1,1,0,57.58138758377368
35,15,0,1,1,0,55.91444412403014
11,27,1,1,1,0,61.676882872507946
27,26,1,1,1,1,63.11164833597234
27,25,1,1,1,0,60.074578264868
55,17,1,0,1,1,57.690693324735605
43,14,1,1,0,1,57.2659869284597
30,16,0,0,0,0,55.05728117283221
37,6,1,1,0,0,52.85491054031922
28,21,0,0,0,0,59.49998401083628
31,10,0,1,1,1,56.67034865115571
23,25,1,1,1,0,60.71167891979426
32,12,0,1,1,1,58.87834770196974
31,26,1,0,1,0,61.0048231517594
32,14,1,1,1,1,58.42628231478311
33,27,1,1,1,0,59.609223533709525
34,15,0,1,0,0,56.72600649247855
33,32,1,0,0,0,62.34482828417158
32,20,0,0,1,1,60.060870555757774
48,30,0,1,1,0,62.72775302958709
33,24,0,0,1,0,60.22741544451232
39,29,0,0,1,1,62.58467878858785
36,17,1,1,1,1,59.985034003127495
29,19,1,1,0,1,58.32989380892116
28,12,0,0,1,0,52.95740050753936
24,31,1,1,1,1,68.11140634974139
27,19,1,1,0,0,58.72126953112448
34,20,0,0,0,1,61.62088806182896
43,5,0,0,1,1,54.12114621080878
25,24,1,1,1,0,61.5434032127184
23,25,1,1,0,0,60.66203295897108
25,18,1,1,1,0,56.70644214060415
27,23,0,1,1,0,61.057203144113416
16,23,0,0,0,0,59.9168988684515
36,21,1,1,0,0,60.74921854748408
19,28,1,1,1,0,61.05782061951722
18,11,0,1,0,0,52.6445685761418
29,18,0,1,0,0,57.34093682967413
30,28,1,0,0,1,63.633953040826846
24,13,0,0,1,1,56.35440738930245
37,17,0,1,1,0,56.79611001870112
35,17,0,1,1,0,56.98360469766249
22,11,0,1,1,1,58.19533100241244
20,22,0,0,0,0,58.37152327611437
27,8,1,1,0,1,55.62705712250537
28,17,1,1,0,1,60.7951271717019
15,16,1,1,1,1,59.615677488989206
27,15,1,0,1,0,55.28651751589192
21,26,1,0,1,1,62.93023283752498
14,22,1,0,1,0,59.305738174438936
23,19,1,1,1,0,58.83998071903254
23,26,1,1,1,0,59.827335163487845
29,23,1,1,1,0,59.38811512825805
24,13,0,1,1,1,58.16913368785346
34,19,0,1,0,0,59.37077156241122
37,26,1,1,0,0,61.78146015286256
20,12,0,1,0,0,54.47104192857899
31,16,0,0,1,1,59.98629842390582
26,25,0,0,1,1,62.86491723063847
17,13,1,1,1,0,55.29500761064534
29,25,1,0,1,1,61.68586987077493
33,20,0,1,0,0,57.60695107720804
15,17,0,0,0,1,60.8608037782546
34,20,1,1,1,1,61.26042218664037
10,12,0,0,1,0,55.593210755636726
31,27,1,1,1,0,61.99813548584627
30,15,1,0,1,1,57.31768678358264
20,30,1,1,1,0,63.05910329426007
25,35,0,0,0,0,63.33741487058605
29,22,1,0,0,0,58.29968222322367
19,8,1,1,1,1,54.82233290516727
31,5,1,1,1,1,55.06177428370396
40,19,0,1,0,1,58.913808676751856
25,21,0,1,0,0,59.73250505627473
32,22,0,0,1,0,57.91096522162318
37,16,0,0,0,1,60.50195248863184
30,13,1,1,1,1,57.38336037975196
25,24,1,0,0,1,62.60336708908549
34,22,0,0,1,0,58.88798773522866
21,17,0,1,0,1,60.97229627584231
27,25,1,1,1,0,60.41107038130057
18,20,0,0,1,1,59.83194553884292
47,12,1,1,0,1,55.675216905087616
19,25,1,0,1,1,62.65659068989996
35,21,0,0,0,0,60.57231447416717
35,29,0,1,1,1,62.40574142284434
23,20,0,1,0,0,58.80061784196232
35,22,1,0,0,1,59.68244691934126
15,13,1,0,0,1,56.85198636667424
20,19,1,0,1,0,58.55426702199824
21,14,1,1,1,0,53.08450707536216
45,28,0,1,1,0,59.96979383040977
30,10,1,1,0,0,52.95148988176123
35,14,1,1,0,0,55.58313545285259
31,17,0,0,1,1,59.15044694396614
33,20,0,1,1,0,57.65139189165498
36,20,1,0,1,1,59.40661077859529
43,23,0,1,1,1,63.074523679650085
38,31,0,0,0,1,65.3332825686389
49,19,1,1,1,1,59.12000206562436
16,17,1,1,0,0,56.55515344243699
35,27,0,0,1,1,64.36700924443441
34,30,0,0,1,1,63.41705959197207
29,17,1,1,0,0,57.082106977180935
17,8,1,1,1,0,51.7548746908621
28,26,1,1,0,0,61.656693606059534
21,14,0,0,0,0,55.4937234947621
47,23,1,1,1,1,60.717385509582805
30,13,1,0,1,1,58.95606409016988
10,21,1,1,0,0,58.153578019403874
41,25,0,0,0,1,60.98314779292851
24,18,1,1,1,0,58.106457242579545
32,18,1,1,1,1,59.1568113745419
35,23,1,1,1,0,57.96163337478037
21,14,1,1,0,0,54.11594611339536
14,18,1,0,1,0,56.93363348350514
30,23,0,1,1,0,59.51816729675837
32,17,1,0,1,1,58.29895074226712
34,25,1,1,1,1,61.53768449615516
42,15,0,0,1,1,57.61119309573367
16,8,0,1,0,0,54.74508220938049
38,22,1,1,1,0,58.56889041219199
19,19,1,1,1,1,59.90490096177234
39,22,1,0,1,1,60.94090582503978
29,17,1,1,1,0,54.836663025291855
32,24,1,0,1,1,61.57532044279548
37,14,1,0,1,1,53.77308211086374
46,28,1,1,1,0,60.71357830199617
25,11,1,0,1,0,53.57677828330568
30,15,0,1,0,1,59.0825772723372
36,26,1,1,0,1,63.49243980285971
29,23,1,0,1,0,57.463058535197845
38,19,1,1,0,1,58.4060619781647
20,13,0,0,0,1,59.897509750020106
36,15,1,0,1,1,58.078849920338776
28,14,1,1,1,1,58.84647175802754
30,20,1,1,1,1,59.70748751225537
29,20,1,0,1,1,61.651048216196834
26,27,1,1,1,0,61.17544336533508
46,15,1,1,0,1,58.27421917404128
26,13,0,1,0,1,59.564838153838274
37,24,1,1,0,1,62.73362973718959
25,19,0,1,1,1,62.77826627753926
28,19,1,0,1,0,57.46324397005464
29,15,1,0,1,1,57.72326521209144
30,19,1,1,0,0,57.58721703251145
22,23,0,0,0,0,58.036456679578414
28,19,0,0,0,0,56.69722163159822
33,22,1,1,0,0,57.611768776132834
36,32,1,1,1,0,61.75203459213021
34,34,0,0,0,1,69.46708410457343
23,18,0,0,1,1,60.424391019571694
32,16,1,0,1,1,58.33681385782789
32,37,0,1,1,0,66.86913719649405
39,9,0,1,0,1,55.44156682307421
23,18,1,0,1,1,60.22660826888176
37,18,1,0,0,0,58.35116804914807
33,24,1,1,1,0,59.89458750006438
29,14,1,0,0,1,58.92886009121394
23,19,1,0,1,0,58.59333550180596
25,23,1,0,1,1,60.09655739820861
33,18,1,1,1,1,61.15326846606474
36,19,1,0,0,0,57.65244602514284
28,25,1,1,1,0,60.19120230804987
35,19,1,1,1,1,61.107478815932986
37,26,1,1,1,0,60.71098006161117
31,14,0,1,0,1,56.91906460992433
27,34,1,1,0,0,64.79921015633427
46,26,1,1,1,1,62.21503526213912
46,28,1,1,1,1,63.021474148656985
38,19,0,1,1,0,57.90521383058767
32,27,1,1,1,0,60.09639684695455
41,22,0,1,1,0,58.86086377140385
29,19,0,1,1,0,56.953297279652936
23,15,0,1,1,1,57.67626946077675
40,24,0,0,0,1,61.28788786074297
20,29,1,0,1,0,62.41121132500638
27,29,1,1,1,0,61.50681996977386
20,19,0,0,1,0,57.04371186667934
16,13,0,0,0,1,58.06158134427933
39,25,0,1,1,0,58.71354270263153
44,21,1,0,1,1,60.19260568000729
37,29,1,1,0,0,59.69338852190214
35,23,1,1,1,0,60.11134245685961
40,17,0,1,1,0,58.78188370657436
20,20,1,0,0,0,57.15512837402636
36,17,0,0,1,1,57.80210488502512
33,17,0,0,0,1,58.502716047026745
47,13,1,1,1,1,58.55574862218231
28,13,1,1,0,1,58.65073139047794
26,16,1,1,1,1,58.21891495382365
30,25,1,1,0,1,62.652450136222924
30,25,1,1,1,0,59.61654453431064
30,22,1,0,1,1,61.650454409533936
20,12,1,1,0,1,57.47806996751268
26,10,1,1,0,1,55.34874128319007
39,23,0,1,0,0,61.05157620000487
33,19,1,1,0,1,60.613060029501
33,25,1,0,1,1,62.3834395958062
30,27,0,1,1,0,62.12014770901259
32,21,1,0,1,0,56.82175014193038
37,12,1,0,0,0,53.57452412914348
31,10,0,1,1,0,54.53195752097503
35,25,0,1,1,1,63.68299139629382
35,11,1,1,1,1,56.51275028446578
26,18,0,1,0,0,58.95970674918935
22,9,0,1,1,1,58.294211183357696
34,17,1,0,0,1,57.34742409210801
42,13,0,0,0,0,55.88325223969322
38,20,1,1,1,1,60.6091882058813
42,13,0,0,1,0,54.04306847997599
36,23,1,1,1,1,61.262100828546686
26,20,0,1,0,0,59.561029442853126
28,31,1,0,1,1,65.89935284468719
30,22,0,1,0,0,61.40221028897314
25,16,1,1,0,0,56.55326553869907
42,15,1,1,1,1,59.24635923607445
39,30,1,1,1,1,64.4746662877888
21,9,1,1,0,0,54.69902299736658
34,9,0,1,1,0,52.98408995459763
35,-2,0,1,1,1,51.75086674774501
20,8,1,1,1,0,53.85948349651894
28,18,0,0,1,1,58.064049904069165
32,15,1,1,0,1,57.672233679085245
35,20,0,1,0,0,60.62956855393286
40,19,1,0,1,1,59.70392357819555
37,22,0,0,1,0,58.80919635487909
26,21,1,1,1,1,61.317796688150125
32,19,0,0,1,0,60.18582318042526
