education_years,job_tenure_years,has_professional_certificate,union_member,invited_to_job_training,attended_job_training,annual_wage_thousand_usd
0,3,1,1,0,1,58.86096161635916
4,3,0,0,1,1,58.88803484913789
2,3,0,1,1,1,58.4659424732301
4,2,0,0,0,1,59.05262557498987
3,2,0,1,0,0,56.85145008284743
1,2,0,0,1,1,58.70206917578068
2,2,0,1,1,0,57.1074756177213
5,2,0,0,1,0,54.38026929454241
1,3,1,0,1,1,59.97994770067971
6,2,1,0,0,0,54.59936631968653
3,2,1,1,1,1,60.91174525478328
4,2,1,1,0,0,55.09731080306745
10,3,1,1,0,1,57.40444319450859
4,3,1,0,1,0,54.732667327068526
0,2,1,0,1,1,59.69493458372713
-1,2,0,1,1,1,61.0852320121007
5,2,0,0,1,0,56.01305931515809
8,3,0,0,0,0,52.31859342724786
1,3,1,0,1,0,55.51826483422773
1,3,0,0,1,0,55.46755838711437
5,3,1,0,1,1,57.97082379553348
2,3,0,0,1,1,58.11923178653639
5,3,1,1,0,1,58.81544300430936
4,2,1,0,0,0,54.913673589065496
4,2,0,1,1,1,59.70328838895183
4,3,0,0,0,1,57.800553930265856
4,2,1,0,1,1,58.02304362184344
-1,2,1,0,0,1,59.05099932981021
2,3,0,1,1,0,56.58135032298743
4,1,1,1,1,0,55.49226682693344
6,2,1,1,0,0,56.34390328838605
2,3,0,1,0,0,55.99711918994928
4,2,1,0,1,1,57.089301267521655
3,3,0,1,1,0,58.51840450254381
8,2,1,0,0,1,55.80281357658835
0,3,0,0,0,0,55.0089955615895
2,3,1,0,1,1,59.09141232261884
1,3,0,0,1,0,56.89606245198103
3,3,1,0,1,0,54.35026831880118
7,4,0,0,1,1,56.702792063558654
5,2,1,1,0,1,58.10661361575258
4,3,0,1,0,0,55.8140693753428
3,2,1,0,0,1,58.13526394856787
4,2,0,0,0,0,56.080573700620704
3,2,1,1,0,0,56.18391879704261
4,3,1,1,0,0,56.09550812821535
4,2,0,1,1,1,60.46243101933708
2,2,0,1,1,0,56.00535187453384
8,1,1,0,0,0,55.23486857313512
6,2,1,0,1,0,53.94374505828549
5,2,1,0,1,0,56.957287474991695
2,2,1,1,1,0,55.5742962053651
1,3,1,1,1,0,56.26203552810309
5,2,1,1,1,0,55.37665149810147
5,3,1,1,0,1,58.59160041835707
4,2,1,0,0,1,58.396808804586605
6,2,1,0,1,1,58.22698059327108
2,3,0,1,0,0,55.65130132586922
5,3,0,0,0,0,54.90852427457141
1,3,0,0,1,1,58.366651456135536
9,2,0,0,1,1,58.22764142257272
3,2,0,0,1,1,59.18220104684818
4,4,0,0,1,1,57.9905201859062
4,3,1,0,1,0,55.45486582948573
5,2,1,1,1,0,55.91742384251474
2,4,1,1,1,0,58.2868873544798
3,3,0,0,1,0,56.2434241116034
3,3,1,0,0,0,56.68773621733067
5,3,0,1,0,1,58.78369854674952
0,3,0,1,1,0,56.59831139392264
5,3,1,0,1,0,54.38814909652025
0,3,1,0,1,0,58.6519324744755
4,2,0,1,0,0,54.70032196817992
7,2,0,1,0,1,59.54944352311241
5,3,0,1,1,1,57.775733688474425
5,2,1,0,1,1,57.8703933257423
2,2,0,1,0,0,57.1481181435356
6,3,0,1,1,0,54.93293456096343
4,2,1,0,1,1,56.93376271880621
2,3,0,1,1,0,56.81510779992514
3,3,0,1,1,0,56.505369731693314
3,3,0,1,1,0,55.88490194526267
3,2,1,0,1,1,58.15635006328121
5,2,0,1,1,0,57.10149948023436
0,1,0,1,1,0,56.80573581832564
3,3,0,0,1,1,57.239952897277526
2,2,0,1,1,0,56.90819659187905
5,2,0,1,0,1,59.066590215650585
0,2,0,1,1,0,57.42146437751677
5,3,0,0,1,0,53.9759610388997
1,3,1,1,1,0,56.81404544002788
6,3,0,1,0,1,58.41956923852452
6,3,0,1,1,1,56.99997962814817
3,2,0,1,1,1,57.992706777160336
6,3,1,0,1,1,59.92698401022209
1,2,1,1,0,0,58.50334387934367
7,3,0,1,1,1,58.58842467739724
2,2,1,0,1,0,55.81527877629832
4,2,0,1,0,0,55.009081949303344
5,3,1,0,1,0,56.86855799040307
5,3,0,1,0,1,58.593096586637415
2,3,0,0,1,1,56.42234769801089
5,2,1,1,0,0,55.00956858279323
6,2,0,0,1,1,56.64119041211912
7,2,0,1,1,1,58.77943815660061
3,2,0,0,0,0,53.03701722691843
4,3,1,0,1,1,59.11163500727234
1,2,1,1,0,0,57.40197319605704
6,3,0,1,1,1,56.959677986206536
1,3,0,1,0,1,58.93597085560975
7,3,0,0,1,1,59.762458257815325
5,2,0,0,1,1,59.35970453994536
1,3,0,0,1,0,56.1203573551323
0,2,0,1,1,0,57.99615193968243
8,3,1,0,1,1,56.9517966569427
8,2,1,1,0,1,59.69115062851078
7,3,0,0,0,0,55.13780894019319
2,3,0,0,1,1,58.05032540710401
2,1,0,1,1,1,60.124665140776784
2,2,0,1,0,0,57.10569968825635
6,3,0,1,0,1,59.94650258151376
4,3,0,0,1,1,57.65243035317267
0,3,1,0,0,0,57.34579396066809
4,2,1,1,1,1,59.050768487858754
5,2,0,1,1,1,59.183390996499135
0,3,0,0,1,1,58.872529153933314
0,3,1,0,1,0,55.333035914621895
2,2,0,0,1,1,57.858999125376
6,3,0,1,1,1,59.11175183597094
3,2,0,0,1,1,58.58878334689141
3,3,0,0,1,0,53.93553451620923
2,3,1,1,0,0,54.46393976170443
5,3,1,0,1,0,55.61088854274813
3,3,1,0,1,1,58.4829156231085
5,2,1,1,0,1,58.89025362864798
4,2,1,1,1,0,56.54534772012062
7,2,0,0,1,0,56.07856495557196
3,2,0,0,0,1,59.0223524522457
3,3,0,1,0,1,59.0664647398642
4,2,1,1,1,1,56.880974757433975
2,2,1,1,1,0,57.04209845191172
3,2,0,1,0,0,57.34230040946648
5,3,1,0,0,1,56.95273514922025
3,3,1,1,1,0,56.63523788946357
7,4,1,1,1,1,58.58332297861869
5,3,0,0,1,1,58.15187085176171
5,2,0,0,0,1,60.145901927807046
9,2,0,0,1,1,55.1976018843965
1,3,1,0,1,1,58.04787911735459
0,2,0,0,1,0,55.22509864006239
0,3,0,1,1,0,56.05211133557728
0,2,0,1,1,0,57.48360237380047
4,3,1,1,0,0,56.47671384667916
3,2,0,0,1,0,55.212189867042895
2,2,1,0,1,1,59.0170959159911
8,3,1,0,0,0,54.42960529883862
4,2,0,1,1,1,58.94382502063232
2,2,1,0,1,1,58.56402210777618
1,3,1,1,1,0,56.18999863970449
1,3,1,1,1,0,57.858174827734565
1,2,0,0,0,1,58.98603710925303
1,3,0,1,1,0,57.351226689765866
3,2,1,1,1,1,60.84889921178439
2,3,1,0,0,1,59.4015665089776
4,3,0,1,1,0,56.26400908303355
5,1,0,0,0,0,55.88501597455269
3,3,1,1,0,1,58.52038445111224
4,2,0,1,1,0,55.56066047707443
5,3,1,0,1,1,58.62408382381727
3,2,1,0,1,1,58.356656480104654
2,2,0,0,0,1,58.15651857156276
4,2,1,0,0,1,57.0926882645924
4,3,0,1,1,0,55.69766070626635
-1,3,1,0,0,0,57.02702893547563
2,2,1,0,0,0,55.318574545203184
4,3,1,1,1,1,58.0666020537454
10,2,0,1,1,1,58.50719684156381
1,2,1,0,1,1,58.90993931318515
3,2,1,1,1,1,58.61566451087303
0,3,0,1,1,0,54.79824293029623
3,3,0,1,1,1,59.082991658897136
3,4,0,0,1,0,54.799300910244064
4,3,0,0,0,0,55.15465218576576
1,2,1,1,0,0,56.478506306352855
4,3,0,1,1,1,59.73744018042281
-1,3,1,1,0,0,58.15072529059398
1,3,0,0,1,0,55.0495250418417
7,3,0,0,0,1,57.071681046516986
2,2,0,0,1,1,58.20622577735838
5,2,0,0,1,1,57.81820486006063
3,3,0,1,1,0,56.67002620211732
4,2,1,1,1,1,59.6460908448916
2,3,1,0,1,0,56.42660383878238
3,3,1,1,0,0,55.0252139410166
3,3,1,0,1,0,54.78234549820768
3,3,0,1,0,0,56.6968578253772
4,2,0,1,1,1,57.96307685926548
4,3,0,0,1,1,57.38726608020276
7,2,1,0,1,1,56.86474958359384
3,3,0,1,1,1,57.88500283394752
7,3,1,0,1,0,54.596346903672575
6,3,0,0,1,0,56.24688273999108
2,2,1,0,0,0,56.593545127032186
5,2,1,0,0,0,53.72835336664973
0,2,1,1,1,1,58.6874710331434
3,2,1,1,1,0,55.95547794917156
5,3,1,1,1,1,58.91263312505111
2,2,0,1,0,0,56.42994577605711
3,3,1,1,1,0,56.421373983641175
5,3,0,1,1,1,58.8670323145917
3,3,0,0,1,0,55.097364771536135
6,2,1,0,1,0,54.37088047872095
5,4,0,0,1,1,58.40246056035455
3,3,1,0,0,0,55.281033243171215
6,2,0,0,1,1,57.99391462868307
5,3,0,0,1,0,56.94738468294938
2,3,1,1,0,0,56.29906397676084
2,2,1,1,0,1,59.78289761065305
5,3,1,0,1,1,58.34213055821554
4,3,0,1,1,0,56.98572663299695
5,4,1,0,1,1,57.79378311504716
4,2,0,1,1,1,59.1749555384205
4,3,0,0,1,1,58.30703919790143
7,2,0,1,1,0,54.48368225259786
0,3,1,0,1,0,57.2047769663078
0,3,0,1,0,0,56.66717982294835
5,3,0,0,1,1,58.117521340662464
1,2,0,0,1,0,54.95717362794863
3,3,0,0,1,1,58.68683991469912
4,1,0,1,1,1,58.31438061868624
5,2,1,0,0,0,54.181198073918296
1,3,1,0,1,1,59.435424109650754
3,2,1,0,1,1,57.95711712683912
2,2,0,0,1,1,59.06379407347221
4,2,0,0,0,1,59.517378463950166
1,2,0,1,1,0,57.55839144265823
5,2,1,0,1,0,55.47620358955807
3,2,0,0,0,1,56.88298914113347
5,3,1,0,1,1,57.65669963957422
1,3,1,0,1,1,59.753553667881
9,3,0,1,1,1,58.49488416261617
2,4,0,0,1,0,55.13531474028397
6,2,1,1,0,1,59.63071245946409
0,2,0,1,1,0,56.9170376319426
6,2,0,0,1,1,58.153465708632325
3,2,0,0,0,1,58.95915981515707
6,2,0,1,1,1,59.385361877836864
4,3,1,0,1,1,57.88008562323829
3,2,1,0,0,0,55.01819522746475
4,3,0,0,0,0,58.05847078628612
0,2,0,0,1,1,58.66346612846717
6,2,0,0,1,1,57.86032928509539
3,3,0,0,1,1,58.54589217665352
7,2,1,1,1,1,56.49863321577473
4,3,0,0,1,1,55.847892788525314
3,1,0,1,0,0,54.17451962376515
2,2,0,1,1,0,57.344781723631584
1,3,1,0,1,0,55.18376617490153
5,4,1,1,0,1,57.72224037734245
3,2,0,1,1,1,59.59009134570758
6,3,1,1,0,0,55.47802889580612
2,2,0,0,1,0,57.361356541807055
3,3,0,0,0,1,58.830344509183504
2,3,0,0,1,0,54.69374594455397
4,2,1,1,1,1,60.48221520541332
4,2,1,0,1,0,54.71985389667144
5,3,0,1,1,0,56.360082735524685
7,3,0,1,1,1,58.54701483213697
4,2,0,0,1,1,57.536397723942585
6,2,0,1,0,1,58.4558071021055
-1,3,0,1,0,0,56.8361050172341
6,2,1,1,1,1,59.766927128361
4,3,1,0,0,0,55.62352442274776
7,2,0,0,1,1,58.89687821533291
2,3,1,0,0,0,56.280563497064165
5,2,1,0,0,1,59.64730189327816
3,2,0,1,1,1,58.35044050365095
4,3,0,0,1,1,56.22153120278141
5,3,1,0,1,1,56.28402623144422
3,3,0,0,1,0,54.932286603271535
3,3,1,0,1,1,58.96824704515272
3,2,0,0,1,1,58.631635777116855
5,2,1,0,1,0,56.50252782541612
3,3,0,1,1,0,55.812863369513686
7,3,0,0,1,1,57.78452935304771
8,3,1,1,0,1,56.3083030491066
1,2,0,1,0,0,55.57772609392821
5,3,1,1,0,0,56.555207440270905
5,3,0,1,1,1,59.09884929149077
1,3,0,0,1,1,59.336290869856846
0,3,0,1,1,0,56.4308016910852
0,3,0,1,1,1,59.51910825973447
4,2,0,0,0,0,55.43809959563614
1,3,0,0,0,0,55.923697334850665
6,4,1,0,1,1,57.76837101775285
6,2,0,0,0,0,54.545107888619015
6,3,1,0,1,1,58.17652532927308
7,2,0,0,1,0,53.80479302347184
6,2,0,0,0,0,54.66942151245319
5,3,0,0,1,1,57.961878037062455
4,3,1,0,0,0,55.43527664655402
6,2,1,0,1,1,56.14951104510624
1,3,0,1,1,0,55.52561074781763
4,3,1,0,0,1,58.9076747528531
4,2,0,1,1,0,57.92169871268774
8,2,0,1,1,1,57.32588943792405
4,3,0,0,0,1,58.08334657092607
5,2,0,1,1,0,54.45205333397731
0,3,1,1,1,0,55.69613958784657
-1,2,0,0,1,0,57.34864011682991
6,3,0,1,1,0,54.65213209605088
5,2,1,1,0,0,55.3770242336099
2,1,0,0,1,1,58.68912299860677
3,2,1,1,0,0,55.01765248387144
4,2,0,1,1,1,58.825204264633406
4,3,1,1,0,0,54.82584034084471
3,1,1,1,1,0,56.16610708829176
2,2,0,1,1,0,57.78315982259476
10,4,0,0,1,1,58.07196305441558
1,2,0,1,1,0,56.27539009943569
1,2,1,1,1,1,62.19656242341568
3,3,1,1,0,1,58.72741436200423
3,1,1,0,0,1,56.84010629840158
4,2,1,0,0,1,57.79463838755284
5,2,0,0,1,0,56.395817551041866
3,3,0,0,1,0,55.49048351012608
3,2,1,1,1,0,55.34044829103679
2,3,0,1,1,0,56.32587401240573
2,3,1,1,1,0,58.07180591205197
4,3,1,1,1,0,56.38658930436231
4,3,0,0,0,1,57.7708954937865
2,3,1,1,0,0,56.85011433856523
2,3,1,0,1,1,59.25789171407576
7,2,1,0,1,1,57.103393280882266
1,3,1,0,1,1,55.90073658990609
5,2,1,1,1,1,58.054262882072685
9,4,0,1,1,1,57.14710728953729
4,3,0,1,1,1,56.82185812035405
3,2,1,1,1,0,56.29024176474963
0,2,0,0,1,0,55.14180628899669
1,2,0,0,1,0,54.93106078540056
8,2,0,0,1,1,56.949766630132025
2,3,1,0,1,0,55.54602599953878
5,2,0,1,0,1,59.46904351248029
3,2,1,1,0,0,57.75346068409991
4,3,0,1,1,0,56.66821723507173
3,3,1,0,1,1,60.4629694446834
4,3,0,1,1,1,58.88757320838855
4,3,1,0,1,1,58.31360897760536
4,2,0,0,1,1,58.29687399643661
3,3,1,0,1,0,55.39196833239846
3,2,0,1,1,0,56.77888354031909
3,3,0,1,1,1,59.912189177746754
4,3,0,0,1,1,57.59128198091389
1,2,1,0,0,0,55.77308677797913
2,3,1,1,1,0,55.23288714238351
3,2,0,0,1,0,55.59666249356249
7,3,1,1,0,0,55.239604426177046
1,2,1,1,1,0,56.27005686282607
3,2,1,1,1,0,57.88763859617215
2,3,1,0,1,1,56.37111813146244
4,3,1,1,1,0,56.49050926748272
2,2,1,1,1,1,60.6496543887079
3,3,1,0,1,0,54.65512126157483
3,2,0,0,1,1,57.27102457699225
2,3,0,1,1,1,58.96727171821094
2,3,1,1,1,1,58.56899507843456
2,3,0,1,1,0,55.828329569009135
6,3,0,1,0,1,56.455050193547486
2,3,0,0,1,1,58.395726594728174
3,2,0,0,1,0,52.99076885670763
4,2,1,0,1,1,57.96049394927471
2,2,1,0,1,1,59.42958152884799
5,2,1,0,1,1,56.78225656618751
1,3,1,1,1,0,56.578804322908
4,3,1,0,1,0,55.94938948715554
4,2,0,1,0,0,55.89380691901193
4,3,0,0,1,1,59.300523785239605
2,3,1,0,1,1,59.068539683539456
2,3,1,1,1,1,59.61646565694527
3,2,1,1,0,0,55.21084459023794
2,2,0,1,0,0,55.1928862086614
3,3,0,1,0,0,55.45056035461093
5,2,0,0,1,1,57.43102596643202
-1,2,1,0,1,1,59.52350869587276
2,2,1,0,1,0,55.2656585222828
0,3,0,0,1,1,58.84638192104352
1,2,1,1,0,0,57.01474105362798
7,2,0,0,1,1,55.319191021884485
5,3,0,0,1,1,57.40934843536655
5,2,1,0,1,1,57.88713791155735
4,4,1,0,1,0,55.337866480259486
3,3,0,0,1,1,58.05248845856078
4,1,0,1,0,1,57.96750286318783
4,2,1,0,1,1,58.99363709615466
0,2,0,0,1,0,56.08551055459007
6,2,0,1,1,0,54.04813945470734
4,4,0,0,0,1,57.81036277239863
4,2,0,1,1,1,58.278489726342336
6,2,0,1,1,1,58.65080819892859
3,2,0,0,0,1,58.12991414495968
0,3,1,1,1,0,56.27464628369793
10,2,0,1,1,0,55.17640202287404
0,3,0,0,1,0,55.6870602716549
3,3,0,1,0,0,56.60119253965163
6,3,0,0,0,1,58.1942271226995
3,2,1,0,1,0,55.6921310441269
3,3,0,1,0,0,54.23128252829503
4,3,1,1,1,1,57.19877315776208
2,2,1,1,0,1,59.50296570784744
4,3,1,1,0,0,55.92737482056407
6,3,1,1,1,1,59.70225644396517
3,4,0,0,1,1,57.88312915792866
0,2,0,0,1,1,57.77446429542731
3,3,1,1,0,1,58.36685945880893
0,1,1,0,1,0,58.15633497792401
4,3,0,0,0,1,58.59868169048837
3,2,0,0,1,1,59.02109708928752
2,3,0,0,1,1,59.34401136741806
3,2,1,1,1,1,58.88811573302405
3,2,0,1,1,1,58.834058694521055
7,2,1,1,1,0,55.73300327381149
4,3,0,1,1,0,56.95921073739339
0,3,1,0,0,0,57.75756738903468
3,2,0,1,1,1,59.224711391584535
2,3,0,0,1,1,58.77042204334738
4,4,0,0,1,0,55.94337062529534
5,2,1,1,1,1,59.32567168307028
5,3,1,0,1,1,57.261904317543305
8,1,1,0,1,1,58.21684822854998
6,3,0,0,0,1,58.43064001376378
5,3,1,1,1,0,55.66550823049508
2,2,1,0,1,0,56.25639958593905
2,2,1,1,1,1,58.24931764674425
4,3,0,0,1,1,58.25993051224723
2,4,0,0,1,1,57.784238541145406
3,3,1,1,1,0,55.685577245410734
6,3,0,0,1,1,57.95164665398356
1,2,1,1,1,0,58.091312208606055
0,2,1,1,1,0,57.56866310173094
5,2,0,0,1,1,56.92122292068097
1,3,1,0,1,0,53.44240787416461
2,2,1,0,1,0,54.32686513287028
0,3,1,0,1,1,58.13831191837287
6,3,1,0,1,1,57.9409487359954
3,2,0,0,0,0,55.16095096051081
1,2,0,0,1,0,55.96669176939554
-2,3,1,1,0,0,58.98340069319656
5,2,1,1,1,0,55.16902454660774
4,3,0,0,0,0,56.78477706246566
4,3,0,1,1,1,61.050392009352734
3,2,0,1,1,1,60.36213724351045
4,3,0,1,0,1,58.19820243509875
8,3,0,0,0,1,56.63198420154686
3,2,0,0,0,0,56.37778887239891
2,2,0,0,1,0,56.84932621867091
4,2,1,0,0,0,56.394448127832085
7,2,0,1,1,1,56.79325951954447
2,2,0,0,1,0,56.03704359025677
4,4,1,1,1,0,56.45394227016688
1,3,1,0,1,1,60.328752076214926
6,3,1,1,1,0,55.98610283252724
0,2,0,0,1,1,60.01000556726378
4,2,1,0,0,0,56.4121586684967
5,3,0,1,1,1,57.114698650850194
-1,3,1,1,0,0,56.70838456659912
2,2,1,0,1,0,54.11273736974604
6,2,0,1,1,1,58.30704713394576
6,3,0,0,1,1,56.16617834277119
1,4,0,0,0,0,56.14224106779267
3,3,0,0,1,0,56.67257708524371
3,2,1,1,1,0,57.46522255194298
4,3,1,1,0,1,58.36257562004887
3,2,0,1,0,0,56.82837065804897
4,2,0,0,0,0,55.88723752298169
6,2,1,0,1,0,57.18106499097834
5,2,0,1,1,0,54.87939537011589
4,2,0,1,1,0,56.92665773903815
2,3,0,1,1,0,57.749775990153736
8,3,0,1,0,1,59.39767292054337
0,2,0,1,1,0,59.17581995385564
9,2,1,0,1,1,57.67960830946748
4,3,0,1,1,1,58.55144023965089
2,2,0,1,0,0,57.6744922235816
3,3,0,1,1,0,56.96783941943208
3,3,0,0,0,0,55.14210240848373
4,2,0,0,0,0,56.6993210854815
0,2,0,1,0,0,57.31068583593096
4,4,0,0,1,1,57.07843841883963
2,4,0,1,0,0,57.70498711752332
5,2,0,1,1,1,58.86628410126522
8,2,0,1,1,1,58.89706669858258
0,3,0,0,0,0,54.22105536919641
2,2,0,1,1,1,59.3133018370224
5,3,0,0,1,0,54.49600779151466
5,4,0,0,1,1,56.55121890658546
3,3,0,0,1,1,59.33705049462114
0,3,1,1,1,0,56.8323761757502
4,3,1,1,0,0,55.79797744284937
4,3,0,0,1,1,56.97425211405218
0,3,1,1,0,0,55.23937272875742
5,2,1,1,1,1,59.60020106929274
6,2,0,0,1,1,58.338552643399055
4,3,0,0,1,1,57.68845850492188
4,3,1,0,0,0,55.12681264337859
5,3,0,0,1,1,57.72848638344992
5,3,0,1,1,1,58.20921885911514
1,2,0,1,1,0,57.55738596700405
-1,3,1,0,0,0,55.42867422443024
6,2,1,0,0,0,54.449318705913605
3,3,0,1,1,0,57.59002728988759
0,3,1,1,0,0,56.74613175447206
6,3,1,1,1,1,58.36326152987661
5,1,1,1,1,0,56.96219093484838
3,2,1,0,1,1,59.490695059458645
5,3,1,1,1,1,58.77542085807154
0,2,1,1,1,1,59.70068710950481
3,3,1,1,1,0,55.45794107775927
2,3,1,1,1,1,59.07180272145683
2,2,0,0,1,1,57.83557365083782
0,2,1,1,0,0,56.21817057405772
2,2,0,0,0,0,57.12858455964125
6,3,0,1,0,1,59.52149838666862
2,3,0,0,1,1,58.23095443195083
4,2,1,0,0,1,59.00067117201991
2,2,0,1,1,1,60.04400680005895
6,3,1,0,0,1,56.6123146095503
2,3,1,0,1,0,54.64945324125156
3,3,0,1,1,1,59.1456386038836
5,3,1,1,0,1,58.16199094219991
-2,2,1,1,1,0,56.94805699390733
4,4,1,0,1,0,53.87812947887477
4,2,1,0,1,0,55.20247923805467
-2,3,0,0,0,0,56.50198249009037
4,4,1,1,1,1,58.28215099984313
2,2,1,1,1,0,57.488714853454674
4,2,1,0,0,0,55.54999162752021
4,3,0,1,0,1,58.96838145436699
5,3,0,1,1,1,60.0377524060915
2,3,1,1,0,0,57.05085790996251
1,3,0,0,1,0,55.59739511667327
3,2,0,0,0,1,58.13267512629604
