candidate_age,candidate_experience,campaign_spending,incumbent_status,gender,party_affiliation,media_outlet_ownership,media_coverage_intensity,election_result
9,28,4,1,0,0,6,25,96.105499733013
8,32,6,0,0,0,8,23,95.2317097819979
9,25,4,0,0,0,6,27,98.54957977922167
12,32,12,1,1,1,9,24,96.16560046058632
8,28,3,1,1,0,9,27,98.53983859703312
9,31,10,1,0,0,8,26,102.57010718198666
12,31,5,0,1,1,7,26,98.07645027504267
10,29,12,0,0,0,8,23,90.67468013445604
15,34,6,1,0,1,10,25,96.37881186851796
7,33,13,0,1,0,7,20,91.65650729259347
8,31,13,1,0,1,2,19,88.91866468686811
10,24,9,0,1,0,4,23,92.02808474533086
8,28,7,1,1,0,8,28,103.32073895314566
12,29,10,0,1,1,9,26,98.46093496429948
6,28,10,0,0,0,8,24,97.33273184505472
8,33,3,0,0,1,8,24,96.19844043469868
5,29,3,1,0,0,8,25,96.27127498348416
10,26,9,0,0,1,6,26,100.4809705618958
8,29,4,0,0,0,10,28,103.64291366395742
13,26,5,0,1,0,8,27,99.34192694450492
7,29,7,0,0,1,5,20,88.37915519508817
9,30,5,1,1,1,8,28,102.48548809833127
9,28,9,0,0,1,8,26,96.61158469169916
11,25,11,0,1,1,10,28,101.8016996509866
13,27,13,0,0,0,7,24,94.32765335068224
11,28,5,1,0,1,6,26,97.38342571356657
5,28,11,0,1,0,9,23,92.35515580087886
6,28,7,1,0,0,11,24,94.73556478806849
10,32,12,0,1,0,10,24,97.87003585740317
6,27,4,0,1,0,9,27,100.07120954368082
8,29,5,0,0,0,8,25,99.11179779742017
13,30,5,0,0,1,5,22,89.72568674813625
12,28,3,0,0,1,8,26,97.45822003286
15,28,9,0,1,1,8,26,96.7570811997395
9,29,8,1,0,0,7,27,104.31547004861866
10,31,7,0,1,0,9,27,101.58511084876145
6,33,11,0,1,0,5,24,98.26557087329088
7,33,5,0,1,1,7,22,91.3386338712757
5,29,5,0,0,1,8,25,100.17994585607607
7,33,10,0,1,0,11,25,101.32386853937876
9,30,10,0,0,1,9,24,99.29986292058538
7,30,7,1,1,1,4,22,93.69656651073588
11,28,4,0,1,0,7,26,96.73058313780362
8,27,6,0,0,0,5,24,95.96494225021584
11,30,10,1,0,0,5,25,97.28107621243733
8,27,6,1,0,0,8,25,98.28304383567612
10,27,3,0,0,0,9,27,98.14237623321206
11,28,7,0,0,1,7,24,96.85069896273885
7,27,11,0,0,1,8,24,95.39259610848627
9,27,10,1,0,0,4,22,90.36294416463174
11,32,3,0,1,0,4,24,92.3936245217615
9,29,9,1,0,0,8,28,103.23692484840298
13,27,10,1,1,1,5,25,92.84146652967208
9,28,8,0,0,1,8,25,97.42190112156592
8,29,12,0,1,1,8,25,101.089214367626
10,32,6,0,0,1,9,25,99.13867432359986
12,31,6,0,0,0,6,25,97.09233209251576
9,32,6,1,1,0,10,25,93.27362301850955
8,29,3,0,1,1,7,23,91.97306552388984
8,33,5,1,0,0,8,26,98.37256215259224
11,31,3,0,0,1,9,24,93.5768707968512
6,32,7,1,0,0,5,24,96.51976709131776
9,30,7,0,0,1,5,20,89.7022786722088
13,29,3,1,0,1,11,28,98.7500818785075
9,30,9,1,1,1,8,24,93.97095784384815
14,28,4,0,1,0,6,26,97.5302773490655
8,29,8,1,0,0,10,26,98.70506306964704
9,30,7,0,1,0,7,25,97.5151343284426
5,27,10,1,1,0,9,25,92.34638872699678
7,32,3,0,0,1,10,27,102.26511625859266
13,31,5,1,0,0,15,31,105.69740923114368
6,27,2,0,0,0,10,27,99.8976088090632
9,31,4,0,1,0,6,25,96.2436382481559
8,29,12,0,0,0,3,19,86.48859058695578
11,25,5,1,0,0,8,29,104.14047168364972
10,27,2,0,0,0,7,30,109.07096969960143
10,31,9,0,0,1,10,22,92.07713762005449
11,28,10,0,0,1,6,22,88.96873270092627
8,28,10,0,0,0,7,24,98.7165161429396
9,30,6,1,1,0,8,24,93.79347491880854
7,31,2,1,0,1,8,24,95.01712542543852
10,32,5,1,1,0,5,25,97.18818539001091
11,32,9,0,1,0,6,20,84.25210550835614
8,30,5,1,0,0,10,27,102.05444936824615
6,29,9,1,1,0,3,21,90.2602640107588
8,31,5,0,1,1,8,26,97.26495519083824
6,26,5,0,1,0,5,24,94.68304069295056
9,28,4,0,0,1,11,29,106.90569238841675
10,28,10,0,0,1,9,25,96.19360516079136
8,28,3,1,0,1,7,25,96.33963550921072
13,32,7,0,0,1,7,24,96.67240600171088
10,27,11,0,0,1,10,26,98.7074098333242
13,31,6,0,1,1,6,25,96.22047741337596
16,28,7,0,1,1,6,23,88.04173568816519
14,31,3,1,1,0,8,28,101.59298053893542
9,28,7,0,1,0,10,26,98.4604096398812
15,29,7,0,1,1,11,28,101.92650714245096
5,29,2,0,1,1,7,25,96.72917020661788
13,27,8,0,0,0,7,23,90.86536444271093
11,31,3,0,0,1,9,28,101.47824129040606
10,29,6,0,1,1,8,27,102.68166023438565
7,29,12,0,1,1,9,24,94.66156111125191
11,28,7,0,0,1,8,26,100.0462307712038
10,27,11,0,1,1,10,26,97.02700789184448
11,29,6,0,0,0,5,24,94.03956522611726
9,28,7,0,0,0,10,27,102.73229649964613
8,25,8,0,1,0,9,28,102.47585182223882
13,27,2,1,1,0,8,29,101.60853144800188
5,28,10,1,0,1,10,22,89.95871605122124
12,30,9,1,0,0,10,25,95.33184765412338
12,31,8,1,0,1,10,26,96.29449721251424
11,31,8,0,1,0,8,24,92.07446685244688
4,32,9,1,1,1,9,21,88.817826468698
7,29,6,1,0,0,7,24,96.72976055210816
14,30,5,0,1,0,6,27,101.17538632645996
8,28,8,1,0,1,11,26,98.99387766858425
9,33,10,1,0,0,6,21,90.00150819341745
9,32,9,0,0,0,6,22,92.64965024201553
11,29,7,0,0,0,5,26,98.47307585758946
14,31,5,1,0,1,7,23,87.3723339769761
7,28,6,1,1,1,7,26,100.0787077654762
11,30,4,0,1,0,9,25,95.16098293048488
9,31,3,0,0,1,8,25,95.54234005748464
11,31,6,0,1,0,6,26,99.48139548488884
7,29,5,0,0,1,6,26,100.7293081949428
8,31,3,0,0,0,7,26,98.05794859045294
11,29,7,0,0,0,7,24,94.3579139412749
8,27,5,0,0,1,8,25,95.37946052680002
11,31,4,0,0,0,9,24,94.10857470407944
9,27,15,1,1,0,3,22,94.54303309504844
7,33,5,0,1,1,5,22,90.69180329670708
10,29,2,0,0,0,8,26,97.57208208403895
7,28,5,0,0,0,5,25,97.1581926873756
12,26,10,0,1,0,9,27,99.7396447167203
11,30,5,0,0,1,9,24,98.02818295320002
9,27,5,1,1,0,11,28,99.8249114551268
8,28,7,1,1,1,9,25,95.35332881193868
11,29,12,1,0,1,9,24,92.41870131951684
9,27,8,1,0,0,7,27,101.9743665954173
12,36,3,0,1,0,10,25,98.64625131027184
6,29,7,0,0,1,9,23,95.14660463899324
13,33,11,0,0,0,12,24,95.5151984298888
9,32,13,0,0,0,6,23,97.90322006688868
11,30,6,0,1,1,8,22,88.42653037756463
10,29,13,0,1,1,7,23,93.06055236936342
7,32,12,0,1,0,7,21,90.24695673600814
10,27,8,0,0,0,7,27,103.57464415125344
12,31,8,1,1,0,10,26,99.12709345024058
9,30,4,0,0,1,3,21,88.01091887181019
8,28,9,0,0,0,5,24,97.95888648273846
9,36,8,1,1,0,6,23,96.46460652168132
9,29,5,1,1,0,7,27,100.88678820023132
9,31,5,0,0,1,12,28,101.6687091670595
3,34,7,1,0,0,10,24,98.34060949547344
8,25,8,1,0,0,9,28,102.18503709693708
10,32,0,0,0,1,9,27,101.19768870452538
8,27,9,0,1,1,9,28,102.57903882636003
9,28,13,0,0,1,7,22,95.01036016231625
5,28,2,1,1,0,7,25,94.0862688492772
7,30,9,0,1,0,6,25,100.67327387521178
10,27,8,1,0,0,12,28,105.14807719548308
5,29,14,1,0,1,9,21,90.27123163019225
8,29,5,0,0,0,6,23,94.69091412197656
6,32,10,0,1,0,5,23,97.5334705186663
13,29,6,1,0,1,9,29,103.61001356444356
14,29,11,0,1,1,4,23,91.52863062348068
14,29,8,0,1,0,9,28,101.27255305969554
4,26,13,0,0,1,6,23,95.3247624349414
13,30,13,0,0,0,6,20,91.19900910985923
8,29,11,0,1,0,10,23,92.8499408738618
9,28,5,0,0,1,7,25,98.7249279194936
8,27,10,1,0,0,11,23,88.26440233345926
9,33,3,0,1,1,7,24,95.24735691132038
13,27,9,1,1,1,9,27,98.400229865076
9,27,7,1,1,0,4,25,95.71917933624024
6,27,5,0,0,0,5,24,96.45992200673412
14,31,4,0,0,0,11,27,98.05706727217542
14,29,10,1,0,0,12,28,101.46546696586772
14,32,5,0,0,1,8,25,95.34434973128448
7,28,7,0,1,0,3,21,87.29956867571127
12,27,8,1,1,0,9,26,95.2591760889896
13,28,11,0,0,0,7,26,98.82304598388193
6,31,13,1,1,0,10,24,95.1879402444849
8,31,2,0,1,1,7,27,101.74968305484504
4,31,8,1,0,0,6,22,92.48393409566005
12,31,4,1,0,0,10,23,89.01316014604956
9,31,12,0,0,0,5,20,90.7372215089452
11,34,3,1,0,1,8,26,100.36595476578538
6,32,9,1,1,0,10,26,104.05517951531743
6,28,4,0,1,1,8,26,95.4683856598858
13,31,10,0,0,1,9,26,100.66282704889458
9,32,6,0,0,0,5,23,94.37843947485698
9,30,7,1,1,0,8,25,95.5710989413694
8,30,9,0,1,0,4,20,89.05220711384494
8,29,14,0,1,1,7,21,90.10406607030438
10,32,3,1,0,0,9,23,90.00963473531074
3,30,2,1,0,1,5,23,95.55561753070224
11,28,3,1,0,1,10,26,95.61629219546867
8,28,5,0,1,0,7,26,98.93448617517775
15,24,10,1,1,0,6,26,97.8916542001088
17,29,9,0,0,1,5,26,98.6844593911128
10,31,6,0,1,1,6,22,92.14020282276834
7,32,14,0,0,1,8,23,96.85427147142704
11,29,7,1,1,0,9,28,102.55655472188562
6,28,10,0,0,0,9,23,94.39113097203486
11,29,11,0,1,1,8,24,93.5035924066216
9,30,13,0,0,1,8,23,94.75363119593835
5,30,13,1,0,1,9,24,96.6868134207424
8,28,7,1,0,0,9,25,95.28582139337114
10,34,4,0,1,1,8,23,94.94368023845048
8,30,11,1,1,1,5,22,86.59550217313304
12,31,8,0,1,1,9,26,100.31222153344514
13,29,8,0,1,0,8,24,91.75418171736892
10,33,7,1,1,1,4,23,96.00227273661874
14,30,6,0,0,0,8,25,96.47484618644816
13,28,6,0,0,0,10,28,102.14164178388596
13,29,6,1,0,0,9,29,101.53028501142944
12,30,4,0,0,0,9,26,96.68013248116628
8,35,6,1,1,1,10,27,103.87411254801172
12,31,11,1,1,0,9,26,96.45877929784096
9,28,12,0,1,1,9,25,96.20378576293562
9,32,9,1,1,0,11,26,97.96587401848636
7,26,9,1,0,0,7,27,103.06638434207804
4,27,9,1,0,0,9,24,95.42247742759982
12,28,9,1,1,0,9,25,94.7997694447245
14,32,12,0,1,1,8,24,97.39562838149402
10,28,6,1,1,0,8,26,94.98403666589944
11,26,5,0,1,1,8,26,95.54391447674767
10,32,13,0,1,1,4,19,84.87515873604718
12,33,4,0,1,0,8,26,98.46449293003882
10,31,9,0,1,0,9,25,95.15337259546403
8,30,-1,0,1,0,10,29,104.3831498142784
8,34,8,1,0,0,4,23,95.66358408867504
8,28,7,1,0,0,9,25,94.69028350488166
9,31,6,1,1,1,7,25,95.53151466797374
16,30,8,0,0,0,7,25,96.3728245268066
6,30,5,1,0,0,5,24,96.82355892463993
8,31,10,1,0,1,12,26,98.77677364958885
7,28,5,0,1,0,6,27,101.08016257422037
7,31,7,1,0,0,3,23,94.58409193573551
10,28,6,0,1,0,8,24,94.2850880818984
6,30,11,1,0,0,9,23,93.79213582160122
8,29,5,1,0,0,8,24,94.0744031433124
14,32,11,1,0,1,5,22,90.8022368589634
7,29,10,1,0,0,9,27,103.34179904283026
12,29,3,0,0,0,8,28,101.65137673177512
11,35,4,1,0,1,9,25,96.78837424535948
8,25,5,1,0,0,2,24,96.56552235217696
7,30,9,1,1,1,6,23,95.37910041070846
7,32,9,0,1,1,7,21,92.82623824850904
11,30,3,0,1,0,7,25,96.972180608728
10,32,7,0,0,0,7,25,98.27805986291372
9,32,4,0,0,0,4,22,92.69278483018358
12,26,2,0,1,0,6,27,98.58566918542594
7,30,7,0,1,1,5,22,91.17793306398468
14,26,9,1,0,0,3,26,97.69935765287534
14,27,7,1,0,0,12,30,103.90634683712555
11,30,6,1,0,0,8,26,99.5065688060793
5,27,8,1,1,0,10,27,101.747711253554
10,29,9,0,0,1,8,25,96.57245159827596
11,29,10,0,1,1,11,27,102.76733598304064
5,29,4,1,1,0,6,23,96.47707974259856
5,31,7,1,0,0,7,24,94.95409430500573
6,31,9,0,1,1,6,20,85.07612173284204
8,31,11,1,0,0,9,24,95.07336636797858
15,32,4,0,0,1,5,21,87.52983865192871
12,25,7,0,0,0,10,29,100.00066741448884
6,31,3,0,0,0,8,23,93.97908256647072
9,27,7,1,1,0,10,28,101.29778390817393
9,29,7,1,1,0,10,26,98.00201460219944
12,31,12,0,1,1,6,24,98.10927723611938
6,27,5,1,1,1,3,25,98.23963794006094
10,30,8,0,1,0,9,26,99.26249008193254
10,27,1,1,1,0,6,25,92.19494184411327
8,28,3,0,0,0,9,27,99.08165224718596
8,30,7,0,0,0,4,23,94.73485492119164
12,33,10,1,0,0,9,24,95.55086141146349
15,35,7,0,0,1,6,23,92.07197644115682
18,28,5,0,1,1,10,28,97.5899008286649
10,29,14,0,1,0,8,23,93.0044579441332
15,28,13,1,0,1,7,25,96.48660899317385
13,30,8,0,1,1,9,25,95.28747164758788
13,27,5,0,1,0,8,28,100.79315871108967
9,32,9,1,0,0,10,22,94.09467474488368
10,26,8,0,0,0,8,27,99.21240632032324
4,28,10,1,1,0,9,26,96.21619268386776
3,29,3,1,0,0,8,23,93.87020264544984
7,32,7,1,0,0,7,24,99.01892663082214
10,28,9,0,0,0,9,26,97.62824422274372
11,28,7,1,0,1,6,26,99.62501688250836
9,29,3,1,0,1,13,28,101.53806083717576
10,28,5,0,0,0,13,30,104.56840926643468
8,27,9,0,0,1,8,25,97.19934763258269
13,31,6,0,1,1,10,27,98.21398155949424
15,28,10,0,0,1,8,27,101.45637762262548
7,31,5,0,0,0,6,25,98.58695986635752
7,33,10,1,0,1,9,23,97.130906438616
10,30,8,1,1,0,11,25,96.20784287740538
10,31,9,1,1,0,8,22,90.40981399437575
15,27,16,1,0,0,9,28,103.47018906650835
9,30,6,0,0,1,9,25,99.37480949656543
15,30,8,1,0,0,7,26,97.79394952596864
4,27,8,0,0,0,8,28,107.27030794228838
10,30,8,0,0,0,7,21,91.00986635637688
4,25,10,1,1,0,5,22,91.4143049132894
11,33,9,0,0,0,6,22,91.4512356192382
13,26,7,0,0,1,9,27,99.5596700338101
8,27,12,1,1,1,7,23,91.96772314163026
10,30,14,0,1,0,8,26,100.13247503500564
9,28,6,0,1,0,9,27,100.1568500579001
7,28,10,0,1,1,8,26,101.7331227346646
8,29,13,1,0,0,9,26,99.93740700704971
10,33,2,0,0,0,8,22,86.54540596721792
12,27,9,1,1,0,8,26,98.41229494506088
8,28,17,1,0,0,8,24,96.32858949304482
10,31,8,0,1,0,8,24,92.278022020338
17,27,5,1,0,1,8,31,103.62805930878004
14,28,13,1,1,1,5,24,97.379055443213
9,29,9,0,0,0,4,20,87.33557459070398
8,27,11,1,0,0,8,24,95.8674862201387
5,27,6,1,0,1,7,24,95.32670109849296
9,33,2,0,0,0,10,27,102.6344451754804
7,27,3,0,1,1,6,24,97.6776928680908
11,31,7,0,1,1,9,24,93.1296402870969
9,33,8,1,0,0,8,24,97.78377353792816
9,24,9,1,1,1,6,26,97.545716867294
15,32,7,0,0,1,6,23,93.88325914722856
4,28,6,0,1,0,6,23,95.7913270041482
16,29,3,1,0,1,9,30,104.01205252058207
14,32,4,0,0,1,5,25,96.922021603679
8,32,9,1,1,1,4,21,90.13993275373753
12,29,5,0,0,0,8,26,94.1397752946872
9,26,7,0,0,1,7,24,93.65477291347848
9,28,4,1,0,0,8,27,101.48064435900322
9,28,9,0,1,1,8,24,93.31500212507764
14,27,8,0,1,1,7,24,91.23997295783258
9,30,9,1,0,1,6,23,92.4701363256028
13,28,9,0,0,0,11,28,102.2805402104552
8,30,8,0,0,0,4,21,92.18947333793916
10,30,10,1,0,1,10,22,86.23564914057805
9,26,9,0,1,1,5,23,93.40510856078188
5,32,10,1,0,0,5,21,92.83335638913736
13,32,9,1,0,0,9,25,95.85632548667584
12,32,10,0,0,0,10,27,101.7840048587031
7,28,5,0,0,1,5,23,93.10003368453248
8,28,9,1,0,1,12,25,95.53950353294788
9,28,12,1,1,1,6,25,98.09472685806963
11,28,10,1,1,0,4,21,85.09801792129315
11,30,4,0,0,1,5,25,98.0709327425724
13,32,6,0,1,1,10,29,104.33849458420808
5,30,14,0,1,1,6,17,85.76122434129041
10,32,10,0,0,0,7,23,94.77644256248824
12,26,12,0,0,0,7,29,107.1631503102453
11,26,2,1,1,0,3,26,95.10929346225036
9,28,6,1,0,0,8,26,99.79891172511005
6,28,13,0,0,1,9,23,95.27308065946347
15,32,4,0,0,1,4,21,87.53523689286962
7,28,5,0,1,0,5,25,98.41927207430862
7,29,8,1,1,1,10,27,99.96461849793629
10,32,2,1,0,0,5,24,97.75895429452233
6,27,9,0,0,1,8,23,96.01939039479268
10,25,4,0,0,0,8,27,100.80682899461227
10,30,7,0,1,1,10,26,96.70035399124946
6,33,16,0,0,1,10,21,94.5028658057139
13,26,9,1,1,1,2,22,93.90878970362158
1,26,10,0,0,0,4,21,94.38785586890928
5,30,10,0,0,1,5,22,93.80332311667983
6,28,8,1,1,1,8,25,98.82377069882963
9,31,8,0,1,0,7,22,91.73054610431672
12,32,9,0,1,0,10,25,96.7508998919614
10,26,9,1,0,1,10,30,105.82730123095202
9,32,8,0,0,0,6,23,97.13672035401169
7,24,2,0,0,1,10,31,107.38700572046254
6,32,4,1,0,0,4,24,99.1662595823286
5,28,8,0,1,1,9,25,98.24802684862672
9,33,8,1,0,0,6,21,89.12985692949196
12,30,12,0,0,1,7,24,96.75893580439426
11,28,4,0,1,1,6,28,106.23459746332618
7,25,2,1,0,0,10,28,101.89432025788754
15,34,3,0,0,0,10,24,93.70975710779446
8,29,6,0,0,1,4,23,96.71409219226705
9,31,12,0,1,0,4,20,86.87577921506454
12,30,8,0,1,0,7,23,91.30138285708144
11,32,5,0,1,0,9,26,98.06195691411996
7,31,9,1,1,0,8,21,88.7396346834529
12,30,11,0,0,0,8,25,99.11710926018463
10,27,5,1,0,0,8,26,96.0944817064406
7,28,6,1,1,0,8,27,101.54315954772504
11,28,4,1,1,1,9,26,96.26412464440702
13,31,6,0,1,0,12,29,106.78175998434142
9,28,3,0,0,1,6,24,94.7697571963744
8,30,5,0,0,0,4,22,96.1914157170448
11,32,1,0,1,0,8,26,97.49090990901271
10,30,7,1,1,0,9,26,98.94942067946934
6,32,5,0,0,0,5,23,98.84057466562918
9,29,7,0,0,0,5,24,98.76338645221516
4,35,9,0,1,0,8,18,85.18016392454777
9,33,8,0,0,1,10,22,90.8105705840439
10,30,7,0,0,0,3,22,91.29821388414052
7,27,13,1,1,0,7,24,99.09350660929104
11,29,12,0,1,1,7,23,93.93110002172388
9,31,7,1,0,0,6,22,90.80747223257929
13,27,5,0,0,1,5,25,95.69649164625716
8,30,11,0,1,0,6,22,91.11723712576786
7,31,8,0,0,1,6,23,92.1927719644172
6,31,9,0,0,1,7,20,89.48151853530594
7,28,7,0,0,0,11,26,99.65675780764816
4,29,10,0,0,0,8,22,92.58486297917972
8,32,7,1,0,0,6,21,88.39178337142265
13,30,7,1,0,0,6,27,100.75910422381504
15,31,5,1,0,1,9,27,100.09206888942384
10,27,7,0,1,0,6,27,101.48525492523324
4,31,6,1,0,1,7,22,91.72354881977682
6,30,2,0,1,1,7,26,101.79301486681882
5,30,10,0,0,1,8,24,97.93933663461542
8,31,5,0,1,1,10,27,103.50873234653348
11,28,12,1,0,1,3,22,90.12105710084708
11,30,5,0,0,1,7,24,92.02089426684464
9,31,3,0,1,0,6,23,92.16319706096908
8,29,7,1,1,0,7,25,96.56814748722591
13,32,3,0,1,0,9,26,98.9078537806284
11,30,9,0,0,0,6,25,97.54921014314306
11,26,6,1,1,1,5,27,99.50688888220186
10,27,1,1,1,0,8,25,94.25352066197227
9,31,10,0,1,0,7,23,93.74146367884774
15,34,5,0,0,0,9,25,95.90429560589028
11,28,6,0,1,1,8,24,91.70105463642908
10,28,7,1,1,1,6,27,101.11567412847322
8,32,4,0,0,1,6,23,95.21452337839264
10,28,6,1,1,0,8,27,98.73952958732356
13,30,6,0,1,0,6,26,97.31348522389104
8,28,10,0,0,0,8,25,97.79601859268529
11,30,8,1,0,1,9,27,98.3366949333055
15,31,7,1,1,0,13,28,98.6375378291421
7,32,12,1,0,0,9,22,90.90892699768352
8,30,6,0,1,0,4,23,93.77367344091724
12,32,6,0,1,1,7,26,98.9777984737617
13,31,8,1,0,0,4,25,97.76093394901363
9,28,13,0,0,0,8,22,91.0028230031585
11,29,2,1,0,0,11,28,100.74320207198528
13,28,9,1,1,0,9,28,103.03866544424108
11,26,4,0,0,1,10,30,106.9916514874044
9,25,6,0,0,1,6,27,102.19559016100446
11,29,7,0,0,0,7,22,93.72065186968956
11,30,17,0,1,1,7,21,90.47521360110032
8,30,5,0,0,0,8,24,95.43336999542964
9,30,10,0,0,1,11,25,100.77483258129644
9,27,2,0,0,0,9,25,96.52492569385646
11,30,8,1,0,1,8,22,91.30192990961422
15,28,10,0,1,1,7,21,86.51223857098337
12,31,10,0,1,0,12,27,100.7245940562388
13,27,11,0,1,0,9,28,101.37524400305384
11,28,5,0,0,0,7,25,97.17348933269037
7,31,5,0,1,1,8,24,94.98261313645848
4,28,3,0,0,0,9,26,102.47949685075504
11,30,2,0,0,1,10,27,99.38474355689746
9,28,7,1,0,0,9,29,103.94105742000652
11,27,6,0,1,0,7,26,98.55908100706172
6,28,11,0,0,0,10,29,107.8757323454395
5,27,8,0,1,0,7,21,87.89915758721784
8,28,5,0,1,1,8,25,96.41806115160657
9,30,8,1,0,1,5,22,92.658521645989
5,31,8,1,1,1,8,26,98.5062108181736
8,31,9,1,1,0,9,27,103.82037471075589
10,29,5,0,0,1,3,22,93.11086912341678
8,30,6,0,1,1,9,24,92.5620395911412
13,29,10,0,0,0,5,20,84.258979252183
8,32,6,0,0,1,5,24,95.68365366677868
10,31,8,0,1,0,5,25,96.49587666294138
12,27,5,0,0,0,11,28,101.27889070278944
11,31,13,0,0,0,5,23,95.20007065584343
14,33,4,1,1,0,8,28,102.25757187513214
10,27,13,0,0,0,8,22,89.88819135618634
5,32,11,1,0,1,4,21,92.7463642041692
11,28,2,0,1,0,10,28,99.74312733682676
6,30,6,0,1,0,3,22,90.7105941011
10,32,3,0,0,0,10,26,99.58485835829698
13,26,9,0,1,0,10,28,100.86444204359807
7,26,10,0,1,0,8,26,99.77945753615666
10,27,13,1,0,1,6,24,96.38118973472652
10,28,7,1,0,0,10,27,103.14118682909168
10,32,10,0,1,1,7,22,92.57565235372876
4,32,6,0,0,0,8,20,90.70752692004764
8,27,5,1,0,0,9,27,101.0224856254961
14,24,7,0,0,0,6,27,101.59012471826269
10,31,11,1,0,0,9,24,97.20397794100312
13,31,7,1,0,0,8,26,93.66586563734002
9,31,10,1,0,0,9,26,102.60335695363663
5,29,5,0,0,0,9,26,99.28278932102047
6,32,15,1,1,1,11,24,96.62343586862642
10,31,9,1,0,0,8,24,94.22562931334598
3,26,8,0,1,1,9,24,94.63728149414897
9,31,10,0,1,0,8,25,99.98349194178796
9,22,9,0,0,0,6,27,99.63954793009454
11,32,5,1,0,0,6,24,95.46775293970062
13,34,10,1,0,0,6,22,91.23155242848206
16,30,8,0,0,1,5,24,98.9744054059974
7,30,6,0,0,0,8,24,96.94694121746151
7,28,9,0,0,0,8,25,100.4442845273254
9,29,7,1,0,1,8,26,95.84585521099466
9,29,10,0,0,1,6,21,91.8878581056681
11,29,0,1,1,1,12,30,104.70566292154224
8,27,8,0,0,1,6,21,88.31656401314406
7,29,5,1,1,1,9,27,102.0223656510525
9,30,5,1,0,0,7,26,98.41482975384172
8,30,7,1,0,0,8,25,95.54307164213552
8,29,11,1,1,1,11,28,103.97283694111006
5,31,10,1,0,1,10,22,91.2964630805663
12,29,5,0,0,0,7,26,97.33827567115236
12,28,9,0,1,0,5,24,97.17056154419744
7,30,12,0,1,0,8,23,95.10710870371872
10,28,10,0,0,0,6,21,93.12912238855104
15,27,10,1,0,1,9,27,98.18965673419004
13,29,6,0,1,0,9,27,100.20123670131676
10,29,4,1,1,0,8,29,103.27808689301828
9,30,12,1,0,0,5,19,84.08881199028082
11,29,14,0,0,1,7,23,93.5221170299142
6,28,11,0,1,0,7,22,94.48391248693736
8,32,6,1,0,0,9,23,92.85138285539922
10,26,4,0,0,1,3,21,85.85237169026658
9,29,4,1,0,0,5,28,106.44554818217232
8,31,11,1,1,0,8,23,92.44213729417083
11,32,10,0,0,0,5,23,97.8055735574452
11,32,11,0,1,0,6,21,90.04038416229947
9,31,7,0,1,0,8,23,92.32313990840176
12,32,2,0,0,1,2,20,89.60027653783276
