age,work_experience,previous_month_income,education_years,gender,rural_residence,policy_beneficiary,current_month_income
26,12,11,6,0,0,0,50.959067456961634
22,20,3,20,0,1,0,54.071792250168784
30,20,6,17,0,1,1,57.49630242744004
27,21,10,15,0,0,1,54.75225051994304
26,21,5,7,1,1,1,55.17258963093698
26,10,11,12,1,0,0,52.817139129122246
23,22,10,10,0,1,1,54.074538368438745
11,18,7,6,0,1,1,50.257019755284254
25,24,5,16,1,0,1,56.70595051175879
36,23,10,13,0,0,0,54.959789788195536
24,16,5,9,0,0,0,53.88812407933104
31,15,11,15,1,1,0,54.59187452816487
36,14,12,15,1,0,1,58.56011642525174
18,20,13,11,1,0,0,49.86300088603499
16,23,8,12,0,0,0,50.107479393655225
23,25,8,16,1,0,1,52.61725698553239
31,19,12,10,0,0,0,54.686116835278256
37,11,11,7,0,1,1,59.2880807513944
22,11,11,6,1,0,0,50.24471947085743
38,34,8,18,1,1,0,51.950683708941234
18,14,10,21,1,0,0,50.83285486408629
30,30,3,18,1,0,0,55.0783005071074
36,24,14,6,0,0,0,51.44013607151172
30,7,16,13,1,0,0,53.42009416900301
26,27,13,12,0,0,1,52.05111907866669
18,26,8,15,1,1,1,52.01834724050734
30,15,15,11,1,1,1,52.53208281571632
21,21,7,12,0,1,1,54.06004349057206
39,18,8,9,1,1,0,55.91750859987819
30,16,9,13,0,1,1,56.65273713219761
28,23,13,3,1,0,0,50.2972764981193
30,25,18,24,1,1,1,50.91266985433365
39,24,8,11,0,1,0,56.510180553928585
36,17,9,11,0,1,0,55.77324932843657
41,26,8,15,0,0,0,57.25406769444483
18,22,9,20,1,1,1,53.44747082767593
26,21,11,15,0,1,0,50.596336187295016
34,23,11,16,1,1,1,55.5860240203979
29,12,6,12,1,1,1,56.475284113732826
37,13,10,16,0,0,0,57.29316742456013
30,27,12,8,0,1,1,51.21415478922546
36,14,14,12,1,1,1,55.366150217010855
33,21,17,13,0,1,0,50.364966952491066
20,30,8,1,0,0,1,52.9724952712992
19,17,12,22,1,1,1,51.88103676529175
24,18,10,21,1,1,1,53.72847934560981
35,25,6,13,1,1,1,57.30082648286288
18,11,10,15,0,1,0,51.28202831209583
29,14,6,16,0,0,1,59.17222189628367
28,26,9,9,0,1,1,53.49908940440136
29,22,9,14,0,1,1,54.06264086500985
21,27,9,9,1,1,0,47.68501462387663
27,23,15,9,0,1,1,52.24198968705277
28,13,15,21,1,0,1,52.95998473348755
37,21,10,11,0,1,1,58.85737771156723
34,16,8,10,0,0,0,56.52324883750886
30,16,10,5,1,0,0,53.01680778407407
26,21,10,17,1,1,1,55.03981674290672
29,28,5,7,0,0,0,52.189427545535786
35,20,8,8,1,0,0,54.807457650362686
28,21,5,9,0,0,1,57.04623730657708
32,34,12,7,1,0,1,53.67549870470825
48,31,10,11,0,0,0,58.29473704278727
26,25,5,9,0,0,1,56.635277470287086
28,20,13,14,1,0,0,50.11353201828
24,23,7,23,1,1,1,54.52267146798862
34,15,4,20,0,0,0,58.57814006701256
35,29,9,14,0,0,0,52.5224427235147
24,21,9,20,0,0,1,53.63729593771152
33,23,6,12,0,1,0,54.10804893496728
32,25,9,11,0,0,1,56.27349089248766
16,17,12,20,0,0,0,49.36249304103234
41,30,9,7,0,0,0,54.75447689846131
23,26,9,15,1,0,0,50.73930668133894
37,18,13,18,1,0,0,55.294453481496646
33,27,11,14,1,0,1,54.65544861818902
23,13,11,15,1,1,0,50.23664491753336
24,16,12,25,1,0,0,51.79658391351384
27,23,12,18,1,1,1,53.22647387440768
31,10,9,14,1,0,1,57.95502358497059
43,23,8,16,0,0,1,60.12737386097932
39,24,8,5,1,1,0,54.30864895510561
45,28,9,20,0,1,0,57.4067138645695
22,23,8,15,1,0,0,50.29682750282531
25,21,9,7,1,1,0,50.055133707697244
31,9,6,18,0,1,0,58.34179916701545
27,21,7,9,0,0,0,53.31307202225037
42,29,8,12,0,0,0,56.90817292178121
29,11,7,10,0,0,0,54.51485332267789
35,27,11,11,0,0,0,55.77045369010364
26,15,11,11,1,1,0,50.3709961273039
31,25,9,23,1,1,1,55.308083015906575
34,21,12,16,1,1,0,52.99778577299679
33,21,11,14,1,0,0,53.19459221623688
13,14,13,12,1,0,1,50.23406612259127
26,22,7,19,0,1,0,52.40471124463403
27,17,5,9,1,0,1,55.6665877868575
33,28,15,12,1,0,1,52.44834019761418
35,12,5,10,0,0,0,58.0509655934728
24,17,5,2,0,0,0,51.9297177779563
30,26,12,7,0,0,0,51.24831122700388
37,15,12,7,0,1,0,55.71404028726129
34,15,11,13,1,1,1,55.18648554997302
32,21,3,19,1,0,0,57.54841739127607
18,13,9,21,1,1,1,52.77133822204487
26,19,9,17,0,1,1,52.28933269659219
41,22,11,2,0,1,1,56.97474948487056
24,19,7,16,1,0,1,54.19739018208131
39,16,6,17,1,0,1,61.4796032684117
32,19,6,17,1,0,0,56.16070666264342
20,23,9,10,1,0,0,49.060568238886
28,22,9,9,1,0,0,51.28531624937856
29,22,13,23,0,0,0,53.91354520074935
32,16,8,10,1,0,0,55.16664651715997
22,24,9,21,1,0,0,48.996888875371205
33,18,12,13,0,1,0,54.87576642994889
37,30,11,9,1,0,1,55.28525306698229
27,28,15,21,1,0,1,50.88335965103776
43,19,10,14,1,0,1,60.57332990973266
34,35,12,11,1,1,0,49.11537020720952
37,20,9,19,1,1,1,58.45385840973542
33,15,11,11,0,0,1,56.936986649213736
30,20,9,8,1,1,1,53.51264605579526
25,31,10,20,1,1,1,52.27470294279557
28,22,8,14,1,0,1,56.15457389809893
32,26,7,14,1,1,1,54.39052685467025
21,22,12,7,0,0,0,50.46854528667046
22,24,9,14,0,0,1,51.43231439676136
35,22,7,7,1,0,1,58.3368885769158
36,26,7,14,1,1,1,58.47338922823368
28,15,9,8,0,0,1,55.511564589488856
32,32,11,15,1,0,0,52.35086556893086
34,22,10,8,0,0,0,55.77347636826867
27,16,10,22,0,0,1,57.74123301184136
46,17,9,15,0,1,0,59.12988341815808
14,25,8,19,0,1,1,50.860281196129705
26,12,8,16,1,0,1,57.19433078752051
24,19,8,11,1,1,1,53.02422054146986
33,24,7,14,1,0,0,54.50032514866268
34,14,9,22,0,1,1,59.56763071940263
22,21,12,13,0,1,1,52.408053097200806
20,15,10,16,0,0,0,50.83482038046738
25,22,10,19,0,0,1,54.90950266981741
43,24,13,17,0,1,0,54.74764300463897
39,20,8,16,0,0,1,61.31295322235705
37,25,12,16,1,1,1,55.71744884595227
21,18,12,12,0,1,0,50.15203727479749
19,21,9,8,1,1,1,51.55343573444354
17,29,7,10,1,0,0,49.120991497631465
14,17,10,10,1,0,0,46.87809342091671
27,21,6,8,1,1,1,52.49105860691325
36,12,3,11,0,1,1,62.10844949707953
25,14,11,14,1,1,1,54.47511383960472
29,32,14,8,0,0,0,48.29000815636435
37,13,11,13,0,0,0,57.445933953976905
31,20,16,18,1,0,0,51.69006715388155
36,20,6,9,1,0,1,57.69629530796723
39,20,8,16,1,1,1,57.55134824852208
24,30,7,12,0,1,1,52.93035302633896
26,15,14,15,0,1,0,51.99686902439103
29,27,12,16,1,1,1,53.20841479705852
14,27,9,11,0,0,0,48.77501962940615
30,13,12,20,1,1,1,55.68516614654842
30,21,15,10,0,1,0,50.29368713752913
25,24,11,0,0,0,1,51.324091123020565
25,25,9,16,0,1,0,50.557459266896124
24,15,12,14,0,0,0,52.55204895975034
25,29,14,16,1,1,1,51.39843368003869
38,6,11,12,1,1,0,56.36688898702568
42,21,8,22,1,0,1,60.059286069666506
30,15,9,18,1,1,1,56.28896367983727
42,20,10,14,0,1,0,57.768680427683805
31,28,9,13,0,0,1,54.70852455831013
29,16,9,21,1,0,1,56.6971376759094
21,21,8,16,0,0,1,55.07779402004156
32,20,6,13,0,0,1,58.90689368550986
26,26,11,11,1,0,1,54.1368551480783
45,3,9,12,1,0,0,62.63241042371232
29,15,7,7,0,0,0,54.31246190235193
24,15,10,13,0,0,0,55.13871758561898
25,14,9,19,0,0,1,55.51016767125424
27,17,12,11,0,1,1,55.080948823636405
23,23,9,14,1,0,1,53.86960540263735
35,7,10,15,1,0,0,58.40113342886157
39,21,11,14,1,0,0,56.18856932536264
15,11,8,21,0,0,1,55.32451844736404
26,18,11,4,1,0,0,50.81575604512137
7,25,8,3,1,1,0,44.88051967212041
16,26,12,11,1,1,0,44.48755338335409
15,15,14,19,1,1,1,50.5343541652815
14,24,10,12,1,0,1,49.62726501329119
29,14,12,6,0,0,0,51.49905211420253
44,19,10,11,1,1,0,56.25837546289242
32,23,10,18,0,0,1,57.446292257977234
33,23,13,18,1,1,0,50.582811858639936
26,17,8,13,0,1,0,53.41021242528592
35,17,14,4,0,0,0,53.96147490456267
43,15,12,12,1,0,0,57.40379196010049
33,15,12,16,0,0,0,54.0093732517038
34,24,9,18,0,1,1,58.16032053064203
36,26,9,11,0,1,0,53.36309492982561
16,12,15,22,1,0,1,51.15070936307399
31,24,7,11,0,0,0,53.27941923089057
22,16,7,2,1,0,0,50.74042798652263
34,25,12,7,0,0,0,52.81605234341719
34,13,13,16,0,1,0,55.90269892875466
27,21,7,17,1,0,0,51.7632126897421
32,24,8,20,1,1,1,55.924938072544855
30,14,16,7,0,1,0,50.250372379265066
44,27,7,12,1,0,0,56.40398122229896
22,16,7,13,1,1,1,54.3602993862695
36,30,8,13,1,0,1,57.10165316285604
23,26,10,12,0,0,1,52.951453355095154
20,30,13,14,1,1,0,47.12646279602507
22,23,10,6,1,0,0,48.692766799933565
36,26,12,4,1,1,1,52.43463888235307
31,20,7,10,0,1,0,52.766041810675446
40,17,16,10,1,0,0,54.52483809525266
34,17,13,20,0,1,0,56.14229676347693
18,11,9,6,0,0,1,55.28821912296804
17,12,10,7,0,0,1,53.62598756309217
28,18,7,17,1,0,1,57.62371288121275
35,14,13,9,0,1,0,55.54685830948981
22,10,11,12,0,1,0,54.0479553584552
28,23,9,6,1,0,0,52.31038293644213
33,20,8,9,1,1,0,52.038198791607606
36,13,11,5,1,0,0,54.37157794242853
39,26,15,12,0,0,0,53.24094980607077
27,11,7,9,0,0,0,55.4058850250119
35,24,11,18,0,1,1,55.34663045504495
14,17,13,27,0,1,1,50.96407529872609
12,24,7,16,1,1,1,50.84014131521273
36,17,9,0,0,0,0,55.22592715613626
37,19,14,7,1,1,1,56.492679563370416
24,16,15,26,0,0,1,53.31131517574774
18,19,13,16,0,1,0,48.715124279466345
24,16,11,14,0,1,0,53.31720745765908
43,23,6,14,0,0,0,59.51506472334346
31,20,6,12,0,0,0,54.90164189286845
20,34,9,11,0,1,1,50.590825216991824
34,22,8,12,0,1,0,54.95772753116825
43,17,14,9,1,1,0,54.48290222042356
36,26,9,16,1,1,1,55.90616456748766
29,17,18,12,1,1,1,54.06565234522255
50,16,13,13,1,1,0,60.38954209857534
14,23,6,23,1,0,1,54.2649817740633
35,17,7,24,0,1,1,60.51988713691137
25,10,6,21,1,0,1,57.12022590212823
28,14,8,7,0,0,1,56.85230105455857
36,27,14,9,1,0,1,54.45066955269661
35,24,9,10,0,0,0,54.733038415314624
38,13,13,26,0,1,0,56.86702253949392
17,27,12,19,0,0,1,51.55331716828856
28,27,15,21,1,0,1,52.92698165126306
34,16,14,8,0,0,1,57.487315072752544
34,13,9,16,1,1,1,58.12166557969024
17,22,9,12,0,0,0,49.9380659778255
33,17,10,11,0,0,0,55.28431512181411
41,22,6,23,0,0,1,62.2854767195174
17,22,6,22,1,1,1,53.87130715102643
35,16,11,8,0,1,1,57.51243155669361
39,18,9,8,0,1,1,58.68048679218979
16,17,8,16,1,1,1,53.49515155203878
32,19,10,9,1,1,1,55.83992857373465
35,20,9,18,1,1,0,54.74213816614958
21,17,7,5,1,0,1,53.44964595479899
29,29,12,20,1,1,1,52.00431719657172
25,23,10,24,0,0,1,54.36261410890254
26,35,7,19,1,0,1,53.25687576312176
38,21,16,15,0,1,1,58.77429958447231
31,19,10,17,1,0,1,55.09782301751635
29,7,11,17,1,0,1,57.756394004543054
41,16,11,13,0,1,0,57.07407978197735
18,24,4,11,0,1,0,51.98775208288413
27,16,11,9,0,0,0,51.34771278947469
35,15,11,7,1,1,0,53.58247686836923
40,26,14,16,1,0,1,55.16391831287103
37,22,11,7,0,0,0,54.97128050351173
29,21,8,6,1,0,0,52.34128111565816
37,20,9,16,0,0,1,62.22565727710728
36,25,10,6,0,0,0,54.45913959137194
22,21,8,14,1,1,1,54.97192686791573
18,22,4,12,0,0,1,54.35832727746463
22,21,12,11,1,1,1,51.3209968116149
37,14,7,18,1,0,0,58.5549258083321
19,32,11,16,0,1,1,49.95483666619053
32,19,8,17,1,1,0,54.584466911906354
31,17,9,18,0,1,1,57.520130460050666
27,21,11,5,1,1,1,52.66904140458055
37,13,11,20,1,0,1,59.78551837845095
25,31,11,17,0,0,1,52.86111721252424
31,23,9,13,0,1,1,56.636877672796295
39,17,13,19,0,1,1,57.964511618921286
21,20,9,12,0,0,1,52.79057207094458
32,14,14,19,1,1,1,56.76127975883552
26,18,10,20,0,1,1,56.70428709717256
18,20,14,19,1,1,0,48.18091424223618
37,25,11,12,1,1,1,54.203308379031256
26,17,8,27,0,0,1,58.35048878826184
32,16,5,22,0,1,1,60.28756178297932
15,28,12,16,1,0,0,46.98221292553714
27,22,13,14,0,0,1,54.20248020884341
37,31,13,11,1,1,0,52.16543468849408
53,25,7,11,0,0,0,60.6145402871572
24,22,8,16,0,1,0,51.80978300745116
18,18,8,16,1,0,1,54.27688077669912
36,27,9,23,1,0,0,54.8267879477031
35,32,10,17,1,0,1,56.55995852335759
35,14,11,11,1,0,1,59.0161346495332
35,22,5,20,0,1,1,58.94985362434
45,18,6,11,1,0,0,58.48103876443299
38,17,7,7,0,0,0,56.55674893258145
30,13,17,15,0,0,0,52.42089739575896
25,12,11,22,1,1,1,56.57042377980956
26,30,4,9,0,1,1,52.45275159747688
21,18,14,11,1,1,0,49.441341325777856
40,18,6,19,0,0,1,62.265440128081714
35,13,7,15,0,0,0,58.51056635761093
23,28,7,20,1,1,0,49.92373068143349
33,11,13,15,1,0,0,56.66301922774088
34,19,12,8,0,0,1,56.5376617207889
35,21,4,6,1,0,0,55.874600662689744
41,14,9,14,0,1,1,60.87117643393563
22,27,7,18,1,1,1,53.32207136240245
34,24,8,17,0,1,1,58.72459117762576
33,13,10,17,1,1,0,55.3769266899331
29,23,3,12,1,1,1,56.61094907872115
30,18,13,8,1,0,0,50.82521232488711
49,19,8,11,1,1,1,61.91039581561368
24,18,7,10,0,1,1,54.40133712623303
30,20,11,15,0,0,0,54.10334608192355
43,21,9,9,0,1,1,60.87655401053454
39,23,7,14,0,1,0,57.077881577972974
27,30,7,7,1,0,1,53.47028119228443
43,25,15,14,1,1,1,57.84596332897343
25,29,9,16,0,1,1,53.504112693791264
43,23,12,21,1,1,0,56.46976468472637
27,20,9,15,0,0,1,55.580545948094986
32,12,9,11,0,0,0,56.99762387514925
29,12,11,14,1,0,0,53.12728096695769
23,14,7,17,1,1,0,53.652289696768605
37,22,6,15,0,0,0,58.02305292979931
17,9,8,11,0,0,1,55.48912979765833
42,14,9,12,0,1,1,63.88588442353231
35,21,8,23,1,0,1,58.214320250471296
30,13,10,25,1,0,1,59.462098366980754
22,27,11,14,1,0,1,52.14086192548816
18,19,9,17,1,0,1,53.24221875819299
27,24,12,12,1,0,1,50.89820374602917
34,21,9,12,0,0,0,55.49956858914808
27,15,11,11,1,0,1,55.68078066780245
36,6,11,17,0,1,0,59.5076551517114
22,12,7,19,1,0,0,53.350681913386566
28,19,11,13,0,1,0,51.70241362891221
39,16,11,10,0,0,0,57.10391881183153
41,11,13,13,1,0,0,56.49330313084516
38,22,13,13,1,1,1,56.31050029316362
28,19,12,9,1,0,0,51.616298491687154
29,11,10,13,0,0,0,55.17752746172442
35,19,13,14,0,1,0,53.79386373338584
38,19,12,20,0,0,0,58.88716296860146
28,13,12,10,0,1,0,52.09195325500949
34,17,9,8,0,1,0,53.22957443512265
14,19,15,12,1,0,1,47.67083027768666
29,17,8,19,0,0,1,57.31506503437389
31,12,9,15,0,1,0,55.221027112282194
48,18,7,21,1,1,1,62.73268685461031
33,20,9,13,1,0,1,56.71714667317549
24,35,8,9,1,1,0,47.47642631834346
17,25,10,22,0,1,1,50.84011183098164
28,25,14,14,1,0,1,52.05150571735808
47,26,11,9,0,1,1,59.28248087128008
26,19,8,12,1,0,0,52.70468066365276
32,17,11,14,1,1,1,55.97326713767381
32,16,8,11,0,0,0,56.01898579285637
30,22,12,10,1,1,1,51.985897618929485
13,12,9,19,1,1,1,54.18341571699018
20,22,9,16,1,0,1,53.23923491711093
30,12,10,11,1,1,0,55.28765650150215
32,27,9,21,1,1,1,57.18867046486032
33,18,10,8,1,1,0,52.73046041273462
34,19,9,12,0,1,0,53.67580270928413
28,25,12,18,0,1,1,52.90494666751468
17,7,12,3,1,1,1,52.41105834990572
21,22,13,16,1,0,0,48.869536503146655
35,24,6,8,0,1,0,52.771647607210845
14,23,13,8,0,0,1,48.47356514850696
25,15,7,16,1,1,0,52.2437723600388
43,16,8,7,1,0,1,59.73962154926217
22,10,14,11,0,0,1,55.21960852363146
29,19,7,26,1,1,1,56.931893738386485
28,17,5,21,0,1,1,58.57527324999511
39,25,9,7,0,1,0,54.94138294376313
28,11,12,11,0,0,0,54.6376095819458
7,13,12,14,0,1,1,50.47882282450678
40,9,16,9,0,1,0,55.92609452658087
28,29,14,13,0,1,1,52.03694265707821
22,19,13,11,1,0,0,47.46383837507966
31,18,2,14,0,0,0,58.13766280476517
23,22,3,13,1,1,0,51.3253101985427
35,21,7,15,0,1,1,58.50752841711998
29,14,8,6,0,1,1,56.18586929240073
25,26,8,16,1,1,0,49.342733244116765
25,20,7,7,1,1,0,51.5965539765112
28,19,9,12,1,1,0,52.52685864330002
31,14,7,18,1,0,1,58.0296814971444
41,3,8,15,0,0,0,60.78520350613761
37,19,8,12,0,1,0,56.86842517392862
24,26,11,16,0,1,1,53.49516649476057
26,14,12,8,1,1,1,54.50737031378706
12,26,14,17,0,1,1,48.51748597121321
29,18,5,9,1,1,1,57.56356564493105
33,21,9,19,0,0,1,58.8171287659335
22,17,4,18,1,1,1,56.6249838699063
53,12,5,14,1,1,0,64.50224479625423
32,16,9,14,1,0,1,58.01313066213715
27,28,5,10,1,0,0,51.78030602932319
26,21,10,16,0,1,1,53.79805315016518
32,12,7,11,1,1,0,53.83074260135825
33,32,11,13,0,1,1,52.33093516076309
24,24,10,18,0,1,0,51.42385192978322
32,24,10,10,0,0,0,53.78845952827231
38,22,9,14,1,1,1,58.92871399892724
32,17,9,11,0,0,1,57.62730520034388
24,19,9,17,1,0,1,54.67073887401197
41,23,11,22,0,0,1,59.57191002712012
42,19,6,14,1,1,1,61.01462944276191
27,26,10,8,0,1,1,53.3830735721398
41,19,12,11,1,0,0,55.395111637599605
16,26,8,15,0,0,0,50.79573435012003
31,23,8,11,0,1,0,54.32979673975703
22,16,9,12,0,0,1,56.12124662004979
38,14,13,2,1,1,0,54.26510442795022
29,14,5,12,0,0,0,56.58343715577079
25,15,7,8,1,1,0,51.9597310549348
31,16,4,10,0,0,0,58.03176826593427
34,9,13,19,1,1,1,58.490745822292695
32,10,12,20,1,1,1,56.66395355200787
16,16,-2,10,0,0,0,53.847402575952906
30,32,18,25,1,0,1,50.12082450314111
34,22,10,-9,0,1,0,53.223347552202334
19,20,8,20,1,0,1,55.48664018835075
27,13,7,19,1,1,0,53.512186862372815
27,22,15,18,1,0,1,52.05469308714133
29,25,13,18,0,0,1,53.73819023827343
34,23,8,11,0,1,1,57.29454424744405
27,17,13,13,1,1,0,50.81797708144232
37,15,8,2,0,0,0,56.17314297896586
22,9,3,22,0,0,0,56.09827794855598
27,11,11,10,0,0,1,55.89982688013957
27,26,15,19,0,0,1,52.59009144708564
41,11,14,0,0,0,0,55.539889865695145
38,15,8,7,0,0,0,57.57664832203783
32,21,7,14,0,1,0,55.48769314601168
19,20,9,10,1,1,1,52.71778117190682
28,28,11,11,0,0,1,53.6361401427546
23,22,12,14,0,0,1,53.78273193226492
34,23,13,18,1,1,1,55.34532922643972
23,19,8,12,0,0,0,52.11081850387115
40,7,8,16,0,1,0,58.47421195044369
31,28,7,11,0,1,0,53.24443564726867
13,19,10,13,1,0,1,51.16915977763252
17,26,8,15,0,1,1,51.35641427353815
30,15,5,19,1,1,1,58.93909234441898
29,21,10,12,1,0,0,55.507783522619945
28,20,5,12,0,1,0,54.23155419275745
41,13,7,14,0,1,0,58.441369956739535
23,15,8,14,0,0,0,52.54763668965799
31,21,13,13,1,1,0,53.12139836548185
