defendant_age,prior_convictions,severity_of_crime,legal_aid_received,lawyer_experience_years,plea_bargain_accepted,community_service_completed,victim_impact_statement_presented,restorative_justice_program,recidivism_rate
35,22,3,20,1,0,0,0,0,86.12916155825279
7,18,5,18,0,1,0,0,1,88.50234850072603
8,24,7,22,3,1,0,0,0,89.99048875900395
29,30,9,16,0,0,1,1,1,98.86143039946728
27,21,0,12,1,0,0,1,1,87.44911293966068
35,18,6,17,2,1,0,0,1,90.18762744901782
37,17,9,10,2,1,0,0,1,87.72387409016368
15,20,5,21,2,0,0,0,1,92.55776947293928
23,20,0,14,3,0,0,1,0,81.36146659966602
38,23,7,14,1,0,0,0,0,83.12321092453939
21,22,4,19,2,1,0,0,0,84.44246284044397
19,30,8,16,1,0,1,1,1,99.30898527271935
20,23,5,15,2,0,0,0,1,92.40958702119626
30,27,3,16,1,1,0,0,0,85.97230366316691
-1,21,4,14,1,1,0,0,1,88.71184609945543
35,13,7,22,1,0,1,0,1,92.45324307782457
3,23,2,20,2,0,0,1,1,93.35759131684452
19,25,4,19,3,0,0,1,0,88.25983513312813
39,24,5,10,2,0,1,1,0,82.69290999609878
31,22,4,13,2,1,0,1,0,82.22833958330462
25,28,3,7,3,1,0,0,1,92.06122136023592
22,24,6,5,0,1,1,0,1,84.10603705333425
30,26,5,19,2,0,1,1,0,91.56041865716686
20,15,4,12,1,1,0,0,0,75.4723676471646
23,27,3,16,2,0,0,0,1,96.69697940134188
19,26,4,3,3,1,0,0,1,86.61598408649719
20,26,5,16,2,1,0,0,0,85.7507894277558
33,22,3,15,3,0,0,0,1,91.49490588291344
33,25,5,19,2,0,0,0,1,99.08709643255222
16,15,8,14,0,0,0,1,0,75.18161597358137
27,15,6,14,1,0,1,0,1,86.76748936466069
21,25,7,13,1,0,1,0,1,92.5852058302754
32,28,3,16,2,0,0,1,1,98.76800965174942
29,29,7,16,1,0,0,0,1,96.92255841882216
10,22,7,16,0,0,0,0,1,91.45704396935602
33,18,5,7,1,1,0,0,0,74.56329297610951
32,23,8,18,2,0,0,0,1,98.1073823561901
15,26,9,19,1,0,1,0,0,89.3441642051816
18,27,6,12,1,0,0,0,0,83.833303223145
12,23,3,15,2,0,0,1,1,91.23713410123445
27,21,8,13,2,0,0,0,0,82.24680057506981
17,20,5,18,2,1,1,0,1,93.79877112513029
13,21,7,9,2,0,1,0,0,78.70119459540715
37,17,5,14,1,0,0,1,1,86.08841790605743
15,28,6,8,1,1,0,1,1,89.43577385887751
32,23,2,13,2,0,0,1,0,81.86088188160527
42,24,7,22,1,1,1,0,1,99.27539178344078
26,21,6,20,2,0,0,1,0,85.07467123502484
8,29,4,17,0,0,1,1,1,97.6228532932257
22,20,7,12,3,0,0,1,0,79.63437204885048
20,21,3,10,2,1,0,0,0,76.49189651581666
20,22,6,17,2,0,0,0,1,92.6992756945699
27,18,4,16,0,1,0,0,1,89.25904372662605
23,29,3,15,0,0,0,1,0,88.07464956460663
25,26,4,13,0,0,0,0,0,86.03802411831309
25,18,3,17,0,0,1,0,1,89.75031498227135
27,24,9,18,3,1,0,1,0,88.11317934895064
23,23,5,19,3,0,0,0,0,86.32850227612465
22,25,4,16,3,1,0,1,1,94.55304222200094
16,26,8,17,0,0,0,1,0,87.64666681947077
21,25,4,17,0,1,0,1,1,93.24378597766878
30,18,3,21,3,0,1,0,1,95.66085187774767
42,22,6,15,1,0,1,0,1,93.12202101398948
34,25,7,12,2,1,1,1,0,86.76499596344507
15,17,5,4,1,0,0,0,0,70.84929513018962
9,19,8,9,3,1,0,0,0,76.27657131687764
27,24,2,12,1,0,1,1,1,91.0015354072746
34,19,7,12,3,1,1,1,1,88.94204321290344
35,17,6,22,1,1,1,0,0,86.02766687333758
31,21,4,13,3,1,0,0,1,91.11539263685076
11,23,8,19,3,0,0,0,0,85.52431169565884
28,18,6,22,3,1,0,0,0,85.29701460973537
21,29,5,23,2,0,1,0,1,103.05220223324068
32,23,6,18,1,0,0,0,1,95.39498951032968
34,23,10,13,3,0,1,0,1,95.39506955457897
30,22,2,17,2,0,1,0,0,84.93792955286015
18,26,4,15,0,0,0,0,0,83.3473058210511
11,21,6,15,2,0,0,1,0,80.00608251194929
23,29,6,24,1,0,0,1,0,93.02461799616816
19,19,4,14,1,1,0,0,1,89.19810775275944
28,17,5,18,0,0,0,1,0,81.73086366550504
27,20,5,18,0,0,0,0,1,92.03319031907102
29,22,8,13,2,1,0,0,1,92.77030002760412
26,26,6,19,1,0,1,1,1,97.5257472633658
15,21,9,13,1,0,0,0,0,78.58012243627789
0,23,9,15,3,1,0,0,0,82.65876777122699
20,28,5,18,2,0,0,1,0,88.29368952260351
39,32,4,17,1,0,0,1,1,101.5342042261475
23,27,8,20,0,0,0,1,0,89.04437235045468
32,18,6,15,0,0,0,0,0,80.40564673682809
17,28,8,9,0,1,1,0,0,83.7562077157741
32,24,4,19,4,0,1,0,1,98.72996538965327
11,29,5,17,2,0,1,0,1,97.80687094264148
21,18,6,16,2,1,0,0,1,88.4067886589961
32,17,4,11,4,1,0,1,0,78.50624121771196
42,20,11,17,2,0,0,0,0,85.99654309931078
25,20,3,23,1,1,0,1,0,86.96488223912854
33,22,1,14,2,0,0,0,1,91.48879202224494
23,27,1,12,1,0,0,0,1,91.56907872009482
30,18,3,11,3,0,1,0,0,80.26007305993802
19,18,4,19,2,1,0,0,0,81.11244210570189
17,19,5,9,3,1,1,0,0,79.1899487538248
23,31,4,17,2,1,0,0,0,89.88787599092124
13,23,7,14,0,0,0,0,1,89.65371591772477
30,23,6,22,2,0,1,0,1,97.01278012658632
25,24,9,12,2,0,0,0,1,90.48558682507344
34,16,2,20,1,1,0,1,1,90.90124556794598
16,19,5,15,1,0,0,1,0,79.31156847051216
26,24,4,16,2,1,0,0,0,84.48436548189227
22,31,4,21,1,0,1,0,0,94.34445940725249
31,27,9,18,1,1,1,1,0,89.02689456893506
54,23,6,21,1,1,0,0,1,99.98705285196384
16,22,11,11,1,0,0,1,1,88.74452950727371
16,24,5,10,0,1,1,0,1,88.77300320144238
29,20,6,14,2,0,1,0,1,94.51494305239166
36,24,4,10,1,0,0,0,1,90.99987974009994
25,22,5,15,1,0,0,1,0,82.15676020169484
29,20,2,13,1,0,0,1,1,87.91928006769233
13,23,8,15,3,1,0,0,0,81.94721375671128
28,28,5,15,3,0,1,1,1,99.35842041081204
23,28,7,19,0,0,1,1,1,99.39001057182968
45,23,7,19,2,0,0,0,0,90.14632123753506
22,22,4,16,0,1,1,0,1,92.62524796698492
21,20,5,11,3,1,0,1,1,88.47141929926882
10,24,5,18,1,0,1,0,0,85.14707592144269
45,24,4,11,1,1,0,0,0,82.27338956166223
15,12,4,9,2,0,0,1,0,69.79911859065236
27,34,2,19,1,0,1,1,1,102.7762830881056
38,24,1,15,2,0,0,0,0,82.5301832545259
5,25,8,19,4,0,1,0,1,98.02457920423342
30,27,5,17,1,0,0,0,0,88.54790421619387
19,20,5,11,2,0,0,0,1,86.54700376463657
9,23,2,10,1,1,0,1,1,88.21161491057394
8,24,3,17,0,1,0,0,0,83.18390781500001
31,16,8,7,1,0,0,0,0,72.75583093929363
25,21,5,12,2,1,0,1,1,89.84157333157626
41,23,5,8,2,0,1,0,0,82.34271352841611
24,24,4,11,3,0,0,0,0,80.80085733344207
21,20,3,14,1,0,0,0,0,77.68895296241162
10,26,5,15,1,0,1,0,0,85.81945018788315
30,22,5,16,3,0,1,0,1,93.11082413435616
15,23,5,25,1,0,0,0,1,98.0347275293454
29,24,7,16,2,0,0,0,1,94.20469093628527
12,30,8,23,0,1,0,0,1,101.1981397943001
32,21,4,10,3,0,1,1,0,80.93682287874425
18,25,8,19,2,0,0,0,0,86.90422394340958
36,24,2,23,1,0,0,0,1,98.01414415831668
-2,25,4,14,2,0,1,1,1,90.81643306340764
29,17,10,17,1,1,0,0,1,90.0956795362101
25,25,7,19,2,1,1,0,0,89.89739871764337
35,20,6,16,1,0,1,1,1,92.98516943933468
13,28,4,19,1,0,0,0,1,97.19522409111671
16,18,2,17,2,1,1,1,1,90.18702469706582
21,31,9,13,1,0,0,0,1,95.0712654512056
31,31,3,17,1,0,0,1,1,99.24325894302368
35,27,1,11,1,0,0,0,0,83.50420639226199
27,23,6,18,3,0,1,0,0,87.78156684995201
27,27,6,9,1,1,0,0,0,82.50820753487984
38,16,6,19,3,0,0,0,1,91.64940384894392
22,24,11,16,2,0,0,0,1,94.60781462192035
5,30,9,12,2,0,1,1,0,86.47853302015294
3,25,8,14,2,0,0,1,0,83.22696020389235
20,23,5,13,1,0,0,0,1,89.75656293106768
9,24,4,11,1,0,1,0,1,89.15731805728502
15,25,7,16,0,0,0,1,1,92.2374598012004
37,21,6,10,2,0,1,0,1,90.19735344088116
29,31,7,20,1,0,0,0,1,102.1892118235506
21,22,7,14,2,0,0,1,1,91.4175626873482
33,17,7,15,2,1,0,0,0,81.0816341082918
34,25,6,18,3,0,1,0,1,99.20464599961537
20,22,7,9,3,1,0,0,0,79.99992138992194
31,24,10,15,1,0,1,0,1,94.58741941994846
35,24,7,17,0,0,0,0,0,85.76414749943918
23,29,7,17,1,0,1,0,1,98.47284188103777
23,22,6,25,1,0,0,0,1,96.45818872797646
33,24,8,11,1,0,0,0,1,89.82222610202066
35,19,6,15,2,0,0,0,0,82.71705573092703
10,11,5,22,2,1,0,0,1,88.5306900118474
18,24,3,14,2,0,0,0,1,92.12949134516124
6,20,2,13,1,0,0,0,0,75.36136973421706
21,21,2,20,2,0,1,0,1,96.21729957415822
9,20,6,13,2,0,1,0,1,87.2212698022312
24,24,6,20,1,1,0,0,1,95.50680394588404
26,23,6,21,1,0,0,0,1,96.43805008340966
5,31,0,20,0,0,0,1,0,88.81156004261364
28,26,1,18,2,0,0,1,0,87.989761685575
13,33,7,17,1,0,1,1,0,94.8461488449564
24,21,9,21,1,0,0,0,1,95.25378602507531
24,21,4,21,0,0,0,1,1,93.47967415648844
35,24,4,13,3,0,0,1,1,93.83699200116908
44,21,6,10,1,1,0,0,1,88.22309851416122
32,27,7,23,1,0,0,0,0,93.59296763616553
28,15,6,11,3,0,1,0,0,77.82799217674012
31,29,4,10,4,1,1,0,0,89.07145029097819
13,25,0,10,2,0,0,1,0,81.04400794185858
47,27,3,18,0,0,0,0,0,89.52349129083957
25,32,7,23,1,0,0,0,1,103.64453849283603
23,32,3,13,2,0,0,1,1,96.10977187145794
30,24,7,13,1,0,1,0,0,82.65765444858697
1,23,5,18,1,0,1,0,0,83.50909675195773
25,21,4,13,1,1,1,0,1,89.72324969616328
7,24,3,12,1,0,0,0,0,77.97545167265248
14,15,-1,12,2,0,0,0,0,73.90795843665742
32,23,8,14,0,0,0,1,1,91.23731186482048
29,20,6,15,1,0,0,0,0,83.66785648369151
14,20,2,17,2,0,0,0,1,88.63311016030944
9,27,4,13,2,0,0,0,1,90.20049454974922
21,26,7,13,0,0,0,1,1,93.45574009367758
25,26,5,19,2,1,0,0,1,96.76873738217436
28,22,1,14,3,0,1,0,1,91.59909578226136
45,21,5,11,0,0,1,1,0,81.03739760272384
11,25,10,18,2,0,0,1,0,85.53888965221162
3,25,7,13,1,1,1,1,1,91.12811553484298
24,20,3,19,3,0,1,0,1,93.20399186868518
22,21,8,11,2,1,0,0,1,86.52289493747249
6,23,5,10,2,0,0,0,0,77.79898503215205
22,22,5,11,1,1,0,0,1,87.81710011572787
43,23,5,15,0,0,0,0,1,92.70185252835589
40,15,5,6,1,1,0,0,0,72.74005152512468
31,21,5,11,2,0,0,0,0,81.17624312668299
31,24,3,18,1,0,1,1,0,88.47313570637824
8,26,3,11,0,0,0,0,0,80.46769643241
32,27,9,13,1,1,0,0,1,94.93227443245904
19,33,5,17,0,1,0,0,0,92.09637924185051
28,28,7,15,2,0,1,0,1,97.14838549979416
19,29,2,18,2,0,0,0,0,90.52809715546545
31,18,6,14,0,0,0,0,0,77.66823837043496
18,14,6,18,2,0,1,0,1,87.88443839835338
38,27,4,15,2,0,1,0,0,86.50285504451558
15,23,6,17,3,0,0,1,1,95.2643505660107
11,23,4,17,2,0,0,0,0,82.09227685877329
16,25,9,17,2,1,1,1,0,85.39125989182006
12,17,5,14,1,1,0,0,1,87.42560414140536
15,29,4,22,3,1,1,1,0,92.45077255192952
25,23,6,18,2,0,0,1,0,85.60770439257686
24,28,5,11,1,1,0,1,0,84.07035372597151
15,22,7,13,3,0,1,0,1,91.12959374868268
-2,20,8,14,2,0,1,0,0,79.25132298203047
20,22,7,20,1,1,0,0,1,95.22187249570386
24,25,2,21,0,0,0,0,1,96.47181453965894
29,23,5,15,3,0,1,0,1,95.1882089549697
31,22,7,20,0,0,1,0,1,96.78021186277442
10,34,2,15,1,1,0,0,1,98.13766364760788
46,21,5,18,2,0,1,0,1,95.499219569807
41,21,10,19,0,1,1,1,1,95.74664263939796
1,23,6,13,1,1,1,0,1,87.87918726289017
27,27,5,12,1,0,0,1,1,92.91518213411912
29,21,3,15,1,1,0,0,1,89.71539616160271
34,20,2,11,2,0,0,0,0,79.41441189627842
21,19,2,13,0,0,0,0,0,76.40750144557899
14,22,8,22,1,0,1,0,0,85.94515406560409
27,23,4,24,2,0,0,0,1,99.50548131069426
11,22,9,16,0,0,1,1,0,80.75866623567057
49,26,5,24,0,0,1,0,1,103.26218027426238
29,17,7,20,1,0,1,1,0,85.46790424519766
34,25,7,14,1,0,0,1,1,94.82111005113214
16,25,8,22,1,0,0,0,1,97.43910412549664
32,22,5,14,2,0,1,0,0,82.88836284613093
18,25,3,12,2,0,0,0,0,81.65690952078967
15,24,4,12,1,1,0,1,0,81.15193209492757
11,24,8,19,2,0,0,1,1,94.67747565001476
38,30,7,16,2,0,0,1,0,90.79177561280844
-2,22,4,14,1,0,0,1,0,77.81915476416323
19,21,4,11,1,0,0,0,0,79.31046265910018
36,25,7,10,3,0,0,1,1,92.64509331891776
32,27,10,21,3,0,1,0,1,102.57186286399612
42,23,4,13,0,0,0,0,0,83.30433507512751
13,21,3,18,1,0,0,0,1,91.79938777310554
27,17,7,11,0,0,1,1,1,85.6414098781754
5,31,11,21,2,1,0,1,1,98.42169980010124
26,27,7,14,0,0,1,0,0,86.40185725589713
30,26,7,18,3,0,0,1,1,97.51475992134137
22,19,5,19,2,1,0,1,0,84.61059197981983
29,29,5,18,1,0,1,0,0,89.31976790483823
27,29,5,19,2,0,1,0,0,91.34025079309224
12,24,5,9,0,0,0,0,1,85.52850416947899
15,26,8,19,2,0,1,1,1,100.00841093035224
2,28,9,13,3,1,1,0,0,87.53216917294556
21,26,3,13,2,0,0,1,1,94.33941822053144
21,30,10,15,3,1,0,0,1,99.47107434410805
32,19,3,6,2,0,1,0,0,74.89421839241948
9,30,4,7,2,0,0,1,0,81.14691433905469
35,24,5,13,2,0,1,0,0,84.89795579194535
22,26,5,14,2,0,1,0,0,84.26080195674228
13,21,1,14,2,0,1,1,1,89.84577597339212
23,19,6,16,1,1,0,0,1,89.79478689689856
24,27,3,18,1,0,0,0,0,88.03093558692125
31,24,5,19,0,0,0,0,0,86.4029750355631
27,21,6,14,2,0,0,1,0,81.12993736719007
17,27,6,14,3,0,0,0,1,92.97269844812092
34,26,6,4,2,0,0,0,1,89.70991560289492
28,21,5,20,3,0,0,0,1,95.48605567703386
37,31,4,19,1,0,1,0,1,102.74851921389926
21,19,5,10,2,0,0,0,1,86.16065881916106
15,25,8,23,2,0,1,0,0,92.06600553838182
14,16,3,17,0,0,1,0,0,79.06112215875513
10,20,3,12,0,0,1,0,1,85.3242258903858
23,20,5,26,1,1,0,0,1,100.31650437220452
10,26,5,13,1,0,1,1,0,83.0162159881461
33,22,5,13,2,0,0,0,1,90.64109088982347
22,19,4,17,3,0,0,0,0,82.6432670309783
10,17,7,26,3,0,0,0,0,85.96048441650548
25,20,8,15,1,1,0,1,1,89.54239839674283
42,28,5,17,1,1,0,0,1,99.08700775902436
26,26,7,20,2,1,0,1,0,89.85970883703123
29,28,7,18,1,0,0,0,0,89.53755546355491
21,24,3,18,2,1,1,0,1,94.38382725840673
35,18,6,16,0,0,1,1,1,91.96095038723485
27,23,6,16,2,0,0,0,1,94.50274745760744
30,21,6,9,0,0,1,0,0,78.64873778639648
19,25,6,20,2,0,0,0,0,87.28356562802392
33,31,7,15,2,0,1,0,0,91.5074035203377
14,27,4,2,2,0,0,1,1,87.48992740316692
15,27,6,14,2,0,0,1,0,83.83824085629678
21,21,7,21,2,1,0,0,1,94.45066020308838
7,21,5,16,3,1,0,0,1,90.32645119303533
21,23,6,9,0,0,0,1,1,85.9986646240762
18,22,5,18,1,0,1,0,1,93.06350639023924
18,22,9,20,3,0,0,0,1,94.737751962171
31,21,6,12,0,0,1,0,1,86.9836453790335
24,19,5,15,2,0,0,0,0,80.4563277619922
36,28,8,8,2,0,0,1,1,93.71149877032822
27,28,5,15,1,1,0,1,0,86.9460868885719
25,21,7,20,0,0,0,0,0,86.30285003694075
22,24,3,13,2,0,1,0,0,81.60634495730297
11,27,4,10,1,1,1,0,1,90.05413342421761
32,22,2,7,2,0,1,0,0,77.42696040363083
23,17,1,14,2,0,0,0,1,86.94752313461323
19,28,4,6,1,0,0,0,0,80.59306167361324
29,18,4,16,1,1,0,1,0,78.63142471282657
23,21,1,6,1,0,1,1,1,84.64936947903372
30,28,9,16,2,0,0,0,1,98.26661915957844
15,19,10,13,1,1,0,1,1,87.98438536333389
26,31,6,16,2,0,0,1,1,100.66611224579148
24,23,7,14,2,0,1,0,0,84.18546633040717
20,25,6,11,1,0,0,1,1,91.17266988130127
23,31,4,14,2,0,0,0,1,96.85496054984162
35,25,6,15,1,0,1,0,1,95.98421067075752
29,32,8,10,1,1,0,1,0,87.23353093334251
14,20,6,10,2,0,0,0,1,85.454082793476
25,23,6,21,3,0,0,1,1,96.47259374219054
23,24,4,21,3,0,1,1,0,90.25714011177377
32,24,5,17,1,0,0,0,1,94.55871027123884
58,30,8,16,0,0,1,0,1,100.50644273342388
38,22,4,17,2,1,0,0,1,94.94669757327011
33,25,6,12,1,0,0,1,0,82.89194618982262
21,26,7,16,3,0,0,0,0,86.07194158350616
29,20,5,19,3,0,0,0,0,86.09575870601478
6,26,6,11,3,1,1,0,1,90.51324859927936
32,27,6,10,2,1,0,1,1,93.69896100354885
23,26,9,20,1,1,1,0,0,89.95870196817205
27,26,7,14,1,0,1,0,0,86.8667916520907
27,23,5,12,2,0,0,0,1,90.39989400299284
17,12,7,25,1,0,1,0,1,91.6608061339416
27,28,5,14,0,1,1,1,0,87.12219626156862
5,23,3,11,2,1,0,0,0,77.5411228191332
12,32,4,26,1,0,0,0,0,94.8493368398142
10,12,8,21,1,0,0,0,0,75.47143566332554
37,18,5,18,1,0,0,0,0,82.74198299367389
32,17,5,6,3,1,0,1,0,75.6067244274553
22,25,4,17,2,1,0,0,0,86.5983245198337
14,20,2,18,2,0,0,0,1,90.89551298126476
28,28,5,10,2,0,1,0,0,83.19964523461249
23,30,5,17,2,1,0,0,1,99.96416033584352
11,23,10,14,1,0,0,1,0,79.8804403921315
21,29,5,21,2,1,0,0,0,90.1302748594516
26,23,7,16,1,1,0,1,1,93.32676415016708
16,26,8,15,1,0,1,0,1,95.00317870361808
30,13,5,17,2,0,0,1,0,78.8301205776166
20,22,6,15,1,0,0,1,1,89.93547358740373
15,21,12,18,2,1,0,0,0,84.68501243699005
23,19,5,21,0,1,1,0,0,82.77049607637653
31,25,6,20,0,1,0,1,1,96.34068894898796
28,26,4,21,3,0,0,1,1,100.68392543183526
29,23,6,18,1,1,0,0,1,94.37766584627715
32,24,6,21,0,0,1,0,1,99.7624429182089
36,21,8,14,2,0,0,0,0,83.10080290321982
37,25,5,10,2,1,0,0,1,91.92707556617532
30,24,5,11,2,1,1,0,0,83.02791531173199
25,20,8,17,1,1,0,1,1,91.42224293026878
15,18,3,14,1,1,0,0,0,76.50815723725475
13,16,8,23,1,1,0,1,1,90.69735764885296
30,23,5,16,2,0,1,0,0,83.53010640409417
31,32,1,15,3,0,0,0,1,99.53259959769916
25,25,3,7,2,0,0,0,1,89.077498770951
45,24,5,22,2,0,0,0,0,91.29134169819636
33,28,7,17,2,0,0,0,1,97.59904655804434
35,23,5,24,0,1,0,0,0,89.76491078176868
42,19,7,11,1,0,1,0,0,79.7962208840915
18,27,7,16,2,0,0,0,0,85.0106246411272
26,23,3,13,2,1,0,0,1,89.42792048084226
23,27,4,10,2,0,1,0,0,85.07171083655606
15,19,4,17,3,1,0,0,0,79.71612071975314
31,22,3,21,2,1,0,1,1,93.87406171222491
15,17,8,12,2,0,1,0,0,77.47289824515997
22,24,5,15,1,0,0,0,1,92.92297701786954
17,21,6,11,1,1,0,1,0,79.14042243036755
31,27,5,16,2,1,0,1,1,95.45399898027216
10,25,5,16,3,0,0,1,0,84.81813186862844
23,27,6,12,3,1,0,1,1,93.84709645921602
13,28,4,7,2,1,0,0,1,88.11358932204546
23,27,2,11,1,0,1,0,0,83.14937554554103
22,26,6,8,1,0,1,0,1,91.3527006890252
38,20,2,12,0,1,1,0,0,80.6617261285729
38,29,9,17,0,0,0,0,1,98.23809502054986
41,22,9,22,1,0,0,1,1,98.07253447181094
13,26,6,13,0,1,0,1,0,81.57920508792371
36,14,3,19,2,0,1,1,0,82.75428408155202
20,22,6,17,2,1,0,0,1,92.19319386698297
12,20,6,11,2,1,0,1,1,87.94018149693673
39,29,6,13,2,1,0,0,0,88.69207765943881
29,26,8,15,0,0,0,0,1,94.63610521830402
25,22,2,14,2,0,0,1,1,91.7884982076908
21,23,4,13,2,1,1,0,0,83.1989620159971
18,20,5,18,1,0,0,0,0,82.13217159606248
14,18,5,14,1,1,0,1,1,85.35111831016067
12,24,5,13,2,0,0,0,1,90.86263865296873
37,21,5,24,2,0,1,1,1,98.1245894844575
39,16,6,17,4,0,1,1,0,84.805076758664
14,28,4,9,2,1,0,0,0,82.45202027574986
33,24,7,19,1,0,0,0,0,87.9957400886387
30,15,6,15,0,0,1,0,1,85.92751181185398
15,29,5,7,1,0,1,0,0,81.35529034113141
14,20,5,13,1,0,1,0,1,88.67247721206162
18,23,10,15,1,0,0,1,0,84.1464016537858
23,13,9,18,1,0,0,0,1,88.39414123307733
18,27,3,11,2,0,0,0,1,90.14599675660716
33,26,1,14,2,0,0,0,1,94.54545359447432
21,20,6,15,1,0,0,0,1,89.73678126563443
37,20,3,15,2,0,0,0,0,81.12754570787546
20,27,7,15,1,1,1,0,0,87.75436438234324
35,22,4,18,1,1,0,1,1,94.13549597797989
23,23,7,16,0,0,0,0,1,91.30527245232405
26,24,6,11,1,0,0,1,1,89.56584347127075
9,31,4,22,0,0,0,1,1,99.85987839933968
45,30,6,14,1,0,0,0,0,88.6396449332789
6,25,6,16,0,1,0,1,0,81.64088439503811
14,20,6,14,1,1,0,1,1,87.89806406644463
47,22,6,14,0,1,1,0,0,84.98263807416434
40,21,8,13,1,0,1,0,1,92.65892174012434
21,17,9,11,1,1,0,1,0,76.53933734119069
29,16,8,18,2,0,0,0,0,81.50100978580986
30,24,10,17,1,0,0,0,1,94.73177016782394
23,28,7,20,1,0,1,1,0,91.8308625739702
34,22,5,19,3,0,0,0,1,94.78569142322786
30,19,3,19,3,1,0,0,0,83.21287108468366
32,28,5,22,0,0,1,0,0,91.98725784543448
29,22,4,10,2,0,0,0,1,86.16001685977935
20,16,6,16,1,0,0,1,0,78.42472697407884
47,25,5,17,4,0,1,0,1,99.44265944522928
12,28,6,17,2,0,0,0,0,85.40861608279533
31,32,5,12,3,0,1,0,1,97.60048245460996
25,28,8,15,1,0,1,0,0,87.87999864519261
24,22,6,16,0,0,1,1,0,84.28162639071024
15,23,7,16,2,0,0,1,1,94.23431997344711
26,21,6,21,2,0,0,1,0,85.97172264859006
23,14,3,17,0,0,0,1,0,76.73326599507537
9,25,3,14,2,0,0,1,1,91.5592473322011
25,13,5,23,0,0,0,1,1,88.53296326110895
33,24,6,18,0,1,0,0,0,84.6955224648045
28,33,9,19,2,0,0,0,0,94.10298727131531
4,22,6,13,1,0,1,0,1,88.41871159306208
7,19,10,25,3,1,0,0,0,86.85235464113202
27,25,0,20,2,0,1,0,1,97.24553691900653
26,24,7,9,0,1,0,1,0,81.47958430972001
21,19,8,13,3,1,0,0,0,79.4137165591618
20,17,1,18,0,0,0,1,0,79.4554121461058
25,26,6,8,2,1,1,1,1,90.1432446549681
22,31,9,16,1,0,0,0,0,88.04179240426532
28,24,4,13,2,0,0,0,0,81.78610751304898
18,28,2,28,2,1,1,0,0,96.6251074606222
37,20,4,13,2,0,1,0,1,90.44274865316804
24,23,4,15,1,0,0,1,0,81.4196374679479
7,27,8,21,3,0,0,1,1,97.00603658020924
31,28,2,11,2,0,0,0,0,83.81659821253777
17,26,6,11,2,0,1,1,0,84.1650409213242
24,26,9,27,3,0,1,1,0,96.04612892276008
17,29,8,14,0,0,0,0,0,86.11730231993997
25,16,6,17,2,0,0,0,0,79.11238304856296
25,28,5,18,1,0,0,0,1,96.6829776406761
31,23,3,14,1,1,1,0,0,84.20123064735763
24,23,3,13,2,1,1,0,0,81.6178736078863
45,19,6,17,3,0,1,0,1,95.0081634592238
17,24,8,14,2,0,0,1,0,83.60619194105128
30,25,5,15,1,0,0,1,1,93.05113740489554
19,23,9,13,0,0,0,0,1,89.84765312908294
