participant_age,income_level,property_value,homeowner_status,previous_loan,job_stability,loan_grant,successful_repayment
40,22,6,1,1,1,0,96.97580827539984
11,27,5,1,1,0,1,81.90885473989911
24,26,4,0,0,1,1,88.88636703160874
19,22,7,0,1,1,0,78.46785827688225
25,25,9,0,1,1,0,89.5430325082187
32,28,5,1,0,0,1,97.49095088136326
53,28,8,1,0,0,1,118.73585642981318
19,27,1,0,1,1,1,84.86252567935173
31,26,6,0,0,0,1,95.86296903668833
30,17,5,1,1,0,1,90.39737325673846
20,27,6,0,0,0,0,79.97815945312057
24,27,8,1,1,0,0,87.10171809288582
17,18,1,1,1,1,0,70.81023746933731
37,26,5,1,1,0,1,102.66765587145646
38,28,5,0,0,1,0,95.25261259215034
4,27,4,1,0,1,1,72.49038929369365
20,26,7,1,0,0,1,88.50453325123503
29,20,8,0,0,0,0,85.39583466053209
6,23,5,0,0,0,0,67.70658411348168
29,21,3,0,0,1,1,89.78493390985766
2,22,3,1,1,0,0,62.36991135174628
24,22,9,0,1,0,0,85.60171516814498
20,17,5,0,0,0,0,73.4073340059766
20,25,7,1,0,1,1,89.1422782334438
15,24,8,1,0,0,1,85.65471570057025
25,27,8,1,1,0,1,94.84982202020316
19,22,7,0,0,1,1,83.14158421114568
28,15,6,0,1,0,1,87.81672398462136
33,18,6,0,0,1,1,95.4536822611037
24,25,6,1,0,1,1,91.41023104895945
25,17,4,1,0,1,0,80.33988832695819
20,18,6,1,1,0,1,84.39285822955931
17,25,4,0,0,1,0,75.6812219201187
22,18,4,1,0,0,0,77.86952429367535
32,26,7,1,0,1,1,99.14756198152322
32,23,5,0,0,0,0,87.75925157656927
17,25,2,0,0,0,1,80.60627454795447
21,19,9,0,0,1,1,87.5997957287727
20,19,4,1,0,1,1,81.41690669289339
39,18,3,1,1,0,1,98.19040456894167
33,24,4,0,0,0,1,95.89872359755644
10,14,3,0,0,0,1,71.12833078362738
39,22,5,0,0,1,0,94.40416633494884
24,24,8,0,0,1,1,90.16355484949813
26,26,8,0,1,0,1,94.7043785212452
24,26,6,1,0,0,0,84.78601285973784
31,20,6,1,0,1,1,93.75198926649496
13,26,3,0,1,1,0,73.55545830438732
32,20,6,1,0,0,0,86.11221323006626
32,24,5,0,1,0,0,90.44422815910444
33,24,4,0,1,0,1,97.0368125779994
18,23,5,0,0,0,0,76.35082663067219
42,23,5,0,1,0,0,97.90122477294882
31,26,8,1,1,1,0,93.1562610227646
22,22,7,0,0,0,1,89.89368838364904
29,28,3,1,1,0,0,86.44543495919302
17,21,10,0,0,0,0,77.56049113255666
30,28,3,1,1,1,1,93.67573927096817
12,29,5,0,0,0,1,82.0624079559081
24,16,1,0,1,0,0,75.26749879322782
35,18,9,1,0,1,0,93.59893243943552
31,34,3,0,1,0,1,97.8703162639027
29,25,7,0,0,1,0,90.37579992357117
22,15,5,1,0,1,0,76.90598796518056
33,29,6,0,0,0,0,93.34694401848472
44,21,7,0,1,0,0,98.44399264963944
25,23,4,0,1,0,1,89.17818126648821
28,28,5,0,1,0,1,95.08860196261048
35,25,6,0,1,1,0,95.4634971537455
14,21,4,1,1,1,0,72.93600449636068
12,22,5,0,1,0,1,79.36124778572298
24,17,3,1,0,0,0,78.45121796963487
21,22,7,1,0,1,0,80.90463333702954
25,28,6,1,0,0,0,86.58747184631704
16,20,7,0,0,1,1,80.75985705287144
21,19,6,1,0,1,0,80.78390184461762
19,26,2,1,1,0,1,82.68013718031514
18,24,6,0,0,1,1,84.89514676082537
13,26,4,1,0,1,1,80.02940727428135
27,23,7,0,0,1,1,90.49244053421432
2,23,5,0,1,0,0,63.45134758702656
28,28,6,1,0,1,1,94.35307508796537
19,21,4,0,0,0,1,80.8906224437785
25,18,7,0,0,1,0,82.38523159589373
35,24,6,1,0,0,1,98.29636135776346
27,28,6,1,0,1,0,88.81624202207774
46,23,8,0,0,1,1,108.78455731904847
27,28,7,1,0,0,0,89.36405808509825
15,26,8,1,0,0,0,80.46072626172396
20,24,7,0,0,1,1,87.77177604552352
31,20,5,0,0,0,1,92.9608813062895
19,20,7,1,0,0,0,77.72080146859747
42,19,3,0,0,1,0,93.34969382398651
18,19,8,1,0,1,1,85.69094777140663
24,27,6,0,1,0,0,86.09476286222687
20,19,6,0,1,1,1,84.13450792104807
29,22,5,0,1,1,1,91.02498600112516
24,20,5,0,0,0,1,87.13859951299281
24,25,6,1,0,0,0,84.5095656136685
26,25,3,0,0,0,1,88.88267720445216
10,18,5,1,1,0,0,69.6656078393039
15,17,6,1,1,0,1,79.48266649723804
23,21,5,0,0,0,0,79.39274769008519
40,22,7,1,0,1,1,104.2135777291309
18,20,0,1,0,0,0,70.84016453806625
36,22,8,0,0,0,0,94.77651142189374
21,26,8,1,0,0,0,84.70529783404758
24,24,8,1,0,0,0,85.51646045705189
37,18,7,0,1,1,0,93.2760153508675
27,28,3,0,0,1,1,90.65260883063002
6,22,5,0,1,0,1,72.87178324465889
20,21,5,0,0,0,1,83.64554773948748
16,26,6,0,1,0,0,78.9603017060749
7,25,2,1,0,1,1,74.0421681027804
21,28,1,0,1,0,0,78.62722152486018
44,24,6,1,0,0,1,108.19528253438205
11,23,6,0,1,0,1,78.33193291534542
9,28,7,0,1,1,0,73.8116742862758
13,21,6,1,1,0,0,75.24062166197974
19,19,5,1,1,1,0,78.738239372516
29,18,4,1,1,0,1,89.31847072705217
19,25,8,1,1,1,0,83.42909907960454
27,21,7,1,0,0,1,92.33369046556211
31,30,5,0,0,0,0,90.87826627565848
1,31,9,0,1,0,0,71.62413526114238
23,23,2,0,1,0,0,79.8943788467004
23,19,5,1,0,1,1,85.32734991286065
23,25,4,0,0,1,1,88.32401556707298
30,24,5,0,1,1,1,94.2903627608947
43,14,2,0,1,0,1,96.7490488452195
12,20,4,0,0,0,0,69.98284047167898
22,27,7,0,0,0,0,83.84830174551098
17,23,8,1,1,0,1,84.98962983051592
32,22,6,0,0,0,0,89.94355863218735
34,27,0,1,1,0,1,95.3023680425395
23,24,4,0,1,0,1,87.66793429150287
30,27,5,0,0,0,1,95.39984479498897
20,20,2,1,1,1,1,82.39873940016236
35,23,5,0,0,0,0,90.05918135778185
28,28,5,0,1,1,1,96.64784293913682
23,25,11,1,0,1,0,88.80544454490486
29,24,9,1,1,1,0,90.67432783302442
21,17,6,0,0,1,0,77.7238096403133
31,30,4,0,0,1,0,89.87075114453691
20,16,9,0,0,1,0,81.26006339967914
20,28,4,0,1,1,0,79.78570499961442
10,21,7,1,1,0,0,73.58328170786886
34,21,7,0,1,1,0,92.5505993574423
13,27,7,0,1,0,0,77.61029676331385
31,23,1,1,1,1,0,85.85641340437422
27,32,7,0,0,0,1,98.10986723586876
26,26,3,1,0,0,1,90.08036922151057
26,24,8,0,0,1,1,93.56203190378204
21,29,8,0,1,0,1,91.16219548389424
33,26,7,1,1,0,0,94.3544213988604
22,26,7,0,0,0,0,84.14327877795175
4,27,8,1,1,1,1,77.59471599620609
11,22,5,0,0,1,1,77.59710450281774
29,22,4,0,0,0,0,84.36698625255362
25,25,5,0,1,0,1,91.28497189983132
17,22,4,0,1,0,1,81.42245632911998
21,16,6,0,1,0,1,84.89015405238281
19,19,6,0,0,0,1,84.04755098294248
22,23,4,1,1,1,1,87.11751736165729
12,21,7,0,0,1,0,71.00426389229857
31,25,11,0,1,1,0,95.55367361421416
31,23,4,0,0,0,0,86.56099814504681
19,25,9,1,1,1,0,83.35909822436037
33,21,4,1,0,1,0,89.73428421294521
23,21,8,1,1,1,1,91.6256103974896
29,17,9,0,1,1,0,87.89467649058994
8,22,5,1,1,0,1,78.07210519994854
18,20,6,1,0,0,0,77.88736947216535
39,22,3,0,0,1,0,91.08827424860289
25,29,8,0,1,0,1,96.43248646900985
22,21,7,0,0,0,1,89.17067103552257
20,25,4,1,1,1,0,78.74498137358009
32,26,8,1,0,1,0,94.5148676512739
31,19,4,1,1,0,0,86.32443026460619
13,30,3,0,0,0,0,76.11878542845969
22,17,3,0,0,1,1,80.95321836144251
33,22,7,1,1,0,1,98.23231059285216
25,21,3,1,0,0,0,78.64483005009778
26,25,6,0,0,1,1,93.35875455078197
25,24,4,1,1,1,1,90.40558834686536
22,30,5,0,0,0,0,81.61330220052558
9,21,5,0,1,0,0,68.18755743515764
25,28,5,0,0,1,0,84.39875628310136
19,25,4,0,0,1,0,76.98517134180521
36,25,5,0,0,1,1,98.06249848554356
32,25,7,0,0,1,1,96.75931865825092
42,23,3,0,1,0,0,95.1253994465785
28,23,10,1,0,1,1,99.02409113656267
24,24,3,0,1,0,1,87.40251111695666
34,21,2,1,0,1,0,86.92047123418097
7,26,6,0,0,0,1,75.59873069217718
28,22,4,0,0,0,0,82.8755053542631
18,23,7,0,1,1,0,79.20970005893552
30,20,5,1,0,0,1,93.34048960533752
23,23,1,1,0,1,0,77.53406062722118
24,18,1,0,0,1,0,75.64364917460304
23,13,8,0,1,0,0,80.24027063193212
31,17,11,1,0,0,0,91.47228037818954
27,21,8,0,0,0,1,93.40089190153556
20,15,9,1,1,1,1,86.78489228302175
35,13,9,0,0,0,1,95.19680208010558
25,17,2,1,1,1,1,85.22475966749421
42,26,7,0,1,0,1,108.30726376091698
25,18,7,1,0,1,1,89.8467732185704
36,29,5,0,1,0,1,102.42825910003263
25,17,8,1,1,0,1,91.08895759802732
22,30,8,0,1,1,1,95.69214116238376
20,21,7,1,0,1,0,81.46998965580839
8,27,7,0,0,1,0,73.13277532372734
39,25,5,1,1,0,0,96.65306148920595
40,22,7,0,1,1,1,103.4577993887996
40,22,9,0,1,0,0,96.42558601911638
20,25,6,0,1,0,1,87.13233021289825
11,25,9,0,0,1,1,84.20387781633448
41,25,6,0,1,0,0,98.38770860725457
31,27,8,1,0,0,1,99.72311240385147
10,25,7,0,0,1,1,80.10002027246327
21,22,9,1,1,0,0,83.79953528776308
21,25,7,0,0,0,0,83.26954829510872
15,17,6,0,1,0,1,79.94877330096922
31,28,10,0,0,0,1,101.3743426010652
15,13,9,1,0,0,0,73.46988296948494
27,25,2,0,0,0,1,87.80945220101675
25,22,9,1,0,1,1,92.16055216372554
17,29,6,0,1,1,1,87.28471167691134
25,26,3,1,1,1,0,84.05580994296776
19,28,6,0,0,0,0,81.3505945881237
21,19,6,0,1,0,1,85.29599915293598
43,27,8,1,0,0,1,109.33070380305745
27,25,8,0,1,0,1,95.62419443875216
15,23,8,0,1,0,0,77.24412017599656
23,29,7,0,0,1,0,86.87320070971005
49,35,5,0,1,1,0,110.04981164516715
30,18,4,0,1,0,1,89.2319200407584
24,25,6,0,1,0,1,91.59300112972826
16,24,7,0,0,1,1,84.46982711100503
28,27,4,1,0,1,0,86.18005015945236
30,22,4,1,0,1,1,91.81089366355768
24,29,6,0,1,0,0,85.58795481321897
28,24,5,0,0,0,0,86.19801100436942
29,24,7,1,1,0,0,89.2455650442702
3,21,7,1,0,0,0,64.35704666330034
29,25,6,0,0,1,0,87.43640256345131
34,27,3,1,0,1,1,95.90799536569727
12,22,6,0,0,0,0,72.84271092826319
10,30,6,0,0,0,0,75.01899886518481
14,22,5,0,1,0,1,82.07120434029058
22,27,2,1,1,1,1,87.47656944824635
24,26,5,1,1,0,1,91.3358459996976
16,22,5,0,0,1,0,73.87308157100364
14,27,6,0,0,0,0,76.3975407152688
42,18,10,1,0,0,1,106.68700218466736
46,20,6,0,1,1,0,100.60846174351398
6,22,3,0,1,0,0,65.79944809825949
13,18,6,0,0,1,0,71.83210147934713
18,30,8,0,1,1,0,85.73520248484145
15,21,4,1,1,0,1,79.12330666641397
19,21,3,1,0,1,1,81.0552663930397
43,19,8,0,0,0,1,103.704881787952
30,19,2,1,0,1,0,82.22233679782076
24,22,5,1,0,0,1,87.36418575986932
28,30,5,1,0,1,0,88.46597259295473
26,22,5,0,0,1,1,89.73134670749545
21,20,3,0,0,0,1,80.9889947694108
7,25,7,1,0,1,1,78.07189694299736
21,22,8,0,1,1,0,80.71024081376414
20,22,6,0,1,1,1,84.376073622973
21,23,7,0,0,0,0,80.14253442742019
12,24,9,0,1,0,1,82.41241926451741
9,22,6,0,1,1,0,70.24999028960336
24,24,8,0,0,0,1,91.70758437304193
28,24,8,1,0,0,0,88.04499820771068
32,29,7,0,1,0,1,102.6708287475698
44,27,4,0,1,0,1,107.709628644934
14,20,6,0,0,0,0,71.84010580422026
26,22,4,0,0,0,0,80.61066188142732
37,23,4,1,1,0,1,101.07652479250386
34,25,4,0,0,1,1,96.01164675283492
38,24,8,0,0,1,1,103.27790630283404
26,21,8,0,1,1,1,91.29192460800556
27,27,4,1,1,1,1,94.70909900963623
24,29,5,1,1,0,0,87.23037476859581
26,26,6,0,0,0,0,85.65576706302123
30,23,5,0,0,1,1,91.4342139376642
22,19,4,1,1,1,0,77.99620460992719
24,19,1,0,0,0,0,75.96048555577482
43,19,5,0,1,0,1,102.59995672948097
27,27,7,0,0,1,1,94.68065431326715
31,28,9,1,1,1,1,101.11015474764775
23,26,4,0,0,0,0,82.5636941903829
26,24,6,1,0,1,1,92.5109459923734
38,25,2,1,1,1,0,90.80529881632629
29,24,7,1,0,0,1,95.14743979828889
20,28,8,0,0,0,0,83.25579091825585
29,23,2,0,0,0,1,90.23036000341092
19,24,5,1,1,0,1,85.90512331957784
34,21,8,1,1,1,0,94.18813874927592
27,27,6,0,0,1,1,95.27389836243894
38,26,7,0,0,1,0,99.04936183854296
