age,family_income,num_children,years_education,economic_shock_index,participation_in_program,rural_residence,tax_credit_received,annual_spending
23,27,6,19,1,1,1,0,75.24734800011218
7,21,2,15,2,0,1,0,60.813290521724525
29,23,11,20,1,1,1,0,80.44637974912695
16,20,7,15,2,1,1,1,75.49044797933756
21,30,4,12,2,0,0,1,76.82849776861268
30,25,7,15,2,0,1,0,77.0045943683773
8,27,5,21,0,1,1,0,68.36824129388339
37,26,7,14,1,0,0,0,78.87671834879801
15,23,6,13,1,1,1,0,68.78132086054337
18,29,6,12,2,0,1,0,71.4471896103226
6,21,8,15,1,1,1,1,70.73551277107902
20,24,10,17,1,1,1,1,81.11067029832351
15,20,5,8,2,1,1,0,65.37662990275416
40,26,5,21,4,0,1,1,89.51174357313556
16,23,0,16,3,1,1,1,73.09730938102922
10,28,8,23,2,1,1,0,70.47176598431071
24,24,3,21,2,0,0,1,80.20160746170797
5,22,4,16,1,0,1,0,61.47720751506812
17,27,6,19,4,0,0,1,77.33179372581964
23,17,9,26,2,1,1,1,82.7195736296213
23,22,7,14,2,1,1,1,79.45520251807301
32,21,12,16,0,0,1,1,88.23013364188252
26,24,1,20,1,0,0,1,79.72396783083988
23,18,7,14,2,1,0,0,71.36090093135823
14,19,5,24,2,1,0,0,70.86683729241682
32,26,4,11,2,1,1,1,81.2497312468883
15,23,6,21,2,1,1,1,77.36169297794493
36,24,6,16,1,0,0,1,86.11682008583463
33,22,7,17,2,1,1,1,85.72862393628183
27,18,3,20,1,1,1,1,78.54808063569371
16,20,7,27,4,0,0,1,80.06515772836039
9,22,7,20,3,0,1,0,69.49961013509788
22,32,5,18,0,0,1,0,73.1595120950521
25,26,4,20,2,0,1,1,79.59370057138246
21,22,3,16,1,1,1,1,76.27891744143675
15,22,7,16,2,0,0,1,74.78692407485805
50,15,7,13,2,1,1,0,83.05012631028137
26,19,6,24,1,1,0,0,75.33228800308092
28,16,7,13,1,1,1,0,74.71442340663849
2,22,4,22,1,0,1,0,63.77117879448466
16,26,12,26,1,1,1,1,84.37982549713774
22,16,10,20,1,0,1,0,75.16091206065387
26,23,4,15,2,0,0,0,73.87064066795944
20,18,8,17,1,1,0,1,77.56292885730734
26,29,5,15,1,0,0,0,74.90154581041045
8,27,4,26,2,0,1,0,68.1801163075317
15,27,3,9,1,1,0,0,66.993483518298
3,26,4,18,2,0,0,0,61.5207493576045
23,22,7,15,0,1,0,0,75.19561993642124
28,26,4,13,0,1,0,1,80.93388798476457
10,23,7,9,2,1,0,0,65.39708322180135
-3,24,8,6,2,0,0,0,59.59065299910788
30,25,0,12,2,1,1,0,72.78746337594234
30,21,4,8,3,1,0,1,78.29299945370573
32,23,7,15,1,0,1,1,82.7997878818788
21,19,7,13,2,1,0,1,78.75891310995468
25,25,9,16,2,0,0,0,76.3204502768959
32,29,2,19,-1,1,1,1,81.13463040572921
26,24,3,15,0,0,1,1,78.51088538612208
27,24,4,16,3,1,0,0,73.6476224951538
26,21,1,13,0,1,1,0,69.40806115226667
20,19,6,18,3,1,0,1,77.43882805086855
26,28,7,11,1,0,1,0,74.73552807697665
27,25,4,14,1,0,1,1,79.54204897081735
39,30,1,12,2,1,0,0,78.72666163205386
22,30,5,15,3,1,1,1,80.24168715551096
36,25,6,13,0,1,0,0,81.23844981664857
26,18,6,14,2,0,1,1,78.91684017881448
25,19,9,11,3,1,1,1,78.94752918066848
30,24,4,11,3,0,0,0,74.03849127659156
24,20,5,12,2,0,1,1,77.6818947705243
14,23,4,16,1,1,1,1,74.95674482476167
-1,28,2,15,2,0,1,1,64.71838788266629
44,14,2,15,2,0,1,1,84.51629938535245
24,25,3,17,1,1,1,1,79.83165283195379
24,18,7,15,2,1,1,0,72.91290518880362
30,21,6,15,1,0,1,1,81.19419836841072
15,22,3,10,3,0,0,0,66.26588343826313
38,25,5,24,0,1,1,1,89.94170070605502
29,26,0,13,0,1,1,1,78.73045551334047
14,21,7,19,1,0,1,0,70.08148109663628
27,22,7,8,0,0,1,0,72.94808341632746
18,20,7,17,1,0,1,0,70.86508251513987
22,20,8,13,1,1,0,0,71.68722998570249
43,26,7,21,1,1,0,1,92.44673949350523
26,22,7,17,1,1,1,1,82.87961092486898
14,27,4,11,3,0,0,0,66.47905635121373
28,27,7,11,2,0,1,0,78.74358211211383
30,19,5,20,3,0,1,0,77.91409460885153
30,24,4,23,0,1,0,1,82.30407300667198
44,28,4,11,2,0,1,0,82.3703178275933
41,20,7,2,4,0,1,1,83.39048640138294
33,25,2,17,0,1,0,1,82.98587660184283
17,25,5,22,2,1,1,1,79.72719138083002
28,24,8,11,1,1,1,1,83.54317813817457
24,23,7,7,0,1,1,0,69.93898495186701
31,26,5,15,2,1,0,0,77.73942904370361
23,15,8,11,1,1,1,1,76.63049860197717
18,22,8,8,3,1,0,1,74.79339006505154
8,23,7,20,0,1,0,0,68.56435933744422
11,27,7,13,3,0,1,0,67.52385043966216
22,18,8,20,0,0,1,1,81.11927992827766
30,27,7,9,0,1,1,1,81.99676520504167
31,17,7,29,0,0,0,0,79.01095261352022
14,23,4,22,3,0,0,1,74.19059665597536
33,29,8,26,2,1,1,1,89.73542667229175
27,29,11,14,0,1,0,1,86.09038913155952
31,27,7,21,3,1,1,0,79.91552175342409
23,23,9,14,2,1,0,0,73.00192584931393
11,21,6,15,3,1,0,0,67.43275228470668
20,25,6,12,1,0,1,1,76.70741939827901
25,21,5,11,2,0,0,1,76.56231459360934
20,27,7,11,2,0,0,1,78.59247618526713
19,19,7,7,2,0,1,0,68.48869517375283
29,23,6,15,2,0,1,0,77.42108534869274
31,22,6,15,1,0,1,0,76.4624038579408
28,30,4,9,2,1,0,1,77.98023584225442
26,21,4,7,0,0,0,1,76.1912526735457
16,28,3,13,3,1,1,1,73.4387913579951
42,14,4,8,0,0,0,1,83.27775159671296
37,15,5,15,2,1,1,1,82.85994458483894
27,22,5,15,0,1,0,0,74.80289342452423
14,18,8,15,3,0,0,1,74.15670284298324
8,26,6,6,2,1,1,1,69.12876061273144
11,34,4,23,1,1,0,0,71.30330983487592
36,23,5,18,2,1,0,0,81.83936072894898
16,20,3,12,-1,1,0,0,67.33183154755736
45,22,6,18,2,0,1,0,86.23044884636487
13,23,7,23,1,1,0,0,70.8462648554551
28,24,8,23,2,0,0,1,86.2944077936743
24,20,4,17,1,1,0,1,78.32359796243367
24,32,5,19,1,1,1,1,80.99427486160195
20,31,6,18,0,0,1,1,77.88848364400748
22,30,7,16,2,1,1,1,82.64716100818654
27,25,5,6,0,1,1,1,76.38665754533174
21,28,4,5,1,0,0,0,67.37388108362308
26,24,8,20,2,1,1,1,83.29043456745045
31,19,6,13,3,0,1,1,82.45785939472083
34,27,4,15,0,1,1,1,83.42382875553145
15,23,8,16,2,0,0,0,72.05105392703743
26,23,8,17,0,1,1,0,75.99657483353398
11,23,2,25,2,1,1,0,68.31316657404156
16,20,4,23,0,1,1,0,69.97004909168446
39,21,5,23,2,0,1,1,88.3849746136527
26,21,6,20,2,1,1,1,83.90586284006706
21,20,6,18,0,1,0,0,73.36587147928608
37,17,8,11,1,1,0,1,85.01141595598553
9,21,5,15,0,0,1,1,71.20629340697201
19,22,6,18,1,0,0,1,77.12184326328344
33,18,3,13,3,0,1,1,79.11559061408522
14,21,7,14,1,1,0,0,68.94391187071353
34,25,7,21,2,0,1,0,81.13051834157325
41,23,4,17,3,0,1,1,87.30622704406338
15,27,6,19,1,0,1,1,75.55021468785785
16,19,6,18,2,0,0,1,75.76655999680904
36,26,5,15,1,1,1,1,88.11501875642621
26,20,4,13,1,1,1,1,77.68914812102285
13,24,4,15,4,0,1,0,64.79504454670266
36,21,2,11,2,0,1,0,74.77766434201293
42,25,3,25,2,1,0,1,91.30537435714989
30,20,7,11,0,1,0,0,76.20186014043263
17,26,5,17,2,0,0,1,74.91201291465055
19,35,9,17,1,0,1,0,74.24762627634794
28,22,1,19,1,0,1,0,72.84811066105013
23,29,3,13,2,1,1,1,76.16891287554884
29,27,5,8,2,1,1,1,80.29055687798036
33,25,6,11,1,0,1,1,82.55229919109657
9,23,9,17,0,0,1,1,71.45648453623023
24,24,6,16,2,0,0,0,74.36245846523062
25,25,1,15,2,1,1,0,72.11528868099396
39,28,9,19,1,0,1,0,85.50276199432724
16,19,8,16,1,0,0,1,76.8836733374423
31,19,6,16,1,0,0,0,77.71469849669666
31,21,8,17,2,1,1,1,86.20957263916786
25,25,5,21,1,1,1,0,76.8227025223569
24,33,4,17,2,1,1,1,79.69957179189866
1,26,7,18,4,0,0,1,69.45545570964163
22,21,8,23,2,0,1,0,76.89542178440313
14,31,4,13,1,1,1,1,74.68961104936064
17,27,7,19,1,1,1,0,73.12755094780545
28,27,6,20,2,1,0,0,77.32606285431682
26,23,8,16,1,1,0,0,76.61657649570401
32,27,0,19,1,0,1,1,82.36659126317474
49,29,0,18,2,0,1,0,85.3970204559411
39,23,12,21,2,1,0,1,92.9861185086674
24,24,5,15,1,0,1,1,78.91513825828103
32,27,5,15,0,1,1,1,81.96834480556319
28,23,3,14,1,0,1,1,79.08190751071187
17,16,6,23,2,0,0,0,70.37178525801937
18,18,6,13,1,1,1,1,74.37013770552805
37,20,6,22,1,1,1,0,81.8783617368792
28,25,5,2,1,1,0,0,72.50760094776356
24,21,4,15,1,0,1,0,71.70777873735888
15,29,5,10,1,1,1,1,72.52436649342886
19,23,1,19,3,0,1,0,69.32156293238017
43,25,2,13,0,0,1,0,80.06093562912116
31,21,7,20,0,0,0,1,83.82330992008953
30,26,4,19,1,0,0,1,82.13519368676995
24,15,7,11,2,1,1,0,70.7417705655746
25,18,5,5,3,1,1,1,75.09144009937535
28,18,6,10,2,1,1,1,77.7199950602536
41,20,8,15,3,0,1,1,88.63057332525428
36,29,4,15,0,0,1,0,79.12893778882224
29,17,8,11,2,0,1,1,80.55103083961362
28,22,5,13,2,1,1,0,75.56031134371955
17,18,6,21,4,0,0,1,77.16517317396593
21,22,11,8,2,1,1,0,73.70589552966746
6,22,5,21,0,0,1,1,72.39531792272304
41,25,6,22,1,1,1,0,85.48585492257695
26,22,6,13,1,0,1,1,78.62066692590464
14,23,4,15,1,1,1,0,68.99875281936045
30,22,6,11,0,1,0,1,78.64438299480585
30,21,8,18,1,0,0,1,85.37698574808593
23,20,4,14,1,0,1,1,76.74990005629056
7,22,5,23,2,0,1,1,71.29568301332718
21,25,6,22,2,1,0,1,79.48115051631314
32,28,8,21,2,0,0,1,88.04457128820866
28,33,4,16,2,1,1,0,73.76195546841205
28,24,6,13,2,1,1,1,82.29419738934334
4,34,5,15,1,0,1,0,64.83458970678134
32,22,7,13,2,0,0,0,77.51877537282844
11,23,8,16,1,1,0,1,75.42508226673225
25,21,5,17,2,1,0,1,80.70422572154321
22,18,5,22,2,1,1,1,80.08225273794964
26,26,5,21,0,1,1,1,81.33982946371621
28,22,9,23,1,1,1,0,80.46761874596385
3,20,8,16,0,1,1,0,62.414818029538736
28,22,6,16,0,1,0,0,75.7885358782933
14,24,6,17,1,1,0,1,73.66247666616239
33,25,3,14,1,1,1,1,81.755125168155
28,16,5,18,2,1,0,0,74.192342431911
13,20,8,16,1,0,1,1,75.97062017378558
19,23,1,10,2,1,0,0,66.489295045909
29,21,10,12,2,1,0,0,78.28191287084958
20,21,2,14,2,1,1,1,74.02832965030416
32,26,5,19,0,0,1,0,79.20790999766608
16,19,3,19,1,0,1,0,68.51524238853227
32,18,7,16,0,1,0,1,81.44510367801925
43,21,3,10,3,1,1,1,84.91522051591505
28,24,4,16,1,0,1,0,73.79494061643027
16,21,5,11,2,0,1,1,74.01215555987834
14,24,6,14,0,1,1,1,73.89925705132387
44,21,3,8,1,0,1,0,79.20242383232494
28,22,2,23,2,1,1,1,81.76459139149944
13,21,8,15,2,1,0,0,69.28471080903512
41,26,6,14,1,1,1,0,84.02327777283536
5,23,6,21,1,1,1,1,72.97632967830307
18,19,4,21,3,1,1,0,71.6890053967466
30,28,4,20,1,0,0,1,84.1452583888218
8,18,5,17,1,1,1,0,63.99491728501726
25,27,6,17,0,1,0,1,81.95789106765555
42,27,7,19,1,0,1,1,93.10916867744506
12,22,7,16,3,0,1,0,69.17106572208085
33,18,0,18,1,1,1,1,78.83227450464516
13,20,6,18,4,1,1,1,74.86956726999523
20,19,5,10,0,1,1,1,74.64043358953953
38,19,7,22,1,0,1,0,83.51610206483538
25,23,8,17,4,0,0,0,75.84625752003431
30,16,7,21,3,0,1,1,82.30217194179718
16,21,6,6,0,1,1,1,71.75344485341988
5,20,7,11,2,1,1,1,68.36397070771736
18,32,4,15,1,1,1,1,76.66467007209728
39,21,5,18,1,1,1,1,88.17493185600155
39,27,7,22,2,0,0,1,92.26306400492756
25,27,7,21,2,0,0,1,83.0982483559347
26,23,1,15,3,0,1,1,77.44981886399006
23,29,6,13,0,1,1,1,80.24967330594694
28,25,3,15,1,1,1,1,79.31671259139557
26,27,2,18,1,1,1,1,80.71936328948819
25,20,8,18,3,0,1,0,75.29915090139825
42,26,5,8,2,1,0,0,80.74101332121923
13,25,9,16,4,0,1,1,75.29246734516413
16,30,4,20,2,0,1,1,76.75532872189659
30,20,6,11,2,1,1,0,75.36091861024967
19,29,8,11,1,1,1,1,78.24433310378237
29,19,6,20,0,1,0,1,81.16698547425703
30,24,7,14,1,1,0,1,82.95090633038339
6,34,11,13,3,1,1,0,70.29102707141693
24,31,6,9,3,0,1,1,77.18245467524488
31,21,3,22,2,1,1,0,78.39241773660927
19,28,8,18,3,0,0,0,72.05264195888991
18,29,5,8,2,1,0,0,67.64762871656414
0,20,5,11,3,1,1,1,63.98412080605972
22,23,5,15,2,1,0,1,77.88857642988164
47,23,8,23,2,0,1,0,89.64972209438356
37,18,9,26,2,1,1,0,84.68609516940741
24,29,6,22,0,1,1,0,77.62611583765805
16,24,5,19,1,1,0,1,75.06006772213945
30,22,9,11,3,1,1,1,83.82060674380166
17,24,4,16,1,0,1,0,69.76813424573061
34,21,7,13,2,0,0,0,79.67491779895148
28,23,4,12,1,1,0,0,73.68427212221165
31,24,10,16,1,0,0,0,80.41919962923257
32,27,6,17,0,1,0,0,79.4969886526178
18,16,3,11,3,1,0,0,64.0255754449702
16,23,1,20,1,0,1,0,67.83729062784336
47,22,7,18,2,0,0,0,87.47692098170758
29,22,8,22,3,1,0,1,85.13312374018078
9,21,9,10,2,1,1,1,71.73512293088483
27,20,4,17,2,0,0,0,75.02545070774475
19,19,7,14,2,0,1,0,70.84484280280405
24,25,6,18,2,0,1,0,76.24108960321313
6,30,7,14,0,0,1,1,71.75179657744343
12,26,5,11,2,0,1,0,66.70531306400132
26,29,4,16,2,1,0,0,74.76849146202255
17,20,4,11,0,1,0,0,66.59390199061198
12,24,9,14,3,0,0,0,68.3639635338013
9,24,8,12,0,1,0,1,72.6446422133214
19,22,4,15,1,1,0,0,69.95057332291695
13,24,3,26,1,0,1,0,68.47295594296781
28,21,5,14,3,1,1,0,73.95596488198044
7,23,3,10,2,1,1,1,66.12144626541874
12,15,9,13,3,1,1,0,67.3606231213825
7,31,8,17,1,0,1,0,69.44706171740916
41,28,4,15,1,1,0,0,81.32168939502161
44,34,5,15,2,0,1,1,91.8024298639852
28,26,5,18,1,1,0,1,83.3791437802062
23,22,2,14,1,1,1,1,76.04177827342059
17,20,7,26,3,0,1,1,79.91215909688658
32,24,5,16,4,0,1,0,78.24471377702048
17,26,6,13,3,1,1,0,71.1139241474529
31,24,7,16,2,0,0,0,79.05247048654616
26,21,5,26,0,0,1,1,81.93628594718645
38,21,8,15,0,1,1,0,82.61449194795539
17,22,9,13,1,0,1,1,77.55511071002691
28,24,6,5,3,1,0,1,78.54238239964305
28,16,7,10,0,1,1,1,78.4286960736979
32,23,7,17,2,1,0,1,84.80941942749081
49,24,6,12,0,1,1,0,84.24445667763545
23,24,4,14,0,1,1,0,73.08157161582322
33,23,6,12,0,1,0,0,78.64398056694736
38,25,3,23,2,1,1,0,84.6403587740659
33,21,4,15,1,0,1,0,75.60512425519785
28,15,9,13,2,1,1,1,81.50106128962031
34,26,8,17,1,1,1,1,90.1186911174046
44,29,7,22,0,0,0,0,87.41948431602997
12,26,4,12,3,0,1,0,65.88268331816036
26,26,3,16,3,1,0,0,73.719265422137
23,29,5,21,1,0,0,1,80.48667055551394
33,19,11,13,2,1,1,1,86.72829662542051
24,27,5,17,2,0,0,0,74.75585947373104
34,28,3,13,2,1,1,1,83.64076906482715
24,25,3,16,2,1,1,0,73.30812812971574
26,18,5,10,1,1,1,1,75.95027963033465
31,28,5,26,0,1,1,0,84.54589809398705
4,26,3,11,2,0,0,1,67.03380221055295
35,21,6,8,2,1,1,0,77.51884963700977
30,22,6,18,2,1,1,1,82.88852602230544
32,18,4,12,1,0,1,0,74.04049568455405
36,30,6,18,0,1,1,1,86.1410197936374
18,21,10,10,2,0,0,1,77.66257367174333
27,24,4,10,1,1,0,0,73.26597316194805
41,25,6,12,1,0,1,1,86.82634162265674
22,20,6,16,2,1,1,1,76.84615468714506
10,22,8,19,1,0,0,1,74.87097330097062
31,20,8,12,2,0,0,1,81.6731553325739
11,18,5,18,1,1,0,0,66.39181146539131
36,18,3,16,1,0,1,0,77.10408595015492
27,21,4,12,2,0,1,0,72.04559239232397
25,25,1,9,1,0,0,1,73.93188338833906
20,27,5,13,1,0,0,0,71.24980988020455
16,18,8,15,1,1,1,1,75.90276550446866
18,18,5,17,0,1,1,0,70.5520719531848
12,18,6,10,2,0,0,1,70.53157206524651
42,26,6,11,1,1,1,0,82.16726740839209
25,24,7,12,1,1,0,1,80.79663719674689
15,15,3,25,4,1,0,0,68.25942239507371
9,19,1,17,2,1,0,0,64.78434600464652
12,25,7,16,2,1,1,0,69.7581480379448
38,25,4,15,2,0,1,1,87.04074502036322
26,25,12,10,1,0,0,1,82.71631587627795
28,26,5,21,1,0,0,0,79.31811167722677
8,29,1,20,3,0,0,0,65.4396286541204
14,24,11,7,2,0,0,1,74.24088717891884
4,18,3,14,3,1,0,1,65.87256227837294
23,26,3,24,1,0,0,1,80.24272081060853
20,26,9,13,1,0,1,0,73.13579801919286
28,24,9,20,2,0,1,0,77.98512543427148
20,25,5,11,2,0,0,1,75.32638126729577
25,25,5,18,2,1,1,0,74.76508429665085
33,20,10,17,1,0,0,0,80.75722249511212
17,29,5,16,2,1,0,0,71.96015061645613
30,28,4,11,1,0,0,0,74.28099833081127
43,19,3,21,1,0,0,1,89.35338600125604
21,22,5,17,0,1,1,0,72.7180009781633
19,18,8,12,1,0,0,1,76.58311865712234
43,20,7,15,2,0,0,0,85.33231521525157
26,24,4,17,2,1,1,1,78.47036904699935
25,32,6,16,1,0,0,1,83.02722561161507
28,25,4,16,1,0,1,0,74.81459358407757
30,19,8,12,2,0,1,1,81.95057141531215
13,18,2,14,1,1,1,0,65.33456658219283
27,22,9,16,2,1,1,1,82.60577453955403
11,28,4,15,0,1,1,1,71.02635545080649
16,19,3,11,0,1,1,1,71.86672578630474
15,23,7,11,1,1,1,0,68.18231876018022
30,26,5,19,0,1,0,1,83.48387112295408
18,25,5,13,1,1,1,1,74.75035877411561
31,27,6,16,2,1,0,1,84.1251363478387
36,26,9,20,1,0,0,0,84.19149401106003
16,28,3,10,3,1,1,1,73.64979652167229
18,20,7,22,2,1,0,1,77.11327185998941
37,26,3,9,2,1,1,0,79.2936504985696
18,19,3,21,3,0,0,1,74.74428888465334
26,26,8,11,0,1,1,1,81.77311847330029
19,25,2,19,2,1,1,0,70.3189256988445
40,22,9,12,2,1,1,1,87.87317814103433
13,27,5,16,2,1,1,1,74.86678897190271
12,26,6,16,2,1,0,1,74.90041860819488
22,16,4,20,0,0,0,1,75.27766584914522
21,27,5,8,1,1,0,1,77.77313856220566
48,27,4,14,1,0,1,1,90.65604874303182
28,21,9,15,0,1,0,1,81.82901419804459
17,22,7,15,0,1,1,0,71.06559011703877
34,23,7,9,0,1,1,0,77.94425005841596
25,27,9,12,1,1,1,0,77.30334625412527
38,29,9,12,3,0,1,0,82.9492205041509
23,24,8,9,0,0,1,1,77.25375052671104
17,23,4,22,1,1,1,0,72.04434852964486
35,24,5,10,0,0,1,0,78.11070945405883
31,28,9,12,3,0,1,0,78.71477594211272
24,21,0,15,3,1,0,0,71.35052264062087
31,23,5,10,0,0,0,0,75.15263673253637
34,23,4,15,3,0,0,1,84.02316848458243
37,29,1,20,2,0,1,0,80.2665931816143
25,23,7,18,3,1,0,1,81.04410053840482
37,22,7,11,1,0,0,0,80.01819177943023
19,21,6,19,2,1,1,1,77.79916718502409
23,28,8,19,2,0,0,1,82.4828875097004
9,27,4,17,2,1,1,1,71.77544146819808
17,22,2,18,0,1,1,1,74.80282856490165
24,28,9,9,0,1,0,1,80.22456896729766
23,20,2,17,0,1,0,1,77.52914328417245
20,28,5,14,0,1,0,0,72.50791175892553
32,27,3,8,2,1,0,0,74.50325121470213
5,19,7,15,2,1,1,0,61.85680672814536
24,27,9,15,0,0,0,0,75.15552918740802
46,23,3,5,1,0,0,1,85.55463124123142
15,15,7,17,2,1,1,0,68.79326076433497
23,26,7,14,1,1,0,1,77.65706796789829
21,20,6,14,2,1,1,0,71.86013582933914
42,25,7,14,1,1,0,1,90.0686121812832
16,24,5,16,1,1,1,0,70.16936926109278
10,23,8,22,2,1,0,0,71.05127057190313
23,29,4,13,3,1,1,0,71.82734950224484
14,23,6,13,1,1,0,0,69.94800647426527
30,19,2,20,2,1,1,1,79.42807719183983
23,19,4,15,1,0,1,0,71.1614325008245
35,26,3,16,0,1,1,1,85.27616596013924
27,20,4,18,1,0,1,1,78.96002496089737
33,30,9,23,1,1,1,0,84.85920800892819
35,23,4,14,2,1,0,0,77.2017872288534
5,22,7,21,2,0,0,1,72.37644471309413
39,25,8,15,1,1,0,0,81.99759733384012
21,18,6,19,3,1,1,1,79.45426475022461
26,30,5,22,3,1,0,1,83.81986218659937
8,28,7,14,2,1,1,0,68.16302570450637
15,25,6,10,1,1,0,0,69.46266918066783
31,17,7,18,0,1,0,0,77.03227487028519
27,24,5,20,0,0,1,0,75.93546627868861
14,26,2,15,1,1,1,1,73.18962608920755
24,24,1,18,2,0,1,0,70.60188904544022
37,22,6,18,2,1,0,0,83.20404446751795
16,18,5,13,3,1,0,1,71.59435517446242
34,30,6,10,3,1,1,1,85.0425504938427
25,25,7,18,3,0,1,0,76.00107932832967
27,22,3,22,3,1,0,1,81.41566017358356
20,22,6,2,2,1,0,1,71.91999158453035
28,26,7,18,4,0,0,1,83.8669961197149
46,19,4,16,0,1,1,1,88.65643346941852
12,21,7,16,3,1,1,0,69.16803476052894
44,26,2,17,0,0,0,0,82.65808387050038
29,25,6,9,1,0,0,0,75.49480443552726
29,20,8,20,1,0,0,0,77.47442309265104
19,26,3,12,3,0,0,0,68.60919505080237
25,23,5,20,3,0,1,1,81.2994707015911
5,14,6,14,2,1,0,1,67.93902108035546
22,30,5,18,2,1,0,0,73.98142950747604
30,16,6,9,2,1,1,0,72.40448590580539
20,28,9,18,3,0,1,0,76.02188412323193
27,27,7,20,2,1,1,0,77.49473605800885
17,21,2,19,1,0,1,0,68.48025394372675
6,23,6,23,3,0,0,0,67.5638294991759
24,21,6,13,2,1,1,0,72.77730329569987
11,27,7,22,3,0,0,0,71.35675359538877
26,27,6,15,2,1,0,0,74.7086092801833
15,24,4,12,2,1,1,0,64.93432073555357
42,17,4,19,1,1,1,0,82.65972728066545
25,26,5,17,3,1,1,1,79.9878608379452
34,27,2,22,0,0,0,0,79.44113416893732
23,32,5,16,2,1,1,0,73.75005217802702
38,22,7,12,1,0,1,0,78.87172952500087
24,26,7,16,4,0,0,1,81.24444928508129
31,19,7,9,2,0,1,0,75.23682554646724
12,21,7,15,2,0,1,0,68.35660118130872
48,22,7,16,3,0,1,1,91.06937917876704
18,24,5,19,2,1,1,0,71.67581472726064
18,16,9,14,2,0,0,1,76.88715191390055
26,21,5,12,2,0,1,0,73.81410840194594
38,24,3,13,0,1,0,1,83.473513435202
12,19,5,17,1,1,1,1,73.78740807016891
19,27,3,12,0,1,1,1,76.34631814698864
32,25,3,19,2,0,0,1,82.22678368622786
39,11,5,22,1,1,1,0,80.78678703708725
32,24,6,21,1,0,1,1,85.88259380539789
38,20,7,9,1,1,1,0,79.89019437446804
29,19,3,13,2,1,1,1,79.29543317182632
16,23,5,19,1,1,0,1,75.57995094488612
36,18,3,12,1,0,0,1,80.95133067490207
19,29,2,16,3,1,0,0,69.35284816162076
7,23,6,19,2,1,0,1,72.21798112568464
11,27,3,16,1,1,1,1,70.8172660565074
28,25,4,18,1,1,0,1,80.89927642515325
25,27,6,18,1,1,1,0,74.60981635293263
16,27,2,11,1,1,0,1,71.01303031489097
39,25,2,15,1,0,1,0,81.11040770919806
32,29,8,20,1,1,1,1,88.35262614154391
28,21,5,16,1,0,1,0,73.17402197099504
32,24,8,14,2,1,1,1,86.75626267394186
25,26,8,13,2,0,0,1,81.40382254953879
36,29,2,15,3,0,0,0,78.14530552127191
40,20,3,14,1,1,1,0,77.53699527926153
28,24,6,18,3,0,1,0,76.33885891458655
29,26,7,17,2,1,0,0,77.23918913918999
29,29,5,22,1,0,1,1,84.55724641485
5,23,6,16,1,1,1,1,70.4818895295925
15,24,6,23,2,1,1,1,76.74622697191076
32,23,10,22,1,1,1,1,87.94235349919991
30,23,6,15,3,0,1,1,81.87401891245759
