age,education_years,income,socioeconomic_index,number_of_dependents,gender,minority_status,unemployed,participation_in_job_training,employment_status_after_year
42,12,11,18,2,0,0,1,1,74.61349842202547
34,17,5,23,6,0,0,1,1,74.29905633571484
25,17,9,8,2,1,0,1,1,66.96951831341384
19,20,9,13,4,0,1,0,1,69.73456132627405
39,20,12,10,4,0,0,0,0,69.3160504254516
19,13,11,19,5,1,1,1,1,74.283557361973
9,19,3,8,3,0,0,1,0,55.5020524773334
26,17,10,6,5,1,0,0,0,63.71787973769568
11,19,14,4,4,1,0,0,0,65.67153986658582
20,22,6,17,2,0,1,1,0,65.69820754339514
33,28,12,12,3,0,0,0,0,68.00237935990911
42,24,13,15,0,0,1,0,1,77.14799853156511
23,24,7,9,2,0,1,0,0,61.16529241456923
26,20,12,16,3,1,0,1,1,74.65674746595776
16,22,3,9,6,0,1,1,0,59.35222632803342
40,28,5,16,5,1,1,0,0,68.72696579733743
24,15,7,12,3,1,0,0,0,63.807585655369856
39,6,13,9,3,1,1,1,0,66.1591646280227
30,23,8,21,4,1,1,0,0,69.82121717908605
30,22,8,19,4,0,1,0,1,73.9617801822136
36,18,13,22,4,1,1,0,1,80.31883027058163
31,20,9,18,1,1,1,0,0,69.6137269860262
34,24,8,8,7,1,0,1,0,64.76774433272607
36,27,8,10,2,1,0,0,1,69.33182363156118
28,26,7,6,3,0,1,0,0,61.72260655114767
23,14,8,15,2,1,0,0,1,69.7383098771132
30,17,12,13,6,1,0,0,1,74.78903321251074
49,34,7,13,7,0,0,0,0,69.64849000957702
40,10,10,8,0,0,0,0,1,67.74933916620321
17,9,15,13,3,1,0,0,1,75.37607907859338
31,22,8,9,6,0,1,0,1,68.62632306350271
30,22,8,14,4,0,0,1,0,65.27562836848894
48,21,6,12,2,1,0,1,1,69.9871733162668
29,8,12,8,5,1,1,1,1,68.84016226315815
25,20,14,14,3,0,0,0,0,71.65630567181255
28,13,5,12,2,0,1,1,1,65.39884624709241
15,17,11,16,5,0,0,0,1,73.19382749263791
25,13,13,22,2,0,0,1,1,74.77763833359938
42,18,9,9,3,1,1,1,1,69.81392139427082
41,18,11,11,3,0,1,0,1,74.10892353262491
25,25,12,11,1,0,1,0,1,70.63610535097041
40,16,11,8,3,0,0,0,1,71.43086650302261
24,22,14,13,5,1,1,1,1,76.02259326348984
35,18,4,14,3,1,0,1,0,65.89239837329134
38,25,8,12,4,1,1,0,0,68.30693147074098
24,22,10,17,6,1,1,0,0,71.11128560691472
41,18,10,9,2,0,1,1,1,69.62352286300074
35,28,5,14,4,1,0,1,0,64.14468721492793
32,14,12,3,4,0,1,1,1,65.85734468739324
27,16,9,9,2,0,0,0,0,63.5610959173521
40,21,8,16,6,0,0,0,0,70.5279290355612
29,23,14,18,3,1,1,0,1,79.5304325715643
36,25,4,13,4,1,1,0,0,63.29463365379529
19,24,6,11,5,0,1,1,1,66.26965070590116
38,17,13,8,2,1,0,0,1,72.44564127796458
25,13,4,13,3,1,0,0,1,66.35881151198654
20,22,12,11,2,1,0,1,1,70.12723422983214
23,17,8,14,4,1,0,1,0,65.32904520500195
26,19,8,23,4,1,0,0,0,71.7115574085129
15,22,10,15,4,1,1,1,1,72.54116345552261
38,24,12,18,4,1,0,1,0,75.51564011033923
19,19,7,14,4,0,0,1,0,64.73711120119431
32,20,7,9,4,0,0,1,0,61.70968402471309
25,18,11,17,5,1,1,1,0,69.66751760643697
18,10,2,17,3,0,1,1,0,60.218278479353806
27,23,7,9,4,0,0,0,0,64.26217728923827
27,17,11,12,8,1,1,0,0,69.66925401702451
21,17,15,21,2,0,1,1,1,79.65957257659561
33,21,11,7,3,1,0,0,1,70.18927280698395
32,22,13,9,5,0,1,0,1,70.31714833801955
28,35,7,16,4,0,1,0,0,67.92104382756041
27,22,6,14,2,0,0,1,0,64.59596444239503
19,18,8,14,6,0,1,0,0,65.47421314973816
14,22,9,5,3,0,1,0,0,61.12987991360612
29,21,11,11,5,1,0,0,1,71.45048614958282
13,17,12,18,4,1,0,0,0,70.07270868431638
27,30,14,19,4,0,1,0,1,78.91297142026025
37,21,15,8,6,0,1,0,1,76.35324334545379
32,14,11,21,1,1,1,0,1,76.09787897614272
20,15,10,16,0,0,1,1,0,67.1106432495967
18,14,11,8,3,1,1,0,1,68.72088894978027
19,14,0,12,1,0,1,0,1,59.3490550652778
18,24,8,18,1,0,1,0,0,68.20106581669961
20,14,14,7,9,1,0,1,1,71.56205535944049
32,20,13,12,6,0,0,0,0,68.87552286345127
34,15,11,11,3,1,0,0,1,71.77315633319799
33,33,11,11,4,0,1,1,1,73.045726592987
21,14,13,13,3,0,0,0,0,66.05937537855455
27,5,6,9,5,0,0,0,0,60.9489775640543
35,17,6,21,3,0,0,1,0,68.9607742838229
22,12,10,9,4,1,0,1,1,67.13489782969293
28,21,7,13,8,0,0,1,0,67.22350388322297
35,25,5,9,3,1,1,0,0,64.63093323408874
28,22,13,17,3,0,1,0,0,71.64668232361791
45,22,8,15,5,0,0,0,1,73.42276154619427
21,24,10,16,4,0,0,1,1,72.39468100834738
43,28,14,16,5,1,0,1,0,77.3992937812846
22,25,10,8,4,1,1,0,1,70.00750167310072
39,14,9,12,4,1,1,0,1,71.56224009379474
14,17,5,9,3,1,1,1,1,62.333394597000336
12,27,11,9,7,1,1,0,0,67.50807518532766
17,22,17,18,6,0,0,0,1,80.13886065118994
38,22,10,7,4,1,1,1,1,69.40305434164176
23,16,7,12,4,1,1,1,0,63.53694482433816
24,22,6,27,4,0,1,0,0,71.28104116894026
28,20,16,7,2,0,0,1,1,71.18409917639747
26,19,10,16,3,1,1,0,1,73.74300588716893
41,23,9,13,1,1,0,0,1,70.43666872244233
25,14,10,15,4,0,1,1,0,68.05834857197215
34,25,9,16,4,0,1,1,0,68.72986257013348
28,21,4,23,5,1,0,0,0,68.17664979550634
34,22,11,17,3,1,1,1,1,74.11343490155586
25,14,5,0,2,1,0,0,0,53.48983074668305
21,18,10,17,2,1,0,0,1,73.20026657926924
35,18,15,13,4,0,0,1,1,75.14258231632081
32,20,4,12,4,0,1,1,0,63.233427148049934
32,13,9,12,4,0,0,1,1,71.06468146159403
44,21,14,7,7,0,0,0,0,70.62371388726382
34,21,12,19,3,1,1,0,1,78.01780560346906
18,23,11,10,2,0,1,1,1,69.54481279380623
33,19,13,13,5,1,0,0,1,74.89381049238415
41,16,7,17,5,1,0,1,1,73.03143755210547
28,26,11,13,4,1,1,0,0,68.54395496998484
39,16,5,8,3,0,0,0,0,60.21864468018025
26,28,8,13,1,1,0,0,1,72.15536302292715
23,22,10,22,0,0,1,0,1,76.55304794774209
29,19,11,6,3,1,0,1,0,63.24791550344336
37,25,14,12,4,1,1,0,1,75.19345826624581
27,22,7,16,4,0,1,1,1,71.03341958231253
11,26,4,16,2,1,1,0,0,62.48134775934963
36,9,11,9,2,1,1,1,1,68.29457514078702
43,23,11,12,3,0,0,0,0,69.76099035156588
27,20,6,19,2,0,1,0,0,67.12996948181292
33,12,9,7,5,0,1,0,1,67.06472789694405
33,18,15,16,1,1,0,0,1,78.33286653253683
32,18,11,8,7,0,0,0,0,65.16578742412153
36,4,14,17,0,1,1,1,1,75.38567049737019
30,25,7,11,5,0,1,0,0,65.53943555779514
29,7,7,17,6,0,0,1,0,64.55182250747417
37,16,9,11,3,0,1,1,1,71.42071127275474
26,16,3,3,6,1,1,1,0,55.27128491975707
30,34,12,7,6,0,0,1,0,69.41637023713758
41,20,8,12,4,1,1,1,0,67.93096647824686
42,22,13,17,1,0,0,0,1,75.64159125255836
32,10,10,14,6,1,1,0,1,71.55682048164157
42,13,6,8,4,0,1,1,1,66.85896350467254
21,19,8,11,2,0,0,0,1,69.06160122491424
33,24,11,18,5,1,0,1,0,71.17234038185987
19,28,11,9,2,0,1,1,1,69.04174582276035
31,21,13,16,5,0,1,0,1,75.86218585473001
28,15,5,14,1,1,0,0,1,66.35759523261427
21,29,4,7,6,0,0,0,0,59.44363697643461
34,15,10,17,3,1,1,1,1,71.87477624441934
35,17,9,11,7,0,0,1,0,66.2736176052596
34,24,7,9,6,0,0,0,0,63.58590645488687
23,20,5,10,6,0,1,0,0,61.57142850148417
33,20,12,10,2,1,0,0,0,68.13929112124234
17,13,3,17,1,0,0,0,1,63.496334333198185
45,18,12,14,4,1,1,0,1,75.73729680982476
28,21,10,0,0,0,0,0,1,63.72746399373624
36,15,13,13,1,0,1,1,1,73.18345608818078
39,22,8,3,3,1,1,0,1,65.75604989077196
35,23,10,6,5,1,0,1,0,64.65403767623584
34,11,8,11,3,0,1,1,1,68.19049265049766
35,15,6,17,2,1,0,1,1,71.20219435102679
30,17,7,14,5,0,0,1,0,66.2028380050478
45,15,12,12,6,0,0,0,0,70.51232796977769
23,12,7,18,6,1,0,1,0,67.11074384748107
48,14,6,8,3,1,0,0,1,66.14664891510475
32,18,14,16,6,0,1,0,0,72.79020059544109
29,22,7,1,5,1,1,1,0,57.7772777346467
27,14,9,18,3,0,0,0,0,67.98453951414636
27,15,11,21,2,0,0,0,0,71.99260811100491
14,22,7,22,2,1,0,0,1,74.38632914596147
19,24,6,14,4,1,0,1,0,64.9171038304797
23,15,10,9,6,1,0,0,0,64.45640449522462
26,12,9,12,3,0,0,0,0,65.14926540138777
36,20,7,15,4,1,1,0,1,71.83702315139094
31,24,7,7,2,1,1,1,0,60.87954280490269
39,13,13,17,4,1,0,0,0,73.30824845404226
30,17,5,9,5,1,1,0,0,59.881443016636055
50,26,9,14,3,0,1,0,1,74.63870202908218
28,17,12,11,2,1,1,0,1,70.81311260351016
39,28,9,9,2,0,0,0,1,69.33666405476527
37,19,10,18,4,0,1,1,1,74.79337123318348
22,25,10,12,2,0,0,0,1,72.16087126115133
44,16,10,14,1,1,0,1,0,67.04934670110907
25,22,8,14,4,1,1,1,1,70.33856636351071
30,24,13,23,2,0,0,1,1,79.76214216906475
46,24,11,11,3,1,0,1,1,73.3412595678389
27,18,5,14,4,1,0,0,0,64.01282984330173
27,15,9,10,6,0,1,0,0,63.76889723205655
15,21,6,0,3,1,1,1,0,54.898312567400176
45,4,15,11,4,0,1,1,1,74.30110791232445
31,30,11,16,3,0,0,1,1,74.44356134758304
31,23,8,9,2,0,1,0,1,68.46005975983768
42,21,10,19,1,0,1,0,1,75.23682393189588
21,23,11,13,6,1,0,0,1,71.38821731379929
24,16,7,16,7,0,1,0,0,67.08319701235484
40,21,11,18,6,0,1,0,1,79.50039431512076
25,19,6,15,4,0,0,1,0,63.42697351395724
29,17,11,21,2,1,0,1,1,76.8693153359032
42,25,10,9,4,1,1,0,1,72.82467583054084
19,17,7,17,6,0,0,0,0,67.12066341326658
39,24,10,9,1,1,1,0,1,70.47941911766388
16,21,10,16,2,1,0,0,0,68.71574822404408
17,19,9,6,4,0,0,1,0,58.52651396794158
24,13,8,7,3,0,0,1,0,60.481794052133054
19,36,9,8,4,1,0,1,0,65.03776097752143
40,13,8,4,3,0,0,1,0,60.08760235055741
33,9,12,7,4,0,1,1,1,68.53472117384881
34,23,8,17,2,0,1,1,1,71.65370317629896
8,26,8,18,3,1,1,1,0,67.0977917769904
16,13,12,4,2,1,1,0,1,66.98772120999443
37,15,11,6,3,0,1,0,1,68.66958108764713
29,22,11,23,2,0,1,0,1,79.39206825710649
34,26,13,12,5,1,1,0,1,74.69761255892617
30,15,12,11,6,0,1,0,1,72.38964096100416
29,13,6,10,3,1,0,1,0,61.02753358883223
40,20,9,15,5,1,0,0,0,70.5480261185674
16,16,15,14,3,1,1,0,0,70.61173359302312
46,25,5,6,7,1,0,0,0,62.20897025274996
21,21,8,13,4,0,0,1,0,63.313468148851335
36,24,11,7,4,0,0,0,0,65.6097922952078
15,23,8,15,4,1,0,0,0,65.99286888022367
26,22,12,10,2,0,0,1,0,68.09470577020363
27,16,8,13,3,1,1,0,1,69.12095345838426
33,24,12,24,4,0,1,1,1,80.58770278397233
35,14,10,10,0,0,0,0,1,71.4807785088204
17,12,9,9,3,0,1,0,1,65.65890104497394
19,18,9,17,4,0,0,1,1,72.90670252713778
37,24,6,10,3,0,1,1,0,62.2068110982508
24,10,6,15,5,0,1,0,0,63.976992651387214
30,24,12,14,4,0,1,0,1,74.71535812922895
37,33,6,8,4,1,1,0,0,61.44542475990489
40,26,5,9,4,0,1,1,1,68.75690100471758
25,13,10,8,3,0,1,1,1,67.30841210224992
37,15,12,13,5,1,1,0,1,71.99064459516649
21,18,11,4,2,1,0,0,1,65.41429188834515
26,23,9,8,2,0,1,1,1,65.97115792091826
49,24,10,15,3,1,0,0,0,72.98780538442414
23,18,10,15,4,0,0,0,1,70.86224833614207
37,11,8,-2,6,1,1,1,0,57.790627333130494
34,19,11,9,6,0,0,1,1,69.84710749935842
30,18,4,15,3,0,0,1,0,62.36520232976294
23,26,10,20,3,0,1,0,0,71.99402207295675
17,11,6,12,2,0,1,0,1,66.4689228269172
30,24,14,9,0,1,1,1,1,71.58488276003834
26,1,8,12,1,0,1,0,1,70.78261289938608
18,26,9,15,6,0,0,1,0,69.23210007931571
29,16,11,8,5,1,1,1,1,70.24094952545414
20,30,13,8,2,0,0,1,1,72.40643744008537
27,17,7,17,0,0,0,0,1,68.68809632757467
35,25,10,18,5,0,0,0,0,70.83804177329914
32,12,9,22,8,1,1,1,0,70.91961242777933
25,38,12,15,0,1,0,0,1,77.3366649364665
37,22,18,13,1,1,0,0,1,79.72793816423545
18,18,9,10,5,0,0,0,0,64.24667034240076
18,25,9,7,2,1,0,1,1,65.66898093953994
35,34,10,16,3,0,1,1,1,75.8587024460995
37,20,9,12,5,0,1,1,0,67.72914630706015
31,23,8,21,5,1,0,0,0,69.87814209489373
31,24,10,8,2,0,0,1,0,65.29151288632244
32,27,11,11,4,0,1,0,0,68.929440682283
29,28,8,21,4,1,0,1,0,70.52595858794284
29,8,10,13,2,0,0,1,0,65.27632647090161
32,18,14,9,4,1,1,0,1,73.79110360640848
28,29,8,7,6,1,0,0,0,62.48762490330735
29,16,11,12,3,0,1,0,0,67.09564338138473
29,28,8,3,2,0,1,1,1,65.38836482639944
30,17,14,14,2,0,1,1,1,73.93455070297703
16,10,8,25,4,0,1,0,0,69.37377777613584
44,22,10,17,3,0,1,1,0,71.48062365740961
31,27,11,13,5,1,0,1,1,73.94045059181546
16,20,9,12,1,1,1,0,1,68.14548796932065
46,15,6,17,4,0,1,0,1,71.50901194275046
14,16,13,15,6,1,0,0,0,69.39310851060887
28,18,7,11,3,0,0,0,1,67.49691166709766
30,14,12,14,4,0,0,0,0,70.18255921390595
32,22,11,13,3,0,0,0,0,69.64495150524687
26,8,7,15,4,1,1,0,1,68.5444275452607
24,30,13,20,4,1,1,1,1,80.24606666004549
37,22,11,13,3,1,0,0,1,72.79278845939683
31,9,9,15,6,1,0,0,0,68.56330921146268
24,8,11,13,5,1,1,0,1,73.24505143569046
45,16,8,14,7,0,0,0,0,66.9851263240343
34,11,10,24,6,0,1,0,1,79.71247391398303
2,32,5,14,3,0,1,0,0,62.91343009200893
21,20,11,10,3,0,1,1,1,69.3380359789967
17,22,9,11,3,0,0,0,0,63.28778044814204
44,19,9,18,4,1,0,0,0,72.40201855991393
23,32,10,12,3,1,1,1,1,71.37024006709676
33,33,6,16,2,1,0,0,1,74.42894728067668
45,19,9,22,5,0,0,1,1,78.01436075486389
34,22,11,28,2,0,1,0,1,81.31258240332576
28,17,8,9,7,1,1,0,0,63.35823893939187
24,17,8,4,4,0,1,0,1,63.37610517746638
23,17,10,10,3,1,0,0,1,68.96658172196142
23,25,5,14,5,1,0,0,0,64.49565828467222
16,22,8,12,5,0,0,0,0,64.16557700864507
30,20,9,12,3,1,1,1,1,70.15473010950178
26,16,9,17,4,0,1,1,0,66.03180216132155
39,17,7,12,4,1,1,0,0,65.85345797322331
26,33,12,7,4,0,0,0,1,72.30211382418425
41,21,13,7,5,1,0,0,1,72.43379148915692
37,17,7,8,6,0,0,0,0,64.63112509996988
27,23,7,20,4,1,1,0,1,73.5513343562263
21,21,12,12,2,0,0,0,1,72.96742718969799
19,14,7,16,5,1,0,0,0,65.56111383938939
19,15,8,16,3,0,0,0,0,63.57178732350535
30,33,7,18,5,1,0,0,1,75.44964937233323
24,21,10,13,2,1,1,1,1,70.86405832143315
30,26,18,17,3,0,0,0,0,77.6997657263921
18,27,9,21,3,1,1,1,0,70.73905546118323
32,25,11,12,3,0,0,0,1,73.83855678223311
13,23,14,5,2,0,0,0,1,68.94252780508874
42,15,5,14,8,0,0,1,0,64.79568094631742
38,20,8,22,2,0,0,1,0,70.32124388323385
31,28,11,18,4,1,0,1,0,72.8898717951808
40,6,10,9,3,0,0,0,1,67.04760746644052
37,22,11,18,2,0,1,0,1,75.62256245742898
35,21,9,19,5,1,1,0,1,76.42110100769203
39,29,9,9,7,1,0,1,0,66.94392011747368
32,26,6,20,4,0,0,0,0,69.42182959654372
27,25,10,19,5,1,0,1,0,71.667063431956
17,14,8,14,5,0,1,1,0,64.84351976477875
25,21,10,23,2,0,1,0,1,78.61416441792967
36,26,15,14,4,1,0,0,0,74.53188186242285
30,21,7,22,4,1,0,1,1,75.15660238095718
21,16,9,1,3,1,0,0,1,61.97701235898505
19,19,7,7,4,1,0,0,0,62.4041217343484
22,16,10,12,2,0,0,0,0,64.57664141209732
38,22,6,19,4,1,1,0,1,71.74174460217291
29,11,9,2,4,0,0,0,1,63.37814387495681
40,5,7,22,3,0,1,1,0,69.5249041207079
20,9,9,17,4,0,1,0,0,67.00905135254224
34,31,6,7,6,1,0,0,1,67.2948197099163
18,26,6,16,3,0,0,0,0,63.8033217154816
19,7,13,19,4,0,0,0,1,73.67271877605695
28,17,13,9,2,0,0,1,1,70.90346194286693
33,22,6,18,3,1,1,0,0,67.21193912954178
16,16,11,8,7,0,1,1,0,64.55163075748422
26,27,9,12,0,1,0,1,1,68.00503542935704
36,10,12,18,10,0,0,0,0,74.42283871715343
7,15,8,13,2,1,1,1,1,67.76254017297664
33,27,9,14,5,0,1,0,1,73.66367612191372
24,19,10,13,4,0,1,0,0,65.93186457556405
41,18,9,6,4,0,0,0,1,67.1276595600739
33,27,12,1,0,0,1,1,1,69.40837921113626
32,6,6,16,4,0,0,1,1,68.07561591578079
27,19,11,12,4,1,1,1,0,67.37103797904784
18,29,9,12,3,0,1,1,1,70.72907721661903
46,26,12,15,1,0,0,0,1,78.7139532609142
33,22,9,1,2,0,0,0,0,61.496729128867926
35,20,8,13,0,0,0,0,1,69.347382062062
31,11,11,16,3,1,0,1,1,73.24586415612484
20,29,8,21,8,0,1,1,0,71.89425289153363
23,15,10,13,5,0,0,0,0,66.99041932926971
34,11,9,13,5,1,1,1,1,68.76116183723495
28,18,10,16,3,0,1,0,1,74.31414986371233
26,24,6,5,4,1,0,1,0,58.548474641748605
34,16,9,13,7,0,1,1,1,70.57559208333173
31,15,6,13,5,0,0,1,1,68.21605699395677
32,18,16,5,4,0,0,0,0,70.80455244410058
22,23,9,14,4,0,1,1,0,69.23571980929395
45,15,8,10,3,0,0,0,0,66.14702344117535
24,21,8,13,5,1,1,1,0,67.50682318599677
33,20,4,13,5,1,1,1,0,64.52690066149766
25,28,8,2,7,0,1,1,1,65.61100964034897
34,24,8,12,4,1,1,1,0,66.73804213048759
22,20,10,16,4,1,1,0,1,72.62878075019528
28,24,8,18,6,0,1,0,0,69.7835350467094
36,21,4,17,4,0,0,1,0,66.278485520557
34,25,8,10,4,1,0,1,0,66.47828908798574
24,31,8,13,6,1,1,0,0,69.5285126814308
17,20,2,12,1,0,1,0,1,61.2250406882745
39,17,11,12,3,1,1,1,1,72.77034061741828
26,20,9,20,3,1,0,0,0,70.92350018132453
20,22,10,19,8,0,1,0,0,69.62855593863945
23,16,10,9,4,1,1,1,1,65.60933001413431
33,18,11,4,3,1,0,0,1,68.33248226563859
34,28,11,11,0,0,0,0,1,72.0396363294093
30,22,8,13,3,1,1,0,0,64.55312675338767
29,16,15,11,0,1,1,0,1,73.11424895817287
41,15,14,14,5,0,0,0,0,72.46339888498134
29,22,10,16,6,1,0,0,0,70.03061926518885
47,9,9,14,5,0,0,0,0,67.6772951514099
20,14,10,16,2,1,0,1,0,65.94194601636987
29,15,8,20,2,1,0,1,1,74.47704297779127
30,16,9,18,5,1,0,0,0,72.0440184517086
37,22,9,22,4,1,1,1,1,77.60790728295936
24,15,8,10,3,1,1,1,1,68.41818632582702
32,30,9,19,3,1,1,1,1,73.97346824133805
16,14,9,19,7,1,1,0,0,70.10376247228473
34,11,13,10,3,0,1,0,1,72.73663123537933
35,25,8,10,5,0,0,1,0,63.03546460619867
41,18,16,20,4,1,0,0,1,81.90987429288023
37,22,11,10,3,0,0,0,1,73.15841251069017
18,24,8,7,5,1,0,0,0,61.98173176980037
33,18,10,6,3,0,1,1,1,66.27335141244885
36,12,11,16,4,0,1,0,0,70.71211187640301
43,30,10,25,3,0,0,0,1,80.66872086543587
15,24,12,13,3,0,1,0,0,69.20929808148915
43,28,14,20,2,1,0,1,1,80.57229146502667
24,15,8,18,4,1,1,1,1,72.2704340524712
29,13,9,12,2,0,0,1,1,68.0615738372365
34,20,9,18,2,0,0,1,0,69.41179385573888
31,15,11,11,6,0,1,1,1,73.4238164973084
41,19,13,13,3,0,0,1,1,74.1088771558206
26,29,6,11,4,0,0,0,0,63.44334731408651
26,20,15,10,7,0,1,0,1,72.60079636421196
22,11,3,7,1,1,1,0,1,61.00964642476636
22,11,15,14,5,1,1,1,1,76.14191991052395
32,11,4,15,5,0,0,1,1,67.6361386221206
23,24,6,7,1,1,0,0,0,59.37565457926144
42,15,10,22,3,0,0,0,1,78.39085762252498
35,18,9,18,4,0,1,0,1,74.3728170691075
33,27,11,6,4,0,0,0,1,70.72236331691917
41,14,12,17,4,1,0,0,1,74.6605881974439
30,16,6,8,3,1,0,1,0,59.7658802885507
28,26,11,18,0,1,1,1,1,74.79171710316052
37,21,7,15,3,0,1,1,0,66.30896448413816
26,7,13,12,8,1,1,1,1,73.62033469718166
49,16,12,17,2,0,0,0,1,79.32471431278687
28,14,9,10,2,0,0,0,0,64.37895595932876
28,14,11,19,4,1,1,0,0,70.87707213383814
25,26,2,10,3,1,1,0,0,57.72146931281373
18,20,10,4,2,0,0,0,0,60.79705178934231
36,20,9,8,6,0,1,1,0,66.95322321824536
17,23,14,25,3,0,0,0,0,75.20140417314249
30,23,11,11,6,0,1,0,1,71.45619449733948
32,11,14,14,0,0,1,1,1,75.08459562204243
32,19,6,6,4,0,0,1,0,59.68200485186359
33,23,14,19,3,1,1,1,0,73.88784151444213
30,9,8,17,3,0,1,1,0,65.64837538834175
43,13,8,13,1,1,0,1,0,66.72345367405373
37,29,9,15,4,0,1,0,1,74.40843987730494
24,32,10,15,4,1,0,1,0,69.3855484921056
17,20,6,15,5,1,0,0,0,64.26174324645943
26,33,21,17,4,0,0,0,0,81.0349276002921
39,15,14,11,5,1,0,1,1,75.54001888587854
26,30,10,17,3,1,0,1,1,74.89292177524068
43,6,13,15,3,0,1,1,1,75.932740198577
40,21,7,7,4,0,1,1,1,66.89620680736553
42,15,8,8,5,1,1,1,1,68.52925084883664
