student_age,parent_education_years,school_funding_per_student,rural_school,access_to_tutoring,online_education_program,final_grade
16,21,4,1,1,1,80.70870401680746
31,17,5,1,1,1,91.83923019577516
27,15,5,0,0,1,85.51362624756656
26,25,9,1,0,0,85.717649213306
29,25,5,0,0,1,94.14516893254871
34,18,7,0,0,1,93.22798418871577
44,23,2,0,0,0,97.94559841649316
11,33,4,1,1,0,76.7350114452196
36,15,3,1,0,0,89.23500068597212
30,28,6,1,1,0,90.26291381262575
28,29,4,1,1,0,90.24418668335846
14,28,4,1,0,1,79.12285931073238
25,25,6,1,0,1,89.30752309151663
24,21,7,1,1,0,84.21002818316485
50,20,1,1,1,0,103.9986592962034
29,14,5,1,0,1,87.6993490410716
15,21,7,1,1,0,76.15447091789262
31,20,5,0,0,0,88.01391250515151
21,23,3,0,1,0,82.22476971673717
31,20,7,1,0,0,88.01743150577177
19,30,5,1,1,1,86.8914049764266
17,24,3,0,1,0,76.2763653972787
32,27,6,0,0,0,91.61592143826698
21,24,7,0,1,1,84.70010132061144
10,17,3,1,1,1,70.12390206370416
11,25,8,0,1,0,74.18812070113792
9,20,7,1,0,1,73.01495048954403
3,22,4,0,0,0,62.24473526519438
18,26,5,1,0,0,79.18233903581348
29,16,7,0,0,0,85.8913630573528
27,23,5,0,1,1,89.78511695162837
32,19,4,1,0,0,87.37714355396875
17,20,9,1,1,1,81.66464939892815
11,15,6,0,0,1,71.36718752062764
31,31,7,1,0,0,94.34383478382443
29,23,5,1,1,0,86.3926833490204
31,22,4,0,0,1,93.13349347470216
22,19,8,1,1,1,83.19519629444589
23,31,5,0,1,1,92.2062082874207
20,22,1,0,1,0,78.51545664814999
46,29,4,0,0,0,105.56256515077244
17,22,7,1,0,1,79.81418397023602
11,23,9,1,0,0,70.57258160414968
34,20,6,0,0,0,91.46792665212266
18,29,4,0,0,1,84.323721363784
19,18,5,0,0,1,80.06312936950388
14,23,1,1,1,1,75.43264472284159
15,23,6,0,0,0,76.21034706494545
31,29,6,1,0,1,96.918377484549
16,21,8,1,1,0,76.49002212084152
29,24,5,1,0,1,90.2200215722824
31,18,5,0,0,1,89.77720459021863
18,20,3,0,0,0,76.15533364895995
27,24,3,0,0,0,84.7213814034114
31,21,3,0,1,0,87.71268824714399
16,28,6,0,1,0,78.06999564299718
28,17,4,0,1,0,84.20078399864381
28,24,2,1,0,0,87.64964045255468
23,27,3,0,0,0,84.5968710604327
22,29,0,0,1,0,83.18439679870689
10,23,11,1,1,1,76.38168248175685
26,19,5,0,1,0,81.93320656699291
15,21,7,0,1,1,78.33801865614805
25,24,4,0,0,1,89.13745709826445
30,19,3,1,0,0,87.53671184854423
17,12,6,0,0,1,73.46830821974837
17,14,8,0,1,1,78.72455694830165
6,21,6,0,0,1,70.17123854346337
25,19,1,1,0,0,79.90080185877406
26,25,9,1,0,1,91.68771043652528
18,16,5,1,0,0,72.76733512491964
22,27,7,0,0,0,84.36379979874476
40,24,3,1,1,0,96.7981375067461
15,27,8,1,0,1,81.4009834036555
19,20,4,1,0,1,78.94203371514149
25,20,4,1,0,0,80.07709840193088
41,22,7,0,1,1,103.5898361398184
32,19,2,0,1,1,91.3283534372946
21,27,9,0,1,0,83.5562536418327
20,23,3,1,0,1,81.99275684135526
36,22,6,0,1,0,94.5756540360834
18,22,3,1,1,0,74.22009362563374
26,23,10,0,0,1,91.52690291255252
10,26,11,0,1,1,79.53845736580297
18,20,4,1,1,0,77.0494422384531
13,26,5,1,0,1,77.90196353512901
24,26,3,1,0,1,88.1806176453485
37,29,0,0,1,0,95.67611532681416
22,17,2,0,1,1,80.67020173807023
17,26,5,0,0,0,77.74215844869457
40,24,8,1,0,1,103.63887162325264
21,24,5,0,1,1,84.80272789178808
32,26,6,1,1,1,97.34687100952526
5,22,3,0,0,0,65.50710716045721
37,25,7,1,0,1,100.01945614865564
21,23,6,1,0,0,79.76889880185571
30,25,3,0,0,1,92.80549583526
14,28,7,1,1,1,81.0882680243158
24,18,2,0,0,1,83.82242951389462
29,26,9,0,0,1,94.72672859539924
28,17,6,0,0,0,83.6049484341446
25,24,8,0,0,0,85.35956147738382
29,25,6,0,1,1,93.63600613895169
20,14,8,1,0,0,76.1209689351434
19,19,4,1,0,0,74.38799681180372
22,18,5,0,1,1,82.54203741864663
20,23,3,1,0,0,78.78459118182704
26,27,6,0,0,0,85.45221507916393
2,25,7,1,0,1,68.54639487663974
30,22,5,0,0,0,87.34314491078445
25,15,2,0,1,0,79.41709976338853
29,18,4,1,1,0,84.87228324153274
29,30,6,1,1,1,97.18040335096846
19,27,2,1,1,0,80.69916257963041
28,24,1,1,0,1,88.7566369807937
14,19,4,0,0,0,70.4213895467525
46,27,6,1,0,0,106.91276532970755
31,28,6,1,0,1,96.57358847135949
28,25,4,0,0,0,85.12964036601495
24,24,5,0,1,0,84.26035212187237
10,23,5,0,1,0,69.49531443066039
32,27,1,1,0,1,94.79996449630048
23,16,4,0,0,1,82.82811131761355
17,22,7,1,0,0,77.55671731509501
16,18,9,1,0,1,76.97581631096035
28,23,5,1,1,0,87.59725818221155
17,33,5,1,1,0,81.88993753128301
33,23,4,1,0,0,90.46627836742326
32,24,8,0,0,1,96.3884665048076
21,24,4,1,1,1,84.84828113119845
37,22,6,1,1,0,94.40592321553552
20,26,4,1,1,0,79.62969515397872
18,15,7,0,0,1,76.26297015271224
17,27,2,1,1,0,80.17221283454815
30,18,8,1,1,0,86.64744393446595
34,25,4,0,0,1,95.89843785282952
23,21,6,0,0,0,80.17963120044399
31,26,7,0,0,1,95.147739227993
15,20,4,1,0,0,73.0788923995138
18,19,4,0,0,0,72.88383607650253
6,26,3,0,1,1,71.29490756806157
32,26,9,0,0,1,97.47605354741226
28,22,5,0,1,1,91.09685496957444
26,27,7,1,1,1,91.21658107439076
15,17,3,0,1,0,71.55863171071327
25,15,3,1,0,1,82.14476438939181
29,19,5,0,1,0,85.29353149439537
22,23,9,1,0,1,85.37433197824357
37,21,5,1,1,0,93.4952136472426
16,22,5,1,0,1,78.6107129608671
43,19,4,0,1,1,102.65352631461492
33,28,5,0,0,1,96.61900538334852
21,26,7,1,0,1,89.27346686628903
38,25,9,0,1,0,98.64085033449427
23,34,6,0,1,0,87.86175321722368
12,21,5,0,1,1,74.6471841059335
23,12,6,1,0,0,77.89547734522831
32,19,3,1,0,0,86.49514326441044
31,22,6,0,1,0,88.76732882876911
40,23,6,1,0,1,103.91834857329138
29,21,5,1,1,1,91.70837337839606
28,27,6,0,1,1,93.45826540021822
9,21,9,0,1,1,76.57493566205446
28,17,2,0,0,1,87.44367535982859
20,21,8,0,1,1,82.64307620012858
21,26,2,1,0,0,81.60946767446032
30,26,12,0,1,1,95.74618915389333
17,27,8,1,0,0,80.4700856194992
14,18,9,0,0,0,71.5132869696433
12,20,6,1,0,0,69.598578079213
38,22,6,0,1,1,101.36847168383528
20,21,7,0,1,0,77.88033978911763
37,29,2,0,1,0,99.2250702137182
17,29,6,0,1,1,83.09732574189204
14,21,2,1,0,1,75.292399217899
19,25,6,0,0,0,80.6442935534634
15,28,6,0,0,1,81.10034301405177
13,22,7,1,0,0,72.83608035162936
20,25,4,1,1,0,81.4327526898805
26,20,6,0,0,1,87.89996371349015
20,28,0,0,1,0,80.21981886826912
33,17,6,0,1,1,94.14355066815526
15,18,2,0,0,1,74.04074365978816
10,20,5,1,0,1,73.41291841687318
25,24,6,0,0,1,89.35974146328404
34,20,2,1,1,1,95.16152843088578
34,25,0,0,1,0,92.10611511345712
22,27,4,0,1,1,88.09192665845094
33,20,5,0,0,0,89.63893560850208
24,26,6,0,0,1,92.95150344397278
40,28,9,0,0,1,106.2307662804435
32,21,4,0,0,0,88.35266373056122
24,27,4,1,1,0,82.536161013419
0,27,13,1,1,1,68.50317023283124
19,19,5,1,0,0,77.62732598291059
22,27,4,1,0,0,80.88679975164656
32,20,6,1,1,0,89.27756576550752
15,24,6,1,0,1,79.32173603951335
16,29,9,0,0,1,82.96526802208894
27,24,6,1,0,1,90.77529126519816
33,23,2,1,1,1,95.37925689461233
30,21,3,1,0,0,85.48157583594156
29,28,8,1,1,1,97.06142598078104
16,26,5,0,0,1,80.89647916199525
30,28,5,0,1,1,96.07459585327184
7,31,10,0,0,0,72.60817377491074
14,21,6,0,0,1,75.63656157961353
21,17,3,1,1,0,76.93125666132102
39,18,9,0,1,0,96.07289921792392
15,18,5,1,1,0,73.11912914640855
37,21,10,1,0,1,100.25998555691196
12,24,2,0,1,1,76.35456981519232
20,20,1,0,0,1,78.68294504980899
33,22,7,1,1,0,92.27666485149614
36,23,2,0,1,1,97.48575244232048
11,26,6,0,0,0,71.75356534066213
26,20,1,0,1,0,81.03158616427955
24,27,6,0,0,1,89.62563849176526
28,23,3,0,0,1,89.47903859596676
23,17,9,0,1,0,80.53409972383628
24,26,5,1,0,1,88.45382469156904
12,20,4,1,0,1,72.9494255857484
23,20,4,1,1,0,80.64381756271793
37,28,3,0,1,1,101.34656363582594
15,21,1,1,1,0,72.14173889344207
27,23,6,0,1,0,87.84929803414532
38,26,11,1,1,1,102.74878868646856
10,22,2,1,1,1,71.85591832422844
33,26,8,0,1,1,97.85461075727076
19,28,5,1,1,0,82.98727761315789
21,28,12,1,1,1,91.15563955772782
0,25,5,0,0,0,60.866518579236335
14,34,4,0,0,1,82.90203836726498
12,16,3,0,0,1,70.17143629748085
30,25,5,1,0,0,89.78690803417565
23,24,6,1,1,1,88.09863653082299
27,21,8,1,1,0,85.98377589790033
22,22,6,1,0,0,79.98254995269238
12,22,7,1,1,0,71.96071482769783
30,24,4,1,0,0,89.42023449104917
20,24,6,0,0,1,83.51047632155473
15,20,2,0,0,0,72.063346165534
20,25,3,0,1,1,85.2565959922323
24,20,5,1,0,0,81.88463478130387
27,21,4,1,1,0,85.16811936579968
35,26,5,0,1,1,99.24747819932622
6,20,7,0,0,1,68.43858896409412
26,19,9,0,1,1,89.40828769478132
27,17,10,1,1,0,85.5486003530586
51,28,7,0,0,0,112.35962005104376
33,26,3,1,0,0,93.0683230640402
33,18,2,1,0,0,88.29670435386046
40,22,8,0,1,0,100.48507976751904
40,23,9,0,0,1,103.1668797083642
26,25,9,1,0,1,90.19557595514026
16,19,8,0,0,1,78.22401330901197
14,31,3,0,0,1,82.24808676745968
25,21,3,0,0,0,81.77998018635246
40,24,6,0,0,1,102.88500055101277
32,27,7,0,1,1,96.75308243928204
29,17,8,1,0,0,85.57035517425497
26,32,8,1,0,0,91.59329223309804
27,20,7,1,0,0,85.1937993177905
23,28,4,1,0,1,88.86228322014307
27,30,5,1,0,1,93.2788428685736
15,20,4,0,0,0,71.41908660660796
18,28,7,1,1,0,83.58091420975894
26,20,2,0,0,0,81.81422094356972
32,21,4,1,1,1,93.54650770486492
13,22,2,0,0,0,70.58528499876323
29,23,7,0,0,1,90.53597412868432
28,23,6,1,1,1,90.75653486434469
44,19,4,1,1,1,102.75373079030156
37,19,5,0,1,1,98.498085817324
14,21,8,1,0,1,75.9786323032414
19,27,6,1,1,1,85.09788057091394
24,17,8,1,1,1,85.79773889006538
29,24,2,1,1,1,90.7971209535198
29,21,4,0,0,1,90.59923784283704
35,25,6,0,1,0,94.16598058782684
35,20,7,0,0,1,96.80725110166402
28,30,8,1,1,0,92.80480417453175
33,20,8,0,1,1,94.94487754973795
23,28,3,0,0,1,87.96806163181085
20,13,7,1,0,0,73.80847380781023
38,28,4,0,1,1,105.26713632610468
31,29,7,1,1,0,91.9182533643232
29,28,8,0,0,1,95.27900356345032
15,20,5,1,1,0,71.77226409631093
22,24,9,1,1,1,89.11508049173237
15,27,8,1,1,0,78.34322124662687
12,21,10,1,1,1,76.45173676332578
30,19,5,1,1,0,88.06016725990946
21,26,7,1,0,0,83.64386657589871
10,21,6,0,0,0,69.55013567612893
17,18,5,0,0,1,78.61741551703096
30,25,8,1,0,1,95.09271569842149
24,17,2,1,0,0,80.25559215391401
6,21,3,1,0,1,68.80773052241264
11,14,9,0,0,1,71.17127812114997
28,23,8,1,0,0,86.4455974752227
14,24,6,1,1,0,75.06701326194981
37,22,8,1,1,1,98.69510740599078
13,22,3,1,0,0,70.885412109689
27,30,10,1,0,0,90.81388818612402
10,24,4,0,0,0,68.67352264443171
22,27,4,0,0,1,86.27527989688959
0,25,7,0,0,1,64.29142601422593
12,28,5,0,0,1,79.23640570585921
9,21,6,1,0,0,67.14332731878213
19,22,6,1,1,0,78.82701779489959
1,23,4,1,1,0,62.73025207062916
22,23,2,1,1,0,79.14102562459153
15,23,5,0,0,1,78.05511703060711
19,16,3,0,0,1,76.55541276439946
11,25,3,1,1,0,71.36286800381619
25,14,4,1,0,0,80.24000008511521
37,30,6,1,0,0,99.85713658382308
36,18,4,1,0,0,91.79390426892108
20,25,4,0,1,1,85.02253734819523
32,22,7,1,0,1,95.80948438164508
19,19,3,1,0,0,73.41718980152885
12,24,8,0,0,0,73.89920526158038
47,28,6,0,0,0,106.31262858196064
27,16,6,0,0,1,87.40832857902267
28,25,7,1,1,0,88.37419981855858
25,20,5,1,1,0,83.0392826966442
43,19,4,1,0,0,95.69358330928809
39,24,6,1,1,0,96.88829258287312
21,25,8,1,0,1,86.51236554751975
37,22,4,1,1,1,99.49143702270246
24,21,5,0,0,0,82.98727627810717
16,30,5,0,0,0,79.03442416449622
31,29,4,0,1,1,97.1379637631666
26,27,9,0,0,0,88.0510000332792
35,26,7,0,0,1,100.19238379268478
31,21,2,1,1,0,87.57531615237572
20,22,9,1,1,0,81.73111065172994
11,24,6,0,0,0,70.94664231360292
30,20,7,0,1,0,89.4907314710316
20,18,3,0,1,0,74.65572332403596
10,22,1,1,1,1,72.53197908187039
13,20,4,0,1,1,74.16139897884072
26,24,3,0,1,1,89.51133438541072
17,21,3,0,0,0,73.78454146763005
25,18,6,1,0,0,79.93221987254755
32,35,1,0,0,0,94.64709639984304
30,24,5,0,1,0,89.5967017224334
37,20,12,0,1,0,97.72662129252352
25,18,11,1,0,1,87.418049538249
26,28,7,0,0,1,92.69597961823216
27,24,5,0,1,1,89.45707973190557
19,27,2,0,0,0,78.48026683029639
27,30,4,1,0,0,87.09768917834705
15,27,9,0,0,1,83.99575925250612
26,21,7,1,1,1,89.53972976665375
26,22,3,1,0,1,87.70505317194156
37,23,6,0,0,1,101.62756326184184
22,25,4,1,1,0,79.4512133949666
18,28,7,0,0,0,80.60890700142771
21,21,7,0,1,0,79.02023212896678
30,20,4,0,0,1,89.84170986228501
22,20,5,0,1,0,79.97828441143416
23,22,5,1,1,0,81.44800011556029
22,26,5,1,0,0,83.58296342045044
16,24,4,0,1,1,80.45849738761706
10,21,2,0,0,1,73.13955698038914
34,22,10,0,0,0,92.63460002037267
21,31,6,1,1,1,89.32717480118406
26,21,5,0,1,1,88.43538933384087
20,22,8,0,1,1,85.06803968490362
6,24,5,0,1,0,66.67229190801824
26,25,4,1,1,1,91.67322247967
33,33,9,0,1,1,102.36008070618009
8,22,5,1,0,0,66.09370060964008
32,23,7,1,0,0,90.65801227034916
21,22,7,0,1,1,83.3461812504649
10,26,4,0,1,1,75.24424030563037
25,27,4,0,1,1,90.896195661068
18,22,6,1,1,0,76.87282686583609
41,37,5,1,0,0,107.68818858620706
30,19,4,0,1,0,85.92808520754527
24,22,7,0,0,1,84.86967973680478
21,21,6,0,0,1,84.57367143770107
21,16,5,0,0,1,81.61055653106638
29,24,3,1,1,1,93.5225490246842
29,21,6,1,0,1,90.46407133844592
29,27,5,1,0,0,90.49864270948206
26,22,6,0,1,1,89.08411372226547
29,25,4,1,1,1,92.15825489727864
13,23,7,1,0,1,77.36285394057283
41,23,4,0,0,1,102.22712168072675
26,20,8,0,0,0,82.992055311787
27,23,0,0,0,0,83.51419306109379
21,28,6,0,0,0,83.24763292821754
38,29,4,0,0,1,102.80338230799694
25,20,3,0,1,0,81.34939294511494
10,26,6,1,1,1,76.40583361938968
20,22,6,1,0,0,80.12126498357341
36,24,3,1,0,1,97.35410990720425
17,35,4,1,0,0,81.77758203021027
10,28,6,0,0,0,73.66067874589761
36,27,7,1,0,1,100.41047343314388
16,26,4,0,1,1,82.67919932362862
23,21,5,0,0,0,80.93769246244672
32,32,8,1,1,1,99.76705844341966
33,23,4,1,0,0,92.08607757545292
23,19,3,1,1,0,80.0075342065699
22,25,2,0,0,1,87.58734981007903
35,21,4,0,1,0,92.12411820599024
28,20,4,1,0,1,89.6530815601064
32,20,8,0,1,1,94.97260641095777
18,24,7,1,0,0,78.66317837069437
21,25,8,1,0,0,81.97328332157514
13,30,6,1,1,1,80.25564345002572
13,23,4,1,1,0,71.88771364516376
26,30,7,1,1,1,94.34831118517975
22,21,4,1,1,1,85.24598483041991
36,30,7,1,1,0,98.17136725867282
31,21,3,0,1,0,88.46432589905871
28,28,5,1,1,0,90.33749087037876
48,20,5,1,1,0,102.92335187892446
14,25,7,0,1,1,80.2990224062732
36,12,7,0,1,1,94.72828267913896
23,29,6,0,1,1,90.06711967970249
31,31,5,1,1,0,93.15821594491318
8,17,5,1,1,0,65.15150166543549
26,22,4,0,1,1,88.04455344230239
42,23,2,0,1,0,100.09965947008484
27,29,4,1,1,0,89.79097143849705
20,20,8,1,0,1,83.79554690447702
29,14,2,0,1,0,81.52299754159243
20,26,6,0,0,0,80.31540623352373
25,24,5,1,1,0,84.36240369822296
12,24,6,1,1,1,77.78404863968161
23,27,7,0,1,1,89.02463133503817
30,27,3,1,1,0,91.259063846328
13,25,1,1,0,0,73.5356404703662
39,28,4,1,1,1,104.57877146051516
27,28,6,0,1,1,92.47250567683636
26,17,8,0,0,0,81.93977339256573
19,22,7,1,0,0,79.00925697167415
20,16,4,0,1,0,74.59470383930257
24,21,5,1,1,0,82.55827020733477
26,29,7,1,0,1,91.73357020131454
49,26,8,1,0,0,107.4509675789525
20,23,2,0,1,0,78.76478169201822
11,26,7,1,0,0,72.86610264305735
26,22,6,0,1,1,88.2443203207694
39,21,3,1,0,1,100.0065150114875
39,24,8,1,0,1,102.05386045427464
20,25,4,0,1,1,83.97296650195797
15,22,6,1,0,0,73.75817582641716
21,18,5,1,1,0,77.68202205906842
22,23,7,1,1,0,81.7157022970788
46,21,8,0,0,0,102.70026174773862
21,25,4,0,0,1,84.26913312578179
15,22,0,0,0,1,75.67764472080698
7,17,3,0,0,0,63.68270238598965
17,24,9,1,1,0,79.01184358540151
22,27,5,0,1,0,84.32673456174544
2,25,3,1,0,1,65.70716341834601
26,14,5,0,1,0,82.95014279816947
24,24,5,1,1,1,87.23864445590934
12,22,4,0,1,1,77.31443812805895
20,23,9,0,1,1,83.22603380250266
25,26,4,1,1,1,90.41588080306948
21,16,8,1,1,0,78.29339142134005
33,27,4,1,0,0,92.09298920576543
28,24,9,0,1,0,88.37724834226496
26,25,4,1,1,1,89.97349779844063
17,20,2,0,0,1,77.48881721912461
36,24,6,0,1,0,95.4458073615846
26,21,6,0,0,1,87.3445665113412
27,24,10,0,0,1,91.77065688529008
19,31,7,1,1,0,84.39529847267086
25,19,6,0,0,0,81.32651435382213
17,26,10,1,1,0,80.84868442885843
21,20,7,1,0,0,77.22682819867222
19,26,7,0,1,0,80.61701610919216
26,16,7,0,0,0,81.12755130751377
20,23,7,1,0,0,81.10260620318363
24,21,4,0,0,1,86.23076486611237
24,24,0,1,0,0,79.89394679753372
17,28,7,0,0,1,82.9535452583264
16,25,10,0,0,0,78.48641023048977
5,22,7,1,0,0,64.70307539919337
33,19,5,0,1,1,93.86165782556748
10,19,3,0,0,0,66.9234735541092
24,23,4,0,0,1,87.87573023405702
15,23,4,0,1,0,75.89392235265231
29,19,3,1,0,1,88.26240325983849
19,20,10,1,0,1,82.74723159134912
35,25,4,1,1,0,94.88757745799292
34,23,6,1,0,1,95.39424127410712
34,27,3,0,0,1,95.56345706721108
33,20,3,0,1,1,93.58437522102844
36,25,6,1,1,0,96.70926275582669
30,22,4,1,0,1,91.1626422617682
14,21,5,0,0,1,78.2297066494959
47,23,7,0,1,0,104.20243938992851
21,17,3,0,0,1,81.41284913751552
22,28,6,0,0,1,87.78081473796423
31,24,2,1,0,0,87.87191875064721
18,24,7,1,1,0,80.0744487039374
18,21,7,1,0,0,76.88396994014644
20,23,7,1,0,0,78.47588613021321
29,24,5,0,1,0,88.34467823045298
20,26,7,1,1,1,87.72236779948962
19,24,5,0,1,0,79.28480284072616
20,26,5,1,0,0,81.8226078399686
8,27,6,0,1,0,69.83112355190548
38,22,10,1,1,0,95.96621872512014
20,24,7,0,0,0,81.06938962493471
42,24,4,1,1,1,103.00048253176472
20,21,4,0,0,0,78.309833123278
11,17,6,0,0,1,72.49579967950146
22,21,6,0,1,0,83.16893822479871
15,25,8,0,0,1,78.74615610221166
34,20,8,0,1,0,92.0897276144573
37,28,6,0,0,0,98.81134600698468
23,26,9,0,1,0,84.77149372568994
37,22,4,1,1,0,96.7614532290813
24,20,6,0,0,1,85.02724599482951
11,25,4,0,0,0,70.88990872192495
36,29,7,1,1,0,99.38763668978795
32,20,5,1,0,1,92.16645888998212
16,23,3,1,1,0,77.21735114270913
29,16,6,0,0,0,85.0353841970196
27,32,2,0,0,0,89.8656187345298
31,28,6,1,0,1,97.88655815230372
23,32,6,1,1,0,88.30340076237128
3,20,5,0,1,1,66.529807642165
24,25,4,0,0,0,82.67724720595375
29,19,4,0,1,0,86.08658030099879
25,24,3,1,0,1,86.00289515778238
1,25,6,0,1,1,67.54118097415204
3,23,6,0,0,1,66.98244687492586
30,22,-1,0,0,0,86.0100417269941
34,24,6,1,1,1,99.64355967629372
16,19,8,0,1,1,80.46011931179052
22,14,3,1,1,0,76.04996606911224
24,25,5,0,1,1,88.72318065485807
26,22,3,0,1,1,87.87810828042781
8,21,4,1,1,1,71.1059681484116
30,25,9,1,0,0,91.7625847863
30,26,7,0,0,0,91.3268850500487
28,21,2,0,0,1,89.98146667833103
12,28,-1,1,0,0,73.02939800163351
18,27,8,1,1,1,84.9723136439294
7,17,3,1,0,1,66.01598173174838
26,22,5,0,1,0,83.2096227551021
37,26,5,0,0,0,97.50626312168046
25,21,7,1,1,1,86.99252486612265
24,23,5,0,1,1,86.5224262290407
18,27,4,1,0,0,78.6513007018918
22,27,7,1,0,0,83.51547918228644
20,17,7,1,0,1,81.44219491607187
19,23,7,1,0,0,79.59539414445543
16,24,6,0,0,0,76.10687921038345
27,22,3,1,1,0,85.1408883545234
21,24,9,1,1,0,83.78647657233549
7,26,6,1,0,1,72.34011140623885
27,23,8,0,1,0,87.46472543109746
