years_in_public_housing,household_size,prior_eviction,single_parent,recent_job_loss,counseling_offer,attended_counseling,housing_stability_score
3,2,0,1,0,1,0,52.11453416670508
8,2,0,0,1,1,0,52.37648761082743
5,3,0,1,1,0,1,56.20751677919341
3,3,0,1,1,1,1,58.24122877343186
3,3,0,1,1,1,1,55.07648243646301
2,4,0,1,0,0,0,48.68984328847528
0,2,0,0,1,1,1,57.39218414801724
6,3,0,1,1,1,0,52.58972199766406
6,3,0,1,0,1,0,50.41658497729711
5,2,0,1,1,1,0,51.44624962599863
1,2,0,1,1,1,1,56.50098803692583
3,4,0,1,0,1,0,50.355662553532014
0,3,0,1,1,1,1,58.1521531281646
1,4,0,0,1,1,1,56.775084433460734
3,3,0,1,1,1,1,56.66390482633948
1,2,0,1,1,1,1,56.11871790490135
2,3,0,0,1,0,0,53.29534506439366
7,3,0,1,1,0,1,56.44697831530031
5,2,1,0,1,1,0,52.28653084736258
0,2,0,1,1,0,1,56.814763780069306
7,3,0,1,1,0,1,57.27573644079492
4,3,0,0,1,1,1,57.91927160132649
4,3,0,0,1,1,0,50.78411641292256
6,2,0,1,1,1,0,51.834740353980415
2,3,0,1,1,0,0,50.17896346921513
-1,2,0,1,1,1,1,55.41023193377055
5,2,0,1,0,1,0,49.10263483273295
2,3,0,0,1,1,1,57.13987827046037
4,2,0,1,0,1,1,55.52235189307488
4,2,0,1,1,0,1,54.86749998774847
0,3,0,1,1,0,1,56.36192484728824
7,2,0,1,1,1,0,49.71550918617349
9,3,0,1,1,0,0,49.93265099692337
1,2,0,1,1,1,1,56.27637006133999
0,3,0,1,1,1,1,56.94407688082889
2,2,0,0,1,1,0,49.53214377010085
0,2,0,1,1,1,1,56.965597716357095
3,3,0,0,0,1,1,54.66945901621088
5,3,0,1,1,0,1,55.51518991906205
2,3,1,1,1,1,0,51.115133840931925
6,2,0,1,0,1,0,51.0073540967346
2,2,0,0,1,1,1,57.07380094292248
6,2,0,1,1,0,1,56.25984504421434
5,3,0,1,1,0,0,51.86469274245943
3,2,0,0,0,0,0,51.140587461854544
2,3,0,1,1,0,0,51.36692429494981
4,2,1,1,1,1,0,51.309512522663134
1,2,0,0,0,1,0,51.52333618487899
4,2,0,1,1,0,0,49.845012965738434
5,2,0,1,1,1,0,50.4951538880632
4,2,0,1,1,1,0,53.27542863026981
4,2,0,1,1,1,1,56.85512997292397
2,2,0,1,1,1,1,56.48212366292871
4,2,0,0,0,1,0,51.38497889055131
0,2,0,0,1,1,1,56.77381529480207
3,2,0,1,1,1,1,55.7280186209715
3,3,0,1,0,1,1,56.33723433136653
5,3,0,0,1,1,1,57.35226095173914
8,2,0,1,0,1,0,48.87371243797688
6,2,0,1,1,0,0,49.62795746666012
0,4,-1,0,1,0,0,51.64019526401733
3,2,0,0,0,1,1,54.16935540517598
2,3,0,0,0,1,1,56.36522751269094
0,2,0,1,1,1,1,56.13612870697693
3,2,0,1,1,0,0,51.36247629614295
3,3,1,0,0,0,0,52.090866912206735
1,2,0,1,1,0,1,58.12268746859111
10,3,0,1,0,1,0,51.1617490395809
6,3,0,1,1,1,1,57.09570336971103
2,3,0,0,1,1,0,49.54321298452405
5,2,0,0,0,0,0,50.3211326809926
4,2,0,1,0,0,0,51.89358472792199
8,3,0,1,1,1,0,50.04411847734966
1,2,0,1,1,0,1,55.7394842962203
1,2,0,1,0,0,0,52.04172312799793
1,3,0,1,0,1,1,56.28789607817755
2,3,0,1,0,1,0,48.97403071515039
7,2,0,0,1,1,0,50.52048358952687
5,2,0,1,1,1,1,55.86484107985211
5,2,0,1,1,0,0,50.20811859376504
6,2,0,1,0,1,1,54.50949229342443
7,2,0,1,0,1,0,50.25737892147728
2,3,0,1,1,1,1,56.60384941597589
3,3,0,1,1,1,1,56.147233532039934
2,1,0,0,1,1,1,55.01535694107267
1,1,0,1,1,0,1,55.66114409788774
0,3,0,1,1,1,1,56.46810657830318
4,2,0,0,1,0,0,51.858236132935886
0,3,1,1,0,1,1,55.97374050660405
3,3,1,1,0,1,0,50.95102075110584
6,3,0,1,0,0,0,50.87367078537685
0,2,0,0,1,1,1,55.1056011916345
3,2,1,0,1,0,0,49.89670042786132
7,3,0,1,1,1,1,56.115659152325335
0,3,0,1,1,1,0,50.54513090129061
1,3,0,0,1,0,1,54.421031881709865
8,2,0,1,1,1,1,57.9527258625608
3,3,1,1,0,1,1,57.73979354635765
3,3,1,1,0,0,0,51.526794560850114
2,2,0,0,1,1,1,56.9539686850179
2,2,0,0,0,0,0,51.40006939286181
3,3,1,1,1,0,1,55.39641881537474
1,3,0,0,0,1,0,50.77606807234273
2,3,0,1,0,0,0,52.23058284830943
2,2,0,0,1,0,1,55.9613301899027
1,3,0,0,0,0,1,56.50051787634772
5,2,-1,1,1,0,1,57.63428275603997
6,2,1,1,1,1,1,55.84652854947255
2,2,0,0,1,1,1,57.965147705850825
6,2,0,1,1,1,1,58.24254964476482
2,2,0,0,0,1,0,50.38580914071548
5,3,1,1,0,1,1,55.685205465774914
3,3,0,0,1,1,1,56.62427357026364
6,3,0,0,0,0,0,51.14053337610527
5,3,0,1,1,1,1,57.51866725886119
1,1,0,0,0,1,1,55.96124808778811
2,3,0,0,1,0,0,50.83659070577024
4,3,0,0,1,1,1,55.47322476453744
4,2,0,1,0,1,0,47.46052047641466
4,4,0,1,1,0,0,51.98262979543848
4,1,0,1,0,0,0,50.15380070616463
7,4,0,1,1,0,0,51.85668860666884
8,3,0,1,0,0,1,57.083056584237625
5,2,0,1,1,1,1,57.658376482268096
5,3,0,1,1,1,0,51.826059497993455
3,3,0,0,1,1,0,52.49625245657068
8,3,0,0,0,0,0,51.64247183397524
3,2,0,1,0,1,0,50.30245182908296
3,2,0,1,0,0,0,51.26146469726617
6,2,0,0,0,1,1,57.58131681859638
2,2,0,1,0,0,0,52.14620218028764
2,3,0,1,1,1,0,51.75011574356318
3,2,0,1,1,1,1,57.71456066644207
-1,2,0,1,1,1,1,57.87273768776637
3,3,0,1,1,0,0,51.11801727238007
2,3,0,1,1,1,1,54.94025575488686
6,2,0,0,1,0,0,50.95084695598664
8,3,0,1,0,1,1,56.98965300517855
1,3,0,0,1,0,0,50.51135928542078
-1,2,-1,1,0,1,1,56.79659822378744
3,2,0,0,1,0,1,56.88465155705439
0,3,0,1,1,0,1,57.21906659579311
3,2,1,0,1,0,0,51.1108106689575
3,2,1,0,0,0,0,51.20707639789286
1,3,0,1,1,1,1,54.70206555589242
5,3,0,0,1,1,0,50.04785861267691
3,2,0,1,1,0,0,49.82566324014325
8,2,0,1,1,1,1,55.98945113657559
6,2,-1,0,1,1,0,51.394254840461855
5,3,0,0,0,0,0,53.35278001981944
6,3,0,1,1,0,1,55.2691500960176
5,3,0,0,1,1,0,53.87246284815645
3,2,0,1,1,1,0,50.17694924477127
2,2,0,1,1,0,1,56.07937513712481
4,2,0,0,1,0,1,55.849984263736026
5,2,0,1,0,0,1,56.81653384888226
4,3,0,0,1,0,1,59.53144782812274
2,2,0,1,0,1,0,49.821505054222925
3,3,0,1,1,1,1,55.3970569505784
4,2,0,1,1,1,1,54.23609838914848
5,3,0,1,1,0,0,49.98483304105464
3,2,0,0,1,1,1,56.43165971054475
0,3,0,1,0,0,1,55.828646250404496
2,2,0,0,0,1,0,51.052349844546725
0,3,-1,1,0,0,0,52.05774921062402
2,2,0,0,1,1,1,55.95992360679168
4,1,0,1,1,0,0,50.88781483959325
3,2,0,1,1,1,0,49.82088268480135
2,2,1,1,0,0,0,49.531265590299626
3,2,0,0,0,1,1,55.81242690093055
1,3,0,0,0,1,0,50.24245082166759
3,3,0,1,1,1,1,56.52917756092548
1,2,0,1,0,1,1,55.938526365538095
6,2,1,0,1,1,1,55.63684360327987
4,2,0,1,1,1,1,55.55723208139821
5,3,-1,1,1,0,0,53.23587049703819
1,2,0,0,1,1,1,57.08441747761796
4,3,1,1,1,1,1,57.30968124079002
4,2,0,1,1,0,0,51.78481241958852
5,2,0,1,0,1,0,49.29891628199836
3,2,0,0,1,0,1,56.66524402697607
7,3,0,1,1,1,1,57.43119600587819
3,2,-1,1,1,1,1,56.97839961399157
1,3,0,1,1,1,0,49.1120921905878
3,3,0,1,1,1,1,58.40859608161534
4,3,0,1,1,1,0,52.41561035175887
2,3,1,1,1,1,1,56.549775569995205
6,3,0,0,1,1,1,56.83197611819672
1,2,0,1,1,1,1,57.62238683426094
8,3,0,1,1,0,0,50.52981024482016
6,3,0,0,1,0,0,51.30458526555263
6,2,0,1,1,1,1,55.0953626632442
4,3,0,0,1,1,0,50.51743231953726
3,3,0,1,1,0,1,58.42935222831733
3,2,0,0,1,1,1,54.9106730535945
1,3,0,1,1,1,0,50.32167944512339
3,3,0,1,0,0,0,52.53604317382191
2,2,0,1,0,1,0,50.224255274717166
4,4,0,1,1,1,1,55.326995130240384
4,2,0,1,0,1,0,51.37754881304406
5,3,0,1,1,1,0,50.46008927211616
5,2,0,1,1,1,1,58.94911304305678
5,3,0,1,1,1,1,57.656400041303975
4,3,0,1,1,1,1,56.81833579927091
1,4,0,1,0,1,0,52.034341328790575
5,2,0,1,0,1,1,56.02193356264882
2,3,0,0,0,1,1,58.11328184888204
1,1,0,1,1,1,0,49.22792332670456
3,3,0,0,0,1,1,54.74038678786398
3,4,1,0,1,1,1,57.44032630412171
5,3,0,1,0,0,1,56.33572302930664
3,2,0,1,0,0,0,52.57515261620637
3,2,0,1,0,0,0,51.92774376882311
-1,2,0,1,1,1,1,55.31053941496643
3,3,0,1,1,1,1,56.32788840915274
3,2,0,0,1,1,1,57.86877500866939
3,3,0,1,0,1,1,57.44258913218486
1,2,0,1,1,1,1,54.96603800607325
5,3,0,0,1,1,1,56.537454551641
2,2,0,0,0,0,1,57.66325519951644
4,2,0,1,1,1,0,51.27116021220977
4,3,0,0,0,0,1,57.72516645045679
4,3,0,1,1,0,1,56.618094961898926
3,2,0,1,1,1,1,56.54789118983909
1,2,0,1,1,0,1,57.57600721360721
7,3,0,0,0,1,0,50.88965363080918
0,3,0,0,0,0,0,53.08246643152353
4,3,-1,1,0,1,0,52.10187792359621
4,3,0,1,1,1,1,57.39152195020363
1,2,1,1,1,1,1,56.57454574292237
5,3,0,0,0,0,1,55.56872200831504
3,3,0,1,1,0,0,52.26684932284141
4,3,0,0,0,1,0,51.12551419583491
0,3,0,1,1,0,1,57.84694640830201
4,2,0,0,0,0,0,50.96761823180879
4,4,0,1,1,1,0,51.39200525780751
4,3,1,1,0,1,0,50.490954765643686
7,2,0,1,0,0,1,56.34598398555708
0,3,0,0,0,0,1,57.229527759408406
5,3,0,1,1,0,0,50.21055715162789
2,2,0,1,1,1,1,56.42191505140826
2,3,0,1,0,0,0,52.37157653120767
0,2,0,1,0,1,1,55.9551855960758
6,2,0,0,0,1,0,50.70009818764719
8,3,1,0,0,1,1,55.94949036177163
4,3,0,1,1,1,1,57.49833687237429
3,3,0,1,1,1,1,55.72511489101227
1,3,0,1,0,1,0,51.800400011778855
4,3,0,1,1,1,1,56.47838839451758
2,3,0,1,1,1,1,56.311962492280585
5,3,0,1,1,1,0,50.43140694264631
0,3,0,1,1,1,1,57.27982431492544
2,2,0,1,0,1,0,51.75210903925859
3,3,0,0,0,1,0,49.57547174530321
2,3,0,0,0,1,0,51.11696254855034
3,2,1,1,0,1,1,56.54764417729211
5,3,0,0,1,0,1,57.56973894214769
2,3,0,1,1,1,1,57.3954238636766
5,2,0,1,0,1,0,49.82644513159536
7,3,-1,0,1,1,1,56.97866754522857
2,3,0,0,0,1,1,56.377088178386366
3,4,0,0,1,1,0,52.1303252448046
4,2,1,0,1,1,0,50.68405114412197
4,2,0,1,1,1,0,51.94154984832483
0,3,0,1,0,1,0,49.59226651691701
7,3,0,0,0,1,0,51.110243671826446
7,3,1,1,1,1,0,51.68962678926494
5,3,0,1,1,1,0,50.694884325038615
7,2,0,1,1,1,1,56.9483472797796
5,2,0,1,1,1,1,58.14200999434056
8,2,0,1,1,1,0,51.39102144319861
2,2,1,0,1,1,0,51.56504888842984
5,2,-1,1,0,1,0,49.73957941289025
4,4,0,1,1,0,1,58.74341212188338
2,2,0,1,0,1,1,54.77151326119777
5,3,0,0,1,0,1,56.74414264417995
4,1,0,1,1,1,1,55.88490904975697
2,3,0,1,1,0,0,51.178993102244256
7,2,1,1,1,1,1,58.244395244143725
4,3,0,0,1,1,1,55.85435796312693
3,3,0,0,0,1,0,50.36161296986091
3,3,0,1,0,1,1,56.14638391518169
1,2,0,0,0,1,1,57.23775038283965
7,3,0,1,1,1,1,58.6877747326712
8,3,0,1,0,1,0,52.37749053689397
3,2,-1,1,1,0,0,49.28317342264061
4,2,0,1,0,1,1,57.03840959582504
4,3,0,1,0,1,0,50.4641450362838
1,2,0,1,1,0,1,55.27325358084352
2,2,-1,0,1,1,1,57.02723933577124
3,3,0,1,1,1,1,56.84215786007424
4,2,0,1,0,0,0,50.18715828217542
3,2,0,1,1,1,0,51.04839404269684
2,1,0,1,1,1,0,49.07450470137259
6,2,0,1,1,0,1,57.370044731421416
6,3,0,0,0,1,0,51.34128092725633
8,3,0,1,0,0,0,50.07276328039567
4,3,0,1,0,1,0,50.4646767084378
3,3,0,0,0,1,0,51.005770458232966
1,3,0,1,1,1,0,49.57505078949868
1,3,0,1,0,0,0,50.01187722717734
2,3,1,1,1,1,0,49.29508173638104
9,2,0,0,0,1,0,52.41099468004815
3,3,0,1,0,0,0,52.4068629465261
1,3,0,1,1,1,1,58.04839629637094
7,2,0,1,0,1,0,51.52155435573565
8,3,1,1,0,1,0,49.28736718349854
4,3,0,1,0,1,1,55.671504262994624
3,3,0,1,1,1,1,55.72386228690974
2,3,0,0,0,1,0,51.195204026876446
4,3,0,0,1,0,1,57.73279020218235
4,3,0,0,0,1,0,51.547382492070135
7,2,0,1,1,1,0,51.7836738895944
4,2,0,1,1,1,1,57.40116669357761
3,3,0,1,0,1,1,57.29762907802194
5,3,0,1,1,1,0,50.01522095704736
2,3,0,1,0,1,0,48.4194171348238
2,2,0,1,1,1,1,55.94782382331743
1,3,0,1,0,1,1,55.31535817104482
6,2,0,1,1,0,0,51.006265431493325
5,3,0,0,1,1,1,55.18112500216496
1,3,0,1,0,1,1,55.84988894786032
0,3,-1,1,1,1,0,51.54368488682508
3,2,1,0,1,1,1,58.09079012341895
5,2,0,0,0,1,0,50.71280389155516
0,3,0,0,0,1,1,56.41295860852392
3,3,0,1,1,0,0,52.13485415257925
3,2,0,1,0,1,0,50.04925779396319
2,3,0,0,0,1,0,51.416441597972046
8,2,1,0,1,1,0,52.5960526490476
4,3,0,1,1,0,0,49.50821477971411
6,2,0,0,0,1,0,48.15819689295133
4,3,0,0,0,1,1,57.12418523232161
2,3,0,0,0,1,1,55.00945363506906
5,3,0,0,1,0,0,51.02073368937757
0,3,0,1,0,0,0,50.08180417153712
2,3,0,1,0,1,1,56.75623500401728
4,2,0,1,0,0,1,55.766488448642605
6,2,0,1,1,0,0,50.55297898546381
3,1,1,0,1,1,0,50.11607833792222
4,2,0,1,1,0,0,53.24711980036332
3,2,0,1,0,0,0,50.00333097294703
1,2,0,1,1,1,0,51.17757842945229
3,3,0,1,0,1,0,51.54761665477402
4,3,0,1,1,1,1,57.78925814974314
3,2,0,1,1,1,1,58.03407522241049
3,2,0,0,1,0,1,57.10592868093888
3,2,0,0,0,1,0,52.952473881697735
3,2,0,0,1,0,1,56.46407438437476
2,3,0,0,1,1,1,56.47886231366618
4,2,0,1,1,1,1,56.92131759347283
0,2,0,0,1,0,0,50.70198664751764
2,2,0,1,1,1,1,56.33297347732282
5,3,0,0,0,0,1,57.35200372400519
5,3,0,0,1,1,1,56.83409651358164
8,3,0,0,1,1,1,57.19873951731431
5,3,0,1,1,1,1,56.61818260738347
5,2,0,1,1,1,0,50.6741217708941
5,3,1,1,1,1,1,56.978900361675954
0,3,0,0,1,1,1,58.074391461544245
7,3,0,1,0,1,1,57.3935227811417
3,2,0,1,1,0,1,57.10147204335484
6,3,0,1,0,0,0,50.64687597967908
3,2,0,1,1,0,0,50.35988424161419
8,2,0,1,1,1,0,50.72689310080241
4,3,0,0,0,1,1,55.12972710752391
2,3,0,1,0,1,0,50.79791206533012
5,2,0,0,0,1,0,51.01925971330218
4,3,0,1,1,0,1,55.81827880191818
5,2,0,1,1,0,0,52.9136364612623
1,2,0,0,0,1,0,48.88322621878027
0,3,-1,1,1,1,1,55.92338540021403
3,2,0,1,1,1,1,57.83912378126922
6,1,0,0,1,1,1,55.84121437088913
0,2,0,1,1,0,1,56.594699093967535
6,3,0,1,1,1,0,50.31633685402589
4,2,0,1,1,1,1,55.94268789956988
3,3,0,1,1,1,1,57.47367091730951
6,3,0,1,1,0,0,51.87788331790534
1,2,0,1,0,1,0,49.97489399276038
2,3,0,0,0,0,1,58.3401291582331
5,3,0,1,0,1,0,50.26533895726272
1,2,0,1,0,1,1,55.0304898781181
4,2,0,0,1,0,1,58.042849480241074
5,3,0,0,1,1,1,55.77890981940604
4,3,0,1,0,1,0,50.711517196485175
1,2,-1,1,1,0,1,56.85658584760612
4,1,0,1,0,1,1,56.14621614859112
4,3,0,1,1,1,0,51.44877000275284
5,2,0,1,0,1,1,56.30875476071501
2,2,0,1,0,1,0,49.00556904599464
3,2,0,0,1,1,1,57.10156936733604
5,2,0,0,0,1,0,50.98538581588628
9,3,0,1,1,0,1,58.3499353293998
5,3,0,0,1,1,1,57.68916960885476
5,2,0,1,1,1,1,55.7665819898188
3,3,0,0,1,0,0,50.669664725251536
6,3,-1,0,1,0,0,52.43539143593171
4,3,0,1,0,0,1,55.67799537235597
3,3,0,0,1,0,0,51.8621747354254
4,2,0,0,1,1,1,56.77682234932603
0,2,0,0,1,1,1,54.789072358537126
2,2,0,1,0,1,0,50.92655515359397
5,1,1,1,1,1,0,49.63483080979192
2,2,0,1,1,0,0,50.12466702540311
6,3,0,1,0,1,1,57.38904761498576
3,3,0,1,1,1,1,56.41290775925641
4,2,0,1,0,1,0,50.50327316818041
4,3,0,0,1,1,1,56.07125254471482
0,3,0,1,1,1,1,56.619540697212855
0,3,0,1,0,1,0,49.735920638445656
4,2,0,0,1,1,1,55.74610204233559
2,3,0,1,1,0,1,56.89066377366002
0,2,0,1,1,0,1,56.18188268413888
2,2,0,1,0,1,1,55.66173216684951
1,3,-1,1,1,1,1,57.186391492015424
7,3,1,0,1,1,0,50.8262253833765
2,3,0,1,1,1,0,50.20452347046937
2,1,0,1,1,1,1,56.67187331479877
0,3,0,1,0,1,0,50.16766264874495
1,3,0,1,0,1,0,51.52529143701479
0,2,0,0,1,0,1,56.96170853849311
6,2,0,1,0,1,0,50.31570251456553
6,2,0,1,1,1,0,49.17132871757586
4,1,0,1,0,1,0,52.80714880780579
3,3,0,1,1,1,1,55.70119764790044
3,2,0,1,1,1,0,49.072877070446815
4,2,0,1,1,0,1,56.91652386772193
8,2,0,1,1,0,1,57.02405660118811
4,3,0,1,0,1,1,56.119762181519846
4,2,0,1,1,0,0,49.705383008962144
5,3,0,0,1,1,0,51.32985528309517
6,3,0,1,1,1,1,56.83594807287952
4,2,0,0,1,0,1,55.550081123379215
3,3,0,1,1,1,1,54.90178117540084
3,3,0,1,0,0,0,50.890966379502295
5,3,0,1,1,1,1,55.86273993758386
6,3,1,1,1,1,0,52.874411146056815
2,2,0,1,0,0,0,50.621793754006255
3,2,0,1,0,1,1,54.88184410810174
3,3,0,1,0,1,1,57.64736457853064
2,2,0,0,0,1,0,51.582863065815495
4,2,0,1,1,1,1,56.895098221215605
4,1,0,1,1,0,1,56.7694178759665
3,3,0,0,1,1,0,50.37004921269824
2,3,0,0,1,1,0,51.488358398518045
3,2,0,0,1,0,1,56.07684580069509
4,1,0,1,0,1,1,56.98066746177237
2,2,1,0,1,0,0,52.16454549988633
