participant_age,education_years,household_income,gender,internet_access,social_media_use,political_participation
25,25,4,1,1,0,70.58224418740836
20,24,1,1,1,1,72.40606320590994
12,26,12,0,1,0,61.20938589413584
17,27,4,0,1,1,70.58874934916638
13,22,1,1,1,0,61.15358725584638
29,28,4,0,1,1,77.81776355354644
31,23,7,0,0,1,76.29256401290577
32,31,7,1,0,1,78.76273139108945
40,21,0,1,0,1,78.64745850193673
26,20,2,0,1,1,74.18162152310472
37,20,7,1,0,0,73.14914909717746
8,23,9,0,1,0,58.5934722749183
17,22,7,1,1,1,70.43453000661098
19,31,6,0,1,0,68.9394548724848
15,28,6,0,1,0,63.20666849916375
0,16,8,0,1,1,58.329277011003015
31,18,1,0,0,0,70.48444786749702
29,26,6,1,0,1,76.30095285915577
25,19,6,1,1,1,75.67832583091658
16,23,9,1,0,0,62.546495740012034
17,22,8,1,1,1,70.51482000712025
18,24,6,0,1,1,71.57953406318167
19,27,5,1,0,0,65.61288390787242
23,23,5,1,1,0,68.71370575032296
17,32,4,1,1,1,72.21139166619166
32,24,5,1,1,0,72.14240256381893
25,23,9,0,0,0,67.79140564466037
30,24,6,1,1,1,76.56143059467476
42,25,4,1,1,1,84.55664975396571
16,28,2,1,0,0,65.59625506279369
42,28,10,1,1,0,78.79510726586841
37,22,6,0,0,1,77.84869339520549
26,26,5,1,0,1,77.02312324908246
38,24,10,1,1,1,81.63947333395072
12,15,10,1,1,1,63.57390317709428
23,20,7,0,1,0,65.48263379926587
-9,22,6,0,1,0,49.809408111377
10,28,3,1,1,1,68.0510419158314
32,24,2,1,1,0,72.59123827104214
21,20,9,0,1,1,70.93425310567812
27,28,7,1,1,1,75.44342782357805
29,30,6,0,1,1,78.0534929025383
25,24,6,1,0,0,67.3242672621279
29,23,9,1,0,0,69.5839165282902
10,20,3,1,1,1,65.49857890219242
13,27,7,1,1,1,68.5271475247525
32,31,5,1,1,0,74.80114568275648
33,22,4,1,1,0,73.28444476190658
10,19,7,0,1,1,65.41297705303596
17,26,4,0,0,1,66.86627748341952
37,22,8,0,1,0,72.89753893026683
24,16,6,1,0,1,71.84603730028454
22,21,1,1,0,0,66.92361213978202
25,31,8,1,0,1,76.99487574475265
27,23,10,1,0,1,74.37086929801215
30,27,8,1,0,0,71.9020994180671
36,20,7,1,1,0,74.15294952701599
26,31,5,1,1,1,77.52533376203515
35,28,7,1,1,0,74.5021838360904
22,24,2,1,0,1,72.85207676427133
18,22,6,0,1,1,68.61434005126928
25,24,6,1,1,0,67.77771117793208
25,25,5,0,0,1,74.51162211760764
10,24,8,1,1,0,59.68869948505247
14,21,5,1,1,0,60.69433062163509
12,26,7,1,0,0,60.39236665653376
10,17,5,1,0,0,57.40343595841294
26,21,7,1,1,1,74.86728978168736
18,21,5,1,1,0,63.17970337845662
28,20,6,1,1,1,76.47751340991222
23,17,10,1,1,1,72.21595692069063
4,17,8,1,0,1,59.7926299947229
22,32,10,1,0,1,73.75250547321762
31,19,5,1,1,0,69.8938562794017
22,22,8,0,1,1,71.4103121789296
20,24,7,0,0,0,65.30133286706578
28,27,5,1,0,1,76.84908260210031
26,22,4,1,1,0,68.87651694177056
15,22,2,1,0,1,68.07974256079771
12,25,2,1,1,1,68.69063092771627
31,28,10,1,1,0,71.82979644857161
51,23,4,1,0,0,81.60942271529261
37,25,5,1,1,1,80.78612458446185
39,20,5,1,0,1,80.42243546979627
30,30,5,1,1,1,78.45006908710569
39,30,7,1,1,1,82.04641056666524
43,23,2,1,1,0,78.24124502592608
39,29,3,1,1,0,78.20077888129389
21,28,6,1,1,1,73.3650977464932
24,17,5,1,1,0,66.67510984920312
10,18,9,1,1,0,58.66555072544963
22,29,9,1,0,1,72.6219573039499
29,20,7,0,1,1,76.46775787547404
34,32,4,0,1,0,74.71308207337695
32,24,9,1,1,0,74.54028898529272
24,24,5,1,1,1,72.73094626164752
11,26,7,0,1,1,67.5087992686874
14,24,3,1,1,0,63.47398600452125
21,30,3,1,0,1,72.21290331413269
27,21,4,1,1,0,70.07034451381902
14,24,6,1,1,0,63.75869469057768
23,18,5,1,1,0,67.05935386692018
21,27,1,0,1,0,68.50373888905277
24,26,8,0,1,1,71.67138527973266
7,24,6,1,0,1,66.36277555470144
24,22,7,1,0,1,72.47245669963614
56,24,4,1,1,0,83.81544148132025
26,25,7,1,0,0,67.93664641040154
16,22,4,0,1,1,67.67115009362702
24,24,7,0,0,1,70.49463126229301
27,25,6,1,0,1,74.42673108055236
23,22,0,1,0,0,67.56296740454258
35,21,5,0,0,1,77.24012356764761
33,25,5,0,1,0,71.76928127869523
27,26,5,1,0,0,69.02519877260569
21,24,3,0,1,0,65.56612594524533
21,22,6,0,1,1,71.5480983756197
12,30,5,0,1,1,67.17209758653973
29,24,6,1,0,0,69.23095225872272
24,26,4,1,1,0,69.01506488848982
16,28,4,1,1,1,69.76590940168354
20,30,6,1,1,1,73.51473936014243
-4,22,6,1,1,0,54.083718024424805
15,32,1,0,1,0,63.16171109904832
17,28,0,1,1,0,67.50412775809609
31,21,7,1,1,1,77.33768362736134
27,25,3,0,1,0,69.39744836380287
6,22,2,1,1,1,62.92061379968494
9,18,4,1,1,0,58.000611620918846
19,24,8,1,1,0,65.51857386195309
30,25,6,0,0,1,74.86179763065041
40,29,7,1,1,0,79.43523899707358
29,23,6,0,1,1,74.9851903070557
20,23,3,0,1,1,69.65177550093932
23,26,5,1,0,1,71.30982276552145
41,22,4,1,1,0,77.61755983293386
39,23,7,0,0,1,78.57920188746056
32,27,3,1,1,0,73.93671189616741
18,22,6,1,1,1,71.36372859015043
41,25,7,1,1,0,77.53959062147007
18,20,4,1,0,1,68.22438088932078
12,19,6,1,1,1,66.13578187022557
28,29,4,1,0,1,76.1207283410459
27,23,4,1,0,1,73.45418594833308
40,23,1,0,0,0,74.98618192568058
17,20,2,1,0,1,66.84971587777376
33,22,7,1,0,0,73.60657219594289
12,25,5,1,1,1,67.80635219654808
35,26,12,0,1,0,74.43966422712307
31,25,11,1,1,1,77.8656666448606
30,25,5,0,1,1,76.38015217410127
20,22,3,0,0,0,64.86291872624501
31,17,7,1,1,1,76.77851376954577
11,17,5,1,1,0,60.707840059468936
22,22,2,1,1,0,67.57737839468739
27,25,4,1,1,0,71.80791396427952
35,22,7,1,0,0,72.1213214261653
14,25,6,1,1,0,63.08147046990422
25,18,4,0,1,1,72.31600578309008
36,21,4,1,0,1,79.49315495619454
28,20,9,0,1,0,68.27971457031133
19,18,3,0,1,0,62.29242220792237
14,19,9,1,1,1,67.78165063188023
35,28,7,0,1,1,78.1329849830851
26,33,8,0,0,0,71.78557940127602
16,18,3,1,1,0,63.25124855279743
36,24,4,1,1,0,73.75996957057768
30,22,7,1,1,1,76.24973913987378
11,27,7,1,1,0,62.17051039813797
27,25,7,0,1,1,76.45448347178764
16,23,3,1,0,0,64.21206344542459
29,20,2,0,1,1,76.6446672904576
18,23,6,0,1,0,63.28425006546749
10,17,6,0,1,1,64.2227531265793
33,19,8,1,0,1,77.87027360937519
46,17,7,0,1,0,77.10725360293674
29,21,5,0,1,1,74.97466507994012
31,22,4,1,1,0,71.30562995168954
42,23,6,1,1,1,82.73537712299152
38,26,8,1,0,1,80.46049162163987
27,14,8,1,1,1,71.74924659800067
36,20,5,1,0,1,78.14673067639035
29,18,5,1,0,1,73.72854842005407
20,33,3,1,0,0,67.5292572567375
21,26,3,0,0,0,67.26911502325211
29,29,11,1,1,1,77.79392188047044
16,23,7,1,1,1,70.87195369341403
13,21,7,1,0,0,58.96732596376573
26,21,5,1,1,0,68.67871889255882
24,20,7,1,0,0,66.6971478581428
20,27,6,1,1,0,68.0002683643616
21,34,6,1,1,1,74.27975887617204
37,19,8,1,1,0,74.1640616667214
20,18,6,1,1,1,70.08200819166915
20,31,6,1,1,0,68.15121215831299
44,27,7,1,1,1,84.1061916665306
20,28,2,1,1,1,71.41304060396703
14,24,4,1,1,0,64.46502500846027
16,26,8,0,1,0,64.74054909697068
24,25,2,0,1,0,66.12804268351934
32,30,9,1,1,1,79.16614829466505
45,25,3,1,1,1,85.97459486864977
19,20,6,1,1,1,68.0461758688157
40,22,6,1,1,1,80.61044385049297
33,33,4,1,0,0,75.00516939658743
8,20,4,0,1,1,63.61345758062787
29,22,4,1,1,0,71.76389278247535
33,20,12,0,1,0,69.97723648266435
6,30,8,1,1,1,66.68978033387995
16,22,5,1,1,0,64.57852415263226
42,23,8,1,1,1,81.52598829396919
29,23,5,1,1,1,74.21378502378992
13,25,5,1,1,0,63.82832599793659
31,26,0,1,1,0,72.65760114640777
20,26,6,1,1,1,71.54329875434516
9,22,3,1,0,0,60.20998436519103
20,28,6,1,0,1,71.07200143810871
19,21,5,0,0,0,64.61430692322395
38,29,7,1,0,0,76.26097826374752
8,21,8,1,1,1,65.29636928606274
31,23,2,0,1,0,71.04977061806514
21,21,4,1,1,1,71.10822317809996
27,26,6,1,0,1,74.93656339480302
21,28,9,1,0,0,67.1010056060088
26,21,6,1,0,0,69.01127794165276
29,24,6,0,1,0,69.48222857298481
38,18,6,1,0,0,72.27036720445798
32,20,7,0,0,1,77.31361401353192
43,30,2,1,1,0,79.84112453502601
26,24,5,1,1,0,71.15823078874932
41,29,7,0,1,1,80.25664618892435
-4,15,6,1,1,1,56.36089671162345
23,24,5,1,1,0,67.41469884555573
11,21,7,1,1,1,66.03951749624372
42,16,6,0,1,1,78.62508150886764
8,20,3,1,1,1,63.663203065622646
21,22,5,0,1,0,65.36625204786733
16,27,5,1,1,1,69.53762497768182
8,27,6,0,1,1,65.64983699522351
30,29,2,1,0,0,73.96535586723391
18,19,7,1,1,1,69.12458207219613
12,27,4,1,1,0,63.45643955409254
39,25,8,0,1,1,81.47650423440997
24,26,4,0,0,1,71.18040925667637
35,23,4,1,1,0,73.09594008016062
14,28,9,0,0,0,63.42285944353505
16,22,4,1,0,0,62.55881220265504
36,25,11,0,1,1,80.35348880148855
19,22,4,1,0,1,70.93916446677208
31,20,5,1,0,0,70.19807732274784
21,25,7,1,1,1,72.41719548395298
21,22,11,1,1,0,68.95819646066681
27,29,6,0,0,0,71.66269016721563
23,22,3,1,0,1,71.78987478629288
33,25,5,0,1,1,78.51163126478001
30,28,7,0,1,1,78.22538810485659
13,27,6,1,0,1,69.40966124930758
13,23,4,1,1,1,65.39152092941883
13,26,10,1,1,0,64.052186720474
14,22,6,1,1,0,62.71714955029058
18,23,8,0,1,0,64.95087954938325
21,31,6,1,0,1,73.80355260759241
17,21,3,0,1,1,69.73558766897148
27,17,6,1,1,1,73.20526372693453
22,22,6,1,0,1,73.28285658974926
17,30,5,0,1,1,68.55407819379622
24,22,7,0,1,0,67.31117452182747
28,24,5,1,0,0,71.36232897495796
24,31,7,0,1,1,72.46689679661294
20,23,7,1,1,1,70.52712978931669
38,28,5,1,1,0,76.16574091159265
36,21,6,0,1,1,78.14057894252511
28,26,7,0,0,0,68.4678979906928
43,19,0,1,0,0,74.45528404167682
19,21,4,1,0,0,65.18759321083029
31,31,1,1,1,1,79.36662025171262
22,21,4,1,1,1,73.51127189929876
26,14,5,1,1,1,72.24951630006885
22,26,10,1,1,0,68.73521258005792
30,18,6,1,1,0,69.60142289943995
23,26,3,1,1,1,73.27921127615886
8,27,10,0,0,0,60.27884471411214
19,24,7,0,1,1,70.304545610295
20,23,4,0,0,1,70.04286746831549
26,32,4,0,1,1,76.67693567426352
20,18,7,1,0,0,64.83496036346853
-1,30,2,1,1,0,57.49688598047945
23,27,11,1,1,1,72.89465807332755
6,18,5,1,0,1,61.86770899027309
36,25,4,1,1,1,80.22363877329794
7,31,3,0,0,0,59.27423164253603
31,27,7,0,1,1,77.04593942761103
35,26,7,1,1,1,78.35724407485577
19,16,2,1,1,0,62.27557030472453
16,22,4,1,1,0,64.02951291018312
12,20,9,1,1,1,66.63844706854938
23,20,8,1,1,0,66.33640951578235
21,25,6,0,1,0,66.4699046124224
8,25,6,1,1,1,65.02934818686566
31,28,5,1,1,1,79.51490633834392
36,20,7,0,1,1,78.86442696203746
19,33,5,0,1,0,67.89852463141604
20,24,9,1,1,1,71.13500436723008
18,25,6,1,1,0,65.398181525834
30,15,6,1,1,0,68.03473934897839
39,22,4,1,1,0,76.17579134363471
27,27,6,0,1,0,70.1940188702227
38,26,8,0,1,0,75.04813329183855
17,19,3,1,1,1,69.31612755469351
14,29,5,0,1,1,68.97024283450709
23,26,4,0,1,1,72.72086349553233
31,26,8,1,1,1,77.84106633868585
5,25,1,0,1,1,60.74984743100963
29,25,4,1,0,1,76.53416557755035
32,23,4,1,0,1,76.82479533441139
42,21,9,0,1,1,82.67662257572397
42,25,5,1,0,0,77.96630140797177
12,22,7,0,1,0,58.63386378356412
26,30,4,1,1,0,70.27144658303382
25,23,8,1,0,0,65.7623175262322
30,25,6,0,1,1,75.88517923894382
21,16,1,1,0,0,64.86665487577277
11,20,0,1,1,1,65.7535490507704
43,21,5,0,0,1,80.1965312450663
20,27,4,1,0,1,71.05811137884145
1,10,5,0,0,1,56.66819915619606
33,23,7,1,1,1,80.28419755109417
25,25,4,1,1,1,75.8009687917163
26,23,4,1,1,0,70.70821780717276
29,20,5,1,1,0,70.70113985694246
41,23,6,1,0,0,76.63608403080258
12,30,5,1,1,0,63.069680205020695
22,22,4,0,1,0,65.83340519749247
10,20,5,1,1,0,60.56102539447883
27,26,4,1,1,1,74.23283868524895
30,25,6,0,1,1,76.11813292030922
17,22,8,0,0,1,66.36286587305457
26,25,5,1,0,1,73.81175497051106
25,25,0,0,1,1,73.15809173215645
29,24,4,1,1,0,70.06896451477384
39,21,4,1,1,1,81.41074587817307
31,31,6,1,1,1,78.21698213954545
29,30,6,1,1,0,71.85060563278687
9,25,5,1,1,0,60.7560738839013
29,20,6,0,1,0,69.5726911326191
30,19,7,1,1,1,76.22716394231242
20,28,3,1,1,1,71.94486991529415
24,19,6,1,1,0,67.19997560124233
24,28,4,0,1,0,70.10334790889779
31,26,4,1,1,0,74.13814522989136
22,29,9,1,0,1,72.0362612224607
53,29,7,1,1,1,89.26156494178475
14,29,9,1,1,1,70.77549817669801
24,25,5,1,1,0,67.80898248942266
23,20,5,1,1,0,66.11337310874686
28,19,8,0,1,0,68.96918034296942
29,28,9,1,1,1,77.34062831315181
34,27,6,1,1,0,73.05385489211133
12,22,5,1,0,1,65.70780397870367
29,24,6,0,1,1,74.99875132758116
44,25,7,1,1,1,84.5419740593624
29,26,5,1,1,1,76.34118350740647
37,22,6,1,1,0,76.1390414641842
34,30,5,1,0,1,78.2597993724264
24,19,11,0,1,0,67.01145598215523
16,22,4,0,0,0,62.80685936687551
17,21,4,1,1,1,69.78344129182392
23,32,2,1,0,1,72.98527528376597
11,24,6,1,1,0,61.00204583750882
18,24,6,1,1,0,66.4518699217573
25,29,6,1,1,1,76.08321495968163
28,21,7,1,1,1,75.0600125371829
38,22,8,0,1,1,78.50098827337612
15,24,8,1,0,0,62.510276281634695
39,28,5,0,0,0,75.5060926279072
39,23,4,1,1,1,80.68201497858321
42,23,9,1,1,0,76.46919646785994
33,23,4,0,1,1,75.85498369237607
16,22,3,1,1,0,62.7279011068419
35,16,6,1,1,1,75.75654375484726
17,29,8,1,1,1,73.25425619114874
13,18,6,1,1,0,62.09796367994813
21,19,6,1,0,1,70.76577826444745
36,17,8,1,1,1,77.78699319628161
34,31,6,0,1,1,81.32397580024097
14,22,3,1,1,1,69.32356644253437
21,25,3,1,0,1,72.41631427442458
28,29,6,1,0,0,70.55896311035667
28,21,6,1,1,1,75.86970645405293
33,21,7,1,1,1,77.48217106537156
21,24,6,1,1,1,73.14086708916358
27,26,7,1,1,1,75.8123410431724
35,31,6,1,0,0,76.4839421677316
39,20,3,1,0,1,79.49921838521374
26,22,4,0,1,0,67.44085395507946
33,20,5,1,1,0,73.06295552335672
19,23,6,1,0,1,68.95863398223995
35,28,7,1,1,1,80.4370760114816
39,26,7,1,1,0,76.94327192648616
22,16,1,1,1,0,65.38064575459008
15,20,7,0,1,1,64.85297016007098
22,32,5,0,1,1,74.56045499789336
17,22,7,1,1,1,67.41557016017009
20,27,2,1,1,1,71.95721841757671
22,26,6,1,1,1,72.2319334720935
30,22,3,0,1,1,75.88270235283942
25,27,5,1,1,1,74.53204670229363
19,27,5,1,0,0,64.8806248413607
26,19,6,1,1,1,74.07854383181815
20,22,3,1,0,1,71.72835064740353
46,29,4,1,0,1,87.74137226222166
30,23,7,1,0,0,72.37402370646241
30,25,7,0,1,0,68.86735627352736
25,25,5,1,1,0,70.33351059510666
14,21,3,1,1,1,65.45597808918465
23,29,9,0,1,1,74.03167488925557
31,26,4,0,1,0,71.59492810117426
27,24,0,1,1,0,69.69602195267186
24,22,5,1,1,0,68.49913074440131
38,26,4,1,0,0,73.00455859448195
28,19,7,1,0,1,74.92224287960073
21,26,7,0,1,1,70.78236283650789
28,30,6,1,1,1,76.5695139127464
20,22,8,1,1,0,66.03445209037127
24,22,2,1,1,0,66.65375375098222
19,23,5,1,1,0,64.3734993020651
19,23,5,0,1,0,63.92904755195568
9,25,3,0,1,0,59.94651929317125
-3,26,7,1,1,0,54.69593459115482
11,20,8,1,1,1,65.2896838869283
21,18,4,1,1,0,64.22890957708958
27,26,8,1,1,1,74.79739627193918
22,17,6,0,1,1,71.5324600571626
28,23,2,1,0,1,76.30009302223566
36,17,2,1,1,1,78.64876061567834
29,26,8,1,1,1,77.31058439194923
22,18,4,0,0,0,64.64119362197881
37,24,8,1,1,1,81.74906311216137
26,24,3,0,1,1,75.47262073218762
39,25,5,0,1,0,76.57527460591824
23,26,6,1,1,0,69.1087536739393
18,26,7,0,0,0,64.5921683984524
30,23,6,1,1,1,76.37046649463494
26,27,8,1,1,0,70.44466410485386
27,21,6,1,1,1,73.36919627102485
36,18,5,1,1,0,72.38511233466814
26,21,7,0,0,1,71.79341642999138
38,23,3,1,1,1,81.03522492584196
18,27,8,1,1,0,65.83611684637971
31,29,3,0,1,0,71.62186314848812
13,27,4,1,0,1,66.876755610731
21,24,9,0,1,1,71.08467752999663
26,32,6,1,1,1,74.99980125529544
46,16,4,1,1,1,84.35070079570136
34,27,5,1,0,0,73.83842563225389
39,18,7,0,1,1,79.60698807638158
32,21,5,1,1,1,78.54622164852798
26,29,7,1,1,1,75.22850287443589
44,18,5,1,1,0,77.46102969075349
10,21,5,1,1,0,62.31147069714729
31,19,1,1,1,0,73.24760744623026
23,27,9,0,0,0,65.59497336180837
11,26,4,1,0,0,63.15999201955221
20,23,5,1,0,1,70.60109847188713
27,26,5,1,1,1,75.64340042801935
19,23,9,1,0,0,64.18146185432485
34,22,7,0,1,0,73.94734748553131
6,29,4,1,1,0,59.92162578457008
34,31,6,1,1,1,81.66075522927497
17,23,4,1,1,0,63.95862024160393
20,28,9,1,1,1,73.75021230865761
31,22,7,0,1,1,78.2419154071475
20,23,4,1,1,1,72.64349705805033
14,22,3,0,1,0,61.29196875017986
33,23,5,1,0,0,71.31921153478629
36,22,2,0,1,0,73.85253866049355
4,30,3,1,1,0,59.778712926923305
31,23,12,1,1,0,71.28673437098806
34,23,3,0,0,0,70.31702099995036
21,20,3,1,1,0,67.5866622576963
24,26,5,1,1,1,75.5330124005869
22,27,2,1,1,1,74.27521897637564
17,24,11,1,1,1,69.94185319810923
33,28,8,1,0,0,73.97491605733917
27,23,7,1,1,0,70.9863489717291
6,25,2,0,1,1,62.70745378490656
41,30,2,1,0,0,79.5315148104425
25,23,7,0,1,0,67.36301512818333
21,23,8,1,1,1,70.79185120895593
27,21,6,0,1,0,69.3905335202141
8,29,8,1,0,1,66.54382263771886
28,24,5,0,1,0,70.30166751681475
25,17,6,1,0,0,65.89048479860693
18,23,3,1,1,0,67.3580316820059
35,28,4,1,0,0,77.17751812230031
22,18,7,1,0,0,65.06046837331839
10,26,9,1,0,0,58.6872339194004
24,20,7,1,0,1,72.62201699103842
26,21,6,0,1,1,72.46771036543386
40,27,4,1,0,0,76.29617436910367
36,25,6,1,0,1,78.48561517911679
29,30,8,1,1,0,75.29577070736919
24,28,6,1,0,0,68.23359637181677
27,22,7,0,1,0,66.90140797273344
36,26,7,1,0,0,74.9953665134086
25,23,7,1,0,0,67.63998369694728
11,23,3,1,1,1,66.53463584957396
27,22,6,0,1,1,74.76046970394898
38,23,5,1,0,0,73.76473507789058
25,15,7,1,1,1,72.94284753284047
5,25,4,1,1,1,63.12308590099874
25,25,5,1,1,1,74.0296847170255
24,24,4,1,1,1,74.00217171610974
18,25,6,1,0,0,66.9003687507792
49,28,7,1,1,1,85.90867648707986
28,24,2,0,0,1,73.91118498023735
37,26,7,0,1,0,75.24007035437911
25,21,3,1,1,1,72.76978092752992
7,19,6,1,1,1,61.9526727888533
34,32,9,0,1,0,74.19308410964057
28,23,5,1,0,1,75.87592917251001
21,20,5,1,0,1,69.73486717876577
40,22,6,1,0,1,81.29106442623016
28,30,4,0,1,0,70.15335946854653
24,22,6,0,0,0,67.2283598772697
36,30,4,1,0,1,81.03492921306373
9,25,5,0,1,0,61.10651553979217
25,25,10,0,0,0,67.05087026295661
40,18,5,1,1,1,78.95392855727061
19,27,4,1,1,0,67.41920202713655
9,23,5,1,1,0,61.07200065554991
32,24,5,1,0,0,70.73637863783613
20,22,8,1,0,1,70.94577524451202
33,26,5,1,1,0,72.96847192185342
23,30,9,1,1,0,69.36882879709476
38,24,6,1,0,0,73.9986004727917
19,23,7,1,0,0,64.71222015129435
42,21,2,1,0,1,82.02675926823471
15,24,11,0,1,0,64.26798479124582
12,21,5,1,1,1,67.38136779934794
1,20,8,1,0,1,60.25429010662452
0,25,3,0,0,0,54.51821492192582
31,27,5,1,1,0,73.53663709487253
24,27,2,1,1,0,69.47750209909252
20,30,9,1,1,0,67.38859567693912
16,24,2,0,1,1,68.31324099334692
25,29,6,1,1,0,70.07756497372523
14,25,5,1,1,0,62.41393089259224
27,25,8,1,1,0,70.81522911932691
23,28,8,0,1,0,67.86184994503007
28,29,5,0,1,0,70.78436054072515
31,30,3,1,0,0,73.16328862201696
27,25,6,1,1,0,69.19169422621844
26,15,8,1,1,1,75.17163225303916
14,18,6,1,1,1,67.98629952062754
26,23,7,0,1,0,68.9681439821193
18,15,6,0,1,1,65.44985867340878
36,21,6,1,0,0,74.06834103156753
33,24,4,1,1,1,77.07239549005892
37,20,10,0,1,0,72.69777497564324
28,28,2,1,1,1,76.54393785588928
23,26,4,1,1,0,67.14077464536567
48,24,5,1,0,1,84.65182021202166
27,26,8,1,1,1,74.88789063328761
27,26,1,0,1,1,73.31971613144823
12,28,7,1,1,1,67.20917826973346
19,28,6,1,1,1,71.60236546307905
7,19,7,0,0,1,60.78430173003613
30,21,6,1,1,1,76.05138325969602
24,23,3,1,0,0,68.97557142678372
31,20,3,1,0,1,74.7031745586606
22,28,9,1,1,1,74.4978996709274
39,23,8,1,0,0,76.15560897733475
27,25,3,0,1,0,69.25611578153564
13,30,5,1,0,1,70.51816859887202
32,22,6,1,0,0,72.02037828760129
22,23,7,1,1,0,67.39625235771172
27,25,7,0,0,1,72.22044657064858
24,22,4,0,1,0,65.26023058323875
35,25,5,1,1,1,79.03290108957131
27,28,6,0,1,0,68.81817577604357
22,23,6,0,1,0,65.66378782455146
33,30,7,1,1,1,78.71983526411057
36,23,8,0,1,1,79.12755038702481
31,28,8,1,1,1,79.39473109387829
16,27,4,1,1,0,65.90228069820971
32,27,7,0,1,0,72.717802815889
26,17,8,0,0,1,71.11761780234194
12,26,3,1,0,1,67.1188485072457
40,20,0,1,1,1,80.18069728826012
27,25,8,1,1,0,70.05005484151124
15,19,5,0,1,0,61.86060761770571
23,18,6,1,1,0,66.72386226310772
15,18,4,0,1,0,60.54145963731731
35,27,9,1,0,1,77.53849072038918
15,23,6,1,1,1,69.66914870807489
20,18,2,1,1,0,64.88381747955495
30,28,3,0,1,0,71.43248845129231
26,23,6,0,0,1,70.87957846648618
25,25,9,1,1,0,69.86648117208064
24,23,3,1,1,0,66.48187794385309
33,22,3,1,1,1,77.27428657216625
21,28,5,1,1,1,72.64706088855611
12,22,4,1,1,1,65.95303927148132
20,28,11,1,1,1,72.33235615105642
32,27,4,1,0,0,70.69513664050939
5,23,6,1,1,0,59.816891778595554
31,21,3,0,1,1,75.4459907524418
34,30,5,1,1,0,75.14536897547907
