defendant_age,trial_length_days,pretrial_detention_days,prior_convictions_count,legal_representation_hours,violent_crime,gender,minority_status,alternative_sentencing,recidivism
20,31,6,19,0,1,0,1,0,48.011797567454494
36,20,4,22,5,1,0,1,1,45.66672827208355
25,26,12,11,3,1,0,0,1,51.860239476901846
28,17,11,21,1,0,0,0,0,47.2395766615422
41,24,6,16,6,0,0,1,0,39.68699989576057
30,21,15,17,4,1,0,0,0,49.52353545383773
38,25,5,16,6,0,0,1,1,45.48205618881256
24,20,11,16,4,1,0,0,1,53.697753847746846
23,18,9,15,2,1,1,0,1,51.19888367625954
12,23,17,11,5,1,1,1,0,59.64508636846646
39,14,7,14,0,0,0,0,1,41.80491753116725
29,20,12,17,3,0,1,0,1,51.12524615297807
28,30,9,20,3,1,0,0,0,47.09135057027547
27,17,7,5,6,1,0,0,1,53.1240475428028
21,20,10,13,2,0,0,0,0,48.73045768280469
28,37,12,19,3,0,1,1,0,47.65573832113928
41,4,10,6,1,0,0,0,1,42.93809479970055
31,18,11,18,4,0,1,0,0,45.51618595734158
29,21,7,9,4,1,0,1,1,50.36846114335807
33,23,12,14,3,0,0,0,0,46.75078665752777
42,22,9,16,3,0,1,1,1,46.30407720785543
41,25,11,18,4,0,1,0,0,41.19404070631286
39,33,9,4,4,0,1,0,1,48.44217846331352
37,23,5,12,5,1,1,0,1,44.830500165069886
33,21,14,19,0,0,1,0,0,41.898827143577314
24,14,8,13,6,1,0,0,1,52.93667004283035
36,26,7,2,4,1,0,1,1,48.29795559585359
29,17,10,13,5,0,1,0,1,52.28335585308605
26,16,13,9,3,0,0,1,0,50.9021341402268
22,20,5,12,2,1,0,1,1,50.18513446768328
29,10,11,12,5,1,0,0,1,52.01205616728292
32,20,12,16,6,0,0,1,0,47.86801246725834
30,35,8,11,4,1,0,0,0,47.489526071207855
26,18,11,11,5,1,0,0,1,52.8517114911413
29,27,10,7,3,1,0,1,1,51.78809869824846
27,25,8,10,4,1,0,0,0,47.80661557401142
17,21,10,16,0,1,1,1,0,48.25357491630467
30,18,13,19,3,0,0,1,0,47.26967954763667
25,25,11,24,4,1,1,1,0,49.08461673081734
34,24,11,8,3,0,0,1,0,45.1754920505399
29,21,11,19,3,1,0,0,1,50.30873500520677
34,21,12,10,1,1,0,1,0,44.429004178478735
24,26,7,16,1,1,0,1,1,49.79418069676692
27,23,11,15,3,0,0,0,0,47.500480469258605
19,22,13,7,3,0,0,1,1,58.33228257938495
32,6,8,17,4,1,1,0,1,46.84276599559965
51,13,9,12,4,0,0,0,1,40.65638789679236
37,25,10,19,5,0,0,1,0,43.675396017000025
26,23,10,22,2,0,0,0,1,49.329089822337934
29,10,10,13,0,0,0,1,1,47.8163955207808
34,25,8,16,5,0,0,0,0,42.32684057468944
33,15,12,20,4,0,1,1,1,50.47177664648515
41,26,9,4,4,0,1,1,1,45.37353904437244
37,17,9,10,5,0,1,0,1,46.1194815782034
22,22,7,12,0,1,1,1,0,48.13643700882183
20,24,10,2,4,0,1,0,1,56.65610528711166
37,29,7,11,5,1,1,0,0,42.479339975687175
20,11,4,24,3,0,1,0,1,48.89554624850422
25,17,12,6,6,0,1,0,0,51.12995530446302
32,19,18,10,2,0,0,0,0,49.480512198414
23,13,10,20,5,0,0,0,1,51.85859684635055
14,15,9,11,2,1,0,0,1,56.279153913005935
37,27,9,14,4,1,0,1,0,43.93259309558579
26,15,12,17,2,0,1,0,0,47.666921548427965
45,25,4,18,4,1,1,1,0,37.6250009177493
25,20,12,13,3,0,1,0,0,48.76193677433959
39,11,11,9,5,1,0,1,1,47.02841631755
34,17,11,17,2,0,0,0,0,42.711108215987466
25,31,12,19,5,0,1,1,1,54.66943934754161
31,24,9,20,4,0,1,1,1,49.66250589606605
27,17,7,11,5,0,1,0,0,46.09869428935113
34,22,10,13,3,0,1,1,0,44.72814634482104
29,15,11,18,1,0,1,1,1,50.14676674788469
29,23,11,16,4,1,1,1,0,47.276225568893054
23,20,8,15,4,0,1,0,0,49.44921558147012
15,25,12,16,2,0,0,1,1,57.01325774290719
34,26,12,14,3,0,0,1,1,50.0853957033116
37,22,7,20,3,0,0,0,1,43.69838541346269
17,21,8,7,0,0,0,1,1,51.83866733279029
36,10,6,15,3,1,0,0,1,43.324758312075794
40,14,15,19,2,1,0,0,1,47.344700943048345
28,26,8,23,6,1,0,1,1,50.69255403665498
25,29,5,12,3,0,1,1,0,46.87874226946703
32,20,11,13,2,1,1,0,0,45.49503202201897
44,29,13,11,4,0,0,1,0,42.37892190290261
32,16,7,6,4,0,0,1,0,44.72193784941943
31,31,12,19,2,0,1,1,0,44.1984410445853
22,19,10,9,6,0,0,0,0,52.27772020228969
26,19,8,13,2,0,1,0,1,49.9650189884644
27,20,12,17,3,0,0,0,0,46.995311230954286
10,31,9,10,5,1,0,0,1,59.4365922133201
15,25,15,16,2,0,0,1,0,53.79774936912125
38,25,7,14,4,1,1,0,0,42.746892169724646
33,8,7,8,2,0,1,1,1,47.60465931579619
43,33,15,9,3,1,1,0,0,41.89235099167185
29,18,5,18,1,0,1,1,0,43.08894662444576
22,12,16,17,2,0,1,1,0,51.613248593909
32,11,10,12,5,1,0,1,1,50.80918129258076
27,10,11,9,5,0,0,1,1,53.868460858412384
31,28,8,15,5,1,1,0,1,49.56610302873308
24,20,13,10,4,0,0,0,0,50.52796413169741
17,27,10,17,4,1,0,0,0,52.93785820539525
46,23,8,9,5,1,0,0,0,39.496294561050014
35,11,8,6,4,0,1,1,1,48.85769427697828
29,17,10,15,5,0,0,0,1,51.04959367075007
30,20,12,9,2,1,1,1,0,48.344779242379175
27,12,11,6,3,1,0,1,1,52.01137202307445
25,24,11,8,1,1,0,1,0,49.71345396032666
23,20,10,15,5,0,0,0,0,50.28553135189874
40,23,11,8,5,0,0,1,1,48.29784236080121
31,29,3,15,3,0,1,1,0,41.48602020158697
29,25,11,11,6,1,1,0,1,53.1327361769108
34,13,11,7,0,1,1,1,0,44.19484648876545
42,30,8,12,3,1,1,0,1,43.33524594973541
24,11,13,12,4,0,0,1,1,54.50036588982808
13,23,12,15,3,0,0,0,0,53.8338496515258
39,17,15,15,3,1,1,0,1,47.09267528387968
32,19,14,10,4,0,0,0,1,53.845575217111545
35,17,8,20,3,0,0,0,1,46.81028643805366
34,18,8,7,3,0,0,0,1,47.868851659414354
36,17,13,13,5,0,1,1,1,51.032244250624544
23,23,9,21,1,1,0,1,0,47.75912239646836
35,17,10,17,3,0,1,0,1,47.01783731179973
28,13,7,20,3,0,1,0,1,49.42567309911829
19,12,7,14,0,0,1,0,0,46.79762199632419
35,23,7,10,3,0,0,1,1,47.00340267950453
35,8,8,12,5,1,1,0,1,48.19782986416216
43,26,6,5,2,1,0,0,1,42.1125842502172
26,25,9,13,5,1,1,0,0,49.43210242690587
32,23,9,22,2,1,1,0,1,46.37208302729001
33,22,10,8,2,1,1,1,0,45.38637478843276
38,23,8,18,5,0,1,0,0,41.08078146514295
47,13,5,9,4,0,1,0,0,35.85967217196906
35,19,8,14,3,0,0,0,0,43.000538641158776
46,25,8,23,4,0,0,0,1,41.13281561253357
41,19,7,12,6,1,1,0,1,45.63228032173864
39,24,10,17,6,0,1,1,0,44.60494260619212
22,20,15,13,6,0,0,0,0,55.24778893322859
41,30,7,15,5,0,0,1,1,44.19092764072752
45,20,8,17,1,1,0,1,0,37.39321338410228
35,25,9,15,7,0,1,0,0,46.304294236339246
42,29,14,15,1,1,0,0,0,41.113517412133305
26,16,7,15,2,0,1,0,1,47.03933461271244
36,22,7,8,6,0,0,0,1,47.18039192254304
37,15,11,15,1,0,1,0,0,42.3290222861762
33,12,7,15,0,1,0,1,0,41.76601827106647
39,20,9,19,2,0,0,1,0,40.53936631945064
24,19,12,14,0,1,1,0,0,47.07709087980914
27,19,12,6,4,1,0,1,0,52.65752478598564
34,19,9,11,3,0,1,0,1,47.74532582885392
38,13,12,17,3,0,0,1,0,43.19774607357007
29,20,10,29,3,1,1,1,1,48.29207536264257
32,10,13,17,2,0,1,1,1,48.93151922559367
22,19,8,12,2,0,0,0,1,51.55240717695227
27,11,7,20,2,0,1,0,0,43.0450778104747
32,21,11,10,0,0,0,0,1,45.56587400994125
33,27,9,8,2,1,1,0,0,44.34337527862752
24,31,9,4,0,1,1,1,0,48.39613713960706
32,15,5,12,3,0,1,1,0,42.62730409356956
32,13,4,8,2,1,0,0,1,43.74159526835717
47,22,11,19,2,1,0,1,1,41.80764164392721
38,19,4,3,0,0,0,0,1,42.8539493503816
37,13,12,15,4,0,1,0,1,47.64042466727307
26,19,7,17,4,0,1,0,0,46.97959252003635
19,17,10,19,4,1,0,1,0,51.995336412263406
38,21,9,12,5,0,0,0,1,48.35134395533653
25,15,9,3,5,0,0,1,1,54.62526024174533
42,14,10,13,4,1,0,0,1,45.54210814887881
38,15,11,12,3,0,0,1,0,43.48402236716915
23,32,8,8,4,1,1,1,1,54.86398640427153
18,13,11,16,3,0,0,0,0,50.51757954076732
26,26,7,5,2,1,0,0,1,52.1803669849921
28,19,13,1,0,0,0,0,1,52.94494343106776
29,10,9,18,6,1,0,1,1,50.40535817366901
21,17,13,7,5,1,0,1,0,53.77344804162159
41,28,10,17,4,0,0,1,0,41.29133530177866
30,24,8,20,6,0,0,0,1,49.904130671659125
33,21,10,21,2,1,0,1,0,42.023893446494725
32,30,12,16,3,0,1,1,0,47.17618736316468
34,25,12,10,3,0,0,1,0,45.2159535829061
24,22,9,23,3,1,0,0,0,48.80679598910472
32,21,10,22,1,1,0,1,1,46.70011131695005
30,20,8,4,2,0,0,0,0,45.17333511121938
13,18,7,13,5,1,1,0,0,51.276441022683656
39,30,16,23,2,0,1,0,0,42.93045414550753
31,24,9,15,5,1,0,1,0,46.172154070529054
42,17,10,8,5,1,0,0,1,46.575350618269056
35,13,6,12,2,0,1,0,1,45.06764937481799
23,25,16,6,3,1,0,1,0,54.48177206274918
27,19,9,10,6,0,0,1,1,55.00384554226692
20,20,15,8,2,1,0,1,0,54.07733592098646
29,11,10,9,5,1,1,1,1,52.328897171791375
17,15,11,18,1,0,0,1,0,49.66100958855287
49,11,8,14,5,0,1,0,1,39.32086290670526
22,15,8,14,7,0,0,0,1,54.8962799145204
29,16,8,14,6,0,0,1,1,50.34744940709135
27,12,11,13,3,0,1,1,0,48.329369402662174
26,19,10,16,4,0,1,1,0,48.58690933730294
44,18,10,26,3,1,0,0,0,37.30552197465802
27,21,8,7,4,0,1,1,1,49.65986242361471
28,34,12,4,2,0,1,1,0,47.45335064722003
36,27,14,19,1,0,1,1,0,42.22951090616101
29,11,14,6,3,0,0,1,0,50.16342931486652
26,5,12,13,4,0,0,1,1,52.364933852747306
26,8,10,6,4,0,1,0,0,48.9887252657699
36,26,6,7,1,1,1,0,1,44.48854430489475
22,14,4,15,3,0,1,0,1,50.16460059462267
36,23,4,9,2,1,0,0,1,44.12736142980877
21,18,12,8,3,0,0,0,1,53.88562153151056
21,22,7,5,2,0,0,1,1,52.32979270947696
30,22,9,6,2,1,0,1,1,50.237818396630686
34,21,16,28,2,1,0,1,0,46.79721364342917
36,30,12,12,3,1,1,0,1,50.30858113856991
27,16,11,19,3,0,1,0,1,51.05506106913055
19,18,5,16,1,0,1,1,1,51.085988860758185
39,18,7,11,3,1,0,1,1,44.83532312090899
19,19,11,24,4,0,0,0,0,50.91547252656881
31,18,8,11,2,1,0,0,1,47.76235719241993
28,26,9,9,3,0,0,1,0,47.80377454764251
38,13,13,10,6,0,0,1,1,49.79383385263056
29,21,7,16,3,0,1,0,0,43.6092044775366
34,18,12,15,4,1,1,1,1,49.47051534544136
19,20,8,21,3,0,0,1,0,49.69175111296481
34,16,8,17,3,1,1,1,0,42.53924059334202
50,26,9,15,4,1,0,0,0,37.879179941071264
30,17,10,13,2,0,0,0,1,47.5049110684841
37,16,19,10,3,0,1,1,0,47.75223126195697
28,28,12,19,3,1,0,0,0,46.09281096213025
31,13,11,13,6,0,0,1,0,47.524749706719774
29,19,11,17,3,0,1,0,0,47.366392357675366
40,22,8,19,7,1,0,1,0,42.36541099139628
22,18,2,10,3,0,1,1,1,48.97105070798828
36,21,11,13,6,1,1,1,0,45.96207659928878
27,9,14,21,3,1,1,0,0,49.19292560639192
42,17,10,8,5,0,0,0,0,42.987076647823486
34,30,16,12,2,1,0,1,0,47.28504071724012
33,17,8,14,3,0,0,1,1,46.837412259303626
30,16,8,11,5,0,0,0,1,49.63194675931757
29,31,3,15,4,0,0,1,1,47.52421578551859
25,10,9,11,2,1,0,0,1,51.74969577629538
23,13,13,13,3,1,1,1,1,55.554818949684616
21,24,13,10,4,0,0,1,1,56.303878414761314
23,16,9,10,3,0,0,1,0,50.92364389816546
20,12,10,14,1,1,1,1,0,47.71752173147666
28,7,11,19,4,1,0,1,0,47.31834402284122
31,18,14,18,4,0,1,1,0,46.18259866836178
27,15,10,15,1,0,0,0,0,45.16290938999653
36,11,10,15,1,0,0,0,1,44.72627687079415
49,22,11,16,5,0,0,0,0,39.554939485184754
23,27,12,15,1,0,0,1,0,49.25638126535738
32,26,6,17,4,1,0,0,0,43.41054469735929
22,18,7,11,4,1,0,1,1,56.41530929122924
41,25,10,5,0,1,1,1,1,44.72134179807979
33,14,9,20,2,1,0,0,1,45.84789419857179
28,21,6,21,3,0,1,1,0,43.85355051422095
11,14,8,14,4,1,0,0,1,57.59283713204259
28,16,4,11,4,0,1,0,1,46.93554793732866
33,8,12,19,2,1,0,1,1,49.599972216755816
39,12,9,18,4,1,1,1,1,46.16766267196028
32,24,12,9,5,1,1,0,0,47.6789516402192
25,21,7,5,7,0,0,1,1,54.68870913560593
30,14,6,14,0,1,1,0,0,41.5430971820504
36,17,8,15,2,1,1,0,0,40.88394372553245
20,20,13,13,3,1,1,1,0,52.17689336139637
14,18,8,9,2,0,0,1,0,51.24863327098721
43,18,7,2,3,0,0,1,0,39.651181435634506
25,20,13,19,2,0,1,0,0,49.60089248814582
38,18,12,11,7,0,0,0,1,49.11743678072999
34,15,9,12,5,0,1,1,0,46.434038126707335
16,10,8,20,1,0,1,0,1,53.06472127989322
36,15,8,12,7,0,0,1,1,50.13874927474509
25,16,6,22,6,1,0,1,1,51.4426293488256
27,24,12,21,5,0,1,0,1,50.14167667033785
44,16,13,17,3,1,0,0,0,40.4259405836799
13,22,2,18,5,1,1,0,0,49.4319442612113
28,25,6,11,3,0,1,1,0,45.84908013843973
33,21,16,6,3,1,0,1,1,53.92032273175421
23,15,12,14,2,1,1,1,0,50.989535550225646
27,14,13,22,3,0,1,0,1,50.63621940244778
29,18,11,11,3,0,0,0,1,49.89907574303098
14,17,13,14,6,0,1,0,0,57.5582232763715
23,16,8,19,1,0,0,0,1,52.14075637741589
40,16,10,11,4,0,0,0,0,42.86863482027384
30,20,12,17,4,1,0,0,1,52.046481113425386
21,22,15,7,3,0,0,1,0,52.95657457195082
33,15,19,19,5,1,1,1,0,49.96487089348814
32,21,7,10,3,0,0,1,1,48.1939115999423
33,19,12,13,4,0,0,1,0,47.16620267742501
38,15,7,12,1,1,1,0,0,39.244809256011685
33,14,17,5,5,0,0,0,0,51.85689810072064
23,15,10,20,4,0,0,0,0,47.68942821811616
38,22,14,3,5,1,0,0,0,48.80962864634643
18,17,9,16,3,0,0,1,0,51.75170148561303
34,18,9,6,3,1,0,0,1,47.82070865786343
35,21,13,19,1,1,1,1,1,47.07211145206161
44,20,7,10,3,0,0,0,0,39.475922917204
47,12,15,13,7,1,1,0,1,48.700523765016136
31,26,3,7,2,0,0,0,1,45.04300834917993
31,17,9,9,3,0,1,1,0,44.31531755266987
35,17,7,14,7,1,0,0,1,48.94950473457704
19,25,12,23,4,1,0,0,0,51.55860088026551
27,26,5,15,7,0,0,0,1,51.617453652105866
43,10,7,16,1,0,1,0,0,37.21044938556268
27,16,10,9,6,1,0,1,1,54.0460864651699
29,11,3,12,3,1,0,0,1,46.07067840817415
30,25,12,16,3,1,1,1,0,46.85679661102738
21,18,12,4,4,0,1,0,1,56.21017748456634
19,29,11,13,4,0,0,0,0,52.832509618829256
33,13,12,9,0,1,0,1,1,49.28178004746466
31,20,5,18,4,0,0,1,0,45.86309362538958
21,21,6,10,3,1,0,1,1,52.58496386327019
36,21,8,7,8,0,0,0,1,51.37377846792225
26,18,9,15,5,1,1,0,0,49.08341533384801
28,17,7,11,6,0,0,1,1,51.293207928361234
34,13,15,16,5,0,1,0,0,47.53169767282344
24,23,8,8,2,0,0,1,1,53.24502094006584
11,22,7,12,3,0,1,0,1,56.4005016876373
33,28,6,12,1,0,0,1,0,43.064030184742
32,25,12,13,4,1,0,1,0,48.77740793666486
22,25,7,13,4,0,0,1,1,53.37116876301023
22,4,6,12,2,0,1,0,1,50.87929191884853
34,21,9,6,3,0,1,0,0,44.33851022501738
31,14,10,9,7,0,0,1,1,51.68759321659266
31,25,13,11,2,1,0,1,0,47.55884390107681
25,24,9,15,6,0,0,1,1,53.8402028949898
47,28,7,18,2,0,1,0,1,39.16339250409125
28,22,13,8,4,0,0,0,1,52.68987510233479
22,14,10,19,5,1,0,0,0,50.51845149741053
27,23,6,16,2,0,1,1,0,44.04726905878415
27,23,6,7,3,0,0,0,0,46.747139694933175
22,18,12,10,4,0,1,0,0,51.34827623928411
37,15,7,18,2,1,1,1,1,44.862648047201695
40,19,10,16,3,0,0,1,0,41.82205505298246
24,10,7,6,3,0,0,0,1,53.16578581853253
38,25,7,9,3,0,0,1,1,44.43876080265973
40,18,9,16,6,1,0,1,1,46.59581369191625
18,18,8,12,6,1,1,1,1,57.4506790405749
29,16,10,9,3,1,0,0,1,52.78436320046374
17,21,6,19,3,1,1,0,1,53.79917266947208
34,19,7,14,4,1,1,1,1,48.15877776340557
26,5,10,3,4,1,1,1,1,55.50969131984805
33,17,14,11,5,0,1,0,1,53.12081451062185
30,12,10,13,1,0,1,0,1,48.17555706746858
25,13,9,4,5,1,1,1,1,53.77382147973344
36,28,7,24,1,0,1,0,1,42.52620278075601
38,18,9,11,6,0,1,1,0,45.36567500535454
27,19,9,4,3,0,1,0,0,49.57594229795091
26,28,6,19,5,0,1,0,0,47.42633095998727
19,23,9,29,5,0,1,1,0,51.09867966092296
26,8,10,12,3,1,1,0,1,51.22549313197501
28,5,8,15,4,1,0,1,0,45.847158609376486
25,30,10,18,5,1,0,0,0,48.55030009518525
20,16,14,15,5,0,1,0,0,55.13871620060186
39,20,10,9,4,0,0,1,1,46.98505449688561
37,16,6,15,6,0,0,0,0,42.92726008559077
47,20,7,6,2,1,0,1,1,42.18597506079273
25,17,10,11,5,0,1,1,1,53.89008070179582
28,14,13,14,3,1,1,1,0,48.58051734709838
14,16,9,12,1,1,0,0,0,51.2057632672243
29,24,11,17,4,0,0,1,0,47.68771185739425
32,24,7,16,7,0,1,1,1,49.17845666421945
26,20,7,10,6,0,1,1,1,53.24316723724848
42,16,8,15,7,1,1,0,1,43.37585757840991
18,27,10,13,4,1,0,0,1,55.84258207709887
23,19,12,8,4,0,0,0,0,50.700989976944136
23,14,9,17,3,0,0,1,1,51.244504214175706
15,19,9,13,1,0,0,0,0,50.61697225212468
33,27,9,14,5,0,0,1,0,46.40408999292449
30,21,7,17,4,0,1,1,0,45.14493102437289
9,27,12,16,2,1,0,0,1,60.30448642531277
31,29,10,11,6,0,1,1,0,48.31213374244365
35,14,8,13,2,0,1,0,1,46.54201595198378
20,21,13,8,5,0,0,0,0,53.66327394496225
32,10,8,9,5,0,1,1,1,49.80495015149945
22,16,8,7,2,0,1,0,1,51.53487335442399
39,13,7,9,1,0,0,1,1,44.80710876388743
39,18,6,11,3,0,1,1,1,43.48783526074688
26,29,11,19,5,0,1,0,0,48.3597784123727
32,19,14,15,5,1,1,0,0,49.02667767351143
43,17,11,14,5,1,0,0,1,45.71420801478714
38,0,9,15,4,0,1,0,1,44.32850982539691
38,14,7,16,2,1,0,0,1,42.48191602494102
38,19,7,2,6,0,0,0,1,46.92638127954957
41,19,6,5,3,1,0,1,1,44.00931559766951
32,19,14,17,3,0,0,1,0,45.59624679226104
19,30,11,13,3,1,0,0,0,52.39271115878904
38,19,8,10,1,1,0,1,1,45.49797875149879
18,14,2,12,3,0,0,1,1,51.08902253321176
14,10,9,18,7,1,0,0,0,55.296361230594265
16,14,4,13,1,0,0,1,1,49.90160500886699
29,21,10,0,3,1,0,0,1,53.00216222469893
24,30,14,8,5,0,0,0,0,52.045548665543166
24,20,7,18,5,0,0,0,0,48.729316675622925
41,32,13,14,5,1,1,1,1,47.86516386696999
28,12,8,13,4,0,0,1,1,50.52412611895036
32,11,9,14,4,1,0,1,0,45.871973306730034
27,10,10,15,3,0,1,1,0,47.49833183104159
29,38,8,22,2,1,0,1,0,45.57387710082605
22,19,12,11,2,1,0,0,0,51.11010914998483
38,7,8,17,3,1,0,1,1,45.73814526855099
32,19,6,5,4,0,0,0,0,44.41544658658819
23,18,8,25,8,0,0,0,0,49.97927805666824
33,19,15,12,4,1,1,0,0,49.209565950467024
34,23,8,14,2,1,0,1,0,44.4954009154963
29,19,8,10,3,1,0,1,1,49.58502251638212
26,21,8,9,1,1,0,0,1,50.03033755749521
34,32,6,9,5,1,0,0,1,48.72319916573676
18,26,11,17,2,1,0,0,1,55.154689203173774
23,18,8,16,2,0,0,1,1,51.34893873273099
35,22,12,14,3,0,0,0,0,45.44891318064538
37,18,7,15,2,0,0,0,0,39.86198688158277
31,17,0,3,3,0,0,1,0,41.8376515497807
25,10,4,11,6,0,0,0,1,52.651981789343466
26,28,13,10,5,1,1,1,0,52.2741624961976
25,20,8,18,1,0,0,1,0,46.61838090063824
26,17,9,10,1,0,1,0,1,51.22629707422058
22,19,8,23,3,1,0,0,1,52.596105546920015
26,22,5,13,2,0,1,1,0,44.14293813094
23,22,8,5,4,0,1,0,1,52.76873945022226
28,11,12,14,5,0,1,0,1,52.44255079637546
22,17,11,18,4,0,1,0,1,51.78770009641408
35,13,12,9,6,1,1,0,1,50.13933935617206
31,28,10,9,3,0,1,0,0,47.60293666309611
25,8,13,10,2,0,0,0,0,51.88709153170414
31,13,15,21,0,0,0,1,1,48.29847221986827
26,19,6,16,4,0,0,1,1,50.5668552510468
28,22,8,8,4,1,1,1,1,49.264423949934894
31,27,13,12,4,1,1,0,0,48.06212827781612
24,20,6,7,2,1,0,0,0,47.02149092669807
41,23,10,-1,6,0,0,1,0,46.65757534827868
15,22,11,14,3,0,0,1,1,57.33905957508461
37,25,10,9,4,0,1,0,1,49.02007432799114
31,15,6,7,4,0,1,1,0,44.97007963914579
20,17,14,10,7,0,0,0,1,58.71916130667553
32,25,0,14,4,1,0,0,1,44.25986477253309
24,13,14,11,-2,0,1,0,0,48.265761311868594
21,13,7,23,3,1,1,1,0,46.26957672578453
21,21,9,20,0,0,0,0,0,45.7563241483295
30,18,11,14,6,1,1,0,0,49.01127149991171
40,15,13,11,6,1,0,0,1,48.104886556852605
22,10,7,11,0,0,1,1,1,50.72709304599731
19,14,5,14,4,1,0,0,1,51.8344173695108
33,18,7,9,5,0,1,0,0,44.42257343856377
39,23,9,8,4,0,0,0,0,43.1031789554221
31,22,7,11,1,1,1,1,1,47.56114890505378
36,19,5,13,4,0,0,1,1,45.998178305701984
34,13,2,17,4,0,1,1,1,43.75414477318577
19,22,7,17,0,0,0,0,1,50.287647289429785
35,26,6,20,2,1,0,1,1,44.731200379477606
32,21,9,4,2,0,0,0,1,49.33302132303838
20,19,8,14,3,0,0,1,0,50.40127709999759
19,21,8,17,6,1,0,1,1,57.41539206495381
20,25,13,15,4,0,0,0,0,52.23793271731926
41,14,10,11,7,0,1,1,1,47.62255304894583
29,16,8,21,1,0,1,0,1,47.511208323998645
18,25,9,18,4,0,0,0,0,50.21013659444297
29,13,6,13,7,1,1,1,0,47.78606880550473
15,16,9,26,3,1,1,0,1,55.87909407215923
28,26,10,10,4,0,0,1,1,49.86687369288016
27,23,7,17,3,0,1,0,0,45.26305301384509
32,17,4,20,2,0,1,0,0,40.09213340533673
28,27,10,8,6,0,0,0,1,53.45568666994427
26,22,9,10,4,0,0,1,0,48.07673185605233
40,14,11,18,5,1,1,0,1,45.709235762361104
24,16,18,18,4,0,0,0,0,52.77690122883746
29,19,13,25,8,0,1,1,0,50.24394973574137
33,5,11,11,5,1,1,1,1,51.29838572822513
41,11,10,12,7,1,1,1,1,49.488594199087466
32,14,19,6,3,0,0,1,0,50.95570187159508
28,15,7,4,1,0,0,1,0,46.00149339639067
27,13,6,11,5,1,1,0,1,49.579711113283714
40,10,10,17,5,0,0,1,1,45.49489976960957
29,13,11,25,3,1,1,0,1,47.55523502174166
41,20,6,10,3,1,1,0,1,43.57114452792419
19,16,13,2,4,0,0,0,1,57.73770967627132
21,11,12,12,2,1,1,1,0,53.36924480853058
35,20,8,8,0,0,0,0,1,45.60561058366195
37,31,8,10,6,1,0,0,0,44.51381428445666
39,20,13,6,4,1,1,0,0,44.03914615982403
26,23,16,13,2,1,1,1,0,50.23523409514374
30,20,5,12,7,1,0,1,1,50.404255556623376
20,24,12,20,2,1,1,0,0,51.33743381355756
27,24,13,21,1,0,0,1,0,46.59405949665454
41,18,13,14,5,1,0,0,1,48.2577401917245
32,24,3,19,5,0,1,0,0,40.71500996415634
25,24,6,10,2,0,1,0,0,46.01142055627837
21,25,12,2,5,1,0,0,1,56.77068373807391
41,17,9,19,4,0,0,0,1,45.22748769051577
36,26,13,18,2,0,1,0,0,42.70944971266343
28,20,9,13,2,1,0,0,1,49.40811751496787
14,24,13,17,2,1,0,0,1,57.11635757298106
31,22,6,29,3,1,1,0,0,42.75805235906899
33,17,13,16,5,1,0,1,0,47.67099903179208
