age,education_years,work_hours_week,household_income,female,urban_residency,city_housing_budget,housing_voucher,housing_quality
11,29,9,13,1,0,10,25,315.4847893853243
11,27,7,16,1,1,11,21,267.1486921256076
10,28,10,11,0,1,12,27,331.46272634871
9,31,9,15,1,0,8,22,283.19391981696066
6,33,8,11,0,1,14,32,382.51165843936417
9,31,10,17,0,1,11,23,295.9876798645953
9,31,1,11,0,1,9,29,345.4540559739099
4,28,8,15,1,1,14,29,353.10576720020686
9,31,5,9,1,1,13,30,358.755907668402
7,31,13,16,0,0,11,25,320.26317758147115
9,31,2,13,1,1,11,26,314.1803750432424
7,29,9,13,1,0,16,30,364.2264721731143
11,32,5,13,0,1,11,26,319.503650845641
8,28,12,7,0,0,9,29,354.37879339340253
10,31,6,8,1,1,10,29,348.31210689419567
9,30,7,10,1,1,11,28,342.0122552176794
11,29,8,11,1,1,15,26,317.9809526497532
10,28,7,15,0,0,12,26,323.69257272335574
11,27,5,16,1,1,14,23,285.53524386596274
9,32,8,19,1,1,12,23,294.260902967972
8,31,12,12,1,0,8,23,291.38321162833427
9,31,4,15,1,0,12,26,319.0422789784764
4,31,7,9,1,1,14,32,380.5947171931711
13,28,6,13,0,0,10,23,287.7290871804432
6,29,2,8,0,0,13,34,397.61060749219695
10,32,6,12,1,0,8,24,301.72707753942245
9,29,3,14,1,1,14,30,358.0799707578255
11,29,0,19,1,0,11,23,282.108134637114
8,34,9,13,1,1,11,25,311.6132523476235
13,28,8,16,0,0,13,23,289.31630844471545
7,27,5,16,0,0,13,28,341.7349436882574
8,32,10,13,1,1,14,24,301.5980345177762
7,26,6,10,0,0,11,30,361.0445800938937
6,32,6,11,0,0,13,30,360.9976368813787
6,30,9,13,0,0,9,27,334.97795188100304
5,27,9,14,1,0,12,27,332.30106296988845
6,34,3,9,1,0,12,36,422.29262251683446
7,30,7,12,0,1,12,27,331.6921453439951
3,28,4,13,0,0,11,28,339.0462077774553
5,30,11,13,0,0,15,28,341.975353258561
10,28,9,18,1,0,12,20,263.0952995595377
8,29,6,10,0,0,14,31,370.23356275419405
9,30,12,16,0,0,8,21,276.174533348268
5,29,7,15,1,1,12,28,343.7803028292484
8,31,13,16,1,1,11,23,297.5235485900469
9,28,8,16,1,1,13,24,301.7436652972618
7,29,8,14,0,0,11,26,324.3458364199999
10,28,7,18,1,0,10,22,280.9807779516137
5,28,7,18,1,1,13,26,321.4660942429732
9,28,6,12,0,0,10,26,322.0934197147837
10,27,6,8,1,1,11,28,338.4019783032433
10,30,8,13,1,1,12,26,320.5908739197621
9,35,6,15,1,1,14,29,351.5146914320733
9,31,10,16,1,1,11,22,284.42115684059746
9,28,8,14,0,1,9,23,289.02415778504485
6,30,8,14,0,0,10,27,338.62349052449383
7,31,1,12,0,1,9,27,322.10948277710713
7,31,6,16,1,0,12,28,341.79979813178204
11,25,10,15,1,1,11,22,281.3143824808325
13,30,5,12,0,1,12,24,294.18586831473
11,28,3,12,0,0,13,28,337.24636878634124
9,29,11,16,0,0,12,24,305.0050818632328
4,30,14,15,0,1,13,28,351.723592291897
9,30,8,17,0,1,11,22,279.7146628521605
13,28,6,9,0,1,13,29,346.8391743966551
12,28,12,11,1,1,10,21,271.9673337125302
10,32,9,15,1,0,12,22,282.671227487043
5,29,6,8,1,1,11,29,347.86032340700626
9,30,11,14,1,0,12,25,315.2165424693604
9,31,5,15,0,0,11,28,340.71641548359304
14,28,4,15,1,1,13,24,293.35950499012813
5,29,12,14,1,1,11,25,316.4220705730319
10,28,12,13,1,0,12,26,326.37404684767193
13,33,13,15,0,1,12,23,295.33191031483875
11,30,8,12,0,1,14,30,362.7581360219101
6,31,12,15,0,1,10,24,306.77138312755267
9,32,7,14,1,1,12,28,341.93895729304955
15,28,11,12,1,1,14,24,300.1753052318658
9,31,6,12,0,0,13,29,350.9673529446627
8,33,8,16,1,1,11,24,303.56599063320897
9,30,13,15,1,0,13,23,295.8221307111912
11,26,8,15,1,0,11,26,321.6214658223214
6,25,6,10,1,0,8,25,307.97867907942907
10,28,8,11,1,1,11,25,308.39604244777104
11,29,9,17,1,0,11,22,283.29149314091615
9,31,8,10,1,1,9,28,341.2665781322861
9,31,11,12,0,1,14,27,335.3385083815179
13,27,7,12,1,0,13,25,307.8132957409267
11,24,7,11,1,1,11,25,308.0882451042681
9,28,13,15,0,0,11,24,308.1546168215036
6,26,7,12,0,0,10,26,321.7573160467759
11,30,5,21,0,1,12,21,271.9042647226663
10,29,8,14,0,0,9,26,325.3595288789112
7,23,9,9,0,0,11,27,331.4595886382111
8,28,15,11,0,0,10,25,317.8218864918657
13,30,7,10,0,0,13,28,337.52765864638536
10,29,11,14,1,0,11,24,304.74594702076195
6,32,6,14,1,1,14,26,320.63459567536745
8,28,12,13,1,1,11,25,313.52250911444185
13,33,9,9,0,0,7,25,311.7804040178265
7,29,15,11,1,1,12,27,337.1082907651705
13,27,9,15,0,1,14,26,321.95475871503635
9,33,11,15,1,1,9,23,296.0495523195817
10,27,3,16,1,0,15,25,305.6927116754427
10,32,9,17,1,0,13,23,294.58545775378167
12,35,14,11,1,1,9,23,297.41877721568005
7,29,8,11,1,0,10,29,353.39765575463406
8,27,3,14,1,1,13,26,315.39998763636544
15,26,9,13,0,0,11,22,277.9082739301456
2,28,7,12,0,0,12,31,375.4230160857462
15,31,6,15,1,1,10,20,254.8294277752839
10,29,10,9,1,1,13,28,341.3388169245025
11,34,12,11,1,1,11,23,292.8363973517367
8,31,3,10,0,1,9,26,315.179186501188
9,29,10,17,1,0,10,19,251.42714104318583
11,35,6,13,0,0,11,27,330.34053192996055
8,29,6,10,1,1,12,30,358.6299107094293
8,32,6,14,1,1,8,26,323.1573033501471
9,32,8,12,0,1,15,30,364.9104927634818
13,30,14,9,0,0,12,26,325.5471619313523
6,34,6,11,0,1,10,28,343.1543173855717
8,27,7,14,1,0,12,28,342.7105350570896
8,29,6,18,1,1,10,22,280.44072699218736
11,26,10,15,0,0,9,22,283.1491295724332
12,31,6,18,1,0,12,23,290.50060611368576
12,29,7,11,0,1,14,27,330.0837735711808
12,31,6,17,0,1,13,26,319.40322290889617
12,29,8,18,0,0,12,20,259.96504502635304
10,34,12,11,1,1,9,25,315.47185520018104
7,30,7,13,0,1,15,30,359.8228255165689
11,33,9,10,0,0,11,29,354.84820648050834
10,28,3,13,1,1,11,25,303.32477284958713
13,26,6,16,1,0,13,22,276.9243243312052
8,31,12,15,1,1,15,26,324.18055576757763
14,29,6,15,0,0,9,23,287.2147090059034
6,31,6,10,0,0,12,34,401.0888601453559
15,35,7,11,0,0,11,25,313.4108419814222
5,33,5,16,0,1,11,26,323.39886542960386
11,30,7,10,1,0,12,27,329.9549852533882
14,29,5,17,0,1,11,19,244.30155964325587
10,33,5,12,0,1,8,24,295.4364366177743
10,30,9,14,0,1,11,25,313.33850946490134
8,30,7,10,1,1,11,25,310.87120192851853
9,29,7,9,0,0,11,29,350.0051246554762
7,29,9,16,1,1,10,22,282.52400405675144
12,30,4,10,0,0,10,26,314.31304345928584
14,32,5,15,0,0,10,24,299.0867636489982
15,29,5,17,1,0,10,21,264.7948533224497
15,31,8,13,1,0,15,25,308.64546510531227
12,32,7,15,1,1,12,24,297.6274181246186
9,29,6,10,1,1,14,30,356.1743269419118
8,29,1,17,0,1,14,26,315.4464141210801
11,27,11,18,0,0,11,21,275.66354199590285
15,32,7,14,0,1,11,22,275.67590896942323
6,30,10,18,0,0,11,23,295.7769053599416
8,28,6,17,1,0,15,28,342.89890142658106
11,26,12,18,0,1,11,21,274.69989028373624
10,30,6,16,1,1,16,27,330.5337540177937
8,32,10,13,0,1,15,27,335.1962337646287
8,28,5,13,0,1,13,29,352.0746128625298
7,28,6,14,0,0,11,28,341.5895049793028
6,28,11,17,1,0,11,25,318.4440723166752
15,29,10,16,0,0,12,21,269.7355954970096
12,29,7,18,1,1,14,24,302.544522393206
11,31,9,13,1,0,11,27,334.16467520086115
10,29,8,14,1,0,15,27,334.6596126265401
14,30,10,13,1,0,11,22,280.1759764676414
12,35,8,12,1,1,13,26,321.14856567224854
11,30,6,12,1,1,10,23,288.06902733207414
15,33,7,14,1,1,13,24,298.71776658389985
14,29,6,14,0,1,13,23,284.4414638123648
11,30,10,12,1,1,11,22,278.66598113185296
10,30,12,15,0,1,12,25,315.9358200112911
9,30,10,8,0,0,8,26,321.1820242140145
10,28,5,13,0,0,9,26,322.0572652383784
3,26,10,14,0,1,13,27,334.21638106363605
11,32,11,11,1,1,10,24,304.4149693721674
6,34,8,15,0,1,9,27,335.9399227652235
8,33,5,16,1,1,15,26,318.89645759435444
9,29,6,14,1,1,13,27,329.1857587548914
9,29,6,14,1,0,12,24,300.2523647358271
7,29,1,9,0,1,8,29,344.9555273294992
7,29,8,14,1,0,7,25,312.6153143163302
7,32,10,12,0,1,14,30,364.4888482562059
9,27,4,14,1,0,17,29,347.5759506185484
7,25,5,9,1,1,12,30,357.0451102222844
11,29,8,11,1,0,12,29,354.76881595869696
11,28,9,18,0,1,11,24,303.4453694522482
13,28,7,9,1,0,9,23,286.6774977262715
10,30,6,15,1,1,13,27,333.1250698283535
3,25,8,13,1,0,11,31,376.3428243142437
10,24,6,13,0,0,10,24,297.06033613980617
7,26,6,10,1,1,12,28,337.19770814308174
9,28,9,14,1,1,11,24,303.8439835136492
11,28,6,13,0,0,12,24,301.2382626205513
13,28,3,13,0,1,13,26,316.694933336001
10,31,11,15,1,0,9,24,302.8845686279817
14,28,5,18,1,1,12,19,245.81931013864013
3,28,12,15,1,0,10,27,340.2225637996433
9,30,8,12,0,1,13,27,331.1514541689378
13,29,8,10,0,1,11,24,296.37348224838195
14,31,3,11,1,1,16,28,333.01652455341366
11,25,6,14,1,0,12,24,297.22281496090886
6,28,4,15,0,1,9,26,320.31482629772006
11,30,4,11,1,1,10,25,305.12183557479665
17,28,10,11,0,0,7,19,246.59414581176569
9,33,6,12,1,1,13,30,360.1935609603081
12,35,6,17,0,1,13,26,318.29207518291
12,30,10,14,0,1,10,21,270.1562508838296
8,28,8,14,0,0,13,23,287.4679339342528
11,30,11,17,1,1,12,23,294.7100980038345
9,30,12,13,0,1,11,25,313.93126841584774
10,27,7,15,0,0,13,26,322.3050701467425
10,33,7,16,1,1,13,25,310.7422193989228
8,31,5,12,0,1,15,31,370.3973353621232
12,30,5,9,1,1,14,30,358.1099352304367
8,31,11,15,1,1,12,26,324.11419887427115
7,25,2,7,1,0,13,31,363.6622711957976
10,25,14,14,0,1,12,20,264.8756126164899
8,31,1,12,1,1,12,29,347.005144292996
6,28,4,14,1,0,9,27,327.8638401583124
11,30,6,11,1,1,11,25,304.85317008503523
13,28,7,12,1,1,13,26,319.4873519516339
7,28,8,10,0,1,14,30,360.8464845965793
9,29,8,13,1,1,11,24,298.65730924469455
10,29,5,12,1,0,11,29,349.2531726670685
14,28,7,12,1,1,11,26,317.2116111481241
7,32,12,9,1,1,11,29,356.09532220865475
9,28,8,15,1,0,11,24,300.9584983936832
12,30,8,19,0,1,14,23,292.89935489906543
7,26,9,11,1,0,13,28,343.88839941055926
8,25,9,13,0,1,11,27,331.483867372874
4,32,6,15,1,0,16,28,343.2889535145122
12,29,7,14,0,1,14,26,315.8023322778027
5,27,4,14,1,1,10,30,363.4243489955442
11,33,5,14,0,1,11,27,327.34603047444045
14,28,9,13,0,0,12,24,299.65367783669603
9,31,3,12,1,0,12,28,338.816794228547
15,28,12,12,0,0,12,22,280.4918866978577
5,30,6,13,1,1,10,27,332.30763263173424
12,31,13,10,1,0,14,25,314.7399945311828
9,31,5,13,1,0,13,30,362.11778377823686
6,28,8,16,1,1,12,24,303.4655277024545
3,29,11,10,1,0,15,32,387.8522521728063
8,27,7,13,1,0,11,26,323.7036115539625
10,33,7,18,0,0,15,25,311.2103140881391
9,30,5,18,1,1,9,24,296.43573919658206
11,27,2,18,1,1,11,23,284.5020078225687
12,29,12,10,1,1,13,26,319.8757460588149
9,31,6,18,0,0,11,22,281.0999763811009
12,31,11,11,1,1,11,24,301.82798256816614
11,32,13,14,1,1,13,27,339.14844376780616
9,29,15,12,1,1,10,23,299.17990449046005
12,28,12,12,1,0,13,25,315.36613111342746
10,34,15,15,0,1,9,22,289.7941300172043
6,30,6,19,1,1,13,26,323.9347505731237
13,32,2,16,1,0,11,26,317.2033705139457
8,27,8,16,1,0,13,24,300.06038083882186
7,31,2,13,1,0,12,28,339.2713032358719
9,33,5,13,1,0,13,27,329.1015174930991
12,30,5,17,1,0,17,29,350.4636784155787
6,32,8,15,0,0,11,27,334.65895936044365
14,30,1,11,1,1,14,28,333.1749201747383
10,28,10,14,1,0,8,22,280.8956763388978
11,31,2,13,1,1,12,27,324.1409214706984
12,30,10,14,0,1,9,24,303.16187211435187
10,32,12,13,0,1,13,25,315.97712892367457
9,30,14,13,0,1,12,24,305.7465584197544
10,32,6,14,0,1,10,25,311.542718348042
11,28,11,13,1,1,14,25,313.9422293350847
10,27,6,18,0,0,15,25,308.4828539987272
10,32,4,15,0,1,15,28,339.6962138692875
9,28,9,11,0,1,13,30,363.5626304615052
12,30,7,11,0,0,7,21,267.8228931777858
11,30,11,17,0,1,11,23,294.16986832585945
6,27,6,17,0,0,10,25,313.5968709712671
12,27,9,14,1,0,11,25,313.1719104226164
9,31,11,14,0,1,9,26,326.76512106549995
11,32,5,16,0,0,12,26,323.10772876409874
13,29,11,14,0,0,10,22,284.529954796766
9,33,-1,17,1,0,11,27,325.9076758132373
6,33,9,12,1,1,11,29,354.33043234215575
12,27,5,13,1,1,13,28,336.9008290826621
13,33,-1,14,1,0,12,25,300.5327492562642
14,31,11,8,0,0,15,29,350.5958333227218
11,31,3,13,1,0,12,28,335.7837834578856
12,30,7,15,1,1,10,22,279.218806496891
12,31,0,13,1,1,12,31,366.64615165557206
9,30,5,11,0,1,14,29,346.19880293056536
13,30,4,12,0,0,10,27,327.38241750997975
6,31,10,11,1,1,7,27,335.9371758378018
7,28,10,15,0,1,11,24,303.12036510857683
10,27,8,19,1,0,12,20,260.2493209825911
13,29,7,13,1,0,11,24,301.54648513390623
7,27,1,15,0,1,12,30,355.7863893675748
8,26,12,15,0,1,11,24,306.62696495493066
9,35,7,11,1,0,17,32,382.2061925526326
14,27,6,12,1,1,13,22,272.01274092377616
9,30,8,18,1,0,14,22,281.23468054429776
5,32,4,14,0,1,12,29,351.5619793807841
5,33,4,16,1,0,14,26,320.8059051935163
10,34,8,13,1,0,11,25,312.8619857906566
15,27,8,12,0,0,11,26,318.10421017798967
9,29,10,16,0,1,10,22,279.89808522508235
9,27,0,13,1,0,14,32,376.0130439913819
8,32,8,13,1,1,11,25,311.67406519363186
10,28,10,10,1,0,9,28,345.6634806599138
9,28,10,12,0,0,8,22,281.7050385446228
8,27,6,8,0,0,9,30,360.9108858341983
6,29,4,16,0,1,12,27,330.527715064312
11,26,7,10,0,1,12,28,338.8116431403682
9,30,7,14,1,0,11,24,301.5812916628345
7,29,13,18,0,0,12,22,289.65020606243866
10,24,8,14,1,0,10,23,291.81601696924594
10,28,10,15,1,0,11,24,305.7762392913217
7,32,10,14,0,1,14,28,346.37776123964426
8,29,0,16,0,1,13,29,345.13908458122467
10,27,8,16,1,0,10,22,278.5000285788437
12,30,14,14,1,1,13,23,296.4107558667752
9,29,4,11,0,1,12,28,338.55930212670006
9,31,10,18,0,1,8,22,284.39406636008613
7,35,8,9,0,1,9,30,360.1080460051932
8,30,7,12,1,0,14,28,339.94829714786226
10,32,14,16,1,0,9,21,277.3950113670832
15,31,6,14,1,1,13,23,284.3535371260366
7,28,10,20,0,0,12,23,296.501733914654
3,29,3,17,1,1,9,26,320.0039643907933
13,30,9,16,0,0,12,23,295.0187938119804
9,32,10,13,0,1,10,26,324.6423717648346
11,30,13,16,0,0,11,20,263.8120075332523
10,26,9,12,0,0,13,24,300.65627546804035
5,26,3,14,0,0,12,30,360.9735615010916
7,27,9,13,1,0,14,30,365.39281803417606
7,29,10,5,1,1,12,28,339.876434236998
8,32,8,16,1,0,15,28,344.6266130088592
13,31,2,15,1,0,7,22,274.70759859470024
14,30,14,12,0,1,14,23,292.9717231002151
10,28,6,15,0,1,12,25,310.4970717876963
7,27,9,14,1,1,14,28,341.3808679487401
14,31,0,14,0,0,13,27,324.6798966658445
8,28,8,17,0,1,11,24,300.8043636770453
12,32,15,13,0,0,11,23,294.3236861870653
11,30,10,8,0,0,12,28,342.5291528946537
10,33,2,12,0,0,13,31,368.8634315496511
10,30,5,12,1,1,10,28,339.0967370617671
7,32,1,14,0,1,12,28,336.0094894362336
12,29,4,12,0,0,9,26,320.0801939767939
9,29,8,16,1,0,9,23,291.66057108129843
12,28,5,12,0,0,12,25,306.9466626175723
9,34,10,15,0,0,12,26,327.64624721768683
9,27,6,11,0,0,11,27,329.3421522758526
9,30,7,16,1,0,9,24,301.3728307638905
12,27,8,18,0,1,11,21,270.57920049215403
9,31,10,11,0,1,12,30,365.9013441591792
6,31,8,10,0,0,11,30,361.986319505858
2,28,2,14,1,0,12,30,359.25741851576794
13,29,10,11,0,0,14,26,319.77891481519407
13,29,6,10,1,0,12,27,328.0494190258934
9,25,9,13,0,0,13,26,320.57667088212105
13,31,4,9,0,0,11,30,355.7381286707671
11,28,7,17,1,1,10,22,278.3386537751587
12,27,0,13,0,1,10,29,345.2761507419144
11,28,14,16,1,1,8,17,234.48106587229063
11,28,7,17,0,0,10,23,290.93454324757033
8,30,9,11,0,0,11,27,331.36335510696813
13,31,2,9,1,0,16,30,354.6697858120692
9,30,6,10,1,0,13,30,360.41130752479165
9,31,7,14,1,1,14,29,351.05175924609466
11,28,-2,14,1,1,10,27,319.19291800003816
8,29,4,12,0,0,8,26,320.0816899403762
10,29,9,12,0,1,11,25,309.93232643464927
8,31,5,13,1,0,14,31,369.2268153733254
11,28,11,15,1,1,11,21,272.62229917145044
13,27,9,11,0,1,14,25,307.919853114958
7,31,6,13,1,1,13,28,339.59119760537885
9,32,10,19,1,1,11,22,287.7776707929325
8,29,10,13,1,0,10,24,303.8899068475301
12,32,11,13,0,1,13,24,304.0855683981627
12,31,8,17,1,0,13,22,281.9195453459846
19,31,7,17,0,1,12,20,257.3864538108571
9,30,9,13,0,0,12,26,324.16138328252106
7,28,5,19,1,1,10,25,311.73336398165503
4,34,4,11,0,1,8,29,351.4464504697192
6,29,5,16,1,0,9,24,301.6169445851072
9,29,7,11,1,0,11,27,329.18421149627005
11,32,9,10,1,1,13,27,330.43605773916295
13,30,7,9,0,0,12,26,315.52696561753254
9,27,4,13,1,1,8,26,315.3350222197615
16,27,9,11,1,1,12,23,288.24367668455096
15,29,5,19,0,1,10,17,225.20041002192903
7,32,8,15,0,1,12,27,334.46656117931303
2,32,9,11,1,0,12,31,378.5125806479397
13,32,11,13,0,1,9,23,295.1748790743365
13,31,8,13,0,0,14,27,330.09961605455254
15,30,13,14,1,1,9,18,239.9658465005569
17,33,14,15,0,0,13,21,272.5597865945889
11,28,9,12,1,1,11,24,297.7706627783284
7,29,9,11,1,1,11,29,357.42569641291374
14,27,5,16,1,1,12,22,275.5588437411516
12,30,2,14,1,1,11,24,294.2730641945352
9,29,9,14,1,0,15,26,320.88256248366883
6,32,11,18,0,0,12,23,296.87227700015507
11,29,8,14,0,1,13,24,300.4987849344318
11,31,12,14,1,1,13,26,323.6102851604852
5,32,5,16,1,1,10,24,299.7456922395702
9,29,14,20,1,1,11,21,279.48142134669087
7,30,11,13,1,0,11,28,345.26132084427223
10,32,5,15,1,1,8,25,310.489995708285
8,28,7,17,1,0,12,24,300.8111098021456
10,30,6,14,0,1,15,28,342.71754271797386
12,28,9,15,1,1,15,26,319.53817862833336
7,30,7,16,1,1,13,26,322.18553428702745
13,26,7,10,1,0,10,26,315.00053178571744
10,31,3,18,0,0,11,26,318.8008501826388
7,30,6,11,1,1,14,28,338.98112781701604
14,28,11,10,0,1,11,23,289.2542651781778
9,30,6,11,1,1,11,27,329.4918171577812
11,30,8,15,0,0,12,23,289.00745462410686
16,32,1,14,0,1,12,25,301.3257279687783
5,33,9,17,0,0,13,27,338.9063935188261
16,31,10,12,1,0,11,22,277.9865012940653
11,30,9,12,0,1,12,25,312.3748930878718
12,31,6,11,1,1,13,26,317.81142057441343
14,29,5,13,1,1,13,25,303.7201304029839
9,29,7,14,1,0,8,25,310.74584631120223
11,27,5,14,1,0,16,25,305.17677238526466
13,32,11,15,0,1,15,23,291.18482516688897
9,23,7,15,1,0,12,27,333.9823541326251
13,26,4,9,0,1,12,30,357.0115044775356
12,30,6,11,1,0,11,27,327.63811891110714
8,32,2,18,0,0,13,29,347.7413813055734
5,28,9,15,1,1,14,26,323.15584725406524
8,31,9,14,0,0,10,24,303.5639398645678
5,27,14,12,0,0,15,26,327.4307371358103
3,31,6,11,0,0,11,32,384.348033024419
15,34,8,13,1,1,11,24,299.17831317735624
9,28,8,11,1,0,11,27,333.9452229492644
10,32,10,14,1,0,16,25,313.4858307703142
7,28,8,18,0,0,11,26,323.6984227144369
13,33,9,14,0,0,13,24,303.9851895519185
7,29,6,10,0,0,10,29,348.6198197157614
15,29,5,10,1,0,10,25,305.58120598213867
9,27,5,15,1,0,10,22,274.28398391892546
10,34,8,14,1,1,11,26,325.3065958693174
15,28,10,13,0,1,11,24,299.8250937564476
10,29,10,6,0,0,12,29,352.5956732510068
11,31,10,8,0,0,12,29,353.6769705679777
10,29,10,15,0,0,10,24,305.2986398075197
10,29,10,10,0,0,12,27,332.2031075917436
11,28,8,10,0,0,13,29,348.7186192437903
17,29,8,9,1,1,11,25,304.8543700015692
11,30,13,16,0,1,11,22,285.6361494212484
10,29,6,10,0,1,9,28,339.5376120810761
9,29,8,15,1,1,10,22,280.1131597872657
11,27,4,17,0,1,10,21,268.6844290909826
10,28,15,17,0,0,12,17,232.74711998175184
3,32,5,16,1,1,12,27,331.6121603519605
13,29,4,12,1,0,13,25,305.5290360714366
12,33,10,14,1,1,13,24,302.8579248040171
12,26,2,14,1,1,13,24,292.4443181680245
15,25,7,16,0,0,9,20,257.0197044527672
6,31,5,11,0,1,10,27,327.93388113329706
2,25,5,15,0,1,12,27,331.7210377660743
4,30,10,15,1,1,12,26,326.1735606758153
8,26,4,10,1,0,13,32,378.0231228495933
8,27,5,14,1,1,13,28,339.7230907025119
7,32,2,15,1,1,15,31,369.411638650292
12,31,5,20,1,0,13,21,268.1297157943053
16,29,5,12,1,1,13,25,304.2476083115799
12,30,7,9,0,0,11,28,336.44224872080247
14,32,11,14,0,1,11,23,292.0868805573932
16,25,7,10,0,1,12,25,305.15736559464045
3,27,9,17,0,1,11,28,346.605242687726
5,35,8,16,1,1,14,30,368.03393001884126
16,25,9,15,0,1,12,21,265.9952577271919
