defendant_age,judge_experience_years,sentence_length,prior_convictions,public_defender_assigned,public_defender_experience,legal_representation_hours,appeal_won
9,28,4,0,1,7,43,244.2085211944399
15,31,7,1,0,10,45,250.75181228813085
9,29,8,1,0,9,38,222.9047587423616
10,30,7,0,1,6,38,218.63668012423207
5,29,7,1,0,9,39,228.37555400585535
12,29,10,1,1,12,42,244.02720717842283
5,30,3,0,1,8,45,257.53785827604435
4,31,6,0,0,6,36,210.22694645704425
8,30,10,0,0,12,38,223.27858294909169
15,29,3,1,1,10,49,268.3849797509712
10,34,11,0,0,11,44,255.6579740003656
13,29,15,1,0,8,34,204.4567672935472
10,31,5,1,0,11,46,259.0035986148005
13,29,7,1,1,12,44,250.4826357051548
6,31,6,0,1,4,38,223.01449848843023
7,29,1,1,1,8,46,259.63300368824474
5,30,11,0,1,9,34,205.469482981254
8,28,10,1,1,10,39,228.4624748916889
9,28,7,1,1,10,40,231.505725043864
10,34,8,1,1,10,44,250.74513690253147
7,28,9,0,0,12,39,228.58450296454657
12,29,7,0,1,10,42,242.63422839059467
5,29,8,1,1,11,36,215.7930252639905
9,31,10,0,0,3,33,195.1556616249664
13,29,9,0,1,7,37,214.14422340304333
13,30,1,1,1,8,49,269.7456222488671
8,31,11,1,0,11,34,199.4667382429808
8,27,9,0,0,9,36,212.0300177196994
9,34,5,1,1,9,43,241.07055631490212
10,30,10,0,0,14,41,236.94654669242547
8,27,9,1,0,10,39,231.3902263401733
9,28,5,1,0,8,42,237.41935244037563
9,32,10,1,1,7,35,206.2968893509741
7,29,11,1,1,12,36,214.43716916582423
6,30,4,1,0,8,44,250.4612472460252
8,32,12,1,1,11,37,219.5065040119381
10,30,8,0,1,12,40,227.38160166845915
8,29,4,0,0,9,43,245.10813036646695
11,32,7,0,1,13,45,254.7239447192801
8,29,3,1,1,7,45,255.40164592261104
5,33,4,0,1,9,40,229.1477174517348
13,31,7,1,1,10,45,254.27927922644128
8,29,8,1,1,10,39,226.3407713795612
6,30,12,0,1,7,31,191.26005379351065
10,27,6,1,1,12,39,224.13541191861896
8,30,10,1,1,13,41,238.48316752244932
7,28,13,1,0,12,36,218.45770321614071
8,30,5,1,1,11,45,257.3783727139672
18,28,12,0,0,10,39,223.45377136427985
10,31,9,0,0,10,43,244.56424828704357
11,32,7,1,1,9,44,249.78895779296064
11,27,6,1,0,9,44,250.11372443466504
9,37,7,0,1,8,42,237.47245493962544
10,28,13,0,1,8,30,183.66135314575573
9,30,6,0,0,7,43,249.53092792805995
10,27,8,1,0,7,38,220.1260780378551
11,29,9,1,1,9,38,219.48946729336268
12,27,9,0,1,7,39,227.3004611568659
8,34,9,0,0,10,39,223.8744963242265
12,30,3,0,1,12,48,266.00594823618866
10,27,6,1,1,11,42,240.8013349081844
5,30,6,1,0,9,42,243.7266645024577
5,33,6,1,1,12,41,235.75756936738705
8,30,9,0,1,11,38,223.01215622649752
10,27,14,1,0,12,36,216.52075614235005
12,26,6,0,0,7,41,236.95306951733613
7,26,9,0,0,12,39,231.20391870379532
9,29,6,1,0,6,41,238.0565988609889
7,26,10,1,1,11,37,220.92371404663575
10,32,3,1,1,11,45,252.46861673080795
14,29,4,1,0,8,47,260.8777182891685
9,30,2,1,1,9,46,256.20378946588977
8,27,7,1,0,9,39,228.4980732594038
7,30,7,1,0,11,42,241.2102953210241
11,28,5,1,0,14,47,264.0186196588889
11,24,9,1,0,9,35,206.67442473954895
6,27,11,0,1,10,33,201.0677527110812
6,30,11,0,1,11,34,202.43142569108505
8,31,5,1,0,6,41,235.3607257486485
11,29,7,0,1,11,44,248.23803108572483
8,31,6,0,1,12,43,246.47996186170172
8,31,4,0,1,9,43,244.22595596709624
10,32,9,0,1,11,38,221.02371932863383
11,31,9,0,0,13,42,238.42310643244136
12,33,10,1,0,10,42,238.32555950816104
4,27,8,0,0,12,38,228.8953358320736
5,32,10,1,0,10,38,224.72614255924685
10,26,4,1,0,10,45,252.96260212857996
10,29,5,1,0,10,47,266.8088641025563
9,29,8,0,1,11,41,238.1274340167111
9,29,3,0,1,7,44,250.8554324128049
5,31,8,0,1,12,39,227.74101605723305
10,31,9,0,1,15,41,236.7118480014432
7,31,3,1,0,8,44,248.8310015454338
10,28,5,1,1,12,42,239.5885456813571
8,30,5,1,0,10,44,249.22464891792487
13,31,7,0,0,4,42,238.90719232624136
9,29,5,1,0,9,43,241.89119432086483
11,35,7,0,1,9,43,245.379509536816
7,28,8,1,0,7,38,223.64116029187625
12,29,7,1,1,12,45,252.39940346377244
6,29,7,1,0,11,41,236.6823224350639
12,30,9,1,0,9,41,234.90826127799463
13,30,10,1,1,9,41,234.7606268627924
9,31,9,1,0,6,39,225.43842844023325
8,25,5,0,0,7,41,239.33395189534025
10,29,2,1,1,7,47,262.16887432109564
6,31,8,0,0,7,36,213.18386157799245
8,34,11,1,1,10,39,229.51835304277125
12,29,12,1,1,8,36,213.49597117691027
12,30,13,0,1,12,36,212.7751931269506
9,28,9,1,1,9,36,211.97608736706337
8,29,11,1,1,8,32,192.76345755733485
9,31,4,1,0,12,47,262.74147533453424
12,31,8,1,1,10,40,225.65927625032305
7,30,10,1,1,14,40,233.81090861786691
6,30,2,1,1,9,45,254.80968777164543
7,29,6,1,0,8,37,216.77356822641357
8,27,8,1,0,7,36,214.04063309728207
8,30,0,1,1,10,48,266.6489096646313
13,31,10,0,0,9,41,234.8660742278987
9,30,5,0,1,10,44,250.003716152818
7,30,10,0,0,12,38,223.63369496396564
11,29,14,1,1,8,31,187.48281004636183
8,30,11,0,0,10,37,219.1126547773404
18,30,7,1,0,6,45,252.52412289244091
11,30,3,0,1,11,50,282.2560609163865
7,30,7,0,1,8,38,223.79394834733668
11,30,11,1,1,6,36,212.0378587227472
10,28,5,1,0,10,43,241.94074171240464
11,26,17,1,1,9,29,184.22466747666556
13,30,9,0,1,9,38,220.16182101377
8,28,0,0,1,14,49,272.9318924856684
0,32,5,1,1,12,40,234.49699596511056
13,29,7,0,1,11,45,255.23033511049516
7,31,9,1,0,9,37,219.3571473432681
8,29,11,1,0,9,37,218.20444409739423
10,31,7,1,0,10,41,235.56612503521893
9,30,2,0,0,10,46,257.99114934089295
14,30,5,1,0,13,47,260.0789456773233
11,28,6,1,0,11,48,272.8683883343907
8,26,11,1,1,12,34,206.7673451814097
7,26,10,1,1,13,36,213.37065769975985
10,28,11,1,0,5,36,212.0360841857417
13,31,8,1,1,9,41,233.7106371817975
7,29,8,1,0,13,41,235.83189325018083
9,32,7,0,1,10,43,246.75218559802477
5,28,5,0,1,9,40,232.90195803275384
10,28,7,0,1,8,42,243.83242352803745
13,32,10,0,1,13,40,228.0466244974286
12,31,15,1,0,8,34,205.22873897399143
9,32,8,0,1,6,39,227.15447243777064
9,30,6,1,0,9,41,234.285772251654
2,29,0,1,0,6,42,242.19868580564045
8,27,7,1,0,11,42,246.08646295605288
8,29,9,1,1,7,37,218.6212994562405
7,27,6,0,1,10,39,229.35421081770457
10,32,7,0,1,11,39,220.96404638135772
10,30,3,1,1,7,45,251.42167888479256
13,31,9,1,0,9,40,228.77000967244015
13,29,12,1,1,9,37,218.14091365241583
10,29,8,1,1,9,40,231.44188660062443
6,27,11,1,1,8,33,206.2187586351956
13,27,4,0,0,7,46,258.0654758075347
11,31,15,1,1,11,34,203.92845753989343
5,28,8,0,0,7,36,213.9333382949995
8,31,14,0,1,9,31,190.75290060157133
7,31,9,0,1,12,38,222.946530906126
11,27,8,1,1,12,41,237.0882711086344
11,28,12,1,1,8,35,209.21748418189216
6,34,6,0,0,10,42,240.2485652985169
13,33,10,1,1,12,44,249.6685428916723
9,31,14,1,0,10,34,202.6777863728747
14,29,16,0,0,4,31,189.423144226955
8,29,15,1,1,12,32,193.8626899851388
14,28,8,1,1,9,37,214.0317149941511
8,27,2,1,1,7,44,251.5647399183064
7,29,5,0,1,10,42,241.72561345963143
12,33,8,0,1,10,42,237.74294682492064
9,29,4,1,0,10,46,259.6204514498342
7,25,11,1,1,13,35,213.9172236985435
8,28,1,0,0,9,48,270.7946331474525
4,27,1,0,1,9,45,260.26208803924965
12,33,14,0,0,12,36,213.38241768015536
14,32,9,1,1,6,41,232.4840171090621
12,30,6,0,0,11,45,256.2480183111725
11,25,7,1,0,10,43,247.7430331114291
10,28,6,1,1,9,42,242.55690989564064
6,34,8,1,1,8,40,233.35934527780185
10,26,4,0,0,8,41,234.0422608701075
7,29,11,1,1,9,33,199.8457055589747
8,28,6,1,0,11,42,239.3969168485368
6,27,3,0,1,9,41,238.13130575723596
8,34,9,1,1,9,36,209.95403504580284
7,28,10,1,1,9,34,205.8933321082927
11,30,4,0,0,7,41,231.95450587940695
10,29,3,0,1,4,42,238.846581961294
10,30,3,0,1,12,49,272.7574575559991
9,27,5,1,0,11,44,252.6886081066094
8,30,9,0,0,10,40,233.18865453232883
5,30,4,0,1,9,42,242.1245149741884
11,31,9,0,1,10,39,225.3713995286272
6,29,8,1,0,7,38,223.4207812201977
6,28,6,1,1,9,39,227.2341822316295
13,32,8,0,1,6,41,235.5720318943806
9,27,6,0,0,12,43,247.21403211777124
5,31,7,0,1,13,41,238.0081707990144
11,27,10,0,1,12,39,227.7505820441125
17,33,3,1,1,10,50,270.7506740046896
10,28,5,0,1,10,43,245.23322643631528
10,26,12,0,1,14,35,208.222528241498
9,29,7,1,1,5,38,220.34062956576227
10,31,7,0,0,7,41,236.1201648204616
7,29,12,0,0,7,34,206.65219702685644
6,29,5,1,0,9,42,240.7158350222851
9,27,11,0,1,6,32,196.8605259985747
8,31,3,0,1,8,44,248.7458710013284
9,30,8,1,1,4,38,221.67176918426455
9,32,8,1,0,13,42,239.08231367903448
9,29,4,1,0,8,45,252.23144007776472
9,25,9,1,0,11,39,232.51129350059435
14,25,8,1,0,11,42,240.54428085712877
10,29,8,1,1,10,38,221.02226675861303
10,30,2,0,1,8,45,252.23093059072764
10,28,4,1,1,9,46,262.88487543846
10,29,14,1,1,7,30,185.2080142850392
12,28,10,1,0,9,42,241.1405614228924
13,28,9,1,1,9,42,244.02901617801376
10,32,3,0,1,5,44,247.98940826671893
18,29,10,1,1,12,43,243.105270454878
8,29,7,0,1,9,36,212.4092628610801
10,29,8,1,0,7,37,213.61290760761605
8,30,4,1,0,8,44,250.61026524932328
6,30,9,1,1,9,38,225.0918657821888
11,27,3,1,1,12,47,267.0624314480207
11,33,9,1,1,10,40,228.11430733871265
5,28,8,1,1,8,36,215.9009921461043
5,30,4,1,0,10,43,247.26136432398715
12,31,9,1,1,8,40,229.22441197724277
11,31,8,0,1,10,41,235.8041770520435
7,31,6,0,1,10,41,235.59297562526496
3,29,7,1,1,8,35,211.90047775626323
7,25,13,0,1,9,32,200.0947935488517
13,32,7,0,1,9,44,247.0502581443073
13,34,11,1,1,10,39,220.82199965580864
12,27,11,1,1,10,36,211.41774052450492
8,29,9,0,0,11,37,217.96675856461624
16,31,6,1,1,11,49,273.69873879707484
14,29,5,0,1,8,44,246.69514814357908
7,30,11,1,1,10,34,204.90276767005864
12,28,3,1,1,11,47,260.7570321390121
6,29,3,1,1,9,41,233.3840495276844
12,27,10,0,0,9,41,239.1346752487277
7,30,6,1,1,9,41,237.8655748611744
11,31,9,1,0,12,41,233.83933930556145
11,27,11,0,1,13,37,221.79880535248836
9,31,9,0,1,12,41,241.06000170058635
6,29,7,1,1,12,38,222.2897940749021
10,29,3,0,0,13,49,272.4383771258836
10,28,4,0,1,6,42,239.97948276099365
15,28,9,1,1,6,38,219.38058687449197
10,29,10,1,1,10,40,232.5075521325776
7,31,6,0,1,5,41,236.3741683266296
10,27,6,0,1,9,37,216.52898124740005
12,31,7,1,0,9,45,253.4673437422328
12,28,11,1,1,10,36,211.23295858373584
9,27,8,1,1,10,39,228.3757627173643
4,27,10,1,0,7,33,201.31870760131463
6,26,13,0,1,8,31,192.84071972442732
6,29,5,1,1,11,42,241.93757546386232
12,28,8,1,1,7,38,221.6044397822239
12,31,8,0,1,9,42,238.42171377912692
8,34,7,0,0,10,41,236.72494877720277
12,33,3,1,1,12,49,270.8594762027835
12,29,9,1,1,11,39,228.22069122148244
8,28,12,0,0,11,38,225.12494143235108
10,27,10,1,0,7,38,223.1019894855663
9,31,4,1,0,11,44,247.137561237615
9,28,7,1,0,12,42,237.45087605882057
9,29,7,1,1,12,40,230.6150039477152
7,31,4,1,1,9,44,249.86477013097348
8,30,6,1,1,9,42,241.846647250628
9,27,9,1,1,10,36,212.3592464857612
11,30,7,1,0,13,44,249.16724204212215
5,32,6,1,1,7,40,230.6790931391809
13,27,9,0,1,8,38,219.3901709034992
8,33,11,1,0,7,37,219.00505418663656
10,29,11,0,1,11,37,217.00329110453583
9,33,2,1,0,11,50,275.0464369087142
10,28,8,1,1,11,37,214.5045666628459
7,29,7,1,0,9,38,222.45099835296688
10,32,12,1,1,10,39,227.27046272926424
8,29,7,0,0,14,41,234.76157870028032
7,31,1,1,0,12,49,270.6799300732079
10,30,11,0,1,8,36,215.06910402890864
12,31,8,1,1,14,43,240.93114065789476
14,32,16,0,1,10,36,215.96322631494868
10,31,8,1,1,9,39,224.50441766821515
6,30,10,1,1,13,38,223.10799696865467
9,29,11,1,1,12,39,228.6621257844666
5,33,5,1,1,12,43,245.31425307098343
9,33,6,0,1,9,43,242.77407848468425
13,28,5,0,1,10,43,243.87829055247744
6,28,7,1,0,9,38,222.094980007516
8,32,7,1,1,8,38,218.75874283425412
6,29,12,0,1,7,34,209.4805110638228
6,25,10,1,1,9,33,203.1720326450356
10,34,4,1,1,14,48,267.56726702023275
12,29,9,1,0,8,39,226.08051254741653
11,30,8,1,1,9,40,232.4047789417035
12,27,12,0,1,10,34,203.28898238439885
10,32,8,1,0,9,41,234.3970723969413
12,27,7,1,1,8,42,244.68831846438005
9,31,8,0,1,7,42,246.1236330836123
11,29,6,1,1,13,42,236.98818029294856
9,31,9,1,1,11,39,226.64130483552864
7,31,13,1,1,8,30,184.7432864522361
8,28,2,0,1,9,45,255.817632795384
7,32,8,0,1,14,41,236.57752596696287
13,30,8,0,1,6,41,235.60229514561496
14,30,3,1,1,12,52,286.2215513610298
9,29,14,1,0,9,33,202.1111250601352
9,33,4,0,1,9,45,252.0915660619632
12,25,15,0,1,14,32,195.47249492848596
15,27,7,1,0,8,43,244.28663386896147
8,33,6,0,0,8,43,246.11253157103337
10,29,9,1,0,9,40,232.00723863789491
7,29,12,1,1,12,38,226.1671198336187
8,26,12,1,1,10,34,209.4143236505071
6,28,3,0,1,9,41,235.50922636100503
8,27,11,1,0,11,37,221.92526082643997
6,30,3,1,0,11,46,261.2521277489969
6,29,9,0,1,8,37,220.79432021714567
8,28,8,0,0,7,38,226.43454122707968
10,28,7,1,1,7,39,228.5135179432358
10,32,8,1,1,9,38,219.6048792642516
9,27,5,1,0,8,42,241.8472952443579
12,31,3,1,0,10,49,271.79957294264443
4,30,11,1,0,9,33,200.32135454217968
10,30,3,1,1,10,46,257.5905868315712
7,31,6,1,0,10,41,234.77495391076124
6,29,5,0,1,10,42,243.6567942920459
13,25,2,1,0,9,46,257.3177796619664
9,30,10,1,0,11,37,214.77022209653487
9,35,3,0,0,10,47,262.00778633795306
8,29,10,1,0,6,37,218.55652504675373
5,30,6,1,1,8,37,219.413497464696
11,28,8,1,1,11,39,226.81021764471697
8,28,11,1,0,12,36,213.67778119502535
14,30,4,1,1,8,44,245.22988730273295
10,25,11,0,1,11,32,194.1398172741301
6,36,13,0,1,7,34,205.69419309310453
9,30,9,1,0,10,43,247.30250478019823
5,29,9,0,1,9,37,221.8938406933999
12,31,5,0,1,7,40,225.9274642647684
8,32,11,1,0,10,35,208.8832760511716
6,28,10,0,1,9,33,199.51238219078544
19,30,9,0,1,12,45,252.9594161811971
8,30,9,0,0,12,40,231.9295194674042
7,31,6,1,1,11,43,247.23606330744545
9,30,7,0,0,9,41,234.4703815976141
10,25,11,0,1,11,38,228.01398317172152
13,32,7,0,1,11,43,240.475275727541
13,33,7,1,0,8,47,264.9152462868019
11,29,10,0,0,11,39,228.14506342994497
11,26,2,0,0,8,48,272.0164109217536
6,26,5,0,0,9,39,229.07760871190376
8,26,13,1,1,9,34,208.731957109752
12,31,7,0,1,10,42,237.93382370413215
10,35,13,0,0,14,38,220.19948161532008
14,30,5,1,1,9,48,269.0362316641531
6,32,5,0,0,10,43,246.2095696855879
10,29,11,1,1,10,37,217.7639150534026
13,32,11,0,1,10,40,228.80645946154655
11,25,6,0,1,10,43,247.25995208763032
6,32,8,0,0,9,39,227.07587559531527
15,29,12,0,0,8,39,223.8937649164997
11,33,7,1,1,8,43,242.2413155989094
8,27,7,0,0,10,38,221.88242894398672
9,32,5,1,0,11,46,258.3003855579016
9,31,2,1,1,10,47,263.41009379096243
13,30,3,0,1,7,47,260.4001171418268
10,29,8,1,1,11,40,230.58371817920747
12,31,7,0,1,11,42,238.24150563292469
9,29,2,1,1,12,47,262.9211045074375
13,31,6,0,1,7,42,237.91564024413128
10,31,6,0,1,10,42,241.514029475177
8,29,6,1,0,11,44,253.27968678285907
11,30,6,0,0,8,39,223.32168042621325
6,29,13,1,1,5,31,192.3742467898114
9,28,8,1,1,9,40,231.7946651715451
7,28,11,0,0,9,36,216.73871562694572
12,28,12,0,0,9,37,218.6027316126545
10,30,11,0,1,11,36,211.83282629656568
11,32,9,0,0,8,40,230.8190284120273
11,28,10,1,1,11,38,219.6084993966976
14,26,10,1,0,6,38,223.36852139071507
3,32,10,1,1,12,36,214.81453306159523
11,24,8,1,1,8,39,228.77405140572247
11,29,11,0,1,11,37,215.6081335735303
14,29,13,0,1,10,40,233.87072521909403
6,30,10,0,1,10,38,226.59999566538207
7,28,9,1,0,9,37,219.20283012688964
7,33,5,1,1,9,45,253.6329836210156
12,29,5,1,1,10,43,241.46657439992796
12,31,11,1,0,9,37,215.7728612936487
10,31,9,1,0,8,37,211.8028478072096
6,28,10,1,1,8,34,206.0996982929229
11,31,7,1,0,9,41,232.49288275494405
8,33,9,0,0,9,38,222.7345097478573
8,26,11,1,0,9,35,211.00043669294624
14,27,7,1,1,6,42,240.82876327505085
11,31,5,1,1,10,45,252.85887564355383
14,29,5,1,1,9,45,251.7630451883637
11,31,9,1,1,7,40,232.6597348739632
11,33,8,1,1,10,42,238.66511497283287
11,31,12,1,1,10,36,210.58529791014095
12,32,12,1,1,14,37,215.8764704054417
8,30,4,1,0,6,43,243.3212081595412
11,28,6,1,1,9,40,228.71755292139864
11,26,6,0,1,8,41,237.4023406133436
12,28,8,0,1,9,40,231.39837751046983
9,30,7,0,1,9,42,242.55971230258052
8,31,6,0,1,9,41,237.1883178786248
11,32,4,1,0,11,47,261.6798287823399
14,31,6,1,1,8,45,252.65853613989103
7,30,3,0,1,12,46,259.24350748509005
10,26,5,0,0,12,43,246.1981552188992
9,27,11,0,1,11,36,217.05757897891792
11,28,7,1,1,12,44,247.96903176049167
9,31,7,1,1,10,43,248.50409575286648
11,33,6,0,0,13,47,260.6048682304452
10,28,3,1,0,11,44,245.4451163739328
12,30,12,1,1,12,39,226.74141341343395
8,33,11,0,1,11,37,218.8416789335209
10,33,9,0,0,12,42,236.19803183589624
8,29,6,0,0,14,44,249.32361201948729
7,29,3,0,0,9,45,254.97495040701685
12,32,8,1,0,11,43,242.7486818636565
11,27,6,0,1,12,41,233.7849991130212
9,26,12,1,0,10,36,216.3792001308278
6,30,12,0,1,15,35,209.9053662126413
14,24,8,0,1,6,39,231.85497400726456
11,32,5,0,1,6,43,241.2480155361846
8,31,7,0,0,8,40,230.8179493541577
5,29,8,0,1,9,35,210.5699947177836
2,32,8,1,0,8,36,212.983871491073
11,29,4,1,0,11,47,263.30140209763454
8,34,4,1,0,11,46,255.26342418738903
9,35,3,0,0,6,43,240.6299790176321
9,31,11,1,0,11,36,210.70376523348835
3,33,6,1,1,7,38,224.49304182609495
5,28,8,1,1,11,38,224.684975392593
13,29,11,0,1,5,35,206.65552493001977
6,32,3,1,1,11,44,247.23511999159692
12,29,16,1,0,8,31,186.82090003388092
9,27,4,1,0,11,45,256.948155983187
12,32,13,1,1,9,35,206.9426870414328
13,30,10,1,1,8,39,228.18450975319587
12,28,6,1,1,6,43,244.42521148980293
10,28,4,1,0,14,48,269.8104361155503
12,31,10,0,1,10,38,219.96994582668577
13,29,1,1,0,8,49,269.6604398439711
6,32,7,0,0,8,42,244.3272591820736
11,34,9,0,1,11,39,223.86044946064743
10,30,11,0,0,13,37,216.86756107655924
8,27,6,1,1,11,40,231.11504725602697
9,27,15,0,1,14,30,185.39368186386648
8,35,9,0,0,6,40,230.73475792706571
7,32,14,0,0,9,31,190.7620481792757
10,34,6,1,1,10,43,244.1789123516762
11,27,8,1,1,7,39,228.2943105007456
12,29,10,1,1,9,37,215.1697806125979
7,26,11,0,1,11,35,210.888520390711
9,28,8,1,1,8,38,222.6524491203238
11,33,11,1,1,7,39,226.6111762822966
10,24,6,0,1,8,38,222.260062540369
10,28,9,1,0,9,40,234.8995215224806
7,31,6,0,0,9,39,223.87738982756417
7,30,13,0,1,8,33,202.2228331976505
13,28,3,1,0,9,48,266.02489000184136
6,29,8,0,0,9,36,214.62522747034345
14,29,9,0,0,10,43,243.2499046345013
9,29,14,1,0,7,34,207.94855080058565
10,29,2,0,0,11,48,270.14656016836545
9,31,6,0,1,10,42,242.3070470247368
11,31,5,0,1,11,45,254.9065991331232
12,32,3,1,0,8,47,261.51506503392807
12,28,12,0,1,10,37,217.4969804216468
12,26,8,0,0,8,39,224.347892191186
8,29,7,1,1,10,40,232.49937329258472
10,28,7,1,1,10,38,220.68941793763528
7,31,6,1,1,12,40,228.5272609228965
6,30,13,1,1,10,33,201.87774808249785
12,28,15,1,1,10,32,193.79791479770472
9,30,5,1,1,10,45,258.80415975150646
9,25,6,0,1,9,39,228.29025586597567
8,30,11,1,0,12,39,228.4024274507397
12,24,2,1,0,8,48,267.3598750303344
8,30,4,1,1,9,43,244.3133957311658
5,30,6,1,1,11,40,232.60191329235315
14,31,14,1,0,10,36,210.8897436679633
12,28,5,1,1,6,43,244.0865367161101
9,29,5,1,1,9,43,243.7211022496224
13,32,5,0,0,8,47,260.5608349672593
10,31,14,0,1,11,36,215.128485230593
9,31,10,1,1,12,40,231.1904284203607
7,29,6,1,0,8,41,237.5332129049067
13,31,10,0,0,10,41,234.77501668612052
9,29,12,0,1,9,33,202.78844148583389
10,29,10,0,1,7,36,213.9218154012333
11,30,9,0,0,9,39,226.00660931372843
9,32,7,0,1,9,41,235.85360262109103
7,26,2,1,1,14,46,259.5824832450204
8,29,9,0,1,10,36,213.43838663480088
7,28,8,0,1,8,37,218.4171016161976
12,31,12,0,0,11,39,226.36676641022933
12,29,4,0,1,9,43,243.29279702074456
15,30,7,0,1,7,43,245.23693930961107
14,34,9,0,1,7,41,234.5279514839416
13,28,0,1,1,11,51,280.6347821822142
12,29,4,1,1,15,46,259.5260298109204
11,30,6,1,0,8,43,245.6523685835057
16,33,5,1,1,7,45,248.819764964774
9,32,6,1,0,10,45,255.2694181807848
8,21,10,1,0,8,34,206.8102623440604
9,32,8,0,0,13,43,246.64267297128652
6,28,11,0,0,13,35,209.5266189617155
14,25,1,1,0,6,46,252.6835785804417
8,28,6,1,1,6,39,228.4877602781903
6,32,11,1,1,11,35,208.85720892777312
14,26,8,1,0,9,40,231.5543811793557
7,32,5,0,0,7,44,250.9428933338868
8,31,12,0,1,10,34,204.4392021422798
11,30,8,1,0,10,43,245.36097003457556
9,29,11,1,1,9,35,206.1168029705097
11,29,11,1,1,11,37,220.0053126350373
9,28,12,0,0,11,37,222.18265750296544
9,31,3,0,1,10,44,248.65173392636888
11,30,5,1,1,11,47,262.2186753089203
13,25,10,1,0,11,40,232.85722625528783
13,28,13,0,0,9,36,211.89555182815135
9,29,12,0,0,10,35,209.56144031646448
7,26,5,1,1,9,42,247.03822555146968
7,31,4,1,1,9,41,233.9540245001298
11,32,7,0,1,9,41,234.1120415494628
10,30,10,1,1,8,38,221.51934010234567
13,30,6,1,1,13,47,265.6784020215914
6,28,10,1,0,10,36,214.01331844854963
8,28,9,1,1,10,37,220.2240370935133
10,28,10,1,0,10,37,217.466179703233
11,27,5,1,0,9,45,255.22615163925
11,28,9,0,1,10,38,220.1212266365989
9,31,9,0,1,10,39,228.97278990150613
2,35,7,0,0,9,37,215.4528657134293
12,30,5,1,0,9,46,261.8106149558553
10,28,3,1,0,9,48,270.024508703526
8,30,7,1,1,13,40,230.052492544922
7,32,6,1,1,9,42,240.91349150884625
7,30,7,0,0,10,41,237.6427919820615
6,25,14,1,0,13,33,204.74171273388237
5,29,7,0,0,12,39,230.31412664822236
8,31,7,1,1,9,40,232.00331416458505
11,27,13,0,1,8,32,198.09771844137063
13,28,8,0,1,10,42,242.57829279961692
11,30,9,1,1,10,41,235.10988030816145
