defendant_age,prior_convictions,charge_severity,legal_representation,bail_status,diversion_program_enrollment,sentencing_length,recidivism
20,19,13,1,0,1,51.72309499882022,190.7391275431129
37,41,8,1,1,1,74.66204639978963,262.23302096318463
21,14,5,0,0,1,34.67321400162785,149.48239472182203
29,8,12,0,1,1,45.04587843269277,174.71206114829332
20,15,10,1,1,1,44.546319818783125,172.572276288917
33,20,12,1,0,1,58.46018399192959,214.54131231399285
18,29,15,0,0,1,60.52472415565644,214.08861974984663
37,15,8,1,0,1,51.34611732644291,193.59553533576604
46,11,4,1,0,1,43.983898892317605,178.44226193940574
22,22,13,1,1,1,55.10016259108614,203.268532183982
22,24,8,0,0,1,47.133979291942346,183.4204439838552
28,15,7,1,0,1,42.89284275605458,170.2298092067775
36,26,7,1,1,1,59.22487008550917,219.3531080273584
35,21,6,1,0,1,50.71788722593472,196.8063004744748
36,8,4,0,0,1,35.21887993708551,154.18392815318646
40,17,13,0,1,1,60.03014801585758,219.4692633322068
14,24,12,1,1,1,50.87688278572436,189.242416335915
31,25,10,1,1,1,59.63414413865176,217.727041978786
17,18,10,1,0,1,42.59052685708218,167.31055896628024
28,28,9,0,1,1,57.61574607278513,213.79801259541017
33,12,9,0,1,1,45.91870271460356,180.5477704011267
34,31,12,1,1,1,69.20980466176076,245.66631979134067
35,14,14,1,0,1,55.27770265238945,204.99778115550205
21,14,14,1,1,1,49.368055482409545,183.29171005082483
23,18,11,0,1,1,48.510928793510814,186.29155380813611
43,28,11,1,1,1,70.45133715255403,253.94499160220045
25,25,8,1,0,1,51.33165988362385,195.28263039504932
40,25,11,1,0,1,63.68272560613812,233.33974007302436
22,16,14,1,0,1,49.23664133165689,187.57680944995576
28,18,14,0,1,1,58.36571562004519,209.6503498119277
28,21,9,0,1,1,51.13813648160919,197.1184964992981
44,14,9,0,0,1,52.99651154682827,202.01039692820345
20,24,6,0,1,1,45.48722675061644,178.76215289477878
43,18,7,1,1,1,55.27218774676416,210.00590243053412
37,30,8,1,0,1,64.21343254073419,234.04943180190372
25,26,12,1,1,1,59.88888203942901,219.09884703777504
25,17,12,1,0,1,50.044506407091205,190.9996083662494
46,15,11,1,1,1,60.0547968466604,220.91848735929543
26,25,11,0,1,1,58.1180987576572,213.64937936766307
51,28,16,0,1,1,82.40914317318946,283.1995432944656
29,21,14,1,1,1,58.94075198049827,213.520782273626
15,15,10,1,1,1,41.96973967688031,163.01066709167475
42,10,12,1,1,1,52.55166194974712,199.64450238049903
23,22,9,1,1,1,49.64093916272015,187.26897019835155
35,7,12,1,0,1,47.05886212783281,182.1435710197915
33,22,9,1,1,1,58.58825769659246,216.37458286358765
41,19,13,0,0,1,62.435111289209736,226.52807127033884
15,18,7,1,1,1,40.10264261878798,160.38488677683742
27,17,13,1,0,1,53.89132616820532,198.25075770325617
32,20,9,1,0,1,53.47927175734563,200.04594735552945
23,22,8,0,0,1,45.50119136926612,179.91817253221652
17,20,12,1,1,1,50.10857424894873,187.1450985882302
20,11,7,0,1,1,35.5039186091136,148.81887448762296
35,10,8,0,1,1,44.14077817590314,177.27692180548857
28,34,9,0,1,1,65.0278966650952,231.1505020240643
21,25,7,1,1,1,50.914049072332816,195.8702099396957
28,20,9,0,0,1,48.50934648258563,188.29563126973412
29,22,6,0,1,1,50.00936328596742,191.34688295843856
17,29,12,1,1,1,59.74239177863115,213.5734885406979
40,13,13,1,0,1,55.676831296150624,210.40976696442635
33,17,11,1,0,1,50.82037627594866,193.23166930526244
15,27,12,0,1,1,55.07947163693076,200.6604467760957
35,28,13,0,1,1,68.27435510700626,241.30264850854127
36,24,7,1,1,1,57.55618900696415,211.21268899760747
20,20,10,0,1,1,48.39171723669904,186.08391280291207
38,23,7,0,1,1,55.233384555683074,210.1281008128773
34,21,14,1,0,1,60.610369466124006,221.1975644460376
42,16,10,1,1,1,58.21767593132828,217.251415020184
21,23,12,1,1,1,55.06175437764038,204.5368283847324
28,12,11,0,1,1,46.05195590563603,179.46429745919647
24,8,13,1,1,1,41.53388891469135,163.19698444523698
39,31,9,0,0,1,66.58960908775794,241.67643404283345
38,22,11,1,0,1,59.660580367439735,217.3403522621269
23,15,9,0,0,1,40.57034227886773,162.27059771565243
33,27,12,1,1,1,65.48277943553737,233.0402676650547
23,15,6,0,0,1,35.675306729884305,152.8658853279393
30,20,13,0,1,1,56.4794341358322,207.72364667819872
38,29,6,0,0,1,58.876548514771386,219.4690068192453
24,20,9,1,1,1,48.94626445597493,187.7764683647942
34,29,8,1,0,1,61.03688030659549,224.8288429912585
19,24,11,0,0,1,49.51690518150494,188.4251780821994
24,13,10,1,1,1,43.72225494366219,173.32420029474122
32,23,12,1,1,1,61.38158830649989,222.07271312270484
18,9,5,1,1,1,29.12681304400639,132.4640872060311
31,15,14,1,1,1,55.83387600087581,203.36396857943149
39,17,7,1,0,1,49.93513352625594,192.73618151183763
31,10,8,0,0,1,41.00907918761167,164.1580266039404
25,18,12,0,0,1,50.878276958960704,191.3824871847526
26,18,9,0,0,1,44.45279030892886,175.3639378159271
41,23,10,1,0,1,61.96750081461926,226.9775458595928
31,19,12,1,1,1,59.31667554117604,214.62289659062077
31,22,15,0,0,1,61.86529622917771,222.93252926002705
50,30,12,0,1,1,77.16160485956603,269.64657081645714
38,15,11,1,1,1,55.25698208436456,207.12700790303737
31,20,7,0,1,1,48.45842280712248,189.6094528757589
18,19,8,1,0,1,42.98446573243309,166.9905677958343
30,21,9,0,0,1,54.00507431599875,199.04949150360912
24,13,11,0,1,1,46.32809724450495,179.3102878367694
46,16,12,1,0,1,60.67480439543933,222.88804332162147
26,22,16,1,1,1,62.59177018071401,223.3533548719708
30,17,10,1,0,1,48.3653086727854,187.94855992889453
21,25,13,1,0,1,57.73898961468549,209.4791809471344
43,16,5,0,1,1,48.02097848300741,190.60040325887772
35,22,8,1,1,1,54.39423772590045,207.39332260211933
31,16,11,0,0,1,50.8064922625636,191.3573328704277
37,18,11,1,1,1,58.67696080101952,215.40885946696451
39,18,7,1,0,1,51.033754035808414,198.1934043990101
27,14,11,0,1,1,47.73668242567983,181.51939614596935
32,15,9,0,0,1,47.19840252779214,182.26621527434352
32,38,7,1,0,1,67.44373018418935,242.38019380094136
37,4,19,1,1,1,55.94385520219767,206.68159780828964
33,23,8,0,0,1,52.804157482590085,200.29810729695708
40,17,8,1,1,1,53.26934521820206,202.3666655697673
28,24,11,0,1,1,57.7700908222932,211.63115175154337
27,11,11,1,1,1,45.22516896270941,177.0580328389277
23,26,8,1,0,1,51.85542005131259,194.10282418227465
32,16,10,0,1,1,48.62306297366989,188.76108039559597
27,23,8,1,1,1,53.05972075046569,201.3305452010285
27,18,13,0,0,1,53.307372577838926,200.13880045226176
17,15,10,1,1,1,42.65094651750974,166.21225986333192
35,18,14,0,0,1,57.95769995883025,212.1558373013713
39,24,14,1,0,1,66.09664915033744,236.58914886533
29,20,6,1,1,1,47.659795659758935,187.0621115816892
31,21,10,1,0,1,55.128225365246834,205.61813207883512
22,12,11,0,1,1,42.603728380734175,167.59234474981147
43,25,12,1,1,1,68.58750189675433,245.5881642813372
33,23,15,1,1,1,65.48890698468954,233.5759326221113
24,12,9,1,0,1,39.39338159750094,160.60208752399174
18,19,8,1,0,1,43.37077228114756,169.71643115632563
22,22,11,0,0,1,50.80923948969747,192.00780053385037
32,4,9,1,0,1,37.3108110388885,154.44931119373214
34,15,5,1,1,1,43.8688579283893,175.20156461153994
21,13,9,1,1,1,40.74513495179753,163.29569182772622
20,26,9,1,0,1,51.277475478761176,194.9719082567997
27,28,5,0,1,1,51.49991656460448,196.77563922596025
26,7,12,0,0,1,38.076119909030005,156.59478382005702
30,22,11,0,1,1,58.482250634324366,215.51168808827904
36,17,9,0,1,1,53.315249084648016,199.2728761354304
26,23,6,0,0,1,45.73761568381894,180.0021061071572
34,22,5,1,0,1,50.11540405710824,190.510616862156
32,19,12,1,1,1,58.31626481350591,214.2364814420581
42,21,8,0,0,1,58.68595323528509,217.5865923205845
30,12,12,0,1,1,49.0768623136748,187.2770576948069
28,19,11,1,1,1,53.51410661249374,201.07544222769107
44,17,7,1,0,1,54.47332662317059,208.7487009964809
41,32,7,1,0,1,65.44002402346293,238.88776766555895
42,21,14,1,1,1,67.00013352327139,241.14938234487173
25,20,16,0,1,1,59.11286466536172,212.7453431421885
27,24,7,0,0,1,49.57431759153589,192.1042250825087
30,15,10,0,0,1,48.03716163948646,184.14717483823335
27,14,11,1,1,1,46.39725506448436,178.45799003496717
29,24,11,1,1,1,59.228996286458695,217.6397836939876
24,15,10,1,0,1,45.69991239318998,177.0748036869416
23,10,9,1,0,1,38.59344692790883,155.5565192546758
35,21,7,0,0,1,52.030799841780265,194.54424217463932
26,19,10,1,0,1,49.308925491688846,189.8835622021228
21,22,9,0,0,1,46.81896194407766,180.0199682366093
19,16,13,1,0,1,48.00782651343816,182.86474245122545
35,19,11,0,0,1,54.35216570666807,205.38535333902476
9,19,10,1,1,1,40.88809998780477,163.6841227058487
23,30,9,0,0,1,56.230378479940825,207.8388434755416
33,22,12,1,1,1,59.958234390202975,217.6624442905801
22,20,7,0,1,1,44.25529752523663,173.8621292891796
37,24,6,1,0,1,55.19472809619566,209.9499639215192
31,20,8,1,1,1,51.85411306415517,199.271008063714
36,24,10,1,1,1,61.064519732119656,222.31153610816472
16,33,9,1,1,1,57.6024644580408,207.95505970013957
22,33,5,1,0,1,54.94389253601573,206.00305886761123
25,24,6,0,0,1,46.64567711993507,184.25880530962584
18,16,6,1,1,1,37.99583761092931,157.5522043265064
21,17,10,0,1,1,44.85987384130692,175.55471583503746
27,18,19,1,1,1,64.80281426167689,227.86776054522323
26,22,12,1,1,1,57.24562000963808,209.6255919634208
6,19,10,1,1,1,39.37985367066176,156.5099651091807
29,10,9,1,1,1,41.76506786387983,166.08419305273335
12,12,8,1,1,1,31.975904985832564,138.23019465746347
41,23,8,1,1,1,59.44560956434143,223.76213482223775
21,17,13,0,1,1,51.14002803390715,189.35259572262024
17,24,10,0,0,1,50.839031056450914,189.01984345400072
34,20,11,0,1,1,56.26165798522479,210.4132688204461
36,25,9,1,1,1,61.48094936324803,223.3405545040724
38,16,11,1,1,1,56.88494562249212,210.0171319417748
33,14,7,1,0,1,46.28919670849086,179.3382639710866
31,20,10,1,0,1,53.27472132229107,201.75376860005807
30,25,11,0,1,1,59.167015405133085,215.98675305341575
34,22,7,0,0,1,53.28972238087998,200.37158121311413
23,10,15,0,1,1,45.5230363012176,175.92192457221245
33,10,10,0,1,1,46.64010735598697,180.30765053694063
24,28,8,0,1,1,56.49316545697313,211.72996911471472
24,26,12,0,0,1,58.45047214277374,212.33233403190175
36,25,6,0,1,1,54.3832639460268,207.55680110532796
18,16,12,0,1,1,45.72622414248704,171.09279602170162
26,20,5,1,0,1,42.84872992488728,172.99501273732028
30,13,12,1,1,1,50.47245740876905,190.2801034950105
21,29,9,0,0,1,53.753067698178825,201.9687658784705
31,22,10,1,0,1,54.67616318377018,205.62580546550427
26,26,6,0,0,1,51.34049267825056,194.60206829581796
27,19,8,0,1,1,49.37904080542513,188.5712663416661
30,9,13,0,0,1,46.60121228496475,180.9818235963796
31,27,7,1,1,1,56.5850316540137,211.50450400063747
17,17,6,0,1,1,36.69136497919308,149.6519073335654
35,20,8,1,1,1,53.64924099583738,202.06681022710688
30,15,7,1,1,1,44.48217222822483,175.02362657567815
29,23,12,1,0,1,58.68122346581923,215.7373993347044
33,13,5,1,0,1,40.69426733519932,167.2060845608643
24,21,10,1,1,1,52.42835899096193,196.80832210882613
34,20,9,1,1,1,54.19089704035134,205.00252059036887
26,21,9,1,0,1,51.16766818209915,192.62895473222775
32,15,8,1,0,1,47.44024255844191,185.52825536657207
32,21,6,0,0,1,47.73613621320106,185.5214706211924
14,22,7,1,1,1,42.78612682921133,167.5605569156732
25,31,8,1,1,1,57.31806049085341,212.8330244141883
38,20,11,1,1,1,60.07800714005012,220.91466058632548
20,22,7,0,1,1,45.29212455245285,176.48708605793823
37,11,11,0,0,1,48.93164529882335,187.63557469505935
34,23,8,0,1,1,55.83110900745076,206.9979433944484
40,28,11,0,0,1,67.29013904673451,243.14700015747297
15,15,4,0,0,1,30.124861065343904,136.07368385318537
35,18,13,0,1,1,57.90672581426833,212.3297928263542
31,7,4,1,1,1,34.31438352172235,149.23624904202651
24,17,6,1,1,1,40.716824026749165,165.07813928365647
26,13,9,0,0,1,42.2678602663789,168.4265555421576
34,17,13,0,0,1,56.07550851603833,207.42303459835225
23,27,13,1,0,1,61.6587478859555,219.95923992049987
39,13,10,0,1,1,49.32563688576601,193.2768488635949
12,9,9,1,1,1,32.54974922479344,137.44786255977476
26,23,12,0,1,1,56.87953102807351,207.47292266073444
42,30,20,0,0,1,82.61925149866802,282.1217130468141
30,15,9,0,1,1,46.37367565125377,179.5923709651291
21,14,10,1,0,1,42.21100584133673,168.08576607707295
24,10,5,1,0,1,33.778248452441865,146.76578645608237
35,22,14,1,1,1,64.98008985334357,233.16468901254672
13,13,9,1,1,1,36.684383074252985,150.31811341039503
29,12,9,1,0,1,40.37580661525423,167.79211371275306
30,20,13,0,1,1,57.18852091450993,211.40958095700756
17,16,4,1,0,1,32.048667582250005,140.8388768165831
17,24,9,1,0,1,49.34792555112591,186.7910652020287
17,20,3,0,0,1,35.02813801209988,148.08497159981243
11,22,6,0,1,1,37.77812171673792,156.12326086606743
24,16,9,1,1,1,45.30534731642747,177.37120725490985
17,19,7,0,0,1,38.50709594557936,158.851432690782
29,23,8,1,1,1,51.69556300231569,198.2141073956203
20,13,13,1,0,1,43.09805921483808,170.0173444368187
39,14,11,0,0,1,52.114920658896736,199.2787323136569
36,27,9,0,0,1,59.27704864262646,219.85927318870307
33,33,15,0,0,1,73.86840897426966,256.93124458289844
25,21,6,0,0,1,44.49682903344881,174.74340854086245
38,22,6,1,1,1,53.33716332203841,205.5260381389429
24,14,10,0,0,1,43.93527063872981,169.56803676256342
39,21,13,1,0,1,63.1034239924624,229.22960959160517
20,17,5,0,1,1,35.915686564945915,152.7684470805148
27,17,8,0,1,1,44.33395773051293,178.03175893596432
19,13,8,1,0,1,37.3133034682447,154.81814652174918
27,32,9,1,0,1,60.08071160481759,220.2049424481418
36,26,9,1,0,1,61.66813545099662,224.8371797107976
38,16,7,1,1,1,52.591768782507145,198.00585494243492
26,12,11,0,0,1,44.89027608688583,173.41260576678036
46,17,7,1,0,1,52.788281559014855,204.970890849684
28,5,6,0,1,1,32.255202938638654,140.459724474169
21,19,8,1,0,1,44.60844949370168,176.78566942869
31,17,16,1,0,1,58.766356656695294,212.8850795574912
28,23,9,0,0,1,50.18476713764598,193.0298345674901
40,20,2,1,0,1,46.60755328058369,189.75447315492696
19,23,8,1,1,1,46.92271234031555,180.8685213341748
29,20,8,1,1,1,50.346422231357344,191.40550175420975
31,25,12,1,1,1,60.76893784317178,224.3598816797999
30,33,15,1,1,1,74.17850316570589,258.55210593334493
27,14,9,1,1,1,45.703375173596285,181.6542555506373
28,22,9,0,0,1,51.66269964850508,196.7664371983809
28,29,11,0,0,1,62.28797957247369,222.65076456063636
23,22,7,0,0,1,46.11362149646204,180.78255255191164
23,16,8,0,0,1,40.88466380649707,163.23232918384042
33,13,12,1,1,1,53.236184896179445,200.7867735883602
39,30,8,1,1,1,65.527705429971,235.7433234528852
19,17,7,0,0,1,37.97366876499392,157.4762858240089
53,22,5,1,0,1,60.403722150899696,226.0793346244706
26,22,11,1,1,1,55.18352564648968,205.5977050630921
34,20,12,1,1,1,58.15098608075285,217.50797750522423
21,14,12,1,1,1,47.434465701773135,180.45587216996748
34,13,11,0,1,1,51.06085802672511,191.69296550426225
31,23,5,1,0,1,48.59431371203159,191.77574241614096
32,17,8,1,1,1,49.29957339567368,190.86070417747163
24,22,11,0,1,1,52.08350598574857,196.07590257478125
22,23,15,0,0,1,58.84757865515734,212.489240742964
27,22,8,0,0,1,51.44667966314,194.98758286320185
27,19,13,1,0,1,54.94985652580082,204.27330420219215
18,25,11,1,1,1,51.73412497782935,195.2048194108156
42,25,11,0,0,1,65.78092934698478,234.6942319795778
22,14,9,1,0,1,41.08268747475386,164.62577153080042
25,14,8,1,0,1,41.85501827755893,168.3617573994814
16,25,14,1,1,1,55.04654921940243,202.61913952249827
38,17,8,1,1,1,52.48542761369964,202.6444802777425
26,17,11,1,0,1,49.44461317703983,188.2904578367757
25,16,13,1,0,1,52.88483102491828,195.0094402477737
38,14,5,0,1,1,41.70332800237455,173.4541292568286
38,23,12,0,0,1,61.69648786667173,224.4632511105245
42,14,13,1,1,1,59.69934119334913,217.205864176152
20,17,11,0,0,1,44.91876047619834,175.2379859099532
25,16,12,1,1,1,50.08501178279204,192.84734113466072
43,15,9,0,1,1,53.519276120242495,206.38345160345293
42,24,15,1,1,1,72.36536693442756,253.9205896158111
21,20,10,0,0,1,46.83460547856301,180.74432809859752
35,22,6,0,1,1,52.729087659711006,202.85348935079148
27,15,10,0,1,1,47.15713544199478,181.2849541282747
13,19,16,0,1,1,51.36193206805752,188.1735321702584
29,2,9,1,0,1,34.76499303756269,146.30132182732655
19,21,8,1,0,1,46.65916696649642,178.05474982745326
16,18,9,0,0,1,41.95946948468479,164.70665959309736
24,18,7,0,0,1,41.06313546654502,167.4538337673127
36,23,6,0,1,1,54.2429964225437,206.37468467457245
30,23,8,1,1,1,55.09621135405909,204.27573982478503
31,14,17,0,1,1,58.5415262663698,211.3553833446006
18,21,9,1,1,1,45.56530820596073,177.66649820813277
29,13,14,1,1,1,52.67134151580479,196.7116372873267
38,22,7,1,0,1,55.364660599143086,209.0446353669419
23,18,11,1,0,1,48.998241078662254,186.34570528678157
28,21,8,0,1,1,51.108113997385374,194.02490229293025
29,20,11,1,1,1,55.976864643352826,205.05291189496728
37,22,5,0,0,1,50.76717676174335,197.71335068814133
27,17,11,0,1,1,51.22904093041104,191.33443450719255
28,14,10,0,1,1,45.78681450398734,178.65406236507343
36,22,12,0,1,1,61.53958854223032,222.97866162492383
29,22,14,1,1,1,61.462429034457685,224.2493324818434
37,19,15,0,1,1,62.88614218870011,228.746711876022
20,22,13,1,1,1,53.60449218408128,199.4818461964225
34,15,10,0,1,1,51.07402671603329,193.59218820893307
40,14,9,0,1,1,51.403107197337135,196.77774260381904
39,13,4,1,1,1,44.44128561919848,179.15073674847895
34,14,8,1,0,1,46.09211238460764,181.1110176865085
23,21,12,1,0,1,52.77838971333288,198.03008577868167
43,14,11,1,1,1,57.164574539303,212.45828466303732
30,22,9,0,0,1,56.04233150824632,205.9524941093176
35,16,9,1,0,1,50.10378970458064,193.30195586894345
47,6,11,0,1,1,49.92579904629564,194.7393766265622
17,13,10,1,1,1,39.93098978780874,158.36364907126855
18,22,10,0,0,1,47.31629181578036,180.06396841480932
37,17,2,1,1,1,43.407054044009136,177.23324282123568
13,17,9,0,1,1,39.604560754383016,158.69704926566686
40,19,5,0,1,1,50.31638336704408,194.3361628837076
25,15,9,0,1,1,45.77945683816221,175.79962312714358
32,36,3,1,1,1,61.17682406592868,223.75894820506437
24,24,13,0,1,1,57.20528861369357,208.9694417794255
32,20,11,1,0,1,55.26227215779584,207.0830188916945
22,23,8,1,0,1,48.81981908537704,187.78360224652516
38,16,7,0,1,1,50.6899948508946,192.6912254130385
15,27,10,0,1,1,52.442405431131526,194.93448231112845
32,23,5,1,1,1,49.68475204854367,195.07078825364556
20,24,6,1,1,1,45.90442433923671,179.11810905312075
24,19,9,1,1,1,50.03585885283642,191.1199112656644
31,32,14,1,0,1,72.01570632796036,252.1706345188638
27,34,14,1,1,1,72.25973631065332,253.0224576441138
37,16,9,1,0,1,50.300350578355285,193.94892435768617
20,19,10,0,0,1,46.39699569566024,179.52558623216422
36,17,9,1,1,1,51.64094567226371,197.15957446830976
16,10,1,1,0,1,22.4136775187477,115.8388430077794
27,13,12,0,0,1,48.2911214478718,183.40414748033973
18,30,11,1,0,1,56.97283172766779,208.787345973112
42,22,7,1,0,1,56.278529545218944,214.3233635437043
34,20,14,1,1,1,62.68328065831251,224.7229360407091
29,15,14,1,0,1,53.50050202030778,199.41256782056917
42,15,9,1,1,1,55.24960749172222,207.73611527125607
23,30,8,1,1,1,55.89019016492151,207.2814880995232
39,23,4,0,1,1,52.84726339120049,202.8826976372345
43,26,7,1,1,1,62.63453619173177,230.9094223351929
29,14,9,0,1,1,44.55823652234808,177.68319056038305
11,14,4,1,1,1,30.314605143792072,132.72837974238573
28,16,10,1,0,1,47.59264920603253,182.39571650004103
39,9,7,0,0,1,43.28836322480551,174.73065671119184
30,20,11,0,1,1,53.82710974120374,203.4948645584564
35,14,10,0,1,1,49.393132843520696,190.99408792790396
27,17,7,1,1,1,43.450780494781405,173.7234846055804
32,19,12,1,0,1,57.98007747269467,210.4452854755122
18,18,5,0,1,1,37.66879374897669,156.83044829146235
30,30,14,1,1,1,67.59810341295668,240.1438143877617
39,15,10,1,0,1,54.744640964648106,203.5475622112954
24,11,11,1,1,1,42.651911170056025,168.8094336730743
36,23,13,1,1,1,62.5085564937098,226.4594373329798
28,16,10,1,1,1,46.93911801940582,183.7763729705337
23,12,12,1,0,1,43.98360053492968,173.67695102954733
34,16,7,1,1,1,48.41536248504691,189.5429126296136
33,14,12,0,1,1,54.33458521016932,200.9581209570077
25,20,9,0,0,1,48.24400233698995,183.97966027141632
30,19,8,1,1,1,48.97210216978392,192.38661896143543
27,21,9,1,1,1,52.669128442576906,195.8451035942573
27,30,15,1,1,1,69.09542745391438,241.2134328547972
24,19,11,0,1,1,50.58212014887715,192.28237026025317
24,23,6,1,0,1,46.33384250784699,180.6485050340669
44,24,5,1,0,1,57.09183834685325,217.2618014584737
29,21,13,1,1,1,59.14291731063398,216.0119279570904
50,22,6,1,0,1,59.816456838711176,227.6902141170219
19,24,14,0,1,1,54.84252861694138,200.57190316843344
26,31,5,1,1,1,53.988529173129706,206.69613876085927
21,21,5,1,0,1,41.738581432670536,166.76967161523908
38,21,8,1,1,1,56.625793003394826,210.8327202752873
26,24,5,1,1,1,48.69006242466872,190.392272842401
25,18,11,1,0,1,50.02465325139151,187.82841139071311
40,24,9,1,1,1,61.6384445448108,226.5928489143277
21,22,13,1,0,1,53.133468968411584,198.3588933430904
29,27,8,0,0,1,56.62616487246822,210.49097196241223
33,21,7,1,0,1,52.770164068604096,199.1202405441625
20,15,12,0,1,1,45.65848541543162,176.77155212161756
33,20,10,1,0,1,55.45479796191077,207.18339427818864
9,25,8,1,0,1,43.05503884732647,170.3730662545594
25,6,9,0,0,1,33.965101178601735,145.36637499261312
28,19,4,0,1,1,42.188153674000446,172.65530522850048
33,21,13,0,0,1,59.68541368714032,215.8883229811906
28,27,15,1,1,1,67.35939768073071,237.34097041372695
20,16,6,0,1,1,36.08448403757242,152.84172858945325
32,30,12,1,1,1,68.61915375164837,241.67618578140687
35,22,10,1,1,1,58.06038102436321,214.62168848871275
35,25,8,0,1,1,57.88989450293517,214.16827215130715
22,24,9,1,0,1,51.02454217336285,192.33037000727404
19,21,8,0,0,1,43.72841977546542,169.24335638904893
25,18,9,1,1,1,46.6452599070883,182.4610932627848
33,16,9,0,0,1,49.35403214545822,187.8318908354002
28,15,9,0,1,1,45.369305403480766,180.06608553212098
20,19,14,0,1,1,53.36838262459529,197.72898787608324
15,27,14,1,1,1,57.71766573976786,209.3196879921895
30,25,14,1,1,1,65.93955202006542,235.0502159694094
28,39,11,1,0,1,71.24461594114507,251.4574389442488
16,18,7,0,1,1,38.217102722779536,158.0627450565189
41,0,9,1,1,1,39.575837052327294,162.23762495744856
43,21,19,1,0,1,72.80899198552362,255.49793497025905
38,9,10,1,1,1,47.54414427805509,185.6228690671804
24,19,5,1,1,1,41.98272853319981,169.1787288510407
32,25,10,1,1,1,58.78362193131252,216.81903076195505
43,5,7,1,0,1,43.815107082873176,174.18369140080372
22,8,10,0,1,1,37.14299325827411,151.98651176702978
37,17,10,0,0,1,52.4807099087613,202.12231041618924
26,19,11,1,1,1,51.57068488665759,194.62257414707005
30,19,7,1,0,1,47.03445442307436,184.757575637683
33,16,13,0,0,1,55.14952112499342,204.8061932285262
32,18,6,1,0,1,46.08973757050012,182.9594148407381
32,30,13,1,1,1,68.32890137001829,239.74741875483255
29,25,10,0,1,1,55.62574753486199,206.99916571283305
29,23,14,0,0,1,61.61734768456207,221.57492894807547
15,14,10,1,1,1,38.67537621213683,159.42337553099213
28,29,10,1,1,1,62.5745973147616,226.5697268485353
27,19,7,1,0,1,47.69150481756443,181.7882826753249
20,14,8,1,1,1,39.53532610335742,160.50553648010452
40,31,8,0,0,1,64.50139658161966,237.8444838018977
38,7,10,0,0,1,43.93839890197904,175.3175888430172
33,15,6,0,0,1,41.89841324777039,170.10587994197564
35,34,10,0,1,1,70.82972423826918,247.93014383238375
31,23,15,0,1,1,65.7556255575581,232.3997138537382
47,28,9,1,0,1,70.10383148459556,253.32284483402464
25,26,9,1,0,1,55.59494659633579,204.24692397084925
39,27,4,0,1,1,55.38700507335541,209.76856304511807
25,24,11,1,1,1,57.376130100056095,210.09505159035112
29,14,12,1,1,1,50.40672048394641,188.43190886397687
38,26,11,1,1,1,66.31031896216375,236.8467748420112
34,14,5,0,1,1,43.60828077146634,175.9341957883156
43,16,12,1,1,1,58.61014756751003,218.26320626564828
36,14,10,1,1,1,51.29639775827052,192.5877652610828
30,20,8,1,0,1,49.22923404207589,191.2765193316173
37,18,11,1,0,1,57.45729196417801,210.64241776455404
33,26,11,0,1,1,63.37599091118092,231.2545621978381
17,22,8,1,1,1,47.689403875392834,181.10265450966384
19,11,12,1,0,1,41.19953347298882,162.86933489100912
22,17,12,0,1,1,48.63047756166033,184.4191663683894
41,15,5,1,1,1,47.64581590530384,186.26115600986267
15,19,8,1,1,1,39.36354927091977,160.6957492657987
29,24,10,0,1,1,56.00201192487828,208.21224455653348
