age,education_years,average_monthly_income,gender,minority_status,job_training_program,employment_status
24,17,9,0,1,1,89.43966963246389
24,10,9,0,0,1,86.25604864986273
30,25,9,0,0,1,95.85102898652406
28,16,8,1,1,0,89.12026175546798
35,20,11,1,0,1,101.7050019443003
20,23,18,0,1,0,97.29003026247156
33,18,10,1,1,0,94.6751837209162
31,18,10,1,0,0,93.45871581510404
14,18,5,1,0,0,73.40411447459971
36,24,11,1,1,0,102.9148755915474
21,12,9,0,1,0,81.12692918480137
25,13,11,1,1,0,90.46947235234514
39,17,12,1,0,1,105.14692402683052
34,12,10,0,1,1,96.70760696984904
31,18,8,0,0,1,92.30847575410247
34,27,9,1,1,0,99.5452714170148
24,18,9,0,0,1,87.63587241738402
32,26,5,1,0,0,89.37217437961442
38,33,4,0,0,0,93.87204576387704
26,13,9,0,0,1,87.95801331135459
28,13,6,0,1,0,85.8491770117519
43,12,7,0,1,1,98.46061563428522
27,17,10,0,1,1,91.5534326970812
37,20,15,1,0,0,104.19798807437382
35,18,7,0,1,0,94.04627256176346
36,24,9,1,0,0,98.3595939903235
22,19,9,1,0,1,87.41909214361705
29,16,9,1,0,0,89.88532799730385
33,15,2,1,1,0,84.52121960482532
31,8,7,0,0,0,85.92658297355422
26,18,12,0,1,1,93.51657611871916
29,21,13,0,0,1,97.93501869788386
27,11,10,0,0,1,88.49779297130857
22,10,7,0,0,1,81.4080756972722
34,27,8,0,0,1,98.7902473003069
12,19,8,0,1,0,78.28172226191798
16,16,7,0,0,1,78.77496929638194
24,26,8,0,1,0,88.56587816079258
27,15,13,0,1,0,93.88510736546536
27,22,13,0,0,1,96.6749164607967
33,16,10,0,0,0,94.44405715176978
27,19,8,0,0,1,89.64656328840044
34,24,14,0,0,0,102.76621860103272
35,17,12,0,0,1,100.61964306590434
28,24,13,0,0,0,96.19554103249108
34,24,12,0,0,1,102.01891447859394
15,23,12,0,1,1,87.39601344422198
10,22,9,1,1,0,77.67823922579477
37,21,8,0,1,1,98.09721842093326
34,19,13,0,0,1,101.76436968711904
25,18,11,1,0,0,91.1104883619874
33,17,11,1,1,0,96.82538948111228
29,21,8,0,0,0,89.79621398270989
19,17,5,1,1,0,78.0057001888889
33,23,10,0,1,1,99.45316046223763
27,19,11,1,1,0,93.21541303599302
34,18,13,0,1,1,103.12659799760029
15,21,5,1,0,0,74.3063294881451
26,32,6,1,0,0,89.75064645499086
37,24,8,1,1,1,99.64173391760367
34,25,7,1,0,1,96.49359814410272
26,26,9,0,1,1,93.69031599929129
36,12,12,0,0,1,99.7818466146426
11,19,14,0,0,1,85.7938969545418
19,20,14,1,1,0,90.3334002980633
34,28,4,0,0,1,91.42084885184448
30,18,10,1,1,0,94.91895792899088
32,6,9,0,0,0,88.3264412865504
26,22,16,0,0,1,100.24219772192308
15,17,13,0,0,1,85.99461112092007
16,30,9,0,0,1,85.76590857042243
36,15,7,1,0,0,91.7996186326148
32,16,8,1,0,0,92.20162366997717
21,11,6,0,1,0,77.97229850432906
30,20,7,1,0,1,90.81229016246184
12,19,11,1,0,1,84.07316547849642
35,24,14,0,1,1,105.3525097175124
36,16,10,1,1,0,96.9946267643974
22,20,10,1,1,1,88.36410105306456
33,30,11,0,1,0,101.65070646222443
43,25,9,1,1,0,102.7049158007863
28,18,13,0,1,0,95.25784785513449
28,22,6,0,1,0,86.69275396264487
32,24,10,0,1,1,98.09372377395675
36,25,10,1,1,0,102.3442205111082
37,17,13,1,0,1,104.27398936252496
35,22,2,0,1,1,89.7057452124716
36,17,13,1,1,0,101.71353067111498
28,19,15,0,0,1,100.36004483940064
32,17,10,0,0,0,93.80695144498536
23,30,9,0,0,0,89.47560564633494
30,16,7,1,0,1,87.93608447307581
25,21,6,1,0,1,85.74859237347597
36,25,12,1,1,0,102.10456885932828
34,12,1,1,1,0,81.76078281282251
30,15,13,0,1,1,98.23836990078463
38,20,6,1,0,0,94.64424535775748
32,12,13,1,0,1,97.59960322022638
27,19,15,0,0,1,100.15034455879751
30,18,10,0,1,0,92.68164004159976
37,17,10,1,1,0,99.65921669524546
37,23,7,0,1,1,97.98725036750268
29,18,9,0,1,0,88.88876064221118
34,24,9,1,0,1,95.81925160376828
26,13,7,1,1,1,86.25337398217701
41,17,10,1,1,1,103.84952855229916
37,22,6,1,1,0,96.99524862781378
19,20,8,1,0,1,82.8147381713448
12,25,7,0,1,0,76.76036930953185
48,17,9,1,1,0,107.8807039401402
26,10,7,0,0,1,85.61628907844131
34,13,10,0,0,1,94.51714671926024
30,21,6,0,0,0,87.7400391833419
23,20,13,1,0,1,93.77071722386653
34,26,5,0,1,1,92.38849878227198
17,24,6,0,1,0,79.6649337707699
21,26,15,1,0,1,95.95503248891012
39,12,17,1,0,1,106.93695430073684
26,17,12,0,0,1,94.99789600819048
30,16,11,1,0,0,93.15781878057012
31,31,9,1,1,0,97.42377655436546
19,12,6,0,0,0,76.73741755621695
34,16,10,1,0,0,96.94227559727968
38,21,8,0,1,1,98.47068573769882
32,9,13,0,0,1,96.6324729757795
29,19,9,0,1,1,93.82335368551637
22,19,11,1,0,1,90.1000131356346
31,19,11,1,1,0,96.8346232899191
27,23,8,0,0,1,90.73045187358564
52,14,9,0,1,1,110.42205973597882
24,16,12,0,0,1,92.11651396632818
42,13,8,1,1,1,99.45490129429834
37,14,14,0,0,1,105.14583212020756
28,21,9,0,1,0,90.60876862096956
8,19,9,0,1,1,77.06465545514763
23,27,8,0,1,0,88.4827729260811
32,22,10,1,0,1,96.73376413291038
26,18,6,0,1,1,85.43023499997092
16,11,7,0,0,1,76.49569602416345
33,23,9,0,0,1,96.88777270289653
31,21,8,1,1,0,91.39011065856718
25,30,10,0,1,0,91.87154608171883
26,21,12,1,1,0,93.18016793428149
40,26,12,1,0,1,105.55143304617074
29,23,4,0,1,0,84.45324018675531
32,21,12,0,1,0,96.33984540049636
35,23,10,1,1,1,101.09146274999296
41,14,8,1,1,1,96.78167547964752
35,12,6,1,1,1,91.4399934577946
24,15,13,0,1,1,92.58299270414425
24,26,5,1,0,0,83.33872438290457
35,9,10,0,1,1,96.48984918202252
29,33,14,0,1,1,104.73708686998722
34,12,9,1,0,1,95.23846730773413
37,18,10,1,0,1,98.58349416419708
24,19,10,0,1,1,91.12763214713584
42,26,13,0,1,1,110.72183141399242
36,22,0,1,0,0,83.62444097327075
25,16,7,1,0,0,83.64664181942018
22,24,10,0,1,1,89.88302999949734
25,27,10,1,1,1,94.89952269218831
30,21,17,0,1,1,104.33994329472394
24,8,11,0,1,1,89.5653088684806
25,21,9,1,0,1,91.056831938871
42,20,8,0,0,1,100.5913229046133
25,14,3,0,0,0,76.99886435132235
39,13,8,1,1,0,95.44027173347182
32,24,8,1,0,1,94.57742385643309
35,11,12,1,1,1,100.4394042842534
27,10,6,0,0,0,82.12154194847727
49,22,10,0,0,0,107.92743393840964
35,14,9,1,1,1,94.75514315494488
38,20,12,1,1,0,101.76262305235758
21,18,9,1,1,1,85.49275608546503
37,20,9,0,0,0,96.61827813721992
31,13,12,0,0,1,96.87875437518946
34,18,14,1,0,0,102.08847214656056
48,8,13,1,1,1,110.82041717621708
27,22,8,0,1,0,90.79477681656846
27,11,3,0,0,1,79.91435753799433
32,14,10,1,0,1,92.8692166478456
41,24,6,1,1,1,100.07952168579892
32,29,12,0,0,0,99.5823215899986
25,25,7,1,1,0,86.33585490636104
31,29,11,0,1,0,98.30649373870028
30,24,9,1,1,0,93.36143438777891
21,19,12,1,0,0,86.90116743343773
49,20,9,1,1,1,109.96761589671571
16,21,12,0,1,0,85.76540258883082
24,16,11,0,1,1,90.24218660061234
35,18,11,0,0,0,98.4531494424224
25,27,10,0,0,0,92.11670722000488
41,29,2,0,0,0,93.80383722948396
45,21,5,1,0,0,99.91304359763468
28,13,6,0,1,0,84.97327924684755
40,25,9,0,1,0,99.72155533777196
41,21,11,1,1,1,105.75333679005097
27,6,11,0,1,1,89.86924762700826
38,17,5,1,1,0,94.23334914629484
38,23,12,1,0,0,104.76174217577947
31,18,9,1,1,0,94.67805957554091
14,26,10,1,0,0,82.18940687151321
18,20,5,0,1,0,78.31331884176396
23,14,6,0,0,1,81.58910220072566
33,14,8,1,1,0,91.0331943245272
37,25,8,1,1,0,97.87396684578763
36,17,9,0,0,1,96.38595229932216
27,10,9,1,1,1,89.14788915896688
39,17,14,0,0,1,103.91153448097812
24,24,6,1,1,0,85.7620588850435
43,17,9,0,0,1,101.9449695667727
33,24,13,1,0,0,102.75003728553293
32,23,12,1,0,0,99.71169660772136
32,30,11,0,0,0,100.01122752417668
21,21,8,1,1,0,83.5141670685631
21,17,6,1,0,0,78.83262242004986
20,23,8,0,0,0,83.82213662437121
30,20,8,0,0,1,91.38951263476189
37,13,6,0,0,1,92.82352248133648
40,22,10,0,0,1,101.38551838271054
31,29,10,1,0,0,97.05508274008848
31,18,6,0,1,0,87.3891684393214
21,15,10,1,1,1,88.11247641780615
29,12,11,0,0,1,92.04678123959756
31,2,11,0,0,1,91.10658196714095
45,13,10,0,1,0,103.94844345394132
38,29,7,0,0,0,98.22747528411386
31,29,14,0,1,0,102.71674790805544
37,30,13,0,0,0,107.64280393703156
23,18,10,1,0,1,89.25609101484362
28,21,4,1,1,0,83.38957005495624
36,24,7,1,0,1,98.4608367872422
30,14,7,1,1,0,87.85657539300574
11,19,10,0,0,0,79.11403692411761
30,24,11,1,0,0,96.07790643525652
32,27,8,1,0,1,95.70018752198273
53,14,5,1,1,0,104.56374466343738
37,18,5,0,1,1,93.83288960238372
36,23,11,0,1,0,101.86803275336686
35,19,7,1,0,0,92.66280577944784
8,18,11,0,0,1,76.41555274316931
22,18,10,0,0,0,86.44823056815325
29,28,9,1,0,0,94.38494511406292
24,17,9,1,1,0,88.54049959273453
24,19,9,1,0,1,89.7570336759269
32,24,5,0,0,0,89.00238084234172
25,32,4,1,1,0,87.58541600412191
28,19,9,0,1,1,92.93622587102398
37,10,12,0,0,1,101.03169905764378
34,8,9,0,1,1,94.02477450836209
28,24,8,0,1,0,89.54478219482596
39,23,16,1,1,0,110.14254949054776
27,21,9,0,0,1,89.6447475401174
28,14,10,1,1,0,91.30531428027352
15,21,6,1,0,0,75.62613911674057
30,25,6,0,0,1,90.45430204750969
33,17,9,0,1,1,94.79129728985257
17,27,8,0,0,1,83.50032688005116
23,18,2,1,1,0,77.28228223740378
34,18,11,1,1,0,97.75832254813908
30,18,9,1,0,1,93.64630861097896
29,22,6,1,0,1,89.71482986192265
14,23,9,1,1,0,82.15533257686262
36,13,11,1,0,1,99.01512242124608
35,19,11,1,1,0,100.50955506930572
18,24,11,1,0,0,86.85244570669896
22,27,7,0,1,0,85.52522178472276
24,16,6,1,0,0,83.30513723405724
11,18,13,1,0,1,83.52737761777371
39,29,12,1,0,0,106.32355292323864
40,21,10,1,1,0,102.47740507200812
19,25,13,0,1,0,89.24459509433603
26,14,8,0,1,1,86.92648191698177
32,9,15,0,0,1,99.24898221186426
25,11,7,0,1,0,83.65755333150092
22,15,7,0,1,0,81.71112960461032
21,26,8,0,1,0,86.193902303458
19,32,8,1,0,0,87.07572138354519
45,30,8,0,1,1,106.32941297644568
24,21,10,1,0,1,90.02475501799688
27,27,11,1,0,1,97.3932670424041
26,15,9,1,1,0,88.46963723055052
26,13,7,0,0,0,83.4931657559329
26,11,13,0,1,1,95.88477710406514
45,26,2,1,1,0,96.70602867524508
1,19,13,1,1,0,75.49101256561077
38,22,10,0,1,0,100.51178651137286
20,29,12,0,0,0,89.92147753042714
42,20,6,1,0,1,99.46605427073337
24,32,8,1,1,0,90.5092403719549
22,27,6,0,0,0,83.48266243391623
20,24,10,0,1,0,87.85986838131942
45,8,10,1,1,1,102.65667693204978
24,15,10,1,0,1,89.08646849223743
33,13,10,1,0,1,94.5986041115436
27,28,10,1,1,1,95.61620789121234
26,13,7,0,1,0,84.98779388448821
36,16,10,1,0,0,96.69448368711838
34,17,10,1,0,1,95.83646168355254
42,32,10,1,1,0,107.50458868295875
26,21,13,0,1,0,96.62578813002165
14,14,8,0,1,1,78.41737843680744
31,23,9,0,0,1,95.59448640773826
24,13,10,0,1,1,89.9118500618817
26,12,10,0,0,1,89.10339869309458
19,18,13,1,1,0,88.12219506636598
37,28,10,1,0,0,100.7346988099501
39,31,9,0,1,0,104.76131175434314
40,32,14,0,0,0,109.75157938127118
38,21,11,0,1,0,100.83057449270297
33,20,6,1,1,0,91.2948720196213
19,12,4,1,0,1,73.80563173776616
31,13,11,1,1,1,94.58833115197896
31,9,6,0,0,0,84.4684311977349
42,27,5,1,1,1,101.8250343054752
31,28,12,0,0,0,99.1025145542244
30,30,7,1,1,0,92.57397014326854
29,24,11,1,0,1,96.07203355644164
33,20,11,0,1,1,99.58298914665212
26,21,11,0,0,1,94.59834380502666
22,21,16,0,0,1,97.6540809838577
20,17,4,1,0,0,76.48317502588564
24,20,4,1,1,0,83.14624347300018
13,6,5,1,0,0,69.6176260530541
25,33,10,0,0,0,94.45801785354212
20,9,14,0,1,1,89.36932677615782
18,13,13,1,1,1,87.91368361617648
16,19,9,0,0,1,81.54510747213098
26,8,7,1,1,1,84.8307328677712
33,26,14,1,0,0,102.7712475341446
23,17,6,0,0,0,81.06352070962026
34,24,9,1,0,0,96.61077026377846
24,8,5,0,0,0,78.84284069560117
26,20,10,0,1,1,92.97085933239948
24,19,7,1,0,1,86.35096915907296
31,23,8,0,0,0,93.47560718308256
32,22,10,0,1,0,99.20114685869372
31,17,4,0,0,0,86.82353490628451
34,31,10,1,1,0,98.85285716251212
23,16,9,1,0,1,87.67114570807446
33,22,5,0,0,1,89.40293079296846
31,21,9,1,0,0,92.09257945693123
37,19,6,0,0,1,93.51702761116302
20,35,3,0,1,0,80.97367764431374
23,20,13,1,1,1,94.80178676915024
33,24,8,1,1,1,98.1776010696369
21,1,12,1,0,1,85.95758290917946
23,24,5,0,1,0,82.25147394830839
18,13,10,0,1,1,83.64373702855625
24,27,4,1,0,0,81.15813372260372
25,15,10,0,1,0,88.8833562459295
27,21,7,0,1,1,88.74836662386771
38,22,8,0,1,1,101.21338796911752
29,17,17,1,0,1,101.5113994882455
37,11,13,0,0,1,102.99724097648368
38,16,11,0,1,1,104.61899474898962
22,23,12,0,1,1,93.91294023041854
35,10,10,0,1,1,96.0526126365171
19,21,13,0,1,1,91.77245435160768
19,8,10,1,0,0,81.92579027105232
22,19,15,0,0,1,94.9223117577963
25,25,14,1,1,0,99.8838262893478
38,11,12,1,0,1,100.32420698132276
40,22,12,0,0,1,107.30564583521048
44,14,7,1,1,1,100.45838262011708
26,27,8,0,0,0,89.87403978000945
18,23,8,1,0,0,81.53380552493734
23,25,9,1,0,0,87.21438603841354
26,23,5,0,1,1,87.99965493371798
30,29,11,0,1,1,98.82433096377773
30,22,5,1,1,0,87.7852165247486
26,10,11,1,0,1,90.50511499370482
29,17,15,0,0,1,100.06292916445229
28,4,12,0,1,1,91.79414404471872
21,24,9,0,1,0,85.40761528406503
22,19,8,1,1,0,85.27979774469013
31,19,9,1,0,1,95.21467885761298
27,23,11,1,1,1,96.28483774494688
25,21,13,1,1,0,95.27268488844906
31,25,12,0,0,1,98.70743573560723
38,7,11,0,1,1,99.17583165287884
38,12,10,1,1,1,100.25592637601804
20,19,12,0,1,1,90.0854027468413
18,28,8,0,1,0,83.00445191369123
46,25,6,0,0,1,104.26190420909772
17,18,11,0,0,1,84.75595652452877
36,18,16,1,1,1,109.14836730983788
25,8,15,1,0,1,95.09096772070517
43,11,8,1,0,0,97.7916749065239
31,15,9,1,0,1,93.24752574042007
20,21,12,0,1,0,89.30950663771438
25,16,14,1,1,1,97.11231382048386
35,22,9,1,0,0,93.98621239670187
32,18,7,1,1,0,90.689776024768
15,13,7,0,1,0,74.67132099793088
19,23,11,0,1,0,87.7838807922256
41,16,11,1,0,0,101.29538072474892
31,16,3,0,1,0,82.80331508577069
29,17,7,0,1,0,86.30774136110654
34,18,7,1,0,1,92.55601017645428
27,20,9,1,1,1,90.70387527235025
29,16,10,1,0,1,91.6453807638542
32,7,14,0,0,0,95.41432413547882
28,21,8,0,0,1,91.957695738371
39,16,15,1,1,0,106.38906379718728
27,13,14,0,1,0,93.93970273144656
43,12,16,1,0,1,109.46628208887542
41,17,8,1,0,1,98.88419798328664
14,13,9,0,1,0,77.04727674819472
35,5,5,1,0,1,86.38118469708557
30,22,4,1,1,0,86.75709217996861
27,15,10,0,1,1,91.34039201873966
28,8,11,1,1,0,89.53809245801322
34,24,11,1,1,0,101.22912000705897
25,12,9,1,1,1,89.8965678348092
43,14,10,1,1,1,102.93646996287382
33,12,2,0,1,1,85.48992033850976
24,23,12,1,1,0,93.64810979432424
25,16,8,1,0,1,88.76334253971115
35,21,9,0,1,0,96.46341818179576
30,20,8,1,1,1,92.4902077208045
43,17,7,1,1,1,101.24406549599904
29,18,7,0,0,1,89.82372744085278
21,26,12,0,1,0,90.9465012100106
20,13,13,0,0,1,88.89001100021252
28,15,9,0,1,0,88.0613345295289
20,18,8,1,0,1,83.44567742377768
34,17,11,1,1,0,97.81076308835054
32,23,11,1,1,0,98.22771392981792
33,27,9,1,1,0,96.76524410755152
31,18,10,0,0,1,96.26928688824523
24,6,8,1,1,1,84.56173717980121
31,25,6,1,0,0,89.46262767545079
22,22,15,0,1,0,94.85224274084084
19,28,13,1,1,0,93.00058118168506
34,20,10,0,0,1,95.26457042804176
39,29,9,0,0,0,101.71809205511248
40,23,11,0,1,0,103.99832420605688
23,30,8,1,0,0,90.19690058510216
36,20,8,1,1,1,98.26741650558708
24,18,16,0,0,0,95.47156559572213
30,16,8,0,0,1,90.47627559062197
36,27,6,0,1,0,93.92360834920008
30,23,8,0,0,1,93.87275204629512
20,19,7,0,0,0,80.15350566002138
34,21,12,1,1,1,102.85269508245212
30,18,10,0,1,1,96.05792533482315
30,19,11,1,1,1,97.48625091990318
50,18,10,1,0,1,109.70452775951198
17,14,10,1,0,1,84.49148820065973
14,22,15,0,0,0,89.55027774802929
31,30,13,1,1,1,102.8133046115678
36,17,7,1,1,0,94.79180311491233
23,20,7,0,0,0,84.2734104640858
31,20,11,0,1,1,97.27927829625492
30,17,9,0,1,0,91.29721689363356
40,23,8,0,0,0,99.16583569040571
22,17,6,0,1,1,83.46972965795274
21,25,14,1,0,1,94.39821768988932
8,11,12,1,1,1,77.82291889096592
34,20,11,1,0,0,97.90818205579008
19,6,10,0,1,0,82.767315003854
24,18,8,0,0,1,86.85197150150447
25,18,11,1,0,1,93.04521547228148
46,18,7,1,0,0,101.89033286507684
26,15,9,0,0,1,89.3487845890269
21,17,10,1,0,0,85.63463226998782
30,31,9,0,1,0,94.646229088863
30,20,8,1,0,1,93.15273742640704
37,13,11,0,1,0,97.37395870312724
32,16,4,1,0,0,87.141762555529
31,13,11,0,0,1,96.3015032608618
16,17,7,1,0,0,76.118194897605
39,16,16,1,1,1,108.92985509409888
38,12,8,0,1,1,95.74215260733952
26,28,10,0,0,0,93.12034845332414
21,22,18,1,0,1,99.5643113622081
45,14,7,1,0,1,100.89220788220318
43,26,7,0,0,0,101.80691799665028
33,23,5,0,1,0,90.13846296173756
48,27,12,1,0,1,113.10169037729835
24,25,11,0,1,0,93.2404958893164
22,14,12,1,0,1,89.9613417686702
31,26,19,0,0,1,110.68567881737128
51,16,10,0,1,1,109.96983290793806
40,18,6,1,0,0,94.0820845051821
43,15,13,0,1,1,108.47993809959269
23,20,14,0,1,1,96.82069262231768
38,20,6,0,0,0,93.09149482421664
28,18,10,1,0,1,94.74743483809274
22,21,12,1,0,0,90.59360173966824
27,31,7,1,0,1,91.18786339237076
21,14,9,1,0,1,85.27792396169687
37,12,8,0,0,1,95.1860153081047
23,24,10,0,1,1,91.4769722455482
19,30,4,0,1,0,79.0230363871586
31,19,4,0,0,0,85.28523731285718
26,19,18,0,0,1,102.94707305702316
35,26,10,1,0,1,100.54953712734064
38,10,12,1,1,1,102.2928673060698
36,20,16,0,0,1,104.34423876374667
32,31,14,0,1,0,103.86297951678168
28,9,11,0,1,0,89.27402319885977
26,10,14,1,0,1,94.28613498506763
27,36,8,1,1,0,93.93740506685998
22,16,8,0,1,0,84.38778008265908
29,12,10,0,1,0,91.89570239014668
28,24,15,0,0,1,99.59561252252864
26,15,10,1,1,1,91.79402199430102
34,13,12,0,0,1,98.37758461648733
43,15,11,1,1,0,104.7733891863846
32,8,11,0,0,1,94.66506019661284
39,22,7,0,1,0,95.2614710216386
40,21,11,1,1,0,101.35436034156072
28,18,8,1,1,0,88.43219218570017
49,15,7,1,1,0,103.76424438435043
20,22,11,0,1,0,85.93701205866795
23,12,10,0,1,1,87.49579709927596
26,25,8,1,0,0,88.7258068791599
16,20,9,1,0,0,80.58396064464871
14,25,9,1,1,0,82.66373441965116
35,24,5,1,0,1,93.92209949539183
27,17,8,0,1,0,89.54386929820171
21,19,10,0,1,0,84.26551527500537
38,17,3,0,0,0,88.22827852177096
16,21,6,0,0,0,75.29048104140489
18,23,14,1,1,0,92.77435876037627
32,18,8,0,1,1,93.67249217364872
33,21,9,0,1,0,94.98905796668852
35,15,10,1,1,1,98.5536529363736
11,26,8,0,1,0,78.81832676356494
35,28,13,1,0,0,102.99541047273848
27,20,7,1,1,1,90.84268233013206
21,25,11,0,0,1,91.11961592458924
38,14,10,0,1,0,99.73061266699428
30,23,9,1,1,0,93.89433907415211
34,23,10,0,0,1,97.84376716265862
