defendant_age,judge_experience_years,prior_convictions,public_defender_assigned,charge_severity,public_defender_experience,legal_representation_hours,sentence_length
5,30,0,1,1,9,35,316.466489050866
9,27,0,0,0,11,38,346.2335629753619
11,31,0,1,0,15,39,351.35854836941206
13,25,1,0,1,10,37,339.68216586803106
11,31,0,0,0,9,36,327.69720951950563
13,32,0,0,0,9,36,324.19365063581256
8,27,1,0,0,10,35,318.4538574231107
5,26,1,0,0,11,38,343.4161044892287
12,31,1,1,1,8,38,344.99913600910975
6,32,1,1,0,8,37,332.94285525985305
6,32,0,1,1,8,35,317.4662966231928
8,29,1,1,1,7,35,320.5203981166778
8,34,1,1,0,8,36,323.8907092143625
9,32,0,1,0,10,35,314.5749431715812
10,32,1,0,1,8,38,343.17608689745214
5,26,0,1,1,8,36,327.3638087864982
5,31,1,0,0,12,39,350.00091169562666
9,31,0,1,0,11,39,349.9377735469961
11,30,1,1,1,11,38,343.52507858763653
9,28,1,1,1,9,39,354.93042386593714
14,31,0,1,1,12,40,361.5005950870434
11,30,0,1,1,9,36,329.9853128720572
10,25,0,1,1,9,35,322.2152148668932
10,29,1,1,1,7,37,335.7978559776112
11,33,1,0,0,11,38,343.1864257540345
10,33,0,0,0,13,40,360.2329213543468
11,27,1,1,0,10,38,345.6780223309138
8,33,1,1,0,12,39,352.8090627569753
10,32,0,0,0,8,36,328.14265707136263
8,26,0,0,0,8,38,350.3913216164697
10,28,1,1,0,11,38,343.69686851552274
13,27,1,0,0,9,39,355.1453777961484
8,25,1,0,1,10,36,327.6977168737479
11,29,0,0,1,14,39,351.0222087519714
8,28,0,0,0,12,38,344.00129389184906
9,27,1,0,0,10,37,337.71403884621293
9,31,0,0,1,13,38,343.119510199544
15,26,0,0,1,9,37,340.60530716685673
12,26,1,0,0,9,40,366.1177259801665
12,26,1,1,0,9,38,345.682040806399
7,26,0,1,1,16,39,350.945916507536
9,25,0,1,1,10,36,327.5772471702385
4,29,0,1,1,9,36,324.2275601680979
8,31,0,1,1,8,38,346.32229943457946
6,34,0,1,0,9,38,340.3435542505885
13,29,1,0,1,13,42,380.3506443046951
5,28,1,0,0,9,37,337.1395918390656
9,29,1,1,1,10,37,334.8987133185806
10,29,0,1,0,8,38,345.9002058298927
8,27,0,0,0,10,37,338.6621620852222
10,31,0,0,1,9,40,363.5165886719559
11,28,1,1,0,9,41,373.378799501885
15,29,0,0,1,8,38,343.8674490546689
10,33,0,0,0,12,40,359.5582754825816
6,35,0,0,0,14,37,330.02768930881143
8,29,0,1,0,10,39,355.1615136600579
15,33,1,1,1,11,40,360.41425166150094
15,25,0,0,1,11,38,349.8323867391072
11,27,1,0,1,12,39,354.6367553836641
7,31,0,0,1,9,36,328.0942055262752
12,32,0,0,0,10,38,346.0398749515924
5,31,1,1,1,7,33,302.4402147402043
14,25,1,0,0,12,41,371.4366364964668
10,30,1,1,1,6,37,336.00982233353034
11,28,1,1,0,15,42,376.62362596867297
10,31,1,1,0,7,39,352.54081562539443
10,29,0,0,0,11,40,361.1743460559812
5,26,0,1,0,12,36,326.29459278500303
3,29,0,1,1,10,36,325.03528575872895
7,30,1,0,0,16,39,349.49981934452825
15,28,0,1,0,12,40,364.8772829594477
6,28,1,0,0,10,36,325.2764763774902
11,28,1,1,1,8,38,346.43007875849105
9,28,1,1,1,11,37,335.18626156779044
10,29,0,1,1,11,38,345.24248910436074
6,30,0,1,0,11,36,326.5427843421481
10,30,0,0,0,9,36,325.37086948220485
8,30,1,0,0,9,41,369.1229867399421
14,31,0,1,0,13,40,360.8202178874977
10,28,0,0,0,13,37,336.2572463753575
7,32,0,0,1,13,42,377.9588771017085
7,32,0,0,1,10,39,352.6780795108068
13,29,0,0,0,10,40,364.6975910479817
9,30,0,0,0,10,36,329.1004233470189
14,30,0,1,0,12,38,347.8126548865717
11,27,0,0,0,12,40,359.9017876886735
7,28,0,0,0,9,36,324.3760672239082
10,29,1,1,1,13,39,354.1095337611299
6,25,1,0,0,10,37,337.0202364402253
11,31,1,1,0,10,39,354.18925188401005
12,29,0,0,1,12,39,352.7955293766577
7,28,0,1,1,9,33,301.6692249143173
5,29,1,1,1,11,38,344.0626341293147
6,31,1,1,1,9,37,334.7347085418151
14,30,0,1,1,15,41,370.67172013663935
6,28,1,1,0,10,35,318.99223384614186
16,28,1,1,0,13,39,354.19846442519184
9,26,0,1,0,13,38,343.6746640124043
15,26,1,1,0,8,39,357.1158205496004
12,29,1,1,1,15,39,352.12765221464304
15,32,1,0,1,5,36,327.71054586175785
7,30,0,1,1,12,39,353.3049819821229
7,31,0,1,1,9,39,352.28943034098194
10,31,1,1,1,10,37,333.425646198501
12,31,1,1,1,9,39,355.4914084861482
10,28,0,0,0,11,38,344.53139135955377
11,28,1,1,1,9,38,345.15833837035336
10,28,0,1,0,8,40,362.5694292112715
5,30,1,0,1,8,40,362.3217981020776
10,27,1,1,0,10,39,353.608181829185
11,32,0,0,0,11,39,350.39165731916546
10,36,1,0,0,10,39,349.9114884343368
10,28,1,0,1,4,34,312.7184950427056
5,30,1,1,1,6,33,299.565738359439
9,30,1,1,0,11,39,353.17546320878034
4,27,1,0,0,12,36,324.21026649035
12,29,0,0,0,14,40,361.55031620562073
3,26,1,0,0,12,38,342.62818653252026
13,31,1,0,1,11,41,369.0965307115754
8,32,0,1,0,11,37,333.4109184000292
8,32,0,1,0,9,35,316.8692474335391
14,27,1,0,0,11,41,372.2881490411843
8,29,0,0,1,9,38,344.417682038531
11,33,1,0,0,8,38,343.2928089422824
8,30,0,1,0,11,37,335.68318806716985
11,27,1,1,1,11,38,344.54341454114694
5,31,0,1,0,11,35,315.9587885823267
10,30,0,0,1,8,34,309.5519558202316
11,31,1,1,0,11,38,343.55199169325124
9,29,1,1,1,6,38,347.6974235961382
9,31,1,1,1,10,35,317.21829456519765
6,27,1,0,1,9,39,351.1954959426016
13,27,0,1,0,13,40,365.1318017032448
14,30,0,1,1,9,38,345.4484105084419
7,33,1,0,1,10,37,332.63929381812915
12,31,1,0,1,12,41,370.1579136631682
11,29,0,0,0,9,37,338.04065817883026
8,30,0,0,0,9,35,319.370880543554
10,32,0,0,0,13,40,360.09808096904084
13,29,0,0,0,11,41,373.8019589190112
14,28,1,1,0,11,42,379.9708539579352
6,26,1,1,0,12,38,344.524177970672
12,28,0,0,1,10,36,325.5652053385388
8,34,1,1,1,10,37,332.7884030504592
13,30,0,0,0,8,40,363.3486303190309
13,27,1,1,1,8,38,346.82836926755624
8,29,1,1,1,6,33,303.3618277901813
9,34,1,1,0,10,40,359.5056343352079
10,29,0,1,1,10,36,327.9350838960355
9,27,1,1,0,7,34,309.1832436146344
12,31,0,0,1,14,41,369.76388344693646
14,31,1,0,1,8,39,354.30422234667685
10,29,0,0,1,13,40,363.0950395946656
5,36,0,1,1,12,38,339.131289881862
5,31,1,1,0,8,40,360.3897385470156
11,31,0,1,1,12,37,332.6834818715955
8,29,0,0,1,9,34,310.2592211223291
13,28,1,0,1,11,40,364.7459739922571
10,29,0,0,0,6,36,325.7942559450237
12,32,1,1,1,12,40,360.412989924044
7,32,0,0,1,11,37,333.75378098851667
2,32,1,0,0,10,36,322.89531617154825
6,28,1,0,1,9,35,317.8761681090046
10,29,0,0,1,12,38,343.28254009414786
14,32,1,0,0,11,42,376.296017737866
14,33,1,0,1,12,40,360.4520873211012
11,30,1,0,0,12,39,354.3870022041935
11,31,0,0,1,12,39,353.74934504605005
8,30,0,1,1,7,36,327.97279497808273
7,27,1,1,1,12,40,362.5575224685002
12,26,1,0,0,11,39,356.67440124568515
9,32,0,0,0,14,41,366.4499769154595
9,30,1,0,0,12,43,386.550506135497
10,28,0,0,0,9,36,329.0757241771339
9,31,1,1,0,9,39,351.06770291496025
11,29,1,1,0,10,38,344.4282883923387
9,29,0,1,0,11,37,336.5979702887173
10,27,0,0,0,10,37,335.7361334495649
13,28,0,0,1,13,40,363.3587463155293
7,27,0,1,0,11,39,351.70741085284885
7,27,0,1,0,8,39,353.81207742101094
11,29,0,0,0,7,35,320.0283476238996
8,32,1,0,1,10,38,345.0542592325735
12,29,1,0,1,13,42,378.5426214038277
10,32,1,0,1,10,41,370.5139865070093
8,26,1,1,1,10,41,373.47389551540886
10,33,1,1,1,11,39,350.6363510001245
11,31,1,0,1,11,40,359.0295895963017
11,33,0,0,0,10,40,359.3709325522385
9,30,0,0,0,11,41,368.2148199141616
14,28,1,0,1,10,37,337.9567462828594
15,31,1,1,0,9,39,355.878124190898
8,31,0,0,0,9,39,354.0728830827205
9,28,0,0,0,9,35,317.5193856695049
14,29,0,0,0,13,40,364.8467787547688
13,35,1,0,0,8,40,361.7469200826094
11,27,0,0,1,15,39,353.6478544488993
4,27,1,0,0,14,37,330.9758216296702
12,30,1,0,1,7,41,373.2271067685263
14,29,0,0,1,11,41,372.539888692709
7,26,0,1,0,11,38,345.48093817913207
8,30,1,0,0,10,35,320.2152365023087
5,31,1,1,1,12,37,332.16238720314084
15,25,0,0,0,10,40,365.4329003814552
9,31,0,1,0,10,38,344.8274075732515
9,30,0,0,0,10,37,335.15949051549137
7,32,0,1,1,12,39,352.43850904204106
11,32,0,0,0,9,39,350.5572490653448
14,30,1,0,0,7,36,326.4027038165142
12,27,0,1,1,9,38,346.1135061485713
13,29,0,1,0,13,41,372.7955281308498
8,33,0,0,0,5,36,327.2745119580136
8,34,0,0,1,9,36,324.461195028906
7,26,1,1,0,10,36,325.4023787381081
10,30,0,1,0,8,34,311.3737594743463
8,31,0,1,1,15,41,366.7226875980593
11,28,1,0,0,12,41,370.5830467093012
6,27,0,0,1,12,38,345.25749124706675
7,33,0,1,1,9,37,335.96415839235897
12,30,1,1,0,13,42,382.2692253030157
12,29,0,1,1,10,39,354.13403877136494
5,27,0,1,1,10,34,311.2906973368126
13,31,0,0,1,8,38,345.8544936946824
9,37,0,1,1,11,37,330.6451602942574
9,26,1,1,0,12,41,372.5138957590796
13,29,0,1,1,11,39,352.59084015240626
7,26,0,0,1,12,38,344.4509782413984
12,25,0,0,0,13,37,337.598891932634
7,28,1,0,0,9,36,326.11024838049303
7,28,1,1,1,12,37,330.2964979248853
10,30,1,1,1,10,39,351.81896655925266
11,28,1,0,0,11,39,355.3364186046362
12,29,1,0,0,11,39,352.70974209631765
12,33,0,1,0,9,39,351.495074328577
13,29,1,1,0,8,37,339.62681671765307
10,30,1,1,0,10,39,352.8196079859679
10,30,0,1,1,10,37,336.4529639738888
10,30,1,0,1,11,37,334.89461279047504
9,29,1,0,1,12,38,344.5871244299679
11,29,0,0,0,12,37,336.1372131006089
6,27,0,1,0,10,37,335.5233203228788
10,28,0,1,1,11,38,347.4906169794069
13,28,0,1,1,12,39,355.9874601934782
10,30,1,1,1,13,43,387.608311819284
8,30,0,0,0,13,42,379.23635009451
12,25,1,0,1,6,38,348.9193460905258
11,32,1,0,1,9,40,361.4783239368194
7,29,0,0,1,10,38,341.93308714332886
7,29,1,0,0,16,42,376.6975371948256
9,29,1,0,1,12,38,343.0512709357223
14,26,0,0,0,10,39,357.3883815437858
13,33,0,1,0,8,38,347.1931367782732
9,29,0,1,1,10,37,336.1953315654957
11,32,0,0,1,9,39,354.5536539379353
15,31,1,0,0,9,40,362.51683771905135
11,33,1,0,0,12,41,367.1973453840176
8,34,0,1,1,13,37,331.8556186072739
4,28,1,0,0,12,37,334.4266612150284
12,29,1,0,1,14,40,361.6664431595294
11,33,0,1,1,12,41,368.4109746860649
8,32,1,0,1,8,37,333.80994236823915
8,28,0,0,1,11,38,348.060627335858
10,27,1,1,1,11,39,353.3790117312939
12,29,1,0,1,8,35,317.46547302623406
10,32,1,0,1,12,42,377.6605118829231
11,29,0,0,0,9,36,326.7926392103237
8,30,0,1,0,12,36,324.6339373959925
7,31,0,1,0,10,38,345.07330206088585
6,28,1,0,1,7,35,317.93836079049777
10,30,0,0,1,10,38,348.39425746225646
5,29,0,1,1,11,39,352.5955996863928
9,27,0,1,0,10,37,338.01536683249554
18,30,1,1,1,8,37,339.8349609596315
12,31,1,0,0,13,40,361.77904856303735
9,31,0,1,0,11,37,334.36014674185685
8,32,0,1,1,7,37,334.507401184621
9,28,0,1,0,11,39,352.5721260284387
7,30,1,0,1,12,40,361.1147850053404
11,33,1,1,0,12,39,350.3722399057707
7,31,0,1,1,9,38,342.2158838116429
13,31,0,1,0,11,37,336.3919081278294
10,36,1,0,1,7,38,338.357179701031
13,29,1,0,1,11,41,371.4927840434182
5,29,1,1,1,9,36,325.8449929835539
9,24,1,0,1,9,38,346.6953265704574
6,30,1,0,1,10,36,326.96945883174186
11,31,1,0,1,12,40,359.66031316393475
12,27,1,1,0,12,37,338.92001243011555
11,28,0,1,1,8,37,339.60650439538523
7,30,0,1,1,14,39,351.26641414731995
8,30,1,1,1,14,39,348.4549426222461
12,25,0,0,1,13,41,372.663581825839
14,29,0,1,0,10,38,344.92464303091003
11,31,0,0,1,12,41,371.299951729128
8,31,0,1,0,12,39,349.36241309038496
8,29,1,0,0,8,38,342.5480564980744
10,27,1,1,0,11,41,373.4535203778608
14,30,1,0,1,13,40,361.0031290345551
9,32,0,1,1,14,40,362.50870588968274
9,31,0,0,0,9,36,328.2207574999536
13,28,1,1,0,11,41,372.084762785461
10,27,0,0,1,13,40,364.7222375186671
16,28,0,1,1,11,39,355.1511129632622
10,28,0,0,0,10,39,353.7298179906765
12,27,0,1,0,9,38,344.31714842194634
8,32,0,1,1,12,37,332.25322313508053
11,31,0,1,0,11,36,324.92770353195783
9,32,0,0,1,9,41,368.44309170960025
10,29,0,0,1,10,39,354.2531001962437
11,29,0,1,1,12,38,343.0761717424433
7,27,1,1,0,11,37,334.4415269211264
9,29,1,0,0,13,38,341.48549355953736
7,26,1,1,0,6,35,318.2827105455024
11,26,0,1,1,10,37,339.2048379780072
6,30,0,0,0,9,39,350.21276712621244
10,31,0,0,0,10,38,343.12181834032936
16,28,0,0,0,13,43,390.4479925672768
11,28,1,0,0,7,40,364.1588584961059
8,29,0,0,0,10,38,344.3770295511366
6,30,0,1,0,11,36,325.07451317256374
10,31,0,1,0,8,35,320.6572037658479
10,31,0,0,1,9,41,369.4377812496032
6,25,0,1,1,11,36,326.443542647499
11,31,0,1,1,12,40,360.756667869127
11,29,0,0,1,12,39,354.5851099395375
11,31,0,0,0,10,40,364.6772623700453
7,28,0,0,0,10,36,324.8696323650311
9,30,1,0,1,14,42,374.0447112217688
8,31,1,0,0,11,38,343.1166210440564
16,29,0,0,0,11,41,372.2391960950701
12,32,1,0,1,11,35,316.8517412274211
4,28,0,0,0,10,36,325.0996504807427
12,24,1,0,0,10,41,373.474600516582
12,31,1,1,0,11,40,361.578852723506
9,29,1,0,0,13,41,370.6923780539565
11,30,0,1,0,13,38,344.8795811791659
12,29,0,0,0,10,37,337.3734044220959
8,34,1,1,1,12,38,343.2883418017085
7,31,1,0,0,10,37,334.5454702966876
10,31,1,0,1,11,41,370.127778911661
10,27,1,1,1,10,36,327.5175324380613
10,33,1,1,1,11,40,359.0794880939445
8,29,1,1,0,11,38,342.70443902642285
10,29,1,0,0,8,39,352.50161307295184
8,29,1,1,1,7,36,328.0362942166617
9,32,0,1,0,7,36,326.4666042403771
9,31,1,1,0,12,39,348.0568484988661
12,27,1,1,1,13,38,344.68576133079733
13,28,0,0,0,11,39,358.38974364507214
10,33,0,0,0,10,37,332.8417594005338
8,32,1,1,0,6,36,324.7192118081235
15,28,0,0,1,15,40,363.3998346188117
8,27,0,0,1,10,38,345.4840088152758
6,31,1,1,1,9,37,332.74919615171103
8,30,0,1,0,10,38,342.8803385805347
10,29,1,0,0,9,38,344.3960983334694
13,24,1,1,1,5,35,323.6243995233393
7,29,0,1,1,9,37,335.68917683790016
9,32,1,0,1,8,38,341.6915498773879
13,29,1,0,0,11,42,379.0832832868609
8,29,0,0,1,11,37,333.9592385462004
12,33,0,1,1,9,38,344.82352401191315
8,33,0,0,0,12,39,348.69923118340967
14,29,1,1,0,10,40,362.6003068750432
9,30,1,0,0,9,39,353.56159500329363
3,32,1,1,0,9,35,316.617066675288
10,29,1,1,0,10,39,355.28810775908283
10,30,0,0,1,12,41,367.4777031890402
7,31,0,1,0,11,36,326.7467915992385
11,28,0,1,0,9,37,335.0383930874908
8,32,0,0,1,11,37,333.11652552961505
10,29,1,1,1,11,39,351.7669873543927
10,27,0,1,0,9,38,346.3433939228694
12,31,0,1,1,10,38,343.6163711713811
12,30,1,1,0,9,39,355.12885810574124
11,29,0,1,0,12,38,345.6270975587857
11,29,0,0,1,12,37,339.4009660837143
12,28,1,0,1,9,38,346.56916064258667
14,31,1,0,1,12,43,386.6276675296189
8,26,0,1,0,7,37,339.03956934533346
9,32,1,0,0,9,38,344.2272255935441
9,31,1,0,0,13,40,358.3661445693617
9,29,0,0,1,9,37,338.00972206056684
8,31,0,0,0,11,38,343.1623835252875
7,31,0,1,1,13,40,362.0416464643118
14,33,1,0,0,13,43,387.7075523034153
6,28,1,0,0,10,36,326.2604014844289
14,28,0,0,1,13,37,336.01715231013526
15,30,0,1,1,10,42,379.66530449105113
6,30,0,0,1,11,37,332.44354117723645
7,32,0,0,0,10,39,352.2109822583586
7,28,0,0,1,10,36,325.9216655769784
9,31,0,0,0,10,36,326.50055714853045
7,29,0,0,1,8,36,325.8353961407456
12,28,1,0,1,13,42,377.9692616739221
14,31,1,0,0,10,43,389.31417433340886
9,30,0,0,1,12,39,351.9092817424611
8,28,1,1,1,11,39,354.3051797007715
15,30,1,0,0,11,40,364.03262163464456
11,26,0,0,1,8,36,328.11134450302103
9,30,1,1,1,11,40,363.0165493568414
15,27,1,0,1,13,43,389.6258397124135
6,29,0,1,1,9,37,335.30127304282
14,30,0,0,1,12,39,355.62582046350786
11,28,1,1,0,14,39,352.4636483521897
10,32,1,0,0,12,38,343.1342801723543
9,31,0,1,0,13,40,361.3987332999545
6,27,0,1,1,11,36,327.9839437943885
12,30,0,0,0,11,38,341.6613900078372
14,31,1,0,0,3,36,330.91199880086
8,29,0,0,0,11,40,362.97240027440125
11,29,0,1,1,12,39,355.61226269882866
11,29,0,0,1,15,41,371.6881885604416
13,28,0,0,1,9,37,337.3998981566136
11,28,1,0,0,9,35,318.18946363159745
9,28,0,0,1,10,41,372.8683592260169
9,29,1,0,0,15,42,379.4201631945909
4,28,0,1,1,10,37,336.5108977012346
10,31,0,1,1,8,36,324.2921218263781
10,31,1,1,1,8,38,342.5011831254193
13,33,1,1,1,15,40,362.8927317997911
9,28,0,1,0,9,36,326.7427490474431
10,27,1,1,0,8,37,337.6192691639632
7,28,0,0,0,9,34,308.96767762269724
11,30,1,0,0,9,39,355.6442022766106
6,31,0,0,1,12,38,341.4345268260245
7,25,0,1,0,10,38,346.6393675294586
8,28,0,0,0,8,36,330.0189200563215
9,31,0,0,1,10,41,371.11799237510655
10,30,0,1,1,15,39,351.25859489941104
10,29,1,0,0,13,38,342.7629973052278
16,31,1,0,0,9,42,382.8325165369072
10,26,1,1,1,10,39,353.82617713420416
12,33,0,0,0,12,38,342.0136946292466
8,30,1,0,1,15,41,368.2911881074541
7,28,0,0,0,9,35,317.5896139237261
11,29,1,1,0,13,39,351.92851461071604
12,30,1,1,1,16,42,377.5802515240172
9,31,1,0,0,11,38,342.3352149734088
14,29,1,0,1,11,41,372.7415592665106
9,28,1,1,0,13,39,354.11171374517943
14,27,1,0,1,10,38,345.47704278173484
9,28,0,0,0,8,34,308.83206253905905
8,32,0,0,1,11,36,322.76292679226435
12,31,0,0,1,9,37,333.6117291293655
10,31,0,1,1,9,37,341.31930461907064
7,31,0,1,1,11,37,334.4901442497233
14,26,1,1,0,10,40,362.0861034247757
9,27,1,0,0,11,39,354.7406966956888
7,28,0,1,0,12,35,318.1528262005271
9,26,1,0,1,8,36,330.080176312644
9,29,0,0,1,11,38,344.5673356961102
7,26,0,0,0,12,38,345.7263258151881
12,37,0,0,1,9,37,333.2279076072953
8,32,0,0,0,11,40,360.11768421010794
12,30,1,0,0,9,37,335.9617911504038
14,32,1,0,0,11,42,377.1274578130126
6,30,1,0,1,11,39,352.3605605610243
11,29,1,1,1,8,37,336.7033082776945
7,28,1,0,1,12,39,351.23354312021246
8,28,1,1,1,14,39,353.26569127537323
11,31,0,0,1,10,37,338.3216588895575
16,27,0,0,1,11,39,355.40320665281206
6,32,1,0,1,11,39,350.34504178062963
11,28,0,0,1,9,38,348.14344319709505
7,27,0,0,0,15,38,341.5844761980035
9,29,0,1,1,12,38,344.6861540639064
12,24,1,0,1,13,39,355.9771217273536
10,24,1,0,0,10,39,353.8355558540435
7,32,0,0,1,8,34,308.2139641431987
6,27,0,0,1,9,38,346.196077989717
4,31,1,0,0,10,37,332.2221263642191
10,30,0,0,0,10,38,343.10336488014576
4,30,1,1,1,7,36,325.2707030905787
10,28,1,1,0,10,39,352.6879378579793
10,30,1,1,0,10,39,353.5791421781538
9,31,0,0,0,13,38,344.6743254326162
5,31,0,0,1,11,36,323.37308162791487
7,30,0,0,1,8,37,335.6076993592101
13,29,0,1,0,6,40,366.8522657947255
5,31,1,1,0,6,36,323.84938856966335
7,29,1,0,0,8,37,334.0533517788173
16,28,0,0,0,9,36,330.9908715059251
11,32,0,0,1,7,36,327.2131597127596
10,33,0,1,0,15,39,349.7924894408027
12,31,0,1,1,9,39,355.33461816895726
6,29,0,1,1,9,39,354.3671025066248
11,26,0,1,0,9,36,331.5069220928931
9,28,1,0,1,14,41,372.3414711750757
12,30,1,1,1,12,43,389.6227429001372
15,29,0,0,0,13,43,390.8825926791503
8,32,0,0,1,15,38,342.67763601933274
12,33,0,1,0,8,37,335.21163602319785
6,31,0,0,1,10,35,317.11029950287576
16,32,0,0,1,12,38,344.8202390863256
16,28,0,1,0,8,37,339.1280889349934
7,29,0,0,0,12,37,336.3353369039233
10,29,0,0,1,16,43,389.2436045997384
16,31,1,1,1,9,42,378.3433983717584
16,28,0,0,1,14,39,353.8227864282263
14,34,0,0,1,10,38,341.2734968832559
8,30,0,1,1,12,39,350.6810257076492
7,30,0,0,1,9,36,326.9518354814991
16,32,0,0,1,11,38,346.12238271606407
11,29,0,1,1,13,41,369.43027405299534
9,30,1,1,1,14,40,359.3739711550282
13,35,1,1,1,11,40,361.5590879218448
7,30,0,0,0,13,41,369.9221924490427
10,28,1,1,1,8,36,325.6110632088066
14,32,0,0,0,12,38,342.38656533692034
11,34,1,0,0,6,39,351.2250236203068
8,30,1,1,0,10,37,333.9362564710043
10,28,1,0,0,8,38,346.8903587949339
11,33,1,0,0,11,40,358.90231629649463
10,30,1,0,0,14,39,352.8254180722728
9,31,1,0,1,9,40,363.70155537189993
10,31,1,1,1,10,39,351.4250990561072
13,28,0,0,0,11,40,362.959833976895
9,30,1,0,0,12,39,351.633526158809
8,31,0,1,0,13,39,353.596246823448
8,32,1,1,0,10,38,342.7328263051643
8,32,0,1,1,15,38,343.91901870259034
16,31,0,0,1,11,39,351.7568171950423
11,31,0,1,1,14,40,359.4614562587009
8,30,0,1,1,11,37,335.8860279669885
3,29,0,1,1,11,34,308.3411987617997
12,31,0,0,0,11,39,352.74017916164735
11,29,0,0,0,7,37,337.3764497215095
9,27,0,1,0,12,36,326.798273916188
13,24,1,1,0,11,38,346.62672163860526
8,35,1,0,1,9,39,352.220693552379
4,28,1,0,1,10,36,324.79610534372705
10,27,0,1,1,11,37,338.284178773171
12,26,1,0,0,11,39,354.78787309928987
10,29,0,0,0,6,38,345.4181547739705
8,28,0,0,0,10,38,341.7940116514924
7,31,1,0,1,10,37,333.67126930932875
9,28,1,1,1,11,40,362.94631670835
9,30,0,1,0,7,35,319.73204242541766
8,28,1,1,1,14,37,333.55926670611586
8,30,1,1,0,12,37,334.1004881732782
7,34,0,1,0,10,37,333.4234556297216
11,34,0,0,1,9,37,335.3662890669399
9,30,1,0,0,8,37,334.88726041501184
14,29,1,0,1,11,38,345.74465670869614
10,33,0,0,1,11,37,334.2532158392773
8,29,1,0,0,13,41,366.98943908481766
7,33,0,1,0,12,35,310.96658742438336
4,29,0,1,0,9,37,336.18045867284627
12,26,0,0,1,5,35,321.2165636311907
8,30,0,0,0,11,38,343.7232498252911
8,31,1,1,1,9,41,370.7981835942437
10,30,1,0,0,8,37,336.58901102273035
12,27,0,0,1,12,39,355.7974052015249
8,30,0,1,0,9,35,319.4714369639356
9,30,1,0,0,10,39,352.6968173780328
15,27,0,1,0,7,38,347.02878376599705
15,28,1,0,0,10,38,345.5482269899429
7,28,0,1,0,11,37,336.1935632590658
10,31,1,0,0,9,39,351.6941055864484
6,29,1,1,1,9,36,324.7307134822345
10,33,0,0,1,10,36,325.4473293053819
9,27,0,0,1,10,38,346.3392591634055
4,33,0,1,0,9,37,335.2246175019099
8,28,1,0,0,10,37,336.4050874251392
13,32,1,1,1,11,38,345.9964655073734
12,30,1,1,1,10,37,338.5709471359838
4,31,0,0,1,13,38,342.1230649622154
5,31,1,0,1,10,38,342.5438093229763
4,32,1,1,0,8,35,315.82601503912247
7,27,1,1,0,11,36,325.64319274331336
13,28,0,1,0,8,36,328.6826833527535
6,31,1,0,0,12,37,331.8895722537089
7,33,1,0,0,13,43,385.4338969965519
11,35,1,1,0,10,39,348.3653196712152
6,32,0,0,1,13,40,359.3859994172595
7,26,1,0,1,13,39,349.19404736208423
7,30,1,0,0,8,38,342.53650487913364
4,31,1,1,0,10,36,324.16633555181284
11,30,0,0,0,13,39,352.74027131315245
9,29,1,0,1,8,38,343.8725086522051
7,32,0,0,1,9,38,341.51084240386393
15,30,0,1,1,10,38,344.17884542241603
8,28,0,1,0,13,39,352.08056134315825
11,27,0,0,0,8,38,348.0552276839689
4,30,1,0,1,16,41,367.1023549817903
11,31,0,0,1,14,42,379.786326195016
8,31,1,0,0,8,36,327.0002695986227
12,29,0,0,0,10,39,355.31586878487616
16,30,0,1,0,11,39,352.4857634999154
