age,education_years,income_level,gender,minority_status,district_wealth,campaign_spending,vote_share
11,28,14,1,0,12,60,593.4577522075517
7,28,12,0,1,10,57,561.3151781259929
7,29,6,1,0,7,54,527.6416869078296
8,31,14,0,0,8,60,590.2800046006658
7,29,11,0,0,8,59,583.3007234541514
6,24,10,0,1,5,54,535.3922502400975
8,28,13,1,0,10,57,561.7480320490706
14,29,13,0,0,7,59,577.166068540995
7,30,8,0,0,7,58,569.6189573204917
11,28,6,1,1,11,59,578.1213949517514
5,32,10,0,0,8,60,587.8056796673574
10,27,13,0,0,7,57,560.4705409882794
8,28,12,1,0,7,57,562.4977250195269
10,25,4,0,1,13,59,581.1991896959751
11,30,3,1,1,9,60,585.8859325966515
13,32,8,1,0,7,62,603.6376752997236
6,29,9,0,0,8,56,549.9555960198126
12,31,6,1,0,9,60,584.7954683130004
10,29,6,1,1,8,56,544.7465448574952
12,29,3,0,0,9,57,558.2669931943526
9,32,9,1,1,8,59,575.5525701331255
7,29,6,1,0,8,57,558.9254159311428
8,31,6,0,0,7,61,595.6885872298313
12,31,10,0,1,9,57,557.4006855309818
9,28,12,0,1,9,59,583.7561987218177
9,31,7,0,0,13,63,614.6123079526432
10,26,9,1,1,11,58,572.6646357357768
11,30,3,0,1,9,62,602.2083996607025
6,29,10,0,1,9,57,560.0496983091177
12,29,5,0,1,10,59,576.1517831305183
11,30,6,1,0,9,61,597.8330330152912
10,27,13,0,0,9,59,585.2721941912564
12,25,8,1,1,7,54,532.2027544369699
14,30,7,1,0,6,59,576.6333871308407
10,32,10,0,0,6,58,567.3644072727772
8,26,9,0,1,6,51,502.2250751752944
12,30,8,1,0,10,58,565.6614741840592
14,30,8,0,0,8,60,584.8574344855718
9,31,13,0,0,13,63,617.406947516872
8,30,13,0,0,11,57,559.936980466861
6,31,6,1,1,9,59,577.4556123156684
10,29,7,0,0,6,57,558.3624843104122
13,32,10,0,1,8,61,597.1997907434942
12,29,3,0,0,5,59,577.4078296574781
9,29,5,0,0,8,59,580.3627997731777
16,31,7,0,0,8,65,636.6657147008781
12,27,6,1,0,6,54,530.9335891904664
9,26,7,0,0,8,57,563.8349713967311
14,28,10,0,1,11,60,590.4643069760164
5,29,9,1,1,6,57,560.4160318764833
9,31,7,0,1,9,58,567.5090001131803
7,29,3,1,0,8,60,587.7451003277724
8,29,12,0,1,8,59,579.7145313183757
8,29,11,1,0,10,57,561.2631770353589
14,29,6,0,1,10,61,596.5316906839008
7,29,2,1,0,10,59,575.2193393764514
14,27,9,0,0,13,63,620.4396410004871
12,29,6,0,1,12,62,606.4905870208368
12,31,3,1,0,10,60,582.4457175406574
9,27,6,0,0,9,58,569.4324572564581
10,29,9,0,0,8,57,557.2432208876857
6,31,9,1,1,9,58,566.0067614471233
10,30,4,0,0,10,59,574.632102235189
11,29,5,0,1,9,61,598.1239664370744
6,24,10,0,0,8,55,547.1091500653531
7,29,5,0,0,12,59,575.9945284877816
14,25,15,1,0,4,54,539.0314117188951
7,30,7,1,0,9,58,567.5868191793294
7,31,10,1,0,11,62,608.6849249684278
8,27,10,0,0,9,56,551.9047350843489
7,24,12,0,0,8,54,539.3682902624504
8,25,14,0,0,7,51,505.66923301748335
11,30,10,0,0,7,57,560.5220013123821
9,33,13,0,1,13,63,614.4363887272638
8,31,9,1,0,6,55,534.2638063275035
8,29,12,0,1,10,59,580.7357644687905
10,31,3,0,0,5,58,566.0866007816907
6,28,12,1,0,10,56,550.4990427048507
11,31,4,0,1,11,64,623.7875722765677
9,25,6,1,0,11,57,563.016052698125
12,26,5,0,0,9,56,550.6791598165046
12,28,9,0,0,7,58,572.0563189985505
8,30,13,0,1,9,57,558.1139935419163
9,27,2,0,0,11,59,577.8187050412379
14,32,9,1,0,10,63,613.8413441328536
9,29,5,1,1,8,58,570.9221637517829
10,27,7,1,0,12,57,559.1970853304653
6,31,9,1,1,9,60,586.0125242638044
9,27,9,0,0,12,60,592.6894488053817
9,28,6,1,0,10,57,556.5733432937283
13,31,5,0,0,12,63,612.0369412225518
8,31,6,0,0,13,61,596.4650747374071
11,29,6,0,1,11,62,605.320166889771
14,30,10,1,0,7,58,566.4404279143075
14,28,9,0,1,7,61,597.3694939995136
10,31,8,0,0,6,62,609.6805570103255
10,33,8,1,1,6,59,572.9566697929329
6,28,10,0,0,10,57,562.5981614665022
8,30,3,1,1,7,56,545.9942629040182
6,32,6,0,0,10,60,582.6420611154817
7,30,7,0,0,9,60,587.5631128436248
10,26,5,1,0,8,56,549.7629668375429
11,29,10,0,0,8,57,560.5034659689529
4,30,14,0,0,8,57,562.7330896077508
13,26,10,1,1,8,59,584.5528339720445
6,30,4,1,0,4,53,517.8858277519118
15,29,10,1,0,7,59,577.7659816220036
12,28,6,0,0,7,59,578.7872522884471
4,30,7,0,0,7,58,569.7140460770718
13,30,8,0,1,3,57,558.6506533428344
7,32,7,0,0,7,60,588.1458258244752
9,30,11,0,1,9,62,608.4141780543803
11,31,10,0,0,10,61,595.3227911722508
7,27,11,1,0,8,56,555.1538522016864
11,31,6,1,0,13,63,612.8099287151091
16,27,9,1,0,10,60,591.0807237884432
12,34,11,1,0,9,62,602.8379621904883
10,32,10,0,1,10,64,624.5870427298314
8,27,8,0,1,11,59,579.3755118583
7,31,6,0,0,8,59,578.2118068345546
12,28,9,0,1,11,60,587.0410052812681
15,31,4,0,0,13,67,653.052347723462
9,27,7,0,1,8,58,570.3064182428984
14,27,5,0,0,8,59,580.1961609055083
9,29,5,1,0,9,60,586.4817747211433
15,30,9,1,1,11,62,606.4247316385292
7,33,5,0,0,7,60,584.5096080995207
3,35,8,0,0,5,59,575.5767234387997
10,28,11,1,0,12,61,601.1127928424644
10,31,7,1,1,9,58,564.8475777016531
7,28,10,0,0,11,58,573.1728981340118
5,30,5,0,1,12,61,595.8226305126801
8,27,8,0,0,9,56,554.0633418930789
12,30,1,0,0,10,62,600.8634929045649
12,28,8,0,0,8,58,569.663133710729
6,28,9,1,0,10,58,571.8322433305866
11,27,10,0,1,5,56,553.7025518427769
12,33,10,0,0,9,60,586.431780886993
10,30,6,0,0,7,60,588.8235260878704
3,25,5,0,0,9,53,524.5422077529981
12,29,10,0,1,8,61,599.5161402279806
7,27,4,0,0,7,59,578.2793845087978
13,30,8,0,0,10,58,568.6928057321596
16,26,7,0,0,9,60,590.8000531739475
23,32,5,0,0,7,66,642.9537695486263
12,32,8,0,0,8,62,603.6317875099979
3,26,7,1,0,7,54,533.2682634631644
11,30,4,1,1,11,60,582.7188782910961
5,31,11,1,0,8,58,569.0041084865294
12,26,9,0,1,7,57,564.3591467929441
8,36,8,1,0,5,59,571.3067231175239
6,30,8,1,0,6,59,578.9441828166779
9,26,4,0,1,8,55,537.5088103720059
8,28,4,0,1,9,58,567.7402189555015
9,29,9,0,0,8,59,582.1350744956444
13,27,7,0,0,7,59,580.6871758203612
8,29,12,1,0,8,57,559.9230056843012
9,29,4,0,0,11,61,596.1120337526456
8,29,8,0,1,7,57,560.9079761907498
9,30,7,0,1,8,58,566.7856845708861
12,32,7,0,0,5,59,575.6398291202374
8,32,8,1,1,9,60,587.6131633738219
9,32,11,0,0,12,62,605.3178434620003
13,31,8,1,0,7,61,595.8315424786684
14,27,5,0,1,11,63,616.5990067368107
6,28,7,0,0,10,55,539.2236756638071
11,30,11,1,0,8,58,567.04052504552
14,29,12,0,0,7,58,571.2145516715141
9,32,7,1,0,9,57,555.2932441528928
8,31,4,0,1,7,59,573.9599907650656
12,32,9,0,1,8,57,554.5614592791994
9,28,5,0,0,12,59,576.6062358780305
9,29,9,0,0,9,56,550.3038582997035
10,31,12,0,0,6,60,590.3986154016985
9,28,7,1,0,10,57,559.5053744546424
13,29,6,1,0,10,58,566.0326364387487
11,33,7,0,0,6,60,585.6808988327073
6,31,5,1,0,8,59,573.4823854787504
9,25,0,0,1,8,59,579.3289013436932
9,29,9,0,1,10,59,580.3873700156098
12,32,7,0,0,10,62,606.4156234083458
7,33,7,0,0,6,60,585.6883135509041
13,32,5,0,1,8,64,622.9744074221928
12,29,16,1,0,6,57,563.57691903727
8,30,4,0,1,6,59,573.0541222154375
14,31,8,0,0,10,63,615.4481767154235
7,32,3,0,0,8,59,574.5249066822349
8,28,10,0,0,6,55,542.3963175162054
10,28,3,0,0,8,56,547.9330025443866
11,28,9,0,0,8,57,560.4018215332848
5,27,8,1,0,9,58,571.9994206797571
12,30,5,1,1,10,61,594.0221659557945
6,30,3,1,1,8,57,554.7112960823339
14,28,3,0,1,6,58,564.2471840039316
10,28,5,1,0,7,57,559.0710621091748
7,31,8,0,0,9,59,579.5147436996979
6,28,5,0,1,8,57,560.1440873213226
11,32,5,0,0,6,61,594.5600967553564
11,30,8,0,1,10,60,588.638647121011
11,29,9,0,0,12,60,586.1975995691977
6,28,9,1,0,10,57,560.3542639153703
14,29,1,0,0,7,61,594.573655039873
7,30,10,0,0,8,56,549.0827710313541
13,30,4,0,0,8,58,564.7613382046734
14,27,9,1,1,9,58,570.7534473956773
13,33,4,0,0,7,62,601.5006384150518
8,26,11,0,1,7,54,534.0046123697365
10,24,11,0,0,13,56,555.0302733135248
9,27,12,1,0,7,58,573.9920362489652
9,34,10,1,1,8,63,613.793072496663
7,30,5,1,0,11,60,587.478512411389
8,29,8,0,1,14,62,607.1846240525532
14,30,10,1,1,8,60,587.716015840354
7,29,11,0,0,8,58,573.4566920199524
8,28,1,1,0,7,59,576.7635325282755
6,28,6,0,1,6,54,529.763156024108
7,31,13,0,0,3,59,581.2318534760315
11,31,4,0,0,8,61,592.3001997082488
6,33,10,1,0,9,62,605.4106420818122
6,34,7,0,1,7,63,613.6229585265518
11,26,6,0,0,7,55,542.6508760965921
7,29,1,0,0,9,56,548.3216391287259
10,33,6,0,0,9,60,583.2677205829186
11,27,6,0,0,7,56,552.1873471826639
12,30,6,0,1,7,60,586.687988728899
14,31,4,1,0,11,64,620.5671792798155
10,31,9,1,1,11,59,574.042575361088
7,28,10,0,0,9,57,561.0917531576838
9,28,5,1,1,5,55,538.3289814010017
10,30,10,1,0,11,59,579.5543374358737
11,28,11,0,1,6,57,564.0259534268752
6,27,8,1,1,8,56,548.0259926806185
5,32,6,1,0,11,60,582.2588591623904
6,28,7,0,1,11,59,577.9863143254348
12,34,10,1,1,9,62,604.2584654206834
6,26,10,0,0,5,51,505.0311149740052
12,32,3,0,0,14,65,631.5683867107173
9,30,7,1,1,11,60,586.2177661297405
4,29,11,0,0,11,59,580.5051429317022
5,33,5,1,0,9,61,592.1958714295679
11,30,9,0,0,10,60,585.0901501204719
8,34,9,1,0,11,60,580.6809454700224
10,34,6,0,0,12,63,611.3250869292738
8,32,4,0,0,6,58,564.7845915165606
9,32,3,0,1,7,59,575.6147130484205
13,29,10,0,0,6,58,568.611184803446
11,28,9,0,1,10,59,579.1187462511325
11,31,1,0,1,10,62,601.9495770942566
11,26,7,0,0,9,56,549.737854601609
10,31,7,0,0,7,58,566.717151786557
13,27,2,0,1,11,60,588.0721635474133
7,28,6,0,1,10,57,559.5395117649617
5,29,6,0,0,10,57,558.7852860426324
8,33,12,0,1,13,61,594.6345164303762
9,29,7,0,1,11,59,579.5005009947308
12,29,8,0,0,6,58,570.2668746406226
13,28,8,0,1,9,57,558.0826505247351
11,34,9,0,0,10,65,630.6402109684958
10,28,5,1,0,12,62,607.4412178730197
4,29,11,0,0,9,58,572.3497378857172
12,26,9,0,0,8,55,540.7377049524413
11,32,6,1,1,10,62,603.4753462832996
11,34,7,0,1,9,63,611.6916740226269
10,31,9,1,0,13,61,595.8181811622748
4,25,3,0,1,10,54,535.1709415419352
8,27,3,0,0,8,55,538.8566058693476
11,31,10,0,0,8,62,608.7830830277524
13,28,2,0,0,11,58,566.8146453476224
12,27,6,1,1,9,56,546.0763020833517
3,26,2,0,0,10,56,551.5332607312148
10,28,6,0,0,9,58,569.7230574869673
11,32,10,0,0,6,60,586.8048325043873
9,31,10,0,0,6,56,546.0042488865614
13,31,9,0,1,5,59,577.5640527201334
10,31,11,0,0,6,57,557.8279930456048
12,31,1,1,0,10,63,615.8097187839192
12,29,7,1,0,11,60,588.819225553336
10,28,9,1,0,11,57,559.8225283106176
11,28,11,0,1,10,59,581.0045097940741
12,30,4,0,0,6,60,583.6600047899636
10,34,8,0,0,6,61,593.1248624195749
14,26,5,0,0,11,60,585.5074617724194
4,32,5,0,1,8,60,585.9444407876821
11,30,8,0,0,4,58,569.6593979930396
8,33,11,0,0,11,63,617.1406959591925
11,30,3,0,0,13,62,601.0659677466502
8,31,10,0,1,6,57,557.8398948903754
13,26,7,0,0,10,58,571.3242722057894
13,31,10,0,0,8,58,565.7489054528892
5,30,7,0,0,8,60,588.24493385225
10,32,11,0,0,7,60,586.8178581601239
5,33,8,0,1,6,59,574.8340251179272
3,32,4,0,1,6,57,553.7347932757824
6,29,7,0,1,5,55,540.6221252024482
6,30,8,0,1,8,60,591.1953758240255
12,32,10,0,0,9,63,615.7780041189992
9,26,9,0,0,10,60,594.117323809002
12,28,6,0,0,12,60,584.6746061012509
5,28,10,0,0,11,56,551.0797204801311
12,30,4,0,0,8,61,593.762604123043
8,32,5,1,0,9,57,549.9657487399791
9,31,10,1,0,4,54,528.293979185182
11,27,6,1,0,9,57,560.2523538575673
9,29,5,0,0,10,59,574.6431364917169
10,27,7,1,0,8,58,567.7110471840409
8,30,4,0,0,6,56,546.8002526283082
10,29,8,1,0,7,56,546.6796136627506
5,27,6,0,0,8,56,552.2411035992147
10,30,6,0,1,11,63,616.351248673232
6,23,9,1,0,7,50,495.26417371945183
10,27,10,0,1,10,59,582.4727875915723
8,29,4,0,1,8,59,576.3249967079189
11,28,8,0,0,8,58,570.0509468407442
15,28,8,0,0,7,59,580.0311871810275
12,27,10,0,0,8,58,571.5992926294853
9,29,2,0,1,8,59,578.132592561577
7,33,4,1,0,10,61,590.0845233335393
11,32,6,1,1,4,55,534.7793671798219
12,33,5,1,0,11,65,630.1027670198791
7,29,7,0,1,9,59,578.5587445875115
9,28,4,0,0,8,60,586.1187510972285
10,32,5,1,1,6,60,581.9896469518039
9,29,11,1,1,10,58,566.6637459752629
8,24,8,0,0,12,56,553.2586857850459
8,34,8,1,0,11,62,601.6674183366662
9,31,8,1,1,8,57,559.0732365630324
9,28,11,0,1,9,59,583.0128348607616
13,31,6,1,0,8,58,563.957642879099
15,33,10,1,0,11,63,612.7142258147388
12,27,6,1,0,6,55,537.5047155711368
11,24,7,0,1,7,56,556.3301309323501
13,31,12,0,1,8,57,557.8796320655418
9,32,4,0,0,9,61,593.5050209131548
7,32,4,0,0,12,61,593.8248891321113
9,28,10,1,0,11,58,568.093220564563
7,32,8,0,0,13,64,625.0130867200617
7,31,8,0,0,11,61,596.9912347616831
7,32,8,0,0,5,57,559.7113466397523
10,25,4,0,1,8,57,562.2029671585112
13,29,14,1,1,5,57,562.4339636380465
8,33,5,0,1,9,63,614.1103081959188
12,30,9,1,0,11,61,597.7490079172716
10,28,14,0,1,6,55,543.051271901002
11,30,6,1,0,12,62,605.855392827161
14,27,6,1,0,9,58,568.9620994642137
6,28,13,0,0,10,56,554.7687302466644
13,30,12,1,1,9,62,608.6757376947658
6,27,6,0,1,7,55,540.5773057645307
10,30,3,0,1,11,61,595.7675833968201
8,29,8,0,1,10,60,589.2863170292657
6,26,6,1,0,8,55,542.4810449238555
10,26,7,0,0,7,55,541.605926487223
12,30,6,0,0,10,61,595.4936889372353
11,31,13,1,0,8,59,580.4288889451797
14,26,5,0,1,9,58,571.4909845387929
3,29,10,1,1,11,58,570.1614802869442
9,32,12,1,1,8,58,568.353366974679
11,31,9,0,0,9,62,607.5635160579492
9,33,6,0,0,14,65,632.7430618472039
11,33,8,0,1,7,62,603.4769026680599
11,29,8,1,1,8,61,595.2659279941954
13,28,7,0,0,9,60,591.2066918761224
10,29,6,0,0,11,60,586.0798179980334
4,25,13,0,0,9,55,548.2616735792831
9,29,11,0,1,9,59,582.15358836536
11,34,11,0,0,10,65,631.3378920667441
7,29,11,0,1,8,58,570.8977430528403
5,31,7,0,0,7,56,549.6813263193383
10,33,4,1,0,8,60,582.7967453521488
8,28,12,0,0,10,57,562.103303630366
9,31,9,1,1,8,59,574.8560708694513
8,24,8,0,0,6,52,515.2268821896025
10,31,6,0,0,8,61,593.9907100189862
13,27,7,0,0,9,58,571.4455756109625
10,29,6,1,1,5,57,557.908744716338
8,26,8,1,1,9,54,530.0167157758973
9,27,6,0,0,12,60,589.7424701613596
10,29,7,1,1,7,55,535.8244994270627
12,29,10,1,0,8,58,568.3850600360348
9,32,11,1,0,6,57,556.629835361821
4,34,11,0,1,11,63,614.0719690424995
7,30,5,0,1,6,61,597.5776319050867
13,30,7,0,0,6,59,573.515788245239
8,25,9,0,0,8,57,560.8841392587406
6,26,10,0,1,6,53,524.316221129822
12,29,9,1,0,11,60,587.1385706798474
13,28,6,1,1,7,59,576.5243601265049
7,30,4,1,1,4,58,567.8946778433163
6,30,2,0,0,5,57,557.7517164488067
9,29,8,0,0,8,60,587.9102704503936
8,30,11,0,0,12,61,601.3040566769852
13,32,11,1,1,10,62,605.2681056142974
7,28,5,1,0,10,58,566.5422009570783
7,28,14,0,1,10,58,571.9341619391669
14,25,7,0,0,11,54,533.4182835952239
9,29,9,1,0,12,58,566.4809233572996
8,31,7,0,0,6,59,578.4436765982055
11,31,7,1,0,11,61,593.9644797276543
12,27,12,0,1,7,55,541.3629039070461
10,28,7,1,1,9,57,560.4049113461397
9,33,13,1,1,7,60,585.9892451939701
13,29,10,1,1,11,62,604.8433527145169
6,27,10,0,0,6,55,544.2251770845769
9,30,7,1,0,5,57,559.7891560454395
12,28,8,0,1,8,59,578.7363673099328
12,28,9,1,0,8,57,556.713670583808
9,26,9,0,1,6,54,533.2519279861162
12,30,9,0,0,10,61,598.2525984421192
6,32,10,1,1,10,59,578.4850963105081
7,31,6,1,0,2,57,560.2724902259803
12,28,3,0,0,8,60,586.8021844566251
13,30,4,1,0,9,61,593.7982966580827
9,28,3,0,0,7,58,567.4233403823595
9,31,10,0,1,6,59,576.8450166010679
9,27,8,0,0,7,57,562.3552409220451
13,30,4,0,0,6,61,596.256150056502
8,28,10,1,0,9,58,568.7244666201517
13,29,9,1,0,3,56,550.2805727956147
15,29,10,1,1,10,64,626.9978517594717
6,34,6,0,0,8,60,583.8227940485805
6,29,15,0,0,11,57,560.2778970697647
13,31,4,0,0,10,66,644.9649046131186
10,31,6,0,0,11,60,585.3340271175387
10,26,15,0,0,11,57,567.4000411733849
9,29,8,0,0,7,56,548.9498007003907
5,29,11,0,1,9,55,540.7549041210561
8,31,13,1,1,11,62,607.8399280252706
14,34,9,1,1,8,63,606.9639815743292
8,32,9,1,1,7,60,586.1126054331353
11,27,8,0,0,10,58,569.9393808330628
9,28,14,0,0,10,60,596.554230497166
7,34,9,1,0,11,61,591.9259209773204
13,28,10,0,0,9,60,588.0615053979976
7,28,11,0,0,11,60,589.3777784201163
12,31,11,0,1,10,59,577.8641511025087
8,30,5,0,1,8,59,576.5549379597616
7,28,9,0,0,7,58,569.7014355116805
8,32,6,0,1,11,62,604.1699606359008
9,33,15,0,1,7,61,595.3123975943855
10,27,5,0,0,8,58,570.4468640651841
9,31,6,0,1,8,62,606.3431002663323
6,32,4,1,0,9,61,593.9225956320961
9,36,11,1,1,10,64,620.2153414823433
6,31,12,0,1,7,58,567.4542528179602
10,31,4,0,1,11,61,592.6860812431729
9,30,11,0,0,10,60,589.7564792484038
10,28,11,0,0,6,55,542.2250085846658
3,34,5,1,1,12,62,600.7706711552712
12,34,9,0,1,8,64,620.5300821301117
9,29,6,1,0,9,59,577.6836799649253
7,34,10,1,0,9,60,584.4549328721387
10,30,6,0,1,9,61,597.4608825521935
8,26,7,0,0,8,56,550.536346607204
8,27,11,0,1,7,57,562.7994893158202
9,28,2,0,0,7,57,559.4558315319465
12,32,8,1,1,5,61,595.0092026846884
8,32,4,1,0,11,63,613.7592891233782
7,29,9,1,1,7,57,561.5578321800044
9,30,4,0,0,9,61,597.209930030348
9,27,10,0,0,6,54,532.0298583759258
7,31,10,0,1,11,59,578.2232202545367
11,28,0,0,0,9,60,587.8600206218595
6,30,10,1,1,9,56,548.5300269500395
8,29,10,1,0,9,59,581.2300885474481
15,29,7,0,0,6,58,567.8780207641356
12,33,8,1,0,8,61,590.9779070963588
14,30,9,0,0,10,62,604.6145096486403
11,28,13,0,1,9,57,560.4995250744477
6,28,5,1,0,5,55,541.108617986029
10,30,9,0,0,7,57,558.7398451330237
2,29,0,0,0,11,58,567.7630166957016
12,32,10,0,1,7,61,599.1634052358746
10,30,8,0,0,9,60,588.7966695523514
11,26,13,0,1,10,56,552.999815251345
13,29,11,0,1,10,63,619.6398351818194
9,29,14,0,0,11,60,592.5177223519087
6,28,14,0,0,10,60,593.2475720652882
5,26,10,0,1,7,53,522.6480138286795
7,34,12,1,1,9,63,616.4403101272098
7,30,9,0,0,7,57,559.783644619213
0,28,10,0,1,10,55,542.477608160948
13,27,10,0,0,10,58,572.1872796972208
4,31,10,0,0,9,58,567.1219359719385
8,32,9,0,0,11,61,594.4981528994604
11,31,5,0,1,9,59,573.1660753946828
6,29,7,0,0,10,59,579.644124166405
8,29,5,0,0,6,56,548.5261603780602
14,35,2,1,1,8,63,605.7559404426387
13,32,6,1,0,5,60,584.3299976532736
19,27,6,1,0,8,61,598.3644393034352
13,28,7,1,1,9,57,558.2054053004433
7,30,4,0,1,5,56,550.3140445026406
9,32,7,0,1,10,60,585.3582952287194
13,31,13,1,0,7,61,600.0918047739628
12,31,6,0,0,8,57,557.7604383143123
9,31,8,0,0,8,61,595.902003088816
1,31,3,1,1,9,58,562.7868468800511
10,32,9,1,1,13,64,623.181165998676
8,30,8,0,0,9,58,568.6255398599914
5,32,11,1,1,9,59,576.9323416959148
10,32,9,0,0,10,61,596.1610909103633
9,28,17,1,1,10,56,555.4155022410216
3,29,8,1,0,8,54,531.2893168978499
4,28,6,0,1,9,59,581.7933670175697
12,28,12,0,0,10,58,573.4373473135759
8,29,7,1,0,7,59,579.0214516858566
10,30,7,0,0,7,59,579.442594327211
18,33,11,0,0,6,63,612.4127652071636
9,32,7,1,0,11,64,625.9260869591237
4,28,10,0,1,7,55,543.7404111631238
10,28,12,1,1,11,57,559.1046787354221
8,28,10,0,0,7,53,522.4767683653573
10,27,6,1,0,7,55,538.1080836501701
12,26,15,0,0,8,56,556.2237522201067
8,29,9,0,1,8,58,568.675619554823
10,31,4,0,1,7,59,577.6089035765815
16,28,7,1,1,8,59,577.4900425691574
18,26,11,1,0,10,60,592.2448436685735
6,31,9,1,1,8,59,578.1085037142368
11,28,11,0,0,7,55,540.1789952933141
14,28,5,0,0,8,60,587.4895663207317
11,30,7,1,1,5,56,546.479797071564
13,33,14,0,0,11,62,604.7048543446715
6,30,12,0,0,12,57,561.3303199224863
8,25,7,1,0,8,56,552.8064143924811
12,29,9,1,0,11,62,609.89918839112
10,29,8,0,0,9,59,578.3880050355011
10,29,12,0,1,10,62,610.6179414040578
4,28,8,1,0,5,53,523.3128876053489
6,30,10,0,0,9,59,577.9059825215456
8,28,9,0,0,7,56,549.9598157993754
12,27,1,0,0,5,56,550.4136275376125
5,25,6,0,0,12,55,545.5239525512534
11,30,2,0,0,7,59,574.3023531177246
13,30,9,0,1,7,59,577.7724304797355
9,29,10,0,1,9,62,609.9377839597304
8,27,10,0,0,12,58,573.4561705720025
13,29,14,0,0,7,59,580.7842638155249
4,25,8,1,0,7,54,538.193099266443
15,30,4,0,0,9,62,608.5058974999605
10,27,6,0,1,10,57,559.3807463927453
14,30,4,0,1,10,62,604.5271819908951
8,25,9,0,0,14,59,583.5794551960212
12,29,13,0,0,11,59,581.5235734536923
7,31,9,1,0,6,61,599.1212688027599
8,31,4,1,1,11,63,611.9446441064754
2,28,6,1,0,7,53,520.6092811177199
16,29,8,0,0,6,60,587.2791079697685
14,31,10,1,0,8,62,605.6197170425763
10,28,8,0,1,9,58,569.5001793373173
3,28,8,1,1,8,57,563.1445262213549
12,31,9,0,1,9,60,587.2423366947102
10,32,15,0,1,8,62,609.7304938896117
7,30,5,0,1,11,58,566.7829238925524
13,29,11,0,0,9,59,578.4583301665582
9,32,7,0,1,10,62,602.9918300606187
8,32,16,0,0,11,59,578.2758002184651
7,27,12,0,0,10,56,555.3956941086154
8,28,5,1,0,7,55,539.7039516542359
12,30,2,0,0,9,60,585.097830316412
6,35,6,0,1,7,62,600.1499277150117
