education_years,job_tenure_years,is_union_member,has_dependents,received_training_invite,attended_training,annual_income
2,1,0,0,0,1,48.81793989155775
5,3,1,0,0,0,40.71414892031192
4,3,1,0,1,0,41.513519769837245
5,3,1,0,1,1,44.03239774994446
0,3,0,1,1,0,44.78064975214461
3,2,0,1,1,1,47.34603539396795
5,2,0,1,1,1,46.06470720809362
-1,2,1,1,1,1,47.44774297978845
3,2,1,1,1,1,47.75017924250404
1,4,1,0,0,0,41.45442612625069
4,3,1,1,1,0,42.04281419440656
3,2,1,1,1,1,46.69813736828347
3,2,0,1,1,0,43.79049847448995
3,1,0,1,1,1,47.33575228643159
4,2,0,0,1,1,47.43371429172467
6,3,1,0,1,1,43.056050412234654
0,2,0,0,1,1,47.72254965162941
1,3,1,0,1,0,41.84677651942472
4,2,1,1,1,0,43.77650101057117
1,3,1,0,1,1,47.14656713856613
2,2,0,1,0,1,47.32215957674113
3,3,1,1,1,0,42.454639804345945
1,2,0,0,0,0,45.22465486673603
5,3,1,0,1,1,45.41159030793527
5,3,0,0,0,0,41.87398578922794
4,2,0,0,0,1,46.3774840090317
4,3,1,1,1,1,46.01406703192988
4,3,0,0,1,1,45.116813068287065
4,3,0,1,1,1,46.4302404231161
8,3,0,0,1,0,39.21510948682607
4,3,1,0,1,0,41.06017861416049
5,2,0,1,0,1,47.39772045444231
7,2,0,1,0,0,42.38908539093119
3,3,0,0,1,0,41.85441679524673
6,3,1,1,0,0,40.569717504189946
7,3,1,0,1,1,43.28744051268089
3,3,1,1,0,1,46.51450373930625
4,3,1,1,0,0,40.51545603713564
4,3,0,1,1,1,44.82082367999677
2,3,0,0,1,0,41.30578244157318
5,3,0,1,1,1,44.898034555650185
5,1,0,1,1,1,45.78455191664181
5,2,1,0,0,0,41.13151303269869
4,3,0,0,1,1,45.64132470954467
0,3,1,1,1,0,45.24048513289991
4,2,1,0,1,0,42.93969196177397
6,2,1,0,1,0,41.564439454435565
0,1,0,0,1,1,48.559706501943005
2,3,0,1,1,1,45.1565178641082
4,2,1,0,1,1,46.531048137334544
4,3,1,0,1,1,44.721085839312025
3,2,0,0,1,1,47.29553443529554
1,2,0,0,0,1,48.20236071735481
1,3,1,1,1,0,43.84005117780594
2,3,1,1,1,1,47.63038640561692
0,2,1,1,0,0,44.03296661525488
6,2,1,0,1,1,42.61687067613289
6,3,0,1,1,0,41.94141918534353
6,2,0,0,0,1,45.92681057087665
1,3,1,1,0,1,48.17850061278015
3,1,1,1,1,0,44.23232173213004
0,3,1,1,0,0,43.541968113279054
3,2,1,1,1,1,45.82055517661649
4,2,0,1,0,0,45.34375669399676
4,2,0,1,1,1,46.7238785036881
6,2,1,0,1,0,42.40784682168977
2,3,1,1,1,0,44.27656922595198
3,2,0,0,1,1,46.85752403815372
5,2,1,0,1,1,44.95183415278322
5,1,0,1,1,1,47.09994935799783
4,2,0,1,1,1,47.05675248056083
4,3,0,1,1,0,42.7872308276995
0,2,1,0,1,1,48.59167829295433
5,2,1,1,1,0,41.78845119401699
7,2,1,1,1,0,40.57325517811346
2,3,0,1,0,0,43.53619182193594
9,2,0,0,1,1,44.37406009289413
3,3,1,0,1,1,46.13512370007869
0,1,1,0,1,0,46.58774527800535
3,3,1,0,1,1,46.242189870376095
-1,4,1,0,1,0,44.7084862121105
4,3,1,0,0,1,44.87925510259784
5,3,1,1,1,0,40.028327673863295
3,4,1,1,1,0,42.040739147506926
7,3,0,1,1,0,41.30749655588465
7,3,0,0,1,1,44.66891327559033
4,3,1,0,1,1,43.870156342263
6,3,1,0,1,1,43.83208365406047
2,2,1,0,0,0,43.46730852346539
1,2,1,1,1,1,48.69231686699007
1,3,1,1,1,0,42.45282228868947
5,2,0,1,1,0,43.3959036242172
4,2,1,0,0,0,43.00785192319715
0,3,1,0,0,0,43.58605833261293
3,3,1,0,1,1,45.06233861501418
4,2,1,1,1,0,42.14336163192966
3,2,1,0,1,1,46.35373704505726
5,3,0,1,1,0,41.38846175375741
3,2,1,0,0,0,42.180951792046535
1,2,1,1,1,1,47.79116949361266
3,3,1,0,1,1,45.266942460204206
5,2,0,1,0,0,43.20918517949243
5,2,1,1,1,0,40.86348781624555
3,3,0,1,0,1,46.76449931083725
0,2,1,0,0,0,44.464858917823456
5,2,1,0,0,0,40.50209589103744
4,2,1,0,0,1,45.91093861532787
9,2,0,1,1,0,41.56277264276628
4,2,1,0,1,1,47.30132652103737
6,2,0,0,1,1,45.55802609468488
2,2,1,1,1,1,45.86110007175253
7,2,1,1,1,1,44.68010300049643
1,3,1,0,1,1,45.29447104743336
4,3,0,1,1,0,42.92874091259853
7,3,1,1,0,0,39.71368168862215
0,2,1,1,1,0,44.80952858388103
1,2,0,0,1,1,49.8510554370873
4,3,0,1,0,1,45.72077542632903
3,2,1,1,1,1,47.21035799389074
6,3,0,0,1,1,44.5740993636446
9,3,1,0,1,1,42.541990477965065
2,3,1,0,1,1,43.99989076512935
2,3,1,1,0,0,44.29917056505176
4,2,1,0,0,1,47.98338536638784
-3,2,0,1,1,1,51.38811852771165
6,3,0,0,0,0,39.42052336304199
1,2,1,0,1,0,44.62890108426694
0,1,1,0,1,1,49.8747506806907
6,2,1,0,0,0,40.24247521254118
4,2,0,0,0,1,47.76085351623782
3,1,1,0,1,1,48.0815374648621
4,2,1,0,0,0,40.93537461409626
7,3,0,1,0,1,42.44233245610149
7,2,0,0,1,1,45.55641625502658
6,2,0,0,0,1,46.313769440371416
1,2,0,0,1,1,48.6256166155549
2,2,0,1,0,0,45.36872392537444
3,2,0,0,1,0,41.42749936898502
2,2,1,0,1,1,46.74245819685196
4,3,1,0,1,0,40.58159166171299
5,3,1,0,0,0,42.13645686762221
2,1,1,1,1,1,48.23298899787712
3,3,1,0,1,1,45.43045266802465
3,1,1,1,1,0,42.22509759301694
2,2,1,0,1,1,45.50917341750287
4,2,1,0,1,1,44.46937419168937
5,2,0,1,0,1,45.15433832040845
7,2,1,0,1,1,42.5683806528063
7,2,0,0,0,0,42.34085519943156
3,3,0,1,0,0,42.256026792905736
1,2,1,0,0,0,45.64552160031441
3,2,0,0,0,1,45.42148345636658
1,2,0,1,1,1,49.12472100107276
5,2,1,1,1,0,41.555684190431705
4,1,0,0,0,1,45.89502286927373
5,2,1,0,1,1,45.0145345150719
2,3,1,0,1,0,41.70992387153367
0,3,1,1,0,0,43.227884642408135
0,2,0,0,1,0,44.46722757250749
3,3,0,0,1,0,43.20083330610822
3,2,0,1,1,1,47.095040716639325
7,3,1,1,1,0,38.032385689706345
7,4,0,1,0,0,39.86386565313706
4,2,0,0,0,1,47.71449551729665
2,3,0,1,1,1,46.563881764682165
5,2,0,1,0,0,42.33461162095187
6,3,0,0,1,0,41.260276868011445
5,2,1,1,1,0,41.43996213749377
5,3,0,0,1,1,46.0163762088546
4,2,0,1,0,0,43.94925211961872
3,3,0,1,1,1,47.81493450755619
3,2,0,0,1,1,45.83391062640477
6,3,1,1,1,0,40.04878713137504
4,4,0,0,1,0,42.841921472381244
0,3,1,1,0,0,42.44067745149873
1,3,1,0,1,1,48.83707646674104
4,2,1,0,1,1,48.74546452907383
0,2,1,1,1,1,48.05825947732926
3,3,1,0,1,0,42.64337962873971
1,2,1,0,1,1,44.74467082028378
8,2,1,1,1,0,40.229987897759706
3,2,1,1,1,0,42.52748525692716
5,3,0,1,1,1,44.39200399812396
6,4,0,1,1,0,40.32636357675267
5,1,1,0,1,0,43.02507827820378
5,3,1,1,1,1,44.73599639741964
7,2,1,0,1,0,39.53975017825896
4,3,0,1,0,0,40.85250973459463
2,4,0,1,0,0,41.19705209462601
6,3,1,1,1,1,43.42589406398443
0,3,1,1,1,1,49.06245673613113
0,3,1,0,0,1,48.15770127421348
4,2,1,1,1,1,46.69201336684325
4,2,0,1,1,1,48.18870358507717
2,1,1,0,1,1,48.32682971168325
1,3,1,0,0,1,46.13975914019116
5,2,0,1,0,0,44.57299048652804
3,3,0,1,1,1,44.74002890898731
5,2,1,1,1,0,42.26685302918693
1,2,1,0,1,1,47.15790492146816
6,3,1,1,0,0,39.60575334562203
5,3,1,1,0,0,41.6109184528628
3,2,1,1,1,0,43.66963469539197
2,2,0,0,1,1,47.226050172636256
7,2,1,0,0,1,43.2701827055482
4,2,1,1,0,0,41.535301583348016
3,3,1,1,0,0,43.03066288129487
3,2,1,0,1,1,45.61689016608107
2,2,1,0,1,1,47.73918744624965
2,3,1,1,1,1,48.22790810148091
0,3,1,1,1,0,44.71645387897245
4,3,0,0,1,1,44.62320531123553
4,3,0,0,1,1,45.12371376872227
7,2,1,0,0,1,43.37630250175454
1,3,0,0,1,1,47.19928283756534
8,4,1,1,1,0,40.00798477825887
6,3,0,0,1,1,43.01237794719785
7,2,0,0,1,1,44.03066964541183
6,4,1,1,1,1,43.15430031768029
4,2,1,1,1,1,45.89533171431882
2,3,1,0,1,1,47.22923631949682
1,2,1,0,1,0,44.63259874691085
3,3,1,1,1,0,43.26148294200127
2,3,1,0,0,0,44.0199089274561
3,3,1,1,1,0,42.667486628662026
3,3,0,1,0,1,46.28546213710062
1,2,0,0,0,1,48.95245261295453
0,3,1,1,0,1,46.22893703355404
2,2,0,0,1,1,48.70924338415595
5,3,0,1,0,1,42.72587239010423
1,3,0,0,0,0,44.10074034733164
3,3,1,1,1,0,41.3839310441445
4,2,1,1,0,1,45.68499353762146
5,2,1,0,1,1,44.831137981170166
3,3,0,0,1,1,46.651823821225
0,2,0,0,1,1,48.0129206268415
3,3,1,1,1,0,41.20514268657064
4,2,0,1,1,1,46.48458582824401
0,2,1,0,0,1,48.3142041403466
0,2,0,0,1,0,44.69731887548213
6,3,0,0,1,0,40.46510760953166
2,3,0,1,1,0,44.05272854920636
4,2,0,0,1,1,47.018002373575946
4,3,0,1,1,0,40.19863491104982
7,2,1,1,1,0,41.19026129169277
1,3,1,0,1,1,46.58739711949375
5,2,1,1,1,0,42.40433893120865
0,2,0,0,1,1,47.91716980348604
4,2,0,0,0,1,47.00975729293439
3,3,0,1,0,0,41.42009947100034
4,2,0,0,0,1,46.04771038230934
3,2,0,0,0,1,48.41905681210107
1,3,1,1,1,0,43.150804793187696
4,2,0,0,1,1,45.97058512842167
6,3,0,1,1,1,42.80832802572323
4,3,0,1,1,0,43.16957944004775
4,1,1,1,0,0,43.372299376007206
9,3,0,0,1,0,39.67257504553302
0,3,1,0,1,1,47.39064417604822
5,1,1,0,1,1,46.17864330709554
1,2,1,0,1,1,47.41139257462526
6,2,1,1,0,1,45.81465434342997
2,3,0,1,1,0,44.45112494429044
5,2,1,1,1,0,43.285379178000326
5,3,1,1,1,0,41.41778960064199
4,3,1,1,0,0,40.86242634210854
4,3,1,1,1,1,46.53763705336024
5,3,0,1,1,0,40.76358417879434
1,3,1,1,1,0,42.22909659760739
-2,3,0,0,1,1,47.08185077554242
4,3,1,1,1,0,42.20900151874738
2,3,1,1,1,0,42.914806467098856
6,2,0,1,1,1,46.35529307908821
2,3,1,0,1,0,43.54369304535665
4,2,1,0,1,0,42.381089358074746
1,2,1,1,1,1,46.08353473944072
5,3,1,0,1,1,43.86532934090514
2,2,1,0,0,0,43.62453652674948
1,2,0,0,0,1,46.80418665837036
1,1,1,1,1,1,50.043600072182144
2,3,1,0,1,0,41.685940582773405
7,3,1,1,1,0,38.028258285921424
6,3,0,0,1,1,46.627087330949294
3,1,1,0,1,1,48.29130879837743
2,3,0,1,0,0,43.7102708939455
3,2,1,0,0,0,41.88970632068697
3,3,1,0,1,0,40.32783073341566
11,3,1,1,1,0,36.58780580146594
6,2,0,0,0,0,41.11730590460231
-1,3,1,1,1,1,49.52998701838682
6,2,1,0,0,0,41.30012517181584
3,2,1,0,1,1,46.13442904355119
6,2,1,1,1,1,45.359993947457575
0,2,1,0,0,0,46.02134621302601
6,2,1,1,1,0,40.71456111271384
3,3,0,0,1,1,45.82028727981705
5,3,0,1,1,0,43.52885531535546
4,1,0,0,0,1,46.77592417454802
1,3,0,1,1,1,47.0088898983069
4,2,0,0,1,1,46.34278839964784
3,2,1,0,1,1,45.674391048013305
6,2,1,1,1,1,43.77866107124147
4,3,0,0,1,1,47.03941820519756
3,2,1,1,0,1,46.29402074085249
2,2,1,1,0,0,44.24310470664564
4,2,1,1,1,0,42.9107223598693
5,2,1,0,1,0,43.15768849093302
6,3,0,1,1,1,44.63843394356989
2,3,1,0,0,0,43.35718176447119
2,2,0,1,1,0,45.02563203256668
2,3,0,1,1,0,44.857796940703466
7,3,0,1,0,0,39.98836252396976
1,3,0,0,0,0,44.4338990060816
4,2,1,1,1,1,45.185156885101016
4,3,0,0,1,1,46.74593468097103
0,3,1,1,1,0,44.645835138014256
6,3,1,0,1,1,43.709498838403015
6,3,1,1,0,0,39.306604038481694
2,2,1,0,1,1,47.19420916375618
3,2,0,0,0,0,43.52057726570596
0,2,1,1,1,0,44.22508783203719
7,3,1,1,1,1,43.69602902987714
7,3,0,1,1,0,41.38785493955693
8,2,1,1,1,1,44.52856488998204
7,3,1,1,1,0,39.01792320796076
3,3,0,0,1,0,42.81045614577275
8,2,1,1,1,0,42.8720627136879
5,3,1,0,1,1,45.23561855307939
5,2,1,0,1,1,46.40645082159783
2,3,1,0,0,0,41.262895425180766
5,3,0,1,1,1,44.361315996888166
5,3,1,0,0,0,42.50206643441184
4,2,0,1,0,0,43.18066559005084
4,3,1,0,1,1,44.83253492455647
1,2,1,0,0,1,46.24183515079664
2,3,0,1,1,1,47.15379695809385
7,3,0,1,1,0,41.43601928654376
1,3,0,0,0,0,43.930996084841055
3,2,0,0,1,1,48.70633160182876
4,2,1,0,0,1,47.222528504824034
3,2,1,0,1,1,46.23043857399325
3,3,1,1,1,0,41.90213366714415
3,3,0,0,0,1,47.39722099299554
5,4,1,1,1,0,39.78780079048882
6,2,0,1,1,1,46.734748263620894
4,2,0,1,0,1,45.25825294161577
4,2,1,0,0,0,42.04938652922849
4,3,0,0,0,0,39.4586459682255
5,3,0,1,1,0,41.07102681585302
5,3,1,1,1,0,41.83856511653728
2,3,1,1,1,0,43.91044435308566
3,3,1,1,1,1,46.730458076148366
3,3,0,1,0,0,43.116908949467806
1,3,0,0,1,0,43.08307256653724
1,2,0,1,0,1,49.37740284696712
0,3,1,1,0,0,42.53026875207589
5,2,0,1,1,0,42.44483862951392
0,3,0,0,0,1,50.04105658157354
3,3,1,0,1,1,45.42374559678328
6,2,1,0,1,0,40.75887262536994
4,1,0,0,0,1,47.11839797952136
2,2,1,1,1,1,46.50360688964198
1,2,1,0,0,0,43.63839087096231
2,3,1,0,1,0,42.09771456677579
0,2,1,0,0,0,45.93886116849811
3,3,1,0,1,1,41.54969436750221
3,2,1,0,1,0,43.21799397092917
1,3,1,0,0,0,43.23872401790045
6,3,0,1,1,0,41.7132929171793
1,2,1,0,1,1,46.16366387056485
2,1,1,1,1,1,49.11478242910096
3,2,1,0,0,0,42.36012006464405
5,2,1,1,1,1,44.52021438887821
3,3,1,0,1,1,45.38669664183569
1,2,1,0,1,0,44.24674093549355
8,3,0,1,1,1,43.52337468950466
2,1,0,0,1,1,47.434056491102325
4,3,1,1,1,1,44.18790724097292
0,2,0,1,1,0,44.6291847322318
3,3,1,1,1,0,42.885026550304616
6,3,1,1,0,0,39.11307617770921
5,3,1,1,1,0,41.16677575659149
2,3,0,0,1,1,45.939736695002445
8,3,1,0,1,0,39.00142753474032
2,3,0,0,1,1,43.85446111039204
9,3,0,0,1,0,38.15197200922072
1,2,1,0,1,1,45.57285193429299
2,2,1,0,1,1,47.033808593907054
3,3,1,1,1,1,45.51597006024455
4,3,1,1,1,0,41.29719408468943
5,2,1,0,1,1,43.439026783652274
3,2,1,0,1,1,47.457592462008094
1,2,0,1,1,0,45.17661271590536
2,4,1,0,0,0,41.73331001850275
7,3,1,0,0,0,40.59439018322943
1,3,1,1,1,0,44.136470347283975
4,2,1,0,1,1,45.91618394798097
5,3,0,1,1,0,41.1863263326662
2,2,0,0,1,1,47.62480743746779
3,1,1,1,0,1,46.43789180033906
3,3,0,1,0,0,45.313644520482775
6,3,0,0,1,1,43.022451481582415
4,2,0,1,1,1,47.11022392171573
3,3,0,1,0,0,45.07364414863507
4,2,1,0,1,1,45.69991360122242
4,2,1,0,1,1,45.62284177062805
6,2,1,0,0,0,39.59390656296624
3,3,1,1,0,0,41.96422624362288
2,4,1,0,0,0,42.50908218309112
0,2,1,1,0,0,45.28597857970668
2,3,1,1,0,1,45.29975481343463
1,2,0,0,1,1,47.63012444679946
5,2,1,0,1,0,40.14368988695416
1,3,0,0,0,0,44.25003339110529
0,3,1,1,1,1,48.53766814242601
2,3,0,1,1,1,47.05478933452749
3,2,1,1,1,1,47.312788062914
2,2,0,0,1,1,45.83885576777367
4,2,1,0,1,0,41.8023735649987
0,3,1,1,1,0,45.07690354111032
4,2,1,1,1,0,43.67268104513038
5,3,0,1,0,0,42.61281356931714
6,3,1,1,0,0,42.17172237708528
4,2,1,1,1,0,41.18805116507656
8,2,0,1,0,1,44.85357794104054
4,2,0,0,1,1,45.52414273314852
6,2,1,1,1,0,39.78922754925579
1,3,0,1,1,1,47.65304752283449
7,3,1,1,1,1,45.02243254138732
5,4,0,0,1,0,39.92902280642664
0,3,1,1,1,0,46.30632367098647
1,3,0,0,1,1,47.11481729441835
6,2,1,0,0,1,45.521535580914986
3,2,0,0,0,1,48.35075846637969
3,3,1,1,1,0,42.40346687515349
0,2,0,0,1,1,49.48246258075688
6,3,0,1,1,0,40.190101916102655
4,2,1,0,1,0,43.94729276198578
3,3,1,0,1,0,42.875338721313
3,3,1,1,1,0,43.14213088624537
4,2,1,0,1,0,42.61157527682146
2,3,1,0,1,0,43.35819994069285
3,3,0,1,1,1,44.6487594795484
1,3,0,1,1,1,46.95747554750274
2,2,1,1,0,1,47.8067734661812
1,3,0,0,1,1,48.43333822239701
3,3,0,1,1,1,45.884306943411445
7,2,1,1,0,0,42.95572437416294
0,2,0,0,1,1,48.59878961662431
6,2,0,1,1,1,44.44205753036891
3,3,0,1,1,1,46.134870465880354
0,3,1,0,0,0,42.62437115754261
2,2,1,1,1,0,43.75829238254117
2,3,1,1,1,0,44.47618701367704
3,3,0,1,0,0,42.57692410070937
-1,2,1,0,0,1,48.76043975761406
3,4,1,1,0,0,39.77020891972188
2,3,0,0,0,1,47.92733362383877
4,2,1,0,1,0,43.17997238145122
5,2,1,1,1,1,44.89857232584339
2,3,0,0,1,1,46.30470991366788
4,4,1,1,1,0,41.13088302994266
2,2,0,1,0,1,48.06809034188368
7,3,0,1,1,0,41.30109289971021
6,3,1,1,1,1,42.57582918754204
5,3,0,1,0,0,41.19940329450245
5,3,1,1,0,0,39.95708079367013
6,3,1,1,1,0,40.213757636636686
1,3,1,1,1,0,44.722602544338805
5,2,0,0,0,1,45.94001463563996
2,2,1,0,1,1,46.52507478681799
4,1,1,0,1,0,43.37523605783408
6,2,1,0,1,1,42.95605680227839
0,3,0,0,0,0,43.67274379614394
0,3,0,1,0,0,43.81578373081508
2,2,1,1,0,0,41.67646708785271
4,1,0,1,0,0,43.79733683329824
4,1,0,0,1,1,46.40329980770062
3,2,0,1,1,1,46.3188136329256
3,4,1,1,1,0,41.00290252952295
8,2,0,0,1,1,44.30818808217323
9,2,1,0,1,1,42.381468886454606
2,2,1,1,0,0,43.310315216295926
3,3,1,0,0,0,42.09584994696669
3,3,0,1,1,1,46.10081367285096
4,2,1,1,0,0,43.58530046718911
3,3,0,0,1,1,44.56413506951752
3,2,1,1,1,0,42.69383776850506
4,3,1,1,0,0,42.51958095307501
5,3,1,1,0,0,41.51348028811746
4,2,0,1,1,1,47.63793361866136
4,3,0,0,1,1,43.97571259159218
3,3,1,0,0,0,40.918929969294965
5,2,1,0,0,0,42.51367140280295
7,2,0,1,1,1,44.98280134654868
2,3,0,0,0,1,46.765291686786064
2,3,0,0,1,1,47.52857051766301
0,2,1,1,1,0,44.85292433720278
6,3,0,1,1,0,40.36910300507213
3,2,1,0,0,0,43.67608411689399
0,3,0,1,0,0,43.66002050804657
4,4,1,1,0,0,39.441160121913214
6,3,1,0,1,1,44.77027647574237
0,3,0,1,0,1,47.37131657436866
1,2,1,0,1,1,47.57163747869455
2,3,0,1,1,1,46.938681416036594
2,2,0,1,0,0,45.61075911328383
2,2,0,0,1,1,47.44311911571656
8,2,1,0,0,0,41.428308901316974
4,2,0,1,1,1,47.72956183767033
4,2,1,1,1,0,44.134898864790905
5,3,0,1,1,0,41.74633290896702
2,3,1,1,0,0,42.36486933223363
8,3,0,1,1,0,39.09894645362154
6,3,0,1,1,1,43.90540793949418
4,3,0,1,1,0,41.58093663787432
2,3,0,1,1,0,41.97113764211203
3,3,1,1,1,1,45.69231417113009
3,3,1,0,1,1,45.057752129032586
4,3,0,1,0,0,40.42361599365156
7,2,1,0,1,0,40.22064618985776
8,2,1,0,1,1,43.19191939028294
7,2,1,0,1,1,44.143193253900286
3,3,1,0,1,1,44.95017435436777
0,3,0,1,1,1,48.98063841639624
3,2,0,1,0,1,47.312515039883934
8,2,1,1,1,1,42.18329065693521
2,2,0,1,1,1,46.18819649887463
4,2,0,0,1,1,45.46824922020053
6,2,1,0,0,0,40.88176532771556
0,4,1,1,1,0,42.873617527739874
2,3,0,0,1,1,45.16835635521994
4,2,0,1,1,1,45.05569814611378
2,2,1,0,0,1,45.60329846516954
7,3,1,1,0,0,40.96358431728357
3,2,0,1,1,1,47.58318094140806
1,2,0,1,1,0,45.51340880629808
5,2,1,1,1,1,45.3923677360422
5,3,1,0,1,0,39.77931872279202
1,3,0,0,1,1,46.27908002384648
4,3,0,1,1,0,42.61473214247481
1,3,0,0,0,0,44.8389133412087
4,3,1,1,1,1,45.7637867449082
3,3,1,1,1,0,43.01587729386844
1,3,0,1,0,1,48.147260221584936
4,3,0,1,0,0,43.50216690628323
3,2,1,0,1,0,42.829299154231634
6,3,1,1,1,0,41.79080523404325
3,2,0,0,1,1,46.98642845669029
2,3,0,0,0,1,46.29854440950346
2,2,1,0,0,1,46.94547351639204
7,2,1,1,1,0,40.66012277962598
2,3,1,1,1,0,43.83211829294927
1,2,0,1,0,1,48.35362668324056
1,2,0,1,1,1,48.885237916902696
0,3,1,1,1,0,47.89774190420244
6,3,0,1,0,0,42.73989408722087
4,2,0,1,0,1,47.56321286555401
3,3,0,0,0,1,46.41318039947445
5,2,0,0,0,1,46.35299657351745
1,1,1,0,0,1,47.5567701149848
4,2,0,0,1,1,46.95192924865663
0,3,1,0,1,1,47.27029188778583
0,3,1,1,0,0,43.8009623473795
1,2,1,1,1,0,42.59289800707506
6,2,1,1,1,0,41.12571589009311
1,2,0,1,1,1,49.83798377938662
3,1,1,0,1,1,46.9758362740978
3,2,0,0,1,1,48.67055857017491
5,4,0,1,0,0,39.90617853082978
4,2,1,1,0,1,45.46093669309683
2,2,1,0,1,0,43.80152390444103
4,2,1,0,1,1,45.4763635611798
6,3,0,1,0,0,40.72270016877276
4,3,0,1,1,1,47.30682414931363
5,3,1,0,0,1,44.47434669292767
4,2,1,0,0,1,46.17024373919201
2,3,1,1,1,1,47.23564264478607
1,3,1,1,1,0,43.062251252607226
6,3,1,1,1,0,41.23945945812523
1,2,1,0,1,1,46.525553582816286
2,3,0,1,1,1,45.62291685219749
2,2,1,1,1,0,43.567293555505564
6,3,1,1,1,1,44.28394051085169
5,2,0,1,0,1,45.346327073508114
7,2,1,0,0,0,39.22958264596914
3,2,0,0,1,1,47.01678076022036
4,2,1,1,1,1,46.14353209977723
1,3,1,1,1,0,43.86955670492264
6,3,0,1,0,0,41.96489264495524
4,4,1,0,0,1,42.11602788696496
7,2,1,1,0,0,44.08287731347847
2,1,1,1,1,1,47.54525670927102
5,2,1,0,1,0,43.50751974460619
6,3,1,1,1,0,39.36543046074298
5,3,1,0,0,0,41.54956740969434
5,2,1,1,0,0,43.5725884468656
4,3,0,1,1,1,46.715276836685895
5,2,1,1,1,1,46.55788625957801
0,4,1,0,0,1,47.09641910414717
6,3,1,0,1,0,41.25258657475801
2,3,1,0,0,1,44.49960899589329
2,4,0,1,1,0,42.87280746160882
3,3,0,0,1,1,45.76683393788349
1,3,1,1,1,0,43.8862120356275
4,1,0,1,1,1,46.51664189946417
9,2,0,0,1,1,43.6958857447132
6,4,0,1,1,0,40.29476478611366
6,2,0,0,0,1,44.74298926972752
3,3,1,1,1,1,45.474967728533294
3,3,0,1,1,0,42.05051892612636
4,1,0,0,1,1,46.46443198139221
2,3,1,1,1,1,47.24555200027265
2,2,1,1,1,0,43.50840693386104
4,3,1,1,1,0,41.44480105350695
0,3,1,0,1,0,43.6287943199408
3,2,0,1,0,0,43.793075124436
1,2,1,0,1,0,44.277005821650285
1,3,1,1,0,1,48.10769087101168
0,2,1,1,1,1,48.34421127831588
