individual_age,education_years,gender,rural_residence,minority_status,local_childcare_availability,childcare_subsidy_received,employment_status
8,32,0,0,0,12,44,206.3952401454155
13,31,1,0,1,10,37,179.57315160340482
9,30,0,1,0,7,38,184.7066582499126
10,30,1,0,1,9,39,184.44540269114265
14,31,0,0,0,7,39,183.9162771556002
6,28,1,0,1,11,42,192.55695185450475
13,30,0,1,1,6,36,177.6385882762819
9,27,1,1,0,6,39,184.3286026608633
10,31,1,0,1,9,39,186.5585686372608
12,29,0,0,0,8,41,194.49424032550235
3,29,1,1,1,7,42,198.4742033783861
12,33,0,0,1,5,40,191.68577653493068
9,25,1,0,0,6,37,178.7544477954196
6,26,1,1,1,6,39,183.757968761594
7,30,1,0,1,5,39,189.14093863326747
10,30,1,1,1,7,39,188.2710585824848
14,28,1,0,1,7,35,170.8328991637119
8,28,1,0,0,5,39,185.14180623632012
13,30,1,0,1,9,36,172.76562412390683
9,32,0,1,1,9,40,188.6837218235574
9,28,1,1,0,6,38,183.03356378875625
9,30,1,0,0,7,41,195.05995157674465
9,29,1,1,1,12,41,193.49898909697964
12,30,1,1,0,12,40,189.9261760892518
5,28,1,1,1,6,37,181.43514650154475
7,32,1,1,1,12,41,194.64467296269865
9,32,0,1,0,11,43,201.5998637251433
15,25,1,1,1,10,38,180.89331534574512
7,28,1,0,1,3,39,189.69805066271067
9,31,1,1,1,5,40,191.15635199886336
12,31,0,0,1,8,40,193.80849527139893
9,26,0,1,1,8,38,181.3069543097581
12,31,0,0,0,7,38,184.56303008009112
7,33,1,0,1,11,45,210.24553167531343
10,30,1,0,1,7,41,194.40848237317317
10,27,0,0,0,5,36,175.45815675459798
8,30,1,0,1,7,39,187.7872983089524
9,30,0,1,1,9,40,189.39658250676945
1,28,0,0,1,6,41,198.83735325513143
7,29,1,1,0,7,40,190.86685251387925
11,30,0,0,0,6,38,183.94551125803133
12,31,1,1,1,6,39,188.19036737165484
13,32,1,1,1,6,39,186.090621862492
9,30,1,1,1,7,41,195.53729328544063
5,31,0,0,1,7,40,193.4514323007353
10,28,1,1,1,9,40,189.8155242616561
11,30,1,1,1,9,40,190.32479135424492
7,25,0,1,0,7,38,179.23140454701596
13,26,0,0,0,7,38,181.3111283974368
7,30,1,0,1,8,40,192.4745742503136
12,31,0,0,1,8,40,191.50220241768096
6,30,1,0,0,7,39,186.83313715263805
12,30,0,0,0,6,37,178.65622872443603
9,31,1,1,0,5,38,183.1775421202975
12,25,1,1,1,7,38,181.2760254477409
11,29,0,0,0,7,39,187.4514989390429
11,29,1,0,0,7,38,184.97066052534063
8,28,1,1,0,10,41,193.1540752925595
8,33,1,0,0,8,43,201.3201422930322
11,28,0,1,1,9,38,184.58291181454555
10,29,0,1,0,6,39,187.3720183018385
14,27,1,1,1,10,41,193.7286291127777
9,32,1,1,1,7,40,189.0526757348428
7,28,0,0,1,12,41,193.82758449608264
5,25,0,0,1,9,40,191.14581363927104
9,32,1,1,1,8,40,191.2557339007437
9,27,1,1,1,6,40,188.87359527757312
10,31,0,0,1,7,40,190.9028934504017
10,28,0,0,0,5,36,177.62430732193835
13,30,0,0,1,9,41,192.6861639206585
10,29,1,0,1,10,40,190.2381198876513
9,32,1,1,1,6,40,191.2741087414369
14,33,0,0,0,10,40,187.65396997142904
13,28,0,1,0,7,36,177.7746191518372
11,34,0,1,1,8,39,189.42717330972903
10,30,1,1,1,8,39,191.5828847514609
9,31,1,1,0,9,40,190.13203945319907
11,31,0,1,1,10,41,196.0309741852616
11,27,1,1,0,8,40,190.7000014532741
8,29,1,0,1,7,42,199.9616538096724
8,33,1,0,1,8,42,199.9367208177337
14,29,1,0,1,13,40,190.1867521463951
9,28,0,0,0,7,39,185.18516211154943
11,26,1,1,1,10,38,182.17188062697085
11,29,1,0,1,8,39,189.3333075992824
9,31,0,1,1,5,36,175.19780277626094
5,27,1,1,1,10,43,200.94512722553
7,26,0,0,1,9,38,179.23732931509724
4,30,0,1,1,6,38,183.25722644896047
7,29,1,1,1,6,40,191.11898856369436
8,31,1,0,1,7,41,196.923709021217
4,28,0,0,0,9,41,193.1876380376718
14,32,1,0,0,8,40,190.7647121701704
6,30,0,1,0,7,40,190.9055732381476
9,26,0,0,1,7,38,182.42774108205617
9,29,1,1,0,6,38,183.57897615638456
7,31,0,1,1,12,44,204.24091156713587
11,31,0,0,1,10,39,187.0876117088547
12,33,1,1,1,9,42,198.5173637504588
9,30,1,1,1,6,39,189.4030244042773
10,29,1,0,1,9,39,184.24031390003884
11,27,0,0,1,9,39,185.6572233043038
8,33,0,0,1,8,39,186.9612183409756
7,30,0,1,0,9,40,190.4480328422424
7,32,0,1,0,9,42,197.62831017024396
11,31,0,1,0,8,38,182.459401681182
10,27,0,0,0,7,38,180.6474130348754
16,32,1,1,1,12,40,188.07286097084688
10,28,0,0,0,10,38,181.95185835177145
12,30,1,0,0,9,41,192.435532514564
7,36,1,1,1,7,42,202.14129863314037
8,30,0,0,0,5,39,189.78102921400364
3,31,1,1,0,5,40,193.332182537731
16,30,1,1,1,5,38,182.53826703282752
9,26,1,1,0,8,39,186.2459634070455
10,32,1,0,1,5,40,194.31096326024215
6,27,0,1,1,10,40,189.758400930842
13,27,0,0,0,5,35,172.25997181656393
12,28,1,0,0,8,37,178.00378688142905
8,32,1,1,1,9,40,190.93170472660583
9,32,0,0,0,6,37,180.25197019786023
8,26,0,0,0,11,43,199.84697127115015
10,31,1,0,1,6,39,190.5938418799212
9,32,0,1,0,7,40,194.24541814499707
12,28,1,1,1,8,40,189.38253474257343
11,32,0,0,1,8,37,180.551189409998
8,33,0,0,1,12,45,208.95720118862255
8,28,1,0,0,10,39,184.6657184074909
10,30,0,1,0,7,39,188.8688092366785
8,32,0,1,0,6,41,195.9582901353171
7,29,1,1,0,7,39,184.24831933340732
9,28,0,1,1,8,37,179.53200523711422
13,28,1,0,0,6,35,171.92802024622327
9,25,1,0,1,10,40,189.92676154098984
8,33,0,0,0,8,40,193.5013129675244
11,28,1,0,1,8,40,189.7363032448328
10,30,0,0,1,6,39,187.442463757004
5,29,0,1,1,5,39,189.52637499949893
13,32,0,1,0,10,40,191.59580625065837
11,29,0,1,0,8,40,189.54075412955063
11,30,1,1,0,5,40,189.9007786182083
9,34,0,0,0,4,39,189.68062490691145
10,31,1,0,1,8,41,195.74960623787413
10,29,0,0,0,9,38,183.34480832370397
10,30,1,1,0,6,40,190.6336059386236
7,28,0,0,1,8,41,193.4253126263971
14,28,0,1,0,8,38,185.21170995783652
9,28,1,1,1,7,38,182.71174570500452
15,30,0,1,0,9,37,176.47168706756284
6,29,0,1,1,8,40,191.01793636554487
13,29,1,1,1,9,39,186.48874712504733
11,28,1,1,0,9,38,184.20622220176716
9,26,0,0,1,7,37,179.1457243354737
11,34,0,0,1,7,42,199.49170304831105
6,31,0,0,0,12,44,205.95894934011775
11,30,1,0,1,11,41,193.7892992988177
7,30,0,0,1,7,39,187.4698017162393
13,30,0,0,0,6,40,192.07573162297808
10,29,0,0,1,7,39,189.5841606381146
4,28,0,1,0,6,40,191.01979996049135
9,28,0,1,1,9,38,182.9441157755013
10,31,0,0,1,9,40,191.2254112707827
15,32,0,0,0,6,39,188.23887266757183
12,25,0,1,0,2,34,167.93171779899274
10,30,0,1,1,6,37,182.5403042783841
11,31,0,0,0,8,40,192.818442216114
4,27,0,0,0,8,42,198.714828055905
11,29,0,0,1,9,37,179.0071795223465
7,27,0,0,0,4,39,186.84195370205023
11,29,0,1,1,7,40,193.1704549951437
9,26,1,1,0,5,37,179.02207095457055
5,27,0,1,0,9,39,188.6542477605884
9,29,1,1,0,11,42,196.55749822235575
13,30,1,0,0,7,37,179.63498083609923
10,31,0,1,0,8,39,188.9231400840017
10,30,1,1,0,5,37,179.48803365811042
12,30,1,0,1,8,40,191.21245960157356
11,29,0,0,0,9,39,188.92124210456512
10,28,1,1,0,8,40,188.28562059444437
7,32,1,0,0,5,41,194.68207802434327
11,26,1,0,0,7,37,177.42314783382227
12,31,1,0,0,12,40,186.6060263239992
7,31,1,1,0,7,41,194.61268718746683
11,30,1,0,0,8,41,193.5288669406146
14,31,0,0,1,8,39,188.96175308141613
11,30,0,1,1,7,38,183.0251794732088
11,32,0,0,0,8,39,186.85008234099652
6,29,0,0,1,8,38,182.0937376340269
17,28,0,0,0,8,39,186.4501845369613
6,27,0,0,1,6,38,182.09946537830808
12,28,0,0,0,11,40,188.7942388648325
10,31,0,1,0,12,42,197.22046530431655
8,31,1,1,1,6,39,187.86066332193172
11,29,0,1,0,11,40,185.815904472424
8,31,0,0,1,8,41,195.8389458410581
9,30,0,1,0,5,36,175.85630203949
6,31,0,1,1,6,42,202.6543660844887
10,29,0,1,1,9,39,186.96571581483772
14,30,0,0,0,9,39,185.6514209019106
12,26,1,1,1,5,38,183.48940251372957
12,32,1,1,1,10,41,194.5430056741415
9,31,1,0,0,6,41,193.3471877793917
10,24,0,1,0,7,39,184.36288573109388
6,27,0,0,0,11,44,205.31497858665
12,32,0,1,0,7,39,187.07361359036557
10,31,1,1,1,8,38,182.6812366948576
6,28,1,1,0,9,41,192.34360561909725
7,30,1,1,0,11,45,207.33119899265975
8,28,0,0,1,7,38,184.21589622940743
11,30,1,0,1,11,41,192.39564690730768
7,32,0,1,1,6,39,190.25532137306308
11,27,1,1,1,7,37,176.85792486006235
11,32,1,1,1,3,36,178.66869754639592
13,27,0,0,1,8,37,178.05003476908252
12,33,1,1,0,5,37,178.6446242853636
7,28,1,0,0,7,40,191.39963664073372
7,31,1,1,1,8,42,199.29975787462257
4,29,1,1,1,8,43,202.17925127050972
9,32,0,1,1,4,39,192.44270691025096
6,32,0,1,1,8,39,187.97037701207427
12,30,0,0,1,8,39,188.53175989629665
10,30,1,1,0,6,38,178.77582109537764
10,31,1,1,0,10,39,184.74951957746012
9,27,0,0,1,7,39,189.06891210645745
6,34,0,0,0,12,46,212.3722436457317
7,29,1,1,1,4,40,191.01832717429065
8,26,0,1,0,5,37,182.24987950438984
9,33,1,1,0,9,42,196.4342808086677
13,29,1,1,1,6,39,185.9945490540424
8,29,0,1,1,5,38,183.65274455166903
6,28,1,0,1,8,39,187.0577241379816
5,28,0,1,0,6,40,189.26162870101984
11,28,1,1,0,9,40,189.59889771453015
11,33,0,1,0,8,40,194.50102447233076
6,34,0,0,1,8,41,197.5262118749588
10,29,1,1,0,7,39,188.34339458451572
16,28,1,0,0,10,39,185.70525160268247
8,31,0,1,0,8,40,190.553218894666
15,32,1,1,0,8,40,188.92826369702365
10,32,1,0,0,5,39,189.74881883105937
12,30,1,1,0,7,39,187.2784740618337
12,29,0,0,1,8,37,180.47877659347876
12,34,0,0,1,6,41,194.8849050124162
14,29,1,0,0,7,36,175.20244616389016
9,31,0,0,0,4,39,187.8574253772668
9,28,0,0,1,11,41,190.86413410795032
11,29,1,0,1,8,39,186.269388140982
9,34,0,0,1,8,41,196.356612451583
12,30,1,1,1,6,39,184.84526537380924
11,31,0,1,1,9,40,190.70081692926703
12,28,0,1,0,7,38,181.96420452367343
10,32,0,1,1,7,41,195.51828808196973
8,28,1,1,1,9,41,195.85803649047423
10,35,1,0,1,11,42,199.112256726391
5,29,1,0,0,6,43,204.04319426007032
9,31,0,0,0,7,41,193.85529130339756
10,26,0,0,0,9,40,185.95970099775676
12,26,1,1,0,9,38,180.65848091321627
5,30,0,0,0,2,36,179.63506566141595
10,29,1,1,1,8,41,193.32348748859863
10,28,1,1,1,7,38,181.42545688164125
10,29,0,0,0,7,39,188.36339733934523
14,28,0,1,1,11,41,192.90480979628808
11,27,0,0,1,7,39,188.7853739069137
10,30,1,1,1,5,39,187.6792568032029
2,28,1,1,1,8,41,195.9714825852113
6,32,0,0,0,9,41,195.85223779260545
11,29,1,1,1,6,39,189.15105451113155
3,30,0,1,0,6,40,189.41772076896515
11,33,1,0,0,6,38,181.64956736725887
8,29,1,0,0,9,42,197.1778450326295
8,32,1,0,0,4,38,185.60665089556196
14,31,0,1,1,8,39,189.13220894401556
8,31,1,1,1,10,43,202.24971382020345
11,30,1,1,0,7,41,192.8664172107196
11,31,0,1,1,7,40,191.5865219540136
9,28,1,1,0,8,40,190.23148324187807
7,25,0,1,1,7,38,183.13547999963149
15,29,1,0,0,8,38,182.0738276491442
9,32,1,0,0,6,42,198.39299178635105
5,29,0,0,0,5,39,188.51690820881927
11,30,1,0,0,9,40,190.2150051640352
9,30,0,1,1,9,41,193.431657071614
7,24,0,0,0,8,38,180.62391172034413
9,29,0,1,0,7,40,190.2133366632028
8,29,1,1,0,7,38,182.18620997102764
8,29,1,1,1,7,38,181.18877039300128
15,31,1,1,0,9,36,173.5688162974651
11,27,0,1,0,8,36,173.02075241090924
10,29,1,1,0,6,37,180.14127133506324
11,31,1,0,0,5,40,192.31259246668048
9,27,0,0,0,7,39,186.3730251779924
8,29,0,0,1,5,39,188.54267904544224
9,32,1,1,0,7,38,181.04258506914056
12,25,1,1,1,7,36,177.32287885186236
9,25,0,0,0,9,39,186.4776348549826
9,31,1,1,1,11,44,206.202579534656
7,31,1,1,0,9,40,188.5101193698096
12,32,0,1,1,8,39,188.2726295387841
12,33,0,0,1,3,38,187.25636133878265
13,29,1,1,0,5,38,182.6909927071892
7,28,1,0,0,8,40,189.1930532443283
10,28,1,1,1,10,40,191.1774788792786
10,26,1,1,0,9,39,183.3306683486955
6,33,0,0,1,7,44,207.20009764874757
12,27,0,1,0,5,36,176.06039004667264
10,23,0,1,1,9,40,189.0057783618953
13,32,1,1,1,4,35,174.24738144102284
10,27,1,1,1,10,39,185.4946616477514
2,30,1,1,0,11,42,196.95810985205625
10,27,1,0,0,10,41,190.241837497959
12,28,1,0,0,8,42,197.79743090275272
5,33,0,0,0,8,43,203.89586402221505
5,28,0,1,0,7,38,180.7773352710611
10,29,0,1,1,9,39,184.60185526393892
17,30,1,0,1,7,38,184.9253209897957
7,28,1,1,1,7,41,195.4199723541287
12,29,1,0,1,11,38,181.88356108520225
10,24,1,0,0,8,41,190.00359990924792
9,27,1,1,0,4,35,174.00063078562883
7,32,0,1,1,8,43,202.969063277506
13,30,1,1,1,8,39,186.4049093676265
9,32,0,1,1,5,39,186.0323677855378
12,32,0,1,0,8,39,189.31059717231733
10,26,1,0,0,6,37,177.69114747116464
13,30,1,1,0,7,43,203.2153377310828
11,27,1,1,0,9,40,189.0433912017848
9,28,0,1,1,7,39,188.86135544164176
12,30,1,1,1,5,36,176.59579220961683
11,30,1,1,0,10,39,185.26992808323084
11,27,1,1,1,6,37,178.00989108324276
6,26,1,1,0,5,39,186.39191830208907
6,32,1,0,0,7,43,202.3390824761956
8,26,0,0,0,6,40,190.52092950031215
8,29,1,1,1,9,44,205.56858594717505
11,32,0,0,1,3,37,180.46563891878583
11,26,1,0,1,8,38,182.33981943232516
8,34,1,1,0,10,42,198.1883570001779
7,29,1,0,0,5,39,185.4091540034127
7,27,0,1,1,9,43,202.91486623071796
15,30,0,1,1,10,41,194.45623223584136
14,31,1,1,1,4,35,171.6883184570923
8,29,0,0,0,13,43,199.93512282138565
9,28,1,0,1,4,39,188.43137675405097
11,26,1,0,0,7,36,171.96677584012926
13,31,0,0,0,5,38,182.66536333913209
9,34,0,0,1,7,41,197.35095686118575
13,28,1,0,1,7,38,181.04699441142984
9,30,1,0,1,8,42,199.90367131761607
10,29,1,1,0,6,40,187.4750173907153
7,31,1,0,1,6,39,187.70894340479745
15,28,1,0,0,8,39,185.22838236195423
11,31,0,0,1,6,36,176.3665290077481
10,30,1,0,0,8,40,188.63082723052892
7,28,1,0,0,9,41,192.53681889908256
13,28,0,1,0,6,37,179.21194060802415
16,29,0,0,1,7,39,184.9493821312227
12,31,1,0,1,9,42,198.6783871852347
10,30,1,0,1,6,39,186.9867221718829
11,28,0,0,1,7,37,179.8236793950972
6,27,1,1,0,9,40,188.80019700325428
2,28,0,0,1,11,43,203.27755877797136
10,23,1,1,0,7,39,185.02780434443315
11,33,0,1,1,4,37,184.9793838268738
9,28,0,0,0,11,39,184.27719392036136
10,25,0,0,0,9,37,176.72894347763878
7,32,1,0,1,11,44,205.71547542615696
8,28,0,0,0,8,39,185.97639589218775
12,26,1,0,1,9,38,180.7809254880207
11,33,0,0,1,8,37,180.71852668769372
13,26,0,1,0,8,36,172.7419239558469
15,25,0,1,0,9,33,161.11845563680188
10,27,0,1,1,8,40,188.81699681514635
8,31,0,1,1,7,41,192.79070621371156
7,27,1,0,1,7,39,185.33721811412224
5,29,1,1,0,7,37,177.97488169627044
12,28,0,1,1,10,37,179.4415754080201
13,35,1,1,1,5,40,191.6323544437595
4,28,1,1,1,4,37,180.98746817963436
11,26,1,0,0,7,37,174.35841623670828
11,28,1,0,0,6,37,176.9011764159584
9,32,0,1,1,8,41,194.7025460710796
10,31,1,1,1,6,41,196.02044339781872
9,31,0,0,1,7,39,186.32284348714592
6,30,0,0,1,9,42,198.27396313003624
12,31,1,0,0,6,36,172.392515479244
14,35,0,0,1,5,40,193.87872761952437
9,28,1,0,0,9,39,186.5494953362753
8,34,1,1,1,6,44,208.4654727375188
9,29,1,1,0,9,41,194.1979485571792
9,25,1,1,0,8,39,184.14361606441972
7,27,0,0,0,9,40,191.13879481563143
8,28,0,1,1,8,38,183.7670536308158
10,26,1,1,1,9,40,186.75486228284063
11,26,0,0,0,4,34,168.09836929973005
9,30,0,1,1,8,41,195.88663143882283
6,24,0,1,0,9,39,185.57868989712475
11,30,1,0,1,9,41,194.3288010012918
11,31,1,1,1,7,38,184.00242727578328
10,31,1,1,1,9,41,193.91466351715283
8,28,1,1,0,9,44,204.6514480078355
9,29,0,1,1,9,40,188.4787627275332
12,32,0,1,1,8,40,190.3558322130156
3,30,0,1,0,11,41,193.05384263808315
14,30,0,1,0,9,40,190.5807653100692
9,26,1,1,1,6,38,182.08034206031937
7,28,1,1,1,8,39,188.11068126368951
10,25,1,1,1,10,38,181.35984858891547
9,33,0,0,0,3,39,188.4136324991131
9,28,0,1,0,9,42,198.1905283740288
11,28,1,1,1,7,37,178.16084276041263
7,29,1,0,0,8,40,189.7412786634609
8,31,1,0,0,3,39,189.9245461942648
8,31,1,1,0,7,39,189.33760048693628
13,31,1,1,1,5,38,184.23224461685732
7,32,1,1,0,8,42,199.8782436008171
10,29,1,0,1,7,40,193.96315733890893
16,33,1,1,1,9,38,184.25890523013584
4,29,0,1,1,7,40,191.02128090853213
16,24,0,1,1,7,35,168.06068445661842
8,26,1,0,0,7,39,186.27235806590383
10,28,0,1,0,6,41,194.639197566806
11,30,1,0,1,9,41,195.6567369335852
12,30,1,1,0,7,39,187.8934137267395
11,30,1,1,1,10,43,199.00694084108915
9,26,0,1,0,9,40,190.1827259628861
6,29,1,1,0,6,39,186.51597727467131
13,29,1,0,1,6,39,186.4508332512138
7,31,1,0,1,7,39,188.8240643806081
11,30,0,0,1,7,41,196.6026388931137
11,29,1,0,1,8,39,187.63481812237976
10,30,1,0,1,6,41,197.11812251046868
9,29,1,1,1,8,41,197.3826539184083
14,24,0,0,1,8,38,184.66590643504048
9,32,1,1,0,9,42,199.3936635332564
9,32,0,0,0,8,39,185.86525670587383
10,33,0,0,1,10,43,203.1712383475225
7,30,1,0,0,5,40,190.72240430449887
6,28,1,1,0,9,40,188.34130797749827
5,32,1,0,0,7,42,198.4986872911599
10,28,0,0,1,8,40,190.65715675775863
7,33,0,1,1,12,43,199.81934757689945
