age,education_years,previous_income,working_hours_per_week,gender,union_membership,minority_status,local_unemployment_rate,job_training_intensity,annual_income
10,30,8,17,1,1,1,12,31,307.887724722742
12,27,8,16,1,0,0,8,30,299.3998960530027
7,32,9,15,0,0,1,11,37,363.0524115307688
11,29,7,13,1,0,1,8,34,338.3085169426834
7,25,9,9,0,1,1,14,38,369.7609364233349
10,30,5,15,0,1,0,8,33,329.20080981602524
11,32,13,12,1,1,1,5,33,328.24113917709144
6,29,9,6,1,0,1,9,38,368.9027427276442
6,29,5,14,0,1,0,9,33,327.54862767571404
11,29,11,15,1,0,1,11,32,317.4911917986881
8,28,3,18,0,0,1,14,35,345.72324080706534
8,30,7,11,1,1,1,12,36,353.6407019479519
9,32,12,17,0,0,1,13,36,350.8083560942468
11,31,6,16,0,1,1,10,33,330.00731526763565
16,30,0,16,0,0,0,12,33,330.32779263816155
14,28,7,16,1,1,0,6,28,280.3517010875755
3,29,8,12,0,1,0,7,36,351.68405589842723
11,31,5,16,0,1,0,8,32,320.28919725212404
15,28,5,18,0,1,0,9,25,255.91337307731308
12,29,6,13,0,1,0,7,33,328.15210424446263
9,29,9,12,0,1,1,9,36,354.13793523141874
8,31,3,9,1,1,1,11,40,390.9346765319529
7,28,11,19,1,1,1,13,31,304.5509428625623
9,29,8,14,0,1,1,12,36,352.6391411425145
12,32,17,13,0,1,1,11,35,342.28531497252334
10,28,9,12,0,0,0,9,35,344.65503161550043
10,33,8,15,1,1,0,12,36,352.57196241458166
9,28,14,16,1,1,1,13,30,294.82026430286936
15,31,8,17,0,1,1,13,31,306.7422941918309
6,29,11,13,1,1,0,13,38,369.072551108133
14,29,8,14,1,1,1,14,33,324.7749829968065
12,32,2,12,1,1,1,8,36,356.8180448412485
10,32,5,13,0,1,1,9,36,352.20322768157206
9,28,6,16,1,1,1,8,31,310.3117250160519
8,27,6,13,1,1,1,7,35,347.0073110993755
9,31,4,10,1,1,0,10,38,374.301806047387
9,28,8,14,1,1,0,8,32,319.25855040947425
12,30,4,12,1,1,1,7,32,318.23462843952444
8,32,10,20,1,1,0,11,32,320.07379734017485
9,28,2,8,1,0,1,7,36,358.3109718383723
11,33,9,18,1,1,0,7,30,299.6357877356136
6,26,5,14,1,1,0,8,33,327.2308159690918
6,32,13,13,1,1,0,11,37,360.6447905895834
13,29,7,10,0,1,0,9,38,375.3347534154764
8,29,6,20,0,1,0,10,33,330.3756271102092
9,28,10,9,0,1,1,9,37,360.6609140753265
7,33,11,16,0,1,1,13,39,378.850503779131
12,29,5,13,1,0,0,11,33,328.3759932180758
14,32,7,15,1,1,0,11,33,328.0763872277132
10,27,9,18,0,1,1,10,31,308.31896646810424
9,33,7,12,1,1,1,10,37,363.4536480308375
9,32,2,19,1,1,0,11,33,329.9013714561008
9,30,8,13,1,1,1,12,37,365.335990936674
7,30,11,12,0,1,1,8,34,334.42121713940355
8,32,7,16,1,1,1,11,35,344.6961848337344
12,28,11,11,1,1,1,7,32,316.62440491339123
5,27,8,10,1,1,1,8,37,364.52783274660993
6,30,8,11,1,0,0,10,39,382.6633222613699
10,25,13,16,1,1,1,10,30,297.81557688602976
12,26,8,11,1,1,1,7,35,345.8130614476933
11,29,4,14,1,0,0,7,33,328.68933447815465
12,35,5,13,0,0,1,8,34,336.9218982367595
12,29,7,12,0,1,0,8,35,345.58035967033504
8,28,8,15,0,1,1,9,35,345.39912420858604
5,29,6,15,1,1,0,11,33,326.5116926166276
9,27,12,14,1,1,1,7,31,309.24202673386594
14,28,12,11,1,1,0,11,34,334.155176491061
8,29,11,11,1,1,0,7,35,343.2299486542745
10,30,8,12,0,1,1,7,34,336.3533439407129
10,24,8,13,1,0,1,9,33,329.8662294499057
8,25,1,14,1,0,0,8,35,349.66129284769147
9,29,6,15,1,0,1,10,33,325.8301284097023
9,32,10,12,0,1,1,7,37,362.96769745368726
15,28,13,13,0,1,0,9,34,335.3359804704257
13,27,9,16,0,0,0,11,32,316.1902255436502
9,29,7,10,1,0,1,10,39,382.0767540551867
12,28,9,12,0,1,1,8,36,354.3763579775651
10,31,9,12,1,0,1,8,35,343.16431065204875
14,30,11,14,1,1,0,10,32,315.95046537444586
11,28,12,11,0,0,1,5,33,324.4182940107855
8,27,10,13,1,1,0,11,38,371.4068121851852
8,25,10,18,0,0,1,8,32,316.6941412069394
11,29,11,13,1,1,0,13,34,333.7013764182479
7,32,6,12,0,1,1,11,37,364.4119183944585
10,30,12,13,0,1,0,5,31,309.9807169999169
7,31,3,15,1,0,0,9,38,375.3845236449226
14,26,8,11,0,1,1,5,34,336.57963219540017
7,30,1,9,1,1,0,11,37,363.6442712701981
13,29,2,13,0,0,1,8,33,330.68081530457255
9,29,4,10,1,0,0,6,36,357.3187527622422
5,31,10,12,1,1,0,7,33,324.1795209859778
13,29,1,16,1,1,1,8,32,324.8559358944571
8,33,5,10,1,1,1,9,41,398.7954515563528
11,32,14,18,1,0,0,10,30,297.32131529682
8,28,5,18,0,1,0,13,34,337.1076057080788
10,29,5,17,0,1,1,9,31,310.9772444851062
8,30,15,11,1,1,1,8,36,352.32625960734714
10,25,7,12,0,0,1,7,33,328.4185543360938
12,31,5,15,1,0,0,9,33,327.8202251765728
8,26,0,10,1,0,1,11,37,365.206186788374
8,29,8,16,0,0,1,9,34,337.60255381752705
12,32,7,17,0,0,1,10,33,328.3500404672609
9,25,5,11,1,1,1,12,35,344.9941877383941
10,28,7,11,1,1,1,7,34,337.1456685851641
11,32,9,18,0,1,0,11,35,346.29873833843925
13,32,7,14,1,0,1,8,33,328.6528270538168
11,33,8,12,1,1,1,12,35,343.1293908236904
12,31,9,14,0,0,1,9,33,325.7509123412624
10,27,6,17,0,0,0,13,34,340.2583229609664
10,30,5,19,1,1,1,6,31,310.6066431733244
9,31,7,10,1,1,1,5,36,355.6657935941413
9,30,3,12,1,1,0,9,38,373.67393809261375
12,30,2,15,0,1,1,11,34,340.2505835004597
6,28,11,13,0,0,1,9,36,352.9067572453366
8,28,4,17,1,0,1,9,33,328.7509183089462
10,28,10,15,1,1,0,7,32,316.4276425232417
9,29,9,13,1,0,1,9,35,346.9140648947317
12,29,8,12,0,0,0,12,36,351.9736208915966
9,28,5,12,0,1,1,10,35,345.2369464576586
9,32,6,14,1,0,1,5,35,346.8786359394823
11,30,4,9,1,1,0,10,36,358.1009752155136
7,32,3,11,0,0,0,9,37,368.6667835994025
6,32,4,14,1,1,1,9,34,337.438873955756
5,31,12,11,0,1,0,12,39,378.7438383189142
6,31,5,9,1,1,1,13,42,410.07255675375296
9,24,8,16,1,1,0,9,31,310.7298925567865
5,32,5,16,1,1,0,4,31,311.34677574004905
13,27,9,15,0,1,0,8,31,310.5365870151992
7,29,11,14,1,1,0,8,34,336.8328309057498
8,25,8,9,1,1,1,9,33,326.95625139755333
10,28,9,14,1,1,0,10,34,334.99132471111005
8,30,7,9,1,1,0,12,39,382.12181555813567
5,32,11,8,1,1,1,9,39,379.82307828236577
9,25,7,16,1,1,0,9,31,309.97381063212225
8,28,11,14,1,0,0,9,34,336.1757323910671
8,29,1,13,1,0,1,10,37,365.7323855755564
11,31,10,15,1,1,1,5,32,319.50598204751657
11,28,13,13,0,0,1,12,35,342.31826189225467
10,31,9,13,0,0,0,9,35,345.016672424266
8,32,6,18,0,0,1,6,32,318.7378176948214
11,36,3,21,0,1,1,14,32,320.206857175521
9,29,13,12,1,1,1,9,33,325.56991084305065
13,33,11,9,1,1,1,8,36,351.5717958985798
6,32,6,13,0,1,0,9,36,355.3237778919405
10,32,11,14,1,1,1,10,37,365.22309943989455
17,27,12,14,0,1,0,6,30,300.2131992704036
10,28,4,12,0,1,1,6,33,327.6332844025198
7,31,4,16,0,1,1,7,30,303.93964157286433
6,29,3,12,1,1,1,11,37,363.2853114002242
7,31,5,11,0,0,0,9,38,374.8392396980968
5,33,4,16,0,1,1,11,38,372.50729830355885
9,28,8,16,1,0,1,12,35,344.063177918008
10,30,10,12,0,1,0,9,34,336.40308877342693
6,33,7,14,1,0,0,9,36,357.40091218436606
9,27,10,17,1,1,1,11,31,307.1606370754656
8,31,2,6,1,0,1,9,42,412.72812547196565
11,27,5,10,1,0,1,13,38,373.9612227936692
11,29,7,15,0,1,0,14,33,325.74861653885824
11,27,4,15,1,1,1,11,30,298.4490595265717
8,26,3,11,0,1,0,11,38,376.52692423481744
4,32,8,13,1,1,1,9,37,361.84633153190697
11,29,8,19,1,0,0,8,31,308.5895035239006
12,28,0,10,1,1,1,9,36,355.6004338119501
10,32,16,14,1,0,1,9,34,332.5024424836467
12,30,5,7,1,1,0,12,41,401.7229592569335
10,30,7,11,1,0,1,8,35,346.5851848726552
9,27,7,11,1,0,0,9,34,334.4996862379011
12,33,14,13,1,1,0,9,34,334.8092498436173
8,28,6,16,0,0,0,8,34,339.3188813074451
10,27,7,9,0,1,1,5,36,352.44462972754405
8,30,6,17,1,0,1,7,31,311.17085732256066
8,28,2,12,1,1,1,10,35,349.0187906381616
5,32,12,14,1,1,0,9,35,344.129596939372
11,30,4,10,1,1,1,13,39,382.00820588861626
13,27,10,13,0,1,1,13,35,341.57617107258
11,33,5,12,0,1,1,12,37,364.94752802605706
7,28,5,15,0,1,1,11,36,354.4633138964782
8,32,9,11,1,0,0,8,35,343.4965909311642
10,32,2,16,1,1,0,14,36,357.76805859944176
6,29,9,18,1,1,0,10,34,335.1278142205962
4,31,6,19,0,0,1,10,34,335.62855860588456
8,28,7,10,0,1,0,12,38,370.7167010440454
12,25,7,12,1,0,0,10,36,355.841371795784
6,28,11,17,1,0,1,7,29,290.12469190238585
1,30,6,12,0,0,0,9,38,371.9829191782583
8,32,11,11,1,0,1,13,39,378.36553432202703
11,31,6,14,1,1,1,13,38,373.0823312113756
2,31,2,15,0,1,1,10,37,364.3808490206293
12,29,11,16,0,0,0,12,35,342.5003198299891
8,28,7,11,0,1,0,9,35,344.22232810563844
11,29,10,13,0,1,0,6,34,336.7715736441407
12,33,6,16,1,1,1,12,36,354.36435802109435
10,30,13,13,1,0,0,9,35,340.8642983668292
13,27,10,14,1,1,1,12,35,343.6344210715528
8,32,7,13,1,1,0,10,37,364.1611337919912
13,30,5,13,1,0,1,8,34,340.4351468395659
5,28,11,12,1,1,0,4,33,325.72728746971325
8,32,8,19,1,1,1,10,32,316.7114445795486
7,29,10,8,1,0,1,10,39,378.9670302854665
8,31,12,16,0,1,1,9,32,318.0655342234613
7,32,10,10,1,0,0,10,35,343.1830314170161
9,30,7,10,0,0,1,11,39,383.2340931855971
9,32,7,11,1,1,0,7,34,336.57688890846606
9,33,5,19,0,0,1,9,32,319.6577307685623
10,28,6,17,0,0,1,11,32,321.75562304668927
14,29,7,12,0,1,0,13,38,374.773523365784
8,31,7,14,1,1,0,9,34,336.4667643225638
11,28,9,19,1,1,1,10,32,318.05710066654603
9,26,7,14,1,0,0,9,33,325.41977933747995
12,31,12,18,0,1,1,9,28,282.0388417166162
6,31,11,7,1,0,0,9,38,370.95578914008826
3,29,8,10,1,1,1,10,40,389.63761065587295
14,33,9,13,0,1,1,9,38,375.0864699646929
10,32,5,15,1,0,0,13,37,365.9875147558832
8,28,6,16,1,0,1,5,32,319.7292413336239
6,30,8,16,1,1,1,10,34,335.60069108730653
8,28,7,17,1,1,1,10,34,335.9545223753118
8,31,6,18,1,1,0,10,34,337.774118042962
10,28,6,11,1,0,0,10,38,375.8488800999135
10,29,9,16,1,1,1,11,34,335.98684102068347
12,30,7,15,1,0,1,7,32,320.179987415382
13,36,6,13,1,1,1,9,37,365.3263127193151
10,28,6,10,1,1,1,10,36,354.17813526692805
9,29,3,15,1,0,0,7,33,329.6157952891272
8,30,5,18,0,1,0,11,34,338.12770502664773
8,33,6,17,1,0,1,10,37,365.5809841119838
7,31,4,19,1,1,1,9,31,308.3672521248973
8,32,11,19,1,0,1,13,36,351.71549637528443
8,31,10,16,1,1,1,8,33,328.2476924677089
6,27,3,13,0,0,1,10,36,357.12625019746247
9,31,9,14,0,1,1,12,35,342.4525455246828
10,31,5,17,1,1,1,12,33,329.1729058783931
15,31,8,17,0,0,0,8,32,321.7026500550012
8,28,5,12,1,1,0,7,36,356.186839635545
11,27,12,16,1,0,0,14,31,303.93602797976035
12,27,8,12,1,1,1,8,35,348.68952948721056
6,29,1,14,0,1,0,11,39,381.9756271926474
9,27,8,15,1,1,1,12,34,334.74337417819515
8,29,6,13,1,1,1,8,34,335.9161917913617
13,36,11,14,0,1,1,8,35,345.44694818373847
7,28,7,12,1,1,1,12,37,365.9627532270528
5,27,6,13,1,0,1,10,37,364.3378732518336
8,29,10,14,1,1,1,10,34,335.7200307666257
8,31,9,20,0,0,1,7,31,311.2859565863802
4,28,8,18,0,1,0,12,37,364.18114680446735
12,27,8,10,1,1,1,10,36,352.42102227520377
14,33,7,14,0,1,1,7,32,321.0772576159135
6,31,11,13,0,0,1,11,39,381.19886089220455
7,30,0,18,0,0,1,10,33,329.27120018823007
13,27,1,12,0,1,1,11,34,339.3624637710981
5,31,3,17,0,0,1,14,38,374.2756574536991
8,33,7,18,1,1,1,10,34,336.3996508484205
9,30,7,18,1,1,1,11,35,344.8794876809532
11,24,11,12,1,1,1,11,34,332.46404244411946
12,31,4,13,0,1,0,7,35,349.1562764533929
7,25,11,11,1,1,1,9,34,334.70688607016524
13,31,7,8,1,1,0,10,35,346.03312657908583
8,28,14,13,0,1,1,10,36,350.53476254440744
10,29,10,14,0,1,0,8,34,338.4996282730432
10,28,4,13,1,1,0,8,32,317.4053829790889
8,30,12,14,1,0,1,10,35,345.3309051397958
8,28,7,17,0,0,1,6,30,304.0588917405254
8,28,9,10,1,0,1,9,38,371.18161090757786
13,32,6,15,1,0,0,8,34,339.49578827878685
14,28,7,11,0,0,1,11,35,344.93871419518626
14,28,9,13,1,1,0,8,31,306.9563786674531
13,32,7,12,0,1,1,12,34,335.74862227007776
10,30,6,9,0,1,0,9,37,364.0258255335028
14,31,15,12,1,0,1,13,33,327.0813296590984
15,26,4,13,1,1,0,7,30,305.02207184542624
12,33,4,15,1,0,1,13,36,355.5039223957222
13,30,6,11,0,0,1,11,36,353.2854580836723
6,28,4,14,0,0,1,11,36,356.65342482519816
12,28,5,10,1,1,1,6,36,355.94547933066656
12,30,8,14,1,1,0,9,32,316.62803943151044
10,29,7,15,1,1,1,7,34,337.16521787919027
7,30,12,14,0,0,0,10,35,342.57665024607
11,33,3,14,0,1,1,11,37,365.6929559798658
6,28,3,11,1,1,1,7,35,348.93851311463993
12,27,14,13,1,0,1,12,35,340.8820390297465
13,27,7,7,1,1,1,9,39,380.4757150468585
12,25,10,15,0,1,1,13,35,342.12971756575445
12,33,9,14,1,1,1,7,34,337.5911950061029
7,32,8,15,1,0,0,10,35,346.7454385825245
7,28,5,18,0,1,0,13,32,317.962811075064
8,28,8,15,1,0,1,12,34,334.5704930162276
14,29,11,15,1,0,1,13,32,315.3137300277525
12,27,2,13,0,1,1,8,34,340.5195041778816
6,31,10,10,1,1,0,7,36,353.7731249054814
7,29,8,16,1,1,0,12,34,335.268667487532
12,27,1,8,1,1,1,9,38,377.34001498404666
10,29,4,13,0,1,1,13,37,363.766030821799
10,30,5,15,0,0,1,9,35,346.1106742550633
13,28,13,13,0,1,1,14,37,361.44137226933344
6,28,4,18,1,1,1,9,32,319.111767150487
12,33,12,16,0,0,0,9,33,326.5684441077701
9,29,3,17,1,1,0,9,33,331.48330733110623
9,31,11,14,1,1,1,14,36,350.08807752415595
9,34,5,13,1,1,1,10,36,355.9722355808098
11,27,1,14,1,1,0,7,35,353.3012122296672
18,29,12,15,0,0,1,4,27,275.2748453125273
7,31,2,18,1,1,1,7,33,330.8131294892047
10,27,4,15,1,1,1,8,32,320.8969021494021
10,27,13,11,1,1,1,9,34,334.94781816064045
7,28,3,17,1,1,0,6,32,321.263732632762
9,30,9,16,1,0,0,13,35,344.9611019218768
7,28,5,15,1,1,1,11,35,344.6811902302697
16,37,5,17,0,1,1,6,30,301.66140379295814
10,32,7,15,1,0,1,10,35,344.8214291278558
11,28,8,12,1,1,0,11,36,354.22521630685003
13,27,10,12,1,0,1,11,35,344.0366258342462
8,29,6,12,1,0,1,10,33,328.5038616945653
11,30,9,17,1,1,0,9,31,306.7471199678003
8,32,11,11,1,1,0,11,38,367.8401461607546
11,31,10,17,1,0,0,10,35,341.99509795945073
7,30,7,10,1,1,0,10,37,360.5370181681107
15,29,6,15,0,1,1,10,33,329.6004683660484
9,34,11,8,1,0,1,6,38,369.4628074974379
8,26,7,13,0,1,0,9,34,335.6694604501441
10,27,12,15,0,0,1,10,34,333.6129917945752
11,32,4,9,0,1,0,9,38,373.8281329967255
6,29,6,15,1,0,1,8,33,326.6043399222715
14,28,10,9,1,1,1,12,37,364.1289913511623
11,30,6,14,0,1,1,9,33,330.8805804529633
7,29,9,11,0,1,1,11,37,363.1390775685077
11,30,2,16,0,1,0,12,35,344.906533532184
14,28,7,13,1,1,1,7,30,301.961836987073
10,32,6,15,1,1,1,11,37,363.5893933600312
13,29,5,12,1,1,1,5,33,331.8312054069398
10,30,10,14,1,1,1,9,32,320.3453484205027
10,31,14,6,0,1,1,12,38,367.4860833803604
11,29,6,7,1,1,1,10,36,352.59304391846
13,32,6,14,1,1,0,9,34,337.3883145918921
11,31,7,12,1,0,0,7,33,324.8936761052448
8,29,3,20,1,1,0,12,31,307.19032284927096
