employee_id,post_policy_period,minimum_wage_policy,monthly_income,education_years,job_experience,urban_residence,full_time_status
75,0,1,46.79250734545922,3,10,1,0
76,0,1,47.81383548428902,3,5,1,0
77,0,0,47.68289736508954,3,11,1,0
78,0,1,47.14365825062763,2,5,0,1
79,0,1,48.01010189869385,3,3,0,0
80,0,0,49.38017542038765,2,10,0,0
81,0,0,48.63211485012937,2,7,0,0
82,0,1,47.62930586550376,3,6,1,1
83,0,1,48.9338081327483,3,8,1,0
84,0,1,47.53707105295272,2,7,1,0
85,0,1,47.77398738440289,2,8,1,1
86,0,0,47.81113600316511,3,4,0,1
87,0,0,48.852998078830936,3,6,1,1
88,0,1,47.26616561939066,3,4,0,1
89,0,1,48.5485376364928,4,8,1,0
90,0,1,48.17506584293526,0,6,0,1
91,0,0,49.79456909796348,1,5,0,1
92,0,1,48.07057954923302,2,7,1,0
93,0,1,46.49456755286305,3,2,1,0
94,0,1,47.47952624538495,2,8,1,1
95,0,0,48.05948242043269,3,6,1,0
96,0,1,49.02902991731735,3,6,0,0
97,0,1,49.02326895222908,3,9,0,1
98,0,1,48.06651266059645,2,6,0,0
99,0,1,46.177889967202496,2,6,1,0
100,0,1,48.96267747724932,4,6,1,1
101,0,1,46.75536549889369,0,5,1,0
102,0,1,47.798823602269344,0,3,0,0
103,0,0,50.77082281875809,3,8,1,0
104,0,1,46.58253157817092,3,3,0,0
105,0,0,49.94171305850946,2,5,0,0
106,0,0,48.33960590398095,3,8,1,1
107,0,0,50.03197904301295,4,4,1,0
108,0,1,48.34671006586311,3,5,0,0
109,0,1,48.01178431971855,1,6,0,1
110,0,1,47.67921736030728,2,7,1,1
111,0,0,48.43175234373277,2,6,0,1
112,0,0,50.08873738567297,3,6,1,1
113,0,1,47.40480777395465,2,5,0,1
114,0,1,48.87472377722106,2,7,0,1
115,0,0,48.18085690609908,4,6,0,0
116,0,0,49.35833535206967,3,7,0,0
117,0,1,46.77933838938917,3,6,1,0
118,0,0,49.27713376454776,3,4,0,1
119,0,1,48.987142562282486,2,6,1,1
120,0,0,47.34403221512697,1,7,1,0
121,0,1,47.72532885692678,2,5,0,0
122,0,1,47.80819538067474,0,8,0,1
123,0,1,50.02870581785116,2,8,0,0
124,0,1,48.06580427858312,2,6,0,0
125,0,0,48.01066238061762,3,6,0,1
126,0,1,48.22387946316748,3,4,0,1
127,0,1,48.7911247286423,1,6,0,1
128,0,0,49.95596030453749,2,5,0,0
129,0,1,47.89408535991191,4,7,0,1
130,0,1,47.23353823346421,4,8,0,1
131,0,0,48.48730995342599,3,6,0,0
132,0,0,48.69444625119505,4,5,0,0
133,0,0,50.16003284872952,4,7,0,0
134,0,1,47.00780827085868,4,8,1,1
135,0,0,49.56253381253247,3,5,1,1
136,0,1,48.06859503398219,3,9,1,1
137,0,0,48.44492753080372,2,3,1,0
138,0,1,46.07528895613422,1,6,1,1
139,0,1,47.40533320937615,3,4,1,1
140,0,1,46.58180283729079,3,9,1,0
141,0,0,49.7671829202564,3,7,0,1
142,0,0,49.50269419577604,4,7,1,1
143,0,0,48.720445738850685,2,6,0,1
144,0,1,48.097138115566615,2,7,1,1
145,0,0,50.83529824716312,4,8,0,0
146,0,1,48.84600200482132,2,6,1,0
147,0,0,51.070081394967865,3,10,1,1
148,0,1,48.00630315863335,2,7,1,0
149,0,1,47.88625220749749,2,6,0,0
150,0,1,48.64303759403646,2,8,0,1
151,0,1,48.23924807200013,0,10,0,0
152,0,1,45.23531726794429,1,5,1,1
153,0,0,48.14046961721143,2,6,0,1
154,0,0,48.52010571926736,4,7,1,0
155,0,1,48.193372690445145,2,6,0,0
156,0,1,47.96280443672892,2,7,0,0
157,0,1,47.90309704605621,2,8,1,0
158,0,1,48.470073227989786,3,5,0,0
159,0,1,46.68471830112643,2,5,0,0
160,0,0,48.58297206079455,2,6,0,0
161,0,0,48.304629151862656,4,7,0,1
162,0,0,47.63941357637606,1,5,1,0
163,0,1,47.88900489522782,3,5,0,1
164,0,0,49.26466546325804,3,5,0,0
165,0,1,49.60457551676182,5,7,1,1
166,0,1,47.23624871195063,2,5,1,0
167,0,1,48.21877686494636,1,6,0,1
168,0,1,48.78205504649085,0,5,0,1
169,0,1,50.03919681415632,4,8,0,1
170,0,0,50.75516304980096,3,9,0,0
171,0,1,49.68528472220734,2,7,0,1
172,0,0,50.08338436179446,2,9,1,0
173,0,0,48.266038815626445,4,6,0,1
174,0,1,47.19504593035021,2,10,1,0
175,0,0,49.55837444838517,3,7,0,1
176,0,0,49.4356998439544,2,6,1,0
177,0,1,48.49851612984086,3,8,0,1
178,0,0,48.18313509446892,2,8,1,0
179,0,1,45.579211889031605,3,8,1,0
180,0,1,48.15769724851406,2,4,1,1
181,0,1,49.39407278440042,2,7,1,0
182,0,1,46.57384427253066,2,6,0,0
183,0,0,49.1861608286072,2,7,0,1
184,0,0,47.65936965492224,3,6,0,1
185,0,1,49.63343321112775,2,9,0,0
186,0,0,48.90105458340736,4,8,0,0
187,0,1,47.3671533614617,3,7,1,0
188,0,1,47.54585621297015,3,5,0,1
189,0,1,48.94741057539599,2,7,0,1
190,0,1,48.3885672319861,2,6,0,1
191,0,0,50.06839233388907,4,6,1,1
192,0,0,50.40455032459213,4,5,0,1
193,0,1,46.964523782437226,3,6,0,0
194,0,0,49.38961759007085,2,5,0,1
195,0,0,50.14699858446173,2,5,1,1
196,0,1,48.29697339026064,3,4,1,1
197,0,1,47.13726603173783,2,7,0,1
198,0,0,51.14653269109728,3,8,0,1
199,0,0,48.077273849465634,1,5,0,1
200,0,1,47.63684440670525,1,8,1,1
201,0,0,47.49720327669857,3,5,1,1
202,0,1,47.14090545431469,2,7,1,1
203,0,1,48.61155241837981,2,8,0,1
204,0,1,47.10800831997469,1,9,1,0
205,0,0,45.77027136384687,1,7,1,0
206,0,1,48.50683165627721,3,7,1,0
207,0,0,47.922672295058256,4,9,1,1
208,0,1,47.62959799808289,2,6,0,0
209,0,1,46.19291488876839,2,5,1,1
210,0,0,48.6357362572943,1,5,0,0
211,0,1,47.72029703023925,0,7,1,0
212,0,1,48.242436148894505,3,6,1,0
213,0,1,49.09352560825613,3,8,0,1
214,0,0,49.14924798922189,2,3,0,1
215,0,0,49.77784835780087,5,6,0,1
216,0,0,47.29812126009772,2,8,0,1
217,0,1,47.769729901722535,3,8,0,0
218,0,0,49.41560545499144,2,9,1,1
219,0,0,48.97079737142783,1,7,0,1
220,0,1,48.49354696179326,3,11,0,0
221,0,0,48.54719355011169,4,7,1,0
222,0,1,49.95776934999509,4,9,1,1
223,0,1,48.46659915871933,0,8,1,1
224,0,1,47.28735881424111,2,3,0,1
225,0,0,48.75715535759734,2,9,1,1
226,0,1,48.28933692831388,3,5,1,1
227,0,0,48.71151111362123,2,5,0,0
228,0,1,48.767856617704965,4,9,0,0
229,0,1,48.144115869706255,3,7,0,1
230,0,1,47.65499721267462,5,3,1,1
231,0,1,48.05362781751612,3,7,1,0
232,0,1,48.42711573617101,1,8,0,0
233,0,1,49.33164017404226,2,6,0,1
234,0,0,50.05104983564216,3,8,0,0
235,0,1,48.79547662469352,4,6,0,1
236,0,1,49.165362255939726,4,7,1,1
237,0,0,48.64082602706403,2,5,1,0
238,0,0,48.33805212138978,3,6,0,1
239,0,1,46.832512131971775,4,7,0,0
240,0,1,48.57058711953376,4,6,0,1
241,0,1,47.66236631674585,5,7,1,0
242,0,1,47.52875304534482,3,6,0,1
243,0,1,47.36154951572826,3,5,1,0
244,0,1,49.0935954791432,3,7,0,1
245,0,0,47.76016462058496,1,2,0,0
246,0,1,48.02640622129575,1,5,0,1
247,0,1,47.847580199218726,4,5,1,1
248,0,0,47.8953827620549,2,9,1,1
249,0,1,48.3429760694267,3,5,1,0
250,0,0,49.83059941108161,2,5,1,0
251,0,0,48.94260024158618,0,4,1,0
252,0,0,48.23693051824893,1,7,0,1
253,0,1,46.66448222722482,3,8,1,0
254,0,1,46.9742699727562,3,7,1,0
255,0,1,48.94656006415742,2,7,0,1
256,0,0,47.62067810449572,4,8,1,0
257,0,1,49.45166220013881,2,7,1,1
258,0,1,49.10152377256452,1,7,1,1
259,0,0,48.85721331190604,3,4,1,0
260,0,1,48.384913886471,1,4,0,0
261,0,1,45.68997286379268,4,6,0,0
262,0,1,48.21608293410524,2,7,0,0
263,0,0,48.81195960603565,3,4,1,1
264,0,1,48.448021045128286,2,7,1,0
265,0,0,50.09978913484306,2,8,0,0
266,0,1,47.12092807007582,0,9,0,0
267,0,0,48.07705797035348,3,5,0,0
268,0,0,49.6215748191576,2,7,0,1
269,0,1,47.23871761797001,1,9,0,0
270,0,1,47.40918728569625,2,9,0,0
271,0,0,49.08966043082871,2,3,1,1
272,0,1,50.31786134852837,2,8,1,1
273,0,1,46.11394720321709,1,3,1,1
274,0,1,47.98194710303857,4,8,1,1
275,0,0,50.95808523330851,1,4,0,1
276,0,0,46.80125910210069,3,9,1,1
277,0,0,46.96347909527748,2,6,0,0
278,0,1,48.883090611194376,5,4,1,1
279,0,0,51.49322679395618,3,7,0,0
280,0,0,49.84859119714517,0,5,1,0
281,0,1,47.89200835793905,2,8,1,1
282,0,1,47.74926193466749,3,9,0,1
283,0,1,50.45613348526781,3,6,1,0
284,0,0,50.44729395407449,3,6,1,0
285,0,0,49.09847317416952,3,4,1,1
286,0,1,48.22402513645499,3,6,0,0
287,0,0,50.08315844951096,3,9,0,0
288,0,0,47.47028529958478,3,6,1,0
289,0,0,48.31932446778424,3,6,0,0
290,0,0,48.82572917564255,2,6,1,1
291,0,1,49.283693818501575,3,6,0,0
292,0,1,47.71700359982741,4,6,1,1
293,0,1,48.29584194944594,2,7,1,0
294,0,1,50.07030304388552,1,4,0,0
295,0,1,46.59694853971214,2,8,1,1
296,0,1,48.39646570026724,2,5,1,1
297,0,1,47.313095323333606,1,7,0,1
298,0,0,47.83348027983506,2,3,1,0
299,0,1,47.533003520628455,2,6,1,0
300,0,0,50.96040926437339,5,7,0,0
301,0,1,48.60967697023888,2,4,0,0
302,0,0,49.65670101839508,3,2,1,0
303,0,0,48.481380316647375,1,5,0,0
304,0,1,46.66360897180021,2,7,1,0
305,0,0,48.808270695899616,2,7,1,0
306,0,0,49.154010523879336,4,6,1,1
307,0,1,47.24841666969046,2,7,1,1
308,0,1,47.28925991102791,1,6,1,0
309,0,0,48.04004508626562,3,7,1,1
310,0,1,47.17014043756305,3,3,1,0
311,0,0,48.210912111894345,3,8,1,0
312,0,1,49.05393925096309,3,6,0,1
313,0,1,48.22629493676488,1,6,0,0
314,0,1,47.70721529580572,2,4,1,1
315,0,0,48.05952802512311,2,3,0,0
316,0,0,49.479194552556045,2,9,1,1
317,0,0,50.15997324518107,2,6,0,0
318,0,0,50.03320822763178,3,4,0,1
319,0,1,48.70197262203364,4,6,0,1
320,0,1,48.0382746719066,2,6,0,1
321,0,0,50.40255043930161,1,7,0,0
322,0,1,47.83191148879866,3,6,0,1
323,0,1,48.27285166465047,2,8,1,1
324,0,1,48.52862299245314,3,8,1,1
325,0,1,48.02959363194739,3,7,0,1
326,0,0,48.24694659210755,0,6,0,0
327,0,1,47.734541137330446,1,9,1,1
328,0,1,46.52816794410092,3,6,0,0
329,0,1,46.66207130076562,3,3,0,1
330,0,1,48.79879330612332,4,8,1,0
331,0,0,49.30410939894124,1,7,1,0
332,0,0,49.34102363605271,3,7,0,0
333,0,1,48.46338539185396,3,9,1,1
334,0,0,47.55088764186765,3,7,1,1
335,0,0,49.82694904793707,1,6,0,0
336,0,0,48.36156123916526,2,9,1,1
337,0,1,47.241907088665165,3,8,0,1
338,0,1,49.45009182200211,4,3,0,0
339,0,0,48.58265926933419,2,7,1,0
340,0,1,47.247480017380354,2,7,1,1
341,0,0,48.0988424620315,3,8,1,1
342,0,0,49.26457038751865,2,8,0,0
343,0,1,46.68650875751315,0,9,0,1
344,0,1,48.89766382096276,3,10,0,1
345,0,1,47.230352168072685,3,7,0,0
346,0,1,48.20429445986115,2,4,1,0
347,0,1,48.66465690719659,1,8,1,0
348,0,1,47.23441284427648,4,4,1,0
349,0,1,46.60513952681215,2,4,1,1
350,0,1,46.87667429058137,1,6,1,1
351,0,1,48.71978049799551,3,12,0,1
352,0,1,47.96038193052374,2,7,1,0
353,0,1,46.09888109841764,4,8,0,1
354,0,1,47.73919511746016,3,8,0,0
355,0,1,50.04184595071445,2,9,1,0
356,0,1,47.733177860557205,2,7,0,0
357,0,1,46.20302320116035,3,9,0,1
358,0,1,48.384566019461815,4,7,1,1
359,0,1,47.33691868261017,2,6,0,1
360,0,1,49.24676879160156,3,4,1,0
361,0,0,49.31259197842252,4,6,0,1
362,0,1,47.93193518851748,2,7,1,1
363,0,1,47.30685924889889,3,8,0,0
364,0,1,46.66142255019062,3,8,0,1
365,0,1,46.84466088374551,3,6,0,0
366,0,0,48.64617421163488,3,5,0,0
367,0,1,47.629876351539046,2,6,1,1
368,0,1,47.96829624653013,3,9,0,1
369,0,0,48.4988870193428,3,6,1,1
370,0,0,48.64834692344944,1,6,0,1
371,0,0,48.588409676777445,3,8,0,0
372,0,1,47.51266646744828,4,6,0,0
373,0,0,50.58563380478256,2,5,0,1
374,0,1,46.850803691063895,3,7,1,1
375,0,1,48.846304406034506,1,7,0,1
376,0,1,48.417536041354026,4,7,0,1
377,0,1,47.8383491353006,4,7,1,1
378,0,1,46.87497267315079,3,8,0,0
379,0,1,47.62232724032194,2,10,1,0
380,0,1,47.68381579255909,3,5,0,0
381,0,1,49.99028513979409,2,7,0,0
382,0,0,48.78660808771787,1,6,0,1
383,0,1,46.48896356981703,5,9,1,1
384,0,1,48.585260293817576,3,6,0,0
385,0,0,50.33316670202617,1,7,0,0
386,0,0,48.32605060976624,3,6,0,1
387,0,0,49.03104597217447,2,8,1,0
388,0,0,47.93267262218482,3,7,1,0
389,0,0,49.369045626101176,2,6,0,1
390,0,1,48.69414745544093,2,7,1,1
391,0,1,48.84121387584121,3,6,0,1
392,0,0,49.7252623592157,0,8,1,1
393,0,1,48.29421659660886,0,6,0,1
394,0,1,45.714150992978816,3,8,1,1
395,0,0,50.208714358245146,2,8,0,1
396,0,1,47.87713622315983,4,4,0,0
397,0,1,48.21100831089927,4,4,1,1
398,0,1,48.756964812433296,3,3,0,1
399,0,1,49.65620504523073,3,4,0,1
400,0,1,48.361585017588126,0,5,0,1
401,0,1,47.1405894109232,2,5,0,1
402,0,1,48.34406463843976,4,4,0,1
403,0,1,47.388723902948826,3,6,0,0
404,0,1,46.36250824109184,4,7,1,0
405,0,1,46.22419281589884,2,4,1,1
406,0,0,50.35049490038583,4,7,1,0
407,0,1,48.1413559982085,0,3,0,1
408,0,1,48.24163530687225,2,7,1,1
409,0,0,48.26557776782478,2,7,0,0
410,0,0,48.32973932527484,2,6,0,0
411,0,0,48.722411111925226,3,7,1,1
412,0,0,49.19991652796666,4,10,1,1
413,0,1,48.353403865086975,4,6,0,0
414,0,1,48.723225494082605,1,7,1,1
415,0,1,48.36343167587189,2,3,1,1
416,0,1,46.13530280409525,4,6,0,0
417,0,0,50.38349067484567,3,5,0,1
418,0,0,48.798951229918536,3,9,0,0
419,0,0,50.89208805061752,2,9,1,1
420,0,1,49.03321769724446,1,7,0,1
421,0,1,47.62070932153115,2,5,1,1
422,0,1,48.14212304509018,4,10,1,1
423,0,0,49.428176206968296,3,4,0,1
424,0,0,49.18964681663984,3,6,0,0
425,0,1,48.44263153729889,2,6,0,0
426,0,1,48.443385262617824,3,7,0,1
427,0,1,47.83935920263892,4,9,1,1
428,0,0,47.70011841465917,4,7,0,1
429,0,1,46.74200740474054,3,8,1,0
430,0,1,46.95184386122951,2,5,1,1
431,0,0,49.38678922442048,3,6,1,1
432,0,1,46.98229806495697,1,10,1,0
433,0,1,48.854185427137374,5,7,0,0
434,0,1,49.80979123384451,1,8,0,1
435,0,1,49.87922053409999,2,5,1,0
436,0,1,49.065790542164734,2,8,0,0
437,0,1,48.42863961425045,4,5,0,1
438,0,1,50.80130431982294,3,8,0,1
439,0,0,49.87915758718681,3,7,1,1
440,0,1,47.63830004345748,2,9,1,0
441,0,1,48.94833605444852,3,5,0,0
442,0,1,47.73631256693761,3,6,1,1
443,0,0,49.5339723942995,3,5,1,1
444,0,0,48.12825406984744,2,5,1,1
445,0,1,47.95565813104209,5,7,0,1
446,0,1,47.23631728062119,3,6,0,0
447,0,0,49.16960244864722,4,6,1,1
448,0,1,48.502624388145705,1,3,0,0
449,0,1,46.923178345912696,1,5,0,0
450,0,1,46.93470814369704,2,5,1,1
451,0,1,47.49598776980221,5,8,0,0
452,0,1,47.757092735220056,4,5,1,1
453,0,1,49.19307530438977,2,4,0,0
454,0,1,47.81707169946853,1,6,0,1
455,0,0,49.23301180113588,3,4,1,0
456,0,0,50.45153356653346,4,3,0,1
457,0,1,48.72352771086484,3,6,0,1
458,0,1,48.7614788313833,2,9,0,0
459,0,1,47.59772535482576,2,8,1,1
460,0,0,49.13992097396138,2,5,0,1
461,0,1,49.05780647261563,2,7,0,0
462,0,0,47.99130199295458,1,5,0,1
463,0,0,49.41580944389229,2,7,0,1
464,0,1,48.084533623486905,3,9,0,0
465,0,0,47.46636594738118,2,8,0,0
466,0,0,48.95160919144921,3,8,1,0
467,0,0,49.78906872822422,1,5,1,1
468,0,1,48.16715219740046,5,7,1,0
469,0,1,47.44734423725089,4,6,0,1
470,0,1,47.82372727918007,2,4,1,0
471,0,1,46.08237524126126,3,6,1,1
472,0,1,47.65744671160519,1,9,1,0
473,0,1,49.22509350876789,3,7,1,1
474,0,1,46.97841310591887,3,3,1,1
475,0,1,47.16569520357044,3,3,1,0
476,0,1,46.76018116247968,3,6,1,1
477,0,1,47.62932606385581,2,9,1,0
478,0,1,48.68832877403747,2,7,0,1
479,0,1,48.48098573787591,4,9,1,0
480,0,1,48.88786735106803,2,5,0,0
481,0,1,47.55456827653831,2,5,0,0
482,0,1,48.51334874383592,2,11,1,0
483,0,1,48.04572423351832,1,6,0,1
484,0,0,49.07839357092818,2,7,0,1
485,0,0,48.4901744776648,4,5,1,0
486,0,1,46.1143475235445,3,6,0,0
487,0,1,47.802571686371785,2,7,1,0
488,0,0,50.03733140206539,4,5,1,0
489,0,1,47.83130708245488,3,4,0,0
490,0,0,47.51094257828346,2,6,1,1
491,0,1,49.15803662387651,2,8,0,1
492,0,1,47.72903415670468,2,7,0,1
493,0,1,49.15090717263085,1,5,1,0
494,0,1,48.95264348897111,3,4,1,1
495,0,0,50.23184759403171,3,6,1,1
496,0,1,47.8195597401847,3,6,0,1
497,0,1,46.34750708720157,2,6,1,1
498,0,1,46.33137515847669,2,5,0,0
499,0,0,48.96262830527562,4,6,1,1
500,0,1,48.67320393226279,0,10,0,0
501,0,1,48.80962510474957,2,6,0,0
502,0,0,49.01354244509736,3,7,1,0
503,0,1,47.94607485937618,3,3,0,1
504,0,0,50.100087858265184,2,8,1,0
505,0,0,49.44603223830489,4,8,0,0
506,0,1,48.358414492037234,3,4,1,0
507,0,1,49.35201291675337,1,6,1,0
508,0,1,48.163331696175554,1,6,1,0
509,0,1,48.58507051632754,1,8,1,1
510,0,1,49.418141506247245,1,6,1,0
511,0,0,47.920128330959066,3,6,0,0
512,0,1,47.483567893098886,2,4,1,0
513,0,0,48.87032214008433,2,7,0,0
514,0,1,48.94711412853293,0,5,1,1
515,0,1,49.23995198302241,2,6,1,1
516,0,0,47.654400992058406,3,4,0,1
517,0,1,49.305326784725885,3,8,0,0
518,0,1,47.9753858744349,3,7,1,0
519,0,1,48.752713109334415,3,6,0,0
520,0,1,46.81939313656484,3,8,1,0
521,0,0,48.31158003708113,4,6,0,0
522,0,0,49.81026186502488,1,4,1,1
523,0,0,49.2475671759162,3,7,1,0
524,0,0,47.16598894164104,2,5,0,1
525,0,1,46.35919480979211,2,7,1,0
526,0,1,47.68639060297572,4,6,1,1
527,0,0,51.30865036261883,3,4,0,1
528,0,0,50.64318325561578,2,8,0,1
529,0,1,46.03927012594905,2,5,0,0
530,0,1,47.90637538668983,3,5,0,1
531,0,0,48.461809178533606,2,7,0,0
532,0,1,49.68240597457177,2,11,0,0
533,0,1,47.585265180415824,3,8,0,0
534,0,1,47.37100606861675,2,6,1,1
535,0,1,50.56470803632255,4,10,0,0
536,0,0,48.35770866337167,2,6,0,0
537,0,1,49.295441358964986,2,8,0,1
538,0,0,50.666979982971306,1,8,1,0
539,0,1,49.38515180563741,1,5,0,0
540,0,1,49.31183211654314,3,7,0,1
541,0,1,49.66060480303962,3,4,1,1
542,0,1,48.31848600755403,3,7,0,0
543,0,0,50.885847788467615,3,5,0,0
544,0,0,49.477814921060535,4,10,1,1
545,0,0,49.97785876471679,1,5,1,1
546,0,0,48.40838727697257,4,6,0,1
547,0,0,50.74803249004733,3,7,0,0
548,0,1,47.86976361937607,4,6,1,0
549,0,1,48.69763178893182,4,5,1,0
550,0,1,46.70017851854451,1,7,1,1
551,0,1,50.65408436428919,3,8,1,1
552,0,0,49.19379039068889,3,8,1,1
553,0,1,48.15821665369178,2,5,1,0
554,0,1,46.46549691240329,3,7,1,0
555,0,1,49.03133072831727,4,8,1,0
556,0,1,49.68597423466748,4,6,1,0
557,0,0,50.01914592692405,1,5,0,0
558,0,1,45.38808422883401,4,4,0,0
559,0,1,47.72836006526174,2,5,1,0
560,0,1,48.381687730190016,3,5,1,1
561,0,0,49.31714089160271,1,7,0,1
562,0,0,47.883545205552,3,9,0,1
563,0,1,47.14779660604751,1,7,1,1
564,0,1,49.48128064069765,2,7,1,0
565,0,1,47.25691727863866,1,10,0,1
566,0,1,47.012028352019634,3,9,1,1
567,0,0,48.64639081450225,1,4,1,0
568,0,1,46.6199815987546,0,5,0,0
569,0,0,49.1607707209696,2,8,1,0
570,0,1,49.0409698447314,2,8,1,1
571,0,1,48.430170157873576,3,6,0,0
572,0,1,49.75662403819046,2,9,0,0
573,0,0,49.67541284808269,2,7,1,0
574,0,0,49.26396273433222,3,7,0,1
575,0,0,49.61139775754357,2,7,0,1
576,0,1,47.75746143817206,2,5,0,1
577,0,0,49.48301448735429,3,7,0,1
578,0,1,48.81641443403571,3,7,0,0
579,0,0,49.30695109420465,4,5,0,0
580,0,1,48.60396261392727,3,8,0,1
581,0,0,47.36502878276892,3,9,1,0
582,0,0,48.44014913949603,4,4,0,1
583,0,0,48.484606823719,2,9,1,0
584,0,0,47.485218825471165,3,5,0,1
585,0,1,48.23519019772511,2,7,0,0
586,0,0,48.94196501159266,2,7,0,1
587,0,1,48.61999814137958,4,5,1,0
588,0,1,49.70568319170429,2,9,1,1
589,0,1,46.83875834532187,3,10,1,0
590,0,1,46.294807996887954,3,7,0,1
591,0,0,48.08059292778394,2,6,1,0
592,0,1,46.619280235363306,3,8,0,0
593,0,0,49.026983970730846,2,7,1,0
594,0,1,48.80685139887921,3,7,1,1
595,0,1,48.95715016176023,5,8,0,0
596,0,1,47.23991123590824,3,5,1,1
597,0,0,47.30345365416508,3,5,1,1
598,0,1,49.17979137641482,2,7,1,1
599,0,0,49.19650058283997,3,8,0,1
600,0,1,48.622611637204095,3,7,0,1
601,0,1,50.47318650899048,3,9,1,0
602,0,1,47.17258924253829,2,5,1,0
603,0,1,49.36939646059724,3,11,0,0
604,0,1,48.82952704101998,4,4,1,0
605,0,1,48.021479293094856,2,8,0,1
606,0,1,47.045171682773415,3,5,0,1
607,0,0,49.38287120248834,1,5,1,1
608,0,1,46.6277982816944,2,11,1,0
609,0,0,48.64699973254137,3,6,1,1
610,0,1,46.602319993653154,1,5,1,0
611,0,1,48.73325950070531,4,8,0,1
612,0,0,49.16506416187112,1,8,0,0
613,0,1,48.053236647697496,3,6,0,1
614,0,0,49.12007077637604,3,3,0,0
615,0,1,49.16993732018079,2,4,0,0
616,0,1,47.7611630034144,3,8,1,1
617,0,1,47.23937673399708,3,4,0,1
618,0,1,46.64879362354272,3,8,1,0
619,0,1,47.20315693902171,1,7,0,1
620,0,0,49.13959469492547,1,5,0,1
621,0,0,49.29482447701746,4,6,1,0
622,0,1,48.66903087754009,5,8,0,1
623,0,0,48.59922741808226,4,5,0,0
624,0,0,48.09205657210416,3,8,1,0
625,0,1,46.40323792818938,3,4,1,0
626,0,0,50.16792085435909,1,2,1,1
627,0,0,49.21628953294152,2,6,1,1
628,0,1,47.7600048482078,3,8,0,0
629,0,0,47.85338009618374,4,5,1,1
630,0,1,46.91457708970743,3,8,0,0
631,0,0,49.45955710874146,1,6,1,0
