age_years,monthly_income_dollars,cost_of_living_index,home_ownership,policy_beneficiary,housing_policy,quality_of_life_index
28,28,13,0,1,1,26.843358531380325
32,6,8,0,0,1,40.4390116191269
24,31,9,1,1,0,18.417231544261604
23,23,10,1,1,0,25.18027235724861
29,23,11,0,1,1,30.36852682149445
25,22,12,1,1,1,33.12647051002246
30,19,14,1,1,0,26.638142017073683
30,27,5,0,1,1,26.671680931101356
29,12,11,1,1,1,37.79189070747306
24,13,7,1,1,0,33.1054935196357
34,15,5,0,1,1,33.514472566234744
23,28,0,0,1,1,25.52101598272688
14,32,9,1,0,1,30.65041362745734
19,10,11,1,0,0,36.67654386879752
31,14,8,1,1,0,30.0770125722906
26,18,11,0,1,0,28.592770069450285
25,5,5,1,0,0,39.04771037102852
40,25,10,0,0,0,17.335359807603528
36,20,6,1,1,1,28.38685911544611
19,13,10,0,1,0,34.56033825608321
43,27,9,0,0,1,23.92383491000518
37,20,3,0,1,1,29.11353943753277
36,16,5,1,1,1,32.78580769890123
36,20,10,0,0,1,29.10260229123387
27,17,14,0,1,0,27.63538209787973
14,24,13,0,0,0,27.939620254137147
15,12,6,0,0,0,36.45532170590084
34,24,9,1,1,0,22.385274814896857
29,25,7,1,1,1,27.817171181608785
33,14,12,1,1,1,35.05248309619925
28,27,10,1,1,1,27.54246169446849
31,25,9,1,1,0,21.839294481726743
23,18,8,0,0,0,28.376353323467647
31,22,8,0,0,0,22.50958016752147
17,14,14,1,1,0,33.56174181802994
49,13,10,0,1,0,23.76781227047136
33,21,6,1,1,1,29.513051181729907
29,23,10,1,0,0,21.402757096009136
29,26,17,0,1,1,27.769479595315367
13,18,8,1,0,0,31.50495434519075
32,27,11,1,1,1,26.07541940997673
21,21,12,1,0,1,32.65883323268205
35,20,9,1,1,1,29.444219235971957
20,14,9,1,1,0,32.03897134542474
22,18,10,1,1,0,30.385342524117643
35,27,8,1,1,1,26.206651570304977
26,12,12,0,1,1,39.36937011695049
25,18,7,0,0,0,27.859500108130568
40,18,8,1,1,1,30.795481515248166
27,19,9,1,1,0,26.83318467754102
34,7,8,1,0,0,33.42417089607956
26,19,9,1,0,0,27.575205746219773
23,23,7,0,0,0,26.594617547728557
20,20,5,1,1,0,28.39966695782633
39,12,10,0,0,1,35.3876182939543
25,22,8,1,0,0,24.10255590189413
11,21,9,1,0,0,32.00380108258281
32,29,9,0,1,0,21.080046879780287
27,19,8,1,1,0,27.39790758538363
20,22,9,1,0,1,33.8076705495331
13,29,9,0,0,1,29.916441181570725
33,28,9,1,1,1,25.579293784752217
32,27,8,1,0,0,16.619167403030104
33,9,11,0,0,0,33.046740690528566
32,29,12,0,1,0,19.02482210010468
6,18,13,1,1,0,34.86951276950693
32,21,11,1,0,0,25.20007349012026
31,34,8,1,1,0,14.591703104291245
36,19,9,1,1,0,22.36399042235457
20,17,13,1,1,1,37.45331339996165
28,20,13,1,1,0,26.83967392720854
32,19,10,1,0,0,25.05946999401564
44,14,14,0,1,0,26.12236053452538
34,11,7,1,1,0,30.314975231753785
38,12,9,1,1,1,34.454157715483845
32,19,6,1,1,1,32.032645073632146
24,7,9,1,0,0,37.93152123141607
30,23,8,1,1,1,31.29818253556843
34,16,6,1,0,0,26.034419434396323
40,30,11,0,1,0,14.94961185268986
47,16,8,1,0,0,23.736475089879264
18,24,9,0,1,1,32.93935779930861
24,20,9,1,0,0,25.865810772955705
35,17,8,0,1,1,34.08111193934248
12,37,13,0,1,0,18.82930761325438
16,19,6,1,1,0,29.90344796820368
23,28,4,0,1,1,27.19535712052284
45,27,9,1,0,1,19.24799797517736
23,27,13,0,1,1,28.99047874495168
37,23,7,0,1,0,22.10369343530216
38,21,16,1,1,1,28.82788843838873
31,28,13,1,0,0,20.37292695082397
39,21,15,1,1,1,29.158036337643647
22,26,12,0,1,1,30.92386862484653
32,24,15,1,1,0,23.285689649661936
40,21,9,1,0,0,21.69769784837649
42,29,4,0,1,1,20.183262564502293
34,16,9,0,1,0,26.653652070682504
24,17,9,0,1,1,36.97286545451956
29,21,5,0,1,0,24.97927357844888
37,18,7,0,0,1,32.915414000617474
34,9,11,1,0,0,32.04362846373358
21,12,4,1,1,0,35.70669871015295
35,13,9,1,0,0,27.145058496552096
24,24,7,1,1,0,23.635263397765257
38,17,14,1,1,0,26.02974831556076
23,12,9,0,1,1,39.81970617682588
35,21,12,0,1,0,23.61754516845969
41,17,8,1,0,0,23.39753222428029
31,26,12,0,0,1,28.214679492423038
42,9,9,1,1,0,27.66912161558901
24,26,11,1,1,1,27.78642126537801
38,20,10,0,1,1,30.948494481224767
37,24,11,0,1,1,26.67830792533481
29,25,11,0,0,0,21.964894417970832
45,17,2,1,1,1,28.185048401564732
18,18,9,0,1,0,28.71608294094952
25,22,12,1,1,0,27.342783383703654
22,17,6,1,1,0,29.925877702668544
21,27,9,0,1,0,21.192886694376924
26,22,7,0,0,1,30.525163792099185
26,30,15,1,0,1,26.78646771163374
21,27,9,1,0,0,24.177589767709712
33,24,0,1,1,1,26.28427669937451
24,21,8,1,1,1,33.88528957316308
25,22,4,0,1,1,32.69524192499843
40,11,8,1,1,1,35.24356091699075
28,24,7,1,1,0,20.63736788649014
23,20,9,1,1,1,33.357648031137145
36,17,7,1,1,1,31.675442478114373
7,23,14,1,0,1,35.70338011240904
20,10,8,0,1,0,35.724502977563205
25,19,5,1,1,0,28.10370128573653
33,26,11,1,1,1,27.27914136084045
35,18,9,0,1,1,31.64580226100481
29,15,5,1,1,0,27.93677201566572
34,12,12,1,0,0,32.151156525422195
25,16,12,0,1,1,36.61294147810596
29,33,13,0,1,1,23.473212075698356
26,13,11,0,0,0,32.023984016869214
26,22,4,1,0,0,26.381674221871275
26,19,9,0,0,0,26.58689590577513
26,18,9,1,1,1,34.68086081268349
26,18,5,1,0,1,35.28884478533795
17,25,9,1,1,0,25.70744083158568
18,19,14,0,1,1,34.73450831911824
13,14,10,0,1,1,41.71071953894095
26,15,11,1,1,0,31.753720530438876
33,23,8,0,1,1,26.85310226049572
19,16,10,1,0,0,32.242745576743935
14,14,10,1,1,1,41.987057054865474
26,23,11,1,1,0,23.99444267537334
25,17,13,1,1,0,29.73943016125876
32,22,7,0,0,0,24.34812969669936
30,14,7,0,0,0,30.548220037428628
26,15,10,0,1,0,31.00267125003397
44,26,10,1,1,1,25.383697973843077
25,13,12,0,0,1,39.31040418061607
43,19,6,1,0,0,22.883910644074312
24,13,7,0,1,1,39.72814888339627
30,9,7,1,1,1,40.42663564144865
34,13,8,1,0,0,29.212109281752223
36,11,14,1,1,0,31.226001737334897
35,36,14,0,1,0,11.71125870482253
37,13,9,1,1,0,28.276262773463205
30,26,12,1,1,0,21.034412239220792
32,19,4,1,1,1,32.317022110051305
21,11,10,1,1,1,40.97425451635149
16,22,15,1,1,0,28.86682259424452
30,29,8,0,1,0,19.41017054410644
27,12,12,0,1,1,39.88105434317141
35,22,17,1,0,0,25.251181344844607
29,11,17,0,1,0,34.2641527487777
38,19,10,1,1,1,31.193243700714675
25,20,7,1,1,1,34.046577985902594
26,25,12,0,1,0,24.05190287900566
20,16,10,1,1,0,32.98140229727038
23,27,11,0,0,0,24.16248866342838
34,15,8,1,1,0,26.75711745564272
23,26,6,1,0,1,28.78693281733796
13,14,8,1,0,0,35.47033314220482
40,12,9,1,1,0,28.45878796736
27,24,9,0,0,0,24.284315231935636
38,25,11,0,1,0,20.04810721613249
38,17,4,0,0,0,26.393703098375376
36,19,9,1,1,1,30.05341086507218
30,12,11,1,1,1,36.25687857678909
21,18,12,1,1,0,30.137686824365197
28,16,10,0,1,1,35.19828750848042
25,18,8,1,1,1,34.846859863337215
29,24,13,0,1,1,29.9200445059047
37,13,5,0,1,1,35.28370227935389
33,16,10,1,1,1,33.139895185487234
38,28,12,1,1,0,18.20046910155621
15,27,6,1,1,0,25.18854427968511
23,17,14,0,1,1,35.42313835696559
37,17,10,1,1,0,26.01770350998329
24,16,13,0,1,1,36.83890836975664
21,22,7,0,1,1,30.563588059967365
22,15,8,1,1,1,37.75746248186328
18,15,11,1,0,1,38.46835026715272
40,19,6,1,1,0,23.152157887377737
34,27,8,1,0,0,17.44169964300488
27,26,7,0,1,1,28.25505755511912
31,19,17,1,1,1,32.47116504033658
46,20,14,1,1,0,22.849538528181995
37,27,10,0,1,1,24.29580885859042
28,15,5,1,1,1,37.150021223906286
30,26,7,1,0,0,21.289310155536143
47,14,8,0,1,1,30.807030795347732
44,13,14,0,0,0,23.340136395158208
25,15,9,0,1,0,30.071149629663815
25,11,5,1,1,0,33.7744756489344
25,21,7,1,1,0,25.047175602573127
28,35,5,0,0,0,13.764874056160185
23,11,6,0,1,1,39.87304623791073
37,21,10,1,1,1,28.468429148213897
43,27,5,0,0,0,16.970692608811923
28,21,4,0,1,0,26.71531563768291
37,18,13,0,0,0,25.741921916859702
29,18,11,0,1,0,26.723792156298305
25,29,11,1,1,1,28.26662175312749
23,32,8,1,0,1,23.7352711629775
18,28,10,0,0,0,22.457919926663187
16,27,11,1,0,0,26.236484205147438
25,16,13,1,1,0,31.092689982279225
38,17,5,0,1,1,31.27269843827679
30,11,17,0,1,0,32.764377684203914
34,13,16,1,1,1,38.125368296131306
28,16,13,1,0,0,29.701941544663264
18,18,10,1,0,1,37.80353720600043
27,27,4,1,1,1,25.76961425234959
39,22,10,1,0,0,23.196504758463767
43,16,14,0,0,1,31.158783298408743
36,25,6,0,1,1,22.658522025690324
25,24,11,1,1,1,31.44559584860103
16,22,12,0,1,1,35.18273583834291
30,16,5,1,1,1,33.548901283392915
38,17,8,0,1,1,30.35732994901997
35,8,11,1,0,0,34.89628506455379
32,31,9,1,1,0,16.734595641171513
27,17,9,1,0,0,29.968527202212584
33,17,10,1,1,0,27.076104495781383
28,30,9,1,0,0,18.8820149279172
46,16,3,1,1,1,29.737453474682518
22,27,7,1,1,1,28.444087451523703
27,14,12,1,1,1,37.07389671619907
37,14,14,1,0,0,28.9796551479162
35,21,11,1,1,0,22.959645143492526
12,22,11,0,1,1,35.39554387371487
40,16,14,1,1,0,27.00132699033461
20,19,15,0,0,1,37.18613054698634
21,17,10,1,0,0,31.031955369854327
26,17,10,1,0,0,27.78476931558415
35,29,7,0,1,1,24.840098932688758
14,20,8,1,1,1,36.26440692468945
34,19,13,0,0,1,31.27689550505699
25,23,7,0,1,1,31.64489446878395
16,12,13,1,0,0,36.63032303739517
31,17,6,1,1,1,33.865046836595766
28,23,12,1,1,1,32.403534524762264
25,27,7,1,1,1,28.26165842876636
27,24,10,1,1,1,28.195273618144007
10,21,10,1,1,1,37.34388187252056
37,11,8,0,1,0,31.11990942346509
35,15,11,0,1,1,33.31750393447695
39,18,13,0,1,1,32.14064818369641
18,20,10,0,1,1,34.5600147404538
25,23,8,0,0,0,26.538608463781195
31,29,11,0,1,0,18.82878954169937
21,11,12,0,0,1,41.46563686596175
29,28,9,1,0,0,20.996265208167824
32,20,10,1,1,1,30.120191399948816
19,21,9,0,1,0,27.08837908863815
49,23,10,1,1,1,23.21192807815247
21,22,6,1,1,1,34.70757905195169
31,20,4,1,0,1,31.053048097241057
41,17,7,0,1,1,28.25992444348764
25,27,12,1,1,0,22.32381326365386
40,12,7,1,0,0,27.70493697964046
41,27,9,1,1,0,17.83936105794206
23,20,9,0,1,0,26.961342498193165
27,20,12,0,1,1,33.360052627470466
34,11,6,1,0,0,30.73104869367497
32,16,9,1,0,0,25.509779203434448
36,25,11,1,1,1,28.00995769985207
43,15,13,1,1,0,26.47108445827276
27,14,11,1,0,0,30.66024585949548
24,15,12,1,1,1,37.64669552808403
8,20,7,1,1,1,39.16340610238886
30,29,13,1,0,0,20.59133563013946
30,13,11,1,0,0,30.35721729082034
10,15,16,0,1,1,41.74911995144311
29,20,4,1,1,0,25.04027588785891
31,15,9,0,1,1,34.27174647493754
22,11,11,0,1,1,43.07489964236173
35,21,10,1,1,1,27.20025375979625
34,13,9,1,1,0,29.57599205426051
42,19,12,0,1,1,29.88373586633625
47,24,6,1,1,0,16.41578525676772
35,17,13,0,1,1,32.21924929722741
38,11,7,0,1,1,36.65099472580377
11,32,12,0,1,1,29.828037447775305
42,24,11,1,1,1,26.924092974926666
32,8,12,0,1,0,32.751078657279734
21,13,7,0,1,1,37.8063405487818
20,26,12,1,0,1,30.258119951108743
31,28,9,0,1,0,19.144213651289316
39,12,13,0,1,1,37.53035968314941
31,12,11,1,1,0,30.57677229610538
33,28,15,0,0,1,25.58170210796832
32,21,10,1,1,0,24.30632725073144
31,22,6,1,1,1,30.235388175521532
25,31,6,1,1,1,25.86114772305224
38,20,12,1,0,0,23.19613984458938
30,18,8,0,0,0,27.809078952988703
29,26,11,1,1,1,27.376572121547312
30,15,12,1,1,1,36.04549316393872
32,20,13,1,1,0,25.674439840738096
21,20,12,0,1,1,35.062561170891435
32,25,11,1,1,1,26.258459330507325
37,15,8,1,0,0,26.71052915035158
49,19,8,1,0,0,20.967387898757543
42,25,11,1,0,0,19.08954555491305
25,20,12,1,1,1,32.36928198781526
23,16,11,1,1,0,30.698899425151385
21,14,7,1,1,1,40.30279934596653
38,22,9,1,0,0,22.76661327573145
33,11,7,0,1,1,34.857894638624586
35,19,6,0,0,0,23.258728514442947
40,15,14,0,1,1,32.680501700346994
25,20,8,1,1,0,24.831373280712057
35,5,10,1,0,0,35.09206460031497
13,31,12,1,1,1,31.835667260064348
28,22,6,0,1,0,25.079345650831065
16,20,10,1,1,1,36.61567735581488
30,28,11,1,1,1,27.91748965640363
17,10,9,1,1,0,36.447125591542274
30,16,15,1,1,0,26.86808513156645
24,20,16,0,0,1,33.212765402322184
36,19,7,1,1,1,31.47631920630048
37,33,12,1,1,1,20.92597179577768
24,24,8,0,1,0,22.305612464710705
29,24,10,1,1,1,31.133371471955925
36,28,11,1,0,0,15.931985586748109
38,19,11,1,1,0,24.22336203207909
18,16,10,1,1,0,31.94691713778155
37,23,5,1,1,1,27.117012175055628
26,19,9,1,1,0,26.78696012968039
28,20,6,1,1,1,32.24543459511787
28,25,9,1,1,0,22.57027130469304
31,12,10,0,1,1,36.74511333959615
32,20,10,1,0,1,32.59173031982847
37,14,8,0,0,1,34.866036619915086
12,20,5,0,1,1,37.67462527643576
38,21,15,0,0,0,21.807852338115943
30,18,6,1,0,1,34.20088464408852
36,15,12,0,1,1,33.77859250759449
28,26,10,0,0,1,27.793139622699368
38,18,6,1,0,0,26.05221230362216
32,26,8,1,1,0,21.49662145213339
48,18,12,0,1,0,22.03594200202956
34,24,16,1,1,1,29.487910087172168
25,15,10,1,1,0,31.333883511988752
33,17,7,1,1,1,32.49541999717966
22,18,10,0,0,1,35.45626589602037
42,13,7,1,1,1,33.07460428713008
23,25,13,0,1,1,29.490124163526623
36,27,6,1,1,1,24.539809829953843
34,31,12,0,1,1,23.553434147253014
8,27,10,1,1,0,27.73213548118262
29,18,6,1,0,0,26.129602217960773
35,18,6,1,0,0,25.54611355775013
30,13,8,0,0,0,29.767038593639505
30,19,10,1,0,1,32.749699561955424
20,26,12,1,0,0,23.23531958207357
15,26,8,0,1,1,32.25700380343414
19,6,8,1,0,1,48.55060734767359
43,29,14,1,0,1,22.038413714993293
14,20,10,1,1,1,37.21780120718806
21,28,7,0,1,1,30.31992163657197
27,24,11,0,1,1,27.981484199888524
37,14,7,1,1,0,27.378573813656786
27,14,6,1,1,0,30.909897966418274
39,15,12,0,1,0,26.38020555404447
20,33,7,1,1,0,19.470524186195643
29,22,11,1,1,0,24.559460904437188
32,20,12,1,1,1,32.186408992164296
30,26,7,1,0,0,19.38658559863619
31,10,9,1,1,1,40.10567651627758
16,11,4,1,1,0,35.25190482034929
25,17,11,1,1,1,37.15521348435771
31,21,18,1,1,0,26.1480769344174
17,24,12,0,0,0,28.243025900968423
38,10,9,1,1,0,31.317266951455
23,25,13,1,0,0,24.883068318628325
29,23,13,0,1,0,24.273218783000274
31,24,7,1,0,0,22.676163651930985
28,19,7,1,1,0,28.02323003164103
42,25,10,1,1,1,23.11789563719357
26,25,14,1,0,0,25.424190572822724
31,20,7,1,0,0,25.03675758028009
34,12,8,1,0,1,36.705879305352695
27,17,10,1,0,0,30.39711312950824
21,26,7,1,0,0,22.021897198631525
21,24,10,0,1,1,31.92825709488952
28,21,10,0,1,1,32.95956018849815
35,28,9,0,1,1,23.138186439071955
28,25,7,1,0,0,20.18070304332425
42,19,9,1,1,1,28.339054716797683
53,22,11,1,0,0,19.024123864643045
26,22,9,1,1,1,32.19544026531256
34,25,10,0,1,0,21.94003448050429
38,23,14,1,1,0,22.299750676207186
31,19,10,0,1,1,35.3471583886252
35,14,8,0,0,1,36.77437792425554
34,19,8,1,1,0,24.86440673603372
25,20,11,1,1,1,32.9727856980799
38,22,8,0,1,1,29.79702806683869
25,19,10,1,1,1,34.77072005547881
27,18,8,1,0,1,34.30407710762882
16,29,10,0,1,1,29.86199793690388
37,20,11,1,1,0,22.796817919587863
24,22,9,1,0,0,27.21428496524913
44,17,13,1,1,1,30.415274117907337
31,24,14,0,1,1,28.530096684932698
21,17,6,1,1,0,31.37660097987162
25,24,8,1,1,0,25.16414453270574
20,10,8,0,1,1,41.93687690705584
26,27,8,0,0,0,20.327725816634647
26,7,10,0,1,1,42.69471307967525
34,18,12,1,1,1,34.00983022094878
33,21,10,1,0,0,24.967385779311616
34,14,9,0,1,1,34.954913828703994
31,10,4,1,0,0,33.15678280217246
34,21,6,1,1,0,25.0267126736603
29,16,13,1,1,1,35.48554233163767
