student_age,parent_education_level,school_quality_index,socioeconomic_status,gender,minority_status,single_parent,tutor_availability,tutoring_sessions_count,student_performance_score
11,28,8,10,0,1,1,11,28,288.30392143833933
11,32,12,13,0,0,1,10,23,237.47671388486404
5,27,5,15,1,0,0,8,18,187.9313345965842
11,30,9,16,1,0,1,10,22,227.58598211959207
13,31,5,12,0,1,1,10,23,237.83238637097423
10,29,10,13,0,1,0,13,28,284.95089017266343
12,33,8,16,0,0,1,13,25,255.00899695422183
6,32,10,11,0,0,1,10,24,247.6330683851872
9,30,9,18,1,0,0,13,19,193.6839014700101
8,28,10,11,1,1,1,11,25,260.0340299348567
10,28,10,13,1,0,0,11,24,249.60218648504065
9,31,6,10,0,0,1,9,21,217.7208763351209
10,29,3,15,1,0,0,13,21,212.9966351529817
15,29,11,17,0,1,0,15,24,246.6165389799293
15,28,9,19,0,1,1,11,22,228.4235994859075
13,29,13,15,0,0,0,8,24,247.86076235231025
9,26,13,13,0,1,1,12,29,298.48643375003724
8,30,6,14,1,1,0,11,22,224.3219127919644
5,34,4,8,0,1,1,13,23,235.15117580373015
8,24,13,13,0,0,0,13,27,279.2362262749447
12,27,4,12,1,1,1,14,28,285.3163947603676
10,29,3,17,1,1,0,11,22,224.24390006812837
9,33,10,12,1,0,1,14,21,215.0813408475404
8,30,7,11,1,1,1,14,25,255.96387986159093
8,29,5,13,1,0,1,13,24,245.94697315910767
10,26,6,16,0,0,1,13,26,267.89130434092687
4,29,0,13,1,0,0,13,18,184.4544286436095
10,27,13,15,0,0,0,12,26,267.1556036455389
9,30,7,14,1,0,1,11,22,227.62346971203428
9,27,5,14,1,1,1,9,22,229.09630371544384
10,30,11,20,0,0,0,12,19,193.81437140524596
9,31,7,10,1,0,0,10,22,226.05161700879205
10,30,8,10,1,1,0,13,26,266.9241077721738
8,27,4,11,1,0,1,10,22,228.29471012273964
7,29,12,14,0,1,1,11,26,266.6749602299694
10,33,8,14,0,0,1,13,24,242.55766625737357
11,28,13,12,1,0,0,11,24,250.17038866019092
9,25,4,9,1,0,1,9,26,271.9394041415534
8,28,0,17,0,1,0,10,22,225.60118883660888
11,30,4,19,1,0,0,11,19,195.1984998151366
14,29,9,9,1,1,0,12,27,277.23177949098846
9,28,11,14,1,1,1,12,26,269.2608004612716
7,27,5,12,0,0,0,15,24,244.27923941315385
9,28,2,15,1,1,1,12,19,197.58248030985484
3,29,5,12,0,0,1,11,22,227.9006275609065
4,27,7,14,1,1,1,14,24,246.26842722877004
8,30,16,12,0,1,1,14,27,275.4492408500714
8,30,5,12,0,0,0,16,25,250.91182142972588
11,31,10,19,0,0,1,14,20,204.54305632134563
11,33,7,14,1,1,1,13,23,233.7347761366837
9,32,7,18,1,0,0,12,20,203.9581507429309
6,32,9,7,0,0,0,10,26,265.78065772202905
6,31,8,13,0,1,0,14,25,252.6621197607532
14,33,7,15,1,0,1,10,20,206.74372719134132
8,23,7,14,1,1,0,10,24,248.82393666329293
4,29,10,13,0,1,0,13,25,253.07289422613573
12,30,5,12,1,0,1,12,24,250.06367724057367
8,28,11,14,0,1,0,14,27,277.63734008694496
7,31,6,18,1,1,0,8,16,165.02529369079178
16,30,12,13,0,0,0,12,27,273.08576007063624
5,29,8,11,1,1,1,10,24,245.9309546605825
12,29,12,18,0,1,0,15,27,272.94670086551497
9,31,3,16,1,1,1,12,21,215.5914285332458
8,24,10,13,1,1,1,8,24,251.67643711016063
7,27,5,18,1,0,1,11,17,177.68587311616432
8,30,12,13,0,1,1,12,26,267.9283762851032
5,26,9,11,0,1,1,9,25,259.82825355655865
7,30,11,15,1,1,0,8,22,224.2226598266128
10,31,9,14,1,0,1,13,22,225.12331944382964
5,30,9,9,1,0,0,10,23,235.68055446549647
4,30,10,9,0,1,0,9,28,287.41052688642566
10,31,7,4,1,1,0,12,26,267.3990403895673
8,30,6,16,1,1,0,9,22,225.67625623054653
13,29,1,13,1,0,0,11,20,203.2620270291464
11,30,9,9,0,0,0,14,28,287.3780740412706
7,31,5,12,0,0,1,10,21,215.71532564157107
7,25,5,12,0,1,1,12,25,258.4565808706939
5,26,10,12,0,0,0,12,25,257.76970737674066
11,28,5,16,1,0,1,11,20,207.9430342031248
9,27,9,9,1,1,0,13,28,286.6382724147374
11,33,8,10,0,1,1,13,26,261.3957325584083
8,29,5,13,1,1,1,13,24,247.5778726906048
3,31,6,9,1,1,0,11,22,226.7233341733158
7,31,5,16,1,1,1,8,17,174.55815467302156
9,31,13,14,1,1,1,14,26,263.3449070497168
8,30,3,9,1,1,0,14,25,256.0813683357611
8,29,3,14,0,0,1,10,20,206.96443384615748
10,30,9,14,0,0,0,13,23,237.36148458946
13,31,9,12,1,0,1,12,23,238.746529801194
10,28,5,15,1,1,0,11,23,237.02333501709876
13,24,5,12,1,1,1,15,30,306.6865169485368
6,29,4,6,1,1,1,12,26,265.5668375994534
8,25,2,11,1,1,0,10,22,227.2185837359173
7,31,7,17,1,1,1,12,23,234.7573002754692
13,29,8,12,0,0,0,14,25,256.5872020760398
10,30,10,16,1,0,0,11,20,204.6366783084364
8,30,7,16,0,1,0,13,23,234.91318347846976
13,28,3,9,1,0,0,10,25,260.10264881667155
10,29,7,12,1,0,0,11,24,246.3011497093312
10,27,7,20,0,1,1,11,19,193.56765621861413
11,31,10,13,1,1,0,15,27,271.2721763943221
7,30,5,9,1,1,0,10,27,276.6700764433125
10,32,7,15,0,0,0,11,22,224.70552328885967
11,33,3,12,1,1,1,12,22,222.27011235315808
6,30,8,10,1,0,1,13,25,254.0831244347137
14,31,12,13,0,1,0,8,24,248.11105598644693
12,30,7,18,1,0,0,11,21,214.72823938328372
8,29,4,12,1,1,0,9,23,238.9038472373344
7,29,4,15,1,1,0,13,21,216.60872523370304
9,30,6,14,0,1,0,11,23,235.160638968668
10,29,10,18,0,0,1,11,22,225.18180663236123
8,28,12,11,1,0,1,10,24,251.0379136138669
11,30,10,17,1,0,0,15,24,245.7532135021476
8,26,4,11,1,0,1,10,23,237.92357323530445
7,29,7,15,0,0,1,9,18,190.12277983489108
9,31,5,18,0,0,1,10,16,165.53493415670252
11,30,9,10,1,1,1,9,24,248.2299044542004
13,32,7,12,0,1,1,12,24,244.81998162322336
10,29,5,15,0,1,0,13,22,223.6073028695268
9,29,4,18,1,0,0,10,18,187.4730802466992
6,30,3,11,0,1,1,8,21,214.7693314835441
6,29,12,11,0,1,1,9,24,248.21528962170592
7,31,12,18,0,0,1,10,21,216.64677424218112
6,28,7,9,0,1,0,11,28,285.73579133112537
13,28,8,14,1,1,1,13,25,256.74432693301327
5,27,8,14,1,1,1,11,23,236.50655037925668
10,34,10,16,1,1,0,10,22,223.48899310315915
8,29,7,13,0,0,1,11,21,218.68209062667088
8,31,8,11,0,0,0,16,28,281.3452814013066
6,31,6,14,0,0,1,11,20,207.17806009813717
11,30,3,17,0,0,1,15,20,204.0326384158455
13,30,4,16,1,1,1,10,20,204.8638171206759
11,30,7,17,0,1,0,11,22,225.92924747945744
13,32,13,11,1,0,0,15,29,292.5903186486393
10,27,1,12,1,1,0,9,21,217.81948390702783
7,27,7,12,0,0,0,9,24,247.16749944381925
10,25,9,16,0,1,0,13,25,253.70002126517628
7,32,3,12,0,0,0,12,24,243.90583894577912
7,30,6,16,0,0,0,12,22,222.8805110502546
8,30,7,18,0,1,1,13,23,235.22596824742664
7,27,9,13,0,0,1,13,22,227.5058530833864
11,28,12,14,0,0,0,10,23,240.01734760235428
13,31,10,13,1,0,1,13,24,243.2286059554065
9,29,9,10,0,1,0,13,26,266.37685290586643
8,29,0,10,1,0,1,14,23,236.6168854283562
10,32,0,12,0,1,1,12,20,204.35024362949943
12,31,11,13,1,0,0,12,26,264.8845349563795
10,30,4,13,0,1,0,9,21,217.14643429079584
8,29,5,10,0,1,1,12,26,265.9331271741103
12,27,1,9,1,1,1,11,25,259.9440862867591
5,28,8,8,1,0,1,11,22,229.5576713221328
13,33,10,16,1,0,0,8,20,205.8034770194704
15,31,8,18,1,0,1,10,19,194.89622334317588
12,28,8,9,0,1,1,12,27,278.4304154522428
14,27,3,19,0,1,0,10,21,217.5398681218012
12,32,14,10,1,1,0,9,27,276.748189872129
6,32,13,13,0,0,1,9,23,237.98981130170677
12,32,9,16,1,0,1,12,22,226.13466794734063
9,27,11,15,0,0,0,14,26,267.9032468450953
10,26,8,15,0,1,0,11,24,247.8065616695984
7,31,15,15,1,0,1,12,24,247.2738616991728
7,27,0,11,0,0,1,11,22,227.00025449785204
9,29,4,11,1,0,1,12,25,256.0377797063755
9,31,4,11,0,1,0,10,25,254.33151566662957
9,28,3,13,0,0,0,10,21,215.97407834573156
11,31,10,14,0,0,0,12,23,233.7932037308495
8,29,7,14,1,1,1,11,23,238.7008272468068
8,26,5,14,0,0,0,13,25,257.82698261281536
13,31,6,9,0,0,1,12,26,267.01725488007634
10,33,10,12,0,1,1,13,23,234.00581292758076
14,30,6,12,0,0,0,8,19,194.77161363105932
10,29,10,19,1,0,0,11,20,206.90106914982425
7,31,7,14,0,0,1,14,24,245.52762661739055
10,30,8,12,0,1,0,9,25,256.2503629201735
6,27,11,13,1,1,1,10,25,259.4145051744932
9,29,6,13,1,1,0,13,24,243.8884652178612
16,31,5,14,1,1,0,15,27,275.3288105009675
8,30,5,11,1,0,1,12,22,225.7569419968403
12,29,4,14,1,1,1,6,22,228.7830542081113
13,31,8,15,1,0,0,15,25,255.59938891809747
12,30,6,16,1,1,1,8,22,225.95800447957797
9,28,5,13,0,0,1,11,22,228.90072747741127
9,31,5,17,0,1,1,13,20,203.1543169539325
11,28,7,11,0,0,1,10,25,257.6243769908009
14,30,8,12,1,0,0,12,23,238.1046460128826
8,28,14,12,1,1,0,14,29,293.5287081723773
8,31,5,16,0,1,1,12,22,221.32515318512264
10,30,8,13,0,1,0,10,26,267.51375734667744
12,32,14,13,0,0,1,14,24,243.2295761500018
6,29,14,15,0,0,1,11,25,257.6352675963086
11,28,9,18,0,1,1,10,23,239.42833635411367
10,31,1,10,1,1,0,15,25,252.69052814408525
8,27,10,9,1,0,0,11,25,259.6323257776714
11,27,12,14,1,0,1,10,24,252.29009686190767
10,30,8,17,1,1,1,12,22,229.41267670981492
15,33,2,10,1,0,0,11,23,233.037917183274
9,33,13,14,0,1,1,8,19,193.5759062220949
13,30,8,15,0,0,1,13,25,256.53956388098493
13,27,10,15,1,0,1,7,23,241.0711989981028
11,30,9,17,1,0,0,11,21,216.88722832138413
8,29,0,15,1,1,0,10,19,197.27308815915967
9,31,7,20,1,1,1,10,18,187.4910913290026
9,31,7,14,1,1,1,12,24,243.50890575536476
11,30,4,10,1,0,0,9,23,238.23186641648385
9,31,3,15,0,0,0,8,19,198.09748865830983
14,35,8,14,1,0,0,12,22,221.79388784704145
8,28,13,19,0,0,0,10,23,238.43939810347317
7,30,2,14,1,1,0,12,20,205.54540765322628
11,28,7,14,0,1,1,11,24,244.9389849943609
5,24,12,13,0,1,0,9,25,258.6087248262863
13,33,4,14,0,0,1,10,22,224.7539438028872
3,28,9,13,0,1,1,10,22,225.9843554409509
7,29,10,13,0,1,1,10,24,247.03790075609697
9,26,4,20,0,0,0,10,20,206.0939526237325
9,28,4,16,0,0,0,14,24,243.23815117382148
10,29,13,12,0,0,0,9,24,246.873573704515
11,31,4,13,1,0,0,11,20,205.7025834682761
7,27,1,13,1,1,1,14,24,247.08982517856
7,28,7,19,1,1,0,12,22,223.9508343917505
7,29,4,20,1,0,1,13,17,175.43275205744763
13,29,7,11,0,0,1,15,26,265.058964428397
14,32,4,9,0,0,1,6,24,246.381358165441
6,27,11,15,0,0,1,9,23,237.8700111732273
10,30,7,16,1,1,0,12,22,223.485032848459
12,25,4,17,1,1,0,11,21,218.23511271892457
10,28,11,12,0,1,1,8,25,257.9871110725571
7,30,3,14,1,1,1,8,19,199.68215862862968
7,28,8,15,1,1,0,8,20,206.0907465279804
8,32,6,14,1,0,1,11,20,207.94099313189065
10,32,5,13,1,0,1,13,22,223.1634151104395
12,31,10,10,1,1,1,10,26,265.3234901438747
9,32,6,13,1,1,0,9,19,195.2488605071845
13,32,9,9,0,0,1,11,27,278.0499622328302
10,30,0,16,0,0,0,11,19,195.14848664077152
5,30,6,12,1,0,0,11,20,206.2852291220904
12,31,3,13,0,1,1,8,24,247.30388004025016
9,24,10,10,0,1,1,13,28,289.79283898998386
8,26,10,20,1,1,0,13,24,244.62904533714496
10,26,2,14,1,0,0,10,21,218.1873698797926
6,32,5,9,0,0,1,14,25,252.45573577245236
7,31,15,9,0,0,1,12,28,285.59403297151624
9,32,9,14,1,1,0,13,24,245.07148428946985
7,26,10,15,1,1,1,13,27,276.952423496202
9,34,10,11,0,1,1,9,24,246.91647840436391
17,30,9,14,0,0,0,11,23,237.43456229915697
10,30,3,11,0,0,0,15,25,253.54035162602665
13,29,6,13,0,0,1,13,23,236.25052660257197
7,30,6,14,0,1,1,6,19,196.64209886561304
14,32,8,13,1,0,0,9,20,208.06814963773567
11,33,2,16,0,1,0,13,23,229.4732933206248
8,33,4,15,0,0,1,8,16,167.3778068548522
13,31,9,12,1,1,1,14,26,267.2114970847298
7,34,2,14,1,1,0,10,19,193.93687267999283
8,31,8,15,1,1,0,13,22,225.44031404502027
9,32,4,12,0,0,1,10,23,235.69137386476305
10,30,11,15,1,1,0,14,25,255.5995645568109
11,28,7,13,1,1,1,12,23,237.58460120925892
6,29,5,8,1,1,1,13,29,296.0301052410148
11,30,8,13,1,1,1,10,23,235.76386149105272
10,26,11,16,0,1,1,13,23,238.65038339920588
14,27,5,18,0,0,0,12,21,216.613910221268
13,32,12,14,1,1,1,14,27,275.88276376485186
5,28,3,15,0,0,1,13,22,224.3700206568162
10,29,2,14,1,1,1,10,21,217.3754212562533
7,32,3,17,0,0,0,10,19,194.36390795484056
11,32,10,14,0,0,0,13,25,252.5437001701132
13,30,6,13,0,1,1,13,26,266.78346701613793
12,29,6,17,0,0,0,12,24,245.32544877713815
9,33,7,11,1,1,1,10,23,233.64201240538725
10,28,7,12,0,1,1,9,25,260.1862601058875
11,26,8,12,0,0,1,12,24,246.5700292302356
14,29,7,12,0,1,0,10,27,275.92802498793134
11,30,4,11,0,1,0,10,24,243.06995975943923
7,30,8,10,0,0,0,14,26,266.9193017416685
10,29,12,9,1,0,0,16,29,296.97369226368903
5,31,11,14,1,0,0,12,22,225.5841112101097
13,32,6,16,0,1,1,12,24,247.37965189149637
9,32,6,11,1,0,1,10,19,196.260574041928
13,27,10,15,1,1,1,10,27,280.00352585017345
11,29,10,12,1,0,1,13,26,267.9504322249176
12,26,6,11,1,1,0,10,26,266.6865413588371
6,28,3,16,0,0,0,10,22,225.65069288327007
5,30,13,15,1,1,0,12,22,226.5728075487205
10,29,4,15,0,1,0,13,23,234.35098353757465
12,30,8,15,1,1,0,8,21,215.44705692145965
8,26,13,15,0,1,1,13,27,279.04715622773534
13,30,7,17,1,1,1,10,20,206.1766353787471
12,27,12,14,0,0,1,11,26,267.16569999042935
12,25,8,15,0,0,0,13,24,247.4503805434512
7,27,1,10,1,0,1,11,21,215.92394427183063
9,29,8,16,1,1,0,11,22,225.32941656005417
8,27,9,15,0,1,1,10,22,228.85579995752
9,30,11,14,1,1,0,11,22,225.37729367901352
9,32,9,14,0,0,0,10,22,223.67809717928827
10,28,6,10,0,0,1,10,25,256.7720507408163
9,29,6,14,1,1,0,7,19,194.35017430473323
7,30,8,11,1,1,1,11,25,256.8946523446246
6,29,11,12,0,0,0,9,23,235.69238823811733
6,32,3,14,1,1,0,9,19,195.1371963998534
11,30,7,16,0,0,1,13,22,224.2380716080695
7,29,9,15,1,0,0,10,21,216.693967958681
11,27,9,15,1,0,0,11,22,227.2928876680753
10,29,5,17,0,1,0,10,21,213.9028650252749
10,28,8,13,1,1,1,14,24,247.0218980192836
9,32,7,12,1,0,0,11,24,244.4396227543718
13,29,10,17,0,1,0,14,25,252.86500324850584
11,33,7,14,0,1,0,11,21,211.72820665836736
17,29,4,16,0,1,1,11,24,246.24914598045623
8,30,7,10,1,1,0,10,25,254.7941086176656
14,28,2,16,1,0,0,6,22,227.881284593138
8,29,13,9,0,1,1,11,29,297.89591471171974
8,29,10,13,0,1,0,12,27,276.7266843972466
14,29,9,11,0,1,0,11,30,306.40228630607425
8,31,7,11,0,1,1,11,26,265.0264789305457
12,29,5,14,0,0,0,9,22,227.26810446158413
13,29,9,14,0,0,0,12,23,236.8548108514616
12,33,13,10,1,0,0,11,27,276.4377258239664
9,34,15,15,1,1,0,11,22,223.75051252046163
13,31,11,9,1,1,1,13,28,286.6443378558454
17,29,8,11,1,0,0,14,27,275.5980370752418
6,31,9,11,1,1,1,13,25,252.9094276959785
10,32,7,13,1,1,0,11,23,232.5733365358304
11,30,7,14,1,0,0,12,25,257.19389237822566
10,30,5,11,0,0,1,8,24,245.97926933447368
13,32,7,14,0,1,1,9,22,225.4452795439841
11,31,7,18,1,1,1,12,18,185.64823641801087
8,32,9,15,1,0,0,12,22,223.2873609030885
8,31,9,12,1,1,0,8,24,247.95776781476283
9,27,8,11,1,0,0,11,24,248.8355416418612
14,33,8,16,1,1,1,10,21,211.8706601132552
9,30,7,13,1,1,0,11,23,234.20813016489623
7,34,4,14,1,1,0,11,19,193.50484694793383
6,30,7,18,0,1,0,12,21,214.6993443253561
8,29,14,18,1,1,1,13,23,237.36141902869971
9,31,12,14,0,1,0,9,22,224.8913884826451
10,31,9,14,1,0,1,11,23,236.66171147537207
16,30,9,14,1,1,0,11,27,276.62375621854017
9,30,10,10,1,1,0,11,26,266.55087979153626
6,32,8,14,0,0,1,13,22,227.40473930200412
12,27,16,14,1,0,1,12,26,270.8487373487777
14,26,3,13,0,1,1,13,25,255.8695186548881
12,30,5,12,0,0,0,8,22,227.18313010031912
6,28,5,14,0,0,1,12,21,215.20482020465383
10,27,5,12,1,0,1,13,25,258.4331253249444
7,27,7,16,0,0,0,8,21,216.94074285244236
12,29,12,12,1,1,0,13,29,300.4158376296467
10,33,7,9,1,0,0,12,22,225.9599240861464
15,26,11,11,1,0,0,9,26,270.0336500861747
8,28,5,16,0,1,0,13,23,233.9920948483515
10,28,10,10,1,1,0,11,27,278.8215652291453
10,30,13,14,1,0,0,15,26,264.4377712108476
14,30,10,18,0,0,1,10,22,230.12024687781127
16,29,10,15,0,0,1,12,27,275.0907850582031
10,27,10,13,0,1,1,12,27,275.94889516049744
6,32,6,11,0,0,0,13,25,255.07546179708996
11,32,9,14,0,0,0,12,22,224.0700019406257
11,29,9,14,0,0,0,12,24,244.72111997866637
10,31,6,12,1,0,1,15,22,225.30253208859244
8,28,12,20,0,0,0,13,19,193.65560121180275
9,27,6,16,1,1,1,11,22,228.81817977154043
11,31,6,17,1,0,0,6,18,187.15849561254856
14,32,10,17,1,1,0,14,24,244.7750789277873
8,31,10,15,0,1,0,11,23,234.5523985588069
4,30,3,14,1,1,1,9,21,216.64405055207325
9,28,5,16,0,0,0,13,23,234.8562242831024
9,28,7,14,1,1,1,12,21,216.95611151267676
11,29,11,10,0,1,0,12,26,265.5551252922123
8,29,15,17,1,1,1,11,24,248.50587736979287
11,29,6,12,1,1,1,11,22,228.70557993949865
13,30,10,13,0,0,1,14,28,285.8090990919079
13,28,5,11,1,0,1,10,21,219.64056670714643
9,29,0,19,0,1,1,14,21,213.7861077759557
7,27,7,12,1,1,1,11,26,267.8651052942413
9,26,5,11,1,0,0,13,25,256.704521746021
15,26,9,14,1,0,0,12,25,259.2099734046845
9,30,10,19,0,0,1,10,18,183.5334314849284
8,29,7,12,0,1,0,9,27,275.6801797989017
12,27,6,13,1,1,0,16,27,276.7655656809416
7,29,0,14,1,1,1,12,21,217.6632479764272
10,25,11,14,0,1,1,12,25,257.6263389155497
7,30,3,12,0,1,0,13,22,225.9464356765008
11,28,3,12,1,0,1,11,23,241.33264596200817
11,30,6,15,1,1,0,12,26,268.6879681470028
14,29,10,15,0,1,0,10,25,255.51900944888
9,29,6,12,1,0,0,11,23,236.2869862450362
9,27,17,17,0,1,0,12,27,278.0518904600747
6,27,4,19,1,0,1,15,19,198.1886991925201
4,30,3,16,0,0,0,11,19,194.43705746636869
8,32,5,17,1,1,1,8,16,164.59788313453043
10,28,6,10,0,1,1,12,26,263.73648479108925
11,31,11,16,0,1,0,11,25,256.7073657597833
11,32,7,16,1,0,1,12,22,224.2139108537747
11,31,7,9,0,1,0,12,27,276.26859194396684
7,31,12,14,1,1,1,10,26,266.4199942733422
6,30,8,6,0,1,0,9,26,266.1529717150937
9,33,13,12,0,0,1,13,23,235.00585068395617
10,28,9,11,0,1,0,13,28,287.19381456830683
12,31,10,14,0,1,1,14,24,243.5758832426688
14,27,11,13,1,1,1,11,27,279.4317448204904
11,30,4,14,1,0,0,10,19,197.49204558781497
14,30,6,13,0,0,0,14,25,255.44299559907984
8,33,9,14,1,0,1,11,21,215.2580472416501
9,25,5,13,0,1,1,15,25,255.5837602882289
14,32,9,15,1,0,1,9,21,219.2187851266711
12,30,9,14,1,0,1,10,21,216.71767453967135
10,27,6,10,1,1,1,14,27,276.3995761733124
9,31,8,16,1,1,0,13,24,242.91260099486496
12,28,8,10,1,0,1,11,25,260.156706402399
13,30,7,7,1,0,0,11,27,275.8408314042602
4,29,11,13,1,1,0,9,23,241.08611514885024
8,29,5,8,1,1,1,15,26,266.17788916395835
11,30,9,13,0,1,1,11,24,246.09000687744543
15,28,9,12,1,0,0,12,26,266.1050648080288
13,30,4,14,0,0,1,10,21,217.69759676883805
5,29,10,9,0,1,1,10,30,306.80355056931614
5,32,6,9,0,1,1,11,24,244.3236111523471
8,32,6,12,0,0,0,11,24,244.39952924493716
10,31,8,14,1,1,0,12,25,254.71302129971124
8,33,4,15,1,1,1,10,18,181.96194998228992
7,29,8,13,1,1,0,7,22,227.7089155862176
8,30,2,9,1,1,1,10,22,226.69901146477503
15,29,7,13,1,1,1,12,26,268.45714285357786
15,32,7,12,0,0,1,11,24,244.4662871957057
14,30,7,15,1,1,1,7,20,209.911646156182
12,28,1,10,1,1,0,11,26,267.8862585170189
9,28,6,13,0,0,1,10,20,207.7440381376862
10,29,13,12,1,1,0,13,25,255.423125315304
9,30,14,14,1,1,1,13,25,252.06156996834605
10,34,6,14,1,1,1,11,23,230.87597628192788
3,27,10,8,1,0,1,12,25,257.7059325420268
7,30,9,19,1,0,0,10,18,185.52520715644337
14,31,13,10,0,0,0,11,28,288.63181832508053
7,35,7,12,1,0,1,12,23,230.93713616549357
11,28,8,14,0,1,1,10,25,260.7179310364492
6,31,12,12,0,0,1,10,23,236.8890102713248
5,26,9,12,1,1,1,12,25,255.5867178334981
14,27,8,14,1,1,0,12,26,266.5705781912041
9,28,9,16,0,1,1,10,21,214.84298641119315
9,27,6,11,0,1,1,9,24,246.28428889884327
13,29,5,10,1,1,1,14,28,287.65060953291044
7,29,7,15,0,1,0,14,26,267.0743941776314
8,28,7,17,1,0,0,11,21,220.43973086976987
5,32,9,16,1,0,0,12,21,215.68794284413616
9,33,4,18,0,1,0,15,22,220.39006287014044
13,28,9,14,1,1,0,12,25,254.85473200768232
14,32,7,18,1,0,1,10,19,197.87985918764707
13,28,6,16,0,1,1,10,20,207.00842198925497
11,30,11,12,0,0,0,12,24,245.672361897811
11,28,7,16,1,0,1,11,19,196.25477613661525
4,29,3,13,1,1,1,11,22,228.7085140811253
8,29,1,15,0,1,0,11,22,227.3049760329573
10,30,6,14,1,0,1,9,20,206.93543424908668
10,28,5,13,1,0,0,12,24,246.69153338149
7,29,2,13,1,0,1,13,22,224.57322795541253
12,30,9,17,0,0,1,11,21,214.95611973752705
