age,education_years,past_month_income,unemployment_duration,number_of_dependents,gender,previous_beneficiary_status,rural_residence,universal_basic_income,current_month_income
55,14,8,25,5,0,1,1,0,20.31923373309586
36,27,12,20,5,0,0,0,0,23.52763120721385
28,19,11,19,5,0,1,0,0,28.120707578215352
38,21,12,23,2,0,1,0,1,30.35334457187768
42,10,17,9,2,1,0,1,1,30.993121530478184
29,19,14,20,6,0,0,1,1,30.037454378334136
35,9,12,13,3,0,1,1,0,28.826026347625067
44,19,9,22,5,1,0,1,1,27.75989874025405
39,27,5,18,4,0,0,1,0,23.71905726472292
31,19,2,23,4,1,1,0,0,27.183560824998317
36,28,14,11,3,0,1,1,0,23.743513241927563
40,24,10,13,7,1,1,0,1,29.947624338057462
32,26,10,7,4,1,1,0,1,31.74207109224608
41,24,5,9,3,0,0,0,0,27.838459620152523
41,19,13,12,4,0,0,1,1,31.126149125068537
20,24,11,10,5,1,1,1,1,34.30438791350107
32,23,14,15,0,1,0,0,1,32.37526176694862
30,13,6,14,4,0,1,1,1,37.51271202183421
39,20,10,12,2,1,0,1,0,25.24054881373938
23,22,8,6,3,1,0,1,1,34.99300110816825
27,8,12,21,5,1,1,0,1,36.3541044544308
34,23,11,17,7,0,0,1,0,24.876604484229556
30,27,11,10,4,0,0,1,0,25.84127815177357
43,16,5,13,4,0,0,1,0,26.18321456382341
41,30,11,10,4,1,0,0,1,27.1752000187104
34,13,8,17,4,1,0,0,1,33.02597837441473
29,23,11,21,5,0,0,0,0,26.763421642782085
37,19,9,7,4,1,0,0,1,34.058416340460006
35,12,7,12,7,0,0,1,0,30.117655738202988
24,17,10,4,2,1,1,0,0,32.06797804279058
35,14,5,24,3,0,0,0,0,29.295344209110294
23,30,6,15,3,0,1,1,0,26.69131212433348
32,18,9,17,2,0,0,0,1,33.47437133877676
25,24,9,15,3,0,0,1,1,34.46963362682854
17,20,13,10,6,0,0,1,1,36.92637724231111
32,23,9,12,0,1,1,1,1,30.474124946989765
42,22,16,15,4,0,0,0,0,22.881093017972464
29,28,11,13,6,0,0,0,1,31.83908270555565
19,33,12,3,2,0,1,1,0,29.732813277035483
35,17,15,19,0,0,0,1,1,29.096679178205694
41,15,11,8,3,0,0,1,1,32.36192439127385
21,16,14,20,-1,0,0,1,1,34.734313529355695
22,22,13,12,6,1,1,0,1,33.773005219262146
24,23,9,5,3,1,0,1,1,38.0899606848573
30,21,13,9,4,0,0,0,0,27.96679229046321
30,10,15,13,6,0,1,1,0,29.098669210787087
27,30,11,11,3,1,1,1,0,26.749703073896452
42,21,10,11,4,1,1,0,0,24.020335989092786
36,20,14,12,7,0,0,1,1,30.396026973895072
29,26,10,14,4,0,0,1,1,31.47545688763528
7,13,12,20,5,0,0,1,1,39.46261719722322
35,24,6,20,5,1,1,0,0,25.670615971834
19,12,7,12,1,1,1,1,0,35.309554004761544
31,18,10,13,4,1,0,0,1,34.894210735416145
23,23,11,16,3,0,0,0,1,33.40184814167768
24,12,11,12,8,1,1,1,0,31.34592188241104
27,20,8,18,3,0,1,0,1,33.42944715421906
8,31,8,11,6,1,0,1,1,36.81685357300782
45,29,9,14,3,0,0,1,0,21.27266750031886
24,26,9,9,7,1,1,0,1,33.95706991087988
25,11,9,23,5,0,1,1,0,30.75313614751428
25,23,13,14,0,0,1,0,1,33.91038793147694
22,22,10,22,4,0,1,0,0,28.95803650755524
36,19,12,19,2,1,1,0,1,31.5462613183484
23,18,10,10,5,0,1,0,1,38.06965495651512
33,14,11,16,3,0,0,0,1,35.813651909393684
26,10,13,14,1,0,0,1,1,37.61697572330196
35,23,6,16,1,1,1,1,0,24.87570999236813
22,18,7,7,4,1,0,0,0,33.87603982553283
27,16,12,15,3,1,0,0,0,30.834514000013748
33,21,10,20,4,0,1,1,0,25.63164445889848
25,31,9,9,3,1,1,1,1,33.830932792190325
24,16,10,10,5,1,0,0,1,36.483538053430266
32,17,11,16,3,1,1,0,1,32.21845062036936
26,29,5,9,5,0,1,0,1,33.91006245460029
26,18,11,11,4,0,0,0,0,32.28038867318159
35,18,16,9,2,1,1,0,1,31.405646017446177
27,25,11,8,3,0,1,0,0,28.81945495114346
22,26,5,4,4,1,1,1,1,37.84656255076566
31,15,12,18,2,0,1,0,1,32.46033474670736
36,22,12,11,3,0,0,1,0,25.16046486259337
30,23,16,17,6,1,0,1,1,29.93116344429621
28,17,8,7,3,1,1,0,0,30.250385368915875
30,19,10,16,4,0,0,0,1,31.77405491046185
35,10,8,18,1,1,0,0,1,35.38660628555367
29,25,12,10,4,0,0,1,1,32.77364150264263
42,27,7,9,3,0,1,0,0,24.655049970575742
32,34,13,19,1,0,0,0,1,26.087595084902805
22,21,9,22,5,1,1,0,1,33.719784158971095
23,29,9,12,3,0,1,1,0,28.34634966330909
18,16,8,12,1,0,0,1,0,34.32705147746505
31,26,6,8,2,1,1,0,0,28.26199959404917
20,25,8,2,5,1,1,0,0,32.495785698573705
38,23,9,22,2,1,0,1,1,29.557105387740947
24,22,14,13,3,1,0,1,1,32.43980139095249
27,25,15,13,3,0,1,0,1,32.73598523286991
40,16,10,15,3,0,0,0,0,26.55868028837429
28,15,9,6,0,0,0,0,0,34.53741847642484
22,16,6,5,4,0,1,0,0,34.264707065224975
34,21,4,16,1,1,0,0,1,31.22836634120057
27,18,7,9,4,0,1,1,0,29.70929938838206
41,23,9,19,4,0,0,1,1,28.987393513592256
24,19,11,18,0,1,1,0,1,33.76763626822843
38,18,8,6,1,1,0,0,0,29.766669243821514
23,19,5,8,3,1,1,1,1,37.38707080849749
28,19,9,17,6,1,1,1,1,33.54915566968928
17,15,14,20,5,0,1,0,0,32.01773724045788
32,17,11,8,6,1,1,0,0,30.572692202443918
18,15,8,19,4,0,1,0,0,32.325040798152415
33,19,9,4,5,1,0,0,1,34.1193749041856
36,23,11,12,2,0,0,1,1,29.87652368983522
38,24,9,17,1,1,1,1,1,26.857073269861623
30,11,15,13,3,0,1,0,0,32.15961327363612
26,25,10,8,2,1,1,1,1,33.31065335070695
29,15,14,14,3,1,1,0,0,30.31103707368188
33,20,8,0,3,0,0,1,1,34.629832760099625
26,20,10,19,5,1,1,0,1,33.18647168929736
30,17,14,11,2,0,1,1,1,34.099799256282004
33,18,9,13,4,0,0,1,1,33.96984228082574
23,20,13,12,6,0,0,0,1,35.79168199474445
31,20,10,15,2,0,1,0,0,29.391210722276828
37,19,3,10,2,0,1,0,0,28.704597754181115
31,19,14,19,2,1,0,1,1,29.88798280343494
38,23,11,13,4,0,0,0,1,31.30528483195758
24,21,8,9,5,0,0,1,0,31.45415888299621
41,16,14,17,2,0,0,1,0,23.05463256836096
13,35,7,24,7,0,0,1,0,27.60991306737009
17,20,7,14,4,1,0,0,1,39.970757667329714
31,16,10,11,0,1,0,0,1,35.08992277348814
34,27,11,19,3,1,0,0,1,28.80036414101553
22,24,5,15,2,1,1,0,0,31.142098351004503
16,24,12,18,3,1,1,0,1,34.429274192475866
25,22,11,14,4,0,1,0,1,34.28067726128973
31,12,6,15,3,0,1,1,0,32.65312741105288
13,8,10,17,5,0,1,1,0,36.12910096443513
33,18,13,9,3,0,0,0,1,35.075687731241715
38,20,8,25,2,1,1,0,0,25.20326088975174
16,19,7,23,7,0,0,0,0,32.382078480491224
18,21,4,17,3,1,1,1,1,37.52737507196443
27,15,16,12,3,1,1,0,0,29.389353310255096
20,26,11,19,1,1,1,0,1,35.77596182446685
34,18,12,8,4,1,1,1,0,27.61733749068165
13,21,14,21,1,1,1,0,1,35.40725661014011
18,16,10,11,5,0,1,0,1,39.42554356888734
27,15,11,9,5,0,1,1,0,31.60548117370645
37,13,10,21,3,0,1,1,0,26.513657941113017
24,17,9,7,3,0,1,0,0,30.761472176202005
22,25,16,20,2,1,0,0,1,32.14046802499984
29,25,9,24,3,0,1,1,0,25.72724914450934
16,12,7,12,5,1,1,1,0,36.05232550301678
34,19,6,24,3,1,0,0,0,26.498941308317743
36,7,13,19,4,0,0,0,1,35.828548054299404
35,16,9,8,5,0,1,0,0,29.095883329215724
41,15,8,9,6,1,1,0,0,27.379550725807785
19,28,4,8,7,0,0,1,0,31.50484632713945
27,26,11,12,2,0,0,0,0,27.63919665807877
37,31,7,17,1,1,1,0,0,21.154244740911142
41,23,6,17,8,1,0,1,1,28.813291866489543
41,23,3,13,3,1,0,1,0,26.75122692478901
53,11,12,10,3,0,0,0,1,29.70049090559572
21,26,9,16,3,0,0,0,0,31.34170578447875
22,16,11,13,7,0,1,0,0,32.35577676558075
39,17,5,5,2,0,1,0,0,29.91613473674394
30,9,8,12,4,1,0,1,0,31.104601506215403
28,29,12,5,4,0,0,1,1,32.12014734111319
27,18,9,14,5,1,0,1,0,28.87620122251669
37,28,11,7,7,1,0,0,0,26.33273761618032
37,22,7,7,4,0,1,0,0,27.60870345181169
44,16,12,10,3,0,1,0,0,26.69424614980956
33,18,6,18,1,1,1,0,0,28.16247438342265
32,17,10,18,5,1,1,1,0,29.445628063248133
32,33,9,11,2,1,1,1,1,28.268463948185158
39,21,14,11,3,1,0,1,1,27.54360912887364
31,27,12,8,6,1,1,1,0,25.069155501744916
21,13,8,14,5,1,0,1,1,37.40327317265545
21,26,8,19,1,0,0,1,1,35.07159647521266
28,11,11,17,5,1,1,0,0,29.100925165880945
32,10,9,0,4,0,1,1,1,36.75601730164481
20,15,4,21,7,0,1,1,0,32.58695211889657
39,26,13,14,2,1,0,0,1,27.60185774840001
31,11,8,18,3,1,0,0,1,35.13956085230017
18,29,8,21,5,1,1,1,0,26.38068828472622
31,27,10,16,1,0,0,0,1,32.60504907083445
26,15,6,14,3,0,1,1,0,32.050104001954466
33,15,6,21,0,1,0,0,1,34.198839949245695
28,17,9,6,6,1,0,1,1,35.45764635194054
32,19,8,13,2,1,0,0,1,34.25609339817805
17,27,7,14,6,0,0,0,1,35.55093046587513
40,21,5,14,1,0,1,1,0,26.847825151726976
26,14,9,23,0,0,0,1,1,35.404835639910985
36,31,8,23,5,0,0,1,0,22.13111832318212
31,10,11,8,1,1,1,1,1,38.03337577604613
38,19,8,12,5,1,1,0,0,27.433816551357683
27,12,10,18,4,1,1,0,0,30.48153155968445
18,21,10,18,7,0,1,1,0,31.953016938608155
37,14,6,26,2,0,0,0,0,27.472380193506257
23,20,7,16,3,1,0,0,0,30.74615413925698
16,22,14,13,3,1,0,1,1,35.185010474471675
17,22,4,22,5,1,0,1,1,35.938306120876746
33,16,13,18,4,1,0,1,1,32.759078667058006
24,23,8,8,3,0,0,1,0,30.227543839370743
17,17,11,20,5,0,0,1,1,33.16153520325369
26,10,10,18,3,1,0,0,1,35.13340187547168
35,17,8,14,5,0,1,0,0,29.09541550037739
28,20,10,10,1,0,1,1,1,34.971609343455434
30,12,10,12,6,1,1,0,1,35.35329282267168
15,20,8,8,5,1,1,1,0,32.763722466927575
44,30,8,19,7,0,0,1,1,24.110159441695934
36,18,12,10,4,0,1,0,1,31.53616350473104
34,20,7,13,4,0,0,1,0,29.62710369594311
23,16,10,8,6,0,1,0,0,32.79227887041467
17,10,9,15,4,1,0,1,1,38.60408803351455
25,23,10,10,5,0,1,1,1,34.74891272860335
36,24,14,20,1,0,0,1,1,28.760500438057264
23,13,10,14,4,0,1,1,0,32.26002134340331
38,22,15,24,4,1,0,1,1,27.155477333526623
21,10,8,14,3,1,0,1,0,33.13095237158433
35,31,5,15,5,1,1,1,1,28.84614221349618
29,11,11,15,0,1,0,0,1,36.1689555663568
26,20,2,14,1,1,1,1,0,30.56198651527112
28,9,3,19,5,1,1,0,0,32.178516485698005
25,17,14,19,4,0,1,0,1,34.880239665701694
40,19,13,22,3,0,1,0,1,28.57638365030304
24,19,11,11,4,0,1,1,0,30.398480869881364
30,13,5,11,4,1,1,1,0,32.357991429604645
17,19,12,6,2,0,1,0,0,33.56064211315942
26,17,7,22,4,0,0,0,1,33.498416270582965
34,23,13,25,5,0,0,0,1,28.46137354166455
24,29,13,18,3,0,1,0,1,30.96234745861993
40,15,9,9,5,0,1,0,0,28.007673639345764
36,28,9,32,4,1,0,0,1,25.270461820722836
2,27,7,21,6,1,1,0,1,38.393307446376674
28,15,9,12,7,1,0,1,0,31.29997929535453
27,16,7,16,6,1,0,0,1,35.737369385296475
36,25,7,14,2,0,0,1,0,26.221829950461448
33,23,8,9,4,0,1,0,0,28.66301114849548
31,18,5,17,3,0,1,0,0,28.80796837761899
43,10,11,20,5,0,1,0,0,26.066037914745426
22,15,14,14,4,0,0,1,1,36.51553540945691
20,10,5,18,7,0,1,1,0,33.51465701434729
34,16,14,16,2,1,0,1,1,32.88525637566818
26,24,13,12,2,1,0,1,1,31.819110620617792
33,21,16,26,3,1,1,1,1,27.522489156745262
41,42,9,14,5,1,1,0,0,20.42409084454513
17,19,9,13,3,1,0,1,1,37.17724233066752
29,7,9,13,4,0,1,1,0,31.89046076957213
27,14,11,15,5,0,0,1,1,35.19738856818443
20,15,12,13,3,0,0,1,0,33.67856214240413
26,16,13,4,6,1,1,0,0,29.789479487309578
34,21,17,6,1,1,0,1,1,31.889409467190184
30,19,8,8,1,1,1,1,1,34.550170415126495
34,20,11,18,3,0,1,0,1,32.53661437800779
26,28,13,23,2,1,1,1,1,29.0568982556926
32,19,6,10,4,1,1,0,0,31.16843007172077
32,20,8,6,1,0,0,1,1,34.67546200132578
33,16,9,13,5,0,0,1,1,32.93319116404655
23,21,10,9,6,0,0,0,0,31.419138244338424
28,19,7,10,2,0,0,0,0,32.65979786173655
27,28,14,5,3,0,0,0,1,31.93765613225223
31,15,6,15,6,1,0,1,0,28.60421623242981
25,10,13,8,3,0,0,0,1,37.26102647781823
14,10,6,15,2,0,0,0,1,42.85551090905938
31,11,3,21,3,1,0,0,0,33.121511302047494
21,32,11,10,4,1,1,1,1,32.674394519291106
23,24,8,17,3,0,1,1,0,28.95667327786604
26,14,12,13,5,1,0,1,0,31.191724843875264
30,9,9,11,3,0,0,0,0,31.249875491530887
13,17,8,14,1,1,1,1,1,39.83708021112645
45,24,11,19,3,0,1,0,0,22.53956971650376
31,8,17,16,2,1,0,1,1,34.074563400146744
21,29,8,12,4,1,1,0,1,33.40099156075082
32,35,10,9,1,0,1,0,1,30.2376279850638
36,18,7,14,2,1,0,0,1,30.04613089259114
45,17,6,20,4,0,0,0,0,22.43279726749022
39,15,10,10,1,1,0,1,1,32.13151109572189
15,13,9,17,3,0,1,1,0,34.022172085869656
17,21,7,13,2,1,0,0,1,38.0902419362556
37,32,5,5,4,1,0,1,0,24.86190314852539
17,13,4,9,5,0,0,0,0,37.23626579138204
37,26,13,12,4,1,1,0,1,29.59408408255932
21,21,8,22,4,0,0,1,0,28.733628525702954
39,21,9,15,6,1,0,1,1,29.935085565255005
41,14,9,19,4,0,1,1,1,31.64441876063063
28,13,7,17,1,0,0,0,1,35.87959052495322
18,18,8,17,4,0,0,1,1,36.51352596759466
26,21,10,14,4,1,1,1,0,28.964425858573104
30,16,12,17,3,1,0,1,1,34.48466120154709
27,22,10,19,4,0,1,1,0,26.939449687321755
27,13,11,6,4,1,1,0,0,32.01889583514362
33,19,9,14,3,1,0,1,0,27.983743486268867
42,22,8,18,6,1,1,1,0,22.189975313941712
25,13,8,17,2,1,1,1,1,36.114934972374826
39,14,12,15,3,1,0,1,0,27.267554692793457
27,16,11,17,6,1,1,1,1,35.55659800702837
30,29,13,9,9,0,1,1,0,24.507155054666065
29,20,10,8,4,1,0,1,1,35.180320638534816
17,12,9,20,4,0,1,1,0,31.95612482915454
45,19,12,21,2,0,1,0,0,24.26761196150016
28,8,12,10,3,0,1,1,0,32.67254691907456
12,18,12,14,1,1,1,0,1,38.83444850740374
42,16,10,8,3,0,1,1,0,27.6015226493691
23,18,10,14,6,1,1,1,1,34.99119238425603
41,10,6,17,2,1,1,0,0,27.07033364649916
20,9,12,17,4,1,1,0,0,34.357716611104735
36,25,2,15,2,1,0,1,0,26.225727995155754
27,9,13,10,2,0,1,1,1,37.17080927366115
16,34,12,16,5,1,0,1,1,31.156161367077907
30,29,9,19,5,1,1,1,0,23.921838827458792
34,20,11,10,0,0,1,0,1,33.58393198755184
21,18,6,14,5,0,1,1,0,32.84492496520037
40,18,12,14,3,1,1,1,1,30.014766307073184
22,11,6,13,5,1,1,0,1,38.68817735230197
41,32,12,18,3,0,0,1,0,21.364779177692697
11,20,14,8,4,1,1,1,1,37.99238528041244
17,19,8,17,4,0,1,1,0,30.92073472770401
37,24,6,7,4,1,1,0,0,27.4508732488313
26,13,14,11,4,1,0,0,1,34.45643166437
20,21,12,9,3,0,0,0,1,36.5070848601901
28,27,8,13,4,1,0,1,1,31.221011311988605
25,19,9,8,2,0,1,0,1,37.88226129181397
30,21,15,11,5,1,1,1,1,31.68289494130736
35,36,11,14,3,0,1,0,1,27.00325940254148
28,11,8,11,4,0,0,1,0,32.40740772066888
23,22,8,9,4,0,0,0,0,30.59226192533262
28,18,7,14,0,1,0,0,0,31.22873436037291
35,8,5,9,5,0,1,0,0,32.53585510538092
26,23,14,8,6,0,1,0,0,28.833529787343107
20,18,8,3,2,0,0,0,0,34.49061157254603
22,18,11,17,0,1,0,0,1,35.03809436272587
24,36,9,14,4,1,1,1,0,23.64377556226736
32,13,12,3,4,1,0,1,1,36.67774938025738
35,25,9,7,3,1,0,0,0,26.46273409636977
30,18,7,14,2,0,0,1,0,28.12700341760554
41,18,7,8,6,0,0,1,0,28.074693198193344
12,27,11,18,2,1,1,0,1,36.58645368366526
24,10,7,22,6,0,0,1,0,32.972629988020074
25,13,8,9,1,0,1,0,0,33.56344907974433
20,16,15,15,2,0,0,0,0,31.353034544904173
31,13,3,10,3,1,1,1,0,31.39552365596699
45,18,15,18,3,1,0,1,1,26.291125230400425
11,13,8,8,4,0,1,1,0,37.43729178586716
30,10,11,20,3,1,1,0,1,33.24155143622423
27,23,2,12,1,1,0,0,0,31.41095108731893
12,27,10,19,1,1,0,0,1,34.57619721937157
41,21,12,8,5,0,1,1,0,25.2071413362258
38,21,5,21,6,0,1,0,0,25.331488577321213
10,20,9,13,5,0,1,0,0,33.13199280143222
8,21,11,5,5,0,1,0,1,39.16224613047628
23,24,3,9,4,1,0,1,0,30.133468139624483
27,15,3,12,1,1,1,1,0,32.3400973579378
24,10,8,2,4,0,0,1,1,39.276400554213375
49,17,9,10,3,1,0,1,0,23.049858936947334
36,26,10,6,4,0,1,0,0,26.197641135594488
20,20,4,14,0,1,0,1,0,32.846432428535195
24,21,14,15,4,1,0,0,1,34.65353926393237
26,12,9,22,5,1,0,0,1,34.99570321722018
29,22,8,7,1,0,1,1,0,30.67431658779659
38,9,8,16,0,1,1,0,0,30.665592757425784
48,15,15,14,1,1,0,0,1,29.080863371308
30,20,10,20,0,1,1,0,1,33.65696182314559
44,30,12,3,4,1,0,1,1,26.175856508314617
29,17,13,10,0,0,1,0,0,28.30997400406202
28,16,12,8,4,1,1,0,1,33.95253809178352
30,16,14,10,2,0,0,1,1,35.10482386252055
18,12,9,17,2,0,1,0,0,34.02611526250614
43,29,8,7,2,1,1,0,0,24.151700653881125
40,26,7,11,3,1,1,1,1,29.364437657421416
42,22,9,6,6,1,1,0,0,27.8656275867855
31,31,9,17,4,0,1,1,0,24.74398535707192
42,24,8,17,5,0,0,0,0,24.003635780505004
35,22,8,15,3,0,0,1,1,31.36313617458648
20,28,11,8,5,1,0,0,1,34.01133361720979
38,23,7,5,4,1,1,1,0,27.242493458702977
29,21,9,10,3,1,0,1,1,33.58891651314981
23,13,11,13,4,0,1,1,0,32.95642246123903
26,23,12,14,3,0,0,1,1,33.16067936936312
27,12,11,21,2,1,0,0,1,37.58660021047256
27,25,14,17,5,1,0,1,1,30.847322452566058
36,9,8,5,4,1,0,0,0,30.606376532498988
24,12,7,18,3,0,0,1,1,35.81816517468769
29,18,15,12,6,0,0,1,1,34.650339315362395
46,21,9,12,4,0,0,1,1,28.0888671395903
29,9,13,4,4,1,0,0,1,39.74325950016709
38,23,11,22,2,0,1,0,0,24.960481822210443
29,21,12,17,0,1,0,1,0,28.700662567234698
20,10,10,1,2,0,0,1,1,43.12241357082642
48,6,8,21,4,0,1,0,0,26.65634745049483
25,25,4,3,5,0,0,0,0,32.67235912177278
27,27,12,12,6,1,1,0,1,30.99757729677994
28,22,10,20,5,1,0,0,0,28.60160278835482
14,26,6,15,2,1,0,1,1,35.0026114968309
32,20,10,16,5,0,0,1,1,31.227603070924147
26,24,10,7,3,1,1,0,1,35.01219411175834
24,22,11,11,3,1,1,1,1,35.12940683787298
26,12,5,16,2,0,1,0,0,31.54162465596673
35,16,7,17,4,1,1,1,0,25.55787956968743
31,28,11,15,1,0,1,0,0,26.145649233364203
23,18,7,21,2,1,1,1,0,30.39436409735451
37,15,10,9,5,1,0,0,0,29.540107345856534
44,26,10,8,1,1,0,0,1,29.23318488040247
32,11,9,13,3,1,1,1,0,30.463631800001973
33,23,11,13,4,0,1,1,1,29.87989952133045
36,20,6,14,4,1,0,0,0,28.553438327808504
29,17,10,14,4,0,1,0,1,34.61339559938747
20,11,5,11,0,0,0,1,0,36.05862362085431
16,21,8,17,4,1,1,0,1,37.26638478890752
31,20,9,21,2,1,0,0,0,26.510980286056967
31,24,9,19,6,1,1,1,1,29.70090078428082
32,12,14,17,6,0,0,0,1,33.912737609737526
40,8,7,16,3,1,0,0,0,31.120134378838767
26,25,7,11,4,0,1,0,0,28.263938320288865
43,18,6,18,3,1,0,0,1,32.10644316151142
23,13,5,7,5,0,0,1,0,33.727619892332456
30,25,10,13,6,0,1,1,0,28.33935648323991
34,13,13,7,5,0,1,0,0,31.363392354587468
22,22,6,2,4,1,0,1,0,33.23651172460388
21,17,11,13,6,0,0,1,1,37.06992752919527
18,22,11,11,6,0,1,1,0,31.485875163032176
29,8,11,13,7,1,0,1,1,37.00931407211513
26,19,4,14,1,1,1,1,0,32.30502663906212
32,16,7,14,4,0,0,1,0,27.74323533909577
29,26,11,6,2,0,0,0,1,34.729343052546234
29,19,7,16,6,1,1,0,0,28.116990961448828
39,24,10,15,3,1,0,1,0,24.803206408307823
25,18,4,22,4,1,1,0,0,29.99457248227849
23,19,5,11,4,1,0,1,0,32.569693073503096
29,19,9,14,0,0,0,0,1,35.00383022842645
33,23,7,6,4,1,0,1,1,32.63567607630898
34,17,2,8,2,0,1,0,0,30.55363960083553
24,32,9,25,4,1,1,0,0,23.738926678540032
19,11,13,16,5,1,1,1,1,36.32128871318723
27,14,7,3,6,1,1,1,0,31.862679377560305
31,13,10,14,5,1,0,1,0,28.75908417294629
33,23,16,12,8,1,1,0,1,28.717453188455654
14,18,4,3,3,1,1,1,0,35.0989022200748
24,22,9,21,6,1,1,0,0,29.55742672791714
31,23,8,8,5,0,1,0,1,34.45489933358009
33,20,14,16,2,1,1,0,0,27.532954691416247
25,15,11,11,6,1,0,1,0,29.96088038808145
41,10,10,16,0,0,1,1,1,31.05886123103621
33,23,7,21,3,0,0,0,1,31.51276141668228
20,14,6,10,3,1,1,1,1,36.92006881205821
33,15,10,4,4,1,1,1,1,33.99368930836341
36,21,12,14,3,0,0,1,1,31.27654249601239
26,9,8,14,3,1,1,0,0,32.504511931616015
30,29,5,11,7,1,0,0,0,27.894285174446647
29,23,9,13,6,1,1,0,0,26.23438280933049
29,26,8,19,1,0,0,1,0,25.388789065922364
24,22,9,10,4,0,0,1,1,34.10164421463973
