age,education_years,income_level,registered_voter,political_affiliation,urban_resident,voter_education_program,voting_rate
25,34,6,1,1,0,0,66.85746626959582
38,24,7,0,0,1,0,72.5202892172226
2,23,6,0,0,1,1,62.82218326345252
30,18,5,1,0,1,0,68.04945825416982
20,17,10,0,1,0,1,72.41865080028022
38,16,5,1,0,0,1,76.174554343549
28,21,4,0,0,0,0,67.58203430254942
20,34,9,0,0,0,1,69.24159081764152
18,16,4,0,0,0,1,67.51792260066384
26,12,4,0,1,1,0,67.74909323869291
24,28,6,0,0,0,0,64.32045263203183
33,26,7,0,0,1,1,76.3753232523355
22,26,7,0,0,1,1,71.32557289397324
16,34,6,1,0,0,0,62.14055841650362
24,24,5,0,1,0,1,71.88611181343782
9,19,5,1,1,0,0,61.41726800152535
35,25,8,0,0,1,1,76.87151280278188
23,21,8,0,1,0,1,72.391392734723
32,24,7,0,0,1,0,69.9192808312337
38,21,0,0,0,1,0,69.12928084825788
17,28,4,1,0,0,1,68.96769659548254
29,17,6,1,0,0,0,65.53032628948162
24,20,5,0,0,0,0,65.46561096851836
21,27,3,0,0,1,1,69.58528477212226
12,22,3,1,0,1,1,66.98231369876751
22,25,6,1,0,0,1,71.14833733619837
24,21,3,0,0,1,0,65.51359749561642
15,29,3,0,0,1,1,69.99559743999475
8,32,6,1,0,1,1,65.19433847418115
22,22,6,0,1,1,0,64.35729040864446
6,28,6,0,1,1,1,64.27684264559326
25,13,7,1,0,0,1,74.00976720031464
12,31,7,1,0,0,1,67.87281947628641
34,26,2,0,1,0,0,68.46303320629407
35,19,0,0,1,1,1,76.3750411620062
13,18,3,0,1,1,1,67.69449808078329
21,22,5,1,0,1,1,69.94427037913937
35,19,7,0,0,0,0,70.08301699275667
14,20,9,1,1,1,1,69.832198844914
23,22,5,0,0,0,1,73.01650443204524
28,29,9,0,1,0,1,75.35333474899437
21,19,6,0,1,1,1,72.23338694204212
26,23,6,0,1,0,1,74.2535065789633
29,22,8,1,0,0,1,74.55578384603527
41,25,4,0,1,1,1,80.2943687864347
19,26,6,1,1,1,1,70.60772636579573
25,16,8,0,0,0,0,66.18977921079671
37,26,6,1,0,1,0,69.78101077091962
30,24,4,0,0,0,1,73.78871930247766
38,29,3,0,0,1,0,70.21729489351564
21,21,4,0,0,1,0,63.197674351441016
32,20,5,0,0,0,0,69.39381254849714
6,22,3,1,0,0,1,64.67701556832739
28,24,1,0,0,0,0,63.94885246670964
41,16,10,1,1,0,1,79.99632520623008
-2,26,5,0,0,0,1,58.40382006729095
9,16,7,1,0,0,0,60.10315678455502
36,21,4,1,0,1,1,75.66070176548959
15,22,7,1,0,0,0,60.9951724173911
9,25,9,1,1,0,1,67.53955700082062
39,24,7,0,0,0,0,72.96920626687704
9,18,4,0,1,0,0,58.80314657146737
17,17,4,0,1,1,0,63.00703146659933
25,23,6,1,0,1,0,66.72677839360979
13,21,10,0,0,1,0,60.90290036325084
19,22,5,0,0,0,1,68.05892237674642
21,20,9,0,1,0,0,63.826302684563416
21,25,8,0,0,1,1,68.70863662578212
13,27,9,1,0,0,1,67.48106508868668
31,26,9,0,0,1,0,68.81688939171865
19,23,3,0,1,0,0,63.930209929143686
2,23,8,0,1,0,0,57.852108735415705
4,25,9,1,1,0,0,57.98234269202677
27,20,8,0,0,0,1,72.83626323104372
29,20,6,1,1,0,1,73.53224887587432
16,30,5,0,0,0,0,61.4566377057795
18,24,2,0,1,0,1,69.73057596368997
33,21,5,0,1,1,0,68.65633818583483
29,28,6,0,0,0,0,66.66905074910318
23,29,3,1,0,0,0,62.37154178250913
16,25,3,1,0,0,1,68.37512223377206
19,24,8,0,1,0,0,65.84027928160899
30,24,6,1,1,0,0,68.40721475218548
30,30,6,0,0,1,0,68.74055421214388
22,24,0,0,1,1,0,64.55421321931435
18,28,4,1,0,1,1,68.66329774988571
26,29,2,0,0,0,0,64.84693224177902
14,23,8,0,0,0,0,61.20321943672898
41,33,5,0,0,0,1,78.75383098074623
23,26,4,0,1,0,0,64.60752546285933
28,21,5,0,0,0,0,66.59024803458915
29,30,13,0,0,0,0,66.30752210715575
14,26,6,0,0,1,0,59.87659363292581
25,24,7,1,1,1,0,68.51075885342192
35,17,4,1,0,0,1,75.60737976600802
31,32,9,0,1,1,0,70.41099487955654
25,21,4,0,1,0,0,67.03664410495495
38,18,1,1,0,0,0,70.92960011506395
34,21,11,0,0,0,1,77.59155759753403
30,31,7,0,1,1,1,75.92331153130019
36,24,7,1,0,0,0,69.02337331379414
31,21,6,0,1,0,0,67.2394811124816
22,21,7,0,1,0,1,74.33796727798399
19,29,4,0,1,1,1,68.71680729126237
13,24,6,1,1,0,0,60.91348046995538
38,24,3,1,0,0,0,69.45622775043041
16,33,6,1,1,0,1,70.63455444899755
29,24,5,0,0,1,0,66.45968724501022
16,27,4,0,1,0,0,62.77642556209428
23,22,6,0,0,0,0,64.03555152360605
21,27,5,1,0,1,0,64.64974216035024
7,19,6,0,1,0,0,58.87541211157503
35,27,7,0,1,1,0,71.305685896916
14,23,1,0,0,0,0,59.89967792264747
19,22,5,0,0,1,0,63.52933510862342
14,27,6,1,0,0,1,68.12246222400967
25,24,9,0,1,0,1,71.88832074941477
16,19,3,0,1,0,1,69.77862591816483
10,16,6,1,0,0,1,65.88069788912868
30,20,3,1,0,0,1,73.17167481924713
20,18,6,1,1,0,0,64.10845922545647
38,28,4,0,1,0,1,79.16053911798589
15,21,11,1,1,0,1,69.85603328159235
19,26,0,0,0,0,1,69.17846280359079
19,29,3,0,0,0,0,61.9141660478296
22,14,3,0,1,0,0,63.83695357172658
23,24,6,1,0,1,1,69.6777790937508
-2,22,2,0,0,1,0,54.422853729825086
21,25,4,0,0,0,1,71.36165388664313
43,20,7,1,0,1,0,73.07278197638881
13,23,7,0,0,0,1,65.36191987916168
36,24,7,1,0,1,0,69.78858552212219
23,20,4,1,0,1,0,64.52748999846155
56,19,4,0,1,1,0,78.79684668753755
19,26,5,0,0,0,0,62.614939041530334
24,24,11,0,0,1,0,65.13981620935022
21,18,9,1,0,0,0,63.7264177313954
23,22,8,0,0,0,0,66.16270047080506
28,27,6,0,1,0,1,74.13374329725222
41,23,7,1,1,1,1,80.13435437348947
20,34,6,1,1,1,0,63.981446764017136
23,24,6,1,1,1,1,73.16843753635874
24,16,9,1,0,0,0,64.76312526146174
19,24,8,1,0,0,1,69.01278487402787
25,17,1,0,0,0,1,73.3758699075345
25,15,5,1,0,1,1,71.80336860469451
3,31,2,0,0,0,0,56.97460380982895
19,27,7,0,1,0,1,71.42380800450297
8,23,6,0,0,0,1,66.35206004408155
24,27,6,0,0,1,0,64.41497057428508
22,21,3,0,1,0,1,70.2021550798091
47,18,4,1,0,0,1,81.39762616389287
26,23,6,0,1,1,0,67.55042665701382
10,23,3,1,1,1,0,60.26837302723816
27,20,7,1,1,0,0,67.34500135599268
4,26,4,1,0,0,0,56.09287811722465
43,16,7,0,1,0,1,79.46175042311968
30,28,7,0,0,1,1,75.80391169992785
23,25,6,1,0,1,0,65.74510458928765
14,27,3,0,1,0,1,67.92033770945187
-1,21,4,1,1,1,1,62.35455070284488
17,29,6,0,0,1,0,61.82433101663685
13,25,3,0,0,0,1,64.83947978413381
40,19,5,0,0,0,1,76.15387343560978
9,23,8,0,1,0,0,59.348040967415294
32,27,7,0,1,0,1,74.86108260676131
26,25,8,1,0,0,1,72.28610160549285
22,26,5,0,0,0,0,65.04261982868267
18,29,6,0,1,0,1,67.93292841188277
42,28,1,1,0,0,0,72.32045595339507
27,24,0,0,0,0,1,71.45662480426225
25,21,5,1,0,1,0,65.8266165643063
26,21,5,1,0,1,0,66.68104236965117
27,22,4,1,0,0,0,66.02996004404538
45,29,7,0,1,0,1,82.68532078907978
20,24,4,1,1,0,1,71.00470086823876
28,23,9,1,1,0,0,67.84512548163829
38,26,5,1,0,1,0,70.7211713862484
25,16,8,0,1,0,1,74.22410770019599
18,31,5,0,1,0,1,67.37552386457382
24,24,8,0,0,1,1,72.22961808262319
27,23,4,1,0,0,0,67.16420252166436
12,24,4,0,0,0,0,59.10075554819281
24,21,4,0,1,1,1,72.89047258603912
25,22,4,1,0,1,0,63.90832000069646
35,23,0,1,1,1,0,72.0733477243361
45,19,6,0,0,1,0,74.49930969677301
25,20,6,1,0,1,1,71.22168111811087
17,25,5,0,0,0,0,61.12609066790266
18,25,5,1,1,0,1,69.84246190026317
18,19,1,0,1,0,1,71.58525399292121
30,17,1,0,0,0,0,66.506933542711
24,20,5,1,0,0,1,70.99447014664432
30,22,3,1,0,1,1,74.84486231116473
19,23,6,1,0,0,1,69.32640307606395
19,22,8,0,1,0,0,63.95834469912743
31,20,2,0,0,1,1,74.93777474420703
23,21,4,1,0,0,0,62.066000937888816
31,20,7,0,0,0,1,75.39427189030289
33,23,7,1,0,1,0,69.33444552013253
13,22,4,0,0,0,0,61.91653416231557
24,21,6,1,0,0,1,72.42553368643767
18,21,9,1,0,1,1,72.5041676134968
38,22,8,0,0,0,0,71.760529911449
22,26,4,0,0,0,1,70.77692371260498
23,19,5,1,0,0,1,69.94477697063118
25,18,5,0,0,0,0,63.900328219579
11,28,1,1,0,0,1,66.76215681266795
17,30,7,1,0,0,1,69.4873785670673
15,24,6,1,0,1,1,67.84827913954184
37,29,3,0,1,0,1,76.08515347776013
21,22,7,0,0,0,0,64.93641368914277
6,25,10,0,0,0,1,64.11795959799548
21,23,5,1,0,0,1,69.69004339543636
25,28,3,0,0,0,1,71.3816837232064
19,28,3,1,0,0,1,70.5984626039526
41,24,2,1,0,1,0,72.03658868866995
33,25,6,0,0,0,1,76.37900830857947
36,25,5,1,0,1,0,69.98648168951269
3,23,10,0,1,1,0,59.473118811694135
29,23,6,0,1,0,1,74.15018893045381
26,18,2,0,0,0,0,64.7590222870763
3,23,4,1,0,0,1,63.2182076170584
35,24,5,1,1,1,0,70.04708849107688
19,20,7,0,0,0,1,70.01487499085842
27,25,3,1,0,0,1,72.65277635663185
20,24,3,0,0,1,1,70.25101600481517
25,20,6,1,1,1,0,65.450415721992
24,29,7,0,1,0,0,67.13094220291795
20,22,5,0,0,0,0,63.32059211455572
27,16,5,1,1,1,0,67.00712982910869
23,22,4,0,0,1,1,71.50221170066992
14,22,6,0,0,1,0,61.302094198820335
20,25,2,1,0,0,1,69.86015686764854
27,17,6,1,1,0,0,67.08762359210421
14,22,3,0,1,1,0,64.30228491155718
47,23,5,0,0,0,1,81.20851922260923
17,27,8,0,0,0,0,60.8082819547334
19,27,8,0,0,0,1,70.79840929685321
23,20,0,0,0,1,0,62.9195119491816
23,26,8,0,1,0,1,72.73312905191452
41,30,2,0,0,1,0,72.8862357395224
27,18,9,1,0,1,0,68.16098153451601
15,28,6,0,0,1,1,66.90838132127932
20,27,3,1,1,0,1,71.42271766245973
25,19,7,0,0,0,1,72.52693684535953
50,25,4,0,1,1,1,82.6197321499263
27,24,4,0,1,0,0,65.07686284794543
23,29,4,0,0,1,1,71.15926935623986
12,22,8,1,0,0,0,60.91155019368396
17,27,6,1,1,1,0,61.94367134795148
24,30,8,1,0,0,0,65.84576161352548
30,25,5,0,0,0,1,74.52829945261173
19,21,1,0,0,0,0,62.56383732800701
43,25,5,0,0,1,1,81.72623452440243
18,30,7,0,0,0,0,63.47064913430438
16,25,3,1,1,1,1,69.69962664372514
18,20,9,0,0,1,1,71.16237978239518
32,24,8,1,1,0,0,68.39126676639786
24,22,5,1,0,1,1,71.26476293370649
17,21,6,0,0,0,0,59.60362141296751
27,20,7,1,0,1,0,65.69685647730421
12,26,8,0,1,0,0,61.64564901384901
40,22,3,1,0,0,1,76.28446268114476
17,25,11,0,0,0,1,67.53201832738577
14,18,4,1,0,0,0,60.82287441914325
10,33,4,0,0,0,1,64.96811829456104
14,23,7,0,0,0,0,61.235865369753306
34,26,1,0,0,0,1,75.41971964639639
14,21,4,0,0,0,0,62.173316586691406
20,26,5,1,0,1,1,69.69935895261912
22,18,5,1,0,1,1,71.64415176762526
30,22,9,0,0,1,0,69.13544284725455
22,18,6,1,1,0,0,65.76404831404284
17,30,5,1,1,0,1,69.57691557468482
24,28,7,1,1,0,1,71.29460574280569
30,27,11,1,1,1,0,70.85029128707771
31,26,7,0,1,1,1,76.08200411158664
4,20,4,0,0,0,0,55.10457743152939
18,30,8,1,1,0,0,63.99355444503683
34,21,5,0,1,1,0,70.13104174720289
25,20,8,1,1,1,1,74.50360267879198
28,23,7,0,0,1,0,65.74415105348422
35,34,9,0,0,0,0,71.52730907512345
15,26,5,0,1,0,0,63.97348020313102
38,17,3,0,0,1,1,77.37999963403846
29,28,0,1,1,0,0,67.14429255525268
18,21,4,0,0,1,1,66.9471638222624
32,27,8,1,0,0,1,74.11802036791542
26,20,9,0,0,0,1,73.48919932464499
13,24,6,1,0,1,0,63.41860418165528
34,18,7,1,0,0,1,74.61468677689955
41,21,1,0,1,0,1,79.22211157722795
2,24,7,0,0,0,1,65.00708625984885
34,20,5,1,1,0,0,70.46114746816336
19,21,8,1,0,0,1,70.12405141320522
33,14,7,1,1,0,1,77.08492704064771
46,22,5,1,1,0,1,80.8278050229312
28,23,6,0,0,0,1,73.50394535726595
25,18,6,1,1,0,0,65.44869963616449
15,23,5,0,1,0,0,61.286249313191774
17,19,6,0,1,0,0,61.1165633200807
22,27,9,0,0,0,1,71.44793447742242
28,21,7,1,0,1,1,74.57670271270486
41,15,7,1,0,1,1,80.1982774933101
20,18,4,0,1,0,0,63.238220049462086
13,27,5,1,1,0,0,62.162465606672896
14,22,3,1,0,0,0,63.62066274905953
11,21,3,0,0,0,0,59.62095899039876
12,24,6,1,0,0,0,59.22339771501758
22,22,5,0,1,0,1,71.19186990547111
16,21,4,1,1,0,1,69.40379781785931
19,22,6,0,1,0,0,63.6777524913534
41,31,5,0,0,1,0,71.43096592389422
37,21,5,1,0,0,1,78.10295773674257
8,33,7,0,0,0,1,66.8809622788904
18,21,7,0,1,0,1,70.95396692473871
22,21,8,1,0,1,1,71.35803140480893
24,27,7,1,0,1,1,70.44465270071544
22,27,7,0,0,0,0,62.96949685605968
11,29,3,0,1,0,1,67.23995927117483
18,26,4,0,0,0,0,62.05563815391513
10,29,3,0,1,1,1,67.28059685201299
35,23,6,0,1,1,1,78.7863303315206
18,24,0,0,1,0,1,69.61175946473605
24,23,7,0,0,0,1,72.63041687330333
30,27,4,1,0,0,1,73.80926126453966
30,25,4,0,0,0,0,66.17452273770066
26,20,2,0,0,0,0,66.1359609482272
10,23,7,0,0,0,1,64.7787546559359
27,26,6,0,0,1,1,72.81416616917818
16,27,9,0,0,1,0,63.89054419090251
25,27,3,1,1,0,0,63.55739691125442
19,23,8,0,0,0,0,65.15890542706502
51,25,3,1,1,0,1,83.10162306364748
9,28,7,0,0,1,0,59.00094338255987
12,27,5,1,1,1,0,61.61288236625475
41,19,7,1,1,0,1,79.88107888870749
18,26,8,0,1,0,0,64.59250411695353
23,22,5,1,0,1,1,71.41066550526132
18,21,9,0,1,1,1,71.09524815102236
29,27,7,0,0,0,0,67.76825236851086
13,28,7,0,0,1,1,66.46806245269066
21,14,6,0,0,1,0,63.019735452068026
34,19,6,0,0,0,1,75.66310886912302
10,24,6,0,0,0,1,65.53294782042114
7,21,5,1,1,1,1,67.03847930410406
32,22,5,0,1,1,0,70.30877517369107
24,33,1,0,0,1,0,63.789012694868326
12,21,5,0,0,0,1,66.94473848633967
25,24,9,0,1,0,1,73.56828840039951
22,22,2,1,1,0,1,70.99374053618992
28,25,4,0,1,0,0,67.82330299809072
34,17,9,0,0,0,1,75.84939328698567
39,30,7,0,0,1,1,80.69451299018829
28,27,6,0,0,1,1,75.05627620661001
38,23,7,0,0,0,1,76.0553212298453
29,24,6,1,1,1,0,68.22035834641984
26,25,5,0,0,1,0,65.64489019296798
10,33,6,0,1,0,0,59.56221297696476
10,30,5,0,0,0,0,58.52218857569285
38,20,4,0,0,1,0,71.93172204296907
28,24,1,0,0,1,1,73.68784464986066
32,28,2,0,0,0,1,75.23251107440049
18,21,6,0,0,1,1,69.28976755838615
32,24,3,0,1,0,0,68.90539085444173
24,20,5,0,0,0,0,62.10495797830058
33,24,8,1,0,1,1,77.10986914002305
34,21,3,0,1,0,1,77.35715109358368
21,20,5,0,0,1,0,63.01294188191336
10,22,5,0,1,0,1,64.49710646968475
12,19,7,1,1,1,1,67.62922761720155
29,22,5,0,0,0,0,68.92221765951221
25,28,7,0,0,0,0,65.67460834341338
38,22,3,0,0,0,1,79.06321574230807
-8,18,6,0,0,0,0,48.92297813740804
31,24,6,1,0,0,0,67.71661582863486
14,19,0,0,0,0,1,67.06415546703
37,28,7,0,0,0,1,75.96433126387062
14,28,9,1,1,0,1,70.00013572404248
34,22,5,0,0,1,0,70.28828371605802
19,34,5,0,1,0,1,70.6714751538819
29,29,3,0,1,0,1,74.46583744338402
26,26,7,0,0,1,0,66.22509001741766
6,31,4,1,0,1,1,64.24294162014566
13,25,5,1,0,0,0,60.03406578701251
43,21,1,0,0,1,1,79.71189213808829
22,33,7,0,1,0,1,73.56951388488307
35,24,9,1,0,0,1,76.85310274959873
15,20,9,1,1,0,1,69.37179078524903
13,24,6,1,1,1,0,60.81576698380145
25,24,4,0,1,0,1,72.86469263501371
27,24,5,1,1,1,0,67.19313212466918
24,27,3,1,0,1,0,66.11946563406295
17,25,5,0,1,0,0,61.60894616991447
32,21,5,0,1,0,0,69.55134264635251
14,22,4,1,1,0,1,69.40168598075383
27,22,5,1,0,0,0,66.84568369012224
23,22,6,0,0,0,1,71.85363715857102
20,26,0,0,0,0,1,69.79817904541375
24,15,7,1,0,0,1,72.81204335300481
30,29,13,1,1,0,0,69.77273011964822
35,20,7,1,1,0,0,71.15762376880033
16,27,3,0,0,1,0,61.82603338528044
28,17,7,1,1,0,1,73.46006657922602
40,32,9,0,0,0,0,71.62237806599302
10,28,5,0,0,0,0,61.34015022446406
23,30,6,0,0,1,1,70.67594892221697
27,21,4,1,0,1,0,67.88868082206743
23,25,8,0,1,1,1,72.74518909252389
43,29,6,1,0,0,0,74.34755789718504
26,21,6,1,0,0,0,65.951229171237
19,24,6,0,1,1,1,69.02170596504179
31,23,6,0,0,1,0,68.53903857809645
24,21,5,0,1,0,0,67.36149076809328
14,28,8,0,1,1,1,68.82791291186116
36,27,6,1,0,0,1,78.01861874868985
25,18,6,1,1,1,1,73.25188730389239
34,29,7,1,0,0,0,69.4447315031444
23,29,3,1,1,1,0,66.37676535548401
23,26,10,0,0,0,0,64.17341925603363
16,25,5,1,1,1,0,62.34796765057976
19,27,3,1,0,0,0,60.23893222228105
28,24,5,0,0,1,0,68.14800610633715
18,23,3,1,0,0,0,61.89428934952653
22,26,5,0,1,0,1,70.82591836402935
25,26,4,0,1,0,1,74.45051601293493
21,29,6,1,0,1,1,71.79078620364655
34,19,5,1,0,1,0,69.9254117001063
40,29,6,0,1,1,0,72.47506467350713
24,18,7,0,0,0,1,71.03016907143517
11,22,8,0,0,1,0,60.03871451852768
34,19,5,0,0,1,1,75.98556744251336
32,22,5,0,1,1,1,76.62413909108959
12,22,4,1,0,0,0,58.49345060036999
31,18,4,0,0,0,0,66.64711930571787
32,26,6,0,0,0,1,77.2588309054492
22,26,5,0,0,1,1,70.60272236404938
33,18,6,0,0,0,0,71.41860638826174
20,22,5,0,0,0,0,62.336761153652354
21,21,5,0,1,1,1,71.64132424758989
9,23,5,0,0,0,0,59.38609485288215
29,19,4,1,1,0,0,68.82099712581802
33,22,6,0,0,0,0,66.31912587614482
32,17,4,0,0,1,0,67.04795647074386
11,20,5,0,0,1,0,59.15254143200799
8,18,7,1,1,0,1,65.80731774863507
31,23,2,0,1,0,0,69.98113973220066
19,24,8,1,1,1,1,71.59379219975767
22,27,5,0,1,1,0,64.90714232075184
23,22,7,1,0,1,0,66.47177912668613
16,29,7,0,1,0,1,69.21208251429475
38,26,10,1,1,0,1,77.22217180082326
31,12,2,1,0,1,0,66.60026594394404
11,24,6,0,0,0,0,59.76280819734987
16,27,3,0,0,0,0,60.84908519332825
19,20,8,0,0,1,0,64.56246669333764
25,24,7,0,0,0,1,73.25798613281995
24,16,8,0,0,0,1,71.61432927444277
8,25,6,0,1,0,1,65.36321802394163
12,23,7,1,1,1,1,67.24841408124159
18,24,7,0,0,0,0,63.30100642832216
29,27,7,0,1,0,0,68.65259326202685
31,26,1,1,1,0,0,68.0317305957261
11,25,7,1,0,0,0,60.71779061275967
32,26,4,1,0,1,1,75.7112522399514
26,26,8,1,0,1,0,66.30198266474471
3,17,4,1,1,0,1,62.84946018381485
22,21,5,0,1,0,1,72.53726432937766
23,31,6,1,1,0,1,72.94250849629208
31,20,5,0,1,1,1,75.8599673364683
32,21,8,1,1,1,0,71.51528018746686
19,26,7,1,1,1,0,64.4403049963661
48,22,8,1,1,0,1,81.71913928896022
8,27,6,0,0,0,1,66.24133380694782
8,26,3,1,0,0,0,59.17164784330191
16,28,11,0,0,0,0,61.193882683517295
12,17,4,1,0,0,0,59.75842879112247
28,24,6,0,0,1,1,74.24527422196546
20,25,5,0,0,0,0,64.37066352640954
17,24,5,0,0,1,0,63.4261028210274
36,26,7,0,0,1,0,70.16891882864628
32,33,0,1,0,0,1,74.18443215903262
36,26,5,1,1,0,0,72.74465583150534
17,31,5,0,1,0,0,62.844341161833775
58,22,5,0,0,0,1,85.98615501947364
22,28,3,1,0,0,0,63.57656305027427
9,24,5,0,1,1,0,58.070538838716494
35,28,6,1,1,0,1,78.00837549524057
19,26,4,0,1,0,1,69.45662528088491
26,30,3,0,0,0,0,64.2339967857313
26,20,9,0,1,1,0,67.33297683724797
19,28,2,1,1,0,1,69.199773578686
27,27,4,1,1,1,0,69.03273027887997
19,19,7,1,0,1,0,63.92671658639623
10,25,4,0,1,0,0,59.919191011243626
0,29,4,1,0,0,0,56.047736967505976
28,29,6,1,0,0,1,70.67562631709357
28,25,6,0,1,1,1,73.64656203103654
24,18,7,0,0,1,0,65.61954439950242
5,25,2,0,0,0,1,63.06207359257983
20,25,8,1,1,1,1,72.70069073852726
13,23,11,1,0,0,1,68.53723266261555
39,27,5,0,1,1,0,72.23528064423179
17,23,10,0,1,0,0,66.28691859538353
7,24,5,0,0,1,0,58.50908936416463
41,21,12,0,1,0,1,81.710952656522
26,25,8,0,0,0,0,67.3132515830329
30,25,2,1,0,0,1,72.64051690737283
19,28,8,0,1,1,0,64.51088674546781
32,25,4,0,0,0,1,76.62030406925936
5,31,6,0,1,0,1,65.86966690966587
33,22,4,0,1,0,0,71.20958350021432
25,28,5,0,0,0,0,63.52937063510207
26,21,5,0,0,0,1,72.50637282178327
27,23,8,1,0,0,0,65.98275918878922
30,19,8,0,1,1,1,76.06730204907281
24,23,4,0,0,0,0,65.24321667641938
14,25,6,0,1,0,0,61.5699671586636
31,29,7,1,1,1,0,71.00045200304163
16,22,8,0,0,0,1,67.99221688067735
9,23,7,0,0,0,1,66.25462890381337
14,30,6,1,0,0,1,68.20227025413273
31,19,7,0,0,1,0,67.79342018292316
22,25,8,0,0,1,0,65.45753805745393
44,23,7,0,1,0,1,81.29780878638888
26,27,8,0,0,0,1,71.82661231560135
20,27,10,0,0,0,1,70.86829569984172
18,29,7,1,1,0,1,70.61485255207059
-5,25,10,0,0,0,1,59.596904931894834
23,19,8,0,1,1,1,74.18037528453063
13,24,3,1,1,1,1,66.9882514744549
2,25,5,1,0,1,1,63.12456103317953
17,21,6,1,0,1,0,63.25837605778592
10,22,8,0,0,0,0,57.38274650783811
12,25,2,0,1,1,0,61.09400366682914
33,17,7,1,1,0,0,71.11472895026155
23,27,3,1,1,1,0,62.70684865875301
33,26,6,0,1,0,0,69.15508203631275
39,25,6,0,0,0,1,76.18357897229014
35,24,9,0,1,0,0,72.1940350184967
11,24,5,0,0,0,1,65.89429521249819
31,21,2,0,1,0,0,69.98352696915883
44,21,1,0,0,0,1,78.35445238113496
31,23,6,1,0,1,1,77.00547013963694
38,17,6,0,0,0,1,76.77667024362479
19,27,7,0,1,0,0,65.20354902915237
13,24,8,0,0,1,1,69.04090714602263
22,24,6,0,0,0,0,63.67989909453965
1,22,1,0,1,0,1,61.85988137974319
37,17,7,0,1,0,0,73.24679619993162
16,18,-1,1,0,1,0,61.921185335558576
15,21,5,0,1,1,1,67.58454880999696
26,28,6,0,1,0,0,67.2486978927149
29,22,4,0,1,1,1,74.17937962409097
