education_years,political_interest,civic_participation_score,registered_voter,prior_voting_history,campaign_invitation,campaign_participation,political_knowledge_score
4,2,0,1,1,1,1,56.99688512948303
4,3,0,0,0,1,0,49.94054086500687
2,3,0,0,1,1,0,49.36752110943028
2,3,-1,1,1,0,0,49.61706136297087
2,3,0,0,1,1,0,50.71674100149304
3,2,0,1,0,1,0,50.21731588153685
2,2,0,1,0,1,0,50.26043308232771
8,4,1,1,0,1,0,49.25581381781337
6,3,0,1,1,1,1,56.20441094402005
5,2,1,0,1,1,1,55.761077131122136
2,2,0,1,1,0,0,48.28384128545213
8,3,0,0,1,1,1,55.93412188076092
3,2,0,1,0,1,1,56.35239663862535
4,1,0,0,1,1,1,56.13525835599592
2,2,0,1,1,0,0,50.28488028601314
3,2,0,0,0,1,1,57.54958047858228
4,2,0,1,1,1,0,48.78235088243714
3,3,0,1,1,1,1,56.56385424854256
5,3,0,0,0,0,0,50.58979772158155
5,2,0,0,1,1,1,55.53960373857203
5,2,0,1,1,0,1,54.9612266333964
3,3,0,0,0,0,1,56.11773498884341
4,3,1,1,0,0,0,50.77101318777648
0,3,0,1,1,1,0,48.13692496143276
6,3,1,1,1,1,1,56.84208090968792
1,2,0,1,0,0,0,46.77314500038128
5,3,0,1,0,1,1,56.656391066094784
2,4,0,1,1,1,1,55.3847225400255
5,3,0,1,1,1,1,54.4318668031982
6,3,0,1,1,1,1,54.94428481875863
1,3,0,0,1,1,0,50.32759804480261
9,3,0,1,1,1,1,56.95291808154131
5,3,1,1,0,1,1,55.5555054052916
2,2,0,1,1,1,0,49.13297713015282
2,3,0,1,1,1,1,57.22334185635116
4,2,0,0,1,1,1,58.38705278872492
3,2,-1,1,1,1,1,55.63647418323922
4,3,0,1,1,0,0,50.669227413405295
5,2,0,1,1,1,1,53.3612053386963
8,3,0,1,1,1,1,57.056628728836586
2,3,0,1,0,0,0,50.73855423839587
6,2,0,1,1,0,0,50.662642842673804
4,3,0,1,1,1,0,48.659586253975135
1,3,0,0,0,1,1,56.5062278249397
7,2,0,0,1,0,1,57.1344336311204
2,3,0,1,1,1,0,50.212044278846086
2,3,0,0,1,1,0,49.46867898035567
3,2,0,1,0,1,0,49.86926430188319
5,3,1,0,1,1,0,48.59166622301215
0,4,1,1,1,1,0,52.092002908833024
2,3,0,1,0,1,0,49.3940263209949
1,4,0,1,0,1,0,49.66156638450373
5,3,0,1,0,0,1,55.03324910698091
8,2,0,1,0,1,1,55.27607995006602
0,2,0,1,1,1,0,48.09210660877965
0,2,0,1,1,0,0,49.29020473789024
2,2,0,1,0,0,0,50.32177031726121
3,2,0,1,0,1,0,48.230290708253136
2,2,0,1,0,0,0,49.69962928052268
1,3,0,1,1,1,0,48.854730782613856
3,2,0,1,1,0,0,48.35639974987488
4,2,0,1,1,1,0,51.1489220435024
4,3,0,0,1,1,1,56.75004644505039
3,3,0,1,1,1,0,45.70420786856965
4,3,0,1,1,0,1,56.67149498055189
0,3,0,1,0,1,0,49.20149511330115
2,1,1,1,0,0,0,51.1161545903481
0,2,0,1,0,1,0,49.69238978584689
0,2,0,1,1,1,0,49.90640048479847
4,2,0,1,1,0,1,56.14477411088879
7,3,0,1,1,1,1,56.85057649159344
2,2,0,0,1,1,0,50.16878240457763
3,2,0,0,1,1,1,55.39552396133827
0,3,0,1,1,0,0,49.342262700698456
0,3,0,0,0,1,0,49.65809989273051
3,2,0,1,1,1,0,49.04170765311021
3,2,0,1,1,1,1,54.68479429927276
6,2,2,0,1,1,0,48.87435196159935
2,3,0,0,1,1,1,56.735349120309024
3,1,0,0,0,1,0,50.35476785340904
3,3,0,0,1,1,0,49.48117317535869
1,2,-1,1,0,0,0,48.25332945398191
2,3,0,1,0,0,0,49.96996486728205
6,3,0,1,1,1,1,55.45865542536392
7,3,0,1,1,1,1,55.73625128567036
3,3,0,1,1,1,1,56.3663736334638
2,3,0,0,1,1,0,49.41409092691898
0,3,0,0,1,1,0,50.790627971900186
3,3,-1,0,0,1,0,51.48147334609243
8,2,0,0,1,0,1,57.60171784980625
4,2,0,1,0,1,0,52.0340542704328
0,3,0,1,1,0,0,49.310905810390246
0,2,0,0,1,1,0,50.15866158204792
3,3,0,0,0,1,0,47.840350839402
4,2,0,1,1,1,1,56.10696436970099
3,3,0,0,1,1,1,57.1435028336464
4,2,0,1,0,1,0,49.83801367968722
3,4,0,1,1,0,0,50.14144115762055
5,2,1,1,1,0,0,49.53312114095247
3,2,0,1,1,1,0,52.32043781771145
2,2,1,1,0,1,0,49.67446269941169
3,3,0,1,0,1,0,48.71147006458601
3,2,0,1,0,1,0,51.30218007341088
7,2,0,0,1,1,1,59.1109804242882
0,3,0,0,1,1,0,48.92252491154604
0,3,0,1,1,1,0,50.06720547147195
1,2,0,1,1,1,0,49.82730024927239
6,2,0,1,1,1,1,55.90451145566083
6,2,0,1,1,1,1,55.97961447075346
4,3,0,1,1,0,1,56.43701215243948
2,3,0,1,1,1,1,55.2317133859507
7,3,0,1,1,1,1,56.86928986824523
4,2,0,1,0,1,1,57.84902098509205
7,2,1,1,0,1,0,51.31563041649153
6,3,1,0,1,0,1,56.87314440789558
3,2,1,1,1,1,0,48.62000225533161
3,2,0,1,1,0,0,49.0898386123069
2,2,0,0,1,1,1,55.94721931009127
2,3,0,1,0,0,0,48.84155674091285
9,3,0,0,1,1,1,57.81775124614008
1,3,0,1,1,1,1,55.25080301898684
4,3,0,1,1,1,0,50.288404413846365
4,3,0,1,1,1,1,56.21735430990586
4,2,0,1,1,0,1,55.8055615203051
2,3,0,1,1,1,0,50.34325317761078
2,3,0,1,1,1,0,48.92454103945583
3,3,0,0,1,0,0,49.73556353018405
3,2,0,0,1,1,1,54.57178747425436
7,3,0,1,1,1,1,57.354827574736085
8,3,1,0,1,1,1,58.640174627773526
0,3,0,0,1,1,0,49.95146782483266
2,2,0,0,1,1,0,48.07404787248373
6,3,0,1,1,1,1,56.33128120811845
6,2,0,0,0,1,0,51.39168605891439
3,2,0,1,1,1,1,55.52912070593937
6,2,0,1,0,1,1,55.47305053704565
3,3,0,1,1,1,1,53.60687548205695
6,3,0,0,1,1,1,57.26582269555562
2,2,0,0,0,1,0,52.12017630674
7,3,0,1,1,0,1,56.08981606997818
5,2,0,0,0,0,0,50.49137213110813
5,3,0,0,1,0,1,57.68352594579692
3,2,1,1,0,1,0,49.86927220797652
5,3,0,0,1,1,1,55.80292687879307
3,3,0,0,1,1,1,55.4752666398525
4,3,0,1,0,1,1,55.50618100092057
7,3,0,0,0,1,1,56.68958355333346
3,4,0,1,0,1,1,55.79520324352708
4,2,0,1,1,1,1,55.35193395547069
0,2,0,1,1,1,0,48.78977723067982
6,3,0,1,1,1,1,55.59249679861156
0,3,0,1,1,1,0,48.840106151561386
-1,4,0,0,1,1,0,49.95226822399588
1,3,1,1,1,1,0,48.82046005647372
0,1,0,1,1,1,0,52.386413035941
7,3,0,1,1,1,1,56.4394801533501
3,3,0,0,0,0,0,50.81523959660058
7,2,0,0,1,1,1,57.36651587107698
6,3,0,1,0,0,0,49.089873160858566
5,2,0,1,1,0,0,49.24315013417332
6,4,0,0,0,1,1,55.70220766658549
4,2,0,1,0,1,0,49.851642188859735
4,3,0,0,1,0,0,49.633679379846654
1,3,1,0,1,1,0,49.54503562538432
1,2,0,1,1,1,0,49.15132831971336
3,4,0,1,1,1,1,57.81934475120788
2,3,0,1,1,0,0,49.77722416646181
4,3,1,0,1,1,0,50.158865175272666
2,2,0,0,0,1,0,50.60343282258384
7,2,0,0,0,1,1,57.33558117233875
2,2,0,1,0,1,0,49.323586637581634
3,2,0,0,0,1,0,50.28819543604147
4,1,0,1,1,1,1,54.3579443874966
2,2,0,0,1,1,0,49.67316908530368
4,3,0,0,1,1,1,55.78630483949291
3,1,0,0,1,1,1,55.732899030738864
6,2,0,0,1,1,1,55.790308210326025
11,2,0,1,1,1,1,55.52249419926825
4,3,0,1,0,1,0,50.57131099776233
7,2,1,0,1,1,1,55.508103097877154
5,3,1,0,1,1,0,50.68664620869829
7,3,0,1,0,1,1,56.80641139785934
4,2,0,0,1,1,0,49.812532217264526
5,3,0,0,1,0,1,56.81347881613355
2,2,0,1,1,1,0,48.791151152504206
4,3,0,1,1,1,0,51.29019958367781
0,3,0,1,1,1,1,56.59534554865448
7,3,0,1,0,1,1,55.572393990021055
4,2,0,1,1,1,0,49.94569216805544
1,2,0,1,0,1,0,49.43672665655456
4,2,0,1,1,1,1,55.628465947235696
1,2,0,1,1,0,0,48.26049414224001
4,2,0,1,1,1,1,55.46961278269524
0,3,1,1,1,1,0,47.78705773897882
0,2,0,0,1,1,0,50.652457037184895
2,3,1,1,0,1,0,50.44806775535962
1,2,0,1,0,0,0,51.09702758736625
4,3,0,1,1,0,1,55.9795629054137
5,1,0,1,1,1,1,55.82043963410538
2,1,0,1,0,1,0,50.54063478411681
0,3,0,1,1,0,0,49.26805814759114
4,4,1,1,1,1,0,49.134788147528894
5,2,0,0,1,1,1,57.03724982078109
5,2,0,0,0,1,1,57.278452956790574
5,2,0,1,1,1,1,54.63608505058439
4,2,0,0,1,1,0,50.55032282557264
3,3,0,1,1,1,0,52.05765298198212
9,4,0,1,0,0,1,56.48451238047859
2,2,0,1,1,1,0,50.957778405926895
0,2,0,1,0,0,0,49.48762008960925
6,1,0,1,1,1,1,56.83875966785449
1,2,0,1,0,1,0,49.785786872941
4,2,0,1,1,1,0,49.86111309604723
3,3,0,1,0,1,0,50.52344729244989
0,2,0,0,0,1,0,48.152760900394064
2,3,0,0,0,0,0,48.50586225364373
4,3,0,1,0,1,1,56.498099642170295
6,3,0,0,1,1,1,55.67032593920037
2,2,0,0,0,0,0,48.05291841084729
1,3,0,1,1,1,0,49.743391190708415
5,3,0,1,1,0,1,55.07949090073345
9,2,0,1,0,0,1,58.47363614326509
1,1,0,1,0,1,1,56.06942126599672
7,2,0,1,1,1,1,56.12879892366888
4,3,0,1,0,1,1,55.18439368135124
4,2,0,1,0,1,1,55.61314628047009
3,1,0,1,1,1,1,55.182617434633386
6,3,0,0,1,1,1,56.73468063763143
2,2,0,0,0,1,0,50.47548360256158
1,2,0,1,0,1,1,55.82700594586565
5,3,0,1,1,0,1,54.76288978511814
0,2,1,1,1,1,0,50.90213845883507
0,2,0,0,1,1,0,49.98538305798141
2,3,0,1,0,0,0,48.144055861987226
3,3,0,1,1,0,0,48.302360075293336
3,1,0,1,0,1,0,48.31466902219689
3,3,0,1,1,0,0,49.78023781010712
3,2,0,1,1,1,1,55.67426203238794
4,2,0,1,0,0,1,56.28032665533237
3,2,0,1,1,1,0,50.798096546437904
7,3,0,1,1,1,1,55.895540205316095
5,2,0,1,1,1,1,55.915903162681325
6,2,0,1,0,0,1,56.46160301480399
2,3,1,1,1,0,0,48.0694513172533
4,2,1,1,1,1,0,50.23826288103796
5,3,0,0,1,0,1,55.84100063825198
1,3,0,1,1,1,1,53.85617910592656
2,2,0,1,1,1,0,48.975708816954736
2,3,0,1,1,1,0,48.32476161104125
6,3,0,0,1,1,1,56.7002359468034
6,3,0,0,0,1,1,56.09472593876539
6,3,0,0,0,1,1,58.69932284251842
4,2,0,1,0,1,0,49.5850260623222
8,3,0,1,1,0,1,55.60403833638671
6,3,0,1,1,1,1,54.09193627328488
2,2,0,1,0,0,0,49.97906920315011
0,3,0,1,0,0,0,49.48696621609828
6,1,0,1,0,1,1,56.76211012023832
3,1,0,1,1,0,0,49.708928557110816
5,2,0,1,1,1,0,48.73714737336804
2,4,0,0,1,0,0,48.37652481530732
2,2,0,1,0,0,0,50.99942856156015
4,2,0,1,0,1,0,50.06461983797294
2,2,0,0,0,0,0,48.47024920810127
8,3,0,1,0,0,1,54.31498525631099
7,3,0,1,1,0,1,56.12035601589356
4,3,1,0,1,0,0,52.24261773430226
8,2,0,1,0,1,1,56.4224366721446
3,2,0,1,1,1,1,54.88690139863565
5,2,0,1,0,1,1,55.08341819377389
5,2,0,1,1,1,1,55.19242578658104
2,3,1,1,0,0,0,49.89750211409134
3,2,0,0,1,1,0,48.221236796379685
5,3,0,1,1,1,1,55.95472901047678
2,2,0,1,1,1,0,48.42588867891449
0,3,0,1,1,0,0,49.41645476002641
2,3,0,1,1,1,1,56.63172689044653
5,2,0,1,1,0,0,48.79012686511182
5,3,0,0,1,0,0,50.74409634802137
4,2,0,1,1,1,1,56.519147039962384
4,3,-1,1,1,1,1,55.024513519331165
6,2,0,1,1,1,1,55.82164776727159
-1,3,0,1,1,1,0,48.10228442980336
4,1,1,1,1,1,1,55.00296013464454
2,3,0,1,1,1,0,49.65513681882922
1,3,-2,1,1,0,0,50.94619829728956
7,3,0,1,1,1,1,57.66679731647584
0,4,0,1,1,1,1,56.85395948640095
3,3,0,0,0,1,0,51.07360929025775
2,3,0,1,1,1,1,54.24074258088075
4,3,0,0,0,1,0,50.69838246426678
3,3,0,0,1,1,1,57.40478591376225
2,1,0,1,1,0,0,49.49997226659244
0,3,0,1,1,1,0,49.21679474008188
2,3,0,0,1,1,0,49.29168555325563
3,4,0,1,1,1,1,55.04056851463157
5,3,1,1,0,0,0,49.90725261541898
9,2,0,1,1,1,1,58.03711588662513
2,4,-1,1,1,1,1,55.74772873384475
5,3,0,0,1,1,1,56.11950246796213
4,3,0,1,0,0,0,52.615043186563724
4,2,0,1,1,1,1,56.869400482796514
6,2,0,1,1,1,1,55.50820147324176
4,2,0,1,1,1,1,55.398218575974646
7,2,0,0,1,1,1,56.42590045363648
3,2,0,0,1,1,0,49.7983680119622
2,2,-1,1,1,0,1,53.81798712648035
4,3,0,0,1,1,1,56.80856384030861
3,2,0,1,1,1,0,49.29075908731687
3,2,0,0,1,1,0,49.88209422723696
3,3,0,1,1,1,0,49.84725785451924
5,3,0,1,0,1,1,56.96888076605648
4,2,0,1,1,1,0,50.49565863266533
3,3,0,0,0,1,0,50.36660323219216
0,1,0,1,0,1,0,49.71750488109171
0,2,0,1,0,1,0,49.980605955388
3,2,0,0,1,0,0,50.03359866468913
4,2,0,1,1,1,1,56.31385031950197
3,2,0,1,1,1,0,51.06977263431244
6,2,0,0,1,0,1,56.282590430161655
5,3,0,0,0,0,0,49.66459758869206
4,2,0,1,1,0,1,56.55386360270605
6,3,0,1,0,1,1,54.88032163982512
1,2,1,1,1,1,0,49.31832964952843
1,2,0,0,1,0,1,55.96574848860702
0,2,0,1,1,1,1,56.79124114329632
4,2,-1,1,0,1,1,57.65830115359755
1,4,0,1,1,1,0,50.359511937870174
6,3,0,1,1,0,1,57.38828695547107
0,2,0,1,0,1,1,56.49736437705269
5,2,1,0,1,0,0,50.01166554295522
3,2,0,1,1,0,1,55.22829652163973
4,3,0,1,1,1,1,56.96998075104235
7,3,0,0,1,0,1,58.90367294531054
3,4,0,1,0,1,0,48.39820757007156
3,2,0,1,1,1,1,55.76966241437972
2,3,0,1,0,1,0,50.11323584490869
2,2,0,1,1,0,0,48.32609106585226
2,2,0,1,1,0,0,50.11217646967607
5,2,0,0,1,1,1,54.36629244552104
3,4,0,1,0,1,1,57.64413118264224
2,4,1,0,1,1,0,49.6399384656984
2,3,0,1,0,0,0,51.57580730957273
5,3,1,1,1,1,1,54.518152042291504
1,2,0,0,0,1,0,49.22874092595901
6,3,0,1,1,0,1,56.28747883653195
4,2,1,1,1,1,0,49.6865417001097
2,3,0,1,1,1,1,56.448369806787376
8,3,0,0,1,1,1,55.533418314042734
4,3,0,0,0,1,0,48.61953813073176
6,3,0,1,1,1,1,56.97001161348766
3,4,0,0,1,0,1,55.56955464373688
2,2,0,0,0,1,0,50.34069891048604
2,3,0,0,1,0,0,49.39917405947093
8,3,0,1,0,1,1,55.33928783724473
2,3,0,1,1,1,0,49.92880436623603
4,2,0,1,0,1,0,49.788700671858834
0,3,0,1,1,0,0,50.37783389842955
7,3,0,1,0,1,1,54.62488280554329
3,4,0,0,1,1,1,55.66269028426173
3,2,1,1,1,0,1,55.48079968554799
5,2,0,1,0,1,1,55.86818908659439
6,3,0,1,1,1,1,56.56462465814643
2,3,0,1,1,1,1,56.680841919361086
4,2,0,1,0,1,1,55.05662879192394
0,3,0,1,1,0,0,49.64153301089294
4,3,0,1,1,1,1,56.19687119058264
5,3,1,1,1,1,0,47.61430693616098
1,2,0,0,1,1,1,56.4464163423239
4,3,0,1,1,1,0,48.54141560336551
2,2,0,1,1,1,0,50.06718518044461
4,3,0,1,1,1,1,54.15117337071717
5,3,0,1,1,1,1,55.88523655864624
2,3,0,0,1,0,0,49.6424273452816
4,3,1,1,1,1,1,56.00715760667919
6,2,0,1,1,0,1,57.623888809205226
0,3,-1,0,1,0,0,50.81652858619314
4,2,0,1,1,1,1,57.58590958013777
3,3,0,1,0,0,0,48.49357611700312
4,2,0,1,1,1,1,55.8803271597507
3,4,0,1,1,1,0,48.02357964882289
5,3,0,0,1,1,0,50.57820749192145
4,2,0,0,0,1,1,57.0384608639104
2,2,1,1,1,1,0,48.8948048559416
5,2,0,0,1,1,1,57.15218113066719
0,4,1,1,1,1,0,47.62226653451023
4,2,0,1,1,1,1,57.911995581772295
1,1,0,1,1,1,0,49.53771865225446
3,3,0,1,1,0,0,49.0880972226434
5,2,0,0,1,1,1,55.70802287579665
0,3,0,1,1,0,0,49.03180533228123
1,2,0,1,0,0,0,50.930183738607845
4,3,0,1,1,1,1,54.72517244869671
5,3,0,1,1,1,1,56.135560908454295
9,3,0,0,1,1,1,56.61526033022697
6,3,0,1,0,1,1,57.10092009433077
2,2,0,1,1,1,0,50.04448659139689
3,3,0,1,1,1,1,55.787980386495526
3,2,0,1,1,1,1,53.21033992823333
0,4,0,0,1,1,0,50.75122585546031
4,2,0,0,1,1,1,55.22187802819175
6,3,0,0,1,1,1,57.715521191152575
6,1,-1,1,1,0,1,55.83334321125629
3,3,0,1,1,1,0,49.45761050840718
7,3,0,0,0,1,1,56.335532420504286
2,2,0,0,1,1,0,50.58005697869684
3,3,0,1,1,0,1,54.63537931032384
1,3,0,1,1,1,1,53.643906623338765
3,3,1,1,1,1,1,54.53658976353324
3,3,0,1,0,1,0,48.50974346932454
3,1,0,0,1,1,1,55.17008707971429
2,2,0,1,1,0,1,56.53543641689225
2,2,1,1,1,1,0,49.808392827890806
4,3,0,0,1,1,0,50.82402577074717
4,2,0,0,1,1,0,49.85572777566178
2,2,0,1,0,0,0,50.26943740822471
4,3,0,0,1,0,0,49.10879651395357
5,3,0,0,1,1,1,56.3927673404979
5,2,-1,0,1,0,1,56.60969366740861
0,2,0,0,1,1,0,50.546123241924
1,2,0,1,1,1,0,47.65237821228081
0,3,0,1,0,1,0,50.288954532428605
1,3,0,1,1,1,0,49.20518253225539
2,3,0,1,0,0,0,49.59756021127783
3,2,0,1,1,1,1,55.48561817300245
3,2,0,1,1,0,0,50.12682518875943
1,2,0,0,1,0,0,50.43762439420913
0,2,0,1,0,1,0,49.38203994486132
7,3,0,1,1,1,1,56.00979502514331
7,3,0,0,1,1,1,54.53874750866995
3,2,0,1,1,1,1,55.11136639145656
1,3,0,1,1,1,1,54.90114160247911
4,3,0,1,0,1,1,56.00288750357467
0,3,0,0,1,0,0,49.20572638538726
0,3,0,1,1,1,0,49.844864341563365
4,2,0,1,1,0,1,54.08378937102842
1,2,0,1,0,1,1,55.80710333989306
0,3,0,0,1,1,0,49.39621110879308
2,2,0,1,0,1,1,55.63090341036919
5,3,0,1,1,1,0,50.49358336563451
6,3,0,1,1,1,1,55.62268225515574
3,2,0,0,1,1,0,51.17552871469128
5,2,1,1,1,0,1,55.524498302564574
3,2,0,1,0,1,1,56.89404011633002
4,1,0,0,1,1,1,56.99907912848354
4,3,0,1,1,1,1,55.86381613544391
3,3,0,0,1,0,1,57.024476289704914
3,4,0,1,1,1,0,49.557296224067215
7,3,0,1,1,1,1,54.19376689354188
3,2,0,0,1,0,1,55.91096711694696
4,4,0,1,1,1,1,53.89194273696012
6,3,1,0,1,0,1,56.43435481582089
5,3,0,1,1,1,1,54.43825299382649
5,2,0,1,0,0,1,54.839394716436125
3,4,0,1,1,0,0,49.829284111102375
1,2,0,1,1,1,1,56.00921705386416
7,2,0,0,1,1,1,55.70098862119101
2,2,0,1,1,1,0,48.829667757201534
1,2,0,1,1,1,0,50.20433397113357
2,3,0,1,1,0,0,50.41668552485149
6,3,0,1,0,0,1,56.52426276486744
6,2,-1,0,0,1,1,57.81641621933473
0,2,1,1,1,0,0,49.24151573599443
2,2,1,1,1,0,0,50.05193521146487
7,3,0,1,0,1,1,56.28534548207698
3,2,0,1,1,1,1,58.14983492194608
7,2,0,1,0,1,1,58.66814894116506
6,3,1,1,1,1,1,56.22940950310974
3,2,0,0,1,0,1,56.11268269371556
5,2,0,1,1,1,1,56.0956117689642
8,3,0,1,0,1,1,56.36307762267859
7,3,0,1,1,1,1,55.405841556267234
1,2,-1,1,1,1,0,48.508717397247736
4,2,1,1,0,1,1,56.73649068162342
3,4,0,1,1,1,0,49.8078723319843
2,2,0,1,1,0,0,48.86812899325481
5,3,0,1,1,1,1,56.47304778032253
6,2,0,1,1,1,1,55.53333101230798
-1,2,0,1,0,0,0,49.25423824889779
4,3,0,1,1,1,1,56.68631794015079
3,3,-1,1,1,0,0,50.49283822510998
7,3,0,1,1,1,1,53.86342167604719
1,3,0,1,0,0,0,48.604213701780616
4,3,0,0,1,1,1,56.675170129463325
6,2,0,1,0,1,0,51.45287461359908
1,3,0,0,1,0,0,50.56402075992021
3,2,1,0,1,1,0,48.6922566013895
3,2,0,1,1,1,1,56.68098584736898
7,3,0,1,1,0,1,56.8082400950787
4,2,0,1,1,1,0,50.15502394881924
1,2,0,1,0,1,0,49.557427204101856
8,3,0,1,1,1,1,56.85696986023753
3,3,0,0,1,0,1,57.266704496956784
7,2,1,1,1,1,1,53.782291098073046
2,2,0,1,1,1,1,55.58681378862767
5,3,-1,0,1,0,0,49.70044583406569
2,3,0,0,1,0,0,50.68747444851249
4,2,0,1,0,1,0,50.57779038425261
0,2,0,0,1,1,0,51.2635796516582
5,3,0,1,0,1,1,55.531897092079504
6,3,0,1,0,1,0,49.68013094537765
6,2,0,1,1,1,1,55.880489123056094
4,3,0,0,1,1,0,49.56187047886851
4,2,0,0,1,1,0,50.55671272876707
1,1,0,1,1,1,0,49.948310165033575
1,3,0,1,1,1,0,48.8385685490296
5,2,0,1,1,1,1,55.00588766830142
4,3,0,1,1,0,0,49.09755482180587
0,2,1,1,1,1,0,50.6115538277168
6,2,0,1,1,1,1,57.309974310353965
3,2,0,1,0,0,0,50.553989702194
5,4,0,1,0,0,1,56.84617917120666
3,3,0,1,0,0,0,50.00399825697705
4,2,0,1,0,1,0,51.96813092102944
5,1,0,1,1,1,1,58.19684777565525
8,3,0,0,1,1,0,50.292249827240006
2,2,0,1,0,1,0,50.60350946868595
1,2,0,1,1,0,0,48.68053827793088
3,2,0,0,0,1,1,55.90157443663382
5,3,1,1,1,1,0,49.71983420716965
4,3,0,1,0,1,0,51.56277541375767
4,3,1,1,1,1,0,50.30315748125919
3,2,0,1,0,1,1,56.20754679609973
5,2,1,0,0,1,1,56.901403382313966
2,2,0,1,1,1,1,56.676132095769
1,3,0,1,1,0,0,48.61535414645823
0,3,0,0,1,1,0,49.28731952815014
3,3,1,1,1,0,1,56.73265390197929
6,3,0,0,1,1,1,56.49039028121318
8,2,0,1,1,1,1,56.69093648735401
4,3,-1,1,1,0,0,49.88418136944444
5,3,0,1,1,1,1,56.45418579083136
6,2,1,0,1,0,1,54.549687107425086
3,2,0,1,1,0,1,56.33123261344304
0,3,0,1,1,1,0,50.39184442818669
0,3,1,1,1,1,0,48.7332504814726
1,2,0,0,1,0,0,49.01208555642139
4,2,1,1,1,1,1,55.842365016402105
8,2,0,1,0,1,1,57.11942945413757
3,3,0,1,1,1,1,53.65838917378063
6,2,0,1,0,0,1,58.326786878686775
3,3,0,1,1,1,0,51.707919487915525
5,2,0,1,1,0,1,56.71924061815275
3,3,0,0,1,1,0,50.26964548255105
5,3,0,1,1,1,0,50.01585479159751
5,3,0,0,1,1,1,55.21855731166076
3,3,0,1,1,1,1,56.90643151234946
3,3,0,1,1,1,0,48.230291597100646
6,3,0,1,1,1,1,57.70250406151533
0,3,0,1,1,1,1,53.75128184849992
0,2,0,1,1,1,0,51.83326866810389
4,2,0,1,1,0,0,50.11248638551609
2,3,0,1,1,1,1,54.01510722908726
-2,3,0,0,1,1,0,50.46907644229643
5,2,1,0,1,1,1,55.914919809749534
2,2,1,1,1,0,0,49.25634110791757
4,3,0,0,1,1,1,55.85492346417816
4,2,0,1,1,1,1,55.63059923249188
2,2,0,1,0,1,0,49.64578285754174
5,2,1,1,0,1,0,51.46631996579915
9,3,0,1,1,0,1,56.59536946379915
4,3,0,1,1,0,1,57.86675912553906
2,2,1,1,1,1,0,49.99413236326376
2,2,0,1,1,0,0,49.710606783078056
3,2,0,1,0,1,0,49.15338874408017
3,3,0,1,1,1,1,54.53219177160965
3,3,0,1,0,1,0,49.01674258738685
4,3,0,1,1,1,1,53.10260572973387
3,3,0,0,0,0,0,49.21379247220574
2,2,0,1,1,0,0,47.7723796169169
3,2,1,0,0,0,0,50.19457610671032
7,3,0,0,1,1,1,57.90564945494637
2,1,0,1,1,1,0,48.89487021917826
