age,education_years,personal_income,price_index,gender,rural_residence,trade_agreement_participation,presence_of_trade_agreement,tariff_reduction,import_volume
10,32,7,15,0,0,0,6,43,90.0770693586715
11,26,7,12,0,1,0,8,41,87.5205777921609
9,30,7,16,1,1,0,6,43,89.9634412592083
8,28,8,13,1,0,0,8,42,89.19429082808742
12,31,8,13,1,1,1,5,42,87.90093299444091
11,28,6,11,1,1,1,6,40,87.10090622679317
17,31,12,13,1,1,1,8,40,86.064002969583
8,28,6,14,0,1,0,7,41,86.07702973271729
17,28,5,17,0,0,1,7,45,92.42741226455996
11,28,4,16,1,1,1,8,44,92.85697682386308
10,31,10,14,1,0,1,10,43,88.60356773125194
7,32,3,14,0,0,0,9,48,96.62911021290238
12,31,10,16,1,1,0,8,44,89.94382874258106
11,28,9,12,0,1,1,7,41,88.06760154478744
19,29,6,16,1,1,1,8,49,97.77611182883
7,27,6,13,0,1,1,9,41,88.04431016675714
11,27,9,13,1,1,1,5,40,87.68581594211226
16,30,9,11,1,1,1,9,40,86.78765808505402
7,31,3,13,0,1,1,10,46,92.6103830273848
13,31,9,12,0,1,1,8,44,90.58628028713962
10,26,17,14,1,0,1,9,39,85.37548271210082
11,33,11,16,1,0,1,7,42,88.50706040241599
5,29,11,14,1,0,1,10,41,90.28387680512628
11,28,5,11,1,1,1,6,41,90.60260140170396
8,32,5,16,1,1,1,7,44,89.98194568851481
7,29,6,15,1,1,1,8,43,91.30315484366989
13,26,6,9,1,1,1,9,43,92.2707295481722
10,30,4,16,0,0,0,8,45,92.56812855147622
15,32,2,15,0,1,0,5,46,90.31331226155132
7,32,6,10,0,0,1,5,40,87.60888398889729
5,30,8,12,1,1,1,9,44,92.03053499789796
13,31,14,11,1,0,1,9,39,87.58510826134551
10,27,6,13,0,1,0,11,39,83.98687037857464
10,26,9,12,0,1,0,7,40,86.56535849160097
6,32,5,15,0,1,0,7,43,88.5577296946377
10,26,3,15,1,1,0,8,45,92.01222334235165
11,30,10,14,1,1,1,10,43,88.37945844200347
12,31,6,15,0,1,0,6,44,90.50592253139897
6,30,7,13,1,1,0,6,38,82.04518893838596
8,30,7,16,1,1,1,9,43,89.50607169387465
4,30,5,16,1,0,0,11,43,84.46521422920905
11,29,3,9,1,1,1,10,44,94.24210389747164
6,27,7,11,0,1,0,6,35,76.19596151331308
8,24,2,13,0,1,1,7,43,91.64685417087296
12,31,7,15,0,1,0,5,42,88.26388099896342
11,25,10,17,0,1,1,10,44,90.62691101777392
11,33,10,9,1,1,1,10,39,81.6711383251074
5,29,3,14,1,1,1,8,40,80.12773723615265
11,28,7,16,1,1,0,9,44,87.5564615003162
5,27,10,16,1,1,1,8,38,83.793637275549
9,31,7,13,1,1,1,6,42,88.66862924536134
8,31,10,13,0,0,1,7,40,83.38871905517105
10,29,9,12,0,1,0,7,38,79.0499859577399
9,33,9,11,0,1,1,8,39,83.83747956662597
9,28,6,16,0,0,1,7,46,96.14443020070296
11,27,3,14,1,0,1,9,47,98.486643970378
14,27,10,17,1,0,1,13,45,91.94801520953428
7,28,6,18,1,1,1,9,45,92.23377352887536
9,32,12,14,1,1,1,9,38,79.76479357523448
10,31,3,14,1,1,1,9,45,91.00905078032068
9,30,5,16,0,0,0,8,46,93.3974931820736
5,33,9,11,1,1,1,9,42,88.28403394394469
8,29,4,14,1,0,0,11,46,93.7964146879326
9,33,8,14,0,1,0,7,42,81.73836554675056
12,30,11,13,1,1,1,11,45,95.0910057361277
6,30,5,12,0,1,1,5,41,90.03838860741722
9,30,6,16,1,0,0,8,45,91.6694410247283
15,28,4,14,0,1,1,10,47,91.91710926260768
10,27,9,15,1,1,1,6,42,89.26142750595886
9,32,9,13,1,1,0,9,38,76.51888571543631
6,27,0,11,1,0,1,9,45,93.29325167562784
6,27,9,12,1,1,0,11,38,80.81910990601122
9,27,6,15,0,1,1,9,40,82.51436753584935
6,28,8,13,0,1,1,7,38,84.84689040273418
10,26,6,15,1,0,1,13,43,87.07656781719695
7,30,8,14,1,1,0,10,42,85.22108012603812
12,31,3,12,0,1,1,7,43,89.46548256596608
12,29,4,17,0,1,1,9,45,93.03014376264014
10,27,6,13,1,1,0,11,44,89.61254619317582
11,31,3,16,1,1,1,7,46,92.13836487086547
12,30,8,18,1,1,0,6,44,90.75682944804812
15,27,7,18,1,0,1,9,47,95.66485720058274
11,30,5,15,0,0,0,11,44,90.61771388412984
5,27,13,12,0,0,1,8,38,86.28812235553058
11,31,6,13,1,0,1,7,42,87.81409920206082
14,24,10,14,0,0,1,11,44,93.99923468856508
13,29,8,9,0,1,1,6,39,87.62448034447947
4,30,9,13,1,0,1,9,41,87.10025969237893
10,29,3,11,1,1,1,5,42,91.63629749464543
10,25,10,11,1,1,1,8,39,89.55202289515918
13,34,11,11,1,0,0,9,41,83.94410503435945
16,30,4,12,0,1,1,6,46,96.75353708025288
8,32,7,9,1,1,1,6,41,90.63439366048496
15,31,1,14,1,0,1,5,45,92.78776576411563
4,29,10,12,1,1,1,10,40,86.06636026487426
12,27,5,18,1,0,1,8,47,93.949952320849
10,28,4,10,1,1,1,10,40,86.31787976447549
11,26,4,16,1,1,1,6,44,90.86847565117266
10,31,5,17,1,1,0,9,47,92.48514876378268
11,27,7,14,1,1,1,10,43,90.5244657837359
10,28,6,14,1,1,1,11,44,93.26832584694516
13,30,8,13,1,0,1,10,43,89.2386620296968
10,30,7,18,1,1,1,10,47,93.96049748837883
13,28,5,16,0,0,1,7,47,97.57877070448616
10,30,7,15,0,1,0,8,44,90.2038462885234
13,31,7,15,0,1,0,10,43,88.76614101492906
5,30,7,16,1,0,0,9,41,83.7597288631193
10,23,8,19,1,1,0,3,41,88.36055976149679
9,29,8,16,1,0,1,7,42,89.94549109253255
7,31,9,15,1,0,1,11,44,90.18093070395211
10,30,9,17,1,1,0,8,44,93.20971701369872
12,27,8,13,1,1,0,8,42,86.14833302010601
9,28,11,18,0,1,1,8,40,84.2511501618976
7,28,4,19,1,1,1,10,46,92.73999390359272
15,29,7,10,1,1,0,12,45,91.59615971042412
11,28,10,17,0,1,1,5,38,84.8375534238818
7,27,4,12,1,1,1,10,44,91.88328724098363
13,29,10,11,0,1,1,8,39,84.43311516479906
15,27,6,9,1,1,1,11,45,93.87356851277984
6,29,5,14,0,0,0,10,46,94.18241356775265
7,30,8,18,1,0,0,6,39,78.18657368612034
7,27,7,15,1,1,1,11,41,87.40773256297183
10,29,10,10,1,1,0,7,39,86.04211662728886
10,33,10,14,1,1,1,9,40,84.59925323151727
13,31,8,16,1,1,1,5,44,93.94989344265758
9,32,9,18,1,0,0,9,43,87.95738086138182
11,28,9,14,1,1,1,6,39,85.59381351136383
8,33,8,15,0,1,0,8,43,88.56206780458143
8,27,11,10,1,1,1,10,38,86.06816958505405
13,25,6,18,1,1,0,8,46,94.35084269997344
5,28,2,11,0,0,0,6,43,91.96056100841
13,30,8,13,1,1,1,9,45,91.42084237282292
8,28,12,15,1,1,1,7,39,85.78358877136884
15,32,9,11,1,0,1,11,45,94.03708189018882
10,31,5,11,1,1,1,8,42,88.5238029432689
9,26,7,12,1,1,0,4,40,89.11286351658734
8,29,10,9,0,1,1,8,39,87.73976552094751
9,27,10,15,0,0,1,7,40,87.24094128189435
10,27,7,16,1,1,0,9,40,83.84935117298258
10,28,10,11,1,0,0,7,39,85.54545825118365
14,30,4,11,0,1,1,11,46,92.80267735835248
12,34,10,7,1,1,1,8,39,85.07294987750765
10,27,6,12,1,1,0,6,40,83.68801024603401
9,32,8,17,0,1,1,8,42,88.24760432136739
10,30,5,10,1,1,1,7,45,96.75313652893092
11,27,8,8,0,1,0,8,41,87.3176289688797
9,29,9,16,1,1,1,5,41,85.07737370020789
12,27,12,10,0,1,1,7,38,82.78107831453957
12,26,10,15,0,0,0,8,43,90.10833376004275
14,27,7,11,0,0,0,12,45,93.54507111781692
11,30,9,12,0,1,1,9,40,84.99264664411908
7,30,6,14,1,1,1,8,44,91.73555052182864
9,30,11,15,1,1,1,8,43,89.08112740706676
10,29,8,21,1,1,0,10,46,88.83862971971962
12,33,8,15,1,1,1,5,44,90.72595136961628
8,27,10,12,1,1,0,7,38,82.71454797712413
3,28,7,12,1,1,1,8,38,83.98777180602328
9,26,6,11,1,0,1,10,45,97.6259160223222
10,31,13,17,1,1,1,6,40,85.93243749850232
5,27,3,13,1,1,1,5,42,90.4287059157127
11,28,7,14,1,1,1,8,43,91.86506478349467
5,33,6,12,1,0,0,5,38,81.08824796017406
17,28,4,18,0,0,1,10,50,99.62615067827122
6,27,4,14,0,1,1,9,45,94.95857521362927
6,26,3,15,0,1,1,9,45,91.93558693454592
8,25,6,17,1,1,1,6,40,85.22466273104732
7,31,13,14,1,1,0,12,39,82.02019529734218
11,29,8,14,0,0,1,9,42,89.0868735934074
10,29,8,12,1,1,0,6,39,83.56475019859523
15,28,8,17,1,1,1,11,45,94.44438985678562
10,27,9,10,1,0,1,7,39,86.40562867444024
10,28,6,14,1,0,1,8,44,92.93747426164192
11,30,6,14,1,0,1,11,44,92.13844059253586
5,29,9,13,0,1,1,11,42,90.48197470386457
6,31,8,16,1,1,1,8,42,85.00755746756985
6,29,6,12,1,1,1,6,41,86.79983597755583
10,31,8,15,1,0,0,10,46,94.15392679645922
9,30,8,12,1,1,0,7,40,86.43206679808219
12,30,3,12,0,0,1,7,46,92.74547741163424
9,27,3,14,1,0,0,5,44,92.78780758041012
13,32,5,12,0,0,1,10,47,95.8049472613343
11,28,7,16,0,1,1,9,45,92.05749040340388
9,29,11,8,1,0,1,13,42,90.16089958023744
11,29,10,10,0,1,0,9,39,87.60096854411707
12,31,6,8,1,0,1,8,40,87.53242580968278
5,32,6,16,1,0,0,8,45,93.18599363549316
9,29,7,9,1,1,1,7,40,87.35645259882418
13,32,9,18,1,1,1,9,46,92.13748139064458
9,29,17,11,1,1,1,11,36,80.24331502678096
9,32,7,10,0,0,0,8,42,88.31352929228835
9,30,9,14,1,1,1,9,41,86.44878832825641
12,31,6,13,0,1,1,9,46,94.09274169250708
13,24,4,13,1,0,1,14,49,100.52020739616212
10,33,3,17,1,0,1,8,48,93.98839201599722
13,32,7,11,0,1,1,6,41,87.22376429687817
6,30,8,16,0,0,1,8,40,86.86043204733589
14,26,10,18,1,1,0,10,44,89.73465443476356
9,29,0,17,0,1,0,10,51,99.85068685880756
11,32,0,14,0,1,0,6,46,92.30590306426356
10,29,0,11,0,1,1,9,47,96.33341733738514
10,34,6,11,1,1,0,6,44,89.20421117425528
6,32,6,19,1,1,1,9,45,89.8696571995015
6,32,7,17,1,1,1,6,42,88.8588503242473
9,34,10,14,0,0,1,10,39,84.33610031299882
9,28,11,16,0,1,1,10,41,85.02001347638279
8,26,8,11,1,0,1,9,39,84.3143658106078
11,29,3,11,1,1,0,6,44,91.07495597370716
12,29,8,16,1,1,1,7,45,95.92997790468507
11,32,7,13,0,1,1,9,43,89.54487560648398
10,30,6,16,0,1,1,8,43,89.9120398313675
6,32,5,16,1,0,1,9,45,90.80358161592004
9,28,4,12,0,1,0,10,44,91.27133759898015
13,30,4,13,0,0,1,9,44,89.75857539532261
16,29,5,10,1,1,1,8,43,89.36553637534577
10,26,11,14,1,1,1,9,38,83.22088711834886
9,30,5,14,1,1,0,8,43,88.63887196036606
9,33,8,15,0,0,1,9,43,88.09317048311533
12,29,14,18,1,1,1,4,38,79.80758036939437
9,29,2,12,0,0,0,7,45,90.61933241484714
8,29,2,13,1,1,1,8,44,91.66591863726596
11,27,8,11,1,1,1,10,43,92.6974716967527
12,29,14,11,0,1,1,6,36,82.62030941476318
8,35,6,15,1,1,1,6,42,84.20347605860962
12,34,10,18,1,0,0,14,49,96.7561889378031
12,32,10,10,1,1,0,10,41,86.21988018489432
5,26,4,16,1,1,1,10,43,90.52083765452856
7,30,8,11,0,0,1,8,40,85.48512182537365
17,28,8,12,1,1,0,11,44,91.1977496425112
13,30,4,16,0,0,0,8,46,90.41964738151368
9,28,13,20,1,1,1,9,44,92.20490814980757
8,30,2,17,1,1,1,9,46,90.72307440575196
11,33,2,14,1,1,0,5,43,85.78839189793908
5,27,5,17,1,1,0,4,42,87.5768736506422
10,27,7,12,1,1,1,9,42,89.25750793747609
12,29,4,13,0,1,1,9,44,93.81370934473992
13,27,6,19,1,1,1,7,45,92.0989015905862
9,29,5,16,1,1,0,6,43,88.0481416386473
13,30,4,14,1,1,0,8,46,90.97172658906302
10,30,11,15,0,1,1,10,40,85.49284167634254
11,30,7,13,0,1,0,10,44,91.18586231378136
6,31,8,15,1,0,1,11,44,89.72778898968923
16,31,8,14,0,1,1,8,42,90.24073689684558
7,25,9,12,1,1,1,9,40,87.9138935131872
10,29,7,11,0,0,1,8,43,91.04276600659011
7,30,12,12,0,0,1,11,40,85.75643272537523
13,26,13,13,1,1,1,8,37,86.62373794270427
9,29,2,13,1,1,1,8,46,94.06078672593289
14,28,6,10,1,0,0,8,45,96.39933031186035
-1,26,10,16,0,1,0,10,37,80.3460794014735
14,30,12,14,1,1,1,9,42,89.80197891367854
10,32,6,17,1,1,1,7,44,90.35081360567357
9,31,6,14,1,1,1,9,43,86.51024378572166
12,29,5,11,1,1,1,10,43,90.37977367902926
13,30,6,16,1,1,1,6,45,91.62904323071928
9,30,9,9,1,0,0,7,38,80.64153111106587
11,31,17,12,1,1,0,13,33,73.48114657243048
8,29,7,12,1,0,1,7,41,86.35110682828316
9,34,11,12,0,0,0,7,40,86.29690965188753
11,33,7,16,1,1,1,8,44,90.46796573534198
13,31,9,13,1,1,0,8,38,80.22086381140684
7,29,11,13,0,0,0,10,39,83.73674424838434
1,31,12,13,1,0,1,10,37,80.3885447499389
11,30,11,13,1,1,1,7,39,82.62601450455466
9,26,1,18,0,1,1,9,48,97.50295789817169
13,29,6,13,1,1,1,9,45,94.40078540389118
11,30,13,11,0,0,0,14,42,89.30889028745293
12,29,8,10,0,0,1,11,43,91.21692792125044
8,31,1,9,0,1,1,9,43,88.47062380002966
9,29,13,13,1,1,0,10,39,82.92769295509284
7,29,13,11,1,1,1,7,34,78.75142527471405
14,31,11,17,0,0,1,10,44,91.30786246696992
10,30,4,7,1,1,1,10,44,92.00368602563074
16,33,9,13,1,1,1,9,41,84.76247209256046
3,30,3,17,0,1,1,7,44,88.42586213791387
6,30,10,11,1,1,1,14,39,82.32697683905037
17,35,5,9,1,1,1,9,48,95.96681506107792
9,28,8,14,0,1,1,4,38,85.01906144473976
8,28,8,16,0,0,0,11,45,91.37376815796505
5,29,12,14,1,1,1,5,35,80.32045641899815
4,29,6,17,0,1,1,6,44,92.94308664871384
10,30,6,17,1,1,1,4,42,88.23051409573127
6,29,6,9,0,0,1,9,40,87.31861404052499
10,30,8,14,0,0,0,7,42,88.92040530173635
9,31,5,17,1,1,0,6,45,89.4422357770323
7,31,8,12,1,0,1,5,41,88.36993499279413
12,26,9,15,0,1,1,9,43,91.49937701111018
8,26,6,10,1,1,0,4,38,82.95957745901534
8,34,3,15,1,1,0,10,46,90.28248909685296
11,31,7,16,0,0,0,8,45,89.63123779121295
10,30,6,13,0,0,0,11,44,91.18338451028222
13,32,3,12,1,0,0,5,46,94.9618552576854
7,26,6,11,1,0,1,7,41,91.26787563953177
5,35,6,12,0,1,1,5,40,81.22540897621188
7,28,2,12,1,0,0,9,46,93.66256315384814
11,27,8,15,0,1,1,7,44,91.67628174146893
8,33,8,9,0,0,0,7,40,85.71554999246624
10,31,6,10,1,1,1,11,43,87.24684151102781
7,31,7,17,1,1,0,9,43,84.29415006768416
8,28,5,14,1,0,0,9,47,96.28570167085788
14,32,8,10,1,0,0,6,41,84.67179765553482
10,32,13,20,0,1,1,6,40,82.10102185074857
10,30,8,12,1,1,0,11,42,85.9447744027612
10,32,2,17,0,0,0,12,51,100.7404893389792
9,32,3,7,0,1,0,10,45,90.95582372511464
12,32,8,14,1,0,1,9,45,91.5264294973128
12,33,3,15,1,0,1,5,47,96.49966690503403
8,30,9,18,1,1,1,8,44,92.3175355732845
6,27,9,15,0,0,1,9,39,86.03088419061848
10,31,4,19,1,1,0,7,47,94.14566433493248
9,32,12,15,1,1,1,4,38,81.41627351226806
16,32,9,16,1,0,1,6,44,90.95835519171176
7,30,4,16,1,0,0,10,47,95.56380010637815
7,29,8,10,0,1,1,6,40,87.05563735975478
9,32,8,12,0,0,1,8,42,89.73476777772888
10,26,6,16,1,0,1,7,41,85.2982111160787
14,31,8,17,1,0,0,8,48,94.89732300181755
11,31,16,12,0,1,1,9,34,74.268913649333
1,26,11,13,1,1,1,9,37,82.75841403920563
7,27,14,15,1,0,0,11,40,85.05076061076834
11,29,5,11,1,1,0,8,39,81.11581827233276
8,31,5,13,1,1,0,8,44,89.82977472896557
6,30,6,14,1,0,1,8,41,82.75960403604394
8,30,9,10,0,1,0,9,40,84.18988986708773
8,31,3,9,1,0,1,7,44,95.04733038012203
13,31,4,18,0,1,0,8,47,91.68290158397024
12,27,10,15,1,0,1,6,42,90.18210789207274
16,28,5,15,0,1,0,7,46,96.30524802165674
9,27,7,18,0,1,1,6,43,90.46182093790937
6,29,6,13,1,0,1,9,43,89.89762958288104
9,33,11,13,0,0,1,3,38,81.53367601203176
12,32,6,14,0,0,0,10,44,88.29305749584852
11,31,11,14,1,1,1,11,42,89.0960464222702
5,30,5,17,0,1,1,7,44,92.36897436179224
13,30,6,15,0,0,0,11,47,94.2150722451398
9,26,10,14,1,1,0,7,36,78.31386435766895
11,34,12,15,0,1,0,8,43,87.67227350248818
7,33,3,16,1,1,0,12,48,94.28606027629188
8,30,6,17,1,0,1,10,45,92.36785713822972
12,28,8,12,0,1,0,7,42,87.12250662702318
11,27,5,19,1,0,1,11,48,97.22362480172345
5,29,11,12,0,1,0,8,40,86.00151542050472
15,29,5,12,1,0,1,8,44,91.60837062133916
12,29,13,11,0,1,1,10,38,83.50928060158412
10,27,11,15,1,1,1,5,41,90.72308728402558
8,28,10,17,0,0,1,10,42,87.91525286344232
8,31,8,13,0,0,0,6,42,88.63700338884308
7,27,7,16,0,1,1,10,42,88.82963296707744
9,28,7,9,0,1,1,10,39,82.15540342620478
3,29,11,11,1,0,1,6,37,85.4774000094227
5,29,2,9,1,0,0,6,40,85.13356089284389
8,28,13,13,1,0,1,7,39,85.5080398842819
14,31,9,7,0,1,0,8,40,89.06392495565309
8,25,9,16,1,1,1,8,42,91.98834435190298
12,26,3,15,1,1,1,7,47,95.87495063597696
8,27,13,11,1,1,0,11,36,80.5545876735642
9,30,10,16,0,1,0,8,41,84.53434282099494
16,29,6,17,0,1,0,9,45,90.34978194111008
10,33,12,16,0,1,1,13,43,89.00734661373984
5,33,8,10,1,0,0,10,42,88.28939402255993
15,28,9,12,1,0,1,12,46,94.92085496059346
11,29,10,13,1,1,1,9,43,91.3278343989381
8,29,6,13,1,1,1,8,45,91.6166382838232
10,31,5,11,0,1,0,11,45,94.1232582428445
10,27,13,11,1,0,0,6,36,80.57648614628917
14,30,9,12,1,1,1,11,42,86.65490479328001
11,27,9,18,1,1,1,8,41,85.45203881253637
10,30,7,16,1,0,1,10,46,92.86003617860906
7,33,5,14,1,0,1,6,44,92.30197184976758
8,27,4,7,1,1,1,9,42,93.64186188602056
7,28,4,12,1,1,0,7,44,90.88854525623852
7,27,5,18,1,1,1,10,43,90.03378607159824
8,32,11,11,0,1,1,9,37,82.73714493010118
5,29,8,17,1,1,1,7,45,91.73110602576864
6,31,8,12,1,1,1,12,42,87.29822876594471
13,31,8,16,1,0,1,10,45,91.24789486305193
8,28,10,14,1,1,1,6,38,79.63694435316016
7,32,6,13,0,1,1,9,42,87.84886507298674
8,29,6,11,1,1,1,8,42,89.26621356234584
9,28,6,12,1,0,0,9,42,92.27566348574491
6,29,6,13,0,0,0,12,43,89.15171698438094
12,29,8,12,1,1,0,9,40,84.55377207816598
8,28,1,14,1,1,0,4,44,90.04560512047658
11,31,9,12,0,1,1,8,43,93.66943602726003
9,29,9,17,1,0,0,6,45,93.63902916455156
4,31,10,16,1,1,1,10,41,87.0979643178949
13,31,6,15,1,1,1,6,44,90.70949250881168
9,32,9,13,1,1,0,7,39,82.1633290987145
11,30,14,13,1,0,1,10,39,84.44261215734987
7,28,4,11,0,1,0,9,42,87.75225527905391
11,27,8,12,1,1,1,10,40,87.06932067971928
6,35,7,16,0,1,1,9,44,90.02936270931727
14,30,4,13,0,1,1,10,46,95.7498330970309
11,26,3,13,1,1,1,8,47,95.552462770237
9,29,3,19,1,1,1,8,47,93.6657862426873
12,29,13,16,1,0,1,9,40,84.36615261815774
12,28,14,11,0,1,0,11,40,85.1003019589374
5,31,6,9,0,1,1,10,44,91.57840739838907
2,24,10,14,0,1,1,10,37,85.10516039003572
13,27,5,17,0,0,1,7,49,101.69186552599514
11,31,10,14,0,1,1,7,41,85.42488897280566
10,29,4,9,1,0,1,10,45,95.94701939724524
6,31,12,15,0,1,1,8,38,80.81890218460987
5,28,3,13,1,1,1,7,42,85.75966329360858
17,29,4,13,0,0,1,9,46,93.78362445992008
9,30,10,16,1,0,0,12,45,90.82210004318482
8,28,9,8,1,0,1,11,39,84.80018671655601
11,29,8,13,1,1,1,10,43,90.86115352226142
8,30,9,13,1,0,1,7,39,84.05037457931446
8,27,5,9,1,1,0,8,39,85.83516248629287
14,29,6,14,0,1,1,13,45,88.8166614704488
13,31,6,14,1,1,0,7,44,92.04828301823032
10,29,9,17,0,0,1,8,44,93.674015163406
9,31,9,14,1,1,0,6,40,83.02376800350498
21,31,3,14,1,1,1,7,47,92.47523924939254
14,30,13,10,1,1,0,11,38,83.49148986309737
13,28,3,10,1,1,0,10,44,91.55230683065092
9,28,6,13,1,0,1,8,43,88.93569899363274
10,29,8,14,1,1,1,7,41,87.8541126166311
9,31,9,11,1,1,1,7,41,87.28285039861426
6,25,8,16,0,1,0,7,38,81.40689815134449
12,30,8,12,0,1,1,8,43,90.15799747460728
9,27,7,16,1,1,0,13,45,90.78435176842508
8,32,5,15,1,0,0,14,48,97.2964032254919
10,29,5,9,0,0,0,12,43,88.48863961557365
8,31,0,9,0,0,1,4,45,93.723501311434
8,27,6,14,1,0,0,10,45,94.39950363964272
9,29,5,19,1,1,1,10,47,94.39727687897935
11,30,4,14,0,1,0,8,45,87.83770824194784
3,28,0,14,0,1,1,9,47,95.46813295896514
5,32,4,15,0,1,1,6,44,89.78741915313219
10,30,8,9,0,1,1,9,43,90.6878806716293
11,33,9,14,1,1,0,7,45,93.7486014535346
10,27,5,10,1,1,1,9,43,90.8379948895818
6,31,8,14,1,0,1,9,44,90.10035554360569
6,30,4,19,1,1,0,7,46,92.44230236134182
9,27,4,17,0,1,1,8,45,89.87119052251381
