age,education_years,income,political_engagement_score,trust_in_government_score,gender,minority_status,rural_residence,political_campaign_exposure,voting_behaviour
28,18,10,12,1,1,1,0,1,53.1847167026973
34,22,5,4,4,0,0,0,0,41.576221637562575
33,20,8,13,1,0,0,0,1,52.746240798258405
27,26,11,9,4,0,1,1,0,46.735997811086456
26,3,10,16,3,0,1,0,1,56.86014779754998
24,7,9,9,4,1,0,0,0,44.51751667586185
26,22,9,15,5,1,1,1,0,48.3494304032921
19,27,4,21,7,0,0,0,1,55.69444485214604
11,23,9,12,5,0,0,1,0,48.04815388702089
21,16,11,12,2,0,0,0,0,48.312697080043264
31,18,6,14,2,0,0,0,1,52.46478724784327
36,9,4,13,4,0,0,0,0,42.789031772798815
18,20,9,24,5,1,0,1,0,49.556845626945744
16,25,9,6,7,0,0,1,0,43.71588122562285
43,21,15,7,3,0,0,0,1,50.34423598473662
30,5,9,16,3,1,0,0,0,44.75431632985257
31,19,12,16,3,1,0,0,0,46.79977554913116
32,11,10,16,3,0,1,1,0,47.96547916319439
35,17,5,16,2,0,1,1,0,43.92264704914541
24,10,13,11,6,0,0,1,1,55.39691826119212
37,16,8,13,5,1,0,0,0,43.697806873293786
27,17,12,16,6,0,0,0,1,54.119179901759566
31,22,7,12,2,1,0,0,1,53.2922642706856
27,24,6,13,3,0,0,1,0,44.77747812029183
20,16,11,12,5,0,0,0,0,47.84282409960088
39,13,6,14,2,0,0,0,1,53.70024061978283
30,25,11,12,3,0,0,0,1,52.90619183859605
31,10,11,8,4,0,0,0,1,51.8902426090585
20,13,12,14,3,0,0,1,0,48.06429434553966
42,11,9,21,4,0,1,0,1,53.87611140702789
32,25,6,13,0,0,0,1,1,52.64663051814191
25,27,13,14,3,0,1,0,1,57.53519325828999
23,17,12,23,2,0,0,0,1,61.938446911190255
24,19,16,11,5,1,0,0,1,56.35481289373756
37,19,12,19,5,0,0,0,1,53.65923314810574
22,16,4,11,2,0,0,0,1,51.96153983237747
29,24,8,6,3,1,0,1,0,42.49598090534606
25,31,12,15,5,0,0,0,1,55.0549309720779
26,22,8,12,4,0,1,0,0,46.43090386205674
16,26,14,22,1,0,1,1,0,54.348134638123724
14,30,8,12,2,1,0,0,0,48.39488220320334
39,10,13,12,2,1,0,0,1,54.92907958688943
37,25,16,14,3,0,0,1,1,55.880386467158665
22,15,11,14,2,0,0,0,0,49.45345941762769
24,24,9,6,4,0,0,0,0,46.25596245204665
27,18,7,14,7,0,0,1,0,46.04559375340801
40,23,7,9,6,0,1,1,0,42.9679611893602
35,17,6,7,3,0,1,0,1,50.91689903412702
25,25,6,17,3,1,0,0,0,46.724900306071305
27,13,10,13,4,0,0,0,0,45.99923817439191
31,17,11,10,3,0,1,0,1,56.23673988472604
28,13,15,30,3,0,0,0,1,61.52910533284157
39,14,8,9,5,1,0,0,0,41.81028394303413
38,14,11,11,2,0,0,0,1,52.33388489430714
20,21,10,11,2,1,1,0,0,49.80755830922245
32,21,9,10,4,0,0,0,0,45.9995538181561
34,21,13,20,2,0,0,0,1,58.43624478806594
30,11,9,19,5,0,0,0,0,45.2089083627494
39,20,11,3,3,0,0,0,1,49.79027357083683
28,17,7,15,4,1,0,0,1,52.81400361851646
31,25,6,14,4,0,0,0,0,43.41410145593732
40,17,8,6,2,1,1,0,1,49.48104363649264
26,11,8,18,5,0,0,0,0,48.04882914007916
41,25,10,15,5,0,0,0,1,51.33569060145663
17,23,7,25,4,1,0,0,0,50.88341755688263
32,17,13,17,5,1,1,0,1,56.89565184857696
39,13,8,11,4,0,0,0,1,52.75591434214144
31,15,13,23,2,1,0,0,1,59.91274956610739
29,25,8,18,1,0,0,1,0,49.01936671099459
38,13,8,17,3,0,0,0,1,52.21805657054837
29,21,9,7,3,1,0,0,0,46.01180931185894
30,30,15,20,6,1,0,0,1,57.17895390937354
25,20,11,10,5,1,0,1,0,45.47110951221566
31,24,9,2,6,0,0,1,0,41.41134984624286
35,15,14,9,2,1,0,0,0,47.94419504588049
20,24,9,17,4,0,0,0,0,47.39420043251645
22,15,11,8,3,0,0,0,1,54.79566819066765
33,25,14,13,3,0,0,0,1,56.07793456722753
42,24,8,15,5,1,1,0,1,49.73954449831621
38,24,12,8,2,1,0,0,0,44.12639974393792
20,21,12,21,3,0,0,0,0,51.37659952070885
24,20,15,12,3,1,1,1,0,52.19498689072412
19,24,7,14,2,0,0,0,1,55.98306754652008
22,16,9,21,3,1,0,1,0,49.77012018901409
26,13,10,10,4,1,1,0,0,46.99421809477891
34,23,8,9,1,0,0,1,1,51.87920769315675
27,31,12,13,2,0,0,1,0,47.7332152394272
30,22,5,16,3,1,1,1,0,44.641593511613785
43,12,8,17,0,0,0,1,1,52.1330879631855
28,15,10,14,5,0,0,1,0,44.53407490896134
30,28,10,16,3,0,0,0,1,54.56229803905296
32,18,10,9,1,0,0,0,1,52.27611051047363
29,25,11,16,4,0,1,0,1,54.663550417681535
33,24,8,14,5,0,0,1,0,45.24623077277458
38,20,11,25,1,1,0,0,1,57.56862291229082
26,23,9,18,0,0,0,0,0,49.78663197444503
26,22,9,12,2,0,0,1,0,47.386584841054805
36,25,7,7,3,0,0,0,1,51.27033445109576
28,17,13,12,4,0,1,0,0,47.204447952809744
27,22,12,10,1,1,0,0,0,47.37607459217389
31,22,3,9,5,0,1,1,0,43.56417054595827
35,15,8,13,6,0,0,1,1,49.843508388511545
16,21,13,12,2,0,0,0,0,50.35878414563128
26,26,12,16,6,0,0,1,1,53.50969184733568
28,9,11,25,4,1,0,1,0,48.857325726243545
38,23,8,8,1,0,0,0,1,51.13650280141778
24,31,4,16,1,0,0,0,0,45.83994285367988
33,21,11,4,3,0,0,0,1,52.55635038510006
35,5,9,13,0,1,0,1,1,53.59412234553422
28,18,10,14,3,1,0,0,1,54.80754297327308
28,28,10,17,1,0,1,0,0,49.09554957896432
27,21,7,9,4,0,1,1,0,43.89754329295644
28,23,14,9,4,0,0,0,1,53.576313791391264
22,25,17,14,3,0,0,1,0,52.5125042395012
29,23,14,16,5,0,0,0,1,57.26040801729782
36,11,4,11,4,0,0,0,1,49.795748264953765
41,10,14,10,2,0,1,1,1,54.09641956676201
37,22,13,17,4,0,0,0,1,55.46754514889177
32,21,4,18,0,1,1,1,0,46.07667376667892
26,26,14,10,2,1,0,0,0,50.19896349732844
24,19,11,15,4,1,0,1,0,47.59626909610729
38,19,5,8,4,0,1,1,1,50.72405556921235
37,15,11,16,2,0,0,0,1,54.178318560027606
54,18,12,4,3,1,0,1,0,40.68979754360386
31,20,11,7,3,0,0,0,1,51.04164512215221
32,16,5,5,4,0,0,1,0,42.12436283621656
25,15,7,13,2,0,0,0,0,49.27113784572766
28,29,7,20,3,0,1,1,0,47.55920186045681
24,11,6,28,0,1,1,0,1,60.1996692557259
21,15,7,8,2,0,1,0,1,54.38313409348806
27,13,9,10,8,0,0,0,1,51.96710547944528
37,14,10,9,5,1,0,1,0,44.833164135555165
26,25,6,22,2,0,1,0,0,48.53441613896821
31,16,11,19,3,1,0,1,0,48.07886117307491
18,22,8,8,1,0,1,0,0,49.40210355777396
35,6,9,11,3,0,0,1,1,54.04810469318775
29,11,11,8,3,0,0,0,1,54.0920954934807
26,25,15,12,6,0,0,0,1,54.45294849562245
38,10,8,17,4,1,0,0,1,55.508524197435
21,12,7,13,3,0,0,0,1,54.81189695036765
21,25,11,9,2,0,1,0,1,54.04690552299414
29,15,8,7,4,1,0,0,0,44.662544505254125
17,14,14,19,5,0,0,1,1,59.22185150459187
35,28,6,9,3,0,1,0,1,49.811155897544175
38,30,9,15,4,1,0,0,0,45.35916300940264
40,15,10,15,5,0,1,1,1,52.02993286238641
38,21,16,9,3,1,0,0,1,53.16512208564615
33,20,13,9,6,0,1,0,0,44.83514615903823
30,21,10,10,3,0,0,1,0,45.11883202432318
23,11,5,16,1,0,0,0,0,46.637055234143965
31,12,11,20,2,1,0,1,0,48.376972271456864
23,11,6,14,5,0,0,1,0,46.58045410384245
27,17,11,9,3,1,1,1,0,46.47916039731706
36,25,11,19,0,0,0,0,0,48.859555793284834
30,24,6,15,5,0,1,0,1,52.75234723095864
32,28,12,23,4,0,0,0,1,56.38943721893696
40,17,8,14,5,0,1,0,1,51.5990317626872
25,10,10,15,2,0,0,0,1,58.699367024503694
26,23,14,20,7,0,1,0,1,57.18882448454011
29,8,10,12,1,0,1,0,1,55.48521333188246
38,14,5,10,4,0,1,0,1,49.53086561497591
23,14,15,22,5,0,0,0,0,50.91591074407161
42,20,7,20,3,1,1,1,1,52.626812374535845
35,12,8,8,5,0,0,0,0,42.09567477461782
34,21,2,8,4,0,0,0,1,48.285769491286125
47,20,10,14,2,0,0,0,1,52.56973700747276
32,15,5,15,4,1,0,0,1,51.62099508761146
20,26,9,9,2,0,0,0,0,47.18592361605893
25,8,12,8,3,0,0,0,1,54.04677630597255
38,13,14,20,3,0,1,0,1,57.28740105625203
20,22,13,24,7,1,1,0,0,52.09496358930678
32,20,10,7,2,0,0,0,1,51.47619235010463
42,7,12,5,8,0,0,0,0,42.11762256814372
44,10,7,13,2,0,0,0,1,52.32888262865493
31,26,12,21,4,0,0,0,0,48.52193244813285
32,29,11,7,3,1,0,0,0,45.00029615046188
36,11,15,16,1,1,0,1,1,57.578238639058426
28,24,6,10,1,0,0,1,0,45.09363818106928
36,17,10,11,4,0,0,0,1,51.32559513295021
30,22,13,12,0,1,0,1,0,48.56298665658213
19,19,5,16,2,0,0,1,0,46.74109854039301
31,14,5,16,4,1,0,0,0,45.490626357086605
32,13,10,14,4,0,0,1,1,54.21141361278282
41,31,12,21,5,0,1,1,1,53.949343956611145
27,20,9,1,6,1,0,0,0,42.18863730410133
17,15,7,22,3,1,0,0,0,50.52361105093179
23,20,10,15,3,0,0,0,0,49.663455174940914
23,18,5,8,5,1,1,1,0,44.59255332841112
19,20,5,14,3,0,1,1,0,45.04425424808491
23,12,15,6,4,1,0,0,0,46.997824569250994
38,23,11,7,2,1,0,0,1,53.568445088014485
33,16,14,16,6,0,0,0,1,55.4071225188809
27,11,11,9,3,0,0,1,1,54.58446884069004
29,18,12,17,5,0,0,0,1,54.98777465438364
32,16,5,17,2,0,1,0,0,45.88182111264424
43,12,7,3,1,0,0,0,1,49.44337536299267
33,20,13,23,3,0,0,0,1,57.72103285872923
22,15,13,16,3,0,1,0,1,59.2366636409902
48,21,7,12,4,0,1,0,1,48.461114740181365
32,16,3,16,2,1,1,0,0,45.012843241897
3,14,7,10,4,0,0,0,1,55.96814342445027
24,22,10,12,4,1,1,1,1,56.389257898694126
33,15,7,12,5,1,0,0,0,43.54751998170817
36,27,5,17,-1,0,0,1,1,53.5245529052045
34,19,10,12,5,1,0,0,0,44.70805805048852
27,16,7,12,4,0,0,0,1,53.47205566289743
21,15,8,17,3,0,1,0,1,55.46353744816111
37,15,10,17,1,0,0,0,1,53.56189499967451
27,20,11,9,4,0,1,0,1,53.63591130032477
36,28,4,21,5,1,0,0,0,44.149369293655695
37,22,10,17,5,0,0,0,1,53.36754713878533
43,24,14,16,4,0,0,1,0,44.9139676633722
40,20,8,18,5,0,0,0,1,52.50564040184148
26,15,10,8,3,1,0,0,0,46.03184090497447
31,25,7,7,6,0,0,0,0,40.61824741994173
26,28,11,20,2,1,0,0,1,55.35479038790445
16,20,13,16,4,1,1,0,0,50.69880310306748
30,17,7,8,2,0,0,0,0,46.38243831231753
24,23,7,11,5,1,1,1,0,45.2261734530885
36,15,9,9,2,1,1,0,0,44.49034549030026
30,21,7,17,4,0,0,0,0,45.990869827505485
18,17,13,12,5,0,0,1,0,49.15324747562389
24,19,8,13,3,1,0,1,0,45.973046957070586
30,20,9,10,-1,1,0,0,1,55.81095423966834
19,27,7,7,4,0,0,0,0,45.66442486268103
42,18,13,17,1,0,0,0,1,54.72143167509367
23,22,3,15,4,0,0,1,1,54.19451574141969
34,13,10,9,4,1,0,0,1,53.756162523859146
28,26,7,7,4,0,1,0,1,52.022573697616046
42,24,9,12,3,0,0,1,1,51.0977575209344
26,17,10,3,7,0,0,1,0,41.97208239981754
37,19,10,18,3,1,0,0,1,53.902151339434994
23,15,11,14,1,1,0,0,1,58.803355740660535
8,22,17,16,4,0,0,0,0,51.884542142377285
33,22,11,12,6,0,0,0,0,45.75660876492031
29,30,10,18,2,1,1,0,1,57.83473290863091
29,12,8,14,3,0,0,0,1,53.79331758804737
21,22,5,2,3,1,1,0,0,42.26573717331795
19,26,10,22,1,0,0,0,0,52.49228539091087
31,22,11,20,2,1,0,0,0,48.2337741985927
34,29,7,9,5,1,1,0,0,42.389885670724375
28,21,11,5,7,1,0,0,0,42.14259520330824
14,15,5,15,3,0,1,1,0,48.68267048075664
34,12,13,17,2,1,0,0,1,57.64258995606255
34,21,3,16,3,0,0,0,0,43.78949335734862
28,23,14,3,3,0,0,1,0,45.66311263777254
15,20,11,14,4,0,0,0,1,57.66382064840051
15,16,19,18,1,0,0,0,1,64.07505399636872
42,16,10,10,5,1,0,0,1,50.47545512701195
31,6,12,13,3,0,0,0,0,46.80994911919433
21,22,10,15,5,0,0,0,1,57.49442650221944
35,14,12,10,7,0,0,0,1,49.687120877350566
35,20,9,17,5,0,0,1,0,44.36980004437748
26,14,9,5,1,1,0,0,0,44.38153712340735
35,18,5,14,5,0,1,0,1,51.45538511104973
33,20,12,12,3,0,1,0,1,54.98476721955618
37,19,15,19,1,0,0,0,1,57.43724587681992
31,18,7,6,3,1,0,0,0,42.724035532678485
15,25,10,11,4,1,0,0,0,46.87091805708573
30,22,9,17,5,1,0,0,1,54.37025073945754
30,16,10,12,3,0,0,0,0,45.07654256784893
27,17,16,14,4,0,1,0,1,57.803641985225646
28,25,11,5,5,0,0,0,0,44.56586433156183
26,20,7,16,5,0,0,0,0,44.81281422180594
30,28,15,3,4,1,0,1,0,46.28604916857552
39,12,6,17,4,1,0,1,0,43.4106581205704
23,14,10,10,4,0,0,0,1,54.348913986931365
40,17,6,15,4,0,0,0,1,51.38883078828045
31,33,12,16,3,0,0,0,1,55.81767382440521
35,22,12,6,1,1,0,0,0,44.61859587822822
29,14,13,12,4,1,0,0,0,48.31744482305674
18,21,9,12,3,0,0,0,1,56.10746902450076
23,14,14,9,3,1,0,0,1,55.43606272293052
30,17,8,9,3,0,0,0,1,54.95195858471962
32,17,10,16,0,0,1,0,1,54.70303297579386
27,11,7,17,2,0,1,1,1,54.1673284905077
43,9,13,15,2,1,0,0,1,54.24926595861949
25,18,8,19,4,1,0,0,0,48.090156789858405
28,16,16,15,4,1,1,0,0,50.50063266536966
44,20,10,5,2,1,0,1,0,44.05498748556733
22,26,6,13,2,0,0,0,0,46.90435587965938
24,29,10,6,4,1,1,0,1,52.67709695035376
32,24,10,13,6,0,0,1,0,45.3434792793236
31,11,6,12,6,1,0,1,0,43.571146492001525
20,10,7,4,2,0,0,1,1,53.54578477696353
19,31,10,17,3,0,1,0,0,50.16691711435571
19,19,14,11,5,0,0,0,1,57.06091847190412
29,16,8,8,2,0,0,0,1,53.71153745158109
31,29,11,14,3,1,0,1,0,47.62268796653827
36,17,9,17,2,0,1,0,1,54.55987169288928
28,21,11,19,3,1,0,1,0,48.128295406034844
35,13,7,28,3,1,0,0,1,55.40754056010414
10,6,9,10,6,0,0,0,0,47.64649756872356
45,7,4,14,5,1,1,0,0,41.64171219084216
28,17,3,19,3,0,0,1,0,44.965206888152736
26,10,8,25,2,1,1,1,0,51.82557023387577
23,7,9,10,4,0,1,1,1,54.1640832334714
33,25,3,18,1,0,1,0,1,52.04909490274993
29,21,7,11,3,1,1,1,0,44.10027049413144
43,13,12,14,5,0,1,1,1,53.24862040913404
39,28,14,18,3,1,0,0,1,56.08283320066896
27,22,11,7,4,1,0,0,0,44.43219106351674
36,33,10,12,7,0,0,0,0,41.85491386328999
22,20,10,13,3,0,0,1,0,47.54714498443859
28,19,7,11,8,1,0,0,0,42.39932027428049
30,34,9,21,4,0,0,1,0,47.59773974787824
39,6,11,12,4,1,1,0,1,54.49535870805418
34,22,11,21,0,0,0,0,1,57.35130950299062
33,21,12,15,8,0,0,0,1,51.47391702119334
28,18,9,9,3,1,0,0,0,45.91045057000875
30,20,9,1,4,1,0,1,0,42.37447379700352
16,17,4,19,5,0,0,0,0,46.13240592306632
17,19,13,9,7,0,0,0,0,48.05990667219835
28,13,15,12,5,0,0,1,1,57.22166725317511
25,25,7,11,5,0,0,0,1,52.97135521179727
36,11,2,24,3,0,0,0,1,53.898816503598965
36,16,8,13,4,0,0,0,1,55.50625831551662
23,15,9,18,5,1,0,0,1,55.18538616829604
28,16,8,21,5,1,1,1,0,46.62932983629351
34,12,13,9,3,0,0,1,0,46.07520540689568
19,17,11,12,0,0,0,1,0,50.05395334464687
22,26,10,22,4,0,0,1,0,50.64726547886375
36,20,0,17,7,1,0,0,0,38.47110493625121
31,18,13,20,5,0,1,0,1,55.783747963920455
19,14,12,24,2,0,0,1,1,60.96832367953648
22,19,8,2,2,0,0,0,1,53.69708694092181
25,19,12,9,1,0,0,1,0,49.37581002175193
34,14,12,7,7,0,0,0,1,49.06378806416716
46,27,8,19,3,1,0,0,1,52.14277448898457
36,22,14,18,4,1,1,0,0,47.26717871494615
30,14,13,11,3,0,0,1,0,47.37358659232173
52,23,4,13,3,1,0,1,1,48.57482419965986
32,22,8,24,5,0,0,0,1,55.72554013838414
29,20,8,13,4,0,1,0,0,45.94217139497756
41,27,7,15,5,0,0,1,1,50.848696080456335
27,31,7,18,0,0,1,1,0,47.660390664272725
41,16,8,15,1,0,0,1,0,45.45217515682653
29,14,8,4,3,1,1,0,0,45.27359913863253
54,20,13,7,7,0,1,0,1,49.96454829158057
48,19,10,19,6,0,0,0,1,52.85559334187788
39,20,11,12,1,0,1,1,1,51.28565927517885
34,21,15,21,3,0,1,0,1,59.63280725397902
23,18,8,13,3,0,0,0,1,55.32511979836036
26,20,7,13,1,1,1,1,0,47.21900944814294
20,23,10,11,3,1,0,0,1,57.53617130587392
23,28,8,2,5,0,0,0,0,44.56340633009197
31,26,11,20,3,1,0,1,1,56.310149305233104
39,22,7,9,3,0,0,0,0,41.57194056243383
46,27,11,12,6,1,0,0,0,43.76085309232575
22,16,5,17,3,0,1,0,1,53.13399714084429
29,20,4,14,2,0,0,0,1,51.694260567695565
38,9,5,18,5,0,0,0,1,52.32276304873595
32,24,14,10,1,0,1,0,1,55.5344469364192
31,33,11,8,3,0,0,0,0,46.13828705373302
43,19,7,12,3,0,1,0,1,50.566256931840485
28,19,10,14,2,0,0,1,0,48.81421751441415
22,20,8,14,3,0,0,0,0,48.42340637069666
36,18,11,12,3,0,1,1,1,52.972652862442864
31,20,9,9,4,0,0,1,0,43.81733460011173
20,22,11,12,3,1,1,0,0,48.28680223874724
31,17,10,9,6,0,0,1,0,44.53317413116061
20,18,13,15,3,1,0,0,0,50.09358544738814
12,9,12,19,4,1,0,0,0,52.611781945464045
35,11,8,11,4,0,0,1,1,53.57477567891798
31,3,6,11,5,1,0,0,1,51.14474530124117
21,17,2,18,4,0,0,0,0,44.55284024718968
45,25,10,14,7,0,0,0,1,48.050283468688136
36,28,5,8,6,0,1,1,0,40.06206424396108
22,15,10,10,2,0,0,0,1,56.66959063814688
32,18,10,10,4,0,0,0,0,44.52392977266584
50,23,12,14,5,0,0,0,0,43.99376349924805
12,13,9,5,4,0,0,1,0,47.24135613219088
41,20,10,13,3,0,1,1,1,53.86725595219462
25,22,11,22,5,1,0,0,0,51.19336094395363
32,33,13,19,1,0,0,1,1,57.00224242394317
43,9,8,12,6,0,0,1,0,41.50017960723531
34,19,13,16,3,0,0,0,1,53.57933068346277
38,19,7,14,1,0,1,1,0,45.440575103032806
