student_age,parent_education,school_quality,household_income,gender,minority_status,rural_residence,tutoring_budget,tutoring_hours,student_performance
9,29,8,11,0,1,0,9,52,133.35436807163475
11,33,5,17,0,1,1,8,51,125.25243441689398
4,30,10,12,1,0,1,11,50,129.9226906881741
7,32,9,15,0,0,0,7,49,121.20726475671118
8,26,12,14,0,1,1,9,48,116.89123085578905
7,31,5,11,0,1,0,12,49,126.64241765039492
15,30,9,12,0,1,0,9,54,129.17569169184912
9,28,7,14,1,1,1,9,48,121.75511787518724
10,31,7,14,1,0,1,10,52,128.40996885275814
12,31,6,19,1,0,1,6,48,113.21585748808486
9,28,6,14,0,0,1,12,50,125.3878046891956
7,27,6,15,1,1,0,10,48,122.90218152231084
7,27,9,19,1,0,0,8,47,117.22527825548856
13,30,6,11,0,1,1,7,51,125.78842205217934
6,31,11,15,0,0,1,7,49,119.8901761726518
10,28,9,17,0,0,1,7,48,113.4945303941198
8,31,9,13,0,0,0,13,51,125.39759097003363
4,31,8,17,0,0,0,10,47,120.16557671516208
10,30,9,11,0,1,0,9,47,116.03334462029656
5,27,5,14,1,1,1,7,47,122.29480503014308
5,30,9,19,1,1,0,7,45,112.09817906601224
11,33,4,13,0,0,0,9,53,137.03609880150498
8,32,2,15,1,1,1,7,48,125.26385174987536
10,26,11,15,0,1,0,9,46,111.88716595110483
12,27,8,14,0,0,1,11,48,117.92755163423584
10,30,8,15,1,1,1,8,49,118.6939624834024
10,30,8,16,0,1,1,7,49,117.01431834595456
11,26,9,11,0,0,0,6,47,118.96459923691692
12,29,13,9,0,0,1,10,54,132.56257712624344
11,25,6,11,0,0,0,12,50,128.24593827454746
11,28,0,13,0,0,0,10,48,124.4743071224162
9,27,6,13,1,0,1,6,47,118.67408514105442
12,28,8,8,0,0,0,9,50,129.22435759929763
8,29,6,17,0,0,1,12,47,114.55879930026548
11,26,5,11,0,0,0,7,46,117.1221198358174
10,30,8,15,0,1,1,7,46,114.6891279439218
15,27,8,12,0,1,0,10,51,123.5243005455682
3,33,7,13,1,0,0,7,49,131.01879784475437
10,34,7,14,0,1,1,8,52,128.28295437559763
12,32,6,12,0,1,0,11,51,126.53381312657552
6,30,3,15,0,0,1,9,49,129.81618590222047
9,26,4,20,0,1,1,8,45,110.57206748673542
7,27,6,14,0,1,0,7,45,118.035777631974
11,34,3,11,0,0,1,7,52,134.038376159169
7,29,10,21,0,0,1,10,45,104.68730942208538
9,31,8,16,1,0,0,8,49,118.5145630692124
4,28,19,15,1,1,0,7,45,111.09249247983104
8,29,3,10,1,1,0,10,54,147.0874289355703
12,29,7,18,1,1,0,7,50,121.6743524837545
8,30,3,9,0,0,0,8,48,130.55630750987817
6,27,11,15,0,1,1,8,46,112.79719177197887
9,32,12,15,0,0,0,11,52,124.91840966638904
7,28,3,14,1,0,0,10,45,117.65280669909228
10,31,0,11,1,0,1,7,53,139.11703945784885
7,27,8,13,1,1,0,9,44,113.64834781237349
5,32,11,11,0,1,0,8,50,129.06104334964257
9,30,5,13,0,1,0,8,50,128.4681973485926
9,29,9,11,0,0,1,8,49,120.2466216788098
8,29,6,15,0,1,1,8,48,122.03777117611818
10,25,7,16,1,1,0,8,46,117.10832514286876
11,29,10,13,1,0,1,8,50,125.32907965972196
10,33,0,10,1,0,0,12,53,141.35248249213174
11,30,8,13,0,1,1,6,50,125.6446887075448
8,30,8,14,0,1,0,6,49,123.36849531402837
12,30,8,16,0,0,1,8,52,123.79251593426372
14,32,5,12,0,0,1,9,53,131.17619260551604
9,31,9,16,1,1,1,7,49,119.79357075484646
6,29,10,6,0,1,0,11,48,127.09924211508331
7,30,12,14,0,1,0,8,50,121.61161722869114
13,31,8,12,1,1,0,10,53,128.99883355352364
7,31,6,12,1,0,0,7,49,127.42942241531672
10,30,2,18,0,0,0,8,50,126.58814184935412
15,34,2,12,0,0,0,10,55,135.45106038286548
13,30,7,17,1,0,0,9,50,120.48680017498776
15,26,2,8,1,0,0,4,47,119.11328529887238
8,30,2,10,0,0,0,11,52,135.87841286295065
13,23,15,8,0,0,0,5,48,117.12146512888336
6,29,9,12,0,0,1,10,50,128.71000360991115
6,30,7,14,0,1,1,6,50,129.93847281163113
12,30,5,19,0,1,0,9,50,119.22266048319902
12,29,3,13,0,1,0,7,50,128.54643952068471
11,31,5,19,0,1,0,9,50,117.6182763115914
10,29,10,13,1,0,1,8,48,119.96436678966914
5,31,10,11,0,0,0,8,48,125.54117296242866
9,29,9,17,0,1,0,9,49,120.70543609884348
10,28,6,17,0,0,1,10,49,117.71332908017
10,32,2,14,0,1,1,11,53,132.98001447315096
13,32,6,13,0,0,1,9,52,125.0304071576444
10,28,7,14,0,0,0,10,49,122.96072548452756
10,30,11,15,0,1,1,8,51,122.94678567031391
7,27,8,16,1,0,1,7,50,125.21626499096988
6,30,6,8,1,1,1,8,48,128.5888368582983
8,30,11,18,1,0,1,10,49,118.3904598125388
7,29,5,11,0,0,1,7,50,134.30378350262316
13,27,7,15,0,1,1,8,50,120.14910073059072
6,32,9,10,1,1,1,7,49,126.87683349440866
12,31,12,10,0,1,0,7,49,120.5616205887245
11,32,4,14,0,1,0,6,49,125.62808074234005
11,25,17,11,0,0,0,9,47,111.68259255105916
13,30,3,15,0,0,0,8,49,121.03319749565414
6,29,11,9,1,0,0,7,50,131.09793173115327
6,29,6,11,0,1,0,9,46,118.37977058727822
10,28,5,12,1,0,1,7,47,119.62794076249271
14,31,8,13,0,0,1,11,52,122.54962646948952
11,33,8,18,1,0,0,7,51,120.56396403489263
14,30,7,14,0,1,0,6,49,115.72761718196855
11,29,2,11,0,1,0,9,48,123.889814163317
8,28,7,13,1,0,0,11,50,128.24032143037743
12,31,12,11,0,1,0,7,50,121.11164607725306
13,27,4,14,1,1,1,9,52,129.28107360248003
8,33,3,11,1,0,1,12,53,136.7662937666296
9,30,9,16,1,0,0,8,45,109.25208438965596
13,31,6,13,0,0,1,13,54,131.4420414505838
12,28,10,15,0,1,1,8,49,115.8547601986659
9,29,8,16,0,0,0,5,44,109.98362273077646
5,31,5,18,1,1,1,9,46,114.40797147933228
11,30,10,16,1,1,0,9,51,121.33126320855015
7,32,4,16,0,1,0,7,49,125.02456844519712
11,30,5,10,1,1,1,11,52,132.36050744619007
3,30,3,13,0,1,0,8,44,123.72588947214376
12,30,2,14,0,0,0,10,50,126.09247903373964
9,26,4,14,0,1,0,10,51,130.80366065407443
12,31,5,16,1,0,1,8,51,123.632052277876
9,31,8,15,1,0,0,10,48,116.2017843682314
7,30,7,20,0,0,1,8,49,118.9931463961735
11,33,1,11,1,1,0,9,57,149.71346297727115
9,30,10,11,0,1,0,11,51,123.962212365031
6,27,6,17,1,0,1,7,45,115.819384205267
12,31,6,16,1,0,0,6,49,121.31812191877876
9,29,11,15,0,0,0,8,48,115.9545147595056
9,28,9,15,0,1,0,12,48,116.58571992161563
13,31,3,18,1,0,1,7,50,118.11653130155896
11,30,8,16,0,1,0,7,50,120.76456532322906
8,25,5,11,0,0,0,8,47,124.25526315703048
9,30,11,12,0,0,1,8,49,122.92087610698287
10,27,5,12,1,0,1,9,49,123.7150738744828
11,24,11,15,1,1,1,9,48,116.11910534285389
11,28,4,18,0,1,0,7,44,108.44696296217823
7,30,6,16,0,1,0,7,47,118.72866126571348
12,27,4,13,0,1,1,10,51,126.93537122539269
8,29,6,10,0,0,0,7,49,130.34004253610166
12,32,0,15,0,0,0,7,49,124.7542888182576
9,29,9,12,1,1,0,11,50,125.42216383762155
9,32,8,15,1,0,0,12,53,127.38807216915404
7,28,9,15,0,0,1,8,47,118.29154756291209
9,28,7,10,0,0,0,10,54,141.72076931317912
13,29,0,17,0,1,1,10,48,118.68374790082656
7,33,6,15,1,0,1,10,50,125.47361099625256
8,28,9,12,1,1,1,8,48,123.6329203565502
6,26,7,17,0,1,1,9,45,113.5925977551023
7,28,15,15,0,0,0,8,45,108.50157321559615
13,30,5,10,0,0,0,7,49,124.9795238158031
10,29,9,10,0,0,0,10,51,126.87079396989888
10,31,6,13,0,1,0,10,51,129.6369349613419
11,30,8,19,0,0,1,7,48,114.9844002387947
12,31,6,17,1,1,1,9,53,128.26813073695948
11,28,7,14,1,1,1,8,47,113.6087820666358
13,31,10,15,0,1,0,8,51,121.92413563078554
11,30,6,12,0,0,1,12,51,125.55690008615235
9,30,7,13,1,0,0,9,49,122.78996646002692
1,29,9,12,1,1,1,4,43,116.61315923394405
5,31,6,10,0,1,1,11,50,132.7155245454568
7,29,4,11,1,1,1,8,46,125.65581557506351
10,29,5,15,1,1,0,8,51,128.26291086868727
9,28,4,14,0,1,1,5,47,121.9620943975008
10,32,14,12,0,0,1,9,50,118.05985652415988
9,30,8,16,1,1,0,8,50,124.62336817094815
9,27,10,16,0,1,0,7,46,111.64693908095693
10,27,8,14,0,1,1,9,49,119.49257024591972
14,33,19,16,0,0,0,10,52,112.64762041031813
2,28,9,10,0,1,0,8,45,122.80284730910392
13,28,6,14,1,0,1,7,49,119.0935584997528
10,28,9,10,0,1,1,7,47,116.48754103759262
6,25,9,16,1,0,1,6,44,113.06780727063472
6,30,7,14,0,1,1,3,49,128.37780323912574
11,27,10,16,0,0,1,11,49,115.50664569603288
7,29,5,11,0,0,0,9,51,134.76040314440797
8,27,9,15,1,0,1,7,47,118.77736026106912
14,31,5,10,0,1,1,5,50,125.8625712866683
9,28,9,7,0,0,1,6,49,125.05492630324432
9,30,12,12,0,1,0,8,47,114.61727559476446
8,32,6,10,0,1,1,9,52,132.601952345391
13,31,9,16,0,0,1,10,50,117.74613189256664
13,31,6,13,0,0,0,4,49,121.936014993512
12,30,3,11,0,1,1,7,50,127.42051550499626
15,29,2,14,0,1,1,12,51,126.76367207379256
8,30,10,14,1,0,0,7,49,122.33651418154898
4,28,7,15,0,0,0,10,46,121.75885598251593
10,27,13,14,1,0,1,12,47,112.5904626860734
15,31,11,13,0,0,0,10,52,122.07417011686536
10,32,8,16,1,0,0,12,53,130.4224299035815
11,32,5,17,0,0,0,11,50,123.44755013602024
8,32,6,12,1,0,0,10,52,133.56177159158537
5,30,11,8,0,1,0,4,47,126.7393137333482
9,30,9,13,1,0,0,7,51,128.96025940439188
11,30,6,19,0,1,0,11,49,115.99560135661676
11,27,11,12,1,0,1,9,46,112.93594416261448
14,28,7,12,1,1,0,9,52,129.42883415347
12,32,10,13,0,0,1,7,52,126.21285878903412
11,29,8,15,0,0,0,8,48,114.81876562149328
6,33,7,16,0,1,1,10,48,122.37389451946954
14,25,8,12,1,1,0,12,50,121.71264004625657
7,31,5,15,0,0,1,7,47,119.58833194882294
13,30,7,14,1,1,0,8,50,120.4203245471856
11,27,1,12,0,0,1,8,48,123.5165565866686
8,26,8,16,0,1,0,8,45,114.12119428003872
7,28,8,14,0,1,0,8,47,119.06163418480648
4,27,7,11,1,1,1,9,46,121.80754506454412
11,30,8,11,1,1,0,9,51,127.13489283440336
13,31,13,12,1,0,0,7,50,116.6823894452494
10,28,6,15,0,1,1,9,48,117.23628856669065
9,31,10,12,0,1,1,10,54,133.28187634395002
11,27,8,16,1,1,1,13,49,116.9399171393287
1,27,7,11,1,0,1,12,46,125.73858454434746
13,30,10,11,0,0,0,11,54,130.97545104820148
14,28,8,13,1,0,0,7,50,120.84121347791807
5,30,0,13,0,1,0,9,48,131.11289048130817
11,29,9,13,1,1,0,11,50,124.88833891255106
8,31,6,9,1,0,0,8,50,133.21794681050346
7,25,9,14,1,0,0,8,47,122.32201300707678
11,31,7,15,0,1,1,7,50,120.03187304812091
7,29,8,14,1,0,0,10,50,127.66670186619416
8,31,8,14,0,0,1,9,51,126.44626160795252
4,27,7,10,0,0,1,6,47,128.8666316435925
13,27,10,16,1,1,0,10,50,120.23024428090676
11,30,8,19,1,1,0,7,47,111.52617364162153
5,26,9,12,0,1,0,7,45,119.24623324673476
15,31,0,16,0,0,0,9,50,122.08167747115728
10,27,8,13,0,0,0,9,48,121.03247242550204
13,31,2,11,1,0,0,9,54,137.1071674685345
9,26,11,14,0,1,0,5,43,106.57647047335114
7,29,3,12,0,1,0,9,52,142.71081790116287
11,30,8,16,0,1,1,5,47,113.58479183485709
8,29,5,14,0,0,0,8,49,126.53412134147578
9,29,10,11,1,0,0,7,50,126.21092204172948
7,27,15,18,0,0,0,7,44,105.9783397162194
6,30,6,15,0,0,0,8,48,123.34568941308603
11,31,6,10,1,1,1,8,51,127.82825103816994
9,31,3,15,0,0,0,11,49,123.87199080543866
9,27,14,16,0,1,0,14,49,113.7857256665714
9,28,7,15,0,0,1,8,47,118.2915920154432
12,29,11,18,0,1,1,9,49,108.84379915190551
7,30,10,18,1,0,1,12,48,114.81499607369332
9,25,5,11,0,1,0,11,49,127.69395716746956
3,31,2,13,0,0,0,9,44,118.10588596768368
11,28,8,16,0,0,0,6,48,117.93319747782124
8,31,10,13,1,1,0,9,49,123.9725174778072
14,30,8,14,1,0,1,9,50,118.84867562930263
9,31,9,13,0,0,0,3,49,121.77100240263404
8,25,4,13,0,0,1,4,43,114.11083852753602
9,29,7,13,0,0,0,9,49,122.4941945472927
9,35,5,13,0,0,0,10,52,130.71899469832087
9,31,6,10,0,1,0,9,50,129.8568458551297
7,32,7,19,1,0,0,10,50,120.02292514180915
11,28,6,15,0,0,0,8,49,121.56070261401264
11,27,6,13,0,0,0,6,47,115.633658727014
11,32,9,16,1,1,1,6,51,119.99494714878242
11,32,10,14,0,0,0,11,51,121.22508470945588
10,31,6,18,0,1,1,11,52,127.92904683805293
8,30,13,13,1,1,1,7,49,121.58073854861844
8,29,4,10,1,0,1,5,49,130.640974718377
11,31,8,17,0,1,0,9,50,122.20005619916252
8,28,6,15,0,0,1,11,51,128.2203069445189
13,32,9,14,0,1,0,12,55,131.74094919980897
12,29,6,14,1,1,1,5,49,122.32932660796554
12,28,12,13,0,0,0,9,52,123.0199770812684
15,24,9,15,0,0,0,5,46,108.12364960950693
7,33,9,11,0,0,0,6,49,125.1085065972716
4,32,7,7,0,0,0,7,48,130.33759816729656
8,32,8,14,1,0,0,9,48,118.74258105628591
10,28,9,16,0,0,0,4,44,108.54061040394946
5,30,1,15,1,0,1,9,49,129.33097958297267
10,28,6,11,0,0,0,9,51,132.66978490389755
11,30,10,16,1,0,1,8,49,117.2860371575112
15,32,11,10,1,0,1,6,54,128.0498285848575
13,31,2,12,0,0,0,9,52,127.670367455027
13,28,15,14,0,0,0,8,47,107.9849382301634
10,25,9,16,1,1,1,12,46,108.93914553583376
9,34,12,14,0,1,0,10,53,126.5433602448534
10,28,9,13,1,0,0,10,50,125.75934953204802
8,31,6,19,0,0,1,6,47,115.34290760540344
16,27,7,17,0,1,1,9,50,115.76825870554518
9,32,11,17,1,0,0,10,49,116.30945753112424
8,30,8,12,0,1,0,8,49,125.28898516315148
9,31,9,15,0,0,0,9,50,123.05344002200506
10,25,9,9,1,1,1,10,52,133.78615990265178
4,30,3,14,1,1,0,10,48,129.9117460306918
7,31,12,11,0,0,0,8,49,125.11358318000634
13,27,7,13,0,1,0,11,51,123.0013604171584
10,34,12,15,1,0,0,10,54,130.0387880642032
14,30,4,14,0,0,0,7,50,123.18685694896227
7,33,4,15,0,1,1,9,49,126.98517449708822
8,28,7,13,1,0,1,10,51,131.0960734673015
14,28,1,14,1,0,0,10,50,123.94782689035436
11,30,5,13,0,0,1,6,49,121.66417340705146
9,30,9,12,0,1,1,5,48,121.77839797458432
15,30,7,15,0,1,0,4,48,113.17950897554556
16,30,6,14,1,0,0,6,52,123.11865043989506
9,31,8,13,1,1,0,9,49,122.44208721869433
7,31,8,15,1,0,0,8,49,122.66998688115233
6,30,9,13,0,1,0,10,50,127.74304840762376
8,31,6,16,1,0,1,6,50,127.55271751952635
6,26,7,15,1,1,0,10,46,119.38337362875424
6,29,4,13,0,1,1,10,48,126.32891326172788
5,28,9,15,0,1,1,12,47,120.36914435242214
9,29,15,14,0,1,0,12,50,119.6973367397716
8,28,8,19,1,0,1,8,46,112.40853355737303
15,26,7,15,1,1,0,10,48,113.83890261585177
11,29,10,12,0,1,0,9,50,125.86686797250027
9,31,7,14,0,0,1,11,52,128.16322343745458
13,27,10,8,1,0,0,9,50,123.97969706317
14,28,8,10,0,0,0,8,47,113.05060381169709
11,32,12,10,1,1,1,11,55,134.8991824706186
14,31,11,13,0,1,1,6,51,118.449479405208
8,29,3,12,1,1,0,6,46,121.666416898668
8,29,5,16,1,0,1,10,48,120.18826909116996
12,32,3,12,1,1,0,6,53,134.97446827728635
11,31,14,14,0,1,0,9,49,114.90179949856211
8,33,5,12,1,1,1,12,55,139.84031218330247
14,31,13,16,0,0,1,9,51,115.37135555585108
12,29,8,13,1,0,0,9,53,128.04421759133476
14,25,10,14,1,0,1,11,48,114.207393331589
10,33,8,13,0,1,0,8,51,124.3565355339837
11,29,7,15,0,0,0,10,49,118.57121723638986
8,30,6,13,0,1,1,10,50,127.36076251097752
5,33,8,14,0,0,0,8,46,116.14247449042864
7,28,6,13,1,0,0,6,50,132.6981024264102
10,32,5,12,0,1,1,7,52,132.82589651636297
6,30,15,19,0,0,0,11,48,112.62549949419036
11,31,7,15,0,1,0,7,50,121.18229708362746
9,25,9,10,0,0,0,6,45,116.08838191585303
13,29,7,18,1,1,0,5,46,110.7795279976986
11,32,5,16,1,0,0,7,49,118.5118481906202
7,31,12,15,0,0,0,9,49,119.10006042946615
7,27,4,10,0,0,0,9,48,131.27564149156902
8,31,6,17,0,0,0,6,46,114.58956702581348
14,31,7,12,1,0,1,9,54,129.34464145296602
10,30,8,11,1,0,0,10,50,124.68970299742286
6,27,6,11,0,1,1,9,47,123.10663521663912
9,28,9,8,0,1,0,10,51,130.853096123442
10,32,12,14,1,1,0,10,49,118.32683961558352
11,31,10,15,0,0,0,11,51,121.41966802067
13,29,7,16,1,0,0,7,50,121.57914820334516
6,30,9,15,0,0,0,7,49,124.97000475440096
9,24,6,9,0,0,1,9,47,124.21218453604696
8,30,10,16,0,0,0,6,48,118.80673722491385
9,30,6,15,0,1,1,7,46,113.13669698943686
14,31,5,13,0,1,1,8,51,123.0159253135598
11,28,11,17,1,1,1,11,49,114.46803819235996
11,26,10,18,1,0,0,7,47,111.29878235017055
6,31,3,9,1,1,0,5,48,130.70819572748064
14,34,6,12,1,1,0,7,54,133.70118603370886
13,29,8,14,0,0,1,10,51,122.48458830168144
3,32,6,13,1,0,1,9,51,136.69745359301365
14,26,7,16,0,0,1,9,51,123.34670381727732
12,29,11,9,1,1,0,10,53,132.0075250536189
7,27,10,10,1,1,1,7,48,122.95135096971198
12,28,13,12,0,0,0,10,51,118.47483356387632
7,35,14,13,1,0,0,9,54,130.68929615651606
9,32,5,16,0,1,1,9,50,127.18971047462094
10,25,13,13,0,0,0,6,46,113.15267032399244
9,27,13,13,0,0,1,11,51,122.73845969687038
7,30,8,11,0,1,1,11,48,123.15794338793582
13,28,8,15,0,0,0,9,48,114.50951708234513
14,31,8,12,0,0,0,7,47,110.59403668080216
9,27,5,13,0,1,0,9,49,126.01659444292756
5,32,4,17,0,0,1,8,49,126.0040307009048
5,28,9,15,1,0,0,9,51,132.14862635725285
9,31,7,13,1,1,1,9,50,127.13692755923172
6,31,9,17,1,1,1,6,46,113.97667591964267
12,27,7,13,1,1,0,5,47,115.42199968054383
16,29,10,13,0,0,0,10,55,129.07187747855102
11,29,9,10,1,1,0,9,51,129.57998720489024
7,30,8,13,0,0,1,7,48,120.545417817084
7,28,15,10,0,0,0,10,48,119.68350584002668
11,34,6,13,1,1,1,8,51,124.7716128835794
8,31,5,12,0,1,1,9,48,123.29319106877242
9,28,9,13,1,1,1,9,49,120.45853650263106
13,33,8,14,1,0,1,6,50,116.27705620824788
11,28,11,13,0,1,0,14,51,122.17107912286612
7,29,3,12,1,0,1,8,51,137.33155359705054
13,26,7,10,0,0,0,9,53,133.6289091721401
12,31,8,16,0,0,0,9,52,125.9907272745078
10,29,9,15,1,0,1,8,49,118.0640769551133
11,34,8,13,0,0,0,10,52,126.3920532040626
10,29,10,12,0,1,0,6,48,120.29962288321666
9,31,10,15,1,0,0,7,50,123.41463047339109
10,27,7,11,1,0,1,10,49,125.3199081128804
2,29,5,13,1,0,1,8,44,120.2994019161446
9,33,5,12,0,1,1,9,51,127.52732216953588
7,32,6,11,0,0,0,7,53,139.59596465394492
10,27,6,9,0,0,0,10,49,126.55363990284825
13,30,6,10,1,1,1,11,55,136.50793604046265
14,28,8,18,1,0,1,5,50,119.38966790881356
16,28,7,10,1,0,0,2,50,123.47120011814457
11,30,11,13,0,1,1,10,49,118.17329738422411
9,29,8,9,0,0,1,5,49,127.797303820521
8,28,4,17,0,1,1,8,47,119.91739502032982
6,33,6,15,0,0,1,8,51,126.65651711159776
5,29,9,13,0,1,1,10,49,126.13787107521796
9,27,3,15,1,1,0,9,48,123.28868314497458
11,32,4,18,1,0,0,10,52,127.39799203787732
1,29,9,15,0,1,0,8,45,119.54382712160616
3,28,4,12,0,1,1,13,51,138.96283911341928
5,29,4,9,0,0,0,7,48,133.22170000467767
9,30,3,9,0,1,1,11,51,132.8635091625007
13,26,7,14,0,1,0,7,48,117.66378620173433
9,30,3,12,1,0,0,9,50,131.10676532782475
13,29,6,13,0,1,0,11,50,121.56121788390423
14,30,4,15,1,0,0,9,51,125.16694494642653
10,28,8,11,1,1,0,7,46,116.33246414705108
10,33,5,15,1,1,0,10,52,129.56266345410089
13,28,12,13,0,1,0,6,49,113.20884348144958
12,28,4,12,0,1,0,9,50,128.64248022263288
9,30,9,19,1,0,0,12,51,122.4524155178214
7,26,9,8,1,0,0,5,44,117.49117064189238
11,30,14,12,1,0,1,7,50,116.5031517959187
6,29,12,17,1,0,1,10,46,109.55488904747864
14,31,15,12,0,0,1,9,53,122.31159993045203
10,26,6,14,1,0,1,7,46,115.53601522382506
7,30,13,15,1,0,0,10,52,127.3249177077028
5,32,11,11,1,0,0,4,47,120.7966879404706
7,29,2,13,0,0,0,4,47,127.39057693883248
10,30,9,19,0,1,1,12,51,120.3934247282064
9,30,5,15,0,0,0,9,51,129.3898503074888
10,27,11,14,1,1,1,9,48,117.02425208811223
13,29,12,9,0,1,0,7,49,122.33780617663416
12,30,8,12,1,0,1,6,51,123.56006170106043
8,28,6,10,0,1,1,8,49,127.14258816178167
10,29,13,13,0,0,1,9,50,123.287036204272
8,25,6,15,0,0,1,8,47,121.57251968301216
12,29,9,13,1,1,0,6,49,117.80961514176052
3,26,9,17,0,1,0,9,44,114.11192502426792
15,33,1,15,0,0,0,5,49,120.4830843725728
9,27,5,14,0,1,1,8,47,118.64753937771236
10,25,6,15,0,0,1,7,44,108.64923551794244
7,29,9,14,1,1,0,9,50,125.23140883501058
12,30,2,14,0,0,1,8,50,125.29858976700818
9,26,5,10,0,0,1,10,53,141.21249447293053
9,27,6,16,1,1,0,6,44,112.40598768534392
9,28,5,12,0,0,1,9,49,127.198458450855
11,31,5,15,0,0,1,10,50,121.53192766393715
10,30,11,12,1,0,1,10,49,117.18931352194852
4,32,7,16,1,0,1,8,49,125.66382323921133
9,28,11,9,0,0,0,7,48,120.88371988976692
12,28,6,9,1,0,0,8,50,131.90388454003497
10,27,11,11,0,0,1,10,51,127.58705873580097
11,26,9,14,1,1,0,7,45,109.04440264226088
