participant_age,annual_income,homeownership_status,previous_loan_history,employment_stability,loan_granting_policy,loan_repayment_status
19,27,1,0,1,1,79.60936854720175
31,18,0,1,1,1,75.29897500579726
43,19,0,1,1,1,75.65840747961562
24,24,1,0,0,0,73.04415960026301
23,26,1,1,1,0,75.70716933414239
36,24,1,1,1,1,80.4936667941029
32,18,1,1,1,1,74.43793441863149
39,20,1,0,1,0,73.00149443671866
25,19,1,0,0,0,67.860697067838
21,26,1,1,1,1,79.39196061511821
26,32,0,1,1,0,79.79934637961503
33,21,1,1,1,0,72.64614961959359
14,25,0,1,1,0,74.37158965820134
46,20,1,1,0,1,75.0829141153194
16,23,1,1,0,1,76.81550764000731
5,28,0,1,1,1,78.61796604770215
28,25,1,0,1,1,80.46359488042722
24,17,1,0,1,1,73.42747241232138
43,23,0,1,0,0,74.76592416530846
25,24,1,0,1,1,79.17186502258336
25,17,0,0,1,0,67.80405663845522
18,32,1,1,0,0,78.812841403659
25,20,0,0,1,1,74.32526627479895
26,27,0,0,1,0,75.30674320102854
20,24,1,0,1,0,71.65996217775103
20,27,1,0,1,0,75.93355809934663
38,24,1,1,1,1,79.42618623719802
25,28,0,0,1,1,81.63236134190984
29,28,0,1,1,1,83.72737135497013
29,18,1,0,1,1,72.19546244970141
14,24,0,1,1,0,71.94307246090219
32,22,0,1,1,1,77.6885595009113
39,27,1,1,1,1,80.34343313511737
9,19,1,1,1,0,67.29814154296164
16,23,1,1,0,0,72.85601543289879
17,22,0,1,1,1,77.6135991125703
45,16,1,1,1,0,71.0207822189078
43,23,1,1,0,1,79.71754020305738
29,22,1,1,1,0,72.54021797050868
23,27,1,1,1,1,81.62061315796595
15,20,1,1,0,1,72.08095950411128
21,18,1,1,0,1,72.64625408717629
19,22,1,1,1,0,73.86901420517128
38,29,0,0,1,0,78.03792271440688
8,16,0,1,1,0,65.54575628540016
38,26,1,1,1,0,76.8017226106286
24,23,1,0,1,0,71.6579529512377
30,24,0,1,0,1,79.61338209818209
9,17,0,1,0,1,71.34248304330372
23,17,1,1,1,0,68.4288967762301
26,20,0,0,0,0,68.98030887620577
29,26,1,0,1,1,80.88377191433861
25,27,1,0,0,1,79.63268286499802
28,20,1,1,1,1,77.69688398756298
38,21,1,0,1,1,75.50798197954796
30,25,1,1,1,0,74.82743926795426
27,30,1,1,0,0,81.00492502580308
14,19,1,0,0,0,67.96043087159939
26,24,1,1,1,0,73.9080482631321
26,24,0,1,1,0,75.40646408624622
31,21,1,0,1,1,75.32758858507393
24,25,1,1,1,1,80.80941438125507
14,29,0,0,1,1,81.57978784096574
24,28,1,0,1,0,77.49083494344481
10,23,1,0,1,0,72.82539691278092
35,22,1,1,1,1,78.19310921084161
23,20,0,1,1,1,75.24458519250474
25,21,0,1,1,0,70.4964153767223
30,22,0,1,0,0,71.74976488661088
23,26,1,1,1,0,74.69909728727035
18,26,1,1,1,0,76.38742049409328
31,25,0,0,1,0,75.17198492541857
30,25,0,1,1,0,76.15534620034977
25,23,1,1,1,1,78.37117873558469
20,29,0,1,1,1,82.39436726944582
16,20,1,1,1,1,73.73186972600266
32,28,0,1,1,0,76.34837505830899
22,25,0,1,1,1,78.64419832814615
9,27,1,0,1,0,75.4326414711891
10,28,1,1,1,0,76.42928558671817
13,22,1,0,0,0,71.6750341832756
27,24,1,1,1,1,79.39674915771188
24,23,0,0,0,1,76.58760416315981
31,19,0,0,1,1,74.38376245294873
38,30,1,0,0,0,78.48836454602981
43,27,1,1,1,0,77.55912068350358
16,27,1,1,0,1,80.49745350175466
11,25,0,0,1,0,73.27490852764424
8,22,0,1,0,0,72.11061129463154
34,27,1,1,1,0,77.81485547176835
36,32,1,1,0,0,81.30031283542598
24,19,1,1,0,1,73.48231205672558
16,21,1,1,1,1,76.03154253101943
32,19,1,0,1,1,73.59350890731031
39,23,1,1,1,1,79.11312768746767
24,26,0,1,1,1,80.8174482766344
22,19,0,0,1,1,71.35542108516314
15,18,1,0,0,0,67.2162117992753
38,33,0,0,1,0,81.17847618791109
42,28,1,0,1,1,82.68879692325525
32,30,0,0,0,1,81.26116994549663
14,24,1,0,1,0,71.95401943700743
34,23,1,0,0,1,76.80449367676795
28,17,1,1,1,1,74.10901561484889
16,22,1,1,1,1,75.87579864161968
6,21,1,1,0,1,76.45168810428407
24,25,0,1,1,0,75.55030055078169
9,25,1,1,1,1,78.14762983971278
20,23,1,1,1,0,74.03517948923981
28,23,1,0,1,0,73.6599977916908
32,23,1,0,0,1,78.08454646184789
16,19,1,0,1,0,68.90118764222682
17,32,1,0,0,0,79.9705531464092
23,20,0,0,0,0,68.34218438921094
26,28,0,0,1,1,82.2074088812483
31,27,1,1,1,1,82.96756966612851
28,21,1,0,1,1,74.75083651004863
33,25,1,1,0,1,79.9958736262187
12,26,1,1,1,0,76.42396113195018
14,23,0,1,1,0,71.26222863303828
28,29,1,1,1,0,79.28969552820894
30,22,1,0,0,1,76.87817936411959
34,25,1,0,1,0,74.20139008739105
24,25,0,0,1,0,74.03745725269074
26,28,1,1,1,0,76.5689036105426
14,24,1,1,1,0,72.9140499219006
34,23,1,1,1,0,76.46662155850515
34,30,1,1,0,1,83.81271364682522
34,23,0,0,1,1,78.0518561170167
26,34,1,1,1,0,83.33823311576123
16,27,1,0,1,1,79.92605298712718
8,28,0,1,1,1,79.46480965593457
13,19,1,0,0,1,72.8796602001857
18,22,0,1,1,0,72.63194049635062
19,25,1,1,1,1,78.81969277483522
28,26,1,1,1,1,80.98139537559956
11,26,1,0,1,0,75.15109108830369
33,20,1,0,0,0,68.96046659296574
18,23,0,1,1,0,73.817271031737
33,28,0,1,0,0,76.03511963496452
30,21,1,0,0,0,71.9180809459395
17,21,0,1,0,1,73.58610481337918
29,22,1,1,1,0,72.81189803556599
29,28,0,0,0,1,79.97460069047243
15,21,1,0,1,1,75.1735051322533
11,27,0,0,0,0,73.57448601091727
13,21,1,0,1,0,69.44560620133706
18,27,0,0,0,0,76.76065542240994
46,17,1,0,1,0,70.98000202480799
32,26,1,1,1,0,76.96801955521734
17,25,1,0,0,0,72.89466363691923
32,21,1,1,1,0,72.89954421549997
33,27,0,1,1,0,77.09504445506599
8,21,1,1,1,1,74.5924058932981
24,21,1,1,0,1,75.617588036691
27,18,1,1,0,1,73.03185979473383
23,24,1,1,1,0,74.3380842728417
43,20,1,0,1,0,71.91466413874484
18,23,1,1,1,0,72.80906283327407
15,22,1,1,1,0,73.660749146088
32,25,1,1,1,1,78.36804598256069
20,21,0,1,1,0,71.36225220479555
14,29,1,1,1,0,77.3960173167385
26,22,1,0,0,1,76.15730492031315
18,24,1,0,1,1,77.11199054626722
-1,30,1,1,1,1,82.20919955891367
43,25,0,0,1,0,75.56762161907517
30,21,1,1,0,0,70.84864307383454
22,21,1,1,0,0,72.34191851268321
22,25,1,1,0,0,74.9263018799757
18,25,0,0,0,1,78.09437064079272
36,26,0,0,1,0,77.01924452658167
9,29,0,1,1,0,76.36308796884788
32,24,1,0,1,1,78.98587456672767
32,20,0,0,1,0,72.55775922887793
32,25,1,1,1,0,76.53637581441424
16,33,0,1,0,1,83.53180377995771
15,23,0,0,1,0,71.02026976716434
31,25,1,1,1,1,79.38130104226761
36,25,1,0,1,0,73.89166533341272
27,20,1,1,1,1,76.2585795668268
32,19,1,0,1,1,75.26914738534734
33,27,1,1,0,0,77.78274197121088
11,24,1,1,1,0,72.81553617108902
39,30,1,1,1,0,80.94803593611891
34,24,1,0,1,1,79.87513653827405
41,25,1,0,1,0,76.49817580292786
7,25,1,0,1,1,77.29572719677942
23,20,0,1,1,0,69.11434258584048
27,23,0,1,1,1,77.67478066292179
33,17,1,1,1,1,73.42462357429226
29,21,0,0,1,1,75.34069009073696
21,25,1,0,0,0,73.82395268581946
26,20,1,1,1,0,72.4829699131182
28,22,1,1,1,0,71.45848836076385
27,26,0,0,1,1,79.89915570377906
28,21,1,1,1,0,72.09703398681826
24,25,1,1,1,1,80.15278215507549
27,25,0,1,0,0,73.53659388938256
31,21,1,0,1,0,70.85522863329975
22,28,1,0,1,0,75.68880284100078
10,29,0,1,1,1,83.53729257885135
-2,29,1,1,0,1,80.45559288832094
19,25,1,1,1,0,75.06054982669176
38,29,0,1,0,0,78.01146487847876
13,15,1,0,0,0,63.33844343291104
31,29,1,0,1,0,76.92019757297959
24,23,1,0,1,1,77.32644880655246
36,19,0,0,1,0,70.31839120428106
25,27,0,1,1,1,79.62351248254353
27,23,1,1,1,1,75.65583579215144
31,20,1,1,0,0,70.54495433472171
23,23,1,1,1,0,72.49118270329072
36,29,1,1,0,1,83.25458249350108
2,22,1,1,1,1,74.9079166588378
10,27,1,1,1,0,76.66217249619913
19,21,1,1,0,1,75.30518364370559
35,19,1,1,0,0,71.54205392156412
29,19,1,1,1,0,69.98535207133801
24,25,0,1,1,0,76.18192044960233
18,20,1,1,0,1,74.84482671568891
19,19,0,1,0,1,72.74003031891812
15,27,1,0,0,0,75.25328136165025
14,19,1,1,1,0,70.4913452652824
23,20,1,1,1,1,74.89718215369913
17,20,0,1,1,0,68.76330178738007
22,29,1,0,1,1,81.47510116324288
35,28,1,1,1,0,79.84113048862318
14,19,1,1,0,0,70.18372376830396
32,30,1,1,1,0,79.03775083647983
11,28,0,1,1,1,81.21470859110627
25,26,0,1,1,1,80.44619097754524
35,25,1,0,0,0,73.18709114674604
30,23,0,0,0,1,78.23017824098892
12,18,0,1,1,1,73.63305961069689
19,24,1,1,1,1,79.74325733104509
21,25,1,1,1,0,74.90022509691369
29,19,1,1,1,0,69.56739795139931
13,29,1,1,0,0,77.21277071587376
17,24,1,1,1,1,76.9987588441761
40,22,1,1,0,1,78.3630230054103
31,26,0,0,1,0,74.83823292423854
20,21,1,1,1,1,77.03690161999144
17,15,1,1,0,1,68.22324793119762
34,25,0,1,1,1,79.79648063141065
16,24,1,1,1,1,78.05762642224549
39,19,1,0,0,1,74.94831714774854
18,21,0,1,1,1,73.56859035618321
28,29,1,0,1,0,77.52021091172959
21,20,1,1,0,1,75.14676860356055
31,30,0,0,0,0,78.48437500351497
19,22,1,0,0,1,76.12505538182754
24,26,1,1,0,1,80.56931860466234
25,17,1,1,1,0,68.37249582225908
18,23,1,1,0,0,72.46660350265368
19,24,0,0,1,1,77.72630093681263
22,22,0,1,1,0,71.87001659861488
32,23,1,1,0,1,76.4473241379598
35,27,1,1,0,0,78.86476650985966
26,20,0,1,0,1,74.91667114830446
15,22,0,1,1,1,76.71698877786703
11,16,0,0,0,0,65.63694784180527
23,22,1,1,1,0,72.21718527282971
31,25,0,1,0,0,75.56088073204958
32,24,1,1,0,1,77.10664513396975
15,18,1,1,1,1,74.0192744789375
34,23,0,0,0,0,72.12522690485656
15,26,1,0,0,0,74.88664022752523
31,22,1,1,1,1,77.31050866139607
22,28,1,1,1,0,76.33215633006729
37,21,1,0,0,0,70.71132820030644
21,26,0,1,1,1,77.26799660001079
27,24,1,1,1,1,79.56841936557917
45,21,1,0,1,0,73.08598196033556
25,28,0,0,1,1,80.65995635462829
19,24,1,0,0,1,75.7554339254639
26,26,0,0,1,1,77.7893941292654
20,20,0,0,0,1,73.00259225926466
29,25,0,1,1,1,77.77306873299594
18,24,0,0,1,0,73.77373166038272
3,25,1,1,1,1,79.70003726866581
31,18,1,1,1,1,74.18354551527824
14,24,1,1,1,0,74.05151295550584
18,24,1,1,1,0,73.70434491013582
32,29,1,1,1,1,82.62787642055007
26,19,0,1,1,0,71.05878977575449
21,33,1,1,1,0,81.66372837396723
16,19,1,0,1,1,74.12337178072015
37,18,0,0,1,0,67.53264931371376
28,24,0,0,1,1,77.63790334497628
8,29,1,1,0,0,77.38182468958469
9,24,1,1,1,0,74.5314090421496
16,29,1,0,1,1,81.47101145052719
5,26,1,1,1,1,76.83836442008784
37,24,1,1,1,1,81.43034943745967
20,28,1,1,0,0,75.32337157913206
37,19,0,1,1,1,75.38873367011232
28,20,1,1,1,1,75.98075585551442
22,21,1,1,1,0,72.6788475671009
26,28,1,0,1,0,77.62367868248297
42,20,1,1,1,1,76.36108408683147
30,21,1,0,1,0,70.35224394496827
16,29,1,0,0,1,79.21205019186425
35,28,1,0,1,1,84.21288082533891
29,26,1,0,1,1,80.5009692183102
21,24,0,1,1,1,78.096494293697
14,24,0,0,1,0,71.4891033743724
19,22,1,0,1,1,75.40877501184845
18,17,1,1,1,0,67.36402150944431
29,26,0,1,1,1,82.09894156066208
31,19,1,1,1,0,71.26019366802673
23,23,1,0,1,1,77.8380595751155
25,31,1,0,1,1,83.5390274538191
26,22,0,0,1,0,70.6440295818255
23,22,1,0,1,0,72.03628276380326
31,18,1,1,0,0,69.41909273534701
34,26,0,0,1,1,79.82671344267672
35,16,0,0,1,0,66.24541482373802
9,21,0,1,1,0,68.81356021232432
12,27,0,0,1,0,74.43430881467667
29,26,1,0,1,1,79.72420799308549
19,20,1,1,0,0,69.77923071333693
28,22,1,1,1,0,74.0763223264882
15,21,1,1,1,1,76.70855742609461
35,26,1,0,1,1,82.07121483108746
29,28,0,1,1,0,78.59967215285339
27,30,0,1,0,0,79.25463557169878
31,26,0,0,1,1,79.7048739014519
0,23,0,1,1,0,71.40835626107344
32,19,1,1,1,0,73.00249399265209
13,21,0,1,0,0,68.33969837169148
21,26,0,1,1,1,80.36870615491927
20,27,1,0,1,0,76.35914491886614
14,21,1,1,1,0,70.78167279318976
31,22,1,0,0,1,75.30417625450968
28,25,1,1,1,1,81.30970501353889
37,24,1,1,0,1,78.46268985712597
32,23,0,0,0,1,76.00229639460838
47,26,0,0,1,1,81.60637574397103
18,21,1,1,0,0,69.8841948223595
23,24,0,1,1,0,73.49001991056574
14,25,1,1,1,1,79.42323585193229
23,18,0,0,1,0,68.12189768563164
24,29,1,1,0,1,82.13919968680041
24,27,1,1,1,0,77.1782894511782
12,22,1,1,1,0,70.61409704446127
13,26,1,1,0,1,78.52503141876075
35,26,1,1,0,0,76.41135180400269
33,23,0,1,1,0,74.28034773923633
41,21,1,0,1,0,73.57541711511735
10,22,0,1,1,0,72.11657662243081
16,28,1,0,0,1,80.68836692890126
25,23,0,0,1,0,73.14056147239211
34,24,0,0,0,1,77.30526626029462
2,27,1,0,1,0,74.87572460668434
0,28,1,1,1,0,75.95243179509204
26,18,0,1,1,1,72.60653965625539
29,33,0,1,1,1,86.89297263105874
39,19,1,0,0,1,75.4544396560225
25,16,1,1,1,0,68.90473662787375
44,24,1,1,1,1,79.13416475659162
29,28,1,1,0,0,77.08363495538713
21,14,0,0,0,0,64.10329383641272
32,23,0,1,0,0,75.08192640825337
38,23,1,1,0,1,78.24400677069123
32,21,1,1,0,1,77.77024527921202
-4,28,1,1,1,0,76.34629035694279
20,23,1,1,1,0,72.53491085067063
17,27,1,0,1,0,77.08110780899104
32,24,1,1,1,0,74.3389126206928
32,20,1,0,1,1,75.74714467851426
27,23,0,1,0,0,73.3625567975479
24,21,0,0,1,0,70.93494394734724
14,16,0,0,0,0,63.62578613419692
26,30,1,1,1,0,77.98348807984773
19,24,1,1,1,1,77.11589885947242
15,23,1,1,0,0,72.2586957907088
41,23,1,1,1,1,78.6365913536626
29,25,0,1,0,1,76.33628568489162
37,22,1,1,0,1,75.926318114753
31,25,1,1,1,1,79.20104213514249
48,19,0,1,1,0,70.96870844103611
42,20,0,0,0,1,75.76126029760869
19,19,0,1,1,1,74.87955061344383
32,22,1,1,1,0,74.29832764057927
2,24,1,1,0,1,77.03848891789362
32,21,0,0,1,0,69.76172386493043
19,20,1,0,0,1,73.80060155631813
15,26,0,1,1,1,79.79203486638579
21,22,1,1,0,1,77.05132037207396
27,29,1,1,1,0,78.4242806971135
10,25,0,0,1,0,72.36885316829597
7,28,0,1,1,0,75.323061322817
25,20,1,0,0,1,72.38775987934724
4,18,1,1,1,0,66.89081776195562
28,24,0,1,1,1,78.39587496228575
34,27,1,1,0,1,80.00213245505329
25,30,0,1,1,0,78.12558122479238
33,28,1,1,1,1,84.18255755182203
41,27,1,1,0,0,78.24282837915989
36,27,1,1,1,1,82.36453833155471
41,30,1,1,1,0,80.48400680319148
32,24,1,1,1,1,81.2018222454731
20,26,1,0,0,1,78.20817533287088
32,20,0,1,1,0,69.98517780439889
28,21,1,1,1,1,77.18842334490999
28,15,0,1,1,0,68.4282559243631
38,17,0,0,1,1,71.26868021957529
41,20,0,0,1,0,69.74143387888813
14,20,1,1,1,0,71.1644000365858
24,24,0,0,1,1,77.84800533084336
37,26,0,0,1,1,81.24082039985284
15,23,1,1,0,1,76.73360488829886
24,19,1,0,1,1,74.03240925529025
38,25,1,0,1,0,75.38045017558387
36,18,1,1,1,1,74.1789339477484
36,22,0,1,0,1,76.97295891768721
32,24,1,1,0,1,79.2799754494903
18,13,1,1,1,1,70.43463191661317
12,21,0,1,0,0,68.2107370876415
9,22,1,1,0,1,74.54482337398382
28,28,1,1,1,1,81.83986924459278
29,22,1,0,0,1,77.89742858690288
32,25,1,1,1,0,74.58004514828426
27,24,1,1,1,0,75.35260316857247
33,24,0,1,1,0,73.59240155350784
19,29,1,1,1,1,83.96643200283357
24,32,0,1,1,1,83.46756417183092
13,22,0,1,1,1,75.93593276189254
24,27,1,1,1,0,79.00408010061875
23,13,0,1,0,0,64.2516630787282
26,25,1,1,1,1,80.54933065303436
21,19,1,0,1,0,68.22201169433328
28,23,0,0,1,0,71.6113110966106
12,31,0,1,1,1,83.32963157419702
19,21,1,1,1,0,72.1996431708803
35,27,0,1,1,1,82.31420308190981
15,17,0,1,0,1,71.19434980061924
19,27,1,0,0,1,78.15665652995905
18,28,0,1,0,0,76.01719877660527
11,28,1,0,0,0,74.71787646207558
23,20,0,1,1,0,69.58227459094705
13,27,0,0,1,0,74.76633627566969
32,18,1,0,0,1,71.15684169171193
24,26,0,0,0,1,79.15651550131739
25,27,1,1,0,0,76.95731628772643
23,20,1,0,1,0,69.05575390136813
42,23,1,1,1,0,75.1633624408544
26,25,1,1,1,1,78.01830639793832
32,21,1,0,0,0,71.31163958780945
10,27,1,0,0,0,73.82788593378875
25,23,0,0,0,0,73.47813374258014
23,23,0,1,0,1,76.03215399595719
17,28,1,1,0,0,76.74323614706947
18,28,1,0,1,1,81.21910958615327
25,24,0,0,1,1,75.10201110818265
25,25,1,0,1,1,78.30414574055352
18,30,1,1,0,0,76.74895344905269
22,18,1,0,1,0,66.45502501505742
10,19,1,0,1,1,72.7259661713722
23,19,0,0,0,0,66.7885393065858
31,27,1,1,1,1,81.65106432372043
29,26,1,1,1,0,75.88566248017297
13,24,0,1,0,0,70.90001894232724
8,27,1,0,1,0,75.02465213400765
38,23,1,0,0,0,74.64936498002655
17,16,0,0,1,1,71.20097288016468
29,27,1,1,1,0,76.34352072124716
27,21,0,0,1,0,72.37371157519296
22,23,1,0,1,0,73.09554837282921
29,21,1,1,0,1,76.752713353141
27,25,1,1,1,0,75.41680307104248
6,23,1,1,0,1,76.4322538707081
27,29,1,0,0,1,83.53990334123264
13,28,0,0,0,1,78.3657661745109
41,28,1,1,0,1,81.58207207040562
37,28,1,0,0,1,81.92018116833115
29,19,1,1,0,0,72.79111653801401
28,27,1,0,0,1,80.84704136422016
19,23,0,1,1,1,77.05075935956332
32,25,1,1,0,1,79.11513527741948
16,20,1,1,0,0,71.06162100596131
19,23,0,1,0,1,77.38622613991285
29,25,0,1,1,0,73.80869430819006
25,32,1,1,1,0,80.41891675839553
15,24,1,1,1,0,74.21063971484716
18,27,1,1,0,0,76.08170426212477
19,27,1,0,1,1,80.69639197248513
32,28,1,1,1,1,82.5141361706818
8,32,0,1,1,0,80.08889139448142
8,23,0,0,1,0,73.04253165621701
14,21,1,1,0,1,76.3578018585262
39,19,1,1,0,1,76.63883046551902
27,29,0,1,0,0,77.47258313363824
28,25,1,0,1,1,78.71712510698455
29,27,1,1,1,1,81.52430498005315
24,22,1,1,1,1,77.18301725958142
12,23,0,1,1,1,75.74455628326679
26,27,1,0,1,0,75.84043914276208
28,22,1,1,1,1,78.96272079415574
43,26,0,1,1,1,82.22300656328945
48,25,0,1,0,1,79.72836330395984
17,25,1,1,1,1,78.09334237908163
43,25,1,1,0,0,76.4675708410895
39,29,0,1,0,0,77.82516031897927
44,19,1,1,0,0,72.0513093061169
28,20,0,0,0,1,72.81999496911176
18,18,0,1,1,0,68.73154005804523
19,25,0,1,0,1,77.15220591641275
9,22,1,1,1,1,75.8339103539678
38,20,1,0,0,1,75.21004839390814
17,29,0,1,1,1,83.20707384841512
26,23,1,0,0,1,76.51553189358161
34,24,1,1,1,1,78.89178303662098
28,25,1,0,1,0,76.60146020352103
37,22,0,1,0,1,77.42990209714979
41,31,1,1,1,1,86.1625071002664
22,20,1,1,1,0,71.56459452296004
29,26,1,0,1,1,79.56217013970895
34,21,1,0,1,1,75.9005893224188
14,17,1,1,1,0,69.58213519141977
37,20,1,0,1,1,74.65517435848452
10,28,1,0,1,1,81.03678889923609
22,23,1,1,0,0,72.03067572606885
38,26,1,0,1,0,75.45941978983402
15,16,0,1,1,1,71.06399267370479
19,22,1,0,1,1,76.97601405830636
43,16,1,1,1,0,68.42792661623548
27,20,0,0,1,1,73.04254555154607
30,22,1,1,0,1,77.97152588557378
22,30,1,1,1,1,83.09158611281694
15,19,1,0,1,1,72.71676414530845
6,17,1,1,1,1,72.60862884024716
15,27,0,1,0,0,74.91303703199426
15,21,0,1,1,0,70.75392536880844
20,23,1,1,1,0,71.85816231847056
12,16,1,1,1,0,66.04248400528007
35,32,1,1,1,1,85.63725560132677
20,23,0,1,0,0,74.55686308320453
28,22,1,1,1,1,79.11511321810578
17,28,0,0,0,1,79.61242320770317
28,28,1,1,0,0,78.24440758817886
13,24,1,0,0,1,75.27830561807055
35,22,1,0,1,1,78.26921952349178
19,27,1,1,1,0,77.01933078649058
33,18,1,1,0,0,69.12864985762596
25,24,0,1,1,0,73.96192102199404
35,19,1,1,1,1,75.0239728624799
26,24,1,1,1,1,79.08927889351209
23,22,1,1,0,1,76.94178312140663
38,33,1,1,0,1,87.98306024338636
22,22,0,1,1,0,70.1084355114551
29,26,1,1,0,1,80.05981205271868
26,24,1,1,1,0,74.90371350017044
4,25,0,1,1,0,73.13959473774979
29,23,1,1,1,1,77.19148541623622
45,29,0,1,1,1,84.97593701758608
27,19,0,0,1,1,73.92923221129772
36,20,1,1,0,0,70.34356642879223
29,23,0,1,1,0,72.64100359627034
22,27,1,0,1,0,75.7623844308452
24,32,1,1,0,1,84.79638851556551
41,28,0,0,1,0,78.22095383932842
21,23,1,0,0,0,72.59250701180771
29,29,0,0,1,1,81.38781059766323
28,29,1,1,1,1,82.00494894222389
25,24,0,1,1,0,74.09734594666796
28,24,1,1,1,0,74.9515844557647
25,25,1,0,1,0,74.36300273984132
17,24,1,1,0,0,73.31272122598338
24,14,1,1,1,1,71.33555050535759
25,26,0,0,1,0,74.14499614487255
27,21,0,1,1,1,76.47856609407515
31,27,0,1,1,0,77.10284313467663
20,19,1,1,1,0,71.3865234236284
13,24,0,0,1,1,75.45982399196873
21,26,0,0,0,0,72.89749926230493
22,28,1,1,1,0,77.91003196743053
29,27,0,1,1,0,76.79170348807318
22,25,0,0,1,1,79.17297998129133
14,30,1,1,0,0,79.1245646552672
26,16,1,1,0,0,67.65080764390405
31,18,1,1,0,1,74.15398294936115
29,26,0,1,1,1,81.62397094592889
12,19,1,0,1,0,68.05887992832913
24,30,1,0,1,0,78.63265514317801
23,22,1,0,1,1,76.44255111061102
35,23,1,1,1,0,75.15396357220968
40,26,0,0,1,1,79.47952588661634
