student_age,parent_education_years,gender,free_lunch_qualified,school_quality,local_tutoring_budget,tutoring_intensity,student_performance
11,29,1,1,1,9,18,59.3529229299982
12,27,1,0,0,5,15,54.6725871065658
5,33,0,0,1,6,19,64.54762861051853
11,30,1,0,0,7,15,49.216572167510456
7,28,0,0,1,10,21,70.08975877274891
7,30,1,1,0,13,20,66.09869315402435
9,30,0,1,0,8,17,55.33888879283441
5,34,0,0,0,9,19,63.1094008595912
8,33,0,1,0,10,21,67.324804481483
1,28,0,0,0,11,28,89.84326411108329
9,30,0,1,0,11,20,63.82390340697143
9,28,1,1,1,8,22,73.31237629673033
15,27,1,0,1,7,15,52.87582256421957
12,29,0,0,1,13,17,56.76810171484004
14,25,1,0,0,5,18,63.406862048630366
9,29,0,1,1,7,19,62.62034950737618
11,31,1,1,0,6,16,57.63917738320031
7,29,0,1,1,9,19,63.83509100498859
10,28,1,0,1,9,19,62.00381240000861
10,30,1,0,0,7,18,58.77974717094169
13,26,1,0,1,11,18,61.08792349404839
10,30,1,0,0,9,19,63.39907956710697
12,32,1,0,1,8,15,48.74998905704458
9,32,1,0,1,6,16,54.29988372842463
12,28,1,1,1,8,16,57.49015527258766
12,25,1,0,1,9,20,66.63555447277687
13,28,1,1,0,9,17,55.61054062029978
11,28,1,0,0,9,18,59.172537522564056
10,31,1,0,1,8,19,63.49580201866435
13,31,1,1,0,8,15,51.767754264424575
14,27,0,1,0,10,18,58.3176045544074
8,30,0,1,0,8,20,67.86930346843269
10,30,1,1,0,3,16,55.96827257419877
7,30,0,1,1,10,19,63.01908214928817
8,30,0,0,0,8,20,64.52042722123838
9,26,1,1,0,8,19,61.48755267859136
12,28,0,0,0,7,19,61.5911205060692
8,30,1,1,1,11,20,64.20250545985094
7,29,0,0,1,8,21,71.49850584617776
8,30,0,0,1,7,20,67.55150755416716
7,29,0,0,1,11,23,75.13696080961547
9,31,0,1,0,9,21,68.37135654022968
10,27,1,1,1,7,20,66.83846347021868
8,30,1,0,1,8,18,61.39698452117223
8,32,0,1,0,10,20,62.43788298453419
9,28,1,0,1,10,18,61.00251984047867
9,32,1,0,1,12,19,62.05816291139665
8,29,1,0,1,12,23,72.8624240804653
10,28,0,1,0,10,19,63.686142058201526
11,35,0,0,1,11,18,56.62438595746897
7,33,0,0,1,9,20,68.49347288082794
8,31,1,1,1,11,21,68.55601650020039
7,33,0,1,1,9,19,63.98905722715373
4,32,0,0,0,10,22,69.005788196286
11,30,1,1,0,7,19,60.6466260113151
16,29,0,0,1,6,13,46.40905332716526
13,24,1,1,1,7,16,56.298043472344425
7,31,0,0,0,8,21,69.93062240330072
8,32,1,1,0,11,21,67.3756400977823
10,31,0,0,1,9,19,61.993841872027865
5,32,0,0,1,5,19,65.08553725474181
7,28,0,1,0,9,20,67.69814426493265
6,32,0,0,0,7,18,61.520416479449686
15,31,1,0,0,7,16,51.80906303988535
5,26,0,1,0,8,23,74.02735887243418
14,26,0,1,1,8,17,56.74667597758548
8,29,0,0,0,13,24,73.44118344587685
2,31,0,1,1,11,25,80.2022775234417
9,31,1,1,1,8,18,61.47985721272892
7,32,1,1,0,11,23,71.16604515692941
12,27,0,0,1,8,18,60.45650533572757
8,29,0,0,1,10,22,72.48580934975199
10,25,0,1,0,10,22,68.8546660226354
11,25,0,1,0,6,18,62.14864907633277
7,27,0,1,0,8,21,66.19890430887195
5,30,0,1,0,5,21,70.60547447465022
11,28,1,0,1,7,17,60.70613829282583
11,29,0,1,0,8,17,55.32133465527143
7,28,0,0,1,10,24,74.59822825595462
5,32,1,1,1,6,18,61.11373411764094
12,31,1,1,0,7,18,61.75287557341161
10,30,1,1,0,13,23,71.43734590927123
12,29,1,1,1,9,16,51.19523238030712
9,32,1,0,0,8,18,60.14299794879451
6,28,1,0,0,9,20,69.22305510382162
10,29,1,0,1,8,19,62.39898306860657
1,25,0,0,0,9,26,84.20495699568792
14,32,1,1,0,7,15,50.57398171010328
9,29,1,0,1,7,17,58.87287463891594
9,28,0,1,0,9,20,65.66104588917639
5,31,0,1,0,8,18,59.37463754915392
11,33,1,0,1,10,17,54.92892093923183
11,31,0,1,0,9,18,58.43479626085533
7,28,0,0,1,12,21,67.3988262852651
9,30,0,0,1,6,17,59.9942992809978
17,28,1,0,1,7,13,44.47943152112786
9,28,1,1,0,10,22,70.9281599265673
6,28,1,0,1,11,23,76.07318739531595
8,32,1,1,1,10,22,68.13647263186809
9,29,1,1,0,8,20,64.75448182919143
10,31,1,0,0,9,20,63.68399085801328
11,32,1,0,1,9,20,63.37736272566151
10,32,1,1,0,8,15,51.88920443008156
16,29,0,0,0,10,18,58.7190875333536
10,28,0,0,0,11,19,59.50457512124279
12,26,0,1,1,10,20,67.38118229280268
8,30,1,0,1,8,19,63.74659081413443
11,30,0,1,1,6,15,55.24933897485026
10,31,1,1,1,11,19,63.00350397822707
9,31,0,1,0,6,18,59.03552841838979
9,30,1,1,1,8,18,62.6911514096122
8,30,0,0,1,13,23,76.23908012245882
9,30,0,0,0,12,23,72.85721039702015
8,30,0,1,1,7,19,66.55239397423358
12,31,1,1,0,10,21,67.17899690704401
13,28,0,0,0,7,17,56.94906374777528
8,29,1,1,0,10,24,76.89744650829174
10,31,0,1,0,9,17,54.18648914460451
10,31,1,0,1,7,17,56.90443515666105
12,27,1,1,0,13,22,68.07104810810978
10,29,0,0,1,7,17,56.44388725528768
8,30,1,1,0,6,16,56.32856379377122
10,32,0,1,0,9,17,55.914674211816696
2,30,1,0,1,7,23,76.0028109343875
6,32,0,0,1,11,21,69.60614877700262
12,29,0,0,1,8,19,64.37114681191441
9,31,1,0,1,11,21,64.21073602622963
13,28,1,1,1,6,16,59.08030674610527
8,29,0,0,0,7,17,60.061896395890834
8,32,0,0,1,8,20,63.91807739189387
8,31,0,0,0,7,19,60.85725961048046
9,31,0,1,1,8,18,63.02806545399644
9,31,0,1,0,9,17,56.45682827323041
11,30,0,0,1,6,14,49.89540549780363
13,30,0,0,0,6,13,42.333877912962286
9,29,1,1,0,13,22,70.19593310184398
11,33,0,0,0,8,16,52.64158915808954
12,26,0,1,0,7,17,55.66097101762527
14,27,0,1,1,2,13,46.047391271863816
12,33,0,1,1,11,18,59.64252910267729
8,31,0,1,0,8,20,62.946127063218725
9,24,0,1,0,8,21,69.33880871667165
5,30,0,1,1,10,22,72.749322443314
12,28,0,0,0,6,14,47.68798291382877
6,31,1,0,1,9,19,65.94581386310321
13,29,1,0,1,11,17,55.53437733119927
12,31,0,1,0,8,16,55.70165113113214
6,31,1,0,0,10,20,68.2033940790631
8,31,1,1,0,8,18,62.10197168607434
11,29,0,0,1,9,17,58.33100610822784
13,30,0,1,1,10,18,60.09387125574409
11,25,0,0,1,10,21,70.18466506918817
15,30,0,0,0,9,16,51.20306785107916
10,31,1,1,1,7,19,62.82886554108937
7,29,0,1,1,7,18,60.54355780237487
10,31,0,0,0,10,18,57.04172275179016
9,26,0,0,1,8,17,58.232914033528296
9,29,0,0,1,6,16,55.53093521256511
12,30,0,1,0,10,19,62.682266855067766
8,34,1,1,1,11,18,60.052714650242685
11,27,0,1,1,4,18,61.0725165875272
12,29,0,1,0,8,20,65.12709532585687
10,29,0,0,1,9,19,61.996160589648944
9,28,1,1,0,7,20,63.42176554725348
5,25,0,1,1,6,23,76.63074488587628
8,29,0,1,0,8,21,68.45841646612828
12,32,1,0,1,11,17,57.36541899242173
11,29,1,1,0,8,19,62.537567321363454
8,29,0,0,1,11,21,67.28415760191629
10,30,0,0,1,8,18,59.31562183286887
11,29,0,1,0,6,18,60.27024318195047
11,30,1,1,0,7,16,55.68144347927085
11,28,1,1,1,12,21,68.79997988623984
9,27,1,1,1,10,23,70.95155678476883
10,31,0,1,0,7,18,59.66866659992277
5,27,1,1,1,7,20,68.41847202176368
7,29,0,0,1,9,22,73.68454176736574
6,33,0,0,0,9,19,60.6539081488483
11,29,0,0,1,12,18,58.2987778545105
5,29,1,1,1,12,22,70.05761466712259
15,31,0,0,0,5,11,42.017219271519
10,30,0,0,1,9,21,68.79349122638877
7,29,0,1,0,11,21,68.08434308497955
18,29,1,0,0,10,14,46.97655399069063
10,30,0,0,1,10,18,61.41539795979708
11,30,0,0,0,8,17,57.51081423020242
7,27,1,1,0,5,19,65.99096596171564
9,31,1,0,0,10,21,65.461106523881
5,28,1,1,0,7,20,65.47385059780511
13,31,0,0,1,9,14,48.71758018945151
7,35,0,0,0,7,16,56.363101030238745
8,30,1,1,0,8,21,68.46744230412958
10,29,1,1,0,10,21,65.44329745668294
11,28,1,0,1,10,16,53.60811625053719
9,32,1,0,1,5,16,58.62436828750045
7,29,1,1,1,11,23,74.6368936981259
13,27,0,1,1,8,16,53.02958017792742
9,30,0,0,0,13,22,68.97067032754491
10,33,0,1,0,8,16,52.62062930711874
13,27,1,1,0,8,16,52.88679447292501
5,28,1,0,0,9,23,74.24625542702277
3,23,1,1,0,5,24,80.41719076681845
9,30,0,0,0,8,19,61.54986670390843
9,30,1,1,0,9,19,62.45769203762588
10,27,0,1,1,11,18,61.763087455993606
11,27,1,1,1,8,16,54.31706903220324
14,26,1,1,0,11,20,63.62864248275631
4,28,0,0,1,10,24,77.02334080899661
10,28,0,1,0,5,17,59.1909773512968
10,31,1,1,1,11,19,61.30251279033913
9,31,1,1,1,8,18,61.033153576478696
11,29,0,0,0,9,20,66.02079987839139
10,27,1,1,0,7,17,57.75805324934554
14,28,1,1,1,7,16,55.13763039440118
11,29,0,1,0,8,21,69.84658681437233
13,28,1,1,1,8,21,67.40929230991405
9,28,0,1,0,7,17,56.59522434121998
11,30,0,0,1,6,17,57.83865439888167
11,29,1,1,1,9,17,55.62184923534832
13,31,0,0,0,7,16,51.210209984955725
11,27,0,1,1,10,16,56.534021465723285
12,26,1,1,0,10,22,72.46036903198313
13,33,1,1,1,7,14,48.32442900903897
15,28,1,1,1,11,17,56.04430021809264
7,32,1,0,0,7,14,50.76740904974919
13,33,1,1,0,6,16,52.02637405892426
12,30,0,0,1,9,18,59.38976240311585
12,33,0,0,0,5,14,51.66112189774866
2,29,1,1,1,7,21,72.309180320538
7,31,1,0,1,7,16,55.26680167527017
12,27,0,0,0,12,20,63.77290217701883
8,31,0,0,0,9,19,62.14707487448506
10,30,0,1,0,8,14,49.28734419899105
9,32,1,1,0,8,19,61.46110548102477
7,32,1,0,1,9,20,64.4259300618784
7,31,1,1,0,8,19,61.23253896596712
11,30,1,0,1,11,19,60.265412809116434
8,27,1,1,0,9,22,72.35791515021945
12,32,0,1,1,7,16,54.18942098392757
13,30,0,1,0,11,18,57.47415861893352
5,28,0,0,1,11,22,72.10889261816445
5,32,1,0,1,7,18,63.9210942537582
6,30,0,1,1,4,17,58.965682799764345
16,29,0,1,1,5,14,50.775179589591325
7,35,0,0,1,7,19,62.67354280505193
8,29,1,0,0,9,19,61.04969168291838
10,32,1,1,0,8,19,60.881403894866125
4,29,1,0,0,9,25,81.23545764245208
11,32,1,1,0,8,18,61.205053972318005
7,30,1,0,1,7,20,67.62282875537728
8,27,1,1,1,9,22,71.93051791603577
9,29,1,1,0,7,21,67.83474391535597
8,30,1,1,0,10,21,67.69489488194661
12,33,1,0,1,6,15,53.20969761859187
13,29,1,0,0,8,16,53.2909498445862
10,28,0,1,0,10,20,65.44104028324018
12,27,0,0,1,5,16,57.57321923884216
10,29,0,0,0,10,21,69.08267998695283
7,30,1,0,1,9,20,68.25169423846239
10,30,1,1,0,8,18,58.29365455478349
10,28,1,1,0,8,17,58.00141318738615
6,30,0,0,1,8,19,62.12383767073277
11,27,0,0,1,9,17,58.20836214377853
4,31,1,0,1,9,21,69.80313362243979
9,30,0,0,0,8,18,59.97909998783037
8,29,0,0,0,11,21,68.12341776694116
10,32,0,0,0,6,17,58.07508033209125
10,29,1,1,0,10,22,71.27647755105288
9,29,1,1,0,6,16,55.323843152163306
7,30,0,1,1,12,22,70.58133918830991
9,32,1,0,1,8,16,56.44017475748784
9,26,0,1,1,5,20,66.31448998069244
9,24,0,0,0,15,24,75.39842117461541
7,31,0,0,0,10,22,69.85256578616693
12,33,1,1,1,11,17,59.30545928416909
10,28,0,0,0,8,23,73.38288635380323
13,29,1,1,0,12,17,55.48962263854093
10,28,1,1,0,6,19,66.40513710577224
12,27,0,1,1,10,21,67.4890777707863
7,31,0,0,1,6,18,61.48329284378266
9,32,1,0,1,8,20,64.63398392233633
8,30,0,1,1,9,20,66.51221897888044
15,29,0,0,0,10,18,57.05864831406378
14,29,0,0,0,6,12,43.30879157179288
8,29,0,0,0,7,18,59.97347920528045
7,27,0,1,1,9,21,70.93081965567679
7,30,0,0,0,7,16,55.24735402765164
10,29,0,0,0,9,20,62.630973470516686
12,31,1,0,1,9,18,61.23725856521853
14,31,1,1,0,10,15,51.22945880212672
10,28,1,1,0,9,19,62.37290341372932
8,29,1,0,1,6,15,55.79074083581328
13,28,0,1,0,6,17,57.71867005421522
9,25,0,1,1,11,19,62.03626258175414
15,30,1,1,0,6,14,47.79886358501135
10,25,1,0,0,8,17,57.26025876523587
9,26,0,1,0,10,22,69.69714119618368
7,31,0,0,0,7,21,69.2692978420358
13,30,1,1,0,7,19,59.81586237745535
12,29,0,1,0,6,19,62.09998562574683
13,31,0,0,1,10,17,57.00966268457595
6,31,0,0,0,12,24,77.84544236850228
10,29,1,1,1,10,19,64.2479403852817
9,28,1,1,1,6,18,60.50918471187932
8,28,1,0,1,8,18,59.31886409198429
13,28,1,1,0,10,20,65.90429347200153
11,26,1,1,1,9,19,64.06091623180819
12,32,0,1,0,12,17,56.820050824134334
9,27,1,1,0,7,17,57.08016872060261
7,34,1,1,0,10,18,57.42804200864834
14,26,1,1,0,4,15,52.719941708939146
11,29,0,1,0,10,19,62.174590668806985
10,31,0,0,1,4,16,57.74833040281046
9,31,1,1,1,8,21,69.38693787178539
9,26,1,0,1,8,19,63.24140953004611
10,30,0,0,0,13,20,63.56133551560561
9,28,0,1,0,7,19,64.88359103088592
9,30,1,0,0,12,22,67.7756558737282
8,29,0,1,1,8,15,54.24167533018515
10,31,0,0,0,10,20,66.2943206316968
6,29,1,0,1,11,23,74.21733381333163
10,31,1,1,0,7,18,59.21876746028512
10,31,0,1,0,8,20,65.92402540644615
12,30,0,0,1,13,19,62.26622165042136
14,29,0,1,0,9,18,57.89862339111827
8,29,1,1,0,9,18,59.43647070441013
15,29,1,0,1,7,17,56.10880942410031
5,30,1,1,1,7,20,71.32864035883516
9,31,1,1,0,7,17,56.82869133248322
5,31,1,0,1,5,17,61.28798868545191
12,30,1,1,0,10,18,57.60749831169935
8,28,0,0,1,11,21,71.57202683341922
13,27,0,1,1,12,19,62.57108116874347
9,32,1,0,0,9,17,56.13294702140034
8,29,0,1,0,9,21,69.55359083611607
16,29,1,1,1,6,11,39.88707714824097
8,31,0,1,1,8,17,60.25807873691181
11,30,0,0,1,6,15,51.662164116619074
9,28,1,0,0,9,20,65.86133967142038
5,25,0,1,1,9,22,74.93964301022272
12,27,0,1,1,5,15,53.22758035025056
10,29,0,0,1,7,18,60.40211124940697
11,31,1,0,1,10,16,49.84805434626573
9,28,1,1,0,9,17,57.935236076256125
12,28,0,0,0,11,20,64.74168388423533
12,28,0,0,0,10,17,55.53978594251182
11,31,1,1,1,8,19,65.00817905550926
7,30,0,1,0,8,20,65.63549178945401
8,31,0,1,0,7,17,59.93887326783772
8,30,0,0,0,9,19,63.94449161552249
13,26,0,1,0,8,21,67.2836649895825
5,27,1,1,0,9,21,70.17704922806148
12,28,0,0,1,6,17,58.16139366137961
16,30,0,0,1,6,11,40.46364354126215
11,26,0,0,0,6,17,59.62812082708907
4,30,1,0,0,11,24,77.59842327713747
11,27,1,0,1,11,17,58.81635136501244
9,27,0,1,1,7,19,64.35065770337935
13,29,0,0,0,8,15,53.07714564255593
13,34,1,0,1,8,17,56.92805266867763
10,29,0,1,1,8,18,61.740240462243214
10,31,1,1,1,8,18,61.63133565439795
11,26,0,1,0,8,19,62.93388972744121
5,33,1,0,0,8,21,70.09387904999093
7,29,0,1,0,8,22,69.78546303060239
9,29,1,1,0,5,20,68.7439248686769
12,33,1,0,1,7,16,52.01158751584087
9,29,0,1,0,12,20,64.11826746215426
9,33,0,1,1,8,17,59.99962515472448
7,24,0,0,0,9,23,75.42446370826687
12,27,0,1,1,5,15,55.0911056083991
14,30,1,0,0,5,16,56.09588905156399
10,29,0,0,1,7,19,63.27262584640217
16,29,0,0,0,8,15,49.99334832927367
13,30,1,0,1,11,17,57.0660506525724
9,29,1,0,0,6,19,60.60274212453056
10,32,1,0,1,8,17,54.74012057336757
12,29,0,1,0,9,16,53.28306550160653
10,27,0,1,0,9,17,59.40118088743223
11,31,1,0,1,9,16,53.61792662328966
8,33,1,0,1,6,17,62.39673303633697
13,31,0,0,0,5,17,55.160898319314185
12,31,1,0,1,8,15,50.25366601449581
6,29,0,0,0,10,21,70.79423669157973
11,31,1,0,0,9,16,53.38605737875353
10,32,1,0,0,10,17,54.40964462583791
11,31,1,1,0,9,17,56.39363635876384
6,30,0,1,0,4,19,64.77944921324128
10,31,0,1,0,9,21,69.65201143447503
12,28,1,1,0,7,17,58.24969624952334
15,32,0,0,0,7,14,48.23931368655912
13,26,1,1,1,12,19,63.03843584395757
12,29,0,0,0,8,17,57.22731415785325
10,29,1,1,1,4,16,57.54263222125352
4,26,0,1,1,11,23,74.65227214090969
10,34,1,1,1,9,16,53.33132920452525
10,27,0,1,0,7,19,64.0357773224034
7,30,0,1,0,7,18,62.160857326655545
13,27,0,1,0,11,21,68.72130737962136
9,31,1,1,1,11,21,67.90514188485658
12,28,0,0,0,9,16,54.41388864969461
5,27,1,1,0,10,22,70.86135288940126
11,26,0,0,0,9,21,67.55099202916848
11,33,0,1,1,8,18,58.43660726073496
14,28,1,1,1,11,19,60.97570183517084
14,27,1,0,1,7,17,58.25992277092667
13,32,1,0,0,8,14,48.672339400776586
15,29,1,1,1,7,13,46.14050596364692
13,31,1,1,1,8,18,58.999410782175
8,29,1,1,0,10,21,67.30088516467168
6,30,1,0,0,10,21,68.70107732083494
8,33,0,0,0,6,15,53.655613916296375
12,31,1,0,0,8,17,57.642725469974295
9,29,0,0,0,5,20,66.18060373337988
11,31,0,0,1,8,17,54.93602365870008
7,28,0,0,1,8,20,68.15919452977215
15,30,1,1,0,8,16,52.876974722679336
11,29,1,1,1,8,17,56.09791797213408
10,33,0,0,0,7,17,55.31708869764077
16,29,1,0,0,9,19,58.30162676389886
12,30,1,0,1,10,21,66.11416409765025
6,30,1,1,1,10,21,70.11599396454993
9,32,1,1,1,6,16,57.101395119073
7,29,0,0,1,10,19,62.97270405072081
13,34,1,0,0,7,14,49.12788846306907
11,28,1,0,0,5,17,57.488250927216015
10,30,1,0,0,8,17,54.899704798161096
7,28,1,1,1,8,21,70.29821495282714
11,26,1,1,1,6,18,63.49799752145076
11,29,1,1,1,6,15,54.24714663277916
11,32,0,1,1,6,16,55.50123117794981
13,29,1,0,1,8,17,59.22116423600693
4,28,1,1,1,10,22,72.3112240010924
8,29,0,0,0,7,20,64.55822741580685
10,31,1,1,1,11,19,61.29802433930034
6,36,1,1,1,6,18,59.07754227174332
7,29,1,1,1,8,18,64.883719100988
8,29,0,1,1,6,18,60.44589973565698
8,24,0,1,1,8,21,71.02034539258902
8,29,0,0,1,5,20,66.6494015104713
10,32,1,1,1,7,14,49.88049060847302
8,29,0,0,0,10,20,63.63148110279662
11,30,1,0,0,10,17,54.70725695279203
4,32,0,1,0,10,23,73.91507426454878
14,30,1,0,1,7,14,47.7151364853356
8,34,1,0,0,10,19,59.40004707015999
7,30,0,0,1,7,18,62.40906605693835
8,29,0,0,1,8,18,60.85770020070746
4,29,0,1,0,8,25,81.45135336096759
7,29,0,1,1,8,21,69.53793819166869
9,30,1,0,1,9,18,61.47386332873666
7,30,0,1,1,9,18,63.08689263186235
12,29,0,0,0,9,15,49.99095638377071
9,26,1,0,1,9,19,64.085887200288
6,28,0,1,0,5,19,65.64510570533551
9,33,0,1,1,9,17,58.972801267847096
9,30,0,0,0,7,19,64.14370518992739
13,31,0,1,0,9,14,47.08824452719448
10,31,0,1,0,8,19,61.60975960329395
10,28,0,1,1,6,17,61.08190109015443
8,29,0,1,0,6,19,61.72655616398436
10,29,1,0,1,10,18,60.613878089591886
15,28,1,1,0,8,16,53.80742676786286
12,31,0,1,0,10,19,61.43618201065223
12,31,1,1,0,12,18,55.94782177899096
9,30,0,0,1,10,18,59.775894525346615
13,30,0,0,1,9,13,46.00840509689456
8,30,0,0,0,5,20,66.98575590396351
8,30,1,0,0,5,16,56.3773280898389
11,30,1,1,1,11,19,60.83858605043246
13,34,0,0,0,7,13,45.29536155204394
12,28,0,1,1,6,16,55.869744732909176
6,32,1,1,1,8,21,70.42195616979996
10,31,0,1,0,8,20,68.21593862266674
11,28,0,0,0,11,20,63.89650362197062
7,25,1,0,1,9,23,72.8024165095113
5,29,0,0,1,7,22,74.43386596883143
10,28,0,0,1,7,17,60.4253345767768
10,28,1,1,0,9,19,65.19474340062496
8,28,0,1,0,9,21,67.51032228847006
10,32,1,0,0,8,19,62.44385952565681
9,28,0,1,1,5,18,62.44515018930142
10,30,0,1,1,6,17,59.38683867514466
9,28,1,1,1,13,21,67.43097272054631
6,33,1,0,0,7,15,51.11076385431097
11,28,1,0,0,12,17,55.666822044803325
7,29,0,0,1,7,20,69.44512154615906
7,31,1,0,0,10,20,66.96284609972913
7,28,0,1,1,8,20,66.77262989327615
11,30,1,1,0,8,20,65.93216604333666
13,29,0,0,0,6,14,49.13536090966196
14,30,0,0,0,9,17,56.9990471381678
12,30,0,1,1,9,16,53.06688405537102
10,29,0,1,1,11,18,58.64184995112663
10,26,1,1,1,7,17,61.24098636587451
7,28,1,1,0,8,19,62.29961807592983
7,33,0,1,1,10,23,71.0223197776432
12,29,0,1,1,9,18,61.57728645998542
7,30,0,1,0,9,22,73.59118093192157
12,28,0,1,1,10,18,58.87096454730429
10,31,1,1,1,9,19,61.86190476080968
12,29,1,1,0,9,18,60.89024881231597
8,26,1,1,1,10,21,71.72708340224514
14,23,1,1,1,8,17,57.04470537659678
5,26,1,1,1,7,20,68.06569302967812
11,27,1,1,0,7,19,63.33623338776949
7,28,1,0,0,9,21,66.16050869294126
6,28,1,0,1,11,23,74.46856320607617
5,31,1,1,0,7,19,62.89646548678266
11,31,0,0,1,7,18,60.068806307205584
6,27,0,0,1,12,21,68.39183087190573
6,26,1,1,1,8,21,70.41988180757032
13,28,0,0,0,9,18,59.0805116608728
10,33,0,1,1,8,16,54.12915422071375
10,30,0,1,0,8,20,68.40605722948376
11,30,1,1,1,10,19,63.27983269242272
11,30,0,1,0,4,17,56.43797546336612
12,28,1,1,1,11,18,61.79334537894344
7,29,1,0,0,10,18,61.72233269748276
11,30,0,1,0,9,17,55.59387925008389
5,31,1,1,0,9,19,63.69669258504813
7,30,0,1,0,6,18,60.81167423242096
9,28,1,1,0,9,21,67.64339854920239
9,30,0,0,0,8,18,58.42631182241384
12,28,1,1,1,9,18,61.4525242321445
15,29,1,1,0,8,17,54.63894140238652
12,25,0,1,1,8,19,63.60524425733876
4,30,0,0,0,8,22,70.39324528698431
5,31,0,0,0,10,23,72.38696790548367
10,29,0,0,0,9,20,63.77323519960196
9,30,1,0,1,11,21,68.91508517516384
13,31,1,0,0,9,17,56.27013561621357
9,33,0,1,1,9,16,53.99705023878411
10,31,0,1,1,8,19,61.1767013681288
13,31,0,1,1,8,17,55.59287215516103
9,26,0,1,1,6,18,63.33040990031166
9,35,1,0,1,9,18,58.40171299991778
5,26,1,1,0,9,22,74.91562383897487
8,27,0,1,1,8,20,66.71499875498257
10,25,0,0,0,8,20,64.61012280463015
8,31,1,1,1,8,20,68.13701617362112
8,31,1,1,0,10,22,70.73794060407309
5,27,1,1,0,8,23,74.54179478588412
9,30,0,1,1,5,19,63.33166493666264
8,30,1,1,1,8,20,65.10562904953622
11,29,1,1,0,9,20,64.26918803614984
12,25,1,1,0,5,17,58.48499673658472
4,30,1,1,1,13,21,70.85600959082998
7,30,0,1,0,10,20,66.27696425610823
10,28,0,1,1,9,19,62.78471383460329
13,30,1,1,0,7,16,54.62151071668732
17,30,1,0,0,8,16,53.78067427266294
12,27,0,0,1,9,16,54.30910213749343
11,31,0,0,0,8,14,49.1270096729927
10,29,1,0,0,12,19,60.32837450962158
8,27,1,0,1,6,18,60.664644250553714
7,29,0,0,0,7,20,65.53807259131133
8,28,0,0,0,12,23,73.54143802928893
10,29,0,1,0,8,19,61.68245011444044
14,29,1,1,1,10,17,57.917778004801
9,29,1,0,0,8,19,62.01880955529248
9,32,0,0,1,8,17,58.03678124681098
10,27,0,1,1,9,19,64.82772613200419
6,32,1,1,1,15,23,73.11272997438472
7,28,1,1,1,9,21,68.60028633149317
12,29,1,1,0,10,19,61.06116286032403
8,33,1,0,1,12,20,61.623037389408495
7,29,1,1,1,5,16,54.74549120648301
12,33,1,1,1,7,14,50.22573899926199
7,31,1,0,0,4,15,52.73941625552372
13,31,0,0,0,6,13,46.07928597709046
9,30,1,1,0,8,16,56.34070935205075
8,31,1,1,1,9,17,58.47350152379309
9,29,1,0,0,10,20,64.15607359066105
10,28,1,0,1,9,20,64.57773715843746
15,32,0,1,1,10,15,51.64854788364568
9,32,1,0,0,8,15,53.96860333509343
6,27,1,1,0,9,20,65.9472592024212
9,29,0,1,0,10,19,59.197824368476354
7,29,0,1,1,12,19,61.960256735574205
10,32,1,1,0,8,17,56.96347055632047
11,30,0,1,0,11,20,64.244982617545
11,31,0,1,0,12,20,65.86628578666492
13,30,1,1,0,9,19,62.96100993702371
9,35,0,1,0,6,17,55.82827671672601
13,27,0,1,1,8,16,53.304927341065714
