defendant_age,previous_convictions,charge_severity,legal_representation,diversion_program_enrollment,sentencing_length,recidivism_within_five_years
27,18,1,0,1,46.35448406928817,198.35226246977925
31,8,0,0,1,46.616594958511925,192.79192986276607
31,29,1,0,1,56.7970434178286,236.78634054909045
30,19,1,0,1,50.404699082666845,210.10810009786664
30,31,1,0,1,58.19389329179009,243.33462203155497
35,14,1,1,1,56.43845889787592,225.7041230922856
23,24,0,1,1,44.79926600238525,198.7602776828077
36,33,0,0,1,65.09344162991117,262.4299238666729
35,22,0,0,1,58.97208352207995,238.59111222138125
29,20,0,0,1,50.3750226211984,211.16029207327665
20,20,1,0,1,39.19725835427739,177.2483101236431
39,17,1,1,1,64.15949532428844,247.29251080212228
35,18,0,1,1,55.93452324614903,227.46814866646815
23,10,1,0,1,36.91318315446425,163.71454079013182
28,24,0,1,1,49.86604395052522,213.5986715430529
36,21,0,1,1,57.92222577082968,237.43766523956532
28,16,1,1,1,47.1079894917464,198.49487053863717
20,15,1,0,1,34.93899743000634,163.92840722228055
25,17,0,1,1,43.253711456624366,189.2751288861939
35,28,0,0,1,60.02003348768022,245.3937058548615
25,19,0,0,1,44.06131411921229,192.5775056768592
33,19,0,1,1,55.63201478620327,225.94784631594973
41,24,1,1,1,68.072154569439,268.8848092255111
22,22,0,0,1,39.71415648795762,182.6672028011488
25,18,0,0,1,43.39322414456665,186.8691202149354
26,25,1,1,1,49.69052107137315,212.5341901461233
46,15,0,1,1,69.03841911105297,265.772991707942
25,26,1,0,1,51.11512958094735,215.98889975280716
56,26,0,1,1,87.12444201677063,323.712094365354
33,21,0,1,1,57.10752069854374,228.65561288294091
45,25,0,0,1,72.54832262500246,279.6431998841617
18,1,0,1,1,26.606155921447797,127.83718180596895
30,25,1,1,1,55.82308557095698,232.60445523274024
14,23,0,1,1,31.52815631526379,159.66275037857403
20,23,0,1,1,39.10359215064475,182.1387007853456
39,12,1,1,1,58.98780910368525,234.0869181630462
22,17,1,1,1,41.644332793591424,185.2933715176396
32,34,0,0,1,59.35454271568779,250.97806081402987
24,25,1,1,1,45.213445621459066,203.3495116423952
30,24,1,1,1,52.84246837687091,225.02047808515715
21,25,0,0,1,39.27103803840414,185.92553131941528
27,20,1,0,1,48.87319969370955,207.84440684290968
29,14,1,0,1,46.06842987465429,196.0719356836717
23,29,1,0,1,47.46715639972698,210.6574734402745
17,24,0,1,1,38.43749806053752,174.77269141691642
31,24,0,1,1,54.37485913478747,226.2455573806826
27,13,1,0,1,42.97068974244726,187.28962428880016
33,19,1,1,1,54.48614820939642,223.35218058149883
35,15,0,0,1,52.686939478180285,216.85752869437607
31,14,1,0,1,48.33269853325525,203.8261864542877
23,19,1,1,1,43.43292855970208,190.4342602088396
21,24,1,1,1,44.032466494257726,198.17604556254108
34,24,0,1,1,57.61042021181274,235.60351235858283
37,15,1,0,1,58.55265073484556,229.25250913692568
30,22,1,1,1,53.088333715841365,221.1070259814978
32,22,1,1,1,54.94444843111466,228.90330849951292
28,19,0,1,1,48.53475749660989,204.5795274492983
21,31,1,1,1,46.16158946165401,209.71323991302404
33,16,1,0,1,52.67184697586273,214.4303633741035
14,27,1,1,1,35.46821503746896,173.29132286862847
39,18,0,0,1,61.67002364360663,240.57305808605105
22,16,1,0,1,40.05330991807021,177.6055970098487
24,23,1,1,1,45.746623019781055,201.2853912135122
25,27,1,0,1,48.585984407981904,211.6891058538261
29,26,1,1,1,54.10528639795974,226.41689394914928
28,20,1,0,1,48.10135881969197,206.18650427700527
23,16,1,1,1,42.4243094256352,185.2988781847586
23,17,0,1,1,40.43206073007422,179.03003047871834
16,18,1,0,1,33.36436750568283,161.02655876336317
23,23,0,1,1,43.86959119929283,197.7355915512962
24,12,1,0,1,39.259483612283816,174.45786780717475
25,16,1,0,1,43.52534638235088,188.72606635404503
38,16,1,1,1,61.55701524109901,243.19591191995156
41,15,1,0,1,62.74890752830489,246.6916154986976
25,20,0,0,1,44.25681235128846,192.3159168796178
27,18,0,0,1,45.49485070198585,196.68962950950032
15,23,0,1,1,33.76638094170887,163.37269874783306
30,24,1,1,1,57.24035954479351,231.5224181750779
27,23,0,1,1,47.809007629654594,210.29258998077756
11,20,1,0,1,28.234046686436123,146.07391709484716
15,27,0,0,1,35.67542050256109,174.48245687760732
33,21,0,1,1,56.97698947515642,230.45590317660145
33,21,1,1,1,58.02887296848267,233.9567439626023
24,17,0,0,1,40.50560819529597,179.49571714766293
31,12,1,1,1,47.128901016498645,199.38677437781544
26,25,0,0,1,47.0794885635882,206.7759451336612
26,13,1,1,1,42.90051733688461,184.7964672871482
37,19,0,0,1,56.512752594162656,232.35406109849444
26,22,1,0,1,47.26757046885567,205.25732151194853
25,19,1,0,1,45.714510897455575,196.23504637682757
21,11,0,1,1,34.426619190592525,157.2119871471122
9,24,0,0,1,26.039385003785608,141.90916540313702
40,26,1,1,1,68.7265427144604,269.0760870664314
24,12,1,1,1,38.679595333866864,176.28333761080114
25,22,0,1,1,47.2311798276107,204.5464336373881
22,14,0,0,1,36.19210153588264,164.64866752501317
47,23,0,1,1,76.66263502595285,289.7117188521472
30,19,1,1,1,51.34495342169578,215.05338931162717
28,25,1,1,1,52.36929230741405,222.448923797252
25,21,0,1,1,44.63424716780328,195.84314929247049
33,21,0,0,1,56.65349177731738,228.65616755142804
15,15,0,0,1,29.154410651517,144.33753892149116
30,13,0,0,1,47.02866484578226,196.86305094857303
43,34,1,0,1,75.50094567390593,297.80889458762766
31,17,0,1,1,50.28514301485322,209.46944916140507
27,26,1,1,1,53.91642740885376,221.00224592938056
23,24,1,0,1,45.03304791483438,199.2333314015899
29,16,0,0,1,46.0271618575316,195.78883610066023
26,12,0,1,1,41.55107235278588,181.058989840222
45,23,1,1,1,74.20502984093844,283.26478243412146
31,22,0,1,1,53.1783784227611,222.63873128843048
38,28,1,1,1,64.14713306616727,260.1899248699143
24,22,0,0,1,43.76491117308559,192.96691329192583
31,10,1,0,1,48.41196697517736,198.2165202348898
38,21,0,1,1,61.30935060964616,247.87634014280124
26,14,0,1,1,43.585388989772994,188.7902273853784
31,20,1,1,1,52.841967663025066,219.67662417422068
33,23,1,0,1,56.98090854430588,233.52196689818825
19,21,0,0,1,36.77912737289005,174.9342668113845
31,18,1,1,1,52.71389286730364,216.8278812839864
32,21,1,1,1,54.94369783079853,225.92425016787868
35,18,1,0,1,56.38859073294771,228.3706377500388
30,28,1,0,1,55.80117165023173,233.68358984091984
24,20,0,0,1,40.996951694210026,187.77811659389772
12,28,1,1,1,33.290983528155614,168.24645174798445
27,19,1,1,1,49.28565395398216,206.35600206882975
28,22,1,0,1,49.90431073804597,212.35286874846244
30,13,1,0,1,46.74659173285514,197.93117297793967
22,20,0,0,1,39.97614184018526,182.2062867931649
30,26,1,0,1,54.70456154376304,229.53338213731345
27,18,0,1,1,45.0162105677296,196.4475064138074
8,28,0,0,1,26.239973512295528,145.65944862502303
37,21,1,1,1,60.085798358275945,241.1420686225835
33,11,0,0,1,49.34772011406501,201.75821158113385
18,14,1,1,1,34.824080031972485,158.1051288388969
22,13,0,0,1,36.73215570940071,169.35525061351953
41,26,1,1,1,70.01035516581045,275.18259557636435
38,28,0,0,1,66.05173294346788,261.537750770108
38,11,0,0,1,54.98179290266455,221.5655409923785
27,29,0,0,1,51.07961707091338,218.6813072300029
34,17,0,0,1,52.65197028911886,218.69515317772488
34,12,0,1,1,53.06712879310835,216.2069979309744
24,27,1,0,1,46.2897778021492,206.59678539660132
37,22,1,0,1,61.26326777044471,245.303291205914
44,20,1,0,1,67.84894241026545,265.348147743288
51,15,0,1,1,77.04309618096545,284.78545712731864
27,12,1,1,1,45.34091194156652,189.73573603453
30,11,0,0,1,45.63476897554205,189.62567246743424
29,33,1,1,1,58.7198880894008,245.4899884273358
26,23,0,1,1,47.34231531740338,204.6813821786308
13,24,1,1,1,32.78656596462313,163.61210802620838
38,27,1,0,1,65.49453161898803,262.6633215379374
47,23,0,0,1,72.66454736298418,282.4237203309676
22,14,1,1,1,37.5503499845286,172.73016802076384
37,25,1,0,1,63.8331345838021,252.7013835288572
22,23,1,0,1,43.80976127983505,193.2454754313421
31,25,1,1,1,55.60196550958414,231.60964608825415
31,13,0,1,1,47.1261363647171,199.8405161671116
27,25,1,1,1,51.21858477984861,216.7891090095621
38,30,0,1,1,68.8795614865355,269.9937243782496
35,19,0,0,1,57.92429616092934,231.70926617681704
24,25,1,1,1,47.66556381462605,206.82693824065268
46,15,1,1,1,70.04643039890851,264.1534968334889
28,17,0,1,1,47.226609620633695,202.34786985152027
24,21,0,0,1,45.04515871327216,197.3569864786648
29,28,0,0,1,53.50367014534928,228.2188243785323
28,18,0,1,1,48.10179824127798,204.29929085238263
26,25,1,0,1,49.3247536491856,212.33790061695888
31,12,1,0,1,47.87807732185833,200.28353568536372
33,24,1,1,1,59.44978145349979,241.7475916932636
19,21,1,1,1,39.305234425799725,181.2189081008164
36,16,0,1,1,58.29358279800589,233.06906718684328
44,22,0,0,1,71.04424839517371,273.00327722670687
28,27,1,1,1,53.98337993988261,225.6748733379167
16,15,0,1,1,31.44185799685889,154.38199090520197
21,22,1,1,1,43.92118693091185,192.30208965613997
25,29,0,0,1,48.3517862790239,214.55700395901596
38,20,0,1,1,61.3345107547225,243.7484748011431
21,13,1,0,1,37.7892164185544,168.24634755707058
6,15,1,1,1,19.387297094237724,118.15479404740732
49,19,0,1,1,75.49104375001046,284.50287720006213
23,16,1,0,1,38.52650773243979,174.36246071098552
36,28,1,0,1,64.52514444952655,257.9704105272513
28,20,0,0,1,47.91797917780443,205.8676632639344
43,30,0,0,1,71.57967598225983,282.23868356663365
39,18,0,1,1,62.817807974516526,247.82502472554216
30,12,0,1,1,48.478973378189366,200.94375812517416
33,19,0,1,1,53.92675904281678,223.19376962626515
34,23,0,1,1,58.93028482517208,240.06606494404352
36,17,0,0,1,53.99389710171467,219.76041827956797
27,15,1,0,1,44.45905601633541,191.9828671918255
9,14,0,0,1,20.41677451959277,118.42331747711788
34,31,0,1,1,63.182534148688056,257.59747496064733
21,16,0,1,1,36.67838235677371,172.21578813970947
21,21,1,1,1,42.29278512273437,187.0421089039416
22,9,0,1,1,34.90387846307843,158.29151535898893
16,24,1,1,1,37.94733730572889,178.05512939265637
37,14,0,0,1,56.8327753857574,225.42836458376152
31,40,0,1,1,63.77591719855734,266.17750678335227
38,27,0,0,1,65.67155811355545,259.16812396252567
26,7,1,1,1,40.78781397187996,169.64014521415268
35,31,0,0,1,62.289889218041104,257.6322277266542
27,28,0,0,1,51.38331030064964,223.5891182702727
35,29,1,0,1,63.455284529066354,254.6939843621905
46,10,0,1,1,65.73922665652914,250.20284126266563
28,22,1,0,1,51.63603586928497,215.97023551622115
43,21,0,0,1,67.74588681669108,265.6795981002419
38,20,0,0,1,60.62637638220181,241.2388656556701
40,16,0,1,1,63.55274908605032,246.7000925841737
12,15,0,1,1,25.592295631409087,133.77653581992652
11,18,0,1,1,27.0193168660244,141.46257202530722
21,25,0,1,1,42.78053131568408,192.8692863015971
34,26,1,0,1,57.12217740308744,236.43438716276052
31,21,1,1,1,53.80531125842743,222.21133275126567
31,22,1,1,1,55.279718473697535,228.76951141654828
18,26,1,0,1,38.87312024586265,181.29946034607784
37,22,0,0,1,61.72244886857634,247.7979552231353
38,29,1,1,1,69.39293205297206,273.80253103190665
29,20,0,0,1,49.050836836682606,209.24099316271813
20,21,0,0,1,36.10880536162508,173.85021336592948
20,26,0,1,1,41.84761765745039,192.5666167000276
34,10,0,1,1,49.25752552421184,203.6834441601441
37,23,0,1,1,62.397494433439554,247.30367447147532
23,20,0,1,1,41.42390923744418,185.2598565388797
36,6,1,0,1,50.94472647267723,207.74056927951696
27,16,1,0,1,45.83404103257908,194.18614414769004
37,22,1,1,1,63.23627590435313,250.3262804454564
26,15,1,1,1,45.25718206415977,193.1885195880042
17,21,1,0,1,35.39555166091603,170.17918240128708
39,38,0,1,1,72.49015780961201,292.08042787468247
31,21,1,1,1,53.40576682998366,226.0087825103185
28,28,0,1,1,54.373575994361424,226.96388457515968
33,11,0,1,1,49.55633319421992,203.71677663471837
31,10,1,0,1,44.94759753840936,192.1263031416036
35,19,0,0,1,56.21798184610942,231.4946900374813
36,13,0,1,1,54.56730631535903,221.10907421637148
21,17,1,1,1,40.08897943792168,179.07440928216232
38,22,1,1,1,63.8393078766329,251.64459197605905
33,22,0,1,1,56.84621821254559,232.22940241155453
35,16,0,1,1,56.56123886435454,227.73742563687065
35,17,0,0,1,55.3834466411132,224.27099795279813
24,9,1,0,1,37.28450901718109,166.5680324098985
21,12,1,0,1,36.58140695953681,166.0165808364316
34,21,1,1,1,57.79728652490902,235.11798291424995
28,19,0,0,1,48.38633218954879,203.74606678970932
37,24,0,0,1,60.127543919938,244.96047028105605
22,23,1,1,1,44.193343519407726,196.5929163174277
20,15,1,1,1,38.03579857158481,169.01944498164187
27,23,0,0,1,49.292021016386585,209.9545575034819
18,12,1,1,1,32.494720585380406,154.74897942737928
23,21,0,0,1,42.45977681621998,190.9995218676876
24,23,1,1,1,45.467768759138245,200.25752119575927
24,20,1,1,1,45.01468990360521,194.31329214205468
41,12,1,0,1,62.53353615207032,240.9606382761118
29,28,0,0,1,53.926443592908925,227.39676618741177
40,14,0,1,1,61.748329641395735,239.1883069056913
23,33,1,0,1,48.75083150556813,217.60180878627145
30,26,0,1,1,54.98405612069433,230.40840016171603
29,25,0,1,1,53.3389133673152,224.99195371708387
30,18,1,1,1,51.86479063621833,213.8787060595676
30,21,1,1,1,53.43949452192689,222.0833816348048
23,24,0,0,1,43.17610828804338,194.52061902500375
38,26,1,1,1,67.35802468998646,266.8360952892708
37,20,0,0,1,59.2710584552564,237.66637116558152
28,21,1,0,1,49.581296263176014,211.4914923599401
35,11,0,1,1,53.30446750609613,211.72162171510212
31,5,1,0,1,44.94890374481897,184.6298036479741
33,16,0,0,1,51.58616272964589,215.8786268171273
44,18,0,0,1,66.41011528367704,260.3088891881776
38,25,0,1,1,64.87833750090141,256.8696148698402
29,25,0,1,1,53.68398310791431,224.37868916617785
28,15,0,1,1,46.86620572519761,196.3878240747505
23,17,0,0,1,39.88869557857267,177.69084878302587
35,9,0,1,1,51.27713843648608,207.1023003344616
29,23,0,1,1,52.747680808212536,220.3394181121712
30,19,1,0,1,52.1225077961336,214.20463291299643
23,23,0,1,1,42.877297170481775,192.11442071294908
27,16,0,1,1,46.58855610298921,197.89499606136604
32,16,1,0,1,52.8930935100824,212.31553722230905
31,23,1,1,1,57.33377503813666,230.61618104783204
43,15,0,0,1,64.43396797971798,249.3847109930845
26,20,0,1,1,46.7157414442912,202.93223240803596
38,17,1,0,1,59.22014705967479,238.5289818494076
19,20,0,1,1,36.191593734843885,169.8863636193915
29,28,1,1,1,56.39688367707497,233.02675183559697
28,18,1,1,1,47.69600134716564,204.0704909145853
36,20,1,1,1,60.2907588360676,242.55691210867963
44,24,0,1,1,71.90423017044645,279.2793806745183
27,28,1,1,1,52.4412777541199,223.9564825571304
27,17,0,0,1,44.86242400515532,194.0996000778644
36,23,0,0,1,58.27407949147877,236.89202955142628
23,20,0,1,1,42.42458472059119,188.00832532159097
50,11,0,0,1,71.69685948398522,269.0782806980842
29,31,1,1,1,57.18941028290652,236.5968029511233
38,24,1,1,1,65.64148023243966,258.5304756856322
41,14,1,1,1,65.01943638782876,248.1538188702064
30,19,0,1,1,50.43940721490443,211.86173092628508
29,26,0,1,1,52.32993856079268,221.54407070845647
35,20,0,1,1,56.31019361752296,232.07787592409667
45,19,0,0,1,69.15003492970685,267.2556451455286
29,18,0,0,1,49.70681809213569,206.81362978626143
10,18,1,0,1,24.87565017993007,135.35818638893312
23,23,1,0,1,43.94161261457165,195.1055273041325
39,20,0,1,1,61.717277035264345,244.1210043600057
18,14,0,1,1,34.10561358910017,162.5744775910291
