education_years,age,gender,union_membership,local_unemployment_rate,job_training_intensity,annual_income
12,28,0,1,9,17,211.4358203897244
9,28,1,1,6,15,195.38466317612392
10,30,1,1,8,13,181.51447584206335
6,30,1,0,7,11,163.65083596678525
11,27,1,0,4,17,210.52573520509023
9,31,1,1,5,10,159.9625233821048
10,31,1,1,5,14,192.37854942848196
6,31,1,0,3,11,168.0110494819273
9,26,1,1,5,18,215.51096824234
14,30,1,1,8,18,224.4164449362092
11,33,0,1,7,11,172.86562903505947
5,29,1,0,10,16,203.24280068974508
9,30,1,1,11,17,214.08232754177652
9,30,1,0,8,14,191.25680188074028
9,29,1,0,13,19,229.0831642479721
8,30,0,1,8,14,189.44435899101305
12,32,1,1,11,16,210.20900333729065
6,31,1,1,7,13,184.37667780602845
11,29,0,1,6,16,204.41041850243067
12,28,1,1,10,16,200.8084322367388
15,32,1,0,8,14,194.7202180810571
8,30,1,1,8,15,199.55267499415277
11,29,1,1,7,15,196.52196333874156
5,30,1,1,8,14,189.099401238902
7,33,1,1,10,14,196.2557845677561
10,31,0,1,8,15,198.7043856236151
6,30,1,1,8,16,207.3049667203434
13,31,1,1,8,15,202.69703645313743
12,32,1,0,10,17,217.78210698151608
7,32,0,0,9,14,191.79029840475252
5,29,0,0,5,14,188.5760615206688
10,25,1,1,8,19,223.48755556809832
12,29,0,1,10,17,212.7044906374413
9,33,0,1,11,13,188.2039435684676
1,30,0,0,10,13,181.4430098161837
11,29,0,0,7,18,222.62050433782937
5,27,0,1,9,16,199.8697916369888
12,31,1,0,7,15,197.67559666713143
10,32,0,0,8,13,184.63605373556567
7,29,1,1,8,14,188.77423660838855
8,27,0,0,4,14,185.2212879647831
9,27,1,1,7,19,228.85320672141415
4,32,1,1,9,14,191.70862200088465
9,31,1,1,8,15,200.73132207390097
10,25,1,1,5,19,223.3898153305628
7,28,1,1,7,18,218.97011569657
5,30,0,1,5,12,173.21066401361094
8,30,1,1,5,15,197.2429285294153
6,31,1,1,9,18,222.65770308570072
9,33,0,1,7,11,172.01902371930933
10,28,1,1,6,20,235.92490417772817
15,29,0,1,4,16,207.64962651240023
14,33,1,1,6,14,196.6677268912692
10,25,1,0,10,21,238.36768811744807
7,28,0,0,9,20,234.5396987312221
6,26,0,1,9,16,198.3813213999104
5,28,1,1,5,14,189.0695763611513
8,35,1,1,8,12,181.5913420003241
7,33,1,1,9,12,177.49308098046245
12,27,0,1,8,19,226.81540332740107
10,29,1,1,7,18,220.8496191126709
12,27,0,1,5,19,229.6183632193437
13,28,1,0,7,18,218.18309251727464
11,28,1,1,5,19,230.4347572088632
7,30,0,1,11,17,213.97959810203443
16,28,0,1,10,20,234.37576519721856
10,28,1,1,8,16,201.7227011725322
10,25,1,1,9,21,239.0485655116712
9,30,1,1,13,18,223.2835875576919
7,29,1,0,10,16,203.3707039936789
6,30,0,1,6,13,178.9427283892875
8,31,1,1,5,11,168.5234568917496
16,31,0,1,10,16,206.57701070131088
9,28,1,1,6,17,211.046312524206
5,26,1,0,9,17,208.4067654100038
9,27,0,1,8,16,201.17960791025732
15,30,1,0,5,18,225.96078881384975
6,31,0,1,6,11,167.46162601782223
10,29,0,1,7,14,187.6510881463266
10,33,1,1,8,16,215.3502824184937
7,32,1,0,9,16,208.63998935659245
10,28,0,1,7,13,179.24707293795765
9,26,0,0,8,21,240.44437340425387
7,28,0,0,8,15,193.21558232326987
9,32,1,1,10,15,199.29497162575635
10,27,1,1,10,19,223.40030308721452
9,30,1,0,9,18,222.98427073729215
5,31,0,1,11,14,190.41071303167453
7,26,0,1,5,18,218.2981952947468
9,29,0,1,9,13,178.4552430252213
13,32,1,1,8,14,195.7543758212523
11,28,1,0,11,19,226.92111287400877
8,29,0,1,7,17,212.27881356164755
8,32,0,0,10,15,202.8006609306412
11,27,1,0,7,17,210.4167168280195
8,31,1,1,6,13,183.9315843655681
13,29,1,1,9,14,188.7212210105909
8,33,0,1,6,13,186.59944906648784
9,27,1,1,11,18,217.85081243790933
10,31,1,1,7,14,192.37002768498184
10,32,0,1,6,12,176.50784055296944
11,26,0,0,9,19,226.2185766446938
9,28,1,0,11,19,227.8912262783548
15,29,1,1,9,18,222.47875945193007
12,31,1,0,10,16,210.09216853189943
8,31,1,0,5,15,201.6325638968037
10,29,1,1,8,15,192.98535294364447
7,33,0,1,7,11,169.5623156971878
5,28,1,1,10,16,203.70078428148705
10,34,0,1,7,13,188.89566211815887
9,27,0,0,5,15,195.73580814591236
15,30,1,1,7,15,198.91229058712517
8,31,0,1,10,15,201.7574173115991
12,28,1,1,8,15,195.1027004273496
10,29,1,1,7,17,214.50147363739848
11,26,1,1,6,18,216.5350758635025
12,25,0,1,7,19,223.93872422002275
12,31,1,0,8,16,207.47202671818297
11,30,0,0,11,16,206.24428611628375
10,29,1,1,5,13,180.20588199904543
10,29,1,1,7,16,206.0769225135082
10,29,1,0,10,17,211.19886321638128
10,28,0,1,10,15,192.4144209413388
14,27,1,1,9,19,226.2578174088723
8,32,1,1,8,14,192.3889804957074
11,28,1,1,6,19,233.05315166671656
9,31,1,1,9,14,191.83414859776835
10,31,0,1,6,13,183.77227464220763
3,31,1,1,12,14,192.0623252109916
6,31,1,0,4,13,187.82639205353365
8,33,0,1,7,11,170.04962722588294
9,30,0,1,11,17,215.04219502370265
6,32,1,1,5,12,178.7611181779876
9,28,1,0,5,16,202.4804273616889
13,32,1,1,7,17,217.3937162851336
12,24,1,1,4,17,205.63943601826227
10,32,1,1,7,13,187.7785026450889
9,27,0,1,8,19,226.36501542410696
9,25,1,1,3,15,193.61035020459784
13,32,0,0,6,15,201.9483033687613
10,28,0,1,5,18,217.63045086931825
13,29,0,1,5,14,190.3759947552053
12,31,1,1,7,14,192.4055767048825
4,27,0,1,9,17,206.3935595897761
5,27,0,0,11,14,184.2607758947561
12,28,0,1,5,18,218.45155759359116
11,32,0,1,2,12,180.95602459471607
9,28,1,1,9,19,227.29617904451572
9,28,1,1,10,19,228.1854827554541
9,29,0,0,1,13,180.4266311709683
7,28,0,0,6,16,203.9535109887173
9,32,1,1,8,12,178.74399974692716
4,25,0,1,7,17,207.19257069423
8,29,1,1,7,16,207.2240355905232
7,29,0,1,8,14,187.973183677219
8,29,1,1,10,17,213.09316216984888
7,32,0,1,6,11,167.46699172169528
7,28,1,1,8,15,195.39775004872675
4,29,0,1,7,13,180.36871544422613
14,27,1,1,8,21,244.2627710535697
10,30,0,1,8,16,207.38309519569648
13,30,1,1,8,16,205.43537966164644
10,31,0,0,5,13,184.48225228677532
2,24,1,1,8,17,203.17189729643465
11,29,1,1,6,16,209.51068790466235
10,29,1,1,4,14,190.21354356510585
1,29,0,1,6,11,161.99522804086607
15,28,0,1,5,18,219.6359034960604
10,29,0,0,8,16,203.3279484705573
7,30,1,1,5,11,166.9726990959112
12,31,1,1,6,15,201.2078762619776
13,31,1,1,9,16,207.89702483486985
8,26,0,1,14,22,244.7226023424562
8,30,0,1,9,17,216.7300172804151
11,24,1,0,7,17,203.04802573950207
13,31,1,1,11,20,240.90768836087537
12,30,1,1,5,17,215.95464547891467
7,28,0,1,8,16,203.30560327973603
7,29,1,0,3,12,175.31929065000742
10,29,0,1,6,13,182.35447577747115
10,28,1,1,12,18,219.20065875614864
10,29,1,1,8,17,212.6356764525236
8,31,0,1,8,13,184.1923030604168
10,33,1,0,6,15,203.030617661997
9,28,1,1,7,14,186.8713119846191
3,30,1,1,4,11,167.36874526003655
10,33,0,1,9,13,186.87227174159904
4,27,0,1,5,15,194.13132919548343
12,29,1,0,10,18,222.370641109744
8,30,0,0,7,14,188.1878792632946
7,24,1,1,9,21,235.69732756554887
9,33,0,1,7,12,179.01093382212946
8,27,0,0,7,17,209.20744002743905
16,28,1,1,6,15,197.9791322238566
10,31,0,1,9,16,208.9238127413256
10,31,0,1,8,16,208.1268572278196
15,29,1,1,5,15,197.8517303812582
10,29,0,0,14,18,218.0966150901592
7,29,1,1,5,13,180.81748845676637
12,34,1,1,8,14,197.07916586624103
10,32,1,1,8,14,193.46813367561413
9,30,1,1,11,17,212.61059362609075
8,26,0,1,7,17,208.43793158853967
19,30,1,1,7,18,223.02706186623723
12,27,1,1,7,16,203.63436968303347
10,28,0,1,10,19,228.63623757955472
2,26,1,1,6,16,200.588997182102
5,32,0,1,8,11,168.08845497486348
10,32,1,0,9,17,217.32473147752725
12,31,1,1,5,15,202.11578308151616
14,28,1,1,7,18,221.9127822801441
6,32,0,0,8,12,176.3959974520618
13,27,1,0,7,19,225.38364660238668
9,29,1,1,8,17,213.57377825896745
11,33,1,0,9,15,202.9185838134378
12,29,1,0,7,14,189.1655118938351
7,30,1,0,6,13,179.3294746134756
8,26,1,1,5,14,184.29472045368743
12,30,1,0,7,16,206.61882507631495
11,29,1,0,4,14,186.8393765804075
9,29,1,0,8,16,203.49364938751987
12,30,1,1,7,15,198.8682720303048
11,31,1,1,6,11,171.1093741760309
8,29,1,1,4,10,156.7037426617534
13,30,1,1,8,14,191.26887348782452
10,31,1,1,8,16,208.83798548676248
12,25,1,1,10,21,239.52659589190765
3,30,1,1,7,10,156.81013443583194
9,30,1,1,6,15,195.5293871744782
11,27,1,1,7,18,216.76745663662172
4,30,1,1,11,15,199.27369610200032
10,29,0,1,6,16,205.51761931669063
10,28,0,1,9,17,210.75630834263032
14,28,1,0,8,21,245.3021712967683
7,32,1,1,6,11,171.98865349024433
14,33,1,1,9,16,213.38586074752
9,28,1,1,13,19,225.6361223440221
10,28,1,0,6,17,211.00726841924453
9,26,1,1,10,21,241.6500957110898
9,29,1,1,5,15,197.431975529062
8,30,1,1,7,15,198.8431884151927
10,28,1,1,8,17,211.77807448475204
14,29,1,0,6,17,213.8186418032042
7,31,1,1,10,14,189.4045914979623
9,29,1,1,8,16,206.9769562887477
8,28,0,1,8,16,205.01180050477885
8,27,0,1,2,13,176.00136546360963
7,30,1,1,7,17,215.2438263374922
5,31,1,1,7,11,168.9598802523182
11,27,1,0,10,19,225.15664488866008
9,32,1,1,10,15,197.22089864214203
13,29,0,0,8,17,214.00873072983973
10,29,1,1,8,14,188.52880860560415
16,26,1,1,7,21,245.08683723878812
8,27,0,0,6,16,203.806628787919
13,33,1,0,5,13,191.50614515145764
10,29,1,1,9,19,228.1844986665147
15,31,1,1,7,16,211.02505307664157
10,26,1,0,10,20,232.75343698004815
10,28,0,1,6,17,213.57742332871385
11,32,1,0,11,17,217.6857713236221
7,33,1,0,7,12,181.4840818929508
14,29,1,1,6,18,225.01129579255905
12,27,1,1,5,16,201.48108266404927
8,27,0,0,6,18,217.74772842241
6,29,0,0,7,16,204.87658500557188
10,32,1,1,4,11,170.538110700511
11,32,0,0,6,13,185.94889027567365
7,27,0,0,10,18,215.60245715018056
12,29,1,0,7,18,224.150812855136
9,33,0,1,9,12,178.17351731703408
13,28,1,0,6,19,229.2107208907976
15,29,1,0,10,19,227.49251296366464
8,30,1,0,8,14,191.5629902463429
9,29,0,1,8,16,205.69306234821133
15,29,0,1,12,19,226.19914025114423
12,32,1,1,6,13,186.888595337566
6,31,1,0,10,16,207.4897838393303
10,30,1,1,6,14,192.05045410740945
13,25,0,0,8,19,223.4646088040764
11,29,0,1,8,16,202.81803569334951
7,31,0,1,6,13,185.4946741014033
5,28,0,0,7,15,192.54159554885024
7,28,0,1,7,16,204.5812956943112
12,27,1,0,7,20,235.55332160845865
11,31,0,1,8,17,216.19830681711076
10,29,1,1,7,13,181.82152542669803
4,29,1,1,8,15,195.73833344717576
11,29,1,0,8,17,215.2154655992855
7,29,1,0,7,15,195.06344088851895
5,28,0,0,10,18,220.61152387717283
3,31,1,1,11,14,191.02704468673923
11,33,0,1,11,15,200.23899628061795
8,28,1,1,7,16,204.89146120488252
16,29,1,0,7,19,232.28994364845624
10,29,1,1,8,17,215.6208253000246
8,32,1,1,8,14,197.67499876607843
12,32,0,0,7,14,195.75386631705248
11,33,1,1,5,14,195.73062254709123
7,25,1,1,6,18,215.59970993175293
6,30,0,1,8,13,180.06571420256338
12,30,0,1,5,13,182.33014640992872
7,32,1,1,8,12,180.6043734000227
9,22,0,0,7,20,224.96065802812143
14,31,1,0,12,18,224.61948996276325
10,27,1,1,4,16,202.340768293363
7,35,1,0,4,7,140.9563805224074
7,32,1,1,4,9,153.99028810396842
16,28,0,1,7,20,237.8306225197908
11,34,1,1,13,16,210.616458405144
6,31,1,1,8,14,189.70006321086316
3,30,0,1,10,16,203.831354972056
11,33,1,1,6,13,187.23729893221147
7,28,1,1,8,16,202.678792350652
11,29,1,1,8,16,204.25654103320252
9,27,1,1,7,17,210.23653463311868
13,31,1,1,7,13,185.4951591974239
7,32,1,1,8,15,202.5839400389625
10,26,1,1,8,17,207.52553233187908
15,30,0,0,7,18,222.3516833793492
8,27,1,1,6,16,202.1097947561209
5,29,1,1,9,12,169.22306196344073
12,30,1,0,10,18,219.8473497800624
6,31,1,1,7,15,201.1020198118423
8,35,0,1,9,12,179.36550574747218
5,32,1,0,10,13,180.7636547723841
11,29,1,1,7,13,181.61948712085655
5,30,0,1,7,14,190.241079364854
9,29,0,0,7,15,197.39431321381983
14,27,1,0,11,22,251.3205167395581
13,32,0,1,9,16,211.9101399757141
6,30,0,1,6,13,181.5748567591809
10,32,1,1,10,18,225.48809067959104
5,31,0,1,9,13,182.07410823642587
9,31,1,1,10,16,207.15164625220888
5,32,1,0,5,11,166.54648788854087
11,29,1,1,5,14,188.34717204874823
8,27,0,0,8,17,206.8394826755761
10,29,1,1,8,17,210.68080025341092
9,28,1,0,5,19,226.97179707438843
6,31,1,1,8,14,192.06112946544087
10,35,1,1,8,15,205.2099763876253
8,29,1,0,9,13,178.36884677401918
5,28,1,1,9,16,206.08234483934788
11,30,1,0,6,15,199.93348149472385
8,30,0,0,8,13,180.7347496415632
8,27,0,1,6,14,186.2787489477868
9,32,0,1,7,12,179.44636548646875
10,22,1,0,12,24,256.44020441401227
7,33,0,0,8,11,171.6013259832059
8,32,0,1,5,12,177.89361804910678
6,30,0,0,9,15,195.9889971107285
10,29,1,1,7,18,221.2566569392041
11,30,0,1,9,14,187.6278902366787
14,33,1,1,10,14,194.598020683159
8,26,1,1,11,20,231.52375721900805
12,28,1,1,8,16,203.38071285687445
9,35,0,1,7,12,183.0746602719996
12,30,1,1,8,15,199.2946865699781
7,32,0,1,10,13,185.7149982073877
11,28,0,0,9,17,209.6478770996564
7,29,1,0,7,15,196.77844462825567
7,25,0,1,7,18,214.86165812473135
10,30,1,1,7,14,190.23028804370225
10,27,0,1,9,19,225.62490683861387
5,26,0,0,9,19,221.9475000810264
7,32,1,1,7,13,184.9926121376078
5,29,1,0,7,15,196.84933663687093
10,29,1,1,9,16,204.6227626729232
9,30,0,0,4,13,185.635981117058
7,32,1,1,6,13,186.39668352125813
12,26,1,0,6,21,242.41005990313917
11,30,0,0,7,14,187.85389030159544
2,32,1,1,7,12,176.61028116005346
9,31,1,1,8,15,201.86930084044863
8,27,0,0,7,19,227.55274177936727
7,27,1,1,7,16,204.9110944061024
3,31,1,0,7,9,147.8600070097986
8,33,0,0,7,12,178.23011115085146
9,28,1,0,8,17,209.5428400157117
9,33,1,1,10,13,184.13704925015637
3,27,1,0,7,16,199.50540019180852
6,28,0,0,10,17,207.83324553371693
8,27,1,1,8,18,218.2563912862754
10,30,1,1,7,16,209.6658622277228
7,31,0,1,7,11,168.11021676245645
11,25,1,1,7,20,229.22399216196675
7,30,1,1,12,16,204.22850495510843
9,32,0,1,6,12,176.27889145702713
9,33,1,1,3,9,154.78513853693866
8,31,1,1,6,13,186.48875061203
12,32,0,1,8,13,182.84685911547243
7,31,1,0,6,15,200.51814874188133
3,30,1,1,9,14,189.44889290791343
10,30,1,0,8,16,204.6388626591082
11,30,1,1,5,14,190.86843607459812
12,32,0,0,6,11,167.86017670723268
8,31,1,1,9,14,194.27646564866112
11,29,0,0,8,15,196.95366475533825
9,28,1,1,8,17,213.6229642572775
18,29,0,1,3,17,216.6251512550684
11,28,1,0,8,19,228.97179768456195
12,30,1,1,5,13,183.0640827555933
14,32,1,0,7,14,193.62248392836884
7,32,1,0,6,10,160.39926526838997
9,29,1,0,8,15,195.1519793426608
18,25,0,0,10,23,257.0598210068862
7,35,1,1,8,13,193.16625421731507
14,32,1,0,9,16,208.2462997109064
6,30,0,1,3,13,183.53225190154288
8,30,1,0,5,13,183.728409532289
9,31,1,1,9,15,201.01438025526804
9,28,0,0,9,18,219.55477983893417
