age,political_experience,campaign_spending,incumbent_status,gender,minority_status,media_ownership,media_coverage,election_results
8,30,7,0,1,0,12,13,133.99667763144228
9,29,2,1,1,1,11,18,156.6473952421419
9,27,2,0,1,1,12,16,145.6627328201938
11,29,9,1,0,0,10,15,148.72416512849898
9,30,10,1,1,0,15,16,151.7634428450634
9,33,6,1,1,0,11,15,148.43307944309487
9,29,6,1,0,0,13,17,155.8890193585124
10,27,8,0,0,0,14,15,144.4159112662753
11,27,7,1,1,1,13,13,134.85635590690063
7,28,6,1,1,1,12,17,151.74896152779394
10,33,4,1,1,0,10,12,132.9865284832378
7,32,16,1,1,1,14,16,153.54463444006464
8,27,11,1,1,0,9,14,141.22239316280837
5,32,6,1,1,1,14,21,174.77759080437195
12,31,7,0,1,1,12,9,122.07378952787174
18,26,10,1,1,1,12,2,87.95408359101953
10,32,10,1,1,0,10,12,137.2241099951452
7,30,5,1,1,1,11,18,155.35822518198398
10,30,8,0,0,0,11,11,126.40440030255483
12,28,12,0,1,1,12,11,129.90022036073356
11,31,10,0,1,0,10,12,138.19919423975458
9,31,4,1,0,0,12,16,151.6431000880014
9,30,6,1,0,1,11,14,139.5325351345409
10,28,3,1,1,0,11,14,136.46473301503093
7,32,5,1,1,1,10,16,148.01635655092005
10,31,3,1,1,1,15,15,144.1538817741229
6,30,8,0,0,1,9,18,161.74828233795242
12,33,1,0,1,1,10,9,120.21430308537234
9,25,4,0,1,0,10,16,146.58513333821648
9,28,11,1,1,0,13,19,168.0417876652771
9,33,9,1,1,1,11,15,147.72043035984848
6,35,5,1,1,1,11,19,169.11212346740817
12,30,6,1,0,0,13,13,141.2513150661521
7,26,10,1,1,1,10,16,147.38533016356266
5,30,8,1,1,1,12,22,177.70096503966192
8,26,11,1,1,1,14,19,163.8084620534283
11,31,10,0,0,0,10,10,126.07164214075372
9,26,10,0,1,1,14,15,148.11937277756653
11,27,10,0,0,1,13,12,131.70125686538262
12,28,9,1,1,0,12,13,140.23429951878947
9,31,0,0,0,1,10,15,143.1741676786249
10,33,5,1,1,1,12,13,139.20474815944235
14,31,11,0,1,0,12,5,104.3813247322243
9,30,4,0,0,1,11,13,136.61999736719167
8,30,11,0,0,0,13,16,150.68195074327934
7,30,8,1,1,1,11,15,144.38425925935638
9,29,10,0,1,1,8,14,144.35460226303942
7,30,7,1,1,1,11,19,165.54422864110504
13,31,6,1,0,1,11,7,109.47171839255644
6,29,4,1,1,0,11,19,158.03200451711822
9,32,8,1,1,1,14,15,147.7064921593979
6,27,10,0,1,1,10,15,146.55534802978966
10,27,7,0,0,1,11,13,134.18673250487947
12,29,12,1,1,1,11,8,115.52563887378663
4,29,8,0,1,0,14,24,185.96540225557783
7,33,9,0,1,0,14,16,152.18716715339806
4,28,9,1,1,0,9,22,178.27980943053012
8,33,6,1,0,1,11,16,151.44374437546185
6,32,5,1,1,1,11,18,157.77211419965158
5,31,7,0,0,1,12,20,172.46856384405083
11,26,7,1,0,1,11,12,129.74524916026678
13,27,5,0,1,0,12,10,120.47166595311666
11,30,14,1,1,1,12,12,137.01076874972463
6,26,7,0,1,1,14,21,169.09359138752848
5,33,13,0,1,0,12,19,170.8138888885436
10,26,11,0,1,1,11,11,126.70712584549462
10,27,7,1,0,1,10,16,147.8394133879964
12,30,9,0,0,0,10,11,132.64805017213305
10,30,1,1,1,1,10,13,132.30781153139262
7,29,7,0,1,1,12,18,160.27924654004104
9,31,8,1,1,1,12,16,153.2388258350796
4,28,9,1,0,1,15,23,183.89542878097117
12,30,6,0,0,1,13,9,115.8117336923496
7,27,3,0,0,0,11,15,137.34312547370143
10,26,8,1,1,1,13,15,143.18074464142296
11,27,11,1,0,1,11,13,137.30909644498905
3,31,8,1,0,1,12,24,188.92806857403417
6,30,8,1,1,1,10,19,165.95652656303596
9,32,3,1,0,1,12,13,137.3200837298251
12,25,11,1,1,1,9,8,111.77647490305424
14,30,12,0,0,1,8,2,87.86786139158352
7,29,10,1,1,0,11,19,167.47429587271162
12,29,13,1,1,0,9,8,117.00236489002177
8,29,6,0,1,0,11,17,153.29323496236782
11,31,1,0,1,0,12,10,122.60310799524038
8,31,10,0,1,0,12,15,147.03165454304377
8,32,10,1,1,1,11,14,144.07662370804016
10,28,6,1,0,1,12,16,148.68417646491022
9,32,8,1,0,1,11,14,144.1739987572106
11,31,11,1,0,1,12,12,134.53671080691555
7,29,6,1,0,1,9,17,156.83339165832484
12,33,6,0,1,0,10,8,117.06513325828888
13,28,3,0,1,1,7,6,103.91546545136482
14,26,9,0,0,1,11,7,109.40601089007416
8,27,8,1,1,0,14,19,160.63877545854726
18,30,11,1,1,1,14,2,90.19779349324432
10,31,10,0,1,0,9,12,139.31490366786846
11,26,12,1,1,0,11,12,132.4262472771791
11,32,6,1,0,1,13,15,150.00128545499123
8,24,9,0,1,1,11,18,156.42852310889452
9,31,12,1,1,1,10,12,137.1728638843347
12,32,9,0,1,0,12,10,129.32635840349263
8,31,12,0,1,1,11,13,140.6267303021491
10,30,6,1,1,1,12,12,130.13105307938548
10,26,8,1,1,1,12,15,143.14095468594076
9,32,7,1,0,1,10,14,144.1399413322521
10,27,6,1,1,0,12,15,142.76797793832614
11,27,11,0,0,0,12,11,128.65588555535965
15,32,9,1,0,1,13,7,116.39858618263986
7,28,5,0,1,1,14,20,167.83209550197364
5,29,12,1,0,1,11,19,167.00549427930952
9,30,9,1,1,1,12,13,135.52152029664208
12,30,7,1,0,0,9,8,115.04263858098636
10,26,4,1,0,1,13,16,146.1313867508278
5,25,6,1,1,1,12,26,194.40638106228957
13,27,10,1,1,0,11,13,140.8748077885232
14,27,9,1,1,1,8,6,103.77858237282892
4,30,7,0,0,1,14,22,177.13588867909414
12,31,14,1,1,0,15,11,132.3356474042555
11,27,13,0,1,0,15,11,126.9242818588064
11,33,7,1,1,0,10,12,137.03349253497925
7,29,9,0,1,1,10,16,151.6745514606066
12,29,9,0,1,1,13,8,111.8892564792611
12,31,3,0,0,1,10,10,126.70337109232308
11,29,10,0,1,0,11,8,116.81976404790974
9,27,5,1,0,1,10,16,148.4643994669437
10,31,7,1,0,1,11,15,152.38925044580893
7,33,8,1,1,1,10,17,159.2015955749853
6,28,10,0,1,1,11,19,166.72581709350678
10,33,7,1,0,1,10,12,132.72834648704531
11,27,7,1,1,0,10,11,123.1594332281994
11,31,15,1,1,1,13,11,131.63844889956025
8,33,8,1,1,0,16,20,172.77619487468615
13,29,15,1,0,0,11,10,128.55070785775794
6,27,5,0,1,1,9,19,162.80750750397974
12,29,3,0,1,1,13,12,132.9309841668568
11,30,16,1,0,1,12,11,133.20875021876827
6,29,9,1,0,0,14,19,162.8205578406652
10,30,7,1,0,1,14,16,151.4193752414892
8,28,5,1,1,0,11,17,151.67928058323716
6,32,8,1,1,1,10,17,154.6064091109714
8,29,1,0,0,1,11,19,159.98816224966205
17,31,10,1,0,0,12,3,94.5757966428306
7,30,9,1,0,1,11,16,150.4665513594327
10,31,10,1,0,1,10,11,130.33157776757182
11,28,13,1,1,1,9,11,130.80583839501563
14,27,2,0,1,0,12,8,108.9318888109212
13,31,7,0,1,1,16,8,115.20995416550784
9,30,6,1,0,0,12,16,148.70826209265783
8,29,7,0,1,1,8,13,138.01344084659468
14,31,3,1,0,0,12,9,117.93021010719262
5,30,10,0,1,1,8,15,146.3528412808214
13,27,10,0,0,0,10,8,114.96207067924318
8,33,8,0,1,0,8,15,151.15546707827465
4,30,13,1,1,0,11,22,179.8549403684411
14,30,2,0,0,0,11,6,105.1730091490154
9,30,6,1,0,0,13,15,145.07764096124467
10,31,8,1,0,1,9,11,127.69247885596376
7,29,15,0,1,0,12,17,160.745262100273
13,31,4,1,1,1,11,8,112.15239188070966
9,32,10,1,1,1,15,14,142.70367994311448
11,32,13,0,0,1,11,7,116.61486535953657
7,30,9,0,0,1,11,13,136.85444399353415
3,30,9,0,1,1,14,25,192.3965594221777
10,27,0,1,1,1,10,15,141.00877891590756
9,31,4,0,0,1,18,20,169.26500847139812
18,28,4,1,0,1,13,2,85.20588118270915
9,27,9,1,0,0,13,18,158.5590330232826
9,26,11,0,0,1,11,16,149.49964384818315
8,27,7,0,1,1,11,14,138.20207641668736
5,33,7,1,1,0,12,20,170.11783701246787
9,28,3,0,0,0,11,14,138.13940952869635
10,34,5,1,1,0,12,12,133.07042353971863
6,29,5,1,1,0,12,22,175.6691198001237
9,32,7,0,0,1,13,17,159.12273699369587
6,29,2,1,0,1,11,20,164.83868613410849
4,28,7,0,1,0,13,23,180.80100890232785
11,29,6,0,1,0,13,15,144.95977102125752
7,30,7,0,1,1,13,15,144.20208804478082
5,29,7,1,1,1,13,21,171.678577991819
10,30,9,1,1,1,10,14,142.89105330694588
17,29,10,0,1,1,8,0,79.01375905974804
12,28,11,0,1,1,14,12,134.48346594816357
6,25,4,1,1,1,10,21,167.86588298314192
6,33,14,0,0,1,9,16,159.7770130218593
12,31,10,1,1,0,7,6,108.56054421960808
9,29,9,1,0,0,10,15,146.27003206613531
8,33,9,1,1,1,11,14,143.33788638567793
10,29,2,1,1,1,11,13,134.949310198576
10,28,10,1,1,0,13,16,150.96972707755015
9,28,3,1,1,0,11,15,143.48071896097227
8,31,14,1,1,0,9,13,141.17950228592278
12,32,8,1,1,0,11,10,127.4548775061834
5,30,5,1,1,0,8,20,166.64627857126766
16,29,9,0,0,1,12,4,98.46054246373482
9,29,6,0,1,0,10,12,129.3603288474051
10,31,12,1,0,1,13,11,129.89098538891923
11,34,5,1,1,0,14,10,124.73179382641234
6,28,3,1,1,1,13,20,164.04710720273724
4,26,9,1,1,0,9,25,191.09443291321267
10,26,13,1,1,1,14,14,139.58667179197934
8,29,4,1,0,1,11,15,141.34513313368316
15,25,9,0,1,0,8,5,100.62082322943816
8,30,14,1,1,0,12,16,154.1648993541524
6,30,8,0,0,1,9,17,156.08089260029757
6,34,12,1,0,0,10,17,160.40916424867424
5,28,9,0,0,0,13,19,160.39998272591092
12,30,6,0,1,1,14,10,122.96795668144992
6,30,11,0,1,1,11,16,153.90505806306464
10,31,11,0,1,1,16,14,145.1979263078047
7,28,4,1,1,0,14,22,176.41074473594225
7,30,6,1,1,0,10,18,160.13260537005695
7,30,4,0,1,0,7,14,141.1416652953692
9,28,5,1,1,1,11,13,132.12910086050846
9,31,3,1,1,1,12,15,146.30369756880742
5,32,5,0,1,1,11,18,160.22138304926295
7,30,6,0,1,1,9,15,145.03888664175523
9,32,7,1,1,1,12,11,130.06515048702946
10,30,8,1,0,1,15,16,152.97352928485094
13,27,10,1,1,1,11,9,121.38132820355116
5,28,7,0,1,1,10,17,150.44714591927433
13,30,12,1,0,1,11,8,116.60724768068884
9,30,4,1,1,1,11,14,138.1948211481299
9,32,9,1,1,1,13,16,156.03631012644877
10,30,11,0,1,1,13,12,133.50632561108176
11,25,6,1,0,1,10,13,133.67798628759644
11,33,8,0,1,1,8,5,101.8649832635488
9,29,6,0,1,0,13,15,146.34051376640096
11,28,3,1,0,1,12,14,136.37362479090473
12,30,9,1,1,1,11,10,127.2204302154055
4,30,6,0,1,0,10,23,183.50046529622597
15,30,11,0,1,1,8,1,83.0043090341646
5,30,12,1,1,0,12,20,171.84909061624262
6,34,8,1,1,1,14,16,149.6938034422972
10,34,6,0,0,1,9,11,131.75235918240702
10,33,8,1,1,0,11,12,133.73274774735214
7,29,11,1,0,1,10,17,156.2104402067321
8,28,4,0,0,0,11,16,150.13076594497247
9,29,6,1,0,1,12,17,153.70040958601396
9,26,4,0,1,1,14,16,145.720452484197
9,30,9,1,0,1,9,12,132.78107324738798
12,31,8,1,1,1,13,9,119.92244618496744
11,24,7,1,1,1,11,12,128.43135078112795
10,29,7,1,0,1,12,14,142.75793147895908
13,31,1,1,0,1,12,10,123.59845635972874
6,28,9,1,0,0,14,23,184.1607130211353
10,32,7,1,1,0,10,13,140.68492520090587
8,28,7,1,1,1,11,15,143.3619007982197
15,27,7,1,0,1,12,7,109.30846583206556
7,28,7,1,1,1,14,17,152.14951689948174
11,27,6,1,0,0,11,14,138.3234714418826
11,25,5,1,1,1,10,12,128.24344539486404
6,30,7,0,1,1,15,19,163.26128618214656
15,28,9,1,0,1,14,8,114.39068577136824
6,33,1,1,1,0,11,18,157.0643602549974
8,30,2,0,1,1,6,14,140.40683428536713
9,27,7,1,0,1,11,15,143.39222908484246
9,29,3,1,1,0,10,14,139.34050702095374
12,28,8,1,1,1,11,10,121.44287984426089
7,28,7,1,1,1,13,18,157.54899050897646
15,30,6,0,0,1,11,5,103.0523848931229
14,27,10,0,0,0,12,7,109.97976891399672
6,32,8,1,0,0,10,16,152.06132572116158
12,33,6,1,0,1,13,10,126.36576282073663
9,29,7,1,1,0,13,14,138.37246641473922
10,30,8,1,1,0,11,13,139.95909729581672
7,24,6,1,0,0,11,18,154.75737581577116
8,31,13,0,1,1,13,11,131.71112733057092
7,29,7,0,1,1,14,18,157.28605960254455
11,31,12,1,1,0,9,9,123.313431352213
9,30,10,1,0,1,14,14,142.7926787970292
5,29,3,0,0,0,11,21,172.3636256457301
12,29,8,1,1,1,13,12,133.64297526566162
8,24,4,0,0,0,10,17,147.91198367888734
8,29,7,0,0,1,13,16,150.3724644260846
13,33,11,1,1,1,8,5,106.7287594114203
9,31,12,1,1,1,9,11,130.69239323043118
7,28,11,1,1,1,8,15,144.0998066382801
8,25,8,1,0,0,11,20,165.93341368970138
11,25,5,0,1,0,13,12,129.11748906467466
11,29,5,1,1,1,12,12,131.06729490267924
12,31,5,1,0,1,14,11,127.96018040988515
10,29,9,1,1,1,12,13,136.8649737093467
12,29,6,0,1,0,9,8,112.3748067320766
5,27,10,1,1,1,11,20,167.674548616152
10,23,2,0,0,1,13,18,151.9336248361559
10,29,4,0,1,0,11,12,130.07486267751727
15,24,11,0,1,0,10,8,113.0655436142074
7,30,11,0,0,1,13,19,167.2732918446517
6,33,11,0,1,1,15,19,166.75618207283912
12,29,9,0,1,0,10,10,124.47626056082407
6,30,7,1,0,0,10,18,158.9992337402729
13,28,10,1,0,0,12,9,119.89771597099464
6,29,5,0,1,0,11,20,165.08305724487522
12,30,8,0,1,0,13,12,136.99182596644047
6,34,4,1,1,1,14,19,164.52327321063174
8,29,8,0,1,1,12,18,159.6186619502229
6,28,5,1,1,0,9,22,175.73965555105573
11,32,9,1,1,1,13,14,144.15729764601616
6,32,4,0,1,0,16,23,185.8221412956312
8,26,6,0,0,1,9,16,145.72864418181342
10,28,7,0,1,1,10,11,128.37472720847228
7,27,9,0,0,1,11,19,165.5605252435252
9,32,3,0,0,1,14,16,149.9053269729791
7,34,8,1,1,0,11,15,146.96288191292257
10,29,4,0,0,0,12,13,134.41040176714307
16,31,11,1,0,1,11,4,102.402479716126
5,30,6,1,1,1,12,22,177.57143421390091
11,25,7,1,0,0,11,14,137.59808777488416
7,29,5,0,0,0,12,16,147.52678637621293
15,32,11,0,0,1,10,4,102.94287636847002
8,31,5,1,1,1,11,15,143.55547268232525
10,32,10,0,1,1,10,12,137.7103104157881
11,24,7,1,1,0,11,13,134.95978090851816
9,27,10,0,1,1,11,14,143.5296653145558
6,23,14,0,1,1,11,20,167.38107933932673
3,32,11,1,1,0,9,19,165.4920522092998
4,33,7,1,1,1,11,19,165.91601783878244
15,32,7,0,1,1,11,4,97.9532536821078
8,28,7,1,1,1,10,17,155.3386804726524
12,31,5,1,0,1,11,8,112.45902791331086
9,27,3,0,1,1,11,13,130.15113270163673
10,28,2,0,0,1,12,13,132.4280341323211
11,26,2,0,0,0,11,13,134.45718692016789
10,28,5,0,1,1,12,13,134.7378132336184
13,28,10,1,1,1,11,9,118.19253371554906
13,32,6,1,0,0,12,8,115.67750036471008
4,27,12,0,1,1,9,21,171.82174614481715
10,26,6,0,0,0,11,15,143.94269980432497
7,28,10,1,1,1,7,13,135.74300986114346
13,29,2,1,1,0,8,9,115.05822225019288
9,31,7,1,1,1,9,13,136.61546016771925
12,26,8,1,1,1,14,13,134.72214537198124
11,27,8,1,0,1,8,10,121.70600700165146
6,32,8,1,0,0,13,21,175.9344234819914
9,31,8,1,1,1,10,11,129.87543572459998
7,31,10,1,0,1,9,15,147.33082780121762
14,27,10,1,0,0,12,9,118.17267611668268
10,29,12,1,1,0,12,15,146.1223106624715
5,33,8,0,1,1,13,18,162.10853771271593
15,27,8,1,1,0,14,9,117.42480046699104
8,25,7,1,1,1,10,16,146.19537734716474
11,28,3,1,0,0,14,13,133.75732542544907
13,30,12,0,1,0,14,8,118.55387833395788
5,32,8,1,0,1,12,19,164.90921135720814
15,29,6,1,0,0,10,8,113.8810442942763
4,31,8,0,0,1,10,22,178.8075147468716
12,31,6,1,1,1,14,10,124.21274305235168
11,29,1,0,0,1,15,14,137.22886078031146
6,29,9,0,1,1,10,19,165.3082773655604
12,34,10,1,1,0,12,10,127.30185875962464
6,31,5,1,1,1,13,23,184.84777105307344
12,29,3,1,0,1,12,10,120.58550892140904
17,34,9,1,0,0,8,1,90.02471455610697
7,27,10,1,0,1,10,15,142.65213072725842
11,26,7,0,0,1,11,8,108.8120832828063
10,31,14,0,0,1,14,12,140.1405120021748
5,30,5,1,1,1,10,20,168.3452459469957
8,25,11,0,0,1,11,15,145.93418290790075
9,28,7,1,0,1,10,15,144.8357064406234
14,30,4,1,1,1,13,7,109.46843465883852
9,30,10,0,1,1,11,12,133.41972569324608
13,31,0,0,1,1,6,7,106.28272425219151
1,31,11,1,1,1,10,24,186.7424267309788
12,27,8,0,1,0,13,10,121.62197751791332
10,28,13,0,0,0,9,11,135.21485242235386
11,28,0,1,1,1,13,14,137.62213467625875
5,27,10,1,1,0,13,23,180.25496369423223
7,30,6,1,0,1,13,18,163.2823086628538
11,33,11,1,0,1,7,10,128.47701368477388
9,30,9,1,0,0,16,19,166.77693929206438
7,29,10,1,0,1,8,17,156.66730005563545
11,30,7,1,1,1,9,12,137.47766932437744
9,26,6,1,1,1,8,12,126.77104387233888
7,31,12,1,0,0,9,16,156.3852153244881
8,32,7,0,0,1,9,14,142.54113250634143
15,32,5,1,1,0,13,7,109.82118169110176
10,23,13,0,1,0,10,13,138.63979245018388
12,32,14,0,1,0,11,9,125.7544169933196
7,31,10,1,1,0,8,17,158.07867582319025
12,25,7,1,0,1,13,12,129.78282305000792
12,28,8,1,1,1,11,10,123.14170865551893
