plaintiff_age,defendant_age,judge_experience_years,plaintiff_gender,defendant_gender,public_defender_assigned,legal_representation_hours,trial_length_days
7,32,12,0,0,7,16,85.22498782492033
10,31,2,1,1,10,22,104.03335202274025
5,30,8,1,1,9,19,94.57718774438528
10,27,10,0,1,10,22,93.19161818318024
11,25,9,0,0,12,26,102.70774889690826
10,31,6,0,1,13,25,106.88329543841512
12,30,8,0,1,11,22,98.14024489064528
9,31,6,0,1,8,22,103.01038792753567
5,29,7,0,0,9,23,103.60169667236777
10,31,14,1,0,7,18,84.13112257358739
7,27,5,0,0,12,27,110.47660199530102
7,30,9,0,0,9,24,106.57258557182011
6,32,14,0,0,7,14,81.1044481353005
3,28,5,1,1,8,22,100.0649607904796
8,25,6,1,0,6,23,98.7097705943038
9,28,5,0,1,10,24,105.3977616989378
7,30,3,1,0,8,24,107.19742797812692
10,29,11,1,1,10,22,98.26901280415812
6,29,5,1,0,9,22,99.90353424764923
8,28,7,0,1,11,25,103.94839809428844
9,28,6,0,0,9,21,93.3351112328296
7,29,12,0,1,11,21,94.59311856782185
9,24,13,0,0,12,20,86.17244902138349
11,25,6,0,0,12,27,107.00509655667068
10,29,10,1,1,7,21,96.48307453666185
9,30,10,1,0,7,21,96.7270994155381
6,33,3,0,1,9,21,105.87590758933403
12,29,9,1,0,12,25,101.97511622838252
10,30,3,1,1,7,24,107.24899248229576
14,30,6,0,1,10,22,98.44729470042029
10,31,6,0,0,10,23,102.24670386854974
12,30,10,1,0,12,26,103.50822813255216
6,30,12,0,0,10,19,91.68971652092117
12,26,11,1,1,10,22,97.69069259019956
6,29,9,1,0,9,23,100.60842062652756
9,30,5,1,1,12,23,105.5578330035442
12,30,1,0,0,7,25,110.20744937029046
8,30,8,1,0,11,23,101.7712541698274
12,29,9,1,0,9,23,100.15060746236838
12,28,9,0,1,10,23,99.71968938071689
13,30,8,1,1,8,23,100.84772551571572
8,30,5,0,0,11,23,101.5391161322305
13,28,9,0,0,10,24,99.83549838628124
9,28,7,1,1,8,22,97.89064340461084
9,29,10,0,0,9,23,101.683585478802
4,33,7,1,0,8,19,96.45760219293729
11,28,9,1,1,7,24,104.43796970514468
11,25,10,0,0,12,25,99.277525781593
10,27,8,0,1,10,22,95.94218333001172
17,29,7,1,1,10,23,99.1037527915719
13,27,8,0,0,7,23,95.32552426704086
8,26,2,0,0,10,27,105.63963151514191
7,31,9,1,0,7,21,98.95355688931792
10,27,11,1,0,11,23,92.9097122550349
10,32,6,0,0,7,25,106.6372760090702
11,31,8,1,1,9,24,102.7270147104232
10,33,6,0,1,8,19,96.00829503113772
11,31,11,1,0,5,18,90.7954863561378
10,30,8,0,1,9,21,97.43360738563442
10,28,10,0,0,11,25,102.55745792342512
9,28,9,0,1,8,20,91.64893864594316
6,28,9,0,0,8,20,93.41525493338348
12,34,8,1,1,8,20,97.48714548468172
12,31,9,0,0,8,22,98.6729567154241
11,30,11,1,0,9,21,95.24624682363232
7,32,4,0,0,8,21,101.33012081989187
9,27,9,0,1,10,22,96.75477988171946
5,24,7,1,0,7,21,93.91115439437505
7,31,7,0,0,8,20,95.5593481744378
8,31,6,1,1,9,22,102.30371508827062
9,30,14,1,0,7,17,85.78181082989444
1,28,7,1,1,8,22,101.789265563883
11,29,9,1,1,8,19,89.81622813347306
12,32,10,1,0,11,21,95.5247966341276
10,27,7,0,0,9,23,96.45564480945548
7,29,6,0,0,7,23,105.27605631700338
6,31,10,1,0,10,20,93.02036909712048
4,27,11,1,1,11,20,92.62493903474824
12,28,8,1,0,9,25,102.7985075167452
8,31,9,1,0,9,19,92.60791867563486
6,33,3,1,1,10,22,107.9750124726739
9,29,7,1,0,9,23,99.96179970445138
7,27,11,0,0,13,22,94.29561651130382
11,31,6,0,1,12,25,105.5232299089594
6,27,2,1,1,9,24,106.29855692779756
11,28,4,0,0,8,24,100.25554318675177
6,30,5,1,0,8,24,104.6007212380986
11,28,8,1,1,8,20,93.17562181176469
11,29,7,0,1,11,23,103.03890716419092
9,28,11,0,1,11,24,99.25812578266395
11,30,11,1,0,10,24,99.55004481512798
13,29,4,1,1,7,22,101.77978200210502
9,30,11,0,0,9,21,94.55406508261936
5,32,7,1,1,12,21,101.05917124353849
8,31,9,1,1,9,19,98.0463315019811
7,30,7,1,1,8,19,96.03162330650144
8,30,9,0,0,8,20,93.94681300684763
5,29,7,0,1,11,22,98.5384448015172
11,27,8,0,1,12,27,107.83087080199635
9,29,8,1,1,11,23,97.6219535784545
9,29,11,1,0,8,20,95.37606096460286
12,31,9,1,0,10,21,95.7677626172263
8,29,6,0,0,11,24,107.22430415355568
5,27,5,0,1,11,23,101.22968773467464
11,28,6,1,0,8,26,106.82758383631332
13,31,6,1,0,9,24,103.16696287818176
8,26,8,0,1,7,21,93.33597827828196
8,31,4,1,1,11,24,107.46746523153402
9,30,2,1,1,6,26,114.90014029794426
14,32,7,0,1,13,24,103.4758767833923
8,30,6,1,1,12,23,105.03295442548006
3,28,9,0,1,9,19,92.12143188233983
14,31,4,1,0,10,30,117.62142680420924
7,26,5,1,0,9,25,105.40303473379596
12,30,12,0,0,9,22,96.85944565341644
8,33,8,0,1,8,18,93.65983228476418
9,28,12,1,1,9,20,91.45195780052538
7,31,9,0,1,9,21,94.91955137365578
12,30,11,1,0,7,22,99.19000411445415
13,27,4,1,0,8,28,112.98698521358992
11,31,7,0,0,10,23,100.8473168517666
7,30,9,0,0,11,21,94.88343491120682
10,29,6,0,0,8,26,107.23033367327032
5,24,7,0,0,8,23,98.27481711125296
9,30,11,1,1,11,19,88.16149704995868
12,33,7,0,0,9,22,99.77591375976202
6,26,8,1,0,12,24,99.42386497070808
10,31,2,0,0,13,28,113.68899870433292
6,25,0,1,1,11,27,112.48253556728984
12,32,8,1,1,6,19,96.0788296665805
10,31,4,1,0,9,23,104.59798680016394
4,26,6,1,0,11,23,99.95374667467742
7,32,9,0,1,12,22,101.53194181944828
9,30,9,1,1,11,23,102.66878306947096
10,27,11,0,0,7,21,90.05326207589555
8,30,9,0,0,9,21,92.3268465809896
15,27,11,1,1,11,23,97.11106707869074
10,30,5,1,0,10,25,103.95947353878418
14,26,8,1,0,10,25,102.71182311607797
8,31,9,0,1,11,21,97.90048363039683
12,29,12,0,1,7,19,87.24481414650421
10,32,6,0,1,7,20,98.22531876495056
13,30,9,0,0,9,24,99.99885537753173
10,25,13,0,0,12,23,91.80530875224852
9,32,8,1,0,12,22,99.43988220882834
9,32,7,0,0,12,25,105.47741455115124
7,32,4,0,1,8,22,100.93037245488796
15,28,3,0,0,9,27,109.48954372961032
7,29,4,1,0,11,24,106.7906953010522
9,34,9,1,0,8,21,100.23096322754928
5,29,9,1,0,11,23,100.92612960085116
8,31,6,0,0,9,23,102.71663290352568
9,27,4,1,1,10,27,110.13690356008924
7,25,10,1,1,7,20,92.4444220485267
13,31,5,1,0,10,24,107.17305338461448
8,26,5,0,0,10,24,102.47607569085922
11,30,9,0,1,10,19,91.4914122713018
12,33,12,0,0,10,18,85.72886690745145
12,33,3,1,0,12,25,110.54687130704652
9,28,7,0,0,10,22,97.30053571473852
13,31,7,0,0,8,21,96.6717474263288
7,29,8,0,0,10,24,102.17569625120656
9,29,11,0,0,8,21,94.05457048477668
6,29,13,1,0,9,22,98.70915430164216
5,29,7,0,0,10,23,99.6908019516161
6,30,9,0,0,9,18,88.847547404507
13,27,8,1,1,14,25,102.1860664544858
10,28,8,0,0,11,21,95.24062963811149
12,26,10,1,0,6,23,93.49261983197674
4,29,12,0,1,9,17,85.16353966282612
8,34,5,1,0,7,22,104.77679644226436
9,30,7,0,1,11,20,95.11764878013314
16,32,13,0,0,9,21,93.08112593203334
11,34,12,0,0,10,20,93.38033334500136
7,30,8,0,0,11,19,91.84424155843924
8,28,5,1,0,9,25,104.73170966107824
6,32,11,0,0,7,18,91.0685495632585
15,29,7,0,1,15,29,111.44596244023812
4,28,3,0,0,12,21,97.25688670154948
6,32,4,0,0,11,27,113.73725850808738
6,28,11,0,1,9,20,92.49058837580615
6,31,10,0,1,8,18,91.66471087940658
10,28,10,1,0,9,23,97.18800461424452
11,31,6,1,1,7,21,98.1943418570261
11,28,2,1,1,6,25,108.0336303062673
11,32,8,1,1,11,23,102.76763854014035
14,29,12,0,0,12,23,96.2985630922785
8,28,8,0,1,11,20,90.25736634265806
16,25,7,1,1,4,24,101.1844593496501
10,34,11,0,0,7,20,95.83490219400532
12,28,8,0,1,6,20,92.82255104887
11,28,11,1,1,7,20,93.67201545902029
13,30,9,1,0,11,25,102.9418530469831
11,27,9,0,1,10,24,100.10434720164548
12,26,1,0,1,11,29,115.12330410712266
8,33,9,0,1,12,21,98.96367543300876
5,26,6,1,1,10,23,99.688963012308
16,28,6,1,0,7,23,101.32620177123792
6,30,5,1,0,7,23,104.20694145380432
13,29,9,1,1,10,23,100.45058348756254
5,25,5,0,0,6,21,98.85575036163588
11,31,7,0,0,10,24,103.2809059974638
7,32,7,1,0,13,23,102.12732804553404
13,28,10,0,1,7,23,98.73410777860067
10,29,10,0,0,8,23,96.63735295221822
12,32,11,0,1,14,21,92.46400955783808
12,31,3,0,1,12,25,108.21677907378594
10,34,4,0,1,10,23,109.6170039170718
6,23,5,1,0,11,25,103.83339733773752
9,28,14,0,1,9,18,84.0511064730492
10,28,6,0,0,7,23,99.30481761140028
10,33,9,1,1,11,22,98.0300104604251
10,30,5,1,0,7,23,101.91342978429336
11,27,8,1,0,10,27,106.70217425535658
8,30,3,0,0,9,23,103.02496455056904
11,28,9,0,0,9,21,94.04465468769352
10,33,11,0,0,10,21,97.7217819572594
11,31,2,0,0,9,24,107.2911649093653
10,33,5,0,1,11,23,105.5823557498768
14,31,6,0,1,10,25,103.5960203861375
5,27,8,0,1,13,24,101.72068196312526
8,29,10,1,0,6,18,90.4254733871634
13,33,7,1,1,12,22,100.4239774475432
11,30,4,0,1,7,23,101.04967708304387
7,26,4,1,0,12,28,109.463469738266
14,30,11,1,0,8,18,87.14988734373735
10,28,7,0,1,9,23,102.12640024149192
8,32,15,0,0,10,19,92.00522992497162
9,28,4,0,0,10,27,111.69077744242264
9,29,8,0,1,8,23,100.22847336353216
10,30,2,1,1,9,24,107.25896829523036
6,30,11,0,1,10,20,91.86380410237382
10,27,8,1,1,7,24,103.83324850728576
8,28,5,0,1,9,21,97.01670436401248
9,31,6,1,0,10,22,101.21631959525251
15,30,7,0,1,10,22,96.2283621929912
7,25,5,0,1,7,24,104.3021737698496
11,28,8,0,1,12,21,92.11967969227426
6,25,4,1,1,12,26,105.94222559571956
6,29,9,0,0,11,21,94.4708030766628
8,28,9,1,0,8,22,96.93056141252228
12,32,2,1,0,6,24,110.68576941227622
9,30,16,1,0,7,18,86.77257465368899
11,32,12,1,1,10,21,95.40924617645082
5,24,7,1,0,9,22,94.66545403224308
13,29,4,1,0,11,26,107.93546626775384
10,29,8,0,0,9,22,98.41608934332392
10,29,8,0,1,10,23,101.49681095535426
8,27,11,0,0,11,23,96.28164242479389
10,27,4,0,0,11,30,116.7490187129408
5,30,5,0,0,10,22,100.8491689474036
10,33,5,1,1,9,20,96.8873161811997
10,27,6,0,0,7,25,105.06943003962284
10,30,3,1,1,9,25,106.9092702462424
7,35,3,1,1,11,22,109.52915331164772
10,30,7,1,1,9,21,99.1211299566216
9,26,7,0,1,11,26,104.10914288462546
14,29,9,1,0,8,22,96.58705954928554
10,29,4,0,1,13,26,107.91280782037148
11,26,11,0,0,10,24,94.77917664328004
13,27,8,0,0,9,24,97.77168909865678
10,34,4,0,0,12,24,106.9442548654976
11,28,13,0,0,11,19,83.83832464772412
14,24,6,1,0,9,26,103.74494867606695
8,31,4,0,0,11,26,110.8680313122342
6,31,7,0,1,8,20,99.78834119442205
12,34,6,1,1,7,21,105.31329891356374
10,33,10,1,0,11,20,95.57666575263394
13,29,10,0,0,7,20,88.50731450257342
10,32,5,0,1,12,24,108.74151802471522
13,27,12,0,0,9,23,94.16976443772462
10,29,12,1,1,9,23,100.46101437722994
8,30,15,1,1,3,13,78.49314756962569
8,33,10,0,0,10,20,95.46618391903148
14,31,9,0,0,11,23,97.4680846590184
11,28,12,1,0,9,20,88.6713199222387
11,32,6,0,0,13,23,100.69926778513586
9,31,4,0,1,6,21,105.82107527973125
11,26,10,1,0,12,25,97.6829123473214
12,30,7,0,1,10,22,98.20350418202808
5,29,9,1,0,12,21,91.34570483948166
11,28,11,1,0,9,22,97.38533010966115
10,27,3,0,0,9,25,108.01014254251324
13,30,8,0,0,11,24,100.22492309989812
8,30,11,0,1,9,22,98.90174183735142
10,31,7,0,0,9,22,100.57322123851506
15,30,11,1,1,14,21,94.0581374382042
10,34,9,0,1,8,20,95.12412193664252
8,30,6,0,0,7,22,100.88347301503713
12,30,8,0,0,9,24,102.2576204104899
11,30,3,0,1,9,23,104.81017464524896
14,28,8,1,1,9,21,94.6850705022172
11,31,6,0,1,11,23,103.0327917241588
9,28,9,0,1,6,20,91.86087601566835
15,30,5,0,0,9,24,100.53868302034716
11,31,6,1,1,11,21,100.49805984129378
8,30,6,0,0,8,23,102.43867282277304
12,29,2,0,1,7,24,106.78127152038108
9,27,12,1,1,11,21,94.78316378253008
6,30,1,0,0,12,27,114.23927514667383
3,22,5,1,0,9,25,102.88180235908382
12,27,4,1,1,12,26,106.95375467489085
3,31,4,1,1,9,21,103.16510486059222
8,30,8,1,1,9,21,98.90434697349964
10,27,5,0,1,9,24,102.0984281679662
6,29,0,0,1,8,24,108.81008244728544
7,32,8,1,1,11,22,101.67493085058136
8,29,8,0,0,13,21,92.03159062135428
11,29,12,0,0,11,23,96.81752590691104
6,26,8,1,0,5,21,95.2243474920507
10,32,7,0,0,12,24,105.0336346146744
11,30,11,1,1,11,23,99.91910237586072
11,33,12,0,1,7,17,88.41345164444476
9,30,11,0,0,11,25,102.7792224334164
7,31,5,1,1,12,26,113.2166681517745
8,30,10,1,1,8,20,93.46945644919826
10,32,10,1,0,8,20,94.94628178519255
9,30,8,0,0,10,20,95.68209656539231
9,31,6,1,0,3,20,100.94224255775391
9,29,11,1,0,7,21,96.55109034661965
10,29,6,0,0,7,23,102.15817582046508
6,29,3,0,1,11,25,108.74726704720436
13,29,10,0,1,12,21,91.92103293532683
12,32,9,0,0,11,23,101.72481446909715
9,29,5,0,0,6,23,100.51959189590276
7,28,7,0,0,10,24,105.31548030101288
7,24,10,0,1,9,22,93.45265619995678
11,30,10,0,1,10,22,98.2160562873608
5,29,15,1,0,10,20,92.68739002093294
9,30,8,1,0,9,20,94.54328756690865
7,31,10,1,1,11,20,97.25634501265492
5,30,6,1,0,11,22,101.4423345727914
6,32,9,1,1,9,18,92.35771389173657
4,26,8,1,1,6,19,93.46708362248133
7,32,6,0,0,8,19,94.85261008684718
10,29,8,1,0,8,24,105.05201190477835
7,27,3,0,0,10,24,102.29855874452892
4,29,13,0,0,4,15,79.19800447151103
9,30,6,1,1,11,23,102.7419469610118
8,30,13,0,0,8,18,87.18999780767656
8,33,4,0,1,12,23,104.11356977451678
10,27,3,0,1,13,27,109.89311482871324
5,30,9,0,1,9,17,89.03893088422302
8,29,13,1,1,9,18,87.19429443669816
9,33,12,0,0,9,19,94.30328719469831
8,30,8,0,0,11,23,102.06341141422034
9,29,6,1,1,11,25,107.55612323640274
5,27,7,1,0,10,23,101.54461784415898
5,33,5,0,1,12,23,105.57291377955788
9,31,5,0,0,5,18,94.41003673554094
10,28,14,1,0,8,20,88.2983539283515
10,24,10,0,1,11,24,97.70767165986229
16,34,3,0,1,9,25,109.7921634777552
7,28,11,0,0,11,22,92.96051137353469
7,30,5,0,1,9,21,100.99818465909917
10,32,10,0,1,10,18,89.77460497259055
10,29,10,0,0,9,21,94.19319595446404
13,29,7,0,1,10,25,107.46170360762864
8,27,0,0,0,8,26,111.0547793888566
12,27,8,1,1,11,25,102.13000995151371
11,30,3,0,1,9,24,105.67165912376
9,28,12,0,0,12,20,90.60686249721194
9,29,12,1,0,10,24,100.11794648577306
11,28,4,0,1,8,26,109.1065355773762
13,27,6,0,1,9,25,102.37940204432216
12,34,15,0,0,9,19,86.75238272632345
6,31,9,1,0,8,19,91.85689858252805
11,27,2,1,1,10,27,112.72765884906532
12,28,8,1,1,13,26,107.7815146371331
7,28,9,0,1,8,22,101.5882267199208
10,31,6,1,0,10,24,104.83466048832727
7,28,4,0,0,12,25,107.83490213040312
9,32,4,0,0,12,25,109.27971580621956
11,30,9,1,1,9,22,98.76700569061924
10,28,4,0,1,6,24,107.43264849126314
6,32,4,0,1,10,24,109.5511044645465
10,30,8,1,1,6,19,93.5967641361194
12,30,15,0,1,11,20,90.65816024154232
11,32,8,0,1,7,21,98.87419657408952
10,33,8,0,0,9,20,95.56152438416844
7,28,2,1,0,14,25,107.03016487161727
11,27,10,0,1,11,23,98.10308490964044
8,27,11,1,0,8,19,89.44122970976298
8,28,5,0,1,11,23,103.69634527576906
7,25,11,1,1,12,22,93.42797016021969
10,32,8,0,0,7,18,90.49401292214952
5,27,8,1,1,10,21,98.0700421178276
11,31,3,0,0,12,24,105.80777540485448
15,30,9,0,1,8,23,99.84253436787664
9,30,7,0,1,10,21,96.07893062874857
4,29,7,0,0,11,23,100.88555614892552
12,29,11,0,1,11,23,101.1247781020539
8,29,4,0,1,9,23,104.76241390411128
9,30,10,1,1,5,14,80.94554222807227
11,30,5,0,0,9,21,98.67890359707116
7,26,7,0,1,9,23,98.53533551299442
5,30,9,1,1,5,19,94.37410058871676
7,30,7,0,0,13,26,108.58846792170658
10,33,14,1,1,12,18,87.5522647133378
10,30,6,1,0,11,23,99.84163887808516
9,29,8,1,1,10,21,97.11367026264246
11,30,8,0,0,11,23,98.23814995511898
8,27,9,0,0,8,23,95.28293479085004
10,27,6,1,1,10,26,106.81943441874482
12,32,10,1,0,7,22,97.97898792115288
9,29,12,0,1,10,20,90.890580991277
5,30,9,0,0,9,22,100.00780965506476
7,30,9,1,1,8,19,97.62686225242986
10,30,1,0,1,6,25,110.77356282816292
9,27,9,1,0,11,24,98.56238083894117
10,30,7,0,1,6,20,95.76400853635568
11,30,2,0,1,7,22,103.75381780388771
4,24,14,0,1,8,21,94.00499210804352
12,33,12,1,0,8,20,95.63859039549462
9,31,7,0,0,12,26,105.19361871503688
14,28,6,1,0,6,25,105.0874703321034
9,37,3,0,0,7,19,102.18055198258892
9,32,8,0,1,9,23,104.17947771504969
10,29,12,0,1,7,18,87.88454770380856
11,32,7,0,1,9,21,97.63368079746628
12,28,5,1,1,8,24,103.35558863212576
13,25,7,1,0,10,27,103.99325657922336
8,31,6,0,0,8,21,98.85532921868676
13,28,8,0,0,12,27,105.17907861617698
12,29,13,0,1,8,18,87.72019456908784
10,30,13,0,0,8,20,91.34054092982652
11,27,0,1,0,9,26,110.03082617412107
13,30,11,1,1,11,22,97.99655499292952
9,25,8,0,1,12,25,103.2951948502402
13,35,8,1,0,10,20,96.34832962157752
11,30,12,1,1,11,21,96.39152307112482
10,29,5,0,1,9,22,100.76438026017632
10,31,5,0,1,8,21,99.88122466708391
9,31,10,0,0,9,22,97.0041999570176
15,29,5,1,0,10,27,110.65369133390476
12,31,8,1,0,11,22,98.23018457926912
13,29,13,0,0,6,19,87.68094105203839
12,31,7,1,0,8,23,100.26614099968636
11,26,4,0,0,14,27,106.413051832891
9,27,13,1,0,12,23,95.52728815287205
14,31,5,1,0,11,24,104.94801070853772
9,31,7,1,0,4,20,99.16533578845498
10,31,7,0,1,10,23,102.9378291354812
10,26,6,0,0,9,24,98.0233905271439
8,29,6,1,1,9,21,98.67324272658703
8,24,6,0,0,9,26,103.21811116532815
15,31,3,0,1,11,27,110.61600476263156
9,30,2,1,0,9,25,108.7505531505756
6,34,13,0,0,6,15,84.4089623080931
8,32,7,0,0,11,23,101.47045012339365
7,29,6,1,0,10,23,100.34091877245535
10,26,15,0,0,11,23,93.58556366228494
10,29,8,1,0,7,23,105.03129806776664
10,29,7,0,1,11,22,97.86616380206654
10,31,10,0,1,7,21,94.88216052991112
8,28,3,0,1,10,27,112.25222152509996
11,33,4,1,1,10,21,102.01232111632984
8,26,6,0,0,8,24,101.07550758424864
10,32,6,1,1,10,24,106.2680311657348
5,31,10,1,0,10,19,93.46693858201
12,31,4,1,0,11,26,107.00884243360298
8,27,16,0,0,13,22,87.91210511211929
7,31,6,0,0,9,22,101.41397860507796
8,30,8,1,0,9,20,96.48094817337466
10,33,3,0,1,7,21,103.23667112615428
13,32,9,1,0,10,18,89.50829413027964
11,27,8,1,1,9,20,92.4808527380835
4,30,9,1,0,8,24,105.44779772928176
13,29,4,0,1,15,27,108.31893679384658
11,28,6,1,0,9,22,96.66836702650076
8,27,11,0,0,5,19,88.40984750512042
8,34,13,0,0,9,19,93.27591021113452
7,31,9,1,1,11,23,104.1270056259748
6,29,16,1,1,11,17,80.82838901227447
11,31,3,1,0,9,22,104.54339141171802
11,28,12,1,1,12,22,93.7472997532578
9,25,13,1,1,7,23,97.62588017255946
14,27,6,1,0,9,26,104.69739370275153
10,30,6,1,1,14,24,103.00334818652858
15,32,8,0,0,8,23,100.6572237572849
12,27,11,0,1,9,22,92.7617756268386
9,27,10,0,0,13,22,93.39525684714984
11,25,4,0,0,9,26,101.81519078318765
7,31,7,1,0,9,21,97.47630595976077
8,28,8,1,1,6,18,90.02174776111308
14,30,10,1,1,10,22,98.03960200451424
10,25,5,1,0,13,31,113.39856887342444
10,29,10,1,0,9,22,97.14422958932045
7,26,6,1,1,13,22,95.75461340091546
13,32,10,0,0,9,23,101.10523242337938
7,31,10,1,0,9,20,95.0059917644478
9,29,8,0,0,7,21,97.05617843568638
8,31,4,1,1,11,22,102.40208657577634
10,28,10,0,0,10,22,94.85957535167162
4,31,9,0,1,11,21,98.9396720440544
10,27,8,0,0,12,25,99.16607941981216
12,30,11,0,0,11,22,94.90680963339771
9,29,6,1,1,10,23,101.55644175953636
9,24,7,0,0,7,25,102.48373754984588
9,30,4,1,1,12,25,107.61416690872584
9,31,8,0,1,7,19,93.65415659506876
9,29,11,0,1,12,21,92.91950431455882
10,29,7,0,0,10,24,102.69500564945211
14,30,6,0,0,12,26,107.2368688659756
11,29,10,0,1,8,20,91.81946538039765
13,29,7,1,0,7,20,92.45190005122372
10,29,5,1,0,12,27,110.23288880408518
8,30,12,0,0,7,17,83.91574606382152
9,29,9,1,0,8,20,91.88973911248418
9,26,9,1,0,8,24,101.33785614177695
11,28,7,1,0,13,26,103.56901837590308
13,30,8,0,0,12,24,100.05946304179206
9,33,4,0,1,12,23,103.40066193655068
13,31,12,1,1,9,18,89.74454865523883
7,32,9,1,0,10,20,96.29849184688136
6,27,8,1,1,10,21,94.5971503076466
9,28,4,0,0,9,28,111.08073436082844
11,29,8,1,0,8,24,101.2689487049162
6,28,8,0,0,7,19,91.59724183311933
10,32,8,1,1,12,22,98.87303355892934
10,31,9,0,0,9,22,98.46753889901132
5,28,4,1,1,10,25,108.5489925336708
9,31,3,0,1,10,21,100.28396207344028
7,30,11,1,1,12,21,97.57294134403344
10,31,3,1,1,9,22,104.73936392276642
8,29,7,0,0,8,21,96.97804151384774
8,31,10,0,0,6,19,93.69907443886154
13,29,10,1,0,8,22,96.93118568330188
7,29,9,1,1,13,23,103.039040937956
11,26,7,0,1,10,25,101.78868995510086
12,31,9,1,1,11,23,101.20962552962456
5,31,4,0,0,9,20,97.09009751674115
5,26,6,1,0,8,22,98.73815501192716
9,29,13,0,0,13,24,98.90776507328556
14,31,6,0,1,9,27,112.3990319286817
12,34,5,0,1,10,23,103.43197276872868
9,32,11,0,1,7,20,95.52969913244746
4,29,7,1,0,10,22,101.57452333389946
14,29,4,0,0,6,23,100.05974657778012
7,32,7,1,1,8,19,97.49042566088772
6,31,6,1,0,10,21,99.37624877058762
5,28,9,1,0,10,22,96.74974817568597
14,27,9,1,0,12,25,100.52288159083166
11,26,9,1,1,10,24,99.5790412903383
8,33,8,1,0,7,20,97.74242961120936
7,31,10,1,0,11,22,97.17342059255176
10,29,9,1,1,10,22,97.71036288056796
11,27,6,0,0,12,26,105.34280017518849
11,31,11,0,1,11,19,91.25321157906647
10,29,13,0,1,10,19,88.3305325666356
18,27,10,1,0,10,23,95.32376869543546
11,24,6,1,0,6,23,98.48373708897894
8,29,6,0,1,9,21,96.55035387361636
16,32,6,1,0,9,25,106.6415472197896
14,30,4,1,1,13,27,113.87514625139728
10,30,7,0,1,9,21,97.20029439126354
