education_years,prior_offenses,employment_gap_years,has_dependents,first_time_defendant,offered_legal_counsel,attended_legal_counsel,sentence_length_months
3,3,0,1,1,1,0,46.46307178390716
4,3,0,0,1,1,0,46.24653562314142
4,2,0,1,0,1,1,55.49069181155676
4,2,0,0,1,1,0,47.00427858502505
2,3,1,1,0,1,1,60.3601646603977
2,2,0,0,0,1,0,49.13298023547946
9,2,0,1,0,1,0,40.4552885064865
1,2,0,1,1,1,1,56.92969283097458
0,2,0,1,1,1,0,51.03914265702303
2,3,0,0,0,1,1,56.52741140376225
1,2,0,0,1,1,1,59.22483539028954
5,3,0,0,0,1,1,56.41539650968902
2,2,0,1,0,1,1,58.8738635725416
-2,1,0,1,0,0,1,60.31686495360859
4,2,0,1,0,1,1,55.64483010095331
5,3,1,1,1,0,0,46.49190443768693
0,2,0,0,0,1,1,60.012934613223
5,2,0,1,1,1,1,55.5684620306222
5,3,0,1,1,1,0,46.98433514877043
8,2,0,0,1,1,1,53.394906991480575
7,3,0,1,1,1,0,43.511258075746085
2,4,2,1,1,1,1,58.95268284721997
2,2,1,1,0,1,1,57.59800198606671
5,4,0,0,1,1,0,46.84005375947138
2,3,0,1,0,1,0,46.85913040807991
5,3,0,0,1,0,0,46.864230676686624
1,2,0,1,0,1,0,49.05560285175108
3,2,-1,1,0,1,1,55.32871142093611
0,3,1,1,0,0,0,50.39495446198262
3,3,0,1,0,1,1,56.37879466617183
7,3,0,0,1,1,0,43.89499228618895
-1,3,-1,0,0,1,1,58.43624835037732
2,3,1,1,1,0,1,59.27424112873433
1,3,0,1,1,0,0,46.779572903120005
2,3,0,1,1,0,0,48.60144979373821
4,3,0,1,0,0,1,57.308900502819824
4,3,0,0,0,1,0,45.86203145604277
3,2,0,0,0,1,1,57.43158719923756
8,3,0,1,0,1,1,54.14052522513922
3,2,1,1,1,1,0,48.59902864511086
5,3,0,1,1,1,0,45.28862985385309
5,3,0,0,0,1,0,45.18757900725441
4,2,0,0,0,0,0,46.452790995713706
7,3,0,0,0,1,0,45.14693493773913
6,3,-1,1,0,1,0,44.62403661021564
4,2,0,1,0,1,0,45.95369369887631
1,3,0,1,1,1,1,58.28601719990879
2,3,1,0,0,1,1,61.19675520169952
6,3,0,1,0,1,0,45.607811488214125
3,2,0,0,1,1,1,57.0037750096956
2,3,0,0,1,0,0,49.24376841383474
2,3,0,0,0,1,0,50.37367047361924
4,2,0,1,1,1,0,46.1349926676369
7,2,0,1,0,0,0,44.44229544276144
0,3,0,0,0,1,0,50.58795704028977
5,2,0,1,1,1,1,54.869433453850434
4,2,0,0,1,0,0,45.94752068308602
6,2,0,0,1,1,0,44.87866246629747
9,1,1,1,1,0,1,51.91508433860413
5,2,0,1,1,1,1,54.877486471346046
6,2,0,1,1,1,1,53.61094910534315
7,3,0,0,1,1,0,45.63529844356211
4,3,0,1,1,1,1,56.32034068814009
2,2,0,1,0,1,1,56.897754399962594
-1,2,0,0,0,1,1,62.29888843460184
5,1,0,1,1,1,1,53.19699589066347
4,2,0,1,1,1,0,45.62721298040293
4,3,0,0,0,1,0,46.80449012604561
0,3,0,0,1,0,1,59.93299214749663
4,3,0,1,0,1,1,54.685551899472834
4,2,0,0,0,1,0,46.24611735963601
3,2,0,0,1,1,0,46.811335759596886
4,2,0,1,1,1,1,56.48698885788721
4,2,0,1,0,0,1,56.93013684098803
3,2,0,1,0,1,1,58.021099979842525
1,2,0,1,1,1,0,48.72190949402605
3,3,0,1,0,1,0,47.13011342639415
2,2,0,1,1,0,1,56.36313785467608
0,1,0,0,1,1,1,58.656999233482864
5,2,0,1,0,1,0,45.679454437753904
6,4,-1,0,1,1,0,44.09370445609331
4,3,0,1,0,1,1,55.55083366464921
0,3,1,1,0,1,1,59.88970890019564
5,2,0,1,1,1,0,46.02036608886621
4,2,0,1,1,1,0,45.39725983079717
4,2,0,0,1,1,0,46.790254621363566
6,3,0,0,0,1,0,42.37018337595114
2,2,0,1,1,1,1,56.905331177488414
3,3,1,1,1,0,0,46.8556433892353
4,3,0,0,1,1,0,47.59619052299088
4,2,0,0,1,1,0,45.97966188519593
7,2,0,1,0,0,1,55.070082454543176
3,3,0,1,0,1,0,47.47331813608501
6,3,1,1,1,0,0,44.38319230142124
0,3,1,1,1,0,1,59.53275481229302
6,2,1,1,0,1,0,46.53414881338866
4,2,0,0,1,1,1,57.22901431942824
4,3,0,1,1,1,0,46.25307786255902
3,3,0,0,0,1,1,58.5302639307472
3,2,1,1,0,0,1,58.86958772072383
1,2,0,0,0,1,1,58.500410954888366
4,3,0,1,1,1,0,47.15705496367501
1,3,0,1,1,1,1,59.25163851698703
6,2,0,1,0,1,0,45.61720350936452
3,3,0,0,0,1,0,46.87866007475746
5,2,0,0,1,1,1,55.12375555796595
0,2,0,1,1,0,1,57.65095592043507
4,3,0,0,0,1,1,56.17085771324768
5,1,0,1,1,1,1,54.01874224139426
3,3,1,1,0,1,1,58.76901691131562
3,3,0,1,0,1,1,59.0667307372928
3,3,0,0,1,1,0,48.02318359422696
0,2,0,0,0,0,1,58.77491971917465
5,3,0,0,0,0,0,45.18823678934575
0,2,0,1,1,1,1,60.387219338652045
8,2,0,0,0,0,0,44.59924041174486
2,3,0,0,1,0,0,48.92016335484467
3,3,0,0,0,1,0,48.54824548313683
2,2,0,0,0,0,0,50.037995863107376
2,3,0,1,0,1,0,47.93938800587612
5,4,0,1,0,1,0,44.34687410464306
1,2,0,1,1,1,1,59.13026937261337
7,2,0,1,0,1,0,44.413834916777816
1,3,0,1,0,1,1,59.01022311033018
3,3,1,0,1,0,0,48.50827802375683
5,3,0,1,0,1,0,46.61491180687109
3,3,0,1,1,1,0,46.963193506299206
5,3,0,1,1,0,0,46.47992269421074
3,3,0,0,0,0,0,49.1383191868344
7,2,0,1,1,1,0,42.57113203163199
3,3,0,0,1,0,0,48.16196247848655
4,3,0,0,1,0,0,46.83923912398931
5,2,-1,0,0,1,0,43.8270952525521
3,2,0,1,1,1,0,47.52122515807528
7,3,0,1,1,0,0,41.66204634174164
3,2,0,0,1,1,1,57.95493805852531
0,4,0,1,0,1,1,59.77080884869783
2,2,0,1,1,0,0,47.74521342373407
5,3,0,1,1,0,0,44.10148737400894
5,3,1,0,0,0,0,45.05904847136315
6,3,0,0,1,0,0,45.84559228649604
6,1,1,1,0,0,1,55.56909614401806
3,2,0,0,0,1,1,56.62384297740615
4,3,0,0,0,1,1,55.14048909598536
2,2,0,0,0,1,1,57.8032102698396
2,3,0,1,0,0,1,58.12794837221472
2,1,0,0,0,1,1,58.67992698165515
2,3,0,0,1,1,0,48.17890235674452
4,3,0,1,0,1,0,46.2549073167298
3,2,0,1,1,1,1,54.917309959890325
7,3,1,0,0,1,0,43.5801155020569
4,2,1,1,0,0,0,48.18376501357132
6,3,0,1,0,0,1,54.77107346651814
3,2,0,1,0,0,0,47.01590854159196
5,2,0,1,1,1,0,45.66866759470132
6,2,0,1,0,0,0,43.96096854712212
1,2,0,0,1,1,0,47.04618745942845
7,2,0,0,0,1,1,52.1431944144243
1,3,0,0,0,1,1,60.848724641307015
0,2,0,0,0,1,1,58.70486837496608
5,3,0,0,0,1,0,44.521809401989984
1,2,0,0,1,0,1,59.21641156149381
1,1,0,0,0,1,1,57.57694796012251
1,2,0,0,0,0,1,58.460246900153805
1,2,0,1,1,1,1,57.03684770593968
3,3,0,0,0,1,0,48.340548499456375
3,2,0,0,0,0,1,57.74180147072791
7,2,0,0,1,1,1,53.808910336279936
1,2,0,1,1,1,0,48.73947923112523
5,2,0,1,1,1,1,53.30268538171445
7,3,0,0,0,1,0,46.87284698172632
2,2,0,1,1,1,1,56.65731670185083
8,3,0,1,0,1,0,45.99870704506496
7,3,0,1,1,1,0,43.95296675418476
3,2,0,1,1,0,1,57.3283363006161
1,3,1,1,0,1,1,60.96486324647724
0,2,0,1,1,1,1,57.6302895493837
5,3,2,1,1,0,0,47.46519251160381
5,3,0,1,0,1,0,45.52617492751054
4,2,0,1,0,0,0,45.958480067886
5,2,0,1,0,1,1,53.95543883299446
4,3,0,0,0,0,0,47.14837005459437
3,2,0,0,0,1,1,56.89802853371186
6,2,0,0,0,1,0,45.56936312298154
2,2,0,1,0,1,1,56.76828826803962
2,3,0,1,0,0,0,47.8352875095925
3,3,0,1,1,0,0,48.05327790705992
5,2,0,1,1,1,0,44.8345295768948
1,3,0,0,1,0,0,49.522912976926094
6,2,0,1,1,1,1,53.059318698026026
3,3,0,0,1,0,0,48.08839860466956
4,3,0,0,1,0,0,47.23317739216891
2,3,-1,1,0,1,0,48.514147295090346
0,3,1,1,1,1,0,49.66414520911838
6,1,0,0,1,1,1,54.43795253774642
3,2,0,0,1,1,1,54.61896923034112
1,4,0,0,0,1,0,49.11213495980513
4,2,-1,0,0,1,1,55.53457233839002
3,2,0,0,1,1,1,57.10678499811132
2,2,0,1,1,0,1,56.65703824069628
2,1,0,0,1,1,1,58.74150303221718
2,3,1,0,1,1,1,59.57426133556176
1,3,0,1,0,0,0,51.26677403988013
5,2,0,1,1,1,0,46.11777184141848
2,4,1,0,0,0,0,49.10127275014728
4,2,-2,0,1,0,1,54.65908430536619
3,2,0,1,0,1,1,54.90195334262768
0,2,0,1,0,1,1,60.48800545397429
3,3,0,1,1,1,0,46.37964037199745
2,2,0,1,1,1,1,55.46677322781945
1,3,0,1,1,1,1,58.556191479679605
3,2,0,0,1,0,1,57.50619183326688
-1,3,0,0,0,1,1,61.400921284224765
0,2,0,0,0,1,1,59.25170067679628
4,1,0,1,0,1,1,55.19345964982532
0,2,0,1,0,0,1,59.3080838383019
1,3,0,1,1,1,1,60.12499293338091
2,2,0,1,1,1,1,56.73294018003583
0,3,0,0,1,0,0,48.26238957877673
6,3,0,1,1,0,0,43.58801478162566
5,3,0,0,1,1,0,46.02298673661952
5,2,0,1,0,1,0,45.652261040439626
6,2,1,1,0,1,1,55.27849310159679
4,2,0,1,1,0,1,55.0507650814424
1,3,0,1,0,1,0,50.1291677872585
2,2,0,0,0,1,1,57.72233034164857
0,2,0,1,1,1,1,59.23111974418663
0,3,0,1,1,1,1,59.181415665296505
5,2,0,0,0,1,1,57.03977109283957
7,4,0,0,1,1,0,43.48759448381642
8,3,0,1,0,1,0,42.34277172253918
5,2,0,0,0,1,1,56.61997916699218
1,2,0,1,1,1,0,49.6617084159644
4,2,0,1,1,1,1,54.82046773121797
3,1,0,1,0,0,1,55.7913596303008
8,3,0,1,0,0,0,42.03941807562219
3,3,0,0,0,1,0,49.84794592057815
3,3,0,1,1,0,0,48.0960458694063
1,3,0,0,0,0,1,59.06089354983179
4,2,0,0,1,1,1,55.33893577575549
3,2,0,0,1,1,1,56.33835792985632
5,3,0,1,1,1,0,47.13090092170032
0,3,0,1,1,0,0,50.38126313940285
2,3,0,1,1,1,0,47.55179777172599
8,3,0,1,1,1,0,43.00366608815204
5,3,1,1,0,0,1,57.20928296949955
6,2,0,1,0,1,1,54.11033077592385
6,3,0,1,1,1,0,45.15556692308697
3,3,0,1,0,1,1,58.16687158625663
2,2,0,1,1,1,1,58.74238467106396
6,4,0,0,1,1,0,44.128966136543895
1,3,0,1,1,1,1,56.80776865429296
5,2,0,1,1,1,0,45.47391834089884
5,2,0,0,1,1,1,54.50130455490872
3,3,1,0,0,1,1,57.4491719679651
8,2,0,1,1,1,0,43.37320376779391
5,3,0,1,0,1,0,45.07326191571633
2,2,0,1,1,1,1,57.64161375565622
5,1,0,1,0,1,1,55.98517006615408
5,2,1,0,1,1,1,56.25494525562485
4,2,0,0,1,1,0,45.770222188636176
6,2,0,1,1,1,0,43.96490174736423
2,2,0,1,0,1,1,58.113795573637184
-2,2,1,0,1,0,1,62.01472202170388
3,3,0,0,0,1,0,48.33939113176046
3,2,0,0,1,1,1,57.34851926662575
2,1,0,1,0,0,1,56.86080317568058
2,2,0,1,1,1,1,58.13600174647917
4,2,0,1,1,0,1,55.98691445429449
6,2,0,1,1,0,1,54.80801238210405
8,3,0,0,1,0,0,44.82134782635684
3,3,0,1,0,0,0,48.46628069297232
2,3,0,0,0,0,0,48.96783209532423
6,4,0,1,1,1,0,46.34421111729412
5,2,0,0,1,1,1,55.84990555749806
3,3,0,1,0,1,0,47.65156449547548
2,1,0,1,0,1,1,59.366404767021535
2,2,0,1,1,1,1,56.16902859448747
6,2,1,1,1,1,1,54.0936126105405
1,3,1,1,0,0,1,60.6019541740524
6,3,0,1,1,1,0,45.97332896084082
4,2,0,1,1,1,1,55.92587183428639
0,2,0,1,0,1,1,59.586791257325885
2,3,1,1,1,0,1,59.09364932226938
0,2,1,1,1,1,1,61.69366253741083
4,3,0,0,1,0,0,47.80928590123491
9,2,0,1,0,0,0,42.58960000488555
6,1,0,1,0,1,1,53.41778441879306
6,3,0,0,0,1,0,45.32339815320716
6,3,0,1,1,0,1,56.21274825829375
4,3,0,1,1,1,1,55.20052820808392
2,3,0,1,0,1,0,48.7004292019382
2,2,0,1,0,1,1,58.79767781735032
4,3,0,1,0,1,1,56.34946573176257
4,3,0,0,1,0,0,45.4662310904397
3,3,1,1,1,1,1,56.52454687835227
4,3,0,0,0,1,0,48.18064610395066
2,2,0,1,0,1,1,58.86369348606778
4,2,0,0,1,1,1,55.37716892547897
6,2,0,0,0,1,0,44.58377546111316
3,3,0,0,1,1,0,47.266351857340425
3,2,0,0,0,1,0,46.77303131408046
4,3,0,0,0,0,0,49.09905604758417
5,3,1,1,0,1,1,55.59272817508167
4,3,0,1,0,0,0,45.0205338820934
3,3,0,0,1,1,1,57.2925350787133
5,2,0,1,1,0,1,55.44251227853077
4,2,0,1,0,1,1,53.90626688253194
4,3,0,1,0,1,0,48.44743032279888
9,2,0,0,1,1,0,42.61879234584997
4,2,1,1,1,0,1,57.22327431152573
4,3,-1,1,1,1,0,46.05804360166306
2,3,0,1,1,1,1,55.34848210360001
2,2,0,1,1,1,1,57.45937221876103
4,3,0,1,0,0,0,47.572448961132096
7,2,0,0,1,0,0,43.60720777331427
2,3,0,0,1,1,1,60.03278715565565
2,3,0,0,1,0,0,46.14934834978256
8,2,1,0,1,1,0,44.21224444866413
3,2,0,0,1,1,1,58.4028810045708
6,3,0,1,1,1,0,45.68491169604341
2,3,0,0,1,1,0,48.38071631905631
7,2,0,1,0,0,0,43.52367021443028
6,2,0,1,1,1,0,43.09818651435336
3,2,0,1,0,1,1,58.25590663401421
7,2,0,1,1,1,1,53.8693448030517
8,2,1,0,1,1,0,44.82289683476169
4,3,0,1,1,1,0,46.88378182969741
4,2,-1,1,1,1,0,44.65226961882183
1,2,0,1,0,1,1,59.18632909692147
3,2,0,0,1,1,0,46.544713194819096
2,3,0,1,1,1,1,58.07601169384302
1,3,0,0,0,1,0,49.45029777456568
5,2,0,1,0,1,1,56.50136340873778
2,2,0,1,1,0,0,48.174072834697135
3,2,0,1,1,1,1,53.76994524759
4,2,0,0,0,1,1,56.09010062715533
3,2,1,1,1,0,1,58.69821149478547
3,3,0,1,1,1,1,57.20156060418592
3,3,0,1,1,1,0,49.0202016288945
5,2,0,0,0,0,0,46.40216353445571
0,2,0,1,1,1,0,49.90944770891016
2,2,0,1,0,1,1,58.00962597901028
10,3,0,1,0,1,0,41.93356090677366
6,2,0,1,1,1,1,53.30422428112607
4,3,0,1,1,0,0,46.91350935558844
6,2,0,0,0,1,1,56.47964098332619
0,3,0,0,0,1,1,59.34780465004466
2,2,0,0,0,0,0,47.21396467989416
7,3,0,0,1,1,0,45.44884383698912
7,3,0,0,1,0,0,42.478450323249
2,2,0,1,1,0,1,58.62216118094356
2,2,0,0,0,0,1,58.69321378029532
1,3,0,0,0,1,1,58.33959182248382
1,2,0,1,1,0,1,57.60385066721811
1,3,0,0,1,0,0,48.27828717795038
6,2,0,0,0,0,0,45.50308539006049
5,2,0,1,0,1,1,53.778654230806985
4,3,0,0,0,0,0,45.76162662037435
2,3,1,0,1,1,0,50.28247483800583
5,2,0,1,0,0,0,47.468282353699614
5,2,0,0,0,1,0,44.68976176179159
4,4,0,0,0,1,0,47.080042242888034
4,2,-1,1,0,1,1,56.00748183983465
5,3,0,0,0,0,0,46.50465757961623
4,2,0,1,1,1,1,54.11206506505286
5,2,0,0,1,0,1,56.27454609638096
4,3,0,1,0,0,0,45.60147747564673
3,3,0,1,0,0,1,55.67015931981246
1,3,0,0,1,1,0,48.6844893935942
6,2,0,0,1,1,1,56.44480429317401
2,3,0,1,0,1,0,50.75795320860247
3,2,0,0,1,0,1,55.57462555204749
3,2,0,1,0,1,1,55.64761615959107
7,3,0,1,1,1,0,42.52039276997752
0,4,0,1,0,1,0,50.28959715692991
6,3,1,1,1,1,0,46.50807394477641
2,3,0,0,1,0,0,47.439845606598354
4,3,0,1,0,1,0,46.59791261104116
3,2,0,1,1,1,1,54.837366591807886
1,3,0,0,0,0,0,49.56583316305641
7,2,0,1,0,1,1,53.976227016161694
2,3,0,0,0,1,1,57.86345928490382
3,1,0,0,1,0,0,44.344421244063504
4,3,0,1,1,1,0,46.29230793181861
7,2,0,1,0,0,0,45.21358186803884
0,3,0,0,0,1,1,58.95995443641848
5,1,0,1,0,1,1,55.47869278842045
4,1,0,1,1,0,0,45.80757640822125
7,2,0,0,1,0,0,42.68347023481129
6,2,0,1,1,0,1,54.98476393546618
6,2,0,1,0,1,1,55.47251228237064
5,2,1,0,0,0,1,55.50512819270983
3,3,0,1,0,1,1,56.67304836508963
3,2,0,0,1,0,0,47.534551775043774
1,2,0,1,0,0,1,58.73323041316589
7,1,0,0,1,0,0,42.35410174558273
3,2,0,0,1,1,1,56.98202385912472
4,2,0,1,1,1,1,55.23760513619792
5,3,1,1,0,1,1,56.85661066951799
3,2,0,1,1,1,1,55.9131901869533
3,1,0,1,1,1,1,56.82054741545153
5,4,0,1,1,0,0,45.48717702818752
4,2,0,0,1,0,0,46.499220360443765
2,3,0,1,1,1,1,57.83083279257403
6,2,0,0,0,1,0,44.48379823107538
5,2,0,1,1,0,1,54.19361437112038
2,2,1,0,0,1,1,59.308234261985774
0,2,0,1,1,1,1,60.05949613226632
7,2,0,1,1,1,0,43.56320955349179
3,2,1,1,1,1,0,48.19850796393724
6,2,0,0,0,1,0,43.995731949609656
3,3,-1,0,1,1,0,47.51918708116614
6,3,0,1,1,0,0,45.36766412774565
6,3,0,1,1,0,0,46.17941193384745
4,3,0,1,1,1,0,46.88451902370514
5,2,0,0,1,1,1,55.996563600337225
4,2,0,1,1,0,0,47.05351660146489
8,2,0,1,1,0,0,42.14512435974567
5,1,0,1,0,1,1,54.17233123346917
5,4,0,0,1,1,0,45.99849186510826
0,3,0,0,0,1,0,50.31543740798437
3,3,0,1,1,1,0,47.56222329398504
7,2,1,1,0,1,0,44.70207633447874
5,2,0,1,0,1,1,54.2150677075043
6,2,0,0,0,0,0,46.19146507459346
0,3,1,0,1,1,1,59.41155777659743
3,3,0,0,0,1,0,47.124363898855655
7,3,1,1,0,1,0,44.99536585809128
1,3,0,0,1,0,0,47.79725997071535
6,1,0,0,0,0,1,55.45295462854992
5,2,0,1,0,0,0,45.39853527145344
7,4,0,0,0,1,0,45.638271053161695
1,2,0,1,1,0,1,58.73169271284956
1,2,0,1,0,1,1,59.05890339145327
1,3,0,1,1,0,0,48.98918615938775
3,3,0,0,1,1,1,56.55658044132926
6,3,0,1,0,1,0,44.74339944213577
4,3,0,1,1,1,0,45.59208212910099
1,3,0,1,0,1,1,58.14321240803605
3,3,1,0,0,1,1,57.20229576606512
0,3,0,1,0,1,0,51.07407882325956
5,3,0,1,1,0,0,47.197340300233606
7,3,0,0,0,1,0,44.04950519027812
1,1,0,1,0,0,1,58.47459507876567
3,2,0,1,0,1,1,57.41314730255328
-1,3,0,1,0,0,1,60.51271139390577
6,3,0,0,0,0,0,46.39457533015157
5,2,0,1,1,1,0,43.46473586414072
5,3,0,0,1,1,0,46.83912393460926
3,2,0,1,0,1,1,56.49986988000641
3,2,-1,0,0,1,0,48.40433656178261
1,3,0,1,1,1,0,49.91942537719829
1,3,0,0,0,1,0,50.15426077632969
4,2,0,1,0,1,1,59.975618673064574
8,3,0,0,0,1,0,44.39692788096775
6,2,-1,0,1,1,1,52.92974685808763
1,2,0,0,1,1,1,59.46915090666406
4,2,0,1,0,1,0,45.64253838187635
5,2,0,0,1,1,0,45.88078092464588
3,2,0,1,0,1,1,57.369501094585694
3,3,0,1,0,1,1,57.29274173947413
6,2,0,0,1,0,1,52.79142873948908
0,2,1,1,0,1,1,59.1251235742855
-1,2,0,0,0,1,1,60.5256523536479
3,2,0,0,1,1,1,56.33992089965607
5,2,0,1,1,0,0,44.887874469385466
4,3,0,0,0,1,0,47.3448848838295
3,2,0,1,1,0,0,47.46928862102373
3,3,0,0,1,0,0,47.210302313915385
0,2,0,0,1,1,0,48.89802451563013
5,3,0,0,1,1,0,45.42272196600579
0,2,0,0,0,0,1,60.74556021704218
2,2,1,1,1,0,1,57.57661057142933
7,2,0,1,0,1,1,53.75576825414432
8,3,0,1,0,1,0,42.63972251377919
2,2,0,0,0,1,1,57.9256365508612
5,3,0,0,1,1,0,44.8476103758811
4,2,0,1,1,0,1,55.00844167133832
2,4,1,1,1,0,0,48.09521346759021
2,3,0,0,1,1,0,48.306940712959886
0,3,0,0,1,1,0,48.39316693014138
1,3,0,1,1,1,1,58.41112533456083
1,2,0,1,0,1,1,58.12253171827493
4,3,0,0,0,1,0,45.60545726759046
5,3,1,0,0,1,1,57.04748727359107
6,3,0,0,0,0,0,44.522968821437445
5,2,0,0,0,1,0,46.02990712471028
5,3,0,0,1,1,1,54.8473042444483
3,2,0,1,0,1,1,56.37475630454738
0,2,0,0,0,1,1,59.55632377268506
3,2,0,0,0,1,1,57.80549521070183
4,4,0,0,0,0,0,47.168071160321134
2,2,0,1,1,1,1,58.02665657272754
1,1,0,0,0,0,0,51.419658342197344
3,2,0,1,1,1,1,57.940291746617646
3,2,0,1,1,1,1,56.03088187015195
4,3,-1,0,0,1,1,56.73096317584964
3,2,0,1,0,1,1,57.07111755069211
3,2,0,1,0,1,1,56.63510993517268
0,2,0,0,0,1,1,60.17994488791695
6,3,0,1,0,1,0,45.22916547191984
4,3,0,1,1,0,0,44.28244595707888
2,2,0,1,1,1,1,56.68895430475598
5,3,0,0,0,0,0,47.10405591286418
5,3,0,0,0,1,0,47.30998334799243
-1,3,1,0,1,1,1,60.59919424140092
4,2,1,0,0,1,1,56.556681192032784
2,2,0,0,1,0,0,48.972342677804455
2,3,0,1,1,1,0,49.6330321661405
6,3,1,1,0,0,0,45.44370988250347
2,3,0,1,1,0,0,47.10850397403437
0,2,0,1,0,0,1,59.56906824616036
3,3,0,0,1,1,1,57.643823048673895
4,3,0,0,0,1,0,48.93972164519161
6,2,0,1,0,0,0,46.00193514051532
1,2,0,0,0,1,1,57.3827834639338
7,2,0,1,0,1,1,53.27930877743093
2,2,0,1,0,1,1,58.50105110666594
5,2,0,0,0,1,1,56.29977739119294
3,2,-1,0,1,1,0,45.32161874800347
4,2,0,1,0,1,1,56.34398063901054
4,2,0,1,0,1,1,57.05203681114016
5,2,0,0,1,0,0,45.67835853550565
4,3,0,0,0,1,1,57.20416606504256
3,2,-1,1,1,1,1,55.74155018608923
7,3,0,0,1,0,0,44.830260272498734
0,3,0,1,0,1,1,60.438757669264376
1,3,0,1,1,0,0,48.54908555062538
3,2,0,1,0,1,1,56.45721457507789
6,3,0,0,1,1,0,44.703908483872354
4,2,0,0,0,1,0,47.59147876644787
5,3,0,0,0,1,0,46.40070799824626
2,3,0,0,1,0,0,48.145323329399424
2,3,0,0,1,1,0,49.1866533038049
5,3,0,1,0,0,0,45.214344060452895
2,3,0,1,1,1,1,58.97007768872541
8,2,0,1,0,1,0,40.37269285170717
6,3,0,1,1,1,0,45.08238771369685
2,1,0,1,0,1,1,58.00358853134273
1,2,-1,1,1,0,0,47.16886121189423
2,3,0,1,1,0,1,59.61670219307008
4,2,0,0,1,1,0,46.38680762241419
6,2,1,1,1,0,0,46.36356020336682
5,3,0,1,0,1,0,45.809192500292205
5,2,0,1,0,1,0,46.38065600276789
2,2,-1,1,1,1,1,54.17334865735231
6,2,0,0,0,0,0,44.00519551442469
2,3,1,0,1,0,0,49.33897302709106
6,3,0,1,0,0,0,46.67907241187904
2,3,0,1,0,0,0,47.47442319597608
4,3,0,1,1,1,0,45.75424530470244
5,3,0,0,1,1,0,46.8201578511958
1,4,0,0,0,1,0,50.67855069107217
2,2,0,0,0,1,1,56.87573500067053
2,2,0,1,0,1,1,58.77068489456202
4,3,0,1,1,0,0,45.29108020464275
6,3,0,1,1,0,0,45.88235554033392
3,3,0,0,1,1,0,47.23769455278977
2,2,0,1,1,1,1,57.31729023353133
4,3,0,1,1,1,0,46.67679409339911
0,3,0,0,1,1,1,58.84775601446077
