age_years,education_years,previous_month_income,work_hours_weekly,gender,rural_residence,job_retraining_program,current_month_income
36,22,11,18,1,0,0,41.08101698295752
16,25,13,13,0,0,0,45.62526526289152
44,25,13,18,1,0,0,36.24815776297902
22,24,4,8,0,0,0,42.43418888728832
30,12,10,22,0,1,1,51.190270921426006
40,25,5,22,1,0,0,39.372185955109934
31,18,15,18,1,1,1,51.914059699460765
38,12,11,18,0,0,0,39.22648844834914
28,20,5,11,0,1,1,49.70362192696585
30,20,8,13,1,0,0,41.161375175790816
34,12,9,10,0,0,0,39.914219952737085
34,22,11,14,0,0,0,42.10510061373392
32,23,9,19,0,0,0,42.77020483169889
33,28,18,6,1,0,0,38.94178400835944
35,21,8,13,1,1,1,45.898369315766566
19,19,6,7,0,1,1,49.49559533607923
32,20,12,16,1,1,0,40.80203104451633
34,23,12,11,0,0,1,47.83073600246424
52,25,4,16,1,0,0,33.64120306988
32,13,13,13,0,1,1,48.26608759229288
13,32,13,8,0,1,0,47.7089690079024
32,15,8,16,0,0,1,48.37196243024885
41,10,15,20,0,0,0,39.53778739608372
38,20,9,17,0,0,1,48.21621717545876
47,14,11,18,1,0,0,35.241789016359974
31,22,10,12,0,0,0,39.99356633437706
46,17,9,19,1,0,0,35.992544827410214
36,19,9,-1,0,0,0,36.9847551048673
20,20,7,16,0,0,0,44.30667459343516
34,20,12,14,1,0,0,39.40177643752816
28,23,8,9,0,1,1,48.04407046658148
30,12,10,0,1,0,0,39.87313496499685
27,17,6,20,1,0,0,41.49104803458325
16,19,14,15,1,0,1,54.90722806761974
18,21,10,8,1,1,1,53.03029691358071
35,16,8,6,1,1,0,36.70222567732253
24,24,7,10,0,1,0,42.347425791892086
27,21,12,0,0,0,1,47.08914548873572
34,19,6,13,1,1,0,39.37258227936782
25,19,12,13,0,1,0,42.97209795499599
35,15,13,21,1,1,1,49.52848537838986
45,23,16,21,0,1,0,38.89449773975139
40,13,10,16,1,1,1,47.24979697889246
40,23,6,13,0,1,1,44.57066501257896
41,16,10,13,0,0,0,37.85108329522852
37,23,6,8,0,0,0,38.82033835952838
34,18,13,14,0,1,0,41.35900954089538
32,11,5,16,0,0,1,48.47595749844341
28,21,12,4,1,0,0,39.36529269104865
35,8,10,10,0,0,1,47.25191951064903
36,28,8,16,0,0,1,47.99612366367254
18,16,12,14,0,0,1,51.67848559121461
34,24,5,16,0,1,0,41.39956720724789
24,23,7,19,1,0,1,51.81225995063195
35,21,6,11,0,0,0,37.63650961274007
43,26,9,8,1,0,0,37.06605256997742
37,13,13,18,1,1,0,39.51673568123993
40,11,13,8,1,1,1,47.07046956561868
18,24,9,9,0,0,0,46.29926137065914
39,25,8,18,0,0,0,39.29576273015491
36,30,11,14,1,1,0,41.25678090832051
17,18,10,19,0,0,1,54.14816727684252
24,17,12,16,0,0,1,52.6095617535907
22,35,16,26,0,1,1,55.898311528743776
28,25,15,19,0,1,1,51.70933797107736
31,15,5,18,1,0,0,40.149754622310816
25,12,9,14,0,0,0,42.14945412275132
38,19,9,16,1,1,0,39.17209514698311
33,18,10,12,1,1,0,40.86145276836236
34,9,10,13,1,0,1,47.637823640300326
28,29,11,17,1,0,0,41.40930256899124
32,8,12,3,1,0,0,38.63333160490214
28,11,9,15,0,0,1,50.79501816718495
16,19,11,13,0,0,1,52.75253577941829
37,12,7,17,1,1,1,46.193173391256536
36,12,14,16,0,1,1,50.09232651121194
37,18,14,5,0,1,1,46.56377282792074
37,36,9,11,0,1,1,46.13151122329354
34,14,8,0,1,0,0,39.24078262527628
32,28,8,15,1,0,1,50.21149917089038
19,17,8,5,0,0,1,50.90938957984569
25,15,8,5,0,0,1,47.77863352906075
23,15,7,19,0,1,1,54.113653358036615
32,18,11,13,0,0,0,39.80530757027744
31,14,12,13,1,1,0,42.884309477754535
36,30,8,8,1,0,0,38.686243991502
31,13,8,13,0,1,1,50.12860648186321
33,27,14,13,0,1,0,39.88380919973318
33,10,6,17,1,0,0,39.11570138968224
30,20,9,11,0,0,0,40.13002119921445
38,19,9,19,1,0,1,46.72467005480755
30,27,13,19,1,1,1,50.87556913140011
36,30,11,17,0,1,0,43.45745549848845
35,32,9,17,1,0,0,40.00574175697151
27,11,4,11,0,0,0,41.97224083997272
38,19,8,22,1,1,0,41.27330914256493
37,27,8,19,0,0,1,47.09955931737571
38,14,6,18,0,0,1,44.2095711547503
33,29,12,5,0,0,0,39.36617540757155
35,1,13,12,0,0,1,47.07274775805832
37,24,14,7,1,1,0,38.92201168588455
45,14,5,25,0,0,0,38.548115292191184
8,17,8,17,0,1,1,59.2698051211043
27,13,6,16,0,0,1,48.87818591335687
25,11,9,7,1,0,0,39.33047648082251
22,21,8,19,0,0,1,52.90798655833293
24,19,6,20,0,0,0,44.44354890565026
20,21,10,12,1,1,0,45.1816650046989
33,29,12,11,1,0,0,41.51763990967616
29,16,10,15,1,0,0,40.374607426864245
26,10,9,12,1,0,0,41.836256450961606
32,28,10,9,0,0,0,41.93343226888755
21,21,4,11,0,1,1,52.35713406070838
32,24,11,14,1,1,1,47.933370267710906
20,25,1,3,1,1,0,42.2973097119273
27,11,4,8,1,1,1,48.9959361739086
30,7,11,16,1,0,0,43.25310666791892
31,17,10,12,1,1,0,41.232898150616826
34,21,7,12,0,1,0,38.2097526526603
38,17,9,15,1,1,0,38.8120666939783
35,13,4,9,1,0,1,46.40143404675802
39,20,10,18,0,1,0,39.69485954185874
36,16,15,18,0,0,1,47.96864778709397
35,22,10,5,0,1,0,38.71035800379156
34,27,15,9,0,0,0,41.49301652691635
42,24,6,9,1,1,0,36.34118499789048
7,17,3,12,1,0,0,45.56527908819041
27,19,6,7,1,1,0,41.496946883083055
35,14,15,22,1,0,1,50.24465587753901
30,21,12,11,1,1,0,41.87210717663716
26,21,6,9,1,0,0,40.30606772513213
28,27,6,15,0,1,1,50.04898829677367
29,17,9,13,0,0,0,42.347044387536585
30,21,7,19,1,1,1,50.63994776897162
30,21,2,23,1,0,1,48.81492091986144
30,20,10,15,0,0,1,48.576106341824506
32,24,9,19,1,0,1,48.71819875936777
29,10,6,27,0,0,1,51.61202064343215
33,13,17,14,1,0,0,41.07829074563268
29,21,7,12,1,0,0,42.069033032497096
19,21,10,11,1,0,0,44.67435658585768
28,22,9,16,0,1,0,42.72246247471516
41,14,15,17,1,1,1,46.64928846899964
17,16,7,11,0,1,0,45.973963037475
60,19,7,12,0,0,0,30.76797539482301
21,11,8,17,0,1,1,54.19240885666012
36,24,5,18,0,1,1,48.16320224359646
30,20,8,11,1,1,1,49.0701024422057
36,15,7,13,0,1,1,47.97280407194057
31,29,13,12,0,0,0,41.17065591479609
33,21,11,16,0,0,0,40.916704251776274
33,18,5,13,0,0,0,38.16524537849098
30,25,5,7,1,0,0,39.59439220525745
27,25,10,16,1,1,1,50.85696302615338
26,19,10,17,0,1,0,43.9920254535379
19,21,8,15,1,0,0,42.906668805169815
19,19,11,15,1,0,0,45.09164642446373
33,24,9,14,0,0,0,39.84624908648658
36,15,10,21,0,0,0,39.55762289550334
24,22,10,14,0,0,1,50.23182573063587
16,14,7,15,1,0,0,45.51923622405646
22,14,8,15,1,1,1,50.43468685863333
23,26,6,18,0,0,1,52.26865370213907
42,25,13,17,0,0,0,40.4734898972318
18,15,12,22,0,1,1,56.55903699828595
32,23,7,16,1,1,0,40.33584575059341
29,22,11,14,0,1,1,50.17410032568132
29,15,8,17,1,0,0,42.414730689056974
30,12,10,13,1,1,1,50.35836138355749
50,25,10,15,1,1,0,36.23610623224423
53,16,9,9,0,1,0,33.93514436832127
29,19,10,6,1,1,0,41.91855366626565
22,23,8,16,1,0,1,52.094146754493885
36,18,7,16,1,1,1,47.799201219427104
26,14,12,10,1,0,0,42.110570589228736
33,19,5,17,0,1,0,41.90629103311755
21,18,6,14,0,1,1,53.63216383632297
40,23,9,13,1,0,0,36.17307890648828
28,17,12,11,0,0,0,40.613010458475806
33,28,9,14,0,0,0,39.851232021962105
33,16,12,3,0,1,0,39.91706231757797
29,23,7,7,0,1,1,48.17395785419952
25,18,5,17,1,0,0,42.13739239581309
38,24,11,13,0,0,0,38.73085578797616
29,14,6,10,0,1,1,49.59348213683726
34,22,11,9,1,0,0,36.815177867381145
41,20,6,15,1,1,0,40.24492047669092
40,5,10,18,0,0,1,46.74418749424645
28,18,12,21,1,1,1,52.9319185428496
26,27,5,8,1,0,1,47.67070405188919
26,27,11,18,0,0,0,44.1548790421002
28,9,12,10,0,0,1,49.85438355186293
38,17,8,6,1,0,0,38.13888522277577
34,20,11,17,0,1,0,40.71545639097463
37,26,10,10,0,1,0,37.63957150264906
19,13,13,8,1,1,1,53.55002481207073
31,26,10,17,0,1,1,49.10196851570632
30,20,9,8,1,0,0,40.13595911993348
27,1,3,19,0,1,1,50.790097419892405
23,23,11,14,0,1,1,53.45665044288867
35,17,9,11,1,1,1,48.577753612469024
24,25,8,22,0,1,1,52.83974526426203
37,9,19,8,0,0,0,40.54851279088172
33,19,6,3,0,1,1,46.90996613500699
22,12,10,17,1,0,1,53.25533493503615
43,15,13,12,0,0,0,38.49286628790172
29,15,12,19,1,0,1,50.28250695315541
17,29,10,9,0,1,1,52.91406763343563
22,31,3,12,1,1,1,49.03489851250978
32,13,9,23,0,0,1,50.50407911652771
25,27,9,17,0,1,0,44.50131715874189
32,18,9,4,0,0,1,45.36537486626812
31,19,6,13,1,0,0,40.2865899772688
37,27,9,19,0,1,0,41.48342916576218
23,0,4,16,1,1,1,49.97514742253074
36,22,12,10,0,1,1,49.19448101309283
24,25,8,15,0,1,1,53.52044639086341
24,5,11,13,0,1,1,53.93736847756225
26,13,9,15,1,0,0,42.54153601718808
28,18,9,13,0,0,1,49.37414636188441
36,30,7,20,1,0,0,39.21189315539703
30,24,9,17,1,0,1,49.38476018006062
14,26,9,16,1,0,1,55.57163242735791
17,18,7,10,1,0,1,52.85144867939668
37,9,14,16,1,1,1,49.83932667097156
30,12,13,16,1,0,1,47.0709820772345
26,11,6,14,1,1,1,49.09352387965835
22,15,10,18,1,0,0,43.83594120094647
30,27,7,15,0,0,1,50.31284281338333
38,20,3,19,0,1,1,49.217917493779936
48,23,6,15,0,0,1,42.70009894734014
32,11,9,10,1,1,1,49.344669101498944
37,13,14,17,1,1,1,48.07248592026831
37,25,6,13,1,0,1,47.24432816812718
23,14,9,4,1,0,0,41.09720082884044
34,20,14,17,1,0,0,42.21753071656776
17,29,6,20,0,1,1,54.75766107863715
33,11,12,7,1,1,1,46.7841488300722
34,22,12,7,0,0,0,39.755472169601575
30,16,7,19,0,0,0,41.34425757179486
24,20,10,21,0,0,0,45.78184722815303
34,12,6,11,0,0,0,36.94524370409399
44,29,10,17,0,0,0,36.50420689899818
38,23,7,14,0,1,1,48.958976237959845
32,21,13,21,0,0,0,43.031916736502055
19,14,7,12,0,0,1,51.62668576476168
29,20,16,9,1,1,1,49.942491318666434
27,22,17,8,1,0,0,42.20154414791936
51,14,17,19,1,1,0,35.06608217343023
21,19,2,15,0,1,1,51.90966839718615
39,16,6,11,1,0,0,37.19377751464722
28,16,9,17,0,0,1,50.5618055163261
17,20,9,7,1,0,1,50.999866460072745
29,15,18,15,1,0,1,50.69194858723613
31,19,14,7,1,0,0,40.41826423662866
37,19,11,15,1,1,0,40.74307085065738
20,23,11,15,0,0,0,46.57989812344511
26,26,5,14,1,0,0,42.2945360039397
22,13,11,13,0,0,1,50.56603421722235
16,15,13,13,0,1,0,47.61773809802205
41,28,11,7,1,0,0,37.42666079453785
27,20,6,18,0,0,0,41.753909950138535
24,25,8,21,1,0,0,45.084800013917885
24,14,7,9,0,1,1,49.29319802207658
34,19,8,12,1,1,1,48.36425808865133
22,23,6,18,1,0,0,43.740458010064586
22,22,9,13,1,0,1,52.37057948296573
27,20,13,18,0,0,0,43.00744004979661
28,19,7,20,1,1,1,51.6594585828832
30,26,5,12,1,1,1,47.31740448261088
28,19,13,13,0,0,0,42.875450348531146
12,15,12,23,1,1,0,49.25033260532219
36,19,11,7,0,1,1,47.378777855780285
26,26,10,20,0,1,0,45.71165740128025
24,14,12,10,1,1,0,44.30671787104728
35,24,9,8,1,0,0,36.58973390142058
38,16,7,14,1,0,0,37.17316650149241
26,17,9,21,1,0,1,51.63347047315965
49,21,3,4,1,0,0,31.249453985973428
31,14,12,8,0,1,0,41.98763225052268
24,20,9,12,1,0,0,44.15492519698564
28,35,12,9,0,1,0,41.77055545096543
18,20,5,9,1,0,1,52.96622971924558
26,13,10,18,0,1,1,53.39793533706504
18,22,5,21,1,1,1,52.92708828002426
42,13,10,16,0,0,1,48.11601914788668
30,26,8,11,1,1,0,41.6444239621664
14,7,13,5,0,0,1,51.28380863193811
22,15,12,10,0,1,0,44.600592477081086
37,18,6,2,1,0,0,34.839345649030115
24,20,9,14,0,1,0,43.53646328468454
39,26,7,25,0,1,1,50.384305781577694
44,22,9,19,0,0,0,36.82700308252197
25,13,11,6,0,1,0,42.48851773250525
33,21,14,19,1,0,1,50.317470276985766
35,18,8,11,1,1,1,46.554155648362496
17,20,12,22,0,0,1,56.61742095192693
14,32,7,16,1,0,0,47.152756820543146
39,9,7,16,1,1,0,36.31369149153087
33,14,8,9,1,0,1,47.72539018315175
33,21,3,11,0,1,1,47.505500682284
21,15,13,16,1,0,0,44.28739247262321
17,13,7,15,0,1,1,54.16744075129856
31,29,4,19,0,0,0,43.0778202892743
21,16,12,9,0,0,1,50.790014245814135
22,15,6,16,1,0,1,50.98335529904173
36,18,11,10,0,0,0,38.97799538703076
33,27,8,15,1,1,0,41.7645331906731
22,14,7,7,1,1,1,50.28221175420988
25,18,9,15,1,1,1,50.9868403707722
34,17,9,15,0,0,1,47.409073241273866
31,16,7,21,0,1,1,51.06860192349649
28,21,11,10,0,1,1,49.88706321383885
22,18,6,12,1,1,1,51.76797613099974
16,7,10,19,1,0,1,54.145917104346886
31,6,13,13,1,0,0,39.200978529996185
23,18,8,16,0,0,1,52.79150268579728
28,19,11,18,0,0,0,43.50317624006937
8,16,11,17,0,0,1,57.37282936588206
40,9,6,21,1,1,1,46.74349445121666
40,12,9,13,0,0,0,38.53935374829364
35,18,8,15,1,0,1,48.21176615729101
38,23,7,19,0,1,0,38.14937479803325
42,22,5,15,0,0,1,46.85373595826117
21,9,11,9,0,1,0,43.22613543706587
32,26,12,12,0,1,0,40.97924401853826
36,18,2,15,0,0,0,35.602865033512884
16,23,12,13,0,0,0,45.92544903087153
53,27,8,12,1,0,0,32.27120526879281
36,13,11,13,1,1,1,48.58300587288287
34,16,8,14,0,0,1,46.44426805301938
45,22,18,20,0,0,0,39.143568450548834
36,18,5,18,0,0,1,46.43836999435796
36,27,8,14,1,0,0,39.45157895341981
32,13,8,23,1,0,1,49.13509832472711
28,12,9,22,0,0,0,43.57154361983061
23,31,4,10,1,0,0,40.491529125100506
35,11,5,21,0,1,1,49.710917038993664
30,16,5,7,1,0,0,38.3663179141333
38,29,6,4,1,0,0,35.34761269202468
21,28,9,15,1,1,1,53.34772166526406
30,10,5,10,0,0,1,45.47731065874023
42,23,11,17,1,0,0,38.40522020157034
35,28,12,19,0,1,0,42.64680449205783
20,21,7,27,0,1,1,54.99502145166968
9,14,10,16,0,0,0,48.6401251659956
27,21,9,4,0,1,1,48.38994447725425
26,30,9,6,0,0,0,41.07730912002365
30,18,8,14,0,1,1,49.28579772829515
25,23,8,12,1,1,1,49.92219523562892
14,18,12,17,1,0,1,53.57526830058707
27,21,6,18,0,0,0,42.49644658359002
38,29,11,6,1,1,0,38.28567670897858
17,27,13,16,1,0,1,53.532209532350045
43,11,14,13,0,0,0,35.62734527024138
15,15,11,7,0,1,0,45.63185347471191
33,19,13,19,1,1,1,49.99479586944678
31,18,10,19,0,1,1,48.52507992270469
23,11,9,12,1,1,0,43.386565437363565
36,29,14,11,0,0,0,40.61421007807634
29,22,5,16,0,1,1,49.406800094839454
33,23,14,11,0,0,0,40.91492649767856
21,19,15,4,0,0,0,45.94231428371032
46,25,8,11,0,1,0,37.82478862377556
19,17,12,16,1,0,0,45.069731956752825
14,17,11,18,0,1,1,56.8248377482316
26,16,7,14,0,1,0,42.00737887731877
32,17,5,19,1,0,1,48.36728173706034
19,16,5,10,1,0,0,43.44599358091202
32,14,8,15,1,0,1,49.337502213955766
28,26,9,17,1,0,0,42.06058670883766
25,17,13,12,1,0,0,42.69891089568515
32,15,8,13,1,0,0,40.1899658418933
22,33,10,11,0,0,0,44.030046174068346
28,15,9,8,0,1,0,41.26586311794056
35,11,13,17,1,1,0,40.63482969118485
39,19,13,15,1,0,0,38.99769898502299
10,30,10,18,0,1,1,57.54105183841267
42,23,5,20,1,0,0,37.25282038328419
31,14,9,9,0,0,1,46.763857546920505
26,21,10,6,0,0,0,42.94358300645688
33,23,10,21,1,1,1,50.95389066975777
24,22,11,13,1,1,1,52.63204579918438
45,23,13,7,0,1,1,45.092862688062816
15,18,8,10,1,0,1,53.96703648907094
36,16,11,11,1,1,1,47.18892550017448
29,29,12,14,1,0,0,41.79296269045951
19,13,8,15,0,1,0,45.82019341696924
12,17,6,12,1,0,0,43.521573069858654
25,18,8,18,0,0,1,52.12482688171172
34,15,8,13,0,0,1,48.06045330487727
31,32,5,14,0,1,1,50.615469342710654
30,10,9,14,0,1,1,49.71530197451589
26,9,7,14,1,0,0,42.82997652845234
28,22,12,4,1,0,0,39.23900821589026
23,9,9,21,0,0,1,53.73444860705357
27,17,9,10,1,0,0,41.69395052967517
46,10,12,11,1,0,0,33.68376205544206
20,21,10,11,0,0,1,50.63426018945844
43,19,7,19,0,0,0,39.266906500699065
22,9,9,9,1,0,1,50.21975793619752
24,33,6,24,0,1,1,55.06499709380887
22,13,7,23,0,0,1,53.78687235571983
30,14,6,8,1,0,0,39.36413560235387
42,18,8,5,0,0,0,34.81209160502303
22,10,6,11,1,0,1,50.65565263756435
41,24,13,17,1,0,0,39.78963476616115
29,19,11,16,0,1,0,42.75498914381158
23,14,6,15,1,1,1,51.86491112108381
27,15,11,14,0,0,0,43.30052706308539
31,17,6,9,1,1,0,41.10949314585012
35,20,8,19,1,0,0,38.54557030673307
33,24,10,11,1,0,0,40.08675045150736
30,14,8,1,0,1,0,39.39551408910917
49,20,9,14,0,1,0,33.902275211172544
13,5,10,8,0,0,1,52.809645011010105
29,19,10,7,0,0,0,42.40826985437867
18,18,8,9,1,0,0,41.89487294985476
18,22,15,10,1,0,1,53.03087331389808
33,22,9,11,0,1,1,48.41238445960377
19,18,10,18,0,1,1,54.6775942167661
4,26,11,6,0,1,1,59.90187057147526
28,17,11,19,0,1,1,51.23201781423516
26,26,0,16,0,0,0,41.74225615047318
26,36,11,14,0,0,0,43.36874429645454
37,23,6,3,1,1,0,37.18946467582946
20,21,5,10,1,0,0,41.45720544256172
45,20,5,17,1,0,0,37.09633259689559
42,31,12,7,1,1,0,38.17919382645746
31,16,6,3,0,1,0,40.232022365822935
30,24,7,13,0,1,1,50.76295869668539
34,30,10,11,0,0,1,48.02369099899096
22,17,9,3,0,0,1,48.19404987089891
41,22,11,18,1,0,0,37.69741786264601
23,20,9,12,0,1,1,51.5689911822315
37,27,13,13,0,0,0,39.79277323564712
38,19,8,11,0,1,1,45.55416793390419
34,22,10,14,0,0,0,40.02348272118295
22,22,11,13,1,0,0,43.37082559760293
30,17,7,12,1,0,1,47.72413114015428
25,17,9,18,1,0,0,43.56129076576947
30,22,6,10,0,1,1,48.67776498753847
23,24,9,11,0,0,0,43.04023760349897
33,11,9,22,1,1,0,40.66176329637127
27,20,13,12,1,1,1,51.81111580122599
23,18,7,18,1,1,1,52.87525972017543
30,20,7,22,0,0,0,41.30254998611398
16,20,7,21,1,0,1,53.59230348408676
20,3,7,9,1,0,0,41.54542933272468
38,11,9,19,1,0,0,38.94405738284971
33,19,9,18,1,1,1,48.76556220196914
31,20,11,15,1,0,1,49.157068510073714
43,19,7,12,0,0,0,36.5086598082811
28,20,9,11,0,1,1,49.81190795804811
