worker_age,education_years,prev_income,working_hours,job_experience,union_membership,job_security,job_training,job_satisfaction
11,21,4,23,0,1,0,0,90.6215479502806
25,22,5,22,1,1,0,0,96.34529160703931
22,20,8,9,1,0,0,1,91.8929674070091
26,22,4,11,0,1,0,1,93.6920997607756
18,21,7,25,1,0,1,1,105.5735539483538
10,26,2,6,2,1,0,1,88.18009192508623
18,21,10,18,1,0,1,1,100.2344062310599
17,17,8,12,3,0,0,0,81.95381115737422
38,26,5,14,0,0,0,0,97.04457726293094
35,22,7,17,2,1,0,1,104.71993655657404
29,26,8,16,4,0,1,1,104.3809969799967
38,29,7,18,1,1,1,0,105.29267704457509
25,21,4,13,1,1,0,0,88.48140105745925
35,18,13,10,1,0,0,0,90.17648486202314
4,25,5,12,1,1,1,1,92.41956643891334
33,21,4,19,2,0,1,1,102.40375827153854
25,23,6,12,0,1,0,0,89.9189584716098
23,25,7,11,4,1,0,0,90.70987730018192
26,17,6,19,1,0,0,1,99.58565786114605
29,29,3,16,2,0,1,0,96.7532589779919
26,21,7,13,0,1,0,1,96.22310636700225
23,21,8,14,1,1,0,1,99.3064588302026
29,24,9,16,2,0,0,0,96.3737894966184
32,21,4,7,3,0,1,1,93.01931770241671
35,18,4,10,0,1,0,1,93.42919416237704
24,27,4,9,0,1,0,1,96.70272143359084
33,30,6,15,2,0,1,1,106.4662657800513
28,19,0,12,1,1,0,1,92.26716221338438
42,19,7,21,3,0,1,0,100.12511261947508
41,16,7,17,1,0,1,1,100.31927575269845
27,29,4,18,1,1,0,0,98.4093587668778
50,22,4,13,0,1,0,1,104.2884350543714
29,33,4,13,0,1,1,1,108.55130894322862
24,21,3,11,3,1,0,1,94.13547320700752
29,16,5,9,3,1,1,1,87.7780945628596
31,19,6,15,2,1,0,0,89.99099087173308
25,20,1,19,0,0,0,0,91.14312933693004
34,30,4,17,2,0,1,0,100.7611257733117
21,21,5,16,1,1,1,0,88.19269817874743
40,23,5,14,1,0,1,1,102.30326274682731
26,23,5,18,1,0,1,1,102.3404194589053
30,18,9,15,2,1,1,0,90.23093666439289
31,21,12,21,2,1,0,0,102.69136465660556
4,28,9,16,1,1,0,0,92.54489470297104
17,20,9,16,1,1,1,1,97.00066403240736
39,16,3,21,2,1,1,1,102.9847242418877
11,23,8,10,2,0,0,0,83.30506726807548
24,28,9,4,1,0,1,1,95.93075263199304
17,26,5,12,3,1,1,1,96.6385386853636
21,20,4,13,2,1,0,0,85.57300048606757
28,27,3,13,1,1,0,0,93.48326724434874
19,13,3,22,1,1,1,1,94.78485178453872
30,19,6,13,1,1,1,1,96.23674313614092
23,27,9,12,2,0,1,0,95.8321534410784
20,21,2,8,4,0,0,1,90.4759488216636
14,21,1,17,0,1,0,1,94.22128004283388
28,27,8,18,1,1,0,1,109.42659626468291
43,19,2,12,2,1,1,1,96.95735618400592
12,25,7,13,1,1,0,1,98.2205106021695
17,19,10,23,2,0,0,0,94.51741152323449
22,24,6,13,1,1,1,1,97.31375180779844
13,24,6,14,1,1,1,1,95.93100745405594
28,15,4,12,1,0,1,0,80.12453813257825
26,25,2,21,1,0,1,0,96.29957801590685
21,29,8,14,2,0,1,0,96.06083715432352
40,25,5,13,0,1,0,1,101.41430936293304
9,26,4,19,3,0,0,1,99.33674139097272
21,22,2,22,2,1,1,0,94.54227141221764
27,22,7,21,2,1,1,0,99.28211137337968
31,21,5,13,1,1,0,1,96.475550272411
40,24,4,17,1,1,1,0,98.26598164914594
24,28,6,16,0,0,1,0,96.13286877168773
21,31,2,17,2,0,1,1,105.78292360969384
0,19,4,15,0,0,1,1,86.49662215120941
23,22,8,11,1,1,1,0,88.56262814874297
48,21,5,16,0,0,1,1,105.06427181222564
19,26,6,15,2,1,1,1,98.05667405166108
24,21,8,12,1,1,0,0,87.01159553461807
19,18,6,18,0,1,0,0,88.81939497250644
37,24,3,17,1,0,0,1,102.31559658219322
12,23,5,10,2,0,1,0,82.88359326226282
25,28,0,14,3,1,0,0,91.70622089747104
11,16,6,21,1,1,1,0,86.37538741598927
34,23,6,18,2,1,1,0,98.6631553877545
8,23,2,10,0,1,0,0,79.14757676901284
30,22,3,9,2,1,1,0,87.40266555967816
28,28,8,10,1,1,0,0,93.86198879903552
24,33,6,15,2,1,1,1,108.84930747865124
14,21,4,15,1,1,1,1,94.4363270762812
20,25,4,16,1,1,0,1,100.71810520199617
21,29,6,16,0,1,1,0,97.92375674718974
26,23,4,22,3,0,0,0,95.46044719104692
28,24,6,20,3,0,0,1,108.04524544639602
21,31,5,13,1,0,0,1,102.97346703447016
14,16,5,17,1,0,1,0,82.3957393327534
16,19,8,16,4,0,0,1,95.14292338141398
18,20,3,17,2,1,1,0,87.242871682748
32,23,8,14,2,0,1,0,94.757929622633
11,27,6,19,3,1,1,0,97.1418352393224
7,27,6,11,2,1,0,1,93.85997091665226
21,27,5,17,3,0,0,1,101.12080366405613
23,31,6,13,1,0,1,1,103.00648242074728
29,28,6,12,1,0,0,0,94.76583965481449
32,26,7,23,2,1,1,1,111.90819300774972
13,29,3,22,2,0,0,1,106.96731961515518
11,24,7,22,1,1,1,1,105.11339120422178
25,29,2,15,1,1,1,1,101.93416213316029
43,25,3,14,1,1,1,1,105.32959040036474
33,18,8,24,2,0,1,1,105.83748700998277
54,27,1,11,1,1,0,1,105.51063507402722
25,26,6,21,2,0,1,1,107.44804955436705
15,19,6,15,2,0,0,0,86.75899107487571
21,22,4,6,1,0,1,0,79.30323325591644
33,25,2,22,2,0,0,0,98.24888490592632
41,19,6,15,0,0,1,1,101.59066556180252
35,26,5,14,1,0,1,0,95.52755091859414
23,23,5,19,2,1,1,0,94.53672668589608
16,27,8,6,1,1,1,0,85.71582644380014
3,17,2,14,2,1,1,0,78.18583732682275
47,25,1,19,2,0,0,0,101.88713759561594
25,20,4,18,1,0,1,0,91.32430661375032
44,26,3,18,1,0,1,1,107.97228342801438
32,25,8,6,1,0,1,0,90.3620880399263
19,20,5,19,3,0,1,0,91.4985242999768
32,26,9,19,3,1,0,0,101.4063500803276
25,26,6,16,2,1,1,1,101.85567210605664
21,18,8,14,2,0,1,1,93.73293227643212
26,27,6,17,0,1,0,0,95.82051234112106
39,19,4,11,2,1,0,1,95.28792469112676
24,22,9,19,5,0,1,1,103.8530535970563
22,19,4,15,3,1,1,0,87.76450102756827
27,25,4,14,3,1,0,1,101.44859300408125
19,19,8,17,1,0,0,1,96.66892135976568
22,28,0,22,1,1,1,1,107.68458679735964
18,29,7,17,1,1,0,1,105.23257727475776
23,24,2,20,2,0,1,0,92.53656851320584
8,20,2,9,2,1,1,1,86.08254112309615
18,19,11,14,1,1,1,1,96.32543477124634
17,24,7,18,1,0,1,0,93.60901459843012
19,19,5,19,3,1,1,0,90.14562027214504
4,24,6,18,3,0,1,0,89.77297002305573
24,30,6,13,1,1,0,1,103.3892456877796
24,24,7,26,1,1,0,1,111.28268724646357
24,25,6,11,3,0,1,1,98.00509171832908
25,17,7,10,3,1,0,0,83.87655468395637
14,21,5,18,1,1,0,0,91.22694130371396
28,29,7,20,2,1,0,1,112.9396530518187
44,23,7,21,2,0,0,0,103.25353942857016
29,29,6,19,2,0,0,0,101.80968181551091
41,16,5,16,1,1,0,0,90.21997861724064
19,23,5,20,2,0,0,1,100.82877664053558
30,20,8,21,2,0,1,1,104.44245146639916
15,24,9,12,2,0,1,1,98.31034046756083
21,27,5,20,1,0,0,0,98.41022740376776
16,22,10,10,0,0,1,0,86.3669756389741
34,21,9,11,4,0,1,1,97.92618522206809
43,32,6,15,2,0,0,0,106.0530590058928
17,20,6,16,2,1,0,1,96.4940199018174
13,26,0,3,1,1,0,0,77.45236959789172
11,20,9,6,1,1,1,1,85.57389425857869
21,21,3,11,1,1,0,0,82.89365461360804
26,21,7,19,2,0,0,1,100.38000280307917
10,23,2,16,4,1,0,0,87.00711019188563
22,22,1,17,1,0,0,1,99.41506656820084
32,18,5,15,3,1,0,1,97.31217730080368
28,22,1,13,0,0,1,1,95.00719585889844
9,20,4,14,2,1,1,0,84.28067543425135
21,26,5,19,2,1,0,0,96.7297989617162
5,24,3,12,0,1,0,0,82.54439584299521
45,26,4,15,0,1,0,1,107.90086698995135
21,21,6,11,3,0,1,0,82.95455909454508
3,26,6,10,3,1,1,1,93.62386768836012
26,21,9,15,2,0,0,0,92.72503709323831
34,17,5,18,1,0,1,0,90.32196598824568
19,20,9,16,1,1,1,0,90.87687232285782
22,19,4,22,2,1,1,0,94.05968889158828
19,28,3,13,2,0,1,1,100.0578895421646
27,23,8,14,1,1,1,1,101.106779637188
15,22,4,10,4,0,1,0,82.9737493238155
28,22,3,13,1,0,0,1,95.4910222711752
44,29,6,14,2,1,1,1,111.78731515765058
10,18,5,18,1,0,0,0,84.18754547729732
25,26,5,5,2,0,0,1,90.63770151941289
16,19,3,13,1,0,1,1,90.27484353471556
39,32,3,11,0,1,1,1,108.0513588886878
18,20,7,8,0,0,1,0,80.94995081810684
11,24,1,14,0,1,1,0,85.80283896015737
21,27,6,8,1,1,1,1,95.15133295220932
21,18,6,22,2,0,1,0,92.5853910513336
23,31,8,16,2,1,0,0,99.96911629011171
7,20,3,0,1,1,1,0,71.34214951553528
43,28,4,8,1,0,0,0,94.88870616891788
33,28,0,18,3,1,0,0,97.79422963876236
27,27,2,10,2,0,0,0,88.34839147533695
11,22,4,15,0,1,1,0,88.23379930602782
16,15,9,8,0,1,0,0,78.32509304604416
16,27,5,21,2,1,0,1,105.1453313299551
-1,24,3,20,1,1,0,0,87.93346935744485
27,21,2,7,2,0,1,0,80.53372142250318
27,19,3,7,1,0,0,1,87.66235990970165
21,11,8,17,2,0,0,1,90.86026536530294
19,19,2,15,0,0,1,0,83.62076675555411
25,26,8,15,3,0,1,1,103.7143060509324
25,24,2,23,1,1,1,1,106.04927595032608
31,23,3,15,0,0,0,0,92.03327577920165
20,23,6,15,2,0,0,1,97.62585228550589
46,31,4,14,2,0,0,0,103.61302606028907
36,20,5,12,1,0,0,0,87.99670447238289
12,19,3,17,3,0,1,1,93.35326647328633
42,22,5,19,0,1,0,1,108.42259203033562
33,27,6,15,0,1,1,1,106.50570655096458
16,19,5,17,2,1,0,0,86.98125238273215
28,24,5,14,2,0,1,1,100.36052095171364
21,17,8,12,1,0,1,1,90.9625541404785
27,23,8,12,1,1,0,0,92.06766791230412
36,23,3,11,2,1,1,1,100.82427537442128
19,21,3,11,1,0,1,0,81.77337988525997
21,29,7,7,2,0,1,1,98.16395706989326
24,26,4,9,1,1,1,1,96.49625144051195
30,31,3,16,0,0,1,0,99.44246198247524
36,23,5,15,1,0,1,1,101.61482419244491
26,20,7,8,2,1,1,0,83.26993075019784
26,20,6,13,2,0,1,1,95.91304371859
21,21,7,19,1,0,1,1,99.49415860208455
-1,24,3,18,3,0,0,1,92.22867604007172
41,23,6,17,0,1,1,0,99.97668417392995
4,26,6,19,1,0,1,1,99.85622682463708
27,24,10,14,0,0,1,1,103.0086629434448
24,24,8,11,2,0,1,0,88.31163045576787
27,21,5,11,0,0,1,0,84.7975672023572
40,21,8,20,3,0,0,0,101.36312932552512
21,27,4,13,2,1,1,0,94.26072817253323
18,26,9,25,2,1,0,0,103.2679366304239
16,28,4,7,1,1,1,0,86.99969457424145
19,20,7,17,2,0,0,0,88.731669262997
25,29,5,20,2,0,1,0,99.89632675263736
25,25,2,17,0,1,1,1,102.0858692240033
34,21,6,18,1,1,1,0,97.07898077862934
36,18,9,11,2,1,1,0,90.16976107448416
40,25,9,24,2,0,0,0,107.75905653100158
30,25,5,18,0,1,0,1,105.86277556312064
8,27,4,11,2,0,1,0,86.28254413731037
22,21,4,12,2,1,0,0,86.47577185391532
33,26,5,14,2,0,0,0,93.342463790466
17,24,8,11,2,0,0,0,86.9494811160629
26,30,4,12,1,1,1,1,103.41245646170132
52,20,8,15,1,1,0,0,97.81561943137824
21,26,8,19,0,1,1,0,97.26877480016422
30,25,8,15,2,0,0,1,104.01988770337547
19,30,10,13,1,0,1,0,96.55679824216251
16,25,6,8,1,1,0,1,93.16651043120147
21,28,6,17,3,0,0,1,104.6732236470772
42,26,6,15,3,1,0,0,100.9535379299035
29,28,5,17,0,1,1,0,96.82806988331532
24,21,6,12,3,0,1,0,88.67082953426898
18,19,5,11,0,1,0,0,83.02887626880896
33,26,8,22,2,0,1,1,112.76251908966988
4,33,6,7,2,0,1,0,88.23928291813193
30,22,9,17,1,0,1,1,103.17499250203278
27,24,2,16,3,0,0,0,92.81578803975064
12,27,8,21,1,0,1,0,95.56860343396336
32,24,5,19,1,0,0,1,104.89068858057766
31,23,10,18,1,0,1,0,98.3485679607994
26,20,2,17,1,0,1,0,88.62535186048858
25,20,8,14,0,0,1,0,88.39596655794078
16,25,4,17,2,0,1,1,100.17577738462803
26,19,2,15,2,1,1,1,94.67583576819182
37,24,1,16,1,1,1,1,103.69063423226508
28,23,9,23,1,0,0,0,101.16024639456997
16,18,9,22,1,1,0,0,92.19271934410962
24,22,5,20,1,1,0,1,102.68475115157293
38,24,7,9,3,0,1,0,93.05084274226552
27,25,6,15,4,1,1,1,102.47049425008464
16,22,0,19,1,1,1,0,90.49949036097888
25,24,5,16,0,1,1,1,101.30572304259763
42,20,10,17,2,1,1,0,97.99700127440214
28,21,1,21,1,1,0,1,101.61438117225426
36,17,4,21,2,0,1,0,93.9090972070574
21,31,8,15,2,0,1,1,107.97453844982329
14,29,3,16,0,0,1,1,101.23960063083186
25,17,3,14,5,1,1,0,85.8592006307034
33,22,6,22,2,0,0,1,105.25821290717148
28,24,8,22,1,0,1,0,101.07275589461398
24,26,3,16,1,1,1,0,94.54786036536792
33,31,4,24,2,0,1,0,106.62343805635608
18,29,6,7,2,1,1,1,97.10306590222272
29,26,6,19,1,0,1,0,99.24380770343882
25,23,5,15,2,1,1,1,100.10032862044616
38,20,10,13,2,1,1,0,92.42340689605588
37,21,4,14,1,1,1,1,99.1984151276214
19,28,7,13,3,1,1,1,102.16044756434869
18,34,6,13,1,1,1,1,106.4016169096102
24,21,7,9,1,0,0,1,91.83236938056992
16,19,7,18,1,0,1,0,88.664123351754
26,23,7,18,0,1,0,1,103.70710218230182
41,28,4,17,0,1,1,1,109.24302252853384
23,22,6,16,3,0,1,1,97.7753006751764
32,18,5,15,1,0,0,1,97.11635182647572
22,29,4,12,3,1,1,1,101.45189807749084
36,17,8,17,1,1,0,0,93.3339936899776
9,27,5,14,2,1,0,0,87.22027450381056
45,24,6,15,0,0,0,1,104.52820059149816
11,25,3,14,2,0,0,0,85.22601926564656
14,21,3,15,0,1,0,0,86.50158775090229
38,20,4,13,3,0,0,0,88.5358807787564
27,20,7,13,2,0,0,1,96.02978463001816
25,26,10,18,0,0,1,1,106.6791161447141
24,25,5,13,0,0,1,0,89.58487566192153
27,25,4,22,3,1,1,1,107.78417527693786
18,30,7,18,1,0,1,0,96.93496568705058
38,24,11,11,1,1,1,0,98.81896802975078
27,26,7,13,2,0,0,1,100.92802978539795
27,28,4,13,2,0,0,0,94.13161650770988
14,20,4,11,2,1,0,1,90.2738692804515
12,23,3,18,2,1,1,1,96.57186924262898
20,27,5,15,2,0,1,0,93.89129750690206
38,25,8,13,3,0,0,1,102.22412297261852
9,22,6,18,2,1,0,0,89.69711543794895
27,24,0,7,4,0,1,1,91.12251348979456
14,26,2,13,0,1,0,1,97.39652667736851
29,20,7,20,2,0,0,0,94.86787401216009
23,23,9,5,1,0,1,0,83.99949779938157
31,18,6,16,2,1,0,1,98.8715225632714
28,14,8,17,2,1,1,0,88.08317607053915
22,23,12,12,3,1,0,0,92.28195828280448
9,26,4,18,0,1,0,0,89.56103360034875
24,20,3,15,1,1,1,0,85.76049171085697
14,29,7,20,3,0,0,0,98.3483693487073
21,19,3,10,1,1,0,1,89.56432381512447
17,24,8,13,2,1,0,0,90.3550785833238
23,10,4,19,1,0,1,1,88.95209376055423
17,29,2,17,1,1,1,1,103.17745122192191
37,23,1,24,1,0,1,1,109.267031803189
14,30,6,17,1,1,1,0,97.06079798228272
16,19,10,17,2,0,1,0,89.5521900561403
31,35,3,14,2,1,1,0,103.39425007837276
13,27,2,18,0,1,0,0,92.81178962932748
24,26,5,10,0,0,0,1,94.82260393340474
34,24,5,15,2,1,1,0,95.7305148325697
29,22,4,16,0,1,0,0,94.11871793216092
23,18,9,13,1,1,0,0,88.08218630543195
25,21,6,4,1,1,0,0,81.12425993205831
19,25,6,14,2,1,0,1,98.61307051786848
27,24,5,5,1,0,1,1,91.31876383947
46,21,2,10,2,0,0,0,88.36551218427054
23,28,4,21,1,1,1,1,109.0378537836236
36,23,5,22,1,1,1,0,101.4159473820476
-4,21,8,19,3,1,1,0,86.21761758126345
38,25,7,14,2,1,1,1,104.01484281381602
10,23,6,14,1,1,1,1,95.36261294220478
33,27,7,16,4,1,1,1,108.09668047097058
28,19,8,15,2,1,0,0,91.12283848861044
24,22,5,21,3,1,0,0,95.62092950452332
20,22,3,21,3,0,0,1,100.1785476012504
18,28,4,6,3,0,1,1,92.74083530176136
25,27,8,17,1,1,1,1,106.8808263676495
20,28,6,21,1,0,0,0,101.5291507495739
18,24,9,11,0,1,1,1,98.45914403829552
33,26,4,13,1,1,0,1,100.60824806718226
33,25,5,19,1,0,0,0,98.68028850515408
20,24,8,14,2,0,0,0,90.47724653496071
16,23,4,20,1,1,1,1,100.8738973975522
21,26,5,14,2,1,0,1,101.899833317104
13,18,4,16,2,1,0,0,83.0997285801426
27,24,4,18,2,0,0,1,103.0727519963255
8,24,5,19,0,1,0,0,92.18549285442424
36,24,3,11,3,1,0,0,91.9124294032908
18,24,9,3,0,0,0,0,82.56780411712832
12,23,7,18,2,0,0,0,90.5499100367138
12,16,3,5,1,1,0,1,80.51896603597667
23,21,4,16,1,1,0,0,89.75893584131703
23,24,6,15,1,0,0,0,93.1088005081467
31,20,5,9,3,1,1,1,93.96510634170048
30,25,4,10,3,0,0,1,97.04997191340068
32,23,5,11,3,1,0,1,99.19802228065176
36,21,4,14,3,0,0,0,91.1586607150838
25,28,5,10,1,0,1,1,100.02053713487962
17,22,7,15,3,0,1,0,88.68358889161055
28,21,7,12,1,1,1,1,96.96895558227422
10,21,5,15,3,0,0,1,93.4244416266657
12,25,4,11,0,0,0,0,85.92617427737476
-4,15,7,12,2,1,1,0,74.56939997060937
26,28,1,13,4,1,1,0,91.99804385442444
38,22,5,6,1,1,1,0,87.39878928483607
12,25,9,8,3,1,0,0,86.32298197571824
33,27,7,18,0,0,1,0,101.57989771511902
10,26,8,17,3,0,1,0,91.99310072075212
18,21,6,22,2,1,0,1,102.32937885931298
27,21,2,11,2,1,0,0,84.65040230135259
15,30,5,19,1,0,1,0,95.62791223613236
28,25,8,14,1,0,0,0,93.96720953821182
32,28,7,18,2,0,1,1,110.3774032400117
23,25,6,15,2,1,1,0,92.96939598354518
23,28,8,18,0,0,0,0,99.0303493247149
30,26,4,13,2,0,1,1,101.44431470987176
31,21,4,7,3,1,1,1,92.64787809531984
10,24,7,20,3,1,0,1,100.9973455384474
37,25,2,19,2,0,1,0,98.58972271734294
10,27,6,13,2,1,0,0,89.09293886283916
40,28,4,16,2,1,1,0,102.46471167835534
20,28,3,14,0,0,1,1,100.05345751510282
38,28,8,8,1,0,0,1,101.95014517561268
32,25,6,18,3,1,0,0,97.96872362985972
31,21,1,19,2,1,1,0,92.07287667726013
12,28,3,13,1,0,1,1,96.0752590160896
41,27,7,20,2,0,0,1,112.6845016691933
24,21,6,19,4,0,0,0,94.512341293493
25,21,6,9,2,1,0,1,94.06036867955416
30,19,6,15,1,1,0,1,97.797602035602
23,17,7,10,5,0,1,0,82.82180784930651
5,28,9,14,1,1,0,1,100.16673684747626
25,23,4,21,2,0,0,0,96.79908978977078
26,27,5,17,1,1,1,0,97.50867207494186
19,26,4,17,0,0,1,0,93.80124635897604
0,25,4,22,0,0,0,0,89.69484266728966
18,27,6,15,1,1,1,1,103.58702177364556
4,23,5,18,0,0,0,0,86.37625010056688
24,25,5,14,0,0,0,0,90.42957084240624
23,27,9,17,0,0,0,1,105.47533432794847
28,23,3,13,3,1,0,1,98.50361626198097
31,19,2,18,1,0,0,0,90.330608166244
27,23,7,18,1,0,1,1,104.85721969757516
37,19,3,26,3,1,1,0,100.8856269439493
16,18,2,11,2,0,0,1,87.28628437225242
32,22,11,17,3,0,1,0,97.55133157660498
28,16,4,29,2,1,0,0,97.79999415558684
-4,24,2,13,1,1,1,0,78.82054359712139
-4,24,9,12,2,1,1,1,91.925886648964
20,19,8,22,1,1,1,1,102.3724029496949
20,19,4,21,1,0,1,0,89.98005389851615
24,21,6,11,2,0,1,1,93.7554942746769
17,23,6,20,0,1,0,0,94.46724285328447
16,23,7,14,1,0,0,0,87.19854727145406
33,22,8,16,1,0,1,0,94.70264484946664
13,25,3,8,1,1,1,1,91.48203931353824
25,18,5,11,1,0,1,1,91.79538999460225
18,31,6,12,1,0,0,1,102.17200053619872
18,27,7,26,1,1,0,0,103.8934276560928
11,17,6,8,3,0,1,1,82.88829020715696
23,30,9,18,2,0,0,1,107.71840984170112
18,19,4,17,3,0,0,1,95.18240266268388
15,25,10,14,1,1,0,1,99.07829875247182
20,29,4,14,0,1,0,1,102.07604916022666
21,21,11,13,3,1,0,0,92.15826404108604
38,23,6,16,2,1,1,0,97.95766347138472
22,25,4,21,2,0,1,1,103.52637831746868
17,25,4,14,2,0,0,0,88.4949565230944
27,22,6,26,0,1,1,1,109.26117537214252
7,33,5,14,1,0,0,0,93.1460277422174
15,17,5,13,1,0,0,0,79.25639422615092
13,26,6,20,3,0,1,0,94.07089503568166
22,30,8,14,0,1,0,1,105.23116091135122
30,27,5,19,2,0,1,0,99.57789992237883
26,27,6,18,3,0,1,1,107.04154885777734
28,24,6,26,3,0,1,0,102.66456869253348
13,20,7,10,3,0,0,0,81.41432780988119
20,33,6,18,0,0,1,1,109.1180949556911
35,17,8,17,0,1,0,0,93.4353621634028
29,20,5,20,0,0,0,0,95.2059428431388
27,23,9,8,3,0,0,1,95.03117378386092
-5,23,11,14,1,1,1,0,84.88968456454988
34,25,5,11,2,1,1,1,102.0847518141202
16,23,5,8,2,1,1,0,82.00479065091453
8,22,9,9,2,0,0,0,80.26060358263523
24,23,7,17,2,0,1,1,101.22378226785835
19,22,6,18,1,0,0,1,97.82718211522156
23,20,0,10,2,1,1,1,91.42298326243186
30,21,6,16,1,1,1,1,101.34269326913191
28,22,6,17,2,1,0,1,102.5548304731944
12,21,6,22,0,1,1,1,101.4717602416842
43,23,3,22,2,0,0,0,101.30595696425422
44,28,8,16,1,0,0,0,104.11910860798888
