education_years,age,gender,minority_status,local_unemployment_rate,job_training_hours,annual_income
8,25,0,0,7,39,165.7000787323494
9,29,1,1,8,48,192.48253844399628
10,28,1,1,8,45,185.1182943391445
6,26,1,0,7,42,175.71364946001387
10,30,1,0,8,46,187.37942865537607
7,30,0,1,9,43,171.62728131290186
16,29,0,0,9,43,172.95706492983217
11,26,1,1,10,45,186.392876862137
11,26,0,0,8,42,174.23914592046503
10,28,1,0,8,45,182.97827087747655
8,29,0,1,6,43,177.25112693926377
10,32,1,0,9,44,178.247357139332
12,31,1,0,11,47,188.2021353647332
8,30,0,1,5,44,177.30721316784792
10,31,1,1,5,42,168.92613257258813
9,28,1,1,8,45,185.23704075520547
11,30,1,1,8,46,186.3886153339986
8,34,0,1,9,45,178.08228781790706
7,31,1,0,9,45,181.5450387161061
5,31,0,1,8,43,173.76957022339056
14,32,1,0,9,47,188.1625259432206
5,32,1,1,7,43,172.9350885629089
9,28,0,1,10,46,187.7313983876213
8,29,0,1,4,42,171.88346324784354
10,31,0,0,7,43,174.8253481501654
10,29,0,0,5,42,169.01449181593892
15,28,1,1,10,50,200.686236616343
11,32,0,0,9,43,172.27421690608935
10,28,0,0,9,45,183.48871369103597
8,30,0,0,9,45,178.65611591252664
10,29,0,0,9,44,178.3988034354521
14,27,1,0,7,44,179.62122206518598
9,30,0,0,8,45,182.60056473976024
10,30,0,0,8,43,174.3544735289674
13,31,0,0,8,46,186.4247369367347
10,29,1,1,6,43,176.6944313563168
7,34,0,1,6,45,179.54447436246323
11,27,0,0,6,42,173.77834374925885
13,31,1,1,10,48,191.89995778358204
3,32,0,0,7,44,178.38807731241144
9,32,0,0,11,47,187.668033062775
11,30,1,0,8,44,179.08499742880628
9,28,1,0,4,43,177.37570999323768
11,27,0,1,5,43,179.81585760388953
12,28,0,0,10,46,187.0822769604513
7,28,1,1,7,43,176.19026170775686
10,28,1,0,3,42,174.7311439188581
5,28,0,1,3,42,175.01210407349785
8,26,0,1,7,42,174.21537076491717
10,29,0,0,8,45,183.43910245368477
9,28,0,1,10,44,178.06369483392962
10,29,0,1,1,40,166.50267515094407
7,28,1,0,6,42,174.80999182072662
4,32,0,0,6,42,168.3027013715666
16,29,0,0,7,44,179.78233855401626
9,30,1,1,8,47,191.123293295062
12,28,1,0,11,48,195.59083272779503
12,32,0,0,7,48,189.77676399945355
6,30,1,1,4,44,183.00212683665328
6,33,1,1,10,46,182.34895935573937
12,27,1,0,8,45,187.51838261236043
9,29,1,1,6,42,172.39317575359905
10,29,0,1,3,42,174.66581227261594
12,30,0,1,6,47,194.296999191531
7,28,0,0,7,40,166.93795459759895
5,33,1,0,11,46,182.987686987581
7,30,0,1,9,48,193.82686685558576
12,30,0,1,7,44,178.39977146148968
9,28,0,0,9,46,189.05166427457425
11,29,1,0,5,44,178.1127752922893
9,29,0,0,8,44,178.729118401278
5,27,0,1,8,43,176.2974384888666
6,30,1,0,9,44,177.1365648769566
11,30,0,1,8,45,181.6232975207344
10,30,0,1,9,46,187.21579394428647
6,29,0,1,8,43,174.8942601102579
11,28,0,1,9,46,188.5498545219637
8,30,1,1,6,44,180.7081364779812
7,31,0,1,8,44,177.43422154524194
6,24,1,1,8,44,183.703228904865
8,35,0,0,10,48,188.6604070930537
-2,28,1,0,8,41,169.7765843114851
11,27,0,1,10,45,185.6451800393943
11,31,0,1,6,45,180.47699830395908
8,28,0,1,6,43,177.68942233901495
7,26,1,0,7,42,174.25315182890054
11,31,0,1,6,46,184.1502111311031
16,29,1,0,10,46,186.94749496335825
15,25,0,0,9,46,191.19619803012992
6,30,0,1,8,43,174.23621776290884
12,27,0,1,8,46,187.6504064408057
9,27,0,1,9,46,188.3439024289377
0,28,0,0,9,40,163.61575518207312
12,25,0,0,9,43,178.8898179043888
13,27,1,0,11,47,193.9306628736427
13,31,0,0,7,45,180.8669701433372
9,32,0,0,7,45,179.18572912782986
9,27,1,1,8,45,184.6920609041663
12,32,0,0,3,46,185.36799182891176
11,26,0,1,12,46,189.97829520753743
10,28,0,0,8,43,174.89609217392533
9,30,1,0,7,43,175.53857409101605
12,28,0,0,5,43,178.1545416089193
11,31,1,1,7,48,194.73079828345675
3,30,1,0,10,44,178.17223071172907
11,29,0,0,10,44,179.26901119582448
11,33,0,1,10,49,193.27701042759293
8,28,0,0,7,43,175.3552464980728
5,30,1,0,4,41,168.58813533463936
13,27,0,0,8,43,176.6091102036366
7,28,1,0,7,42,171.86585878931814
9,30,0,1,8,47,192.11109337239063
11,31,1,1,12,48,194.304516169014
11,29,1,0,7,41,171.0704058917998
9,25,0,0,5,43,178.87811080070978
13,30,0,0,9,46,185.1874708846032
11,30,0,0,9,42,169.03545539764391
8,28,1,0,7,43,175.9971705834825
7,30,0,0,9,43,174.59550893391255
8,31,0,0,6,42,169.97217892726852
10,29,0,0,8,42,172.03133767086794
3,28,1,1,8,44,181.1054308881124
9,25,0,1,8,41,171.08567978101087
11,27,1,0,4,41,172.2924890356229
11,31,0,0,8,45,182.69152197918092
9,30,0,1,7,47,188.8559664755977
9,33,1,0,8,46,182.9093805401112
12,27,1,1,10,46,187.4236812702669
8,29,0,0,5,40,162.3026427122346
10,29,0,0,8,44,178.2912792280896
10,28,0,0,7,42,174.96582570562828
6,29,0,1,6,43,176.08723677297314
10,31,1,1,6,47,190.0992927097919
10,32,0,1,6,45,179.14688280124005
10,32,1,0,10,45,181.03752913724904
10,33,0,1,11,50,197.72519424124013
10,29,1,0,6,42,173.91955395816254
10,27,0,1,8,44,180.93552383675356
6,31,1,0,9,46,185.3187155204173
11,29,0,1,10,46,187.43171866351332
13,29,1,0,5,44,179.85332331067926
16,30,1,1,9,48,194.96242681722103
4,30,1,0,7,44,178.6772118750538
13,30,1,1,7,47,191.24532207465137
8,24,0,0,7,44,184.1670784582356
10,29,0,0,5,45,183.3419466575509
13,30,0,1,7,46,183.3291858317321
10,28,0,1,4,43,177.23316780849635
11,32,1,0,12,47,187.46134790322023
7,34,0,0,9,46,184.3672075161666
10,29,1,0,8,46,188.31356161806224
5,31,0,1,7,44,178.77704989075812
17,26,1,0,11,47,191.80227144350636
7,27,1,0,4,42,175.6557621913697
10,30,1,0,9,46,183.0213233127301
6,34,0,1,7,45,177.2352281234639
7,30,0,1,7,43,173.54737208079473
12,31,0,1,9,50,199.4051913445089
6,34,1,1,10,47,185.42932913098832
10,29,1,0,6,44,178.4710552132354
16,30,1,0,9,46,185.33815279167288
4,31,1,0,6,44,179.51813218390404
12,32,0,0,7,45,182.52068469265083
9,28,0,1,6,43,174.44561762855994
18,25,0,0,7,43,178.8054609342029
12,29,0,1,5,44,177.67366654677332
4,29,0,0,10,44,180.97364427313343
9,25,1,0,3,41,173.1033036031475
10,31,0,0,4,44,180.5981836951955
12,29,0,0,7,44,179.47896462431234
14,30,1,0,4,44,182.288001385558
7,27,0,1,7,44,177.7976160309169
9,29,0,0,8,43,177.57413914063167
10,27,1,1,7,46,190.893615232826
8,34,0,1,10,46,179.79567872252625
9,32,0,1,8,46,183.1353470038836
11,30,0,0,8,46,186.5195433505353
8,28,0,0,10,45,182.61487837091985
10,30,0,1,5,46,187.01844576051195
6,30,1,0,11,45,182.9430351244132
11,29,0,1,6,43,174.91409265390814
11,34,0,0,8,48,189.8700579293962
13,27,0,1,9,47,192.3719999583897
9,25,1,1,9,45,187.1784686691749
14,32,0,0,9,48,193.9232201040855
12,30,1,0,6,48,194.140675276439
14,36,0,1,7,47,186.4468402915153
9,31,0,0,9,49,196.67935188532965
12,29,0,0,8,45,183.85529509979028
11,29,0,0,7,44,180.06683553892182
9,31,0,0,4,43,176.6804298068449
8,32,0,1,10,45,178.31311487192883
13,28,1,0,7,42,170.0234237691979
12,34,1,1,7,48,192.3662046904264
11,33,1,0,5,47,187.7057627023802
8,29,0,0,10,44,178.94024575427434
12,29,0,0,8,43,175.4020782974637
8,30,0,0,8,47,189.20312934706809
8,30,1,0,7,45,183.927969028174
8,34,1,1,9,47,186.77474224067808
15,34,0,0,6,46,183.96830216929845
12,32,0,1,7,50,202.3273269177459
11,32,0,0,12,46,181.4204209184307
15,30,0,1,6,47,191.62674135073107
11,30,0,0,9,44,174.7439981738096
6,27,0,0,11,46,187.64026964707108
7,30,1,1,7,45,182.3805691585704
6,31,0,1,12,45,178.85510131117474
7,27,0,0,8,40,163.8485385042381
8,32,1,1,8,45,179.84652413215883
8,29,0,0,7,45,183.99179465359208
9,32,0,0,8,46,185.09038951584688
4,30,0,1,7,45,183.07688647294196
9,28,0,1,5,45,186.0647850577689
10,28,1,0,7,45,183.7434010072698
5,27,0,0,7,42,175.8580709082768
10,33,0,1,8,49,194.32700666239845
8,29,0,1,8,45,180.5424276589123
10,31,0,1,8,45,182.11224530261035
7,32,1,1,10,49,197.26355842808547
9,26,1,0,6,45,185.5115663338057
9,29,0,1,7,45,182.41642620001716
15,27,0,0,9,45,184.4913281748936
10,31,1,0,8,46,186.72817365932917
7,28,0,0,7,40,166.72646675667772
8,29,1,1,10,45,181.75248539801663
7,27,0,1,5,41,173.7270322003367
8,27,0,0,8,40,164.9265896589607
10,31,0,1,6,46,183.393012728666
8,29,1,1,8,47,190.8694689309444
9,31,0,0,8,46,186.35533556910312
10,29,1,1,8,45,184.7300174486564
15,30,0,0,9,47,190.58259509372215
11,30,1,0,6,45,182.4404050471466
9,30,0,0,10,46,186.1832131774619
11,32,0,0,4,44,181.74814761899836
12,30,0,0,7,43,176.94351524568404
6,27,0,1,9,44,182.20728465878776
11,28,1,1,11,50,202.10161728357636
13,30,1,0,8,46,187.7679800785933
15,29,1,1,7,47,192.8314590580721
10,29,1,1,7,44,180.05973569684392
8,28,1,0,11,44,180.126030879948
7,28,1,0,8,43,175.03778343171058
11,29,0,0,10,43,175.54914457886693
9,27,0,1,9,46,189.69348348115568
11,30,1,0,7,43,176.78205118055266
10,33,0,0,7,45,180.8306441450824
8,33,1,0,11,47,184.84129471751652
12,28,1,1,11,47,191.41011588237373
11,31,0,0,8,48,195.96106374444537
5,31,0,1,9,46,186.6254439914377
10,29,0,0,7,46,187.5925125212646
4,27,0,1,7,41,168.55029077033242
13,29,1,0,10,45,184.2818961090712
14,30,1,0,8,48,194.84185561273256
10,31,1,0,14,47,188.18907550145187
12,29,1,0,7,43,175.46245574922446
2,28,0,0,10,42,171.6713719278121
9,31,0,1,6,43,173.60481593547
12,28,0,1,10,48,193.93599596782605
8,30,1,0,8,44,178.21038623223674
9,32,1,1,6,43,174.52274430126147
14,31,0,0,9,44,177.49407123504292
11,29,0,0,7,42,171.61908447541512
11,33,0,0,8,44,177.70288617738117
8,32,1,0,11,47,187.84589903784365
8,33,1,0,10,48,189.9581102901126
9,30,1,0,9,47,192.6178845089377
8,32,1,1,9,44,177.65160798620568
9,28,0,0,6,41,170.27785541041882
10,31,0,1,5,46,185.9936474976332
7,31,1,0,6,44,180.35055713486693
16,30,1,0,8,46,187.2838683030544
9,24,1,0,6,43,179.34982202098803
9,27,1,0,7,43,179.60421246176364
10,32,1,1,6,45,179.7349480785082
9,30,0,0,12,48,193.1337071420917
15,35,0,1,10,48,189.2390408774284
8,25,0,1,12,44,182.7429141051126
12,27,0,1,7,42,172.955803041644
8,31,0,0,6,44,176.4161570234537
11,31,0,0,8,44,176.77632203223376
14,28,0,0,6,44,182.35714677069916
7,26,1,0,10,46,189.2842994698473
11,25,0,0,4,41,172.73035525569912
9,29,0,1,8,44,181.33990199774928
3,31,1,1,6,42,171.13133228471315
8,27,0,1,6,42,174.96050529073878
9,28,0,0,9,46,189.56233627655212
8,32,1,1,10,45,177.2617141954034
6,31,0,0,8,45,180.3204779210793
13,28,0,1,8,45,184.00446470390884
14,32,0,1,8,47,187.8330047526597
9,27,1,1,7,42,172.56520433971212
9,31,1,0,7,43,173.42288389122064
13,31,1,1,6,46,185.32191143612928
7,28,0,1,7,45,183.152692887787
12,35,1,1,8,48,187.50540682819
10,28,0,0,12,47,191.8975518805815
7,31,1,1,9,47,188.34213851266355
3,32,1,0,8,42,169.47188249216205
13,32,1,0,7,46,187.2779688376412
11,30,1,0,9,47,188.40523368864297
8,32,0,1,6,44,176.41115807316388
6,36,1,0,3,39,154.25946161759194
11,26,0,1,6,44,182.78549682848444
6,33,1,1,1,42,168.16315262889265
7,33,1,1,10,48,193.10191680579857
10,34,0,1,6,43,170.49236754703716
12,29,0,1,8,47,193.1517350324032
9,26,1,0,6,42,177.7184239472888
8,33,0,1,7,47,183.50948863362663
8,30,0,0,9,42,168.29811348097786
16,31,1,0,12,49,194.98577241601228
2,28,0,0,8,43,176.0178672930495
6,32,0,0,8,43,173.14922138311977
11,30,0,0,9,45,184.54375189127663
11,33,0,1,5,42,166.64478744077422
11,29,1,0,3,42,171.89192890638373
9,32,1,0,7,43,174.12840460540338
8,30,0,0,10,45,180.165044147558
9,31,0,0,9,44,181.66933427378297
5,30,0,1,8,43,171.65545104449933
9,29,0,0,9,46,186.31350022156843
12,26,0,1,9,44,184.6691145628481
13,31,0,1,7,45,179.10426869108343
14,29,0,1,7,45,185.27320208759755
6,30,1,0,7,44,179.4523554129846
9,26,1,0,4,37,157.7425777284657
9,29,1,1,8,47,192.6085091880851
2,30,1,1,6,43,174.082027149594
13,31,0,0,6,46,184.36975297870293
9,30,0,0,4,42,169.17026673207323
14,29,0,1,7,47,190.9046919784778
5,28,0,1,11,44,179.83871582911385
8,27,0,1,8,44,182.2041593384305
6,29,0,1,7,44,180.9482118433412
9,28,1,1,6,44,183.7685522316961
7,25,0,1,7,43,180.18605207021548
11,28,1,1,6,47,190.0817435838916
10,26,1,1,6,46,192.4095269426342
11,28,1,0,8,43,175.50013841921898
13,29,0,1,8,45,183.8976088252412
6,29,1,0,8,42,172.77666679730055
9,34,0,1,5,46,184.0849636558316
14,27,0,1,8,47,192.51716094186597
8,32,0,1,8,45,179.98620685661646
11,28,1,1,10,46,189.510643898615
8,32,1,0,5,42,168.92407597456616
8,27,1,1,6,44,180.24659799978429
10,31,0,0,9,48,194.8767823133562
7,29,0,0,10,44,179.352841371172
7,26,0,0,10,45,187.68915861808173
11,29,1,1,5,45,182.21097944462133
15,26,0,1,9,48,196.4509111955974
11,28,1,0,11,46,186.51052949224857
12,33,0,1,8,48,192.0388586221114
14,34,1,1,9,50,198.91918848188385
12,34,1,1,8,49,194.88244698542343
13,27,0,0,7,43,177.25239317117752
11,30,0,0,12,47,187.5349074136575
10,28,1,1,5,46,188.0912313467808
10,36,0,0,4,44,172.66076113758416
9,29,0,1,7,47,191.89785318495544
14,31,0,0,7,44,175.92016362670677
5,33,0,0,7,43,174.25884804797758
11,30,1,1,6,46,183.3478864323174
9,29,0,0,9,44,178.1477273780482
9,31,1,0,6,43,174.34661186494472
12,25,1,0,5,45,188.033645842309
13,28,0,0,8,44,178.89113510168485
8,32,0,1,8,45,181.0002582985296
8,32,0,1,8,47,186.256557705045
13,27,0,0,7,45,181.79263154757427
7,33,1,0,8,44,174.0180901266263
6,26,0,1,10,41,167.42949880873434
7,34,0,0,8,46,181.6366996905201
12,30,1,0,8,43,175.78160997214837
8,33,1,1,8,46,179.11642413694707
10,32,0,0,6,46,184.9549974541995
9,26,0,1,11,42,176.05353642320134
10,30,1,0,8,46,186.96596591970945
13,32,0,1,9,48,191.01179437174497
6,33,1,1,6,45,181.3614886409991
15,27,0,0,8,46,186.80941217149785
9,28,0,0,10,44,180.57520751151984
5,33,0,1,4,42,168.69794044990385
10,29,1,1,13,48,195.93106324901763
10,31,0,0,6,44,177.14526672037047
11,27,0,1,7,44,180.15884885195072
6,29,1,1,5,43,172.9278150186081
15,30,1,1,10,48,192.86777150873127
14,29,1,0,6,44,180.68627047470963
9,25,0,1,6,42,176.46379563383388
7,27,0,0,9,41,166.94017241761642
11,28,1,0,4,42,173.3527844328522
8,30,1,0,8,48,196.9697921325535
13,32,0,1,5,45,182.0949729091417
11,32,0,0,9,47,188.664746080906
12,27,0,0,6,41,170.75556056908025
9,28,0,0,10,46,185.63754027730775
6,33,0,1,8,47,186.25888376282293
10,28,0,0,6,44,182.6658199458378
9,30,0,0,6,43,174.51635254383066
10,31,1,1,6,45,181.0610677973077
9,31,1,1,7,45,185.31483398415665
10,27,1,0,9,45,183.72340177747324
13,28,1,0,9,46,187.9458453424652
13,33,0,0,6,47,188.6193222257727
9,34,1,0,7,47,188.4070570652676
10,30,1,1,9,47,189.62964075691556
7,30,1,1,9,47,191.7180520646509
9,29,1,1,7,44,178.1422875283004
8,26,1,1,9,45,187.17816767464515
9,30,0,1,11,49,196.1375552804243
11,29,0,0,7,45,182.76852395755736
12,34,1,0,5,46,184.07180878729585
9,29,0,1,11,46,186.00603289954293
11,29,0,0,8,43,175.68475122445125
9,30,1,1,6,44,179.1638984266581
8,32,1,1,6,44,177.43055674446668
10,29,1,1,10,45,180.73209923760044
5,28,0,1,11,46,184.79221054681065
12,29,0,1,9,47,190.91333180577777
8,28,0,0,10,46,185.55062086573247
9,27,0,0,6,39,164.46446714369918
11,29,0,1,10,46,184.6739867779215
9,31,0,0,8,42,168.4611903992798
11,31,1,1,7,47,192.3132523654313
12,28,0,1,11,48,194.86751595238653
14,30,1,0,6,45,182.38798247356985
7,31,0,0,4,43,174.57323506145948
8,33,1,1,9,48,189.1421683477952
9,25,0,1,4,42,174.45653034649877
9,32,1,0,9,45,182.3405869399141
18,27,0,0,8,45,184.24361633569475
3,28,1,0,8,43,175.6611895044734
10,26,0,0,4,41,171.7320213065387
10,30,0,1,9,43,172.4437055814147
14,30,0,0,6,45,183.33220729626896
6,28,0,0,10,41,168.2530012584672
12,28,1,1,11,48,195.014818091837
13,32,0,0,7,46,184.57140347601305
13,28,0,0,12,45,184.01153526712628
13,26,1,0,6,44,183.0644354000174
7,30,0,0,9,43,175.04809456322522
8,33,1,0,8,44,174.51152882091773
4,30,0,0,6,43,176.42842553174455
10,31,1,1,9,47,188.11239303259825
13,30,1,0,5,44,180.7716663993829
7,28,0,1,7,45,183.9925175685926
11,30,1,1,8,48,196.2783077452293
8,30,0,1,5,44,177.40120660238338
6,33,0,1,8,47,188.31367849184747
5,28,0,0,9,48,195.1483659524509
12,31,0,0,11,47,187.63867986429608
17,28,0,0,7,44,177.92456325849764
8,34,1,1,10,47,185.3133486924616
14,31,0,0,9,49,197.38411749084364
12,31,0,1,5,46,186.87113988989825
8,30,0,1,7,46,185.5309688309705
12,30,1,0,10,46,185.6172430534814
8,29,0,1,9,45,182.1273599929353
9,29,1,1,6,43,176.6727490615184
5,28,0,1,6,42,172.63534219195105
14,33,0,1,8,47,186.80948518717136
6,30,1,0,7,43,173.82095573800893
7,31,0,0,7,44,176.20579015800564
15,32,1,1,11,49,196.4225057156594
7,25,0,0,7,41,171.08222080218067
11,27,1,0,10,46,191.62068766339453
8,27,0,0,9,43,173.92392221205054
13,29,0,0,10,45,181.83518989469124
8,31,0,0,8,45,179.74185080244308
7,30,0,1,8,45,182.16746536027264
6,32,0,0,6,42,169.5653493487029
11,27,0,0,6,43,177.90678820156617
6,32,1,0,9,44,177.31447455482387
9,28,0,0,3,41,169.20579472484457
5,30,0,0,5,41,169.46590091710297
11,32,1,1,8,48,189.559421367792
6,33,1,1,7,46,183.3561846612248
6,25,0,0,6,42,177.40788183246943
