age,education_years,previous_month_income,gender,rural_residence,minority_status,microcredit_recipient,current_month_income
28,29,4,0,0,0,0,37.85304094193333
24,29,8,1,0,1,0,37.255297131112975
23,17,9,0,1,0,1,50.09060172630554
39,7,11,1,1,0,0,43.99822112711633
35,14,18,0,0,0,1,49.58229291906902
37,18,16,0,1,1,1,46.80086202376564
15,18,11,1,0,0,0,43.03467051008784
18,5,12,1,1,0,0,48.76686349660776
39,19,8,1,0,1,1,45.74847342775151
28,24,7,1,1,0,0,39.53084639500523
20,22,11,1,1,0,0,39.88676703985525
24,22,12,1,1,1,1,47.679719369876366
36,14,12,1,0,1,0,42.51558552172988
11,13,9,0,1,1,0,47.049272471764674
28,23,11,1,0,0,0,36.38664434698603
36,22,7,1,0,0,1,48.15372000809914
17,9,12,0,0,0,0,48.96578985273832
21,19,7,1,1,0,0,41.95762581319836
30,18,9,0,1,1,0,40.5209788671204
48,22,8,0,0,0,1,45.98392357585516
26,13,13,1,1,0,0,44.06550868126402
40,18,7,1,1,0,0,40.7411542099407
31,15,10,0,1,1,1,49.63253021787169
26,16,5,0,0,0,0,43.405199053801205
29,24,14,0,1,0,1,46.478581719107744
19,19,11,0,0,0,1,52.01289031948608
31,19,11,1,0,1,1,50.65646428586167
36,16,13,0,1,0,0,38.170944975610674
18,10,12,0,1,0,1,53.33711239672911
42,24,9,1,0,1,0,36.54663151499049
26,10,11,0,0,1,0,44.66772052237353
38,8,13,1,0,0,0,40.28418190295544
26,22,8,1,0,1,0,37.6874357335522
29,18,7,0,0,0,0,40.68437029230137
31,30,11,0,1,0,1,45.34949517702338
41,27,9,0,1,0,1,42.965109922030855
36,17,11,1,0,1,0,38.65786605657088
21,14,6,0,0,0,1,53.03870407299308
32,12,10,1,1,1,0,41.71620481283279
30,21,7,0,0,0,1,49.31143335508483
43,14,13,1,0,1,1,49.18948095548331
30,30,6,0,0,0,0,35.703702289181585
14,12,12,1,0,0,0,45.98039945636597
28,23,13,1,0,1,0,38.59415780163764
40,28,6,0,0,1,1,45.82494039522938
18,21,13,0,1,1,0,40.53840415701372
23,15,10,0,1,1,0,41.75314215639706
33,25,11,0,0,1,0,37.12949631013895
25,6,8,0,1,1,0,44.54271367951819
40,15,12,0,0,1,1,46.404325578751326
29,15,11,0,0,1,1,49.46291261594533
23,30,10,1,0,0,0,39.16112187217046
36,27,6,1,1,0,1,46.478867417889646
38,25,10,1,0,0,0,36.26235175228085
33,23,9,1,0,0,0,37.79238057497865
31,27,12,0,1,0,1,45.69050813623181
30,18,13,1,1,0,1,48.202353888173874
30,25,11,1,1,0,0,38.43808627747584
14,14,9,1,0,0,0,46.66201262176539
17,21,8,0,1,0,0,41.48790601502757
31,29,13,1,0,1,0,36.3990999696493
24,20,10,1,1,0,0,42.09691868909095
25,15,6,0,1,0,0,43.30645295723215
32,17,6,0,1,0,1,49.29111822541356
18,21,11,1,0,0,0,41.71912801060901
31,32,8,0,0,1,0,34.8988300673371
35,32,9,1,1,0,0,33.80012709177598
32,11,8,1,0,0,0,42.640384517714416
28,20,9,0,1,1,0,40.07091403644896
21,13,10,1,1,1,0,42.56931140994448
39,16,13,1,0,1,0,39.76684907355693
20,26,14,0,0,1,1,47.19410851490518
35,20,10,0,0,0,1,48.17391642649788
22,10,5,0,0,1,1,53.553241778999855
32,7,11,0,1,1,1,53.90995512423648
27,30,10,1,0,0,0,37.27164625608096
24,17,9,0,0,0,1,53.10362560244245
21,18,13,0,1,1,0,40.32685196975069
22,11,11,0,1,0,1,51.67082486123179
38,22,3,1,0,0,0,40.31215952235576
30,22,14,1,0,0,0,39.480486049866784
37,14,13,1,0,1,1,51.25486225346713
30,23,10,1,1,1,0,38.042996098485446
32,14,9,0,0,0,1,51.4151166157294
30,14,12,1,1,0,0,39.77292521097009
31,20,13,0,1,1,1,46.9416387302354
32,17,12,1,0,1,0,40.08586818251315
21,20,10,0,0,0,0,40.61054625748328
24,9,18,0,0,1,0,41.10517123377274
36,16,11,0,0,0,1,48.636067742234125
35,12,11,1,0,1,0,41.81488432779449
22,16,11,0,0,1,0,43.026308315535175
21,0,10,0,1,0,0,48.00194398527155
42,21,13,0,1,0,0,37.78055747981138
26,22,11,1,0,0,0,41.238040369113065
24,20,15,1,1,0,0,40.2080027577078
24,20,11,1,1,1,0,41.261854524881855
33,25,4,0,0,1,1,48.10739060236844
40,29,10,1,1,1,1,45.32766609505169
26,22,8,0,0,1,1,51.66517134361433
29,18,6,1,0,1,0,40.81998303068989
28,16,9,0,1,0,1,50.39529135692968
35,20,11,1,1,1,0,37.95324259786678
30,13,9,1,0,1,0,41.98464866060771
22,22,6,0,0,1,0,40.74842554296794
19,17,9,0,1,0,0,43.350760402702726
39,25,11,1,0,0,0,37.18673736134281
24,17,3,1,0,0,1,50.63022573642754
29,21,11,0,0,0,1,50.45620678279193
28,28,11,0,1,0,0,35.77259964940974
17,24,12,0,1,1,1,50.70838004559136
26,21,7,1,1,1,1,49.76827360113665
34,31,8,1,1,0,1,43.78523684451646
17,34,2,0,1,0,0,39.23919468594607
36,25,11,0,0,1,1,46.44009449023719
35,23,13,0,0,0,0,37.59844626213463
38,30,8,1,0,1,1,43.417881711801456
43,21,4,0,0,0,0,38.79372434456397
27,14,6,1,0,0,1,52.72213384756472
19,17,6,0,0,1,1,54.55383154202458
31,25,4,1,0,0,0,38.92432102910782
17,23,14,0,1,0,1,48.07679606862077
45,18,14,0,1,0,1,45.58319811128526
9,11,9,0,0,0,0,49.61249134096055
29,27,10,1,0,0,0,38.02384848673812
25,11,14,1,0,0,0,43.18479817410179
23,17,14,1,1,1,0,40.2842426548564
27,27,13,0,0,0,0,36.46953515448166
23,14,8,0,1,0,1,51.52394494206428
33,13,14,0,0,0,0,41.03791118067368
37,23,10,1,0,1,1,46.19522025470832
19,8,10,0,1,0,1,53.91902789602134
32,19,2,1,0,0,1,49.17174345988831
48,16,13,0,1,0,1,45.90917644815315
22,18,11,0,0,0,0,40.3754085844104
27,12,10,0,1,1,0,42.23574454948275
19,23,8,0,0,0,1,49.78227297261821
24,23,8,1,1,1,0,40.27855543212417
30,15,10,0,0,1,1,51.19663954535772
18,23,8,1,1,0,0,41.59189261812536
29,22,7,0,1,0,1,48.74735184113322
39,24,8,0,0,1,0,38.68920110099649
33,13,15,1,0,1,0,40.99096044399445
25,23,9,0,1,1,1,47.62622312700701
30,19,10,0,0,1,1,49.6540571371463
37,22,4,1,1,1,1,44.68166474766503
44,13,10,0,0,1,0,38.76197218756834
38,23,8,1,1,0,0,37.57092297761552
23,20,13,0,0,0,1,49.25864489346518
29,21,12,0,0,0,1,46.98811201331578
28,8,10,0,1,0,0,44.7103616401391
25,21,8,1,1,0,0,42.47448531085562
33,11,8,0,0,1,1,50.8950623938102
33,13,11,0,0,1,0,41.15939618480006
30,21,14,0,0,0,1,47.315573692965664
36,20,7,0,1,0,0,37.5420940826798
33,22,14,1,0,1,1,49.05875430260974
28,18,7,0,0,0,1,49.43559504573235
30,13,6,0,1,1,1,52.39403706586884
16,10,9,0,1,1,0,44.76760781204736
30,12,7,0,0,0,0,43.69674089782104
34,28,8,0,0,0,1,46.87645155082031
26,18,8,0,1,1,1,49.14315483174218
17,24,6,1,1,1,0,37.59482355507049
39,14,11,1,1,1,0,38.8678303878738
42,20,14,1,0,0,0,36.57911301350048
36,11,13,1,1,0,0,40.67513321339033
29,20,7,0,1,1,1,47.80344752929329
17,23,13,0,0,0,0,42.17787351991449
30,18,11,1,1,0,1,49.3486557880544
37,14,12,1,0,0,0,41.65167781623254
41,35,11,0,1,1,1,41.77635151219643
25,11,8,0,1,0,1,52.43164994429851
36,22,9,1,0,1,1,46.556678362507405
26,15,9,1,1,1,1,51.76561063572894
20,22,13,1,1,0,1,49.0990130420882
25,24,10,0,1,0,1,47.72850048809706
29,20,17,1,1,0,0,37.33762459396945
10,19,8,0,1,1,0,40.88938584461557
38,15,7,1,1,0,1,50.7922661882581
21,11,13,1,0,0,0,44.79999774718145
28,16,11,0,1,0,0,40.48502998245221
19,19,10,1,1,1,1,51.94635930044766
43,21,12,1,1,0,1,45.572806232830914
21,17,10,0,0,0,0,44.43501583644806
27,20,11,1,1,0,0,39.05454371544844
40,29,15,0,0,1,1,41.684326339105496
19,10,13,1,1,0,0,43.12798891303076
23,8,9,1,0,0,0,44.81875525438388
34,21,7,1,0,0,0,39.90139724195373
39,19,9,0,0,1,0,38.398996432443774
31,25,5,0,0,0,1,46.67674660381988
16,16,12,0,1,0,1,52.642755928799694
40,19,5,0,0,0,1,48.26550210663108
30,21,11,1,1,0,0,38.75077651592393
24,14,6,1,0,1,0,42.535587963835006
35,25,9,0,1,0,1,45.05639197335481
31,22,18,0,0,1,0,37.04908519748262
34,19,5,0,0,0,1,47.400148145889496
37,19,13,1,0,1,1,47.456837371213695
35,22,7,1,1,0,0,39.01823020593908
31,22,6,1,0,0,0,40.37359204489886
32,21,11,0,1,0,0,39.73272063781326
32,12,12,0,1,0,1,50.150000431476414
27,25,4,1,0,1,0,39.17875652861041
31,8,8,0,1,1,0,43.895188575356144
28,23,14,1,0,1,1,48.54391184551004
44,16,14,1,1,0,0,36.6176738954516
25,26,11,1,0,1,0,38.55553104103662
25,20,9,0,0,0,1,51.70603318939883
32,19,14,0,1,0,1,49.1037532949043
28,14,10,0,1,1,1,52.50146580173429
28,-5,7,0,0,1,1,58.54720210428026
34,15,15,0,1,1,0,39.93773601660196
21,7,12,0,1,0,1,53.210742162542445
32,24,3,0,0,1,0,40.05747495154035
22,19,6,1,0,1,0,41.89214288431975
31,26,10,1,0,0,1,46.63443350782536
25,18,12,1,0,0,0,42.48266575706143
27,21,10,0,0,0,0,41.03101956345899
26,6,9,1,1,1,0,44.75581402252647
28,26,11,0,1,0,1,45.96150062815688
23,20,9,0,1,0,0,39.98560599219463
28,20,9,1,0,0,1,48.569191128799154
38,23,13,0,0,1,1,45.96691574020059
36,21,5,1,1,1,1,48.8175845270396
36,20,2,1,0,1,1,47.54256025272645
31,26,8,0,1,0,1,46.00552763533134
26,22,5,1,0,0,0,41.54991280861572
25,27,15,0,0,1,1,46.21681096595012
31,25,11,0,0,0,1,47.42625037964099
24,17,5,0,0,1,0,43.41257361021384
32,9,9,0,0,0,0,42.90169244217912
19,18,11,0,0,1,1,53.714028224433015
36,23,13,1,0,0,1,45.17043339475448
12,18,13,0,1,0,1,53.391610703264426
22,15,6,0,0,0,0,44.30016929843664
22,11,10,0,0,0,1,52.48720016621902
22,24,9,0,0,0,1,49.51657721022995
27,16,13,1,0,0,0,42.899079777098166
44,32,6,1,0,1,0,33.340834843923254
39,22,8,0,0,0,1,45.22287498712418
12,24,7,0,1,0,0,41.50650840986823
29,17,9,0,0,1,0,41.77287205063959
32,20,13,1,0,0,0,39.026617947578096
26,16,12,1,0,0,0,42.72070147036956
37,14,9,0,0,0,1,49.81788459474695
24,15,9,0,0,0,1,51.40141605960583
43,23,4,0,1,0,1,46.33328378742619
24,24,7,0,0,0,1,48.04787507580284
29,29,8,1,0,1,0,37.52405964227685
25,12,10,1,1,0,0,41.61547351215106
29,24,7,1,0,0,0,38.34021455234424
29,17,9,1,0,1,1,49.4765607447857
30,17,6,0,1,0,0,40.76818369494924
36,26,7,1,1,1,0,35.42315593699636
21,20,7,1,0,0,0,42.65358734034074
22,15,5,1,1,0,0,42.28047955132944
22,7,11,0,1,1,1,54.75878800856104
26,19,2,0,0,0,0,42.84060820449256
25,18,13,1,1,0,0,39.35772188950372
37,9,11,0,1,1,1,50.19409852983532
31,12,5,0,0,0,1,51.98868739664068
24,8,7,1,0,1,0,47.50385325080374
33,21,11,1,1,1,0,36.24639571382448
23,14,7,0,0,0,0,42.3280561525232
29,18,9,1,0,0,0,43.36276192067176
29,19,8,1,1,1,0,39.8155376546569
36,30,10,1,0,0,0,35.16391715873176
22,13,5,1,0,0,0,44.7129594884336
30,27,12,1,0,0,0,36.32931710163718
14,35,10,0,0,0,1,45.36456799766618
35,17,11,0,0,0,1,47.66425531403768
39,26,9,0,0,0,0,36.106277923901125
34,24,11,0,0,0,1,46.21809420226551
24,28,2,1,1,0,0,38.48231231510936
22,25,11,0,1,1,0,38.09244989802748
38,26,5,1,1,0,0,36.04447080585845
40,18,10,0,0,0,0,37.51877297158547
35,24,6,1,1,1,0,38.75663031362516
31,15,13,1,0,1,0,40.278870978974325
19,27,7,1,0,1,1,50.931927408043336
37,16,9,0,1,1,1,48.11873021188607
33,24,10,0,1,1,1,44.17121428845521
21,15,3,1,0,0,0,45.218674538863695
27,11,9,0,0,0,1,51.19536650461066
31,14,9,1,1,0,1,52.15960759252991
41,21,6,0,1,1,1,46.84128471741147
18,16,7,0,0,0,0,42.75224253060223
31,18,13,1,0,0,0,38.72211222303061
32,21,13,1,1,1,0,37.93254159371755
21,20,10,0,0,0,0,41.984302057276736
16,16,12,0,0,0,1,52.57804823114609
40,29,9,1,1,0,0,35.24099521852184
29,23,9,0,1,0,1,47.11401754627309
19,14,10,1,0,0,0,45.23557412723192
18,21,13,1,0,1,1,48.79466295877415
28,15,4,1,0,1,1,54.180793236587945
27,14,5,0,0,0,1,53.02428825079693
24,17,12,1,1,1,0,41.61124469986996
31,26,10,0,0,0,1,47.37105289555192
54,11,12,0,1,0,1,45.8945014437826
30,17,7,1,1,0,0,39.16785382030807
47,19,9,1,0,0,1,47.55189222581029
12,20,7,0,1,1,0,44.20095149316419
34,26,4,0,1,0,1,46.04719369571991
25,24,17,1,0,1,0,37.87873036893952
25,25,15,0,0,0,1,48.49266220184413
22,17,7,1,1,1,1,51.7573325561258
30,15,11,1,0,0,0,40.67563816524965
26,18,7,1,1,1,0,43.71011188957141
46,9,10,0,1,0,0,38.97787077598546
28,24,12,0,0,0,1,44.72409808262828
38,25,13,0,0,0,1,44.41056066780154
28,36,15,0,0,0,1,42.95875412013385
37,34,10,0,0,0,1,42.95642572127177
33,22,7,0,0,0,1,49.193384313271295
19,20,8,1,1,0,0,42.69631688455235
34,31,16,1,1,0,0,31.28065799811631
28,7,7,1,1,0,0,45.21356370466948
39,20,7,1,0,1,0,38.64725138552487
27,23,5,0,1,0,1,48.16205034778561
26,13,12,0,0,0,0,42.59285921325732
27,14,8,0,1,0,0,41.228632494929016
32,10,13,0,0,1,1,50.84495076096269
24,25,14,1,0,1,0,38.00537835317505
32,15,9,0,0,0,1,51.804608974698574
22,29,9,0,0,1,1,47.06460128936778
26,24,9,0,1,0,1,46.2413814280713
53,25,10,0,0,0,1,42.300052810060784
41,29,3,0,1,1,1,45.93391212854042
18,12,11,0,0,0,1,55.45664989085999
27,22,5,0,0,0,0,39.6943028264679
31,18,6,1,0,1,1,53.08650419868118
28,20,9,1,1,0,1,47.43304073671138
23,18,8,1,1,0,0,42.3351935769299
22,17,11,0,1,1,1,49.45251420280688
33,19,12,0,1,0,0,37.99753352563928
25,20,18,0,0,1,0,38.958826730374085
40,13,12,1,1,1,1,49.09565380101417
34,6,14,0,1,0,1,51.89818558316372
28,23,9,1,1,0,0,40.628350897410144
50,26,7,0,1,1,1,41.558174270085125
30,16,3,0,1,1,0,40.85566977856508
26,27,13,0,0,0,1,47.41908395164906
45,27,6,1,0,1,0,35.820067683312814
33,19,12,0,0,1,1,49.301939160713744
23,22,10,0,0,1,1,49.87941751731068
24,18,8,0,0,1,1,50.54306028882373
13,14,8,0,0,1,0,44.22397576656065
48,17,13,0,1,1,1,43.85626466420957
38,21,5,0,0,1,1,45.50400067628847
32,24,10,0,1,0,0,37.66904420719252
25,26,8,1,1,0,0,37.73310535425884
43,15,16,1,1,0,1,46.39070334219124
26,32,9,0,0,0,1,45.71240256910195
37,26,8,1,0,1,1,45.5588673069466
24,16,14,0,0,1,1,50.21524613185941
32,26,6,1,0,0,0,38.44725252759387
33,17,10,1,1,1,1,49.71180887260319
26,28,13,0,1,1,1,44.725885751800405
18,15,6,1,1,0,0,44.97903509067015
27,43,7,1,1,1,0,33.11976297944538
36,23,12,0,1,1,1,43.68607010585761
28,14,5,0,0,0,0,43.46194250901038
36,28,15,0,1,0,1,42.33627919942085
28,13,12,0,1,0,1,50.74500356396112
25,13,14,0,0,0,1,52.987658765599015
42,9,9,1,1,1,1,50.79524195513807
44,17,10,1,0,0,1,48.70568592755839
31,24,10,0,0,1,1,46.77346520575984
27,23,10,0,1,0,1,48.49260710347404
41,9,16,1,0,1,0,40.451978725707455
30,23,9,1,0,0,0,40.52111636883057
27,19,16,1,0,1,1,49.48513085208703
23,23,11,1,1,0,0,38.17493603617453
37,23,6,0,0,1,1,47.23987929831792
25,20,8,0,0,1,0,40.37767795476907
33,18,10,0,1,0,1,47.56146523124579
22,23,7,0,0,1,1,48.03012194550513
36,15,14,0,1,0,1,49.803014499679136
46,16,11,0,0,0,1,46.871811763096005
36,9,3,0,1,1,0,42.41994261185739
33,14,12,0,0,1,0,41.08750710993455
28,25,11,1,0,0,1,49.97954888091706
39,22,12,0,1,0,1,46.48361780860365
35,21,15,0,1,0,1,45.19712805723203
27,22,6,0,1,0,1,49.97214577706499
24,17,5,0,1,0,0,41.387703167571175
18,4,15,1,0,0,0,47.99130784577509
32,11,9,1,1,1,0,42.46430479409502
28,15,6,1,1,1,0,42.16659199664738
35,23,10,1,1,0,1,47.38529238360303
34,14,13,0,0,1,1,49.51616313356048
18,10,10,1,1,1,0,44.6619836706142
37,26,11,0,0,0,1,44.25891509848479
27,12,12,1,1,0,1,51.820716964572966
35,19,9,0,1,0,1,50.4636968547772
28,26,17,0,1,0,1,44.56183608327345
37,16,11,0,1,1,1,48.46976224538357
17,28,8,1,0,0,0,38.66470206661896
20,17,12,0,0,1,1,52.07903057425238
32,17,9,1,1,1,0,39.34557362421783
24,24,10,0,0,0,0,40.19772208868229
22,15,3,0,1,1,1,54.17917160890784
30,27,3,0,1,1,0,38.08892067057369
24,14,11,1,0,1,0,41.72727169857487
28,17,11,1,0,1,1,51.27121302283454
41,16,8,0,0,1,1,48.75171688836261
39,18,12,1,0,0,1,47.59875200005985
20,13,14,0,1,0,1,54.343490162627006
31,25,5,0,0,0,1,49.82197627399624
21,23,13,1,0,0,0,40.346518048425885
48,18,12,1,0,0,1,44.41729622917616
28,6,6,1,0,1,0,46.08136381770237
19,11,15,0,1,0,1,52.05926906377315
29,13,12,0,0,1,1,49.87311901643998
30,15,9,0,0,0,0,43.09016750042535
21,20,11,0,1,1,1,50.73178092512421
30,13,6,1,0,1,1,53.50632819874573
46,16,10,0,0,1,1,48.0786950636061
33,26,15,0,0,0,1,45.52916745557958
22,25,15,0,1,0,0,36.76308981771727
37,24,17,1,1,0,1,46.24230694078908
34,18,11,1,1,1,0,40.61673659645689
30,23,8,1,0,1,0,39.53674269836256
31,13,10,0,0,0,0,43.16183117849994
40,22,11,0,0,0,1,45.788241753251846
28,25,17,0,0,1,0,36.511890987056944
26,24,12,1,1,0,0,37.81253564419216
22,18,11,1,0,1,0,40.56343475745966
24,29,7,1,1,1,0,37.35745390233077
39,25,12,0,0,0,1,45.428393379347234
26,12,10,1,0,1,1,52.38588613270293
21,14,11,1,1,0,0,44.88776603307887
35,13,5,1,1,1,0,42.53960333523091
38,17,8,1,0,1,1,49.47131826617181
31,15,9,1,0,0,1,51.15380665673645
