age_of_head,income,rural_residence,previous_beneficiary_status,underemployment_status,cash_transfer_enrollment,consumption,household_wellbeing
21,22,1,1,1,1,45.5652786563066,182.71212769453652
31,20,0,0,1,1,55.81884213072394,208.91678352774613
33,22,0,1,0,1,59.89048981700219,221.42485838575703
33,27,1,1,1,1,64.56940653953394,236.7530793870165
19,17,0,0,0,1,38.21485794202891,159.7474065324461
10,29,0,1,1,1,32.58820497979079,155.56810654464445
26,17,1,0,1,1,47.11236045109473,184.64103495336929
33,24,1,1,1,1,65.00703218149548,232.76911328764845
28,25,1,1,1,1,57.02576327166876,216.4553808943362
46,20,1,0,1,1,79.80416155908222,268.4017475742394
25,23,0,1,0,1,50.14252897282378,194.8299030022804
41,23,1,1,1,1,74.83387062086474,258.1500125816856
37,24,1,1,0,1,69.45009111649597,242.0365238258973
26,27,1,0,1,1,55.85478847892633,210.8692483650192
34,20,1,1,1,1,62.58318339839403,225.33004105903987
25,11,1,1,1,1,45.274623665124366,173.77974051975644
31,25,1,1,1,1,62.1327378894539,226.5990621468787
32,14,0,1,0,1,54.877289422702646,202.49081520269291
36,23,1,1,1,1,68.34806633210425,242.7674631766564
34,15,1,1,1,1,60.75224760004122,217.64173844377268
41,15,1,1,0,1,70.48305953374314,240.05324315725315
26,32,1,0,1,1,56.81387031873429,215.78879400347887
47,18,0,1,0,1,79.28037752472655,265.7806099271276
39,13,1,0,0,1,64.88079842970988,223.54130687383167
32,17,0,0,1,1,54.937446633986525,204.68209225876595
31,18,1,1,1,1,59.86444187010591,213.52305098970947
31,24,0,1,1,1,60.5843617255676,221.3661491389579
28,7,0,1,1,1,45.25700946639392,174.3374470018836
44,19,0,1,1,1,76.16042771636046,258.0501491668898
30,34,1,0,0,1,63.017020383496586,237.77222166636983
31,29,1,1,1,1,63.70509069239513,235.0076348676608
27,14,0,0,1,1,47.43064565167342,179.51575304404304
29,14,1,1,0,1,51.820344644004216,192.32799385887944
31,23,1,1,1,1,60.766654524482334,221.96547242850252
30,21,1,1,1,1,60.17701541515418,221.7915222775675
27,14,0,1,1,1,48.41600622801501,186.14332543053175
40,28,1,0,1,1,76.22000633380975,265.09713651217254
24,7,1,1,1,1,40.48564047297765,159.209941261301
29,15,0,1,0,1,50.67107678266428,190.27005736173564
41,20,1,0,1,1,72.39908562535314,249.54549315428903
31,27,1,0,1,1,63.412691335121,229.3543912279685
33,24,1,1,0,1,65.05387473622552,233.54303811625752
42,13,0,0,1,1,71.58480456150207,240.1942979099589
36,20,1,1,1,1,67.28376055877418,235.58772288429603
26,21,1,1,1,1,52.50334083468686,199.6939534692464
36,16,1,1,1,1,63.78378243317559,226.27174603885268
15,19,0,1,1,1,33.76294875467259,149.79756916847015
26,19,1,0,1,1,48.93287681628092,190.02236589255347
22,4,1,1,1,1,39.46447513775315,152.42025810813897
28,17,1,1,1,1,53.12709506804737,197.96857478678012
31,12,1,0,1,1,55.24029968168951,197.93466842967575
26,18,0,1,0,1,50.22680557000557,191.1712537762282
41,21,0,1,1,1,74.27813336419933,254.6266256798748
17,23,1,1,0,1,39.83943075681764,168.1258051554873
38,15,0,1,1,1,65.37618427396625,229.2879518646624
30,12,0,0,1,1,50.8741448912624,190.594750555383
38,13,1,0,1,1,64.38263769800936,222.50664948403016
33,16,1,0,1,1,59.91923453074629,214.12547126607387
21,22,1,1,1,1,44.624361243399285,181.27690816624684
25,5,0,1,1,1,42.62561205547112,161.54861063367642
28,20,1,1,0,1,54.073314494946914,202.7173170831497
28,13,1,1,1,1,51.83754043330457,192.26049227311157
47,9,0,0,1,1,74.28276727475453,245.51376157965385
24,9,1,1,1,1,44.25678655457742,168.1780843617065
35,16,0,1,1,1,62.35491809816343,221.06809011396095
24,16,1,1,1,1,47.7649500216076,183.0331779695612
36,16,1,0,1,1,63.2088305880415,225.2244054890652
31,21,0,1,0,1,56.95536291657934,211.527484094076
31,19,1,1,1,1,60.20415411774395,215.2075917332347
24,22,0,0,1,1,47.45299984662878,188.3207885655536
35,9,1,1,1,1,61.62796813825496,214.23841297300805
34,29,0,1,1,1,65.68647973761692,240.86723374757943
30,11,1,1,0,1,52.334528410095466,188.67107013928845
20,15,0,1,1,1,40.6349888968408,162.54043484811797
29,29,1,1,1,1,61.00354372126816,226.56191974728637
28,25,1,0,1,1,53.7763302571782,209.9465087056853
36,26,1,1,0,1,69.55409037661373,249.56600200292704
25,24,1,1,1,1,53.00150757723199,203.0241828717248
25,27,1,1,1,1,54.33645304198856,210.69029628760492
31,15,1,0,1,1,56.92784773167727,206.11385034853672
24,21,1,1,0,1,49.12216643396511,188.76123380672124
36,23,1,1,1,1,67.53709224121981,242.8358412391876
29,12,0,0,1,1,47.63200840914279,182.4048273015125
22,12,1,1,1,1,42.273637203571504,164.65102197726185
23,9,1,1,1,1,41.5740734995496,164.19510646385643
24,22,1,1,1,1,49.74770488407093,194.49546338328864
20,19,1,1,1,1,44.11022726823928,179.33050529282042
20,22,1,1,1,1,44.65802865487184,180.5367624726432
25,22,1,1,1,1,50.98228720018578,197.2246932887569
10,18,1,1,1,1,30.694203908322446,140.31573842740403
32,17,0,0,1,1,57.18517231570193,209.33039785186932
32,20,1,0,0,1,59.76987225134555,215.8109409489992
41,20,1,1,1,1,72.79097389034494,252.16697331427855
26,23,1,1,1,1,52.95259289056069,200.29352519915128
26,12,1,1,1,1,47.28990553923827,179.18508791573078
22,18,1,1,1,1,45.85645149564737,177.7006317820772
32,13,1,1,1,1,57.15354064867991,208.41182327092244
20,15,1,1,0,1,39.74543887885869,161.2903239038966
51,19,1,1,1,1,86.07496493173079,284.8937322190902
31,17,1,1,1,1,57.27042457108624,209.12203086024505
13,15,1,0,1,1,30.59550978185828,137.3038788645993
23,21,1,0,0,1,44.40417469755065,179.71969040054583
28,27,0,1,1,1,58.38792908007429,221.162982275495
15,22,1,1,1,1,37.13078804960488,160.01264111779648
15,10,1,0,1,1,30.872441655706865,135.7599993615758
29,11,1,0,0,1,49.14523556952333,183.44477425391145
15,30,1,1,0,1,38.85858082362457,169.75866470436256
34,28,0,0,0,1,64.27776535085813,235.7219631018754
37,22,1,1,0,1,68.10740116143546,238.4168490126956
38,22,1,1,0,1,69.39120282149176,244.71853016129663
52,16,1,1,1,1,89.51490590813528,288.6831654377623
35,16,1,1,1,1,62.02816521572522,219.8838351035075
25,10,1,0,1,1,43.32860547488318,169.1485089117901
37,15,1,1,1,1,64.7541210907839,225.67013935498144
30,18,1,0,0,1,55.436125573157845,203.53904196757253
34,19,0,1,1,1,61.51187760029542,220.42869425773608
27,9,0,1,1,1,46.22063606418968,175.23776048272833
32,27,1,1,1,1,64.75067907055826,238.13905324888836
33,32,0,0,1,1,65.12567889364274,241.38098850287844
20,19,1,0,1,1,42.51141635484045,171.17736454541233
21,14,0,0,1,1,39.301540693438014,162.76844911263953
30,15,1,1,1,1,54.604235367259534,202.64325595205
29,21,1,1,0,1,55.21434799309262,205.6421117482064
24,16,1,1,1,1,46.1213772896756,181.62482669565864
31,11,1,0,0,1,52.08425542288748,191.25271472523647
28,15,1,1,0,1,50.86520808129921,191.3248735039216
37,16,1,1,1,1,65.31640347547737,227.7629476637164
25,21,1,1,1,1,50.35764484442762,194.69729010231464
34,12,1,1,1,1,59.84599947075029,212.37267607508568
29,25,1,1,1,1,57.35347148696913,214.9980365652598
7,28,1,1,0,1,28.15254685758101,139.67577510027007
22,16,0,1,1,1,44.36165163607222,175.05866092962856
13,20,1,1,0,1,34.25848731103602,149.79676577723384
23,19,1,1,0,1,46.00463562613549,182.15860714495489
24,25,1,0,1,1,50.44511130206143,198.3613827498935
24,22,1,1,1,1,49.01364772347704,190.4464348953247
26,25,1,1,1,1,54.27497888996946,207.90056068768263
25,26,1,0,1,1,50.2966856638116,197.7455116311633
32,17,1,1,1,1,59.52465252443095,215.39159229575097
38,30,1,0,1,1,73.83056942905608,260.0182063220689
29,28,1,1,1,1,60.34934811936805,226.9512638682673
42,23,1,0,1,1,75.0868850862641,259.7481294826312
30,13,0,0,1,1,51.91757336463491,191.89999714697112
34,29,1,0,0,1,67.61769719420052,241.76573091057315
21,15,1,0,1,1,42.1256107344147,167.38676619315288
21,17,1,1,1,1,43.12993810898125,171.36941947661504
26,18,1,1,1,1,50.29428084057856,191.22772119725752
32,23,1,0,0,1,61.15172469006396,220.7348234131277
28,17,1,1,0,1,53.12545014086128,198.13574069325256
33,26,1,0,1,1,64.2257026257652,233.266979126188
28,22,1,0,1,1,56.40785144229027,211.1195861578679
31,20,1,1,1,1,57.09811394119029,211.16601206461908
35,25,0,0,1,1,64.24914362196003,236.39800948548609
27,21,1,1,0,1,53.47484794993731,202.42459982750543
45,13,0,1,1,1,74.47885093491028,251.00957086521805
37,21,0,1,1,1,67.2087527554195,235.44443917325475
34,27,1,1,1,1,68.09871082341816,244.5015881821796
32,20,1,1,0,1,59.47163380787156,217.77233830850872
26,16,1,1,0,1,49.97919348510913,191.6387972237813
24,14,1,1,1,1,45.13206233607789,176.23287257867062
5,27,1,1,1,1,25.31243027480597,135.59599114613266
15,19,0,0,0,1,33.14820643096496,148.2787287321824
28,15,1,1,1,1,53.97388880287525,198.3992163669103
22,15,0,1,0,1,42.25921857542837,167.55961831924682
28,20,1,0,1,1,53.5372321108748,201.4811157412573
31,31,1,0,1,1,65.0714446123032,239.6685754261195
32,21,0,1,1,1,61.53782283852018,223.80168784087968
29,22,0,1,0,1,53.94587846008265,204.7943291854672
42,24,1,0,1,1,74.28187029465579,259.1216379687909
17,10,1,1,1,1,34.84841241346184,143.59688165177917
33,6,1,0,0,1,51.299744940715314,184.58084363188075
25,18,0,1,1,1,47.898259740409216,186.75064251147077
40,27,0,1,1,1,73.12807477320347,257.2557953879235
31,24,1,0,1,1,60.83471889908927,224.3618862405312
23,17,1,1,1,1,45.89617102384168,177.96733771520465
46,12,1,1,1,1,77.48949551869481,256.6745432844158
38,11,1,1,0,1,64.29909607569616,219.1100138159113
19,17,0,1,1,1,38.875533645881305,162.37481008258516
36,12,1,1,1,1,62.66743719210401,220.5535350531663
36,15,0,1,1,1,63.84967769261356,225.86464228713777
36,13,0,1,1,1,63.60371522198605,220.1818572847348
20,25,0,0,0,1,45.15501307988321,181.91070628537716
23,21,1,0,1,1,48.04587180604627,188.61208444876607
25,24,1,1,1,1,52.44778657674544,203.453761492358
27,16,1,1,0,1,51.54842712806175,194.26394849236192
22,9,1,1,1,1,43.12722594658929,167.25559338191104
27,20,1,1,1,1,52.71010913897173,201.34779749990344
31,22,1,1,1,1,60.6379456908844,220.6600967190452
20,2,1,0,1,1,32.717637570258255,135.50303761918886
35,16,1,1,1,1,63.323294910731775,223.03959616406823
33,19,1,0,1,1,59.16962571107531,216.6088619268355
40,23,0,1,0,1,71.13388154473961,249.6375699743156
25,20,0,0,0,1,49.08259842605576,185.93743391862296
16,11,1,0,1,1,31.444161724709083,137.59732493243652
34,31,0,1,1,1,66.79815848510427,245.96671741534252
28,25,1,1,0,1,57.01186411375291,212.71550880185904
31,23,1,1,1,1,60.62173637735538,223.9956802616804
41,18,1,0,1,1,71.25472802228633,247.2334473599788
23,24,1,1,1,1,50.71841718604457,198.73959952573583
46,18,0,1,1,1,78.91996947164932,263.580940708907
23,19,0,0,1,1,44.22975155202042,176.0355276551634
42,20,1,0,0,1,72.1920636299876,251.2798983017951
42,27,1,0,0,1,78.1335235793692,270.7838003290024
25,19,1,1,1,1,50.11567496069345,192.3131945210963
40,19,0,1,1,1,69.4313622020243,241.42300581247744
35,20,1,1,1,1,65.25264362266292,230.53410939595355
33,16,0,1,1,1,57.78121919548714,210.85185576285195
22,27,1,1,0,1,48.593249348013714,195.06986513558584
34,20,0,0,1,1,61.21956527162934,220.88734074310915
20,20,1,1,1,1,43.7548913119319,175.7927010223548
25,26,0,1,1,1,54.31902026514004,207.55649053747229
32,20,1,0,1,1,59.6126462670284,215.94772974040805
29,17,1,0,1,1,54.12924449467485,201.91508353308205
21,19,1,1,0,1,42.44305757113933,174.91117174510717
23,12,1,1,1,1,44.07145113600762,170.96970065206406
45,21,1,1,0,1,79.21785510261805,271.4461528043776
22,18,1,1,1,1,45.12919977432713,179.93095960248263
28,17,1,1,0,1,51.652569604045546,192.1178365052209
23,14,1,1,1,1,44.481239621688985,173.1601571854046
31,16,1,1,1,1,56.131862862716766,207.1436534632472
14,28,1,1,0,1,39.41068208970182,169.25816976577022
33,21,0,0,1,1,58.86844521113839,216.37104731486085
36,15,1,1,1,1,64.00217750902898,224.6076098614135
38,21,0,0,1,1,67.44135714808705,238.7433814937117
22,24,1,0,1,1,46.74112879707464,188.27813156730315
32,25,0,1,1,1,61.81956977983862,227.49512364664355
20,24,1,1,1,1,46.56874683848616,188.44793977591976
18,11,1,0,1,1,34.799720113772736,148.49807868557602
6,14,1,1,1,1,21.668862238348986,111.8409028403087
34,16,0,1,1,1,60.68259025166742,216.2683403251724
30,25,1,1,1,1,61.059134791724446,224.35587386724995
40,20,0,1,1,1,70.91744317671666,245.5388736138039
32,18,1,1,1,1,58.45250643950527,213.4261360980119
24,16,1,0,1,1,46.92207398719216,182.339690077688
37,18,1,1,1,1,68.07184552071533,236.0271318222725
28,21,0,1,1,1,53.096730023914105,203.6140127268681
36,11,1,1,0,1,61.77647469029437,216.3588590146001
23,10,1,0,1,1,42.95668339594824,167.34860938349104
25,16,1,1,1,1,48.32167449377872,184.1007431681446
17,24,1,0,1,1,41.05145589163372,170.3472579455996
39,27,1,1,1,1,75.37872468518738,259.8910960944953
33,18,1,1,1,1,60.62190183314034,219.45420057355372
28,36,1,1,1,1,63.8021206513708,239.94108280181143
34,17,0,1,1,1,61.84909663352242,220.4068522960953
29,8,1,0,1,1,50.47681956314727,183.93135224195404
33,29,1,0,1,1,66.37353058806465,240.544170922278
20,25,1,1,0,1,46.19713603511882,187.6626576567117
24,33,0,0,1,1,54.55630865692203,213.46334697248864
36,14,1,1,1,1,63.67801653772906,222.19338665267497
23,9,0,1,1,1,40.8148844999628,161.26396463722122
31,16,0,1,1,1,56.37483853274394,205.1364532842183
20,15,1,1,1,1,39.76843016822796,163.5385767853405
30,24,1,1,0,1,57.11719341000664,213.6433015820634
13,21,1,1,0,1,31.420059508024245,146.6045399828063
18,10,1,1,0,1,36.3573547708463,146.06920240568218
21,20,0,0,1,1,44.84487874161057,175.40690195462307
30,29,1,0,1,1,61.69726841171329,228.0831816488525
33,17,1,0,1,1,59.48238693709556,215.52184492682537
23,13,1,1,1,1,44.763085402459154,174.44705062843724
13,17,0,1,0,1,29.398497577779683,136.9899891550621
27,30,1,1,1,1,60.53118736266256,224.032625376834
36,29,1,1,0,1,69.63537452622548,248.5534481080668
26,21,0,1,0,1,50.37848341084709,192.2136713229588
18,14,0,1,1,1,35.45831760164796,152.15336767940175
30,8,1,1,0,1,50.76822085151333,187.66737054335752
26,22,1,0,0,1,52.17542667786782,197.55728550918485
29,30,1,1,1,1,59.25324895415396,225.8784203370384
34,25,1,1,1,1,66.65902102820337,236.352481015188
37,20,0,0,1,1,64.53095483697211,229.70849929229064
39,24,1,0,1,1,71.87936775966904,249.2986395275146
23,19,0,1,1,1,48.7775755245948,187.8520445113812
29,17,1,0,1,1,52.72497691951936,196.9738182270981
12,23,0,1,1,1,33.56754504429956,152.74314002796424
18,21,1,1,1,1,41.80349776643296,170.07289345512217
20,19,1,1,1,1,43.084992373522,173.4001524238942
33,19,1,0,1,1,62.24584827526969,221.18746295374868
35,32,1,1,1,1,72.05062357031224,257.25792969068084
38,22,1,1,1,1,68.87063192090687,241.0302511323557
23,13,1,0,1,1,42.88193530364809,169.12139019011073
37,15,1,1,1,1,66.34498257796145,229.66577869093575
29,9,1,0,1,1,47.33643909720495,178.52901841684212
34,26,1,0,1,1,65.88684653849883,238.2850452581125
34,18,1,1,1,1,63.12994765500146,222.507557030224
20,25,1,0,1,1,45.856529550707215,182.9152474496774
20,14,1,1,1,1,40.13128225768614,162.77091509002065
33,20,0,1,0,1,60.56215906637828,218.02914957300013
17,19,1,0,0,1,36.98051382898837,158.39229573366285
37,15,1,1,1,1,64.28517239047218,226.5183236164372
18,22,1,1,1,1,40.91645676086313,169.78293270338966
46,23,1,0,0,1,81.18923625054701,275.6971553826199
25,18,1,1,1,1,46.2998801955655,184.71467645522767
45,15,1,0,1,1,74.95053301835264,253.7384730458578
33,21,1,0,1,1,60.86326257752408,220.56293838147647
33,24,1,1,0,1,62.65839293777283,229.15437532119356
35,9,1,1,1,1,59.604749640398055,209.70927874721008
25,24,0,1,0,1,50.96144142375751,199.16600655456105
38,12,0,1,0,1,62.56971816583089,218.6092703678129
30,22,0,0,0,1,57.02243465138711,211.10247817119495
24,21,0,1,0,1,47.83109420063751,186.59485197098903
34,18,1,1,1,1,62.37018298573508,223.08643183494587
33,12,1,1,1,1,57.98154997628672,209.04273318670295
9,22,1,1,0,1,27.277058248531013,135.5045134153785
28,17,1,1,1,1,53.5833809050557,200.39367082814343
31,18,1,1,1,1,59.36102026916004,214.4207918733926
40,17,0,0,1,1,68.22786850386387,236.79815549448023
42,17,0,1,1,1,72.06487145557684,248.3834939968064
23,15,1,1,1,1,46.035606452277534,177.1572963561682
41,18,1,0,0,1,68.0305653344365,240.7284471730673
26,15,1,0,0,1,46.48226757619985,181.0559753908332
29,28,0,0,1,1,58.371561322137424,220.91305473236437
46,12,0,1,1,1,76.7640587997385,252.14756462809717
29,28,1,1,1,1,58.96853453809323,220.80850223954397
30,23,1,1,1,1,58.80957114555527,218.573484785682
26,25,1,1,1,1,53.44191812368698,204.46161295395325
13,16,0,1,1,1,29.4131293106029,139.87874796024727
55,16,1,1,1,1,94.40779441726488,302.2625811164877
23,12,0,0,1,1,40.40087436234104,162.73408489621974
38,11,1,1,1,1,62.656809434413205,216.60297884693975
28,25,0,0,1,1,56.33423958450176,212.6267574839736
38,28,1,0,0,1,70.3336400474759,253.69906317232576
17,22,1,0,0,1,38.78419917212404,163.54950056586992
27,27,1,0,0,1,54.73740810846807,207.28700547064568
25,28,1,0,0,1,52.44729048002104,203.12694342680655
31,12,0,1,0,1,51.783434015104056,192.42610644381395
35,18,1,1,0,1,63.28068750580336,222.3973573609771
46,8,1,1,1,1,74.39561694009696,244.95361395165824
27,13,1,0,0,1,49.0359528647795,183.1046205687409
37,16,1,1,1,1,65.07960697277446,228.6563948282901
22,27,1,0,1,1,49.428397857041645,197.11366147040536
26,23,0,1,0,1,53.57658336628778,201.78097835738487
17,14,1,1,1,1,34.663927545428955,150.71731276959466
29,9,1,0,1,1,48.56934334846825,181.8878869748273
31,21,1,1,0,1,60.505174900610086,218.6421686096251
31,9,0,1,1,1,52.769313263281305,192.09225589518985
29,22,0,0,1,1,56.346916299792056,210.92971472116375
46,16,0,1,0,1,75.71668207106399,255.1738592486377
33,21,1,0,1,1,61.61907384786463,222.67805723695852
31,29,1,1,1,1,65.11673694948288,236.8292564242802
27,21,0,0,1,1,52.31683247367943,198.3967823176963
16,26,1,1,1,1,40.35142023713775,174.6765160434207
34,29,1,0,1,1,65.5451443493574,239.70327435656856
31,10,0,0,0,1,50.11639696501154,186.79327110220385
42,9,1,0,1,1,69.14336817343717,232.46571572189345
37,18,1,1,1,1,66.88519205713402,232.501333845726
26,21,1,1,1,1,52.83726844711542,198.6253932682501
26,25,1,1,0,1,52.64615700612703,204.1883002272235
50,28,1,1,1,1,90.467750562796,300.7925500841104
16,24,1,1,1,1,39.30694624817733,167.88666204921657
18,25,1,1,1,1,43.14410262010041,179.55531204765427
14,29,1,0,1,1,38.451416303657965,169.7948192251877
39,18,1,1,1,1,70.19406830911998,243.3401590614944
40,17,1,1,1,1,73.15301249193205,247.39022244634936
40,19,1,0,1,1,71.218558477142,247.0510772233606
18,20,1,0,1,1,39.10219741958688,162.78393379147283
13,23,1,1,1,1,35.54838538587114,154.68338309476425
33,17,0,0,0,1,57.81705685620836,208.56631169634733
42,26,1,1,1,1,77.08489518934746,265.14400063330606
33,19,1,0,1,1,61.03769484560796,221.6876793135706
23,22,1,1,1,1,49.13497004072646,190.4689379883497
30,25,1,0,1,1,58.92241316099391,216.69399058002617
35,24,0,1,1,1,65.28986312093978,233.57773330871288
31,24,1,1,1,1,63.21791452576949,229.1020292193165
29,17,1,0,0,1,52.12384635997832,193.7333035541076
30,11,1,1,1,1,54.94715176945709,198.302955027506
26,22,0,0,1,1,50.34495340351782,196.357168591909
47,25,0,1,1,1,84.58040648316447,283.9974397452606
27,7,1,1,1,1,47.752221448046,177.90525325125543
42,4,1,1,1,1,64.80726673324358,221.37231248893156
26,15,0,1,0,1,45.98062701295477,178.88858644444792
27,23,0,1,0,1,51.651796001703325,198.70906246881225
34,14,1,1,1,1,60.085563196076,214.6079002423936
22,25,0,1,0,1,46.040501225597865,186.06050642266607
35,25,1,0,1,1,66.69695033315102,238.9059240428426
17,18,1,1,1,1,38.25771124713931,161.5189111369784
15,23,0,1,1,1,36.32252710454185,160.21183755113884
27,17,1,1,1,1,51.02942533872695,192.9879637802824
30,23,0,0,1,1,56.66776574007669,211.26748632126584
29,33,1,1,1,1,63.56748950475903,237.6616375132679
25,24,0,1,1,1,51.06223652083119,198.9883438345247
17,24,1,1,1,1,41.91514526520459,174.83250859015712
37,23,0,1,1,1,67.18707582585759,240.4316806078948
20,22,1,0,1,1,43.96102978625399,175.60228695110422
14,15,0,1,1,1,29.72625104945035,136.53121732308014
35,21,0,0,1,1,63.08526849403076,228.33921718619104
33,24,0,1,1,1,62.15325467210916,227.7316556853647
20,14,0,1,0,1,40.11634646913716,160.98305889391017
51,22,1,1,1,1,88.46814912989112,294.5297906770504
21,21,1,0,1,1,43.8864731991884,178.2719046952665
35,22,0,1,0,1,62.45541306509424,224.13340054054987
34,25,0,1,1,1,66.08405750410824,236.7573767918317
42,13,0,1,0,1,69.30355563507838,236.39444223649815
33,16,0,0,1,1,58.83193470031225,212.6867080434627
42,22,1,0,0,1,72.8387199366805,254.1167867391483
27,15,1,1,1,1,51.04720302444908,190.7418669126391
29,28,1,1,1,1,60.278661657621605,225.9139584919238
26,27,0,1,0,1,53.725151422696726,207.36636802197896
28,16,1,0,1,1,53.851099236347466,200.54256023175483
34,16,0,1,1,1,60.5712961137604,216.571316397994
21,14,0,0,1,1,40.9001844589546,163.4432088141596
35,24,0,1,0,1,66.70209241216575,238.12956271227512
16,22,1,1,1,1,38.98115822710936,166.16147279904754
22,17,0,0,1,1,43.47350152486076,174.6250321831796
25,15,1,1,1,1,49.21622742058611,186.59252677657005
32,28,0,1,1,1,64.36338712464536,235.68005221298472
42,21,1,1,0,1,75.3716288441265,259.22432506182685
42,28,0,1,1,1,78.03981145890383,269.63893875818644
29,22,1,1,1,1,59.36166762885454,218.56035137202792
29,19,1,0,0,1,54.20921793648704,199.40680342312683
32,14,1,1,1,1,57.14783207677127,205.9177044038982
28,17,1,1,0,1,50.04163693733322,189.60512351496465
18,27,1,1,1,1,43.58962764944312,182.21953436015335
27,19,0,1,1,1,51.603726478775165,195.41765217127136
33,12,0,1,1,1,58.5987593408846,208.6351499746669
28,25,1,1,1,1,57.55409429753949,216.1641652678909
30,17,1,1,1,1,58.25456095741885,208.99528406360764
25,21,0,1,1,1,49.67650195942229,192.3524406039234
42,16,0,0,1,1,71.17449988588564,243.33523783432952
38,20,1,0,0,1,64.99587494620246,229.0592624565079
44,15,1,0,1,1,72.77460922418487,248.81742914280807
32,39,1,1,0,1,67.83072060559051,253.3915298618679
20,22,1,0,0,1,44.42661113230072,175.8796680551649
21,24,0,1,0,1,44.8325381886352,183.55960502054964
43,26,1,0,1,1,78.25862171608719,267.6462690222764
43,22,0,1,1,1,75.3935431478812,260.39687988788273
43,18,1,1,0,1,73.94689573754354,253.4595504303748
28,29,0,1,0,1,57.273566519603726,220.266679412606
31,18,0,1,1,1,56.90573534938137,207.2602115943444
46,12,1,0,1,1,75.22201167179746,253.9033597736316
27,27,1,0,1,1,57.86931542161342,214.49731066209992
38,29,1,0,1,1,74.25174133935285,260.57694583718217
33,20,1,1,1,1,63.476171220078825,224.6330581687036
20,21,0,1,0,1,39.3061741197706,168.93084581421334
27,31,1,1,1,1,60.52909117701245,225.9638773589942
30,14,1,1,0,1,53.89780568298481,194.60054185232477
26,18,1,0,1,1,50.81033539597841,192.5471284571248
20,25,1,1,1,1,46.2726227432005,186.1481641401845
28,24,1,1,1,1,56.90338901460596,211.34131126277916
34,26,1,0,1,1,66.53414536658101,239.48916021846355
32,26,1,1,1,1,63.06051976284742,230.4063272058474
19,15,0,1,0,1,37.75466604240869,155.17939974729762
32,25,1,0,1,1,60.78752279597144,224.21405371861948
34,23,0,1,1,1,61.92548358337918,226.53744747815512
42,24,1,1,0,1,76.28940219246215,264.3547816792845
15,16,0,1,1,1,34.457097288997616,151.54685527504768
30,26,1,1,0,1,61.2070855905444,223.6374896918578
27,25,1,0,0,1,56.30932432378747,210.1162495108439
31,24,1,0,1,1,60.33074266686052,222.00798599431977
49,14,1,1,0,1,81.31003895871737,267.80453840122374
40,26,0,1,1,1,74.04917553773112,258.5241123866881
19,12,1,0,1,1,36.388576054155415,150.9188687480995
26,11,1,1,0,1,46.02978045830088,176.9282077969915
24,14,1,1,1,1,45.85767405124479,177.59425205326656
27,30,1,1,1,1,58.71213757264361,223.39587395687772
27,18,1,1,0,1,53.40027268586355,196.5930570808173
39,11,1,1,1,1,66.48632409089178,227.86763013277792
