student_age,parent_education_years,weekly_study_hours,class_size,low_income_status,gender,rural_residence,online_class_participation,end_of_year_grade
28,18,8,12,1,0,1,0,47.46470569709324
34,14,8,6,0,1,0,0,45.86945423813236
36,17,15,11,1,0,1,1,56.58520403021851
30,6,10,9,0,1,0,0,45.75975252702956
19,24,11,0,1,0,0,0,56.43938294281577
27,27,14,16,1,1,0,0,49.350994543535
49,20,4,16,0,1,0,1,44.86656146361872
28,24,10,13,0,0,0,1,56.58561409683015
43,22,13,11,1,1,0,1,51.752620058340455
16,12,12,10,1,1,0,0,55.88277633439765
37,12,10,8,0,0,0,1,53.54661542659514
36,19,12,22,0,1,0,1,52.57999923112579
30,17,9,14,1,1,0,0,47.11184521522101
25,13,9,13,0,1,0,1,55.10617129908545
26,16,12,12,0,0,0,1,58.08704185816245
12,11,8,10,1,1,0,0,52.24711898215145
40,17,6,14,0,1,0,1,52.00246911097735
26,25,10,20,1,0,1,0,48.59656272743324
38,12,6,22,0,1,0,1,49.36934483355915
32,13,5,8,0,0,1,1,52.64642747625808
25,20,9,9,1,1,1,0,50.02752946030961
35,15,11,14,0,1,1,0,45.34826477943377
33,33,13,5,1,1,1,1,61.77495835813998
30,27,13,21,0,1,0,1,55.26085086366231
24,16,9,19,1,1,0,1,56.45218589768262
19,16,8,24,0,1,1,0,47.57864497331298
32,21,9,19,1,0,0,1,54.96098438317052
15,15,4,13,1,0,0,0,49.99633699102334
23,12,7,19,0,1,1,1,54.35742299316245
26,7,5,20,1,1,1,1,54.64560060021128
35,24,8,15,0,1,1,1,54.20031195778984
25,17,10,16,1,1,0,1,58.25703259435727
29,33,9,15,1,1,1,0,49.4181320261412
42,21,8,15,0,1,0,1,51.01665695542279
34,18,12,14,1,0,0,0,46.73938903359591
49,20,8,0,1,1,1,0,44.248776634558645
29,23,11,19,1,0,1,0,47.53196574329656
40,20,7,16,1,1,1,0,40.85144264259226
23,24,11,14,1,1,1,1,60.00929426436937
22,16,4,23,0,1,0,1,54.76976693983929
27,18,9,21,1,0,1,0,47.38259440787133
17,19,11,15,0,1,1,0,53.24530789203748
30,24,16,14,1,1,0,0,50.769204062078224
48,18,13,18,0,1,0,1,47.670264045292726
32,21,12,-1,0,0,0,1,58.765786876701696
35,27,2,17,0,1,1,1,50.0421543614327
13,10,8,15,1,0,1,0,51.5880170921385
33,30,8,8,1,0,0,0,50.23134628313701
28,19,9,8,0,1,1,1,60.12435319375161
49,16,5,18,1,0,1,1,44.59943726588445
10,11,11,13,1,1,0,1,61.57005370030202
32,19,14,4,0,1,0,1,60.3803367499122
17,16,7,13,1,1,1,0,51.69303279749073
37,21,17,12,1,0,0,1,57.13069964942217
21,13,15,12,0,0,1,1,60.46218642332759
36,23,9,13,0,0,1,1,53.79890152095444
40,23,9,17,0,1,1,1,52.98026743988602
45,30,13,11,1,0,1,0,43.58926456000412
33,22,4,10,1,0,0,0,44.98092424452771
28,14,11,2,0,0,0,1,59.94303834036901
18,24,11,11,1,0,0,0,54.52763523334677
34,12,2,15,1,1,1,1,51.19047511349163
30,5,8,18,1,0,0,1,53.73844984304858
36,17,9,11,0,1,1,1,52.85085621719521
29,27,15,9,0,1,1,0,51.35923431433992
22,10,6,19,1,1,0,0,45.91906099812944
27,24,10,14,1,0,0,0,48.499477219492135
21,15,10,13,1,0,0,1,59.20285979451011
35,31,14,16,0,0,1,1,55.59234203876135
32,14,12,24,0,1,0,1,53.98668914873455
23,21,6,14,1,0,1,0,51.4691544359809
23,21,18,10,0,0,0,1,61.24441969752214
46,28,9,19,0,0,0,1,47.71695022037826
30,14,13,15,1,1,0,0,46.89569829179664
35,16,14,6,0,1,1,1,56.091406074632566
23,17,14,11,1,0,1,1,60.206331109675325
41,15,11,3,1,1,1,0,47.92067291503153
34,19,9,19,0,1,1,1,53.293390800100205
16,21,9,13,1,1,1,0,55.4343393665972
34,14,6,11,1,1,1,1,54.11629683977253
39,23,10,10,1,0,1,0,44.85614519588648
28,18,6,11,0,1,0,1,55.53624753779249
37,10,11,8,0,0,1,0,46.12771113509925
20,30,10,5,1,1,0,0,53.97092602024807
21,8,10,16,0,1,0,1,57.30385808756751
32,17,6,5,0,0,1,0,46.49361570311935
40,17,13,6,1,1,1,1,55.18175691513631
29,19,7,14,0,0,1,1,57.390519948062106
46,8,6,13,0,0,1,1,46.25494516160924
25,11,12,5,0,1,0,1,60.943549011852326
38,16,8,10,1,0,1,0,46.43917359321824
34,15,12,15,0,1,1,1,53.70357010248623
18,29,14,9,0,0,1,0,55.202506477475815
37,18,13,10,1,1,1,0,47.338535487500536
29,17,12,14,0,1,1,0,49.28028175524583
26,20,10,17,1,0,1,0,49.85914082379776
45,19,9,15,0,0,1,0,39.60204578837751
22,19,13,15,0,0,1,0,51.907433742286194
35,16,7,9,0,1,0,1,52.88751121357415
37,12,5,8,0,1,0,1,52.558346907365454
37,15,10,13,1,0,0,1,52.13469452363237
28,11,10,15,0,0,1,1,55.69485297727985
33,16,12,13,0,1,0,1,55.98060490098981
41,17,10,10,1,0,0,0,42.92428690774312
37,8,6,8,1,1,0,1,50.69805020718339
22,17,8,7,0,1,1,1,61.12965685545246
18,20,11,18,0,0,1,1,58.87700271690868
27,24,10,22,1,1,1,1,53.49893112879285
21,16,14,9,0,1,0,1,61.73913042948735
31,18,11,10,1,1,1,0,48.025140196045065
24,11,12,9,1,1,1,0,50.89141149447644
23,26,6,13,1,0,0,0,51.07153140296117
27,21,14,15,1,0,1,0,48.69557086364327
32,22,9,10,1,0,1,0,50.205385206028
27,10,6,16,0,0,0,0,47.03551363339331
30,13,12,11,1,1,0,1,57.47215765162896
29,30,8,11,1,0,1,0,49.61243305356796
30,14,15,15,1,0,1,0,46.940092056354224
32,13,13,11,0,1,0,1,56.4294295235065
28,18,7,5,0,1,0,1,58.6647153984557
46,17,8,8,0,1,1,1,50.188530497610856
37,23,10,9,0,1,0,1,54.106396198163694
38,9,9,9,1,1,1,0,45.96477295639796
20,22,9,6,0,1,0,1,63.33405731786208
21,18,11,12,1,1,1,0,53.63819614894081
34,21,8,13,0,1,0,1,55.363901499279805
23,34,11,14,1,1,0,0,49.71964608180783
35,20,5,17,1,1,0,0,44.29077317879533
12,18,6,16,1,1,0,0,53.06696422100881
25,1,11,18,0,1,1,1,56.306007375512486
21,13,7,18,1,0,1,0,49.158214618718624
23,22,12,23,1,1,0,0,49.09263334089129
35,25,10,25,1,0,1,0,42.85237196706191
21,30,9,19,1,0,1,0,51.4895359271005
25,21,15,11,1,0,1,0,52.61802463276191
42,19,7,15,1,1,0,1,49.84369789795546
41,15,9,16,1,1,0,1,48.79426496736775
19,14,6,14,1,1,1,0,50.12535953802302
29,24,13,6,1,0,1,0,52.06780563548326
43,14,6,8,1,0,0,1,48.762143491503686
43,17,15,9,0,1,0,1,52.18288871867329
37,20,9,16,0,1,1,1,53.94105265828196
26,19,12,14,1,1,0,1,58.05670487653752
24,14,13,14,1,0,0,0,51.040174309533406
9,28,11,15,1,0,0,1,63.04254633129447
35,15,15,12,1,1,0,0,45.60580514304184
46,27,5,9,1,1,0,1,50.8371173737256
26,25,6,6,0,0,1,1,58.8691740525491
57,11,16,18,0,0,0,1,43.28349692577319
38,10,12,8,0,0,1,0,45.23824055060289
28,15,13,5,0,0,1,1,59.42863195870578
30,23,6,12,0,1,0,1,54.63023844106252
28,16,8,12,1,1,1,0,49.30951004591543
22,22,6,25,1,1,1,0,48.20445092959404
27,16,9,11,0,1,1,0,48.8633769419405
31,25,9,13,1,0,1,0,48.63055489004307
23,18,8,10,0,1,1,1,57.71595780655349
35,21,12,11,1,1,0,1,55.63265620735458
23,15,12,14,0,1,1,0,52.33424500058506
33,27,10,13,0,0,0,1,56.04552068295453
27,27,4,15,0,0,0,1,56.00047918332905
23,9,10,19,0,0,1,1,56.67441271836336
24,34,12,17,1,0,1,0,51.783491205123084
29,26,9,13,1,1,1,0,50.564325883366976
24,24,11,20,0,1,0,1,58.03761675321306
45,19,6,19,0,0,0,1,48.37867945072064
23,17,11,9,0,0,1,1,61.61152270563255
19,19,9,17,0,1,0,0,50.74038169324377
28,24,8,9,0,1,1,0,48.37872764788487
17,19,3,8,1,0,0,1,59.62572757223188
41,12,10,12,0,1,1,1,50.44479684986674
47,14,8,11,1,1,1,0,40.13986869448614
26,20,14,11,1,1,0,0,51.70626340385709
41,26,7,6,0,0,1,1,55.54136211423887
35,16,11,16,1,1,1,1,54.38629240743231
31,19,6,27,0,0,0,1,50.15144697487132
27,19,9,10,0,1,0,1,56.31211183065869
23,6,12,10,0,1,1,1,60.005206052702
28,25,10,12,0,0,0,1,57.826172367881725
12,15,11,13,0,0,0,1,62.861728125483104
28,28,11,12,0,1,0,1,60.013936250724846
27,18,11,17,1,1,1,0,47.790478714883214
33,17,10,9,0,1,0,1,56.86303339705736
39,22,13,16,1,0,1,0,46.192145500343656
30,25,11,14,0,1,1,1,58.97469205685409
43,22,11,18,1,0,1,1,52.64519121494261
23,20,13,12,1,0,1,0,53.1856007689589
29,24,11,16,0,1,0,1,54.839115944194624
38,19,9,4,1,1,0,1,55.83784214917561
35,29,9,17,0,1,1,1,52.71291438948031
28,7,7,7,0,1,1,1,55.29977467096955
13,26,12,9,1,0,0,0,57.28909610308184
36,19,9,10,0,0,1,1,55.53640194942175
25,18,12,11,0,1,0,1,58.58418765254252
25,24,14,19,1,1,0,0,49.63448028953756
33,11,8,13,1,0,0,1,54.645432922489945
47,17,9,3,0,1,1,1,50.17661216804239
40,14,10,5,0,1,0,1,53.32552445660178
43,10,7,12,1,0,1,0,42.06759277065832
40,18,7,18,1,0,1,1,48.844917952484494
30,21,7,7,1,1,1,1,58.25951116342532
42,14,11,16,1,1,0,1,50.19871447174258
41,25,10,18,0,0,1,1,48.6964295195337
23,17,9,16,0,1,1,1,56.41465655650342
24,25,7,20,1,1,1,0,49.17350223528568
36,16,11,11,0,0,1,1,55.29825284177124
25,16,9,12,0,1,0,1,57.40414883133259
30,14,5,6,1,1,0,1,54.78441946293802
29,28,12,17,0,0,1,1,56.00574255948075
23,17,11,5,0,1,1,1,60.5914023939695
34,17,11,8,0,0,1,1,54.42871284923692
25,20,9,11,0,0,1,1,57.31070744279106
31,26,7,20,1,0,0,1,53.49105144526981
45,12,7,13,0,0,1,1,48.83046152534218
27,25,7,20,0,1,0,1,55.84395693797883
24,16,8,8,0,0,0,0,51.75214966868228
29,30,8,13,0,1,0,1,57.07166916504885
32,27,9,9,0,1,0,0,49.15096985803337
22,28,9,10,0,0,1,1,61.39587681767335
28,15,10,19,1,0,1,1,53.691846185662655
43,13,9,10,1,0,0,1,50.742196331792265
33,26,4,12,1,0,1,0,46.098782726548855
30,16,7,22,0,1,0,1,51.1707055489544
27,26,9,14,0,0,1,0,48.74675310135508
30,24,8,8,0,1,1,0,47.83805261328703
37,18,9,17,1,1,1,1,52.25414157955642
33,21,11,18,1,1,1,1,55.00172158369275
23,22,7,16,1,0,1,0,49.460116066780685
26,16,8,17,1,0,1,0,49.60431134382101
27,23,9,10,0,0,1,1,58.38229289024324
41,20,12,11,1,0,0,1,52.954446247665565
14,26,10,8,0,1,0,0,55.84521380775272
30,12,9,15,0,0,1,0,45.203676970964096
25,15,9,8,0,1,1,1,59.26216967605114
52,33,7,7,1,1,1,0,40.51910165087641
29,23,9,14,0,1,0,0,46.24398372315916
29,14,10,17,0,1,0,1,54.597905981494925
32,23,14,11,1,0,0,0,48.920980095208726
30,18,9,20,0,1,1,0,43.75675008603714
33,16,10,8,1,1,1,1,55.61436847573172
33,17,9,16,1,1,1,0,45.2649909382249
42,27,4,7,1,1,0,1,51.41203160483068
15,18,10,16,0,0,1,0,52.74690654406934
27,17,1,23,0,0,1,1,52.84627076102599
43,15,9,23,0,0,0,1,46.33328305937336
45,18,11,8,1,1,0,0,43.4214195118809
34,22,12,19,0,1,0,0,45.09566863254355
36,18,10,12,0,1,1,1,55.70624348450991
40,26,11,11,1,1,1,0,45.94105864251847
39,27,8,13,1,0,0,1,53.332387186571616
35,27,9,11,1,1,0,0,46.28400167493172
47,19,0,16,0,1,1,1,43.19153893629214
28,7,7,17,0,1,1,1,54.08929279509172
20,14,12,9,1,0,1,0,52.9592257046514
39,23,7,9,1,1,0,0,42.1783632046887
21,23,5,19,1,0,0,0,48.491175480205065
26,11,13,12,0,0,0,0,48.40279868246764
25,22,9,14,0,0,1,0,49.81508571327816
24,18,8,5,1,0,1,0,53.04438458632615
28,10,4,23,1,0,1,0,42.8325026856342
19,29,6,20,0,1,0,1,58.95339898415866
41,16,9,15,1,1,1,1,49.89722090843982
20,28,9,9,0,0,1,0,53.90819466974032
27,18,13,19,0,1,1,1,54.79777614173988
32,22,13,9,1,1,1,0,50.91973621364848
28,19,8,13,0,1,1,1,55.690607474280085
24,12,6,19,1,0,0,1,54.746430382864034
45,18,15,-3,1,1,0,1,57.54785293931595
44,22,10,18,0,0,1,1,50.19176291865419
47,14,8,13,1,1,1,0,39.96435712226224
40,24,10,19,1,1,0,1,51.32809582923047
32,11,10,11,1,0,0,1,54.924476955345554
32,24,4,11,0,0,1,0,47.4751708988093
29,16,9,15,1,0,0,0,48.62730891220428
34,19,6,15,1,1,1,1,52.62263550990892
23,15,8,15,1,0,1,1,58.57353654984991
21,30,16,8,0,1,0,0,55.18686053882874
40,19,9,11,0,1,1,1,53.48550385191242
39,19,13,15,0,0,0,1,52.79469127945423
9,17,12,12,0,1,0,0,57.5627862684066
33,23,10,15,0,1,1,1,54.80562037711856
36,25,12,15,1,0,0,0,47.3556142337541
32,19,3,13,1,0,1,0,46.50860603932743
22,26,11,14,1,1,1,0,52.508448602203785
30,30,12,20,0,1,1,0,49.19890090625544
9,20,13,20,0,0,0,0,55.398393506555365
29,17,15,15,1,1,1,0,50.36597113294686
31,18,8,12,1,0,0,0,46.95486777748713
27,16,16,17,1,1,0,1,56.549730185694926
16,14,10,9,1,1,1,0,54.66372002817977
38,19,8,18,1,1,1,0,42.26603206649534
29,22,8,23,0,0,0,1,54.017966195254175
33,25,13,14,1,0,0,0,47.427964647414576
30,15,8,16,1,0,1,0,47.09508541003122
38,29,8,21,1,1,1,1,53.50432788605998
23,28,5,17,0,1,1,0,47.60113540612519
38,27,4,13,0,0,0,1,53.118098089938194
34,14,6,24,0,1,1,0,42.475764837533205
31,3,9,12,0,0,0,1,52.275310834562205
25,19,12,14,1,0,1,0,52.046994634412506
36,25,6,14,1,0,0,0,42.829270480729576
37,25,7,15,0,0,1,0,44.38868623582447
25,24,8,20,1,1,1,0,48.09053635918995
41,9,15,23,1,0,1,1,50.602555781952326
34,18,10,8,1,0,1,0,46.4297081550003
24,16,10,15,1,0,0,1,58.03117753028798
35,25,3,8,1,0,1,0,46.62829933493395
22,22,13,13,0,0,1,0,51.84969047054892
36,22,4,16,1,1,1,0,43.70307479419379
27,20,8,23,0,1,1,1,53.845511793777945
36,16,6,9,1,0,1,1,53.91124430517229
30,26,7,4,0,1,1,1,58.69727991046059
31,34,8,8,0,0,1,1,57.68713373395339
25,14,11,2,1,0,1,0,52.82388550415191
34,21,16,17,1,0,1,0,46.32941398202562
28,8,7,24,1,0,1,0,42.664092343380055
45,17,15,9,0,1,0,1,52.14296740455561
28,15,12,13,0,1,0,1,57.59371850447731
21,17,8,12,1,0,1,0,51.67507412322963
22,16,13,23,1,1,0,0,47.48341877721447
28,26,10,22,1,1,1,0,46.31138060610647
34,18,5,15,0,0,0,0,44.62568535854971
20,27,11,17,0,0,0,0,50.14255298987984
38,23,10,17,1,1,0,0,42.05310437013095
32,23,8,13,1,0,0,1,54.656937806175485
25,20,12,14,1,0,0,0,49.12906447731363
22,27,13,13,0,0,1,0,52.75983473746986
21,26,8,1,0,1,0,1,64.39557629439753
27,19,6,7,1,0,1,0,48.38115095232643
26,21,12,17,1,0,0,0,50.08923828442258
21,18,13,15,0,0,0,0,50.891392867540375
19,21,10,13,1,1,1,0,52.28855490801188
12,22,5,6,0,0,0,0,53.87639101950708
31,15,13,16,0,1,1,0,46.68200476382712
25,14,10,13,1,0,1,1,59.83094359048351
44,24,14,15,1,1,1,1,51.785716831631255
16,16,8,10,0,0,1,0,54.45240057959176
31,12,8,16,0,1,0,1,52.61100972226562
23,18,8,11,1,1,1,0,50.04101079063724
11,15,9,16,1,1,0,0,53.27834707653266
37,22,5,14,1,0,0,1,53.511349132342616
32,28,9,23,1,0,1,0,44.11138131023733
35,18,10,17,1,1,0,1,52.7067759230005
32,24,5,12,1,1,1,0,45.52167241835443
30,16,8,16,0,1,1,1,54.84144765467669
21,10,11,19,0,1,1,1,55.57344024018374
36,14,14,10,1,1,1,0,47.1533030520566
27,14,5,21,0,0,0,1,50.970422116709706
22,14,10,10,0,0,1,1,60.6844894560838
39,27,8,16,1,0,0,0,43.4544342896643
23,23,13,7,0,1,0,1,61.33220276206888
29,20,10,17,1,0,0,0,46.23291356291036
16,20,15,21,0,1,1,1,61.79046368840145
39,19,10,12,0,1,0,1,52.513123470448846
28,22,10,6,1,1,1,0,49.3602783065049
28,15,13,13,1,0,1,0,50.30579165801963
29,20,3,7,1,1,0,1,54.711512349392734
21,25,5,21,1,1,0,1,57.19544427855518
31,26,3,1,1,1,1,0,48.41231038193336
23,27,10,15,1,0,0,1,59.07128278251283
31,31,9,15,0,0,1,0,48.90619185370858
40,18,11,8,1,1,0,1,53.13263382473431
34,27,15,19,1,0,0,1,54.1647380322978
47,18,9,8,1,1,0,0,42.351707983503374
31,11,10,11,0,1,1,1,54.75770696459012
26,19,8,14,0,1,1,1,57.15083466060068
26,26,12,10,0,0,1,0,50.92140699246224
25,15,5,19,0,1,0,1,54.17087178229115
14,16,19,14,1,0,0,0,55.34254474223639
27,14,11,6,0,0,0,1,58.43923651745842
22,29,10,13,1,0,0,0,50.560508579593886
31,22,13,18,0,0,0,1,56.02047788268106
10,18,8,16,1,1,1,1,63.71813438133182
37,21,16,18,0,0,1,1,51.814378385616045
17,22,9,17,0,1,1,1,60.82447380681993
29,15,10,8,0,0,0,1,58.15436184446599
34,21,9,19,1,1,0,0,44.13368304995037
16,16,10,8,0,1,0,1,61.06283747026458
30,13,10,7,1,0,0,1,58.9249241965915
31,16,12,16,1,1,0,1,56.723330436781
14,8,12,18,0,1,1,0,52.96110039789418
32,28,12,19,0,0,0,1,56.07321073245792
16,19,4,16,1,1,1,0,49.64586494358456
35,18,8,12,1,1,1,0,44.23229826055418
35,16,9,8,1,1,0,1,54.96252785869895
33,18,8,14,0,1,1,1,52.930318053912565
29,8,11,17,1,1,1,1,54.75007834985657
25,19,7,12,0,1,1,1,55.07441591795865
32,21,4,15,1,1,0,0,45.988662955009794
30,26,7,19,1,0,0,0,44.53712588348085
29,28,3,16,1,0,1,0,48.58331446596053
34,24,16,17,0,1,1,0,47.013535237247474
17,18,7,16,0,0,0,0,49.73024501536537
23,23,12,14,1,1,0,0,51.5763921353424
24,26,10,20,1,0,1,0,51.09538027646902
32,8,6,19,1,1,1,0,42.47862224265475
38,32,13,23,0,1,1,0,43.24182696933905
38,11,5,14,0,0,0,1,48.79274386909302
29,15,10,8,0,1,1,1,57.29650729606058
10,30,12,16,0,0,0,0,57.020084614119135
35,22,13,10,0,1,0,0,48.6944603214839
39,13,9,16,1,0,0,1,54.03037822573353
42,19,8,11,0,0,0,1,51.5875599526193
24,19,12,13,1,0,1,0,49.3870935567545
30,20,11,9,1,0,0,0,47.97716176072969
20,9,5,11,0,0,1,1,55.3292897286697
28,19,6,19,0,0,1,1,52.924784649752695
40,23,13,15,0,0,0,1,51.076977822881645
28,11,5,15,1,0,0,1,54.64880981860684
40,18,8,13,1,1,1,0,43.40167356195783
19,15,12,11,0,1,0,0,50.89077783181857
34,12,4,16,0,0,1,1,49.599788949636896
22,22,5,15,0,1,0,1,57.35145616328138
18,19,10,9,1,0,1,0,54.0039870303541
27,16,4,13,0,1,1,1,55.707208893017786
30,23,11,11,1,1,1,0,50.1247133817062
31,30,14,15,0,1,1,1,56.442820065208586
30,30,0,22,1,1,0,1,49.21399545899067
36,22,9,-1,0,0,0,1,58.13799718792882
41,15,5,14,0,1,0,1,50.19199557011769
3,24,9,3,0,0,1,0,62.92891781394224
28,21,10,19,0,1,0,1,56.41395043183226
38,25,11,17,0,0,0,0,45.21968393067053
34,13,10,20,1,1,0,1,52.59362614009921
29,16,6,15,1,0,0,0,47.25149272405989
27,21,12,14,1,0,1,0,48.640794605367866
36,14,11,16,0,0,1,0,44.92417576749593
41,18,10,15,1,1,0,1,50.91023350619125
40,7,7,12,0,0,0,1,50.11472479081211
38,21,14,20,1,0,0,0,44.28892478522956
32,17,9,12,1,1,1,0,48.36572082188987
21,11,14,17,1,0,1,0,50.37178301346943
36,31,15,10,1,0,1,0,49.96223430524233
27,22,8,15,0,1,1,0,46.94014855452167
20,23,12,24,0,1,1,1,58.59315597088131
30,22,9,10,1,0,0,1,56.61427007702192
15,29,8,21,0,0,0,0,50.90774746253243
31,25,7,12,1,1,1,0,46.40064266139965
37,11,10,14,0,1,1,1,52.96050365554972
39,23,6,5,1,0,0,0,45.312571019681215
48,15,10,5,0,0,0,1,49.91260541774066
15,16,17,5,0,1,1,0,56.61596235150329
20,20,8,8,1,1,0,0,52.556163241288886
22,24,7,17,1,1,0,0,50.277102235328805
28,22,7,13,0,0,0,1,56.29731161771989
31,19,7,10,1,1,0,1,56.599381005732674
26,26,12,11,1,1,0,0,52.550509836063135
38,22,5,17,1,1,1,0,41.25584908711596
30,19,12,13,1,0,1,0,48.9240829932326
36,26,3,15,0,0,1,1,50.60346484297845
25,18,7,17,0,1,0,1,56.5213076165766
22,18,10,17,1,1,0,0,51.07728391544323
29,11,6,7,0,0,0,1,55.80386588333157
20,22,11,17,1,1,1,0,51.477475726828985
17,23,10,15,1,1,1,0,52.66182591670554
34,25,9,8,1,1,1,0,48.96542274477917
34,18,7,16,1,1,0,1,53.86986994523944
23,19,8,13,0,0,0,1,59.34055633460586
31,17,8,17,1,0,1,0,46.19502183770509
34,21,10,16,0,1,0,1,55.64018716714881
22,20,6,22,1,1,1,0,50.223403660403584
40,34,13,21,1,0,1,0,42.92532891147936
32,26,7,16,1,1,0,0,46.74029000966459
33,22,9,15,0,0,1,1,53.56773155354557
23,18,10,5,1,1,0,0,52.58312119265309
20,22,3,20,0,0,0,1,56.03609359615445
32,14,11,13,1,0,0,1,55.31195206761676
39,32,12,17,0,0,1,0,45.40503501351408
26,27,8,19,1,0,0,0,49.55776357748121
44,27,7,19,1,1,1,0,41.88968953225138
29,18,12,15,1,1,0,0,48.29925776759287
32,23,12,14,0,1,0,1,54.30898641511895
29,25,14,21,0,1,0,1,55.42246021780625
38,13,9,8,0,0,0,1,53.36090456463899
50,3,13,13,0,0,0,1,48.724866251995536
