defendant_age,judge_experience,defendant_prior_convictions,severity_of_charges,gender,defendant_minority_status,public_defender_assigned,public_defender_experience,legal_representation_hours,sentence_length
13,30,3,17,0,1,0,15,50,449.7546583702775
8,33,11,11,0,0,0,13,44,403.9428382945145
9,32,12,15,1,0,1,13,48,437.0129938829679
18,27,5,16,1,1,1,13,50,454.5658412926621
11,32,9,17,0,0,0,11,51,462.1589722690108
10,33,10,19,0,0,1,12,51,458.5323313599343
10,30,8,18,0,1,0,14,51,458.0951106584354
8,31,9,14,0,0,0,12,46,419.7638312804736
10,29,8,12,1,0,0,12,45,414.70789103365365
9,26,4,9,1,0,1,13,44,399.4846403197813
5,31,3,13,0,1,0,11,40,363.529514053916
8,31,12,16,0,1,1,12,51,457.547993565521
8,25,1,12,0,0,0,15,45,402.2292082918466
8,32,11,14,1,1,1,14,48,434.9816771273653
11,28,19,13,0,1,1,14,54,490.2730500944062
13,28,10,14,1,0,1,13,50,454.1158835043769
8,31,11,19,1,1,1,12,53,471.000849538185
6,27,12,11,0,0,0,10,45,411.3116294502513
7,28,12,12,1,0,1,10,50,454.0371131898638
6,24,13,9,1,1,1,7,43,396.1312625260907
11,30,6,17,1,1,1,14,49,441.7082568780452
9,28,12,11,1,0,1,11,46,424.13009509063903
10,27,6,13,0,1,0,7,43,395.011609308141
11,28,6,20,0,0,1,12,51,453.7682263183952
9,28,6,18,0,1,0,10,49,441.3520381389338
5,29,2,13,0,1,0,8,39,355.5880669237941
5,29,2,12,0,1,0,12,40,364.5134220638829
11,31,9,13,0,0,0,11,47,428.9935980330659
12,29,10,13,0,0,1,11,46,421.8295077866852
9,27,2,14,1,0,0,11,45,408.61683597024097
9,27,6,10,0,0,0,11,43,392.2688806489991
6,29,6,13,1,1,0,14,45,407.52799446422927
8,30,10,12,0,1,0,13,48,435.8236066145886
5,27,15,12,1,1,1,12,49,442.5439781891416
7,30,4,14,1,0,1,12,43,393.6152263795729
8,28,11,10,1,1,0,11,44,404.3786076304593
12,27,8,13,0,1,0,11,49,443.5008533858037
7,28,7,14,0,1,0,14,49,437.0901991406684
9,25,7,17,0,0,0,12,50,446.9123353705948
12,28,6,18,1,1,1,5,50,453.7803873807376
5,31,8,10,1,0,1,9,39,360.9387714900727
5,29,9,8,0,0,0,10,39,361.2783303636584
12,26,8,17,1,1,1,8,48,434.6719093109306
17,30,6,12,0,1,1,12,45,417.6624234658181
9,31,2,9,1,0,1,15,42,381.5067189643092
9,29,11,13,0,1,1,13,49,445.0968971544954
9,34,3,11,1,0,0,16,42,384.54230137374935
6,31,5,11,0,1,1,11,40,367.4164152628973
7,30,1,16,0,1,1,13,45,404.3309913078722
8,30,7,8,1,0,0,13,40,367.8093019903295
11,29,6,13,1,0,1,14,48,433.0620871363424
10,28,10,16,1,0,0,8,47,432.1214043576247
20,25,15,18,1,0,0,13,59,534.1506135349744
10,31,8,11,0,1,0,12,43,398.47879105289786
10,28,7,10,0,1,1,13,44,403.56665987691616
6,27,8,11,1,0,0,15,46,415.6613421528115
16,32,11,17,1,0,0,11,54,488.45939393650383
7,28,8,15,0,0,1,6,45,408.769141644979
9,26,6,13,0,1,1,11,44,400.1785941087483
7,30,6,10,0,0,1,8,40,370.1919855057493
11,32,0,13,0,1,0,12,42,384.3898044076352
13,26,9,12,1,1,0,11,49,447.7483978774416
11,30,9,13,1,1,0,10,47,432.7094723638013
7,30,4,14,0,1,0,11,46,413.8340480036313
8,29,9,16,0,0,0,11,49,441.0388223869966
6,26,7,11,0,1,1,12,45,405.5284455251814
12,30,4,12,0,0,0,13,44,404.9162434369183
12,34,8,15,1,1,1,12,48,440.5747769646607
8,33,9,17,1,0,0,12,49,441.3001921406743
9,32,11,13,1,0,0,13,46,422.9129693218504
9,29,11,10,1,0,0,11,44,405.86947677371273
11,30,9,15,0,1,0,11,47,432.1515345746531
5,25,3,17,0,0,0,12,48,427.0649595773812
12,26,13,12,0,1,1,14,51,463.8063023442296
9,31,9,11,0,0,1,12,44,403.949563504129
13,26,7,12,1,1,1,11,47,429.49838609362496
9,26,6,15,1,0,1,12,48,433.6314205750111
9,33,8,15,0,0,1,11,46,420.9658484476792
7,31,10,9,1,0,0,6,38,358.18384236272016
11,31,3,12,1,1,0,15,42,384.4272235668821
4,25,18,11,0,1,1,12,52,466.91243539774575
8,29,10,10,0,0,0,11,45,410.6518141167478
5,31,5,12,0,1,0,11,42,383.05504698063766
8,30,7,13,0,0,1,10,46,418.57874802078754
7,34,6,10,1,0,0,13,41,378.9019149073519
9,30,10,11,1,0,0,11,44,406.55920691860376
5,30,7,11,1,0,1,13,45,407.0489744219456
10,29,10,12,1,0,0,12,47,431.5818157393248
11,29,10,18,0,1,0,11,53,475.20272738354896
14,32,5,13,0,1,0,9,44,404.7360545006176
12,30,1,11,0,0,1,13,42,385.5360371712693
10,33,7,16,1,0,1,15,49,443.1485711834338
8,30,11,17,1,0,0,15,53,474.4311036942097
10,27,6,14,0,0,0,11,44,401.9055346553153
11,30,7,13,1,1,1,11,46,422.2540972967151
13,33,6,14,0,1,0,13,44,405.61943352528056
9,28,6,13,0,1,0,13,47,426.3748519049794
7,27,9,13,1,1,0,10,46,418.97378152437176
10,32,4,14,0,1,1,9,42,385.5477967283997
5,28,12,14,0,1,1,11,49,437.0184174102895
11,30,1,14,0,0,0,13,43,391.0630568251528
10,27,12,9,0,0,1,10,46,421.6319706208183
9,26,11,12,1,0,1,12,48,435.8327659482426
8,31,17,12,0,1,1,10,48,440.4673604933613
7,32,7,15,1,0,0,13,48,433.3799970813312
7,24,8,20,1,0,1,12,54,476.1765415533633
4,30,11,16,1,1,1,10,52,464.972329787017
12,29,7,13,0,1,1,13,48,434.41715152253335
9,31,6,12,1,1,0,10,44,404.82186123283685
11,30,12,12,0,0,0,11,50,452.9804584694954
8,27,2,12,0,1,1,16,42,380.32050956950496
9,30,6,13,0,1,0,14,46,417.0068705092564
6,29,9,18,1,1,1,14,53,469.8230341231538
5,30,11,12,1,0,0,14,45,406.799067883152
13,28,12,10,0,0,1,9,45,419.17618901688655
11,30,5,12,0,1,0,15,45,411.0797581825451
5,27,7,12,1,0,0,10,43,389.1101241595687
13,30,15,12,0,0,1,12,49,449.2725580168011
9,27,5,14,1,1,0,12,46,415.7042879000514
14,29,6,17,0,1,0,12,50,453.0001091814791
10,30,7,14,0,1,0,11,46,419.7642723222211
8,27,3,12,0,0,0,11,43,392.6850572140669
15,30,8,11,0,1,0,10,45,416.6183912623214
7,29,5,13,1,0,0,10,42,382.5915194141059
10,33,2,7,1,1,0,12,38,357.6610183395508
5,30,6,14,1,1,0,16,47,418.9517605354811
12,33,4,10,0,0,0,9,40,372.5477504888712
10,27,16,7,0,0,0,10,44,408.4313140315267
8,28,2,12,0,0,0,17,46,410.1361714280717
13,29,7,20,0,0,1,14,57,505.1597849598904
11,32,6,19,0,0,1,14,51,458.0936362950956
5,30,9,12,0,1,0,11,45,408.78100767412417
6,28,13,14,0,1,1,10,51,459.47876846126496
8,31,5,13,1,0,0,9,43,392.60662145736256
4,29,4,15,1,1,0,11,44,393.6149373241504
13,25,3,16,1,1,1,10,50,448.5504740873849
8,30,7,17,0,1,0,11,51,456.2754620021573
8,32,3,13,1,0,0,13,44,402.1839329091128
9,27,8,17,0,1,0,11,51,454.40299539412393
4,29,6,15,1,0,1,9,43,389.7747727765752
9,24,8,16,0,1,0,11,49,440.4881110330716
5,30,11,14,0,0,1,14,50,445.9440760586304
9,33,6,13,0,0,0,15,46,417.4160751986426
15,28,7,13,1,1,1,12,48,439.3751754668632
12,28,12,17,0,0,0,11,54,482.62496770404186
7,27,12,12,1,0,1,14,46,418.71932703419975
10,30,7,16,1,0,1,7,47,425.2741194423114
14,30,13,11,0,1,1,12,47,433.20319716238566
5,33,10,14,1,1,0,10,46,417.3723873627666
13,27,7,14,0,1,0,9,45,411.9720843379673
8,26,8,11,1,0,0,12,43,391.2002903897517
13,26,13,13,1,1,1,11,53,480.509322153776
12,27,8,14,1,0,1,16,49,442.8978728152171
11,31,10,12,0,1,1,12,46,423.4489709990505
12,28,5,15,0,1,0,14,47,425.76328690530886
10,28,8,17,0,0,0,13,48,433.3700579831195
13,27,4,13,1,1,0,12,47,428.11730562923873
15,32,9,12,1,0,1,14,48,441.97877850547104
9,30,8,14,0,0,1,10,46,416.2006546098494
9,29,10,18,0,1,1,9,51,459.20068893249385
14,28,8,7,0,1,1,10,40,374.8938336526695
10,33,2,15,0,1,0,9,42,385.6888146296366
5,28,5,14,0,0,1,10,44,396.83961609547896
9,30,2,12,1,0,1,11,43,391.0600359749821
11,29,7,8,1,1,0,10,41,381.51235997855457
9,29,10,14,1,1,1,12,48,435.4306111309632
8,27,6,12,0,0,1,11,44,399.7343612598795
9,29,6,12,1,0,1,11,45,410.8676455785143
18,32,10,9,0,1,1,13,46,429.3224401942445
5,27,9,16,1,0,0,11,46,414.663431941727
8,30,11,12,1,0,0,9,44,405.3892652373928
12,29,1,15,0,1,1,11,45,408.7184060479258
9,27,5,14,0,0,1,15,47,421.8768658433082
11,28,6,13,1,1,0,10,44,406.3513886670161
6,28,-1,13,1,0,1,15,43,385.72983101233
15,31,7,15,0,0,0,12,48,441.6188570932699
5,29,5,14,0,0,1,11,46,414.1236236055107
14,26,4,14,1,1,1,13,46,418.81086258461073
10,30,9,18,0,0,0,13,52,465.11214460410827
14,31,8,14,0,1,0,16,50,454.2833107316071
11,29,11,10,1,0,1,11,46,423.8680498783293
8,30,6,8,0,0,1,11,38,354.6034530619183
11,31,11,15,0,0,1,10,49,445.0113117492403
11,33,9,10,0,1,0,11,42,390.33444757782
12,29,11,15,0,0,1,13,51,461.2223753665254
12,29,4,13,0,0,0,13,46,417.4631226572868
11,29,10,13,0,0,0,13,52,469.02673352345033
11,31,7,13,1,1,0,15,47,426.87742657511336
9,31,7,12,0,0,0,13,45,410.9045357657861
5,29,9,16,1,0,1,12,50,447.61318035992525
4,29,4,10,1,0,0,10,40,365.3921111569818
9,29,8,6,0,1,0,13,38,357.6423067649199
7,25,5,20,1,0,0,9,51,451.7088575794384
10,27,8,10,0,0,1,13,46,421.0080301012448
4,34,9,15,1,0,0,11,46,419.2819379647973
9,30,7,13,0,0,0,11,44,401.0507390659784
7,24,13,11,1,0,0,12,47,428.44046746376085
5,26,9,20,1,1,0,10,52,462.3563336489411
8,32,11,17,0,1,1,12,51,458.93256598856834
10,25,12,8,1,0,0,13,48,436.6076189017943
13,31,7,12,0,0,0,9,45,414.26807859475525
14,27,8,16,0,1,0,11,51,461.139143583126
5,28,6,9,1,1,0,14,41,376.6018585724871
8,34,10,15,0,1,1,9,45,413.974200726399
13,27,4,9,1,0,0,9,39,366.69781497289154
6,27,7,15,1,0,0,7,44,401.3499606315282
9,30,9,9,1,0,1,11,43,396.0444593772391
8,29,2,11,0,0,1,7,36,335.4114610153329
9,31,8,18,1,1,0,11,50,449.9214058679217
5,29,6,13,1,1,0,8,44,400.2377230822926
11,25,6,13,0,1,0,14,44,400.53669698417485
11,30,8,20,0,1,0,13,55,488.7805465989642
6,33,4,12,0,0,1,14,41,374.2040860890379
8,29,7,7,0,1,1,10,39,364.0397828712005
7,29,9,13,0,1,0,11,46,418.6745832955581
13,31,7,13,0,0,1,10,44,407.3766169986449
13,28,1,14,0,0,0,10,41,375.32277311921615
12,28,3,14,0,1,1,15,46,414.8518898431158
6,28,2,15,1,0,0,12,42,377.3664848570859
11,27,9,18,0,0,1,11,53,474.5631525283357
6,26,8,16,0,1,1,9,47,421.4080172123882
12,35,8,14,1,0,1,11,48,437.1245681287149
9,27,9,11,1,0,1,12,45,411.9977195951736
11,32,11,11,0,1,0,15,49,447.254934484017
12,31,5,15,0,0,0,9,47,428.4642102390186
13,29,9,14,1,0,0,11,48,438.7095174831524
11,25,6,13,1,1,0,11,45,410.6087775474102
10,29,5,15,0,1,0,11,46,416.7419531665219
10,26,0,12,1,0,0,11,44,399.3673318524951
7,31,5,19,0,0,0,11,50,447.02056642848936
12,32,9,13,1,1,0,10,46,424.756878817573
9,28,2,10,0,0,1,12,39,363.8499880084244
7,35,11,7,1,1,1,14,41,385.7544396503261
5,28,3,16,0,1,1,10,46,411.82865897277287
9,30,10,12,0,0,0,11,44,403.2808771520083
12,29,8,12,1,0,0,15,48,437.2661877385644
10,29,6,13,1,0,0,13,46,420.6404825515503
6,26,9,16,1,0,1,11,48,431.1576287344637
11,28,10,15,0,1,1,10,48,434.5126261257535
12,30,15,14,1,1,1,12,52,473.32243204278245
8,28,9,14,1,1,0,12,49,443.46052582921874
9,30,6,15,0,1,0,11,46,419.8041044199932
14,26,10,13,0,1,0,10,49,447.6799583013601
10,30,8,22,1,1,0,13,56,498.0528765768869
10,34,9,13,0,1,1,10,46,422.9335911920599
7,31,10,18,0,1,1,9,53,472.10166226670015
12,31,8,12,1,0,0,12,46,423.00168848160814
10,29,2,13,0,0,0,12,42,381.96895800666687
8,31,11,11,0,1,0,10,45,415.3467686706739
5,31,8,13,0,1,0,12,45,410.7883609938333
9,31,9,13,0,1,0,10,43,396.6923572121572
7,30,5,8,0,0,0,14,43,393.35264157165375
13,29,8,15,0,0,0,14,52,468.0839323050915
12,29,9,14,0,0,1,14,51,458.422044816549
11,28,5,15,0,1,0,14,49,441.0785233823705
7,33,10,16,1,0,0,11,50,450.4552828269941
10,27,9,12,1,1,0,10,45,413.7987276459397
6,32,9,16,1,1,0,12,49,442.7862331597888
12,27,15,13,1,0,0,10,50,459.7642909758198
7,29,7,13,0,0,1,11,47,425.1562354484972
9,32,9,13,1,0,0,10,43,399.5288421238791
10,30,6,14,0,0,0,10,43,394.27389809140897
6,29,4,13,0,1,0,12,44,398.0097898875932
9,30,6,12,0,1,1,14,44,401.3510278859639
10,29,8,13,0,0,1,13,47,425.64494718867934
6,33,8,12,1,1,1,9,41,378.2827193154605
7,32,5,15,0,0,1,12,47,423.880856992995
14,31,10,12,0,0,1,9,43,402.4031719929287
6,29,7,16,1,0,0,16,51,457.2515159986551
9,34,7,19,1,1,1,13,53,477.2224180516651
10,30,6,14,0,1,1,8,45,411.2630282521933
9,27,5,13,0,0,1,12,45,408.13112721130153
7,30,13,10,1,0,0,11,46,422.33931747631857
17,30,5,12,0,1,1,14,45,415.0906466482157
5,26,13,11,0,0,1,12,49,440.8482534705714
10,32,3,15,0,1,1,13,45,409.25848644762544
13,31,4,14,1,0,1,8,43,398.8090724647041
6,28,8,16,1,1,1,14,51,452.2701382991652
4,28,9,16,1,0,1,15,52,460.1032720050603
8,25,11,14,0,1,0,15,52,464.159887314928
7,30,2,11,1,0,0,10,40,365.8067047606947
12,29,12,18,0,0,0,12,56,501.7146976000759
6,28,9,12,0,0,0,12,46,415.89375301382887
7,30,14,13,0,1,0,10,50,453.7142282775856
10,32,6,12,0,0,1,13,45,410.8741768029013
10,31,11,11,0,1,0,15,49,446.2854653162987
9,29,7,12,0,0,0,11,45,410.3673388788145
10,30,15,14,1,1,0,12,50,457.5512286972312
11,30,9,17,0,0,1,12,50,451.5460609305448
9,26,3,13,1,0,0,12,45,408.1475448722147
11,31,8,21,0,0,1,14,54,480.5368061531331
15,27,7,14,1,1,0,12,50,452.9610796750125
9,28,5,10,0,1,0,11,43,395.0515173390483
9,27,13,20,1,0,0,14,55,487.1998393596956
9,33,0,14,1,0,1,12,44,401.3909911659486
11,31,7,11,0,0,1,10,44,407.9243543559938
10,27,6,13,1,0,0,12,47,425.5991052031919
16,29,12,13,0,1,1,13,52,470.9956138229317
15,28,11,13,0,0,0,12,51,463.03092438533474
9,25,7,15,0,0,0,14,49,440.1076830311505
9,31,6,15,0,1,0,9,44,400.8458138730709
10,29,9,10,1,0,1,12,44,407.1362068618564
15,30,9,14,0,0,0,13,48,438.5234592135546
12,26,10,18,1,0,0,9,49,444.46429810355016
13,30,12,13,1,0,0,14,51,466.3372597078111
11,28,11,15,0,0,1,10,51,462.9889455116813
7,30,10,12,1,1,0,12,48,436.5882766226485
7,28,7,15,0,0,1,11,45,407.4153941667026
9,29,6,14,1,0,1,8,43,392.6856471865216
8,32,7,9,1,0,1,12,40,371.8379382011675
9,33,10,18,0,1,0,9,50,452.4335092085928
12,24,6,10,0,0,0,11,43,396.205950085875
7,25,8,15,0,1,1,14,52,460.19251832254463
8,31,3,13,1,1,1,11,41,376.4829837302894
10,30,4,17,1,1,1,14,49,440.70297012651287
8,31,10,16,1,0,0,10,51,458.2016521631424
11,30,11,8,0,1,1,9,42,391.656209550558
9,31,8,16,1,0,1,9,45,410.6930560435386
9,26,9,10,0,1,0,16,45,409.8058457537808
12,32,8,12,0,1,1,13,44,405.4672770097055
7,31,8,14,0,0,0,12,44,401.92988065177445
9,30,1,17,0,1,0,7,44,398.9823983256028
8,32,5,13,0,0,0,10,43,392.8572091809438
7,27,11,12,1,1,1,13,48,430.85281192169975
10,31,8,12,0,1,1,15,45,410.70606505360536
4,29,7,12,0,0,1,11,45,409.92166428610585
10,31,14,13,1,1,0,11,46,423.8792077403457
9,29,4,15,0,0,0,13,45,406.1129711046014
14,29,5,16,1,1,0,11,48,437.4491437617767
11,29,7,12,1,1,1,11,43,396.341984570956
5,25,7,9,1,1,0,12,42,381.0950038431206
11,28,4,14,1,1,1,8,43,396.1415173153716
10,28,8,11,1,0,1,11,41,378.3166808229346
9,32,8,13,1,0,1,10,45,410.6533160842088
8,30,10,19,1,1,0,11,53,474.2304568786261
10,28,7,13,1,0,0,12,44,402.9663800617304
5,28,10,15,1,0,0,14,49,438.400828648872
7,26,10,13,0,1,1,11,51,457.4312448050077
10,29,7,17,1,0,1,12,50,449.85328951181856
5,26,8,11,0,0,0,11,46,414.0376728498894
9,31,8,13,1,0,0,12,46,420.3110237779224
9,30,4,12,0,1,0,12,45,410.10931252231165
8,31,2,17,1,1,0,14,47,420.6384036659461
10,30,8,16,0,0,0,13,53,476.01213352576747
7,28,11,13,0,0,0,10,49,440.44583027040863
7,29,9,11,0,1,0,11,46,419.8440272916183
8,29,7,12,1,1,1,10,43,394.94328450014535
12,27,4,14,1,0,0,11,46,418.4454506477927
15,31,8,8,0,1,1,12,42,394.6674292754957
9,30,6,14,0,0,0,16,49,440.43988387227154
13,27,9,9,1,0,1,13,42,391.3506374152834
1,29,9,16,1,1,0,10,45,407.91160857582815
13,29,4,16,1,0,1,13,48,433.77730991407367
14,27,3,15,0,1,1,16,52,463.8157231988959
4,32,9,20,0,0,0,9,51,454.42794384583857
10,30,7,13,0,0,0,11,44,400.38507783799184
10,32,3,15,0,1,1,9,43,392.41050769809885
8,28,5,10,0,0,0,8,41,378.3373126016861
11,25,8,16,1,1,0,12,51,459.1689016543774
11,31,0,11,0,0,1,12,38,354.76836446542325
11,28,8,16,1,0,1,14,49,444.4163993484524
8,28,12,15,1,0,1,11,52,469.080281448518
9,29,10,15,0,1,1,11,50,449.6328718228633
12,33,8,13,1,1,0,12,44,405.636883732924
9,29,9,10,1,0,0,12,42,386.84465852763617
11,32,9,15,1,1,0,10,48,437.348163282772
10,29,2,15,0,1,0,11,42,385.64477624038886
10,29,8,16,1,1,1,13,50,453.5287967273603
15,30,4,13,0,0,1,14,46,420.2730953772335
8,25,10,13,0,1,1,11,49,440.4928946911658
7,30,7,10,1,0,1,9,40,368.9956929000076
10,32,9,9,1,1,0,12,43,399.1940909306165
8,30,7,13,1,0,0,14,48,433.1708917237987
10,30,2,16,1,0,0,12,46,415.9541614718245
14,29,9,18,0,0,0,14,55,493.3550699100948
12,29,7,17,1,0,0,10,50,452.66873176152455
11,26,8,9,1,1,0,15,43,398.01257070476913
13,29,1,13,0,0,1,11,43,391.9051622869056
8,32,10,16,1,0,1,10,47,428.8252408381478
9,30,13,15,1,1,0,13,51,463.1180722920887
9,30,8,10,0,0,1,9,43,397.31151411410855
7,24,10,12,1,1,0,8,46,417.5664886080283
8,27,10,11,1,1,0,12,46,418.6348292565323
9,29,10,14,0,1,0,12,47,426.6451986990591
9,32,2,16,1,1,0,13,46,416.7514217903183
5,30,17,10,1,1,1,14,50,453.78859221969617
5,30,10,12,1,1,0,12,45,411.64226513082
8,28,10,16,0,0,0,12,49,441.47838451183793
9,28,4,17,1,0,0,13,47,421.174566342376
7,26,3,11,0,0,0,13,42,380.2766983431955
7,27,10,19,0,1,1,9,54,479.5327424848842
6,31,8,18,1,0,0,11,48,432.1600983102212
11,33,11,9,0,0,0,14,44,408.8822515266124
12,31,11,14,0,1,0,13,50,454.6436403568374
10,29,7,14,0,1,0,17,49,439.52545812930055
8,28,3,11,1,0,0,9,41,378.3056219871972
11,30,9,13,0,1,0,12,45,413.2649026785544
8,33,6,16,1,1,1,9,45,409.6559593599966
11,31,8,12,0,1,1,12,46,421.0337862529074
9,30,9,18,1,1,0,12,53,477.02521381908576
7,27,7,18,0,0,0,14,50,444.4105635013949
14,33,11,14,1,1,0,14,48,442.36320534271306
9,32,5,17,0,1,0,13,48,434.6502603259278
8,33,13,14,1,1,0,12,50,452.1733660943861
8,29,0,9,0,1,1,14,39,358.615138128497
7,32,10,10,1,0,0,14,46,422.3787032312807
8,23,12,14,1,0,0,10,49,442.76200708854327
9,32,10,12,0,0,0,13,44,406.3300103469827
11,32,6,10,0,0,0,12,42,385.9445776623896
11,28,11,12,1,0,0,13,49,445.1848807848887
8,26,4,11,1,1,0,11,42,384.1578565205194
7,26,8,13,0,0,0,12,46,415.4733247363502
