defendant_age,lawyer_experience_years,previous_convictions,legal_aid_received,plea_bargain_accepted,restorative_justice_program,recidivism_rate
12,22,1,1,1,0,57.96603390202015
19,20,0,0,0,0,54.61552325971791
23,24,0,1,1,1,67.18480639870833
13,22,1,1,1,1,66.03409259315846
46,20,1,0,0,1,64.7033651629314
7,25,1,0,1,1,65.50348380867894
10,24,1,1,0,1,65.21723431416181
39,19,0,1,0,0,55.2292188169973
32,18,1,1,1,1,65.04709125703675
13,27,0,0,0,0,56.00540939973887
18,22,0,0,1,0,57.08278402055184
20,16,0,1,0,0,53.5478866314787
22,26,0,1,1,1,67.0281864439869
18,30,1,0,0,1,69.80150856869341
40,19,1,0,1,1,65.5773731010361
39,28,0,0,0,1,68.16372313041133
33,21,0,1,0,1,66.87850764121677
30,23,0,1,1,1,65.63919787459939
22,27,1,1,1,1,68.40111710336657
20,24,0,1,1,1,67.55788437867484
24,26,1,1,1,1,67.13211937789511
44,25,0,1,1,1,65.97594417180004
28,16,1,0,1,0,53.498753806472216
19,26,1,0,0,0,60.35760042476564
20,24,0,1,1,0,56.29437592756752
12,30,1,1,0,1,68.04654338347896
29,29,0,0,0,1,65.95968689732639
23,23,0,0,1,0,58.42222833629786
9,27,0,1,0,0,57.00703423356444
30,26,1,0,0,1,67.87468895731934
29,26,0,0,1,1,66.21768727769967
34,17,1,1,1,0,55.458722996201466
33,23,1,0,1,0,58.40038872206062
18,25,1,0,1,0,57.42672328848828
21,15,1,0,0,1,63.09225350570564
27,21,1,1,0,0,56.63744627215102
49,26,1,0,0,0,59.90941946525959
36,20,1,0,0,1,65.1004891562345
8,28,0,0,1,1,69.35783305846711
28,23,0,0,1,0,58.06018908434585
24,23,0,0,1,0,56.05884481217039
40,26,1,1,0,1,65.71708081210868
31,23,1,0,0,1,65.77527577587394
20,26,0,1,0,0,58.189347407041
22,26,0,1,0,0,56.60043256364331
24,18,0,1,0,1,62.45978192377091
13,26,0,1,0,1,68.35082997657722
35,22,0,0,0,1,65.18897425008437
-1,30,1,1,0,1,66.78429308832143
29,31,1,0,0,1,68.40989949214465
22,25,0,1,0,0,56.056998864834696
23,23,0,0,0,1,65.7394394181615
10,27,1,1,1,1,66.45558393233011
38,24,0,1,0,1,66.43924010164844
22,24,0,0,1,1,65.6090772167902
16,25,1,1,1,1,66.83446863886961
35,29,0,1,0,1,67.40593108816253
28,23,0,1,0,0,59.36526590196856
41,27,0,1,0,1,69.37643715670056
23,21,0,1,0,0,55.04922504859957
-4,24,1,0,0,1,64.55971706997768
37,27,1,0,1,1,68.6244764212866
24,26,1,0,0,1,66.91189840730473
22,28,0,0,1,0,57.74051081671174
15,24,1,0,0,0,56.782233678992846
33,30,1,0,0,0,59.86920791552888
31,18,1,1,1,0,56.420450698838856
16,24,0,0,0,1,64.79249815144736
13,25,1,0,1,0,58.39855627485121
45,23,1,0,0,1,65.83708097675567
15,25,0,0,1,1,66.69143279288346
12,31,1,0,1,0,61.614508482803615
23,23,0,0,0,1,66.1320662866013
22,27,1,1,1,1,66.81673128151579
19,17,1,1,1,0,55.11970430730731
38,30,0,1,1,1,68.65422649562359
10,26,1,1,0,0,59.5529995547617
20,30,0,1,0,0,60.66425408435166
22,27,0,0,1,0,58.43531785590812
29,22,0,1,1,0,56.69899154447223
37,27,0,1,1,0,58.56605970376623
26,24,1,1,0,1,67.72044810502389
25,24,0,0,1,0,56.68789685454309
28,30,1,1,0,1,68.93034807097943
21,32,0,0,0,0,60.263918296416136
28,24,1,1,0,0,58.70604059342597
22,24,1,1,1,0,57.40846257920264
18,24,0,0,1,1,66.81118630960651
30,20,0,0,1,1,67.31813773561157
30,21,0,0,0,1,65.32150443427953
27,16,0,1,0,0,53.97828727204673
22,24,0,0,0,1,67.45386285814753
14,18,1,0,0,1,63.2496159470479
36,14,0,0,0,0,53.87682824533675
15,15,0,0,0,1,62.078980366460186
35,30,1,0,1,0,60.62398058616782
31,22,0,0,1,0,56.0637009394633
21,25,1,1,0,1,66.4142090588192
17,22,0,1,1,1,65.18983166276934
34,24,0,0,1,1,65.51590164994008
17,28,1,1,0,1,67.21545779959834
12,22,0,1,0,1,64.81082839121821
21,22,1,0,0,0,57.02314458881616
22,31,0,0,0,0,58.8350140069604
11,15,1,0,0,1,61.622368727256415
22,31,0,0,0,0,57.97789779893988
37,27,0,1,1,0,59.49956900169591
19,20,0,1,1,0,55.25921570436095
21,23,0,1,0,1,64.46281538657063
18,23,1,0,0,0,55.65710981566112
29,19,1,1,0,1,64.17087848248526
6,25,0,0,1,1,67.23072523273109
20,24,1,1,0,1,67.45810523697926
8,30,1,1,1,1,69.29058601865091
24,21,0,0,0,0,54.56284133360758
29,17,0,1,0,0,53.95327115480007
23,24,0,0,1,1,65.75266240195715
20,29,1,0,0,0,58.509948831440575
40,26,1,0,0,1,68.16064831695346
27,21,1,0,1,1,64.87964563989584
24,20,0,0,0,1,63.73819028189001
9,23,0,0,0,1,64.61624176775354
38,22,1,0,0,1,65.40668403869354
29,23,1,1,0,0,58.05714061866295
27,25,0,1,1,1,67.33145824421572
23,26,1,1,1,1,66.98875005075125
21,31,1,1,0,0,59.36091770362826
36,25,1,0,1,0,59.50570515031598
16,22,0,1,1,1,63.41810796044186
25,26,1,1,1,1,66.61486577048706
5,27,1,0,1,1,67.17812606342736
20,24,1,0,1,1,65.41306316864392
25,21,0,1,0,0,56.42813156098266
34,26,0,1,0,1,65.43153380009622
33,27,0,0,0,0,58.33561144144069
15,22,0,1,0,1,64.5729518865947
20,28,0,0,1,0,59.96192361691608
21,23,0,1,1,1,68.51596228966193
14,29,0,0,0,1,67.20871789929885
5,22,1,0,0,0,55.78184965298136
23,30,1,0,1,0,59.39124079027613
21,24,1,1,1,0,55.70843215502174
25,28,0,0,1,0,58.58493625824458
27,20,1,0,0,1,64.47636788073571
14,29,0,0,0,1,66.59196113660589
21,27,0,0,0,1,66.6682063038991
35,21,0,0,0,0,56.98027433115111
32,19,1,1,1,1,63.426707585288334
11,28,0,0,1,1,66.99286045969484
18,19,0,0,0,0,53.583429479659934
32,27,1,0,1,1,68.90949173683701
37,22,0,0,0,0,57.96675467014895
36,19,1,1,1,0,56.19603131246832
14,24,1,0,0,0,57.56305980412105
26,20,0,0,0,1,63.09309421171514
30,23,0,0,0,0,58.063622812198616
26,21,1,0,0,1,65.50372388731036
26,23,1,1,0,1,67.33187831736745
17,25,0,1,0,0,55.13892133079533
12,23,0,0,0,1,67.8854524075066
23,23,1,0,1,0,57.4075951304085
24,22,0,0,1,0,57.69984034014111
27,21,0,0,0,0,56.43066890666677
13,18,1,0,0,1,62.99245094575566
32,25,0,1,0,1,66.52343085251624
36,17,0,0,0,1,62.36079950467697
31,24,0,1,0,1,65.7584221053894
48,19,0,1,0,1,63.68545526363256
39,19,1,1,0,1,65.16320282784658
40,17,1,1,1,1,63.842324975753314
14,26,1,0,0,0,58.1840339846939
18,19,0,1,0,0,54.64703942684019
7,22,1,0,1,1,67.14133039618706
32,17,1,0,1,0,55.83839360840207
19,32,0,0,1,1,67.99704821875967
55,19,1,0,1,0,57.70981416950462
30,22,1,1,0,0,55.584057476486045
28,27,1,0,0,1,67.20975987570834
32,16,1,1,0,0,54.01297900823107
35,26,0,0,0,1,68.47056749849321
18,20,0,1,0,1,64.92122880701459
36,28,0,1,0,0,59.431658676132606
27,29,0,1,0,0,61.50346826272167
15,28,0,0,0,1,66.17116454210952
3,29,1,1,1,0,57.49410878003148
35,20,1,1,1,1,64.47431086557837
25,25,0,1,1,0,57.12728623927939
18,30,1,1,0,0,58.80958549030586
22,25,0,0,1,1,65.6112002590991
21,26,1,0,1,0,59.79213132858862
16,22,1,0,1,0,58.066939042570056
28,25,0,1,1,0,59.98930428240309
31,18,1,0,1,0,54.19064000449233
16,16,1,0,0,0,54.50221938090517
11,25,1,0,1,0,58.68465151132106
7,21,1,1,0,1,65.66132088469541
20,31,1,1,1,0,58.89499051133545
25,27,1,1,0,1,69.06401151707723
48,29,1,0,0,0,59.4930014497896
20,22,1,1,0,0,57.14993458340841
45,18,1,0,1,1,65.16926538075532
12,25,1,1,1,0,56.33858031900441
27,21,1,0,1,1,63.29781006073704
32,24,0,0,0,0,57.92848765951303
29,26,1,0,1,0,60.034842428564325
12,21,1,1,1,0,56.25583794462708
8,28,1,0,0,0,59.01030017630984
21,28,0,1,0,1,68.75664485353279
25,30,0,1,1,1,69.37210612176706
22,24,1,0,0,1,65.15187115358962
18,24,0,0,1,0,57.32708189621883
18,17,1,0,0,0,54.69091728894506
37,17,0,0,0,1,61.80539941251836
35,19,1,1,0,1,65.27239480599324
6,28,0,0,0,0,58.10589131196178
26,30,0,1,1,1,67.73436201831419
29,32,0,0,1,1,70.50533160016401
48,22,1,1,1,1,65.35241215810944
33,29,1,0,1,1,68.28666310419753
49,22,0,0,0,0,57.762908447521305
19,26,0,1,1,0,56.35557665311149
19,22,1,1,0,1,63.84533663340978
23,22,0,0,0,1,64.72716524677472
27,18,0,1,0,1,62.71957602465471
30,19,1,1,1,1,65.74124272673436
25,26,1,1,1,0,59.81681729432764
25,21,1,1,0,0,57.81113133722898
7,24,0,0,0,0,56.6433697603382
34,24,0,1,0,1,65.49189133916697
39,17,0,0,0,1,64.50823649427407
22,27,1,1,0,1,67.47277819370542
34,27,0,0,0,0,59.5154856069524
18,23,1,0,1,1,65.96544596249285
28,27,0,1,0,1,66.60560452175415
35,23,0,1,0,1,67.46584049395746
18,20,0,1,0,0,58.22577892817651
31,27,1,0,0,0,56.96845037074861
15,21,0,1,0,0,54.36901626828867
30,26,0,0,0,0,60.20821437311506
37,30,1,1,0,1,68.69819163483085
25,24,0,0,1,0,56.46476318873337
27,27,0,0,0,0,57.73971636946184
26,21,1,1,1,0,57.174096957000906
32,19,0,0,0,1,64.32969445818377
21,25,1,0,1,1,67.03343003652299
39,32,1,1,0,1,70.51492151043102
38,22,1,0,0,0,56.19961577506016
26,15,1,1,1,0,54.32002545967598
24,21,0,0,0,0,57.35091889036934
24,23,0,0,1,1,66.15185467462258
34,25,1,0,1,0,60.54412436068895
35,22,1,1,0,0,56.200476170126606
31,23,1,1,0,0,56.354742975797976
14,31,0,1,1,1,67.43912304102136
14,21,1,0,0,0,56.1656478460636
14,17,1,1,0,0,53.65097749693829
28,23,0,0,0,0,57.05137795643543
22,24,1,0,0,1,66.10981397784253
27,20,0,0,0,0,55.42667744407259
22,24,0,0,0,0,57.77793122409106
21,24,0,0,0,1,66.26455426922722
39,22,0,1,1,1,66.33799495466484
17,24,0,1,1,0,57.68392387452749
41,23,1,0,0,0,58.049980810156725
25,24,0,1,0,1,66.57089836719113
30,24,0,1,1,1,66.28034635602893
16,26,1,1,0,1,66.31091760643652
13,28,0,1,1,0,59.89495277538128
13,21,0,0,1,0,56.30941710837497
27,23,1,0,1,0,57.23432033672583
31,23,0,0,0,0,57.156241776802
15,20,0,1,0,0,56.972568480009215
32,20,0,1,0,0,58.22976101649122
17,22,1,1,0,0,56.943837910039306
26,31,0,0,0,0,61.57311666656186
21,27,0,1,1,1,67.67260777181828
36,26,1,0,0,0,59.26004251087223
27,24,0,0,0,0,57.20510192386941
31,19,0,0,0,1,64.04580829426058
5,28,1,0,1,0,57.845106776726496
26,18,1,0,1,0,55.92312091338289
31,26,0,1,1,1,66.62448413470642
27,23,0,0,0,1,66.66120323682887
28,18,0,1,1,0,54.90418215263265
22,27,1,0,0,1,66.47525156420052
30,18,1,1,0,0,56.144629071365
20,24,0,0,0,0,57.20288987045827
45,20,1,0,0,1,66.54544273134225
21,18,0,0,0,0,56.47987123882776
33,27,1,1,0,1,67.68703607004602
21,24,0,1,1,0,57.241982326920805
20,27,0,0,0,1,69.27056015677869
26,15,1,1,1,0,54.92096911739868
37,21,1,1,1,1,65.56398778527904
25,22,0,1,1,1,65.56691715554041
34,32,1,0,1,1,69.85773818972879
8,13,1,0,0,1,59.947191784384216
25,27,0,0,1,0,59.37345151492232
43,24,1,1,1,0,59.39768640886039
8,22,0,1,0,0,55.80764758043311
26,15,0,0,0,1,63.19027068346617
34,25,0,1,1,0,56.82253980734546
20,20,0,1,1,1,63.59333192643296
16,24,1,0,0,1,66.6649241111389
24,29,1,0,0,0,60.60941516474181
22,28,1,0,1,1,68.37334407543062
28,19,1,0,0,1,63.22974154349305
43,25,1,0,1,1,66.20328349212414
27,15,0,1,1,0,54.41442736970946
18,26,0,1,1,1,68.15012770028063
22,28,0,0,1,0,59.41319547654292
18,21,0,0,1,0,55.30640555662662
24,32,1,1,1,0,60.23046690189725
18,29,1,0,0,1,68.40786339537772
8,22,1,0,1,1,65.77418159912554
25,23,1,0,1,1,64.23295513564581
16,20,1,0,0,0,53.3312578761218
32,23,1,1,1,0,58.48962948799012
15,24,1,0,0,0,57.88710102262198
16,27,1,1,0,1,65.83449006009033
21,22,1,0,1,1,65.37114231421288
21,21,1,0,1,1,65.2279547017751
26,25,0,1,1,0,59.63277567495626
7,18,0,0,1,1,64.40355225216523
32,24,0,1,0,1,65.41588345145148
25,19,1,0,1,1,64.78442247553464
27,33,0,0,1,0,61.31170829461035
34,17,0,1,0,1,63.96318955755429
24,22,1,1,1,0,58.92549975360214
22,35,1,1,0,1,70.86603530054515
14,26,0,0,0,0,58.89987440040397
25,19,0,1,1,1,64.30574764413947
24,26,0,0,0,0,58.48166440056325
30,26,1,0,1,1,68.20567567043264
0,15,1,1,1,0,53.86304112244346
20,26,1,1,0,1,66.11554120896436
29,21,0,1,1,1,65.97784445809137
12,20,1,0,0,0,56.06392680250936
7,23,1,1,1,0,57.12137809927895
23,22,0,1,0,1,63.5342409702491
39,26,0,0,1,0,58.10629247766274
23,15,0,0,0,0,53.20205550082586
17,18,1,0,0,1,64.45776261316765
21,22,1,1,0,0,55.103217368623966
32,19,0,0,1,1,64.06733008324085
43,22,1,0,1,0,57.45326598452711
23,26,0,1,1,1,67.26019259446086
14,28,0,0,0,0,59.46658852131494
40,15,0,0,1,1,63.82129680248424
37,20,0,0,1,1,65.34995935934997
23,25,0,0,1,1,66.72342054393646
8,18,1,0,0,0,55.04644135213155
26,21,0,0,1,0,54.84432380367946
12,23,1,0,0,1,65.26713294173732
28,18,1,0,1,0,55.57483231501045
4,18,1,0,1,1,62.32513776356036
26,23,1,0,1,0,59.64675420610482
34,20,0,0,1,1,66.00578090916473
35,24,1,1,0,0,57.11644353512983
20,22,1,1,0,0,55.56728127001019
27,21,0,0,0,1,65.40280727461747
39,24,1,1,1,1,67.44463303896853
26,23,0,1,1,0,57.75553387599708
24,24,1,0,0,1,67.46481915152111
45,26,1,1,0,1,67.02225740429627
26,26,0,0,1,0,59.28215048247972
29,24,0,0,1,0,56.91167463787294
38,26,0,0,1,1,67.6163762190038
34,26,0,1,0,0,58.452432834771024
23,24,0,0,0,0,56.58835808317054
38,13,0,0,1,0,54.834874504682126
30,22,1,1,1,0,58.32769616762047
21,25,0,0,0,1,66.57146275777838
27,24,1,0,1,1,67.04157461640837
36,27,1,1,1,1,66.93821277089205
23,15,0,0,1,1,63.43049688116714
8,16,1,0,1,0,55.053749988438014
17,27,0,0,0,1,67.30619789539335
37,22,0,0,1,0,57.251275234477255
14,24,1,0,1,0,56.68666964874008
26,26,0,1,1,1,66.76288465648693
25,16,1,1,0,1,62.02211237294352
32,28,0,1,0,0,56.94890453048106
38,25,0,1,1,1,68.21436865292391
21,19,0,0,1,0,54.719504726139625
25,28,1,1,1,1,67.76192766406395
27,21,0,0,0,0,55.088685183847744
28,25,0,1,0,0,58.36866896603872
24,19,1,1,1,0,56.34400122887914
15,22,1,1,1,1,65.34434781035341
16,19,0,0,0,1,64.3385205285018
2,25,1,1,0,1,67.07260889598157
15,20,1,1,0,1,65.68003412655082
17,29,0,0,1,0,58.36869462345589
25,24,1,0,1,1,66.07573570995925
22,26,1,1,0,0,57.995095242223485
33,23,0,1,0,0,57.15771598881104
24,22,1,0,0,1,67.43258570558442
20,27,0,1,1,1,67.9758140433079
17,31,1,0,0,1,68.66772120996588
22,32,0,1,0,0,59.42898198041971
28,25,1,1,1,1,66.020382589873
19,28,1,0,0,1,69.75321966680292
38,23,0,0,0,1,64.60112469625659
25,24,1,1,1,0,59.174050113689646
35,19,1,1,0,1,64.98498956415591
50,21,0,1,0,1,66.0148726502608
18,26,0,0,1,0,57.96283144712861
36,20,0,0,0,1,64.81091697190443
18,20,1,1,1,0,55.50590871068737
29,25,0,1,0,0,57.2428322827087
36,26,1,1,0,1,67.26937910302813
37,27,1,1,0,1,67.17380389123069
17,28,0,1,1,0,60.24119115210014
35,25,0,1,0,0,57.62895661157831
29,23,1,1,1,1,67.18076892050809
39,22,0,0,1,1,64.41388443946984
36,25,1,1,0,0,58.01121300836016
22,20,0,1,0,0,55.7797800732192
3,26,1,0,1,1,67.73456604268598
26,18,0,1,0,1,63.61409569694969
28,26,1,1,0,1,67.19728126569424
21,28,1,1,1,0,58.24431154944274
5,21,1,1,1,0,55.88070848606031
32,24,1,1,1,0,57.11027030041698
36,20,0,0,1,1,64.56485077879981
12,24,0,0,0,0,57.22247537950987
13,20,0,1,0,1,63.60179143790444
28,25,0,1,0,1,67.1194402921095
31,28,1,1,1,1,68.89981586724133
15,19,1,0,1,0,55.4238139041242
19,21,0,1,0,1,64.36109449961747
25,28,1,0,0,1,69.04943736123316
36,28,1,0,1,1,68.5026334281903
32,30,0,0,1,0,58.74923264000777
12,25,1,0,0,0,57.72725813420436
21,19,1,0,1,1,64.19225921712825
32,27,0,0,0,1,68.60416893115814
25,23,0,1,1,1,64.48716735990465
20,11,0,1,0,1,62.07420469880768
20,27,0,0,0,1,67.0964409655535
22,26,0,0,1,0,59.54447224219049
25,18,0,1,1,1,63.79758326998498
29,26,0,0,1,0,59.08006415551388
32,20,0,1,1,0,55.66368951155605
6,17,0,0,0,1,63.31765870505443
17,32,1,0,1,0,59.06348631009644
31,30,0,0,1,0,61.0154229758812
36,13,1,1,1,0,53.07187981966656
25,26,1,1,1,1,67.36992867068908
26,21,1,0,0,1,64.47322349496254
36,27,0,1,0,1,66.57582077284525
17,20,0,1,1,0,53.96969740915884
37,22,0,1,1,0,55.43172605267507
37,22,1,0,0,1,65.30890483057225
25,22,0,0,0,1,64.08363749769643
28,30,0,0,1,1,67.49038931370023
6,30,0,1,1,0,59.46493900596286
33,26,1,0,0,1,69.66587037752252
9,21,0,1,1,1,64.82274479415953
31,27,1,1,1,1,66.88840297033924
32,23,1,0,0,1,65.48050903100358
46,26,1,1,0,1,67.18383430792248
28,26,0,1,0,0,59.641554094703935
37,22,0,0,0,1,65.47032536700708
30,30,1,1,1,0,60.765543080165095
20,22,1,0,0,0,56.71535242325692
22,18,0,1,0,0,54.08243389910048
24,15,1,1,1,0,53.67801199209451
20,31,1,1,1,0,59.85505052117875
27,25,0,1,1,0,57.26230976963574
38,28,1,1,1,1,68.4533822240578
41,30,1,0,1,0,60.585641501713205
40,17,0,1,0,0,56.08443820550102
-4,21,1,1,1,0,56.20837473653635
8,26,1,1,0,0,56.20542001404809
6,18,0,0,1,0,55.53112465010579
19,25,0,0,1,0,58.08658247765349
15,18,0,1,1,1,64.73600993233752
46,21,0,1,0,1,65.43452981954445
6,24,0,1,1,1,64.47900215525848
27,31,0,0,0,0,59.675565831138094
21,20,1,0,1,0,55.3344435524641
9,23,0,0,1,0,55.9905463373976
17,23,1,1,0,1,64.45800684982524
39,17,1,1,0,0,57.08361062513431
2,24,1,0,1,0,54.66445836711708
21,24,0,0,0,0,56.28762722618468
34,22,0,1,1,0,57.1115112033944
26,22,0,0,1,0,57.29478044419805
28,22,1,0,0,1,64.21158523662753
17,16,0,0,0,1,62.561714596664224
48,28,1,1,1,0,62.713811689455824
10,29,1,0,0,0,59.11067571369338
22,24,1,0,0,0,57.25360558707929
32,30,0,1,1,0,61.16421258757737
38,28,0,0,1,0,61.20990669975213
9,20,0,0,0,1,65.11965341994255
18,26,0,1,0,1,66.42173300169743
27,26,1,1,0,1,66.24743351633884
12,21,1,0,0,1,64.583465449281
44,27,1,1,0,1,68.40010824299578
12,28,1,1,1,0,58.75980360769079
18,17,0,0,0,0,53.82428351825514
43,17,0,1,0,0,55.79115472106302
45,17,0,1,1,1,63.29996432746892
34,25,0,0,1,1,66.4136792603227
26,23,1,1,1,0,58.14522903520035
17,19,1,0,1,1,64.43964921556538
26,34,1,1,1,1,70.59432898841695
32,23,1,1,1,0,57.446132948258125
19,30,1,1,0,0,62.11104786056951
25,24,0,1,1,1,66.18799631945967
30,18,1,0,0,0,56.05294019976945
11,19,1,1,0,1,63.00886044926081
39,19,0,1,0,0,55.52478419359
2,19,1,1,1,1,64.65133452216854
19,20,0,0,1,0,57.1418214118075
18,27,1,1,0,1,67.82268884710581
14,26,0,0,1,1,65.6549912458373
38,27,0,0,0,1,69.27970111628454
16,24,1,1,1,0,57.08755927622104
28,27,1,0,1,0,57.76085729463087
32,15,0,0,1,1,64.00565949894086
16,25,1,1,0,1,65.6176408544319
16,27,0,1,1,0,58.52488321339011
33,15,0,1,0,1,64.02781869731196
25,29,1,0,0,0,60.12864219290798
18,28,0,1,1,0,60.113892761605314
11,24,1,0,0,0,56.47609398818955
29,22,1,1,0,1,66.10312368506142
5,22,1,0,0,1,64.30568032566336
29,26,1,0,0,1,67.20965826585243
26,22,1,1,0,1,68.15616417794688
28,24,1,1,0,0,56.87881816699533
25,24,0,0,1,1,66.34678963379824
23,32,1,1,1,1,68.75889148426445
42,28,0,1,1,0,58.222777674914205
34,23,1,1,0,1,65.21262123020931
39,13,0,1,1,0,53.272446701941774
24,26,0,1,1,0,58.09604394353001
35,23,0,0,1,1,65.74619426793227
10,24,1,0,1,0,56.93748991290875
34,17,0,0,1,1,63.9224473542263
32,27,1,1,0,0,59.45070454252292
30,17,0,1,0,0,54.45039101594215
34,33,1,1,0,1,69.97748845557066
30,19,0,0,0,0,59.7321673027546
15,24,0,0,1,1,65.63468191471827
26,24,1,1,0,0,57.15282721220002
14,20,0,0,1,0,57.14332739330835
24,30,1,0,1,0,59.17083398306538
15,25,1,0,1,0,59.00822413985988
26,20,1,1,1,1,64.17632106614874
30,22,1,1,1,0,57.88926508977225
32,26,1,0,0,0,57.58298873057258
16,19,0,1,1,1,62.75230156313452
20,21,0,0,0,0,56.77520760475981
14,19,0,1,0,1,64.43237238445307
14,25,0,0,0,0,56.01710443500935
37,26,1,0,0,1,66.53772615944573
7,21,0,1,1,0,57.88887161986184
17,23,1,1,1,0,57.83670032102022
35,22,0,1,1,1,65.67603735784691
17,26,1,1,0,1,67.54469807678724
26,24,1,0,0,1,68.12889474745778
38,20,1,0,0,1,63.5143882073504
4,26,1,0,1,0,57.08249053832228
9,24,1,1,1,0,57.33890160971579
13,26,0,0,0,1,64.67133985847062
21,28,0,1,0,0,60.02293557397445
21,20,0,1,1,0,56.39653780893438
19,25,0,1,1,1,66.80419018631497
20,20,1,0,1,0,56.29857200760858
12,20,0,0,1,0,56.83616156450228
22,19,0,1,0,0,53.307897465004814
26,26,0,0,1,0,57.14649864427652
18,18,0,1,0,1,64.41760166102556
17,21,1,0,1,0,55.92509075903692
11,33,0,0,0,1,67.57137568299703
17,14,0,1,0,0,54.15845371679055
24,21,0,1,0,1,63.41038633337776
23,24,1,0,1,1,64.71835831801819
31,17,1,1,1,1,65.32318797843244
6,17,0,0,1,0,54.75700072209799
13,25,0,1,1,1,65.9816940612805
39,17,1,1,1,0,55.61182347058678
23,29,0,0,1,1,69.84363650598868
25,26,1,1,0,1,67.37541904451079
17,25,1,0,0,0,58.97620518251862
41,35,0,0,0,1,71.6301651132991
30,22,0,1,0,0,57.58108044827715
21,31,0,0,0,1,67.58902023353701
5,28,1,1,0,0,59.01336262416893
18,16,1,0,0,1,63.95503063449226
14,24,0,0,1,1,66.56096620507246
30,33,0,1,0,1,69.30977331344114
40,17,0,1,0,1,65.05937800730953
22,26,1,1,0,1,65.92865218294591
20,23,1,0,1,1,65.00995777930396
27,30,1,0,0,0,59.10232974585945
17,29,0,1,0,1,67.68165194461164
18,25,1,0,1,0,58.82717819701983
28,32,1,1,0,0,60.4615838940893
23,20,0,1,0,1,65.38179584839386
25,22,0,0,1,1,64.77025483127636
23,21,0,1,1,0,56.57492437329029
13,26,1,0,1,0,58.7582629506823
29,27,0,1,1,1,67.83494163327451
30,18,1,0,1,0,54.4387125377074
19,24,0,0,1,0,56.17374626652941
