participant_age,hours_of_screen_time,number_of_friends,smoking_status,physical_activity_status,social_media_usage,self_esteem_score,mental_health_score
23,22,3,1,1,1,51.06547161817052,218.2739649170792
18,12,8,0,0,1,36.08549005104376,170.49803645917936
36,21,12,1,1,1,66.36925780801074,272.4948423494168
45,19,15,1,1,1,73.49491931264512,298.49318168425754
19,17,12,0,1,1,45.17868036122818,200.14003529382276
32,18,8,0,1,1,57.89718746897309,242.9703023935748
30,24,14,0,0,1,63.917605792784265,262.8334011108846
39,22,7,1,1,1,66.65871579128672,273.2972922796804
36,13,12,1,1,1,58.76854284792752,243.3639994488936
24,14,2,1,1,1,41.6435555393735,189.71168289750744
17,9,11,1,1,1,35.704491558404,169.05513809893156
27,21,12,1,1,1,58.34012927780592,244.0817591999996
39,18,11,0,1,1,62.83483278692293,262.6627649056571
37,21,16,1,1,1,68.34901124374181,281.68210844834005
30,21,12,1,1,1,59.4890271097188,251.555421278046
43,15,12,0,0,1,63.556131361212046,266.06013883651826
34,30,9,0,1,1,70.2039761168066,285.16301183395416
39,15,5,1,1,1,56.82113036180744,242.121263935072
31,20,11,1,1,1,58.68422961918757,248.80842714516345
19,18,11,1,0,1,46.47967471212371,204.9601927863581
32,11,14,1,0,1,50.54402513400972,224.6491945317208
27,23,9,1,0,1,58.10478242003695,242.2730858721749
29,16,7,0,1,1,51.952471926711134,221.57494523861735
40,25,1,1,0,1,64.7984986181041,266.3932774686062
33,14,5,1,0,1,50.9786667762064,220.3006172460024
34,19,9,1,1,1,59.7694214252469,250.128547756383
21,17,12,0,0,1,46.20235227523005,204.02323995025887
43,16,14,1,0,1,66.5040404379288,278.6912669433688
24,9,9,1,1,1,41.46796411310096,187.06360743193693
38,14,6,1,1,1,56.69944245791123,242.13115509898125
34,13,9,1,1,1,53.66171526693324,231.56221525175272
34,21,7,0,0,1,58.542941072330045,246.80901727655737
27,12,8,1,1,1,45.48035616376643,201.46840289858304
28,23,7,1,1,1,57.607721526867614,242.26605850967724
34,25,11,0,1,1,67.91106849086688,274.1895938350757
22,12,8,0,0,1,39.10601431251198,182.45031529262036
19,11,10,0,1,1,37.32830095492161,176.68999861658097
34,17,11,0,1,1,58.06895123117917,245.9795712035704
17,24,12,0,0,1,50.0380623174265,219.34518849793463
41,16,7,0,1,1,62.26473833574784,255.4220964293965
29,18,8,1,0,1,50.54953450899776,223.06992764923967
32,26,8,0,0,1,62.76731992091835,261.3516003783706
30,34,5,0,1,1,67.97217633634303,276.302057083218
39,25,12,1,1,1,73.14228649480232,295.997595932739
29,24,7,1,1,1,60.467277142196345,248.52315844895156
34,19,10,1,1,1,61.3178551347476,256.25854980454994
14,22,7,0,0,1,42.28587011366929,189.348156884022
31,16,15,0,1,1,58.763979096994674,245.7594167901572
24,17,6,1,1,1,46.25865111819044,203.9991010464973
31,20,5,1,1,1,55.18000266825612,233.35604602163772
17,20,7,1,1,1,44.679903925679305,199.41786612365908
25,20,7,1,1,1,51.02141265965154,220.27400014819048
34,31,13,0,0,1,72.25540234541582,293.6701706042746
23,13,12,1,1,1,46.869022018406326,204.57365954754167
34,12,7,1,0,1,50.14923871699588,218.5567404567906
31,17,10,0,1,1,55.4153359465853,236.5002745450045
28,23,11,1,1,1,60.4108683524941,253.48744806329088
23,15,12,1,1,1,47.34042111029915,207.3854138884368
18,26,6,1,1,1,51.65081758251492,219.5187709291269
30,11,9,1,1,1,50.066897391821456,214.6889731397431
24,18,11,0,1,1,50.11802769443391,219.1816705730124
25,10,1,1,1,1,37.78946348746528,174.76586384159918
27,22,12,1,1,1,57.68702742399592,243.9736995239753
35,21,14,1,0,1,66.2877933741304,270.2980970298628
40,27,6,0,1,1,71.0541170333006,287.0780464674328
26,24,9,1,0,1,56.91533787212122,240.85404457348463
42,29,14,1,1,1,82.12022584648527,320.39133439960085
41,22,10,1,1,1,70.8540137347943,285.5174705608443
20,17,6,1,1,1,43.27173376617934,195.64163295116677
27,16,14,1,1,1,52.93788768278237,229.9972103993653
29,21,9,1,1,1,56.57814458196024,239.20011114369944
32,18,5,1,0,1,53.44916619206812,228.459494005957
17,14,10,1,1,1,38.34374133110918,179.2498346482124
51,14,7,1,0,1,67.50881622410468,276.77476913732755
47,27,10,1,1,1,81.251888985373,323.8105675035375
34,27,9,1,0,1,68.24875721180949,277.6742521644848
38,16,9,0,0,1,59.692585935741526,249.1162251845019
38,13,9,1,1,1,59.23486021493973,245.311938035032
25,29,13,1,1,1,63.39549813295078,262.9340941421122
42,23,9,0,1,1,71.64381749807274,286.6662785227195
24,34,8,1,1,1,66.45866793245803,271.0378986788117
30,16,7,0,1,1,53.38624653630376,223.60440704293043
28,15,3,0,1,1,45.31173989221714,199.6906704279812
34,7,8,1,1,1,47.10958226050255,209.9054516143846
32,15,8,0,1,1,53.22608966056199,228.3888451994324
41,23,11,0,0,1,68.82607902755142,282.7290730612364
25,24,11,1,1,1,58.86544313598963,246.5277197195695
29,12,14,1,1,1,50.96279643998073,222.4036196681001
40,28,8,1,0,1,71.8206294273313,289.5308889395823
29,26,8,1,1,1,62.1846172545302,259.3827423409666
35,16,8,0,1,1,56.23346778629904,237.12825341094936
33,34,5,1,0,1,72.37687601963997,288.0079150388057
28,11,11,1,1,1,46.27452437196996,205.9074912687089
37,15,12,1,1,1,60.071164707759166,254.0802569569477
33,12,9,1,1,1,51.12106604833305,222.99340935789647
33,20,8,1,1,1,59.33011664407193,250.01968912083305
18,8,9,0,0,1,31.53797765045652,158.2345289499758
40,20,7,0,1,1,63.387112287311176,264.19027927130514
34,29,8,1,0,1,68.84453064872335,280.6701264540554
23,26,9,0,0,1,56.854723942216886,237.992027453508
38,13,7,1,0,1,55.923401240798526,236.316802463633
32,18,5,1,1,1,55.684838128146936,237.21482196635657
35,26,13,0,1,1,69.51440017366934,283.6988964707407
29,21,12,1,1,1,61.29788633645386,251.6202174250133
29,20,5,1,1,1,55.172190393641685,234.0835038770907
28,18,10,1,1,1,53.8673880267696,231.65492724464784
32,26,10,1,1,1,65.72340283800185,271.20858640028507
42,12,9,0,1,1,58.995073489596734,246.8430943511776
21,27,8,0,0,1,55.298051726503935,232.26227375399043
28,22,12,1,1,1,60.12395557912164,250.8253868213029
38,13,9,1,1,1,55.8574261442864,241.30197094789105
33,29,9,1,0,1,68.7289155428045,281.0642081468367
16,18,12,0,1,1,44.1127398252795,196.14685954302576
24,25,12,1,1,1,60.499103737101606,250.9835545427852
17,24,7,0,0,1,45.37651720935718,201.83628423543345
30,21,12,1,0,1,58.96043241305312,249.8251475624942
27,18,10,1,1,1,53.4325529149353,228.14153419516407
33,18,9,1,0,1,58.0291008000092,243.88996019261552
38,14,10,0,1,1,59.57318558031729,247.8905324462553
12,30,12,1,1,1,52.98334411968201,226.66065663786804
38,28,8,0,0,1,70.9888049455474,286.5725923816791
37,20,7,1,1,1,62.517556733210455,260.1911815092889
28,17,5,0,0,1,48.96518328448729,211.85788036896307
32,33,6,0,1,1,68.23629934241877,279.83340271376983
26,18,15,1,1,1,56.00813654781269,235.8537049683777
24,22,6,1,1,1,50.38727602144254,219.6962473871568
29,14,10,0,1,1,48.494071202888826,215.42719123210483
30,14,12,1,0,1,50.42923094212742,222.95373371685463
24,26,15,1,0,1,59.73588072208374,253.07797503248335
23,21,9,0,0,1,50.519712879043,218.48273432983663
38,14,10,0,1,1,57.45138072640642,242.1972435783022
25,11,2,1,1,1,38.99752284446495,181.33651404998596
26,24,15,1,0,1,61.76089799917686,257.76471287541875
37,9,10,0,0,1,52.76225850270791,226.36124769141796
23,17,11,1,1,1,49.47443743099191,215.0206337532761
41,10,16,0,0,1,60.46132259738862,254.4554872298236
29,16,5,1,0,1,49.08420145352369,213.3826530817248
19,17,7,1,0,1,42.94645218588386,193.47240232067736
26,20,10,1,0,1,52.77856863089658,227.54013757510924
28,15,15,1,0,1,54.67195512489096,230.91099252692555
25,18,8,0,1,1,50.41672830762581,215.4767109876186
31,33,8,0,1,1,70.76460977932791,286.95329711080336
24,19,13,1,1,1,52.28267398687897,227.9119544895533
32,32,8,0,0,1,69.19746338437274,283.42469711055986
19,13,5,0,1,1,36.08887126534686,169.30125728525252
27,7,11,1,1,1,44.32822404654824,197.4569809122121
30,23,6,1,1,1,59.35794731607638,246.0136170014802
27,16,6,0,1,1,48.95138630270949,211.6373651616364
30,28,16,1,1,1,69.97983420620473,286.2354392573231
28,22,10,1,1,1,59.34929592651997,247.2309184022833
18,21,12,0,1,1,47.5720453247452,210.7839563619871
51,31,14,1,1,1,92.21698043973385,357.227130607713
22,6,10,1,1,1,36.96334980525245,171.28978956726775
28,26,11,0,1,1,61.26926092330877,255.0688758156238
27,23,6,1,0,1,54.6650031359382,231.58222684676937
31,15,5,1,0,1,47.740760161076416,213.2933570427807
34,31,7,1,0,1,69.59748090932018,283.6164923335908
34,26,10,0,1,1,67.5882340922244,275.09610691439434
20,23,12,0,1,1,53.21304854576674,229.9078884210892
29,20,7,1,1,1,56.24761342714916,237.2060694868368
37,11,14,1,1,1,57.51248041932893,240.8772539469915
36,19,4,0,1,1,59.60921234220359,244.9838783272384
28,20,7,1,0,1,52.89004459766071,227.4977474847444
37,15,8,0,1,1,57.60039906872389,244.3033089571395
45,7,13,1,1,1,58.21408079728961,249.53377513822355
37,14,11,0,0,1,57.60807033955949,243.20509173193992
17,20,12,1,1,1,48.25416495009405,207.6645853787367
30,19,12,0,1,1,58.12358452661553,245.4050982889549
28,32,7,1,0,1,64.91521663105928,264.5410327256461
30,28,9,1,0,1,64.92979987049014,266.1991712605262
24,20,11,1,1,1,53.34274354669476,227.77341069487596
11,19,9,1,1,1,39.381702012652845,179.72765559074446
30,17,5,1,1,1,53.788999129937565,226.12332670722876
15,26,9,1,1,1,48.63591783101099,213.7864728710428
40,13,10,1,1,1,58.47114789795169,247.33112531558947
32,18,12,1,1,1,59.62664167103027,249.80855166230188
23,20,6,0,1,1,47.82665238369349,208.369743152738
30,15,12,1,0,1,54.434684311484965,233.36000071766765
24,19,8,1,0,1,49.81030498995066,216.12887416187328
48,9,7,1,1,1,60.33307412854142,252.57757190523347
24,11,6,1,0,1,39.562489544225926,181.07190473955256
13,16,16,1,1,1,42.64234929047702,191.72736936374204
22,24,8,0,0,1,53.16627969313909,223.3929407551147
22,16,13,1,0,1,49.07804070316058,211.8996885559621
23,22,10,0,1,1,54.72121249777226,230.21981326629464
42,23,11,0,1,1,72.47636298588029,293.5558661795153
41,12,9,1,1,1,60.078529033476464,250.79669055837712
19,25,6,1,0,1,49.50857994181008,214.0779558951916
28,20,14,0,1,1,57.39213613341446,243.98147987128263
36,17,10,1,1,1,60.29264243559166,254.12299052583435
31,18,12,0,0,1,56.00742578804642,238.87705857731623
25,11,9,1,1,1,43.05682908999835,193.7708246281603
34,11,12,0,0,1,52.08316262553705,226.2787139391524
37,18,4,1,0,1,57.08611629558104,242.3753644487477
27,24,12,1,0,1,59.79774495560888,251.25175605404635
38,18,8,1,1,1,62.15504358672285,256.49294772865545
19,19,11,1,0,1,46.50210609011757,206.1541670928048
22,13,8,1,1,1,42.0951268798209,193.64069076830052
27,17,10,1,0,1,52.42479731766857,222.8719192022403
21,22,10,1,1,1,52.83464824677239,229.86668615921388
38,27,10,1,1,1,73.93601440010038,296.46420113074834
23,24,10,0,1,1,54.89632935109386,234.75580398475216
30,19,7,0,1,1,54.51121689567238,231.23266789413688
19,28,8,0,1,1,55.744916140488726,231.7462355012665
33,19,10,1,1,1,57.52296928985636,246.9992570986378
30,13,10,0,1,1,48.827552860265655,214.8383778686367
23,4,9,1,0,1,33.36695472760349,162.5092991006834
36,22,4,1,1,1,61.53337250592987,253.71056930727144
31,17,11,1,1,1,54.8925350672251,233.0166766328556
28,36,8,1,1,1,72.72100498192307,291.93404837460406
16,19,10,1,0,1,42.82169622454771,193.0467090399529
26,9,9,1,0,1,42.351728376648026,192.36805227665556
19,34,9,0,1,1,62.42069886875598,254.67285423400293
25,21,6,1,0,1,50.0873622190914,218.83609809165395
33,12,7,0,1,1,49.97005077145264,217.41788023315084
21,22,11,1,0,1,51.34212574896234,220.45106496488907
19,16,9,0,1,1,44.0258289704843,195.60381400580573
29,19,9,0,0,1,54.14917755058497,229.8500472244033
29,12,5,0,1,1,46.25336712100928,201.77135141911245
22,28,6,0,0,1,54.89304979651318,231.68762507343783
37,27,8,1,0,1,69.5733610661692,283.6727654841121
40,28,6,1,0,1,71.83891545459471,291.2403754761929
26,17,10,1,0,1,47.95371926417114,214.2005665812952
35,29,14,1,0,1,74.50151425348689,299.5964281036797
24,16,11,1,1,1,49.61166201157858,216.16040323788576
28,20,8,1,0,1,53.93832791753265,228.7502724223124
34,18,7,0,1,1,54.86240708367215,232.90997437604955
46,23,10,0,0,1,74.39403252708865,298.6417608671446
24,7,10,0,1,1,39.95777217331559,182.32383620099392
32,17,13,1,1,1,59.76694214765871,249.60577571652013
31,20,2,1,1,1,55.27001882861811,233.75513121870023
23,25,7,1,0,1,54.11455884643797,231.54633040720915
22,20,16,1,1,1,53.37408877193708,231.18719941595447
22,19,5,0,0,1,43.43874182547337,198.5242290395338
22,17,9,1,0,1,46.90257793477103,205.11143404645372
24,21,10,1,0,1,52.89820106407678,229.59388309420592
28,24,7,0,1,1,58.59845366175043,243.987008697152
31,17,12,1,1,1,57.43121787399268,242.26789414886443
36,16,8,0,1,1,57.7613325649825,244.22070997203176
24,22,9,1,1,1,54.73941440918874,233.92658333261403
17,27,11,1,1,1,54.75802789282498,232.42388225753336
27,13,11,1,1,1,47.60048869381911,209.07713571120567
33,20,9,0,0,1,59.27530060209243,246.1517630168859
28,18,6,1,1,1,49.48552414047862,217.35235925433528
35,8,12,1,1,1,50.773455912991885,222.46504297462337
36,5,5,1,1,1,43.28054067758588,197.89834783511677
17,26,8,1,1,1,51.34209930770617,222.6174796396973
23,19,6,1,0,1,46.67530129348213,206.27609881182275
30,29,12,1,0,1,69.74262102987956,284.0612671796939
31,18,11,0,1,1,56.94039112541432,239.16491954306343
26,11,11,1,1,1,43.14616251136236,200.31796915243484
41,21,10,1,1,1,70.20048832854383,285.5646748422258
24,4,10,1,0,1,33.835110847315626,163.96424040892958
36,12,15,1,0,1,57.69414776925829,247.59304051787032
26,18,10,1,0,1,51.4531197292466,223.05930796231505
31,32,9,1,1,1,69.75476379336536,283.87990406405567
36,15,13,1,1,1,59.49123300704319,253.5459606259929
36,16,10,1,0,1,57.39425537727379,242.3182823069681
41,19,11,1,0,1,66.91301343179906,276.07710471331
34,22,14,1,1,1,65.60222196939104,271.7343925926791
26,15,8,1,1,1,47.83690724949533,209.5996768644903
29,12,9,1,1,1,47.64784204799653,209.51118328916303
33,21,12,1,0,1,62.71768476603447,261.3422780775627
11,24,10,0,1,1,44.69215883992389,197.34322723120317
27,21,10,1,0,1,55.82899512973635,235.5325993720818
24,2,10,1,1,1,33.34379631264232,162.22705601227133
36,13,5,1,0,1,52.163188925852126,224.471248716548
22,20,13,1,0,1,50.41130732338022,224.88480026521677
26,16,16,1,1,1,53.67192511396464,230.62913852580684
32,17,6,1,1,1,53.78046592345204,228.07276200956125
26,21,6,1,1,1,53.57582750609742,226.8765981959093
26,14,15,0,0,1,49.74381203378786,216.4791795858162
33,28,10,0,0,1,66.24619642660873,273.57112633705884
40,20,7,1,0,1,64.04109592823984,265.8928713675675
21,16,8,1,1,1,45.1077239998043,199.5138952360252
31,27,12,1,1,1,67.21123988763655,274.028134709146
18,21,9,0,0,1,46.10188072963948,203.684645594168
39,14,10,1,1,1,58.68142600505384,249.42082640123417
28,14,8,0,0,1,47.8289710087678,209.8661817803316
33,13,15,1,1,1,57.05127984172667,243.36720393128093
32,24,5,1,1,1,61.05047782046925,250.35812240910653
16,30,12,1,1,1,57.07524489827213,240.29946480945503
34,12,10,0,1,1,52.81826133943167,229.1929284060852
36,25,11,0,1,1,68.9153535475988,282.0272498544654
33,16,8,1,1,1,55.430959770645934,234.57128046014256
27,20,11,0,1,1,54.92255770642208,235.83765453307376
21,16,5,1,1,1,41.666986584277694,189.8266833104359
36,17,7,1,0,1,57.19102785394906,239.97900278098703
15,26,9,1,1,1,51.08155547805588,215.9798396377399
18,18,11,1,1,1,46.11507275433773,204.71041791781403
43,26,7,1,1,1,74.80690143887341,298.4431160193796
29,5,11,0,1,1,43.01741923271796,194.5330333522548
23,25,14,0,0,1,58.297910526182896,244.4830641790617
22,21,14,0,1,1,55.62797395886756,233.5598621277437
36,27,13,0,0,1,72.19045319923275,290.37281276409345
46,11,12,1,1,1,66.06595704693875,271.7136113913197
34,17,12,1,0,1,57.925880011851305,246.3052587364364
17,8,7,1,0,1,30.581015162183917,152.9218985913446
36,19,9,1,1,1,61.48846741731937,260.26927131343257
32,10,11,0,1,1,51.28767839132029,220.61913239593585
30,24,16,0,1,1,64.602447103252,270.05668278421155
40,20,3,1,1,1,60.78088359726464,253.71157813219432
25,15,10,0,1,1,48.07613790488647,208.98821378965323
32,10,12,1,1,1,49.975591599499765,220.2499464552545
42,23,14,0,0,1,71.33316228567539,293.50533796244935
23,24,8,1,1,1,54.94045637312947,230.7499071322673
32,27,14,1,1,1,70.15508408389938,284.71528220463193
31,21,6,1,1,1,58.32366728325414,242.8085203374765
32,15,14,1,0,1,57.05444314518941,242.26038968057105
35,13,13,0,0,1,53.73889631951874,233.47893186952456
30,21,10,0,1,1,59.06502115313902,246.0266547401051
24,20,7,1,0,1,50.51048477667685,214.48032640238333
36,16,9,1,0,1,59.02788679188235,246.7466313464556
33,17,11,1,1,1,59.231534669461645,249.1872905738186
21,18,6,1,1,1,45.18160747668097,202.51674513063296
34,23,6,0,0,1,60.89720242206983,254.10799247709588
30,9,5,0,1,1,43.64804996435975,194.3852265522313
23,31,12,1,0,1,63.67685220209838,262.86214457021447
15,8,5,1,1,1,29.0195960811202,144.51647716216533
33,27,11,1,1,1,67.58700101291845,278.7170228439525
37,16,7,1,1,1,58.31673236163502,246.8941665045387
25,31,10,0,0,1,65.06036769780127,262.42415531140443
40,21,7,1,1,1,66.43405086273049,275.551683076145
29,18,10,0,1,1,53.51592344797684,231.1457537067324
23,7,13,1,0,1,37.656407895455125,179.73948021388824
34,26,11,1,0,1,67.3682262710743,278.1672307607559
24,23,12,1,1,1,56.19841656287836,238.3712738005094
43,20,8,1,1,1,68.23761792097363,276.5879134960289
33,14,6,0,1,1,49.996949935406775,217.6587142342964
26,21,8,1,0,1,53.04075486641955,225.728050923988
22,25,8,0,0,1,54.59362012156328,228.34896464402257
32,26,8,1,0,1,63.852605302916366,262.83264467684535
24,23,5,1,0,1,51.6024598570228,222.5454678458921
31,24,7,1,0,1,60.48122765149249,254.5510730564286
34,26,10,1,1,1,67.92430780139063,278.489026790344
33,22,10,1,1,1,64.70335835758156,266.8685905034416
31,27,6,0,1,1,63.66118243985977,263.88719402863103
26,18,3,0,1,1,47.05697523938523,205.47625268415183
37,32,18,0,1,1,82.27852209107922,324.4893357003324
37,21,10,0,0,1,62.9784121125842,263.1737270821718
35,25,12,0,0,1,67.21660923129524,275.36410306682075
30,16,14,1,1,1,59.25616904576142,247.18060564267785
27,32,13,1,1,1,70.09472647265842,286.4506791516863
20,23,9,0,1,1,50.27605174452608,216.47661219254016
27,15,11,1,1,1,49.51188416011995,217.3817781849428
35,26,12,1,1,1,70.6430678689501,286.6205486684973
28,15,10,0,0,1,51.20988735475304,219.328866597424
25,27,14,1,1,1,63.03512034927034,263.0361819469674
32,25,7,1,0,1,62.65925930335225,261.5628448404276
31,26,12,1,1,1,66.28087426447496,270.5332147305984
34,19,1,0,1,1,54.40070768039441,232.07267570937745
26,25,9,0,0,1,57.9390015999754,243.5206406959328
40,16,12,1,0,1,62.38647580995646,262.65472837165737
27,21,10,1,1,1,57.69101318690223,241.14882229836684
24,25,7,1,0,1,55.25475480218245,233.8718785956274
16,21,12,1,1,1,47.463651152118096,211.6261590565904
24,17,15,0,0,1,50.4180811569256,220.36760754144584
31,17,10,1,1,1,56.67071106258346,239.54219442739188
44,29,2,0,1,1,74.37360403813041,297.74984794953724
40,11,12,1,1,1,60.68110918155213,251.3020305712388
20,18,11,0,1,1,47.94724326123799,211.9923433339218
37,32,10,1,1,1,75.33786946946337,303.87839298865805
33,14,6,1,0,1,49.20628755763879,217.80416017955943
34,22,9,1,1,1,62.07345920622448,261.9735720754335
49,15,7,1,1,1,66.11388186243428,276.17713081928986
44,18,12,1,1,1,70.8354897355032,286.2243665399864
28,19,11,1,1,1,55.53778292730181,238.01933316270512
39,17,12,1,0,1,66.26555575644815,271.15582479118507
35,9,5,1,1,1,47.76450063658377,210.3836394076749
31,26,6,0,0,1,60.47301376539317,251.37210865216227
25,10,7,1,1,1,40.95411957345888,186.84797481467552
26,15,16,1,1,1,55.32217776452472,233.2975998575163
26,19,9,0,1,1,54.15042245156229,227.60435340059607
19,14,11,1,1,1,43.578346951157855,193.6836474166533
34,21,12,1,0,1,62.10484289021439,264.289858107737
18,26,7,1,0,1,51.797135386182994,221.16026084121452
14,20,10,1,1,1,43.78711071742456,193.82395132534296
26,14,13,0,1,1,49.5999178312865,214.30052009635872
14,12,11,0,0,1,33.48245915684216,163.70958819830986
47,24,3,1,1,1,73.80020384062352,295.9159154315903
42,17,6,1,0,1,62.21752853258095,259.4680638726114
28,27,6,1,0,1,59.4726889539779,245.49540346023295
27,11,10,1,0,1,43.38161649262933,198.78706343078687
27,23,9,1,0,1,56.87998429704749,240.71805480216824
38,26,7,1,1,1,70.29287989395172,282.8680122964075
35,31,12,1,0,1,74.67533618309082,299.69793872097216
19,2,8,1,1,1,27.09842611615587,142.3671547457534
32,20,13,1,1,1,61.8882966576036,259.9205295636472
23,16,9,1,1,1,45.29892136748039,202.60134054221515
21,18,13,1,0,1,48.82846590626578,214.0522939843684
21,19,10,1,1,1,47.70806774631106,211.70929537528124
39,23,7,0,1,1,67.54457934761182,275.0187095957795
32,17,9,1,1,1,56.39910426271869,238.07762349289
28,10,8,1,1,1,45.55936846873851,202.6643429476312
24,26,3,1,0,1,53.413004649108245,227.88651648566463
28,25,9,1,0,1,58.73370004030418,245.00432285432387
29,24,7,1,1,1,60.1477233266741,249.951129190572
21,21,11,1,1,1,50.59424137606233,221.7372915388908
31,16,13,1,1,1,55.18631381664364,236.50925441325992
33,14,8,0,0,1,51.73997416739435,223.7104865694557
38,25,13,1,1,1,72.3925234083862,292.443237500672
25,21,13,0,1,1,56.93615876848891,239.42418537933472
34,21,7,1,0,1,60.231430992458165,251.576284621204
36,30,7,1,1,1,71.71127697982975,290.2423409042293
27,30,13,1,1,1,69.63499130606951,280.01219246786405
25,10,16,1,0,1,45.080028896469095,205.0269965337461
33,14,12,1,1,1,55.93426831539023,237.88893521000196
25,21,14,1,1,1,57.06056669599859,242.803550188172
22,19,9,1,1,1,50.05562814274429,217.190860162729
37,16,8,0,1,1,58.23009316696814,246.35496502906904
19,9,13,1,1,1,40.71366725750866,181.45327681758965
45,18,9,1,1,1,70.7098860581192,287.4586468896284
23,22,13,1,1,1,55.50761675515037,236.8483139503758
34,17,8,1,1,1,57.24813772416592,241.34594169249556
47,17,11,0,1,1,70.57229006694939,286.6866753377065
29,28,14,1,0,1,67.83658132535174,278.3083238907705
29,24,7,1,1,1,59.71750629307919,249.72391090977217
20,5,15,0,1,1,35.456033873654434,171.52995238313875
32,8,13,0,1,1,47.09352962717873,211.780506844063
39,25,11,1,0,1,71.14996685850753,291.57967184701835
25,9,3,1,1,1,38.41364312866543,174.98753448611566
37,16,12,1,1,1,61.97438339777421,258.99020112746376
42,22,9,1,1,1,70.19404898797495,287.9313124019281
35,19,9,0,1,1,61.6537390234162,255.34237733623812
37,21,13,1,1,1,67.99905573964051,277.2338220786028
44,16,5,0,1,1,62.430058856233664,259.6455115353403
31,24,14,0,1,1,66.35159053633596,268.16385604103823
27,23,8,1,1,1,58.28714264284011,240.87836641996344
31,40,16,0,1,1,81.75262565213362,326.406598850067
40,26,4,0,1,1,70.03671695885683,283.37291520748744
25,22,11,1,1,1,56.91756091009595,239.7633748170359
32,18,11,0,1,1,56.917560864319576,244.42601453097043
40,15,9,1,1,1,60.860170292641534,257.9927911428356
26,11,7,0,1,1,42.00804320853863,190.56042993105308
24,11,4,0,0,1,36.85437757523043,172.06659723108942
28,18,7,1,1,1,51.87048269573039,224.1458795978021
30,17,12,1,1,1,55.04237481345015,236.37890193009383
20,32,11,1,1,1,64.07351058142355,260.2032202747042
28,20,10,0,1,1,56.90754315449111,235.27916104267896
25,21,6,1,1,1,52.9634549206814,226.37458702210216
23,21,8,0,0,1,50.77378634180899,219.38630700015904
30,10,8,1,1,1,47.2355806809348,207.67673766265048
35,22,9,1,1,1,64.39081709292864,262.4770714249789
37,19,8,1,0,1,61.27786050163119,254.52722196626263
46,27,9,0,0,1,77.45113641855733,308.5658178874139
41,21,9,1,1,1,68.68352869989087,279.860198635041
32,27,9,1,1,1,69.20874827171878,278.17028794911835
23,20,10,0,1,1,50.975846313181485,222.7778623774481
32,24,7,1,1,1,63.42747098083454,262.23561339305166
42,19,9,1,0,1,65.53845266936302,272.2714677249858
31,16,14,1,0,1,56.63606153727651,239.90200256502263
21,26,5,1,0,1,53.06949109114543,224.48867837755245
15,8,7,0,1,1,29.89197254322508,149.94469729844704
25,19,8,1,1,1,50.73979050140593,218.8687397365242
26,28,8,1,1,1,62.61538219106325,257.49064499920064
27,27,10,1,1,1,64.63949274248662,264.1119163438253
36,19,12,1,0,1,62.51342998235452,260.64829522373503
28,12,8,0,1,1,47.55756199745976,208.3868850939696
23,12,5,0,0,1,38.42161705187949,177.49308505175858
27,27,5,0,0,1,60.60199846661866,247.3987383113997
22,29,9,1,1,1,60.06228698568798,249.6178065450219
39,21,6,1,1,1,63.73322373049522,263.99780591541605
