education_years,job_tenure_years,union_member,female,training_invited,training_attended,annual_income
1,3,0,0,1,1,62.06667130728928
0,2,0,0,1,1,62.61458995106486
6,3,0,0,0,0,51.36452890141192
3,3,0,0,0,1,62.41109787496248
3,2,0,1,0,1,62.2425400953495
6,3,0,1,0,0,53.76612607792398
3,3,0,0,1,0,50.25335533991817
3,3,1,0,1,1,62.63498050986601
6,3,0,0,0,0,53.77189689639053
2,3,0,1,1,1,61.65894602544748
2,2,0,0,1,1,63.04156058303418
5,1,1,0,1,1,58.88172209240663
1,3,0,1,1,1,62.05449101822192
4,3,1,0,0,1,60.96797845647523
4,3,1,0,0,1,60.9027420727052
5,1,1,1,1,1,61.73799844014098
5,2,0,0,0,1,62.01579529594111
4,2,0,0,1,0,52.63189463189633
3,3,0,0,1,0,52.726567388248384
5,2,0,0,1,1,64.30653194801391
6,2,0,0,1,1,61.35598071267333
7,2,0,1,0,0,52.97911570029928
1,2,0,0,1,1,63.5537582900044
2,3,0,0,1,1,61.69404234474452
2,2,0,0,1,1,61.26906984412619
9,2,0,0,1,0,51.93526456779298
5,2,0,1,1,1,62.872097278384665
5,2,0,0,1,0,51.30798112061554
3,3,1,1,1,1,60.26257422738321
5,3,0,0,1,1,62.30269948642624
1,2,1,1,1,1,61.97295212386648
4,1,0,0,0,0,53.05235107410756
5,2,0,0,1,0,51.87922729447231
4,2,0,0,1,0,50.95678393363059
4,3,0,0,0,0,53.110516046146174
6,3,1,0,1,1,61.8145627127486
0,2,1,0,0,0,54.30213002550924
2,2,0,0,1,0,50.92485382957624
4,3,0,0,1,1,60.5404737636037
2,2,1,0,1,0,52.842218141473495
4,2,0,0,0,1,61.833100268237416
1,2,0,0,0,1,62.4981502598449
3,2,0,0,1,0,49.89841349735877
5,2,0,0,1,1,60.57166681705454
4,3,1,1,1,0,51.68204870421776
4,3,0,0,1,1,61.04260685172023
4,4,1,1,1,1,60.922058346423206
0,3,1,0,1,1,61.583553702112816
7,4,0,0,0,0,50.65575545537988
7,3,0,1,0,0,52.46385352733434
4,2,0,0,1,0,50.22669543695256
4,2,0,1,1,1,63.57166747457784
1,3,1,0,0,1,61.412716952682686
1,2,1,1,1,1,62.25317673412455
1,2,1,0,1,0,51.49830229157734
3,2,1,0,1,0,53.204765084998776
4,2,1,1,1,1,60.57043071744541
3,3,1,0,1,0,51.885830795238455
4,3,0,0,1,0,52.3616169141058
7,3,0,0,1,1,62.441475668887314
1,2,0,0,1,1,61.84258739234785
3,2,0,1,1,0,52.90392550328647
4,3,1,0,1,1,61.490970579119775
9,3,0,0,1,1,60.52389242439602
0,2,1,0,0,0,52.17520946224617
0,2,0,0,0,1,61.70718336239396
3,3,1,0,1,0,52.43514334185421
6,2,0,0,1,0,53.12258810510903
4,3,0,1,1,1,59.56911623877218
3,2,1,0,1,1,61.317719795734895
2,3,1,0,1,1,62.26762233192396
6,3,1,1,1,0,52.54508049451941
4,2,1,1,1,1,60.25613403343609
4,3,0,0,1,1,63.105478096712176
5,2,0,1,0,0,51.91096481745829
4,2,1,0,1,0,52.72139772086714
7,3,0,1,1,0,51.121251263386455
1,2,0,0,1,1,60.190000044526606
6,2,0,0,1,0,51.76535505029049
3,2,0,0,1,1,60.51134830019778
0,3,1,1,1,1,62.09245738716648
6,2,0,0,1,0,52.68836157226204
1,3,0,0,0,0,51.8296674525493
3,2,0,0,0,1,61.90140948049952
4,2,0,1,1,1,61.043163957532784
2,2,0,1,1,1,62.80365413628404
2,2,0,0,0,1,61.67423462174396
5,3,0,1,0,0,53.4030396080644
2,2,0,1,1,1,62.27598846231245
5,3,0,0,1,0,51.08140990068657
4,3,0,1,1,1,61.51948720859064
6,2,0,0,0,0,53.99577685958808
0,2,0,0,1,1,61.83110277278111
4,4,0,0,1,0,53.59107703350343
4,1,0,0,1,1,62.14018850766122
5,2,1,0,1,0,51.873306764364784
3,2,0,1,1,1,61.10353468401141
5,3,1,0,1,1,61.45811493537636
0,2,0,1,0,0,51.70893087742931
0,2,0,0,0,0,52.1121194454604
5,2,0,0,1,0,52.982237788738864
5,2,0,1,0,0,53.38716947164262
3,2,0,1,1,1,60.56370494922893
5,2,0,0,0,0,49.95082882864423
4,2,1,1,1,1,61.097690566173966
4,1,0,0,1,0,52.368168447137606
1,2,1,1,1,0,51.47838727666866
5,2,0,0,1,1,62.22244923817612
7,3,0,0,1,1,60.72397319247504
2,2,0,0,0,0,52.04583744290563
6,3,1,0,1,1,60.97482314725383
0,2,0,1,1,1,63.21305675901576
6,2,0,1,0,1,61.51721592576784
4,2,1,0,1,1,62.02644043428896
3,2,0,0,1,1,61.7435833015247
1,2,0,0,0,1,60.75528472264598
7,2,1,1,0,0,51.74071337407626
4,3,0,0,1,1,58.88887954309436
4,2,0,0,1,0,53.91241347909786
3,2,1,0,0,0,51.53827033073399
4,4,0,0,1,0,50.46896565123642
3,2,1,0,1,1,62.30666524349024
1,1,0,0,1,1,60.874694964586
3,2,0,0,0,0,50.62635204103376
2,3,1,0,1,0,52.42072778128866
3,3,0,1,1,1,60.38460653006445
1,3,1,0,1,1,61.97906319546185
2,2,0,0,0,1,61.02301871241632
5,2,0,0,0,0,53.72809948579879
3,3,0,0,1,0,51.100901847386965
7,2,1,1,1,1,61.38675077631444
5,3,0,1,1,0,54.15037298226816
6,2,1,0,0,0,50.38495698754205
3,3,0,0,1,0,50.845128595363626
5,3,1,0,1,1,61.423201089762976
2,3,1,0,1,1,59.93631726841755
4,3,1,0,1,1,61.79636018968855
2,4,1,0,1,1,62.25795162135296
1,2,0,0,1,1,62.712947228502216
1,3,0,0,0,0,51.541762296348494
8,3,0,0,1,0,51.97086461726924
4,2,1,1,1,1,60.81107508442753
2,3,1,0,1,1,59.64523869694051
0,2,1,0,1,1,61.800480231449896
4,3,0,0,0,0,53.00320623509042
0,2,0,1,1,0,52.59103787341557
4,2,0,0,0,1,60.92832423646805
2,2,0,1,1,1,63.87601762776033
4,2,0,0,1,1,64.44862302706129
4,1,1,0,0,0,50.53726773977941
6,3,0,0,1,0,51.42475735043327
6,3,1,0,1,1,60.88532253041004
1,4,1,0,1,1,62.62870729932621
7,3,0,0,1,0,51.29202364805486
-1,2,0,1,0,0,53.4152998486401
4,2,0,0,0,0,52.79207161378028
6,3,0,1,0,0,51.20353291602752
7,2,0,1,0,1,61.39499930243677
3,2,1,1,1,1,62.303506728432495
6,3,0,0,1,0,52.77430254359373
4,2,0,0,1,1,61.73014851745029
3,3,0,0,1,0,53.56639716838195
5,2,1,0,1,1,60.287635013718905
3,2,0,1,1,1,62.40960800155999
4,2,0,0,0,0,53.56985622844417
4,2,1,0,1,1,61.34169543582742
2,3,0,0,0,1,59.483303370253154
3,2,0,0,0,0,53.06028978491952
8,3,0,0,0,0,52.22143301209775
3,1,1,0,1,1,60.96123584436207
4,4,0,0,1,0,52.22391331964331
5,2,1,0,1,0,53.632787900756334
3,3,1,1,0,1,61.601755509455295
3,3,0,0,1,0,52.10399667916899
8,2,0,0,0,0,53.14409125035242
5,3,0,0,1,0,52.62253845854519
0,2,0,0,1,1,62.00487059217134
8,3,0,0,0,0,51.97892058291056
2,2,1,0,1,0,52.72292179516022
2,3,1,0,1,0,52.41784803875723
2,3,0,0,1,1,62.40304475090226
5,2,0,1,1,1,61.93138128199477
8,3,1,1,1,0,52.75765154497731
5,2,1,0,1,0,53.19880876496434
2,3,0,0,1,0,52.33147976549291
3,3,0,0,1,1,62.89067735447804
5,2,0,1,0,0,50.465651954245054
4,3,1,1,0,1,63.27538003923805
2,2,0,0,1,1,62.28037654507053
4,4,0,0,1,1,60.00156682458138
-1,3,0,0,1,1,60.43052179234359
5,3,1,1,1,0,52.69068926463905
0,3,0,1,1,1,61.79965882545331
3,3,0,0,1,0,49.78816887714101
2,2,0,0,1,1,60.42861155615603
1,2,1,0,1,0,51.40012375062255
5,3,1,0,0,1,60.40736682925797
3,2,0,1,0,1,61.74542054331428
10,2,0,0,1,0,51.79947541141468
2,2,0,1,1,0,53.42599761671927
3,2,0,1,0,0,52.58483899059102
4,2,0,1,1,1,62.14244645792159
6,3,0,0,1,0,51.85608021642325
8,3,1,1,1,1,62.45452024315576
2,2,1,0,0,1,61.21119127281463
4,4,0,1,1,0,53.300621734116525
3,2,0,0,0,0,52.50770349155594
1,2,0,0,1,1,62.80924950028511
2,2,1,0,1,1,60.93465954900658
2,1,0,0,1,1,62.31426605259682
2,2,1,1,0,0,54.37657736066108
4,3,0,1,1,1,62.08923321709728
1,3,1,1,1,0,51.47954053641007
0,3,1,1,1,1,63.77456747592512
2,3,0,0,1,1,64.00241554344932
0,2,1,1,1,1,62.56506843506175
8,2,0,1,1,0,53.43231860897099
1,2,0,0,0,1,61.65514063665255
4,2,0,0,0,0,52.045286435320726
2,2,0,1,1,1,62.51990213899525
1,3,0,1,1,1,62.251430598538505
3,3,0,0,1,1,59.167838905242455
6,2,0,0,1,1,61.32548601030892
3,1,0,1,1,0,53.47524071485442
0,3,1,1,1,1,63.72606333641342
1,3,1,0,1,1,63.34156282732667
6,4,0,0,1,0,51.646833706902136
0,3,0,0,0,1,60.92864217704751
1,1,0,1,0,0,51.36943526195209
0,3,0,0,0,0,51.7618917444161
0,3,0,0,0,0,50.52494643683985
3,2,1,0,1,1,60.81339473927402
1,2,1,1,0,1,61.1613301109465
6,3,0,0,1,1,59.85635906685024
2,3,0,0,1,1,60.83623266937212
4,3,0,0,1,0,52.9026509876029
7,2,0,1,1,0,51.85728872342991
3,3,0,0,0,0,53.00217380904656
3,3,0,0,1,0,52.46957803094839
5,2,0,0,1,0,53.26811521138285
6,3,0,1,1,0,51.95901892452382
4,2,1,0,1,0,50.81549133458546
3,2,1,0,0,0,50.27332507192003
4,3,0,1,0,0,54.16197985568266
1,2,0,0,1,1,62.48277331436464
2,2,1,0,1,1,61.16350240697532
0,3,0,1,0,0,52.421611447456655
3,3,0,0,1,0,53.58205460040112
2,2,1,1,1,1,61.0166172758217
1,2,0,1,1,1,62.13909784898878
4,2,0,0,1,1,60.69945007681155
3,2,1,0,1,0,52.55451575114402
6,3,0,1,1,0,53.18788038037616
1,2,0,1,1,0,51.92350346079616
0,3,1,0,1,0,51.28797274254575
3,3,0,0,1,0,52.11944271047759
-1,2,0,1,0,1,62.27074232005506
6,3,0,0,1,0,52.28677585173455
6,3,0,0,1,0,50.60935696273813
2,2,0,0,1,1,61.70903675890294
5,3,1,0,1,0,52.43943375355755
4,3,1,0,0,0,53.96061987846105
6,3,0,0,0,0,51.75219531256376
4,2,0,0,0,0,52.4759985704744
3,2,1,0,1,0,50.53895730046851
5,3,1,1,1,1,64.38531765326181
1,2,0,0,1,0,51.4104994403865
4,3,0,0,1,0,52.19358830243561
5,1,0,0,0,0,53.30969017647127
3,3,0,0,1,0,52.7736524311328
3,2,1,1,0,0,50.405245218164765
2,2,0,0,1,0,53.99458360661731
9,2,0,0,0,0,52.11013665222943
0,4,0,0,0,0,52.3905186947989
4,2,0,1,1,1,61.0600912207778
2,2,0,0,1,1,61.89860280442379
6,3,1,1,1,1,61.709841227974366
0,2,0,0,1,1,61.07454822512641
3,2,1,0,1,1,59.889317124438094
2,4,0,1,0,0,53.6209415665734
3,1,0,0,1,1,60.12891924137354
2,3,0,0,1,0,50.63777071991891
7,2,0,1,1,0,50.70519648712163
3,2,0,0,1,0,53.175212843432
0,2,1,1,1,1,61.16220572342274
5,3,0,1,1,0,51.68861061256428
3,3,0,0,1,0,53.83922032206088
5,2,0,0,1,0,51.03579679977859
3,3,1,1,1,1,61.67635431167106
0,2,0,1,1,1,62.09960496155246
2,3,0,0,1,1,60.375291666868144
0,3,0,0,1,1,61.66781558597644
2,2,1,0,0,0,51.22164040004725
3,3,0,0,1,1,61.61364426509867
4,3,0,1,0,1,61.10998458389067
0,3,1,0,0,1,61.51306279988494
3,3,0,1,1,0,51.2559355061556
1,2,0,0,1,0,51.89498386710962
1,3,0,0,1,1,61.480046169208336
1,2,0,0,1,0,50.84586423145003
0,3,0,1,1,1,62.99990481854728
4,4,0,1,1,0,51.198990318836486
4,2,0,0,1,0,52.0406860198117
3,1,0,1,0,0,51.19672936472007
5,3,1,1,1,0,53.69429456269617
3,3,0,1,1,1,62.30385480107012
4,3,0,1,0,0,52.882402859708016
6,3,0,0,0,1,60.23091752865941
5,3,1,0,0,0,51.11009661467796
2,3,0,0,1,1,60.75151016246315
1,2,1,1,1,1,62.9769921563104
2,2,1,1,0,1,60.633364053085685
5,3,1,1,0,0,51.80782405126818
5,2,0,0,1,1,60.52751945282583
3,2,1,1,0,0,53.62085561047214
7,3,0,1,1,0,52.80319799809858
2,3,1,1,1,0,50.68938723935354
4,3,0,0,1,0,52.20626329622269
7,1,0,1,0,0,52.81692374297748
2,3,0,1,1,1,60.53369340277716
3,2,1,1,0,1,62.99207878645682
3,2,0,0,1,0,52.97913521134104
2,3,0,1,1,1,60.95596947317959
5,2,0,0,1,1,59.98756442939774
5,3,0,0,1,0,52.28203967638255
6,3,1,0,0,1,60.59400889912543
6,3,0,1,1,1,60.83148372301005
2,3,0,0,1,0,52.394452784059325
4,2,0,0,0,1,58.76430583323498
6,3,1,0,0,0,52.43425987692597
5,3,1,0,0,1,61.03705037399519
5,3,0,1,0,0,52.7815102790357
6,2,0,0,1,1,61.03356826310302
5,3,1,0,0,0,51.02149265218522
2,2,1,1,1,1,61.51734560360877
1,3,0,0,0,1,59.850407180478406
5,3,1,0,1,1,60.34644325764785
2,3,0,1,0,0,54.35901801993386
2,3,1,1,0,1,60.99236603264457
3,3,0,1,0,0,53.07096253547762
5,2,1,0,0,0,52.99336589145592
5,2,0,1,1,1,62.82464587752918
3,2,1,1,1,1,61.20044811943903
2,3,0,0,1,0,52.60045927515651
4,3,0,0,1,1,61.7536839744936
5,3,1,0,1,0,50.69094205881204
2,1,1,0,1,1,62.67236824835374
6,3,0,0,0,0,53.58737293398576
3,2,0,1,1,0,52.27295133979801
4,2,0,0,1,0,50.48888566884448
4,3,1,0,1,0,51.71369916924204
0,2,1,1,1,1,63.48812550522284
3,3,0,1,1,1,61.57733402881132
4,4,1,1,1,0,53.057161604624895
0,2,1,0,0,1,60.23881111200372
5,3,0,0,0,1,61.4354349175253
6,2,1,0,1,0,52.16802733137341
6,3,0,0,0,1,60.85260700474628
5,2,1,0,0,1,62.37059941411336
4,3,1,0,1,0,50.84171079931843
10,3,0,0,0,0,51.77533627450843
2,2,0,0,1,1,62.63913067319785
3,3,0,0,1,0,50.15508033058545
5,2,0,1,1,0,52.91491617510453
10,3,0,1,1,0,53.27441666933082
-1,4,0,1,1,0,52.38005994770365
4,3,1,0,1,1,60.41424982157295
2,2,0,0,1,1,61.15723068274173
5,2,0,0,1,0,51.93360169126064
2,3,0,0,1,1,62.74587137490917
1,4,0,0,1,0,52.31425239602401
5,2,0,0,0,0,52.57119700998635
0,2,0,0,1,1,61.037088509136645
4,3,0,0,1,0,51.49763260205923
4,2,0,1,1,1,60.21911104715114
1,3,1,0,0,0,52.20294100281857
6,3,0,1,1,0,51.39971504037528
3,2,1,0,0,0,50.12502695952048
2,3,0,0,1,1,62.44811796260888
4,3,1,1,1,0,54.258777981098966
2,3,0,0,1,0,52.69209116283794
2,2,0,0,0,1,60.16870120328987
6,3,1,0,1,1,57.75763997425203
6,3,1,0,0,1,60.25189955464917
3,2,1,0,1,0,53.069118748752096
0,2,1,1,1,0,52.703043334963816
8,2,1,1,1,0,53.45826554778341
4,3,0,0,1,1,62.10843735255767
0,2,0,1,1,1,61.97642469084742
3,2,1,0,0,1,61.58684677055772
3,2,0,0,1,1,61.73695085585853
3,3,0,0,1,1,60.974119798986415
6,2,0,0,0,0,51.341947682371455
5,2,1,0,1,1,60.49342623859267
6,2,0,1,0,0,51.680530618935855
4,3,0,0,1,0,52.07003410554109
3,3,0,0,1,0,53.482545388442254
3,3,1,1,1,1,62.21087654537884
5,3,0,1,0,0,51.87165305603149
5,4,0,1,1,0,52.36478087814025
8,3,0,1,0,0,52.87790984523674
2,2,1,0,0,1,62.00160561451549
3,2,0,0,1,1,61.78192616796305
4,2,0,0,0,0,51.75038299947714
3,3,0,1,1,1,61.403617044436665
5,3,0,0,0,1,62.334956638082616
4,2,0,0,1,0,52.65228095977204
4,3,1,0,0,1,62.7281062405721
3,4,0,1,1,1,62.56793072056858
2,2,0,0,1,1,62.3448808377748
4,2,0,0,1,1,60.31118686515789
2,3,0,0,1,1,61.82224930602722
3,3,0,1,1,0,50.86578790934576
3,3,1,1,0,1,60.8299334728771
4,2,0,0,0,0,52.742122259161086
4,3,0,1,0,0,52.278291290358645
3,2,1,0,0,0,53.50474811021356
7,3,0,1,1,0,51.27727179378513
2,2,1,0,1,0,52.28242715282008
5,2,0,0,1,0,51.23121087971184
3,2,0,1,1,1,61.27103382538824
6,2,1,0,0,0,53.34954536857912
3,2,1,0,0,0,52.66783954625713
1,3,0,0,1,1,60.89795474679914
2,3,0,1,0,0,52.32534568374161
2,2,1,0,1,1,62.49378437040609
0,2,1,1,1,0,51.968620083513976
6,3,0,0,1,0,52.66059048509817
4,3,1,0,0,1,60.82856387887402
4,2,0,0,1,1,59.25719093690729
6,3,0,1,0,0,51.51679528866947
4,3,0,1,1,1,63.43647731954913
4,3,1,1,0,0,52.13951956332463
6,3,0,0,0,0,51.22527380014624
6,3,0,0,1,1,60.31536707690006
5,3,0,1,1,0,51.58438225787878
4,3,0,0,1,0,51.21534247891999
3,3,0,0,1,0,52.48964934982069
2,3,0,0,1,1,61.16880749797221
4,3,0,1,0,0,52.1607266088316
2,2,0,0,1,1,62.79309064032218
4,2,0,0,1,1,62.07322463845725
3,3,0,1,0,1,60.879826444836
4,3,0,0,1,1,61.669633961404784
5,2,0,1,0,1,62.10105420986601
0,2,1,1,1,1,61.613491814537525
5,3,0,0,0,0,51.52569365302036
2,3,0,1,1,0,51.85505374468105
6,2,0,0,0,0,50.29880230387093
1,3,0,0,1,1,62.668749179706005
3,3,0,1,1,0,53.77812678512949
4,3,0,1,0,1,62.81484405470514
6,3,1,0,0,0,51.62364863110453
1,2,0,1,1,1,64.28676568546024
6,1,1,0,1,1,63.16273860734383
2,3,0,1,1,1,61.27338201695855
2,2,1,1,0,1,61.97728689881905
5,3,0,0,1,0,50.90909445629771
2,3,1,0,1,0,52.192761913593046
1,3,1,0,1,0,51.68339837589721
0,3,0,0,1,1,62.30570434147737
4,2,0,1,0,0,52.59205264457509
8,2,0,0,1,0,53.75706595969703
4,3,0,1,1,1,61.62210358085117
5,2,1,1,0,1,62.26743559651338
1,3,1,0,1,1,60.61143283236519
4,3,1,0,1,0,51.73470974117467
2,2,0,1,1,0,52.12502726148164
2,3,1,0,0,0,50.56274891510707
5,2,1,0,0,0,51.124774173990495
5,3,0,0,0,1,60.1331657266457
4,3,1,1,0,0,53.78054800466963
1,3,0,0,1,0,52.65842394771417
4,3,0,0,0,0,51.429818096864366
4,3,0,0,0,1,61.9233580492745
5,3,0,0,1,1,60.65858203170906
4,4,1,0,1,1,60.69525481644551
5,3,1,1,0,1,61.97211281871345
3,3,0,1,0,1,61.36775537386087
3,2,0,0,1,1,62.32546204134762
2,3,1,0,1,0,51.89226098614134
4,2,1,0,1,0,51.96595361839303
2,2,0,0,1,0,51.90451616170558
2,2,0,0,0,1,59.988499886253486
4,3,0,0,1,0,51.90425327735336
6,4,0,1,1,1,60.62912544593068
6,2,1,1,1,1,60.67926538987667
3,3,1,0,1,1,62.21014040886071
3,2,0,0,1,0,52.98190371758361
5,3,1,1,0,0,51.41606862684231
3,2,0,0,1,0,51.9337549245499
7,3,0,1,1,0,50.807645107925886
5,3,1,0,0,0,52.46746000947867
5,3,1,1,1,0,51.208430995442136
5,2,1,1,0,0,53.15365473986391
2,2,0,0,1,0,52.59747612484213
4,2,0,1,1,0,54.394025379233625
5,3,0,0,1,1,61.73454796446227
2,3,0,1,1,1,61.44476462207645
4,3,0,0,0,0,53.08662597824024
0,2,0,0,1,1,61.59985561592338
0,2,0,0,1,1,60.85201409520192
8,3,0,0,1,1,60.876296728208885
5,3,0,1,0,0,53.14447380542525
5,3,0,1,1,1,61.14383803806227
0,2,0,0,1,1,62.36499313838385
3,3,0,1,1,1,62.68511022104392
4,2,0,1,1,1,61.48762827808
-1,2,1,0,1,0,52.100917715020095
3,2,0,1,1,0,52.342273424995
3,2,0,0,1,1,61.815547893567015
0,3,1,1,0,0,54.27927347665207
4,3,0,0,0,0,49.684972235102194
4,3,1,0,1,1,62.64417278430229
5,2,0,0,0,0,52.87466050381462
8,1,0,1,1,0,53.0080825798555
7,2,0,0,0,1,61.86457093576125
5,2,0,1,0,0,52.534642394220846
3,3,0,0,1,1,62.04214723265521
2,2,0,0,1,1,62.25676085439093
4,2,0,0,0,1,61.25771596349654
5,2,0,1,0,1,63.012337708183495
2,3,0,1,1,1,62.4682335389982
3,2,1,0,1,0,52.462342454923
6,3,1,0,0,0,51.31241618794744
2,4,0,0,0,1,60.49138351264074
2,3,1,0,1,1,61.76837571321912
6,2,1,0,1,1,60.2277454598152
5,3,0,1,1,1,61.39725662548628
4,3,1,1,1,0,52.06394396574897
3,2,1,1,1,1,61.70443473108293
5,2,0,1,1,0,55.537809047488736
7,2,0,0,1,0,51.84079288097804
1,2,0,0,1,1,60.64661631160756
0,3,0,0,0,0,51.99033703524786
1,2,1,0,0,0,50.45896054217582
0,2,0,0,1,1,61.13054672121703
1,1,1,1,0,1,60.71595722386363
0,2,0,0,1,1,60.63457773769279
3,2,0,0,0,0,51.125561391646784
2,2,0,1,1,0,51.689950685402
5,3,0,0,1,1,61.908219133542005
4,3,0,0,1,1,62.674168685485775
6,4,1,1,1,1,61.34171775544852
2,3,0,0,1,1,61.36956680315072
0,2,0,0,0,0,50.815496915667104
0,2,0,0,1,0,51.46585666600743
4,2,0,1,0,1,62.993488529930325
3,2,0,0,1,0,52.44747633257606
1,2,0,1,0,0,52.43871420823072
2,2,1,1,0,0,53.3427610370358
1,3,0,0,1,1,63.45586923907743
3,3,0,0,0,0,49.56554890121994
1,2,0,0,1,1,61.73309758301938
5,3,1,0,0,1,61.18717157234441
5,4,1,1,0,1,62.01648741249737
0,2,1,0,0,1,59.98941251808107
6,3,0,0,1,1,61.99862835288288
5,2,1,0,1,1,60.459184987449866
7,2,0,0,1,0,50.746127407876514
6,2,0,0,0,0,51.70171074823151
2,3,1,1,1,0,54.27314119604639
2,2,0,0,0,0,52.51119969688196
4,2,0,1,0,0,53.09702508206544
4,2,0,1,1,1,62.32240535772111
5,3,0,0,1,0,52.10233322833869
0,3,0,0,1,1,62.87551092011046
4,2,0,1,1,0,52.66763889773748
3,2,0,0,0,0,49.81064100227528
3,3,0,0,0,1,60.74900381078747
0,2,0,0,1,1,61.81467987047654
4,3,0,0,0,1,61.73718002342868
3,3,0,0,0,0,52.02426050978761
6,2,0,0,1,1,62.27809686213316
3,2,0,0,0,0,51.28255505981075
10,3,1,1,1,0,51.60140912274577
6,2,0,0,0,0,51.30984538003622
3,2,0,1,1,0,51.99610723454875
3,3,0,0,1,1,59.64245933880963
3,3,1,1,0,0,50.74610789143616
2,2,1,0,1,1,62.79134624012859
4,2,0,0,0,0,51.60362825322254
2,2,1,0,1,1,62.96541816841172
3,3,0,1,0,1,63.55038818572358
5,3,1,0,1,1,62.31876105588546
0,3,0,0,1,0,52.64636932731551
3,2,0,0,0,0,52.4842154162268
1,3,1,0,1,1,63.18922711568408
1,3,0,0,1,1,61.7323077247694
2,3,0,0,1,0,51.56868361689918
4,3,0,1,1,0,50.76763585898581
6,2,0,0,1,0,52.407293242680375
5,2,0,1,0,0,52.4510118865183
3,3,1,1,1,0,52.97725202054936
5,3,0,0,1,0,50.35116315943508
5,2,0,0,0,1,60.54590222912543
1,2,0,0,0,0,53.70198518779871
0,2,0,0,0,0,52.30043878799464
8,3,1,1,1,0,53.44886647446763
4,3,0,1,1,1,61.04744127765479
4,2,0,0,0,0,53.7143573504645
3,2,0,0,0,1,61.027487097886535
6,3,1,0,0,0,51.635742409928056
6,2,0,0,1,1,61.5433906653264
6,3,0,1,1,1,59.67943034992432
7,3,0,1,1,1,59.662189409748414
4,3,0,0,1,0,53.10109573139216
2,2,0,0,1,0,54.61020502959399
3,2,0,0,0,0,52.77231100102286
8,3,0,0,1,0,50.23042256291765
4,2,0,1,1,0,50.71236699052935
3,2,1,0,1,1,63.05502808710999
3,3,0,0,0,1,60.996506631963705
3,2,0,0,0,1,60.95587817023755
7,2,0,0,0,0,53.1314832259587
3,2,0,0,1,1,62.04917939776295
4,2,0,0,0,1,60.92867138119227
4,2,1,0,1,1,60.99248291147894
5,2,0,0,0,0,53.29848535199207
4,2,0,0,1,0,52.78670587365428
0,3,0,0,0,0,50.59837949825872
6,2,0,0,1,0,52.36182563357735
3,2,1,0,1,0,50.629920988963725
2,3,1,1,1,1,62.007290364732064
5,3,0,0,0,0,52.80215400056666
4,3,1,0,0,0,52.1707130465971
2,1,1,1,0,1,61.30334819442779
6,3,0,0,1,0,52.92238613949098
4,3,1,1,1,1,62.71073169113339
1,4,0,1,1,1,61.44066928037629
5,2,0,1,1,1,62.66488211651537
3,2,1,0,1,1,59.8630933396096
3,3,0,1,1,0,52.43327400929604
2,3,1,0,1,0,52.82752485523782
3,3,0,0,0,0,51.52538064023846
1,2,0,0,1,1,62.92698856581868
7,3,1,1,1,0,51.79305371428259
5,2,0,1,1,1,61.367542535018586
4,3,0,0,1,1,62.15994319520367
6,2,1,0,0,0,50.83650092507126
0,3,0,0,1,1,62.78745283464517
5,2,0,0,0,1,62.05923667116373
4,2,1,0,0,0,52.8047269404664
4,3,0,0,1,1,62.18945945760992
2,3,1,0,0,0,52.00791587830977
8,2,0,1,1,0,51.88567900334287
