prior_offenses,age_at_charge,income_bracket,has_dependents,employed_status,legal_aid_offer,legal_aid_uptake,sentence_length_months
2,3,0,0,1,0,0,46.12533346026805
6,3,0,0,1,0,1,54.66637248380032
3,2,0,0,0,1,1,54.73320998400386
4,4,0,1,0,1,1,53.00805910631698
3,3,0,1,1,1,0,47.21059773436752
5,3,1,0,0,1,1,51.898071142456665
6,2,0,0,1,1,0,46.21447002344242
3,1,0,0,0,1,0,46.13638099686188
6,2,0,0,0,0,1,56.09571997219504
4,3,1,1,0,1,1,52.805505787862735
1,3,0,1,1,1,0,45.81031756107857
4,3,0,0,1,1,0,48.42125754222058
3,2,0,1,1,1,1,52.57581169933206
4,3,0,0,1,1,0,46.88245837001685
2,3,0,1,0,0,1,52.720332620987165
5,2,1,0,0,0,0,45.424564670171
5,4,0,0,1,0,1,53.84826071924082
3,2,0,0,0,0,0,47.28114434627042
0,1,0,0,1,1,0,45.97420628148049
1,3,0,0,1,1,0,46.34642515043047
4,2,0,0,1,1,1,54.84015935257402
6,1,0,1,0,1,1,52.3196857920059
2,2,0,1,0,1,0,44.66522570747853
1,2,0,0,0,0,0,47.11314753852227
4,2,0,1,1,1,0,45.33259021740546
2,3,0,1,0,1,1,53.06042406668167
3,2,0,1,0,1,0,46.70317277012516
1,3,1,0,0,1,0,46.22294214788454
2,3,0,1,1,0,1,53.26921251676937
1,2,0,0,0,1,0,45.23451005248016
4,3,0,0,0,1,1,52.36904426210878
0,3,0,1,1,1,0,46.512832900799005
2,3,0,0,0,1,1,51.93657986586385
2,3,0,0,0,1,0,44.532234825175074
2,2,0,0,0,0,0,44.84872806010063
7,2,0,0,0,1,1,54.6109259166528
4,3,0,0,0,1,1,52.45202420782494
6,2,0,0,0,1,1,55.00274370492687
7,3,0,0,1,1,1,54.15028265366102
5,3,0,0,1,1,1,53.36034013266942
4,2,1,0,0,1,1,52.26454416723583
7,2,0,1,0,1,1,52.96514006963674
3,2,0,1,1,0,1,54.22344990169124
5,3,1,0,1,0,0,45.8674796475412
5,3,0,1,0,1,1,53.065749721075534
1,3,0,0,0,1,0,45.55542303759664
4,2,0,1,0,1,1,53.528656983106174
2,2,0,0,0,1,1,52.94955535110471
1,2,0,0,1,1,0,44.93527652188915
1,2,0,0,0,1,0,46.83239005367648
5,2,0,1,1,1,1,54.65661113698592
4,2,0,0,0,1,1,53.98044131863729
1,2,0,1,0,0,0,44.95263304122683
4,3,0,0,1,1,0,48.05905904385469
6,2,0,0,0,0,1,53.823972435964365
5,2,0,1,0,1,1,52.421323748212856
-3,3,0,0,0,1,0,45.21232738038554
4,2,0,1,1,1,1,54.85833657318156
3,2,0,1,1,1,1,51.64380022043806
7,3,0,1,0,0,1,53.51742345663176
2,3,0,0,1,1,0,46.00717195099252
2,2,0,0,0,1,1,53.47684661817084
2,2,0,0,0,1,0,47.95705529302506
3,3,0,1,1,1,1,52.699734727461326
4,3,0,1,0,1,1,54.00776676495628
4,3,0,0,0,0,1,54.05989797652712
1,3,0,0,0,1,0,45.49151339941103
3,2,0,0,0,0,0,47.13314564487618
4,1,0,0,0,0,0,47.25651801216602
4,2,0,0,1,1,1,54.411673519194295
2,3,0,1,1,1,0,45.06021490676395
7,2,1,0,0,1,1,53.35846342587742
4,3,0,0,1,1,0,47.60071748114294
2,2,0,1,0,0,0,46.47131411304717
5,2,-1,1,1,1,1,53.38759335176941
2,3,0,1,0,1,0,44.21781415004632
1,3,0,0,1,0,0,47.38404569466715
5,2,0,1,0,1,1,52.76225563626048
6,2,0,0,0,1,1,53.24991550898461
5,3,0,1,1,1,1,52.17018198576679
7,2,0,0,1,1,1,53.16226400795254
7,2,0,0,0,1,1,54.88708643447464
4,2,0,0,0,1,0,44.40161477325726
5,2,0,0,1,1,0,48.419917493814616
1,2,0,0,1,1,0,45.969930971147534
7,3,0,1,0,0,1,54.03608324833248
0,2,0,1,1,1,0,45.235005913520105
2,2,0,0,1,1,1,52.73345689490723
4,4,0,1,0,0,1,54.83488830250596
6,3,0,1,0,1,1,53.48263685846029
2,2,1,0,0,1,0,45.64321345828471
5,3,1,0,0,0,1,52.411193834110286
5,3,-1,1,1,1,1,54.00410851519503
1,3,0,1,0,1,0,45.42685894480119
4,3,0,0,0,1,0,45.59375951206501
6,2,0,0,1,1,1,54.2354812486785
8,3,0,0,1,1,1,53.977768550949904
2,2,0,1,1,1,0,46.86280479432757
4,3,0,0,0,1,1,52.27422408125938
4,3,0,0,0,1,1,53.91914196583815
2,2,0,0,1,1,0,48.1982849522344
2,2,-1,0,1,1,0,49.09157312407294
4,2,0,0,0,1,1,52.33145299292372
7,3,0,0,0,0,1,53.94980409492069
1,2,1,0,0,0,0,44.12118383511104
3,2,0,1,1,0,1,54.33919900833989
2,2,0,1,0,1,0,44.91156735223466
1,2,1,1,1,1,0,45.84245750489924
4,2,1,0,1,1,1,53.38672924294914
4,2,0,1,0,1,0,46.5919934916038
5,2,1,0,1,0,0,45.22384390664525
7,3,0,0,0,1,1,54.47211803160976
4,3,1,0,0,1,1,52.31391758884488
4,3,1,0,0,0,0,46.742794933206
5,2,0,0,0,1,0,46.88555826683773
5,2,0,0,0,0,1,53.042136948860126
1,2,0,0,0,1,1,52.06167846602844
1,3,1,0,0,1,1,51.5315088148957
0,2,0,0,0,0,0,45.15442316134166
2,2,0,1,0,1,0,44.4794402411796
2,3,0,0,0,1,0,44.41873817798002
0,3,1,0,0,1,0,45.60673464927281
0,3,0,0,0,0,0,46.767744747349845
6,2,0,1,0,0,1,51.06866001157544
1,3,1,0,0,1,0,45.39337468293655
5,3,0,0,1,1,1,54.807610762317154
0,3,0,0,1,1,0,44.28502374019287
7,3,0,0,0,1,1,52.84451590767855
1,2,1,0,1,0,0,46.201055486038825
4,2,0,0,0,1,1,53.54906965592113
2,3,0,1,0,1,1,53.31522342748055
3,3,0,1,0,0,1,52.489570817728186
4,4,0,0,1,1,1,52.41131238347409
6,2,0,1,1,1,1,53.32501773043918
3,3,0,0,1,0,0,47.93206094979185
4,4,0,0,0,0,1,52.91450507725093
6,4,0,0,1,1,0,47.41427160106678
3,1,0,0,1,1,0,46.0233874337044
4,3,0,1,0,0,0,45.612417220909
6,2,0,0,1,0,1,53.1850042193074
4,4,0,1,0,1,1,51.19853292510708
3,3,0,0,1,0,0,46.36924431586076
2,2,0,1,0,0,1,52.69480446374845
1,3,0,1,0,1,1,51.57256887227832
6,2,0,0,0,1,1,54.20417710885137
2,3,0,1,1,1,0,44.48390104115471
5,3,1,1,0,1,1,51.37075867228428
1,2,0,0,0,1,0,46.3370082870838
5,2,0,0,0,1,0,47.22485284921195
0,3,0,0,0,0,0,45.9999335088936
7,3,0,0,1,1,1,55.19995999142057
4,2,0,0,0,1,1,54.08010969049002
5,2,0,0,0,1,1,53.5059795102163
2,2,0,0,1,1,0,47.94703538991074
4,3,1,1,0,0,1,51.05898449867436
3,2,0,0,1,1,0,46.37468815010138
4,2,0,0,1,1,1,55.03738728419568
5,3,1,1,1,1,1,53.77664797249722
5,3,0,0,0,1,0,46.87249049973449
2,3,0,0,1,1,0,48.032847721236685
6,3,0,0,0,0,1,53.34410562672679
2,3,0,1,1,0,0,45.4981965453665
3,3,0,1,1,0,1,52.92443485189518
6,2,0,0,0,1,1,54.15089830853951
5,3,0,0,1,1,1,54.98367314080824
2,2,1,1,0,1,1,51.583127049818906
11,2,1,0,0,1,1,55.87962755976603
0,2,0,0,0,1,0,45.500236605101
5,3,0,0,1,0,0,45.22201121628264
9,2,0,0,1,1,1,53.14839614522627
3,2,0,1,0,1,1,51.97554257865004
4,2,0,0,0,1,0,48.18349920170017
0,3,0,0,1,0,0,46.53767221006624
7,3,-1,0,1,0,1,53.85326264414042
6,3,0,1,0,1,1,51.37428581084095
1,3,0,1,0,0,0,43.41269084369704
6,3,0,1,0,1,1,54.537579869428576
7,3,0,1,0,1,1,53.72879280380174
8,2,0,1,0,1,1,53.81794637448538
7,2,0,1,0,1,1,54.05733921527316
6,2,0,1,0,1,1,52.632576995003646
3,2,0,0,0,1,0,46.211352308235874
0,3,0,0,0,0,0,46.58882955350381
3,2,0,0,0,0,0,47.86185367672179
3,2,0,1,0,0,0,46.14068775748167
1,3,0,0,0,0,0,45.74779293763496
3,2,0,0,1,1,1,53.36700318144169
4,3,0,1,0,0,1,52.39742092625743
2,3,0,0,1,1,0,47.4455946303306
0,3,0,0,1,1,0,46.84836559682074
3,3,0,0,1,1,0,45.9799638592819
4,3,0,0,0,0,0,45.24075116355181
6,2,0,1,1,1,1,53.90647484682451
3,3,0,1,1,1,0,47.460392519125485
2,2,0,1,1,1,0,45.211231200871374
7,2,0,1,1,0,1,52.15228350576886
7,3,0,0,1,0,0,46.22397157469159
4,3,0,0,0,1,1,51.783875644941865
2,3,0,1,0,1,1,51.46823443461428
3,2,0,0,0,0,1,52.57657505725324
3,3,0,1,0,1,1,51.155994235284325
4,3,0,1,0,1,1,53.05223064679233
4,3,0,1,1,0,0,46.6581859307547
2,3,0,0,0,1,1,54.74216252613888
5,2,0,0,1,0,1,53.044473385533344
2,3,0,1,1,0,0,46.89632658627579
6,3,0,0,1,1,1,54.68037051546648
2,2,0,1,0,1,1,52.63425083454826
4,2,0,1,0,1,0,45.63918117525149
5,2,0,0,1,1,0,46.88931869506912
3,2,0,0,0,0,1,54.436958672138296
3,3,0,0,1,1,0,46.18373438085949
6,2,0,1,1,0,1,54.22344250431669
1,3,0,0,1,0,0,45.82759382753061
4,2,0,0,0,0,0,46.557623120808
5,3,0,0,1,1,1,55.73365242869284
9,2,0,0,1,0,1,53.08450780408175
3,2,0,0,1,0,0,44.88949410335814
2,3,0,0,0,0,0,45.2225132428007
7,2,0,1,0,0,1,53.73806944580259
7,2,0,1,1,1,1,53.68796907323679
4,3,0,0,0,0,0,45.27713083558143
5,2,0,0,0,1,1,54.68308410535899
5,3,0,1,1,1,1,52.447599297524405
5,3,0,1,0,1,1,52.79465798020896
2,2,0,1,1,0,0,45.64857360440394
-1,3,0,1,1,1,0,46.00237169917664
5,2,0,1,1,0,0,46.17165968583519
4,2,0,0,0,1,0,46.175515397983474
0,2,0,0,0,1,0,45.72375398018132
8,2,0,1,0,0,1,53.74034522593212
4,3,1,0,1,1,0,45.43561240510122
6,2,1,0,0,0,1,55.116542585323785
8,3,0,0,0,1,1,54.16291509773842
3,3,2,0,1,0,0,45.467120831275565
8,3,0,1,0,1,1,53.30968740665266
4,3,0,0,0,1,1,54.62837075164041
7,2,0,0,1,1,0,47.534083630099126
5,3,0,0,0,1,0,46.96740058030824
5,2,0,1,0,0,1,52.452434118013045
3,3,1,0,0,1,1,52.69851395101085
5,3,0,0,0,1,1,53.54282667893909
5,3,0,0,0,1,1,52.76997362375144
1,2,0,1,0,0,0,43.18317353675414
7,3,0,1,0,1,1,52.968078892366485
3,3,0,0,0,1,0,47.58655171130246
7,3,0,1,0,1,1,53.35614682125444
3,3,0,0,1,1,1,53.67717381249922
3,3,0,0,1,1,0,46.00871958546994
4,2,1,0,0,1,0,45.835839203941525
2,3,0,1,1,0,0,45.50859445199305
6,3,0,0,0,0,1,54.54525831429429
4,3,0,0,1,1,0,46.46813673277616
5,1,0,0,0,1,1,52.06960027377503
4,2,0,1,0,1,1,53.54601694729666
4,3,0,0,1,1,0,45.99518471880258
5,3,0,1,0,0,0,45.23627741136116
4,2,0,1,0,1,1,53.05123128585624
3,3,0,1,1,1,0,47.87556110879781
0,3,0,1,1,0,0,45.12416466938064
6,2,0,1,1,1,0,46.6959484090593
5,3,0,0,1,1,1,53.70946811445975
6,2,0,1,1,1,1,53.09032001464777
6,2,0,0,1,1,1,53.466135285794536
1,2,0,1,0,1,0,44.51900305473607
3,4,0,0,1,1,0,46.260922966982605
5,2,0,0,0,1,0,46.06609465291804
6,2,0,0,0,1,1,53.09799965094442
0,3,0,0,1,1,0,46.535909885701656
0,2,0,0,1,0,0,46.50733807872886
5,3,0,0,0,1,1,54.39292632371933
4,3,0,0,1,1,0,46.99942047025517
3,3,0,0,0,0,0,47.17702447741757
5,2,0,0,0,1,1,53.594840242351935
0,2,0,0,0,1,0,45.39942074295863
3,2,0,0,1,0,1,55.05134136031991
1,3,0,0,1,1,0,47.08676166524793
3,2,0,0,0,1,1,52.11580899993331
1,2,0,1,0,1,1,52.55252929037261
5,2,0,1,0,1,1,51.41043257371152
6,3,0,0,1,1,1,54.92104781286363
2,3,0,0,0,1,0,45.12546973873653
2,2,0,1,0,1,1,54.41715635866261
3,2,0,0,0,1,1,53.37823958672912
5,2,0,1,0,1,1,53.55249493817531
5,3,0,0,0,1,1,54.10385596737048
8,2,0,0,0,0,1,52.118766484668456
5,2,0,0,0,1,1,54.164780046083095
3,2,0,0,0,1,0,45.79334215404842
0,3,-1,1,0,0,0,45.19013983290455
1,3,0,0,0,1,0,44.7028678736924
0,3,-1,1,0,0,0,44.97624980243432
6,2,1,0,0,1,1,52.73676542836988
2,3,0,0,1,1,0,46.27635364281864
2,1,0,0,0,1,0,45.7558679762211
1,2,0,1,1,1,1,53.2229427173755
3,3,0,0,1,1,0,46.28850870947342
0,2,0,0,0,1,0,45.81432835100153
0,2,0,0,0,0,0,46.90549694652025
2,3,-1,1,1,0,0,46.17251526959888
3,2,0,1,1,1,1,52.92592172010377
3,3,0,1,1,1,1,53.92178711739916
6,2,0,0,0,1,1,52.02420870503131
3,3,-1,1,0,1,1,53.86481497228364
3,3,0,1,0,1,0,46.94050235958058
5,2,0,0,1,1,1,55.15470668594428
4,2,0,0,0,1,1,54.3441170237419
5,2,0,0,1,1,0,45.93560871245745
7,3,0,1,1,1,1,54.86573455032516
2,3,1,0,1,1,0,44.94730250449
6,3,0,0,0,1,1,55.17115780562538
4,2,0,0,0,1,1,53.179755245255976
5,2,0,0,0,0,1,54.16365222126552
0,3,0,1,0,0,0,44.398287988783615
0,2,0,1,1,1,0,46.979888753958114
6,3,0,0,0,1,1,54.15027817168054
2,3,0,0,1,1,1,54.020225391734506
1,4,0,0,0,1,0,45.85910380771393
3,3,0,1,0,0,0,45.74269860685376
6,3,0,0,1,1,1,54.78996512464947
0,3,0,0,0,1,1,51.06484704611476
3,3,0,0,1,1,1,53.80230895998937
3,2,0,1,0,1,1,52.13631012038592
2,3,0,1,1,1,0,44.561142067960354
4,2,0,1,1,1,1,51.35280814041836
4,2,0,0,0,0,1,54.49596826137645
4,3,1,1,0,1,1,52.75935717327977
2,2,0,0,0,1,0,46.56103000892671
-1,4,0,0,0,1,0,46.06921254195435
3,2,0,0,0,1,0,46.90683394299752
7,3,1,0,1,1,1,52.63382602220071
4,3,0,0,1,0,0,46.61567244128148
5,2,1,0,1,1,1,53.89258559533698
5,2,0,0,0,1,1,54.02271123901918
3,2,0,1,0,1,0,47.24946003090152
5,2,-1,1,0,0,1,55.1707706558426
7,2,0,0,1,1,0,47.91932846071396
6,2,0,0,0,1,1,53.0035506863603
3,3,0,1,0,1,1,52.1200755204214
2,3,0,0,0,0,0,45.92518221982756
4,3,-1,0,0,0,0,48.04464829714672
4,4,0,0,1,1,0,45.56853609251401
2,3,0,0,0,1,0,46.35353729050084
1,3,0,0,0,0,0,45.232605449240914
2,2,0,1,1,1,0,44.01721143036048
3,3,0,0,0,1,0,45.45959286466325
1,3,1,0,1,0,0,46.02682661635893
6,2,0,0,1,1,1,54.77414361592092
8,3,0,0,0,1,1,53.18359515660399
3,2,0,0,1,0,1,53.54232846397775
7,2,0,1,0,1,1,52.23062463259556
2,3,1,0,0,0,1,52.44629027719608
0,2,0,0,1,0,0,46.06240800408778
7,3,0,0,0,1,1,55.1215856549906
2,2,0,0,0,0,1,52.927485274244745
6,2,0,1,0,0,1,53.74615827649384
8,2,0,1,1,1,1,52.2993776394236
2,2,0,1,0,0,0,46.5785134328634
5,3,0,1,0,1,1,51.30449114723929
5,3,0,0,1,1,0,46.1074605356476
4,2,0,1,0,1,1,52.37845788427392
2,3,0,0,1,0,1,53.42055350844043
6,1,0,1,1,1,1,55.986099999149
4,3,0,1,1,1,0,45.43830112943064
2,3,0,1,0,1,1,52.2580099356793
3,2,0,1,1,1,0,48.05787677007852
2,3,0,1,0,1,0,45.00554355809929
5,2,0,0,0,0,1,54.73148085922532
4,3,0,0,0,0,0,45.47573850091565
3,1,0,1,1,1,0,46.86969782370215
7,2,0,0,0,1,1,55.65400296297201
5,2,0,0,1,1,1,54.37586252736998
2,3,0,0,1,0,0,46.33404065843507
5,3,0,1,1,1,0,43.6033772849971
0,3,0,1,1,1,0,46.9270525436465
0,2,0,1,0,0,0,44.33470392944327
7,3,0,1,1,1,1,52.13366449756012
6,3,0,1,0,1,1,53.90430156247256
2,3,0,0,1,1,0,45.92562740339354
1,3,0,0,0,1,0,45.75431359386687
3,2,1,1,0,1,1,52.72614905238158
2,3,0,1,0,1,0,44.89875759401798
5,3,0,0,1,1,1,53.16292595209535
4,2,0,1,0,1,1,53.610611258123406
6,2,0,0,1,1,0,48.71136453447134
5,1,0,1,1,0,0,46.710398882833765
1,3,1,1,1,1,0,45.1531151123085
2,3,1,1,1,1,0,45.020819554290455
2,3,0,1,1,0,0,46.20127907599093
4,2,0,0,1,0,1,54.4080714907828
2,1,0,0,0,1,0,46.47269903385696
5,3,0,1,1,1,1,53.36541555494394
5,3,0,1,0,1,1,55.27613962701169
4,2,0,0,1,0,1,53.55760020440672
4,2,0,1,0,1,0,46.41412606879591
5,2,0,0,1,1,0,45.94162393442752
3,2,0,0,0,1,1,52.02679790030156
0,2,0,0,1,0,0,46.4828862197238
4,2,0,0,1,1,0,44.44592545861788
4,3,0,1,0,1,1,53.54750485107472
5,2,0,0,1,1,0,48.00448954983372
4,1,0,0,0,1,0,45.17975689934594
1,4,0,1,0,0,0,46.04055554705939
1,3,0,0,0,0,0,44.2416866742008
5,2,0,0,0,1,1,55.24142973570182
3,2,0,0,1,1,0,46.38694837155552
0,2,0,0,0,1,0,46.67355285026282
3,3,0,0,0,1,0,45.119682705432616
6,3,0,1,1,1,1,53.52322292446793
8,3,0,1,0,1,1,52.46628575433755
4,1,0,0,0,1,0,44.77643247939593
3,3,1,0,0,1,1,50.2095807072269
6,3,0,0,1,1,1,53.96421576555925
4,3,0,1,1,1,0,46.90622231254301
5,2,0,0,1,1,1,56.12974735488683
5,2,0,0,1,1,1,54.42442521022801
8,2,0,1,1,0,1,54.819942136746455
3,3,0,0,1,1,0,46.96971863792884
2,3,0,0,1,0,1,53.056050261697656
-2,2,-1,0,1,0,0,45.99147103934943
5,3,0,0,1,1,1,53.15647796839575
5,4,0,1,0,0,0,45.30118939848286
5,2,2,0,1,0,1,52.185101744908906
4,3,0,0,0,1,1,53.01898542953887
3,2,1,0,1,1,1,53.79628249352591
3,3,0,0,1,1,1,54.79292417720028
4,3,-1,0,0,1,0,46.2995491326041
5,2,0,1,0,1,0,46.67475859426739
5,4,0,1,1,1,1,52.44621287364625
3,2,0,0,1,1,0,47.4431765066384
1,3,0,0,0,1,1,52.48859726570846
0,4,0,1,1,1,0,44.22672834691563
5,2,0,0,1,1,0,48.35681540022193
4,3,0,1,0,1,0,46.25516187554189
7,3,0,0,0,0,0,48.70389339089223
3,3,0,1,0,1,1,52.70295312801177
5,2,0,1,0,0,1,55.18067845079485
3,3,0,0,1,0,0,46.523091722259565
2,2,0,0,0,1,1,52.13940119143218
5,2,0,1,1,0,1,53.91689725484642
3,2,0,0,0,1,0,47.28118443353675
2,3,0,0,0,0,1,54.42886334055177
2,2,0,1,1,1,1,53.61935276640207
4,3,0,0,0,1,0,44.986131404399785
6,3,0,1,0,1,1,53.969623768729335
4,3,0,0,1,0,0,46.6700224102228
4,2,0,1,0,1,0,44.26501493726815
4,2,0,0,0,0,0,46.77513191762184
2,2,0,0,1,1,0,46.39813094505868
1,2,0,0,0,1,0,44.8578252227483
0,2,0,1,0,0,0,46.15509155531961
1,3,-2,0,1,1,0,48.98862340768893
6,2,0,1,1,0,1,54.47625557473432
2,4,0,0,0,1,1,52.03786077848663
7,3,0,0,1,0,0,47.60618536680085
5,2,0,0,1,1,1,53.37356875846532
6,4,0,0,0,0,1,51.95056716316233
1,3,0,0,1,1,1,51.26869214455217
2,3,0,0,1,1,0,46.47960186568453
5,2,1,1,1,1,1,52.48608699881361
5,2,0,1,0,1,1,54.68582533574495
5,2,0,0,0,1,1,54.01528808874109
0,2,1,0,0,1,1,51.61602256277884
7,2,-1,1,1,1,1,53.67303328908745
3,3,0,0,1,1,1,54.00951583599738
6,2,-1,1,0,0,1,53.57343173322923
3,2,0,0,0,0,0,47.93416440000744
0,3,0,1,1,1,1,53.421366171143085
4,3,0,0,0,1,0,46.12664181970996
2,1,0,0,1,1,0,47.970009391194985
5,2,0,1,0,1,1,54.39713860424288
0,1,0,0,0,1,0,46.55944062208569
3,2,0,0,0,1,1,52.58918032721223
3,1,0,0,0,1,0,46.48252215171391
5,4,0,1,1,1,0,46.26307127726648
0,3,0,1,0,0,0,45.21587218199026
4,3,0,0,1,1,1,54.05202335435349
4,3,1,1,0,1,1,51.16473880503069
4,3,0,0,0,0,0,44.523542136707405
2,2,0,0,1,1,0,45.61884314578826
5,3,1,0,1,0,0,45.57376513533546
2,3,0,1,1,1,0,47.41402123596728
5,3,0,0,0,1,1,52.67222804833543
4,3,0,1,0,0,0,45.289189814518615
2,3,1,1,0,1,0,44.17971794157906
2,1,1,0,0,1,0,44.69091455940327
-2,3,1,0,0,0,0,43.86865473179678
3,3,0,0,0,1,0,46.30850964057199
1,2,0,1,0,1,1,51.66371621510162
2,2,0,0,1,1,1,55.03106016384068
2,2,0,0,1,1,1,54.41790633368474
5,1,0,0,0,1,1,53.84742987797154
5,3,0,0,0,1,1,54.08578739560009
5,2,0,0,0,0,0,46.28257155559566
3,2,0,0,0,0,0,48.841370436192
1,3,0,1,1,1,0,47.24878651764028
4,2,0,0,0,1,1,53.852382691053634
