age,education_years,rural_residence,single_parent_status,local_childcare_availability,childcare_subsidy_received,employment_status
7,28,0,1,7,62,218.23009525253855
1,29,1,0,7,60,213.56518867903884
8,32,0,0,9,64,222.9171293068413
12,30,0,0,8,68,237.20990569137965
6,32,0,1,6,66,231.6839071942653
10,30,0,0,9,64,221.07992618906
10,31,0,0,8,66,228.1480843669384
14,29,0,0,11,66,228.03957951515693
14,32,0,1,7,68,232.85094205691263
7,31,0,1,7,65,226.0212647315933
4,30,0,0,8,61,214.98967300582635
12,30,0,0,6,64,223.9729108540176
17,30,0,0,7,66,223.30287124607648
10,28,1,0,9,66,228.29316034832425
7,31,0,0,9,67,233.7169235652631
14,25,0,0,5,62,214.01116382901887
7,31,0,0,7,64,221.5192142849645
13,26,0,0,7,61,213.22979033708236
6,26,1,1,5,61,221.00841824408585
8,32,1,1,11,69,238.5485942796053
4,33,0,1,9,69,241.9570800816724
4,29,0,1,8,63,223.03172241582152
13,31,1,0,8,70,239.68229973774723
12,27,0,0,4,61,212.4313472581952
7,24,0,1,9,61,217.2038984718316
10,33,0,0,9,70,241.37086680225173
10,31,0,0,5,66,228.22703943948144
7,29,0,0,9,65,229.94138477167928
16,28,0,1,6,64,221.4433148029221
15,28,1,0,7,67,229.6713413289469
8,27,0,1,9,59,207.17980635105147
5,31,0,1,7,60,209.1450416043289
9,28,0,0,8,65,226.5708724807723
8,31,1,0,7,68,238.51802835157068
6,32,1,0,10,66,228.82170160735808
10,26,0,0,6,60,212.0635263519792
7,26,0,0,4,57,204.38938504686703
9,30,1,1,7,67,232.1706100194287
6,28,0,0,9,63,220.64614598736847
6,35,1,1,4,66,230.4211184969283
9,28,1,0,9,63,218.79074788141324
8,30,0,0,3,62,216.6652357382703
11,28,0,0,8,64,222.2801856618376
12,31,1,0,8,69,239.10539338001047
7,26,0,0,7,62,218.8838723161172
7,32,0,0,7,65,224.46824204234065
12,30,1,0,7,68,233.36365156750935
7,29,0,0,5,63,223.5287145794959
15,31,1,0,10,67,229.40639337268152
11,28,0,0,9,65,226.48317974787383
13,30,0,0,7,67,231.77757468881973
8,28,0,1,10,63,221.81785338988175
8,26,0,1,7,57,202.13185968431648
5,26,0,1,6,56,203.0813220176988
10,29,0,0,10,66,227.83285469479003
10,28,1,0,8,61,211.4796970642813
12,25,1,1,5,63,221.4913626869366
9,31,0,0,4,66,233.0252170636917
13,30,0,0,12,72,248.07192247636937
10,27,0,0,8,64,226.66877974355427
10,32,0,0,6,67,235.10010498743785
8,28,0,0,9,64,223.17357420612987
11,30,1,0,7,65,224.0201085525978
7,28,0,0,7,61,215.9034952919312
14,30,1,0,9,68,232.8013401239586
6,31,1,0,8,64,224.76311600984025
11,29,0,1,2,61,214.66570954195845
10,27,0,1,7,61,212.10769191678108
9,26,0,0,5,60,210.22328462421683
7,31,0,0,8,69,240.643319213346
10,26,0,0,6,64,225.55346134720529
11,28,0,0,5,63,220.48068237662565
10,32,1,0,3,64,224.8690600187392
9,32,1,0,8,65,223.1862154467624
7,27,1,1,5,59,209.26692659710065
8,29,0,0,6,65,227.182821084586
5,30,1,0,10,64,226.47410156010943
6,31,0,0,7,67,237.6542976530772
11,32,1,0,8,69,233.9843894897938
12,35,0,0,8,71,240.4936902432013
9,30,0,0,5,66,230.92660830698995
9,28,0,1,8,64,225.566250962834
14,32,0,0,6,69,236.2920932978868
14,26,0,0,2,61,213.2952456726076
9,31,1,1,7,64,223.667390365037
7,34,0,1,8,67,233.138385242651
10,28,0,1,10,65,225.1000123583889
6,32,0,0,7,65,226.57658923620613
12,30,0,1,11,69,239.54064713895303
8,28,0,1,4,59,210.50029151332672
8,27,0,0,4,59,207.8669991713283
11,30,0,1,10,67,231.11841198085543
10,27,1,0,9,66,232.23995728805295
11,29,0,0,7,66,229.680186617864
8,29,0,0,8,64,225.1615648226637
9,28,0,1,6,65,227.72095306846325
9,29,0,1,9,65,225.9339379776557
9,32,0,0,6,66,230.18209890040475
9,30,0,0,8,70,243.75958359660265
5,30,0,0,8,64,227.2434001864588
12,26,1,0,7,63,218.7159526217173
8,34,0,0,6,67,233.76680160341772
10,27,0,1,6,61,214.4540357243125
10,33,1,0,3,66,228.76524293574911
7,34,0,0,5,67,232.4491549082034
13,31,0,1,7,66,225.19176105738325
9,28,0,0,8,65,226.57050099549247
7,30,0,0,7,65,226.2296840911653
11,33,0,0,8,69,236.6275238668352
9,31,0,0,9,67,230.50700366850623
9,34,0,0,9,68,233.8013084327708
10,31,0,0,4,66,229.75056268917547
10,25,0,1,7,59,212.3646821101263
14,29,0,0,5,68,236.36372496745727
4,32,1,0,9,66,228.92200479312075
9,28,0,0,9,65,228.04830935312333
10,29,1,0,10,64,225.2555988184308
11,30,0,0,5,66,229.08408417172055
14,31,1,0,9,69,235.035364118156
10,31,1,0,7,67,234.07013586346147
9,27,0,1,5,61,217.100290464806
11,31,0,1,9,67,231.57128105824825
7,28,0,0,6,64,225.5870549265072
9,32,1,0,3,65,223.96773008095448
10,26,0,1,5,60,211.9273263025143
8,35,1,0,6,68,233.3690453803264
9,30,0,1,8,64,223.90128626685052
12,26,1,1,9,63,219.34896169491293
13,29,0,1,11,64,221.5444027957974
11,32,0,0,9,68,233.8472105937724
8,30,0,0,5,66,227.21780524548484
8,29,1,0,10,66,231.71147778720075
9,30,0,1,8,67,234.0322439505748
10,30,0,0,7,65,228.7094469101246
13,29,0,0,9,67,231.6258359116553
10,31,1,1,7,65,225.39302601989104
11,31,1,0,7,67,231.2299815153954
14,29,1,0,7,66,224.9998892161759
1,33,1,1,10,65,230.87291399920952
8,30,1,0,7,67,236.7851227119152
6,30,0,0,6,64,225.90264043390687
13,30,0,1,10,71,243.29703230485728
14,32,0,0,7,68,231.15835986057576
16,32,1,1,9,72,246.31418867283787
12,35,1,0,2,68,232.0559653866727
8,31,0,0,6,64,222.8971500750479
11,28,1,1,5,61,213.92250478942483
9,31,0,1,9,66,229.6290819967741
10,29,1,0,11,65,226.13990209120263
6,29,0,1,7,63,221.65856405623052
6,30,0,0,5,63,223.54515533364787
6,27,1,0,8,61,215.3477876302137
10,31,1,0,5,66,229.5908095372483
12,29,0,1,6,60,207.99523957353688
13,29,0,0,6,65,224.2419248421194
8,28,0,0,9,63,220.6743507894634
7,31,0,1,6,61,215.68957256878008
4,30,0,0,5,63,224.33831967990528
10,30,0,0,7,67,233.88109458818303
10,28,0,0,7,63,218.4546292535656
7,30,0,1,6,63,222.45984588062805
10,27,1,1,8,65,228.28097563628236
14,31,1,0,9,70,236.2247960885011
12,30,0,0,7,66,224.6211118823555
6,29,0,0,7,64,226.81918635345224
6,27,0,0,11,63,221.17321540086675
11,29,0,0,5,64,222.8817505411484
10,30,0,1,9,64,222.0598891589844
7,31,0,1,10,66,229.19769985753055
9,28,0,0,4,60,211.4827488343996
7,30,1,1,8,64,222.8842080181123
6,30,0,0,7,63,220.2694161773624
13,27,1,0,8,64,221.19821422004324
10,28,0,0,10,67,234.2580371952139
4,29,0,0,8,64,226.33577179309827
8,31,0,1,7,65,227.2923629588757
6,29,0,0,8,61,213.53248371453824
6,31,1,0,6,63,220.57113290327936
8,31,0,0,7,66,230.00893211826204
10,30,1,1,5,65,228.32846360484172
12,29,0,0,10,68,235.7647986266937
10,27,1,1,7,62,217.24355536542535
12,32,0,0,9,71,244.06500591248687
7,28,1,0,6,63,220.7215539536036
11,26,0,0,6,61,214.4490496609401
7,29,1,1,8,63,222.0918801208124
10,29,0,0,2,60,210.09838731615827
9,28,0,1,3,59,209.45509424576787
11,32,1,1,7,64,220.06744843801357
11,28,1,0,10,65,222.29947313960125
11,29,0,0,5,64,224.6355088815827
6,25,0,1,9,60,215.6734174977328
12,29,0,0,9,64,218.7018302233849
8,32,0,0,7,66,228.44454898058717
9,30,1,1,8,63,220.28634305101804
11,29,0,1,12,65,227.24930038927351
10,29,0,0,2,60,210.5141681631901
9,26,1,1,7,64,226.0062662656503
8,29,0,1,7,64,225.61157364983345
10,33,0,0,2,66,229.68479953824635
9,31,1,1,8,66,231.5664462604703
7,31,1,1,9,66,227.98166807319205
7,27,0,0,12,67,235.04966035997856
9,28,0,1,6,62,215.13400541627885
12,28,0,0,7,66,227.6862630314843
10,31,0,0,9,66,228.207716979044
7,28,0,1,7,61,217.58522660126363
9,29,1,1,7,64,226.73162694831672
13,33,0,1,5,70,241.29330231912644
15,24,0,0,6,62,217.76247957623687
13,31,0,0,12,71,242.6933749521394
6,32,1,0,3,63,221.17668613498589
10,28,1,0,7,65,227.37514062217443
11,31,1,0,9,66,228.62662704538172
8,29,0,0,9,60,213.31090097592704
11,28,1,0,9,63,217.77167124148085
3,30,0,0,8,62,217.8375016350765
7,30,0,1,3,62,219.18119233731835
5,28,0,0,12,62,218.1946755721544
11,29,0,0,7,64,222.2003741960164
11,30,0,1,7,67,234.0528087135253
9,29,0,1,5,64,222.2420179961932
8,30,0,1,6,64,227.0555790949493
8,32,0,0,7,68,236.6329008082029
6,26,0,1,4,61,218.27198005266197
9,29,0,0,1,59,207.63069098474455
9,28,1,1,9,62,219.13922691400575
7,27,0,1,9,62,218.6548029193497
11,32,0,0,8,66,230.44501535205936
6,34,0,0,6,68,236.8649489344478
8,29,1,1,9,63,219.63816342090064
6,26,0,1,6,59,210.21409550270445
11,32,0,0,8,67,231.1916730335827
11,29,0,0,9,67,231.74167893962863
10,33,0,0,8,69,237.79901170392543
8,23,1,0,10,60,213.5533182580252
9,27,0,0,6,62,216.4418319594086
7,31,0,0,9,65,224.94192790296785
13,32,0,0,8,69,235.5321896256785
10,28,0,0,11,66,228.8653986166879
8,32,0,0,5,66,226.7379096858714
9,26,1,1,9,64,225.61425813800847
14,31,0,1,9,68,232.4991671998619
7,27,0,0,10,64,225.15595143929443
8,32,0,1,8,65,224.55064664106428
11,30,0,0,8,65,224.6271501329374
8,25,0,0,4,56,199.59841736876572
11,33,0,1,3,65,226.554802066132
9,30,0,0,6,64,224.4520779551664
9,28,1,0,6,62,216.721984563458
13,30,0,1,9,67,231.55427197506916
14,30,0,1,8,69,238.3996977570765
8,31,1,0,12,68,236.6554236718676
8,31,0,0,2,61,216.4874335687822
9,28,1,1,8,63,220.8389914520184
7,31,1,1,7,62,219.62828758750396
9,30,0,1,8,65,225.91317643388825
5,32,0,1,7,63,221.38917228486997
13,27,0,0,7,62,213.03582018405768
12,30,0,0,7,70,240.45738266920296
6,32,0,0,7,66,230.53954609074168
13,25,0,0,9,63,217.2305430568088
3,31,0,0,9,64,226.78153813434983
7,28,0,0,5,61,216.82217325195847
10,32,0,0,7,69,237.96291625963025
10,30,1,1,6,65,227.600869608169
10,31,1,1,9,66,229.61866588787132
11,33,1,0,8,67,229.63437351737767
11,32,0,0,8,68,232.48487313856705
9,28,1,0,7,64,225.14365753078155
11,31,0,1,5,65,223.90593481246628
11,30,0,0,5,65,221.8986091609521
6,30,1,0,8,65,226.6017018460045
8,29,0,1,8,62,219.392360137772
10,33,0,0,7,69,237.0918599826779
6,30,0,0,8,63,221.73621348128125
9,29,0,1,8,66,229.55297442550545
6,30,0,0,9,63,220.59494333314956
8,30,0,0,10,64,224.6970773226041
5,26,0,0,6,58,206.86751579031989
10,29,0,0,12,67,229.16144786900804
13,35,1,0,11,73,245.9946016024225
6,27,0,1,3,57,204.25316559556268
11,26,0,0,6,62,216.66840942112583
11,34,1,0,5,71,244.12530883727985
7,28,0,1,5,59,209.83828509725728
8,31,1,0,11,71,244.37718856000933
13,32,1,0,8,69,235.3330947884517
7,29,0,1,6,62,219.2772834392513
10,26,1,0,10,65,228.2750104277702
12,32,0,0,8,71,246.1507263634584
13,34,0,0,10,72,243.81451617353545
10,29,0,0,6,64,224.01908012040653
11,27,1,1,7,63,220.48551465372145
15,31,1,1,9,68,233.6746445323149
16,31,1,0,5,68,232.40615830941704
6,29,1,0,11,65,224.74495390003625
8,28,0,1,8,64,223.03289488341568
10,32,0,1,12,68,232.72586977488783
10,32,0,1,10,68,237.46136563609383
10,28,1,1,5,63,223.8561079547146
8,30,0,0,4,62,218.60038464733583
8,28,0,1,6,63,223.30714518377948
10,26,0,0,6,63,223.80362483557064
12,29,0,1,13,69,237.55613905890675
7,31,1,1,7,64,224.4592964248772
12,33,1,0,10,70,240.9107352579161
11,29,0,0,5,64,221.94262263196305
9,34,0,1,9,68,235.09638221287508
7,32,1,0,7,67,230.82624936216183
7,29,0,0,6,64,224.2694328456104
8,27,1,1,6,60,212.5873272481876
13,29,0,0,6,65,225.73136820164905
17,30,0,1,6,68,231.88874800166664
11,31,0,0,8,68,234.7223260720756
10,26,0,0,10,63,219.2328362229144
9,29,1,0,8,66,229.74309147510465
11,31,1,0,8,69,236.36057140615137
10,30,0,0,8,66,226.5348648108493
5,28,0,0,5,61,218.87412658242212
10,27,0,0,7,60,210.3115524320728
8,34,0,0,7,67,233.0476985780913
9,28,1,0,9,65,227.644046497794
10,28,0,0,7,62,215.6071453990041
9,32,1,1,7,64,224.0289090766496
7,31,0,0,8,64,224.13800939368735
10,33,0,0,8,70,238.8384265153103
9,29,0,0,6,64,224.305809713942
6,28,0,0,9,61,212.8384600786566
8,28,0,0,8,64,221.18312104415736
7,34,0,1,4,65,227.23202334315013
9,28,0,1,7,61,215.7617079503123
11,32,0,0,9,72,245.71879524238895
14,29,0,0,5,67,234.25855032196296
7,28,1,1,7,60,212.3468492658136
12,33,0,0,7,70,239.72401867905324
12,33,0,1,10,71,242.08798206624877
9,28,1,0,7,65,226.89222764238264
10,30,1,0,9,68,236.7337001106169
8,32,0,0,7,66,228.6848316310573
10,28,0,1,7,64,224.6683310729847
7,34,0,1,5,67,235.41433646664456
10,31,0,1,7,68,236.82436595833184
8,30,1,0,13,68,237.0813553587386
15,27,1,0,8,65,224.9474872292674
7,27,1,1,7,61,216.3358822768877
8,27,0,1,8,60,209.28129031683403
6,28,0,0,7,62,221.07578725725568
9,29,0,0,9,67,233.0267647746316
10,28,0,0,5,64,225.85371909845333
5,33,1,0,6,65,226.7011308414568
16,32,0,0,9,71,239.6555069471318
12,29,0,0,8,66,227.9062948308546
8,25,0,1,6,59,210.8120769128304
12,28,0,0,9,66,226.7609080973632
8,29,1,0,10,65,224.38923008987243
10,25,1,0,9,63,221.08655179454317
11,30,1,0,6,66,228.3347216736772
11,32,1,0,7,69,238.3393926114056
10,31,0,1,6,65,226.0416501040269
9,27,0,0,7,64,224.7616808830891
11,27,0,0,7,64,221.47212574881164
12,30,1,0,9,67,230.71585475342096
8,32,1,0,8,67,235.85112258923644
12,30,1,0,5,65,226.05533450842745
8,27,0,0,6,60,213.05924806980784
12,31,0,1,8,68,236.9911250674393
7,30,0,1,9,65,228.42327133544163
9,28,0,0,9,65,226.5955922818909
9,33,1,1,7,67,233.52753848271527
9,28,0,0,6,62,218.41298772587265
11,25,1,0,9,63,222.9497486259192
9,31,0,1,10,67,230.26123860678956
10,32,0,0,8,66,229.03650014715475
12,31,0,0,10,68,232.1173720884969
9,30,0,0,7,63,217.46770858972656
5,31,1,0,8,65,229.7276055041317
10,29,0,0,9,65,227.7376587063748
13,31,1,0,10,70,242.9811246121472
12,28,1,1,9,65,228.1247857376497
13,31,0,1,8,67,230.4136365671091
7,26,0,0,7,58,204.03258736771795
9,31,0,1,7,66,227.96157741791427
10,29,0,0,5,60,210.4475091326641
8,33,0,0,7,67,230.5079158392417
4,24,0,0,7,55,199.1214872670428
9,26,0,1,4,59,207.2258519476074
8,32,0,0,8,66,229.974166754317
13,30,1,0,5,64,221.11021986096836
15,28,1,0,7,68,233.5958290402181
14,28,0,1,10,68,233.8522897901562
10,31,0,0,8,67,232.1364793357337
7,30,0,1,5,64,227.37573690971487
3,31,1,0,3,64,229.55688006674063
7,27,0,1,10,63,222.0404731895754
7,28,0,0,9,63,222.2810642347988
5,32,1,0,11,66,228.41396206489077
11,33,1,0,8,69,235.50992311879335
11,29,1,0,7,65,226.5735842796338
8,29,0,0,8,66,229.7229031507093
8,33,0,0,8,66,230.88061052015263
10,26,0,0,9,63,217.7793519005867
13,27,1,1,8,66,228.8074371737624
8,29,0,1,7,64,226.30456887849263
9,33,1,0,9,67,231.77722924062292
15,29,0,1,9,64,218.47596010518149
11,29,0,1,6,62,215.4400196921448
9,32,0,0,7,68,236.24947446530717
14,25,0,1,6,60,210.59030537150463
9,33,0,0,13,71,245.4195222718846
8,24,0,1,9,58,205.4778996056814
5,30,0,0,7,64,224.46701322208335
11,27,0,0,7,66,229.7441685074533
8,30,0,0,8,64,223.82777227397256
11,30,0,0,11,68,230.2839191951732
10,29,0,1,7,63,220.1362056363612
6,29,0,0,7,66,232.34083230701893
10,27,1,1,9,63,219.10595850560264
5,30,1,0,8,62,217.96375146723875
11,32,0,0,8,71,245.11497558153337
11,32,0,0,8,65,223.32689485753585
11,29,0,1,6,64,221.64351519357936
9,33,0,0,7,66,232.31173038970476
9,30,1,1,4,63,220.7395667723778
9,29,0,0,8,65,226.9882252795016
11,30,1,0,4,65,226.7221417326009
11,27,0,0,8,65,225.63543326111417
9,28,1,0,5,63,221.05156180803735
2,32,0,1,8,66,233.564392133063
7,27,0,1,9,61,215.91497646293465
14,33,0,0,9,73,246.8372694646092
6,28,1,0,13,65,227.44342744098367
10,31,0,1,7,67,233.9200919313346
6,26,0,1,10,60,215.1928989999983
14,32,0,0,5,70,238.6402344736464
4,29,0,1,14,66,232.99367950434063
11,30,0,1,8,69,239.92148048075077
9,31,1,0,9,66,228.30102042326607
13,26,1,0,8,65,224.2779407195368
10,29,0,0,7,67,234.7557788834816
5,30,1,0,8,63,221.9263335102984
12,30,1,1,7,65,225.41788894753316
10,26,0,0,5,58,206.35116465882
