defendant_age,trial_length_days,pretrial_detention_days,prior_convictions,legal_representation,violent_crime,alternative_sentencing,recidivism
25,16,11,1,0,1,0,68.04212711678345
32,12,11,1,0,0,1,73.27423532912617
26,27,14,0,1,1,0,73.92174499804237
33,15,13,0,0,1,1,76.70091552775963
28,25,5,1,1,1,1,75.87215655914189
19,23,14,1,0,0,1,74.51035673811005
32,18,8,0,0,0,1,74.56725627411319
38,10,11,1,0,0,1,76.39363532157323
35,23,6,0,1,0,1,78.18233675190712
36,17,5,0,1,0,0,71.25064568672315
25,27,7,1,0,0,1,75.85216797476116
32,25,9,0,1,1,0,73.3386505884941
25,14,9,1,0,0,1,71.54686567536403
21,20,12,0,0,0,0,68.27811413101504
30,16,2,1,0,0,1,71.79121445399136
27,21,14,0,1,1,1,76.74294994664076
29,31,9,0,0,0,1,77.56766850787119
38,19,6,1,0,1,0,72.34471496870465
21,22,10,0,0,1,0,69.17390589586527
33,12,7,0,0,1,1,73.42216458027981
26,22,14,0,1,1,0,72.81263237079767
33,15,8,1,0,1,1,73.75643995289302
23,8,8,0,0,0,1,65.74238406378488
18,20,10,1,0,0,0,64.73968121295252
28,19,8,0,1,0,1,73.67957352454076
18,13,8,0,1,0,0,62.824501085954125
36,22,9,0,1,1,0,75.64794265057968
24,19,11,0,1,1,0,68.61954254956875
15,25,11,0,1,0,0,67.86693387474898
32,12,11,1,1,0,1,76.53705283947718
34,20,11,0,1,0,0,71.51333397275825
23,27,11,0,0,0,0,72.12663704399706
27,12,11,0,1,0,0,67.46043570401193
40,21,6,1,1,1,0,73.67335860224671
31,10,9,0,0,0,1,72.46800216332674
35,24,11,0,1,1,0,74.69131134629785
27,22,11,1,0,0,0,69.85308478095189
36,25,12,0,0,0,0,76.91266030356346
33,13,10,0,1,0,0,72.39307999680429
9,14,11,1,1,0,0,61.73466874320498
15,18,14,0,0,0,0,66.60964933572171
27,19,16,1,1,0,0,70.57511658858824
19,13,9,0,0,0,1,67.21403966296853
31,21,10,1,1,1,0,73.3436877448085
35,-3,12,1,0,0,0,64.63223338100585
40,12,10,1,1,0,1,77.40080999777793
25,30,12,0,0,0,0,73.45712407440617
17,24,6,1,1,0,0,64.50310236578643
26,10,13,0,1,0,0,66.82919177440401
18,17,9,0,0,0,0,65.72138603432131
34,17,8,0,0,0,1,75.2292257235346
41,24,9,1,1,0,0,78.27418127734279
44,30,11,0,1,0,0,82.2484032716353
37,15,5,1,1,0,0,70.90565440407755
40,18,7,1,1,0,0,74.72349944977161
29,28,4,0,0,0,1,76.49110169936745
31,21,12,0,1,0,0,74.04729677905819
25,7,15,0,1,0,0,65.18942378881599
43,18,12,1,1,0,1,81.67619358964397
37,15,7,1,1,0,0,69.3356638417692
30,12,7,1,0,0,1,71.66049720390055
33,31,9,1,0,0,1,81.24643666242324
28,18,7,0,1,0,0,69.53644089500477
26,14,14,1,0,0,0,66.44907826204823
26,25,5,0,1,0,0,69.13504967580425
33,3,5,1,1,0,1,70.05456235815873
24,26,8,0,0,0,1,76.31358341520445
20,14,8,1,0,0,1,68.43828696758881
26,8,3,0,1,0,0,62.14550493976217
40,23,8,0,1,1,0,75.1764339092238
22,20,8,1,0,0,0,67.83107442999251
25,16,12,1,1,0,1,72.67465120313979
31,22,11,0,1,0,0,73.72653989725228
23,19,15,0,0,0,0,68.76534549481687
18,15,9,1,0,0,0,65.96751216613174
37,24,9,0,1,0,0,78.03727726921636
29,22,7,1,0,0,1,75.28966966942045
30,22,12,0,1,1,1,77.723512744546
17,24,10,1,1,0,1,75.5755017327631
22,27,9,0,1,0,0,70.83148654879703
13,19,11,1,0,0,1,69.41299003241147
31,19,9,0,0,0,0,71.21782613031891
26,21,8,0,1,0,0,71.01112896728577
35,12,9,0,1,1,0,68.7137545096812
27,23,14,1,0,1,1,78.14434230523248
31,20,9,0,0,0,0,71.85285542507891
28,16,14,0,0,1,1,74.33154528427043
20,15,4,0,0,1,0,61.95880508149367
33,22,9,0,0,0,0,73.12281307931171
34,18,1,0,0,0,1,72.12378384072784
27,25,7,1,0,1,1,73.10690283593802
20,23,10,0,0,0,0,68.00413138324862
21,21,16,0,0,1,0,68.6627146443189
34,22,5,0,0,0,0,71.6320022524808
34,20,2,0,0,0,0,70.3730135427846
30,19,6,0,0,1,1,74.56737767816882
18,23,3,0,0,0,0,64.06140281491274
27,19,13,0,1,0,0,70.31940522936146
33,9,9,0,1,1,0,70.25971061481634
28,15,13,1,1,0,0,70.06002377290142
38,14,7,0,1,0,0,71.65626945576453
16,17,14,1,0,0,1,69.37153129080504
28,22,16,1,0,0,0,72.85070123619853
23,17,6,1,0,0,1,68.94966213665757
29,12,9,0,1,1,0,69.00419654594556
19,25,8,1,0,0,1,73.07461425188939
31,27,11,0,0,0,1,80.27840126228563
24,21,6,0,0,0,1,71.19169692760929
19,28,7,1,0,1,1,73.08516793437893
24,20,13,1,0,0,1,73.20634387824848
42,14,12,0,0,0,1,79.02153235599008
32,20,3,0,0,0,1,75.03487713457957
50,11,10,1,1,0,1,80.94167477521879
27,23,8,0,1,0,0,70.18876549358708
12,21,16,0,0,1,1,70.59894912473668
23,23,7,0,1,1,0,68.70616831905166
27,19,7,0,0,0,0,68.54904284043455
37,25,9,0,0,0,1,80.03904902148156
37,26,12,0,0,0,1,83.14397018512675
24,20,11,0,0,0,1,72.24407172379416
37,15,9,0,0,0,0,72.18534939182379
26,24,17,0,1,0,0,73.3800496293431
35,15,3,0,0,1,0,69.64863506466185
34,16,8,0,0,0,0,69.84950166308478
35,14,10,1,0,0,1,76.71355367022572
31,22,6,1,1,0,1,75.75611056269634
34,27,8,0,0,1,1,80.6358445205367
37,18,0,0,1,0,0,68.88015599124856
44,12,4,0,1,0,0,73.03231095852519
34,34,11,0,0,1,1,83.64838772479419
17,25,8,1,1,1,1,70.89634457178285
40,18,10,0,1,1,1,78.98035293605867
33,16,8,0,0,1,1,74.65666157946568
23,27,7,1,0,0,1,73.800067381808
21,22,11,0,0,0,1,73.19370440635747
26,14,6,0,0,1,0,65.60916155561488
38,22,7,0,1,0,0,74.96662290191335
28,31,8,1,0,0,1,78.62947462310926
28,27,7,1,0,0,1,77.39871904501922
25,21,11,0,1,1,0,70.19143371092886
17,25,6,0,0,1,1,68.20428640907937
34,18,11,1,0,0,1,75.90111071779974
41,16,7,1,0,1,1,78.52179744196249
35,28,11,0,0,1,1,79.12375271039924
16,18,8,0,0,1,0,61.433323831708016
29,23,11,1,1,0,1,77.29154057625712
19,12,10,0,0,0,1,68.59020722950818
17,18,11,1,0,0,1,70.98818497351357
21,22,8,0,0,0,0,67.58450874380345
15,22,10,1,0,0,0,66.57499144879664
41,18,8,1,1,1,0,73.41885493506345
34,15,11,0,0,0,1,76.08366442514556
34,15,7,1,0,0,1,73.23184387294178
23,18,7,0,0,0,0,66.02599010840692
32,22,10,1,0,0,0,71.05754341994935
26,28,10,0,1,0,1,77.74485251951636
25,34,6,1,1,1,0,73.61696541232295
36,26,15,1,0,0,0,77.3815742647398
25,26,13,1,0,0,1,76.24474008684626
32,13,4,1,1,1,1,72.27052010637524
16,21,8,1,0,0,1,70.29994490614173
17,15,6,0,0,0,0,61.40695740425341
24,20,13,0,0,1,1,73.8831420666385
7,15,12,0,0,1,0,60.087700066801375
33,21,4,1,0,1,1,74.9006476638731
35,14,13,0,1,0,0,72.69777994513436
30,7,6,0,0,0,1,70.48837035941874
36,13,8,1,1,0,1,75.30961923680493
39,16,11,0,0,0,0,74.46867569057835
16,13,11,1,0,0,0,61.89220088995614
25,10,17,1,0,1,1,73.87164750992824
35,13,9,1,0,1,1,74.53079138581549
25,13,5,0,1,0,0,65.41612459488273
41,23,11,0,0,0,1,81.11467102096458
25,27,14,0,1,1,0,74.34361187656064
34,14,10,1,0,0,0,70.225623822673
16,34,9,1,0,0,0,69.41976594128744
21,21,10,0,0,0,0,70.29650014983955
37,18,9,1,0,0,1,79.25203001593107
45,19,9,0,1,0,0,75.9814186872264
26,19,8,0,1,1,0,69.97761624920739
32,14,8,1,0,1,1,74.14814798356798
37,18,8,0,0,1,0,72.30093290541352
28,28,5,0,0,1,0,71.35952351639679
24,29,7,0,0,1,0,71.2759818692522
14,23,12,0,0,0,0,66.18575240831386
24,16,2,0,1,1,1,69.64881120832544
19,19,12,0,0,1,1,69.56209906914802
36,13,13,0,0,0,1,74.47316536977318
31,21,12,1,0,0,1,77.90076670772164
28,24,4,0,1,1,0,72.05689871882151
32,18,15,0,0,0,0,72.76928318507217
29,24,12,1,0,1,1,77.55271162019241
23,22,11,0,0,0,0,69.99035660475532
38,26,8,0,0,0,0,77.21930073752861
29,18,8,1,1,1,1,74.47200443927593
37,23,9,1,0,1,1,77.806414509329
17,21,8,1,0,0,1,69.79810018940768
35,16,11,0,0,0,1,76.852590830957
27,27,4,0,0,1,1,76.24332046954017
33,17,10,0,1,1,1,76.66740009306284
39,20,8,0,1,1,0,76.32214673679852
28,17,13,0,1,0,0,71.038024567334
26,9,7,1,1,0,0,65.76879441961702
25,28,11,0,0,1,1,76.68668273712797
34,18,9,1,1,0,0,73.62512485746194
14,15,8,0,0,0,1,67.38477267414909
22,21,9,0,0,0,0,69.31192785256273
32,24,3,0,1,0,1,75.94473388462627
20,22,9,0,0,0,0,68.0395064477139
26,19,14,0,0,0,0,71.67147939384412
48,11,4,0,1,0,0,74.08168822255209
17,13,9,0,0,0,1,68.40513192996649
27,12,6,0,0,1,0,65.70250969123411
14,12,12,1,0,0,1,67.02177804545235
31,20,10,0,1,0,0,71.329145224315
52,26,6,0,0,0,1,85.27933708812763
27,19,4,0,0,0,1,69.84336434462963
37,24,12,0,1,0,0,76.33907963921246
37,27,11,0,0,1,1,82.52109825012468
32,18,13,0,0,0,1,76.86386967017225
29,8,15,0,0,1,0,67.59655165852155
26,20,9,0,0,0,1,73.63911795173712
31,21,8,1,1,1,1,77.23285401114707
31,10,9,0,1,0,1,72.9880762419153
17,16,8,0,1,0,1,69.32151659517379
32,8,7,0,1,0,0,66.41399079062205
33,22,6,0,1,1,1,76.89622612235968
39,15,9,0,0,1,0,74.1690071798767
36,22,14,0,1,0,0,76.63910136880521
13,22,8,0,1,0,0,64.53006649369976
25,3,6,0,0,1,0,60.888969769245456
37,15,11,1,1,0,1,77.62907163403693
14,23,11,1,1,0,0,66.9505645309086
30,21,10,0,0,1,0,68.73038585772586
30,14,7,0,0,0,1,74.89661048175904
12,23,7,1,1,0,1,67.46707073758138
16,17,9,1,1,0,1,68.60667443087894
41,22,13,0,0,1,1,82.42866665285595
26,30,6,0,0,0,1,78.4579057854338
26,21,4,0,0,0,1,71.96502521484926
24,18,12,0,1,0,0,68.12855363875506
32,14,9,1,0,1,1,74.49563475010581
32,21,9,1,1,1,0,72.76715254081918
34,28,8,0,0,0,1,79.12717621918475
33,23,14,0,1,0,0,74.97371343656428
16,25,11,0,0,1,1,72.97992564017234
31,10,10,1,0,0,1,71.09519518854438
40,11,17,0,1,1,1,80.15933130156824
38,19,8,0,1,1,0,72.99969721782388
43,29,8,0,0,0,0,79.59400632544663
32,15,9,0,0,1,0,68.83018780797231
34,23,15,1,0,1,1,82.11373751189058
33,19,7,0,0,0,1,76.42421973221848
25,25,14,1,1,0,0,72.89761187339298
43,18,4,0,0,0,0,75.7599318933948
30,16,12,0,0,0,0,69.57070880495229
32,27,9,0,0,0,1,78.47164967570039
33,25,16,1,1,1,1,80.88837782252934
25,15,8,1,0,0,1,70.53982167249367
45,20,14,0,1,0,0,78.69165105580021
38,21,12,1,0,0,1,81.02259307893081
25,13,6,0,0,0,0,64.97592163133687
12,21,10,1,0,1,1,68.61784890061435
28,24,13,0,0,0,1,77.05152726677457
22,30,11,0,1,0,1,76.81320648874126
45,35,6,1,0,0,1,85.87049634059606
36,27,5,1,0,0,1,79.79447874268062
37,22,11,1,0,1,1,80.07248430396785
42,19,5,1,0,1,1,80.00504125506659
19,10,11,1,1,0,1,67.56527207145749
28,14,8,0,0,0,1,72.39968777190775
30,27,12,0,1,0,1,79.80422948748917
32,17,13,0,0,0,1,76.99591729776299
37,13,11,1,0,1,1,76.53996118186775
26,22,7,1,0,1,0,68.36081844507125
25,17,7,0,0,1,0,66.99271332798337
28,18,6,0,0,1,1,72.93185372187925
25,29,9,1,0,0,1,75.80283356170642
37,10,12,1,0,0,0,70.84663259907107
46,21,8,1,1,0,0,75.80680547489388
27,19,7,0,0,0,0,68.54078903456507
51,12,5,0,0,0,0,77.1670561468348
22,22,11,0,1,0,0,69.58819704407468
21,31,4,0,0,0,1,73.64440376661106
21,27,11,0,0,1,1,75.46706195586657
25,16,10,1,0,1,0,68.49320505875932
33,6,7,1,0,1,1,69.14734553652113
22,14,9,0,0,0,0,66.08114537064245
28,18,9,1,1,1,0,69.72787758826324
15,15,3,1,0,0,0,62.28260560600262
25,21,8,1,0,0,1,75.98164453469569
41,16,5,0,0,0,1,76.5918764935648
38,25,10,0,0,1,0,76.62811936992527
23,14,11,1,0,1,1,71.90377368951319
29,23,9,0,1,1,0,72.09260703695219
34,13,9,1,0,0,1,73.84616892608304
28,27,5,0,0,0,1,74.25808636974736
38,27,8,0,1,1,1,81.77272563653845
23,5,3,0,0,0,0,59.65468908162882
28,21,8,1,1,0,0,70.78063984027486
38,22,6,0,1,1,1,79.34258199749729
17,13,10,0,1,0,0,64.33900282964139
43,14,7,0,1,0,0,73.89343387453799
34,23,9,0,0,1,1,77.96522349356826
22,23,5,0,0,0,0,67.1242796675458
17,25,8,1,0,0,1,71.61425278438492
30,25,5,1,0,0,1,76.2980569545025
29,16,8,0,0,1,0,68.84215263907072
35,19,9,0,0,0,1,77.50417491890687
27,16,12,0,0,0,0,69.81191220832312
27,22,9,0,0,1,1,74.54051877702543
31,23,13,1,0,0,0,73.59139053054659
27,16,9,1,0,0,1,71.5579281851453
32,24,7,0,0,0,1,77.36509678284962
42,16,16,0,0,1,0,76.16757940867063
27,25,9,0,0,1,1,74.39641470308649
18,14,15,1,1,0,0,66.24690804027644
20,18,9,0,0,0,1,70.45455694935914
16,21,11,0,0,0,1,70.56019693604728
48,15,12,0,1,1,1,83.0084637898168
24,17,15,0,0,0,0,70.82905430656943
21,15,10,0,0,0,0,66.3322168281736
15,22,4,1,0,0,1,67.77439895827176
33,17,7,0,1,0,0,70.1925675733457
23,23,5,0,0,0,1,73.35022932204545
40,21,6,0,1,0,1,78.7499294903766
24,20,5,0,0,0,1,72.03192503066462
31,14,11,1,1,0,1,75.8835797139128
52,15,8,1,1,0,1,82.52991497848684
39,21,6,1,0,0,1,79.11340754141403
30,18,7,1,0,1,1,72.23245094286386
21,28,9,1,0,0,1,75.00211394949739
32,17,10,0,1,1,0,71.38745751575586
37,9,7,1,1,1,0,68.2931982578791
28,9,8,0,1,1,0,66.02264041173912
28,17,8,0,0,0,1,72.44928772941357
33,21,9,0,1,0,1,77.1391552364252
38,14,9,0,0,1,0,72.82264261021662
26,20,12,1,1,0,1,76.02201837300746
43,24,7,1,0,0,1,83.0788497470247
30,18,9,1,1,0,0,71.90202543634781
23,23,11,1,1,0,0,69.58607712589023
22,20,5,1,0,0,1,69.02113914135198
35,16,11,1,0,0,0,72.45586787870398
29,22,9,0,0,1,1,74.91339557155732
16,12,6,0,1,0,0,59.9071021528687
40,16,8,1,1,0,0,73.18560554062434
35,28,12,0,0,0,0,76.76063205875379
15,20,12,0,0,1,1,69.99968695395131
26,15,19,1,0,0,1,74.51662237010176
36,18,9,1,0,1,0,72.97039496981385
40,25,6,0,0,0,1,79.11242536868778
44,19,9,0,1,0,0,76.86735819359255
29,21,7,0,0,1,0,70.05663308109821
31,19,7,0,0,1,1,75.52528343860922
30,14,10,0,1,0,0,69.48989459075547
29,16,11,0,0,1,1,74.49230663552461
37,27,10,0,1,1,0,76.78754170170244
40,29,14,1,0,1,1,84.62137687701542
31,28,8,1,0,0,1,79.80911115769084
28,10,4,1,0,0,1,68.0997137980765
15,16,10,0,1,0,0,64.0746617598247
48,19,8,0,0,1,1,82.92804866575348
10,18,10,1,0,0,1,66.73898000521304
22,28,10,1,0,0,1,73.20308030246655
24,18,12,1,0,0,1,72.02262406535971
21,18,7,0,0,0,0,66.70408390369633
27,20,11,0,0,1,1,74.42391262426491
35,23,8,0,0,0,1,77.68414320751283
38,11,11,0,1,0,1,78.9365790664248
28,22,12,1,1,0,1,76.26195774402073
34,19,10,1,1,0,0,71.72643416054899
50,33,8,1,0,0,1,86.31391241704198
11,20,10,0,1,1,0,64.88238319272344
33,6,8,1,1,1,0,67.03099017165813
37,27,10,0,0,0,1,81.00205977485284
25,16,11,0,0,0,1,72.73722439141315
31,16,5,0,1,0,0,68.31218429484447
38,23,4,1,0,0,1,77.63717399299901
33,25,8,0,0,0,1,78.80130680524545
41,25,6,1,0,1,0,75.57720428809957
37,20,10,1,0,0,0,75.23214138700183
29,28,11,0,1,0,1,78.95954720366694
48,18,9,1,1,1,1,80.43540138925518
25,24,5,1,1,0,1,73.2324122956131
32,15,7,0,0,0,0,68.27618830165935
27,15,11,0,1,1,0,70.02479697563321
22,10,8,0,0,0,0,62.959576074000495
31,14,6,0,0,0,1,71.55991225187424
38,15,9,1,0,1,1,73.99679274159318
23,17,10,0,1,0,0,66.47822991986769
40,10,15,0,0,0,0,74.56504730257434
36,22,8,1,1,0,0,72.53198905433848
36,23,8,1,1,0,1,78.63375737629961
13,28,16,0,0,0,1,74.01086410687356
33,14,6,0,1,1,0,69.57542618986056
27,22,9,1,0,0,1,73.7566398132018
39,25,9,1,1,1,1,82.61860449074719
18,17,7,1,0,0,0,64.41163204763198
29,18,15,1,1,0,0,70.40593904118194
29,22,9,0,0,0,1,76.82702941371738
22,12,9,0,0,1,1,70.97487818762966
26,8,10,0,1,1,1,68.97815305204223
39,27,14,0,0,0,1,84.21142445887493
34,20,11,0,0,1,0,72.80035849128626
33,12,12,0,0,1,1,74.40535964988678
41,21,8,0,1,0,0,76.77445404423904
26,14,7,0,0,0,0,67.78353846014453
42,16,12,1,0,0,1,78.4776712372055
29,20,10,1,0,1,0,70.7280698737751
43,17,9,1,1,1,1,80.05673913249026
39,19,9,0,0,0,1,79.06862238259296
29,20,3,1,0,1,1,72.90050896521825
38,17,15,0,1,1,0,77.0019283254321
28,27,8,0,0,0,1,76.79087359438199
24,22,5,0,0,0,1,71.76571619321095
36,19,10,0,0,1,1,77.71591112751011
22,23,8,0,0,0,0,67.21216073381223
29,22,16,0,1,1,1,79.44596817109652
23,19,9,1,1,0,0,69.1411021953661
50,18,6,0,0,0,1,83.32688793612188
26,25,18,0,0,0,0,73.9340157224432
29,30,3,0,0,0,1,75.92761853201438
42,15,8,0,0,1,1,76.11369279698258
32,19,10,0,0,0,0,70.96641535026308
22,28,9,1,0,0,1,74.99749843913034
33,16,6,1,0,1,1,74.19864782490778
33,23,10,1,0,1,1,78.96000754512383
29,9,10,0,0,0,0,68.71558364741139
44,23,15,1,1,1,0,80.62147592144828
17,25,10,1,0,1,1,69.65035220178856
38,28,13,0,0,1,1,82.74073837528569
30,14,10,1,0,1,1,73.34435723944674
36,24,16,0,0,0,1,82.78616660496756
36,14,8,0,1,0,0,71.62321760587953
33,20,10,0,0,1,1,77.73704942273329
35,24,8,0,1,1,1,79.16565850537583
27,20,7,0,0,1,1,74.06127931925663
38,24,11,1,0,0,1,80.3061711515509
34,24,4,0,1,1,0,72.08738367378038
30,19,9,0,0,0,1,73.98919570549937
40,23,8,0,0,0,1,81.48302125331348
23,10,8,0,0,0,0,65.4925434571651
19,16,11,1,1,0,0,66.61118230204852
48,21,8,1,0,1,1,82.90682778520411
29,21,10,0,0,0,0,72.85357331071712
34,23,12,0,1,0,0,75.22036368452812
30,20,7,0,0,1,1,74.69030227537552
28,12,11,0,1,0,0,66.85855508860912
25,27,8,1,1,0,0,69.80545361603427
27,17,6,1,0,1,1,70.96049107553836
31,15,10,0,1,0,0,69.45630468815541
25,12,11,1,0,0,1,70.6507927914012
22,19,9,1,1,0,0,69.53904591306261
38,14,10,1,0,1,1,77.59564180784324
32,22,9,0,1,0,0,74.68208760880462
26,28,15,0,0,0,0,73.72594310373704
20,25,10,0,0,0,0,69.40204438745866
29,16,8,0,0,0,1,74.12675782362768
33,23,12,1,0,0,0,75.19856723983234
37,24,7,0,1,0,0,73.8732997465001
44,14,7,1,0,1,1,78.62521977558795
38,24,13,0,0,1,1,81.15078905263917
30,23,10,1,0,1,1,76.37716261559922
30,28,10,1,1,0,0,76.04732720411396
33,27,6,0,0,0,1,76.75512523662361
25,20,11,0,1,0,0,70.1430814848225
22,11,12,1,1,1,1,71.42756692914142
34,26,15,1,0,0,0,79.53401730386206
24,21,9,1,0,0,1,74.83555708839629
24,23,12,0,1,0,0,72.10754955398755
9,23,9,1,1,0,1,68.55697427180364
20,23,9,1,0,0,1,71.29660088065071
43,29,9,0,0,1,1,84.02742844769202
11,30,11,0,0,0,0,67.56458314882556
22,25,8,0,1,1,0,67.91819381197531
18,2,7,0,1,0,0,60.55949948227898
36,24,11,0,0,0,1,80.99438165439337
30,21,5,1,1,1,0,70.08233251161238
22,10,9,1,1,1,0,63.29953245149444
19,25,8,1,0,0,0,67.21516684660142
19,10,8,0,0,0,0,62.518322416642974
33,21,12,1,0,0,1,77.9057183972549
40,21,11,0,1,0,0,74.84113800708853
32,23,10,1,1,0,0,71.1805774546525
27,23,7,1,1,0,0,70.52936686137677
41,17,14,0,0,0,1,81.01320003032329
44,16,11,0,0,0,1,78.52762040301418
29,17,8,0,0,0,0,67.40054438800975
25,29,10,0,1,1,1,76.71073302735616
32,28,11,0,0,0,1,80.6452409904937
45,18,7,1,0,0,1,80.9619943328032
15,14,8,0,0,0,0,62.9540328354346
29,15,11,0,0,0,1,71.99756820984798
35,20,8,0,1,0,0,72.90468533198039
25,11,10,0,0,1,0,65.97608395623568
36,24,6,1,0,0,1,77.51395883607779
26,28,8,0,0,1,0,71.27856620390492
19,8,12,0,0,0,0,61.750681796030726
20,23,13,1,0,0,1,74.77187564721397
40,10,11,1,0,0,1,74.91889267050183
35,34,12,0,0,1,0,78.7176480080197
22,9,9,1,0,0,0,63.88420064249951
33,25,10,1,0,0,1,78.5620774585289
29,13,9,0,0,0,0,67.39340287053753
20,31,9,0,1,1,1,76.36361408229969
35,19,9,1,1,0,0,72.22233352612706
26,24,11,0,0,0,1,74.4114811763414
28,22,11,0,0,0,0,71.99952623277211
24,7,8,1,0,1,1,68.2638378207018
24,4,5,1,0,1,0,61.92413781381923
32,16,6,1,1,0,0,69.1993453614683
27,23,12,1,1,0,0,71.01437893784237
25,17,7,1,0,0,1,72.18053323427995
33,14,9,0,0,1,0,69.44988294506463
38,18,10,0,0,1,1,78.30978181695183
32,21,11,0,0,0,1,78.93007781527321
27,17,9,0,1,1,1,73.60475974876948
25,22,13,1,0,0,1,74.65021326537901
37,6,11,0,0,1,0,68.6229236520036
33,28,12,0,0,0,1,83.25281486407917
30,20,10,0,0,0,1,75.72008250843372
25,23,13,0,0,0,1,76.9184171965197
24,19,9,0,1,0,1,74.0257856711071
32,16,5,0,0,0,1,71.96445818024725
21,20,4,0,0,0,0,66.70719180829505
35,16,10,1,0,0,1,77.18100817632022
29,21,9,0,0,1,1,77.11460702290542
27,26,8,0,1,1,0,70.25471995632455
26,21,11,0,1,1,0,70.32886298657155
36,15,14,1,0,1,0,73.38556141696037
37,22,11,0,1,0,0,76.61301320797857
24,20,10,0,0,0,1,72.85592955244316
43,18,15,0,0,0,1,80.93950171415081
40,21,15,1,0,0,1,80.8844876802254
35,10,7,1,1,1,0,68.95961054200667
19,19,9,0,1,1,1,71.39797250861268
33,20,8,0,1,0,1,76.98965761507097
37,21,9,1,0,1,1,78.57258790807978
27,21,14,1,0,0,1,76.18355975620922
31,21,9,1,0,0,0,72.54682090585011
18,16,12,0,1,1,0,65.25246870790532
26,25,10,1,0,0,1,76.4724191040265
36,21,9,0,1,1,0,74.11888623162355
34,18,7,0,1,0,0,71.01918976443412
39,23,13,0,1,0,1,80.97651029237895
41,17,8,1,0,0,0,74.41131278336492
27,18,14,0,1,1,0,69.5214797688092
19,12,15,1,0,0,1,70.06217850272688
27,18,14,0,0,0,1,74.35847753318278
39,22,8,0,1,0,0,74.06757985162464
24,8,10,1,0,0,1,67.79941977472691
42,16,12,1,0,1,1,79.09286218177634
23,20,8,1,0,1,0,68.20316288826616
36,28,7,0,0,0,1,79.21377990214222
21,17,13,0,1,0,0,70.7478401533324
25,24,10,0,1,0,0,70.43223160104898
47,13,10,0,0,1,1,82.22613486797998
29,16,9,0,0,0,0,68.2169307313841
31,12,11,0,0,0,0,69.3352028290234
26,27,10,0,0,0,0,72.23301707493663
33,19,15,0,0,0,1,78.06473516508859
14,19,8,0,1,0,0,63.70581553118982
30,15,12,1,0,0,1,73.16198493256255
23,7,10,0,0,0,1,66.51773563679586
36,26,9,0,0,0,1,80.00140843612414
40,29,11,1,1,1,1,83.12498569081964
35,11,13,0,0,1,1,76.33407736912164
32,28,11,1,0,0,1,77.85261674212063
19,24,9,0,0,0,1,73.38466287467263
30,23,9,0,0,1,1,79.25635699215253
26,15,10,1,0,0,1,70.87065504143014
30,16,10,1,1,1,0,70.22453781569487
41,17,13,0,0,1,1,80.176199550227
31,25,11,1,0,0,1,78.47170341063837
