education_years,political_interest,civic_participation_score,identifies_with_major_party,previous_voter,voter_mobilization_mailer,attended_town_hall,political_knowledge_score
7,3,0,1,1,1,0,41.98874922019056
-3,3,0,0,1,1,1,54.989395530466496
2,2,0,0,0,1,1,51.2877553572545
3,3,0,0,1,1,0,45.3125626501632
4,3,0,0,0,1,0,44.0033069858296
7,2,0,0,0,1,0,42.12512424316314
5,2,0,0,0,1,0,45.91179193892124
1,1,0,1,0,1,1,54.420204415973686
5,3,0,1,1,0,1,48.90976275329038
3,2,0,1,0,0,1,52.13543524804052
3,2,0,0,0,1,1,52.05048604578416
4,3,0,0,0,0,0,44.158201152356845
3,3,0,1,0,1,1,52.62143778262416
2,3,0,0,1,0,0,46.73601431235708
2,1,0,1,0,1,1,55.71952272560642
8,2,-1,0,1,1,0,42.20231207095037
6,3,0,0,0,1,0,41.46185782440087
1,3,0,0,1,0,0,44.648009474628246
1,3,0,1,0,1,1,53.04082344310402
5,3,0,1,1,0,0,44.46524473581557
5,3,0,0,1,0,0,45.67228964206184
5,2,0,0,0,0,1,48.09339408999982
4,2,0,0,1,0,0,46.12904316807362
4,2,0,0,0,1,1,49.45284042383607
3,3,0,0,0,1,1,49.47769914795382
2,3,0,1,0,1,1,52.23459609353329
6,2,1,1,0,1,0,41.91004340958784
2,3,0,0,0,0,1,52.70081285223064
2,3,0,1,1,1,1,53.19638021100602
2,2,0,0,0,1,0,47.84623782449184
6,3,1,0,0,1,0,43.6178075950988
4,3,0,0,1,1,0,44.10364061723116
4,4,1,1,1,0,0,43.63783957937475
7,2,0,1,0,0,0,43.04885831633812
3,3,0,0,1,1,0,45.59253581977672
6,2,1,1,0,1,1,49.72761620333115
7,3,0,1,0,0,0,40.66405730230271
0,3,1,0,0,0,0,47.34249744134841
5,2,0,1,0,1,0,44.2443101110943
5,2,0,0,1,1,1,47.93613915141002
6,3,0,0,1,1,1,49.54707387120895
2,3,0,1,1,0,1,50.9982111583944
4,3,0,1,0,1,1,48.747714129583386
4,3,1,0,1,1,0,43.5305980150183
1,2,0,0,1,1,1,52.75337696406188
4,2,0,1,1,0,0,44.52067734601304
4,2,0,0,0,0,0,43.800609197828514
3,2,0,0,0,1,1,49.44135335389242
4,3,0,0,0,1,0,44.79934808878893
2,3,0,1,0,0,1,51.67566108909132
2,2,1,1,1,0,1,53.78841019810256
7,2,0,0,0,0,0,41.129384930514576
1,3,0,1,0,1,1,52.521856552068485
3,2,0,0,0,1,1,50.614772055570285
8,1,0,1,1,0,1,48.48797363342111
5,2,0,0,1,0,0,46.037311729500495
2,3,0,0,1,0,0,45.232126015112975
4,2,0,0,0,1,1,49.40643336557228
3,2,0,0,0,0,0,46.63063727755144
4,2,0,0,0,1,1,48.8541970619095
1,2,0,0,0,0,1,51.48480279068679
4,3,0,0,0,1,0,43.79579010325296
4,3,0,1,0,1,0,43.27516562788458
5,2,0,1,0,1,1,50.25627630749819
7,3,0,0,0,0,0,41.00291382263079
-2,3,0,0,0,1,1,55.94072044681351
2,2,0,1,0,1,1,53.326206058557
3,3,0,0,0,1,1,50.5828855266741
2,1,0,1,0,1,1,53.908470747921136
3,1,0,0,0,0,1,54.528086082734205
5,3,0,0,0,1,0,43.6793323600464
3,2,0,0,0,1,0,45.12269464074573
0,1,0,1,0,0,1,56.85075241962174
2,3,0,0,0,1,1,54.36321642220349
-1,2,0,1,0,1,1,56.682785889732735
3,3,0,0,1,1,0,44.82893172626128
3,3,0,1,0,1,0,45.09385502567255
-1,3,0,0,1,1,1,53.41195315518431
2,3,0,0,0,1,1,52.28501994983537
6,2,0,1,0,1,0,44.01047871330184
6,2,1,0,1,0,0,43.72979004177784
6,2,0,1,0,1,0,44.734722672689294
3,3,0,0,1,0,0,46.49614858917672
4,3,1,0,1,1,0,45.36320143773286
0,3,1,0,0,1,0,48.87918131863737
0,3,0,0,0,1,1,52.08424943093378
5,2,1,1,1,0,0,44.881705344154106
3,3,0,0,0,1,0,44.76445309478246
5,3,1,0,0,1,0,41.57614232152956
4,3,-1,1,0,1,1,49.27334665781892
5,3,0,0,0,1,0,41.99573536429149
2,3,0,1,1,0,0,47.48464829199232
3,4,0,0,1,1,0,44.07767332677005
1,2,0,0,1,1,1,52.05234755562981
4,4,0,0,1,1,0,45.03114988091247
4,2,0,1,1,0,1,49.96918747118841
4,2,1,1,0,0,0,46.86903331003042
6,3,0,1,0,1,0,44.61907423529905
3,3,0,1,0,1,1,51.25362098913208
6,2,0,0,1,0,0,41.74308929552049
6,2,0,1,1,0,0,45.73018081482434
4,2,0,1,1,0,0,44.27690088424463
4,2,-1,0,0,0,1,51.129209889568735
0,2,0,1,1,1,1,54.7313062061184
-1,2,1,0,0,1,1,54.995968410067086
5,3,0,0,1,0,0,43.57405392771864
2,2,0,0,0,1,1,52.53005033107365
2,2,0,1,0,0,1,50.50219662482533
6,3,0,1,1,1,0,41.52290149755546
5,3,0,1,0,1,0,43.42361136365724
3,2,0,1,1,1,1,52.480329017174135
1,2,0,0,0,1,1,55.20710356645576
-1,2,0,0,0,1,1,55.544506544662816
4,2,1,0,0,1,0,42.82817464349532
2,3,0,0,0,0,0,44.48120849353072
5,3,0,0,1,1,1,48.56465071663002
3,2,0,1,0,0,1,50.33050340402588
8,3,0,1,0,1,0,41.44538379635031
2,2,0,0,0,0,1,51.23693004462912
3,2,0,0,1,0,1,51.98443545178144
1,3,0,1,1,1,1,53.01011874562814
2,3,0,0,0,1,0,45.21020251476272
3,3,0,1,0,1,1,49.74396941946966
2,2,0,0,1,1,0,46.02573034622353
1,2,0,0,0,1,1,54.46509895500173
0,2,0,0,1,0,1,53.83550538534654
3,2,0,0,0,1,1,50.6368210909376
6,3,0,0,0,1,0,41.3546414715931
1,3,0,0,1,1,1,51.27906745345139
2,2,0,0,0,0,1,51.42038655369123
3,3,0,0,0,0,0,44.55181103330951
5,3,0,0,0,0,0,42.93674364609686
0,1,1,0,1,1,1,54.61002844722705
7,1,1,0,1,0,0,42.46107719777935
1,3,-1,1,0,0,1,53.134491443084606
0,2,0,0,0,1,1,53.69173640919939
5,3,0,0,0,1,0,43.46420403869427
7,3,0,0,0,1,0,40.51323711398306
0,3,0,1,0,1,1,51.053337684073306
9,3,0,0,0,1,0,39.85073214017619
7,4,0,0,1,0,0,40.44928526155823
1,2,0,0,0,1,1,54.71110392242121
3,3,0,0,0,1,1,51.18403438746425
2,3,0,0,0,1,1,50.268458568579966
3,3,0,0,1,1,1,51.08470692422974
3,3,0,1,1,1,0,47.35792828387715
8,2,0,0,0,1,0,40.41099492341287
4,3,0,0,0,0,0,45.2307826961706
2,2,0,0,0,1,1,52.666558683268654
4,2,0,0,0,1,0,44.80935734105527
1,3,1,0,0,1,0,46.73523558436247
3,3,0,0,0,1,0,45.64867988632282
8,2,0,0,0,0,0,40.6322932200373
3,2,0,1,1,1,1,52.09496563261971
4,4,0,0,0,1,0,41.83981752162915
6,3,0,1,0,1,0,41.78026734171989
6,2,0,0,0,1,1,47.708390819857286
3,3,0,0,0,1,0,42.60908306050814
0,2,0,0,0,1,1,52.78610200008917
4,2,0,0,1,0,0,44.34635779488649
3,2,1,1,0,1,0,45.848651589342886
5,3,0,1,0,0,1,48.19684536133122
6,3,0,0,1,1,0,41.58873413889677
5,2,0,0,0,0,0,43.52601675818494
6,3,0,1,1,1,0,43.46427865945412
9,2,0,1,0,0,0,39.779187068389525
1,2,0,0,0,1,1,53.66708295024288
2,3,0,0,0,0,0,47.44913769907916
6,3,0,1,1,1,0,44.52475574627261
5,2,0,0,0,1,0,43.096004699959806
5,3,1,1,0,1,0,43.189376480695366
2,3,0,0,0,1,1,50.31101695206913
5,2,1,0,1,1,0,42.18683968646049
2,3,0,1,0,1,1,52.268356261177466
1,4,0,0,0,0,1,50.58732867638616
8,2,0,0,0,1,0,40.91071578144377
4,2,0,1,0,1,1,50.830026005210186
6,3,0,0,0,1,0,40.340734747246046
1,3,0,0,0,1,1,52.54053196813987
6,2,0,0,1,1,0,42.84965038922999
2,2,0,0,1,1,1,51.54036559956317
4,2,0,0,0,1,1,50.23508643920295
6,3,1,1,0,1,0,40.80418288738106
0,2,0,0,0,1,1,54.43130409253924
1,2,0,0,1,0,1,51.75075235702578
3,3,0,0,0,1,0,44.47331536098962
5,2,0,0,1,1,0,42.6939428535685
7,2,0,0,0,1,0,43.39453585198779
4,2,0,0,0,1,1,50.10853821872436
6,2,0,0,0,0,1,49.31646003541318
5,2,0,0,0,0,1,48.99575806309378
6,3,0,0,0,1,0,40.36142967356589
3,3,0,0,1,1,1,49.570051180621945
3,3,1,1,0,1,0,45.47502022490988
0,2,1,0,0,0,1,53.13455570813457
9,2,0,1,0,1,0,42.55410996121452
1,3,0,0,1,1,0,47.69249806538157
3,3,0,0,1,1,0,43.27118427202311
4,2,0,1,1,1,1,52.30499024467203
3,3,0,0,1,1,0,44.30500712428845
3,1,0,1,0,1,1,52.58512363637919
6,2,0,1,0,0,1,49.29404171942077
2,4,0,0,0,1,0,45.10222133503482
2,3,0,0,1,1,1,52.27385361475351
3,3,0,0,0,1,1,50.35603293465829
5,2,0,1,1,0,1,50.40762376236092
6,2,0,1,1,1,0,43.128838383329935
0,2,0,0,1,1,1,55.26594593062477
7,3,0,1,1,1,0,41.5860651214672
3,3,0,0,0,0,0,45.519245962646686
6,4,0,0,1,0,0,41.89637511745225
2,3,0,0,0,1,1,53.20240968974848
5,3,0,1,0,1,1,48.03726851557231
6,2,0,0,1,1,0,44.87346590236661
4,3,0,0,0,0,1,50.97846353182805
6,3,0,1,0,1,0,42.03986358748659
4,2,0,0,1,0,1,49.142744111822026
3,2,0,1,1,0,1,52.24705315218275
3,3,1,0,0,1,0,46.487796011202896
4,3,0,0,0,1,0,44.09185647347727
1,2,0,1,0,1,1,54.09430139700212
5,3,0,0,0,1,1,47.8606574412556
4,2,0,0,1,0,1,49.622625249366806
7,2,1,0,0,0,0,41.93695762290748
3,2,0,0,0,1,1,50.39331147875114
8,2,0,1,0,1,1,47.23694203896017
6,3,1,0,0,1,0,43.066759859063936
6,3,0,0,0,1,0,42.57574908072226
2,2,0,1,0,0,1,53.54732246128228
9,3,0,0,0,1,0,40.31871769948128
6,3,0,1,0,1,0,44.28549262998298
4,2,0,0,1,0,1,51.37896676158367
0,2,0,1,0,1,1,55.28591358033329
2,3,0,0,0,0,1,52.570060397222086
7,3,0,1,0,0,0,41.80059324604708
6,2,0,0,0,1,0,41.40311059681845
7,3,0,1,0,1,0,42.202461059000846
9,2,0,0,0,1,0,40.20888361160653
6,2,0,0,0,0,0,42.29080105096199
3,3,0,1,0,0,0,45.76495508755795
3,3,0,0,0,1,0,44.67788161018172
0,2,1,1,0,1,1,55.69886387764377
5,2,0,0,0,1,0,42.80317518580864
2,3,0,1,1,1,1,52.2556070714385
5,3,0,0,0,1,0,43.82883815880649
3,2,0,0,0,1,1,51.64212825992325
3,2,0,1,0,1,1,50.55166563454218
3,2,0,1,0,1,1,51.859282809921645
4,3,0,0,1,0,0,43.76009859162722
1,2,0,1,0,1,1,51.62662043085477
7,3,0,1,0,0,0,40.93993029316604
8,3,0,0,0,1,0,42.19724029237963
3,2,0,1,1,1,1,52.6231418749269
5,3,0,0,0,0,0,45.80356782438648
1,3,0,1,1,1,1,52.256479639098885
1,3,0,0,0,1,0,47.15392663891433
4,3,0,0,0,1,0,43.7059569605243
2,1,0,0,1,0,1,53.379954774203455
4,3,0,1,0,1,0,45.39992459641845
5,3,0,1,0,0,0,44.07082683477015
1,3,1,1,0,1,1,51.90608597225708
5,3,0,0,0,1,0,42.83489302596622
4,2,0,0,0,0,0,42.91596681287914
5,2,0,0,0,1,0,44.39119640110749
4,2,0,0,0,0,0,44.77994970684177
1,3,0,1,0,0,1,53.02185596698401
1,2,0,0,1,0,1,50.636828223384896
2,3,0,0,1,1,0,44.16491042115452
0,2,0,1,0,0,1,55.87252623632936
6,2,-1,0,1,0,1,47.78771296308548
3,3,1,0,0,0,0,43.99471480816763
3,3,0,1,0,1,0,45.55425600384229
2,3,0,0,0,1,1,50.83728074680245
0,3,1,0,1,1,1,52.94928391634816
0,2,1,0,0,0,1,52.85234705840498
0,3,0,0,0,0,1,54.36938633260132
3,3,0,1,1,0,0,44.755058723356974
2,2,0,0,0,1,1,51.16703395821779
2,3,0,0,0,0,1,50.46888118184062
4,3,2,0,0,1,0,44.21990062275051
7,4,0,1,1,0,0,42.406857806662245
4,2,0,1,0,1,1,50.88846407358816
4,3,0,0,0,1,0,44.22521866509256
0,3,0,0,1,1,1,52.08592451253628
5,2,0,0,0,1,0,44.29148140267016
0,3,1,1,0,1,1,53.157173909741374
0,3,0,1,0,0,1,53.88129540972445
2,2,0,0,0,1,1,52.90097441409327
2,3,0,0,0,0,0,46.05867848566224
7,3,0,0,0,1,0,39.939035523007234
2,2,0,0,0,1,1,52.17924304854507
3,2,0,0,0,0,0,43.2735299348791
4,3,0,0,1,1,0,45.60799772314504
9,2,0,0,0,1,0,38.85898631273009
5,3,0,1,0,1,1,49.76472767034672
-1,4,0,1,1,0,1,53.88322937396179
3,3,0,0,1,1,0,44.966004886089785
3,4,0,0,0,1,0,42.992031350567125
7,2,0,1,0,1,0,42.02697513506507
4,2,0,0,1,0,1,50.216426979931455
2,3,1,0,0,1,0,47.47688235978188
4,3,0,0,0,1,0,44.67857300244364
4,2,0,0,0,1,0,44.462307521282696
3,2,0,0,1,1,0,46.22114287246019
7,3,0,0,0,1,0,40.88187820297209
4,2,0,0,1,1,0,43.91118931578462
4,3,0,1,0,0,0,42.88025480603677
5,2,0,0,0,1,1,50.47552616741159
2,2,0,0,0,1,1,53.63319022932793
4,3,0,0,0,1,0,42.81946323943564
8,3,-1,1,0,1,0,41.11628279990203
3,3,0,1,1,1,1,50.94939797193807
5,2,0,1,0,1,1,49.69520511593975
3,3,0,0,0,0,1,50.95276120777174
5,2,0,0,0,1,0,42.54155053528378
3,2,0,0,0,1,1,50.81503035357081
4,3,0,0,0,1,1,49.12568844982466
2,3,0,0,1,1,1,50.46340088934144
2,2,0,1,0,1,1,53.99222085047672
3,3,0,1,1,0,0,44.1492539022378
4,3,0,0,0,1,0,45.05216396106516
6,3,0,0,0,0,0,43.10448637494185
4,3,0,0,0,1,0,44.2339156850973
4,2,0,0,0,0,0,44.9805529537548
4,2,0,0,0,1,1,49.27796112931859
0,2,0,0,0,1,1,52.80155830096809
5,2,0,0,1,1,1,49.74927886798307
1,2,0,0,0,1,1,52.07173141417525
3,3,0,1,1,0,1,53.04321676050644
2,2,0,0,0,1,1,51.87796848967729
2,3,0,1,0,0,0,46.10558382856798
2,2,0,0,0,0,0,45.87889518733819
6,3,1,1,0,1,0,42.95778092515423
4,2,0,0,0,0,1,50.91011253974405
1,3,0,0,0,1,0,44.95097214852044
2,2,0,0,0,0,0,46.039477091182064
2,4,0,1,1,1,0,46.12972461071621
0,3,0,1,0,1,1,53.62551472610883
3,3,1,0,1,0,0,45.30494664527668
0,3,0,1,0,1,1,53.36677413328858
0,2,0,0,0,1,1,52.63021041468328
5,2,1,1,0,1,1,51.801968327482506
3,2,0,0,0,1,1,53.56374900250889
4,3,0,1,1,0,1,50.29945612849964
5,3,0,0,1,0,0,42.426861543913226
3,2,0,0,1,1,1,52.53673845702088
3,3,0,0,0,1,0,45.23761017542272
3,3,0,0,0,1,1,50.163774081578346
5,2,0,0,0,1,1,47.38669873099892
3,2,1,0,0,1,1,51.18794090841523
4,3,0,0,0,0,1,48.59048594472067
2,3,0,0,0,1,1,49.36095714167556
-1,3,0,0,0,1,1,54.93882520862489
4,2,0,0,0,1,1,50.08856030369581
1,3,0,1,1,1,1,52.5046966219691
2,2,0,1,0,0,1,54.34266498494332
0,4,0,0,1,0,0,46.12243600738015
4,3,1,1,1,1,0,45.16524047206251
5,2,0,1,0,1,1,50.31145285027824
8,3,0,1,0,1,0,41.92708473926022
0,2,1,0,0,1,1,53.34320138006095
8,2,0,0,0,1,0,41.72789880992548
5,4,1,0,1,1,0,42.2874900197202
2,1,0,0,0,1,1,52.214305705189815
5,2,0,0,0,1,0,46.363982789795976
5,3,0,0,0,1,0,42.52676050911133
5,2,0,0,1,1,1,50.75982741254867
3,2,0,1,1,1,1,52.867977475284846
2,3,0,0,0,1,1,50.31005236197516
4,3,0,0,0,0,0,46.589864076906174
3,2,0,1,0,1,1,52.63927566029028
4,4,0,0,1,1,0,42.11287702232387
3,3,1,0,0,1,0,44.38600509013709
1,2,-1,0,0,1,1,52.14079709948683
6,2,0,0,1,1,0,41.26725784763336
6,2,1,0,0,0,0,40.820938621290665
2,2,1,1,1,0,0,46.9950402889948
5,3,0,1,0,1,0,44.60607444348034
6,2,0,1,0,1,0,45.38129300049373
4,2,0,0,1,1,0,44.394789737969845
5,2,0,0,0,1,1,48.12166426709419
3,2,0,0,0,1,1,51.23110463901068
6,2,0,0,0,0,0,44.63290356669975
2,2,1,0,1,1,0,46.12048569935098
6,3,0,1,0,1,0,44.21763680729595
8,2,0,1,1,1,0,42.00801419510045
5,2,0,0,0,1,1,48.848587221320514
6,2,0,1,1,1,0,42.31273292762545
3,3,-1,0,0,0,0,44.01800662426626
1,3,0,0,0,1,0,47.05799293356971
4,3,1,0,0,1,0,43.244176355862216
5,3,0,0,1,1,0,43.900645307157205
9,2,1,0,0,0,0,40.754888660885314
2,3,0,0,0,1,0,46.595685583049104
6,3,0,0,0,1,0,41.67175334051838
1,3,0,0,0,1,1,53.09859535637444
3,3,0,1,0,1,1,49.64002882008335
2,4,0,0,0,1,0,45.53399519976432
3,3,0,1,0,1,1,51.19602018153509
1,1,0,1,1,0,1,55.56782352370687
4,2,0,1,1,0,1,49.66412013386279
6,2,0,0,0,1,0,42.68623202242869
7,2,0,0,1,1,0,42.00606850151634
2,3,0,0,1,0,0,45.999817138333206
7,2,1,0,1,1,0,42.24371796530173
0,2,0,0,0,1,1,53.438766909375005
3,3,0,1,0,1,1,49.2788406243621
0,2,0,0,0,1,1,54.09220386374366
3,2,0,0,0,1,1,52.26699258285088
6,3,1,1,0,0,0,42.11942364787459
6,3,0,0,0,0,0,42.50923259835975
7,2,0,1,0,1,0,40.64975435584957
0,3,0,1,0,1,1,52.38659725059514
2,2,0,1,1,1,1,53.375705839025
3,3,0,0,1,1,1,48.99214258679263
3,2,0,0,0,1,1,50.3033930695264
5,3,0,0,0,1,0,43.76416394307444
1,3,0,1,1,0,0,46.1020194787206
6,3,0,0,0,1,0,41.76648606094829
3,3,0,1,0,1,1,48.48587530655404
0,3,0,0,1,1,1,51.26699006172276
3,2,0,0,1,1,1,53.36988532543847
8,2,0,1,0,1,0,41.9874086060858
3,3,0,1,0,0,0,44.21075853652401
5,4,0,0,1,1,0,40.580505144601005
4,3,1,0,1,1,0,41.79663766936142
1,3,0,0,0,1,1,53.54081627994442
5,2,0,0,1,1,1,48.44267784891951
6,3,0,1,0,1,0,44.65324788271156
4,2,0,0,0,0,0,43.12105034030692
6,3,0,0,0,1,1,47.95477978680967
4,2,0,0,0,1,1,50.95436846378127
3,2,0,0,0,1,1,51.84971512188833
0,3,0,0,0,1,1,53.072756907513
6,2,0,1,1,1,0,44.35859532450576
7,3,1,1,0,1,0,41.21845135155595
3,3,0,1,0,1,0,46.22359038362359
9,2,0,0,0,0,0,39.93395144921327
1,2,0,0,0,0,1,50.26661122764534
1,2,0,1,0,0,1,52.39035505293685
3,3,0,0,1,1,0,44.47180117725871
9,3,0,0,0,1,0,38.94300834893865
4,3,0,1,0,1,1,48.94489648417026
1,3,-1,0,1,0,1,53.15312013588085
2,4,0,0,1,0,0,43.06818740610117
1,3,0,0,0,1,1,51.24415145148247
6,2,0,0,0,1,0,42.17572747005842
2,2,1,0,0,1,1,50.94360059806142
4,1,0,0,0,1,1,50.524781512208136
5,2,0,0,0,1,1,49.84195260810196
6,3,0,1,1,1,0,43.21493524774375
3,3,0,1,0,1,1,50.99257105411328
5,3,0,0,0,1,0,42.96911337219038
0,2,0,0,0,0,1,55.87513815667105
3,3,0,0,0,1,0,44.79233363331063
7,3,0,0,0,1,0,41.328053057175445
4,3,0,0,0,1,1,51.18700165427091
6,2,0,0,1,1,0,43.106667959247496
5,3,0,0,1,0,0,42.24301433410584
6,3,0,0,0,1,0,41.76138763033224
0,3,0,1,0,1,1,53.444522163810085
5,2,0,0,1,0,0,43.5759276740075
5,2,0,0,1,1,1,49.78887240483623
3,2,0,0,0,1,1,49.91567878878703
2,4,-1,0,0,1,1,50.14393894322345
4,3,0,0,0,0,0,43.01718513545169
6,2,0,0,0,1,0,42.06795265488401
5,3,0,1,1,1,0,43.55594660476911
2,2,1,0,1,1,1,51.21052362873465
4,2,0,0,1,1,1,47.349909856684896
5,2,1,0,0,1,0,41.8197939619772
3,3,0,0,0,0,0,44.685593365209215
5,3,0,1,0,1,0,44.60576766693199
6,2,0,0,0,1,0,43.07219147517933
6,2,0,1,0,0,1,49.45483087192304
5,2,0,0,0,1,0,44.47293249029883
0,2,0,1,0,1,1,53.914159925228105
4,3,0,0,0,1,1,50.22912718665869
0,2,0,0,0,1,1,53.28907340397543
9,3,0,0,0,1,0,39.07265118708644
3,2,0,0,1,1,1,51.67391348864339
5,3,0,0,0,0,0,42.066821610880766
0,2,0,0,0,1,1,53.98485319092642
2,2,0,1,1,1,1,52.06749653843724
0,3,0,1,0,0,1,53.33601919240024
3,2,0,1,0,0,1,50.83719064309141
4,2,0,0,1,1,1,51.02248079355625
4,2,0,0,0,0,0,45.866981706632366
3,3,0,0,0,0,1,48.97525410410962
0,2,0,1,0,1,1,52.82769324133696
5,2,1,0,1,1,1,50.81306076378239
6,2,0,0,1,0,1,48.33534993339506
3,2,0,0,0,1,1,50.73732713844426
4,3,0,0,0,0,0,45.84395417957735
6,3,0,1,1,0,0,44.21499505669938
1,1,0,1,0,1,1,55.08077985831186
1,3,0,0,0,1,1,51.6919376722127
5,3,0,0,0,1,0,43.08246473010888
2,2,0,0,0,1,1,51.75187871510098
6,3,0,0,0,1,0,40.88064732275664
7,3,0,1,0,1,0,41.494288206469896
3,2,0,0,0,1,1,51.54616121776772
2,3,0,0,0,0,0,45.05435576419978
1,2,0,1,0,0,1,54.520119228986026
0,3,0,0,0,1,1,52.95604666210126
4,2,0,1,0,1,1,50.79433147630161
0,2,-1,0,0,0,1,54.02807482571188
3,2,0,1,1,1,1,52.189100734518384
2,3,0,1,0,1,1,52.06730081405846
2,3,0,1,0,1,1,52.53458714990202
1,3,0,1,0,1,1,53.16982800457398
3,2,0,0,0,1,1,50.68017577421882
6,2,0,1,0,0,0,42.7871401754888
1,2,0,0,0,0,1,53.59448713091637
4,3,0,1,1,1,0,45.05276479412037
2,3,0,0,0,1,1,51.76999242153909
3,3,0,0,0,1,1,51.445011645252585
1,2,1,0,0,1,1,52.29866532787929
1,2,0,0,0,1,1,51.83505420559472
0,2,0,0,1,0,1,54.92446779709775
